Ac9h4d3c2s 
Qc9s5h5d4s Ts8h8d4h3h QhJc8s8d3d 9c6s5s4s3s 
QcJd4c3c2h Kd8c6s6d2d Kd9h7s4c2d Th9h5h5c3h 
Jh9s7d4s3s AsKd7c3d2d Kd9c8h7s2c Qd5d5c2s2h 
Qs8s5h5c3d AdJc8s6h2s Ks9d7h6d2c Ts9s4s4c3h 
Ah8h4s4h2c QdJd5s5h2d Js6c5s4s4d Kc9s9h5h3h 
KcJc6h3d2s QsQd9c3h2h AsTc9d3h2h KdTc8s5h2s 
JcTc4c3h2d Tc7s5s5d3h TdTc7c5c2h AhKc6c3s2c 
QsJd5c2h2d Kh9s9h8h2h Ts9c7h5d2h Jh5s4h3d2s 
Td6h4h2d2c Th9d8c3s2c 8h7c6d4d2d Ad9c5c4s4h 
Jc9h5d3s2c JcTs5s2h2d 8d7d6s4d2c QdJs4c3s2h 
Qs6d6c5h2s 7c4d4c3h3c KhQcJh7h2h 7s5s4d3h3c 
KsTs5s4s2c Th8s4h3c2c 9d7c4d4c2h Qh9d6c4d3s 
Jd9c8h4c3s Ks9c8h6h3h AsJs6s5s3s KcJd3s2h2c 
TsTc9h3h2h Kc8d4c3s2s Ts9s8c3s2h Qs9h6d4h3c 
Js6h5h5d3c 7s7c6c4c2d KhQc9c3s3d KdJh8s7s2s 
Th8s6h3d3c AsAhAdAc8h 9d8c5d4s2h KsJd8h5h2h 
Js8c6d5h2c 8c6d5s5h2c AdQc8c2s2h Jh7h5s4h3h 
7h5d4h3h3c QdTc5d3s2d Jh7d6c4d3s AdJh9h4c2h 
Qs9c6d4c3h Ks9h8h7h3d Kc9c5d3h2s Kc8d5h4s4d 
Qc9h7s7h4h Ks9c3s3h2c Td5c4d3c2h Qc8s6s4s4h 
Tc8d6d4d2s AdTs5h4h2c Kd9c8h4d3s Jd8d5h4c2d 
QsTh6d6c2d QdJc7c3s2s KdQc5d2h2d AhJh9h6d2h 
6h5s4s3s2c Qd9h7h2h2d Kc8s8d5c3c Jh9c8c4s3d 
Qh7d5d5c4d Jh9s7c5d2c Ad7d3h3d2h Jh9s4s3h2h 
KcQs6d4h2d Ad8c4d3s3d Jh6h5s3s2h JsTs7s5c2s 
Kh8h8d3d2d 6s5h3s3h2h Jd9h6c4s4c Kh8h7h5c3h 
QsTh7c6h2h Kh9h5d5c3h Qh8h4s3s3h Ks9s6s5s2c 
AdKc4h3h2h KcTh6h4h2d 9s6s5s5c4s Qh7d6c4h3h 
Tc8c5s3c2s Jc9d6s5h2s Jd9s8d3d3c Ks7c6s3s2c 
Tc8d8c3s3c Qh8c4h2d2c Qc9s6c3h3d 9h9d6h4h2c 
Jd8h5h4s2h JdTc3s2h2c 9d8h5s5d2d QhTs7d7c2h 
QsJd8c7c3c Kc9d9c4s4c Kc4d4c3c2d 9h8s7s7d3s 
Qh9h8h6d2h Qd4s4d3s2h Th8c7d4d3s Jc9h4h4d2d 
JdTd8d2h2d Qs9d9c2h2d Jc7c6d4h3c Td7c6d3s2s 
Kd8h7c5s3c Jd8s7h6c2d 7h5c4d3s3d KsJd8h8d2d 
Jd8h8d4s2c Qh7c6d4h3h Qd8h6c5c3c KdJh7d3s2c 
Ks7h5s3s3d AcTs6c3c2d Kc7c4h4d3s 6c5c4c3d2s 
Ts5c4d4c2d Jc6s4s4h3h 9d4s4d2s2c Th6s5s5d4s 
KhQh8h6d3h Qh8s6d5d2d QdJs9d7d2d QhJc8c4d2c 
Th9h7h6d2h 8h7d6h4c2h ThTd4d2s2c Js8c7s6d2h 
JdTh7s7d2d Kh5c4d2d2c 9d8d7d5s2d 9h8d6s4h2c 
9c8s8h4c3d Jc9d6c4c3s 7c5s5h4s3s 9h9c6h4h2d 
7s7c6s6h6c Qc6h5s5d3s Th8s7h4d2c Qd7h6s5c2d 
QhTs7s6c2s Qh9s5s4c3s QsJc6h4c2c QhTh7s5h2d 
JhTd3s3c2h 9s7d4s4h2h Ks7s5h5d2c Qc9h8c7s2c 
JsTd8h3c2c JhJd5s4c2s KcJs7h5d2h AhJs7c3d3c 
Qh8s8d5d3c KdJd8h8c2d Jd6s5c3s2c KdTs7c4h2s 
KdJd9d6d3d Ah9d4h4c3h Ah7h5c3d2h Ah9h5c2h2d 
Qc8h6h3c2c Jh6h6d3s3c Ts8h5c3h2c Kh9d8s7c3d 
Ac7s7h4h3h KcJc8s8h2c Kh8s8c5h3h Jh7h6s4c3h 
KhKdKc7d3c 5s4h4c3s3d Kd8h7c6s3s QhJd4s3d2c 
AsTc6s2s2d Qd9s5h4h3c Ad9c7s5h2c Th9s4d4c3c 
9h9d4d3s3d 9s8c7c3s2s 9d8s5d5c3d QhTh6d6c2h 
Ks9s7s5s4s As9s6s5d2s Jc7s6d2d2c 6s6d5s3h2c 
Kd9h7s6h2c Qd8h6h5c2h Ac9d7d3s2s KdJh7d6c2d 
Qs7s5d3d2d KdTs7d5d2d 9s9c6c4c2d AsQh5h3c2h 
KdQc9h4s2c Kd7c4h3s3d Tc9d6h2s2c Jc8d6s5h2s 
QdJs5c2s2h Qh6h4h3c2c Kc7h6h4d3h Ac9s9d3h3d 
Kh8d7s4h3h Jd9s7s4h3s JhTc8d3d2s KdQd8h2h2d 
Qc6d5s5h3s AcQs8h4d2d 7h6s5s5d2c QhTh5s5h2d 
AhJc6s5d2d Jc8h7d6s3h Jd8h7h3d2s Jd6s6h5c3s 
9d8c6h6c2c Qs9s7c4c2s Ac7s5s3s3d Qh9c6d5d2s 
KdJh8h6h3c KsQd9c4h2d KcQs9d3s3h QdTh4s3s3c 
Jc8h7c3s2h Jc9h6d5d2d Td8c7s4s3s Ad8c6c5h2s 
Ad9h8h6c2h QhQd8c4c2c Td7d7c4d3s AhQc9d3s2c 
AhQh5h3s2h Ac7s7d4h3h Qd9h8c7s3h KdQs7s6c2s 
6s6c4s2s2h Kd8d5c3d2c QhTh7d5h2c KsQs4d3c2s 
KdQd8s2s2d 9s5d4c3s2d AhQhQdQc5s Qc7d5h5d4d 
Js7s6h4d3s Qc7h7d6s3h Jc8d7s5d2h Td9c6s2h2d 
Ac6d5s5d3d Js6h4d3s2d 8s7s7d6c2s Jc8s5c4c2d 
QsTh8c3s2s Qc5h3s3c2h JhTh8h3h3d QcTh8s3c2c 
9d8h7h7c2h Qc8h6s5s3s Jc7d5c3d2s Tc6s6d5h3h 
AcJc9h3c2c AcJs7d5d2d Jh6h5c3c2h Js9d6c5h2h 
As9s7s3s3c Kc7s7c5c2h Qc8h8c5s2c TsTc6c4c3c 
KsQh9s8s3s Qs8h6c4s2d Th8c7h7d2h JsJd8h3c2s 
QcJs8h7h3h KsJc7h6c2d 8d7h6d4c2d Jh8d6c5s2c 
Jd8h7h4s4h QhTd8s3s3c Jc6s6c3h3d Js8s7s7c2d 
Ts5s5h4h2s KdTc3h3d2s KcJs7d2s2d Qc5h3s2h2c 
9c6c5d4c2h Ah9s7d4h2h 8s8d4h4c3c KsTd8d4d2c 
KcJd9h6d2d KsTd6d4d2h Jc9d6s5h2h 9s5d4c3c2s 
QhJh7h5d2s Ah9c8c6d3c 8h7s7d6c2h Tc6s4s2h2c 
9d9c4h3s3h Td7c5s3d2s KhJs8s4d2c Qs8d6c2d2c 
Kh9h9d3h3c AhJc8d4d2s 9s8h7c3s2c Js8s7s7d2h 
6d5h5d4c3d 9s8d5c4s3h Kc8c5s5h2d KhJh7h4s2c 
Kd8h5s4h4c 9c8c4s4c2s 8s7s5c3s2c JcTh3s3d2c 
QhJc6d4s2d Kh6s5h3h2d QsJh6d4h2h AdQd5d3d2s 
KcJs7h2s2h Jh6s5d5c4s Kd8d6d5h3d Ac9s9c5c2c 
Tc8h5d4s2s Ts6h5d5c4h Jh8d5s4d3c Ks9s8h8c2s 
9h8s7d3h2d Js8c6h5d2h Ts8s7h4c2d KdQh5c3c2s 
KsKhKc3c2s Ad9d7d2s2c AcKh7d3h2h Js8s6c4h2d 
Qs4s4d3h2d Td9c6h6c2c Kd9d6s5d2d 7d5s4d3h3d 
Ad8s8h6c3h 9s8d4h2s2h AsTh7c6d2d Kc8s8h7c2c 
Jd5c4d3c2d QhTh4h3d2c AdTd6d3s3d Js6d6c5h3d 
AsTh6d5c2h Td8s8h4d3d Ac9h7c3d2c Ts9c7d4h2s 
Jc9s7h4s3s Jc6d5s5h4d KhTc8h3s3h 9c6h4c3s2s 
Ks7d4h3h3d Jd6s4h3d2h 7h7d6h4h2c 9c8d7d3c2c 
Th7d5s5d3c 8d6s4s3c2d Qc8d5c4c3h Qc6s5s5d4s 
Jd7c6h5s2d Jc9s7s4h3s Jc7s7h6d3h 9s8c5c4d2h 
KhTd8d7d2d KhQc6d4s2d AhQd6d4d3d Ks6d5h5c3d 
Kd9h6h5c2s 8c6s4d3d2s Qh9s6c4d4c AcJh8d6s2d 
Qs9s8d4h4c Ts7s5c4s3s JhTs5s2d2c Jc9s5s5h2d 
KcQs9h8h3h Kc6s5d4h2d Jd9s6c5c2c Ks9s5s5d3h 
5c4s4h3s2h Qc5c3s3d2s KdJs7d6h2d Kh7s7h5h2d 
Jd6c5h5d3d 8s7s7c6d2s Qh7s7d4h2s 9s6d5d4c2h 
Js9d4s2s2d Jd8s5c4s3h QdJc9h4h2s Js8d5h4c2h 
Qs8h8c4h4d Qc8h7d6d3s Ac9c6c5h2c As6c5h3c2h 
Td9c7h5s2h Ts8s6h6c3s 9h8d7c3s3c Kd8d7c4h2s 
9s8c7h3s2h Tc8d4s3d2c Th6d6c5d3s Ts9c4h3h3d 
9h6h5c4d2s Ks6d5s3s2h Kc8c6c5s3c KdTs5h3d2d 
Jd7d5h3h2h QhJd9h3c2h Ah9h7h2s2c 9d8d6h4d3c 
QsJc8d8c3c Jd8h5c4h3s Kh6d5s5c3d 4h3d3c2h2c 
Ad6c5s3c2s 9d8d7d5c2d Qh6s6d3h2s QsTs8d3s2h 
Th7d5s3h2s As7d3s3c2h Th9s6h4h2d Ah8s7d5s2s 
8d7h6h4c2h Qs7d7c4h4d Qs9s8s5s2c KcJd8h5h2h 
Js5h5d3s2d Kd9d5h3s2c Ts8h7d4d3d KdQc7h4s2c 
JhTd8s3c2c Qh9c5s5d3d Qd8s7c5s3h Tc9c8c4h2d 
Qd9h3h3d2c KhQh8h8d4h AsQh6d5d2d Th8s8h3h3c 
Ac8s6s6d3h 9c5s4s3c2c Tc6s4s2d2c KcQd7s7h3d 
Ah9h7s6h2h Ks8s5h3h2s Kh7s7h4c3h AhQs6s3s3d 
Ks9d6c3c2d Kc8s8c7d3c KsQh6d3h2c TsTc9d3d2d 
JsJh8s3c2d AdQs7s4s3s Ts9s8s4d2c Qd8c5d4d3h 
Jd8s6s3d2c Qh9s5s4d3s KcQs9c8c3c Kh8c4c3s2h 
QhTc7s4c2d Qh9s5d5c4s As7c6c4h3c Kc8h6c4c3s 
As5d5c3c2d Jd9d8c4h4d Ac9s8s4h4d Kc9d3s3d2c 
Ts7s6s4d3s 8d5h4h3d2d KsTh8c5c2c 8s7s6c2h2d 
QsTh5c3s2s AcJd8d6d2d Ks8s8h7d3s Ks9c8h5c3d 
6h6d5h3c2s AcKd6d3h2d Ah9d6s6d4d 7c5h5c3c2h 
Ks9h6d3d2h KcThTd3s2s Th8c6c4c2s 7h6c4s4d3h 
Js9s9h3c2d KsTd9h3c2c 9d8c7d3s3h KsJh8d7c2c 
Jh8d5h4h2c Qc8s7s4d2d TsTh8c3s2d QdJh6h4h2c 
AdJd7s3d2h 9c5h5c4c2h Th8h6s4h3h Kh8d7c4h3h 
AhQd8s4s2c Jc7c6s4h3c Qh8s8h5d2h KcJc8h8d2c 
8d7c5d2s2d 9h5s4s4h2s Th8d8c4s3s Ad8s3h3d2c 
Th6c4c2h2d Qs8s4d3s3d Js8h5d4d3c QcJh6s3c2d 
AcJd7s3s3h Th8c5d3c2d Kh7h5d5c2s Qh8d7h6h2s 
AdTd6d4d2s 7s6d4s3s3h Ks7h4s3h2h Ts7d6c3d2s 
Js6s5h5c3d Js7h7d5c3c QdTd5d3h2s Kc9c8h4d2s 
AcTs7d6s2s Tc7h6d3h2c Kh8s8h7d2h Qc5c3s3h2s 
KcJd6d4s2h Td7s6s4s3s 8s8d7h4h3h QsJc8h8d2c 
Kd9s8s6s2h Kd9d3h2s2h Ks9c8d4h3s 8s8h7c4c3c 
Ks6d5c4h2c 9h8s6d4d2c Ac9s7c3d2c Qh9d6s5s2s 
KdJs7h6c2s Th8h5s4h2d Kh9s9d5s3s KhQd7h4h3h 
Qd7s7h6c3h QsTh5h5c2d Jd8s4d3h2s Qc6s6h3c2s 
As9s3s3h2h Qc9c5c3s3d 9d8c7h3s3h 9c8c7c5s2c 
Tc7d7c4c3s QsJd8h8c3c Qd6h6c4d3s Jd9s8d4d4c 
Qh6s5c3s2c QsJc7c3h2h JsTd5d3c2d Qs6d5d5c4d 
QdJc5h2s2c Ad8d5h5d3d Ts5d4h4d2h Jc9h7s4h3h 
Jc9h8d3s3c 9s8d6s6h2s Js5d5c3h3d Kh9s3s3c2h 
9c8h8d7c3c Kd8s4d3s3d 7c5d5c3c2d Ad9s4c3d2h 
Jh5c4d3d3c Jd6h6c5s3c Jh9c6s4c3d 7h6s5s5c2d 
9s9c6d4s2h Qc8d6h5s2s 9s9c7c4c3c 9h9d4c3s3c 
Qc9d5s5h4d AhTd3c2d2c Th6h5d3h2d AcQh7c3c2d 
Jh9h6s6h4h Tc8h5h4d2h AsJd8s8d8c As7c3d2s2h 
Jd6d5s3s2d KcJc6h6c3c AsQc8c4d2c KcJs8h4d2s 
Qh8s6c5c3c Qh9s7s7c4s AsJd8c6h2c Qc6d4h4c3s 
KcTs7c5c2c 9c5h5c4h2c Kc8c4s4c3s Kd8s5h5c4s 
Qh6d4h4c3s Js6d5h5c3s Qs9s8s7d4s Jc9c3h3d2d 
KdJh9h2s2c Qc9s6d4h4d Tc7d5h3c2h Jc7c5h3h2h 
AhTc6h2h2d 9s7d4s4d2c Jh8c7d4s2h QcJc5d2h2c 
KsJh8c4s2s Jc9s8s4d3h AsJs8s4s2s 7c6s6h4h2d 
Th5h5c4c2h Ad9h7c5s2h Kc8c7s4d2h Jc7h6c4s4c 
Ah8s7s6d2c AhJc9h3h2h 9s8c7d3s2d AcQs9d6h2h 
Qc5h3d3c2h Ah6h5s5h2h Kh9c8d6d2s AhJc5c4s2c 
AhQs8d2s2c Qd9d8d5h5d AcTs6c2h2c KcTh7s4d2h 
KdTs6d3d2c Ah9h9d4h3h KsQd8h8c2s KcQh8s8d4d 
JdTc7h7d2d Qh9s9c2d2c 6d5h4s3d3c Td8h7d7c3d 
9c8d4s2s2d Kc8h5s4h4d Th7h6c2h2c AdKs9s4s2c 
9s9d6d3c2h 9h8h6s4h3d KcJd8s7s2s 9h8d5s4h3h 
Qd8s6c5c2c Ks8d6h5d2c Kc8s8c7h3c 8c7h5c2d2c 
Qh6s5s5c4s AcJc7s3c2h Kh9h8s4d4c Kd8d5s4h3d 
Qs8h5c4s3s 9c6c5s5c2d 8d7s7d6c2d 7c6h6d4d2s 
Th8s6s4s2d KsJd9c2h2d JdTh8s3s2c Qh9c6s5s2s 
JdTh7s4c2s 9h5s4h4d2s Jd8s7s3d2c 9d8c7c3d2d 
Th8h8d5h2h Jh8s6s4d4c Ks8d7c5h3c AsQc8c4h2c 
KdQsJs7s2s QsTd5d4d2d KdQd8s3s2d AcTc4c3h3c 
7h4h4c3s3h QhTs9s7s2s QhTc7d6c2c 9h5h5d4h2d 
As5h5c3h2c Ts9d6c2s2h QhJd9h3s2h 9s5s5h3c2c 
9d5c4d2s2c 9s8c6c3h3c Td6s6h4c3d Qc8d4s2s2c 
Jd8h7h5s2c Kh5h5c2h2d Jc5s4d3c2s Kc8c5s4h3c 
Qh9s9c7d2h KdJs7c5h2c Td8d7s4d3h Ah7c5c3d3c 
JsJd5c4c2c Jc8d5d4h3s Jh9s8h4h4d 9h8s4h2s2c 
Td9s5d5c2h 9s8c4d2s2d Qc4h4c3s2h 6s5s4s4c3h 
9s9h5c4s2s Kc8h8c7d3c Qs8h6d5d2d Qh6s4h4c3d 
Ks8s5d4h3s Qc9c7d4d2c 8d7s7c3d2c AhTh4h3s3h 
QhQd4s3c2c Qd6c4h4d3s Jd9h8h4s3c Tc5s5c3h3c 
Qs8c7h6h3d Ks9d3s3h2d Jd8h5c4s3h Qh8c7s7c4c 
Qc6d5s3d2s Qd9c8s7h3s Kh9c8d7s2c JhTc7s4d2d 
Ks9c8h7d3c KsQh7d4c2h 7c5s3s3c2d AdTs6s6c3s 
Kh8h8d4s3c QcJd3h2s2c Ts7h6h4h3h 9d6h5s5d2c 
AsKd9d4d2h TsTd9s3s2s Th9h4s4h3d Qh6c4h2s2c 
KcQh8d6s2s Qc8h8d5s3s Qc9s5h4h3d 9s9d4s3s3c 
As6h5h4d3h Ks9c8h3h3c Ac8s6s4h4d Jd5s5c3s3h 
7s7d6h5h2h Ah9c8c4s4d Ks8h6h3s2s Kd5c4s2h2d 
Kc9h9d6h2s Jh8c5d4d3s 5s5h4s3s3c Tc8s5c4c2d 
9s9h6s3d2c QdJs3h2d2c 9d9c5h4d2s JcTh5h3s2h 
Td8c7d4s2h Tc8h7s4s3s QhJh9h6h2d 9d7d4s4c2c 
5s4h4d3h2d Ac9s4h3s3h TsTd6h4s2s 8h8d7s4s3s 
QhQdQcJsTh Js9s6s4d4c Qd6s6h5c3h Ad7d4h4d2s 
QdJd5s2h2d Jc6c4s4d2s KcQh9d4s2h ThTd5h4h3h 
AcJs7h3c2c QsJh8c2s2d KcQsQhQc4s Qs7d6h5c2s 
Ks8c6d5c2h AhQd8c2s2d Th8h8d3s3h KsTc8d5h2d 
9c8c6d4s3c 9d9c4c3s3c KsTh7c3d2s Kd9d8s8c3d 
QhJh8h4h3s AhTh4s2h2c Ts8s7d4s3h Jc6c5s5d4c 
AsTd6h5c2d AdQd7c2s2d Qd8h7h7c4h JhTc5c3d2c 
Qh5d3h3c2c JcTh5h2s2d AcQc5c3c2s Js6h5s5c3s 
Jc8d7d3c2s Qc8d6h2h2d Jd9d6d6c3d Ad7d4s4d2h 
Tc9c6d3h2s Kh8s4s3c2h Kh8c4d3c2h Qc7c6s2s2h 
Kc5s4h2d2c Qc9d6h6c2c Td8c7h3d2c Tc8d6h4s2d 
AcQs7c3c2h As9d6h6d3c JhTs6d6c2c 6c5h5c4d3c 
Kh7c6s6d3d KsJh7s6c2s Js7s5c4s3s Qd9s4s3s2d 
KcQc4c3s3c AsJc5c4d2c Jd8s8h7d3c KdJs8s6c2s 
QhJd5s2d2c JsTs7d6s2s Qs9d5s4h2c Jh9d8h3s3h 
KdQs9d4d2h TsTh7s5s2d Tc8c7s5h2c Kc6s6h2d2c 
AdTd4d3s3d 8c7d6c4h2c 9d6h6c5c2s Ts8d8c5d2d 
7s6s5d4s2s Qh7s7c6c3d QcJh9d4d2s Qc9h5s4s3d 
Ts6d5d3h2h QsTh5d4d2d Ac9h7h3s2s Tc9c5c4c3d 
7h6h5d4h2h Tc8c7s4d2h 9c8s6d4d2h Ks7c6h4d3h 
AdTc5s4s2h TdTc9h3h2h Ks7s6d3s3c Jc8c5h4d2c 
Kh7c5c4c3s KdQd8h3h2d Qd7c6s6d3d 7s4s4h3s3c 
6d5c4h3s3d Jc8d7d4s4d KhTh4s4d2c As7s5h3c2s 
6d5s3d2s2d 9c6h5d4c2s Kh9h8c5h3h QsJh4d3h2c 
Qh9h8h5h2s Jh8d7d4s4d AhJd7d7c2s Ac7c5s3d2c 
Tc8s7c4h2d 9d5s4s3c2d KhTh5s5h2d AhJh9s3h2h 
Js8c5d3d2c Qc7c6h3h2s KhQh5h2d2c KhTs5c3h2h 
Jd5d4d4c2c Ah9c4h4d3h Kd9h8s4d3c 8c5h5d3d2h 
Qs8h8d5d3c QhTh5h5d2c KdTc8c4c2h QcTd8s3s3h 
KcJh5d3s3d 9d8c5h3s3c AcTh5d4d2s QdJh4s4d2d 
7s6s6d2s2h KcQh4s4h2h Qd9c5s5h3s 9h8d5d4c3s 
Jh7s6c5h2d 9s8d7h3h3c KdTc7h3s2d Td7s7h4h3h 
AdTs7h6c2c KsTc6s3s2d Js8h7s3c2h AsTc6d6c3c 
Kh8s8h7c2h 8s8c4h2d2c AdTh7h7c2h Ac8d7d6h2s 
5c4s4h2h2d Jd8s8h3h2s Qd9c5d4s2h KcTd7h5d2d 
QcJsJdJc8d Ac9d9c5c2c QcTs5c3h2c Kc9s8s6s2h 
Jd5h5c3d2c JsTs4d3s2h 9c8s4c2s2h Td8h7c3s3d 
Td8c5h3c2h 6s5h4h3h2d Jh9c4h2h2c 6h4s3s2h2d 
Qs7h4s3s3h KdQh6s4c2s KcQh9c8c3c Kh9h3d2s2d 
Tc8d5h3h2d Jd5d4h2s2h Js9d3d2s2c KhQc9d4s2c 
Jh8c7h5s2h Tc6s5s3h2h 9h5d5c3d2h Qh8d7d4c2c 
Qc6s6d5d3d Qc8h6s4c2d 9d5s5h3d2s Ts7d6h5s2c 
9c8c6s4d3c KsTh6c4c2d Qc7d6h4h2d Qs8c7h5d3d 
8s7c6s4d2s Tc9h8s3d2h Th8h7s4d2c Td9d8d4h2c 
KcQh5d3d2s Ts7s5d5c3s Qc6d5h3d2h Jh6c5d4s4c 
Td9d8d4s4d AsQd8c2h2d 8c6h4h3c2c KcJh7c5c2c 
