Tc7h6c5h2h 
Jh7d7c6h5h Qc9s9d3c2s Kd9s8s6h6c Jd9d7c6d2c 
Qs9d6s5h2c QdTd8d4h3s 9h6d5c4h3s KhJd9c4s2h 
Qc8s7h5h2s As9h7d5c3c Kh8h8c4h3c KcTs9s4d3s 
AhKsTs3s2s Ac7h6s3s3h KcTd8s6s3h KhJd7c4h3h 
QhQd8s7c2s Qc8s8c4s3s Js8h8d4h2d Qd7d6c5s5d 
JhTh8h7c3h 9c8d7d5d3h ThTc8s7h2h Qd8c5s2s2d 
8d7c5s4h3d 7d6c5d3s3h 9c8d7c6c4c 9d6c5c3d2c 
JcTs8h2d2c Qs9d9c5s4s Qs9s9h3h2h Tc8h7s7c3d 
QhQc7h5h2s QcTd7h4d3s As8d7h5c3h 9s8s5c2s2c 
Tc7d5s4c3h 9c7s7h5c4c Kc5s5h2d2c QdTs9s5h2s 
6s5s5c4c2s 7d6h5s5c3s ThTd8d4s3c KsJh9h8h3d 
AhKs9s4s3d JhTd7s5h2c Jd9h5c3d2c Tc9h4s3h2c 
Kh9s6c4d3h 7d5h5d4s2h 7c5s5c4d2s Qs9d8c5h4c 
Js9s8s4h2h Qc9h4s4c3s QhJd9s5c2c AsQh8c5d3c 
AhKs9d7c2c KdJsTc3h2h AdTc8s8c2c Js9d6h5h4h 
Kh9c7h3s2c 6d5c4c3d2c Ad9s7s6h3c JsTs4d3s2d 
AsTh8d6c3d AdKc8s6s2h QsTc8c5d3c 7h6d5s3h2s 
Ah7c6s5d3d Ad9h9d5s2d Qc5s5c4s2s 9d8h7h4d2s 
Ks9c7d5d3h QhJc8s5d3d QdTh9c3s3c KsQh9s8d2s 
Ah6s4s3h2h Ts6s4h3h3d As9s8s3d3c AdJh9d6d3d 
KdJc9c6s3c Ah8s8d2s2d Td9d7s4h4d Qd6c4d4c3c 
Qd9h5c2d2c Qd5c4d3s2s Ts8s6s5h5c 9s8h5d3s2d 
Kc8c7c5s5d Qc9h8d3d2c Qs7d6s4d2c Qc9c8s4s4c 
Th9d5d2s2h QcTh8s7d2d Ts8d4c3s3c Th7d6d5d2h 
AcQc5h4c2c KsQs7h4h2s AdJd9d4h4d 7h6c4h4c2s 
KsQcJh7d3d Ks9c7s3d2d AsJh5s5d2s Kc8s5c3s2h 
QdTs4s3h2h Qd9s6d5c2h Jc9s5s3c2s 7d6d6c4h3s 
9h9c8c3s2s JcTd6h5s2d Kh9c8h6h4h Ks9c5h4s3d 
Tc9s8s7s4s Td9s4s2h2d AhTs8c6d3d As7h3s3h2h 
AdJc8s7s3s Qd9c6s3s3c AdTs8s4h2c QcTd5c4c2s 
KdQd9d6c2s KdQd8s3s2h Ah8h8d3s3h AhJd5d5c3s 
Th9d8d7s2d JdTs6h5c2s JdTd8d6s3d QsTd9h7c2d 
Qh8s7d6d2s JdTc6s5h2d QcJs7h7c4c As6h6d5s2s 
Jd9c6h4d2c Tc9h8d7c2c Kd8h6h6c3c Ah7s7d6c4c 
JhJd5s2h2c AcJd5h4s3d Td8h7h7c4h Ad8d6d4c2s 
Th8h7d4s4h 9h7c5h5d4s Jc8c7s3s3d TsTd7c5h3c 
Qs8c5h4h2c Js9c6d2s2c Js8d7h5d5c JsJh9d7c2d 
9d8d7d5s5c As8h7c5d3c KsQcJd7h3h Qc8c6h4h2c 
Jh9d5c3h2c 8h8c4h2h2c AsKs6c4s2s AdJd5c4d3d 
Ah5c4h3s3h 6s5d4s4d2s Qh7s7d6d5d KsTh8d7d2c 
Kd7d7c4h2h 9s7c6s4d2d Tc8s4c3s3h 8s6h5h4c2d 
AsKh8c6c2d KdQs8h7h4c AcTc5s2h2d Jd8h6d5s3c 
Qd8s8h5s4c Js9h8c4h2c JhJc4s4d2h Qc7h5c4h2h 
Td9s6h6c4s 9d8d7d6h4d QhJs7c5d3d KdQc8s5s4s 
Kh9d6s4h3c AhQs5d4d3d 9d8c6d5h2d JsJc9d4h2s 
KsQcJc7h2d 8s7d5s4s4c Ts9s5c2d2c Ks6s4d2h2d 
8d7h5d4d4c 7h6s5h3s2d AdJd5h4d3d 8d6c4h4c3d 
TdTc9d7h2d 7s6d5s3d2s ThTc8h5d3h AcQd6s6c2c 
9c7d5c4h2d KsJd8s6h2c Qh9c7c6c4d JhJd7d3h2h 
Ac9s6d5s2d Ac8s8d2s2d AsTd5h4h4c AsKsKdKc3s 
KcQcTc4d2c JhTc6c3h2c JdTs8s8c2s Td7h7d2s2h 
Js7s7h5d3c QsQh8c7h2h JsJd4s4h2c AdJh5s5d2d 
Tc9s8s7s3d Kh9h8s5h4d KsJs9h3d2c QcTc8c6c2d 
Kd9s7c4c3s QcTd5d4s2h Kh9s6d5c2h JhJd5s5d2d 
ThTd8d5d3s Tc6c4d3h3d Tc9d7s7c3c Jd9d7s6c3d 
Qd8h8c7h2c Qd8s8c7c2s Td9d5c2s2c QdJs5d4d3d 
Kd9s7c5h3s Qd8s5c2d2c Jc9c7h6d3c Qd8h7s6s2h 
KhJc7d5d3d QcJs6s4s4d Jh7c5h4h2c 9s8c6d5h2c 
Ad9d6s6d3c Td9d9c6d2s 8h6d5c4s3h JhTs7h3s2s 
AsQd8h4c3d Th9h9d7s2h 8h6d5h3d2h KdQc7d5d3d 
QdTc8h8d3d Th7s6s5s2h Tc9d8s7c2c KsJh8d4s4c 
AdTd9d6s2d QcTs7d4s3h Js9s9h7c3s Ks8s7s5h5d 
QhQd9s4h2h AcJs7c6h2c KcJc8c5s2d KdJs6c4s3h 
Qh9d8c5s4d Qd9c7c5s2s Jd8c6h5s3d QdTc8s8h3h 
Ah6d4h2s2c QsTs8s4h3c As7d6h6c4h KsTc5d5c4c 
Th8d5c2h2d Td8d7s5c3h Kh7s6c5h2d Ad7s6c5h3h 
Th8h8c3s2c 9h8d6h4h2d KsTs9c4s2d AdJs7c6d2d 
8d6h4h4c2c AcTsTd4d3d KcQsQc8c2c QsQd8s4h2s 
Qd8h7c5h4h Jh7h5s3s3h 9s8c6d3d2s Qc9s9h3c2s 
Qs7h5h5d3d KsJs6h5c2s JcTs6h4c2d 9d8d6d6c5d 
AsKh7c4c3c KsTc5c4h3d JsJh9s6c2s 8c5c4d3h3d 
KhQhTh5h3h AsTs8s7s3s Tc7c6c5s3d 7c5d4c3d2h 
Td6d4s3s3h Kc9c8s8h4d Tc8d6h5c3s Jd7s7c6h4d 
TsTd8d5d3c ThTc5s3s2h KcQc9c8h2d Th9d4h2d2c 
Qs6h4d3s3d QsQh5s4s2s Kh9s9h7h3c QdTs6c5s2h 
KsJd8h4s4c Kh9h8d8c3s QcTs9h7d2s 7d6c5d3c2d 
Kd9h6s5c3h AsQc7c4d4c Td8s6h5d3c 9s8c7s4d2d 
JhJd9h6c2h Kd9c6d4h3s Jd9c6d4h2c 8c7h6d5h2s 
7s6s6c5h3s Qd8s7c5s4s JdTs7s3d2s AcKh5h2h2d 
KsQc9s8d2s Qh9d9c8s3h QcJh9d5s2s AdTs8h5s3s 
QcJh8h6h3s Jc8h7d4d3h KcQcJc2s2c KcJc8c6s4c 
Jh9h7h6c3s Qh9c6c2h2d Qs9d5h2s2h Js9h6h4s2d 
Ac9c5c4d3s Js9c6s4d2c AsTd6d4h4c Ad9d6s6h2c 
JcTh7d3d2h KhTd8s7c2d Qs9c6s6d4s Th9h8h7h4c 
QhTc7h4h4d Kc5h5d2s2c Tc9h8d4s4c KdQd7h3h2c 
QhJd6d4s4d 9s6s5d2d2c Qd6c5h2d2c Ac5s4c3h3c 
JsTd8h2s2c 8h6s4s3h3d QsTh8d8c3d Qs9c8s8h4d 
7s7c6d4h3d Qc9c7c6d3h AsQc8h3h2c AsQh4s3s2c 
AhTs9s5d2c QsJd7c5c3c KcQh8s5s4s ThTc9h7s2h 
9s9h7h6h3h 8h5h5d4d3h KdJh7s7h4h AdJh9h4s4c 
AcQd9d5s2d KcJh5d4h3h KcTs5d4h4d AsKd9d4d3h 
KhQs7c6c3d KhJh8h6c4h Jh9c6d5d4d JsJh9h7c2h 
Kc9h7s5d3h Jd8s7s5h5c Ac7d5h4d2h QsJs7h7d2h 
Ts9c4h3c2s 9c8h7c4d2d QsTh9h7d2h KsTc7d5d3d 
JhTs9h4h2h Qd9h5h4d2d Ad9d5d4s3h QcJd9h5s2s 
Kh9c6h4d3s Tc6h6c5c2h Jd9s9d6c3d QcTsTh7d2c 
8s7d6h5c2d 8h7h4s4d3s Td6h5h4c2c As7c6h3h3c 
KdQhJh8h3s Jd8h7d4h2c AhQc5d4d3d Th9c8d7s2d 
7s5h4h2s2d KsQd8h5h4h Jd9d9c3h3d KcQs8h7d4d 
QdJs7s4h2h 9d8c7c5c3h Kc9s6d3c2d Kh9d6h4c3s 
Ah8h7h4h4d AdThTd5d2d JsTc6c5h2d AdJc8h5s2s 
AsTd6h3c2s As9h7c5d3d Qs9h8d3h2s Kc7h6d5h2d 
Jc5s4c3s3d KcQc8h6s3c 8s8c5d2h2c JcTs6h2h2c 
9h8h7h6d4h Jc8s6d3d3c Jc9s8c6d3h QhTsTh7c2h 
AdTc8h5s2h Jd9s7c6h3h Ks9h9c8d5d Ah7h5h4c2s 
KhQh8s6h3c KdTc9c8c3c Kc8c5d4d2c Tc9h6c4s4d 
AhKc8s6d3d KsQh7h2s2h Js8d8c4c2d AdQh9s6h2c 
TsTh8h5d3h Ks7s6c4s3d Ks7d6c5c3h Th9c8d4s4h 
Jd9c7h6s3s Qc8s5c2s2h Qc9h7d4h4d Kc8s8c4c3s 
KdJc8c7c4c Jd7s6d5h5c Qh8c6h4c2h Jd9c8h6h4h 
Kh8h6h6c4s KsQd8c5c4c AsJd8h7h3h Kd7h6c5c2h 
QsQh8d7s2s QsJh7s7d4s AcJc5h5d2c KhTc7d4s3c 
KhQsTc7c2d Jd5s5d4h4d Jc7s7h6c5c Jd9s8s3d2s 
Ah9d6h5h3h AdQc5h4h3h 9s7d7c6h3h KdJs5c4s3s 
KdQsJs4s2s TsTh3d2s2d QhTs8d7h2h Ac8d5c3s2h 
Qs9d6c3d3c Kh9h6h5c4h KhTs7c4d3s 9s7h5s5c4d 
QcJd6h3s3c AcKc6s3c2h 7c6s5h3c2h 9d7d6d6c4s 
Jd7h7c5h2c AdJh9s3h3c Ah8s7d5c3d QcJs9d6s2h 
QhTs5h4h2d Js8c6d6c2d Tc7c5s4s2h 7s5s5d4h2d 
8s7c6d5c2h Jd8d8c7d4h AsKd8d8c2d KcTh9d4h3h 
Kd7c5d4d3s 9h9d8s3d3c Kh8h7d5s2c Jh9s8c7c3d 
KdQcJs7h3h Jh9c8c6c4d Ks9s7c2h2c KhQsJs8s3d 
QcJh8s3h2s Js9c6d5h3d KcQd7d4s3h Td9c6c3d2d 
Qh7s7c6s5s Th8c4h3d3c Jh9d8c6h3s Kc8h7h5s2s 
KsQs8d3d2c AdJd9d7s2d QsJc8c5c2d Th8s8c6d3h 
Jd6d5h3h3d AdJc5c4h3s Td9d8s7d3c AsQc9h6d3d 
JhJc9d4c2s Th7d6s5c3d Ts7h5d4s3c AcTs8d6h3d 
7s6s6c3s3d Ks9s4d3h3d Kc9d5h4c3s Kh6c4c3h2c 
QsQh9c4h2h ThTc8s7c2c QdJh9c7d2s AdTd9d6c2d 
7d7c6h4s3h Qs6c4s4c3c Jc9h9d8d4s KcQc7d3d2h 
Kc9c8d6c2h Td9d7c4s4d QcJc8s7d3h 9d7d6h6d4s 
KhQsJc7d3d Jc7h5s5c4d Qd8d7h5d2h Td5s5h4s3d 
Td9d8h7d3s Tc9s8h8d3h Js8h7s4h2c 8d6s4d3s3h 
QhJd8c5s3s 7h6s5c3h2c QdTh7s6d2c Td7s5c4d3h 
Ks9c7s3d2c 9d7s5h4s2d KsJhTs3s2s AdQs9h9c2c 
Qc7s7d6c2d Kh6c5s4d4c QsJd7s6c3s Td7c6s4c2d 
TdTc8d5d3s 9h9d5h4s3c JcTd7s3s2d QhTs9s5c2s 
9s7c6d2s2d QdJsJc7c2h KhTs5s4d3c 9d8h8c6s3d 
KcTd8s7s2h Ah9d4c3s3h KdQdQc8d2d AdJs8s7c2s 
8s6h4s4c2c JsTc4d4c3h 9s9d8h7d4d QhTh8h6h2d 
Qh8d6d2h2c 8s7h5s4c3d KdQs8s6h3c QcJs7s6d3h 
7s5s5c4h2c Qd9h9d3h2h Js8h7s7c4s 9d8s8c6h3c 
QsQc9h4c2c KsQhTc7c2d QhTs8c5c2d Ad6h4d2s2c 
AcTs5h4h4d JsTs8s7c3s KsJs8s5c2h JhTc5c4c2s 
Qh8s8d5d4c AdQs9c6h3h Th6h4d3d3c Td8s8c6h3d 
8c7s6s4h3d JhJc8h6h3s Js5s5d4s4c JhJd8h3s3c 
Ad9d5d4h3c KsQs7h3d2h 9c6d5c4c2d Ah9h7s3d2c 
JdJc8s5h3h Jd9h6c5s3c AcJs8d6h3s QhJd7h4s2s 
Qd8s6s2h2d QcJs6s4s3h Tc8s5h2s2c 8s7h6c4d3h 
QhJd7c6h3h KdQd3s3d2s 9h9d5s3s2d 7c5h4h2d2c 
AcKh8s8h2h Jh9h7c6s3h Kd8d6h3c2c Ah9h6s6h3c 
JsTh6h5h3h TsTc7d5h3d JsJh9d7d2c AsQs7s6s4s 
Js7h7c5c2h Jc7c5d3d3c KcTsTd5h3h KhJc5s4s3d 
Ts8h6h5d3c KsTs8c2s2c Jd9d9c8d2h Js8h8d2h2d 
KsQcJd8h3h Td7d6d5h3c KcJd9s6h2d 8s6s5d4s2h 
KcQh9s6d2h Qh8s5c2h2c Ks9c7d5h3c Td9s9h8s2s 
9s9d6s5c2s Js9s5c4s2c JsTd7c3c2d KcJd7h4c3c 
JhTs8s8c2s Ad9d8s4c3d Kc9d6c4h3s 8h6s5s4d4c 
ThTc7d6s3d Qc6c5h2h2d Ks8d5s4h4c TsTc8c5c3h 
KhTh6h3s2s KdQhJc8s3s 9h8s7c5h3h Ac7s6d5s3s 
AhJs7c6h2h Kh9d6c5s3d KsTs5s5d3c AcJd7h6c2c 
KhQsJs7c2d Ac9c6d6c3s Kd9d7s6h2c Kc9c7c5h5d 
QdJh6h4h3s Kh8c5h3c2d Qh8s8c6d4s TsTh8s5s3d 
8d6h4s4h3s Js7h7d5h2s JcTd6h4c2s 9c8c5h3h2d 
Ks7s7h5d3s KcQs7s4d3h 8d5s5h4s3d 9h9d4s4h2d 
9c7h6h4h2c 9s8d7s6s4s Jh9s8h6d2c Qs9s4d3d3c 
Js9s8s5h5d QcJhJd3s2s Ts9c5h3h2s 9c8d6s6h4d 
Qc8c7c5c4s Kc7h6s5h2s Jc7s6s6d5h As9s8c4d3s 
8c6c5h4c3d TdTc8h7d2d Kh7h6s5c2d AcTd7h4d3d 
QhTs8d5d2c KdJd5d4c3d KsTc8d4s3s QdTs8h8d3d 
Kd9h7s5c3h KhJs6s6c4s QdTd7d6s3d Jc9s6h2s2c 
Jd7d5h3h3d 9c8s8d6h3c Qs8h8c7h2c KdJd8s4h2c 
8h6c5s4s3s ThTd8h5h3s Jc9s9h8s4d AhTd8d4s2c 
KdQs4h4c3s JsJd7c5h2s Qh9h7c4h4c Js8h8c5s3d 
KhQh9h6d2s Jh6h5d5c2c Tc9s8h8c2c AdTh4d3s3d 
Jd9d5s4h4c JsJd5h4c2s Td6s5h4h2s QcTc7c5s5d 
7d6h5s5d4d AsQs5s4s2d AhQd5c4s3c Ac8h6h5h5d 
Ks8s6c3d2d Tc9h7c3d2d KhQh9d8h2s Jh6s6d4s3h 
Ad5c4s4d3d KcJh9h9d2h AcQc5c4c2s 9h7c6c4s2h 
KdTs6d4c2d Qh8c6s6d5c Ks9d7c6h4c Jd9s8d6c3h 
Kd8c4d4c2s AsQc4s3s2d AhJs8c5s2s Kd7d6d4c3h 
Kc7d5s3s3d JcTdTc4c2c KcJs9c3h3d Ah7d4d4c3c 
KcTc5s5c3h Qh8s8c7s2c 9d9c4h4d2c QdJc9s7c3c 
Tc8h7s7h4h KcTd7c6h2c As8s6s4c2d KsQc7d5h3d 
Tc6h5s4s2h 9s7h7c6d3d QhJd8c5c2s Tc9s9d8c2c 
KhJs6h4h3d KsJd8c5h3d Kh8d6h5h3s Jd8d7h7d4s 
Ts9d7d4c2c QsTd7h5d3d KdQc8h7s4s Jh9h8d4h2d 
AdQc7c4s4c Js8h6d3s3d Jc9s6h4h2c JsTh4h4d3c 
7h6h6d3s3h Ad6s4d2h2c QcTd4d3s2s Qd9c5d4d2c 
Qd5c4h4d2h QhJs7s6c3d Tc7d5d4h2c Jc9h7c5c3c 
Ks9s8d3c2c 9s7c5h4c2s JcTc9c7s2c Tc9s9d8h3c 
Th9s9h7c2h Kh9s5d4h3c Jd5h5d4d4c 6d6c5s4h3d 
Qc9s6d3s3d KdQh9d5s5d Jh7d5s4h2s 9d7s7h6c3c 
Qh9c7h6s3h ThTc9h7d2h Jd7s6d5s2s AhQh7s4c2h 
Th9h7s4h4c QcTs8c7c3h Tc9s6d4d3h Td9h8c7d2d 
Jc9c8c5d2s QsJc6c4c3d QsJs8h3h2h Th7c6s5d3c 
Kc9c7c5s4c TsTh8s5c3s KcQh9c5d5c QsTc8h5h2d 
KdJd9d7h2c JsJc7d5h2c Kc9c6h3d2d KdQc7s6h3s 
AsAhAdAcKd QhTh8h4d3c As7c4d4c3d AdJd8d3h3c 
KcTh8d4c3c Kc9s7d4d3s Ts9d8h5h2c KdQh7d3c2c 
Jh9h9d3s3h 9s9d8h5h3c 9c8s8c4s2c Kc9h6s4c3d 
QhTc7c5c3s AcKhKdKc3c Ts9s6s6c3h KhQdJs8c3c 
Td9c8c7h2c Ts9h7d7c3h KdTs5s4c3h ThTd7d3c2h 
Qs8s7c6s4s Ah7s6d3s3d Qc9s7c3s3d Th6s5s5d2h 
Ts9c8d7s2s AcJs8h5d2d ThTc8h5s2d Jc8d7c6c2d 
AhQsTs4s2s 8s6d4d3s3h Js9s8h7c2d 7h6h6c5d3h 
Ac6d4c2s2h Qh8s6d6c5s QhTh9h3s2d QsTc8d6d2d 
8c5s4s4c3h Qd9d5h2s2h Jd9d5h4c3s QhJh9s8h3h 
Tc9h5s3c2s Qs7d5d5c3c 8h8c5d2s2c Kc9h8c6c4c 
Qd9h9c3d2h QsTd7h6s2c Jh9d8h6c2s Qh8d8c5d4s 
QhQd6h2h2c 8d6c5c4s2h 8h8c6d3d2h Jd9c6h2d2c 
9c6d6c4d2h KsTd7h4c3d Ac7h4s4h3s 9s6h5c4s3d 
QhTh3d2d2c QdJs7s6c3h AsTd9c3h3c Ks7s6c5h2d 
AhJd8c5s2s 9s7d5d2s2h JsJc4h4d3h Ad7d5c4d3d 
8h6d4d4c3h 8h5h4d3d3c Ks7c6h5c2h Qd7c6d4c2s 
As8s4d3h3c Ac7c5c4s2h Kh8s6s6c3c Ks6d5h4d4c 
QsJs7d6s3h Kd7s7h6s4c Jh6s6c3s3c KdTs8c7c2h 
AhKc8d6d2s Tc8h8c3d2h Qs9c6c5h5c 9h7c6d2h2d 
Jh8s6c3h3c QcJd7c6s3c KcQs7c3d2d KsQc9s5s5d 
Jd9s6c5h3c JhJc9h7s2h Kh7c6h4h2c 9s6s6h4h2c 
Jd9d8c4d2c Ac8d5s4d2s Js8d6h5c3s KdJh7s6d2c 
9s9c7c3d2s KsTs8s8h2d QdJc8s4d3h JhTc6d4h2s 
Kh8c7d5d4d Td9d5c3c2h AsQc7d6h3d Ks9s8c3d2d 
JhTs6s5s3s 9c7s5d4c3h AdKh8s5s2c Td8s7s5s5h 
Ac6h4c2s2d 9d7s5h4d3c 9d8h6d5s2d As9s6h4h2s 
8d7s5c4h3d Qd5s4d4c2c Jd9c5s4s2c Kc8s8h7h5h 
Jh9d8h6c3s QdJh6s5c2h Js8d7s6s4s QdTc8c5c3s 
Kc9s7d5d3h 9s7h6h6d4h JsTd9d7d2d Ad9d3h2s2h 
KcJd7s3s2c Td9c5c4s2s JcTd7h7d3d As6s5h4s2c 
8s6s5h4s3c QhJsJd7s2c KhJd6h4h3s Ah9d6c5d2c 
QsJh7c5c3c Kc7c5c4h3d KsTc7s6d2s Jd7s7h6c4d 
7s7h5c3c2h Kh9h6h5d4h JcTh7s3s2h Ts7s6s5h3d 
Qh9h4c3d3c AdKhTs3c2c 7h6h5c3h3d AhJd7h6c2h 
Kh7s7h5h2s Kc6s5h4s4d 9h7c6h4s2s 9d8s7c6c2h 
Ks8c5c3s2h KsKhKdQsJc Th9c7c4d3s JdTc8h8c3c 
JdTc8s6h2s Qc8h8d6s4h Kh9d9c8s5s JsTc6d4s2h 
KcJs6d4c2h KdTh6d4s2d Tc9s4s3d2c KcJsJd5h2h 
Kc8h4h4c2s JsJc9d4c2h Ks7h6d5d3c Ts9d8d7h2d 
AdKd9d9c2d KhJs6c4h2d JcTd4s3h3d Ah9h8h3d3c 
QhJc8s7d2h 9s6s4h4c3h 9s8c6h5d2c Qh7h5d4c2c 
KcJs9d6h2s AhQc9s6d3d JsJc8c6c3h TsTd7c6h3c 
Js9c7s6h3s KcTc9s4c2h 8d6s4s4h2h Tc8h6d5h3s 
Tc7d5h4s3c Qd9h7c5s3h AhJd8d7c2d QhJc6s4d3s 
Tc9h7s7c3c AhTs8s8d2s 9c6s6c4s2d AhJh9s3c2h 
