AhJh8d6s6h 
9d9c7s7d2c Qh9d7c5h5c 9s9d6s4c3d AcJsTs8d2s 
AhTh7c3c2s AcTh9d7h5h KdJc5c4d2c Kh9s8s8h4c 
JdTc9h6s6d JsTd9h6h5c JdTd5c4s2c Ac6s6d2s2c 
KsQhTs8s5d JcThTd6c4c KhJs8s6h3s JdJcTh6s3c 
QhJh5s4c2s Ts8d6h6d4h QsJc8h6s4d Jc9s5s4h4c 
9d9c6s5h5d Ts9h8d5d3s QdJd8h7d6c KsQh6s5d5c 
KcJdTd9d6d AhJh8s3c2s QsQdJh4s2c Js9h9d8d4s 
KcQcTh9d4c Ts7s7c6c5c QdJs8h4s3d QcTd8c4h3h 
Ah8s8h5h4c QhTd9h7s2s JhTh7c4c3h AhTd8d8c5s 
KdJsTh4d4c QsJh9h7h6c Ts7h6s5h3d Ah9h8s7h5h 
AsKcJs7h2s 9h7h7c6c3s Ah8c7h6h4d 9c8h7c5h5d 
AdJh8h7h6c Tc9d7c6h5s AdTd6d6c3c JhJc8h2s2c 
QsJh9s4h4c KhJd7s5s3d AcKh5d4s2h KhQsTd7c5d 
AdJh8c7s6c 7s7d6s6d2c QdJsJc2h2d Js9c7d6d3s 
JdTd8d6c5h AdKs8s7h3c QhQc9s7s5s AdTs6c5s4c 
Qd9h7d6s3h Kc9s8d7d2c Qd9h8s7d4h Jd9h7s5h3s 
Ad5d4s3s2c 9h7d7c5d4c QhTh9h9d7h AcQs8h7h6h 
KdJd8s7s2h KhTh8d7c5h KhQd8h5h3d QcJsJh7s5s 
KdQdTs8c2h Kh6c5d5c3h KdTd9h7d2h Ad9c7c5h4h 
Ks8s7h5d4c Jc9h7s6s3c Kc9s9c6s2h Qc7c6s5h3h 
KdQcJc8s2s KsJc9c3s3c KsJsJd7s5s QcTs8h8d6d 
KsKh9c8c4d AcJcTd6c4c KdQs5h5d4c QcTdTc8s5c 
QsJh8h7h6d 8c7c6h5s4d TsTc9c7h5d KsKhJs9s2s 
AsKs8s7c3h Ts8s7h7d4h 7d6h5c4d4c JcThTd2s2h 
Ac9d4h4d3c JhTd6h5s2d JcTd6s4s3c KsQdTh9c4h 
QsJh8h7c2s KsKdKc6d6c As9s6c5d3h AdJs7d7c4d 
JhTs9h7d4c As9s8h6d3c AhKhJh6s4h QsTd7d7c4c 
Th9s9h6d6c KhJhJd4h4c AdJs8c6d4d KdJdTd7s3h 
QhJd9d7d6c AdJd8d5h5c AdJh9h7h6c AhQh9h7s4d 
Jh8h7d6h4d AdKsTc6c3h QhQd9c7s5c Kc9s9c5s5c 
Ks8c6s5d2d AsKdTd6c3d Jd8s7s6c4c As7d6d5h4h 
JdTsTd8d5c QsTs7s6d3d KcTd8s4c3s JcTs9c3c2s 
AsTsTh5s3c 8s7d6s5s5d Jd8c7c6s4s QsQc9d7h5h 
Qs9s7c6d5h KdTsTc7h5c AsQh6h2s2h KsQd6s5c3h 
JsJc7h6h3c Jd7s7c6d5c AsTs7d3d2h AdQsJs8s4s 
Kd9c8d8c4s QcJhTc5d2s Tc8s8h7h6d QsTh9d6s3c 
AdTs6s6h4h QsJc8s7c2d QhQc9s6h4h 9h8d7h6c5h 
KcJc7d5s2s Tc9s8d6d2s AcKdJh5h3h JsJcTc9c2h 
Qh7s7h6s5h KcJd9d7c2c KcQsQd6d3d QdJs9s3d3c 
KhTh8s7s2h Jc8h8c6d4d As9d4h4d3s AdTh7c6h5s 
KsJd7s6d2c Kd9s9d5s5d AhKsTc6c3d AhQh9d5h4c 
KhKd9h4h3s Ad8s6h5h4s KsQc9c8h8c AdTh9s9h6c 
QsTc9d7s5s Ah9s8c4c2h QsJdTs5h2c Jc9h9d6c4h 
8d7h6h4s4d KcQsTs4d3h AcQs8c4d3h AhQhTc8h2h 
Qs7c6s5c3h AsKd9h5s3s JsTc4s4c3h QhQc9s7d5d 
Ac7d6c4d3c QsTsTh8d5s KcJsTh5s3d KcQcJh5c3s 
8d5s5h4s4h Jh9d7c6d3h Qh8s7s7h5s KsKd8h4h4c 
KsKhKcTh8c AsJd9s9c6s QdQcTc7c5c TsTc7d6h6d 
9d7s6s6d4h 7h6h6c5c3s ThTd7d6d3h KdQs6d5h5c 
9d8h7d6c5d JsTc8s4s2c AdTd8d5h5c Ah9c8h3h3c 
KsQcTh7h5d KdJs9c8h6s Ad9h6d5s5c KsJsTs6d2d 
AcJs8h4s4h QsTh9s4d2d QsJc8h7s3c JsTh9s3s2h 
Kc9d9c5d5c KsKc5d4d2d Qc7s7h6h5s Qh8s8h5s4s 
As9d8c7h6c TsTc8s3d3c Th9c8h7h4c KcQcTs8h2d 
Kh9s9c8s2h ThTc7d6s6d AcKdJs5s3s Qs9c8c5s3h 
QdJs6d4d3s QcJc6h5s2s JdTs9s5h2h AsTh5d4c3s 
AhThTd5h3c JhTs8h4h3s QhJsJd2h2c QhTd7d7c4c 
QdQcTd9d5d AdTd5h4s3c AsThTd7c4d QhJc8c7c6d 
Ad8h8d4s2s QhJd9s7d5c AhQh9c5d4h KsJh8s7s5c 
Qc8h6h6c5c Ad9s5h5d2h Jh9d7h6h4d AdKd9s9c3h 
JcTc8d8c6h 9s9d6s5c2d QsTs7h4c3c AsTc9d9c6h 
KhTdTc8s4h AdKd9s4s3d Jc8h6d5d5c KhQh6d6c3d 
AcJc4h3d2h AhJcTc8d3c 8c7d7c5d4c JcThTd7h4h 
JsTs8c6c3s TsTc7c4s3d JsTs8s5d4h JhTh7s4s3h 
AsQd8c7h5c AsQcTh6c3d Tc9h8h5c3d KsQd7d6d5h 
JhJd8s6s3d AdKdQd8d4h AcJc8s6h4c Td9h9d8d7c 
JdTd9s6h5d TdTc9s6h5d JhJcTs8h2d AsTs7c6c2s 
JdTh7s4h3s 9h9d8d7c4h QhTc9s7h5h KhQc7c5c2h 
JhTh8h8c6s Kd6d5d4h3h Td9s8c5d5c KdTc9s7h5s 
QdJd8s6s3h Tc9d8s8h7d QdJs8h8d5c TsTd5s5h3d 
KcQhQcTc4c AdJs6d5s2d AcJc8c6h4s AdKsJd7c2d 
7h6c5d4h4c KsTdTc8c2d QdJs7d5s3d QhQcTd6s2h 
AsJsTs6h4s KhJdJc8s5c JdJc7d6d5s AsKh8d3h3d 
JhTs9d6d5c QhTs8d7h2d Qd9d7h5s4s KcTsTc9c4h 
9s8h7s6d5s Js9s8c6d4c AcJc4s3h2s KhJh8d7d2d 
Ac8h8c4s2s Ac8s7h7c3d KsKcTd3h2d JdThTc8h5h 
AhKcQc5d2c JhTc7s6d4h QsJhJd9d5d Qc9s7c6d5h 
As9s7h7c6s Js9h8s5h5d JdJc8h6s6h KsKh7s2d2c 
QhJhJd5s3h JcTd8d6c2d Qs9c7d5s3c AcJhTh8h2s 
Tc7s6d6c5d KhJhTh7d3c JdTc9h8c5c KdTs8s7s7c 
KdTh9s8c4d KcQhQd6h3h Kc7h6c4s3s QhJc7c6h3c 
9d8h7c6d5d QdQc9s7s5s Jd7h5h5d4s 7d7c5s4c3s 
KsTs8d7c5s QhTd8c6c2d KcTsTd8d6d Td9s8s6s3d 
AsJdTs3s2h KcTh9h4h4c QdJh8c6d4s KsQh7d5h4c 
Ah5d4h3d2c KdKc6s5h2s QhQd9c8s5c QhJs8s7d2h 
QdTs8d7h4c KcJh9d8h3d Qc9h8h8d5d JcTsTd8s5s 
AhJsTc4d3s KsKcJh7d3d 9s9c7d7c5c 9s9d8s6c5h 
Ks7d6s6d3d KsQc8c5c2s Kh9s9d8d2h TsTh8c5h3s 
KdQh8h4d3c AdTd7s3s2h AcKdQd6s2h JcTs8c6c3s 
KsQd9c7c3d Kc9h8d7c3d QsQc8s7h4d AcQc8d4c3d 
KsQhJd7d5d Ad8h8d5d4s KhKd6d4s2d Qd9s9d7h4s 
ThTc8s8c5c JdThTd9s3d QhJs8d5c4h Kc9s9d6c5h 
8h7d6d6c4h AhQdJd9c4d AsJh5d3s3c Ts8c7s7c5s 
QhTs7h5c4d Td9d8s5s4s JcTc8s7s2c JsTc8d6h5d 
QdJs8c6d4h AdQd8s2s2h JsTs9c4c2s KhQh8s7h7c 
Qd9h7d6c3h QcThTd7c5s JhTs9c7d5d AcKc5s3h2d 
AsJs9s7s6h AcQc9c7c6d Tc9c7d5c4d As9h6c5d3s 
AsJc9s8s6s KsTs8c6s2c JdTc9h7s5s Ad9c7d4h2c 
Jc9s9d7c4s KhJcTs5c3d Ks7c6s4d3d Js9h5h4s4d 
JhTh6d4d3s As8s8c4d2d JdTs7h5c4s 9c8c7s6s4c 
QcJhTs8s5s QsTdTc9s2h KdQdJs5c2h AdKcQc5h2c 
QdTs8c6c2s QhTh8s4s2d QcJh9c8c7c KhTs9c3c2h 
AhKdQd8s2c AhKs6s6d2d Ts9d7s7c4c AsJh9s7c3s 
Ks9d8s7c2d JdTd6d5s3s KhJh6d4s3s JsTh7d7c6h 
QdJsTc5s3s AhJh4d3c2d KdJc9h6d5d Ac8s8c6c3s 
KhTh9s3d2s JhTc9c4s2s TdTc8h7c5s JdTh6c4c3d 
QhJd8s8h5c Td9d8s6c5h Jh9s8h7h6d Ac7s6c4s3c 
9s9h7h7c5h Ah8h8d4c2c Th9d8d6d2h Js8c7c6d4d 
KsTc6s4h2h 9h8s7h6c5h AdTd9s5c3d AcQhTd6h3s 
AcTs5c3h2s Ts8c7s7d4d 9s7h7d5d4h AdKc6d4h4d 
Tc9d8h7s7c KhJc7s5s3c QcTc7s7c6h Qh9d7h7d5h 
Td9h7c5h5c AcJd3c2h2d Qs9s9d6d3s QhJc8s5d4h 
Ts8s8h6h3c Js9h9c6s4h KcQcJhJc4c Ac5s4h3c2h 
QdJh8c7h3d JhTh8h6c5s TsTd7s6s3d Jc8s8c6h4h 
Th9s8c6d5h 7h6d5c4h4d QsJd8s4d3h KcJdTd6d4s 
JcTsTh6c4d AhTs8c7c4c Td9s8h7d7c Tc9d8s8h7h 
AhTd7s6d5c Th9d6c5h3c Kh9h9d5h5d Ac8s8c5h4c 
7s7h5d4h3d Jc8s7s6d4d AdJc8h7s6h QcJc9d7c4d 
Td9d6c5s5c Jh9h8s7c3c 9s9d8s5d4d QhQd8h7c2c 
Js9d9c8h7c Kd9d9c5h3h Ts7s7h6h4s Js9h7s6c5d 
QdTh8h7d3h JcTd8h5c4c QcJsJd7s2c QcJd8h4c3d 
JhTsTc9c3d AsJc8d4d4c AsKc9h4s3d KdKc8c3h2h 
Kc9h6s6h4c KcQs7d5s4h AcKcQd8h3c JhTs9c7s5s 
Ac8h7d7c4c JsTs9d6h5s JhTh6c5c2s Ah9d9c5s4h 
9c7h7c6h3d KsJh7s7c3c AsJs6c3h3c Ac8c6h5h3c 
QhQc9d9c2c KdQdJh7c2c As8h6d3s3d QdTs7d5h4c 
KdQs9d9c7d QdJc9h6h5s Td9d8d7d6c As9h8c6s3d 
KcTd7d6s5h KdKc6h5s2h TsTc9h6c2h AhJd7d6s5c 
Tc9d8c6s2s AcTd7c5d2c Jd9d8s6h4s Qs9s6h5s4h 
9s9d7h7d2s QhTd7d6s3s KcTc9c8c6d KdTh6d3h3c 
QhJsJc8d5d Td9h7c5d5c JsTd8h5d2h JsTd8d5d2s 
9h9d6h5d2s Ah7s7d4h2d 6c5d5c4h4d KcJhTd4s3h 
Th9h9c8d3c 8c7d7c5h3h KsQhTc6d3h AcTh8d7d4d 
Qc9c7d6h5s JsTh9d7h4c Jh9s9d8s4h KdTd9h3s2h 
QdJs4h4d3s TsTd7c5c3s JhTs7s6d6c QcJd8h7c3d 
QsJdTh5d3d 8s8c7s6c3d AsQs9s7s6c AdJh7d6d6c 
AdKh9c5d4d Qc9s8s5c3h KcJdTc6s3c Th9h8h7h6c 
JcTs8h6c4c AhQh9d5c4h KcJcTs6h6c AhTd9s9d6c 
KhQh8c6h5d KdQdTc8d4h JsJhTh9h2c KdTs9d8c2h 
KdTd8s7h5d AdJd4s3h2s Ts9s8s8c5c AcJcTc6h4c 
AdQhTs5c3c QcTsTd4s2d AsQs9h5c2d KsJd8d4s4c 
AsKs5c3h2d AcQhQd3h2s AsKc7h3s3d Ad9c8h7s6h 
AhTc4c3h2d AdTd9s6h6d Qh7s6h5c3s 8c7c6h5c3h 
Js9h8s7s6c AhQd6s4c3h Jh9s7d6s3h KhJdTh7s3h 
QhJs8c6h5h KsJhJc6d6c JdTd7s6c5d Ac8h6c5c4d 
JcTs8c4c2s Td9h8s5s3d 9d9c7s7d5d Kc9h8s7s2c 
Jc9d8s7d3c QhJs8s7s6d AsKdTs4h2s QhTh7s7h6d 
KdQc6s5c2s Tc8c6d5s5d KhJh6s4c3c 8h8d7d7c6d 
Jd9s9h8c7h QdJs9s7s6c AdKc8s6h5h Ah9c7h4d2c 
KcQs8s5s2c JcTsTc8c6c QsJc9s4c2h 9h9d8d7s4h 
KhQhTh8s5c QcJc5s4h2h Ks8s7d5c3c KsJs8d5c2d 
AdTd9h5c3d ThTc8c6s3s Qh7c6h5d3c QhTh9h6d5h 
KcTs7h7c4d KdQdJs7h2h AdKc8d7d3s AhJs6c4h4d 
KsJd9s5h3c Kd9d9c8d7h KsQh9h4s4d Ac9s8c3s3c 
AsQcTc9c5c QdTc9c8s5h JsThTd8h5h Qs8c6s6d4c 
QcTh8d6h2d QsJc8s8d6h AsJhTh5d3h QhJdJc7h2d 
QdTd7h7d6c KcJhTd7h4h AhKs5d5c2h Jh9c8h7h6s 
KcTs8c6d5c QdJc9d8d7d Qc9c7d5h4h ThTc8h7c3d 
Jh8d6s5s5h AsJh9h8h6c AcQsQd3s2h AdKs8d7d3c 
JsJh7d6d3s Js9c8d7d6h AcKd7s5s4h Th9d8s6s3d 
KsTsTc6d3h AdTs9h8s5s Jc9s9c6d3d KcTs7s4c3c 
JcTsTh9d3s QcTh9h4h4c JsJh5s4d2h 9d7c6d6c4s 
QdQcTh4s2d KsQhQc8d4s 9d8h6h5s3d QhJs9h4s2d 
KdKc9h8h4s Js9s8c7h3h Ts9c7h5h3c 9s9c8s5c4c 
AcKcQcJc6c QhJh8d6d3s KhKc5d4d2d As8s8c6s3c 
QhTd7h5d3d AsQs9s7c4d JdJc8d4c2h 8s8d5d3s3c 
Ks9c7s7h3c JsJh5h4c2s QsThTc7s5d AhKcTs8s3d 
Ad9h4h4c3d QhJhTc5s2d AhQh9h7h6c AhJc8s7d4c 
AhKh8h7s3d AdKdJd5s3d KhKcTc6c2c Qs9c6s6h4h 
QhQcJd9d5d Jh8h6d6c5d KdQh8h6d3d Ac8c6h5h2c 
Ts9h9c5s3h 8s8h7d6h6c QcTsTc5s2c Js7d6d5s4s 
TsTd8h8c4d KcJhTd7c3c AhQc7s6d6c Ts8c6d6c4d 
KdJsTd6h3d AdKs7s4h2h Ts9c8d7h7c JcTh7s6s5d 
KhQhJc8d5h Jc9d8c5s5d Ac8d6h5h4d KdQdJh8s5d 
Ac9d7s5d4s Ts9s8h5h3c QsJd8d7s2c Ac8s8c4h4d 
KsQd6d4s2d Kd8d7h5c3h JhTc8h5d4h QsJc9s8s7s 
AcKs7d3h3c AsQcJs3h2s Qc9h8s7c4h AhQdTs5c3c 
KsJcThTc5c AcJc5d3d3c KhQhTh4d2d JdJcTs8d2h 
KsKhTd8d2d Ah9h6s5d3c Kh9h9d8c2d QhTc8d6d2c 
AsQsTc5h2s Qh9c8d7h6h JdTc6s4s3d QsTh7h7d3s 
TsTh9h6c5d TsTd7c6d3c Kd8s7s5s5d KdQc6d5s4d 
As7h4h3s3h KhQdQc6d3d Kh9c8h8c4d AhQc9d9c6s 
AsTdTc7h4d AdKhJs9c4c Qd9s7c5d3c KhQsQc8d4h 
QcTsTh6h2s AcKcTc5s2h Ad7d6d4c3c KsTdTc7s5s 
Qs9s7h5d4d 8c7c6d5s4h AsTc9c7d2d Th9d8h7h4d 
QhJd8h8c5s JhTc8d6h4h QdJsTd4h3d QcJs9h8d5s 
AhJh4s3s2d KdJdJc7d2c KcQh7s6h5h KcQsQh7s4s 
9s9h7h6c5h KcThTd8d2h KhJh5s3s3c KsJdTs6c3s 
JhTh6h5s3s Kc7h7d5h5d JsJd7c6c3s KhKc8c2s2d 
AcQd6d3d2c AhKh6d4s4h AhKh9c6d2s Kc8h7d5c3d 
Ad9d7h5c4d AdJc9s7c2s QsTs9s8h5c AhJdTd4s4c 
JsJcTd9h4d KdTd9s3c2s JsTh7d6s4c AdKc6d4s4d 
Tc9s7d5d5c Tc9s6d5c3d JhTc8d6s5d QcJdTh8s4s 
KhKcQd8s4s KcJc8d7c5s AcKhTd8d3s KsJc9s6s5h 
Jh9s8h5s5c Qd9s9d8s4h QhQdJs9s5s KdQsQh7h4h 
Kh9d7h5h5d KsKc9d8d4h Js9c5c4s4d KsJhThTc5h 
Kh9s9h5s5h QsTd8c7s2c AcKs9d5c2h AsQd6h4h4d 
KhQsQd6d3d KsQd6s5h3c KsQhTh9h4c Ks9s8h7c5d 
Kd6d5s4h2s KsKh4d4c2c AcQs7d5h4s Js9s9c6h3h 
ThTd6h4s3d Kc9h8c7s2h 8h7c6s5s3c QdJd5d5c4c 
AhJh8c3d2c QsTs9s6h5s Jc9c7h6h4h KdQcTh7d3s 
QhTs7h4c3c AdJd7c5s3d KhKd9s6c3s Js7h5s5h4d 
8s8c6s5s3c Jc9h9d8s7d KsJhJd8s5s Jd9s9h5s3h 
AcKc9c8h2s JcTc8c7h4d AhKhTh5c2d JcTd7s5h4d 
JhJc5h4c2s QsTd9h7d5c KsJc9c6c2s 9s8h7s6c5s 
KhKc9d6d3d TdTc8s5d3c JdTd7h6c5d QhJsTc8c5c 
Ks9h7s7d3h AsKsJs6d4s AsJs8d6h4s AdTh6d5d4c 
QdQc9s5h3d KcTs8d6c5c KhJc8s7h5h KsTs8h7h3s 
KdQdJdJc4d KhQcTs7s5d KhQh8s7d3d AcQhTd4c2c 
AhTc6s6c4s AhKh9c6s2d KdQsJd5d3h QcTdTc9c7c 
KhQcTc9c4d AcJs5h3d3c Kc9s8c6s3s AsKc9c8c6c 
QsJs8d6d3h AdJc9s5d3d Tc9s9d5c3d JhTdTc9s5h 
KhKc9s8s4d KcQs9s4d4c QcJs9s3h3c JhTh8d6d3h 
Jh9c7d6d3h Td9c8s7d3s AdJh6d5s4d 8h8d5h3s3d 
KdJsTh7d3d Jc9d8s7s4d Th9c8d5d3h QdJh9s9c7s 
Jc9s8d6c5h KcQcThTc5d JdTsTh2h2c KsTsTh6c3d 
KsQs8d7c3c AsQd9s3h2h Ac9h8s7c4c Ts8d7s6c3d 
9c8h7c6d5c JsJh6d6c5c QdQc9h6c4c 8s8h7c6d5h 
KsQd9h7h3d Td9h8c7s7h QsJdTc8c5c AcQs9d7h2c 
KcQcTd8s2h KcQd6d5s2s KcJs8c7c5d JsJcTd6h3c 
KsKh9d7s2s KdJd8h7h2c 8s8c5s3h3c Jc9s8h6s4c 
QhTd8d7s7d Ah6s6d2s2h KhQcTd7d5s 8s8d6s5c2d 
Ks7h6c4h3s Kc7s7d6c3d KdTs9c7h5c QdTd9d8s5h 
AcQd7c4d2c KcQc8h6c5s KsQhTsTd4s Qc7h7d5h4c 
Td9h8s6s3h Td9d9c8d7s Qc9d6h6c4d Td8d6h5h5c 
Jc9s9c7h3h KhKd9c6s3s Jd9s7s6d4d Jc9h9d8h4c 
AdKdQh8c3d Qh9s8s8h5h KdTsTd9d4c Js8s7s6c4c 
QcTc9c8s5d KhTs8h6h2s QdQcTs8h3s AhKs8h7h3d 
AsJc7d5h4c KcQhTd8s4h QsTs8d5d2d JdTd8d6s5h 
AcQdTh5s3s Td9h6h5s3s KcQc8s7c4s AhKc9s4h3d 
Qd9c8s8c5s Jd9s8d7d6c QhTh8h6c3c KsJd7s6d2h 
Tc9c6h5h5d JhJd9d5s5d AcJd8c6c4s KcJsJd8h5d 
7s7c5h4c3h KhQsJc6s3d KcJs7d6d5h Ac8d5d2d2c 
AhQcTd8s2d QcJhJc4d4c AsQs9d5c2h JhTc9s6s5d 
AdJh9d7c3d Ah6s6d2h2d AhQd9h3s2s KdQd9h5s5h 
KdJd8s7d5h KcJd9h6c5c KdQh9d9c7d JsJhTc8h2d 
Qd8d7s6h5c JhTc9h6s6d Qc9s7h5h5c JdTh8h3d3c 
Tc9h7h5s3s AsJs4d3h2d QhJs5s5h3h Qh9h8s7s4s 
AdTd5s5c2s Js9d8s7d4d TsTh8s3h3d Js9h9d8d3s 
QcJs9h8s6s Kc9h9d8d2c QcTs8h6h5d KdQdJs5h2c 
AsQc9s7s5s KsTd9c8h4s Ac6h5c3s2h AdJhJc5c4c 
AdKh8h7s3c QdTs8s7s7c KsJs8h5c2h AdKcQc6h2s 
JhJd9s6s6c AsJs8h3d2h Th9h8s5s3c Ad8s7h7d3c 
Jc9d8h6d4c JsJdTc9h5h JcTdTc9h3c Qs9d7s6h5c 
KhQs6d6c5h KcTc9h3s2h KhKd9d4c2s AdQs8c6c2s 
KdQd8s7h3h 7s7h5c4h3c JsTc9c6c2s Ah8h7c2d2c 
AcTd6c5c4h TsTc8s3h3c Ks9s8h7d3d KhTdTc8c6c 
Tc9h8c6h3c JsJd9d5d5c KhJsTsTd5s KcQhTc8c5d 
Qs9s7c5d4d KsKd8d2h2c Kc8d6c5s2s KhJdTs9c5c 
8c7c6s5h4d QdJd8s7d6c KdTh6d4h3d KdQd6h6c3h 
KhTd7s7h4c Qs8d6d5h4h AcQsJs9h4s Kh9h7h5s4s 
TsTh7d6s3d 8d7d6h5s4c JsJdTh9s2s KhQs9h9c7h 
Kh9h9c6c2s AhKd9c6s6d AsQs9s7h4c Kc8c6h5h3h 
Ad8h7d4s4c KhKdTc4s2s Ah9s5h5d2d JsJc9s9d3s 
AhThTc5h3d Ks8d8c7d5c QhJh8s6s3c KsTd7c5c2s 
KhTs9d3d2h AdQsJs7c4s KdJh9s8h3s AcKhQd5h2h 
AcJh7c6c2h Qd7h7d6s4h AsJd7d4s2s Ac9s7h5s4h 
Qd8s7s7d5s JcThTc5s5c Kc7h6c4d3d JsJh8d2s2h 
Qd9s7c5d3s KhQdThTc4h Qh9c6h6c4d QsQd8s7h2h 
KdQdTh9c4d KhTs9d8c4h AsJh7h6c5d AdTc6s6c4s 
KhQcJc8d2d TsTc8d6s4h Ac9h6s5d3c KsKcQd8h4h 
JsJh8c6c3h KdQdTd8h5s QdQc7s6c4c Ah9h7s7d6h 
KsJh8h7s3h AhKd7s3h2s JsJc9d6h6d AsJc9c7c6h 
QdTc9s5d4h KcJd7h5h3d QhJc8s8h6d QdJh8d7h2c 
Ad9c8h7d4d QcJc8h7c6s JhTd9c7h3s KcTc8h7h3c 
AdJc9s8s6h KdJd8h7d5s Th6s6c4h4c KhQh8c5s2s 
JdTc9d5h4s 8d7d6s5h4c QcTs6h4h3s KcQd6c5s5h 
AsKh9c5s4s AhTs5h3d2s KsKhKdTs8d AcQhJc3c2s 
KsKcTc6c2c Qh7c6h5c3s Jc9s9d5d3s QsJd8d7c2s 
QsJd4s4h3d QhJd7s5s5d 9h7h6h6c5c Ac9c8d6h3s 
AcJh9s8s6d QdJsTh5s3s QcJd9s8h5d As9d6c5s3h 
Th9s9c8s3c TdTc8d7c3h 9s9h6s4c3h JdTh9d8d5s 
AcKsTd8s2s 9d7s7c5d4s Ts9c8s7s4c AhKs9d5h2c 
AhJcTc8s2c AcTsTh4s3h Qs7h7c5c4s QcJd8h6h3c 
KdTs8h4d3h KhJsTc9d4c 8d7h6s6h4d AcQc6c5s2s 
Tc7s6c5s3h Qs9s9d8c4d QhJd9d4c2h Ah9c8s4s2h 
KcJdTs8h2c KsQdTc8h4d AcKc9s9h3d AsJs8c3c2c 
AdQcTc9c5c KdQc6s6h5d 8s8h6s5s3h KdQd9s9h7d 
7s6s6h5h3c Jd9d9c6h3h QcJh9h3s3c Jc9s7s6h3c 
Jc9d8c7c6h QhJh8c7s7d KhKc9d4h3h AcQh7d6s6h 
Ts9d6d5c3c KsJd9h6s5s Qs9d8d5s3c KcQc9d5s5d 
Qd9s9d7s3c KcJs9h8d6s QcJc8s6s3d AsTc8h8c5d 
Js9c8s7s6h KcJc8d7d2h JsTh6d4d3s AdJcTs8c2c 
JsTsTc9d3s KhKdKcTd8h JsThTd7h4h KsTh9h7h7c 
AhQdJh3h2c Kh9h8c7s3s KcJc7h5c3h KhJcTh4h3d 
KcTd7h6s5d Td9h8s8c7s AdKs7c3d2c AcKs7h3d3c 
QhJc8c7s2h AhTs9s9d6c JcTc5d4s2s JcTc8d8c6s 
