QdJs6h5h2c 
Kc6s5c3h3d Th6s6c5s4d Ad9s4s3s2d AhTc8s4s3d 
7s7d6c4d3d Kd8s7h7c5s KdTs8c6h3c Kh9h5d3d2d 
JsJd7d4d3h KhJh7h6h3d 9s7h6d4d2s AsKs9d4c2s 
AcJs6h5d3d 8s8d6c4s3h KdJs9c5h5c AsQc5c4c2d 
Jc9h9d7c3c Ah6h4s4h3c Kd8s7s7h3h 7d5d4h2s2h 
9h9c8s2d2c 9c7h6d4c2h KsTc7d7c3c AsJh9h6h3c 
9c8h8d4s4d Qd8d5h5d2h Ah7h5h5d2c KsQc9h6s2s 
AdJh7d6d3d Ah7d6c5s3d Td7c4s4d3c AcJhJd6s2h 
QsJh6s4c2d 8h6d4s2h2d AdTc9h5c2s 8d7d7c5s3d 
9h7h5h5d4c QsTh7c5d3d Jd9h6s5s3s 9d6h4d4c3h 
QdThTc4c2c KhQs8c5h3h Th9d4s4d2s AhQh9h4c2s 
Jc9s5c4h4d Qc8c7h5s5d KcTc4d3c2d Kd9c7c5s3h 
QsTc9c4c3c Qd9c7s6s4s AcTd8h4d3d AhKs4c3d3c 
Th9h5c4h2c Kd9h8h6s6h Kd7s6c5h3c Th9s8s5s5c 
Th6s4s3h3d Ks9h6h2s2h QdTd7d4c3h Js5d4c3s3c 
QsTh9c5c2d As9d9c8d4d AcQd7s5d2h QhJd7h6h3c 
Jh8c6s3h3c 9s6h5d5c4c As9s5s3d3c Tc7c6d5c3s 
Jh8d6c3h3d QsTd9d4h4d AhQs9d9c3c KcQc8c4h2h 
9d6s5h5c4c QsQd3h3c2c KdQs8d7c2h AcQs8s5s2d 
9c6s6h4s2c Ts9c8d7d3d As9c5d4d3c Ks9d9c3d2s 
QcJh7c6c3s Ac7h7c4c3c QdTc7c5s3c Ac8c5d5c4c 
AsJc6h4d4c KsJs9s6c2d 8h6d5c3h2c KhQd7s6c3c 
KcQh8d7s3c JhJc8c7c2s QsQd8h5h2h KsQc7h5c2d 
Td9s7d4d2s Jh9h6d4s2s KhQs5s4c2s Qc9c8c7h4d 
KcJh5d4s3d Tc8h7d4s4d Jc9h5s4d3c Ks7s6h4s2h 
Js8s6c5h3d Ks9h8c6h4d KdJh8d8c3s 9h7s4s4c3h 
QcJs5s3h3d KdJsJc7h2s AcThTd5h2h KhJs9c8s4s 
Ad7c5h5c2h Jd9h8c5c3c KhJh6d5h2s 8c6d5h3d2h 
KhJs7d6c3c AdQh8d3d3c AcTs8d4s3s KcQs9d6h3h 
Qs9c7d6d4d QhTs9d5d2c Jc9d7c4d2h Kc9c7h7c5c 
Th9h4c3c2s Qh9h8h6d4h Kh9d9c3d2h Tc9h8s8h3h 
KcQc8s3h2s Js9h8c7c4c Th7s7d5h2s QhTsTc4c2c 
KsJs9s9h4s KcJh9d8s4d Tc9h8d8c4c AsQc8c5c2h 
Jd8d6c4d3c QdTc7h5s3s As8d5c3h2s Ts7s6d5h3s 
Td9h7s2s2h Qh8s8c7d4h Js8d7s5c2h JhJd9s5s2s 
Jh8d7h5h5c 8h8d7h6c3h AcQs8s4s4h QsTh9s3s2d 
Js8s5h4s4d AcQs9c4h2c As7d5s4c2s Tc9d8s5d2h 
Jh6s5s4h2s Kd8c4h3d3c Tc6c4s4d3s AcJd8h3d2h 
AdQd9d4s2h Qs6s6c5s4h QsTs9h2s2c AdQs8h4s3c 
Qc8h7h6h6d 9d8s8h3d2s QdTsTh4s2s Th7s6d5s3c 
AdJd6s3h2c AdKs5d3d2d Ts7s6s6c4h 8s8d6h4d3c 
9d7h5h3c2d Kc9s8s6s6d 9s7h5d5c4s Kc7d6d5h3s 
Qc8d7d6h6d Qs9s6h4d3c KdQh9s6d2d AsQs6s6c2h 
Qh8d7d4h3h Jh7h5d4c2c Td7c6d5h3d KhQc7s5c2d 
AsQc7d2d2c Ah9s7d7c4s AhQd8d6s2d QdTs6h5d2d 
KsTd8s4s3h KhQd9d4c3s JdJc6h5s2c Ah8s5c4c2s 
8s8d6h4s3c KhQs9h6d2h As5s4d3s3c 9h8h7c6s3h 
Ac8d6c4c3s AcQh5s5d3d 8c7s7c5d3c KhJs5h4c2h 
Ac9s8h5h4h Jd7d6d5c2c KsTc9c7c2d Kc7h6d5s3h 
9h6c5d3c2d Kh9c7h4c2c AhTc9c3d3c Qh6s6h5h4c 
Qh5h4s4h3s 9d7h7d6d4c AhKh9s4d2h JdJc6d3s3d 
AhJs8s8d3s Qd9d6h4s3c Qc8s6h5d2c Qs7h6h5d2d 
Qh6h6d5h4c Qh9h6c4h2c Qh8d7s6s4s 8d6h4h2h2d 
Ts8c6d5h3c Ac8c7s4d2c QdTd6h4d2c 9d6d6c5h3s 
Qh7s5d4c3h KdTc8d4d3h Js8s8c4h4d As6h4s3h2s 
Td6s6d4s2c KcTc8s8c3h Jd7s5c3s3c Kd8c6c3d2h 
AhKh9s4c2h Jd9d8s2s2d QcTh3h3d2d Ad5d3d3c2c 
KcQh5h5d3h Kh8s7s6c2c JsJd6s4s3c JsTc8d6h2h 
9h8d8c7c3s Th9s8s5d5c AhTd8c6d3d Th6s6d5d4c 
JhJc6c3d3c QhTs9s4s4c AsTh8c5c3c 9c7c5s3s2h 
KcTd7s4s4h QdTs4h3h2s 9d7c5s4d2c AhTd6c4s4c 
AdTh5h4s4h Td9c5d5c2c QhQc7d5h2h AcQs8s6s2h 
9c8h7d5d3d AdTh5s5h2s Kc9h6d5s4s Td7h6c4d2c 
AhTh8d3c2h JsTh9s5s2s Ts7d6c5d3h Jh7h5d4s2s 
AdQc8s3c2s AcKd4h3s3h JhTdTc6d2d Td6h6d4h2h 
AcTd9d6s2h Qs8d5d4h3h AsJc9h4h3d 7c5h5d3s3c 
Jh7d4h4d3c Jd9h5d4s4c 7h7d5d3d2h 6h6d4s3d2h 
KdJd8d5s5c QcJh7d5d3s 8s6s4d2d2c 8h7d5h5d2d 
Ac8s6s4h2h Kc7d6d2s2c KhJd9d6d4d 8c7d7c5s3c 
9h8s7d7c4h KdJs9s6s4s KsThTd7h2c 8s6h5s4s2d 
Qd8d7s7d3s 9h7c6c4s3d Ah5h4h3s3c Kc7h6s5d3h 
Kh8s7s6d2d Jc7d4d4c3s Qh7c6c4h2d Qs9c6h5d3h 
Js7c5s4d2d 9h8s8d5c3d AsJcTc6h2c 9s9h6d5c2s 
Qc9s8d8c2h KcTc7d3s3h 8h6c4c2h2c QhQc8d5s2s 
As9c5s4h3s QdTd7c4d3h AhQc7d6d3d QsQh9s4d2s 
QdJs9h4c3h QcJs9d4c2h JhTh7s3d3c Ah7h3s3c2c 
Qd7c6c4d2h Ah9c7s6d4d AsJc5h3h2c Qd8c7h5h4h 
Ks9h7s4h2h KhTs7s4c3d KcJc9c6h2s QhTs9d4c2d 
KsQs8s5c3h KhQsQc8d2d 8d6d5d4h2c Qs6s6d5s4c 
Qh6h4d3s3d Td8h6s5h3h Jd9d7s5d3d AdQh9h7h2s 
KhQd9d8c2d AhTh4c3h3d Kc8h7c5c4c QsJs8d7h2c 
Kc6h4h3h2c Ks9c7c5d3h KdJd6c5d2h QdQc4d3d2h 
AsQd8h8d2c AhJcTc6s2c KsTdTc7d2h 8h8d5s3h2s 
KhQh4s4d2c 8s6h6d5d3c Ks7h5c3s3d AsQc9h9d3h 
Tc6d4d4c3s AcQc8c6d2c QcJc6h6d3c Kh9s8d6s4c 
QsTc7c5d3c Qd5c4s4d2c Qs8h8c4s2h Tc9s4s3c2d 
KdJc8s5d2d Ad7s5s5h2h QsJh9s6s2c AsJh8h8c3h 
Ac7s3c2s2h KhQc7s4h3h AcJh8h8d3h AdJd5s5d3d 
Ts9d6s5s4s AhTs8c4c3d Ah4h4c2s2h Ac8s5h3d2c 
AhJh6s3d2c Kd5h4s4c3d TsTd8h5s2c JsTs9c3s2d 
Ad9h4h3h2d 9h6c4s4h3c QhJhTh4h2h KcQh5d2s2c 
KsKdKcQhTc JhTs7s5c2d Jh9d6d4d2h Td6h4h3d3c 
9d6s6d4c2s 9d8c6s5d2d Td8c6d5h2s KsQd5d4h2d 
Ts9h6d3s3c KdTd9s3c2d 9s6c4s4h3c KsTh5d5c4c 
KsTc5s4s2d KcTh8h6d2s 9d8s7c6d2h AdJs9s7h2s 
Ks7s6d3d2h Kc9s7c4s2s 9s7h4h4d3s Ad7s6c5h3s 
KhQcJs7d2c Kh9c7d6s3s QsQc5d3s2s Qd8s6s6c2c 
Jd8s4s4d3c Kh9c7c5s2s AsQh8h5h2c KcQs8h7d2c 
AsKhKdKc9c Qs8c7d6d4d KcQs8h6d2s QhTc6s4c3c 
Th9c7s4c2s JsTh7h5c2d KsQs3c2s2c KsTc5h5d4h 
Kc9h9d5c4c AcJd9h7s2h Qh7s6c5h3h AcJd7h4c2c 
9c8s7s7d4h AdQc8h5s2h 9d8h5h4h2d 9h8d6s5c2s 
8s8h7c6d3d Qs9h6h5h3c Ac5c4s3d3c Td9s5d4h3c 
Js8s8c5d2h KhQc6c4s2d JhTs6h2s2h Ts7h7d6s3c 
8h8d6s4d3c Th9d5h2d2c Jh8h8c2h2c KsTs9s3d2h 
AhJd9s7d2d KcJd7s7h4s 9d4h4c3d3c JhJc6c4c3s 
AcJc6c5c3h Tc9c6h4s4c Qh9d7h5d2h 9s9d6c2h2d 
AcJh8s5d2s 7s7c6s4s3d Qd9h6h5h3c Ts9c7c4d3c 
9s6d6c5c3h Kh9d8s6c4s AdJc8c5c3c Ts9s6h4d3s 
Kh9d8c7c4s Ks9h9c5s2d Qc9h6h5s3h AhTdTc7s2s 
Qc6c4s3s3h JdJcTc6c2c Ac9d7s3h2c AdKh9c4d2d 
KcTs9s6s2h KdJh7s6c3c Td9d5c4h3s 9h7d5d4s2s 
9c8c7h6s2d QcJd9h4d3d KhTc7d7c3s Kd7s7c6c2s 
KcJc9s6c2d QdJh9d6d2s JhTd4s4c3d Jh5s5c4s2h 
AcTsTd5s2s Ts7c4s4c3c AsKh9h6c2h AhQd8c3d2c 
AdKc7c4h2c Ac9s8s6h4d Qs6c4c3s3c Kh9s9d3h2s 
QsTd7c2s2c 7h7c6h4h3s Th7d6s4h2s Qs9s6h4c3d 
Ah9s5c4c3s Qh9s6c5d5c QsTs9s6s2d 8c7c5c4s4d 
As9s8c4s3h JhJc6h3h3d As5s4h3s3d KhTh7d3s3c 
8h8d7d6s3d 9d6c4h4d3h Qs7c6h6d5d KhQs9d9c2s 
KcTh8s5d3h AsQh8d7c3c Kc7c6s3s2d Td7h5h4d2s 
JsTh9d3c2c 9d6d6c5s3h KhQc8s7d3h 9c7c5h3s2h 
Qh7c6c3h3c Ts8h8d3s2d Ah9h9d6h4h Th8s5c4h4d 
KhQsJd7c2s Qd9d6c2s2c Ks8h7h6h4h Kd7d6c3c2h 
QhJhJd7h2c Tc8c6s5h2d AsQd6h3d2h Ts8d6h5d3d 
8h7h7d5s3h JsJh9s7s2d Qs7d6d5h2h AhKsKdKc9s 
ThTc8s7s2d KdQsJc8c2c Ts9c6h3s2h KsJs7h4s4c 
Ah9c8s8d3c Js8s7s4c3c QdJs9c4d2h 9h8c6h3c2d 
Ks9s9d5s3h As8s3d2d2c KsQdJs7c2s Ts9s7s5c3s 
Td7d6h4c2h Ts8d6s6h3c Ah8d6h4s3h QcJc8s4h2d 
KhJd9c5s5c JhJc8s7c3c Js8s8c2s2c KhJs9s9d3s 
QdJs7c2s2d KcJs7h3d3c KsTsTh8s3s AcQc9c4s2d 
Ts9c8h4s3d Kd9s9d7h3d 9h9c6d5h2h Qc9c8s7h3d 
Ad9h3h2h2d KhQs8c7d3h Ad7s7d4d3d Jh6c5d5c2h 
JhTc8c6c2c Jh9h6s4c2c Js7h4s4h3c Jh7c6h6d4s 
Js8h6d6c4s As9h4s4h2s Qc6d6c5c4s QdJc8h8d2s 
QhJd7s2h2d 9c7s6d2s2d KcQc8c5s3h Qc5s4d4c2s 
8h6c5h4h2d Jd9s8h6c3d ThTd8s6c3c QhTh9h3d3c 
Ad6d4s3d2s Ks9s8s7h2d Qh8d7c4h2c Kh6h5d5c3h 
8d6h6d3s3c Th7d5c4h2d Qd9c8s8d2h 9s6h5d5c4d 
Kc7s7c6c3d KdQh8d5d5c 9s8s6d3h2d QsJc6d4d3h 
KcTs9d5s5h QhTd9s4c2s 9d8c7h4h2c 9h7c6c2h2d 
KhQc5s5c3c KsTs9h3d2s Ah6d4s3c2h Ad9s8s6h4c 
KdJh9c3s3d AhJc7h4s2h Js8s8d4h4c Td8d6s5h2c 
Qd9s6s5s3c Tc8d4d3h3c 9d8s7c5c3c Qc9s7d5h4h 
AsQc8s6s2s Tc8s5h2h2c AsJc6c4d2d AdKh7h4s2h 
KcQd8d3c2d 9s9h8h6c3h Th9h4s3s2c KdTh5s5c4s 
Th9d5c2d2c 9h7d5s5c4h Tc9c5s4c2s AsQd8s6s2s 
7c5c4d2s2d Th9s4s3h2c Js9c8h6c4c Ts9c5d2d2c 
AsTc9c3h3c AhQd8h3h3c KhJd8c5s5d Jh9h8h6h6c 
KsQcJs7s3s Ah5h4s3h3d Js9h6h5h3d AdQc7d3s2h 
Jd7h6d6c4s JsJh8s6s2d Ks7s7c4s4d Ad7s7h6s3c 
Kc9d9c7s3c KhQc5c4c2s Ks5h5c2h2c QcTd7s2s2c 
9d7c6c4h3s KsJdTc6c2c JdJc6d4d3s Qs8d6s5h3s 
8s5h5c4s2h 9h7s5s5c4d Jd9c8s5s3s KhQd5c2s2h 
KcTc8d6c3c Jd5s5d4h3h AsJc5d5c3c Kd9d5h5c3s 
Th7h6c5h3s Qd7s6s4d2c JcTc7c6c3s KcJcTc3h2c 
Ac4h4c2s2c Kc9d7s6h2c AcTs3d2h2c Kh6d6c5s4c 
Jc8s6h6d4c 8h6d5c3d2c Js8s5h4d4c 8h7d4c3h3d 
KcJs7d4s4h Jh8c7s3s3h Kh8s7s7c3c Ah7c4s4h3h 
AcKs9s4d3s 6h5h5d3d2c Ah9c8d6s4s 8h8d7c6s3d 
Jd9d6h4c2c Ah9s7h6h2c Kd8c5h3d2h Ks8c6d6c5c 
Ts9c7s6h2d KsQs9s5c2h 9h7h6d3s3c Kh9d8d6d6c 
KcJs5d2h2c KsJdJc7h2d AcKd6c3c2s KhQs7c6d3d 
KdJh7c6s3s AcJc5h5c3c AcTh8s6h3h QsQd7s7h7d 
Ts9d4h3s2h AdTh7h7c3h KsQc6h3d3c Jc8s7s5h3d 
KsTd6d6c3h Qh8d8c5d4d Ts7d6h4s3c AdKc6c3s2h 
Ks4s4h3h2c Ts9h8c5h2d Td9d8h5d3c AsJd9d6d3c 
AsJd7s4c2s QdJh5h3s3c Td7h4d4c3h 7s6d5c3h3d 
Qc8h8d5d4d Jd9s8d7h3d Qd9s9d5h2c QhQd7c5d2d 
Kh7s6s2h2c Qh9h8d8c4s Qd9d8h4d3h Ts9s5d4s2d 
Tc9h9c8c4c 9c6s6c5c4d Qd9d8c7h3s Jc9d8h7h2s 
Jc9s9h6c4c Qd8h8c5s4c JsThTc3d2d KsTs9h6s2s 
Kd9c6h5s4s QdJh8d5c2d Qs8d8c5c4c KhQc9d9c2s 
QdTsTh5h2h Qc8h6s5h5d 8d8c7s6h3c 9d8c7c4d2d 
KdJs8h5d2d KsTs8h5c2s QdJc6s4s3h AhTh6s4d2h 
QdTd9s2h2d JdJc8d4s2h KsQd6c5d2d Ah8c6h4h2d 
9h7s6d4h4c Ah9d6c4h2s AhTh8d3s2h QdJh9c4h3h 
AsJd7s7h2s KhTc6s6c3d AdQc5d2s2d As9s8h4s3d 
Qh6c5d4d2c Qd6h6d5s4d 9h8d6s6c4c Kc8h7d6h2d 
AsQh8h4h4d 7s6h5h3h2s KcJh9s8h4h QsJc7d3s2c 
KsTc6c4c3h QhJc9s4d3s KcJdTd7d2d KdQs5s4h2s 
QdTc9s4h2s JcTsTh6s2s Qd9s7c5h4h KcQc3h2h2c 
KcQc9c6c3s 9s4h4d3s3d QcJs8c6c3h Js8h7c3s3c 
Td9d8h5d2c QhTh7h4d3s Ah4s4h2h2c Qc8s7d6d4d 
KcTc8s6c3c Ad9c8c6s4h KcQc9s9c4d Tc6s5s4c2c 
Ts7h7c6d3s Th9h5d4h2d QsTd9d3h2c AcTh9h3h3d 
Tc9c5s5c2s AdJs9c4c3h 9d7d6c4s2s 9h8h5d3c2c 
KdJs9c7d2d 9h9c6d5c2c Jh9d9c3s3h AhJh6h5h3s 
AcJd6c3h3c Kh9c8d6s4d JhJd6s5c2d Td7d6c4s2c 
Jh7s6d6c5d KcQd9s5h3h 9c8d5d4c2d Qd5s5d2s2d 
Jd8d6s5c3h 9h7c5c4d2d 9d9c8h3d2h Qs6s6d4c2c 
Ac8d6c4c2h JcTsTd6d2d KsJc9s3h2d Jh8h8d5c2s 
KdQs5s4s2c Ad9h8s5s4s QdJsJh6c2c QhTh7c4h3s 
KsJhJc8c3c 9h9d8s6c3c KdTd8h4s4d Qs6s6h5d4s 
9d7d6c3s3h Ks8c6s3s3c KdJd7d6d3s AdQc9s9h3s 
QhTc5s5d3c Kh9d8h6h3s JcTh6s6d3s Kh8s8h4c2c 
8h8d5d4d3c Qc8c6s6c5c Td9h7c4h2c AsQs7s4s3h 
Jd9d6s5c2h KhJh9h9c4h 9h7c6s4h4d Tc9c8d5c3s 
Js9c7h6h3d 9h7d5s5c4c KdJsTh6h2h KsJh5c4d3c 
Ac9c8d4c3h 7s5d5c3s3h Ac9c8d7c2c Kh9d9c5h4h 
QcTc8c6c3s Th6d4d3h3c KcTc9c3h2d TdTc8s6s3h 
JhTd6s5d2c KdQh9s5c3c AsJs8s6c3s Tc8s6h5s3s 
KsTs9c3d2s KdTd8s4h4d KhQs9d5c3c 9d9c8d5h3d 
Ks9d9c3s2c KdQc9s6d2d Td7s7h6d3c 8d7d4c3h3c 
Jh9d8c7c4c JdJc8h5h2s Ad8c5s4d2d Kd9s7d4h3c 
9h8d6h4d2h Tc9c8c5s5h Kd8h6h6c5h Ks7d6c5h3d 
QcTh9h4h4d Qc9d7h5s4s AhTh8s3c2h Th7s4h4c3s 
Qh8d7d6d6c Th9s8d5c3d Kc8h6c5d3c Ts7s6h6c4s 
KdQh7s5h2c Kh6s6d5d4c Jc8c7h5d5c Ts7h6h4s2s 
Qd8d6s6d5d AhTs8c6s3s AdTd6s4h2d 8d7c5d4d3h 
KdTh7h7c3h 8s7h6c5d2d Qd7h6h4d2s QcTh8c4s3c 
As9d8h6c4c Ts7d6h4s2h QdTs9d3d2c KcTs6h4c2c 
Td6s5s4d2d KdTc6c4c3s 5h5d3s3d2h QcJs9c7c4c 
KsQh6h4d2c JsJc6h5c2c Kc7s6s2d2c Jh9h6c4s2s 
Kh8c7h6h3s 9d9c8c7h2s QcJd9c3h2s Qh5c4h3s2c 
Ks9s7d5h2c 9s7h6d4s4c 8c5h5c4c3h Kc8s5h3s2c 
Ah7c6c5s3c Ac7h4s4c3c AsJs7d4s3s 9d7h6c2h2c 
QsTh6d4h3h Kd8h4d4c3c 7c5c4s2s2h AsQc6c5h2d 
KhTd8h5c2h 9d6h5h3d2d 8c6s4d2s2c Kc7h6h6c2c 
Kh9s9c3s2h QcJc5c4s3c AdTc9s5c2h Ts9c6c3s2c 
Qs8s6d5h2c Js9d6d5d3c JhJd8c7d3d AcQs6s5h2d 
9s9h6c5s2s KcQc7d5c3c KdQh9h5s2c Js8h7s4d2d 
QsTd3h3d2h Ac8s5s4d2d Ad7h7c6c3s QdJh8s6d3d 
QsJh8h3c2c KcJsJh8s3s JhJd7s6c3s 7c6h5s3h3d 
KsJd9d9c3d Kd9s9d5d3c KcQd5s4s3s 9c7d5d5c2c 
Kd7d6s3s2c KsJh9d3s3c QhTd9c5s2s 9d7c6s5h2d 
QsJc9s4h4d AdTd6s4d2c Qd8d5s5d2s KsTs8h4s4d 
Jc8c7c6c4d 9s9d8s5c3s KhQh7s5h3h Jc7s6d6c4h 
QdJd6h4s2c 8s6c5d3c2d Ah8h6h6c2s Qd8c6s5h5c 
QsJd8d3c2c 9c8h7s6c2d AdQh9d4s2d 9d8s6h6c4c 
Ts9s8d5s3c Ah8c5d4h2h Qd6h6d5d4c Ac9d3d2d2c 
Jd9h9d5d2s Ah8d6d4s2s QdTs9h7h2c Ac9d7c6c2h 
Qh8h7c5s5d 6c5s4s4d2c 9c7c6c5d5c Kd8h5s4d3c 
Ks7h7d6d2h Kh6s6c5s4d JdJc8c7c2s Th9s4c3h2c 
Tc9h6d2d2c Jd9d9c4h3s KdTh9s7c2c QsTc9d4h2d 
KcJs7s4d3h Th9d8c6c2c AhQc8d5s2d Ad8h8d3c2s 
Td9c5h4s4d Js8h7s4h3s QsJh9c4d3c Tc9c6c5d5c 
KcJc6h5c2d Td9c4h4c2h 8s8d5h3d2h Qs6s6h5s4c 
Jh9c8d7d2s KdQs6h3s3c QcJh7d3c2h Ac9s8d5d3d 
Jc7c5h4d3s JdJc8s6c3c Ah6c5d5c4s Td7h7c6s3d 
Tc7s5s4c2h JsJc9h4d3d QhJh6d6c3h Jh8s8d7c4c 
9d9c8c6s2c Tc9h5h4s4d AsQd8h7c3c KcQd8h7s2c 
QdJc7d6d3s QdJs9s4h3s KsJs4s3c2c Kh8s6s6c5s 
KdTs6s4s3h TsTc5c3s2s KdQcJd7s2d Kc8d7h6s2c 
AhTd8d6c3d Jc8h6d5s5d KcJh5h4s3h QsTc8h7d2c 
KsQd5d4d2c Js8d7s5s5h 9s9h7d4s2d JcTs7s5d2h 
KcQd5s5d3d Qc8h7s4c2s KsQh5h4c2h AcJh8s7d2d 
Kh6c4c3c2h Kd8h4c3h3d Th7h6h6d4s Jh9s8c5c3c 
AcTd7s4h3s As9h9c5d4h KdTh9s4h4c Ac8d5c4h2c 
Ks6s6h2s2h KsJh8c5h5d As8h3s2h2c Kd9c7c5s2s 
QhJs7c5c3d Jc9d8s5s3s Ks4s4d3d2h Qs9d7s5c3s 
As6s4h3s2h 8h6s6d5s3c KcQs9h4s3d Kh9s7c6s4s 
Th7s7h6h5h AhQs5d5c3d Ad7d5d5c2s Kc8s5h4c3d 
JhTh9h5h2s AhJcTc6d2c 6h6d4h3s2d Qh9h8h6s3c 
Kc8s8h6d4h Qc9d7s5d4h 9d7d6c5h2s 9c8h6s6d4s 
Qc6d6c5s4c Tc8s6c5h2d Js8h7s5s3d 9s7c6h4s2c 
Td8d7s6h2c Qd9h7d5s3d Kd9s9d6h2c Kd8h7s7d2c 
Kd9h7d4s3c KhTc6d4h2h Jh8h5c3h3c Js9c8c5d3c 
ThTc9h8h2h Th7h5s4c2s QcJh9d4c2s Jh7s6d5h3h 
Jh9s9c5d3d KcTs7h4s4d Ad8s5c4d2d KcTc7d5c3c 
5d5c3h3d2c KcQc9c5c3s As7h5s4s3s KsJc7h3s3d 
QsQc7h5s2s Th7h6s5h5c KcJc9c7c3d AcKh6d3c2c 
QdJd5c4d3d 9h9d6s5d2d 6c5d4d4c3d 9d8d7s6c3d 
Td7d6h6c4d KcQd4s4c3c Jd9d8d5d4c 9d7d6d5s5d 
Jh9s9d5c3c Ac7c4s2s2c Ac8h6h4s2s Qh6h4c3d3c 
Ts9s8c5s3h Ah7h5s5h2d Ks9s9h5s3c 6h5d4h4d3d 
Ac9s5c4d3c Ac9h7s7d4h 9h6s4s4c3h KdQc5c4s2c 
KsQc9s4s3d KhQdTs4s2s Ah9c7s6c3d Qc7d6d4c2h 
8s8c7d6c3c Jc9c8c5c4s Jd8s8d2s2d Kd7d6s6d3c 
AhTs6s5d3c KsQs9c5s5d 9c8h7h5d3h AdJs5s4h3s 
QdTsTh7c2h Ah8s6h4h3d QcJd9c8c3c 9h7s7h6h4d 
9d7s5h2s2d TsTc9s8s4s Qd9d9c5s2h Qs9d7h5c4c 
