JsTh8c4s3c 
As9h5h4s3h AdQd7s4c2c KdJs8s8c7h Ah9c8s4c2h 
9s9c6c4s4c Th9d7c5h3d KcJc9d7c5h Ts9c6c5s4c 
QcTc8s7s2d 8c7d7c5c4d AdJs6s5h4h JsTc9s6c2c 
QsQhJc9d2h AsQcJs2s2d QsQcJc2d2c Qh9h9c6d4d 
Ts9c7h5s3c TsTd9c4c3s QsJhThTd3h 9h9c8s6s4h 
JhJd7s4d3h AhJdTd4c3s QsTsTh5h2h JcTsTh6c2s 
QdQc8s8h4d KdJh8s7c6h JhTc9d8h5s JhJdTh8c2s 
KhTdTc4d3c AdKdJc5d2h QsQdJd5d4d JcTd8d6s4h 
Ah9s8s4h2c Qd9s6h5s5d Qh8s6s5h5d Jc9d9c8d2s 
AsQs8s7s5d AdJs8c6h3d Th7s7d5s5h JhTc9s6c5d 
KcQcJc6c5h KdTh8d6h3d Kh6h5d5c3c Jc9h9c8h2s 
JcTd8h7s4c KdQsJc7d4h AcKh9d8d5s KdTh6c4h2d 
KsKc6s2s2h AsQd5h4h3d Kd8s8d7d5s Qc9d9c8s7h 
AcJsTd7d3h TsTh8h6d5c JcTs9d3s3d Tc9h8d5c4h 
Ac6d5d2s2c AhTs9s8s6c QsTd9s5h2h Ad8c7c2h2d 
AsKhJs5s2d 9h8c6c5c4h JcTd8h8c3h JcTd8h8c3d 
AsTd6s6d3s AdQhJh9c6h KhJsTc6c4d JdTc8s4s4c 
KcQhQc7c4d Ts9c7c5s3h As7d6h6c4s KdJsJd9h4c 
Kd9c7s6d5d Kd9h9d7s3s KhJc8s6s6c KhQc5c3h2d 
Qc9s9c7h6d JhTsTd5h5c QhJhThTc4d KhQh9d8c2c 
KsJs9d6d3s QhJdTd7d7c JhTh7s6s3s AcTs6d5c3h 
QhJc5s4c3s AcKd7s7h3c Kd9c7d5c4d KdQcJs7d4h 
TsTd9d8d4s AhJh9h8c3s 8s8d6s6c5h KhQhTs4c3d 
Ts9c8c7s2d AhJsJc4h2d AcQs8h5s2h Td8s8h4h4d 
Kd9h8h7d2s Qh9c6c5h5c KdQcJc7h5c AcKs7c6c3h 
KcJc9s5s2h KdQhJd6c3s AcKcTc6d4c AdJs8h6c3d 
KhQh5c4s2c AhQhJd2s2h Tc9s9c8h2s Ah9h9c6h4c 
QdThTd8c4s JhTsTh9d3c KcQs9s7d2c KhTc5h4h4c 
AhKcJd9d6d AhJc8h4h2c AdQsJc4s3s Ad7d5s5c2c 
QcJcTh7d2d As7h5s5h3s JcTd8c7h5c TsTh9h7s2c 
AsQd8h5d2h KsJh8s5h3h Qd9h8c7c4d Qs8d6s6d4h 
AcKd9s5s2d QcJhTc9c5s 9h8s7s7h6s Tc7d6d6c4h 
AdKh7h3d2d QsJd8h6s2d QsJsTh9s6s AcKhQh3d2s 
AhKs7h3s2h JhTc5c4h2d AdJs7d6h2h AsJs5s4h3h 
QdJhTd9s3d Kh9c7h5h4c KsJc8s7h2c QhQdTd5c3d 
JdTs9s3h2d Js8s7d7c5d KdTc5s5c3d Ts9s9d4c3d 
TsTd9s8s4d QhJcTd7s4c KhTd7h4h3d Qd9d9c6d4c 
9c8d6s5d4s Jd9d6c5c3h JdTd8c7c3d AhKsJd5h2h 
AcTc8s7c2d Jc9d8d8c5c AsTc4s4h2c QsJh9s9c2c 
AsQh8h7d4c KcQh4d3h2c AhQsJh7d2c As8s6h4d2d 
Ac7d5c4h3s Qs7d6d5c4c AsTc5s5h2h Js9h7c5s3c 
AcJsTd5s3h Qc9h8c5d4h QcTs8s6c3s AcQc9h3h2s 
Kc9h8h5h4c JhTd9c3d3c JdTc8h7s5c AcJd9s9h7h 
QhJhTs7c2c JsJdTd4c3h TsTd9d7s2c AhQc7c2s2h 
AsJh9d9c7d QdJc7d5s3s AdTs6s4d2s AdJh4d3h3d 
7h7d5s5h3s AcKh9h7s4d QhTh7h7d5d AdJc9h7d4d 
KsQsQd6c3s KdQh9c5h3c JhTd9d7d5s QcThTc6s2s 
Ad8c6h4d2c 9c8d8c5d4h QcJd8s7h6d Tc9d8s8d5c 
QsTs8h7h2c AsJcTh7h3d KcJd8s6s6d KsQsQc7d3h 
JcTd8c6s3s QsJs5h5c3c KhJsJh4d4c 9d9c7h6s6c 
Th9c7c5s3h AsQh8h8d5c Qh9d6d5h5d TsTc9s8d2d 
QcTs8c6s3c AcQd6c4d2c KhQc9d5d3c Js9c8s8c5s 
KdKcQc8h2s Th8s6h5s4h 9c8h8d5d4h KdJhTs9c2s 
Qc9s8d8c7h JdTc9c7c5h KhQsTc3c2s AcTc8h7c2s 
KcQcJh9c5s QcJdTs7d4h KdQd8d7c6h As8s6h5s3h 
JhTs8d6h3d JdTs6s5h3h Tc9s6s5h3c JsTc5c3s3h 
Kh8c7h7d4c QsTsTc9d5h JdTs8d7c4h JdTs8c5h4d 
JsTs8s8d7s QhTh9d6d2d JcTh8h6d4s QsJc9d5s2d 
QsQd5d3s2s Kd9h7d6h4d AcKh6c5c4c AsTc6s6c3s 
AhQsJsJhJc Tc9h9c4h4d Ks9c8c7s2d KcThTc8d4s 
QhJdTdTc6d JdTs9h5s2h JhTc8s7d5c As9c8d4c2s 
KsTd7s6h5s KsQd9c7c6h As8h6c4c2s Td9h9d5c3h 
KdJs9h8s4h Ts9h7s5h3c KcJhJc9c5d AcQs8s7s6h 
QcJhTs9c2c As7h7d6h2s QdTd8c5h3h QdTd8s8d6h 
AdKcTd3h3d AhTc9s8h2h QcJdTc9c5h AcJd9c5h2s 
QdJh9s5d2s Td9s9d8h2s 9s9h5h5d4d KdJhTs9s2c 
JhJc9s6h5h Ac9s8s5c2c AdJs6d6c4h AcTs9s5d3d 
QsTsTh8d4c AcJh7c6s2s TsTc9h8d6h JdTh9c6d4s 
9c7h6s6h5c AsJh8c7c6d KhTc7c5h2s AhKh6s6d3c 
KsQs6c5c2c KdJdTd5h3s As9d6s5d2d AcJhTh4s3d 
8h8c6h6c3c Kc6d5h5c3d QhTh9d4s4d 8h7h7c5h4c 
AsTc5s5c2c JcThTd6c2d JhTd8h8c3c JdTc5s4s3c 
AcTc9c8c5s QdTd6c5h4s QcJhTh6d4h AhJcTs5d5c 
AcTs8h6d2c Jd9c8s5s4d QhJd8c6h2d QsJhTd7d5d 
AhTs8s7c4d QcTs9h4s2c QsQdJc9h2d QcTc9c8h8c 
KcJc6h5d4s JdTc7s6h5d AsQc8c7c6h KcTd9c6h4s 
TsTh7s5h3d 8s8h7h4s4c KhKc8d4s3c KcQdJs7s2c 
AsKsJh6s6c 9s9c7h6d6c Td9s7s5d3c KdQcJh7h2d 
KdJs9d7c2c As7h5s4h2h 9s9c5h5c4h KhJh9c6c3h 
AsJdTc6h5h Ad9c7h7d5d AhTs9c7d7c KhQc9s5c3s 
Qd8h8d5c4c AcQd9h6d5s JcTc5s5h3s KcQd9c8c6h 
AsTh7h3c2s QsQcTc5h3c Th8d7d5h4h Jc8h8c6c5h 
Ts8c6s6d5d As8s6d4d2d AsTs8s7c3d QhQdJdTd3d 
QhJs9d9c7h Ac9d7s6c2s KsQd8h7h4d QdJcTs5d3d 
Ks9c7c6c3s AdJhTs6d3d JcTd5d3h3c Td9h8h6s2d 
Jh8h7c6d4d QhJsTh9h5d KsQd7h6d3h JsJd5s5h2d 
Tc9s7h5c3s Td9d7h5s3s KsQc6c4h3h AsQs6h5s4d 
AcTh6s6h2c AdQd8d7d5h Kh7d6c5c4d AsAhAc8d2h 
KdTd9c5c2c KsQcTd3d2c KcQh9h7d2c AcThTc7c3d 
KhKd9h6h2s KsQc6h5s2h AdKsQd9c2d Ad7h6h4d2s 
AsQhJsJhJc JdTh9s8d5c 7d6h6c4d4c AdJh6c4c2d 
QsQdTc8c5c Kd9s7h7d6c AdKdJc6h6d AhQd8d8c5s 
9d7c6s6c5d Js9d9c8h7s AdJd8h2h2c JhTc9d3d3c 
KcQd9h7h6s Ah7s6s5s2h Kc8h7h5d5c QhJh8c5c2d 
Th8s7h5h4s Ac9h9c8d2s AcKd5s2s2d Kc8h7s7c4h 
AcKsQc9d2c Jd9s7s6d4h QhJsJd8c6c KcQsQd8c4h 
Ac9c8s4h2s QsTs8h7s6s AhTsTc6h5h KhJh7s6c5h 
Td9s9c3d3c JsJc6c5h5d Ac9c7s7c3s QsTs8s8h6c 
KsQd7c5d3c KcTd7c6h2d AcQd8h5d2h 9h9d7c6s6h 
Td9h9c8c7s Qd8c6c5s5d KsQdTd8h4c JhTsTc5h5d 
AdKdJd8c3s As8d6c4s2d QsQh6s3h2d QdJhJcTd3d 
Ad6d4h4c3h Qc9h7h5c4s JhJd8s7h5h AhJhJd7s3h 
AdQs6d5d4h AcJh6s4s2c Qc7s6s5d4d KdTh7h5d2c 
JsJh8s6s3h 8h7s7d6h4d Ts8d6s5d4s JdTs9c8d5h 
AcJc7s7h2s Ts9c7d5s3c Kh9h7d6d3d Ac9c7h7c3h 
9c8d7s6d4s KsQcJs8s5h Js9s6d5d3h JsTd8c4d4c 
JcTs9c7h5c KsJcTs8h3d KcTc9h5h2h AsQs9d3d2h 
AdJc8d6c2d KcQs6d5c2d AcQhJh6d4h Jc9s8h7c4s 
As7c6s5s4h Qc9s9d7h7d Kc7s5s4c3d JsJc9d6c5c 
QdJsJh8c6c KhJdTh5h4h KcJc8s8h7c Th9c6c5h4c 
Ac9h5h3h3c AdJc6s5c4s KsJs6s5d3d 7h6s6d4h4d 
JhJd9h4d3d KhTd9d8s3s KsTd9c8d4c JdTsTc5h5d 
KdJdJc9s4h AsKdJd4d3c AcKd9c8s4c AdQc8s8c5h 
9d8s8h5s4h AhKc9s5s2c KhQd9h8h4d JsTsTd9h3c 
AhQhTc3s3h Ad8d6s4s2s Ac6d5s5c4h QdJsTc8d4d 
Jd8d7c6h4h QhTd9s9c6s AsQc5h4h3c QhJsTd9h5h 
KsJsJh2d2c QcJhTh6h4d JdThTd9s3c AdQcJd2h2d 
Ad9d7d7c5s KhQcJd7s6s Jh9h6d5s4d Qs8h6s6h4c 
JsTdTc8d4h QsJd7s7d4s QdJcTsTc3c AdQd8d7c2c 
9c8d7c6d6c QhJhThTc4s QcJsTd6s4s Kh9d8d5d4h 
Th7s6s6h4d QsTd6s4s4d QcTsTc6h2h QhJh9c5s2c 
AhTh8s4h2s QhTd7d5h5d 9d7h6h5s5d AhJcTs6c5c 
QdJcTd7h7d KcJsTd9h2d AdTc8s6h2d AdKs7d6d3c 
QdJh9d5h2h KsQhTs9s5d Kc7s6d5d4s KdQsTc9s2h 
KcQs5s3c2d AsJs9h3s3h QcJsJh7d5h AdQd9s8d6d 
KsJd8h6h6d JdTd5s5c3s AsJh6h3s3h KsQc9s7c3s 
QdTd6c5s4h AhJs8d7d3s AhQs8h6h6d QcJhTs7h2s 
8d7h7d5d4h Qh8s7h6s6h AhJhTh6s6c QsTc8s5h2c 
AcKd6h6c4c Ac8c6s4s2s AhJcTs6h3h KdQcJd6h3s 
9h9c7c5d3d QsJhJc7h6h KsKcQs8d2h KdQcJh6s5s 
AhKdTh3h3c KdQh9s8d3s Ad8d6c4h3h QdTh9s7d2s 
AdTd9d8d5h AsKd9h5h2d AdJd7s6c2s AcKh9d7s4h 
AcKcJh8c2d QsJs9h4h3d Qh9d6c5c3h KsJd9s8s6h 
Kd6c5d5c4c AhQc8d8c5s AhKh5s4d3h JhTd8s7c5d 
JhJc6h4c3d KdQhJs8c5h KsJhTdTc6d Ks8c7s7h4c 
QcJc8c7h6s AcQd8c6h6c AdKdJh5d2c AhTd6h6d3h 
KsTh9s7c3d QsQh8d7d2h QdJhTc7c5c AhAdAcTs6s 
AhJhJc7s3h AsTd7h6d3h Qs9h8s6h4h KcQh8c7c6s 
AcQc5s3s3c KhJd9h7h5s KdQsJs3h2h KsQsJs6s5d 
JdTs9d3s3d QsTs9s8s8h KhQs9h8s4h QdTd8s7d6d 
QsQh7s7c4d Qh7d6d5c4c AsQh9h3h2s 9h8d7h5d4d 
Ad8h8d2h2c Kc6c5s5d3s Qc8h6h5d5c KhJc8h7d2c 
8d7c6s5d5c AcJdTd4h3s KhJc5c4c2h QdJsTc7c5c 
KdJcTh9s3h KdKc8h4c3s AdTc6c5s4s Kc8d7s7c4d 
KhKc6c4c3c JsTc8c6h4d AsThTc5c3h QhTh6d5s4c 
AdTc5h5d2h AhQc4s4h3d Ad9h7s6d2s KhTsTc4c3s 
QsQc7s4c3s AhQd9d8s5d Jd8c6c5s4s JcTd6h5d3h 
AsTs8h7s2c QdTc8s4d4c AcTc9c6d2d Kd9d7c6c3c 
QhQdJs4s3c JhTc9s8c6c Jc9h7c5h3s KdJhJd5d4c 
JcTh9c7d5c QdTc8c6d3c QsTh8d5s3d KcQd9c7d3c 
KhJcTs9d3c QcJdTsTh2s JhJc7d4h3c As9c8s6c3s 
KcQhJc8c5d KcJc8d5s3s 8s6h6c5s4c KdTsTc4c3s 
AhTd8s7d4c ThTd7s7h4c Qd9d9c7s7d AsAhAdJc5c 
Td9c8c7d2s 9s7s7c5h4c As7d5c4s3h QcTh9d4h3d 
Jd9s7d5s3h KsJc4s3d3c Th9s9h5d3s AdTd8d7d7c 
KcJs9d4s4c QsTd5d4c2s Kd9c7h7c4d AhJhTh7h3c 
KhKdQc8s3h JhTc5c4h2s AdKsQs3c2h KsJdTs5s4s 
Jh9c6d5h4d Ac8c7c6d4s JdJc9s5h5d QcTh9s2s2c 
KdQd7s5s5d AcQh8c4c2h KsKhJs8s3d AcKhTc7c3c 
Td7s6s6d4h JdJcTc6h4c Td8s6h6d4s 8s7d6c5s5d 
JdTc8h4h3d AdKs7s6h4s AcJc9c8h4d Qc9s6d5d3c 
KdQc9h9c7s Ks9c8h7d5s Ks7s7d5d3h Ks6h5s5h4h 
KcTd7c6s5c Ah9s7h6s2s AsJh6h4s3s KhJh8s8d7h 
QdTd6h5c4s As9c6c5s2c Ad9c8d5s3h KsJh8h8c7d 
AdQd9h9c5d KsKhJh8h3c 9s8s6d5h5d QhJc9d8h5s 
AsTs9c3h3d AdKd9c3s2s AhKs9c6c2s ThTd9c8c4d 
KsTc9c4c2s JdTs8d8c3s AdKcJh5s2c 7c6s5d4c3d 
8h8c6h6d5s AsKhQh3c2d Ah7c4c3h3d Jc7d7c5d4s 
Ad8d7h3h3c Ac9s6h5d4c AdQsJsJhJd JcTs8d7h4c 
QcJdTsTh2h Qd8h7d6h6d KcQs8s7h2c AdKdQd5h5d 
KhJhJc8h5s QdTh8s5h2d Th9s7h6s3s As9s7d5h5c 
KsKh9s6s2d KdQsJc6c4h AcJh6s5c3d KhJh8s5d3d 
Qs8s8c6h4h 9d8s7c6h5d Th8s8d5d4h Td7h7c5d5c 
JcTs9s8d5h JdTh8d4c2h JsJcTs6d4s QdJsThTc2h 
KdQc5h4d2h Kh7c5c4h3s Kd6c5s5d4c JcTh9c3s2h 
KhJc6c4d2h AhQh9d7h2d QdTs8d7d6d AhQcJd7s6s 
AcQs9s7s6d Tc8s8h5s4c QdTd7s7c4s QhThTc9d5s 
QcTd8h4d4c KhJh9c7h5s 9c7s7c5h4s KsJs8h5c3c 
JhTs9c6h4d AsJdTh5h3c JhTs5h3s3c KdQsJc7c2d 
AsJsJd7c3s JhTsTc9s6s 9d7s6s5h5d Jh9h6c5c3s 
JhTs8h8c3c AdKdJd9h4d KhJh9d7h7c KdTc9c8h3h 
QhTd8d6h3d KsQsQd7h3c Jc9s7h5c3h QdTh9s4h3s 
Qc8d6d5s5c KdKc8s4c3h KsJd9c8s6s JdTc8s4s3d 
Th8c6s6h4c QsTd7d4c3s AhJd6d5s4s AsQc8h5c2h 
QsQh9c8d5d QhQdJc7s5s QhJc9s9d7h KsQdJdJc4d 
KdQs9d8s4d Ks9d8d6c2s KcQdTh8d5s AhTs7s3c2h 
JdTs7d6s3d AdTs9s6h3h KcQs8c7c6d JsTs9d4d2c 
QdTs6d4d3s 7d7c6d5s3c Ad7s7d4s2c QcJdTd7d6d 
Tc9d7c5d3h JsJc8c6c3s 9d8d7c6d6c Ac8c6h4d2d 
KcTsTc7c6c JsTc8d8c2s AcTh9s9c2c AdKcTs7s3h 
AhJh9s6d3c QsQd5s3d2d JcThTd9h6h JsJd8h8c5c 
Jd9d9c8c2h As9h6c5d4s JcTd8s8d2c KhJh8d7s3s 
JcTd9c6s2s QdThTc5d4s KcJh8c7s2h Td9s9d8s4h 
As9c6h4c3s QsJcTh7h5h KcQc9s8d2d QcJhTsTh3h 
KsJh9d4s4h JhTc6c5s3s KhQd9c5h2c KdKcQd8s2h 
Qh9s8s6h4s KsJc8h6h6c QhJsTd6s4s QsJhTd6c4c 
9s8d8c7h7d Th9d7d5h3c Ad8d6c5s5h KsQd7s6s5c 
KhQc9d5c3d As7d6s6d3s KhTc8h7h6h AcJh4c3h3c 
KdTs9h5s3h KhQd9s5d3s KcJdJc9h4s JhTs9s7s5c 
Ks9d8c7h5s JcTd9h6d5s 8c6s6d5c4s KhKdJc4c2s 
Qc8c7s7h5s AhTs8d5c2h JhTh9d4d2s AhJsTh4d2h 
AhJh9c6s3d AhTsTc8s4d KhQh7h6s5d KdQs7c6h4d 
AsJs8d3d2h JcTd8s7h4c Kc9d8d7c2h AdJhTc5h3s 
As9s6d5h4c Ah7c6c5c2h AdTc8s7s3c AsKs5h4d3s 
Qh9c8s5c4h KcQsQh8h5h AcKs9h4s4h Qc9s8s6c4s 
Ac8s5s2d2c AcTd6h5s3c AcQs9s7s6h Qc8d7c6d6c 
KdKc6c4c3c QhJsTdTc2d KcQh9d8c3d KsJc7c5d2s 
KdQh8s7s4h QcJsJd7d6d Kh7c6c4d3h AdJd9d8c3h 
Ad9h8c4h2d AsJhTc5c3d Qc9h6d5d5c Ad9h7s7c4d 
AsQcJsJdJc Qs9s9h7s7c KhQcTh9h5d JdTc9d4d4c 
QcJhJd8s6s KcQhJd6d4s KcJsJc9d4h AsQhQd3c2h 
9h8h7s6d4s JcTd5c3s3d AsKc9c7h7c TdTc7s7d4h 
Ac9d7h7c5c As7c6s6h2c AdJs7d7c6d JsTs9s8s7s 
Qc9c6h5h4c Jd9s9h8h7c KhJh9s7h5c QdJcTh6s6c 
Tc7h6h6c4d KhQh7h6c5s AsQhJh6h4d AcKc7d6c5c 
QcTc8h7d2h JsTc8h8d6c Kd7c6h5h4c AcTs5s5c2s 
AcQsJc6d6c AcQs4d4c3h KcJc6h5s4d Jc9s7d5c3d 
Qh9s8h5d4d QhTc8d4h3d KcQs7d5s3d QcJs9d7s6h 
Ac9s8s7h4h QdJh9c6h2d KdJd9c7d5h JhJd7d5h2s 
QhJh5s4s3h Kd9s8h7c5d KcTd9h5d3h JdTs9c6d2c 
KhQh7h6d5s AdJhTh9h6h QcJc6h4s3h Ks9c8s5d4d 
KhTd5h5d4h AdJd6d5c3c JdTc6h5c3h AdKcQd9s2d 
AsJs9h6c3d KsQh9h7d2s AsKhTd8h3h AdJh6c5d3s 
Ac7s5c4d3h QcJdTs6h6d Kd6s6h5d3h KdKc3h3d3c 
QcJdTsTd5d AdQc8c4d2d JsTd7d4d3s JhTs9d5s2d 
AhJs6s5c4c QhQcJd7s5s AhQc8s8c5d QhQd7h6s4h 
KhJh5s4s4h JsJc4d3d3c KsJsTc5h2d KsQdTs9s5c 
Th9h9c4d3c AdTd9c3s3h JcTc7s4s4d AcKdJc6h3c 
KhTsTc4s3c QcTs9c3s3d Ah6h6c4c2s AdTh9c7h6h 
QhQdTc8h2s KhJdTc9s5c AdKd9h3s2s KsQd9d4d3s 
AcThTd5h3d Jd8h7d6h4h Kh6c5s5h4c QcJsThTd5d 
KdQd8d8c5c KhJc9c4h2s AcQs9h8s5s Kd7h5d4h3c 
Kc8h8c6h5c KdQc9s6d2s 9s8c7h6c4h Qs8d7d5s4d 
KcJs9c8c6h KhQhJhTh4d AhTs6s4h2s KdJh8d5c3c 
KdQh9c7c6s JhTc9s3s3c AsAdAcQs2s 9s8s7c6h4c 
As8h8d2s2d Qs8s7h7d5d JdJc5h5c2d AcJsTh6s5s 
KhJsJh9d4c QcTd8s5d2c QhJh8c5c2s Kc6h6c5d3d 
AdJsTd8d2d Ac9c7d6h3s QcTh8d4d4c AdKs9s7h4c 
AcJd6c5s5h KhQc7d6h4s Ad8c7s4s2d QsJh9d8s5c 
KhThTd8h2d KhJhJd9h5c AhQc9c8s5c AhKc6h5h4h 
AdTd8d7h3s KdJd8s8h7d Td9d7h6h3d KdJd7h4c3h 
KcQh9d6c2d QhTc8s8c3h KdJdJc8h4s QsTd6s4s3d 
AdKs5c4d3d KhQdJh8h5c QsQdJh9c2s KhJdJc8d2c 
Td9h9c2d2c JdTh7c5d4s QcJdTh9c4c AdQsJc7h6h 
AdJc8d4d2c KsTc6c4s2d Th8s8c5s4h QdJhTs7s5s 
QdJsJh7c5s Ts9c7s5c4s Jd9h7h5d5c Tc8h8d5h5d 
JsTh8d6h3d QsJsTd3d2s Ks9h8h6c2s AhKh7d6h5h 
ThTd8h6c5s KcTc7h6s5c QdQcJcTc5c KcJs9s5h3h 
QsTs9s6h5d AcKh9d7c4c Jc8c7s7d5d KhQsJh9h5c 
JhJc9c4h3h JcTh8d6c4s AdQd9c5d2c KsTc7s4s3c 
9s7s7d5h4d KhQdTd8s4c QcJsTs9s3h AsTsTd7s3c 
QhTc9h6h5s As7c6h6d4s Ad9s7d7c5d AsQh4s4c3d 
Th9s7s5c3h KcJc6d4h4d QhTh8s6c2c 9d8s7d5s4s 
KdKc6c2s2c KsQs7c5s5c As9s7d6c2d Ac8h6c4s2h 
As6h6d5s4c AhKsJc9c6c QdThTc5s4d QcJdTd7s7d 
QdJs9h9d2h KcJd9d4c2h QhJd9d6c3c Tc8h8d4d4c 
Th8d8c5d4h Tc7c6s5s4s Tc9s9d5d3c KcJh8d7s6h 
Th9s8s7h2c 9h9d7d7c5s AdQs9s7s6c 9c8c6d5d3s 
KhQc6c4d3d AcTsTh5h3s AhTsTc8s6s KdKc9s7h4h 
AdJhTs5h3c Jh9h9d6d3s KcJsJc8h4d KsQs9h8c2c 
QcJc5s5h3s AdTh8c7c3h Th8s6h6d5s KhQhJs9h5c 
