AcJd8h4h2h 
Qs9c8d7c3c 8s8h5c3d2h Ad8d6d4c3d Kc9h8s6d2s 
Ad8c7s4h3c Kd8d6d4s2c 9s9h5h4d2h Kd9h8s8h3c 
Kd8c4h3h2d Js9d5d4d3d KdJs8s4c3s Qd9c6c4s4h 
9s8c5d4d2h 6c4s4c2h2c Ks9c7h7c3c Kh9h5s3h3c 
6s6c5h3s2d KhTs6c4d2c KsKdKc8c4d TsTd8d4d3d 
9d8h5c4s2d 5d4s4c3s2d 7d7c6s4h2h 9s5d4s3d2s 
JdTh7d3d2s Ts7h5s3d3c 9h8d7s7h2h KcJc5h2s2c 
KcQs8h6d2h Qd9h6s4c2d 9c7d4h2d2c AcQc4c3h2c 
Qs9c6c5h2c Qs8c7d5h3d Qs8s5d3d2s Ah8h5d3h2s 
Th6d5c4c3c AhKd8s3s3c Qs8d6h5d2d Ah6d5c4d3d 
Td9s6s3h2c 9s8d5c4h2s 9s8d7h4c3s ThTc7d5d2s 
Qc9s8h7d3d Jh6s6d5h3c 9h8s7s3d3c Ks9h5s3s3d 
KdJdTd6d2d Ah9s9h6h2h Ks9s8s7s3d Ad5d4d3d3c 
Js8h4h4c2c Jd6c5h5c4c Ah9s3h3c2d Tc7s7d3s2c 
JcTd7c3c2h Qd9s5d4h2d 9s8h3h3d2s KhTc5h3s2h 
KcJs9d4d2h Th9s6h3d2c Tc9s7c5c2c Jh9c8s4d3c 
KhQs7d5c2c Ah8h5h4h2s QhQd8c3h2h Kc6s5s5d3s 
Qh6h5h4h4c 9h8d6s4c2s 9d8s3d2s2h QhTs8s2s2d 
9d9c4c3d2c Qc7s6d4h3d Ad9h9c2s2h Kd9d5s3d3c 
KsTh6c4d2c TsTc8h3d2s AdTh3s3d2d Jh6c4d3d2h 
9h8h5h5d2c KhTs8h2h2d KdQc4h3c2c Jh9h8h6h2c 
Qh8s8h3c2c AdQs7c6s2s Kc9s9h8d2h Jd9d8s4h3d 
Qs9d6h4s2c Td8d7c3s3h 9d6s5c4c2h Qc9s8s8d3s 
Qs9s9h5s2s Qd6s4s3d2d Tc6h4s3s2c Kd8h4d3s2h 
AsQd7d3h3d Jc9c7d6c2s Qd9s6s4h4c 6s4s3h2h2c 
Qc5d4d3h2h KsKhKc6c2s KhQd8c4h2h Kc9s5d3d2s 
JsJd5c3c2h Qs8d5s4s2c JcTs5h3h2h QsJc4h4c2c 
Jc7c6d6c4c JcTs4h3s2s 9c6c3d2s2d 9d8h8c4c3s 
AsJc9d4h2d Kc6s5c3d2c Qh7d7c5d3s AdTs4h4c3h 
Kc5h3c2h2c Th6h5s2s2h Td7d6d5h2c Qs9h8c4s3d 
JsJh5s3s2c QcJh5s3d2s Jc6d5s5d4d Ah9s4d3c2h 
Ks9h4s2s2h AsTc4h4d3h 9d8c6c4s2c Jd8c6h3c2d 
Kd8s7h5h3c KdTh5d3s2d AcJs9h6s2s Jd9h3d3c2c 
AdQd6d4d2c Qd7s5d3s2s KhQs9c7c2d Ts7h5h3h2s 
Ks9c8d4c2d Jc9c7s6c2d 9c8d7s7h3c QcJc7c6h2d 
JcTc3h3c2s AhQh6s4h2h Kd9c8s5c3c Jc9d3c2d2c 
7s5s3h2h2c 6h5c4s2h2d KdTh6s3s3c Ad9s7h5c2h 
Qd7s6c3d2c TsTd7s2s2h 9d5s4s2d2c Kd5s3d2s2d 
QdTs7h4d2d Ah9h6d4h2c QhTh6h3h3d Tc9c6s4c2d 
QcTd6h3s2d Ts9s6d4s2c Js9s9h4d2s Qh7d5s4d3c 
As9c8h3h3d Ks5d3s2s2d TdTc7h4s2c Kd7h6d3s3d 
Qd8d5d4h3c Tc9h7d2s2c Qs9s7s6s3s QcJh6c3s2d 
7c5c3d2s2d 9h8c7h7d2h Ac6s6d4d3h 9d8c5h5c2s 
AsQh9c3h2d Ks6d5d4h2c Tc9d6c5c2c Qd9h6s4h3h 
Qs8c7d6h3c Ad7c5c3s3h KcTc6s4c2c KsJh5c4c2c 
QdJd8h3c2s Ac9s8h3h3d 9s6h6c2s2d Kc8s7h6h3h 
TsTh7d2d2c QhJc9c3d2c 9c8c5c4h4c 9c7s7h5s2s 
QsTd7s3s3h AhJc9s6d2s KcQh7s6s2d Kd6s4d4c3d 
9d8h5c4c2s AhTh6s3h2d 8d5h4d3d2h 9d8h3s2h2d 
As8d6h5d2d Th6c5s2s2c Qd6h5s4h4c Jd8s8c7s3h 
Kd8d4c3c2s 6c5h4s3c2c Ah7c6h5h2h 7h6c5h2s2h 
9s7d7c6h2s Ts8d6d6c2d 9d8c7s7h2d KdTd9d3d2s 
Td8c5c4h3c JsTs3s3d2c 7h6d5s2h2c KdQh4h2h2c 
JhTd7d3s2c Qd8s7h6c3s Kd9s5d3h2c 9c8s8c3d2h 
TsTc5c2h2c Qc8c7c6h2d KhQc4d3c2c QsJs8h8d3s 
Kc7d7c6c3c Jh8h5s4h2d 9h6h5s3c2d Jc6c5d4s2h 
Ac8d7d3h2h Td9h7c5h2h Jh6s4s4h2h Qh8h8d3c2d 
9c8h3h3d2c KdTc3h2s2d As6s4h4d2s 9s8d5c4d2h 
KhJh7h7c3h Qc9s6d4h3s Qh8c6h3c2c 6s4c3s2h2c 
Th6d5h2h2d Jd7h7c6h3h KcTc9c3c2d Jd5h5c3h2d 
Jc9c6s2s2c KsTs7s5h2s Kh4s4h3s2h Kc9s8h4s2h 
Th7h6h5d2c Kc6d5s4s2h Qc8c7c5h2s 8h8d4d3h2d 
Td9d5d3h3c As7s7h3s2d Jc9c6d3s3h KsQh9h6h2h 
QsJh7d4d3d KhQs6d4c2c Ac9h7d3d2h 6c4h4c2d2c 
As9h9c5d2h QdTh8s3c2h Jd5h4d2h2c Ad7d5d4d2s 
9c8s5c4h3c AcTh6d3s3h Ah3s3d2s2d Jd9s6h4c3c 
QdJh7h7c3h 7h5d4s4c3d Td9s7s6s2s Tc9c6c4d2h 
6s4d4c3s2d 8s7s6s4d2h Td9h7s2d2c Jh9d7s5c2c 
Th8s5c4d2s Kc9h9c8c3c AhTs6c3h2h QcJh7d2h2d 
Kh8h5s4h3c KdQd5d5c2d Js9d6h3d3c Kd9c8h8c3s 
Ks9d6h6c3c Kc9d8h6d2d 7c6c4s3s2s AcQd8s3d2h 
Qh7s7d5d3c Qh8s6s5s2d Jd8s5h4s2c 9s6h5c3s2d 
8h8c4d4c2c Tc8s5h5d3h 8s7s7h4s2c Th9h6h4c2s 
QcJc7s5d2c Ad9d6h4d2c Qs7c6h4d4c KhJc8d4c2s 
Qd7s7h5s3c 5c4s3s2h2c KcQs5h5d2d 7s5s4s4d3h 
QsJc7h6d2c Td6h4s3h2d Qd7c4s4d2s 9d6s4c3s2d 
AdTc9c3c2h Qh9d8s8d3d 9s8c5d5c3c 9d8c7s7d2d 
JhJc7d6h2h 9c6c4s4c2s QsTd7h4s2s KsQsJh7s2s 
As8s3s3d2d Ts7s6c5h2d Kc9s9c5h2c KsJc8h6h2d 
Qh6s5c4h2h Kd9s9h8s3s Qh8s8c7h2d 7h7d6s4c2c 
AdJc7d3d2s Ks7d5h5d3c KdQd7h3d3c AcTs5s4h2d 
Jc6s4s3d2c Tc8d7s3s2d 8s8h7s4s2d AcQd8d3h2s 
AhTh4s4h3h Ts9s6s4d2h AsTh4d4c3d 9c6c4s3d2s 
QcJh9d3s2d Th9d6h3s2c 9c8c5c4s3h Td6s6d5d3h 
9c6d4h2h2c 9c6h4s3h2c JsJc9c3c2c Jd7d6h2h2c 
5d4c3d2s2c 9c5c4d3c2d Ts9h7c5h2h Js9h7d4d3d 
JdTc6h3s2d 9d6c5d3s2h 6s4s4c3d2c Qd9s4d3s2d 
Ts9d7h7c2d QdJc6d3s2h 9s8s8h3c2d Qd7s6s6h3c 
9h6h4c3s2c KhTs5h2h2c Jd8s8c7h2c QhJs8d4d3d 
AdQc8c4c3c Js8s7h4c2d Th7d5d3d2h 6d4d3h2h2c 
Ks9h8d7c2c AcJs9d6h2d Kh8h7h7c3s QhTc8h3s2h 
KcTd7s4d2h Qh9c5s4d3c Tc5h4c3s2s 6s6c5d3c2h 
Ah8c7c3s2s 8h5s4h3h2s 8s5s4c3c2c 9s6d5h4c2d 
9s6d5c4c2h 9s8h6c2s2d Ts9c6s4h2s QsTh5c3d2h 
Js7c6s4s3d Qd9s8c4d3h Kd8h5d4d3c Qh8s7d5s3s 
6d6c5h3d2s Ad8c4s4c2s Ac6h6d4h3s Qs9d8d8c3d 
QcJs7h4h3h Tc7c5s2s2c 9s8d6d2h2c Kc8s5s5h4s 
Kh8d4h3s2d 6h4s3d2h2d Qc8d5c4c2h 9d8h5h5c2s 
QhTs8h3d2h Kh8c5h4h3d KdJsJdJc7c Kd9c8h7s2h 
JhTh3h3c2d KdTc6h3s3h Ts8h7d2s2c Ks8h6c5h3h 
Kc7h5s5d3d Qh8c5s5c4c 9s7c4h2s2c KsTd6c5c2c 
KdQs9h4h3h Kd8c7c6s3c KsQs6s4s2c KhJd9c3s2d 
8c7d6h4d2d 9c5d4c3d2c KdTh5c4h2h KcJd8c7c2c 
AsTd8c3h2d AcKd3s3h2s Jd8c5h4c2s 9c6s6d4d3h 
7d6h4h3d2h Ad9h7s5c2s Qh6s5d4h2h Js9c6d4h3h 
Js9c5c4c2d 9h8s5h4h3c Ad9d6d4s4d Th7c5c4c3c 
TsTh4s4c2s Ks9h8s2d2c AcQc6c2h2d As8h8d6c2d 
Ts8s5h4d2s AdKc3s3h2s AhTs8h3h2h Ks9h8d7d3d 
Th8c7s5c2c 8d6s4h4d3c Jd9c7d6h2d QcTs4s3s3d 
KsTdTc3c2c KhJd8h6h3h Kd8s6h2s2h KdJd5s2d2c 
QhTd6c3s2d 8s6c4s3s2c Tc9h7d4c2s Td9h6h3c2s 
Jh8s6h5h3h KsQs4d2s2h Jd9s7d6d2h KdQs7s7c3s 
Ks9s8s7d2s Jd6c5h4h3h Th8h6d5h2h 6d4d4c2h2d 
8d6s6c4s3s Tc6s5h4h3h KsJh8s3d2c 9c5s4h2h2c 
JsTs7h3c2d KdTh7c5c2s QcTh6d3s2h Js9h9d6c2c 
9s8c6c4d2c Ah9c7s3s2c Qd6s5h4d2d Jh8c6h3c2s 
Jd8d7h4s2c Ad6d4d3h2c JcTc7c5c2c As9d5h2h2d 
6s3h3c2h2c Td8h6h5h2h Qc9d6h3s3d Jd8h6d5d2d 
Qc7s6s4d2d Js9s7c6s2h 6c5s4s3s3d Ts8h7c5h2h 
Js9c8c2h2d KdQs9c4c3c 8d5s5c3c2d 9c5h4d2d2c 
JdTh4h2h2c Qd8c6h4d3d 8c7s7c4c2d Jh8s8d4c3h 
KcJc7s3h3c Jh9s9d7d2d As6d5c4d2h Kc9h5c3s3c 
As6s4s3h2c 8c7h7d4s3s AcQs7h6s2s Th7d5d4d3d 
KhQh9h5c2h Kc5s5h4s3d Td5h4s3s2d AcJs6d4d3d 
Jc7c5s5h3c Ad9s8s8d8c Th6h6c5h3d KsJc8s6s3s 
Jd9s8h3s3c 6d4d3h2s2h Js9d4s4h3c Ad9s7d6d2d 
KsJd9c4c2h KdJh9h3s3c 9c8h5c4c3d KcJsJhJc7h 
AcTh4s4d3s Kd8h7s7d3d QhTd8c3s2d Ts6c4c3h2s 
Td8h5h4s3h Tc8c7d6c2c Ah8s8d3s3c JdTh7h3c2s 
Jc8c7s3d2d QdJh7c2h2c QdTs6d3d2h Ac8d4s3s3d 
Tc7d5c3s3h KcJd9d3s3h QdTh8h3c2s Ks8s6s4c2d 
JcTs4s2s2d Ks6h4d4c2s 7s5d4s4c3h Jh9c8c3s3d 
KdTs9h3s2s AsJc7h6d2c QdJc9d4d2d AdJd9d3s2d 
AdJs6c3s3h 7h6c5c2s2d Jd9d5s4c2d 7d7c6h4s2s 
AhTh6d3c2h 9s6s6c5s2h Qd9h8c7s3s Tc7h6h5s2d 
8d7c6s2s2h Kd8c5d4s2d Ks6h4s3s3d Tc8s3s3c2h 
Jh9h5c4h2d Td9h4s4d3d JcTh7h7d2h Jh7s7d6h3h 
Ad9s8h3h3c AsJd4d4c2h Jc8s8c4c3h Th9c6d4s2d 
Jd9s9c7s2s Ts8s7d3h3c ThTc4s4c2c 6h4s4h3d2s 
Ah7s7d5d2d Jc5d4c2h2d KhQhQdQcJs Qd8s8h7c3d 
QdJd8c2s2h Jh8d5s4s2c Ah9h9d6h2h Kc9h7s2s2h 
QcJh6s3s3d Jc9s4h3d3c As9h5c4h4d Kh8s6c5s3s 
AhQh7d3c2h Kh8h6h4s2c Jh9d7h6s2h KsQd8s4h2s 
Kd8c7s7d3d KhQc8s4h2h 7h7d5c3h2s Tc8c7s7h2c 
Ah9c8d3s3d Jh8h7d3s2s Jh5c4h2d2c 9c6c4s3h2s 
AdJs6c3s2c Th7d6s2s2d KhTc8d4s2d As9h5h5d4h 
KsJs4s3d2h QdTd5c2h2d Qh6h6d3s3h Th8s5c4d2c 
AhTc6h3s2h Tc8c6h3s3d 9s8h3h3c2s Js8h6c5c2c 
Js6d5d5c4d JsTc5c2d2c Kh6d6c4s3d 7s5s4h3s3d 
Kh8c6s2s2c Jd9s7d6h2d 9s7c6s5s2s Qh9s9d6d2d 
Ad9d4c3s3d Qs9c5s4h2s QsJc3h3d2s KhTh8h4c3h 
Jh8s6h4d2c AcJh6s4d3d Qs9s4d3c2c Kd9c6h3d2s 
Jh9s7c6h2h 8s6s4c3s2c 8c7d6d2s2d 9s5s4d3s2d 
Js6c4d2s2c 9s8s5s4s4h JhTh6h4h2c KdQd4c2s2d 
Ks8s7s7c3h Ks5c4s3s3d Tc8d5h4s2h Jh9h5h4c2s 
Ah3d3c2d2c AdJs9s6c2s As9s4h3s3d Kd7s7c4d2h 
Kh9c5c3d2d 9s9d7c2h2c Kc9c8d6c3c 9c7h7d4h3h 
KsQh9h7h2d KsJh9s3s2d ThTc7s4h2d Qh8h5d4h2c 
8h6s4h3h2s Qd9h8s7c2c Ac6s6h4d3h Qd7s6d3s2c 
QcJd8c3h2s 8c6s5s3h2d AcTh6c3s2c JsTs7s4s2c 
Qh7h6h4s4c Jh8s5d4s2c Ks9c5d3d2c KcTh7h7d2s 
Ks7d6d4d3c KdQd6d4d2h KcQs9s4d2s Th6s5s5d3c 
Kc8s4h3h2c 9h8s8c7h2h As9d5d5c3h 8d7d5d2h2c 
QsTd8d2d2c QdJs9s3c2s Ts8d6d4h2d As9d5h5d3c 
AcTs3d3c2c As9h9d3d2h Qc8d7d3d2c 6s5h4h3h3d 
Jc8c4s2s2c AcQs8s3h2d Ac7s7d5s2s Jd9s8s6s2s 
KdQd9d7d2s KcJh8d4d3s Tc7c6s3s2h Kh7s5s5c3d 
As8c7d6d2h KsJh9h3d2c Qc9h8d7s3s Td8s3s3d2h 
Th7s7c3h2s Js8h7d7c2s Ac9h7s5d2s KhJh4s3h2d 
Th9h4c3h3d Qs7d6c4h4c Th6h6c5h4h Kd9s8c7s2s 
As9s8s4s3d 8s7c6s3s2c QdJs7d4h2c KdTh8d4d3d 
Ks9c8d6h2h 9s8s5s4h3d As8h8c6c3c Qh7h6h4d4c 
Kc9s9d8s3s Kd6c5d3s2d Ts9d7h2s2c 9d8s8h4s3c 
9s7h7c5h2h KhJh6d2s2c Js7s6s4h3c KcTh5s4h2h 
Td8c7s5c2c 9s7s7c6s2h Jc9d8h3s3d Jh9h8d4s3h 
Kd9c8d6d3d KsQs7h3s3c QsJh6s3d2c Ah9h4c2s2d 
AdTh7s4s2c Ac9h7h4h3d KdJc7s7h2d Jc7s4c2s2d 
AsTd3s3c2s Qd9d4s3c2c 6h4h4d3s2d KsJsJdJc7d 
AsJh6d6c3d 9d9c8h4s3d Td6s6h4c3h ThTd8s4s2s 
AsQc9c4d2c Jh8s6h4h3c KsJd5h3c2d AdKc9s2s2h 
8s7d5h5c2c Ts8s6s4c3s Qd8s6h5s2s Ks6h4c3c2h 
Jd8d7h7c2s Qh7d7c5s3s Tc9c7h7d2c QhJd6h3c2s 
6h4d3c2h2c Ks6c5s3h2s Ts9d5s4s3s 8s8c4s3s3h 
JhTd4s2s2c Qd4s4c3c2d Kh6h5c3h2s Tc8c5h5d2s 
Jc8d6h3d2c Jd8s7h7c2d Jd8h8c7s3s Kh8h5h4c2s 
Qc6h5h5d3s Js6h4s3h2d 9h8c6d2s2h Qd8d5d4c3s 
Jd9s7h4c3h As8h4d3h3d Kh9s8d6c2s Jd9s5s4s2h 
QsTs6d3c2s Jh9d6c4s3s KsQc7d4c2h Ad8s7h7c2s 
8s6h6d4h3h As6d6c4h3c 7d7c4c3d2c Qc9d7s7d3d 
Kh9d8s6c2s Kh8d5c2s2h As9d5s2s2h Kd8d5s5d3h 
8s6d4s4c3h Ah9c5s2s2c Qs8s6s5s2c Qc7c6c4s4h 
Td7c6d4d3d JsTh7d3c2s QhTh7h4s2c KdQs8s8h2c 
8h7s5s4s2s 6c4s4d3c2s As8c7c3h2h Jh9h8h6s2h 
Qs9d3s3h2h KsJd9h3c2d AdTh9h3h2s Qs8s4c2d2c 
Js8s8h5s2s Ks9d5s3h2c 8h6d6c4h3h Qs7d6d2s2d 
Jd9d8d4h4c Jc8c7s7h2d Th9c8h3s2h Js6d4h3h2s 
KhJd9d2s2d AdTh5s5h2c Js3s3d2h2d Jd6s5c4c3c 
KcJc7d7c3c JsJc7h6s2s AcJh9d6s2d Ah9d7d5d2c 
9c7s7d4h3h KhTc5h2s2h Ad7c6h2h2c AsTs6h3d2s 
Qd9h8s7c3c Ac8d6s5d2d KdJc5s3h2c Kh9s8h6h3h 
9s6c5h4h2d Tc8h5d4s2d KcJd9d2s2d Ad7h7c5c2c 
As8s6s2h2c Jd5s4d2s2c KcQs8h4c2c 9s6s6c4d3h 
9d6h4s2s2d QhJs4s4c2s 9c7s6s6h2d 9c8s5d4s2h 
Jc9h9c4s2c Ac7s7c3c2d AsJs9s3s2c KhJh5d2s2h 
Ts8h6h4d2h 9h8c5s4s2d KdQh8s6c2s Ks8s6s6d2h 
Jd9c6c4s4c Kc9h8h5s2d 7c6d5d2s2h Kd7c5h5c3s 
Jh9s6d3s3c Kd8c5h4d2d AdKd9d2h2d Th8d7c3d2c 
Kc8c5s5c3h Qd8d5h4d2c AcQh7d6h2h KsTd3c2s2h 
Ah8c7s6s2d Jd9d5d4h2c KcJh5s5d2h Ac6s6d4h3s 
Jh9c3h2h2c Qh8h5h4d3s 9h7h7c6h2d Qc6h4h3c2c 
Js8s8h7d2s Qs7c5c3s2c 9c8h5s4d2c Jh8h8d7c2h 
Js7d7c6c3c 8h8d4c3c2h KcTd9d4d2d Ts6c4h4c2h 
Qd8s4h3d2h Td6s6c4h3c AsQc8c3d3c KsQs9s4h4d 
Tc5h4d2d2c 9d9c7c4h2s Jc9c5s4h2c Ts8h7h5h3h 
Jd9d8c4d3h AsTd5h3h3c Ad6d4s4c2d 6s5h4h3h3c 
Tc8h5h4s3h Qs8h6h5h2d KhQs4s2s2d Qs8s7c3s3c 
QdJc4s4c2c Js9s6h2s2h KcTs6d4s2s 9h8h5h5c2s 
Tc6s4c3d2d KhJd9c4s4c 7h6h5d2s2c QsJd5c3h2c 
JhJc8d3h2s Kd8d7d4s4h Ks6h5h5c3h Jc8c7d4c3s 
Tc9c8c3s2h Ah5h4s4h3h QcTh7s5h2d 9h8h7s6h2h 
Qc9s4s3c2s Td9h5h5c2s Kc9h8s5d3h AdJs6h4c3c 
AcTs4h4d3h AhJd6c3s3d KcJhJdJc7d 7s6c5h2s2d 
8h6h6c4s3h Kh8h6h6d2c AdQh8c3h2s Qc9s6c5c2c 
Qh8d7d2h2d Kd8h7h6c3h 9d8c5h4s2d 9c5c4d3s2s 
8c7h7c4c2d 9c8s8d7c2c 9d8d5d4s3h ThTd7h2s2h 
Ts8c3s3h2c AdJh6h3s3c 9s8h3s2h2c TsTh8d3c2s 
7s6c5h3s2d AdJs8h4h2h 7s7c6d4d2h Tc5d4c3h2h 
Ks9s8d6s3s 9s8c7d4s3h As9d5h5d4d JdTh7s7h2h 
Qs9c8h7d3d 9d8s5c4h2d QdJh7c4c3c Ts8h5c4d2c 
JhTs7h3h2c Ah8c5h3s2h Th8h6s2d2c JhTh3s3h2d 
Ah9d8c3s3c AhJd6s4s3s QsTs7s4d2c Qh7s6c4s4d 
Ah6h4d4c2h Kd9h6s5h2c AdJh6c4s3s Th9s7c4h2d 
9h8s6c4d2c 9h8h5h4d3s AdTc5c4s2h KhJc8d4s4c 
JsJd7h4s2c Th9c4d4c3c Jd9c7s4h3s 9h5d4c2h2c 
Th9h5h3s3h 6s5d4h2s2c QsJc7d4h2s Jd6s5d3s2s 
KsQsQdQcJh Th6h6c4h3d Kc7s7d4c2h Kc8c5s4h2c 
7h6c5h4h2h Js8d7h5d2d Qs8d7h7c3s Qc9d6s4h3d 
Js8h6c3h2s Kd7s4h4d3c QdTc8h3s2c Qd5s3d2s2c 
TsTh7c6d2c Td9h5s4d2c 6s5h4d2s2c Qh7c6c4d2d 
KdQh9h7h2c Kh9h8s6h3h Kh7c6s4c3c Jd8s7c5h2s 
AdJc7s6h2c Qh9s9d6c2c Jh8s5h4c2h Kh6h4s4c2d 
AsKd3h3c2c Kc6d5s4d2h 9h6c4d3d2c Ah8s8d6d3d 
QdJs7c4h2d Kd6d4s4h2c Ks9c7d2d2c KdJd8c6d3d 
AdJh8s4s2s KcQh7d5s2s QhTd6h3h2c 6c4s4c3h2s 
Qs9d8c4s3h KsKhKcTd7c KsTh5d4h2h Jh9s7c5d2d 
5d4c3c2h2d 9h6d6c4s3d 8d7d6h3s3d Ks9s8s5c2s 
Kd7h6h3d2d Qh9d8d7s3d Qh8c5h4h2s 9d6h6d4s3c 
JhTc7s7c2c Jh6h5d3h2d KhJc6d5d2d Ts5h4s3d2d 
AsTs6h3s2d Ad9h5s2s2h 9c8h7s7d3c Qc7d5h4s3s 
Ah9c4h3s3h Tc9d4d3s3d QcJd8s3c2h Kd8s7c6c3c 
Ah9d7d3d3c Ks8d7h4c2s Ts6c5d5c3h AdTh4s4c3h 
KsQs7h2s2h QdJd7d4d3c Kd8d6d6c2s QsTd8c3h2d 
9d8s6c4h2c 9h9d8s3c2h Qc8s6s5s2d Qc9d6h4c2s 
Kd5d4h3d2s KcQc6c4c2h Js9s7h4s3s Jh9s9h4d2h 
9c5h4h2s2c KhKdKc9c8s QdJh6c4s2s Kc8h6s5h3h 
Jd9h5h3s3h Kd9s5s3c2c Qh7s6h3s2c Jc7c6d2h2d 
9s8s7s5s3s Ts8d7c4s2h AdKc9c3c2h QhTd7h3s3h 
Qc7s6d3h3c JhJd7s5s2s Jh9h9d4c2h QcTc7c6d2c 
Ks6h5d3s2s AdTd9d6d2d Ac9s7h5d2h Ad7d5s4d2d 
Qc8h7s7c2d 9c8d5c4s2c 8h6c5d3d2s 6h5s5d4s2s 
AhJd9c6s2c QsJh9h3d2h KhKdKc8h4c AhJs7s4d2c 
AhQs4d4c2d Qc8s8h6h2d QsTh8s2s2c Kh6d4s4c2h 
Qh8h5h4s3d AhJd9d6c2d Kd6h4c3c2h Jc9d7d5s2d 
Ad9c5s3s2c AcKd7d3d2s AcTc4h4c3c KdQs8s6s3s 
8s8h4h4d2h QhJs6d3d3c AcTd5s5d2h Jh9d8s4c3d 
QdJc3s3h2d 8h6c5s5c2c 8c7s7c4d2h Td8s7h4d2c 
Kc9c6h6c2d JhTh7h6h2c Kd9c8s7h2h AsKc9d2h2d 
9c8h5s5h3h 6s3s3h2s2h Ah9s9d5c2s KdQdJs7d2d 
Qd9h4h3d2h Th8h7s7d2h Ts7s6h4s3s JcTc7s3d2h 
AsJh9c6h2h Td6s4d3c2c Td8c7s7c3c QcTd7h6s2s 
Kd7s6d3h3d 7h7c6s4s2d KhJc8d6d2s Qs9h5s4d2s 
KdQd8d5d2c QhJd7h4c2s AsTc8c3h2d Td7d6h5s2c 
Qs8c6d5c2c AcTc9c4c2c Kd6h4d4c3d Jc8d7h5d2d 
AcJd8s3s3h 9h7c6d6c2s Td9c4h4d3d KdJh6c4s2s 
Tc9s7s6s2s Kh8h5c4h3s Jh9s8s4s4c Ah8h6h2d2c 
Kc8c5c4s2d Kd8s7d4h3d Ac6c4c3h2s Th8s3c2s2h 
9c6s4h2h2c AcJd7h4d2s KhQh5s5h2h Qs9h8d7c3c 
Ad8h8c3s3h Ad8s8h3h3c Jc8c6s4d3c Jd9d8d6d3d 
Kc9d9c5s2c Ac7d5d4d3d KsJs4s3c2d Qd8h6c4h3s 
Jh8d5d4s3d Qd8s8d3c2c Kh9c8s7c3c Jd3h3d2s2h 
Jc9s7c6c2h 7s7c6d4h2h AsTh4d4c3c 7d6h6d4s2d 
8c7s6s3s3d Ah9d5s3s2d Ts8s7s4c2d Ah6s4h2h2c 
KhTc9s3c2c 9d8c5s4h2h KhKdKc8h4d Qh9c8d7s2s 
Jd8h5c4s3c Qh9s8s7s3c KsQs7h3s3d As9c5h5d4c 
Kc9d9c4s2h Ks8d5s4s3h Kd6s5s4c2h Qc7h6d4s4h 
AcJd9h6d2d KdTc7s5s2h QdQc8h3d2d 9c6h5c3s2d 
6h3h3d2h2d JcTh7c3c2d QhTs5c3d2s Js8s6h5s3s 
Qh8s6h6d3h Ad9d4s3h3d Qs9d5s3s3c QcJs7h2s2h 
