Tc9c8s8h5d 
As8c7h5c2h QsTd7s5s2d KdJcTc4s4c Kd8c5c4d3d 
7d6d5s5d3s 7s7d5c4d2c Js9s8h4d3h 9s8s7s7c5d 
KsQhJs8s4s KhTc9c6c3d QsQh6c4d2h KcJh9h5h3s 
JsJdTh7s2s AcJh8s3c2d KcTh9h5h4s 9h9c4d3h3d 
7h6s6d5s2d Jd7s5d5c3s AhKsQd3c2c KsTh3s3c2h 
9s9c8h5d4s KsTc5s4s4d QdJd6h4s3c As7d5s3s2d 
QsTs8c3d2d 9h9d7c6s3c AsKd7d5h2d KhQhJs7h3c 
Ah8s7h6h3d Ac7d6h4s2c 7d6s5s4s2d Ac9d7c4h4c 
8d5s5h4d4c TsTh9d5d3c QcTc8d3d2d QhQd9s7c2h 
AhQc7s6s4s AhJd8d7d3s 7s7d6h2s2d AdKh9h4s3c 
Jd9d8s6c4h KdJs8s5s4h Kd8c6d3h3c QhTs9d4h4c 
9h8d5s4h3s AhQh7h5h4h Kd9s8h7c5h KcTc9c6s2h 
AcJh8d3c2s Ks8s7h4h2d Ts9c5s4c2d AsJc9c8c4c 
QsQc6d2s2h Td9s8h5s4c Td9d7h5c4d AhKd6s4h2h 
AcKsTc5c2c Th8h8c5h4d KhQdJc3d2s QsJd7h5d5c 
9h7h6s6h5c As9c5h4h4c 9d7s7d6s2c Ac8s7h6h4d 
QhQc9s4c3c As4s4d2h2c Td8s7s7h2d TsTd4s2s2d 
Th8h7d6h5h KcJsJc4c3c AhQh7h7c4h Qs9d6h5h2d 
JsJc7s6s4s AsJh9h5d3h JhTc8d7d3s KhQhQc8h2s 
Kd7d6d5s4d AcTh7h5h4h Kd9h9d4h4d QcJd8d3c2s 
KsQd7s4c3h Tc9c7c5h4s 9s9h7h4s3h Jc9h8d5s5c 
AsTs9s3d2h Kd8d8c6c3d AdKcTd4d2d Qd5h5c4h3d 
AdJh9s9c3s Jc9c8c6h5c QdTd5c4s4d Kd9s7d5d4h 
Jc8h7d6h2c Ad8s7c5s2c KsJd4c2s2c 8d7c6c5s3h 
Kc7c6c5d4c AcQs9s5h3s AhTsTc8c2c Ts9h9d5h3c 
AcTs9c5c3c JsTc7c3s2d AdJs8d6d2h Tc9d4h4d3c 
Ks7h6s5s2h Kh9h5c4d2d Qh8h7s5d2d AdKs8s6h3s 
Td9s7c5c2s QcJh7h7d3d Tc8d8c5s5c Jh9h7s6d2s 
Jh8d8c7h3c Qh8c6h4c2s KhTh4s4c2c QhJs8d7d4c 
Qc8s6d5s2d AdKd7s4c2d JsTs8d7h3s QdJs7s3s3d 
AdTd6d4h3c QcJh9h6d3s QcJc6d6c5c Ts8d8c4d2s 
QdJs9s9h3c Qh8d6h6c2c Td9h6c5d4s Jc8h6h4s3c 
QhJs8s3h2d JhTc7c3h2d Jc8s5d5c3d Js9h8h4s3h 
9d8s8c6c4h KsQh8s8d3d JhTc7d5d3d Kd9c8s7h5s 
Kc5c4d3s2s KsKhKc9s6c JhTs8c5s2d Kc9c6c5d4s 
KsJh9h5d3h Qs8d8c5h4s JsJhTs7d2s 6s5d4d3s3h 
8d7d5d5c3c TsTh9s8c4s Th8d8c6h4h 6h6d5d2h2d 
Ts8s7h7c3c 9d8c6s4c3d JsJc8s8h2s Qh8d8c5s4h 
7d7c4d4c2h 8d7s5s5d3s Ah7c4h4c2h AhTh6h5c4h 
KcTc7h4c2h KsQd8s4d2s Jd9d8s6d2s Th6s5d4d3s 
QdJhJd3c2d AdQhTs4c2s KsQhJc8h2d Ts9s7s7d5c 
8d7h7c4s4d JsTd6h4s3c KcQc6s6h3d Th7d7c6c5s 
9s9d7c2d2c Qd9s5s5d2c JdTc6h6c4c JdTs9d6d3d 
Js9s8h4c3c AsQs5c4d2s Jd9c7s6d4h QcJc8c4d2d 
QdTc8d5h5d Kd7s6d5d2s Jd9h7d3s3h QhJh7s5s2h 
AdKh6s4s4c KsQsJd7s3c KhQd8c7s5s KcQd7c4h3s 
Jc9c8h6c2h Jd8d8c6d5s KhJh7h6h4d AsJs6c4h2d 
Js9h7d5s5c AcJd9s7h3h As5d4h3c2s Js8d7s7c5s 
Qc7d6s5c2d Th9h7c6h4h As9d9c6s4s KhQs8h4s2h 
QhJd9h7h4s JdTh8c6d3d KsQd9s8h2c Ac7c5h5d3c 
AdQd6s4d3c Jh9h7h5s3c KhTd3s3h2d Th9s8h3c2c 
9s7h6s5h2h QcTc9c6c4c KsQsJc3h2s TsTd8c4h4c 
Jc9s6s6d5h KdJhJc6d2s Th7h5d4d3d KdQdJh7d3s 
Kd5d4h3s2s QcJc6c5h5c AdJc9h8h3h QcTd9s4h4c 
Qd8h7h5d2h Tc9h7c5h2c JhJd4s4d3c AhJc8h6d2h 
AdTsTc5d2d QcJh8c3h2d Td8s8d5h5d 8d7s5s4d2s 
Kh9s8s7s7d KhJhJd4h3h KsTh5h4c2c Kd9s7c6h6c 
AcKh6d4s4d KdQs6h4c2d As6h3c2s2h KhKd9c4c3c 
AcKs9d7s2s 8c7s6s5d3h Th8s7s7h3s AhJd9d5d4d 
KhTd7h2s2d TsTh4s4h2s QhTc6s3h2s Jd9d7c5s5h 
Th9h6c4s3d Jh8d7c6d2h Qh7h6d4d3d ThTc9c2s2c 
JdThTd7d3d Kd8c7d4s2s Qh9c6h6d5h As8c7h6h4h 
AhQcJd6d2s ThTc7h5s2s Js9h7h7d5h 7c4h4c3s3h 
KhQc6s4d3c AsQs6c5s2h KhJh6h6c4s AsKd7s6c2s 
JcTd9c4s4c KsJd8s6c3h 9h9d7s5h3h Ad5d4c3h2s 
9c7s6s5s2c Qs8s6s6h5d Kh5h5c4c3h Ah8d6c4d4c 
Ts8s6h4h3s Tc9d8d6s3h AcKsQh3d2d 7s7c5h4c2h 
QhJdTs6s2c Ts8d7d4c3c QhJsJc8h3h 6s6h4d2s2h 
KcQh8h6h6d KsQsJc7s3h KsTs9c6h2s Jh8d6c5c2d 
AcKd6s6d3d KcQc6d6c5c 8s7h6d5c3d KsQh8c6d3s 
Jc8d7h6d2c Jc8s8c6c5h Ac8d6h5s4s Jd8h7c4h4c 
9d8d6h5d4c Jd9d5h4h2s 8h7s7h6h4d QcJc7d6s2s 
KcQh6d4s4h KsTs7c4s2c Qc9c7s5s2h Ah8c4c3s2h 
Kd9d7d5c4h AcTsTh8s2s KhJsJc4s2d Jd9s9c4s2d 
Qs8s7h5d2d QsQc8h5s2s As9d8h6d2h Qc9c8c7d2d 
KcQd8c6s3h QhJs7h6d3c AcKh7d4s4d Qh9d6s6h5h 
Js8h7s7c6s KsQhJd9c4c KcTd9s9h5d Td9d5s4s2h 
AsQh9s6d2s AdKh8d4d3s Jh9c8s8d5c Js7s7d6d3d 
QsQh5s2s2c JhTc6d5h3h Jc8h5h5c3h Th9s9d3s3c 
KsQsJs2d2c KcQc7s3s3d QsJs7d5d2s KcJs9s7s4d 
AhJh8s3d2c AcJd9h7h4h KhQs9d8c5d QsQd8d7c2h 
7d6h4s4d3s QdJs8s3d2h Ts9s8c4c3s Td8d7d6c4d 
QsJhJc4h2h Qd8d5h4s2s 8s8h7s4s3h QhJhTh4s2h 
Jh7h6d4d3d As9d7s4s4c QsQc9s6d2s Td8d6h4d3h 
Ts8s8c5d4s Tc7d7c5h5c KhTc5c4d2d Js8h7c6c3h 
JsTs9s8s4d Jd9d7d5c3s Jh9h7c6d2c 6h6d4s2s2h 
Tc7c5s4s3s AsKd9h4c3d Ts8h7d5d4d QcTs7h5h2s 
Qc7d6c4d4c QhJc7c3h3c Jh9d6s4d3s 9h9c8h4d3d 
KsJh8d5c4c 9d9c7d4c3d Kd9d7d5s4h KsTh9h8h5c 
Qh9d9c8h5h KsKd9h4h3h Qd8c7c6h5c JhJd4s4h3c 
AcKd7c3h2s AsTh9h6h4d Qd8h6h4d3h 9h6h5s4s2c 
Qh6h6c4c3s Tc9s7d5s2d AdKs4c3s2h QsJh7h6h4c 
AhQc9h4s3h Qd6h6d4h3c Qs9c8c4s3h Jc9s8d6h4c 
Jh9d7h5h4s KhTs9s8s5d AhTc4h4d2s JsTd6d6c4d 
Jc7d7c4h3d KhQc7h4d3s Ah8c7s7d4d JhJd7h6d2h 
ThTc9h2s2h AhQh9h7s2c QdTh9h5h3s KcJc9s3s2s 
Ks9h9c7d4s Qs9d8d3s3c Qc9h5h5c3c KdQsJh7h3c 
AhQh8h8d3c AdJd8d3s2s QhTs7h6d3h 9s9c4s4h3h 
KdJh7h5h4h 7d5h5c4c3d Jc6d5h5d3c 9d8d7h6s4d 
QcJd9h9d3s 8d5s5d4h4d QhJh6d4s4c TsTd4d2s2d 
KhTh7c4h3s KcJc6d6c4h Ac7s7d6h5h AdKc7s4s4h 
JsTh8c6h2d Ts8d5c4s2d QcTs8c7d2h JhJc9d8s4s 
Ts9s6s6d5c 9h8s8c6c4d AsKd8s4s3h AhTdTc5h2h 
Kd8h6h6d3d Ks5h4d3s2d Jc9c8d6c2d Ah4h4c2s2d 
AhQd9c6s6c QcJs9s6h4s AsTc7c5c4c Td9d6c4h3s 
Qd8s5d4s2c 9h8d5s5d3s Ks9d8c7d2c Kd9d8s4s4h 
Jc8h8d6h3d KcTs5d5c3h AsTs9s3h2d Ad6h3s3d2h 
KsQd7h3d2s Js9s7c6d2c JcTs8d6c3c Ac5s5c3c2s 
QhTc8h7s2d AsTs6s4h3c KdQc9s4s4c Ts8s7h7c3h 
KcQs8d5h3c Kd9c8h7s5h 8d7h7c6h4h Kc9s8s5h3h 
Ts9h7d5d2h AsJc8s6d2s AdJd6s4c2h KdQc9d8h2s 
AhKc9c4d3s Jd9d7d6s6h KcTd9d6d3h 9s9c7s4c3s 
JhTd5h2h2d 9d9c7h6h3s Jh9c7h4c3c Ks8h7h5s2s 
8s8h5c4d4c Kc8s7s4s3c 9h9d5s5c4s AhKc9d7c2c 
Js6d6c5s3d Ah5s4d3c2h QsTs9s6s3c KsJh6d5d4d 
QsTc8s5s5h QcJhJd4c2c JhJcTh7d2h QdTh9h9c4h 
Ah8h7c6d3h Js9d9c4c2s Jd6s6d5h5d AhJh6h5c4h 
QhTs8s3h2s 9h8d5d4s3h AsQs9s7c2d 9s8d7d7c3c 
AsKs8h2d2c QhQc5d3s2h 9c7h5h3h3c As8h4h3d2s 
Tc9c4s4d3s KsTc9h9d3c AsJc6d6c5h QdJd8d7h4s 
Jh9h8d5h4c QhJdTd8d2d Qs8c7h5c2s KhQdJd4s2d 
AhKc7s6d3d As8h6d5s3s KsKhKc9c6h Qh8h6h6c5d 
JcTd7s7d3h Tc7s7c6h4d Kc7d6d5s4h AdQs9d3c2h 
8d5h5d4s4d Ac9d4h2h2c Kc9h8d7s5d Th9d5d4c2h 
8s7s5h3s3h 8h5s5h4h4d KcTh9h6h3d 8s6d6c4d3s 
9d8d7d6s6c KcQs8s6s6h Js8c6s6c3h Js8c5c4s2c 
Tc9c6s5h4c AhKs8h3c2d Ac6s3s2s2c KhJd9c6d4s 
Kc9h7h4c3c Js4s4h3h3d JdJc9d8s2d AdJd8d6c2s 
8c6s5h2s2h QdTs4s3s2d KhTsTc8c4c Jh9d4h4d3s 
Ts9s8s7h4c JdTs8c6h2s KcJc6d3d2h TsTc9d8c3c 
KsKhKdJsTc QcJc8c4s2s KhQc9h8d2s 9h9d8c5s4c 
AcJsJh7d2h 9c8s8h6h4d KcQd7c6c3s Js9d7s6c4h 
KsQh7s6s3d Jd9s7s7c5s AhJs9s5d3s KcQh6s4d3h 
As7d6s4s3h 7d4d4c3s3c 9d8c5h5d3c Ad7c4s4h3d 
Td8d7s7c3c Ks7s6s6h5d Qs9d7d6s2d AhQs5s3d2d 
KcJd7s4h4c KcQs8s7h4d Kh9h6c4h4c AcKc7h4c2s 
ThTc9h2h2d AsQs8h4d3s Jd7h7d5c4s KsTd8s5h5c 
ThTc7c5d2d AcJh8c6c2s AcJd6h5d4d 8h7d7c6c4c 
As7h7c4c3h Td9h6s5h3c 7c6c5d5c3d Jh8d6h6d2s 
AdJd8s3h2c Qh5d5c4d3h 9h8s6s4c2h KdTh8d5s5c 
Js9s8c5s4d Tc9s9c5h4c AhQc6h5h2s AhQc8d7c2s 
QsTs7d6s3h 9h7h6d5c3h JdTh6c4d3s KhQc5c4s4c 
JhJd5h4c3s AcJh8c6d2c Th9h7c5d4h Jc9h8s6d4c 
Ts9s7s7h5c AcQc8s4h3c Ad5d4c3s2h 5d5c4c3s3d 
KdTs9s5s4c 8h6d5h5d3d 9d7d6s5d2s Ah9c8d4d4c 
AcJh8d6s4d KhTc9d5d3s QsQc6h2s2d KdTh4d3h3d 
QsQc6h2d2c KdQd9d7d5h KsQc9s9h4d AhKd9c6s2d 
AhKc8s4d3c Ah8s6s5d2d Ts8s8d4d2d 6c5d4d3s2s 
JsJd5d4h3c 7s7h6s5d3s Kh6c5s5d4h Tc9c8h3h2d 
KsJcTd5d2d 9s8h7c6s4s KcTh8d5c2s Ah4s3h2s2d 
QcJs4c2s2c Ts9h9c5d4c AcJh9s8s3s Qs8h8c5d4s 
Kc9d7c5c4h QdTs5s3d2s Kh9h8d4s4d Jd9c8s6d4h 
Js6h6d5d3h Kc7c6d5c2d Th9c7c5h2h Th6s6h5h5c 
Ad9d7h4s4d AcKd9h7d2d Ad7c4d4c2d QdJh7s7h5h 
Qc7c6h5s2s Kc7c6h5c3s AdJd5s3d3c AcTd9s6s4h 
QcJc9c6d3h QhJc9c7s3d Th8h7s7d3s QsQh9s4c3s 
QhTsTd4d3c Tc9h8s5d4d Ks8s8c4c3d TsTh4s2h2c 
Tc8s8c5h5c QdTd5h4s4d AdQh9d7c2d KdQh5c4h3h 
AdJs9c5h5c Jc9s8h4s4h JcTc9h9c2c Qc9d5s4d2c 
Jh6d6c5c3d QsTd9s4c3s Qd9c6s6c2d Jc7h5s3s3c 
KsQcJh8h4h QdJc4c2d2c Kh9h8c6h5h Jd8h8c6h5h 
TsTh7s7c3s AhTh6h5d4h AhTh5h5c3s 9h8c7c5s4c 
KsTh7d7c3s Td9d7s7h5d Ad6d5d4s3c QcJh7s7h5h 
KhJc7s5d5c QcJc9c8s3h Qs6h5c3s3h AcQd5s2s2d 
AcQs8h7s2d KcQs6d4h2c QdJh8h5c3s KcTs5c4d4c 
Ks6h5h3h2s AsJc9d7d4d Ac9c5h3s3d Jc9c7d6h3s 
QsTc6s3h2h Td7d6s3s3h AhQh9c7h2s JcTd7h7d3s 
AdJcTc6h2s 7s6h4s4d3d Kc7h6d4d2c Th9d7h5d2h 
QhJs9c6s4s AcJd6s5h4s Qd8s7h6d2s AdThTd6d2c 
QsJs9s6c3h AcKh9d6s2h Jc8d5h5c3d Kh9h6h5d4s 
Qs9d7s6c2c Ks9s5c4h2h AhJd7c6c4c As7h7c6d5d 
AdKd9c4s4d Ac7d6d5s4h 7d7c6h5s3h KdJs3h3d2h 
AsTs6s5s4c Jc6h6d5h3d Qh8s7s5h2s KhQdJd4d4c 
AhKd8h4h3s KdJcTs5s2s KhJh5s5c3d Ad8s4h3h2d 
KsQh8c5d3s QhJh5c4h3d AhQd4h3h3c KdTs7s5h2h 
Ks8d6s3d3c JcTc7c4s3d Qd9h6c5c2h Jh8s6s6h3d 
AhKc8h4h3d AhKc8s6c3c Kh9d6h3d2c Kc9d8s4c3s 
KhTh6c4s4h QhQd8h7c2s Td9d7s6d4d AsTs6s5s4h 
7s7d5h4s2h As9s6s6d2d AsTc8c7d3c 9c6s5c4s4c 
JhTh8s5h3c QcJc7h5c4c AdKd8s2h2c 6h6d5h3c2d 
Qc9c7h5h2d AdJh6h6c5s Jd9s8s6h6c KdJsTc2h2c 
TsTc9c8d4c KdQsJd8d4d KcQc9s8h2d Kc9c6h4h4c 
TdTc9c8s3c Ad8c7d6d3s 8s8h6s5d2c AdJs9s5c3s 
Qd6h5s3h3d 9h6h6c5s2c AsKs9d6s2c 9s8d7h7c5h 
KsQh8h7c4d KhQh7s3s3d Qh9d8h4d3c AhKs6s6c3s 
QhJs9s9c3d KhQh7s3s3c Td6s5c4c3s Qc8d7d6s5d 
AhJc6s5c4c KhQhJh7d4h 9s9h4d3h3d Td7s7d5d5c 
Ts9c6h5c4d Kh8s8h4s3d AsKd9h9d4d Jc9c8d4d4c 
9s8s7s6d6c Ts8s7h7d3h KcQs9h4s4h Ah8s7h6h3c 
QsTd9h6d2c JdJc4c3d2c QsJc8h7s4s 9s8s7c5s4d 
KsQdTh5c2h AhJc9s9d3s Th7s6h5s2c QcTd6h3c2h 
9s9d7s5s3h KcJc7c6s3d Qc9d6h4h3d Ks7d5h4h3d 
Qh9h7d4d3s KsThTd8h4h Ad8h7s7c4c Qc9d7c4d3s 
JdTh9h4s2c Js8c7c4s3d As9d5c4d4c Qd8s8d7c3s 
AhJs9c5c3d QhJd9h6h3c QhJd9d5d4d QdJd4h3s2h 
Qd6s6d5s2h Qc8h6c4h2d Qc7h6s5c2h Jh9d8s5h5c 
Ts9d5s4d2c KdTc9s9h2c AcQdTh2s2h Th8c7s5c2s 
JcTc9c7d2h Ac9h5s4s4h TsTd7d5c2c JdTh6d4c3s 
JcTc5c4h3s Jc8s8c4h2s Qs9d8h4s4d 8d6s5h2s2h 
6d4h4c3d3c Th9s9d8s5s Kd8s8h6c5h JcTc8s5c3h 
KhJc8c5c4s QcJdJc3c2h Ks6s6c5h4s Th9h6c4c2d 
Kd9d6s4s4d QdJc7s5h5c Ad7s7h6c5c KhJd9d7d4c 
Qh9h7c6d3s Qs9s7c5c2d Ac8h4h4c3c KdQc6s4h3c 
As6s5s4h3d QhTh9c5s2d KcTh6s3s3h QhJh4d3c2d 
AsTh7h7d3c JhTd8h4h4c KsQhJs7s3c QsJh7d5h5c 
KsQc8c6d6c KsJs4c3c2c 9s8h5s5h2c KcQh9s6c2d 
Kh9c8h4c3s 9d6h6d5c2h KdQdJh7d3c 9h8h7s7h5c 
9s8h8d6d4c KdQd9h8s3c 8s5s5c4s4d 9s8s7h6d4s 
AsKsQs8s2c KcTd7s7h4d AcJs7c5h2c 7s5h5c4c3s 
QhTd4c2h2d QdTh7c5c2h AcKs9s9h4s AsKc4d3c2h 
AhQc9h3s2d AhKd3d3c2s JdTd9d8c2d Qc8h8c6c2h 
7d6h5d4d2h KsJs9d3d2d QdJdJc3h2d As9c7s4s2c 
As9d4c2s2c 8s7s6h6d5c AcJc6c5d4c KdTh9d2s2c 
JsTd6s4c3h AcKcQc6s2c Kd8c7c6d2d AsTs6s4d3h 
AhJsTd4d2d KsQs3c2h2c KdJsJh5d2d Jc9c8h5c4s 
AsKh8d6h3h KhQhQc8h2d QdJs8c7c4h Ac6h4c3h2h 
JdJc7d4c2d Js7h6s4c3h Qd9s5s4d2h Jd8d7s4h3s 
KhTh6d6c4h Ad7c6d4d3h Ad8c7s5c2s KcQh8d7d5d 
9c8h7h4d4c 9c7c6c5s2s JhJc9s7h2d AsQdJh6h2c 
AhQs9s5c3s AdKh9c7h2h KcTs9h5h3d Td9s7c5h5d 
Qh9s8d6d6c KhQhJc3s2h QdTs6h6c4c Ad9h8s4c2d 
KdJsTs4s4c QcJh9s6h4h Tc9s9h3d3c Qd9h8d4c3h 
Qc5s5d4s3c QdJd5h4d3s 9c8d7s7h5s Qh9s8h4c3s 
8d6c5s2s2c QcJcTc4d2c Qc8c7d6s2s Ts9h9d3d3c 
Td9h8d3c2c Kd7h6s4s2d JhJc6d5c3c KhQh9c8s3d 
KdTc5c3d2c AsJs7c5s2h AsJd8h3s2c As9d7s4s2d 
Qs6c5h3s3c KcJsJh4h2d KsTs9d3h2c KdQhJc3h2s 
8h6c5d2h2d 8h7h6d2d2c Ac8h4h3s2c AhKhQh6c2h 
Jc6h6c5d5c AcJs8d7h3s QsQh8d5s2s AsKd9d4h3c 
JdTc8h5s2c KhTh9d6s2h QsTh7h7c5h Jc8d7s4s4d 
KhTh9h9d3h KcJhTh4h4d KhQd8d7c4s QhTh5s4h4d 
AsTh9d5d5c AdTc8s8h3c Qd9s6h6d2h Ts9h9d8d5d 
Kc8s7c6c2s As7d5h2s2c Kd7h6c4h4c KsJsJc4s3s 
7h7d6d5d4d KdJh9s8d2d JsJd9s6h3s JsTs9s8s4h 
Js9s7s6h6c Qd9s8c4s4d JsTs9s6h4s JcTs6s6h4s 
Jc9h7h7c2s Ad9h7d4d2h QsJh7h6h4d Th9h8d3d2c 
KsQh8h3d2s KsQd8d6d6c AcTsTc6c2h QhTd9c4s4h 
JsTd7h6s3s Ts8d8c5d4d Js9d6h6d5c 9d8c6c4h2d 
KdTs5s3d2s KdQsQd8d2h QcTs9s9d4s Td8s7h4h2d 
AdKh3s3h2c KcJhTh4h3h 9s7s6d5s2d Kh7h6s6h5d 
Ts9s8d3d2c KsTdTc5h2s AcQsTh4d2h 9s9d7d5d3c 
KsTh5h3s2h QsJs8h8d4c 9c8c7c6h4s Jh9d8h3s3d 
AcQdJh6h2s Qh6s6h3s3h Tc8h8c5s5c KsTd9c7d3d 
Kd9d7d5s4c AsTc9c6c4h JhJd9d8s2d Qc9h7c6s2s 
QdJd9d8c4s AsQh9s6c2s AsJc8d7h3c KhJsJd4s2c 
JhTd9c4s4c 7s7c6d2s2c Ac5c4d3s2h QcJs9c8c4h 
KhJs6c5c4c QcTd8c3d3c ThTd4h2d2c Ts9c6h5s4d 
AsJh9h6h5h 9h9d8s5c4s JsTs6h3s3h AsJh9h8h4h 
Qd9c5h4c2d Jh8d5d3h3c Tc7s6h5d4h Qs8s6d4d2h 
AcKh9h7h3h AdTd7d5d3h TdTc7c6d2c QsQd9h4s3s 
AdKh8c4s3h 9h7s6s5s2h Ts9s8c3c2h TsTd7s7h3s 
Ac7h6d4s2c AdJsTs3s2h Qs9d6s6h5s Jc8s5c4s3s 
Ac7d6c4c3h 7h6d6c5d2c Ah7s5c2h2d JhTh9h8h2c 
As9d8s2h2c QhJs6c5c3d Jh7h7d5c4s Td9s8s6c3h 
QdJd9d8c4h QdJc5d2d2c QcJh7d5s3h Th9h8s4s2s 
AhJh8c4h2s Qs7s5s4h3h QsTh7s5s2h JsJc6c5c3h 
AsQc9s6d2s QcJh7d4c2d 8c6s6h4s4d Ts8d5c4c3d 
Qc9h7s6c3d KcQs9d6c2h KcThTd8h4h Td9d8d7s4c 
AhJh5s3h3d QhJh4d3s2d Qd9h7d4h3s KhJsJh9h4h 
AhJc9c6c5c Qh9s9c7h5h JcTc8d5c3s Js9h7s5s4c 
Ts6d6c3d3c AcTh9s6d3s KcQsTd4d3d Ts9c8s6s4s 
Jc9c8h4h4c JsTh9s4s4c Tc7s7d5h5c 9s6s5c4c2h 
QcTd7d6s2s Th9h8c4c3h Qh6s5d4d2h 9h8s5h4h3s 
Jc7d6h4c3d Jd9c7d3s3c Ks9d6d4s3s Jh9h8s6h2s 
QsJc6d5d3h AcQd7s7d4d Qd8s6h4s4h Jd8c5d4c3c 
9h8c7h7d5s 6s6d5s3h2d Js6s6d5c3c Th8s7s7c3c 
Qh8d5d4h3d JcTs6c5d3c Kc9c5d4s2s KsQdJs7s3c 
Kh9s8c6h3d QcJd7s4d2c Td9c8d6h2s Ts8s7c4d2c 
KsQdJc3d2h Kh9d6h4h3d KdTs9c5h4c 8s8c5d4h4d 
ThTc5c4c2h QhTh9h6h3c KsKc9h4h2d JhTd5d5c3s 
Ad6s6h4c2d QhTs8c7h3d Qc8h6s4h2c 6h6c5c3d2h 
JhTc8h4s4h KdQsTs8s2h Js8c5h4s2h Ad8h4c3c2d 
Jd8h6h6d3s Tc8d7h5d2h Jh8d7h7c6h 9c8c7d6c4s 
Js8h6s6h3c Jh6s5c4s3c KsTd7c6h3d QsJd9d9c3h 
Tc9s9d2h2c Ad8c6h5s4s AdQd9d5s5d KhTc5h5d3s 
Ad8s6c4s4c KhQc8s7d5d Ts8c7s3h3c Qd9s8d6h3c 
KcJd6s2d2c Ac8s8d7s4h Td9d6s5c4d Th9h8s8d5c 
Ad6d4d4c2c As8d4h3h2s QsJs6s5s5d Jh9d7c4d4c 
Js8c6s6c2d AdKhQs3c2c Js8d6s6d2c TsTh9h8c3h 
JcTc8d7s3c QcJs9c6c3h Ts9h6d6c5d Td8c7c4s3s 
KdJcTc7c3c Js9s8h6s6c QdJd7s6h2h Td8s8d5d4c 
KhTs7d5s3c QcTd9h6d2s QdJs6h2s2d QhTc9d8d2d 
KdJs6s6c4h QhJc9s6c4c QhTd8h5s5h 9h9d7s5d3d 
Jh9d7s6h4c Ks8s7d5s2d JcTc7c6s3d Qs8d7c6s4s 
Jc8s5h5c3s QcTd7c6h3c 9h8s7h7c5h 7h7c6h5s3h 
AdJd4d3s2s AcQs5d2s2d JhTd6h5s3h Jh6s5s5d3h 
KhJs8h6c3d 6s6h4d2s2d Qs8h8d5c4s Qd9c6s4s3c 
KhJh4c3c2c Ad6h3c2h2d KhTh7c4h3d JhJdTh8h2h 
