AcKs9c5h4h 
QsQcTs6h2c AdKc6h4h4d AsQhQdJd5d AhKd6h6d2c 
QhQc9d8h5d AdQs6d4h3s KhKc8d6h3d KhQhJc7c6h 
QsQdTs7d3h AsQhQdTc3h AcJsJc9s3c JsJh9h8s6h 
KcQcTd6d4d AcKhQc3s2s QhTs8s7h6s KdKc8s6d3s 
KcQsTd6s5d QsQcTd7s6h Ah7h7d5d3c AdKhJsJh4c 
JdThTd8h6h AsQh7c4s3h AdTs9d7c2s AhJsJc8c6s 
AhKhQs5h4c QsQc9h7h5s AhTc8d7s4h AsKc9h4s4c 
AcQdJsTs4h KsKdJs8c3c KsKcJd7c4h KdJhJd4h4c 
AdQc8d7c4d KhQdJc7h7c Ac8d7c6s4d AhKs9s8d5d 
AsJh9s7d5c AdQd9c5c3s AcJsJh6c3s KhJh8s7d6d 
AsQh8s7d3h AcJc7d5d3d KhKdQh6s6h JhJdTc3h3d 
AdKdTh3c2h KhQdJs5s3d KsTs9h6c5c AsTd9d5s3d 
KhTd9c6h5c KhQsJd6s3h KsTs7c6h5h QsJdTs5d3h 
QcJsJh9s9d KdQcJsTs8h KdQhJd7h5d QdTs7s7d6h 
JsTdTc7d5s QcJhJd9c5d KsQdTh9s4h QcJdTs5c3d 
KcTc7s6h5h KhTc7h6d4c AcQs9h8d5c KcQsJh7h5s 
KsJcTc6h3s JhJdTh9h6d AsKcTs9h2d KdKcJc9c6s 
AsKcTs8s8h KsKh6s4c2c KsJsTh6h6c Ac8c6h5s4s 
QsQc6s6d4d AsJdThTc8d KdTd7h6s5h QsQcJd9s4d 
AsTd8s8d2h KsJsJdTs8h AdQd9c6c4h KdJsTc5d3c 
Ts9s8h7c6c KhQdJh7d5h AsTc8s8c2h KcQh7c5d4h 
KdQsJd7s5d Ad7d7c6c5c AcQdQc7s5c KsQd8d7s5h 
AhQsJs7d2h AcKcTc9h6d JcTc9d8h6d QdTd8s8h7h 
KhTc8d6c5h AcKs9h9c7d KsQdJh6s6d JhJcTs8d7h 
AsTsTd6h3d KdKcTs6c3h AcJhJd4d2c AhQcTc6h3h 
AsTc7s5c3d KdQhJs6h6d KsQsJdTs8c AhQdQcJc5c 
AdQsJc9s4c QdJsTsTc3d AdQs8d7c3s AsJdTd9h8d 
JhJcTc8d7s KsKhQh5d4h AcQc9d5h4d JhJd8d6h5c 
AsJsTc6h5d KsKhTd6h3c QhQc6c5c4h AsKh8c4s2h 
AcKcTs3d2s QhJcTc7d4h KsQhJc6c4h AcKdJc7c5s 
KdQc9c6c5d JdJc9s7d6s QhJcTs9c8c AsKhQs5d4s 
AsJhTh9d8h QdJhJcTh8s QsJdTd7h4s KdJsTsTc6c 
QsQhTsTc6s AsJh5s5h4h AsKdQcTh3d JhTh9d7h6d 
KdQhTh9d3h AsQsJs8c5d KsQsJsJd3d KhKcTh4d2d 
JhJc6s6c5h AdQs8s7c6c AhKhKc7d2h As9h7c5s5h 
AcQhJd5h5d AhQsJc5s5c KsJdTsTh7c KsQcJh8c4s 
KsKcQhTc2d QhTc8h7s7c AdTs6h6d5h AdKsTc6c3s 
AdQdJd8s7c QsJhThTd3s KsTh9s8c7d Ad9c7h5h4d 
KcQhJd8d6h KdKc7s4s3d AcQhTd4c2d AcJc9c8s7h 
QsTsTh9h6s AsTc8c6s3h AcQdTh9s9d AhKsQc4d3h 
AcJh8h6h4c AdKs9c5d4c AcQsJh9s4h QcJcTc9s8d 
AcKsJc9d3h KhQdTs5s4d AcQhJc8d7c AhQh9d6d4c 
QhJc8h7c6d AsTd8d6s3h QsQc6s5d3c KhKdTh7s2s 
JdJcTc8s7h AhKdKc8c2s AhJc9d6h4c KsJsTc8h5h 
Kd9h8d7h6c KsKc5c4d4c AhQsTdTc8s AhQc6c4h4d 
AdKdQhTs5d KdJhTh9h4d QsJsJcTs3c AsJh8h6s6h 
KsQhQd9d4h KcJsTc6s3h KdJsThTd9d AhKdTs7d5c 
AdKh9d8c5s AdKcQs6h5c KsQhJd8h4s KsKhQcJc7d 
KsQdJc6d3s KdQdQcJd9s AcQh9h5c2d AsQc7s6c3c 
AhQc8s7c6s KsKhTs8c4d KhKd9h8s5c AhJh8s7c3c 
KhKc6c3h2c JhJc6s6h5c KdJsJhTh9h Ks9h9c8s7h 
AsKsQdTs8s AhThTd7d2s AcKcQs8h8d QhJsJd9s6d 
AdQhTh8s7c AdQs5h3s3d Td9c8s7d6c Ah9d7c6h6d 
KhQsQh5s2s AsKsJsTs7c AsQsJh8c7s AdKhJsTc6h 
AdKhJd8s4c AdQs8d7s2h QsJd9s8d5h AdKdJs9h6c 
AsKc8s5s3c KcJsTc7d6h AhQcTd8h6h AdKsQsQc6s 
AhKhTc4c2s QhTh8s7s6s AsKsTh7s5c AsKd8d7s2s 
AdQdJh8c7d QcJs9h8s8h TsTc9c8s6h KsJh8s7d5h 
AdQs7c4d3s JdJcTd8h7s AhJc7c5c3h KsKdQcTs2h 
KdKcJsTd2d JdThTd9c6h KhJh8d7s6s AsKs7h5s4h 
AhQcJdTc3s AhJh6s5s4d As9c7c5s4h AcKd9s7c5h 
QdJc8s8c7d KdJsTdTc7h QcJdTh9h8h AdQsQc8h4d 
QdJdTs7s4c AdKsTd8h8d QdJcTh5d3h KdJsTd9h7d 
QcJcTd7d4s AsKsQc5s4h KsKcQdTs6s QsQc9d8s7h 
KhKc9s5d5c KsKc8d6s3d JsJd8d6s5h KdKcQc5s4c 
JhJdTh9s4d KsTs9h7h5c KsQsQc6h2c AdKhJc3d2c 
AcQcJc5h3h QdQc5s5c4s KcJdTh9h4d KhKd8c5s5d 
AsQcJsTs6d KdJdTh8c5c KhKcJdTh5h JsJcTc9h3s 
KdJdTsTh9d KsKc9h8s3h AhQh9s5d4d AhTsTh8h7d 
KsJcTs7c4s AhKdJd9s3s AdKs7c6c4s QhJcTd9h2c 
AcTd9c8h5s QhThTd6d5s Ah7h7d5d3s Ah9c7d5h4d 
KhQsJc7c5s KsTd9d8s5c AdKsJdTd7d QdQc5h5c4h 
Kd9s9c8d7s QsQdTd8c7d AdJdTh6c5s AcTd9s8s8d 
AdQc8d7c2s KhKcQh7h6d QhJhTd7d4s AcKcTs5s3c 
AdQcTd6s4h AdQh8d7s2h AsQc9h9d8s KcJcTdTc6d 
AhQsTd8s7c AsQsQc8s6h AhJh9h8d7c AsQcJs8h8d 
KdTd7c6s5s KcQs9d8d6c AsKs9h6h6c QsQd9h8h5d 
QsJsThTd5d KdKcTh6c3s AhKh8c5c3s AdJsJd8c4h 
AcTd8d7d3c Th9s8s7d6h KhKcQs5d3h AdKd9s6h4s 
KsKdThTc4c AsJsJh5h2h AsKsThTc3d AcQhTd7d2c 
AsKhTc7h5d KdKcJc5c4h KhQcTs6c5s KcQcTd8s7h 
QsJcTc4s3h KdTh9c6d5c AcQc8h7s6d AdQhTh6d3d 
KhKdKcThTd AdKcJs3d2s AsQsTs8c6h AdJs6s5s4d 
KhJdTd9h3d AsKhQd4s3c AdJh6s5s5d AhQdQc8h5h 
KcQsJd7d5s AsKcJhJd7c As8s8h7d4d AsTs8c7h3c 
JsJc9s8d5c KhKdJcTd5d KhKdTd7d5c Ac9h8s7h4c 
AcJhJc9c3h AcQcJs9c2s KsJd8s7h5d QsQc5d5c4d 
KcQsTd4c3s KsKhTdTc5c AsQcJs8s3c JhJd7c6h5d 
JdJcTs9c4d KhJcTdTc6d KcQh9h9d8d KdJc8c6d5h 
AhKs6c4h4c As9s7d5h4d JsThTc5s4c AsKh9s8h3s 
Ad9s9c8s8c QhQc9h8s3c AdKdQsJc7d AdKsQh5s4c 
JhJc7s6c5h KhKdQh8d3d AhJh8s8c7d AhKsJs9d2d 
KdJs7s5d4c KhKcJsTh5h KsKdJd8h3h KhKcQd8c7c 
AhKdJc4d3c AcQdJhJd5s AdQd7h5c3h KsTc9h8h8c 
AhKdQc8d7s KsQdTd6s6d Ac9d9c8d4h JsJh9c8c6h 
KhJh9c8s6c QsQdJhJc6d AhQh9s8s4s QsQd9h8d7c 
JhJd9h6c5d QhJcTd5c3h AdQcJs9c4s AcKc9d7d7c 
AhAdAcQs8d QdJhTc5h3d KsTc8s7c5h QhQdTs7d6c 
KdQhJh9d3s KcJhJc9d8s KcJh8s7c5h KhKdQhTh6s 
AcJdJc8h4s AdJdJc8s4h Ks9h8d7d6s AcQh8c6h3s 
KdTc9h8s7d KhKcQsTd3h QsQdTd5d3s KcTc9d7s5d 
AhAdAcTs5h As8c6s5h4h KdJdJc5s4s KsJc8h7s5c 
QdJs9c7d6s KcTsTd6s4c AhQc8h8c3s JdTc9s8d7h 
AdQd9d8c5c AsJhTdTc2s AsQd8s7s4d QsQcTd2d2c 
AsQhQc8s5s AcKcTc9s6h KsTd9h8h8d AdQh9c8s8d 
AdKdQh8s7d JhJc8d8c5d JsTsTc9d6c KcQcJsJc3s 
KcQcTh9h4s QsQcTh3s3h KcJdJc6c5d KhQhTd9h9c 
KsKcThTd2d KhKdQsJc2d KhKcJh9h6s JsTc8s8c7s 
AhQs9h7d4d AdJcTd7d5h KsKh4h3s2s KdJhTc4h3d 
KsTsTh6h5h QcJsTc8d7h AdKdJh6s4c KcJsJc8d5d 
QhQd9h8c4d AdKs9h7s7h AdKsQh4d3c Ac9d8d6s6c 
KhQc7h5d4c AdQdTh4c2h AdKh7d4h2s AsQs9d8h6c 
AcJc6h5s4s KcTd9d6h5c KdKc9s5d2s KdThTd9h3c 
KsJhTd7c6s AsAc8d4h2d AcJc8d6s4s KsQhJs7s5h 
QcJdTc8d5d As8s6c5d4c JsTc9s7c6c KsQhJh9d3s 
QcJsTd9s8s AdKsTh6h3s AsKd8s4d2c QsQcJd8d4c 
KdQhTc6c4h AdKcJsJh7c KhTd8h6d5c AsQdQcJc5c 
KsQdTh6d5h AhKc7h7c2d AdTh8h8d2c AcJdTh8h3d 
QcTs8s7h7c 9h9d8s8d6h AcKc9d8h3h AhKsQd7c5s 
AdQdTs9d7c KcQsJs6h6c KdKcTh6d4d AhKhQh7c5d 
QsQc8h7c5h Ac8h6c5s4s QsJhJc9s5c AdQhQcJh8h 
AsTh6h5s4d AhKcJd3d3c KdQsQd7c3s AsTc9s8d5h 
AdTh6s6d5s KhKc7s4s3c QsJhTs5h3c AhQc9d6h4d 
AdJhJd3s2h QsJcTs8d4d As8h7s6c4h AcKdJcTc7c 
AsKs7h5h4s KdKcQsTs7s JcTdTc9h6d AsKsTd7s5c 
QsJdTc9s2d AcKdTs7d5h AhQs8h8d4d AcKc8s5s3d 
KhKcQhJd2s AcKcQh7d6c QhJhTs9d4d AsJhJdTd9d 
AhTc7d6h3c QsJcThTc3s KdJsJcTh7d AhKs9d8c5h 
KsKhQcTd3h AdKcQsTh6c AcQh8h6c2d JsTh9d8s6d 
QsQc7h7c4s KhQcJhJd8s Kc9s9c7d6s KcQs9s7h5c 
AdTc7d5c3s QhQcJh4c2s Ah9c8d7h4d AhQsQdTc6d 
AcKhJs4h3s KdKcQsTh2c KhJc7c5h4d KcJdTh7c3d 
KhKdQd7d6c KsQcTs4d3c Ad9h8d5s4s AdQcTc6d2c 
AsQd9c8h5s JsJd7c6d5s AcKsJc3c2s KdTh8c7h5d 
AdQs5d4s3s KhQsJd6s6h TsTd9h7h6s AcKs7c6d3d 
KhQhTd8s4d AhQs8h7d2s AdQcTs9h9c AhQhJh5d3d 
KsQcTs7d5d QcJsThTc8d Ad9h9d7h4c KsTd8h6h5s 
KsKc9h8c3h AdTc9c4d3h AsKsQcTs8s QdQcTs6c3s 
KhKc9s8h2s JsJhTs9d5h AcTd7c4s4d AcKcQsJc2d 
QsTs9d7d6s AdJcTh8c7s KcQdTc9h5h KsJs9h8h6c 
Ac9c7h5s4s KhTd8d7h5s KdTc9c6h4d AcKhKd3c2c 
KdJdJc6d5c AdKhJc4c3h AsQsJs8h5d AsQdJs8s2d 
AsKdQh9d2h Ac9s8s5h4c KsKd4d3s2s QcTs8s7c6s 
JsJh9s6c5h AhKc8c7h2h JdTdTc9s6c KsTc7s6c5c 
QsQcTc8d7c Ad9h9c6h5d AdTc9h8d5s JsJd8c7c6s 
AsJh6d5s5d KcQdTsTc3s AsJsJh5c2c AdQc7d6c4d 
AcKsTc8h8c QcTh8s8c6h KsKhTs7c2c AdKhQd7d6c 
AsQc8h7s2c AdTh9c8h8c AcQsJc7d2s KsJd7s7d6h 
QdJdTsTh4s AhQdJh6h6d KhKdTd6d4c QdJcTd9s4s 
Ac9s9d6d6c QdJcTs8d5s KsKd8d3s3d AhKc9h8h3c 
AhJdJcTd9d AcKs9h6h6c QdTsTh6h5d QdJhTs9d2h 
Kh9s8d7h6d AhJc9c6h6d AhTc9c4d3h QcJhJdTd8s 
KsKcThTd5d KsKdQcTc7c AcKhQhJd7s AsKsQs8d7c 
AdKcJdTd7d QcJcTs9d4d Ah9h9d8h7d JsTh8h7s6h 
AdQd8s7h6c AdKc4s4c2d KcJh9c8s6s AcKh6h6c2s 
QcJdTc9s4s KdQsJhJd8c KcQsTc4h3s AdKhTc7h5s 
AcTs6d6c5s QsQd9d8h4s JsJh8h7s6h KsJsJd5d5c 
Ac9h7s5s4c Ad8h7d6h4h AhTd8h6d5h JdJcTd9s4c 
KsKd8d6d5c QsQh7h6d3s QdJcTsTc3d AdJhTs5c3d 
JsJd9d7d6s AhKdTd7s3s AhKdTc8c3d KsKcQc6d6c 
QdQcJc4h2d QsJsJd9d5d AdKc8h4d2c QdJd9s7h6s 
JsJd9d6s5c JdJc9s7c6s JhJc9c6h5d QsJhTc7s5c 
AhKh9d5d4c KhTs7s6h6c JsJhTd6s5d KhKdQhJs2c 
QdJsTs7c4d QhTc8h8d6c AhJhThTd7s KcQh9c8h8c 
QdTc8h6h5d AdKs8s7d3d JcTd9h7h6d KcQhJh9s6s 
As9d7s6d6c AdQdTh4s2h QsQdJhTh8h KhQsJd7d5s 
AhJhJd7d2s AdQsJd7c2s AcKdQhQd6d AsQcJh9c4h 
AdAc5s3h2s KsJcTd6c3s QdTh8d6s6h QdJhJd7h7d 
AdKsJh9s8s AhQs6s6h4s QsJc8s7c6h KcTs8c6s5h 
TsTh9c8s6h AdQhTc9d7d AhQsQcTd3s KhQdJh9d2s 
AhQh9d5s4d JhTc8c7h6c KsKhQh8d7h AdQh8s7d5c 
AhQh9s5s3c QsJhTs7c4h AcQsQdTh6d KcTsTc6s5s 
JdTd9s7d6s QsQc8d7c5d KhQdJd6s6h AhQcTs9s2c 
Ah9c7c5s5h AsQh9d7d4s KhQsJsTsTc AcKcQdTc3h 
AhKcJs4c3s KhJhTd4d3s KdQsQd6h2s KhJhJd9s8c 
AdJd8s6s4c AcQh9s8d5c AsKc8d6s5h Tc9s9d7d7c 
KhQcJs7h4c KhJs9c8c6h KdQcJh9d4c QsJhTh7d4s 
AcTc6h5s4h JdTd8s6h5h QhQcJd8d4c JsThTd5s4h 
AcTh8h8c2d JdJcTh8s7c AhKcTh4c2h KcJc9h8h5d 
QcJsTsTh3c AdJdTc6h5s JdJc9c6d5s KcJc9s8s5d 
QhJsTc9h9d KhQs9d8d6h AcJc8h8d7s AhQdJh8h3d 
KdJh8c7d5h AdJsTsTh8c JsTsTd9s9c JsJhTs9d3h 
AhJdJc6d3h KcQdTc5d4c AcQsTs8h7d QhJsTc9c2h 
AcJsTc7h7d KcQdJh7c4d AcQdJs6s4d Ac9d7d5s5c 
KdKcJd8s3s KsKcQcJd2h AcQdTsTd8d QdJcTs5d3c 
AdJs9d7s7d QhQcTd7s6c AhQcTh9d7h AdQh8d7d4h 
KsKd7c4c3d As8s8d5d4c KhQhJhJc3c QdQcTd5s3s 
KsKdThTc4h AdQcTs7s2d KhKc6h3c2h KdQhTh9d2h 
AcQsTd8s7h KdKc8d6h6d AcKsJhTd6s KdKc9h5s5d 
KcJs9s9c7c QdThTd9h6d KdQsJs9h6h AhQh8s7d6c 
KcJhTc7s6d Ac9h8h6s6c TsTc9d7s6d QdTs9d8s5c 
AcQcJc9d3d KhKd5h4s4h QcJh9d7c6h AsKd4d3h2s 
Ac9s9c7s4h QdTc8d6s6c KdJsTh5d3h AhQcJh5h2c 
KsQdJh5h3d AcQdQc8h6c AhKhQc7s6h AsJh6d5d4s 
QcJs9c6h5s KdKc7s4s3c QsQdTd5c3c AcJh6s6h5c 
AsQhJs5h2s AhQsQd9d2s AhKhTc7h5s KsQsTc9c4h 
AdTd9c8s7d AsKhJc8d4s AdKsJh8s5c KsJcTh4h3s 
AdJh9c5c3d QcJcTh5h3s KcQc8h7s6h AhKhTsTh7c 
KsJcTsTd7h AsJh9s9c7d AcJhTs6d5c AsJc8d4s4c 
AhKd8h4d2c KsQcJc8s6s KhJhTd8d5d QhJs9h8s5d 
AcQdJs7c4h AhKhTs5s3h AhQsJh7s3h AsQc5s5d3c 
KcQd7c5s4d Ad9s7s7d6s KhKcJhTh3d AhJh9c5c4c 
QdJh9s8s8h AhJh9h8s7d QcJdTc8s4s AdJcTc9h6h 
KhKc7d4d3c QdJdTs9d6s AhTsTh9h3s AdTh9h5h5d 
KsTs9c7d5c QcThTd6d5c QcJsTc9h9d AcTh7d7c3h 
AdTd7s5c3c 9h9c8s8h6c QsJcTd9s2c KhKdQd5s4d 
AsQhQdTc3d AsTc8s8d3d Ac8s6h5c4s AcKhQcJc9c 
AdJhTs9h9c AdKdTd9c8d AsJc9s9h7d KsKd6s4c2c 
AcKdTc2d2c Ac9h7h5h5c KcThTd7c5d AcKs8c4s2d 
KdJhTd9d7c AcJs9d6c4s KsKdTs7s5c Ac9h9d6h6c 
AdJd9c7s3s AdKhKc4s3s QhQdTh7s6c AcKdTc7h2h 
AhTc9h8c4h KsKdJcTd2d QhQdJd4s2h KdTh7d6h5h 
QhJdTh7c4d TsTh9s8h7s KcQcTs6s4s Ah9d7s5h4d 
AhJsTc8c3s KcTs9c8d7h KhTh7d6s5s AdKdJc4s2s 
As9h9c6s6c ThTc9c8d6h KhKcTd6c3s QcTc8d7d6d 
KdTh9h6c4d QdTs8s7d7c AsKdQs5c4s KsQcJc9c5s 
KsJdTs7d4s KhKdQs5h3c KsQdTh8s7c KsJdTs8s7h 
AcJh9h6d6c AhQdJcTc3s QsQhTc5s3c KdJsJd9s6d 
KdJcTd6s4s AdKs9d6s2h KhTd9s8c7h QdQcJc6s4s 
KsJd6s5d4c AsKcTh6s2h AcKh9s4h4c AhKhQd5h4c 
KsJc9s8c6c KcQcTd9s3d KhKdQh9s7h AcKh9c7s3s 
KhKdQh8c7h KsQsJd5s4d KsKdTs7s5h AhJsTs9d8s 
AdQcTh8c7s KcThTd6d4c QsQdTc5s2d AcKh9d7c5s 
AdKcJs9c8c JsJdTs8c7h KdKc9h6d2h KdQh7h5d4s 
AsJs8c6c4d KsKcQc8d7c JsJhTd5s3h KdKcQh8c2h 
AhJs8s7d2h KsQhJc8h4s KhQcJd8d6c KhQsJs8s5h 
QhQd9h8s4d AhQsJh9c4d AcQhTsTd8h AsKhJdTc5d 
JhTs9d7s7d KsQdJs7d5s AsKdTs4d2s QcJdTd4c3s 
AhKh7s5h4s QsJcTs7c5s KcQdJd8c5d AdQsQc4h3d 
AhQcJd7h4s AsKcJcTd4c QsQdTh7s6c TsTd7c6s6d 
AhKdQdJd5c AhJhTs8h2s KsJc9d7d5s AdKhJs3s3h 
As7s7d5d3h AdQhTc8h7s KcJsJh7h4c QcJdJc9c6d 
Ah9s7c5s5h 9d9c8s8c5d Ah9c7c5h5d KhKcQc7c6d 
QhJc9d7h6c KhJhJc4d4c AsQsJs8c5h KhKcTd8s4c 
KsKhTs4d2d Ah8s6s6h5s QhJsThTd8c AcKc7d5c4d 
JcTs9h7h6s QhQdTd8s6c KcQc8d7s6d QdJd9s7c6s 
QdJc9s8s8c KdJs6d5s4c KdKcQsTc6c Ac9h8c5d4d 
AcKhQhJh5d AdKdQh4d2h AsKcQhTd3c AdKh8h7d2d 
AsJh8h6h4s QhQcTdTc4s QhQc9d8d5h AcJsTh8h3s 
KsKh9c6s2c KhQdJs6h6d AcKh7s7c5d KdJsTd9d7c 
AdKhTd3h2h QsQc9c8h7d AhKhTc3s2c AsQs5d4d4c 
KsKhQhTh6c KcQd9c8d8c JsJdTc9s5c AhQdQc5s5d 
AdJd6c5s4c KdJhJc6h5c AhKhQc7h6d KsKd6d3s2d 
KdKcTd7s2s AhKhQh8d7s AcKdQsJc7c KdJh6s5d4h 
TdTc9c8s6d QsJdTh7d4s AcQhJsTs4d KdKc9h3d2c 
KsKcQh7c6c AhTs9s9h6h AcKdJc8h4s AdKs8h7s4h 
AhKhQcJd2h KsKdJs4h4c QdJhTc9c8c AhKcJc9s3s 
AsQs8d7h6c AsKhQc6d5h AhKdJh6s3s AhKsKd9s4s 
QdQcTc8s4s KcJd7d5c4s TsTc7s6d6c AsTsTc2h2c 
KhJsTs9h3s AhTc6s6h5c AsKdJc8d5h QhTc8d7d6c 
QsQcJc6h4h KdQsTc9d4c AhJs7h5s4h AdKdQc8d7h 
KdQcTd5c4d Ad8s8d5s4h AdTs9s7d2h AcQsJhTs3d 
AdKcQd7d6s QhQdTh5h3d AdKsKc8c2h KdQsJh6h4s 
QdJsJc8s5c KcJhJc6h5c KsKd7s4c3c KsQsTh9h4c 
KhJsTh9h3s AhKsQhTc4h AcKdJh4h4d AhQh7s5c3s 
KdKc8s8c2s KdQc9h8h6d QhJdTsTh8c KhKcJh8d3d 
KdJh9s8h5d AcQs9c7d3d KcQhTh9c3h 9s9c8h8c5s 
KsQsQc8h5h KdQsQc9c4d AcJs8h4s4c AcKs6d5d4s 
