Kh9s7d7c2c 
Qh9c5s2s2d Jd9s4h4d2d 9d8s4h4d3d 9s7d6c3h2h 
Kh7d5s4s2s Jd6d5d3h2s Jd6c4s4c3c QdTc7h3c2s 
Qd8s7h4d2d Qs5s4s3d2c Th8s6c3c2d Jh4s3h2s2d 
Td8s6h3c2s Qh9h4h3s3c KsQh7d3d3c AdTh3h3c2s 
Kc7h7d3h2d Td8h8d3d2d Tc8c4h4d2c 8h8d7s3c2h 
Ks9d8h4h3c 9h9c7s3h2h Th7s6h2d2c AhJs6d3s2c 
Js7h5c4c2c Qs7h7c4d3d Qh8s6s4s2s QhTs3d3c2d 
9h8h7h4h2c Tc7h5s4s2s Ac8h4d3d2h Tc7h5s5c2c 
9s9c5s3s2s Qc9c6h2d2c Ad9s8c3h2c Jd6s5c3s2h 
Jh9h6d3s2h Jc8c5c2h2c Jd9h7s4h2h Ac9d8s3s2h 
As7d5d2h2d 9s8d6c3d2d Kc7c5c2s2h 8s5s4c3h2s 
7c5h5c3c2c 8h8d6c3c2c AhJc6s3c2d Qc8s7d4h3s 
KdQh8s8c2s 9c4s4c3s2d Tc8c4s2h2c Jd8c4s4d3d 
Ks8s4h4c2d 7d6s4c3c2h Tc8c5s3h2c Ah9c8c4c2d 
Ac9c3s2h2c Jh9d6h3h2c Kc9c6s2h2c Th8d7c3h2s 
Qh4s4c2d2c Jc7h3h3c2s Td8h5c3d2d Kd9c5s4h2h 
Kh8c7d4c3c 9h6h4h3d3c Jd8s7s2h2c Jc8s7s4d2s 
Ah7c6c4c2d Kd7d6d4d2h 8h4c3h3c2s 9h9d3h2h2c 
Qd6c4h4d2d Qh8s6s3d3c Th6s5h3c2d Kd7h4h3c2c 
KdTh7h3h2s Th7h7d2s2h QdTs6s2s2h Qs7s5s5h2c 
8d8c4s3d2h Qs7c6h6c2d Kd9s8c4h3h Qd6h5s5c2h 
Qc7s7h5c2c Ad9s7s4s2h 7d7c4s3d2h Kd7s7h3h2s 
AdTh6s3c2h 7s7d3d2h2c Jh7h5s4h2h Qd9s9h4s2s 
7h6c4s3c2c Kc6d4s4d3d Ah7d5s3d2c Qh7d3h3d2c 
Qc5h4h3s3d Js6h5s3d2s As9c6c5c2c Td5s4s4h3c 
Qs7s5h5d2c KsKhKcQd7c Ac8s5s2h2d KhQc8h2s2h 
Ac6s6c3c2c 8h5s4h3c2d KcJs7d3c2c Ks9s8c3s2h 
8s7h4d4c2h Js6h5h3d2c Kc5d4d3h2s QsJd6h3c2c 
Ts7c3d3c2d AcQs9d3d2d Td7h7d5d2d Ah9s8s4s2c 
Qs8d7c4c3c Kd6d4h2d2c Jc9d7d3d2h AcKd9h3h2h 
Qd8d4s3h3c KhTc3d3c2s As9d5h4d2c Kd6s6c2h2c 
Ks8h7s2s2c Kd8c7d2h2d Jh8d5s3c2c Jd8h4s4h3c 
Ks9d9c4s2s JcTh6h3h2h Kh7s7c6d2d 7h5d4d3s2d 
Ac9c4c3s2d KhJs7c3d2s As6h5d3c2c Ts8h4h2h2d 
Jh7h5s2h2c KhTs7d3d2c Js9h6c3d2h 7d6c4s3d2d 
Tc8h7s3c2d Qh8d7d6d2d 7s7c5s5h5c Jh9h4c3s2d 
Ad5c4s3h2s AhQs8d3c2c Qh7c5s4s2d Ad7c5c3s2h 
Ks4s3d2h2c Th8s7h3c2d Qh9s8c4c2d Ks6d6c4c2c 
7s7h3c2d2c Qc5c4h4c3c AdTs5s5h5d 7h4s4h3s2h 
Qs9c5h3c2c Jd6c3d2h2c Ks9d4c3h2s KsQc8d3h2c 
8s7c4h4d2c 9s5h5c4c2d AcJsJdJc7h Tc9s3h3d2d 
KsTd6s3s2s AcTd3h2s2d Jc8c5s3d2c AdTs7s3s2c 
9h5h4s4h2c Jh9h6d3h2s Jd6d4d4c3h Th6c5h4h2h 
Ad9s9d9c5c Kc7s4d3h2c 9h5c4d3s3d Qd9d6c2s2d 
Qh9c7c3s3d Jc7h6s3s2h Qd9c6c3s2h Jc7c5c4s2c 
Jc8h4c2s2d Qd7d4h2h2d Ts7s5c2h2d AsJs7s3d2s 
9d8s4h4c3d 9h8d7c3s2c Jd7s5d3c2h Tc7h6h5h2h 
AsTc7c3c2c As9d8d4d2h As8s6s4s2s Qs8d7s4c2s 
Jh5c4d2s2h KdTc7h3s2h Kc8h7h4h3s Qh9d4s4c3s 
Ts6s4h4c2d Tc8s6d3h2s Qs6c4s4d2s Td6s5c3h2h 
AsJs7s3c2s Jh7c6c3d3c 7h6h4d3h2s Qh6d4h3c2s 
KdQc7h2s2c Ad9h5h3s2c Qh7h6h3h3d QsQhQc9s5h 
KdQc7s4s2s Js6h6c5c2c Qs9s5s4d2s As9d5h4c2d 
Jh8c7c3s3d 9h8h4d4c2s Jd8c6c3s3h Ad9d4d3d3c 
Qs8d6h2d2c Jd4h4d2d2c 8h5c4c3s3c Jh9c7d4s2c 
KsTd7d3d2h 8s4c3s3d2d Qd4d3d3c2c 8c6h4s3c2d 
Ac3h3d2s2d KsJd7s3s2h Qd8s5h3d2d Tc8c5d3c2s 
QcTc7s2h2c 8s7h4d4c2d 8s7c4h4d2d 7s6s4d3s2c 
KcQs8s2h2d As7c5c2h2c AsTsTdTc9s ThTd7h3h2c 
Jc7c5d2s2c Ad8c5c2s2h KsQs6s3h2s KhKdKcTs5h 
Qd7h6h3h3c Jd8d6s4d2d 8h6c4c3c2s 6h5s3s2s2c 
KdTh8c3s2c Td6s4s3h3c 8d7d3s2s2d Qh6c4d3h2s 
JhJc7h3h2s Kc8c5c3d2h AsQd8h3c2c Qd6s5c3h2c 
Ad6h5h2h2c Jc9s6h4s2s 8h6d6c3s2h AsJd6c3d2h 
Qc7c6s5c2c Qh8s5s2d2c Td9h4s3d2d Qs8c3s3c2s 
Jh9c5h3h2h AdTd3d2s2d 9h8s4h4d3h TsTc7s3d2s 
KhTc4d3d2s Kc8c5h3d2c Td5h3h2d2c 8s6d4c3h2s 
KdJd7c3d2h Kh8d5h3c2h Qc6d4s4h3d Js6h6c4h2d 
Jh9s7s4c2s KsJc7d3s2s KhJh7c2s2h Jc7h3c2s2h 
6d5d3h2s2d Ts4d3s3d2c Qh8d8c4h2h 7s6c4d3c2c 
Ks8s6c3h2s Ac9s4h3s2h Tc6c5d3s2c Qh7h5d5c2s 
Ac9c4s2d2c Ks9s6s2h2d Ts6c4h3s2d Ac8d4h3d2h 
Tc8s5h3c2c Jc5c4s4c2h Ks9h8d4c3d 9s5h3h2s2h 
Kh8h7d2h2c AdQh4h3h2h 7c5h4d3h2h Js6h5h3c2d 
As5d4c3h2c 8c6c4c2h2c AcTc6d3c2c 7s5d5c3h2c 
Jh8h7c4h2h KcJd8d3s2h 7h7c4s3d2d Kh6s6c4c2c 
KcQh8s3d2h Ac7d5d2s2h Kc7s6s6h2d As9d8d3d2c 
As5d4h2d2c KhTc4c3c2s 6c5h5c3c2c Ks5c4c3h3c 
Ks4h3d3c2s Td9h4s3s2s Td8h6s3s2c Qh9d7d5d2d 
6d5h3d2d2c Qc8h6s2h2d KhKdKc5d4s Qd9h8c4s2s 
Kd8d8c2h2d Jh9c7c4d2c Qc6d5s5d2d Jd8c4h3s3h 
9c8h7c4c2c KsJs6s2d2c Jd7s6d3d2s Qc6d4c3s2h 
KdTs3h3c2c 5s4s4d3c2h JhJc6h6d6c Tc7s3h2s2h 
ThTd4s3c2d KdQd9d3d2c Ks9h8d4d4c Qs9s6h2s2c 
QdJs7c4h2c ThTd7s3c2s Ts8h5c3h2d Ad5h4s4h4d 
Jd7c3h3d2h Tc8d6s3d2h Ah9s9d4c2s Ad9s8c3h2s 
JdTc8s8d8c Tc6c5s3h2c Ac9d8d3d2s Kc8d7d4h3d 
Ah8h3s3h2d Td9s4h3h2h Jh8c7c6c2c Th7s3c2s2c 
Kh8c7h3d2s Kc9d5d4h2d QsJh6d3c2c Js5h3h3c2c 
Ts4s3d2d2c 9d5d4s3h2c 9d8s4d4c3d Qs8d7d4d3h 
Jd6s6d3d2s KdQd7c4d2d Kh7d5c4d2d Jc5s5h4s2d 
Jc8h4s4h3d Qc8c7h4c2d As9s4s4h3s Ac7c6c2h2c 
Jh6h3s3c2c 9c7h7d3c2c 8c7d4s4h2h 9c7s6s3s2d 
Ad6d3d2h2c Jc5s5c3d2h Th8d7h3c2s Qh8h7c3h2c 
Ts8s5h3c2s 9c8h4c3s3c 7s6s6d3s2h Qd5d4c2h2d 
Qh9d7h5h2h QsJc7h4d2d Qc9d8s3h2d Kd9s6d2d2c 
9s8c4h4d2s Qh8h7d4s2h 8d4d3h2h2c As5c4h2d2c 
QdJd7c4d2d Ad8s5d3d2d Tc8s6d3d2h Ac8d7d4d2d 
AcTs5s2s2d Qh8d6s3s3c AcJs8h3h2h Jd9h6s4h2h 
KsKhKcQd6s Js6h4h4d3c Ac7d6h4h2s 8h6c4s3c2c 
8s5h4c3c2d Js8h7c3h3d Js5d4h3d3c Qh5s5c4c2d 
Kd6h6c4c2c Kh7h6s6h2h Kd8s6s4s2c As7s3s3d2h 
Tc7s7d4d2d Kc6s3h2s2h Td9d3c2s2d QsJd6c3c2c 
Ks7d6d6c2d Th9c3h2s2h Kc9h8d4d3d Jc6c5c4c2h 
Qh6c4s3h2d Ks9s8s7s2s As6h5h3d2c 9d8h7d3s2c 
QhJs6d3d2d QcJh8d3h2h Ad9c7d3d2d Ks8s6s5s2s 
Kd9c6d2s2d 7d4h3d2s2h KhJd7d3s2c QcJs7c3d2h 
9d6h6c3s2s Ah9h6d4h2h 6s5s3h3d2c QcTs3s3h2s 
Kh9s5s5c2d Th8h5h2h2d Qh4h3s3h2s Qs8c7d4h3c 
7s5s4d3s2s 8d4s3c2s2c KcTd8s3h2h AcJd6s6h2d 
Ad7h3s3h2s Js7d5d4d2c 8d4s4h3h2d Qc8s7h4d3s 
KsJh6h3c2h Tc6c5c3h3c 9h4s4c3h2s KdJh3h2h2c 
Qc8d3d2d2c Th4s3h3d2d Kd6d4h2s2d Qc9s3d2s2d 
JhJdJcTs9s QdJh6s3c2c Qh6c5s5d2c Jd9d6d3s2h 
Ks9c6c4d2c 9s8s5c3s2s 8h8d3s2d2c KsQh9d3d2d 
Qs7d6s4h2s Jh9c6c4d2c Jd6c3d2s2c Ad9d7d6d2d 
Qh9s4d4c3c Jc9s7s2h2d Qs6s4h4d2c Td8h6d3d2c 
KdQc8c3s3h Ac9d4s3h3d KhQc7s4s2s 9d5h4s3s3c 
Td7h5c3d2s Js4h4d2h2c Qs9s4s4c3h Qs9h7d2s2c 
7d5d4c3d2d Qh5s5d4s2c Js5c4h4c2d 9c8s4h4c2d 
Qd9s8c3s2h Ac9s4c3c2h Ac8h6h4h3h KdTh7h3h2c 
Qh9h6d2s2h 8s5s4s4h3s Qd9h8h3s2c Ah8d7d4d2d 
KsTc4d3h2h Qh6h3h3c2c Qh8s8c4c2d Ks7c4d3s2h 
Js7h7d4c2s 5s5c4s3d2h Tc7h7c2d2c Kh8c7d3d2c 
Ts6c4c3h3d 7h4d3s3h2d 8c7c3h3c2h Qc9d7c5c2c 
KdJd3d3c2d Ts8s5d3c2s AcTs4s3d2h Th9h7h2h2c 
AsQh8h3h2h Ts7c6h4c2c Js4s4c2s2h Kh6h4h3s3h 
Jc7s3h3c2h Qd8c4h2s2d Js5d4h4c3c QhQdQcJs9h 
Ks8d7s2s2c KcQh7s3d2h Ts6s5d5c2s KsKhKc8d6h 
Jc7h3h3c2d KcQs8h4h2h 9h6h6c3h2s Qd9c5s3h2c 
Kc9d8s4s3s Kh9d6d4d2s Kc8s6h4d2d Qc8s7s4d2h 
Jc9d6c2s2c Kc7h5d4d2d Ts8s7s2s2c As8h6h4h3h 
Kd8s4h2d2c 7d5d4h3d2d Jc6h5s3h2d KcJs3s3d2s 
Kh6h4h3h3d 5h5d4s4h4d Ks9d8c4h3h Kd9h5s4c2c 
Kd4h3s3c2d As3h3d2h2c KsQd8c4c2c Kh8s7c4s3s 
Js7d4c3h3c Ks9d7s3s2c Qd8c4s2h2d Jc9c8c3c2h 
Jc9d6d2s2h 7c5c4h3c2d 8s5h4c3d2s Ad7c6c4c2h 
Ac8s4d3d2s QcJd6s3h2h Jd6h5h5c2h Js5c4h4d3h 
Kd7c4d3s2h Tc8c5s3c2d Ac8d5h5d5c KsJc7s2s2d 
Qs9c8h4d2d As8d4h4d2c Qs9h6d4c2d JhTsTdTc9s 
Kd7c5c4h2c Ts8s6s3c2h Tc6d4d3s3h Qs8c5c2h2d 
Ad9h6h4h3h KsTd4c3c2h Ks8s8c4s3s Qh9d6s4c2s 
KcQc3d3c2c Jc6c5c2h2d KcTs6s2s2d Qs9c4d3s2h 
Jd7h4d3s3d Tc7c6s4c2c Jd8d7c4d2d 8c7s4h4d2c 
Ad9d4c2s2d 8s8h3h3c2h Qs8h8c2d2c Jc9h7d4s2h 
Qs5d5c4c2h Ks9c7c3d3c Js5h4s3s3d Qh8c6h3s2d 
Qs6h4c3s2d KsKhKc8c7c 8s6d6c3c2h 8s7d4h4c2s 
Td8d7c3h2s 9d6s6h4d2d KsJd7s2s2h KsJd7c3h2d 
As7c6d6c2c Td9d3h3d2s 8h7s4d4c2d Js4h3h3c2c 
Kd9h5s4c2s Qs7h5h4c2d Qh9c7s2h2d Kh9c8d4d3s 
Jd7h6d3d2h Ks7d6c4d2h QcTh7c3c2d 7h7d6s3s2c 
Ks7h7d4s2s Ac6h5d3s2s QhTd7h3c2h Ts6s5h3d2s 
Qh5h4d3s2h 9s9d8s3s2s Jh5h4d4c2h 9s9h7d3s2s 
Jc9s6c3c2h Ks8c7h3c2h 7h5h4d4c2h Ks9s8h3s2d 
8c6s4h3d2s Jh6h5h3d2s 9h5s5h4c2d 9s7h5c3h2h 
Ah7s5s3c2d Qs7s6s3s3c 8s4s3c2h2c Kd5s4s3s3h 
8h6h5h3h2d 9s5s4d4c3s Ts8h5s3d2c AcJh4d3s2s 
Ts8h7s3c2d 9c7h6d3s2d Jd6s6c5s2s 5d4c3s2h2c 
Jd7s6c3c2s Jh9c4s4h2h QdJhJdJc5h TdTc6d3s2d 
Qc8c5c3h3c As9d7c4c2h Kd5s3d3c2d 9d9c7h3d2d 
Ad8c4d3d2h Ks9c4d3s2h Tc8s5c3h2d Kh9d6d4c2s 
KdTs6s2s2h Ks7s4s4h3s 9d7s5h3s2s 8s8d6c3c2c 
7s7c6h3h2h QhTh7d3h2s Jd6d5s5c2d Td8c6d3d2h 
Td8h8c3d2d KdQs8d2d2c As8d4d4c2h Qh7c6h4d2h 
KsTd5h3h2h As9s9h9d5d Qc9c5c4s2c JhTd8h8d8c 
Qh9s4s4c3d Ah7s5d3s2c Ks8d6d4c2d Kd8d6c3h2d 
9d5s4h3s3c Qd9d5d3h2d Js6h3h2s2d Th8h6h3c2d 
Qd5d4s2d2c Kc5d4s3h2s QdJh7d4d2d AsTd7d3c2d 
Jd7s6h3h2s Kc5d4s4d2d Kh7s7d3d2s Kh9h8d3s2h 
KdTs4c3h2h QsJh8c3d2d Td8s5h3s2c Jd6h4d3s3c 
Qh5d5c4d2s Qd4h3s2s2h Ac7d6h4h2h 8d7c6s3d2h 
Ad9h8s3c2s Kd9s5s5c2h Jd7d5h2s2d Qs6h5d3c2h 
Jh6c5d3c2s 6s3h3d2h2c 9c5d5c4h2s 7s6s4s2d2c 
Tc7h5s2d2c Qh9d3c2d2c AhTc7d3d2d 8h7s4s4d2s 
QhJh6h3h2c Kh8s5c3d3c 8h6s6c3d2c Th8d4s2d2c 
KdJc6c3s2c 8s7s5s3c2d Ac9s8s4s2h Qd7h7c6h2s 
9d5s5d4d2c KdTs4s3s2c Jd6s6c5c2c 7h7d3s2h2c 
Kh9s4c3h2d KcQd8d2s2h Jd9d6c3d2h 7s5c4c2d2c 
Tc9c7c2s2c Qh5h4c3d2h 9h8h5h3s2h Kd7d6d4h2d 
Qs5s5d3c2s Kd8c6s4c2c KhQd7c2s2d Qh9d8d4d2c 
KsJd8d3c2h ThTd7h3s2h Jc8c6s4c2c 9s6h6d3c2c 
KhQd8c3s2d Jd7h3c2d2c Ac5s4h3d2d 9d7d6c4d2d 
9h5c4d3s3c Th5d4s4h3h Kd8h6s4c2s Kc7s5d4d2d 
Qh5s5d4d2c QsJh8d3c2c AhTc7c3c2d Qh5h5c3s2h 
Qd9d6c2h2d Tc6s5h3h2d Ac9c4s3c2d Ts8c6h3d2c 
9c6s4c3d3c Qh8h7c4h2d Jh7h5d3s2c Tc9h4d3d2s 
Qs8d8c2h2d AsTc4d3h2c Jd9c6s3h2c 9h7s7h3h2d 
Js8c7h3d3c Js7s5d4s2s Ks7c6d4c2h Td7d6s6c2d 
KsTc5d3d2d Tc8s6h3s2d Ks7c5s4s2s Qd9c5h3c2c 
Kh7d6d6c2d KsQd7c3h2d Kh9c6c4c2d Jh6c5s3d2h 
Js7s4c3s3h Qd8h7h4c2s Jd9h7h4c2h Jd7s3d2s2h 
9h6h6d4h2h KsTc4c2h2c Ts4d3h2s2h 7s7d6c3h2c 
9h8c4s4d3d 9s8c4s3s3h Js6d3d2s2c Qh7h6d5h2h 
Jc9d6d4h2d Jc7c3h3d2d Kc9h5h4s2h KdJd7c3d2s 
AdQs9c3c2c Td8s5c3d2d As7c6h4h2h Ts4c3s3h2c 
7c5d5c3s2c KhJc6c2s2d Qc9c5c3s2c Ah9h6s4h2h 
QsJd7c4h2c Ks9h8h4c2d Qd7s4h4d3d Ks7s7h3c2d 
KhQh8d3s3h KcJd3d2h2d AsQd4d3d2d QhJhJdJc5c 
Jh9s7c2s2d Kc8h7h7d2h QcJhTsThTd Jc9c6h3s2c 
KcQc6c3d2c TsTh7s3s2d 8s8h3h2d2c As9c7d4d2h 
KcJc4h3c2c Kh9s4c3c2s 8h6d4c3h2s 7h7c3d2s2d 
9h5s4s3d3c Qh8h7s4h2c 7d7c6c3c2h AdTh7c3s2s 
As9c8d3c2c 9d7h6c3h2s 8h7h6h4h2h 9c7d6d4d2d 
Qh6d5d3c2s Jc5c4h4c2s Kh9d8c3h2h KsKhKd8s7s 
Kh7d6d6c2s KdTd8d3c2d Ts8h5d3h2c 9c7h6h4h2h 
AhJhJdJc7s Js7c3h2s2h TsTc6s3h2s 8c5d4h3s2c 
9h5h4h4d2c Th7c5s5d2c Ks7h7c4h2d Jc7c4h4d3c 
Qc8c7h7c3c 6d5c3d2s2d Qs9c5c3c2h Th6h4h4d2s 
KhJd4s2s2c AsTc4c3h2d AsJc4s4h4c Ts5s3h3c2h 
Jd7s5s4s2c Jd8c4h4c3s 8s8d3c2h2d Kd8c7d4d3d 
9h7h7c3h2d Qh7d6d4c2s Td7h5s4h2h KhTh4h3h2d 
QsQhQcJc9d Kd9h8s4c3c 8d7d5d3h2c Kc9s8d4h3s 
Td7d6d4s2d Qd9h4s4c3c 9h9c4h3d2s Kc5s3d3c2c 
JsJc8h3h2h Ah8s3s3c2c Kc4h4c3c2d 9c6c4s4c2h 
Th7s5d5c2c Th7c5d2s2h Jh6s3h2s2d Qc9h7s7d2s 
Jh9d7d3s2c As6s4s3h2s Th8s7c3h2d Qc9s5d3h2s 
8d4s3h3d2h Qd9d8s4d3d 8d5h4h3h3c Ks6d5h2h2c 
8s4s4h3h2h KdJc8c3h2s As6c5c2h2d KsKdKc9s6h 
Jd9h4s2h2c KsJc3d3c2c Jc7d3s3c2d Ac9h8h4h2s 
8s6s6d3c2s AcTc6h3c2c As6s4s2s2d Ks8d7h3c2s 
Ts9c4d3c2c Ad8d4d3s3d 8h6c4d3c2s AcQd6h3s2h 
