Ac6s5h3s3c 
JsJh9s6c4c Qh9d8d8c6c TsTd5h5d4s AsKc6c4d3d 
KhJd5h4d3d JdTc5c4s3d AhKh7d4s4c QcJc9s8d6h 
QcJhTs9d6d KsQdJs7h3h KcQsTsTh7s QcJd9h9d3c 
QsJh9h8c7h As9s8s8d7c KhQd9c6s5h Ah6c5h5d2c 
AhQdTd6c5d KdTc8c6d3s KhQd6h6c3d As8d6s6c5h 
AhTh7h7d3d AcKs8h8d6s Ah8h5s4d3s AhJdTc5c4s 
KhKd5c3d2s AdQsThTc6c KcJhTd5h2d KhTc8d6c3h 
KcJhJc8s5d QhTc9c6s2h AdTs6h3h3d JsJd9s8h6c 
Qc9h9d7d5c KhQcJh7d6h 8d7h6d5d4h AdJh7d5d4c 
QsTh9h6d2s KcJh9h6h4c QsQc7d6s4h AdKh6h5s2s 
KcJs9h4s3c KcQh9d5h4d KsJhTd7s5s Tc9s8h6s4h 
JsTd9s5h2d KhTc8c7d3h QhQdJdTc2d AhKdJd9c2s 
AdKc5s5h3d KsJc9s4h3c KsJsJh7s6d KsKhTh8h3c 
AsThTc7d6c AcQsThTd6d AdTd7d6c3c Ad7c6d5c3d 
AcQcJs9c2h AhQh9c3s3c AcTh7s6s4h JcTd7h7d4h 
AcKcQd9s4c QcJc7d6d5c JhTd5d4s3h JsTc5h4s3h 
QsJh9h4s3c KdJd8s7c5h KcQd9d6s4s As7s7c5s3c 
KsKcJh6d2s AsTd7s5h3c JhTc5d4c3h Ad9d8h6c2c 
KdTsTd4s4d QhQc6d5s4c KsQcTh8s5d QhQd9d4s2h 
KsTc7c4s4d QdJd8h8c5c AhTdTc7s6c Qd9d7d6s5s 
AcJc8c6d5s Kc9s7s6d3c TsTc7d6s4d AhJc6h4c3c 
KcTd9c6s5h QsJd9d4s3c AdQsTh4c2d 9s9h8s7d5d 
AdJc6h3d3c AhQsTdTc6s KsJsJc5c2s AsKdTh9d3d 
AhQd6d4h2d KdTc9s7s6h AcQsTd8c2c KdQhTs8h3s 
AcTh8d7s6s AcKcTd6s3c KdQsTh7c6c AcJhTd7d5d 
KcQcJcTh2s Ad8s6c5h4d Qc7h6c5d4d JdTs6s5c4c 
KsKd5s2s2h AcQsJsJd6s QsQcJdTh5h KsTh9d6h4d 
KcQh9h8s5s Ad6s6d4s3c AhQdTd9d5s Kd9h7d5c4h 
KcQsJc7d6c AsJhJc8c5c Ah9h9c7h3c QsJsJd8h5c 
Js9c7h6h5c KcJhJdTs2h AsKdJs5s4s Kd9h9d6h5d 
KsTh9c7c6d KhQc4c3s3h KsQsJd5s4c QhQdJs6s6c 
AhKcTd8d5d JsJdTc6s5h AcKh8d7d6s KsQs9c6c4c 
AhTc7h4s4d AsJd8s7c3h KcQhTc5h5c QdTs8s5d5c 
AhQhJs9h2c Kd9d9c8c6d Qc9s9d7d5c AsTs9c6h6d 
AdKh8s8d6d QhTh6c5d3d QsQdJs3h2h JcTs9c4s3s 
KsKhTs5s2d KcQsTc9d4h Js9d7d7c5s AdQs9s8c6h 
JsTd7s5h5d AdJc9c8s5h As7s7d5c3h AhQsJc3d2h 
KhJsTd7h4h KsQh8d5s5h QsQcJc3h2h KsKdTc8s2s 
AsKcQs3s3h AdTc7d5d4s JcTd9d7s5h KdQc8d6c3s 
Th8c7d6h4c AsKc8d7c2d KdQh8d8c5c KhJh6s6c4s 
QhJdTh9s4c Kd9s6s6d5s KsQdJh8d6c AhJs8h5d3c 
KsQs6d5s5d AcJc5d4d4c KsQsTd8d3d QhTc7s7h4c 
AhQsTh6h6d AdKsJs5h5c QdJs9s8h7s KcTsTc7s2d 
Kh9h8s6s5h AdQsTs9h2c Ks9h7h6d3s As9s8s8d7h 
JsTs9d5s3d AhKdTc3c2d KhQdJh6c5h AcKhTs9h3h 
JhJd9s2h2d QhJs5s4h3d QsTc9d6c2s KsTc8d8c7h 
AsQsTs9s5c AhTdTc7c3d KsQdJh4h2d JdTh7d5h5c 
QsJdTs3s3d KcJsJc5s2c QsQd9c5s5h KsTh8h7d3s 
QcJdTh7d6d KdQsJs8h7s KcTd7d4s4c QsTd9s6c5h 
QhTs7c6h3c KsTh8d6h3s QdJd9h8s6c Kc9c8s6h4h 
KdQhJs8d6d KsTh9s8s8c QdJdTh9d6c AhJh5c4h4c 
AcTs7d6c3h KsQsTh3h3c QhTsTd6h5c AhQdJd9s6c 
QcJc9h8s6d AsKdQs6s6h KdQhJc9s7s AhTc9s4d3h 
AsTs7c5d4s Ac8h6c5s2h AdQh9h8s4s AsJc9c6s2c 
Js9s9h5h4c AhQs9h7c2c QhJsJh8c5d Tc9d9c8s8c 
AdQhTs7s5c 7h7d6d5s4s KsJc6c4s4h JcTdTc8d3c 
KcQs8c5h3s QhQd8c6d2c KsKc8h6d3s Td9h8c6h4c 
JsJcTh6d5s AhQcTs9d5s KsJsJc7s6d KdQhTc9s3d 
AdQh9s5d3c KdQh8h6d3s AcQhThTd5h QcJs9h5c2s 
QsQc9d7s3d JsTd9s6h3h QhJdTs9c6c KsKcTd8s2s 
Ac8c6s5s5c AhJh8c5d4h AcKh6d5d2h Qc9d6c5h4d 
AdJc8h5s3d KhQdTc7h4s TsTd9h7h7c As9h7h6c5c 
AsQs5h4s3h AdQcTd7d3h QsJc5d4s4d QcJd9c8h6s 
AcKsTs9h2s Ac6h6c4h3s KsKcJd9h3d As9d7d6h5h 
AcJd9s8s7s QsJs7c6c5s KdQhQcJd2d TdTc7s5s4d 
KhQh9s7d4s AsQcTc9c4h QsTh9h5s5d QsQd9s4c2d 
AhTh8c2s2c KhQhJc9s5d KhQsJh3h2s QhJh9s7d4s 
AhQsTd7s7c AdTd8h5d3h JdJc9c7s5h Ks9s9c8c6s 
JsJcTh7d6d AcKs9s8d2d Ac8s8c6s2h KhKd5d2d2c 
JhTs9s7c5d KdKcJh6h4h KhKdJs7d3d KhQcTd8c3d 
KsJcTh7s5s AhJhTh4s4d KsKh9h3d3c As7h5s3h3d 
QhJhTd5s3c JsJhTc8s6s KdQdJh5c4d Tc9h7h6d4c 
KcTh8h7s3c AcQc7c6h5s AhTh7d4d2s KcTd8d7h3c 
QsQd8d6h5d AhKsTc6h2d Ac9s9c6h6d QhJsTc7s6s 
KhTd8d6s2h AsTh9s6c3d KsKh9c7d2s JhTd9d7d6s 
QhTc8s8d6h KhTh7s6c4d AsTh9s7s7c KdJc6c4s4d 
JdJc7c6d4c AsJs8c5d4s 8d8c7c5h4d QsQh8c6h4d 
KcJhJcTd4c AsJh6d3s3h AhQc9c8s6d QhTc5h4s4c 
AcQs8c4c3s QsTd8h8c6s AsJs6h4h3c Jc8s7s7h6c 
QdJdJc6c2s AdJhTs9c2h Ks9c7c6h3s AcQc9s5s3c 
QdJcTc6h4s Td8d7h6d5h Jd9d7s6d5s KdJd9c5c3c 
KdTh9d7c2c Ah8c6h6d3d AhQsJc8d4s JsTd5d4c3s 
QcTd9h6h3d As9d7d6s4s QhJcTd9d6s AsQhTs6s6d 
KhQsThTc6h KcTd9h7h6s Tc9s7d6c4d KsQh9s9c7d 
QsJhJcTs3d QdTd6d5h4h AdKcTs9h5h AsKdTd9c2d 
JhTc6c5d4d Qs6s6c5h5c AcJc8h5s4c As6c5d3s3c 
ThTc6c4h4d QsQc8d7d6h Kd9s7d5h4s KdTsTd7s2c 
9s9d8d8c3s QdQcJh8d5d KdThTd6s4c QhTc9h9c5h 
JsTd9d8s4d As9d8d4s4d AhKcJs8d6s QsJs9s5h4h 
Qs9h9c8h8d Ac8h7h5h2c Ah8c6d5s4h AsQdJd9d7h 
Ac8s6c5s2s TsTh6s5d4d KhKc9s8d5s QhJc9h5s5c 
Ks8h7s7d5d JsTh7h7d4d AdJs6c3s3d KhKd5h2h2c 
KcTs5s4h4c JhJc9s2h2c Jd9c7h7c6d Ks8s7s6d5d 
AhQh7d5h4s Ts8c6d5c4s KsQdTd5c4h Ad8h5s4d3h 
KsQhJc8d7d Ac8d5s4c2s Qh7s6s5d4h AsJh5s4h2h 
KcQdJcTc3h KcQcTh3s3h AsJs8h5c4s QhJdTc7d6d 
QhTc9h7c4h AsTh6c5c2s JhJcTs4s2c AcQdTd9s2h 
Jd8h7d5s4s JsTs9c5s3c JhJcTd7s6s KdTs7h5h4s 
AhKdQc3s3d KhQd9c6c4d AsKh9h6d3d AhQsTdTc6c 
AdKdQd9s4c AcTh9s8c4c 9d7c6c5h4d KdTs8s6d3c 
Ah7d6d5s2h AsJh9c8c7c Qh9c8c6h4s QcJd9c8s6h 
KsQs6c5d4h AdKcJh9d2d AsQcJs9h2s AdKh8c7s2d 
AcQdTsTh6s TsTc6c4s4d QsJcTc6h4d As9h7h6s4s 
AdJdTd5s4d KsJd8s6s6d KhJc9s9d8c KcJd6d5s4s 
8s8d7s5c4d AsKcQs9s5s Jc8h7c5d4h AcKcJc9s5c 
Tc8d7h6c4d QsQd6c5h4d QcTc8s8d4s Qc9c7c6h5h 
KdJcTd9d4h AsQd6d4s2d AcQdThTd6d Qd9h8d6h4s 
AcKhJc5c4c AcTd9d7s3s AhTs9h7h7d KhTd5h4d3c 
QsTd9d5s5c AcQc9c5s3s JsTc9c7d2s KdQhJh6c3c 
TsTd9c8s5c KsJc9h4c3s KsJc8s5c3h QsQhJh3d2d 
AsKdQh3d3c QdTh7h6d3c AcQc7c6d5s KhQcTc5s4d 
JcTd7c5h5d KdQhTd7c4s QdTs9c6s2d QhJh7d6c4c 
JsTh5d4h3s KdJcTc8h3h AsKdTc7h4h AsTs6d6c3c 
KdQhTs8s2h QcJhTc3h3c KdQc8s6d5h KhJc5h5c3d 
Qc9c8s7d6h Tc9s8h7h5s JhJcTs6h5d KdTd9d6s4s 
KhQc9c6s4s AcJhTd7s7d AcKcJd7h2s AsJc7c6d2s 
KdKcJh6h3s AsKdTh8s2s AhKs6c4s3c AhQsTh7h3c 
KcQhTd6s4h AcQsTh5h2s Tc8c7h6c5h KhJsJhTh2c 
TsTd9d9c3h QhQd9d5s2s AdKcJh9c6c AsKdQs3s3h 
AhJd8s7d5c AhQh6s4c2c QsTd9d7s4d KdKc8s6h4s 
QsTh9s8h3s KdJs6d5d3s AcKcJs4d4c AcKhTc5c3d 
AhQc9s8c6d AdTc9c3d2c Tc9s9c8d5s AsJc9h5h5c 
KdKc9h7s2c KcQhJc6s5c AdTd7h4h2c TsTd8d5d4s 
JhJcTd6s5c KcThTc7s2h Jh9d7h7d6d 9h9d8d7s5s 
QsJc9c4s3d AhJsJc8s5s QsQhTc5d4c AhKc8h7d2s 
Qc6h6c5s5h Kh9c7c6h3d Jd9h8d8c6c Jd9c7s7c6d 
KsQcJh9d7d TsTd8s8d2s AcKdTd9d3h QdTc9c7d4c 
QdJc5s4s4d KsQcJc8h7c 7d7c6d5s4s KdJsJhTc5h 
Kc7c6d5d3s QdTs9h8c6c 9h9c8s8h3c QhQd9c7h3c 
KsJs8c7h5d QcJsJc6s2h KhTh9s8h6c KcQd8s6c5h 
AsKdTh8h5h KhJsJcTd5s KhKc8s6d3c KsJd9s6s6d 
KcQcTh3h3d KsTs9s9c5c Ad8s5h4d2h KsTd8c6d3s 
QsQh7d6s5s AhKsQh6h6d JcTc9s8c3s KhKd9d3s2s 
KdJh6h4s3d QcJsTh9d4c JcTd6d5c3h TsTc7d5d4s 
KdJsJc8d2s Jc8s7c5d4s Ac7h7c5h3c QhQc9h5d2d 
AcJh5h3d2c KdTc7c4h4d Ah8d5d4s3h QdQc9s5c2s 
Qd8s6c5d4c AcJs8s8d4d AhTh6c4h4c AsQhTh9h5c 
AsQdTh2s2c AcKd6d2d2c QcJs6c5s5c JhTd7d7c4c 
AcTs9s8h6d JhTd9d7s5c QdJs6s5s5d AhJd9d7c4c 
AhKd7s4c3h QdJcTs7h7d KsQd8s8d5s AhTc7h6d3s 
Ad8h7c3h3d KsKdTc8h4h AsQsQc4s2h JcTc8h8c4h 
AsKc9d6h5c AcTh7c6s3d JhThTd8d3h QhQd7h5d2s 
JcTsTh8d6c KhTc5c4s4h KdJd9c7h3h KsJd9s7h5c 
AhKhTc6s3h KcJsJh6h3s AhKsJh9d2h JhJc9s8c2s 
ThTc9h9d3s JhJc9c6d4d TsTd9h9d3c QdJh9d6c4c 
QdQcTc7c5s Ac6d5d3h3c KdJs7h5h4s Ah9d8h5h4d 
JcThTd9d7d AcQsTs9d2h JcTs9s8c4s Ah8s5s5h3d 
QdJs9c7s4d KhJd8h5s5d Ks6h6c4s4c AcQdTd9d4s 
KdJsTh7h6h 9s9d8s7c5c KhJs6h5h3s AdJd8d6c5s 
AdKhJs9d2d QdQcJh5s3d QdJs9h8s7c QsQc4d4c2d 
AsJhTc9d4d AsJh9s6c2c AdJh6h5d2h AcTd7c5h3s 
AsTh4h4c3s QcTc6s5d3d AcKd6h6d5s QsTdTc7c6h 
QhQd9s7d3s Kh6h6c4d4c Ad8c7d4c3s As8h7s4h3c 
KsJh9s4d3h AdJcTs7s5s AcTc6d4d4c QdJc5d4c3d 
AhThTc5h4d AsQcTd7d2c Kd9d8s6h4h KsJhTs7s5d 
Jh8c7h5c4d AdQsTc7s7h JcTd9c5h2d TsTc8s5s4c 
TdTc6h5h5c Ac7c6h6d5s Ks8c7s7h5h Td9c7h6h4c 
AcKsTs4h2h As9d8s5s4d AdQs9h8s3h KsJd9d6d4s 
AsKdTh6s2c AdJh9h8s5c KcJhTd7s7d JcTs8s4d4c 
Kc9c6d5h5d Kd9h6d5h3c KcJsTh7h6h KsQsJsJc5h 
QdQcTh7d4s JsTs7h6s6h KsKc5h3s2d AcQhJs9s7s 
Kh9c7h5s4c KhQc7s6h3s AdTc9h6h5c KdQsJh8d6d 
Ac9h7d5c2d KcTd9h7c2h QhTsTd6c5h AcKcTd6h3c 
Ks9d7h5d4s Ks9h9d8s5d AdJc7c4d2s AdJc9d6h2h 
KcQhTc8h2c QhJsTc7h7d AsQdTs7s3h AsKcQh5c3c 
AhKhQs6c2d AcJs6h6c5d Qc9h7c6s6h QhJhJd9s7h 
KsQhJd4d2h AdKhQd5d2c KdTs5d4s4c Ah8d7c6d2h 
AsKs8s7c6s AsAhAd6c3s AhKsJs9d2c KsTc9c8c7d 
Kc9h6h5d3c Ks9c7c6s3d AdJd6c4h3c QsJc9h8c4s 
QhQcTh8h5s Kd9s9d8c5s AhTh7s4s2d KsQh8h6s3c 
AdKs8d6d4c Ks9s7h5d4d AhKc8h6h4d QhTc8c5h5d 
TsTc9s8d3c QsTs8h7d6s AdQd7s6s2c QsJdJcTs2h 
AhJs8d7c5s QcJcTh9d3s AcJhTs9h5h KhJcTs5c2s 
QdJhTc5s4c QcTd7d6h3c AsTd4h4d3s KsQc7h6s3h 
KdQc9h9c8s JsTc9c8c7c KsJs9h7d3d KsQsJd5h4s 
JsJcTs4s2c KsTd7c4s4d KhTc9d7s6c AhKhQc9h4d 
QsQd9h7s3h AdKsTd8d4d QhQc8h6c2h AcTs5s3s3c 
QdJhTc7h6h KcQd6s6c3d QdTd9h9c3h JsTd7d5s5d 
QsTd9s7h3h Ks9c6c5d3s Ad8s5s4c3d AcKs8d7h2c 
AdJc9s6d2s Tc9h7h6s4c AdKh6h5c2c ThTc9h8c2d 
Ah8h7d7c2d Jc9h9c5h4s Js9d8d6s6h JhTd9d5d3h 
KsQsJsTc2h Ah8h5s4c3c AdKhQhJh2h AcJs8s2d2c 
AcQcJcTc7c Ah6c5s3h3c AhJc5c3s2h AdQcJs5s4s 
AdKs9s9c3c QdJsJcTd3h Th9h7d6d5d AsQd9h6s6c 
Ac9c8h8c7d KsQcTh8c3h AhJc5d5c2h AhQhJc4h4d 
AhKd9d8s2s JdJcTh6s5d KcQsTc5s5c QcTsTh9s6d 
KcJh5h5c3s Tc9h7d6d4h KsQd8s5d3h KhQdTd4h2h 
QhQc5c4s4d AsJhTd8c4c KcTsTd5d4s JdJc9s8c2s 
QhJsTd7c6d QcJh9h5c2d As9h5s5d3d As6s6h4c3h 
Qs9s9c6c4d QhTh8s7c6h AhQh6c4s2s Kh9h6c5d4d 
JsJh9h6h4s ThTd9c7s7c KhQcJsJd7d AdTd8d8c2c 
KsTd8h7c5s KsKd5d4d2c AdQhTh6s5h AcQd5h4c3s 
TsTd9s8c3d KhJd6d5c4c QcJsTs5h4s AdTd7d7c3c 
KsKc5c4c2h AdThTd5d4s KhJhTd7s2s AhKs8h8c6h 
AdKc9h9c3h AhKhTs6d3h AhTd6s5h4c KsKh8h4h4d 
KdQcTh8s5d Qh9d9c8s8d AhKs9s4h2h Jc9h8d8c6d 
KcTc6s5c4s AsJcTd9h4d AcTh8c6c3h KhQhJsJc7h 
Kc9d7c5s4d AcKh7d6c4c QsJcTd7c6c AcQdTsTh6d 
AsKc7d4d3c AhKd8c7c6s AcKdTs8c2c AdKs7c6d4d 
Qd9s9c7s5d KdTc9h6h4c Kd9d7s6c3c AsTdTc9h7h 
AcKcQd3s3c QhQcJs5d3c KdTh7c4h4d QhTd9c3h3d 
KsQcTd8h5s KdQcTs8d5h KsKh3d3c2h Td9h9d8c5h 
JhTd9s7h6h JdTc8c7c6h QsTd7s7c5d AdKcTc9h2c 
QhTh9s6d2s AcKc8s6s3c AhQsTc6d5s Ah6c5c3s3h 
KsJc5s5c3d KdJs9s9c4d AhKdJs9d6d KhTc7c4s4h 
AcJcTc9c5d QsQd9h5h2d KcQhJc7h3h KsQhJd8h7h 
AhQsJd9h2h AsKcJsJhJc AcJd9d2d2c KcTh9h8c3c 
AdTd7h5s4d KdQs6d4h2s AhQsJsJd6s KhJs6s4h3d 
AcKd7h4c3s KdQh7d4s3h QcJsTc9h4d AcQhTs5s2h 
AcKhTd8d5d AsKdTd4h2h QhQcJhTd3h Ts9h7h6s4s 
9h9d8s8h3d AsQs6c5c2c Ad8s5c4d3c KhJdJc6d3c 
AdTc9s6c5s AhKh8s5c4h KdJs7s6s3d Jd8s7s6c5c 
Tc9s8s6s5c As8d6s5d2d KcJh9s8c6d Ac7d5c3s3d 
AdJs9h8s7s KcTd5c4d3h QhTs9d3s3h KsJhJd5d2h 
JdTdTc8d7d KhKdJc6s2h AcJcTc4h4d AcTdTc7s4c 
KdTs8s8c7h QdJdTh9d6s 7h7d6h5c4c AsTsTd5s4c 
KsKhJd7h3h AdJh8c5s3d Ts9h9c7h5s KdQhTd5h5d 
QhQd9d7s3s KcJsJh5s2h KcQd6h5h3d Qc9s8c6s4h 
AdTc9s8s8h AhQhJc9h2s QdTd7s6h3s AdQd9h7d5s 
AsTs6h6c3h QcTd7s7c4d AcKh5h5d4s KcJhTc3d2d 
QdQcJh8c5c JsJdTs4s2d AhKc8h8d6h Js8h7s5d4h 
QsJc5c4s3h AdQcTh7h5s KdJd5s5c4s JcTd8s5d3c 
AdQcTs8c4c ThTc9h8d3c KsJc9s7d6s AcJdTh9s4s 
Ah9d7d6h4h Qd9s6d5c4s Qd8s8d6s6d KsQhJd8s6s 
KsQdJc8s6s KcQdJh9s5c KhKcJs6s3d QhTh9c6d2c 
QhQc9c7h2c KsTc8h7s2c KcQc6d5s4h AsKhQd8s2c 
AdKs6h6d5d QhQd8s6d4c QsJcTd2d2c QcTd7d6c3s 
TsTd6d4s4h Ac8h6d5s4c QsQcJhTs2s QsQh9c5h5d 
Jd9c7s5d4s QdTh9c8h6h QdTd9s6c2s KhJc7c6c3h 
AhJc7h6s2c JhTh9s7c6h Kc9c8h6d4d AcKs8c6c4d 
QsJc8c5s5h AhKcJc9d2s QdJsTd9c4h Kc9s9c8h5s 
KsQcJs6d5s JdJc8d6h4h As8d6s6h3h Td9c8s7s5c 
KhKd9d6d3c QcJd7c6d6c TdTc9c8s3d As8s8h6h4s 
AsKhTh5d4h Ts8s8d6d4h AhJdTs9c6s AhJdTc9s4c 
AcKd8c6c4h AcJdTd9d5s KhJd8h5d3c QcJcTs5d3h 
KsTh8d6d4h QhQd9s5d2s AdTd9s9c6d AhQdTh7h3c 
AcKhQs3h3d KdKc9d3s3h KsQhTsTd6s AhQcJd9d7d 
QhJc9d8d7s Kc9d8d6d6c AdKd5c2h2c KsQhTd6c4h 
Kc9s7s7c5s QsJdTh9h6c QhJd9h7c3d AdTs8d7d6d 
KdQd9h7s4h KhTs9s9h3h Ah7c6d3h3c QhJdTdTc7d 
QsQcJc3d2d AcKdQh8c2s AsQsJs7d5s KcQsTh8h2s 
AsThTd7h3d QdTs9d4h2s AcJd9h5h5d Ad9s7s4s4d 
Th8s8h6s4d AcQd9s7c5c AsJc8c7h5d TdTc7s5s4c 
AsKs6s5c2c AsKd5h5c4d KhQsTd8s3d QsQdJd6c3h 
AcQd7c6d2d KhKcTs5s3s KcQs9s8h5h KcJcTc7s6c 
AdKcQs9s5s KcQdThTc6c Ah8c6h6d5s AhQsJc9h2h 
AdJc9c6s5s QhJh6s5d3d KhJs9h7c5d QsTs9d9c8s 
KcQcJcTd5s AcQs9s3c2h QsJc7s6c4c AhQdTc6s5d 
Qd9d9c6c4s AcQdJd9s6h AhKd8s8d5c KhQh8d6d4d 
AsQhThTd6h AcKcJc9d5c Ks9s8d6d5s Kc9s9c6s5c 
KhJs7d5d4s KsKd9s7s3c KhQd9d8s5s AcJs8s7d5h 
AsJd9d3c2s QcJhJc9s7c AsTh6d3s3d Js9s9c8d5c 
AcTc9d6h3s 8s8h7h5s4d Qs8d6s6c5c KdTh7d6c4s 
AcKdTd6s4d KdJhJcTs2h KcJcTc7h6c AsQhTh6c5h 
AdKcTh8d2d Ah8s8h6s2d KhQsQc6d5d QdJd9d8c7h 
AsJc4c3s3c KhKcQd5s3s AhQdJs9h2h Kh9d8c7d7c 
AsQdTc8h4c ThTd6s5s5d Th8s7s6h4h Kd9h7s6d4s 
KsTd9c7c6h 9d7s6s5h4d KsJh7h6h3s JhTdTc8s6d 
QcTd9d8h6d KhJc9d6d3h KdJdTs6h5d JhTd6h6d5d 
QsJs9d8h6c AsTc4h4c3s Kh9s9c8h5s JsTh9h7d5c 
AdTd7c5h4d QhQcTc7c5s AsKdTh6d6c KhJs6d4h3s 
AcKd6s6d5h AhQc7h4h3c QcJd9d4c3h JhThTd8h7h 
AhTc9d3h2d Qc9c7c6s5s JsTh8d4s4h AcKhQd5h3h 
AhKd6d6c5s KhThTc6c3h AcTc8d5c3d Kh9c7h6c3d 
AdKh8d7c2s AsKdTc3c2d KcJhTd7c5c KhQh7h5c4c 
KcTsTh4s3c KsTc7s6d4h Qc7c6d5s4s QhThTc5h3c 
Js9s9h8h6s AdQd7s6s2h QcJcTc6h5d KsJhTh8c3c 
KhJs5c4c3h AdKs8s5c3c QcJcTc6h3h Ac7h7c6c4h 
AcKd8h7h6s QhQc9d7c3d Kd9h8s8d5h KcQcTs3d2s 
AcKd8d5s3s KdQc9s8c2d KcTs8s7c3d AhJh6c5c2d 
QsQh9s5c2c KcQhJc7d6c KcQdTs8h5c JsTd9d7h2s 
AcJc8h6h2h Ad9c6h6d3h JhJc9c6h4h AhTh8c5c2h 
Kd9d7c6s3s QsQdJc9s5s AcJdTh7s7h KsQsTs7h6s 
KcTc9d8h6c QdTs9s8h4h Jd8h7d5h4c KhKd9h6h3c 
Kd9c8c6h4d KdTs7s4d4c QcJsTd9h4c AdQsJd9h2d 
QsJsJdTs6h QsQd4s4c2c As9s8h6c2c JhTd6h5s3d 
QdTs9d4c2s KhTs8s7d3h As9d7h3s3h AsJh8d8c4s 
TsTc9d7h7d QsQcJs8s7s As7s7c5d3h KsJs5d5c4d 
Jc9s9c5s4h KsTh7d5d4h Ad7h7d5s2h JhTh8h8d4d 
AhTd6c5h4s KdJsJh6s2d QdTd9s9h3h Ah9d6s6h3s 
JsJh8s6d4d AsJh8h2s2c Kd9d9c6c5d AdJc9h7c5s 
KhTs7c6h6d KsQhTc8d5s QdJc8c5s5d AhTs8c7d6d 
QsQhJd8s5s AdKs8h8d6d JcTsTd4c2s AsJh6h5s2h 
QsTc9h3s3c KhQh8h7c5c Ac9h7h6c2d KdQd8d7s5s 
AcQhJd9d7d Ad7c6c5s2d AcKhTd3d2h KdQsJh4h2s 
AdQdJh9c2d KcQhTh6d4s QcTc6s5h3h AdQh5c4d3s 
Ah9h7d5d3h KsJsTc4s4c KsJs9d8c4c KhQh7s5d3d 
AhKc6h4s4d AdQcTsTh6s Ah8c6h5s2c QhJc6c4s3h 
Jd8h7s5s4d QhQd8h6d2h KdKc5c3h2s QsJc5s5d3c 
JdTh5h5d4h AdKcTd9d5d JdTsTh9s7s KsKh9d7c2s 
AdKcJd4h3d AdKcQs5c3c QsJdJc3d2c KdJh9h7s6c 
AdJs9c6d2c Ks9s9c8d5c Ah8d5c4h3c KcTh7h4s4c 
JhJc9h6d4d AcQd9h8d6s KdQh8d5h3c QdJs9s4d3c 
KsQs9s9c8d AhQhQd4h2c KcQhJs9d7d AcTh8d5c3s 
KhJsTd8d3s Kd9s8d8c5s ThTc9h5s4s JsTs9s7h4h 
KhThTd7s2d Ac9d7d4d4c QsQdJdTc3d KcJc9d8d3h 
KsQdJs7h6s KdJd5h5c4h QsTh7h6s3c AsKh9h9c3c 
KhJd9c5d2h QsTh9d6d3h AcQh7c5c4d QsJsJd4d2d 
QsTdTc7d6h AsKs8c5d4s KsQsTh4h3s AhKcQh6s2d 
AhTd8d3s2h KhQd9d8c5c KdQsJd7c3c AcJsTh8d4d 
KsJd9h9d4s KdTd6s5d4s AhKhTh5d3s 9s8h7h6h5s 
KdTc9h7d2h AhTsTd7d3s Ad7s7d5h2s QsTs6s5h4h 
Ks9d9c8s5d AsQsJc9s2d Ah9d9c8d5c AsJh9h8d7h 
