KhQc9h7h4d 
QcJdJc6c2h Ks4s4h3d3c QsTh6c4s3s Ts9d7d5d3h 
Kh7d6s6h3c Kc9c5d3d2s 8d7d5d4c2c KhTs6c4h3h 
KcQs6d4c3c Th9c6c4s2s AdQh7s4s2h QcJc9c5s2h 
KhTh9h5s4h 9s8h7c6h4h Ah6d3d2s2h Jh9h8d7c3s 
Qs9h5h5c3c QsJc7s7c2h Qd9h8c7h3c QsQh6d5d2c 
Jc9s9d3d2c Js9h7c4h3c 9h8c5h5d2d KdQc9c5c3s 
KhQs8d4d3s QsTh9c4d3d AhKsTs4s2s KhTd7s2s2h 
KdJs5h3d3c TsTd8c6h3s AhJcTd6s2c QhJh8h8c5h 
As7s7d5h2s Qc7h7c6c3h KcTd7s2s2c Ts8c5h4c3h 
JcTs9s7s2h Tc8d7h7c4s KdQdJs7c2h Td8d6s6h4c 
QhJd5d4d3s Ts9c6d4d2s QhQd7s5d2c KhTs8d8c4d 
KhQcJs2s2d KdQc9h2h2c Jd8s8d4c3c As8c7c5h5c 
AcKs7d7c2c Kd8h6s2s2d 9d7h7c6h4s AhKh9h6h3d 
KsKhKcJc4h QsJc9d6h3d 8d7c6s4d2s QcJd7s6s2d 
Kh7h6d5s5h Th8c7s4h2s AhTd7h4c2h Jc8s5s4s2c 
JsTs6d5c2h Qh9h8d5s3c Jh8d5h3s3d JhTd8c6h2s 
Jd9h6c4c3h KsQh6c5d2h TsTc4h2h2c KsQcTsTdTc 
AsTc4h4d2s QdJc7s6s2c KsJs9h8d2s QcTh7s7h4h 
Tc8d6s6d5d Th9h7d4d2c As6h5s3h2s JhTh9d7h2c 
Qd8c5s5d2c JsTd8c4s3s 9d8h8d3h2s Ac5d5c4c3h 
KhJc8c7c4s Jc8d6s4c3d 9h9d8h3d2c AhQc4d3d2c 
QsJh9c7d3h AsJs7h3s2h Js8d8c6h4s Qc8h5s3h3c 
9s8h5h5d2s Jd6c5c3s3d KcQc8d5s3h Jh8s5s4h3h 
KhTc6d5s5d AhKs7s4d2c 8s7s6c5s5d Kd5d5c3c2h 
KsQh9d7c3h JsTd8c4d3d QsJh7c6s2c AsJh6s4s3c 
QhJs9h6h4h Qs8h7d7c6d KsQsTs3c2d Ad5h5c4d2s 
KhTc7h3s2s Td8h8c7s4c KsTh7c2s2c Jd9s7s5s3h 
JcTh5h4d2s Kh9s9h4s2d KhKdKcJh4d Th9c8s7s3d 
AcJd6h5h4s Kd5h5d3h2s Qd8d7h6c2h QhJhJd6h2s 
Qs7c5h3s3c Qh9c7c6c2h 7s7c6h4c2h Qd7c5s3d3c 
Kd9s8s8h3h KcJdTd3s2d JhTd8h6c3h ThTc9c8c2d 
Ts8d7h7c5s AhJs5c4h2h Kh8h8c7c2h JdJc7h6s3d 
Kc9h6c4s2s Ks8d7h5c4d 9s8c7h5d5c AdKhJc4s2s 
Jc8c7h7d5c KsJc5h5c2h Qd9d7c4s4c KcQcTd7c3c 
Qs8s7d7c6s AcTs9s6d3s Th9d7d2s2h Jc9s7c6d3h 
AhJdTs3s2s 9h8c6s5s3d KdQhTh4h4c AsQc7s5d2s 
QdJh7c6d2c KsQd9c2d2c QhTc4d3d2h QsTh6d4s3s 
AhTc9c6c3d KdQdJs6d2h QcJs9h7d3s AsJc6h6d5h 
Kh8c7h7c3h KhQh8c5s3d AdKcJh4s2s Kh9h5s3s2c 
AsQsJs8s3s AcTh9h6d3h Ks8s5h4h3s QsJc9s6s4s 
QcTc8h7d2c Th9c8d7d3s AcJh7c3s3c KhQhJh6d3h 
QdTs8d8c3h Th9s8h6h3c JsTh7c4d3c Qh9s5h5c2s 
QhJs9d9c4s AcJd8s7s3h Tc9d6d4s2s QdTd8c4s2h 
Ks7d6s6c3h Jc8h5s3h3c KhTsTh5c2h Ks7s6d5s5c 
AcQc9c6d2s Js9c7s6h3d Th9s6s5d3c QhJd7c6c4c 
KdQhJc5s2s KsQcTc2h2d Jh9d7s6c4c Ad6d4s3h3c 
8h6s5d3d2s As9c7d4d3c Ts9d8d6d3c AsQcTs6s2s 
8c7d6h4c2d Js8h8d2s2d Qd8d7s5d4c AhQcTs4s2s 
7s6h6c5h3d Ts8h6h6c5h Kh7d4s3s3h KdQh9d9c2s 
KcTh6s4c3c KcTd7h2h2c KcThTd4c2s AdQh5s3h3c 
KsJhTh3c2h Qc6d5s5d2c Tc6s5h5c3s KsTs9s8d3s 
As9s7s5s3h Jd9s8d5d4c Ah9d8s3s3d 9s7d7c5c4c 
9s9h6s3d3c KsTh6c4h2c 9h8c6c5d3s AdKdJc6d2d 
AcQh8s5h3h AdKhJs7c2c JcTd9d4d2h KsQd9h5d3d 
AsKdTd4d2d QdTd8d6d4d AsTc9d5h3h 9h8d6c5s5c 
Jc9s9d3s2c AdQh9c5s5c QhTs4d3d2h Ts6s5h5d3h 
KhQs6c5d2s Qh8h7d6s2d QhJs9d8h3h AdQc8c5h3c 
Ad6h6c2s2d Qs8d5h3s3h JdTc7s4h3s QcJh8s7d4s 
Qd8s7c4c3d JhTsTd5c2c Qd9c6h4c2d 6h5d4h4d3s 
Ks9s9d4c2d Kh6d4c3h2c KcTd9d7h2s AhQc8c5c3d 
Qs6s6c5c2c AcJs7d4d2s As8c6c5h4c Jc9s8d5d4h 
9c8h6s4h3s AdQsTs6c2s TdTc8c6h3s AhKh9d8h2h 
AcJs8d2s2d Th6d5h4h3d Js9h8d7d4c Td8c6s6c5c 
AhTs7h6h2c Ts9c8d3s2d Js8d8c4s3d JsTd8c5c3c 
QdJd7d6h4d JdTs5c4c3c QsJc8h7c4c KcJdJc3c2h 
Jh9c6h5d3s Ks9s7s7c6s Qs9d6d5c2c KsQcTh6d2h 
Jh9d5s4s2h Qd9d6s6h2h KcTd6d3c2c 8h8d6c5d3d 
KcTd9d8d2h Kd9d9c4c2h 8s8h6d5h3h 5c4s4c3s3d 
8s8d6h5d3d JcTh8d4h3h Ac9s8c6c2h AdTd8s5d3d 
Kh9d8d3c2h KdTd9d6s3d 9c7s7c5c3d Jd8s8d7c4h 
9h7d7c6c4s 7d6s6c5c3h Jc8c7s7d5c Kh9s8h2s2c 
Ac9h9d5h2d AcKh8s4h2d QdThTc4s2d ThTc9c8c2s 
Js9s7h5s5c AdTd6s2s2d Kh9s7h4s3h QdJh6c5d2s 
Tc9h8s3h2s Jh9d6s6h2d QsTd8c5h5c 6d5h4d3c2c 
KcJc6s4h4d JsJd8h6d3c Td9h8h7s3c JsTd6d5c3d 
8c7h5h4h2c Th9c8s7h4h KdJd9s8c2d Kd9d8c3s2c 
JhTc6c4s4d Ks9c8d6s4s Td8s7s3h3d AsJd7s3s3h 
Js8s6h4c3h AdKhTh6h2h Qd5h5c4d3h Th9d8h5c2s 
QhTh8d7h4h Qs7c6h3s3c QsTc9c8c2c KcTc9s5d5c 
Jc9c7d7c6c AcKc8c6d3c KdQd8s5h3c Jh9d7c5s5d 
AsTh7d4s2s Jh7s6s6h3h 9c8s5s5h2c Th6c5h4h3c 
QhJs8d6h3c KhQsTd5s2s JsJd9h7h3h Jh9d9c3d2h 
QcTd9s6s2h Ks8c6d5h2s KhJh8d7s2c Td9s7d4h2s 
AhTh5s5c3h Th9h7d4s2s Kh5h5d3d2s QsJhTc6h2h 
Ks8d7d6c3c Tc9c8s6d3c Ah9h8c3d2s KdTh7d3c2c 
Th9d6c5s5d JcTh5s3d3c Kd9d7d7c6d QcJs9s5h5d 
Qc9s9c4s3c KdQdTd3c2h KhQs6h4d3h KsTh6c4s3s 
AdQd6s5d3d AdKh9s8s3s AsKd8s4h2s Jc9h8s5d4s 
Th8s8d7c4s AcQsTd4h2h Qd8s6c5h4c JcTc9s4c2h 
JdTs8h6s3s JdTh8d4d3s QsQd8c5c3h KsQh9d4c3s 
JhJd8h7s2c AcTc9c4c3s QdJs8c5h5c Tc8h7c5s5d 
KsJh5s4s3d AhQd8h8c2h Qd7d7c6d3c 9c6d5c4h2h 
QsTc6c4h3d Ad7h7d2s2c Jh9s6h4s3s 9d7h7c5c4c 
KhJd9s6s4c AdQs9d7d3d KhTd9d5s3d Ah7h7c5d2h 
Th9c7h4s2c Kh9s5c3h2s JsTd9s4c2s Td8c5s4c3s 
KdTs9c8h2c AsKcJd7h2h As9h7d4d3h Kd8s6h5c2d 
KsJd7c6d2c Kc8d7s6d4d 8s7h6d4d4c Ad8d5d4h4c 
AdQd6d6c3s Jh9s9d7s4c KsJs9c8d2s AhQh9h6d3h 
Ad4s4d3d3c Kh9h6d5h3c KcTh5d3h3d 8s8h7h7d2h 
AsTc3s3c2s QhTh9h4c2d Qh7s7d6d3s Qd8s8d6d4c 
QhTh8s6d2h JdJc9h8s2h JcTh8s6c2d Kd7d6s5h5d 
Td9h9c8c2s AsQs6s6h3d Td9s6s5h3c Ts9s9h6c2d 
KhTc7c4s2s Td9s6s4h2h AhTh9h8h3h 9d6s5d4h2h 
9d7s7h5s4s Td8d7s7h4c Ac8c4h3d2d Tc8d7c4s2d 
JdTs7c4c3h Kh9c6d3c2h Jd7c6d5h2c Qd9d6h6c2c 
KcTs8d5d4d Kd7c4s3s3d JcThTd3s2d Td9s8s5c3h 
JcTc9h7c2s Jc9s8c5h3d Tc6d5c4c3d 9c8s8c3s2h 
Jc7h6s5c2s JdTs8c5c3c QdTc9d7d4d Jh9h7d5s5h 
Td9c6h5s3c Th9d9c7s4s AdJc6s6h5h KdTsTh4c2d 
Tc9s7s5s3d Qd8c7d6h2h TsTd8d6c3h AdJh7h7c2c 
Jd9c7h6d2h Ad9h9c6s2d AsTh7s4c2s Jc9d7h5s5d 
Jh8c6h4s3s AhKh8s3h3d AdQc6s6h2d Kh5s5h3s2c 
JdTh8s6h3h KhQsJc6c2d 8d7s6d5d3c Th8c7h4s2c 
Jd9h8d4c2c KcJsJc7c2h As9d9c6h2s JhTd6s5c3s 
As7h6h5d3c 9d8c6h5s5h KsJs7h7c4s Qd7s7h6s3h 
TsTc9c8c2h KsJc8d4d3c AhJc7s7c2s KhTh5s5d3c 
AsQc8s8d2s QdQc9h5h2s KdQd8h5s3c TdTc9h4d3d 
QdJs4h2s2h Ts7c5s5c3c KhQd8c4c3d QdJh9d4d3s 
Js8h5h5d3d JcTd7d6d3s Jh9d7c5d4d AhQd8s5d3d 
Jc9d7c4c3d QdQc8s5s3h AdTh9h5h4h As8d7d5d5c 
JhTd7s6c3c QcJs9c4c3h Qh9h8d4c3d Qh7d5d3h3c 
Ah7d7c4s2h 7c5h4s3s3h QsQc7d5h2s KsJcTh5d2d 
AcKsJd7d2d Js9s8h8d5s Jd6c5h4h4c 8d7d7c2d2c 
Jd7s7c4d3c Td7h7c6d5s Qc8d7s7h6s Td9d7h5d3s 
Kd8s7h5c4s Jd6s5d4s4d Ts7d6s6c4h Qs8h7h4s4h 
QhTc9d4c3c JhJc5s3s2h JcTh9h4h2d JcTs7h4s3s 
QcJc5s4d2h 9d8d7s4c3s JsTs9s2h2c Kc9s8h5d3c 
Kh9h6s6c5h KcQh9h4s2s 7c6s5h4s4d AdTh7d4c2d 
8h8d6h6c2h KhTd6s3h2s As7s6s4d4c 8h8d6s6c2d 
Kh4s4h3d3c Qs9d8s8h5s AhJs8d7d3c Qh9s7d5c3h 
Ac9s3d3c2d Ah7s6s5d3c Qc8c7s7h6c Qh5s5c4h3c 
9s7s7c5s3d Tc9s7c4d2s 8d7h6s4h2d KhKc8s4d3s 
KsQhJc4d2d AsQs8s7s4s AcJc5s4c2d AhJc9c6s6d 
Ks7s7d6s4c Qs8h5d3s3h Td9s9d7d3h JsThTc4h2h 
Ts7h5c3s3c KdTh7h6h3c Qh9d7d3h3c JhJd8d5c3d 
8d7h6d4h2h 5s5h4s3s3h QcJh9c6c4c 9c8h5c4s2s 
Qc9d8c5s4c 9d8d7h5s5c AdQdJd9d2d Qh7s6d6c5h 
KsJs8d5s4s Qs9h6h4s2d Ks9h6s4d2h KhJh8c6h4h 
Qh8s7d7c6c KsQd6s5s3s 9h9d5c4c2h Ac9d4d3c2s 
Js9d8d6c4h Tc9s8s5h3d Th8s7h4d2d Ks9h5h5d4d 
9d8h6c5s5c Ah8h4d3s2s KsQd7c5c3h Qs8c7h6d4c 
Ts8d7s7c4h Ad5d5c4d3h AdJd3c2d2c Ks9c8c2s2d 
Qd8s7h7c6h 6h5c4h4c3s Js8d6h6d2s QdJsTc6h2h 
JsTh7c4h3h KsKh7d4c2d 9s7s7d6c2c Qc8s8d6d3s 
8h7s7h4c2c Js9s7c6s4d Ks9c5c4d3d Tc7s7h6c5d 
AsQs9s6d3s Kc9h8d5c2s Js9s8h4h3h AdTsThTd8s 
Kc9h5h5c2h Qh8s6s5c4s AcTd9d5d3h QdJc7c4c2d 
Ah7s7d6h3h 9c8s6d4s3d 9d8c6s6c5c Jd9s8s6c4h 
Tc9h6h3s2c Ah8h5h4d4c Qc9h8s4s3c 9d8h6h5c3s 
Qc8d6d6c2d KdTc4c3c2d Qh9c7s5d4h Qh7h6s5d3c 
Qc9s6d4s2c AhQs9h7h3h KdTs7s4h2h Qh9s8d7s3d 
As9h9c5c2h JhTd9h4c2h Ts9c4s3s3c 7c4h4d3h3d 
7h6s6c5s3d QsTs8c7h2s AdKcJh7h2h Ks9h8h2s2c 
KsTs9s6d3s KsTd7d5c3h KsQdTh5d2d Js9c8s5s4d 
Jc8h8c7c3h Ts9d8d5h3c 8d8c6s5s3h Kd9d8h7s3c 
AhQd7s5c3c Td9d6h6c4s 9d7d6d5s4d 8d7h5h5d2c 
QdQc6h4d2s Js9d7s4s3d AdQhTc4c2c Tc8s6s4d2d 
Qd7h5h4c3c Kc9d6c4s2d 7d5d5c4s4h Kh9h6s5h5c 
Qs9h9c5s3d Kh9s9c7d5d AsJd6h6c5h Qs7d7c6c3d 
Ac7c6c4h4d Tc9c7s4s2h AcTd7s4d2s QsTd9h5d5c 
Jd9h7d6s3c KhQc5s5h2d Qh8d6h4d3h Qh6s5s5d2h 
KsJd8c4c3d Td8d7h7d5s Qc9c8c6s4h Qc8h6d4c2d 
QhJh7s5h3c AcKs4c3c2h Ad9c7s5c4h QdJdTd7s2c 
KdJh9c6c4s 9h7h7d5h3s KdQh7c6h3h KdQdJh9d2d 
Ah9s8h6h2d JcTh6h4s4d QdQc8h5h3s Jc9d8s7d4h 
8h7d6s4s4c QsQc8s7s3h QsJs7d5s3h Qd9s7s3d3c 
Jc9s8c4h2h AcJdTd5d2d Ac8s6c5d2c JsTh5h4d2c 
Jc8d8c7h4s JhJd7s6c3h Kd9s6s6c3c Ad9d5h4h2d 
Jd8d6c5c2d Jc8d6c4h3d JdTs9d6d2c QhTh5d4h3c 
JhTs5c4c3c As7h7c4d2s KsQhTc7d2h Qc8s7c6d2d 
Td8s8c4h4d 7s6c4d3s3d JcThTd4d2d AsTs8c5s3s 
QdTs5s5c2c 8s8c7h5c3d Jh9s8d6s4c Qh8h7d6c2d 
Qs5c4h4c3s 9d7h6h6c5h KsQdJh8c2h Jc9h5d4d2c 
Kd9h7d4h2c Jc8h8d4c3d JhTsTc3d2c KdJsTs2s2h 
Tc9h8s6d2c KsTh6h5c3h AcQs7s4h4d KdQhTs7s3s 
AdQh6h6c2c JcTh8s5d2s JdTh8s4s3c KsTs8d4h3c 
Jc8c6d4d3s AcTc4d2d2c AhTsTc5c3c Ts9d7h2s2d 
QcTs8d5h2c AdJs9s6h6c Qc9c8c6d4s QcTs8d3s3d 
JcTs9h6c2c Qc7s7d6s3d QsTd5s4s3c Jd8d8c4c3d 
KcQcJh6c2d AdTh6s5c4c AsQs9s8d2s Qd6h5s5h2d 
AhQc7s5d3d AhTs7h6h2d 7d5c4d3h3c QhJc9d8s3d 
Td9s8h7d4d KsJc4s2s2c QcTs4d3d2c JsTd6d4h4c 
Ad9c7h4h3c AdKs8h4s2c QdTd9s7d3d As9s6c3h3d 
KsQd9c3d3c Th8d7c2h2d Js9h9c5s3s JhTd8s6h2c 
9s8h8c7c4d KhThTc5d2h KdJcTh5s2s Qd9h7s5c4d 
As5s5d4c3s Ad9h8s5h5c As8s7h4s3d KhQh8s5d5c 
9s9c8c4s3s Ac8d8c6s3c Ts9d6d3c2s Qd7h6s5h4c 
KsQh5s3c2d KcQdTs7s3s Ks9c8h5s2d AdQh9h7h3c 
Ah9h7h6c4h JcTd8c6s3c QsTd9d8d2d Th9s6h5h4d 
Jd7s7h5h5c AsQc6h6d2s Qs9c6c5h2h 8s7c6h4s2h 
Td6h5d5c3h 9h9c8c3h2d Ts7c6c5c4d 9c7h7d5h4h 
KdTh6d4s3d Js7c6c4s3s KhJsTs2s2c Jd9h7s5c3h 
QdJh9h8h3s AhTsThTc8c KcJsJh8d3s KsJhJd3c2d 
JsTd9s4h2s QdTd5s4d3c Td6s5s4d2h 8s7d6s4s4c 
JhTs5h4d2c 9c8d5c4h2d Qh9s8c4c3h Jd7h6s5d2s 
Td9s8h6c2d AcQs9c7c3c 9h8d6d5c3s 9s9d6c3d2s 
AdKc7s7h2c Tc8d6c4c2d QcTh4h4c2c AhQdJc3c2c 
AdJd7h3s3d AhJc6h5s2h QdJd6s3s2h QsTs4c3c2h 
9c8h5s5h2s 8s7d6s6h4s AdTs9s6h3s KcJsJd8h3s 
JdTd9s6d2h AhQs9s5c2d AdQs6s5c3s KhQh8c5s5d 
KcQc8s6c4c Kc9h6d6c3s QsTh6d2s2d As8c7c6h4c 
Ks8d7h7c6d 8c7d5d4d2c Tc7c6h5d2h JhTh9h6s2c 
KdQc9d7d4s AcTs6s5h5d 9h7s7c5c4c QhTh8d2h2d 
JhTd9h5c2h KhTd6h4s3h Jc8c5h4c3h JcTs7h4h3d 
Td7h7d6s5d KhQcJd8d2s JcTc6s4h3c QdTd6d5d3s 
KhQhTs3h2d Jd8c6s5c4c Tc9c7s4s2d Td9s9h7c4c 
9c8d6h4h2c AsTh9h6h3d Js8s6h6c3c KcJc8h4h2c 
KhQd9d4s2s AcKs4c3c2d KsQh8s7d4s 7s4h4d3h3d 
8h8d6s5d3d KdTc7s7h4s Ah8h7c4h3d AcJh6h5s5d 
Kc9c8h7d3s Ks9h8s4h2c QhJs8d7c4d ThTd9h8h2s 
Ad8d4c3h2h QhTh8d5c3h Tc8c7s7c5h Jh9c6h4h3c 
AhJc7d5s3d AhJh3d2h2d AdJh8c2h2c Th8c7h4d2c 
Kh6h4c3c2s KhTc9d9c4c QhJc9d4c3s AsJc8c5h3c 
Kd8h6c5s2d KhTc9s6c2d KdJdTd4d2c JcTd9c4s2c 
Tc8c7s4c3s ThTd9h6s2c ThTd8d6c3s Qh8h7d5h4s 
QcTh6h4s3d Qs9h7h6h2s Qh8s8h7s2s AcTs8s4s4d 
Tc7c6d5h2d JdTc8s4h3h Ac9s9c3h3c AsJh8h5c3h 
KdQhJs8c2s QhJhJc6h2d As9c8d3h2s JhTs8h6d3h 
QcJh9h5s5d JsJd6s4c2c Qc8s7h7d5c Kd7d6h6c5d 
AcTs9h3c2c KcQsTh8d2h JsTh7d6c3d Td8h7s4d2s 
KcQh5c3s2d Qd8h7s6s4c JdTh6h5h3c KsQsJd6s2c 
Kc9s8h5c3d 9s8c5d4d3s Tc9d8h7c4c Kd8h6s5c2d 
Jc9h6h4c3c AsJh8c7c3d QhJc9c6c3d KsKhKc7s5h 
9s9c5d5c3h Qc7s6h4s4h KcTd9h8s4s JdTc8s6d2h 
JhJd7c5s3c Jc8s8d2d2c KsKdKc7d5c 5h4h4c3s3c 
9d9c5h5d3s 9c8s6s6h5s Tc8c6c5d4c As8s6c3c2c 
AhKc8h4s2h AdTsTdTc8c KhQd8c6h2s Jc9s7s5s3h 
KsQs6h4s3c KhTs6c4s2c Jh8s8d2s2h Th9s8c3h2c 
TsTh7d5h3c 9c6s5c4h2s Js9c8s3s3c KcQh6d5s2h 
Qh6c4s4h3s AdTd6s6d4d KcQsJd6d2h JcTs9c4h2c 
Qs8s5h5d2d QhJd9c5d2s KhTs7s3s2h Td8d7s4d3s 
9c6s6c5d4h AsKd8s4c2s 8h7d6c4h2d Qh8s7d6c4s 
Jd8s8h7d4c QdJc9h8s3h QhJdTd7s2c AdKs4d3d2c 
Td8h6h4c2c KsJd7d5d3h Ks8h7h6d3d KsTs9c3h3d 
9h8h7c3s3c KcQcTc7h3c AdKdQh7d2d QhJs9s8d4s 
QdJc8s5s5h JhTd4d3h2h QcJc6h4c2h AdJh7c5s3c 
QcTs7s7d4s ThTc6h5h3d Ts9s7s5d3h 8h7d6h6c4h 
Jc9s9h5h4h AsKd7h7c2d Qh7c5c4d3d QhJc7d7c2h 
Th8c6d6c5c KhQd5s5h2c Jh8c6s6h2s Jd9s8h5h4c 
Js8s8c7d4h Js8c6s6d2d QsJs7h5s3c 8c6d5s3s2d 
Js8c6d6c2s AhQs9s4c2c KsJd9d6d6c 8c7d6h4d2c 
Ac8c4h3s2s QcTd6d4s3h KsTd8d3s2s QdTs7s5h3c 
9s8s7h5d5c AdKdTd3d2h Ad8d6s3s2s Ah9c6s6h2d 
AcKh7s7c2c Kc8h5d5c4s Ks3s3h2h2d Tc8c7c5c4h 
Th9h8c6s3h Qd9s9h7h2s KcQd6c5c3c Ac9h7h5s5d 
AcKh9s8d2s Qs8c6d5h4c 7c5s4h3s3h JhJd7c6s3h 
KdQs9h9d2c Tc9h8d3h2d Ah8s8d7c4s KsKd7h2h2c 
KcJd9d6h6d AhQcTd4s2s Jd9s7h6d2h Ts9d8h7c2s 
Qh9s5s5d3d Qh9h6d5h3s 9c8s8d5h4s JcTc7d3d2h 
Kd8c6c5s4h AcTc9c8c4c QsJd9h4d3c KhTh9c5h5d 
KhTc9c5d3c Qs8h5s5c2h AsThTd5h3h Qc9h7c6h2h 
QdTs9d7d4d Ks8h5s4h2s Ts8s8h3s3h Qs8c7h7d6h 
Td9s9h5c3s Js9s8d7s4h Jd8d6h6c3c JcTd9h6c2c 
Ts8h7d7c5c 9c6c5h3d2h KhQd8d4s3s JdTc8d4d3h 
5s4s4d3d3c JcTc9c6h2s 9h8d5h4s2s Qs8d5s5c2d 
Qc9c6h5c3d Jd8c5h3d3c 8d8c4h2d2c Qs9c8d6d4h 
Kc9h5h4c2h 9d9c8h6s3c KhJh8d7c2s Kd7h5s2h2d 
Kd8s6c2d2c QsTd7d5c3h QsJd6s2h2d As7h5d3s2c 
Kh9s5d3s2h QcJh7s6s2h KcQdJs2s2h KcJd5h3s3c 
9c7s7h5s4s Tc8s5d4s3d QhJd8s7c4s JdTh7s4h3h 
Ad8c7c6h4c QsQh9c5c2d 8h7c6h4c2c Tc8s7h7d5s 
Td9h8s6c2d KsQcJh2h2d AcJd9c2h2c AdJh9c8c2c 
Js9s7h5s5d JcTs9d2h2d 9c8d7h5s5d QcTh6d4c3c 
QsQd8h6c3c QhJc9c8c3s 9d7s6s6h5s 6h6c5s3s2h 
