AhKh8h5c3h 
KdQd7s5d3c 9c7s7h6s2c 8h6s5h3s3h 7h7c6c5h2h 
AsQd9h7d4d JdTh6s5c3h AsKsTs4s2c As8h8d7s3s 
AsJs8d3d2s Jd9h8c2h2d JcTh9s3h3d JdTsTh5h2h 
QsTc7h7c4d JsJc8s5d2h Qh8h5s4s2s JdTs5s4s3c 
AsQh7c6d4d Qd9c7s4c3d Kd7d5h4s3c 8h6d5s3s3d 
Jc8d8c6d3d KcJh7s5c3c QsJsJd8s2c ThTd5s5h2s 
KcQc7d4h3s Ah9s8c6h3h TsTh8d8c3c KdQdJd5s5c 
Qc9s7s4d4c 9c8d6h6c5c Th8s6c4c3s Jd7h5c4c3h 
KdJs5d4c3d AdQd8d8c4d Jd9d8h3s3h Qh9d7h5s4c 
KdTh9c5h3s Qc9s7h6h6d TsTd9c8c5c 9h7d7c5s4c 
Qs9s7s7d4d QdTs5s5c4h Kc6s6c5h3d KhJc9s6d4c 
Ts7h6s5c4s JcTd8d6d3s KhQs7h4c2c Ks9h8d3s3h 
KhJh9s9h6h Qh9d7d4h4c Ts8s6h4h2h 8d7h6d3s3h 
Kh8c6c4h3h 8s8c7h4c3h Qs8d7d6s3s 9h8s6d4s2h 
Qc9s8h4c3s Js9h8d2s2h AhKh7h4h3s Tc9s6d5h4s 
Ah6d4h3s3c Ts9s6c5c2s Th9d7h5c4h AcTs8h5d3s 
JdTc9s4d2h JhTh9h7h3d Qd7d6s5s2h QcJdTh6d2s 
JdTd5s3d2s 8s6h6d4d2h KhQsJh7h4h Kc6s5s2h2c 
KsTc8s8h3d QhTc7c6c5c Th9h6c5d3s Kd8d7s6d2s 
QcJc6s6h2s ThTd5h5c2c AsKd9c8c3h JcTc4s3h2s 
JdTs6h4c3d QhJhJd7s3h QdTc7c6s3h 9s9h6s4d4c 
AsJhJc7h2d 5h5d4s4d2h KdQs7d3s2c Kh9d8c6c3d 
Qh6h5s4d2d AhQs8d7c3s Qd7h5d5c3c Qc9d7s4d3c 
Ah7c6s6d5s 8h7s5d4d2h Ah8c7d5h2h KhTh6c5h4h 
Tc8s6h5s4s QdJd8s5h2c KcJs9d5d4h Kh8d7h7c5h 
QdJh6c4h2c 8d7s6c5d3h KhQd9c6h3h JsTs6h6c5s 
Kd8c7s7c6h AdJsJdJc9s KdJd9c3d2c 9s8d6h3s3h 
JhTd5c3d2c 9h9d7d5s3d AhQsJc3s2s Kh8d7s7h5h 
KdTsTd4d3c 9s8s6h3s3h AsTs6c3c2s 8d7s6d3s3h 
AsKc7s4h2s QhQd9c7c4c Jd9c8s8c6c KhQdJs9s4s 
Js7c6c4c3s TsTc9d6d3d JcTs6d6c4c KhTs9s5c3d 
QcTsTd7s3h QdTh7h6c3s KcTc7h7c2h KhQh9d3c2c 
KcQcTs4c2d KsKd8c2h2c QhJh7c6s2c AsJh7d6c4c 
7s4d4c3s3d KhQhTc6h2s Th9h8c5s4d Ah9s3s3h2d 
JdJc9d8d3h QsQhJd8c2c QhTs9d6h2h AsJsTh3s2s 
As7c6c5d4c QdJs7c6c2d Tc9c8s8c6c KsQsTh6s2c 
Qc8c6s6d2s Jc9s6s4s4c AdQc5h3h2c KsTc9d5d4h 
AhKcTs4d2s AhKh9h5h3s AcJh6d4s2c QdJs8d2s2c 
Js8c6d5d4h 6d6c5s5h4s AdKc9d5h2d AcQcTc2s2c 
QsJs9s8s6s Js7s7d5s5h AcQd7s6d3h 8s6s6h4d3h 
Jc9s9d4c2d As8s7s6d3c Tc8s7c6s2c 9h8c7h7d2c 
Kh9s8h7h5h Qh8d7s7h6h QcJs7c5h5d Ac9h3h3c2d 
QsQd8c2s2h KcJh9h4d2d 7d6s4s3d3c Jd7c6c5h4s 
8c7s6c4h2s 8c7h6s6c4d Ks9s9d6s4c 7s7h6d5d2h 
KhJdTs5d2d KdQc5h2h2c AhKs8s3d2d KhJc9d9c3s 
JcThTc5d2c Qh8c7d4h4d Js9c8h7d4s 7d7c6d5c2c 
Td9h8h4h2d Qh9h7h6s5h Jh9c7s6s2h KcTc6h3h2d 
QsTc8s4h3d 7h5s5d4d4c Js7h6h4h3s 8d5s5h2s2d 
6h5s5c4s3c As6s6c3s3h 9c8c6s4h3s QsQh9d4h2c 
AsJh5h5c4d KcJc8c6h6d KsKhKc7h6c Ah7h4c3s2s 
AdQdTd2d2c AhKs9h4h4d Jd8c7s7h6s 8h7h6h5d3s 
JsJdTs7s2c Ad7d6s4d3c KhJs7d5h3h Ac9s4s2h2c 
9h9d8c5h4s QcTh7d5c3s KsTc6s4s4h Qh8s7c5s5c 
QsJh6s4d3c Jd8s7s6h4c JhTs5c3s2c Jd9s7s6h6c 
AhJhTc3h2h Js8s6c5s3c Ac7h4c3s2s QsQc9d5c2c 
Ah8h6d5h3s Js7d5c4c3d JsTd9s7s2h Qc7c6s4s4c 
KdTd4h3h2s Tc8d6d6c3c QcJc9s9d2h Qh7c6s5h4h 
AsQs4h3s3c Ad8s4d3h2s JhTd6s6h2s JhTh4d3s2s 
JsJd8h8c2s AhQs7d4h3h 9h8s7c5d4s KcTh9s5d3h 
AcQh3d2s2c QsJdTd3d2c Ks8h7h6h5d 9d8c6s4s3c 
Ac6s4h3d3c Qc9d6c4c3d KdQdTh5d5c Ac8s6s3s2c 
Jh9d8c2h2d Td9s9d3c2c AsTs7c5d2s KcQh9s9d5h 
QdJh9d4c3s KsJh8c4h4c AhQh9h8d3h QsJc4s3s2c 
Qh9h9d7d2h AdKs7d4d2c Jd7s6h4s3d JcTd6s5h3d 
AsKcQd8h3h QsJs5h2h2c KdJhTc7h2s AhTdTc4s3c 
Qh8c7c6h2c AdKh9d4d4c Ac6c5h4c3d JdTsTh4d2c 
AcKs7h3c2d AhJs6c4d2h QcJc9s9h2d JdThTd5c2d 
QsJd9s4h3c AcJh8c4c2d 8s7h7c3s3h Jc8s8h7h3s 
KsQc8h7c3h 9d8h7h4h4d 7d6s4s3h3d KhTd7c6s3s 
Th9c6h6c2c QhQc9h5h2s KdJdTh6d3d Ac7s6c3s2s 
JhTc6s5d3c KdJh9h5h4s QdJsJh3c2s As9c4c2s2h 
7d7c5h4h2d Qh7h5d5c3c Qh6d5h5d2s AhJs4d2h2c 
Jc7h5h5c3h 9h9d5s4d2h QdJs7h6h4c AhKc8d4c3s 
KcTd9s2h2c 8d7d6d5s3h KcQcTd4h4c AcQs9h3c2d 
Ks8s7c4d3d QsQhTc7h2h Qs9c7c4s4d AhTd9s6c4c 
JhTh9h8s4h Jd9s9c4d2c Ac9h8d6c3c KcJh8h2s2c 
8h7d7c6d2h AhKc4s4c3c Th9c6d5s4c Ac8d6c2d2c 
QhJh4s4c2c JdTh8h5c2s Ah6h6d2h2d KdQd8h4h3h 
9s9h5d4h2s QsJh6c4h2c Qc9h7h7d4d QsJd9h4s3c 
AcKc7h3s3c Ks7s7h6c3d AdKs9c8h4h Ah8s8c7h3h 
Kd9d6d4h3h KhTc9d5d4s 8h7h7d5h4s KsQsTd6s2h 
JdJc8s8h2c Jh9s7c5s2c Ts9h6s4h2d KdTd8d7d4s 
KhQhTs6h2c 8h7s7d6s2h AcQh8s6s4s 6c5s5d4s3d 
AcJc8h3h2c QcJc5s2s2h AhJd9c4d2c Jh8h8c4c3d 
KhQs9d6h3h KcQdTs5s5h JcTh9h7h3h Ah8d7s6c4s 
Ad9d7c5d4d Tc9d4h4c3d AcJh7s3s3h Th8d6h6d3h 
Ad7s7c5c4c KcTs9d5h3s Qc9s6s6c2s AcKd7c4c2h 
KcQc7d7c3d 9s8h7s5d4s Th9h7d7c5s KhQsTh4d2h 
QsQc9c4c3h QsTs4s4h3h 7s7c5s4d2d AsQd9d8h2d 
KsQsTc4s2d Kh9h6c5h2c KdTh9s8h3c KsJd9d4c2c 
7h7d6s5s2d KsQhTd8h3h AhKh8s3c2d JhTc3h3d2c 
Kc7h6d5s4s Ac9c7s5c4c 9h7d6d6c5s JsTd4s4d2s 
Ks6d4s4d2c KhKc8d2s2d JdTh8c7h3h Ac8s7c5h2c 
QhJs8h7c4h KcJd8c3h2d Ah7c5c3h2h 8c6s6h4s2h 
AdKd8s3c2h 9h9c5d4c2h Jd8c6d4c3h Jc9d7s7h5s 
7s7d6d4h4c AdKcJc6c2s JcTd5h2h2d KhJh7h6h6c 
8h7d6h4c2d Jc8d7s7h6h Qs8s8h5h3s KdTd7d5h5c 
Js9h8h5d4c Kd6h5h5c3c Jd8s8c5s2c 8c6s6h2s2h 
Jd7s6d6c3c QsTh6h2s2h JhTd8h7h2c QsQc7s4d3h 
KsTd7s6s3s Qs8h5s4h3h Tc8s6s5s4d Jd8s8c7d5d 
AhJc5s2h2d Ah9c8s4h2d 8s6c5s5h2c AhThTc5h3h 
KdJc8s5d2h JsTc7h6d3c Jc8c5h4d2h Qc9s7d4s3c 
JsTh9d6s2c QdJs7c5c4c Qh9h9d7d2d Qc9s6h6c2s 
JsTc7d6c2d Js9d8d5c4h Qd8h6d4c2c AdKd7c3h3d 
7s6h6c5s2h 9s8d6c3s3c QcJh9s4c3d Ad9h4s3d2h 
KhQh9h6d3s KsJs9d5s4s Qd9s7d6d6c KhTh9h8h5d 
8h7s7d6d2h QdJdTh5d2d QcTc6h3d2h KhQcTd2s2c 
QsJs9s8c2d Qd7h5d4d3h QsQc9c5c2h JhTh6d6c2c 
Jc8d6d5h2h 8c7s7h4h3s Kc7d5s5d2c 8s5h5d2s2d 
JdTh5c2h2c Qc9s5s4d2c 8s5h5d2h2d JdTh8s4c3h 
Ts9h6s6h2h KhTc9s8c3d ThTc6h4s2s QdTs7c5d3h 
Qs9d6s6c2d QsTc9d4s2h KcTs7d6s3h QsQc9c4c3d 
AcKd9s4c3c JdTd4s3s2h Qc7s6d5c4c As8h7d6c4d 
Th9d9c7s3c Js9c6c4s4c KdJhTc7s2c AhQhTh7h2c 
AdJd6d5d4h Jh8h8d4d3c Ts8s6c4c2c QsTh7d5d4d 
Js9h8s7c4d Qc8c6h6d2d Kc7d6c5c3h JhJc9d7h3h 
KdJhTh3s3h 9s9c6h5h3h 9h8c5s3s3h Qd8h6s5h4c 
Qh7h6s4s3h 8c5s5d2d2c As9s8s5c2h KsTh9d5d4c 
Jh7s6c4s3h QhTc7c6s3d KcTc6h4c2h 8h8d7c4d3c 
KsKh8c2d2c JcTd9h7h2s AcTs9h3h2s Tc8h7h6c2h 
KsQcTd4s2s Ks8d7d6d5h 9s8h6c4c3h AdQc9s8h3s 
AhQs3c2h2d AhKs8d7d3c QsTc9h7c4c 9h9d6d4h2s 
KcJdTh7d2s 7s7c6s5c2c Ah8c4d3c2h Th9s5s5h2d 
QdTd8h6d2s 9d8s7s7h6s QsJhTh5h2h Qd7s6d5h2h 
Jc8h6h5s4d AdKs8h7h3c Qc9c7s7c4s QdTs7h5h4h 
Ah6c5h2h2c Td9s8c4c2s AhKhTc6h2h AcJd4h3h3d 
Ad9c8s7h4h KdQd7h7d3h Qc9c8d6c4h AdJs8d4d2h 
AdKd8h4d2s KhQh8d8c3d QdTc7d3d3c AcTh6s4c3c 
KhQhTh5s2c 8d7h7d6c4s Ks8d7s7h5s Qh7d5d5c3h 
KsQc6c2s2c AsJd7h6h4c AsQs9d3c2h Qh8d7d5s2h 
AdKs9s8s4s Ah6c4d3s3h KcTh7d5h2d Qd8c7s7d5h 
QsQh8c4s3d Qc9h5h4d2c KhTh9h7d2s AcQc6h4d3c 
KcTs9d5d4h Qs8d6h4s2d JsTdTc4d2h Td9c7s6h3h 
QcJs8h5c2d Tc6s6h5s5d Td9c6h6d2h KdQhJc9s2s 
QsTh9c5d3c ThTd8h3d2s JsTs9d7s3s Qc8s5c4h2s 
JdTc9h6d2s QdJs7d4s2h Qd9s7c4c3d AcQsJh6s2d 
AcJh8s4c2c QsQh8c2s2d JhTd8c4s3d 7h7d5d4s2s 
Qs7c5s4c3s Jd7s6s5c4h Jd9c8c5h4s 6c5h5d4h3d 
Jc8s5c4c3s QcJc6d5c3h QdJhTs6h2c Ah8h6h5c2d 
AcQh9s9d4h 9d8s6h3s3d 8d6s5d2s2h QsJc7c3s3h 
Tc9h6s6h2s Qs8c6s6h5s Qc9s8s4h3c JdTd6s6c2c 
QsJsJd8c3s Ac8c5d3s3h KsQc6d6c2d AdKs4s4h3s 
Ks8c5c4s2c QsTd9h8d3d KhTd7s6c3c Kc9h5s5h2c 
Ks9s6s4c3c AcTd8s7d2h KdJd8s8d6d Jc9c8s3s3h 
9d8s6s4h3h Ah7s7h3h3c JcTs7d5s3s 8c7h6c3h3d 
QsQd5c4c3c Qs9d5d4c2s Js8c6h5c2h Th9h9d4s4c 
Tc9c4s3s3d AsJd7s3s2d As8d8c5c4h JcTc9s8c4c 
Js9h6s5d5c QcTsTd7d3h AdKs5h5c3c Kc8s7s6s5h 
Tc9h9d6s3c QsJsTs6d2c Qd8d8c7s3s ThTc5h4s4d 
QsJs9s5s4h Ad8d6d5s2c AsKc9s5d2s AsQc3h2s2d 
JhTd8c7d3d KhJd7d3c2h Td8d6d4c3c Ks9d9c8c3d 
Kc8c7h4d3d Ks9h8s6d3c AdKs9s9c3s AcTh9h5s5d 
QcTh9c4c3d Jh9c7d5s4d Ad7d4c3s2s Jc8d7c4h3h 
AcKs8d4s3h As8c7d6h4d KsQs9c3d2d 8d7c6h5s5d 
AdTh6d4d3s KdQc9h5s5d As9d8s6c3s Qh6c5s4h2s 
Ad9h3h3d2c Ah8s8h5c2h KhQs9h3c2c AhKc9s6c3c 
Td9c6c5h4s JcThTc5s2c AhTs5s3h2h JcTh8d7h3s 
QcJd4s2s2c 9s9d8c7c5c Kh5h4d3d2s Qh9d7d7c4c 
AdQh7d7c3d QdTh9d6d2s AdQcJh6c2s Ac8h8d4s3c 
Kh6s4s4h2c JhTh9h8d4h KhJc8s4s4c 9h8c6c4s3h 
Qh7d6h6d3d QhTc8c6s3d KsTs6h3d2h QhQc8d7c2s 
JcTd6s4h3c AdQs9d7d2h AcQd9c5c4c AsQd7s7h3s 
Ah9h4s4c2c AdKc7d4s2d QsTs6h3d2h 8s8d7h6h2s 
JcTs9s8s4s Js9h8h5c4d KsJh9h9d3c KsQdJs7h3s 
Ks8h8c7s5s 7h7d5s5c3c Kd8h6s6d4c As6s5c4s3d 
Th8s7s5s4d Js9d7h7c5h QhJc6d3c2h 8c7s6s5h5d 
AhQs5d5c4c Jd8c7c6d2h QsJh7s4h2d KhJc8h3s3c 
Th7s5h5c3s AhKsTd4c2d Kh7d6c5s4s KhQc9s8d4h 
QsJd7h5h4h KdJcTs7h2s QhJhTh7h5h QcJc9c8c6c 
KsQs7s6d3h KdQh6c4h3s QhTh6s5d3h KdJs7s3h2d 
KcQc7d5c3h JsTs4d3d2c KhJh8h8d2d JcTd9s7h2d 
Js6s6h5d5c 8h6s5d3s3d Ks9h9d7s4c 7d6s6c4h4d 
KhQs4d3d2s KhQh7s5h5c QsTd9c5h3c Jd9h9d4c2c 
KsTdTc7h2s AsQhTd7d2c Kd7d6h5h2d Qd9h8h4c3d 
AcJd8s3s3d JhTh6s6c2s 8h8d7c4c3d Ts9d8h3h2s 
AcTc6h3h2c Qs9s8d5d2s 9d6s6c5c2s QcJhJd8s2h 
AcJs6c4h2d JsTc9s7s3s JhTh9c7h3h Qs9s8h5d4c 
QsTd9h5c3h QdJs8c3d2s QhJdJc3s2d QhJd9d5c2s 
AsTsTd6h2s KdJd5c2s2c As8d4c3s2c Qh8h7h7c6d 
9h9c4h4c3h QsTh8h5h4h Js9d7h6h2s Qs8d5c4d2s 
Qc8d6c4h2h 9d9c6c4d2h 7h7d5h4c2c KhJdTc7d2s 
7h7c6s5s2h KsQs6h6c4s Qc9s8d5c4h AhTc7h5h3h 
8s8h7h4s3h Ad9c8h6d3d AcTc6d4s3c Ks8s7c4h3h 
KsTc7h5h4h Ks7d6s5s3c Jd8s7s7h6c Kh7h5s4c3d 
Kd7s5d4c2s KsJs9h5s4s KsJcTh7d2h Tc9h6s5d4h 
TsTc5h2h2c 8h6d5h3h3d QcTd9h4h3s Td8s7d7c2s 
QcTd8s8h4d KdTd8d6s6d Tc9s9d6s4s QsQh9s5s2d 
Ah7c6s6d5d QcTs8c3s2s AhJh8d6c2h Kc9d8h7s5s 
Jh8h7c4h4c Ts9c8s4s2c JcTh7d4s4d AhQs7d6c4c 
Ah7h6h6d5h KdTs8h3h2d AcKh8d4h3s 7s6h6d5s2h 
Jc9s7c5s2c KcTd9s5h3d QcJs6s5h3s QdTd9c5d3d 
AcQh9s3c2d Ac8d7h6d4s JsTd6d4h3c KcQs9c3h2h 
AdKsQd6d2d Ks6d5d2s2c KcQs8h7s3h KcJc7s7d2d 
7h7d5s4s2d 9c8h7h6s4h Th9s9c6d3h JcTh9s5h2h 
Kh9s8s6d3d JcTc6d5c3s Qh6c5d4h2d Js9s5d4c2d 
AdKd6h2s2c Td9d7s5s2s QhJh8c7h4s 9s8c7c4s4c 
Ad9h7s7c5h AdJdTs3d2d QsJs8h7s4d Tc9s6h6c2h 
7s7h6s5h2h Th9s8s3c2h KdJh9h9c3s Td8c6s5c4c 
Qh9s7c5c2h AdQhTh7s2h AhKc4d4c3c Qs8d7h6h5h 
AsJs6s5s4d KcQd8d5d4h 8d7h7d6s4c KhTh6d3s2d 
JcTd9d8d4d Ac4h3d2h2c KdQcJh8s4s QhJh7s7d5h 
KcJs4h3s3h AdJs7h6h4c Qc8h6d4c2h KhQd9s6s4c 
Jc9d8s8h5c JhTsTd8h2h Qs9d9c5s4h KsQh6h6d4h 
QdTs7s3s3d AdKhQs8c3c JdTh8h4s3c 9c8h7h5h2c 
KsQs7h4d3c KcQsJd9d4d Ah6d3c2h2c AdKs9d4d3h 
9c7d6h5d4d 6s5d5c4d3s Jc6c5h4h3c Qc9h9c4h4c 
KsJh7c5s3s AsQs9c3h2d 9h7s5c3s3c AdKh9h9c3h 
QcJh5c4s4c QhJs8c5h2d Jh7d5h5d3d Qh7c6h5h4d 
Tc9d6d5s4h AcJs8c2h2d KdQdTh4d2s KsQc7s4h2h 
8h8c7s6s2c 6s6c5h5d4h KsJhJd4s2s Js8d5s4h3h 
Js7d6h4d3s KhQd9h8c3s KhJh7d7c2d QsQcTh7s2s 
Tc7c5c4d3d KcJc8d8c2d Jc7s6d4s3c QcTd7s7d4h 
QcTd8c4s3h Ts9c6h5d4s ThTd9c8c2s KhJdTs8s3s 
QdJsJd8h3d Ad9d6s3s2s KsQdJs7c3s Js9d8s7h4c 
KhQhTc4s4h Kc9d5s4s2c 9s9c8d5s4h KcJhTs7d2s 
Tc9d6h6d2h KdTs6h3h2d QhQc7c4s3d JhTd8d4c3s 
