Kh7d5c3h2d 
Ac8d6h5s5h Kh7d5c3h2c Kc8s5s3d2c Ad9d6s6h4d 
KdQhQdQc9h Jc9d7h5h4h As9c5s4h2d Kh5h5c4h2c 
7h6s6h4d2d KsJs6d3d2d KcQd9d3s2s Qh9s5h5d4c 
QhTc7s6c3c Qs6c5s5c2c KsKdKc6d4s AhJd9d4s3c 
JsTd8d6c3d AcQs8s7d3s Kc9d7h6s4s JcTh6d5c2s 
AsQd5s3h2s Jc6h6c5h2d 9s8h6c5d2s QhJh4c2h2c 
Td7c6d5h2c KcTh9s4h3d Qs8s8h5c4s Jc9s7h6d4h 
Jd7h7d5s4d 9h8c6c5c3d Qd9h8c3d2c QsJh4h3d2d 
JsTc3s3c2s QhJh9s5c2h Ah7c5d3s2h AcQd9h5h3h 
KhJh6h4c3d JsTs9c6h2s Kd9c7h6h4s Kd9d5s3h2s 
Jh7s6d5s2h AhQs9d6c4c AsKc5d4h2d Kc9c8d4h2h 
QdTh8d7s2d Js9d6d5d4c Ks9d7h6c4c Qs9d6h5c3d 
KhJd9h9c3h Qd5s4h3s3d 8s4d4c3s3c Ks6c4h2s2c 
Js9s8d6s4c QsQc7h4c3c JsTs6s6c4s Qh5c4h4c2s 
Jh9c8d3h2d Kd9h9d5d4c Jd9c8c5c4h AsKh7h6h2c 
QsTs8c7s3d Ts9h7d4h2s Jh9c8s7d4d Jh9s9d8d3c 
KdTh7c4h2c TsTc5d3h3c JsJd7c5c3c AdQh9c7c3c 
Kh9h5c3s2c KhQc9s9d2h Jc9s8h5d3s QcTh7c3h2d 
As7c5h3d2s Qc7h6d4h3d Qc9h6d5s5h Ts7h6c5s5d 
QhJs9c8c3c Jc8c7d4s2d Td9d8c7h2d Kc6h6c4c2h 
KcTs6c3s2c AcJs8d7h3h AdQh9s7c3c Tc7h7d5s4d 
Kd5h5c4s4c Jc5h5c4s4d QdJh9s6c2h Tc7d6c5s2s 
9s8h7h4c3c AsTd8c6h2d AdJh8c5s3c QhTd6s6h3h 
QhJd8h4c3s Tc9s9d8h4d AdJs9d4d3d KcTc8d4h2s 
AsQh6c5d3d 8s8d7s4d2s AhJd7s4d2s KsQh9c7h3d 
Qh9h9d7s4c AdTs8c6s2h Th7d5c3d3c Kd6s4d3s2h 
Qc9d6s6h5d Jh6c5c4h2d KsQsQdQc9d Jc9d5d4c2d 
Jc9s8c4c2s KhJh8d5c3h Th8s8d7d4d Qh8s6h4h3s 
KhJs8c5h3h Jh8d7c5s5c Kd6s5d4d4c Qh9d8s3h2s 
Td9c8h6h2s Qs8d8c6s4s AdJh8s7c3c Js7d6d4h3h 
JhJd7s5s3s KdTs8s6h3c Ts8s7c4s2c 8h8c6c5d2c 
QsQh7c4s3s KsKhKc6h4s JsJd9h5h2c Ac9d6h6c3c 
Jh9s8h6h4d Kh7c5s3h2c Kh6s6h4c3d Kd9s8s8h5c 
Kh7h5s4h2s Qc8h6h4c2c JsTh8h6c3h Tc7s7d5h4s 
AsQh9d8d2d Ks9d9c6s4s AhTs5d4s4c KhQcTs8s2s 
JhTd8c6c3c 9d8d7c4c3d Jc9c6c5d3s QcJc8d3d2h 
9h9d7h4d2s Qc9d7s5c4c Kh9c5h4c2h 8s8c6s5s2h 
Kh9c8h4s2s QcJh8d7c3s Tc9h9d8s4h Ts9h6h5h3d 
Qh9c8h3s2c Jh8s8c5c4c Ts8d8c7c4c KcQc9d5c4c 
9s7d7c5h3c 7c5h5c3s3c AcJc9h6s2c QdJc9h6s2c 
Th9h9c5d2s AhQs6c2h2d Kc9s6h4d4c QhJc7c5d3c 
KcQs8h5s5d Jh9d6h5s4h JdTc4s3h3d AcQc6s4c2h 
Kh9d5c4d4c KsQdTs3s2c Kd9d8h3h2s QsJc8s4h3d 
AcQs5d4d3h Kd6h6c4c3h Ac9h9d6h2d Td9s9c8h3s 
Ac9c7d7c2s QdJd6d4c3s Tc9c6d5h3c QdJc8s7d3h 
9s6d5s3h2h Jd9h7c5c4c KhTh8h7s2c Ac9h4h3c2h 
AhQd9s6c4c Ks9s9c8d2h Kd9h7h7c5h Jc9h7h3h3c 
Ks9h6d2s2h AdQc5s4c2h Th9c8d6s2s Qs9s8d4d2h 
Ac3s3h2d2c Jc8s8d4d2c KcQs9h7s3d Ts9h7d4s2d 
KhJh9s6c2h Js9d8d3s2s 8d8c6d5d2s Jh8h7c4s2c 
9c5h5d2h2c QsJc6h6d3s Kh9s4h3s3d AsKsTd3s2s 
Qh7h6h5c3s 8s6s4h4c3c Kc9s5c4s2c Qd8h8c4d3h 
QcJs9d7h4h AsQd9h5c3c KsTh4d3h3d Js8c6d4s2c 
8c6h5c4s3d Jc9c6d5c3s QhJd8h2h2d AcTh6s3s3h 
9h9c7s3s3d Kd8s8c5s3c AcJh5s4s4d QsQh4d3c2h 
AdQh7s4c3h QdJc9c6h2s QcTd7h6d3d Kd9s8d4c2c 
KhTs6s6d2d KhQs4s4d3c KhQh9h8s3d QdJd9h6c2s 
AhKsKhKd4h JhJd7c5h2s Jh8s7d7c5s QhJs9h9d2h 
Ts8s5h5d4c Ad5d5c2h2d QhJh5h4h3s Ks5s5d3s3c 
AhTd6s6c4d Ad8s7c4d3d Kc9d8c7h4c QcJc7c5s5h 
Ts9d8h5d3c KsQd9c8d2h JsTh9c6d2c 9s8d7c6d3h 
Qc9d8h3c2h KcQdJs6d2d 9c6h6d5d4s AdTh6c4h2c 
Kh6h4h4c3c Kd8s7s5c4s QdJc7d7c2c Ks6d4s3s3d 
Qh8h8d5h4c AcJd8s7d3d AhTs9s9h9c JhTh8c7h3h 
KsTd7c5d3d Kh9d7s6c4c JhTh7h5h3s AhTs6d3s3d 
KsJs8c3c2d Td8s7h4h2s KdTs4c3h3d Tc9h8s5d5c 
As9h3h3d2s Jh5h5d4d3c JdTh7s4c3c Jh9d6d5c3s 
Jd8h6c4d2h KdQh9h8s2c AdTs5d4d2c QhQdJd7d2s 
KsQh7d5c2s KdQd9c5d4d Jc8h6s5s4s AcKh5d4s2d 
Td9h6h5h3c Qd8d8c5h5d As8c7d4d3c 8s7d4s4d3c 
Jh8d7c6c2d KsJh9c8h2d KdTc6s5h3h KcJc9h6d2c 
AhQh4h4d2s Td8h6s6c4s TsTd9c8c2c Jd8d8c5d4d 
QsQdJs7c2s JcTd7d3c2c AsKh8h8c3h Ts6d5s5d3d 
Ts9d9c4h3c AsQd6h6c4c Kc9h8d5h2d AsJs7s3h3c 
Jd8h8d6d4s Ad9c7d6h2d QcJcTc4c3c JsTh3d2h2d 
AdTc9s6h2c Jh8h6d4d3d Js9s8c4s3c JsJd9h5d2d 
Ah9h6h5s5h Ad6h5h5c2c QhTs8c6d2c Th9d8c7c2s 
Th9s9h8c4h As9s4h2h2d KdTc5h4c3s AdQd8h4c2d 
KsQc9h9d2s 8d8c6h3s3d Td9s7s3d2c 6h5c4c2h2d 
Jc9d8h3c2h Kd7c5h3d2c As9s4h3c2h KcQc9s8d3c 
Qd5d4s3s3c QsQh6d6c2c QcJc9d9c4h Qc7s5s5c2h 
AhQs4s4d3c 5s4s4d2h2d Qc7h6s5d3c 7s5s5c3s3d 
KdQd9s8c3d KcJsJh8c3c Tc7s7c4d4c Qh9d7h6c4h 
Ah9d9c7h2h JhTd8d6c3d Ah9h8s8h2h 8h8c6c5c2d 
AdTs6h6c4c Ks6d5s5c2h AcKs6h4d3h KcQsTs4d2s 
Jh9d5c3h2d KdQdTd2h2c 9h7d7c5s3c Kh9h8s2s2c 
Kd9s4s4h3d Ad7h5d2s2c Qd9h8h3d2c JhJc8c3d2d 
KhQhTh2s2d Ac9s8d5d4h QdTs8s6c3s QdTd8c7d3h 
9c5s5h2h2c JdTh6s4h3h AsQcJc7h2c AdJc9s9h2s 
QhJh8s6c2d KdTc8c6s3h 7h6d6c5s3h KcJc6c4d3h 
Ac9d8c4s3c AsKc7h6c2c Th7s5d3s3d Qs9h5s5c4d 
KcQcJc5h5c Tc9h7s4d4c QhQc7s3s2h Ks9c6d4s4h 
Js9h5c4h2c QhQc4h3s2d QsTc6s6h3s AhKsKdKc7h 
AsKc7c6c2d JsTh6d5s2c 8h4s4d3s3h ThTd5d5c3s 
QsTd4s3d2d AhKd7s6d2d QsJh7s5s5d KcJh6c4d4c 
Ac8h7c6c2s Kc9d9c8s2h 9d8h8d6s3c JdTc9s7s2s 
Tc7s7h5d4h KhQs9c7s3d AdKsTh4h2h QsJs9s5h5d 
Th6d4s4h3d AsQs7c6s2d QsTh5h5c4h Ah9d7s4h2c 
Ac7h5s3d2c 8h6c5d4h2s JhTh8h6c2d QhQd7s7d2c 
Qc9h7c5c4s QhJh8s5d2h KsKhKcTc2h Tc9c8c6d2s 
7d6h5s2s2d 9s7s6c2h2c As9s6h6d4s KdQs9c7s3h 
Jd9c8s6h4s KdTh8d6s2d Jh8s8h4d2d Ac9h8h7s2d 
Jc9d7d5s3d 6s6h5h5c2h Kd7h6c2d2c AhJh9h6s2d 
Kd8s8c6s5s KsQd7d3s2s Th9c8d5s5h Td6h5d4c2h 
AdQs6c5c3h Td9h8d8c4s AdJc8s4s4h Ac9c7h7c2s 
KdJd9d5h2c Th8d6d2h2c AhJh4s3h3d Ts9c8d7d2h 
AdTh8s7s2s Js8d6d4s2d Th8h8c6h4h AhQd6s6c4c 
QdJhTc7c2s Td9d8d4s2s Ks9s9h7c4s Tc8h6h2d2c 
QdJs8c7h4h 5s4s4h2h2c 9h8h7s4s3h QdJd8c5d3h 
AhKs9s9d2s QdTd8d7c3h QdJd8h5d3c KdJsTd7d2d 
8h8c5c3h2s JcTh7s3h2s Qh6c5h5c2c Ac7h6s5s3d 
As9h5d3h3d 9h6s6h4h4d JhTh8c4d3h Ad9s8s5c4h 
Kc8c7c4h3h 6d5h4s3s2h KhQs7h5c2d KhKd7h3s2h 
Ah9d7d5c3s KdQd9c7s2h 9d7d5h4c3s JcTd9s6h2s 
QhTc8c5s5d AcTd5s5h4s Js8h8d4h2s KsKh9c4d2d 
JhTc8h6s2h AhTd4s3s3d Jh8s8d4d3s Kh9s9d6d2s 
JhTc7d4s3s QdJd6c4s3d Ad8c3s3d2s KcQdTh7c2c 
Ts9c6s4c2s As9s4c3h2c Ts9s9c4h3s 9d8d8c5d3s 
QhJd6h4s4h Td9d7s7d4h Jc9s4d3d3c JhTh6c4h3d 
9d9c8s5d3h Ah9d8c4c3d Jh9s7s7h2h Jh9s7s5d3s 
Kd8s8c5c3s KsQh9h3d2d AhKs4s4d2s Ac9s4s3c2s 
9s7s6c2d2c Kd8h7c2h2d Qs9d7c3s3c Qh7c6c3h3d 
AsQh9d5d3d Th9s5s3c2h Tc9c6d5c3h Ks9d4h3s3d 
8s4h4d3s3h Tc9h8s5d3h Tc9d7h4c2h 9d8d6d5c3s 
As9d7s3h2c As9c7c6h6c Ts9d8c7h3s Js9c8h6d4d 
Kc8s6c5h5c Qh6h5s4d3c 8s8h6c3h3d Qs8h7c6d4d 
9h8d7d4s3s Th7d7c5c2d AcJs9c6c2d Jc7h7c5d2d 
9c8h6s6h4d AhQs5c4d3d 8s8c6h4d3s Qc5s5c4d2d 
Ac8d6s6h5d AhKs7c4d3c Jh7s7h3s3d Ac9c5c4h4d 
