QdJd7d5c4d 
AsKh9c6d4d AdKh8s7c3c Kh9s8c7s5s Kd9d8c4c3c 
KsTs8d6s3h 9c8h6d4c2h KhQdJh6h2s QhTc8d5s5c 
JcTs7h6s3s Ac4c3d2s2d Ks9d4s4c3c Kc9s9h5d4c 
Qh5h5d4s3s Ks8c7d4s2c Qh8h8d7s2s Ac9s9h4d3c 
8c6s6c4d2d JhTd9h3s2c Ks9s7c6s3h Jc9s7h5s3s 
QsJs9d7s4c KhTc5h4s2d 7d5h4c3h3d ThTd9s8c4s 
Kh9s6c4s4c Ad5h5d3c2s QdTs8h5s5c Ac8c6h5s2c 
7d6c5c4s4h AdJc5d2s2h KhJh5h4c3s Th9d6d4h2h 
Jd8h7c5h2c Kd9s5h5d2s JdTs9h6s2c AdQcTh6s2h 
KcTc8h6c3s 7s6s4h4d3h JcTc7s4h3c JcTsTd6h2c 
KsQc3h2s2h 9h8h7s5d3c TsTc7s5c2s Td8d6h6d4s 
TsTh6d4d2s JhThTc4h2d QsQh9s4d2c AcTc7s7c3c 
KcTh9h8h4s KcTh9d3s3c KcTd5c4h2s JcTd6d2h2c 
AhTc5h3s2d Ac7h3s2s2c KcJd9s6c2h Qc9c6s6h5c 
QhQc5s3h2d Qh9h6s6c5h Jh9h9d6h5h QdTs8h5d3d 
Ah6d5c4c3d Ks7c5s3s3c QhJs9s8s2c KcQh9d8s4h 
As6s5s5c3d AhQd9d6d4s JhTh3d3c2d AcKc9c6s6c 
AdKd9d6d6c JdJc8h6s3c AcTh9s4h3d KdJh8d5d4d 
QsQd5h3d2c Jd9d8d5h4s Qh9s5c4c3s ThTc7s2s2c 
QdJc8c7c4h AhJs7d4s4c KdJh6h5h4h 9s8h7c3s3h 
Qd8d7d6h4s QhJc9s7c3d QcJd8d7d4h Kc6c5h4c3s 
Ts9s5d4h2h JdTs9h6c2d 9s8c6c2s2d Qd4s4c2d2c 
KdQcJs8h2c AsJd8d7c3d Kh8d7d2h2c JdTs8h4s3c 
KdJh6s6h5h AcJs6s6h4d QdJd9h8d4s QdJhJc8s3s 
KdJh8c5c4s AcKh9h6h4h KhJs9d6h2c JdTc6s6h3d 
Js8h7s6s6d AhTd5h5c3h KhQc9s6d2h QhJs6s6c2c 
AhTs8h2h2d 7h7d4d4c2c AdThTc7h2s Ac5d5c3d2c 
Ad9h4h4d3d JhJd4d3h2h 9d8h6c4d2h Kd6d5c4d3s 
Qc9c6c5d3h AhJh8s4d2h QsQc7d4h3s QhTd9h5s5h 
QcTs8h5c3c KsJd3s3d2s 9s8c5d4c3d KhQh8h8c5s 
Th9s9h3s2h KhJs8c6c4d AhJh6c4d3h 9s8c7c2s2h 
Qd9c8s6c4h KhJhTh9h2h 9c8s8c6d4c TsTh5d5c4c 
AdTh7c4c2h 9s8c5s4d3d QhJh9c7d4h Qh7c6d3h3d 
KhJs6s6c5s Jd8s5s5c2d Ad8c4c3d2h KhJs9c6h2d 
KcJs9s8h4d AcJh8d3s2c Ah9d7d5d5c 8h7h7d6c2c 
AhKhQh7s2h JcTd4c3s2s KsJh8h8c5h Qh7s7h6c4d 
Ah9s9h4h4c KcQd5c4c2h QhQd9c5s2c KsJc6c5c4c 
Kh8h6h4c3c AhQsQhQd7s KhQs7h7d4h Jc9s8s4d3d 
Jh6d5h4d3h AcJd7s4h4d QcJc8h2s2h AcQc8h4c3d 
KhJh9h8c2d 7d6s6d2s2h Ks9h9c5d4s 8s7h7c2h2c 
Qc9c7h5d2h AdQc5h5d2d Jc9d7h6h2d AcKhQd6d2d 
Qc9d7d5c2d Jd9s9d5d3h Jc7s7c5s2h QcTc6c4s4d 
AdTh8s8h2c 9c8h8c4s3s KcJd9c8s4c JsJd9d4d3c 
Ks8c6d4d4c AsTc5h2s2d Jh9d6s5d2s KdJc7c6h2h 
Jc8s6s4c3d Jc7h6d4d3h Kc9c5s5h2s QdJdTc7d3d 
QsJh9c8c3d QdTsTd7c2h QsJc9s6h3s KsTc6s4d2h 
KsQsJc8s3d As8d8c5s3s As9s4s4d3d QdJc6h6c2h 
KdJs9s7h3s JcTd4c2d2c Qh6d5d4h2h JcTd6h6c3s 
AhQh9c4h4d QsTs8d7c3s 9s8s8h7s5s 7d6d5h4h2h 
Qs8c7d6c4h Qs9s7s7c5h AcKdQh6h2h QdJd8s4s2d 
QsTh3s3c2h Qs8s7s6h4d AhKcTs6s2d KsTc8c5c4h 
QhQd9d8d3d KcJd9d7s4d Th9d4c3d3c Js9c7c5d4c 
JhTh9s4c2h AcKsTh6d2h Qc9c6h5s4c Jc9s8c3s2d 
KdQdTd4s4c 6h6c5c4s3d Js7s7h5h2d JdJc8h8c3c 
KcJc9d8h3c QsQc7c3s2c QsTh5s2s2h KcQsTh6s2s 
Ks9h7d4s2h 9d8d7h6s3c Tc9c6c5s4h KsQcTd7c2h 
Qs8d7s7d2h 6d6c5s5h3d 9h8c5c4h3h JcTh4c2h2c 
AdTh7c3s2d Qh8s7s7h2c ThTd7d5s3c Jd9d6h5d4s 
Kd9d7s5c4d ThTc7h5c2h AsJs8s7s3d Ac8c6s6c5c 
Jd7c6s5h4s JsJc8d6h3s Kd6d5h4d3c AdQs9s6c4s 
QhQcJs3s2s QcJd5h4s4h Js7h7d6d3h Jh9d8s4s3d 
Jd9d9c5d3s JcTh9c3s3c Jh8s6d6c5d QsTc8h6h2d 
Jh9d8d6d5d Ts8s7s7d2d AsTh5c3d2s Jh9s8s4d3d 
KcTs7c3s2s QdJs8h5s3s 9h8h8c4c2s Jh7h7d5d2c 
Js9c7s7d2c AsQhJh7h3h JcTs8c7d2c Ac9h6h6d3d 
9h6s6h4c3s AhTc7s3d2h Js9c6h5c3d QdJdTs4d2d 
KhJd9d7c4d ThTd6s2s2d 8c6h5h4d3s KcQs9s5s4h 
As9h7h5h5d Jd8c7h7d2h JhTd9s5s2c 6s6d5s4h3c 
QhJh8c6s3d Jh9s8h4d2s Kc5h4s2h2c 8d8c4d4c2c 
7s5d5c4d3c Th8d5h4c2c Jc9h5s4c2s KdQdTc7d2s 
KhQsTd7s2c Qd7s6c3d3c Td9d6c4h2h KdTd8c6d3s 
8h7h6d5c3h KcJc6c4d2d QdJdTh7d3d Tc9h4d3h3d 
KdJc8c6s6h JsTs8s4c2h KcQd7s7d4h Kh8h6s5d3c 
KsQs8c7s4d Ad9h6h6c3c Tc9c6s5d5c QhJcTd3s2s 
Ad8c6d5d2s Jc7d5c3s3d Kd6h5s2h2d Qd8d5c4c3c 
QhJc7s6d3h 6h5d4c3h3d AhQd9s7s3c KsTd8h8c5c 
Qs9d5d3h2s Ac8h4c3s2s Kc7d6d4h3h Qs8d6h5s3c 
Ah8h8d7h2c KcQdTc3h3c KhQs8d6d4c Js9h9c5d3c 
Js9s8s5d4h AsKc5c3c2h Ac7h7c6c4c KsTs8s5h3c 
JcTd7s6d3d Td8d8c7d4h JsJc5s5h2d Td7h7c5h4s 
KsJc7c6h2h Qd8s8c7d3s QcTh8c5c2d QcTdTc7s2h 
9d8s5s5d3s Td9d8s3c2c KsJh9c7d4c KcQc9d4c2d 
Kd7h6c5d3d Ts7h7d6h4c AhQs9c6h2h KcQs8c7c4d 
KdTd9s7h2d KcThTc8c4c AdKc4d2s2d Ts8s7h6s2h 
Ad9d8d5d4c KcJsJh7d3d KcTd7c3d2d Kc8d5h5d4h 
Th9h8d6h3s Jh8c7s5c2s AdTs7h3d2c 7h6d5s4h3h 
KcJd9c8c3s 7h6h5s4h3c Th9h6d2d2c JdTc7s7h3d 
Ks9h7s5s2h 9c8s6c4d2s Td6h6c4d3c QdQc9c8c4c 
Th8d5c4c2d QhTd7s5c3d AdQh9s7c3s Ad5s5d3h2c 
Ks7d7c5c3d AcQd9c4s4c Qs8s7s6d4c 8c7d7c6s2s 
AhTs5d5c2h Kc9h7c5c3d JsTc5h4d2s Kh7s6s4d3d 
8h8c7c5d3s Ks8s6h5d3c KcJc9s8h3c JdTs8s7s3c 
Jh8h6s4c3c Kh7d5h3h3d QsJd6d6c2c KcQh5s4h2d 
KdTs9h8c2s TsTh6d3h3c AhKs8c5c3d Kc8h7c4d2h 
Qd8s8c4s4c Qh8s8h7c2c JcTc6s6c2s AdTc8d2s2d 
Jc9d7d5s2s AcTc8h2d2c Qc8h8c5c2h 7s6s4h4c3h 
Ah9s4h2s2c JsJdTs4s2s KdTs6s4h2h 6d6c5d4d2c 
TdTc9d4h3d Ks7c6c4h3h ThTd5s5c4s TsTd9h5h4h 
Kc8d6h5c3s Kh9h9d6h5h Ac8d8c7c2h QsQh9h4c2d 
AhQh7s5h2c Qs9s8h6d3c Js9h9c5c3d QhQd7c6s3s 
QcTdTc5c2s Ac9s7s5s5d KcQs5c4c2h AcQh6s5h3h 
Td7h6c5h4h AcQc6d6c4c Kh7s6s5d4s 9s6s6h4d3h 
TdTc9s4h3s Qh7h7d6c4s Jh9h7h4c3c Jh9h9d5c3h 
AdQd8s2h2c Kc9d7c5c3s Jd8h6d4h2c KhTd7d3h2d 
QcJh7h5d3s 9c8d6c4d3c KsTs8d6s3c Kd9h7d5s5c 
KdTc9c8c4s Jc8s7h7c2h JcTc3s3d2s KhTc3c2s2h 
Qc9h7h7d2c Ac8s3d2s2c Kh8h7c4s2c Jh9c7s6s2c 
9s9h6h4s2s Td9s5d4h2s QcJs6c4h4d JsTd6s4s4h 
Jh8s7c4h3s ThTc7c5s3d QdJh9d8s3d KdJc9s6d2h 
Ad8d6s5h2d Ts9h7h5h4d TsTh6c2h2c Jh9d8c5s4s 
Ah9c5h4h2c QsJc9c8c4d 8d7c6s5h3d Td9d8s5d4h 
QhJh6c3d2c Js7c5h5c3h Jd8s7h7d2h JcTs9c7d2c 
JcThTc6s2c Tc9s6s5s4d Ks6s6c4s4d Js9c5s4c2c 
QsJh9d8c4d Ks9d5s3h2d Tc8s8h5h4d KdQdJd6s6d 
Kc5h4c3h2h QdJs7h6c3d KcJh8d3d3c KhJc8s6s4d 
JdTs3c2s2d Jh9s9h5h3d QsJd7s4d2d Th9d7d5s3c 
Ts8c7h5s5d KcQdJh6s2d Kh9h6s4c2s Tc9d6s5c4c 
AhQh6s6h4h KsTc6c4h2h QdTd7h7c2h QdTd9s2h2c 
Kh9d8c2h2d KcTh6s4d2c 9d6s5s5d2c Jd6s5c4c2d 
Kd7c6c5s4c Th9d7d5c3s KhTc6c5d3s KhQs6d5c3c 
TsTc7s5h3d KdQdJd9d4s Qs8h8d5d3h KcQsQc7c2h 
Th9d5h4c2d Qc7d7c6c5s JcTs8s7s3h 8c6h6c5s4c 
AcQs8s7s3h 9c8h6s5d3c KsQd7d7c4h QdJc8s2s2d 
Ad9d5c4s4d KhTd9c8s2d Qd9d6d5c3h QdJc9c5c3c 
Jd9d7s5s2d Ad8h7h4c3c As7h3c2s2c Th9h8c6s2d 
Ts9s8c3d2d Td9c8d3h2c KcTc8c5s4c KcTc7d3s2s 
AdTd8d6d3h Ad6h5s5h3s KcTc8h5c4c AhTd7c5c3s 
Kc8h8c3s3h Js9c8c6c5c Jc9h8c3h2d KsJh5d4c3h 
KcJc6c4s2s Td9h8c3c2h QsJs9c7s4d As8s6c5d3s 
JsTh4s3d2d AdTc5s5d3d Kc6s6d5h3c KsJd8h4h2d 
AsQc9d7h3d JhTh6s3s2c Qh6s5s4h2h QhQd9s5c2s 
Td8s7s7c5h 8s7h7c6s2h JsTs7s5s5d Td8d6c3s3c 
JhTh5d4s2c JhThTd6c2h AcTc7s6h2c KcJd6h3h3d 
Tc9h8s8d5c Qd9d7h4s3s Ts9c7d6d3d AhQd9d6s4d 
8s8d7c4h4c Jd9h5s4d2s Ts8h5h4c3c QsTc9c6c3c 
As5h4s3h2s Th9c8c4s2s AdQd6h6d4d KsQd7s2d2c 
AcJd4c3h2s Jc8d8c6d2d Kd9c8h7c5c 6h4h4c2d2c 
AsTh7c3d2s Kh8h6h4d3d Tc8c6h3h3d KdJc8s7d2h 
Jh9c8d4d2h QhJd9c8c3s Kd9s8s7h5s KcJh9c6d2s 
Jd8h7s5s2h AsTs7s7d3s JsJc9d6h3d Jd7h6s5c4s 
Kc9h9d6h5h QdThTd6c2d Ac9d4d4c3c QdThTd7s2c 
Kh9h6d3h3d Ac7h3s3c2s JcTd9s6d2h AhTc9c4d3s 
KdTd9d8d4h Jh9d8s5c4c KhQdTh4h2s QdTd6s4d3h 
Jd7c5d3s3c KcQs9h6d2c Kh9h7s6h3d Js8h7s7c2c 
Qd8s8d5d2s QsTd9d6d3d 9h9c5h4s4d KsTd3d2s2c 
Qs9s5d5c2d KsJc6h6c5c QsQd8s6s2h Kh9c6s4s4c 
Js9h7s7d2h KcQs7c2s2h Kh9d8d7c5d QhQd7s4c3h 
QdTd7d6d5d AsTh8c7d3d Td9d6h5d5c Th9c5h4d2c 
KhJdTs3c2d Tc9c6s5h5c Jc8h7h5s2s AhTh7s7h3h 
QsTc5s5h3d Jc9s7d5s3s KsQhTc6h2h AdQc9s6d2d 
6s4s4c3h3c Ts9s8c6h2d QdTc8d6d2h KdQd6d4h3c 
Kh7c6c4s3s AsTd5s5c3s 7s6h5d4d4c Th8s6c5h5d 
AsJs8h4c2s AsKcTd6h2d QhJh9d8h3s Td9d8h6d2s 
Jd7h7d5h2s Jh9c7h7d2c Jd8d7d5d4s 7h7c5d4c3s 
Kd5c4s2s2d Th9h8s6h2d AdQcTc3h2c Ac6c3s3d2d 
Ac9s6s6h3h KdTd8s6d3c Js8c7h6h2s JsTh4d3h2d 
KhTd8s8c5c AdTc5d3s2h Td6h6c4d3h QcJsJd3d2d 
KcQhJs7h3h AsTs9s6s3h KdQc6h5s3s Kh9c6c5s2s 
QhQd8d6d2s Ks7s7c4s3c Jd7h6c5s4c Qd6s6c5c3s 
JsTc8s6s3d Jd9c8s5d4d QsTs8h7c3s Qs8s7h5d4s 
KdQs6c5h3h QcJs7c3s3d Qc8s8c7d2d QsJd4s3d2s 
Ts9h4h4c3c Jc7c6h5c4d KhTh8s6c3h AdTs7c5c3h 
8d7d5c2h2c KhTsTc6d3d Th9d8d7d4c KdQdQc7d2h 
AcKs9s6s4s Qs9s7s7d5c Qs7s7d6c5s KdJcTc4c2s 
Jd9h9c5c3s Jc9c8s5d4c QhTsTh5h2c Qs8s7s6h4c 
KcQc8c7d2d Qs9s8s8d6s QsTs9h7s4s KcTc5d5c2d 
KhJh9d8c4h KcJc9s5c3c JdTd8d4s2c KhJs9s8d4c 
8c7s6h3s3h QhQd7d3s3c Kh9d7s4h2d 8d7s6h4s2h 
Qs9h8h7c3c AsTh7h5h3c JhTs7s2h2d QcJs8h2h2c 
Qd7h7d5h3d Ks7c4s3h3c Ah8s6c5s2c KsQs6h4s4d 
QhJs9c8d4c Jd8s6d4s2h KhJs8s8d2d AsQc5s5h2s 
AcQs5s3h3d QcJc9h7s4c KsQsTs4h4d 7d7c5s4d3h 
KhTs9c3h3d Qh8d7s5s3d Ah5h5d3s2c Jh9h8c5d4h 
AcQh9d7s3d Js6h5d4d2s 9d6c5c4h2d 9c8d5h5d3c 
Th8h5c4c3c Jc9s5s5h2c Td9c6s5h5d QdQcJs7h3h 
KsQsQh7s2c Qd9s5h4h2d Qd8d7s5c4d Qc9c8h8c6c 
Kc8s7h6s3h Td9h6c5d4d Ad9h8c3d2s Td8h7s5d5c 
AhKdQc8s2s Kd9s9c7d3h QhTs4c2h2c Jc8s6h6d5h 
KcJh9d9c2c Jh8c7h6h6d 7s7h4h4d2d 8c7c6h6c5d 
Qs9h6s5s3d AcTh9h4d3s Qs8c7s7c2d Jh8c7h6s6h 
Js9h6c3s3h KcQhTh7s2d JhTh7h6h5h QsJs9h8d3s 
Ks6s6d4s4h Kh9c8s2h2c AhJh6h4c3d Qs5s5c4h3h 
Qc9s5d4s4d AcJc6c4s3h AhKs4h3d2h Td8d5s4s3d 
9h8c7h4c3s Kd9s6h4s4h JcTh5c4c3c KhQs9h9c3d 
Th7c6h5d3s Jd8h8d6h2h AcQs7s7d2d KsJcTd3h2c 
Jh8d7s6s6c 7h6c5h4s4d 9c6h5d4d2c KsKd8c4c3c 
Ad8d6c5h2d Qc5d5c4s4c Jd9d6c5c2d KhTc7d5s5c 
Jh6h5s4h3s JhJcTc6s2c QcTh6s6d3c KdQdTh7d2s 
Th9c8s7h3d Tc9s4s4h3h KcQhTd3h2s Tc8d5c3s3d 
6d5c4h3d3c JdTs6h5h3c Kh5h5d3c2d Kh7d4h3d3c 
Tc9d7d3s2c Td8c5c4d3d Ks9c7d4s2c JdTs9c6h2d 
9d8c5d4c2h Ts9s9d3d2s As9s8s6s6d Qs9d8h5s4s 
Jh7c6d5d4s Jd9h8s4h2d Kd8c7h6s4c AhQs5h5d2h 
Kd8d7s5h5c AdJsJh6s3c QhJd5d4d4c AdJd9h9d2d 
JdTs8s7c3s AdQd8s4d3c 7h5s5d4d3s AcJc6s4d3c 
KhJsJc7d3d KcJh8h8d2d Th9h5d4c2c QdTd9h2s2c 
Ah5h5c3d2s QsTc3d2s2c Ah4h3d2s2d AcTh5d3s2c 
8d7c6h3h3c Tc7d6h5d4d AcTs5h3d2c ThTd9d4d3c 
JhJc9h4h3d Th9h9d3d2h KcTc8d6s3c Ac7s3h2h2c 
Ts7c6d3s3d QcJc8c6d4c As7c3s3h2h JhJd7s4h2s 
QhQd8s4d2c Tc8h5c4d2d AhJs6s6c4d Qc9d5s4s2c 
KcTc9c8c4d Js7h6c5d4c KcTc8s8h2d Td9h9c8c3s 
QsQd9h7c3c AdKdQd7d2c KsTs7h3c2c Jc8d7h7c3d 
KdTh8s4s2h Tc9d7s6s3s Ac6d5s4s3d Th8c7d5d2c 
Td9c8s5s4h 9c8h6h2s2c KdQsTh8s2s KdTd9s7c2d 
QhTh8s7d3h Tc8d6h6c5c KsTc8c5c4d Ah8c7h5h2d 
Tc9d8c4d2c JhTh9d4s2h KcTc8d6c3h Kh9h9d2h2d 
Kc9d7c5c2d AhKh4h4c3h AhKc9s8s2d KsQd9c5h4c 
Jh9d7d5c3s AhTc6c3h2h AcTd8d6h3s Qc8h6h3d3c 
9s8h6h4s3h 9s8c6d4s2c QhJc6d6c2d 9s9h5s4d4c 
9d8c7c2h2d Jc9h6s5h2s QsTs6d3d2d KdJh6s5s5c 
TsTh9h4h3c QcTc4h3s2s JhTh8c5d2h 9c8s5c4h3h 
Ad7d6h6c2s QhJd7s3s3h QdJd8c6s3h Kd9h4d4c3c 
JsTsTd4s2h 9s7d6s6h2d QsQc9d5h2d KhQhJh9h4c 
KhTsTh8h4h Qd9d7c4h3h Ts9h6s6d4c 9s7h6s6c2h 
QcJs7h3h3c AhTh9h6h3d AsTh7d3c2s AdTh9c4h3s 
Jh9d9c5s3c Ad9c8s3d2h QcJc9d7c4h Ac9c4s4c3s 
KcQh7h6h4h KdJh7c2h2d Tc8h5d4d2h Js8s8c6c2c 
AsTc8h4h4d Kc8s6d4s4d Qd9s9d4s2h AcQd9d6d4h 
JsJh7d4h2d Ts9d7c5h5c KcJh6d6c4c AdTc7h4h2c 
Js7s6d6c3c Jd9c7c5h2h Tc9h8s7s4s Jh8s8h6h2s 
AcTs4d2h2c Qd9s8s7c3c Td9s7s5c3h Jd9c6h5d4d 
Ad9d7d4h3c AsKd4h4c2d Ac8d7d4h3h Jh9d8c4c2h 
Td8d6d6c4h 9d8s7h5h4h JsJc5h3h3d KcTh7s5d3h 
QsTs7s6s5s KcTc8d6h3c Qd8h6d6c4s Jd9c5h5c2d 
AhTd8s8d2c Qh8d8c5c3d QsTd8c4h3s KhQh9h7s4d 
Kc9s8d7s5s Jc9s8c4h2s 8d5h5d2h2d 8s7s5d5c2d 
QsTd7d5c2c Ts9d8c7s3h AcJc6s4h3c QsTh8d5c3h 
QcJd8h2h2c Ac9s8h5d4d Qs8s8h7s6s Ah8s6h5c3h 
KcQd5c4c2s JcTh4h3s2s JdTc7d4d3s Qh8d6s5h3c 
JdTc7d2s2c TsTc6h2s2h KcTh6d4s2c As8s5d5c2h 
JcTd6h6d2h KcTh5d4c3c AhTc7d5c3s Jd9d8h5c4d 
KhQh6s4h4c KhJs9s7c3s KhQdJh9h2h TsTc9c7h2d 
Jc9d5c3d2h Kd5h4s2h2d KdQcTd3h3d Qc8s6d5c3h 
QhJh9s8h4c Qh9d7s6c3h AsKh7s4s3s KhQc7c3c2h 
AhKsTc6d2c AcTd8h7s3s Kh6h6d4s4h AdQd8h2s2c 
Kd7d7c5c2d KdJc9h5s3h KcQsJc6c2h KsTd9c8c3h 
9c6d5h5c2h Jd9c5d3c2h JsJd5s5h2c 9s6d5c4d2s 
Jc8h7s6s2c Qc9s7s4s3c Tc9d7s7d4h Tc8d5c4h2h 
7h7c4s4h2s Jd9s8d4c2s Jc7s6h5d4h JcTs8s6h2d 
JsTc9s7d2s QsTs8c4h4d Js7h7c4h3s QcJhJd3h2h 
Kc8c7s4s3s Ad9d7d4h2h AdKd8d5d4d AdQs9c7c3h 
QcTc9s8c4c QsJs9c8h3s AsKcQd6d2d Qd5h5c3h3c 
Tc9d7h5c2h Th9d7d5s5c KhJc8s8c5c Kh7h5c3h3c 
As8h6d5h4c QsJh6h6d2d Ts7d5s5d3s KhJc8d8c2d 
KhTh9c7d2h KdThTc6s3s AdJh7h4s4c AcJs6s6d4h 
9s8d7d2s2d AhJd6d6c4s Tc9d6c4s2s Ts9h6s5s3d 
6c5c4h2h2d QsJc4c3s2s AhKh5c4h2h QcTs8c6c2h 
9s6s6c4h3c 7s7h5h4s2h JcTsTc3d2c KsJs9h4d4c 
7d7c5h4s3c JdTh9h5h2c Td7c5s5c3s AsTd8c7c3c 
KsTh9d6h3h KhJd9h8h3c JhTc9c5c2s Tc9c8s5h4c 
TsTc9d5d4d Jh9d7s6d4c Qc8h7s4c3h Th8c7c4s2h 
Ts7h6d5h4h Js9c8h5s4s Ts9s5c4d2d Th9h8s5h4c 
Ac9h8d3c2s AsTh6d5c4d Jc8d7s5s2d Qh7h7d6h5s 
Qh6d6c5d2h QcJh9h7h4d Th7s7d6s4c AdQs9c3c2s 
JsTs7h4c3s As8s6s6d5s Qd5s5d4h3h 6d6c5s5h3c 
QdJd8h2s2h AdKcTs6s2h QdQc7c3s3h KsQh9d8c4h 
AcQh9h6d4h KdQh5c3s3h KhQd6c5s3c KhTs5c4h2d 
KhQsTh4h2d Jd9s5s5h2d Jh8s6s4h3c KhQd9c5s4c 
AdJd8d7d3h AsQs9h4s4c Kh8s7d4h2s Qs9h5d4s2h 
8s7d6c4d2c KcJd6s5s5h QdJh4s4h2s Kc9d5h5c2h 
QhJh9s7d4h 7s6s5c2d2c KhTh9h5h4c AhKhTh2h2c 
Tc9d8s6c2h Ah6d5c4d3c KhQcTs8c2c KsTd8d8c5d 
QsJcTs7s2h QcTh8s4c3d AhTd8s4s4c Jd9c8d4c2s 
Ah9s9c4d3h KdJh9s6h3c Ac8d6s5d2s KsQsJs8h4s 
Ts7s7h6s5d QdJh8d5c2s AsKc8s7s2s AcQh8c4s3c 
Tc8c5h4h3h AcTdTc4c3c KsQh9c5c4d QcJh7s6d3c 
AcQhTd3s2d AdKs8d7d2d AdKh4d2d2c QhJs9d8c4d 
Qd8c7s5h4s AdTh8h6c3s Th8h7h7c3c QdTh8d5d2s 
AcQs9s6h4s Js9d8h4h3d AdTs5c3s3c Jc9s9d5h3s 
KsQdJs6s2c Td8d5d4s3s Js7s6h6d3h AcQd5s4d3d 
QsJs6d3h2d Tc9s8h8d5c JdJc5h5d2s AhJc5h4h2d 
