QcJc9h5d3c 
QhTs6d5c3s 9s8d7s7h3d AhKh8d3s3c KcJsTh6d3d 
QcTh8h3c2c AcKd9c6c4c KhKd8c6c2c Tc8h6h6d3d 
QsJd8d7c4h 8h8c7h6h4d AsTs8h3s3c QdTd9d7d5h 
QdJc8c2h2d Td7s6c5c4h Ad9h8c6c5c Th7d5s4s3d 
AdQh8d6d2s KhTs9d7d3d KsTd5h2s2d 9d6s6c5s2d 
AcKs9c6c4c Qh8s8h6d2d JsThTd6h3h Js7d6h5s4c 
AcTh7d4s4h Kh9c6c4d2h KdJc7h7c3h AdQhJs6c2h 
QhJs7h6d4h KsQs6s4d2d 9d8s7s6h2h KdQsJc4h2c 
AsJcTh3d2h QdJd9d6s6h QdJh9c8h2s KhQh9s3s3c 
JsJhTc8d2d Ac7s4c2s2d KdJdTd9d5d JsTs8c6d2h 
AcKc7c6c4c KhJh8s8d4c AdJd6d4h2h KdJd6d5s5c 
As9d8c5c2d QhTsTd6s3s AhQsTs4s2d JhTdTc6c3c 
9s9h8d8c4c Kc9d8h7h5s QhJh8c6h4s Ad9s9d6d3c 
KcTs7s7c2c QhTd6s6d4d KcTh8s8c4c KhQhThTd2h 
Tc9h7c4c3h JcTh6s6d5d AdQd6d5d5c AcJs7s6s4h 
Ac9s6c4h4d KhThTc9h4h QsTc8s8d4s KhTs9h7d2h 
Td9s9c5c4c AhKc9c3s2s 8h7c6s6d5s KhQh9s5c4h 
KcJh9s5h3d AsQsTd5s2s Qh7s6h6c3s Kh9s8s8d6c 
Tc7s5h4s3h QsTh9d7s3s QsJdTs3s2h QcJc5d3h2h 
9s9d8s5h5c JsTc7s4c2c QdThTd8d4d QhJs8s7d4c 
Kh9d6d4c2h AcTh7c3c2h KsJs8h6h2s JsTc7s7h4s 
Th8d6s6d3s QsJd6s5s3c Jh8h7d5s2d AhQd8c5s5c 
AcJh9h8h2d Jc9c7d4s3s 9d9c6h5c4c Jc7s5s4s4c 
Tc7h5d4h3d QdTc6s6h5h JcTh6s4h2s AhKhTh3h3d 
AhTd4h2h2d KhJc7d6s4d Kh8h7d6c4h TsTh7c5s2h 
QdJd6h6c4s KdJh8s8h6h KsQd9d6h6c QsQh4h4d2h 
AcTs6s5h4d QdJs7c6h4s Qc8c7s5d4h AdJh4d3h2d 
Kc7c5h4s2h As9d8h7s2s KdQh9h7s2s KcJs9c8c4d 
QsQhJc7s3s QhTc7s3s3h QhJc8h5h4h QcJc8d6c4h 
JhTd8c7h3s AcTh9d6h4s QdQcTs3h2s Kc9d8s7s5h 
KhQhTh8c2s JhTd5c2h2c Qc8h8c5d2h Kh7d6c4d2h 
Qc9c8d6s6c KcQs5c4d4c KsTd6s6h3c KsJd9c7h2s 
Jd9s9c7s2c KsJh8c3s3h KhJsJd4d3d AdJc9s9c3h 
QcTh8d5c3s QhQc7s7d3h JsJdTh8h2h QhTh6s5c2d 
Jd9s8d4s3h JsTc7d4s3h AhQhJh7h4h KcJs6c5h3c 
KdQcJh4h2s JcTh8c5s3c KsQdJd5c2d TsTd6d4c2s 
9c6s5d4s4c KsJd9d8d6d JdJcTs8s2s Ac7c6s4s2c 
KsQdTc3h2s Qc8s8c7c6h KhQh8d4s2d KcJdTd8d3s 
Kc8c7h5h2h Ks8h7c6d5d KhJcTs3s3d Kc9d6s6d4s 
QcTd8s5c3h As9h7d7c6h KhJh8c6c2h QhJd9c6s6c 
KsQsJs7d3c Td6h5h4d3s KhQc8d5c4c ThTd7s2h2d 
QsQh6c3c2h QsQc8h3s3d AhTd7h3d2h QsQhJd7c3d 
QcTc9c7c5s 8d7h7c6d5s QsTh6h5c3d Th9c6c5h2c 
KhTh6c5s5h As8d6h5h3d QhQdJc7h3h Jh8h7s6c4d 
KcQsTc6c2h 9h8d7h4d4c Tc7s6d5d4h Td9h5h3s3d 
Js8c6d5s4s QdJd9s3s3d JsTs9c3h3d Jd9d7h4s4h 
Th8d5c4d2h QdJcTc7h3c KdQd8h6s3c JsTh6d4h2d 
QhTs9s8c4s Th9c8d4d2h 8h8d7d7c3s KhJc9d5c3s 
JhTc6h4h2c AhQh6c4d2s AhQh8c6h2s 9c8d7c4h4d 
QcJd8s8h5s KhJh7h5h4s JhTs7c5h3h QhQcJh7h3s 
JhTd7h7d2d QdJd7s5h2s JsTc8d5s3h JcTd7d6s3h 
Ts9d6d4s2c Qc9s9c6c2s KsQc9s6d3s Th7s5c4c3s 
AcJh9d6s5s KcQc8d6s6c JhTh7d6d2d Qc8h5c4d3d 
Js6s6c5s4c Qh8s7c6c2h QcTsTd8c3c KhQhJh7d3c 
Ks9s8s6h2h KdTc9c6c4s Jh9h7c5s2s AdJc9h7s4s 
Jd8s6s5s3d QsTd7h5s5c KhJd8c3h3d Ks5s5c3h3d 
Jh9d8c4h4d AcKdQc8c3c AhQc6s5c3d JdJc9s7h3h 
8h7s7c6h5d Td8h8d7h3h QdJs8s8h3h Th9h9c5s5d 
KcTs6d6c3h AcJd7s5h3d Td7d6c5h4s AcQsTh5d2h 
Kc8h5s4c2s KdQd8c4h2c AsQs9d2h2c JdTh7d5s3d 
Td8s6s6c3c JsTd8c6s3h AhQs8s5s4s QhQd4s4d2d 
TdTc8h7s4s 8s8h6s5c3d Kh5h5c3s3d Tc8c6d5d2c 
AdKsJc5c2c 8s7s7d6h5s As5s5d4c2h KsQh6c5d5c 
JcTd9d4d3h QcJh9d8h2s QsTd9h8d4d Ks6s5h3c2c 
QcJhJd8h2s Qs9h9c5d4s Tc7c6s5d4h AdKh7s3s2h 
Ks6s5d3h2h KcJc9d5s5h QhJh8h5s4h Ad8d6s3c2c 
Kc7d4d4c3s QhJh9d6c3h QdJh3d3c2h Jd8h7d6s4c 
Jc8c7h5s4c Kd8c7h4d3c AhKs5s3s3c QhJd6h5c3h 
Qd8c6c4s3d As7h5s4s3c AhQs6d6c4s QhTs8d5h3c 
JcTh5c3s2s Tc8s6s6d3c KhTsTd5s5c QcJc9s5d3c 
7c6h4s4h3s JdTs5c2d2c 8s7h5h4s2d JhTh6s4h4d 
KhTs8h8c4h QdJcTh7c3c KdQcJh9c3c KhKd8c3s2d 
KsTd4h4d2s 9h9c6s5c4c Jc9d8c5s4h QhTd6c5s3d 
AsJcTh3d2c Ah8d7s7c5d Kd9s8c7c3s KhQd7s4c3h 
AsQdQc6d2d QcJh7s4s4h Td7d5s5h3h AdJc6d5d4d 
JhTh9s2d2c Js8c6c5c3s QsJd9h5c3h Th8h7h5d4s 
AcTc9c5s4c Ks9s9h6c3d JhTsTc8d2d 9s9h6s4c2h 
KdKc8s3h2d AdTd6h4s2c KdTd9d3h2h KsQsJs4c2d 
QdJc6s3s3c Qs9d8d7h7c QdTs9c5h2d Tc9s9c5d5c 
Jh9c7d4h3c AsKs3h2d2c Qs9s8h7h2h QsQc8h7s3d 
Ks7s7c5d2d Qh9d7h7d4h AhQh9h5h4s KhJs8d8c5s 
Qd5h5d4h3s As8d5s2s2d Ks8s7d5d3s KcQs9s8s5d 
KhQhTh8d3s KsJc9s3s2c Js6d5s5c4d 8d6d6c4s4d 
Ad9d8d5c3s QdJd8s8c5d AdJc7s5h3c QsJs9h5s3c 
Qc9h5c3s3h KdJhTd3c2d QdJh7d6c4d Ac8h7s7d5h 
KdJhTd3s2d Js8d8c7d2s 5s5c4h4c3h AsJc7d5h3c 
Jd8s6h5d4d AhQsTc5c2d As8h8c4s3d QcTc9s7h3c 
Js9s9d6c4h Ad8h7c5s5c KsJs6h5s4s KsJsTd3s3c 
KdQh8s8d2s KsTsTc9s4s AsQs9d4c2h QsQc8d5c3c 
KdQsTd8h2d KdQcJc5s2c AcQd8c6c2s Kh7h6d3s3d 
QhJs8s8c3c KsQcTc7c3d KcTd9h7h3h QhQcJh7h3d 
KsKhKdTh6s AsQs6s5h4s QdTh6s6c5s QsJs8d8c5s 
Ks9h9c8c4h Kc9d7h7d2c 8s8c7h6d4d AdQh9h9c3s 
9s9d8d4s3c Js9h7h4s4h Ah9d7c6s2h Th8s7s5h3h 
9d7d7c6s5d Ac9d8d6d5h Td9d7h4h3d Kc8d5h5c3h 
Ks9d8d4h3s KsQd6h5h5c Jc9s9c6c2s Kc7d7c4d3d 
QcTh5s4h2s Js9c8c4s4c KsTc8s7s5s KdJc9h7s4c 
JdTs4s2d2c Js7d6c5s4h AdTd6h4c2s Kh8c7d6s5s 
AcQd8d5d4d Kh8s7c6c5c Th8h7d5s4h KcJh7d3d3c 
AcTc5c4s4d Jh9h5d3d3c 9h7c6h4c3c JsJd9h2d2c 
KdTc6c5h2h AcKcTc3h3c Qs9s6c5d3h JdTd8h6c2s 
Ac7h6s3c2s 8c7s5s5h3c JhTd8h5s3h Ks9h8c6d5h 
KhQh6h6d4c 5s5c4d4c3d QsJd6s5h3s QsJd9c8d2h 
AhQs5h4h2c Jd7s7c6d3s JdTd6h4s4d Ad7c4s3d2s 
AcKcTs5c2c Jh9h8h5s2s JcTc9c8c5d 9s8d5h4h4d 
KcJd9s9d5d QdJs6d5c3d Ad9h8c6h5h KcJsJd9d2d 
AsJs6d4d2s Ks8s6c4c2d AsJd9h8h4h TdTc7s4h4d 
KdTd6c5s5d Ts6c5h4s3c 9h7s6s3s3h QdJc9s6s6h 
KcTs8s6s4d KcJc9d5h2s AdJsJc9h2h Kd9c8h7h3c 
AhJd6s5h3h QdTc5d5c2c 9s8c7s7d3c KdQs6s5c3s 
KdQhJc2s2h Th9h9c5h5d Kc7d6c5d2c KsQsTsTc2s 
QcJh6c5s3c KsQs7d5s2d KhQh8c6s6h 8d7c5c4d2s 
AsKc9c5h2d AcQsQh3d2d JdTc5d3s2s AdTd4s3s2s 
JhTc8s8c4c QcJd8d2s2c JhJd9d6d4s Td8s6c4d2s 
9s8d6s6d2c 8h8c5h4c2h Jc8c7s5c3s 9d7d6h5h2d 
8s7h6d5h5c KhJc7s5c2s Tc6c5s4s4h AsKh5d3s2s 
JdJcTd8d3d QsJcTh5d2d 8c7d7c6h5c KcJhJc7s2d 
KcTsTd3d2s QhJc8d7s4c Tc9d5d3h3c KsJs9s8h5s 
9s8d7d5h4c AcJd7h4s2c AdJc9s9c6c Td8s6c5d4d 
Th8s5h4d3s KdQh7s6h2s AcJh7s4d2c Qs6s5d5c3c 
KcQc8d6h3s QcThTd6c3c QdTs6d6c4d KhQs7h5h3c 
As8h8c6d5h Qs9d6h5s5c Ks8s8c7h4d Jc8h7d6s6c 
8s8h7h7d3c AcQc6c5h5c KhQsTc8d2s Ts9h9c7s4d 
AcKs7c3h3c 8h8d6c4h2c Kc7s7c6h2s 9h8h5d4d4c 
Td8c6c4d2s QsTd9c5h2s Td7s6h5h4c AsKs7s6d3s 
QcJc6c5c4s Td8d6d5s4c KcJc7c5h4c QdQc6s4d3d 
9d7c6h5h4h KdQh7s6h3c QdQcJh7c3c 9s9d7h7c3h 
Th9h9c5s5h Jc8s8c7c5h QhJd8s8d3s QhJs9s7c2c 
AsQs9h4c2d KdQh9s3s2d KsJsJc7d2h AdKd8s3h3c 
Td8c6d4s2c AdTh8s8h3c AsJs5d3d2s AcKc7c6s3c 
9h7d6s5s4c As7d6d3d2s KcQs8c4s2s KhJsTd6c3c 
Ts8c7h5c4c KcJsJd9s2s Ah8s7d7c5s Kc5d4d4c2s 
AsTh6h5d4c AdTd5c3d2c ThTc9c5s4c Jd9s9d7s2d 
Td9h7h5s2d QdJc8h7s4c 8s8d6h6d3c JcTs5c3d2d 
KcTd8s6c2h KsQdTs8c3s KdQc9s6s6h Jh9s6s5h2s 
KsTc9d7d3d AhKc6s4c3c Qs9c8d7d5h Js8s7c5s3c 
QcJhJc6s2d JhThTc5h2d QhJd8s6c4s Jc9s9h5d4h 
Td9h9d6d5d JdTd9s4c2h Th7h5s4s3h 9c8h8c2h2c 
AsJs5h3d2c KhQd6s5s3c 8d8c7h7c3s AhKcTs7s2s 
As9h9c7c2h AdJs7c5h3s Js9h7s6h2d AcQs9h7d3s 
QdQc7d3c2s AsJd9c5d4d 7s7d5d4s2c AsQs9s8s6s 
9s9d7c6s3h Qc9s9d5h4c JhTs6d6c5c KhKd9s4c3c 
Tc7h5s4s3h 6h6d5c2h2c KhTc8s8c5d AhTh9s2h2c 
AdTs5d5c2h KcTdTc5c4c 9s8h8c7s3h 7h7d5d4h2c 
KhJd9h4s3c QsJh8c6d4c 9d9c7d6s2s AsJs7d6h3s 
KsJc8d3s3c JhTd6s6c5s Kc8d7c6s4c Jh9d7h5c2c 
AsJh9d8d4d AhJd3h2h2d Jd9s7d5c3h 9s7s6c5d4s 
KhJc9s9c6c JdTc8d3s2s AsQdTd4d2h AhKsJc5c2c 
KdJc8d6d5d AcJd6s4d3s As9c8d6d2c QcTh8c5s3d 
JdTc7s5s5h AdKcJs8s2s KhQs6s5c3s JdTs6s6c4h 
Ah9s9h6c4h KsQdQc8h2d AcJd9h6s5s Th7s5c4s4c 
AsTc7s3s2c Js9c7s7h5s Js9s8s8c6d AcJd9h6h5h 
JhTs5d4s3c Js7s5c4s3c AhKd5c3h2h KdJd9d8h5d 
AhTs6s5c4d AcKc4h4c2d KsJd6c3s2d JhTh9h5c2d 
9s9c7c6d2d AsTh8d7d3c Ah9s8d6s3d TsTd9d5c4d 
QcJs9h5d3h Qh8c5h4h4c Jh9s7h4d3d KdJh8d5s5c 
Jd6c5h5c4d Qh7h5s4s4h KdJd6c5d4d QsQd6h5c3c 
KsQdTs6h2s Jc9c5d3h3d AcQdTd4d2h Td7h6h4h4d 
TdTc7h5c2d QdTd6h5c2s QsQc9d8h3d 9d8s8d5h5c 
9s8c7s3h3c JcTd8h6c3s 8s8d6d6c3h 9h8c5h5c4c 
KdJs7d5d3c 9s9d6d4c2s TdTc8d4s4h QdJd9h5d3s 
QcJc7c6d4s KsJd8d7h3h 8d8c5d4c2d JdTh7h6d2h 
KsJd9h5c2s KsTc9h7h3h KsQs8c4d2c As4s3d3c2d 
Kc9h8c5c2h JcTh8s5c3c JsTh6h5d5c KhQd9d6s6d 
AcTc9h2d2c JsTc8d6s3h AhQh6h5s5h Td9d8c6d4s 
QdJsJh8c4c KcQh7h5s3d Ks7c6s6c2h QhTs6c5d3s 
Jh8d6c5h4s 7h7d6d5c2c As6s6h4s2h As8s8c7s3d 
QsQh6d3h2d Qs7d6s6c3d KsQh7s3s3h Td8h7d6h2h 
Jd8h6s5d4d Td9h7d4d3h AcJd9d5h5d Js9c6s3d3c 
AdTc9h8c2c KhJs9s8s6s JhTs7c4h3d ThTd9h3h2d 
Ac8h7s5s5d AcJc5h3c2h QdJc6d5d3h Jd9h7h7d3d 
8h7s7c5d4d Ts9s9h5s5c JsTc8h5s3d KdJd9h4h2d 
Kd7h7d5c2c KhTc8c5s4d KsQdTh8c2d Tc7c5s5d3s 
Ah7d7c5c4s Qd9d8s5d2s QdTd6h3h3d AdKc9c5h2s 
Kc9c7d6c2d 8s7s6s5c2c Ah7c6h6d2s QsTc8c3s2s 
JcTd7s5c3c KsJsTd3c2s KdJs6d5h3d Kd5c4c3h2d 
9d6h6c5c2d QdTd5s3h2h Kd7d7c4c3c Qh8h6d5d3h 
7c6s6c5h4d AsTc5h4h3c QhQc6d3h2d Ac9s8h7c2c 
AcQs8d2h2c KhQsJd3c2s QhTc6h5d3h AhJc7c5c4c 
KdQsQd9d4d QhQd9c8s3s 8d7h6s6c5s JcTd4d2h2c 
Kh8h7h6c5h Td8c7d7c2s Ac8c7c4s4h 7s6c5h4d3s 
AcQsJd5h2h Th8s8d4d3h 9c8h7h5d4s Qs9d7d6h2s 
JsTd9d4d3c QhTdTc6h3h Qh6s5h4h3s AsQc9c5h5d 
JdTh6c4h2c KdQd9s5c4d AcKh6s3c2d Ad7s5d4d3h 
Jc8h8d7h2c AdKd9d8h3d AdJs9h5s3c Ac7h7d3c2h 
Ac8s6c4h2d KcJs8h5s4s ThTd6c4d2h Td9h6c5d2c 
KcQs9s8s5h 9s9c7c6h2h 9s8h7s4h4d JcTh8s7c3d 
KdTh9s8h2c Ad8s7h7c5s Jc8d7h6s6c KsJs6h6d2d 
Qc9h6s3s3c Js8h7s5c2h AsKs9c5s4s 9c6s6d5s2c 
KcQh6d5d3s KdTs9d7h2d KhQcTh8s3h QhJh9d5c3h 
JsTdTc8h2h Ts9h9c5c4c Ac8h6c4c2h Qs9d9c5h4s 
Ts8s7s5c4d Ks9s8h7c4d 9h9c8c4h3d AsJh5d3c2s 
Jh9s9d5d5c AhJc9s6s5s Js9s8s8c2c Td9d5c4c3c 
Qd8s8d7d6h Kh7s6h4c2c 9d8h5d5c4h KdTsTd5d4d 
Ts9s6c4s3c QsTsTc2s2d KhTc9d8c2s JhTh6s5h2s 
AcJc9d7h2c Kh9d6s6d4s Jd8d8c7s6d Kc8d7h4c3d 
9c7d6h5s3h Td7d5c4c3d 9c8d6h5d4s Qh8h7c5d4s 
Jc7h6s5d4c KhJd9c7s4d ThTc6h4d2c AdKdTd4h2d 
Qd9d7s7c6d TsTh9c8h2d Jd6d5h5d4h KcJhJd6s3h 
Qs8h8d7s6s QsTc9h4s3s QsJd8d2s2h Ad9d8s8c3d 
Qh9d9c5s5h Jh9c7c4h4c Kh9s8s8c6d Tc9s5s3d3c 
9h6c5d4h4c QhJh8s8d5h Jh8s8c7c2h 9c8s7c3s3h 
AsTs9c5d2s AhTh6d3s3c KhTd6h6c4h QsTs6h6d5s 
KcTc7c5d2d Td9h7s5h2d As8c6s3d2d Jc9h9d5s4d 
KcQs8d7h5d As9s6s5d4h QdJd9d6h6c ThTc7d5s5d 
Td7s7h4d3h QcTd9c6c4c TdTc7h2d2c QdTs9c7h3s 
Qh8h8c5d2c TsTd7d2s2h AcKc9h5c4c Qs6s5h5c3c 
AcTs8s8h3d 9s8s8d7c2c Td8h7h4d3s Kh9h8s8d6h 
AcQd6h5d3s QhQc7s5c3c Qs7s7h6c3c Td8s6h4d2s 
QsThTd6d3d 9h7d6d5h2h ThTc9h6h3d KhJh8c7d4h 
JsTh9h6c3h 9h9d8h2h2d AsQc9d5c4c As8s8d5s4s 
QdTc6h6c4c AhQsTc5d2c KdTc8d7d5d KcJh9d4s3c 
JdTh9h8s2h Td8s8h7d5c QsTh7c5s5d Th9s9d3h2s 
JhTd8d8c4d 8s7s7c4c3h AsQhQd3c2c Ks8s6h6d2h 
9s8c5h4h4c Qc9h7c4s3h KsTh9h6d4h Ah9s8c6c5c 
Ad4d3s3h2h Ac7s5c4h2d KhJdTs4c2d KhJc7h5h3d 
KsTh9c8h2d 9h8h5s3s3c AsJs9d3s3c 9h9c7s5d3c 
KhJdJc9c3c As9d9c7d2c Jd9d7d6s5d AhKcTc4d2c 
6s6h4s4d2d JsTd4d2s2c KdJd9c4c2d QcJh7h6d4s 
Qc8s8h7c6c QhTc9d7s4d 9s8c6s6d3d Ah9h8d5h2s 
JhJdTd8d3d JsTd4d2s2h KhTh6d5h5c JsJcTd8h2h 
KcJd8c5s5h Td8d5h4h4d JhTc7s7h4h Jc8d7s6d3c 
KsTh4h3c2s AdTd9h2s2d QdTc6h6d4d KdTd9d4c3h 
8c7s7c4s3h KcQh9d8c3s KsJhTc6d3d QcTh8s6c2d 
Qs7d6h5d3h Js9s9h7c2c AdJs9c6h5h KdJh7d5d3s 
Qd8h8c7d6d QcTc6d3d2h Ks6d5s4d2s Jc8d8c7c5h 
9s8h8d7s3h AhQh9h5s3h KhJd8d7s3s AdQs8s4c2c 
JcTs8d3d2c 9s7c6s4c3c 9s6d5c4s4d KhQhJh4s2d 
QdTh6s4c3d KdJsJc9c3c Ah5s5h4d2c Qc9h9c6c2h 
Jc9h8d8c6c Ks9s7c4c3c AdKd9d8d3s Jh8d6c5h4h 
AhJs9s9c3d QdTc9s7h3c JdTs9s6s4s KcQh7s6h3d 
Ad9d8d5c3h Kh7h6c3d3c 9s9c8s5h5d Kh9c6h6d2d 
QhJc9d8c4s QcTd6s6c4c QhTh7h6c4h Qc9h8c6d4s 
QcJs7s7c3s AhTs8c4s4d Td9s6c5c2d Tc9d8c4s2s 
KdQsTs8h3s Kh9h9d6c3s Td9s9c5d4h QdTsTd2d2c 
KsJh7h7d3d AdKc9d7d3d AhJh9d3h3c As9d8c6d5d 
AcQh9d8d4s Qs9h7c6s4d KcJh8s5h4h AsQs9c8s3s 
As7h6d3d2s Qs9s5h4s4h Td9s8d6c4d QsQc6d4c3c 
AdJd7s6c3d 9c8d5s4s4d TdTc7h4s4d Td9c7d6d3s 
AhTs7d4s4c AdKh7c3c2h 9s8h8d5s5c Kh9h8s7c4d 
Ad7d4c3c2h KhJs9d6s2d KdQc6s5s5h Ac9h8s6s2h 
8h5s5h2s2c Th8d7s5d4d 9c6d5h4d4c AcJd8d7s3h 
Ah4h3d3c2c Qs9d8h5h2d KdTc8s6h2d 7s7c5h5c3d 
AsKh9s7s3s KhQd9s6s6c Th9s6s4h2c 9s8s8h6s2h 
KsQh9h2s2h Ts8s8d7d3d KsQc9h8s3d 9h9d6d2h2d 
9s6d6c5c2s Kc7s7d6c5c 8d7h7c5s5d As8c6s4s2c 
Tc9d6d5c2d QsQd6h3h2s Td7c5s4c3s JcTd7h5s5h 
KcQhJd9h3h KsTd9c7c3c Jd9d7c4h3h Jh9c7h4s3s 
Jc9h9c4c3h 9c8h7s7h3c QsJs5s4h4c Js6h5c4s4c 
AdJh9h8c3h Kc9d8d4h3c JcTs7d4h3c AcQc4s4h2d 
QcJsJh8c3d AsQh6d6c4h KdJd6d5s5h Js9d8s5c4h 
9h8d6s5c4d KdTh6s6d3c QcTh5s4c3d Ad7c5d4d3s 
QsQdJc7d3d AcQdTd4d2s JdTh5d3c2c 8h7d6s6c5h 
KcQcTc8h2s AdTd6h3s3c QdTc7h3h3d Ah9d8d6d5s 
TsTc6h4s2c Kc8h8d6c4s QdTh6s6c5c KhJh7h5h4c 
AsJh9h5d4h 8h7s6d5s5c KdKc7s5h2h Qd9h7s5h3s 
JhTd7h5c3h JsTc6s5s5h JsTd8c5s3s Jh9s7h5h2s 
Js8s7d5h4s Jc9h9c6s4d KhTc4h4c2c JsTd9c6c3c 
KcJd7h3h3c KsQh8c7d5c KcTs7c3s2h JhJc4d3s3c 
Jh8h8d7s6h QsJc8h7d4c KhJc9h3h2c QsTs7h4c2c 
QhJcTh3h2d Ac7d5c4s2h QdJd7h6h2c Ks9d6d4c2s 
JcTh9h6h4h 7d7c4h3h3c Ac6s6c5c3d KhQh9h7h7c 
KhQs9s6d6c JcTh8d7c3s QcJs8c5c4c AhJc7h7d3h 
KhTd9c5s5h Qs5s5c4c3d KcTc9h5c3d Ac7d5c4h2s 
KhKc8d3s2c JhTs8c6h3d KdJd9s6d4c KsQs9s4h3h 
JdTsTh6s3s KsJh8c6d5c AcJdTs3h2d AsQs6h4d2c 
9d6s5d4s3d QhTs8h8d4h Tc6s5d4d3c Jc8d5h4c3h 
Kh7c4h4c3s Qs7s7c6h3h AcQs9d8d4h JhJdTh8h3h 
AsQh9d6h4h KcTd9d6d4s Qh9h9d4s3s Kd9h8h8d2d 
9s9h7h6s2s Ac9d5h4s3c QcJd8d6h4d KhJd7c3h3c 
AdJh9c6s5s QsQc7h5s3s KhJs5h4d4c Ac8c7h4s2d 
AsTc7h2s2d AhQs9s5d5c Jh6c5d5c4h 9h8h8c7d2d 
AcKs5c3h2c TdTc7s5c2d 9d8h8d7c2c AhJh9s3h3d 
Jh9s7h6s2d AdTc8d4h2d 8d7c5s4d2c QhJs7d4s4d 
Ks8s7s6s5d Ad9d5c4s3h KcQs7d6s3h Kh9c7s7c2h 
KhQdJc9s2c AsJh7d7c4h KcJc6c5c4h JsJd8h6h4h 
TsTd9d5h4d KcQcTs8h3c 9h8d5h5d4d As8s7s7c4s 
7d6s6d5h4c 9d8d7d7c4c Ad8s7h5h5c QdTs6d5d3h 
KsJdTc6h3h Ah7s6c3c2h QsTs6c3c2h As8s7s4d4c 
Jc9c8h8c2h Qd8s6s5h3h QcJc9h5c3s JcTh5d3c2d 
KdJhTs6c3c Kd6h5d4h2d KhTs9c8s4d Ts8c7s7c2d 
