QsJd7d6s3s 
Ah6h6d5h2d AcJd6h6d4h QsQd7d2s2d QhJc7s7c6d 
AsKsTd3c2s KhJc7s7d6c KdTd5c4c2c AcQdJs6s6h 
Qc9h9d7c6c KdTd9s7d4c QdTh6s4s2d Kh7h5c4h3c 
Qd9h9d7d3h Ac6s5d4h2c QsQcJh9h3h Ts9s9c5d2c 
QdJc9h8s4d Tc8d7s6c5c Ts9h6h5s2d As7s7d3c2d 
KhTc8d7s5c AhQhTh3s2c AhKc4d3s3c JhTs5c4h4d 
Th8h7s5c3s Ad9d8d8c7d AhJhTh6d2s AhTs7s6c5s 
AcQh3c2h2c KsQhJs7s5s Ks9h7d4s4d QdJc9d7d2c 
KdTsTh9h4c Th9c7h4d4c Ac9h6d4d2c 9s9d7d5h4c 
Qh9h7d6h5s AsTh8d5s3s Kc9d9c6d2d Qh9s8h7s4h 
JcTh6s6c5d 9s7s7c5c3c Jd8h8d5s3s Qh8d7h5s5d 
Ah9h8h4d3d Th9s8d8c6h JhTc8d6s4s ThTc8d4c2h 
Jh9d9c4d3h Qs6s5c4d3d QsJc7h6c5c Ac8d5h5c3s 
AhKcJc6c3d QsQc9d5s2h Ah8h6d5h5c QsQhTc7d2h 
KsQsTdTc2s Jc8s6d5d3c QsTdTc9s4s KcQcJs6d6c 
QcTd8d7d5h Td9s7d6s2c KcJsJd8h4s AcJc6h5c3s 
AcJs6s5h3h QhJs8c6c5c QsTh9s3h2s KcQcJh3s2d 
Ts8s8d6c2d QcJh7d7c3h Kh9s7h4c3c Qs8c5s5h4c 
Kd9d6c4h3h JhTs9c6d4c KhTs7s6s4d KhQdTh8h3s 
Ad9s6c5s5c Tc9d5d4s3c AcJdTs6d3h JsJd7s4d3d 
KhQc7h6c2h KhQd7s5h4h QhJh7c6c3h QdTh9s9d2c 
KdJh4d3h3d JdTc9d6d3s Qd7c5d4c3h Kd6h5d5c2c 
AhQs9c6d5d Ks6d5d3s3h Jh8d7c6c5s Th8h7d5d3s 
Js8s8d5h3h 8c7h6d5h4h Ah7s5s5c4c KhJc9d5c2d 
AcQh9d6s5d JdTc6h5d4d Ad9d7c3s2s AhQsJd6d6c 
AhQc8s5h2h AsKsJs4s4d AdJd9d6s4h AcJs8s7h4s 
Kd7c6d4c3d KdJc7s6h5s Kc9c6d4s3s QcJc9c8c6d 
Qd8c5s4s4d KcJc9c7h5c KhQdTdTc4d KcTsTd8h5d 
9c7d5s4d3c QhTd6c4h2c Ts7s6s6h5h KcQh7d5c4c 
Tc8s6s4c3d 9d8s8d7s2c AsKd6d5h2c QcJhJc4s3c 
QsQh9c5d4c Ks8h7s5c2h KdJc7s6d4d KcTd7d6d4s 
Ad6c4d3c2h KcTsTh8d2c Tc8h7h6c2s KdTc8c4d3d 
KcQc8d8c6h 9c8d7h7c4h Qc9h8c7d5s QcJc8c7s5d 
AsTh8c5s3s QsQcJh7h4h KhJd4s4h2d KhJd9c8c6c 
Jd9d8d7h4h KcTdTc4s4h Qd8h7h6c3d Kd9c7d5c2h 
AcKh9d4d2h Jd8h7d5c3c AhQh7s3c2s Ts8d6d5s3d 
QhQcJs7s4s KdQsTd4d3h QsQc7d6h3c AhTs8s6d5s 
KcQsTd9h2d 9c8d7h7c6s QhJh8s4s3s Th8h7c5d3d 
AhJhJc7h2d KcQsTh9d2h Qs9d5c4s3d KhQd9c7h2c 
QsQc7d5h4d AdTd6h3h3d AdJs7h5s4s TdTc7c6c5h 
AhJd9s5s2d JcTs6d6c5h AsJs6s5h2h Qd9d6s5s2h 
Qh9h7d6h5c JsTd6c5c2d QhTs9c5h3d AsKh3c2s2d 
TdTc9h9d9c QsTs9c6s3h KcJdTs6h3d Ac6s6h5d3c 
QhTd8d8c3c TsTc6c5h4d QsJc6c5d4c Ad9d9c8h4d 
KhTd8d8c6d KhQsQd9h2h AcQs9h9c4c Tc9s6h4c3s 
AcQhTd4s4d AsQc8c7c4d Qc9h5s4h3c Qc8d5d4h4c 
KsQh7d6h4h KhJs7d7c6c KcTs7d6s4s AcQh5s5h2s 
6s6d5c3d3c 9h9d8s5d3s JdTc9d5h3d Jd8c6s5s3d 
KsQh9c7s5s AdKs5s5h2c AhQc9h9d4h 9h8d7d7c4c 
7c6h5d5c3h Js7d5s4c3d KcJcTc8c4h KcTd9s6h4d 
Tc9h6d4c3h KcQdTs6h2c AhJhTh5s2h Js8s6c5c2d 
AcThTd6c2s Ks8s8h7d5c 9s6s6d3h3d 9s9d7s5c4h 
AdJh6h5c3c Th8d7s6s6c Jd9h8c7h3c QhTd5s5h2d 
KhJs9d4d3s 8s6s5c4s4c Js7h7c6h6d AdTs6s2s2d 
9h7c6c4h4d QdJcTc3s3h 8h8c6h4d3d AcJc9h6s4c 
AcJcTc5h2c Jh8s7d5h3s AsKcTc7d2c 6h6d5d4c3h 
Ad9h6c5h5c 9d7h6h6d4d AcJd9s7h4d Ac9c7d5h2s 
Ah8h7s7c4h AsJs3h3d2d AdJcTc7s2h Qh8s7h5s5c 
KhQs7h6h5h KcQsJd3c2h AsQd9c3s3h KsQc6h6d4s 
Tc7h5h5c4d ThTd9d7s4c ThTd6d4d3h Qc9h8s8c2h 
Jh9d8c6c3h QcJd9s5s4h AcQd6s5c3c JhJc8c6h2h 
6h6d5c3h3c Ks9s8h6s5c QhTd9s5h3c Js9d5h4d3s 
JcTh4h4c3h Tc8s8c7c6h AcKh8d5s4s Qc9d8h5c2h 
AdQs3d2s2d KdJh7h5d2d QcJsJc7c4d As9s7d6c4s 
Jc9h8h8d2c Tc9h7s7d6h AcTsTh9s3s JdJc6s6h4d 
JdTs9c7d3d Ks9c5c4c3s AcTc7s4h2d 9s7c5s4c3h 
QcJd8d5h4d KsJs9c7s5s JsTs6d5c2c QcTc9h9c6c 
QsQc9h5d4h JdTh9h9c3s QsTh8h8c3c Kc6d5c3s3d 
AdTc9s7c3h KhKc8d6d2s 9h8s8c6h6d QhTc8c7c5s 
AhJh5c3s3d QdJc6h5s4h KhQc7s5h4h Ks9s9d6d2d 
AcKsTs3d2h 9s7d6s6c3c Jh9s7h7d3s Kd8h7h5s2d 
KdQdJc2s2h Tc9h6c5h2s Kc9s5s4d4c KsTh9c7h4d 
Qs8c5d4s4d QsJsTs8c4s AsKdQc9h4h AdKhTh7c2h 
Qh9d8h5d2c 9s8c7s7d6h Ad9c6s5s5c Th6d6c5d4h 
AsKh9d6s3s AcKdJd6d3s TsTh6h5c4d 9d8s7d5s2h 
KdThTc9c4s AcJc8c7d2s KdJh9c5h2c 9c7s6s6c3d 
QsJs9s7d7c KdJdTd5s2h Kd9c7d6h2c AsTd7h6s3s 
Kd9s7s7d2h KsKcQc7d2c As8c7s3s3c KcQh5c3s2s 
Jh9c7h7d4d Jd9c5s4c3d Ad6d6c3s3h Kh8s7c4h4c 
AsKs6h5s2c AsKc9d8s2s AsTh9d6c5d 9c7d6h6d4c 
Qs9h6s6c3h AdKc5c4s3c 9h9c7c5d4s KcQs7h5c4c 
AdKhQd4d2d QsQhJc5c2d KhTs9s3h2h Js9h8d6d5c 
QsJs7c6h6d TsTc9s7d4h JsJc7s4c3c KhJc9s4s3c 
QsJh7c5h2s QhJhTh7c2c Ad9s7c3h3d AcKc9s4s2c 
Ac9d6s6d5s JcTs9h5c3c KsJh5s5d4c KcQs7d6s4s 
QdQc8c4s4h AdQh9s5c4h KdQd8s8d6c Kc9c7h6d6c 
JdTsTh4s3c AsTd7c6d5d AhJc9s6c5d KsKhJd8c2c 
QhQc8s5d4s Tc8s5d4d4c KdJc5d2h2c AsQcJh4d3d 
KdQcTd4d3h KhJh9s4h3s AcKcTs3h2c AcKd6c5h2c 
AdQc7d6s3d 9s8s7c5c2h Kc9h7d6c2h 9s7s5h4d3h 
QcJh5s4d4c 9h6s6h5d3s QhTh8c7s4h JsJhTs8s4s 
KhJd9s6s5c QsJd6h6d5c KsJsTs8s4d QhJd6d5s4d 
AhAdAc4d2d JsTh9c7s3s Ks9h8s7s5d Ah9h7s6d4h 
Tc8d6d5c3d Ad9c7d6s4d Js9h8d7h3d Kh7h6s5d4h 
AdJhTs5h2c JsJd7c5d4d KcJd8d6s5d KdTsTc9c3h 
Kc9c7d5h2h Ac9d7c4d2d AdKcTd3d2s KdQhQdQcJh 
Tc9h5d5c4h Td9h6h4s3s KdJs9c6h3d QdJdTh8s3d 
Qs6s5d4c3c KsQsJc3d2h 8d7h7c5h3d Td8s8d6c2s 
KsQc8c7d5h Ad7s6s2s2d 8s8d6c4s3c KhQcJc6d3c 
Ad8h5s5d3c KsQh8s8c5d 9h8c7h7c4d QdTs8s7c4h 
AcJhTd6h3s Kc9c7d5s2s AsKcQh8d2h Ts9c7h7c6c 
KsQh9c6c5d KdQd9c8c3d JdTh6d4c2h AhJs7h3s2s 
QdJdTd7c2c As4h4c3s3d KhQh8d8c7h 9s9h8c5c3s 
JcTs7s5c2s Jd9s6d6c3c AhJh3d3c2d KhJc4h3h3c 
Ad7d7c3h2c KdQs7d6s2d AsQc8d8c2d TsTc6s5h4d 
Td8h8d7c3h 7h7c6c5d4s KdQsJc7h4c Qc9c6h6d3d 
AdJhTs4s3s QsTs8s7d4h QcJcTd5h5c QdTh9d6c3d 
KdJd7h4h4d AhKdTd3s3d Kc9d9c5d3c As8h5d3h2s 
KhTd8s6d4c 9s9d8h5d2h KhKc8h3s3h QhQc8h8d3s 
Kc7c6h5h2d JcTs4s3s3c Kd9h7h6c3c KcQc8c7c6s 
KcQsJd5d3d QcTh8s7h2s 8s8c6h6c4c 9s8s8c7d6h 
QsQh9c5s2d QsJd9d5d4h 9d6h5h5c4c KcTc9d7c4s 
KcTd9s6s5h KsQd9s5h3c JdTc9s6d4d QdJs6h5c4h 
Kd9d7h5s2s AcJh5d5c4c Jc9h8h8c4h Js5s5c4s4c 
AdKcQh4h2h Ac8h5c4s3d KcTs9h6d2c JsJc8s4s3c 
KsKc7h4h3d Kh9h8h6s5c As7h6d2s2d AdKdTd5s5d 
QdQc8s8h4s Ah5s4d4c3h QhJd8d4d3h KdThTc8s5c 
Js9s7s6h3h KcQs8c7d2d QhQc7c4s4d 9h6s6c5c3h 
AsJd5s5h4s QcTs8s4c2s KsKc8h5d3h JsJd9c7h4s 
AcQh9s3d3c JdTd6h6d3h JsTh7h3s3d 9h7h6d4d3c 
AcTc7s4d2h Ks9h6s4d3h 9d8s8h6c5h Jc8c6s5s3d 
AhKh7h5d2s Kc7s7c4h3s KdJh6c5s3d 8h8c6d4h3d 
KhJdJc7s3h Ts8s7c5h3h JcTh7s6h4h Qh9c6h6d3c 
JsTs9d7c3s Jd8d6c5c2s KhJs4h3s2c JdJc6h4c3h 
Jh9d8d6h3h Jd9d7s6s3d JsJc6h2s2c Th8h8c6c2d 
KcTc7h7d4s QsTd8s7s5h JsTd9c4d3h AhQdTc5s2d 
AdTsTc9h2s Th8s8h5s3d AsJcTc7h2d AsJh7d5h4h 
8h8c6h4s3s Qh9s8s6s2h Jc8d8c5h3h AdTh6s3s2d 
AcKhTh3s2d QsTd9d5h4c Qs9d8c5d2s Jh8h5d4d3c 
KsQhTc6d2s 8c7s6s6c3h JhTd5d4c2c Jd8s7d5c3c 
QhJs8s5d2d AhJd7s6d3s JsTc9c5c4d QdTd8d7d7c 
Ks9h7h4s4c Td9c7d6s4h Tc9s7c4s4d QdTd8h7c4d 
Kd8d6h6d4h QhJsJh7h4d KsQh7s6h2s AdKd4s4c2h 
AdQs9h6c5h JhTh7h6c5h KhTc7d6c4c QsJd7s7c3d 
KhJh8h7h5c Tc9c7d4d3s QdTh7h6s6c KsJd4s4h2d 
AsQhJd6d6c QsJh8c4s3c AdJd7c3h2c QdJh4h4c2d 
AsQh9c6d5c KsQcTdTc4c AcTc8d5c4c 9d7h7d5h3h 
KsTsTd8h3c AsQh8d8c5c QsQc8s4h4d Kc9s7h4s3c 
Kd9h7s6d2s JhTs9c6h4h AdJhJd7d2s AdTsTh5h4c 
JsJhTc4d2h QdJh8c7d4s AhQd9s6c5c AhQd6d5c3s 
AcJsTd6s3h Ts9d8h5s3h 8s8d6s4c3c JdTc9h5h3s 
9d8h8d7h2c Jh7c5h4s3c KhTs9d6c5d Kd7d6s5c3h 
Qc9d5h5c4h AcTs5d3h3c KcTh8d6s5h 9h8c7h6c3c 
As9h7h6c4c Ah9h7c2d2c QdJh5c2h2d AdQs5s5c2c 
QsJc9h4h2c JsJdTd8d4d Ts7s6c4c3d AsJc7d7c3d 
AcQcTc3d2h Ks7d6d5h2s KcQsQh9c2c AcJd5s4d3s 
AhTsTd5s4c QsQd7s6h3c QcJsJc7h4c KcQd5h3c2h 
KcTs9s6s5h QdTs7h7d5c QsTc8d7h5h KcTc9s6c5c 
Kc9h9d7d6s 7s7h6h5d4c 9h6h6c5s3c AsJcTh4h3h 
JhJc6s4c3s AcQsTd6h3d AdQs6c5d3d AsKdTc8c3c 
QsQc7h6d3c KsQcJd5h5c AhJd9c5c2d As9h8c7h7d 
AhTdTc4h2s AhTh9s4h4c AdJc5s4h2d KcJd7s7h6s 
KhJh6c5c2h Tc9h7s4c3h 7h6h6d3h3d Th7c5h5c4s 
AdTd6s3s3d Js7s7d5c3d KhTsTc9d2c Qh6h6d5d3s 
KhTd8s6c5d Jd7c6d5h5c Ad5s5d4d3s JdTd9d8c2s 
Kd7s6d4s3d 9c8d8c7h6s 9s7c6d6c4s KdQd9s4d3s 
KdQdJs2h2c AdJs9c3s3c QdJs9c7h5c Ah7d5s5d4s 
QsJc9d4d2s QsQh7s6c3d As9h8d7h7c Ah8h8c6h4s 
KsJc6s6h5s Qh8s5s4h4c TsTh9c3s2h KcQd9s7c2s 
AsKd8c6h4c QcJh9d8s4c Qs9h8h6h2s KhKdQc7h2h 
9s9c8h5h3s AhQc8s5c4c JsTd6s3d3c Tc9s7d6h4s 
AdQs9h6h5c 9c7s6h4s3c KsTh7c6h4h Ad9c4s4d3s 
Kh9d7h4s3d QsJh7s7c3h AsTd6s5h2c JcTdTc6c4c 
KhJc9d9c6s QdJs4h4d3h Kd6s5s3h3d Ac9h8c6c4s 
QhQd7c5s3h AdKcQh5h2h Kh9h8s6h5c Ks9c7s7c2h 
Js9h8s7c3c AcTc8c6c4h As6d5h5c3s 8h8c7c6c5s 
AcKd8s5h4h 9c8d7c5d2h AdTs9h6c5h QhQd6s6d2c 
Ks7s6d5d2h Td9c7d6c2s AsJs8s8h6s QdQc7d4s4h 
AdKsJh8c3h AcJsTs7h2d QcJs4h2s2c AdKdTd2s2c 
As9h8h7d5h 9c7d7c6s3s Qh7s6h5d4c 8s6c5s4h2c 
AcQcJd8c2c KdJs6d6c5d 9d8c7h7d4h Ac9c7s6d4c 
Kd9s8h7d5d QdTc5d4h2h AdKcJs8h3s Qs6h5c4s4h 
Kd9h7d6s4c Jc9h8c7d3d KcQc6d6c5h KsQsJd3h2c 
JhTc5s4d3h KsJhJc7d3s QhJd4s2h2d 9d9c6d5h5d 
As8h4s4h2d Kh9d7c4d3h ThTd8h4d3d KhQdTs9c2s 
QcJc8s5h4c JcTh9d6s4d Ac6s6c5c2s AhKd9s8h2h 
QsTc8h7c2h AcJs7h6s3h AhKcQs5s2s Ks7s6h5c4s 
QhJsTh6c2d Jh9c7h7d3c Kc9s7d6c2s 9h9d8d5h2h 
QsJcTs9s2s AdQh8s8h2s Kd9d8s5c2c 8s8h5h2s2d 
QhTs9h6c3h As8s8h3s3h Kd7h5d4h3h Ad9d7c5h2s 
Ac9c8s8c4h AdJd5h3s3c 9d8s8c5d3c AhKd9c6h3h 
AdJc8s6s3c KhQdJs7c4s Qd8c6d6c4d Th7s6d5h3d 
KcTsTh9s3d As7s6s5d3h ThTc8d4h2c 9c8s7h7c4h 
Qh9s7d6h5h Kd9s7s4h4d 9h7d5h4d3c AhTc7h6s2d 
Qc6c5h4s3s AhJc8s6s3c 9c8h8d5c3h JcTs9s5s4h 
6h6c5d3d3c 9s8h8c5s3h AhQd9d8d5d QcTd9h8c4c 
AdQs9c5s4h KhKc6d4d2s AdTh8s5d3d KdQsQdQcJc 
Td8s7s5c3d Kc8s8c6s2d QsQh9d5c2s KdTs8h7s5c 
AcKhJd8s3d 9d7s5h5d4h KhJs4h4c2s KhQc6c5s3d 
KdQdJs3c2h KhJsJd6d4d QsQc8h8d4d KcTh7h6h4d 
Th8s7c6d6c KhQsTc5c3d 9h9c8s5c2s Tc8d7s4s4d 
AcTh9s6d5s Ks8s7h6h3h Kh9s7h6d2s KcTs9c6d6c 
ThTc6d6c2d JdJc8s4s3d JcTd9d5d4s AhTs7s6d5s 
AsQs8h5d3s 9s8s8d2h2d Th8h7h7d4d QhJh7s4s4d 
Qc9h8c5h2s Js9d8s7s7c AhQd8c5h2h AsQh9d5h4c 
AcKhQs8d2s AsQdTc5c3c AcKdQc4c2c JcTs6c4h2s 
Kd9h8d7d5s AcKdJh5d2d QsQhJsJdJc 9d6d5s5c4s 
KdJd9c7d5d KhTd9h3h3d 9c8s8d4s4d Kh9s6d5s5d 
KhKdQs7d2d AdQd5h5d3s KsQs5c3h2c Kd9c8c7c3d 
TdTc6h4c3h AdQhTs5c2h 8d8c5c4s2d KcTc8c7c6c 
Jd8d5s4s3h Th9d6h5d2s JcTc9h3h2c Kd8d8c6c2h 
JcThTc6s3d Js9c8d6s2d JcTh6h5d4s AsKsTd3s2c 
7s6h6c4c3h Kd7h6d4h3d Qh9d6s6h3d 9h7s6s4h4c 
JcTs9c8c2h Ks9h8c7s5s KcJh8h6d5h KsJsTc6h2d 
AdJc6s5d2h TdTc8c4d3d TsTc9s4h2h Ad9s7d6h4d 
QdTsTc9s5s Tc8h7h5s3c ThTc6d4c3d 9s9c8s5c2c 
Td8d7c5s3c JhJd7s2h2d Ac8d8c6c4h AsKcTc3h2d 
Ts8s8c5c3d Jd9h8s6d2s AcJh5c4s4c AcTsTd6h5s 
Jd9s8s8d4s QdJd8d7s7h Jh9d5d4h3s AdJc8s6c3s 
8h6c5h4d2c QdJh6s5s2h AcJc7h4s4c KdJs8d8c2c 
AhTsTc9d2s Qd9d8h5c2h AhTh7c3s3d Ad8d8c6d4h 
KhJc8s5s3c QhJhTs8c3h Th8h8d5d3c KhQsJc5s5d 
AsQc9d5h4c AdJd9d6h4s Qc9d7c5d3d Ks8h6h4d3s 
Ad8d5h5d2h Kc6s5s4s2c AhTd7h6s2c AhTs6c5h2d 
TsTd8c7h4s Ts9d9c5c2d AcJd9c6h4c Kd9s6s5h4h 
Kc9d6d5d2c JsJc7c4s3c Th9h7d4d3c AdTs7d6h2c 
QcJc8d5h4c KdQh9d7c2c QdJcTh8d3d Jd8d6s5s3h 
AdJh5s4h3s Ts9h6s5h2d Th8d6d4h3c KhTc9c7s5c 
Qh8c5d4h4d AcJd8c3d2c 8c6h5h4c3s Ts6h6d5h4s 
JhTs7c6h4h QdQc6h4s3c Kc9h7d5h4d QcTs8s7d4h 
QdTh9s8d4d AsKhQd8c2d KcTc8c6s2s KcQh8c7s2s 
Qh9h9c5c2d AdQcTs6h3s Kd9d9c5c2s Js8s5h4h3c 
AhJc7s3s2h AsKcJh8d3h 8h7c6d5d4d KsQh9s5d3c 
AcKhTh3s3h Th9h7d4d3s Ks9c6d5d5c Kd9h9c7h6s 
Ks9h7c6c5d Tc7c6h6c5h QsTh8d7h2d JcTs6d5c4c 
KhTc8c4c2h AdQs9h6c5c KhTs8s4h3h KhJd7d5h2h 
AsTs5h3h2h Js9h7c6d5d JhTsTh6d3c AsQhTh4h4c 
QhJd6h5s5c Qh9d8h7d3c KdQs9h6s6c Qh9d8s5d2h 
KsQs5c3s3c AdKh9c3s3d KdQd5c3s2c AsAhAc8h3h 
KcJd7s6c4c KdQhThTc4h KsJc6s6d5s Js9d5s4c3d 
JsJd8d5d4c AcThTc7c2s QsJsJc4d2h Jc7s6c5s5h 
Qc9s5d4c3s Qc9d7s6s4d Td8d7h7d4h JsJh9d5s3c 
AhTdTc9s2d 9s8s8d5d3s AdJs8c5s5h 8d6h5d4h4d 
Qh9d8h7d3s Th9h8c7h3c Jc9c8s5c3s AsThTc6s2d 
AhQcTc4d4c Js9h8h8c2s AhJs9c7d4s Ad9h7c3h2d 
Ad9d7c5s2h KhQdJc5s5d Js8h8c6s6d AhJd5c4d3c 
AhKsJd7d3d Tc9h8h8d3d KcQsQc9c3h Kd9s7h4h4d 
Th9h8d5d2s QhJs9s7s7d QsJc9c6s2s QsJd8c7s4h 
Th9d5d4s3h KhQdJc7c4s TsTc9s9d9c Td9s8s7h5c 
Td9h6d4h3h JhTd9c6s4c AdKdTd6c3d AhQs6s5d3c 
AsKcJh5c2c KcQsJh7h4d TsTh8d7c4s Js8s6c5c2h 
Ts6h6c5c4s QsQc5d4c3c AcJc9d6h4c KhJh9h7d5h 
JsJc9s4s2c 9h9c7h5s4d KsTd9d6d5h Ad9h7s5d2c 
Td9d6s6d3s Qs9s7d6s5h JsJc9h6d4s Jd9c8s7h5c 
AdJc7c5s5h Ks9h9d7h6c AsQh8d5s2s KcJdTc8s3c 
Jd8c7d5s3s 7s6d5s5c3c QcJh7s7c3h AhJc9h6h4d 
AcQc9h7d3c KcQs9c7d2d AdJh5c4s2d AdTsTd5d4d 
KhTs9d5d2s KcQcTsTd2c QsQd8h8c4c Kd9c5d4c3h 
QsJs9s9d6c 9d8h8d5h3d KsQd6s5s3c 9d7d6s4s3c 
QcJc6s6h3s KcQcJs3h2d 8s8d5d3s3d JcTsTc8c5c 
AhTh5h5d2d As5d3d3c2s Qs9s6d6c3d As5c3d3c2s 
JsTs8s5s4d JsTs8d8c4h Jd5s5d4s4d AdJs6c5d2h 
Ts8s7h5h3c 8h7d7c5c3d 8h8d5d2h2c 7h7c5d5c2h 
KhQc8c6d5c AsTdTc6h5d 9h8h8c7d6s As9d6c4c2s 
AcJc5h4c2h QhJs9s6h2h 9s9c8s6h5s JdTs7h6s4s 
AcJh7h3c2h KdQhJc5s5h Ts8c7d6h5h Ts9s9h5c2h 
AsJcTc5d2h AdTh7h7c5s ThTc6d4h3d Qs9c8d5s2d 
Tc9s7h4c3h Kd9h7d5h2c Kh7c6d5h2c QsTd5d4h2h 
Ah6c4h3c2s Ah9c8d6s2h AhQh8c3h3c KcQs8s6h5s 
Td9c7d4s4c 9h7s6s6h4h AhQc6d5c4c AhTd4s3h2s 
8s8d5d4h2s Jd9s9c5d2c JdJc8d5d4h KsQdJd6c3d 
AhQc8s8d5d 9h9c5c4s3h QhTd9c7s5s JcTh9h6s6h 
As6s5c3c2c Qs9d5h4s3d TsTh6s5c4d Ad8d6d4h3h 
Qd9h9c7c6s Qs7c6s5h4d Th7s7h6s3d AcJc7h4d4c 
AsQs8c3s3c KhQs9h7d2d Ts9s5d5c4c JhTc9s7h3h 
KcJs8h5h3s 9d9c8c6s5c Ts9d7h4s3d JcTh5s4d3c 
KsQd8d7c5h AdQsQc8h3h 9d8c6h5d2c KsKhJc6d2d 
AsJh8h5d4h Js8s8d6d4s QhJc9h6s4d Jh8c6d5d3h 
KdTsTc9h2s AsJd7h4h3d Th9s6s5h2d AsJsTs6d2h 
Ac7c6c5h3d Ts9s5d5c4d AhJh7d4h4c Kd9s7c4d4c 
AhJhJd7c2h 9d8c7d5c2h KcJcTc4c3h KhTc8s7d5c 
Ks8h7h5s2d JhJd7h4d3h AdQd5s5d3h KcQsTc8c3h 
9h7h6s4s3c AsJc7d3d2s AsKh5h5d3h 9h6d6c5h4c 
Qs9s9c8h6s AcKd8c6c3s Jh9c8h7s7h QdQc9h5s2c 
Kd9d9c6c2c QhTh8h7s4c TsTc7c6c5h Qd9d7c5d3c 
AsQh9d6c5d QhQc5s4c3c Ad5s3s3h2d KhJh9d7h5h 
6h6d5d5c4s KhQs5h3s2h Ks9c5s4c3d Th9d8s5h3s 
AdKh8d6d3c AdTc8c6h5c Ac9c8c4d3d QsJs9s7h3h 
AsJs8s7d2c JsTd7c3s3c KcQc9d6s3h JcTd6c5c4s 
AsTc6h5s2d Kh9s8s7d6s AhTdTc6s2h JhTs9s6s6d 
AhQh9h9c4s AsJs9c6h4s AdJd9c6h4d Td8s5s5c4d 
QsTc9h7d5d AhKs3c2h2d Th9c6d4h3c KsQd8s8c6s 
QdJh7s4h3s Tc9d7d6c2s Ks7h6s4h3s As6h5d4c2s 
Ks9d7s6c4h KcJsJh6s4s QhTh8c5h4d KhJs4s4c2h 
Jc9s8s8d2c Tc8c7h7c4h Qs9c6c4s3h KsQsQc8h2d 
Kd9s5d4s3c KcJh5s5c2s 6s6d5d4h3s Kd8c6c4h3d 
AsJs9d6h4s KhThTd4s4c KhKd7s4c3s AdTh8s5c4h 
QcTd5c4s2s AhQsQd8d2d JhTs6d5d2s AdJdJc7d2s 
KhJh7d4h4d KcTh8h4c3c QhJc9h7c2h Tc9s7s6c2d 
KsQd9s5c3h AdKhJh6h3c QsTd6s6h2d QdJdJc4h3d 
QcTc9s7h3d AdTsTc5c4h JdTh7s7d4c Ah9d7s3h3c 
