8d8c4h3h2s 
AcQh7s3h2h Jd5c4s4d2d AdQh6c3s2s Qd6h4d3d2c 
Qs9c6d4d2d Kh8s6s3s3d Js8h5s3c2s 9s5h5c4d2d 
Ac9d4h4d3d KcJc7h7c2c JcTsThTc6h Qc9c4s4c3c 
8d6d4h3d2s Th8c7d3h2h Js9c4s2s2d AsQs7h3s2s 
9s5d4h4d2c KdTd7h3d2d Td4s4d2d2c Ts6s5h3s2d 
Jd6d5s2d2c 9c6s4h3d2h KcJs6h3h2d KsJd8d2d2c 
Ac7d7c3c2c Kh9c8d3s3d Tc7c5c2s2d AhJd7s3s2s 
8s7s4s2s2d Qs9d4d3h3c ThTd6h6d6c Jh9s6d2d2c 
9c8s7d3d2h Qd8c7h4s3s KdJh6d3d2d Th8c7c3d2s 
As9d7d4c2h 6h4h4d3c2s Qs3h3c2h2d Ks9d3d3c2c 
KcQh7c3s2c 9d8h7h3h2c Jd7d4d3s3c AsTc4d2h2d 
Td9d4h3d2d Js8c5d3c2c Tc4d3s3d2s AsJh4d3d2c 
Ts6d4s4h2s As9c6h6d2c Qd7h5s4s2s AdTs6s3c2s 
Td7c5h3h2s Qh9h6h3h2c Ks8h5h5d2h Kh8s7c4s2s 
KsTh4d3c2d JhTh7h3h2h Td9c3c2s2h Ac8d5h3d2s 
Jc5h4s3s3d Kc9d7s3c2c 9h6d4c3s2c Qd5s4c3s2h 
As8c6s6d6c QhQdQc9h8s KsQs8c2s2h Tc5d4h3s3d 
AcTh6h3h2d KsKdKcQc3h Ah9s7c2d2c Jh9s7s2s2d 
Jh7s7c4s2d Jd8h6c3s2d Qh6d4d3d3c 9d6c4h3d2s 
Qc7c3h3d2h 8c5s4h3c2c Qh5c4h2h2d Kc6h4h3d2s 
Qd8d6s3d2c Qs6h3h3d2d 4h4d3s3d2d Qc9d7c4c2h 
Ac9c7c3s2c Td8c4h3s2d KcQd7d3d2s Kd8c7d4d2d 
Qd5c4s3h2c Kc9h7d4h2s Qh6s4c3s3d AhTs6c3s2d 
Ad6d4d3d2c 8s5h4d3d2d Qs8c7s4s3s Ac8c6c3c2h 
KhQd7d3d2s Td6d5s5d2d KcTs7h3d2d Td5h4h3s3c 
8c7s6h3s2s Jc7d5c2h2c Kh8d5d4d3d 8s5c4d3c2c 
AhJd7s3c2c Th6h5h3d2c Jd7s7h6h2h Qh6h4h3h3c 
9h9d3s3c2s AhQh9h3h2h Ad9h6h4c2s TsTh4d3s2s 
Qd9s8h3c2c AcQsQhQd6c AsJc7c3c2d Qd9d7d4h2s 
Th6c5c3s2d Qd9h5h3c2h Js6s4s4h3s Qc6h3d2h2d 
AcJs9h9d9c 8s8d4d3d2c Qs7d3h3d2s Tc8d4c3c2s 
Qc7d4d3s2s 9c6c4d2s2h Kh9h8h4h3c 8s7s6d3s2h 
AsTd6d3c2d 8c6c4d3h2c Ks8h4h3d2d QhJhJdJc4d 
Qs7d5d4d2h Ks7c5h5d2c Qd6d5d3s2d 8c6h3s3c2d 
Jc8h5d3s2d TsTc5d3d2d Ts7s4s3s3d AdJc7s3s2h 
Js6h4d4c3h Td8c4c3s2h Qh7d3d2h2d Jd7d6c4s2d 
Qh9d7h4h2c KdQd7c2h2d Kc9d8d3h3d Th7h6d3s2c 
7s7c3c2d2c Kc7s6d4h2h Jd7c6s6h2h Th9c3s3h2h 
AsQc6d3d2h Qd8h5c2s2c Jc6d3d3c2c Qc7h7d4c2s 
Kc9s5h4d2s AcTd4d3s2d Jh9d4d4c2s 9s5s5c4h2s 
KhJsJhJd3s Td9d3d2s2d Ac9h7s4h2h Qs9d5c3h2c 
Qs8s7s7d2s KcJd7h3d2s JsTsThTc3c Ts7d3s2s2d 
KcJd4s3s2s Qc8d5h3s2d Ks8h8c4h2d Kc8c5c3h3c 
JhThTdTc3c Jc9s7s3d2s Jc9d7h3s2s 9d8d7d3s2h 
Jc5h4d2s2d Ts4h4d2s2c Jc6c5s3c2h KhJd8d3d2s 
Kh7h6d3h2c Td7s5d3c2h Ac7h5d3s2d Kd5h4c3c2c 
Kd9h6s4h2h JsJhJc9s6c Qc8s8d4h3h Td6s4c3h2d 
6s3h3c2s2d 9d5h4c3h2s Th7s6d2s2c KhQc6h3h2h 
Js7d6h2s2c Ts5s5c4d2s Qh9s9h9d8s AdJc7s3h2h 
Qs8s3d2s2d 5d5c4s3h2h TsTh4d3c2d Jd7h4s4d2c 
Qd8h8c4s3s Ks7h6c4h2h Qs9d8d3c2d Js9h6h2h2d 
AhTs6s3d2s KsTh4c3d2c 9h8s7s3s2s Qs7s5h2d2c 
9d5c4s4h2d Qd7h6h6c2h Kd8d8c3h2s Qh7h5s5c2h 
Ks8s4h3d2c Qd8d6d2d2c KhTd4c3s2c Kc7h7d3s2c 
QcJh8h3h2h Jh8h4s4d3h Qd6s5s3h2s 8s5s4s3s3c 
JsTsTdTc2d Kh5d5c3c2s AhTs6d2d2c Ac7h6h2s2d 
Qh8h5h4h3h Kc8c5h3c2d AcQh2s2h2c 8h6h4h3d2c 
Kd6h4h3s3h Ks9d8c4d2h 8s5s5c3s2h 9h5h5c3d2s 
Td8c5h3s2h 8s6d6c3d2d 7h7d4s3s2c Qh4c3s3h2d 
8s7s6d3s2c Ah9d6d4s2c Td5c3c2d2c Js8h6c3s2d 
Ad6h4c2s2c Qs8c7d4h3h Kh6d4s4d2d KhJs6c3d2c 
Jc7d7c4c2s 9d8d5d4d2d 6s4s4c3h2d Js7d7c4h2d 
Jh6d3d2h2d Qs5h4d4c2c Td5d3h2h2d Ks8s4h3c2d 
Qh9c5s3s2d QdJhJdJc4h 8s4h4c3c2h Kh8d5h3h2c 
Qc7h3d3c2d Jc7h5c2s2c Jd9d4c3h2d Kd8d7d4h2d 
Jc4s3h2s2h 8c7d4h4c2c KsJsJhJc3c Js8h7c2d2c 
9s5d4s2s2h Tc5h5d4h3h Jh6h6d2s2c Tc7c6s3h2d 
QcTc7c4c2c Tc4h4d2s2h 9s6c4h4d2c Tc8s7h3d2d 
9s8s7h3d2s KsTs7s2s2h Kd6c4h3s2c 9s7c5c4c2c 
8s6s4h3d2s Jh5c4s4d2s Jh9d3c2s2h 8s7s4s2s2h 
Qs9d6d3c2d 8h7h6h3c2d Jd7s5d2h2d 8d7c6s3s2h 
As8d6s6d6c KsKhKdJd4c Ts8s4s3c2h Qd6h4s3h3c 
AhQd2s2h2d Ac5h4h2s2d Jc5d4h3s3h Kh9c8s2s2d 
9d6s6h3h2h Jc9d4s4h2h Th6h4d3c2s 8h7s7d3c2h 
Kh9s5h4h2h 9d8c4s4h2c AcJs7d3d2d 8h7c6c3s2c 
9d8d6d3d2s Jh8h8c3h2s Js9d7h3d2d Jc8h8c3c2d 
Kd8h7c4s2s Qc5d4h4d2s 8s8d7d3d2h Qd6s4s4h3s 
9c7c4h4c2d Jh6s5d3h2h Kh8s5d5c2s KcTd7d3s2d 
Js7c4h3c2h Jh7h6s4h2d Jc7s7c4d2c Jc7h4d3d2h 
Qd7s7h3s2h Th7c6d3s2h Tc8d6d3d2s Kh7h4h3h3d 
Qd9h6s3c2h Th8h7s3c2h QsTc7c2h2d Jh5c4c3s3d 
Jh7h6h4c2d Jc6h4d3s3h KdJc8s3c2c QcTh7d3s2s 
Qs5d4h4c2h AdTh6s3h2c Td4h4c2s2c QsJsJdJc2d 
KcJs8s2s2h Ts8d7s3h2s 9c4s3c2s2h 7s7d4s3s2h 
Jc7s6s5s2s KhQs7s4s2s Ts6d5d3c2d Js7h4s4d2c 
Jh5c4c3d2s Ah7c5c3c2d Tc6d4c2s2h Qc9d8d3d2s 
9c5h4s3d2s 4d4c3d2s2d KhThTdTc9h Jd7d5s5c2d 
Jc8h8c3c2s Jd8c5d3h2d Jd9d4c3d2s Kc8c7c4d2c 
Tc8c4c3d2s 6s5s3s2d2c As8s7s3c2s AsJc7d3h2h 
As9c5h3d2c Jd9d4h2d2c Jd6d5s4d2d 9h9d4c3c2s 
7h7c4d3s2d 7h6h6c3h2h Kh5s4s3d2s JhJd3h3d3c 
Jh9s4s3c2d KdJh8h2h2c Kh7h6s2h2c Kh7d6d4s2d 
Jc8h7c4c2c 9s5h4h4c2d KsKhKdJd2c 7s5c3d2h2c 
Jd9d6d4s2d KsQs6s2s2d Js9d4s3h2s Kd7s7d2h2d 
Jd9d4s3d2h Js6s5s5h2s JhTsThTc3c Qc7s3s2d2c 
Kh8d7d4d2s Qc9s6h4h2h Jh7c4d3d2c JsTsThTd9s 
Qd9d5d2h2d Jd9c3h2s2d Tc5s5h4h3h 9s8c4h4d3c 
Ah9s3d2s2d As9h7d4d2d 8h5s4d3h2h 9c6s4h2d2c 
Js9s4h3s2d Kh8d8c4d3d As7s6h3s2s Ts9c3h3c2c 
Qs6h5c3h2d Kc9d5d3h2s Jd8s5c3h2s Qd9s6h3c2h 
9h8c4c2s2d KsJc6d3h2h Jc7d6s4s2h Jh8c7c2s2c 
Jd9d4h4c2d Ks6d4h4c2c 7d5s5h3d2d Jh8s4h2h2c 
AdQsQdQc3d Jh9c4d4c2s AdTc6c2s2c Kh9d9c4s2c 
Js5h4d3c2s 5s5c4h3d2d 9s6c4d3h2h Qh9s6s2d2c 
Qd6d6c2s2d Kh9d8s4c2s Qd6h6c4s2s Qh9d4h3s2c 
8c7h6s3s2d 8s8c3c2h2c Qd8h4d4c3d 5d4s3d3c2h 
9c6s4s3h2d 4d4c3d2h2d KsJc3h3d2h Qd9d7h3c2s 
Js7s7c2h2d Th6d5d3c2s 9s8d4h4c3d Js9s6s3s2c 
Jc7c3d2h2d Qs8s4s4c3d Jd8c7c2s2c Ts7s6d3h2c 
Qh8c6c3d3c Qs9h6c3c2d Qc7d4s4d3h Jc9s7s4s2d 
Jh8s6h3c2d Kc9d8s2h2d Td8h4h3s2c Ks9h7d4h2c 
Ad8s4c3s3h Qc6s6h4s2d Qc9d5h3s2h Jh9h8h4h2h 
Kh8h8c3s2d Qd7h5c3d2s Qs9d8c4d2d Js7s7h4c2s 
Ad6s4s4c2s Kc7c4h4c2s Ac9d7d4s2h AhJs7c3c2c 
Jd5d4h3d2s 7h5d3s3d2c 8c6d4d3s2d Kd9h8s2h2c 
KsQd7h7c2c AhQh7s3h2h Ks9d5c4h2d Th4d4c2s2h 
Qc9s9h4d2d Qs9h9d3h2c KcJhJdJc2h Qs9h4d4c2s 
9d8h4s4d2d Qc9h6d2s2h Qs5h5c4d2c 5d4s3h2d2c 
8c5d4s3s2s 8s6d4s3h2s KsTd7c3h2h Kc9s8h4h2d 
Jh8c6h2h2d 8c5h4s3h2h Qh9c5d3d2d Ks8s8h3c2d 
Jc5h4s4c2c QdJs7c2s2h Kd8d7d4c2d Tc8h7s3c2c 
Kc5d4d2s2h Qh8d6s2s2c Kd9c6c3h2s 8d6h4d3c2d 
KcJh7s2h2d Qd9c5c2h2c AdJc4s3h2s KcTh4s3d2s 
Kc8h5s5d2d QsJc7d7c2c Kc6d3c2s2h KsQs8d3h2s 
Ks8c7h4d2c Ts7c3s2s2c Ah9s7c4d2s Kd5d4d2h2d 
As7d6c2h2c Ts9d3d2h2c Qh8h6h2h2d 7s7h4d3d2c 
Tc6h4h4d2s Qc6s5d3s2h QcTs7d2s2h Jh3h3d2s2c 
Jh5c4h3h2s Ks6h6d3s2s Kh9h8h2s2h Jh7c6d4c2s 
As6c4h4c2c Kh4h4c3d2h AdTs6c2h2c Qd8h8c3s2d 
8d8c3s2s2h 9c5d4d3h2s Td5s5c4c2h Jd9s6s3s2h 
Qd5h4h3s3h Qs7h5d3s2c Jc8s4s4d2s Jc8s5c3d2c 
9c6s4d3c2h QdTc7h3c2c Ah9s7s3d2c Ts9c3d2h2d 
Kc8s8d3h3d KhKdKcJh3s AsQh7d2d2c Jd6s6h4d2c 
Kc9h7s4h2d 8c7c6c3h2s Jh6c5s2s2d 5c4s3d2h2d 
9s5s5h4c2s Jc9c4s3h2c Ah5c4s2s2d Jd6d6c4h2d 
Td4h3s3h2d Ah7s5c3c2d 8d7s7h3h2c As7c5c3h2c 
Ac8s5h3s2d 9s7s5s3s2d Ah5h3h3d2h 5s4h4d3d2c 
8d4c3d3c2d Ks8s7s4h2s Qs7h5c4h2d Qc9h8h3d2h 
KsTh3h3d2h 8c7s5d3s2s Tc5s5c4c2h Td6d6c3s2h 
QcJd7d3s2h KdTc7c3c2c AsJh9s9d9c 8h7s6s3s2d 
8d5s5c3h2c Qh8s6h3d2h Jd9d4c2h2d Ac9s7s3h2d 
Kd8d4s2h2c 5c4s3h2d2c Ac6d5s3h2s Td6d4s3c2h 
Qh7s6c2h2d Ac5h3h3d2s 9s9h9d7h6d 9d8d6d3s2d 
7h7d4h3h2c Kh5d4s2d2c Ks7h5d5c2c Js9c7h2h2d 
9h7d5d4d2d Ac5s5h5c3s Qc3s3c2h2c Tc6c4h3s2d 
KsJc8d3h3d AsQc6c3c2c Kc9d8c4c2c Qc8h7c3s3c 
Qd8c7d4d3d Jc6h3c2h2c 6s5c3d3c2c Qs4d3s3h2c 
Kd8c4d3h3d Td8h4d3s2c Tc9h3s3h2h Jc7s7d4d2h 
Jc7h7d4s2d Qh9c8d3s2s TsTh4s3s2c Tc7h5c3s2d 
KcQs7c3h2c 8s7c4s4h2s 9s5s5d3s2h 6h4d4c3d2s 
Jd6d5h3d2s 9s8c6c3c2c Qc6h4s3h3d Ks9s8s2s2c 
Qc7h3h2s2c Jc9s4c3c2h Jd8d6c2h2d KcQd8h3c2c 
Jd9c6h3c2s Ac8c3d2h2c Ac8d4s3h3d Kh7d4h2s2c 
Ks9c6c3h2d KdTs7c3h2h Kh8h5d3h2s QhTd4d3d2d 
Qh7h5d5c2h QhQd5s5h5c Td9h3h2s2h KdJc6s3h2s 
Th9c5c3c2c Th5c4s4d3d Jc9d6h2s2d As9c7h4h2h 
Th8d6c3d2d 9d5h4h3h3c AdQs6s3s2s Ks9d6h4d2d 
AhKh9h3h2h Tc7h5s3s2d 8c5h4d3d2d Ks6h5c3c2c 
Tc4s4d3s2d QsQh7c3d2d Qh8c7s4d2s KsKdKcJh3d 
Th7h5c2h2d Jc8h5d3h2h Tc8h4d3s2h 9c5s4c2d2c 
Ah9d3h2h2c JcThTdTc3h KhJs6d3c2c KcJd6s3h2s 
Qs8s3h2s2h Td6c3d2d2c Jd9h4s4c2c KsTd4s3s2s 
Kd5h4s2h2c Th7h6h5h2h Th6h4s4h3h QdJs8d3d2d 
Jh6c5s3s2d Jd7c4c3s2s 9c8h4s4h2h Qs5h4s2s2d 
9c8c4s4d3c AdQs7h3s2s 9h5h5c3s2d Qh8c7c3s2s 
Jc9h6h3h2s Qc7h4c3s3c Qh6d4h3h2s 9h6s4d2s2c 
Qc8c6s3c2d Kd6s4s4c2h Ac9h6s6d2h Jh8c6h3d2s 
Jc5d4h4d3d Jh8h4s2h2d Qs9h6h3d2h Kc8d6h3s3h 
Td5h3s2s2h Kh8c4d3s2h TdTc6h6d6c Jc7c5s3c2h 
Kh9h8c4h2h Ks7c4h4c3c AsJd3h2h2c Qd9c6s2h2c 
Jh8h4d2h2c Ah9c7c2s2c KdJs6h3c2h Qc5h5d4h2h 
Ad9h7h4c2s 7s7h3s2s2c Jc9s7d3s2s Jh9d6c4s2c 
Kd8c5h3d2d Qd8h7h3s2s Qd6d4c2s2h Qd7d4s4h3d 
Js7d4s4c2h KhKdKc6s4c 8c6s4c3h2c 9d4d3s2s2c 
Qd7c6s2h2d As8c4c3h3d Qh9d6d3d2c QsJsJdJc6c 
Qd9c5h2s2c QcJc7c3d2s 8s7d7c3h2d 8h7s7c3d2c 
As9s7s3c2s AcQs7s3d2s 9c8c4s3d3c Kc7s6h4s2s 
Ts4c3c2s2d Js4h3d2h2d 7h7c4s3s2s Ks8s6c3s2d 
KhQc6s2s2d QhJsJhJd2s Jh9c4s3c2d Tc8c6d3c2h 
As8h3s3c2s Tc5s4s3h3d Ah6s5d3d2d Ks6d4h4c2h 
Kd8h5s5c2c Qs4s4d3c2h Tc8d6h3s2s Kh9d4h2s2c 
8s7s5s3s2c Ks8d7c4d2d Td8s6c3c2c 8d6c4d3s2d 
As6h4d4c2c As9d8d4d2d KhJc6s3d2s Tc4s4c2d2c 
Qc6s4s4d2h Js9s4d3c2s Ks8s7s2h2d Kh5s5c3s2d 
Kc9s8h3h3d QsJs7d2h2c Kc9d6h2s2d Td7d5d5c2d 
Qs9h4d3d3c Js4h3c2h2c Td8s7c3d2d Jh9h7d4h2h 
As9c7h4c2c Jh9d7s3s2c TsTh7d3d2d KdQd8c2h2d 
Tc4h3s3h2s Jh6h3h3d2d Jd9d7d4d2s Qh9d6s3d2c 
Jd9h7h4h2c 9c5s4s4h2d Qh7c6s4c2c AsQd6s6h6d 
Kc8h4s3c2d Jh8c6d3h2s Kd5d4d2s2d AcTs3h3d2s 
Qd6s3s3c2c 7h5h4h3c2h Jc5c4c3h2d Js8c4h4c2c 
Qc6s5h3h2h Jh5s4s4c3s Qc7s3s2s2c Jh5h4s3h2c 
Js7s5h3s2c 8s5h5c3h2d 7s7c3s2s2h AsThTdTc7s 
7c5s3h3d2h Tc5d4h3s3h Jh8h4h4c2s KhJc8s3c2c 
7d6d6c3d2d Qh5s4d4c2c 8c7h6s3d2s Qh7h7d4h3h 
9h8s7s3d2s 9c5s5c4c3c 9s9h7d3d2d Qh7h4h4d3s 
Jh6d5s3c2s AcQsQhQc3c Qd7c3h2h2d Qc9d6s3h2h 
Kc8d7s4h2d Kc9h4h4d3s Qc6d5h3h2s QsJs6s2s2h 
Qh7s7d6c2d Ah8s5c3c2d Jd7c4c3s3c Qs7d5d4c2d 
Tc6c5h2d2c Th4s4c2s2d KsKdKcJs3h Kh9c8s3s3d 
9d5h5d4s2d As9d6c4d2d KsKhKc7d5h Ac8d5s3d2h 
8s6d4s3c2s 5s5h4s3d2s AdQh6c2s2c 7c5h3s3d2s 
AcJc6c3s2c Tc8d6s3c2c Th6d4d4c2d Qc6s6d4s2h 
Qh9c6c3c2s AhTs6d3s2s 9d5s5c4h2h Jc5s4c3c2h 
8c5s5d3h2d Ad5h5c3h2s Ad9c6c4s2h Js8d4s2s2c 
7h5d5c3s2h KdQc8h3c2s AcJd4s3s2h Qd6h5s3s2s 
7c6c4d4c2c Ah7s3h2h2c As5h4c3h2h Kd9c3h3c2h 
Js9s4h3c2s 8c7d7c3h2c Jh5s4d4c2h Ad8s4s3h3c 
AcTd6h3h2s Kd7h5s5c2h Td7c5h5c2c Qh9s6d3c2s 
9h8d4s2d2c 5d4s3c2h2c 9d8d4d3s3d Jd5d4c3d2h 
Th4s3s3d2h AhTsThTd8h Jd6s5h3h2c As9d5c4d2d 
Ac8s3h2s2h 8h5d4c3s2s 9h5h5d4h2h 8s8c7c3c2d 
Qc9h6h3d2h Qd6h4h3h3c Jc7s6h4d2d Qc8h7s4d3d 
9c4d3d2s2c QcJh8d3d2d Tc9h8s8h8c KsKhKdTd3c 
Qc7h5h5d2s 9h6d4s2h2c TdTc4h3h2s 5d3s3h2d2c 
Kd9s5c4c2c Js9d7c4c2c Kh9h8h4s2h 9s5s5h3s2c 
Jh7s7d6h2h Ad9c6s4c2c Td8c5h3h2h KcQs7h7d2h 
8h7s5d3s2s KsKdKc6c5c Jd8c7c2h2c Qd9s6c3s2s 
9c8s4s4h3s AsJc6c2h2d Qh7s5c4d2c Ac8d5s3s2h 
Jd7c6s2h2d Qs8c7c3h2h Kd7c4s4c3c Kc6s5h3h2h 
Tc5h4d3s3d Jc9d6d3s2d Qd7c5h3d2s Ks6h6c3s2s 
Th8h4h3s2c Jh8s4d4c2s 8c6d4h3s2s 9h5s4c3d2h 
Kd7h4d2s2c Td9c4d3d2d Td9c3s2s2h Ad7h6h4c2h 
Ks9h8h4h4c Js7s6h5s2s Qc9s5d2s2h Qs7c4h4c3d 
Td6h4s4d2d Qd7h6s4c2s Th8d5d3c2d Qh5c3h3d2s 
Jc6s5h3d2d Qd8d4s4h3d Ts6s5c3s2h Ah8s4s3d3c 
AsJd4c3h2c Kh9s8d4s2c 5h4d4c3c2s Jd7h6d4c2d 
QcTh7h3d2h Ts5s3c2s2c Qc8d7s4s2h Qd7s4s4c3s 
Jd8d4d4c2s 5s4c3d2h2d 8c7c4s3h2d Jc5d4d3h2s 
Jd7c4s3c2s 6d4s4h3h2c Ad8d4s4d2d Qd6h6c4c2s 
Qs8d4h3d2h Qh8c7s4s2d Qh6c4c3d3c Qd6c5s3s2h 
9d6s4c3h2h Td5h5d4d2c 7d6d4h4d2d Jd6h3h3c2c 
Kc9c4s2h2d 5d4h3s2s2c Kh9c8c4d2c Qc7c3d2h2d 
QcJc6h3c2c Tc5s4s4d2h Ad9d6d2d2c Jd8d7d3h3d 
Qd9s5h3c2h Ts7s5h5d2s 6h3s3c2h2d KhJs7c3s2d 
8d6s6h3h2h 9h6c4h2h2d 9s8h4h2d2c AhTc5d3d2d 
8c5h5d3s2c Js7h5h4h2h Jc7c5c2h2d QdTs3c2h2c 
Qs7c3c2s2h Ac9s5d3d2h Th8s4h3h2d 9c8c4h4c2d 
Kd8d3c2d2c 4s4d3s2s2c QsJh7h4h2h 9d6h4d2s2d 
Kc7s5h5d2d Kh7h6c4h2h Kd9c7s4c2h Kh9s8d4s3s 
Ac9d4c3h2c QdTh7c3s2s Th7d6h3c2s 8d7s7c3s2h 
Tc5h5c4c3c Jh5h5c4d2h Kh8d4c3h2s 8c6c4s3h2c 
Tc5h5d4s3s AdQhQdQc4d Ts4d3d2s2h Ks7h7d4c2h 
Ks9s8h4s2s 8h5d5c3s2c Td7c6s3h2d Jd7d6s4d2c 
Jc9h7d3d2s Js9c6h2d2c Qh9s6c2d2c Jc8s5h3s2s 
As5c4h2h2d Ah5s5c3d2d Ac9s5d4s2s 9d5h4s4c2c 
Jd8c4h4c2s As7c5c3d2c Qh9c8s3s2d Jh9h7s3c2h 
KsKdKc6d5d Jh8c4d3s3c Ts8d4c3h2d As8c4h3h3d 
9c8d4s4d3d Qc8d7s4h2s Td8s4d3d2h Qh6c5c3s2c 
KsJs8s3s3h Ts4h3s3h2h KhKdKcTc4s 8d5s5d3d2c 
9c8c4d2s2c 8s8d4s3s2h AdJc6d3d2d KhKdKcTh2s 
9d5c4s4h2h 8h6s4h3d2h 9d6s4s3c2h Tc7h6d2s2d 
Qd6s4s3h3c 8s8c3h3d2h Qh5d5c4d2d Jh7h6d4s2h 
