9d6d3h3c2d 
Ad8s6s3s2h Qc5c3h3c2c Jh6c4d3c2s Jc6d4d3d2s 
JhJdJc3h3c Ts8d7d3d2d Jd6c4h3s2h Qc9h7h4h2d 
Kc6s3h3d2d 9h5d4h3h2h Jd8s6c3s2h Ac4h3h3d2s 
8h8d8c7h5d Qh8c5c3c2c 5c4d3h3d2d Qs5h3h3c2h 
8s7d4d3h2c Qs8s4s3h2d Kc4h4d3h2h Ah7d4d3s2d 
TsThTd9s3h Ks6d6c3d2d Qc6c4c2s2h Qs8d6c3h2c 
Qd8h5h3s2h 9h7h4c3d2h Ks9s3s2h2d Qh9h3h3c2d 
Kc6h3s3d2s Tc7d4d3h2s Ah8s5d3c2c KcQd7s3s2h 
Ah7s4d3c2s Jd8h7s3d2d Qs7s6s2h2d Jd7s7h3d2c 
Qh8d3c2s2h 9s7d3s3c2s Jh7d4c3h2s Tc7c6c2d2c 
Qs5d3d3c2d Js8c3s3d2h Qc5d3c2h2c AcJhJdJc7c 
9h9d4d3d2d Jh8d7d3c2s Th7s4d3d2d Kc9d3s3c2c 
KcTc9s9h9d Ts6s3d3c2h Tc6s6c3h2c Ah9d6d3d2c 
Jh6d4s3c2d Kc7d4h3s2d Tc5c4c3c2d Kc8s6s3s2d 
7d4s4h3h2c 8c7c3s3d2h Th5d3s3d2c Jd5d3h2d2c 
Kh8h6h3d2h 9d7c3c2s2h Qd9h7c4s2s Ts5s5h3s2d 
Ts3h3d2h2c Js8s8h3s2s Kd9s7s3c2s 4s4h4c3h3c 
Jh4s3c2h2d Kd6c4s3c2c 9c6c3h3c2d 9c5h3s3h2h 
KcQh7d3s2d Ah9d6h6d6c Ah8d4s2s2c Jd7c4s4c2h 
Qh8d6c3d2d ThTdTc8d5c Td5s4s3s2c 6c4c3h3d2c 
Qc4d3c2h2c KdTsThTd2s QhJs7c3c2d Kc4s4d3d2h 
9c8c4d3c2s Kh9c6d2s2d Td5h5d3c2d KsKhKcQs2s 
9h9c5s5h5c Kh8d3h2s2c Js7h6h4h2h Ac8c7c3c2c 
Js9d4s3s2s Kc9s4c2h2c 9s8c7s7d7c Ah8s4s3d2c 
Tc8d4d3d2d Ks7s6s3c2s Td5s4h3s2s Qs7s5s3d2s 
Kc8s3d3c2h Qs4d4c3h2d Qc7d6s2h2d Qd8d6s3d2d 
TsThTc9s8s Qh9s7s4d2s Kd8h3c2h2c 9d8s4c3c2h 
Qs9d7h4c2c Qd8h6h3s2c KdQc7s7d7c Jc7d6s2s2h 
8d5d3h3c2d Ah9s9d3d2d JdTh9s9h9c Ad7c4s3h2s 
As8s8h8d4d Tc5s3h3d2c Qs9d3c2h2d Qc9h7h4h2h 
Kh7c5c2s2c Ts5s5h3s2c Jh6h4d3s2h Ac8d6s3h2s 
Js7s4d3h2c KsQhQdQc6s ThTdTc8s7c 9s7h4c3d2c 
Qd8c4h4c2s Qd8c4s4h2s Tc8c4c3d2c 9h8s4s3s2d 
Qh7d4d3s3d Qd9h4c3s2c JhJdJc9h4c Qc7h4c2d2c 
Kc8s7c3c2h Tc6c3h3c2d Jh8d4d3c2s 9s7h4d3c2d 
Ac9s6s6h6c Ts8s7s3d2s Jd7h7c3d2s Th5c4c3s2c 
Th7s3c2h2d QhJc7s3s2d 8d7h4s3d2c 7d3d3c2h2d 
Js4s4c3s2d 9s7h4h3c2h KdQh8d3d2d 8s5d3c2s2h 
Qs5h3h3c2d Js8h4c3d2h Js7c6s3h2s Qd8d4d2h2d 
Ts7c4h3d2d Qs9c3s3h2s Kd9c7c4c2c Js5h5c3d2c 
Jc6c4s2h2c Ts6s5s3s2c Jc7c4s4c2d Ks7c3h3d2s 
Ks9s4h4d2s Kc9c4s4d2c Qs7s6s3d2c Ts5c4h3c2c 
9c7c3c2d2c Js7c6c4c2c Ks8h7s7h7d Kd8s5s3s2c 
Td4s4c3h2s Kh8h4h3s3h KsKdKcQc2c Ah4d3s3d2d 
Kh9d7d2s2c Jh8h4h3d2c Qd8c4d3d2s Jc7h4s3s2d 
9h8c4s3s2d Ks7h4d4c2c Kd7h4c3s2h Js7c6c2h2c 
Ac6s3s3d2s Kd8h7h7d7c Qh8s6d3d2c 9d7c3h2s2d 
QsJc7c2d2c Qh8s6d3c2s Kd8s5h3h2h Qs4d4c3d2h 
Js4s3s3c2d Js7s4s2d2c 7d4h4c3s2c Jc6d4c2h2c 
Jd7d6d3c2h Qh8s7d3s3c Qd8h5h3h2h Ac4s3s3d3c 
9c7h4s2s2d AdTsThTc8h Kd4s4c3c2c 9c6c3c2s2h 
9c5s3h3d2s Qc7d4d3s3d Kc8d5d3s2d Jh8c4c3s2d 
6s4s4h3s2s 8c7h4d3s2s Kd9d3d2h2c Tc5h5d3c2c 
Kc8d5s3h2s Js6h4d3c2c Ad8c4s3c2h Qh8s3h3c2d 
QcTc9h9d9c Jc9h3s3c2c As6c4h3d2d Ts5d4d3h2d 
Ac6h4d3d2d Jd6d4c3s2d 8s7s3s3h2d Kd7c6s2h2c 
Td8d4c3d2d Qd8d7d3s2c 9s7s4s3h2d KdThTdTc5c 
Td5d4d2d2c Qh9c4c3c2s Kc9d4s4h2h KdTsThTd3s 
Qs7s4d3h2c JsJhJd8s7c 9s5h3h2h2c Kd9s3h3d2d 
Js7c6d3h2h KsKhKcJc5c Qh9c7c2d2c Qs6d3c2s2h 
9h5s3d2h2c Qd4h3c2s2h QsQdQc9d7h Jh7h6h4c2h 
7h4h3s3h2d Ad9d4d4c2d 5c4h3s3h2h Ah8s8h8c7d 
Ah9d4s2d2c Qc7c4h3d2s 9d7d4h3d2s Kc8d5d3s2h 
Qd9c4h2s2h 9h7d4h3c2h KhKdKc7s4h Js8c7d3s2s 
Ah7d4d3c2s JhJdJc7c5d 9d7d4c3d2s Ts5d5c3h2c 
KsKdKc6s3h JsJhJc8c7d 8h5c3s3d2h KsKhKc5d2h 
Ts5c3s2h2d Qc8c7c4c3c Jh8s8h8c7c 9s8c4h3h2d 
AcTs4s4d4c 9c7h4d3s2s Th6d5d3d2d Jh8c4d3s2s 
KsKhKdQs6s 9c8s7s7h7c 7h6s3d3c2c Ah6c4c3c2d 
Ks6s3h2s2c Kc6s6h3s2s Ah6d4c3c2c Qh8s5s3s2s 
As8d6h3d2c AcTd4s4d4c Js8c7s7h7c Tc7d6c3c2c 
Jc5h5d3s2d 9c8c4h3d2c Kh7s7h3d2h Ad8h6h3h2s 
Ah6h6d6c3d 9s9d9c6d5c Ks8s7c3s2d Kh7s6s3d2c 
8s7h4s3s2c 7d6c3s3c2c Jd9h3s3c2h Td7s5c3c2c 
Qc8s6s3d2h Tc7s4d3h2h Jd7c6s3h2h 9h5s3s2d2c 
Ah5d3d2s2c KcTsTdTc2d AhJd6s3c2c 9s7h4c3c2d 
6s4d3h3d2d Qh8d6s3s2c Kc6s4s3s2s 8d6h3h2s2h 
9s3h3c2h2d Td7d3s3c2h KsKhKd9c4d Qs6d4c2h2d 
8s6d3c2h2d 9s5d3h3c2c 9h7h4h3s2h 9s5c3s3d2s 
Kd9s7c3c2c Qc8c4d3c2h Ac6c3c2h2c Qd6s6h3c2c 
Qh7c5s3d2c Tc5s4h3h2h Kc8c7c4c2c 9s7c4c3d2c 
9c5c4c3s2c AsQsQdQc6s JsTsTdTc8s KcJh7d2s2d 
9s9d4h3h2h Jc6s4s4d2s Qh7s5d3d2c KsQhQdQc4s 
9h7c3s3d2d 7d3h3d2s2c Qs6s3s3h2c Qh4s4h3c2h 
9d7c4s3c2c KsJsJdJc8h Kc7d5d3d2h Qs9d7c2h2c 
Ah7s4s3s2c AdTs3s3h3d 9h8d4h3h2s KhJsJdJc8h 
Qs9c4h3d2c Js7d4d2h2c As5c3s3h3c AcJh6s6h6c 
Ah8c7c3c2s JhJdJcTd7d Kh9s8s3c2s Js6c4h4d2c 
JsJhJd5d4s 8h7s4d3h2c Ad6h4h3c2h AcJd6h3s2s 
As7c4c3h2c 9d7s4s3s2h Kd8c3h3d2s Qd9c7h3h2h 
Jc7d4s2h2d Ks8c4h4d2c 6c4c3c2h2d Ks8c4h4d3h 
Qh9d7s2s2c Jh7c5c3c2s Th8h8d8c6c Qs9d7c2h2d 
Ks7c5c2d2c Jh9c6c3c2c Jh6s4h2h2c Kc8c4c3s2h 
Qs8d8c3c2h Jc5s5h3d2h Js6c4h3h2h Js7d4s3s2c 
Th7h6c3h2h AdQsQhQd6d Kd5h3s2s2c Kc8s6d3h2h 
Jc8s7d3d2d Jc5s4s3s2s Qs9c4c2d2c 7d6s3h3c2h 
Th7h6s3h2h Kd4h3c2s2h Kd7h7d3d2c Jc7d4d2s2h 
Jh7s4h2h2c Kd9s9h3c2s Qc6h4s3s2d Ad7c6s6h6d 
9c6d4c3c2c Kd8s8d3d2c Jd8c4h3s2c Js8h4h3d2c 
Jh8s6d3d2c Qs7d6d2d2c Kd6s4c2h2c Qd8d4s4d2d 
9c7c4c3h2d Ts6d4d3d2d QsQdQc4d2c Js5d4c3c2c 
Qc7h6d2s2h 9h8s4h3h2d Qh5s3h2h2d TsTdTc5s5c 
KsKdKcTd3d Ad7d3d2d2c Qc9s7d3s2s Kd9s7h3s2s 
Ad9s9c3c2c Kc8s6s3s2h 6h6d6c5s5d Kc7h4c3c2s 
As6s6h6d3h 9h6h3s2h2c 9c6c3c2s2c Ts6c3h2d2c 
Kd8d4d3c2h Kd8d7d2h2d As4s4d4c3d Th6s6d3c2d 
7d3s3d2h2d Qc7h7d4d2s KsTsThTc3c Jh6s4c3h2h 
Qs9s4d4c2s Js9h6h3h2h Qs7h5d3d2c Js7h6d2h2c 
Qs8c3h3d2s Qc7h5s2s2d Ts7h4h3d2h KcQh8d3s2d 
KsKhKcJh4h 9d7c3s2s2h 9d8s7d3d2d As5h3h2h2d 
As6c4d3h2h Qs7h3h3c2c 9c7s3c2h2d KcQd8s3h2h 
Jc7h4s4d2d Js9s7s3s2c 8c5c3s3c2c KcQd7d3d2d 
KhJh8h3h2h 8h8d8c7d5c 7d4h4d3s2c Qs7d6s3s2c 
As9h4h4c2h Tc5s4s3s2d 9s7c3c2h2d JsJhJc9s3c 
8d7c4s3s2h Jd8s7s3c2h QdJs7c3h2h Kh9d9c3s2c 
8c7h4h3s2h Jd8s7s7d7c Tc6s6d3h2h Kd7s6c3h2s 
Qh8s3h3d2c Tc6c3s2h2d Kh7s6d2d2c Ks5h3h3d2h 
Kd7s6s3s2h Qs8c6d3d2d Kc5s3d2h2d Kc5h3s3d2h 
Ah4d4c3c2c Ad6c3h3c2c Qh8h6h3s2h Qc8s4s2s2h 
8c6s3s2s2h 9c7s3h3d2s Qh6d6c3s2d Jd9d6d4d2d 
Kh7c5c3s2c 8c5d3s2h2c Qc6s4s3d2s Kc8s3h3c2d 
Ts6s5s3s2d Jd6h6d3d2s 9d8d4d3s2c As5s5d5c4h 
Ad8h4c2s2c As6c3h2d2c Jh8c7s3c2c 8s7d3h3c2c 
As4s4h4c3c TsThTc6c5s Kd7c6s6d6c Ah5s3s3d2s 
Th8h7h3s2h Th7s6d3c2s Kd9h7h7d7c Kh9c5c2d2c 
7c4h4c3c2s 9s5d3d3c2h Jd8d4c3h2d Td8h3s3d2d 
Qs8s4s3s3h 8s8d8c7s5c Ks7d4c3h2d Td5h5d3d2d 
Th5c3s3h2h 7h7d7c6d5h QcJh7s3s2d AdJs6c3c2h 
Qc7s6h3d2h Tc5d3s2h2c Js6h3s3d2c 8h6h3d2h2c 
Th7c4d3c2s 5c4c3s3c2c Jc5s5d3s2s Qh6d4d3d2c 
KhQsQdQc6h Jc7c6c4d2c Ad8s7s3s2s TsTdTc9c8h 
Qc8c4h4c3c 9s6s3s2h2d Ts5c4s3s2s 8h8d8c7c5d 
9c7s4d3d2d Qc8d7c3s2h Ac9h6s3h2d Kh6d6c3s2s 
Qc9c3s3d2c 9s8d4d3d2h Qc8c4s3h2c Qs8h7h2h2c 
Ks4c3h2d2c AdTh4h4d4c Qd8s6c3h2s As9s4s3d2s 
Qc9d4s3h2s Ts5h3s3d2s Th7c3s2h2d Jc7s6c3d2h 
Jc6d6c3c2s Qh7h5h3h2d 6h4s3s3c2s Qc8h6s3h2h 
Th8s3s3c2d Ac8s8h8c4h Qh8c6s3c2c Ah8s6s3d2s 
Qc7s7h4s2d 6s6h6d5s4d Ah7c4s3c2d 9h7c4c3d2c 
8d7h3s2h2c Jc6c4s2h2d 8d7d4s3c2d KhJh7h2h2c 
Qs8h6d3c2d 5s5d5c4h4d Ac8d4s3h2d KhJh7h2s2h 
Qc9s4h2s2d Jd8s6c3h2c 9c6c3d3c2c Th7h4d3c2h 
8d7s3h3c2s TsThTd6h5d Td7c4d3s2d 8h8d8c6c5d 
Qh9s9h9c7c Qs8d7s3s2h 7d4c3s3d2h Js7h6d2d2c 
Js4s3s3c2h Kc9c4h3c2d Kc6s6h3h2h Qc9h7h3h2d 
Jd8h4h3c2h Ad7c4c3h2s KhQsQhQc2d JsJhJd5d4h 
KcQh8s3d2d Qh7c5s3d2d 9h7h4d3c2h Th7d4d2s2c 
Td6s3h3d2c Qd6d4d2s2d Ac8s5d3h2h Ac9h4s4d2h 
Qs6h4h2h2d 9h6s3c2s2d 8s8d8c6c5s Ks8c5c3d2h 
Jc9d3s3c2c AhQsQdQc3s Th5h4c2s2d Kh8c3d2d2c 
Js3s3h2s2c Ks7c4h3s2s Kc8h7h2h2d As8d6d3h2d 
Kd8s5s3c2s 9h5c4d3d2d Ad8d4d3d2h Kh9s7d3d2c 
Kh6h6d6c5c 9c8h4s3c2c 7c6s3s2s2d 8s4c3s3h2d 
JsJhJd9c7s Js7d6s3s2h Qd7c5h2s2h Td8c7h3c2c 
As8d7d3d2c Jd8h6c3h2s 9h6d3c2s2c Qs7h6h2h2c 
Qc8s8d3h2s Qd9s4s2s2c KsQc8h3h2h 9h5h4h3h2s 
Qs7d6h2d2c Td5h4s3c2c Qc9s3s3h2d 9h5c3c2s2c 
Th5s5c3c2d Tc7s4d3c2c 9h8h3h2d2c Jh8h3s3d2c 
Kd9h9d9c6h Jh6c4d4c2c Qs8s4c3s2d Jd7c4s4c2c 
Qs7h5h2h2c Tc7s4d3s2h Jh6c4c3s2d 9s7c4c2h2c 
7h4c3h3d2h Qh7c3d3c2d Kc8s8d8c6s Th5h5c3h2s 
Jd6d4d2s2h 9s7c3h2h2d Kc8h6s3h2d JsJhJd5h4s 
9h5h3d3c2h Ad6s6c3h2s Ah8c4c2d2c 8s7c4h3d2c 
8c5s5c3c2c Qs6c4h3d2h 8h7s4c3d2c As6s5s3s2s 
9d7h4c3s2h Td5s4s2s2h QcTs9s9h9d As7c4c3c2h 
9s7d4d3d2h Qc9s7d4h2h 8s8h4s3s2s Kd9h4s4h2c 
As7h4c3c2d Kd6s6c3s2s AdJs6s6h6d QsTs9h9d9c 
Ac7s6h6d6c 9d7d3d2s2c 8h7c4d3s2s Kc7h6s3s2d 
8s7s7h7d6d Ks9h7h3d2h Jh7c6d2s2c Qc7d5s3s2h 
9c5d3h2s2h QdQc2s2h2d Kc7d6c3c2c Kd6h6c3h2h 
Qs9s4s4c2s Th5s4c3s2s Ks6d3h3c2h AhJd2h2d2c 
Qs7c5d3d2h Qh5d3s3c2c 8d6c3c2s2h Kd7h6h3c2s 
Qc9h4s2h2d TsTdTc9c4d Kd9h3d2s2d Tc7s5d3d2d 
Qc7h7d4h2s Qc9h3s3d2c Ts7c4c3d2h Jh5h3h3d2s 
8c6c3c2h2d 8d7s4s3c2s Ah6s6d3c2d 8c7c3d2h2c 
Ks9s9d9c6c Ac8d6h3h2s Ad9h4s4c2s Qs7s4s4d2c 
Js8c6d3h2d 9h5h4h3h2c Qh7s5s4s2s 9h6c4h3h2h 
Js7s4s4c2d 8d6h3s3h2h Ah7c4s3d2d Jc5c3d2h2c 
Js7s6h3d2c 9h7d4h3h2s Qh9h3h3d2c Kc8s3h2s2h 
Qs7d3s2s2d Qc5s5h3d2d 8c6h3h2h2d Qh9s4c3c2c 
9d7h4d3d2s 8h7c3s3h2d Qc7s4d4c2c Jh8s6s3s2s 
Qs8s4s3d2c KsKhKdQd6d Jh6h6c3h2s KhTsTdTc8h 
Ks8s5s2s2d Jd8s7h3c2c 8s7h3d3c2c 9s9d9c7d5s 
Qs7d5d3h2c Qs8c5c3h2c 8d6d3d3c2s Ks9d6h3h2h 
Qc9h7d3d2s As9h6c3h2h Js8c4d3h2h Ts7s5c3s2s 
7h4s3s3c2d Ah7s7d3c2c Tc8h7h7d7c Js7c4d4c2c 
Js7h4h2d2c Ah6d4h4d4c 8c7c4s3h2c 8h5h3d2h2c 
Jc9h3h2s2h Jh7d4h2h2c Qs8d4h4d2c Ad4s4d4c3s 
Tc5c4c2h2c QhTsThTd2d Qh7c5c4c2c 7c4d3h3c2s 
Kd8c5s3h2c 9h5h3d2s2c Jd7c4s3d2h Qc7d5d4d2d 
Jd8s4h3h2c Ah9c5d3c2c 8s4c3s3d2h TsThTc6s5h 
9h7d3s3d2c JhTsTdTc7s Qh7c5c3s2d 7c6d3s3h2h 
9c8c3c2s2c 8s5c3h3c2c 5d4d4c3d2d 7h3h3d2s2c 
9h7d3s3c2c 9d6s3h3c2d Jd6h5h3h2h Qd7h4d3c2s 
Kc8d5d3h2s Qd9h3s2h2c Ts7s4s3c2d Kd8h5c3s2s 
Kc8d3s2s2d KsKhKcQh6h Th7c4d3s2c Td7c3s3h2d 
Ts7d6d3d2d Jh4h4d3c2s AsQc7h3h2h AsJs9s9h9d 
Jh7h7d3s2h Tc8s4c3c2c 9s8s4c3h2s Qs6s3s3c2d 
Qc9h4h3s2h KsKhKc6c4c JcThTdTc8c Jh7d6c3s2s 
Kd9s7c3h2h Th8h4h3c2h Jd8c7s3h2h Ks8d4h4c2d 
8s5s3s2d2c Tc6d3s3h2c Ac9d5d3d2d Jc7h4c2s2d 
Ks8d5h3h2h Qs8h7d3h3c Td7c4h3s2s Kh7s6d3d2c 
Qs9c7h4d2h Kc9c3d2s2c Jc5h4s3s2s Jc8d7s3c2c 
Qd8h6h3h2c Jd6d4d3c2s 9c8d3d2s2d 8d7s4d3c2d 
Qs7c5h3h2d KsKdKc6h3c 8h7s6s3s2s Jh7c6h3s2h 
Ad6c3s3h2c 9h8s4c3d2d Js5h5d3c2h Jc8d7s3h2d 
Jh5c3d2s2h Ac7d6d3s2d Jc9c7c3c2c Td7c4s3h2c 
As8d7d3h2d Jd8s7h3s2c Th8c3s3d2h Kc7h5h3h2d 
9s7h4h4c2h Ah9d5s5h5d Ah4s4h4d3s 9d5s3h3c2h 
8h7h3h3c2s Jd8d4s3d2c Js6h4h2h2c 9h7d3s3c2h 
9s6d3s2h2c 9h7h3s2h2d KsQsQhQd7c Th7d4h3c2h 
Qh4d3s2d2c Qh7s4d3c2h Tc4s4c3h2d 8s8h6s6d6c 
Jh7d4h4c2h KsKdKc7d4h Kc9c3s3h2c Kc7s5s2s2h 
Tc7c3s3h2d Qd7s7h4h2h Jh4s4c3h2d Kc8d4s4h3d 
Kc6h4h3h2h Tc5d4s3d2d 7c5c3h3c2c Qh9h4h3s2h 
8d7s4c3c2c Jd9d4d3s2d Js7d4h2h2c KcQs7d2h2d 
As8s8h8c7d QhJd7d3d2s Jh7h4s3h2c Qd7c5s3s2s 
Ts7d4s3s2c Tc5h3s2d2c Kd7s4d3d2c Td6c3h2s2d 
Jh6h4s3c2h Qs8d7d2d2c As9c5s5h5c Ts4s4d3h2c 
Td6h3c2s2d Kc9d4c2s2c 9h5s3d3c2d Ac9s9d9c7h 
8s7c3s2h2d Jh7h4h4d2s Th7s3h3d2c QsQdQcTd7h 
9d6c3h2s2c Jd9d3s3d2d 8h7d4s3d2d Ah8c6s3c2d 
KsQd7s7h7d Ac4s4h4c3s Kd9s7h3c2h Ah9d5h5d5c 
Ks8s4s3s3c TsThTc9c2s Ts5c4c2h2c Ks7h3h3c2c 
TsTdTc9d5c Qc8s3d2h2c 9d7h7d7c6c Qc7d5s3d2d 
Jd9s3s3h2s KsKhKd6d3c 9d6d4d2s2d Qh5h4d3h2h 
7h4h4d3c2s Qh8s6s3c2d Ah9s6c3s2d Qd8s7c3h3c 
Jd6s6d3c2d Js7h6c3d2c Qs8s4c3s2h AhQhQdQc6h 
Jc8h7s3d2h Qs8s4s2d2c Kh7c3s2h2d 8s7c4h3h2d 
8s7d4h3c2d 9d6d3s3h2d Ks5h3h2h2c Kc7s4s2h2d 
Td8h4s3h2h 9d8s4d3h2d Jd7c4d3d2h Qc8d6h3s2d 
Tc4d4c3s2h Ad8c6s3h2s Kh5d3d2s2d 5s5h5c4h4d 
9h7s3c2s2d Qd5d3s3h2d Th6s6c3d2s Jd9s3c2h2c 
9d6h3h2h2c 8h7c4c3s2c Qc9h7c3c2c Th6d3d3c2s 
Jc8d6c3c2c Qd8h6s3c2s Qh6c3d2s2h Qc9d4d2h2d 
Jc9d3h3c2c Qh6d3s3h2h Jc7c4h3d2s 9d8d3s3d2d 
Ac9s4s3h2d 8h8d8c4d4c Qs9c3h2d2c 8h6h3h2s2h 
Jd9d4d2s2d Jc5c4c3h2c QdTd9h9d9c 9c7h4c3d2c 
Ac8h4h2h2d Jh7c4s4d2s 9h5h3s2d2c 9s7d3d3c2h 
8h5h3d2s2c KdJsJhJc9c 9d7h4h3h2c 7s7h7c6h5c 
Qc7h4c2s2c KcQs8s8d8c 8c7s4d3h2h Qs9c7d4d2h 
9h5h3c2s2d KdTsTdTc5c Qh6h4h3c2h Kd4h4c3s2h 
6h4s3s2s2c Qs9d7h4h2h QdJs7c3c2h As8c6c3d2c 
Qs8c7h3d3c Qd7s5s3h2c Qd6c4c3c2h Js8c7d3h2c 
As9h5h3d2h Kh8s6d3d2d Th7s5c3c2c Qh9h9d9c7d 
JsJhJd9d4h AdTsThTd7d Kc7d6h3s2d Js5c4d3d2d 
9h7c4d2s2d Jd4d3h3d2s Ks7h4h4d2h Js8s4s3h2c 
Qc9c4c2s2c KhQs8c3d2c Jd5d3s2d2c Td8h4d3d2d 
Qd9h4c3d2d Ts7d4d3c2d Qh7h7c3d2s Js9d3s3h2s 
KcQsQhQc2d Qh8s6d3s2c Qh8h6h3h2c Ks9s6s4s2s 
Tc7c3s3d2h Jc8h7h3h2s Ts7d5c3c2c Jh5c4c3c2c 
Ts8s8h8c6c 7c3h3c2d2c Jh8c3s2h2d KsKhKc8d5s 
9d8h4c3c2c Tc7d4s3d2d Ts6h3s3d2c As9d4h4d2d 
Ks7d4h4d2d Ah8d6c3c2s Ah7d4d3c2d KsKhKc8c6c 
Kc9s8s3d2s Ts7s7c3s2s Kh7s6c2d2c ThTdTc8c5h 
9h7h3h3d2c KsKdKcTc3c Ks7d4d4c2h 9s7d4h4d2d 
Kh9s3h2h2d Qd8d7d3h2s JcTsTdTc8c Qs6h6d3c2c 
Js4s4d3h2c Kh7c6s3d2d Js9s3s3c2s 7h4d3d3c2s 
Ah6c4s3c2c Ad7h4s3c2c Kd8d4d2h2d Jh5h4h2h2c 
Kd9c4h3c2s 8s5s5d3s2s Jh9s3h3d2h Jc7c6d3h2c 
KdTsThTd5h Kd8s7s3h2c Js7s6d3c2s 9h9d9c7d5h 
KdQd9d3d2d AcKh3s3d3c QsQhQd7h4s 8h6c3h2s2h 
Qh6c4c3s2c Kd8h4d3d2s Ts5c4d3d2d Tc7s7h3d2d 
Qc7c4h4c2d 6d4d3d3c2d Jc7d7c3s2c Kd6d3s2d2c 
Th6h5h3h2c Qc7h5s3h2h AhQs7c3c2c 8c4h3d3c2s 
