KdQd7s6d4h 
Jc9h7h5c2d Tc9c7d6d2s AhKh9h9c6h Ks9c6s3h3c 
QhTsTd7s5s Qd8s7d5s3h Kc8s8c7d3s 8d7h7c6h3c 
9c8s8c5d2s JhTh8d6h2d Qh7s6s6h3d Ad9h8s7s7c 
JsJc6c5h4c QcTd7d5h4s KcQs7s7d5h KsTs7s7h5d 
Kh7h7c4c3d KdJdTd4h2c JcTd6h6c4s KsQcJs6d2h 
QcTc8h8c6c AcJsTh6c2c Ts9c8d5s2d AcTd6h4h4d 
Jh8d7s5c4h QdJsTs6s3h KhQsTd9c3c AdQd6s2s2c 
QhTd9s6h3h JdTs5s3c2d Jd9h5s3h3d Qd9h9c7s6c 
9h8d8c7d6s Th8s5s5h4s JhJc7h6s2c JhJd7d5d4c 
Kh9s6d5h3c Th9h7d6d2c KhQcJc4s2d QsQhTc6d2c 
QhJcTc8c3d AhQdJc7c3s 9s8h8d6d5c 9h6d5h4d3c 
QdJc9h5d4d KhQdJc2s2h KdQh9h5s2s KhJd5h5d2d 
KsJc6d4s2d KsKcJh3d2d AdJh6s4c3d KsQs8s7d5h 
JhJdTd9d4d Ad9h7c4d3s Jh9d6s6d4h KcQhJc6d2s 
KhTdTc5s4d KhQs4c3h2c QhTd6s6d2h Kh8s7d6d2h 
QdJcTs5c2h JdTs6s5c4s KsQhJh6d6c QsTd8c7d3c 
AsQhTh3h3c AdJs7c5c4h Th9h8d6s6c AdJh8d5d2s 
9s7s6h5d4c QsTc8s5s4d As8h8d7c6h JsTd6s6c4h 
Ah9d8d7c2c QhQdTd4c2d Td8c7h5c3d 8s8d7h7d4d 
KhTd7s4h2s AsKc9h7d2c Tc7d5h5d4c AsQdJc8c2h 
QdJs8h8c5d KcQdJc6s3c Qc9s6c4s3d QhTd6d4d2h 
AhJs6c4d3h KcTs7s7h3h Tc7s5s5d4c QcJc5h3h3c 
AcKd6d3h2h 9s8d8c6d5h JsJc9d8h4c JsTh6h5c4h 
QdTs6c5d3h Js7d5d4s3h KcQcTd7c3s KdJsTh4d2d 
AdTd8d6h2s AcQdTs2h2d AcTs8s7s4s JdJc6c5s4c 
AdJdTc4d2d 6s6h4s3h3c Qs9s9d7d2h KcQs8c7c6c 
Jd9c8h6c2d Jc9d8d6s5h JsJc5c2s2c AdKs8s5c2h 
9c8c7c6h3h QhTh6s4d2d Jc7d6s6d4c Kd9s6c5d2c 
Tc8h7s6d4s KsQdTc7s3s KdQcJs9h2c Qc9s9d6s6h 
9d6s5d4s3h AcJd9c2s2h JsJc9d7s4h KhQc7c6c5c 
AdQsJh4c2s AcTc9c7h3c Kc9s8h6d6c KdJc8h7s5h 
JcTd8s8h5s QdTs8h7c4s Kc7c6c5d4h QcJsTc7c4c 
KdQsTs5s4s KhQhJh9c4s ThTc6d6c4c QdTsTc9h5h 
QcTs8c4c3s KsQhJs8s5s QdTc9h5d4d AcTh7c2h2c 
Td9c6h4h4c QdTd8s8h4c Th9s7d5d2h Qc9d8h7d3c 
JhJc7s4h3s AsJd9s6c2h KhQdJh6s6h 9d7c5c4s3d 
QdJd8d6d5h Qd9h8d7s7d QdJcTc8c3h AhJc7d7c5c 
KdQc7s7h6s AdTs8s6c4s QcJsTd5h5d Jh8s6s6h4h 
KcQhTd4c2s Ah9d8s7s7c JsJd7h4d4c Jd9h7s6h3s 
Jh7c6s6c4h Ah9d8d8c3c Qs7d6s6d3h QhJc5c4s2s 
QdJh9s9c5d QhQdTc3d2s AsKd7c5h3h Jd7d7c5h3h 
Ac5s3s3c2d QdJd4c3s3c Qs8s8d6c3c Ac9s8h6s4h 
JhTc7h4d2c Qc9s6h5s2c QsTc5s3s3c KsQdJh9s4s 
QdTh6d5s5c KhJc5d4s4h 8h7h6c4d3d QcTsTh9d5d 
KdThTc4s4d Qc8h7h5s3c 9h8c6s5s2c Kc9h9d5d2c 
KcTs8h5s5h JcTs7d4c2s TsTc8s5h4s AcJc9c7d2h 
9d8h5d5c4c QhJsTs5s5d Ks9c7s5d4h KhQsTc6s3s 
8c6d5c4s3d KsTh7h7c3c Qh9d8h6d3h KsTc9h6c4d 
JcTh9s5d3s JsTd5h3d2s QdJc6d5h5d Kh9d6h4c3c 
QdJhTc8s2c QdJd9h5d4s JsTc7d5s5h AdTd6s6c4d 
KsKh8d8c3c Jh9d8h6s5h KsJsTd4s4h 9h9d6c5d4s 
Kd9c7h6s4d QdJdTd7c4d Th9c8d8c7c Th9c6s4s4c 
Kd7s6c5h3d KhQhTh7s3c JdTc9h6h4h QhJd8d6c3c 
KcJd9s8c4h KcJhTh8s3d Jc8h7s4h4c Ac9d6s2d2c 
KhJs6c4s3c KsJs8s8c6h JhJc7d6h4s Qd9s6d4s3c 
AcJc9c7h2d 8s7c6d5s2d KsTc8d6c2d 9c8h6s5s2h 
QsTh9s8s2d 9c8s8c6c5h 9s6d6c5s3c AhJc7d4c3d 
AhTc3h3d2d QhTd4d4c3h Qh9s8s7h3c Kc9c7d6d2s 
KcTs8h6h3s AsQc8h4d2s AhTsTh4h3d 9s9h8d8c4s 
KhQs9s5c2c KcTh7s6s4s QhJcTh8s2h Ac7d4h4c2h 
AcTc8h6c4c JdTc9h4d3s KhJhTd8h2c Ad9d6h6d5s 
Kd9c8h7c6c AdTd9d7h3d Tc9c7s6s2h Jh7d7c6c4h 
KcQdJc6h3c 8h7s6d5h2d QcTsTh7s5s Jc7s5h4c3s 
QhQc6d4c3s 8h8c7d6c4s AdJd9h4c2s QsJc4s4d2c 
As7s5d3c2c KcJcTc8d4c Ah8d7s6c2h Jh9d8d8c4c 
As9s8s5d5c KdTsTc5h4c Qs9d6d4h3s KdTd9h9d2s 
JhJd6h5c4h QhJdTc5d2s AsQd7c6s3s Ah9c5s3h2c 
Kd9s6d3s3c KdJsTs8c3h KdJh9s9d4c QsJs9d8s6s 
9s7h6s5d3c JsJd9c7d4h KhQhJd9c4h Ac5h3h3c2d 
TdTc8c7c5h KcQdJh9s2d Qd8s6c5c2d QhTd8d3c2h 
QcJc8h8d5s QcTsTh7h5h Qh9h5d4s4d Ks9h7c6s4d 
KdTs9h8s5c Js9s6d5h2h QsJh8h4s4h Tc9d8d4c3h 
QcTd9d7s2s KsJc6h4s2h AhJc9d8s2c KhJh7d6s4h 
AhTdTc8d3s QcTd6h3h3c Ks9s9h4h4c Tc9c7c6c5s 
As9s8s6d4h KdQhJd9d3c JdTs9d6h4d QsJc7c6c5h 
QhJhTh4d3h Qc9h6s4c3h KsTs9d6h3s 8s6h5s4d2d 
QcJd9s9c6c Qd9h8d8c3h QsTh7h5d2s JdJc5s4s2c 
KcJd8c6s6h Ts7c6c4s3c AsTh7d7c5h Th9h6c3d3c 
As7c6s5s2c As9d5s4s3d Qh9h6c5s2c QcJdJc3h2s 
Tc9c6s3s3d Td9d7d6s4c Td9d8d6s5c KhTs6c5c4d 
QcTs9s4d2d JdTd9h9d5c Jc7c5h5d4d AhKsTd7c2d 
QsTc5c3s2h JsJh9c6h4d KsTc9h6s3s QcTs6h6c5c 
AcTc7s4s2c QsQdJc8h4h Kh9h8s8c2s KhQs8h7h6h 
AhTh8h6s2d AcTc5s4c2s AsTs9s6d5s AhJc8s6d5d 
QdQcTd6d2h QdJc8c4d2d Qs9c8c7s4s AdQcJs8s2h 
KhTd7c6c4c Jc9h8h8d4d Jh8s6h5s3s KsJc8s5s4h 
TsTh7s4d3d 9c7s5s4d3d KcTc9h6d3c QsQd9h5h3c 
Ah8c7d6s5c QhJc6d5s3h JsTc7h7d5h JdTs5c3s2d 
QsThTc5s5d Qs9h9c3s3h Ah9d4h3s3d AhTh7h6s4h 
QcTc9s5d4c AhTh9h6s5h QsTh6s6d5s QhJsTs8s3d 
KhTsTc9d4c QcTdTc3s3h JhTc9c6s4c Qc9s8c7d2d 
As9s8s6d4c Ks9d9c5d2s Kh8s8h7d2s Qs9h8c5c4h 
KcJdTc5c2s Jd9s7d5s2h QsJh5h4c2c QhJd6s6c5d 
JsTs9s6c3d AdTc7s4h2d Ad4d4c3c2s AsJc8s5s2h 
KcJhTs4c2c Ah6s4s4d2h QsTd9h9c3s 8s8d7h7c4h 
9c8s8h6s5d Kc8d8c7h2h QsTs9s7s7c KsJc9h9d6h 
Qh9d6c4h4d KdTh8c5h5c Tc9s8s8c4c KcJc9c7c5s 
Kh9d8s7d4s KsTs9d8s4c KsQs7d7c3c Qh8c6d5h4s 
KcQcJs9d4c AdJh9d2s2c KhQc9s7h4d Tc9d6c4h3h 
KdQd7s7h3h AhJs9h8h4h QhJc6s5d3h KcTs6d5d4h 
AcTd5s4c2h Kc7d6c5d2s JcTd7h6d2c Ah7s5s3s2h 
QsTd6s6h5s KdTs9h7s5s KdJd7s6h4d ThTd9d7s5d 
KdTh8c7s5c QhThTc5d3h Kd9s7h5h2d QsJhJd4s2c 
KdQsJd8d4h As8h8c7s2d QcJhTs7d3h 8d6d6c5c2s 
JdTd8c2s2c Jc9d8s8d4s Ah9s8d6s4d AcJs8h6d5d 
AdTd9d7d3h JsJh9d7h4c QhTd9s7d4c ThTc8d5s4h 
QhJdTs5s5c Qc9c5s4s4h JhJcTs7c2d Qc9s8d7s6s 
Tc8c7c6d5s KdQsJs4c2h KsQsTs4c3d KcTs7h4h3s 
Kd5s5h4d4c QsTd8h7c4d QsJhTs7c3s JsJh7d6s4c 
KhQc9c5d2d Ks7c6h5d3s KsKc9d6h2h QsJdTd5d5c 
KdJc4c3s2d JhJd8c4h3c 8s7h7d5s3h AcTsTc6d3c 
AhKh7s5h3h Ts9s8h5c2h QcJsTd6c3c KsQcJd9s4s 
9s9c6d5s4h KcJsJd4c2h KcTd4h3h3c AhQcTh3h2s 
Jh9d7s6c5d AsTc9d8d4d KhJh9h9c5s JsTdTc8h3s 
Kh9h7d6d2c Ts8h7d6d4c Ac9d5c4c3d Js9h8s7h2h 
Th9d6h4c3c KhQcJs9h4h Qc8c7d6h5c AdJhTs6s3c 
AhKsJs8c2s AhQc7d3h2d Tc8s7s6h2c 9c6s6h5h3s 
Jh7d5d4h3s KcTh7d4d3h QdTs9d5d4h KsTs9s7c5s 
KcJcTh5c3c Qs9c7s6s5d TsTh9c7d5d Qh8c7h5c3d 
9c8h7h5c2s KdJh8d5d4s Jc9s8c6h5c AsTsTd6h3s 
9c8h8d4h4c KhQdJh9s4h Ks9d7d6h5c JhJc9s6c4d 
JsJd9d8h3c KcQc7s6c4h Th8c7h6c3h Jc8s7h4s4c 
KhKc8h6h3h KsKc7h4d3d AdKsTc6h3h AhJc5c3h2h 
AhJhJd6c3h KdQsJh5c3c QdTh6h5c4h AcQsJc6h2c 
Ac8c6h6c4d KsQc7d7c5h Qc9h7s6d6c KsTc5c3s2h 
8h7c6s5h2s KcQdJh9c4c 7c6s6c4s3d QhQdTh4s2h 
9s5s5d4s4d Jh9c8c7s3s QcJhJc9s3c Kc9d8d5c2d 
KhJh8c4c2s QsQh9c2s2d Td7s6h5h3s KsQsJd9s4h 
Jh6h6c5d4c Ah9d8c7d3c KhTh9c8h4s Jd7c5s4d3c 
JdTc9c6c5c QdJc5h5d4s KcTd7h4h2c 9s6h5h4d3d 
8h8d7s7c4s JsTc7h6c2s Qc9h6c4h3s QhTc4d3h3d 
As6s6d5c4s 9s7h5h4d3s QcTd8h5h2d Jc9s9h7d5d 
Qc9s9d8d6h Ts8d6c5h4s Qh9d7c6s6h 8s6h5h4c3s 
Ts9d8h8d7d Jc7c5s5h4s Js9c5s5h3h JcTc8h5c4c 
Jd7c6s6c4d KsJd6h6d2s JsJd8c4s3c Jd9c7c5d2h 
9d7c5s5c4d Qs9c7d6s6h KhJhJd9h5h KhQc7s5h5d 
JdTd7c4h2c AcKs6d5h2s KhKc7d4s3s KhTs7h7c2c 
QdJh8h4d2d KcTh7s4s2c Js7s7d5d3h KcQcTc7h3s 
KcQsTd9d4d JhTd6s4h2d Js8d8c5c3s Js9d9c7h5c 
As8h7c6d5h Qc9s9d7h6s 9d8s8c4s4d KdTs7h4h3s 
9h8d7d5h3h Kd9c8s7c6c AhTd6s4s4d AsTh9d7d3c 
KsKc8h7d3d KsJsTc5s5h Jc9h7s7h6d Qc7h6c4h4d 
KhJc8h4d3d KsQh7h7c5d KhTsTc5h5d Jd7s7c4s4d 
KsTh9c6s3s Td9s8h4h4d Qd7s5s4h3d Ah9d6s2h2d 
Kc6s6d5d3s KdQcJd9s3d 8c6h5c4d2d JcTc8s7c5c 
9h8s8d7d6c Ts7h6h4s3h Kd9d8c7d5s Th7c6c4h3c 
AcTd6d3c2d QcTh9s2s2h KsTd8h7c5h 9s9h7s3s3h 
JcTh5c2s2h JhTd9c4h3s AsTd7c4h2s QsJs9d7c2d 
KcQc7s7d3d Kh9c7c6d5s Qd6s5s4d4c 8c6s5h4s3h 
Qd9s6c4d3s Jh9h8h7s5c AsTc9c8d4c 9s9c8h4h4c 
Ah9d7c3h2d JdJcTc6s3c Ts9h9c5s2h AsKd6c5s2s 
KhQh4d3c2c JdTc9h8h3s JhJd7s7d2s KsJh5s5h2h 
Jh8h5d4s4d KdTs9s7c4h QcTd8d3s3c Ac6h5c3h2h 
Ah9h5d3c2d Jc9d5s4c3d 9c6s5c4s3d AcTc9c4s4h 
JcTc8c6s4c KcQd9d6s4h As9s6s6c5d As9h7h4s2h 
9d8h6h5d2d AdTh8c6h5h 9h8s8d6d5c AdTh7s6s6c 
KcJhJc2s2c KcQsJc6c4c 9h9d6d5h2d QdJh8h4h4d 
Th8c5d5c4d 9d8s7c6h6c AhKh7d5h3h QhJsTc7d3s 
AcJd8s7c2c KhQsTd6s3s QsTc8d7c3d 9s7c6c4d3s 
JcTs9h8c4c Qc9c7c6d3d KsQd9h8h6h Qc9h9c8d5s 
Kd9d8c5c2c KdTc8s6s3c 9d8s8h6s5c 7s7d6c5s5h 
AcTd7s6s6h AcTs4c3s2s JdTsTh8s3c KdQd7d6d5s 
AhKh7s5d2h AdJh8s8c6c Td8s7s6h2d JcTc8d2s2d 
JhTs6d5s5c As8c7s3c2d Jd8h8c5c3d Ac9h9c4s2s 
KhJs6s6d2h AhQc8h7s3h AhQh7h6s2s QcTs9s7h2h 
JsJcTs8h3s JhTs7h4d2s Ac9d7c3d2s AhQh4h4d2d 
KdQd8d7s5h AsKd7d4h4d AhKcTc5s2c TsTd8h5c4s 
KhQdJs9h4h 8c6d5c4h2h JsTh9d9c3s Th8h7h6s5d 
Th9h8h6c5d As9s6s6h5d QsTd6c3s3c QdJhTs5s5c 
KhJcTc4s3c AhJh9s4c2d 9s6c5s5c4d Js8d7h5c4s 
Kh9h7s4s3d Ks7h6s5d4s Js7d7c4s4d Qs9h7d5d3h 
Ad8c5d3h2c AcJcTs4c2c QdJs6d5h5d Kc7s6c5d2s 
KhJh9c8h6h KsQcJs8s5s Ad8c7h6h5s KdQs9s7s5h 
Ks7c6s5d2c AdTsTc8s3h JdTh9c7d2s KsJd8s5s4c 
Jc7c5s5d4s QcJhTd8s3d As8c7h6h5d Kc9c8h5h2h 
AdJhJc8c3s AsTh7h5d4h Td9d5h4h4c Ts9s6h3h3c 
Kh9s8d7s6s JsJhTs8d3s TsTh7c5h4d 9s8d7d5s2h 
9c7d5s5d4s 9s8c6c5s2s 8c7h6d5c2d 9d8d7s7c4c 
KhTd9c6d4s Kc9d7h5h2c Qd9s8d8c3s KcJc9h8c6c 
QcTh6h6d4s Td8h6c5c3d 9h9c8h7c2h Qc8h8c6d3d 
AsQc7c6h6c JhTh9c6h3d Tc9s6h4s4h JhTh8s4h2s 
Qs9c6h4s3c Qs9d8c7d6d KsQdTh9c3c Ad8c4d3h3c 
QcJdTc8h2c QsTh9h9c3d AhJh8d4s4h AcKd8s5d2h 
AcTc9c7d4c KcQsJs4h2d Jd9d5c4c3s Th8c5s5c4s 
Ah8s7d5s3d QhJh7c5d4h KsQs5c4s2c JhTc5h2s2c 
KcQh7d5s5c Ad8d8c6s4d QdJs4h4d2s 8d8c7h7c4c 
Th9c8c7h2c KcTd8s6h5s 6s6c5c4h3h 9s7c6d6c3s 
9h9d8c4d4c KdQd9c5c2d Th7d5s5d4h 8s6d5s5d4d 
Tc9h7c3h3d Qh9h8s7s2d Kc7d7c5c3d JsTs8c4s2c 
9s6h5s5h4d QdJd5s4s2s KdQh9c8c6c KcQhQc6c3c 
Kd7d6s5d4c AcTsTc4c3h QsTc7c5s2d 9d9c7s4d3c 
Qs9s8c7c2h KhJdTd4c3d KdJdTs5d5c QcJsTc8d2c 
Jc7s7d6s4c QsQh6c4h3d QsJcTh8s2s AdQd9d6s6c 
AcQhTc3c2d Qd9c8h7c6c KsJsTd5s5c JdTc9d8s2d 
Qc9s8s8d2c QdJdTd4h2c 9c8h8d6d5s JdTd9s8c3d 
AhJc8d5s4s 8s6s6c5c2d Qh7d6s6h3s JsTc9s7s3d 
9h8h8d6c3c QdTh5d4h2d Th9h6d3s3d Ac7d5d3d2c 
JcTh6s6c4d As8d4s3d3c QdTsTh7s5s KhQs9s7s5c 
9h7s7d6h3d Jh9s8s8d4d Jh7s7d6s4h As9c8c7d2d 
AsTc9c8c4d Qh9s9h7s2d QdTh9h4s2s Tc7s6h5h3s 
Qc9c8d7d2s JcTc9c7c6c KdJc5s4h4d Ah9c8h8d4h 
Qd7d7c6h6d Kc8h6d6c5s Jh9d8h5h2d Th8s7h6h5c 
JhJc7d4s4h AcKdQh9s3s KhJhTs5h5c AdTs9h7h3c 
Qc9h7h7d4c AcTh6s4s4h AcQhJc6c2d 8h7s7c5h3c 
Ts9s7s6d4h QhTsTd9c5c KdKcJh6h2h QhTh6c4s2s 
Ks8s8c7d3c Tc9d7c6h2d AdKdQd6h6d JcTh9s9d4s 
Ac9d8d6h5s KhTd9h7h5h JhJc7h6d2c Td9h9c5d2h 
Ac7c6d5s2h 8h6c5s4c3s Ad7d5s3h3c Kh9c6d3h3c 
Ac8h8c6d4c 9s9c8d5s2c 9h8s8c7d6s KsQcJs6s3d 
Qd9s9d7s2h QdTc6h3h3d QdJsTc5h5c Ac6d4h4d2c 
9d5h5d4h4d KsTc9c7h4d AsTh9d9c5h Kh9h9d4s4d 
QsJs9h7c2h KdThTc9h2s Ac9s8h7h7d Tc9c8h5d2h 
JcTh8s8d5d As8h5s3d2h AhKh5h3d3c Jc7s7h4h4c 
QcTs8s3d3c AdQd4h2h2d JhTh6d5c2d KdJc6h4c3h 
QhQdTd6d2c Kh8c7s6h2c KsTd5s3h2d AdQc8h4s2d 
Ks7h6d5c3s QdJsTd7h3d KdTd9c4d2c KhTh9h9d2s 
AcTs7s5d4s AdTc3s3d2s QcTc4s4d3s Js7s5d5c4c 
JdJc7s6d4h KsJdJc4s2h Td8s6c5c3d KcJhJd2s2h 
JsJdTs7c2h AcThTc6s3c As9s7s6d4c Jd8c7s4d4c 
QsJs5d4d2d Kc9s6c4d3d AcJs8c5c2d Ts8c7s6s5h 
KhQhJs9h3c Qs9h7s7d3d QdTh8s7c4h KhTh7s4c2c 
Td8s7s6c2d JhTs9h8c2h Js9s9h2h2d QdTsTc9c3c 
KdJsTd8d2c Jh7h7c5c3s QdJc7c5s4h 9h9d8d4h4d 
KhTs8h5h2s KsTdTc3s3h KhJs8s8h3s KdTd4h3h3c 
QsJdTc5d2h JhJd6s5h4h QcTd8d3h2c AsJs3c2h2c 
8c6d5d4h3c KdJs8h7c5c JhTh7d4c2d Kh9d7s6c4h 
JdTh6s6h3s JdTc9s8s3h JcTh9c8c4s 9h9d8s4s4h 
ThTd6h5d2c Kd7s7d5d3s Qd9d8s8h4s JhJcTd8c3c 
Kh6s5s5h2c JsTh9c4s3d Qd8h6c5c2d 9s9h7s7d4c 
AhJd8s8c6s Th9h7h6s4c KdJd9s7s2d As7d6h5c2s 
KsQs7s6s5c Jd9s7c6s3c KsJsJc6s3h Ac9h5s4d4c 
AhQdJh6h2c AcThTd9s4s KcJdTc8c3h AhKd7c5s3s 
JhTc8c3h2d JsTc9h9d4d 9s9h8s4s4h Kc8d7d4s4c 
8s6h5s5h4h Kh9h8h5s4s Js9h7s5h2c QsQc8c3s2c 
AcTc9c7h4c QsTd9d4h2h Ad5s4c3h3d KcQcJc9s4h 
KdQd5s5c2s JsTc9d8d2h Tc9c7c6c5d QhJd8d7d3h 
9d8d8c6d5s JsJc8d4s3d AsJs8h4s4c 9c6s6d5c3d 
9d8h5s5d4s QsJd5d4c2c QdTs6h5d3c Jc9s6s6h4c 
Tc9h6h4c3h Kh7c6s5d3h KcTc9d6h3c AcJd5c3s3h 
AdJhJc6s2d 9s8h8d6h3s AdKhTh5h2c QsJsTs8d3h 
KcQhTsTd2s 9h8d8c6c5s KdTd9d6s6h Ks9s7d6d2c 
As8d7c6h2s AcJd9d7d6d KdTc5c3d2h Ts9d7c5c2s 
9s8h8c6c5d KhTs8c6d5c JdJc9s8h4c 9c8s8d7d6h 
JsTs9s9d5c KcQdTs7h4h AsJhJd7d3c AhJh8h5c2s 
AhQsJc3d2s QsJh6d5d4c QdJdJc9h3d Kc8c6d5d2d 
JcTh8s8d4h KhJc6d4c3d Ah5h4s4h3s JdTc9d7d3s 
9d6s6h5d3s AcJhTd6c2c Qd9s6h4s4d KcJhTd5s5h 
As8h8c7d6c Jh9d5h5c3c KsTs9c6d2h KhQh8s8c6h 
Kd9s6h4d3h AcTd3s2s2c KhQcJc5s2d Ac5d3d3c2s 
QsJsTs9s2d AdJsJh6c2d Js8h8c5h3s KhQdJh9h3c 
QcTc4s4d3d Jd9d9c8d3c AsTs7s4h4d KdQcJc6s6h 
QcJcTc7h4c Jh9d7d5h2c KhJd8h5h4c JdJc3h2d2c 
KcTc9c6h6d 9s8h8c5c3s QdTs4h3h3d TsTd8s4s3d 
KcQhTh5h3s Tc9s6c4d3d 8d6s5h4h2d KsJsJd6s3c 
AsKdJh3h3c Tc9d7s5s2c AsTc8c7c4c AsKcTs6s3s 
QsTd8s6c3h QhJc9s9h6h JsJc8s6h4s AcTs7c2s2c 
QdTh9c7h4s KsQs9d6s2d KsKd8h5h3c AcJhTs6s3d 
Ts8c7d6h4d KhJs9d9c6d AdQc7s3d2s Qh9s6c4h3s 
AcKh7h4s4h QhJdTc8h2h Ad9d5s3h2s Js9s6s6d4d 
KhTd5h3c2d KcJc8s8c6d 9s9h8c7s3h QhTd8d3h3c 
9c6h5h4d3d QcTd6s6c5c AhQc4h4d2s KsJcTs5s2h 
Qs9d8s8h3d KdTs7h7d5d Jd9c8d5d2c Ac7c5d3s2s 
JhTc6d4h2c AsKs9c4h4d AsKc6c3d2d KcQsJd2h2c 
Ac9c7h5c2h Qd7c6d6c3s KcJcTs5d5c TsTd8d5s2d 
JsTh9h6c4h AsTc8c6h4c QdTsTc7s5s AdQh7s6d3d 
Jh9h9d2s2d Kd8c5h4d3h 7s6d5h3s3d QdTd6s4c2c 
KhJc9s9d6s Kd8d7c5c2s AhQdJs4c2d KcTd7h7d3h 
AcKs9c7d2c AdTs8s5c4s QdQcTc5c3c JdJc3d2h2c 
KhJs6d4h2d QcTh6h4h2c QcTh8h2d2c Kc9s7h6d4c 
Js8s8h5h2c KsQdJh2s2c AdTd8s6d4d AcQhTh3s3h 
KcThTd5s4d Td7c6c4h3d JcThTd8s3d QcTh9s7d3c 
JsTs9s7s6s Qs8c6h5h2s Js7h5h4s3d QhTs9d7c3h 
Ad9d5s3c2s Qs9d7h6s6c KcQcJh6d3c KsTd7c4d4c 
QhTs6s5c4s KcQc8c7h5d JsTs8d6s2d QhJh8s4s2d 
AdTsTc6c2s KsQsJs9c4d Ac9h9d7h6s 7c6d5h3d3c 
AsJd8c5h4h KhQs4h2s2h AhTs7s4c3c As9s7d5s2d 
QsThTd9h3h AsKcTd5d3d Qh9c7h5c3h 8h8c6s4s4d 
AhTh9s3h3c QcJdJc8s3h As9h6h2s2h AhQd5s5c2h 
AdTh4d3s2s KcTs9s7h4d 9d8s8c5s3d QsTc9d7c4h 
Kc9s9h8d7h Ac9h5d3d2c KdJsJc4h2d KcTh7h5d4s 
KdQd7h7c3h QhTs9c5h4h KhQd8s5s3d QsJsTs8d2c 
KcQs6h4d3c KdJhTd8d5d AcJs7d4s3d KcQs7h7d6h 
QdJd8h8c5s AsKc8h6d3c AcTsTd8d3h AcTc5s5h3d 
KcTsTd9d2h TsTc8c7c5h Kh9d7h7d4h Ac9d8h6d4h 
Ah9h6s5h2s QsJd9d8d6d Kc8d6s6c3s 9c8s8h7c6d 
Ac9h7c3h2s AhQsJh6h2d Ts8c6d5h4s 9h8c6d5d2c 
AsJh7h7d5h Ac9c5h3s2h Js8s5d4h4d Kc8d7s5c2s 
Kd8c7c4h4d JdJcTd7h2s QsTd7c6c4h Ks9d7s4d3h 
