KhTh9s3h2s 
9h6h5d3s3d JsTc6s6c2d As8c5s4s4d KcQcTc6c4c 
JhJdJcTsTc Kd8h6s5d5c JcTs9c5h2d TsTc7s5s4d 
KdJh9h8c5h KsQcTc5h2d Ts9d8s6s6h Js8h8d7d3s 
TsTd9h8s4c KhJc9c8c5d Tc7d5h4d3c TdTc5c4d3d 
QsJhTh4d2h QsJsTh2s2d AhTh8d4h2s Jc7d6d4h4c 
9s9c8h7h5d KhJd5c4c2d Jh9s9d8s6s AcQc9c7s7c 
Ac5d5c4d2c Jc8h6h5c3h 9s7s6h5d3c 9d8c6h5s4h 
Jc8d6s5c2d Ad4c3s3d2c QdJh9s5h3h Qh9c7d6c3d 
KcQc5h2s2h TsTh9d8h4c Jc9d8h8d5s Kh9c7c6h2c 
Ac9d9c8c3s Ts9h8c4c3h KcQd8s4c3s Td8d7c6d3c 
TsTd9h7d3c Kd7s5h4s2d AsKh5d4d3c Jh8c6d5h2c 
KdTc6c5s4c QhJcTd4s2d KsTd6d5c4d QcTs5h3s2c 
QsJc6h6d5d KhJd9d6s2s Tc8s8c2s2d Ts8d7s7c3c 
KcTc5h5d2h Ks9d8s6h4c JcTh9s9h5h QhJh7s6d4h 
KdQh4s2s2d Ah9d6d5c4c JhTs8s5c3d KsTc7s4c2s 
QdJs8h6h6c AsKd9d6d4c 8d7d6c4c3s AdKc6s2h2d 
Kh8d7h6h6c Ah4c3s3c2h Ks6s6c4c2d QsJh9s7d4c 
KdTsTd4d4c AcKs9s6s4h Ks6h5d4d3h Ts8c5s4c3h 
KcQh8c6d4c QdJs9h5s3s AcQc8d5h2c Th8s8d7h2d 
9d7c6d5d3s JdJc3d2d2c KhKd9s3d2d Qc9c5s4s3d 
QcTd9s8c3c JhTc7s4h4d QsJh6d6c5c Qc6h5h5c3s 
AcTs8c3h2d 9d7s7h6c5h QhQc9h8s2h 9d6s5s5h3d 
JcTh7s3s3h QsTd8s7s5s 8c7c6c5c4d Qd6c5h5c3d 
Ts7c6d5h4s KsJc6d6c3d Kh6s5s3h2d Kh8c6c4c3h 
9h9c6c5c4s AsJh6s6c4s JdJcTs6h3h 9s6h5s5c3c 
AcQd9d8s4d KsTs8h6d2c QhJc9s5h3h QdTs7c5d2s 
KsTd3h2s2d 9h5h5d3h3d Qs9s9h8s3h Jd9h8h7d2h 
AsTd9s2s2h JdTs9s9h5s Ts7s6d6c3c AcJhTh6h3s 
QcJc7c5d4s QcJd9c7s4h As9d6h3s2h Td6d5h4c3c 
KsTs5h5d2h QsJd9h4d2h Ks7c6d5d4h TsTc8s7h4s 
AdQd8h5s2d 8s8c6s5s4s 8c6d5s2d2c AcJcTc4c2d 
Ks8s6c4d3d Kd8h5h5d2c JcTh9d4h3h As7s7c3h2h 
Qs9s8d6s2d Jc9d9c5s3h Ks6h5h3d2s QcTh8d4d2h 
Qh9d7s6c5d AdJh9s6d3d Qc9c8s7d5c QsTd9h3d2h 
Js8c7c5s3s Qh9d8s7s7c AhJc9h4h4d Qd6s5h5d3h 
Ad9h6d3h2c KhQs8c4h3c Ah9d5s4h3c 9s8c7h5c2h 
AhTd7c5c4c JcTh8h7s2d KdTs9d8d3c 9h7c6h5h3d 
ThTc9d7d5d KcQh7h6s3d KhJs7d4d2h Ad9d6c3c2s 
Ks9h8d7h5c QhJd7s7h5h KsQs9d4h2d 9s7h7d6h5h 
KhQsTd4c3d Kc5d4h4d3c ThTd9d7c3s Kc9d8s8h7d 
TsTd9h7h5h Qh8h8d6s5h QcJdTs4h2s AdJhTh2s2c 
KdTs9h9c5h KsQh7d6c4c JdTc8s3d2s QdTs7c6c4c 
KsQs4h4c2h Qc8d6c5d3c Kd9d8h6s6c Js9c8d6d5d 
JhJcTs5c2c JhTc7h5d3s JsTd6h6c4s Kd6h5h4s3s 
KcTc5s5h2s Kc6s5s4c2c Js9s9h8s2h Jd9c7h7c3h 
Js9d7c5s2d QdQcJc6c2h 9h9c8s5h5d Qd8c7c4s4d 
9c8s8d7d5h Ks9s7s6h5s Td8h7s7d3s Td9d9c7d5s 
Kc6s6c4s2d AdKh7c5c3c AcKc9c7c3h KdQs9s8h5s 
KcJd7d4c2c Kc6h5h4c2c Ks8d7s6s6h Kc8s8d6s6h 
KcQhTs4s3d Jd8s8c7d5h 9d8s7s6h6c QdTs7d3s3h 
Tc8s7h6s5s QcTh7h4c2s Ac9d7c6h2s Kd9s7c4c3d 
KdJs7c6s4s KcThTc7d3c Qh8d6h4d3c QsTh8h8c4d 
9h9c7d6d2h QsQdJd6d2h AcQdQc6c2c Ah9d7d7c6s 
TdTc9h7d3s Kh8h7s7c2s 9c5s5h3s3h 9d7d6c5s2c 
AsKs9c8s4s KdJhTs5s2c Td8h8d5c2c Td8s7h6h4h 
JsTsTd8c3s JsTd9d9c5d 7c6h6c4s3h Qd6h5h5c3d 
Td9c8d6s6d ThTd5s5h4h Kh7s7h5c2s AsQc8s7h2s 
QsQdQcJsTc QcJh7h6d2c AdQh5d3s3d JsTs8d3h2d 
AsJd7d5d5c KdTh9d3h2d Tc6s6c3s3h KcTh8s6s4d 
Ts7s7h4d3h AdQh7c6c2h KdTd5c3s2s 5h5c4s4h3c 
Tc9h8d6s4h Kc8h8d6s4c AhJh7s6h3c KcThTd4s3c 
Qs6s6h5d5c Tc9d6d3d3c QsJc7c5c4d Ac5d3d3c2d 
KhJd6s6c4h AdQsJs4c2s QsJh9d5s5c Qh9d8c7h5h 
Js7s5h4c3c ThTc9h7s3d TsTd5h5d2s KdQh9h8c5h 
Tc8s7d5h4h KcQd3d3c2d AcKc9d5c2s QsJd8c7d3c 
JhTh5d3d2c 9c8h7h6s6d AsKc6c4c3h KsQh6h6d4c 
Td8s6c5c2s Jd9c5s5c4s KhQsQc7c3c JhTh5s3s2d 
Ks9d8d5h4h AhJhTh5h3h KcQsJc5c2h QdJsTs4h2s 
AhTd4c3s3h Qc9s9h7h3s QcTsTh7d4d 5s5c4s4h3c 
KsQh9h8c5h Kd7d7c6s5d KcQh9s3s3c Ad9c8h8c6s 
Jc9d7s5s2c AhKdJc4s2c TsTd4c3s3c QhJhJd4h2s 
Ks8h6c5s5d Kc6h5s4s3h Kd7d7c5h2c TsTc9d7d5d 
KcTc5h3h2s QhTd7h7c5h QcTc6s6c4d KcQh6h6d4s 
KsJdTd6d3h AsKh9c8h2h QsJcTh8h2h Td9c6d5h2c 
9h7d6h5h3c JcTc7s6d2s QhTh5d5c2d 9h7s7d6d5d 
Jc8s7s6s5d KhKdKc8c7h Ad9s8h5d3d Js8c7d4s4d 
AhTh6d5s3h KcQs9s8h5s AhQsJs4s2d QsJc9h9c5c 
Ad4c3h3d2c AdQc9d8d3d QdTh9d5d3s Qd9c7s6h5c 
9d9c8c6d2c Jc9c6d4s4d Th9c6d5d2c Kd9h8d5h3d 
8h7h5c4c2d Ac8c6h4c2h AcJc6d6c4s Th8s8h5d2s 
AhQc9s6d4c 8s6s5h4s2h Qc9s7s5c2d AsKd9d8d2h 
Th9d9c7d5d Kc8d6s5h5c AdKh7s5s3s AcTd4h3s3c 
KhQcTs8s4s AdKsJd7d2d Jh9s8s4d3h 9d6c5h5c3d 
KdQh7c6c2h Tc8s8c5d2d JdJc8s6h4s KhJd9h7s4h 
KsJc9h8d5d QdJd7d6s5d QsQd7s5s4s KcQc8d6c4s 
AhQcJh5h2h JdTh9c6s3c KhQhJs4d2h 9s9h6h6d3h 
QhJh7h5s4d Jd9c8c7d2c JdTc9h4s3h ThTc5s5c2h 
JhJd6d4s4c KcQh7h7d3d KhJh6s6h3s Jh9s8s4c3h 
TsTc4h3s3h QcJs8h5d5c AsKs8c2s2c QsQc9c8h3c 
KcTsTd6h2c QsTs9s9d3h Kc8c7h4h3s Qs9c5c4s3c 
AcJd9s6c3c Kh9c6s3s3h KdQh8d6s4d AsJs8c3s2c 
KhJd7d4h2h JcTc5h4s4c 9h8c7h5s2s JcTh9s3d3c 
QdTd6c4h3s Ah7c4c3d2h QhJc9h3s2s KdJc5c4h2h 
Jc9s7s7d3d QhJs7s6c2h KhJh6d5h5c AdJs9d7c2d 
QcTs7d5c2d KhJh8d6c4h KhTd7h4d2h Qs8c6s4c3d 
JcTh7s5h2s QcJc7s5s2h Ks9d6c3s3c AcTsTc8c2c 
KcJs7s7h6s AhJsTs6d3s JsTs7d6h2d Th9d8h6h4c 
Kh8d7s7c6c Ts7d5s4h4d Ad6s4d3s3d Qc8h5h4d2c 
KhQsJs8s4c Ts8s7d6c2c Ts9c8s6s4h 9h8h6s3s3c 
KsJdJc6d3h AcTd8d4h2h KsTd8h2s2h KsQsJd4c2s 
9s7h5s5c3h QdJh9s9c5c QdTc6c3d2h Ah8h5d4s2c 
8h8d7s3s3h 8h7s7h6d3d 8s8c5c4d4c QcJs9h5d5c 
Ts9d8s6s6c AsThTd3s2c KdQcJd4d2h KdQc7d4c2c 
Ts6s6c3d3c 9h7h6s4s3s QhQcJh6h2s Kc9h9d6s5d 
QsTh7h3s3c Td9c7s6h3d QsQdQcJdTs Tc9s8d6h3c 
KdJs8c2s2d AhTs8s6s6d Jd7h7c5s5d Jd9d7s7c3s 
Kc8s8h5s2c Ts7s6h6c3c AdJd8c4s3d QdTs6c4c2s 
KhTd8c3h3c KcQc9h4d2h AhQh9h7s7h KhJc9h3h3c 
KdTd9s8d5d Ad8d5h4s2c JsTc9s4h4d KdQd8c6d4s 
KhQh9d5h4c Ts7c5d4s3d KhTd7c5s4c Ts8c7s5c2h 
Ah9s8h5c3h 9s9h7c6c2h KhJc3d3c2h AcKdJh7s2h 
9c8s6d5h4d Jc8s8h6d5c KcQsTs4h2d QhTh9s8d2h 
JdTs9c4s3s Kd8h7c6c5s QhTs7h6s2h AcJd9c4h4c 
Tc6h6c5h4c Ts8c7s6s5s Th8h5s4c3c AsKs9s7s3h 
AsKhTd6h2h QdTh6s4s2h KsKcQh8h3h QdTc7s5d2c 
9c6c5h4s4h KcQhJc4c2d AhJsTc5d2d QsJs7c6h4s 
AsJdTd6d3h KdQcTs4s3h Tc9c8s6h4c 9d9c7d5s2s 
KsQh5d4h4c Kc9s8d7s5h Jd9c5c4h3h Td9c7h7d5s 
AcQh9h8s4h QcJd8c4d2c Th7d5h4s4d QhJs8c7d4h 
Th8d6d5s4d JsJc6s6h4s Js9s8h6h2s Ah8h6d4d2h 
Tc7h6d4c3h Th8h8d6c5h 9c6s5s5h3c QdThTc7s3d 
Jd8c7c4s4d Js8d6h5s2d Td8d7c6s2c QdTc7c3s3d 
Kc6h6c4h2s KcQhJc5c2d Kd8d7h4h3c QsJd6d4h2h 
Jd6s5s4d3c Ts8d8c7s2d KdThTd7s3d KhJdTc8c2s 
KhJs8d6s6c KsJd7h7d6d KcQs7s7h3h Js9s8h6d6c 
Js9d8h6d3h KsTs8h6c2d KdTh8h5c2c KsTs9h8c2s 
QsJd9s7c4h KdQdTs2h2c KhTs6h3c2s QcTc9h5c3d 
QsJh9s3c2c QdJs9c7d4h AcJh7d6c2s Ad9h8s8c5s 
9s6s5c4d4c AhKd9s7c4c AdQd6d6c2c QhJs9h6h6d 
KsJc7d6c4c KdQc9c8h5c Ad9d5s3s2s TsTd8c4s2c 
TsTd7h6c4c KhQs7c6c2s 9d8h8c7h3c KsTh7d5c4c 
Ah8s8h7h6h 8s7s6d4d3h Kd9c6h6d2c Js8c7h4s4h 
KdQhTs6h2c KsJc6d5c2d KhQh8s4s4c QcTc7s6c2s 
AsQd9d7c3h Jc9c7h5s2h Th9s9h6h4d KsQcTd5s2s 
KsJh9s7c4s Js7s6h5s5h As9s9h7d3s 9s9h6s5c3d 
KcTsTd4s2d QcTs7d7c5c QsJc9h4c2h KhQc5s5d4c 
9d7c6d6c3d KhQcTd6c2s AdTd6d5c3s Jh8h8c6d5h 
AcQc5s5d3c TdTc7s6h4h QsTd7s5h4s QsJh7h6d2s 
Th8h7s6s2s KsQsTd8h2s KhQh8c4s4c AhJs7s5s5d 
KdTh7s5c4c Ts9h7d6c4c AdKsQs8c2s Ad7d5h4s4d 
QsQhQdJsJc QsJd9h9d5d TdTc8h4c2h QdJs8c7h4d 
KcJs8d6s6h AhTd6s5h3h KsThTd6c4c 9h7c6d5d3s 
QsQc7d4d2s Ts7s7d6c3c Qd9d8c7s5d JsTsTh9s3s 
QdTdTc5s2h KhQdTs5h2h Ts9d8h6c3s AcJhJd8s3s 
QsQc7h5h4h Ac8h7d4h4d KhKd5s3c2s TsTc8c4c2s 
8s8c5d4d2s Ks8d7d7c2s Ks8s8c6d5s AdKc8s8c3h 
QdJhJc4s2c KcJhTd7s3s QsQhJd4d2d JsTc9d3s3h 
Qh9d8d8c6s KhKd9c3d2d KdTsTc4s2c KdQc9c6h3s 
JdTc7d5h3s AcKdJc4c2c Tc8h6d5s4s Kc9d6c5h3s 
Js9c8d8c6h Ts8c6s5s4h JhJd8h3d2s Kh8c5s4s2h 
Ac8s8d5s3d 9s7h6h3s3d Kh8h8d7c3c KsTh9d9c5c 
9c8h7d5h2d JsJh6d5c3s AcTd9c5c2s AhQcJd6s3s 
ThTd9c7d3s Ks9c8s8c3s Td8h8d3s3h 9s7c6c4c3s 
Ks9h7d6c5d Jc9d6s6d3s AcKh9c4d2s KsJd7d7c6d 
QcJs5c3d2d QhJh8c4h3c KhJd6s6d3s Qs9s8c5c3s 
Td6s6d5s4d Ks8d8c5c2s QcJsTd3h3d KdQd5c4d3h 
KdQdTc9d3d Jh8s7h6s3c Ad9s8s5h3h AsTh4c3s3d 
Ts9c8s6s6d KcTs7s6h2h KsJdTd8h3d KhQc6s6c4d 
Qc7h7c5s3s 9h9c8s7c5c Tc9c6c4s3s QsTdTc8d2h 
Jh8h7s7d6c KsJs8s7h4d Qh8d7c5h4s As9d7h7d6c 
QdJs9c8h2d KhQcJh4h2d Ah6c4c3c2h KhQcTd5h2h 
KdQd5h4d3c Qs9h7s7h4h Kh9d9c7d6d KsKh5d3c2d 
9d7s6h5d2h QdJs7s7c6s QdJh9h8s4c Qd9h7h5d2s 
Ac7c4d2h2d 9d8h7c5h2c QcTs8d4d2s Kc9h8d6h3d 
AdKs6h2d2c QsTd9c8s2s AhKh5h4h3s Qs9s8h5s3h 
JdTh7s4d2s KcQd6d5d3s Ks9s8c7s2c QdTc9s3c2s 
AcKs9d9c2c QcJc8d6h6c Td8s8c7s2c JdTc9h9c5c 
ThTc7d6s4s Jh8c6s5h2c AsThTd6c5c Ks9d8s6c4h 
AsQs8d6s3h Th9s8s2h2d KsKd7d3c2h Tc8s7d6s5s 
KdKc7s3h2d AhKc6c4c3d JcThTc3d2s Jd9s8s8c6h 
As9d8s5h3s KdQsTc4c3h KsTs9d3s2d QsTc7s3d3c 
QcTd7d3h3c Qc9c8h7s5c AcKdQd8s2d Kd8d8c7h3h 
QhJh9h7c5h AdJh7h5s5h KsThTc9d3d Jh7s5s4s3h 
Qs9d7h6d5d 9h9d7s5c4c JdTd7d6d4h 9d8h6d5s4c 
As6h4h3s2h QhJc8d5s5h AcQdJs7c2c Kc8h7s7h2c 
Tc8c5h4s3s QdJd6s6h5d Tc9d7s3s3d QsTh5c3s2c 
Ts9c6c5c2s 9h7s5h4s4h KsJc9s7d4s AcJd7c5c3c 
Qh9c7d5d5c KdQsTd8d2h KdQs6c3s3c Th9h9d4d2h 
Ah8d6s3s2h QsJdTd4h4d JsTd8d5h5c Th9c7d6d2c 
As9c5d4s3h Ac7c6s6h4c Tc9d7d6c2c QcThTc5d2s 
QhTs7s3h3d QcJcTc4h4d KsQhQc8c2d JhTd7s3s3d 
As9h9c8d6h KcJsTh7d3d Qd9c7s6h5s Kc8h8c6d4s 
QdJh7c6h2d KcQs8s8c2s QcJdTs3d2h Kd6s5s4d2d 
AsTd4h3s3c KcJdTs4s3s Tc8s7h6h4h Qd9c8h7d5d 
KdQsTs5c2h 8d7s5s3h3d KdQhQc3c2c JsTh9s4d4c 
KsQs8h6s2h Ad9d9c7s3d KhQc6d6c4s 9c7h6s5d3d 
QdTs9c8d3d QdJs8h8d5d Ks9h8h7s2s Ks9c8c7h4h 
JdTd8c3h2c KdQdJs5d5c KhQs7c6c4d KhQd8s4h3s 
Kh9h9d4d3d QsQhQcJhJd 8c7d6d5c2d Ah9d9c8d5d 
AhKs9s5s5d KhQd7c6c4s KsJh9s3s3h Ac9s8s5d3d 
AsKh9s3d3c QcTh8s8h4d JsJd6h5c4h As9s7d7c4s 
Td9s6h5h2s Jc7s7c6d3d AhKs9h3d3c Tc8s8h6c2h 
KsJh8h7h6h KsQc6d5h2s QsJh9d6c4h Kh7s7h5s2s 
KdQd9c4h2c KhQh7h7d5c AhJhTh7h3h Js9s8c5d4h 
QhJs8s7c3c Ad8d7d7c6d AsQd8s6h3s KcQhTs8s4s 
QsQc6c3d2d JdTs8h3d2h KhTd8c6s6c 8h7c5c3h3d 
9s7h7c6d5h Qs9s8s7h7d Ah8c7d5s4c AsJc9s7d2s 
AsJcTd6d3d KsTh7d5h4h KcQsTs4d2h Th8h7s6h3s 
AhQh6h6c2c AdQs8d6c3d AdJc9s7c4c Jc8s8d5s5h 
AhQd8h6s3h KdTh6h5c4h KsQhJh6h6c 9s8c5d4s4d 
Kd8s7h6h5c 9s8h8d7h3d QdTsTh8h2c KhJh9s7h3d 
QdJc6s6d4h KhKc7c3d2s KdKc7h6h2s AhQs5h3h3c 
QsThTc8d4d Qs9c7d6h5c Ts8c6d5d2c 8h6d5h5d3c 
Qh6h5s4s3s Jc7c6s4s4d KdJs6c5d3d Kh7d5s4d2h 
Qh9h5d4d3c KsQh5h4d4c AcTh9h8s2h 9d6c5h3h3d 
Kc9s8c6d4h AdJd6s6d4c Tc9h9c6c4s Ad8h7c5s4h 
7c6d5h4c3s JcTc5d4s4c Ks8h7d6h5c KdQh9s6s5s 
QhJd7d6c2h AsKc9d9c2h KdTd9d8s3h QdTs5d3c2s 
QcJd5d5c2c TsTh5h5c2s Ah8d7c4d4c 9s7c6s5h2h 
QhTs5d3h2d QcJd8h7s4c KsJdTc7h3h KcTc5s3h2h 
KcQd9c7s3h QcTc6h6c4d AhJc7s6c4d 8s8d6s4s3d 
Ah9s6h3s2c AcKd9s7s4s 9s9c7d5d2c Th9s5h4d3d 
JhJd8h3d2c QdTsTd7c3h KsQs7s7d5h ThTd9s8h4c 
Jc8s6h5c2s KdKc7s6s2h Jd8s7s5c2d Ac9c8d4d3c 
QhTh9h8c4s KcTd8d5s2s KcTd8h3h3c KcQc4s4h2s 
QdJh8s7c4d KdQh5d5c4d 8s7s6c4c3h QsJh8d6d6c 
Kh9s7s7h3h JcTdTc8s3c QsQdJd9d2d AdTc8c6h6c 
QdTsTc8c2h QcJhJd6c3c QdJd7h6s4d QhTc7d6c4c 
KsQh9d6h4c 9s7h6d5s2d 9h9c7c5d2d Ks8c7d6d5h 
Js9h7h7c3c KcQh6h5h4h KcJdTs8s2h Jh9d6h4d3c 
KcQhTs6h2d Td9h5c3d3c AhKc9h4d2s Tc9s8d7c4h 
Qh8h6d5h3d KsJs8h5d4s As8d7c5h4d Kd8s7d5d3s 
KhTh5h4d2d 9h8c7s5c4d JdJc6d2d2c AhKc6s2h2d 
Kc9d9c8c7c Jc9d8h6d3h AdQsJs7s3h AcKdJs2s2h 
Ts9c8c2s2h AhKcJd2s2d Jh9h7s5d2s KdTs8c7d2h 
Kd8h8d6c4s AdJd5s5d3h Ts9h7h5s2c Jh9d9c8s5c 
Jh9d6d4c3h KcJd9s9h5d 9s8s8d7c5h Kh8h5d4h4d 
KhJc9h3c2h Jc7s7c6h3h Tc8h8c5d2d KsQs7c4c2d 
9h7h6c5s2c QhJh9h8h7h QsTd7s3h3d KhKd7h3c2s 
Tc8d5c4d3h QdJh8s8d5d Tc9c7d6d2d Qc9d7d5c2h 
Ks8s5h4h2d Ad5d3s2s2h QcTh7d6d4d KcTdTc4s4c 
QdTc7s5h4h Kh9c7h4c3c Kd8s8h7d3h Ad9s8h8c5h 
QdTh9s3h2s QsTc7h5d4d Th6d5s5h4d Js9h9d8c5d 
AdKhQh6h2s AdKd9s9c3d Ts9c8s7d4h KhJs6d6c4h 
Qs9s8d5d3s 8h8d5c4d2h KcTc5d3d2h QsTh7d6c3s 
TdTc5h5d4d KcQs9s6h3d AcJs9d3h2c AdTc8d3s2h 
KcQh6s6h4d Qd9s9c7h6h Qh9d8s8c6c QsJc9s7d4h 
AhJh9h7s3h Ts9h8d4s3d Td7s5d4s4c Jh7h6c4s4c 
AdJd9d6h3c KhKdKc8c7d 8d7h6h5d2h Kd9d7h5c3s 
KdQhQc3h2h Ah9s6h3s2d KhQd8h6s4h JcTc7s5h5c 
Qc9s8c6h6d QcJs8d4d3s Kc8h7s7d5c Ts8s8c3h3c 
QsJsTs6s3c KcQsJh4s4d 9c7d6d3h3c Kc8c5d4h2d 
Tc8c7s6c3s KdTd7d5d4h QhTc5h3s2c Ks7d6d4s2h 
Qd9s9h4d3h AsKd9d8d2c Ks9h7d7c5s Ts9s5s4c3c 
Jh9s8c6c5c QhTs7h3s3c Kd6c5s3d2c ThTd8c4d2c 
9h8d5s4s4h JdTh7d6d4d AdJh6h6d2d Kh8d7c5d5c 
AdTd6s5c3d Kc8h6h4c3h KdQcTh8h4h JcTh9d8d4d 
KsQdJs4s2c Qs8d6s4d3h Tc9h7d5c4s KsTd9c6d3h 
Kd8h6d6c2h QcJh6h4s2s KhJh9c7h3s AcKd9d6d4h 
JsTd8d6d4d KsKd7c3h2s Ks6h5h3s2d KsJd9c8h5h 
Qh9h8d5d3h KhJd7c5s4c 9s9d7h5h2s Qh9h8c6h5h 
AhKc6s5d3d Js9h5h5c4c Ah7c4h4c3h Qd8s7s7d3c 
AhQc5h3s3h Ah8h6s4h2s KdJh8s8d4c Jh9h7c5d2c 
Ts9h6s5c2h Td8h8d5s2h Tc9h8d7c4s JsJc9d8h3s 
JdTh9d4s4c QsTc7s5d4s KdJc7d6c2d Ad6s6h5d2c 
QdTh7d3s3h KcQsJd4s4h KdTh8h2s2d Tc9h7c6h2c 
AsQs9s7s7c Ad6s6c5h2d KcQcTd8h2c KhTc9s9d5d 
Ah7h7c3s2s QhJc6c4s2s QdTs7h6h4h 8d7h7d6c3c 
Td8c7c5h4s Ah8h6s4c3d Kc6d5h3c2d KdQdTs8c2d 
Qd9d5s4s3c KdTd9d8s2c AcTh4s3d3c Qd9d8d7s7c 
QsJd8c6h6c 8h7d5d3h3c Js8s8h5d4c AdTc7s5s4s 
