Jd7s7d5s3s 
Ac9d7h6c3c KhJc7c6d4c Td9d8s7c4h 8h7d5s5d3s 
KsKd9d3d2c JcTc7h7c5c Jd8h8d6h2s ThTc9c8c3s 
Qd9h8s8d5c AdKd7s3d2s Qh8c6c5c2h AhKdJs5c2c 
Jd9h7c6s6h 9h7d6d5c3s Qs9h6d5c4s TsTd4s4d2c 
Ac5h5d4s3c QhQd8s7c4c JsJh8h7d3c QhJd3d2h2c 
JcTh7s7d4h Ad9h7s6h6c Ad9s8c4h3d AsQc6d4d2c 
KcQc8d4h3h KhTc8d6c4c AsTs9s6h2d Qd9h8d7s5d 
KdJh4h4d2h JsTdTc5c2h Ac9d8h6s5h AdQd9c4d3s 
Jc9c7d5h3s KsJsJh6d3s AdQc6c5s4c AhQsJd8c2c 
Jc6c5d4h3h QsThTc7s3d JsJc9c7d4c AdTh8d7d3d 
QsJcTs2s2h JsTc4s3c2d Jd8h5d4s2h KhJd9s7h3h 
QdTs9h9d2d Qc9c7d6s4h Qc6h5h4s2c KcJh6d4s3c 
KcQsJh7h4h KdJsJd6h2c 9s8s7s6c2c QcJd8s7s3d 
Jh8s7s6d5s AsQh9s4s3d Qd8s8c7s6h JhTh9h4c3s 
KcQcTs5c3c JhJc9c8c4d 9d7s5d4s3d 9d6s5s3d3c 
As6d6c3s2d Ah9d4h4c2c Qh9h5c4s3s KhTsTd5h3h 
Kh8h7s5h4c KcTd9h4h2d Jh9s7s4h3s 8s8c6s4c2s 
AhTc8d7s3c 8c7h7c4d3h Ah9h8d7h4h 7c6c5d4h2d 
KcQsJs6s3d AsTd9d7d3c KsQh7d5h2d AdJs7s6s6c 
Qd9h8h5c3c AsQs9h3h2s KhQd9s8h5h Th8h8d7s5c 
Ts9d7h6d4d KsJsJc5d2s AsQc8c6c4h Tc9c8h7d4s 
JdTsTc8c3c KhQcJc9c3d Kh8c7h7d2c Th9h7s3s3d 
Ts8c7h7c3s Kh6c5h5c2c QcJd9d5d3s AcJs9h7d4h 
AsKhJh8h3h QsJd9h6s4s Th9c6h6d5s 9d7c6h5h2d 
Jc9s8c6s2c TsTh9s6c4s Kd6s5d3s3d KhTh9d7h3h 
Kd7d6c5h3d 9h9d6c5s4c AdQsTs6s3s Qd9s8c7s5h 
Kh7d7c5d2h TdTc8s7h4s AdQd5h3d3c Ah8c4h2d2c 
Qh8d5s5d3h Qs7s6s6h4h Jh9s6h4s4d JsJdTh4h2c 
Qc9d8h5d3h QsQc9h6h3h AcJhTh3s2d KcJdTs4h4d 
Kd8d7h6d3h KcJd9s5c3c AcTc8d7c3c AcJh8d4h2d 
QdTc9c7s3h KsJh7h6d4h AcQs9s5s5d AdJs8h6s2h 
Qc9s9d2s2c QcTc7d4h2d AhQh4d3c2s Js8h5s4d2h 
Ad7h5h4c3c QdJhJc9s4s AdTd5s5c4d AsQd8h7s2s 
Kd6h5h5d2h 8c7c5d3h3d Kh9c7s3s3h KdTh9d5s2c 
7h7d4h3s3d 9d8h7s7c6d Qc7s6s6d4d KhQhTs5h2c 
JsTs7h7c4s KdTs6d3s2c Ks5s5d4c2c JhJd8s7c4s 
KdTc7c3d2s JhJd9h3c2c AsKcTc6d2c JdTh6d6c5d 
Ah8h5h5d4s KsJsJh6c2d QhTs9h9c5h Ah6c4s3h2s 
JhThTc4d2h 9s8c7s6h2h QcTc6c4d2d KdJsJd6c2h 
Th8c7d5s4c KhQd8s8c6c Tc9c8d4h2d QhJh4d3d2c 
Qc9s9d8s6s 8h8c7h6d2d Ac9s9c8d2c Jd8s7c5h4c 
9c6s6c5s3c QdTh8s8c5c Th8d6c5d4s Kc8s8h5s4h 
9s6d5s5d4s 8c7c6s6h3s 9s7s7h5s5d TsTc9d5s3h 
QhTs7h5c2c Kd8s5d4s4d AcQsTh6d2s AdTd9d5s2c 
KhQs8c4h4c AsKdQd7d3d KdJs9s5c3h KhJcTc6s3c 
7s7d5h5d4d QhJsJc8s3d KcTh9h7h4s Qd9d8d8c2c 
AdQd8d6s2h Qd9d7s6c4h Qd8h7h5d3h KhJdTd6c3d 
Qs6h6c5s2c KdQsJc7c4c 9h9d8d6c4s Jd7h6h4s3d 
KdQh9c8d4s Qc9h8d8c5s KhQc9s8h5h QsTc9h6h3h 
Td9d6s5h2h Ks8h6s6h3h Ah8d5c4d4c JdTs6d5h3c 
QsTs7s6d5s Qh6d6c5h2c QhJd8c3h3d AdTd8h4s2d 
QcJc6h3s3h Kc9s7d5d3s 9d8s7h6s4c KsTsTc2s2h 
Js9d8c5h4s AhQs6h6d2c QhJh9s6h4d Js8h8c7d6c 
9c8h6c4h3d JcTh4s2h2c Td7d6c4c3c KhQh8h6d4s 
AdQh8c5s3h KsJsJc5h2s QcJs8d5d4d AhJd9s5c4s 
AhJh6d2s2d QdQc6s6h2d Ts9c5s3h3c KsQsTc8s2d 
KdTs9c4c2s JcTs7s5h5d Qh7h7c6s5d AcJh8h6s2s 
QdTh8c7c4c Kh9c8d6d5s KhJhJd6s2c AdQdTd5d2s 
JsTs7d5s3c QdJc5d3d2c Ks9s9h7c4d KcQd8h6c4c 
Tc8h7h5d2c AcKc9d5s2c Kh9c5h5c4h 9d8d6s4s4d 
AhKsQs8s2d KhQdTs8h3h Jd9d8d7s3s QdJc8c6c4s 
TsTd9s7h4s JsJc9c8c4h Kh7h7c6h5d Kd8h8d7h2h 
KhTh6c3s2s Td8s8d5h5c KhTc8d7s3h AcQd8d5s3h 
Th8d7d5s3s JdTh6s5s4s KhQc5s5d3h ThTc8d4s4c 
QdJh7h5d2d KhTdTc5h3h 9s8h6s4h3d AhJc4s4c3s 
AsJh9d3s2c AhJd7d5c3s AhTh8d4c2h ThTd7h6s3c 
KsKhKd3h3d KsQsTs6d2c JhTh6h5d4h QdTh9c6h3h 
AdKs5h5d2d QdJhJd4c2d JhTc7d6c3s 8d7s6s4d3d 
QhTs9d5c3s QdTc9c6c4c Kh7d5s4h2s AsKs7c3c2s 
Ts9c8h6s4s JsJc9c3d3c QcJd9h6h4s Jh9c8h8d5s 
Ts9d7s6h4s AcQh8s7s4s AcJc5d4c3h QsJc8h3s3c 
AcKc7d3c2d Ks8s7h5s4d KcQd7s5d2s KsTc6d5h4h 
Kh6s5h3c2c Qs6h5c4s2h JdTs7s4d2s KdQd7s4c2s 
AhKs9d8d4c KsJs9c4s2c KsQhQd6s2s KcQh8s6s5s 
JsJh9h5d3h JdTh6c5s5c Td8c6s5s4h 9s6d5d3s3c 
QsJs9d4s4d Ac6h4s3c2h As7c5h4s2d QcJdTh4h2s 
TsTd8s5s5h KsQc7d5d4d Tc9d6h6c5s QcJs9s5d4s 
AsKd9c5h2d Qd6c5c4h2d KcQc8h4d3d JhTsTh4c2h 
AsTd9d6h3c KsJsTs3h2d QdJd9c6d4s Kc9c7c6c5s 
8s7s6d4s3d KdKc6h3d2d KdTh6c5c2h AsQd6d6c4h 
AhQc9c5s4c 8s7s7d4h3d 9c6s5h3s3c KdQs6d6c4d 
Ks8h7h5h2s Js6s6c5c3h 7h7d4h4d3d AcKh6d3s3h 
9d8s8c7d2c Ad4c3c2s2d ThTc9h7d4h Tc7c6d6c3d 
QsJdTh5d2d Qh8s6s4h3c Kc5d4d3h3c KhTs4s4h3h 
Kd9s9d8d2s QhTd5h5c2c Ac9h9d8s6s Ac8c6s4d2h 
Jc9s8c6s2s QsJh7d5s2d Qc7d6h5h3d Qs7h6c5c3h 
QcTs9d5h3s Tc8s6h4h2c AdJh9c4d3d As9d8s8h2s 
JsTc6d5h3s AcTh9h7h3d Js9d6s4h4d KhJs8d7s2d 
KcJc9d6h4c KsKd8h5c2h 9c8c7d5s4h KcTh7s5s4d 
Ad6h6c3d2h QcTc6c4h2h AsKc6s3s3d AcTc4d3s3h 
KhJc4h4c2c KdQh8d4s3s JsTs7s6h4s Ah9c5c3h2c 
As8c7c6h4d Kc8c7s5c4d KdTd8d4h2h Ac6s6h3c2h 
8c6s5d3d3c Qh9d8d7h2d 9s8h6s6h3s Qd8c7h6s5c 
KcJsJc6d2h 9c8s8h7c2s Ts8s7h4h3d 9s9h8s7s2h 
As5h5d4c3s Qd9h8s7h5c AdKc6d4d2h Ks9h9c8h6d 
QhJsTs3s3d 8h7h7c6c3h QhJh6s3s3d Js9s7d5c3h 
8c7c5s3s3h 8d7d5s4h2s AdTh7h6h5h KhQc9d2h2d 
Th8s8d5d2h QdTc7d5h2h KsKc4d3d2h AsKh6s4s2c 
Qs8c7c6c3s KsTd9s5s3c Js8s6h5h2h Ks9s6h6c2c 
QsTc6d5h5c KcTc9d8c3h Kh8d6s4s2h 9c8h8d7c2d 
Qs9s9d8s5h Kc9s7h5h3s Ts8h7h7c3s AhKs7h6h2c 
KcTh9c8s4c KdQd9h4s2s AsKcQc7c2h AcQcJc6c4c 
9s9c6h5h4h KdJc8s7s2c AhJs7c5s2c KhJs7s6c4s 
KdQd8h4s3s AsQcTc6c3c QhTs8d8c5c AcQh7d6s4d 
9d6s5c4s4c TdTc5c4d2s JdJc9h3h2d Qc9s5s4s3c 
AcJhTc4c2c Kc6s5d3d2c KcQsTh8c2c KhQh9h8h7h 
Js6s5d4h3h Js9c6d4s4d 8h8d5h4h2d Ad4c3c2h2d 
AcQd6d5s5d Jc8s6c5h2s Kd7d5c4c2h Kh8c7s6d5c 
Kd7d6h4h3d JhJcTd4h2h KdQdTd4s2c Th9c7c3h3c 
Qc8c6d5c4h Tc8d7s5h4d Th9h8c7d4s Th6h5s5d4d 
Qh9s9d2s2h Jd8h8d7c3h Kd8c6d6c3c KhQdJd6d3c 
AcTh8c4c2d AhQd6h3s3c KhTc8h2d2c AhJsJd4c3c 
KhQcJs8h2d Js8d8c7h6d Td9h7s6h4h AdQdJc4d2d 
AdTd5d3s2s AcKs6c4c2h QdQc8h7h4s JdThTc8c2c 
AdKhKdKc8s JcTh6s5s5d 9h7s6c5d4s JdTd5c4d3s 
Jh9h9c7d4s AcQc8c6d2h Tc9s6h6c5d Qs9d8h7d5c 
Ac8s5d4s4d Js8c5s4s4c KsQs7c4h2c As9c8d6h5d 
QdTh8c4h2c QcTs5d5c2d 9h9c8c6d4s AdJh7h6s6h 
QdJs8h3s3d QsQcJh8h2d QdTs7d7c4h KdJdJc6s3d 
Kc5h5c4s2s AhQs8h7h2d Ks9s9d7c4h QcJc9c8c5s 
9s8d7s7d3c Qs9h8h6h5h KcTh9h5d4h 6h5d5c2h2d 
QsJh9h4d2d JsJc9s3s3d JsTd8h5c3s 8s6h5s3h3d 
Qh9h6s5s2h JhTc7s7d4s JcTd8h5s3c KhQc9s8h4d 
KcQdTs7h2c KsJc7s4d2d TdTc7h5s4s QcTc6h5s5c 
Qs9s9h7d2h Td6h6d5d4h JcTd6s5h3c 8d7d6s5h3c 
9c8h7s6h4d KhQh9s4s4c AdTh6d3s3c QhTh7s5c2s 
QhJs8h6h4c QdJd6d5h4d JdJcTs4d2d JdTh8d4c3s 
QdTc9s9d2d Jd8c7s5c2d KhTd8h6c2s QhJc8c7s2s 
Jd8h8c7s6c KdQd5h4s2c JsTs7d6h3c KsTs9c7s3s 
Ks8c7s5s4d AcTc4s3h3d QcJd7h6c2d QdJh9c5s4s 
Td8d7s5s3s JcTs6h6d4d Kh8s5s5h3d Ks9h7c3s3c 
KdTs8h3d2h Qs9s5h5c3h 9c8d8c6c3d 9c6d5s4c3d 
KdJc9d8d5d Qh8d7s6c5d AdKhJc3h2h KcJh5c4s4c 
KsQdTh4d4c Js9c7c4s3c KsTd4s3d2h KdJsJd6c3d 
AsJh9s5c2s KsQdTh5d2c QsJc9d6d4h Kd6d5h4s3c 
JhTs7s5d5c Qs9d7d5c2s AsQh6s3d3c Ac8h8d7h6h 
AcKh5s3d2h Ah6h6c4s2d KhJcTs8d2s Td8s7c6c2d 
QhJh8h7h5d Jc8h7s5s2c Jd9c8c6s2s AdQs9s5c4s 
Kd9d6c3s3c Qd9h6d3h3c Ad9h6c5d3d KcJhTs6h3h 
As6d4h3s2h KhTdTc7c3s 9h7s6d5c4s As8h6h3s2h 
8d7d7c5h4d Jh7h7c5c3c KcQcTs8c2d Ts8d7s4d3c 
AcQh8d5s3h ThTc9h7s4h JcTc8d2d2c Kh8c7s4s3h 
AdKcTc6c2h QcTs7h7c4d 7h7c4c3s3h Js7h6s4c3c 
QcJs7s5c2c KsKd6c3d2d QhJc8d7d3c Qh9d6s4s3h 
Ks6s6h4c2c QhQd8h4s3c JcTs9c4c3d AsJs6h3s3h 
AdKh7d6d2s Qd9h7d6c2h 8h6c5h5d3c JcTs8d7c2h 
Th9h5h5c3c QhJh9h6d4c Ad7s5c4c3s Th9h7d3s3d 
ThTd8s5s5c QhQd4s4c3s QsJhTc3c2d QsJc8h5h4h 
KsQhJd5d5c QcTs9h9c5c Jc8c6d5d3c KhTs9c4c2s 
Qh9s6d4d3h 9c7d6d5h3s KsQd9h2s2h Td8c7h5d4s 
AcTh6c4d4c JhJc7h7d3s KhQcJs7s4s Ad4c3d3c2s 
AhKh9h4d3s AhJd9c2d2c AdJd6c2h2c Th6c5d4h3d 
9h9d8s8c2c Ad9s7h7d3d Jh9h8h7c6h AdQc8s6h4h 
Jh9s6h4s4c KsJs8s6d2d Ad7d7c5d4d KcQs7h5s2h 
Ts6c5s5c4d Qc9c6s5s2c Ah6s4d3h2s KhTc9s8c5c 
AsQh6s6d2c KcQh5s5d3c Qd9d5s5c3c Kh8h6d5c4h 
9h6c5c3h3d Qh6s5s4d2h Tc6d5c4d3h AsKd8d6d4d 
Kc8h7s5c4c JcTc8s5h3d Ad9h6s5s4h JcTs6d5h5d 
KdJd8d6s2s Jh9c6h4d4c Th8s6c5c4d Td9c7s5d2c 
QhTh8h4c2c Ts9s8s8d7s Ks6c5d3d2s Qc8s8d5c2s 
QsTc9d8h2h KhTc5h2d2c 9c7c6d5c3h Jh8h6c5c2c 
9c7s6c5c4d KsTd7d3s2h Js8s8h6h2c Ah6s4d3h2d 
QdJh7c6d2h Td9d8d6c4h KcJcTh7s2c KdJh8h7s4c 
Qd9d8c6s4h Qd9s5s5c4c Ah5h4h4c2c 8s8c7c5c4h 
Kc7c5h5c3h Ac9d8c4h2s QsTc7s5h2h Jc8s7d5h4d 
KcJc9c5s3d Ts9s8c7d4h KhKc6s3h2h KdTc6s5h4h 
AsKs9s4c3h AhQs6d4d2s Qc9h8h5s3s KsTc4s3c2d 
AhQh8h6s2c Kc9h8d4h4c KdThTc9s4s AsQh9c5s2s 
JcTs6h5h5d Kd9s6s6d2c TdTc8d5h5d Ac8s7d3d2c 
KdTs6h2s2d Ts9h7c5d4s Qh9c5h5c3c QdJs9d5d3c 
KcTsTd6d3h KhQc8c4h2c AdKh7h4s3h KhTh6c5d3h 
JcTs4s3c2h KhQd6h6c4h Kd6h6d4s4c QhTd9s9h2h 
QhTh9h4d3c Qc7s6c4s3s KsQhQc8d4d AdJs9d6d3c 
Ts9s7c6s4h JdTh8d5d5c Kc9d8c5d2c KdJs7h5h4c 
Qc7c6h6d3d 9d7c5h3d3c Tc6s5s5d4d Td9d7h6s3d 
Ah9s5s3h2s 8c7d5h5d3h AsQd8c7c4c KsJcTd8h2d 
JcTsTh5c2d KcJs6h6d5s JcTc7h5c2h QsQcJc8c2h 
KdJhJd6c2s KsJhTh4c2d KdJc3d2h2c Tc9s6s5d2d 
JdTd5h5c4d KdJdTs7h2d Qd8h5s4d3s KdTs9h8s5s 
KcQh3d3c2d QsQd6s5s3s AhQh5h4s2d Jc9c5s4s3c 
Qc7s7d6c3d Td6c5h4d3h AhJh9s6c3h KsQcJh7h4h 
QdJs9c5h4h Kh5h5d4s2s QcJc4d3d2h Jd9c8c4d2h 
AhTh9h6h4d KhJhTh3s2d As9d8s8c2s AdQd9h4d3s 
8h7h5c4d2c Kd9s7s7c6h 8d6c5s3s3d Jc9h7s7h6h 
KcTs8h3c2h Js9d8s8c5h AcTd9c5s2c QcJd8d7d5d 
AdTh9s5c4h Ks9h9d8c6d JhTc8h4d3s Ad8s8h3h2d 
AhKd9c5s2d AsKhJd3h2h KcQsJd5d2h Kd9s8c4s4d 
AcJd9h5s4h AcJc9s6h3c 7s7c5s5h4s Ac6s6c4d2h 
QdJc8h5s4h QsJs7d5h3c Qh8s7s6h3s Th9h7d6h4s 
AsJh9d5c4d Ks8s7c5s4h KsQcJs5s3s QdJs7c5d2c 
9s7s7c5s5h JsTs7d6c3h QsJh7d4d3h Ac9c6s5h4c 
QsQh8c7d3h Ks9h8c6c5d Qh7h6d4c3c QdThTc8s3c 
8c7h7c5s5c Ts9s6d5c2c Td9s6d3s3d 9s7c5s4c3s 
JhTd9c4s4h AhJd7s6c4d Th8h7s4d3s ThTc6d5s4d 
AcKhJc8c2c JsTs5h4s3c KdQsTs7c3s QdTs9h6s3s 
QcJs7c5h2h Jh8s7h5h3s Tc9c8s3s3h KdTs6h5c4c 
KsTc8h7d4h AdQsJh3h2c Js9h6h4s3c KhKc8d5s2d 
JdTd7s6d4d QdQc5c4c2s Ts9c8s4c3c AdKc9s2h2d 
KcTd8h7s3c QhJh9c6h4d KhQcTc9c2c JhTsTh4d2h 
AsQs8s6d2h AhKd9s4h2c 9c7c6s5c3h AdKsKdKc8h 
JsJc9d7s4s AdJsTs3h2c AcJc5d4h3c KcQc9d2s2d 
Tc8c7d4s3d 9h7h6s4h3s As8c4s2h2c Qh8s8d7s6c 
AhJdTh4h2h Js9c8c7c6c KcJs8c4s4c 9s6s6h5h2c 
QsJs8s7s5d QhJc8s6s4d JsTd8c4s4h Kc7s5s5c3c 
Qc8d5h4c3d QsJs6s5c4s Ad9s8c6c3s Jc8s7h5c4c 
Ks8d8c5c4d Td8d6c4c2s Kd8c6h4h2d Ks9s9h5s2h 
Ts9h5s5h3h AsQh7c6h4h QsJd6d5h3c KsJhTs7s3s 
QdTc7s5h4s KcQc9c8c7c 9s9d8s4c3d Qh7h7d6c5s 
KcQs7d5d4d Jc8s8d7h6s AcKc9h5d2c JhJd9d8d4c 
ThTd9s8s4c KsTd7c5c4h AsTh8s7s3s 9h7c6h5h4s 
QhTd8c4d2c AsTs8c4h2s Ad8s7d3h3c 9c7s7h6c5d 
Qh9s6c4c3h KcQsJc4d4c AhQs8d5c3s AsJd7s4c3s 
QcJc6c5d4c JsTh7d7c4h AcQh8d5h3s QhQdTd8d2d 
AdQsQdQc5c Qc9c7d6h4s Ac8s7s7h5s Ac8d6s6c2h 
Qd9c7d6s2c TsTc9c6c4c Kh6c5s4s4c QdJc5d4h3d 
Qc8s7d6h5h Ks7c5c4s2c 9h6h5h4c3c AhKs7s4d3s 
Ac9s9c4d3h AsJd7d6d6c Jd7d5c4s4c QcJs7s4h3h 
9s9c7h5d4c TdTc6h5h2c KhQs8d8c6d AsQd8d5h3c 
KdJd9s4d2s AsKcTs7s2s KsJc9d5s3s JdTc7s6c3h 
Jh9d7h5c4s ThTd6s5c4c Th8s6d5s4c Td9d8d6s4c 
KcQc8d4s3s 8s7s5h4s2h KdQh6s6c5c KcQd6s6c4c 
QcTs9c7c3d AcJh9s7d4s TsTc9c8c3d KcQh7s5s4d 
Tc6d6c5c4d QhTh9h7s3c TdTc9s8s4h QcTc6s5h5c 
AdQs6d6c2h KdQs6d3s2s JhJd9d3s3d KhQdTd7s3d 
Td9d8c4h2c Js9s9d6c2c QcJh3h2d2c KdQcJs5s2h 
JdJc9c7s3c ThTd8c5s5c AdKsTs6h2s Kh8c6h4s2c 
Qd9c6c4d3c KcQcTd7h2s Qd8s8h5d2s Kc8d7c5c4h 
AcJd9s7h4s KcQc7d4s2d Kc6s6c4h2s QhTh7d5c2d 
9d8d8c7c2c AhJd9c4h3h AsKc6s3s3h AdJd4d4c2c 
QcJd7s5h5c Ad9s4d4c2c 9s7h7d6d5c 7c6s5h4h2s 
Jc9c7h5s3d Ks5s5c4s4h QdJs8c5c4c JdTsTh5d2c 
9c7s5c4s3c Jh8s7c5h4h Th9c6h5d2d Kh8s8d5d4s 
Jh8s6d5c4d AdKcQs4h2h QsTh9h7c3d Jd6d5h5c4h 
Ah5s5c4d3h Kd8s6h4d3h Ks6s6h4d2h 9h9c8c4s3h 
KsTs9d8s3h Td9d8c2s2c KsJh7h6c4h Tc8c6s5c3s 
JhJdTc4c2s Ac9c6s5d4c Ts9d7c5h4s Kh9h9d8h2d 
Tc8s8c4s2d 9h8c7h6d2d Ks6d5s3c2d AsQs9s8s5s 
KcJh7h6s6h TsTh8d8c3h AsJcTh7c2c Ks8d6h4s2h 
QcTh6s6h5h 8d7d5h3h3c KhQd7c5c4s Ac9s9h2d2c 
7s7d6h6c3d 8c7h5s5h3s AdJh7c6s6c Td9c6d5s2s 
JsTh8s4d3c Qc7d7c6s5h Qh9s8h7c5h KcTh9d6d3s 
KhTc8s7d3h KhQc9s2s2h JhTh9h4c3d 9c7d7c4d3h 
KsJs9s6c2c Ks8c6d4s2d KhQcTs4d4c 7s6s6d4s3d 
JsTh5s5d3c 7s7h4s4h3s 8s8h5h4h2s KhTd9h8c2h 
Th8d7d7c3h AdTc7s5s5h KdTd5s4d2s JsTs4h3s3h 
AsTd9h9c2d KcTc6d3h2h QcTc8h7c5c KhJh8s6h5h 
7s7h6c5c4c AsKs7s3d2d AcJh7s6d2c Kh8d7d5d2h 
9h9d7s6c4s AhJh6s2s2d Td8s7d4s3h Ts9c7h5d4s 
Jh9h9c6s2s KsQcTh4d4c KcTs9d6s4s Qd9c6h5s4d 
AhJd9d8c4d KsJs7d4h2d QcJc9d6h4c KdTh9s3h2s 
KcQh9s5c4c KhQhTs7c2d QcTh9d6h3h AhJs7d6c4s 
AsKdQd7d2h Kh5c4c3h3d Ks6s6h4d4c JhTsTc8s2s 
KsTh9s8d2s Td9d8s4c2s KcJs9d7s4h Ks8s7s5h3h 
AsThTc3h2c Qc9h7c6d2h Ah9s9c8h3h AsKs9c5d2s 
Ts8c6s6c3c TsTc9c7h4c KhJhTh4s4d KdTs4d3s2h 
KdQs9h8d5d AcKs7s4d3s Qd9c5c4c3d Qd6s6d3s3c 
Jd8s7c5d4d QhJcTh2s2h AsJc9s5s3s JdTd8c2d2c 
Ks8h8c5h4c QsQc9c2d2c KcQcTc6c5c KsJsTc4s3s 
JhJcTs6h2d Ad9h8s4c3d QdQc8d4h3s KcQd7d4c2d 
KsTs9d5c3s QsTs9s7d5s Jh8c7d5c2h QsJs9d6s4c 
AdQs9s5s5h QdJs9c6d4d KhJd9h8h5h Jh9s8s6d2d 
AsQd6d5h4d KdQd8h4c2c Th8d8c4h2c Jh9s7h5c4d 
KsQs9h4h4c JdJc9d3h3d 8h7h6d6c3d Tc9d9c6s4c 
Th8s6c5d4c JhTc6s5d3h Js8c6h5d4h Ts8h7h5c2s 
QsQd8d4h3c Ad8d6h4c2s 8s8c6s4d2d AhJh5h4s3c 
Tc9s7c6d4c QcJh9h5d4h AsQd8h5c3d QhJd8d6d4c 
JhTh6h5h4d KcQc8c6h4d KhQh8c5h3c Qs7c6h4h3s 
QcTs9d9c2c Kh9s8c4s4h KhTs9h8c2h QhJdTd3d3c 
AhJd5s4d2s Ks6d5h3h2s QhTd4h3h3d KcQhJh9h3d 
KcQc8h4s2s Qd8d6s5d4c QdTd7h4s2h Td8d7s4s3c 
8s8d7d6s2s JdJc9d3h2h As6c4d3s2c QdTd6c5d3s 
Jd7d6h6d4h QsJc8d7d3c 9h7c5h4c3h Qd8s8c5d2c 
Ad8h8c7c5c Td8s8h6c5c Th9c6h3h3c 6c5s5d2s2c 
Ks5c4c3s3h Ts9d8d4d3s QsJc6h6d4c Kd7s5d4s2h 
Tc9h8h4h3c QsQh8c7d4d 9d7h6d3s3h 8c5d5c3d3c 
ThTd9c7h4h 7s7c6h5s2h 8h8d6d4c2c 8s7c6c4s3s 
AhQsTc6d2s AhQc8s5d3c KdQhJh9h3c KsTs9h7s3s 
JcTd8c5h5c KsTc5s2h2c Th8h7c4d3c KcQdJc5c3c 
Ad9c6d5d4s AdTc6d5d3s AcKc9c4d3h KcQd7h5h4h 
Jc9c7h5d3s 7d7c6h6d3d QsTd9h8c4c KhQsTd6c3c 
