9d5d4h2s2h 
9h9d8c4c3c Tc8d6d3s3d Qd7s7h5h3h QsJc7h7d3h 
Jh7d4d2h2c AsJh5d4c2d Qc9c6d3s3c Ad9h5c3d2d 
QhJd7s4h2c Kc9s6d6c2c Qc7c6s6d3c JhTc7d2s2h 
Ts9s7c5s2s Kd8d7s4d3c Kd6d4h4d3s 7d5s3h3d2s 
Ts8c6h2d2c Td6h5d3d2h 6h5c4s4c3c Kh7h7d6c2h 
JdTd5h3d2d Kd5d4h4d2c Th8d7s3d3c Ac9s8h4d3h 
Ks5d4s4h2s Qh6h5h3s3d Qc8c5c4d2h 9d8s7c4c3h 
KsJc7s4d2s Qc9d8s4c3c Kh9c8s8d4c JdTs6s4s2s 
9d6h4d3h2d KcJh8s4h3h Qh8d5s3s2d 8c7s5c4c2c 
QdTc7c3s3h Kd4c3d2d2c Jc8s4d3s2c 8c6d3s2s2c 
Qs9s8s8h3s 6h5d4s4c2s Qh8d7h5h3h 9h6h6c5d2h 
Jc7c6d5h2s Qd8h5h3s2s Kd5s5d4d2h QhTc3d2s2h 
Js8c5c4c2h AhThTdTc6c TsTc5h4d2h Jh6h5c4d2h 
Qc7s5c3s2c 9d9c5h4h2s QhTh6d3h2s Ad6c5h3s3h 
Ac8h7h4h3s AsTh7d6d2d Ad9c8s4h3c KhJs7c3h2d 
QcTd7h3s3d Qh7h6c5h2s Js7s6s4h4d Ah8c6s6d2d 
6c4s4c3s2s Qd5s4h4d2c Td7d5c3s3d QsTh7h3d3c 
QcJh6s2d2c Qc8h7h5s3h 7h7d5c3s2h 6d5s4h4c2c 
QcJc8s3h3d Tc8d5h4d2s AcTh6d5s2s Qd7s6s3c2d 
AcKs7s3d2s Jc8h6c3d2d Ts7d4s2d2c Ad7s6c5h2h 
Jd9c8h4c3c Th8s8d4h2h Jc7h6s6d3d Qc8s7h5h3h 
JsJhJd7s7h QdJs6h2d2c Jd8s8h7s2s AhQc6h4h2h 
AdQs5s2s2h Ad9c6d2s2d Ks8s6s3c2c Tc9h7s4c2c 
Js9c8s4s2h Qh9d6c5d2d Js9d6c4h3c Jd9h8s4h3h 
As9s3h3d2c Kh6d5s4c2d 9h6h5s2d2c KcJc8d3s2h 
9c7s4h2h2c 9s8d6s2s2h Jc9h8c4d3c AsTsThTc8d 
Ks8s6d4s2h KhQh9s3h2d 9c7s4s4h2h AhTs6d3d3c 
TsTh6h4d2h Qh8c5d4c3s 9d7c5h5c2s 9h8h6d4c2h 
Ac8d6d5d2h Td5h4s3d2h AsTc7c4d2c Qs8c7s6s3s 
Kh9s7s4c3d KcJc4s4h2c Jh9s7d6c2c Td6d5d4d4c 
Jh6c4d3h2c Tc6s5s5h3s Ah6s5s4d2c JhTh3s2h2c 
Js9h8c4d3c Jc7s6d6c3c Ts9d5h4d2c 9s6s4s3d2d 
Ts9s6s4s3s 9s7s6d5s2s QcTh7d5s2s Ac6c4h2d2c 
QdJh3d2s2d AhTd6s5c2c Kc8c5h4c2d Ac9d8h4s3h 
5h4h3d2s2d Js9d7s3s3c Ah9c5h3h2s As9d9c7c2c 
KdTc7c3h3c AcQs6h6d2s Jh6c5h4h2d Th9h6h3h3d 
Ts9d5c3h2s Kd9c8c5c3h As8d7d4h3d AcQs7h3h3d 
7d6s5c2h2c QsJd8c4h2h AcQc9c3c2d KhQs8d4h3h 
Qs8c6h4h3d 7s7h6d4c2d AcKc9c4c3c Th9h7h4d2s 
Ts8c4s3c2c As8c6h6d2d KcQh6s3d2h Ts7h6s5s2d 
Qd4c3c2s2d Qd8d6s6d2c 9d7c5d4s2h Kh9d4s3s3d 
Kd8s6d2h2c JdTc3s3h2c As6d4h3s2s AcTsTd3h2h 
Ah9s5h3h2d KcQh4h3s2h TsTc5d4c2c AhJh6h3c2s 
TsTh5c2d2c Th9s8c4s2s Kd9h5c4s3h Td8h7h4c2s 
QcTd7c4c2s Qc8s8h5s3s Ks8h8d4s3c KcJd6d4s2d 
Kc9h7d4c2s AcQhQdQc8s KsQc4s2s2d Jh6d4s3h2d 
Ah9d5c3h2h Jh6h6d5h4h Kd8d3s3c2s Js7h6d6c3c 
Ks8h7c3h3c 9c8s6h4d2d Jd8d6d4c3s Jc8c7s7d3c 
Ks5d3s3h2c KhQc5d3s2d 9s7s6h4c2d 9s9d8s4h3s 
6s6d5c3s2s Kc9h8s6s2s Th7s5h5c3h Qh9h9c7s2h 
Qd7s6h6c3h Tc9s6d3h2c QsTc7s4h2s Kh4s4h2h2c 
KsJh8c4h3h Qd7h6s4s3c QsQd7h2h2c Ts8h6h3h3c 
Ah9s7c4d3c QcTc7c3s3h Js8c5s5h3s Ts9s7s4h2d 
KsJh8d4h3h Jd8h7h5h3h QdTs3h3c2d QdQc6h3h2s 
Th5h4h3s2s 9h5h5c2s2d AhJs6h2h2d 8c7h5h2h2d 
TsTh6s4c2s Td6d5d4s4d Qs9h8s4d4c Jd8h5h4h2c 
KsJs4s4c2d Tc8s3s2h2c KcTh8d4d3d AsTc6d5c2c 
Qs8c7d5d3d 9d8c5h4d2d As9d5h4c3h AsQs7s3d2c 
Qd9c8s7c2c Jh7s6d6c3d AsJh6s2s2d 8h7h5h4h2d 
QhJh4d3h2s 9s5d4s3h2d Ac6h6c3s2c Td8d3h2s2h 
8c7c5c4c2h Th9c8s3s2d Ts9h6c4c2d 8c6s4s3s2c 
Qs7d4d4c2s Ts5d4s4d2d KsTs8h2s2d KsTh4h4d3h 
Qs6d5d4d3d Jd7h4h4d2h Ac7c4h4c3c Kc8d6h2s2c 
KcJd4h4c2c KcQc5c3h2c JhTc6c3s2d Jd6s4d3c2s 
Jh6d6c5d3d Th7h5c3s3h Qh7s6s3d2h Ac8s5h4h3d 
Qh9c7h2h2c 9c7d4d2s2c Jd8c7s7c3h 9d9c8h4c3c 
9h8c5d2s2c Ah6h5h4d2h Js9s4h3d3c 6h6c5s3s2d 
KdTh7h3s3h Jc8s8d6h3h KsJh5h3c2h Kc7s7h4c3c 
Jh7s5s3d3c Qd8h7s5s3s Qs9s7h6c2s Qs9c8s7s3s 
Qh9c8c4s3d 9s8c7d4d3h Jc8h6c4d3c ThTd6h4h2s 
8d6s5d3c2d Jd6c5d4s2h Kh7h5s4h2d KhQc9h4d2h 
Js9d7d4d4c Kh8d7s3s3d JcTd8h3h2h Js7h6h6c3d 
QhJh9h3h3c Qh6s6d5c3c Ts8h6d2h2c Qh8h7d4c3s 
Ah6h4s2h2d Td7h6d3d3c Kd9s8c2h2d Qs7h6d4h3c 
9s5s4d2d2c KcJs8d4h4d 9d9c8s3c2h Kh5d3s3h2c 
KdJd4s3c2d 9c8h6s2h2d TsTc5s4d2s Jh6h4s3s2d 
JhTd4d3d2s Jh8h7d3c2d Ah9s6h5h2h Qd7d6h5d2s 
KsJc4h3s2s Ad9s7c4s3s Kh9s8s5s3c Ts6d6c3c2d 
AsTh6d5h2h KcQd5s3h2s 8s6h6c4c2c Jd8c5d4d3d 
Js9c8s2s2d KdTc6c5c2c Qd9d8h8d3d Tc7c4h3h2d 
AhTs6c4s2d Ks9h5d4c3h Kd9d8s3h3c Td9s6c3h2d 
ThTd6d2s2d 9d6d5d4d4c Qs9d5c4h3h Js8s6s6h3d 
AhJc9s6d2d Kc5c4c3h3d Qh4s3s3h2c Qd4h4c3s3h 
Ah6d5s5d2c Qd8s7h5h3h 7h5c3s3h2c 9c7s7h6d2h 
TsTd5h4s2s Qh5d4s4h2c Td6c4c3s2s KsJd7s4h2s 
QhTc8s2s2d As6h5c4c3c 8s7c6s2s2h QsJd7s6s2c 
Js7h5s3s3c Qh8d5c4s3s 9h7d4d3c2h Qh5c4s3c2s 
Jh8c7s3h2s 4s3s3h2h2d Kc7h6s6d3h 9s8s5d4s2h 
Ad8s6s5s2c Ac9s9d7d2d Qc7c6h4c3c Qc7d6s6h3h 
Js9s8h3s3c Jh8s8d6d2d 9s7h4s4c2h QsJc8d4h2d 
7s6c3s3h2h Jd8d7c3h2c Qh8s8h7d3h Tc9h8s4h2h 
KsJc7s4h2s Ts6d5s5c3s Kc7c4h2h2c Jh6h6d3s3h 
JhTh3d2h2c Tc8d4h3d2h 6d5h4d4c3d Jc8d6h4s3s 
Qc8c6d3c2d AdTs7c4h2h Js8h7d3s2h As9d5h3s2s 
Kh4d4c3s3c 6h5s4s4c2d Ac8h8d6d2d Jh6h4d3s2d 
JcTh4d3s2d Qh8h7c4d3s 9h8d6h4s2h Js7c4s4c2c 
Jh7s6s2s2h 7s6h6c4d2h 7c6h6d4s2d Qd7h4s4h2d 
Qc8c5s5d2h Qc9c6h3s3c Qc7s4s4h3h Qh5d3h3d2d 
7c6s5d2h2d KsJs8s4h3s Js8h5d4h2h Js7s7d4s3h 
Qs5d5c3c2d KdTc7s4h2h As8h5d4c3h 8s7s5d2s2h 
6c5d4d3h2d 9s9h8c4s3s 9s8d6d2d2c QhQdQc2d2c 
QsJh6s6d2s As8h7d6h2h Ah6c5c4d2s Tc8d7d4s2h 
Kh6s6c4c3d Th7c5c3h2h QdTc3h3d2s Kc7h7d4c3c 
5h4s3s3h2c Kd8d6h3d2h Qh8d8c5s2d Jc7d5c4s2h 
KhQh6s6d2h 8c7d6c2s2h Jd7c4c2s2d 7h5c3h2d2c 
Ad6c5s3s3h As8d7h4h3c 9s8h7s4d3s JhTh7s4h2h 
Qc7s7d2d2c 8h8d4d2s2c QhTd7d3s3c Ah6h6c3d2h 
Ks9h5c4h3d Qh6d4h3h2d 7s6h5h3c2d KhJs7h4h2d 
Qd9c7c5s2h Qh9s9c4c3d Jc9h8h6h3h Qc8s8h5h2d 
Kc8s6h5d2s JdTc8d3d2d Jh6h6d3d2s KcJh8s4s4d 
AsThTd3c2c 8c6s4h4c2d JsJhJc9h7c Qd9d8h7d2d 
AsQd7h3s2s Jd8c6s6d3d 9c8c5c4d2s Qh9c4h3h2c 
Qs5h5d2s2c AdQs7h6c2c Jh8s5c4d2s KhQh9c3s3h 
Tc6c4s3d2d Ah8s8h8c7s Ac9s7h4s3d KdJd8d4c3d 
Kc9s8d3h3c Td8h7h4h3s AdJh8c3h2s Qc9h4h3c2c 
Qh8c6d4d3s Th6h4c2s2c Js8d4h3h2s JcTd4d3d2s 
KcJd8s6s3s 9s6h6c4d3s KdQd5d3c2d Qh9s5s4s3c 
Qs9d8s7s3s 6s5c4c2h2d 7d6d4h4c3d Jc8h5d4s2h 
Td5h4c3d2c Ad9s9c7c2c Ts9h7c3s2d Jd7d6s5c2h 
Qh6d6c5s3s Qs9d8d4c3h Qs5d4h3d2h 9s7c4s4h2c 
9d8d7s4h2c Ks8d8c6h3h Kc9h9d8d2d As8h6c3c2h 
KcTs7d4h2h 9d8h7d4c3d Td7s5s3d2d Tc8h7h4h2s 
QsTs4c3s2d 8h8d7d4d3d Qd9s7s3d2d KsTs3h2d2c 
Kc9h9d8h2h 9c8d3d3c2d KdTd7h2s2c Jc7h6h6d3s 
Ad9s5h4c3h Js8c7d3s2c Kh9d8c5s2d QcTs3h3c2d 
9c6s4s3c2s KcTh8s4d2d Qh9h8h5h4h Jh7s7c4d3h 
Js8s4h3h2c Td8d7h7c3d KhJs6s4d2s Jd8d6c3s3h 
9h8c3h3c2s Ac8s6s5s2h Ts6d4h3d2h QhJd6s2h2c 
Qd8s4d3s2c Ah5d5c4d3s Ac9c7c6d2c AcJh6d5d2d 
Kc8s5h4h4d KdJs9s4h2s Qd9s4d3s2s Ah7s4s4d2d 
KdJh9d4d2d 9s5s4c2h2c Qh8s7h3s3h 9c6d5h3s2c 
9s6h4h3s2h Kd9c8h5c2c 5d3d3c2d2c 8d8c6c3h2s 
KsKhKcQh9d Kh5s5h4h2c Qc8d7c3h2d Qs8h7d3h3d 
Kd8d6h4s2d As8c6h6d3h Ks9c8h8d4c Ks6s6c4d2s 
6s6h6d5h5d Jc9d9c4c2h 8h7c6h2h2d KcQs5h3d2h 
Td7d4s2s2h KhTh6d3c2h 9h6d6c4h3s Ks7s7h6d2s 
Jd9s8h4s3s AsQs7s3h2c Qd9d7h6c2d KdQd4d2s2h 
Jc8d5h4s2d TsTc5d4d2h Qs7d6s3d2d Jh7d6d6c3s 
Kc8d4h3c2h Qd7s7h6d3d Kd7s7h4s2h Kd6c4h3d2s 
QsQdQc2s2d Ts5c4h3s2c KcJc4c3h3c Ks9d8c5h3c 
Qh9c7h6h2s Qh6h5s5h4h Tc8c6h6d2c Ad9d7c3h2d 
Ah9s6c4c2s Qs8c7h7d2s 8c7h6s6d2d 8h8c7s4c2c 
AsKd9c3d2d KdJh7d4s2d JsTh6s6d2s Kh6h5h2s2c 
Qh7c6c4d3s 8c7c6s3c2s Tc8d7d6d2d Jc8c4d3d2s 
Qh6h5h5c4h As9d6s5s2s As9s7s6d2s Qd9c7s7h4c 
QdTs8s3s3c Qd8s8c5h2s Jc8d7d5d3d Qs9s8s7s2d 
Qh7h6d5h2s Jc7h6s6d3s Ks6h6c4c3d Jh5h4h3d2d 
KcQc6c4s2c Qs9d8h8c3d Qh9c8s2h2d As6s4c3h2s 
9h8h5c4h2d Kd7d6d4s2h 6s5d5c4s3s Ks9c7h4s2d 
AhJc6h2h2d Th9s7s4c2d QdTd4s4d3d Td8d7c2s2h 
8h5s4h3s2s 6d5h4h4c2s KhJh4d3s2h Qh8d6s4s3c 
Qd7s6s4c3h 9c6c5h2s2d 9d6h3h3d2c QhJc8c7c3c 
Ks7s5d4s2c KcQs8d4c3c 8h5s5h4c3h Kh9d6c3s2h 
Js7d6c4h3h 9h7d4d2s2h Jd8d6h6d3c Kd9h8c7c2c 
Ad8d5h3c2d Qs9d8c2s2h Qd7c6c3h2d Jh7c5c3d2d 
Jc6d5c3s3h 6d5s4s2h2c Jh6c5s5h2d 8h7s6d6c2c 
Kd4h4c3s3h QhTh7s3h3c Qd8c7c5s2h Js9d8s4h3s 
AcJd8h3d2s KhTh8s2h2d QdJd7d4c3d Td8c5c4c2h 
Ts8s6s4s3d Qh9s8h7h3h Ac5c3h2d2c Ks7s5d4h2s 
QdJd9s4d2d QhTh6c3h2d Jh6h4c3c2d Kc9s6d5h2h 
AhTsThTc6c 9d8h5s2s2c Ac6d4s3c2c JcTc4c2s2d 
Ac9h6d4h2d Th8c6s2h2d Kd8s6d4d2h Qd9d8d8c4d 
AsQh7d3d3c Qd8h5c4h3s Ah8d7s4d3d 8s5d4d3d2s 
Js8c6h4s2d 9d4h4d2h2d Jd6d4c3c2s Jd9s7s4s4h 
AdQh7c3s3c Kc6c4h4d3c TsTh7s5d2s 9c8h6c2d2c 
Qh6h5s3h3c 6d6c5d4d2d Kd9s4c3s3c Jh7h6s6h3c 
Ac8c6c4s2c Jc8s4h3c2s 8h8d5h3c2s 8s7c6d2s2h 
QcJd9h3h2s Qh7c6c3d2h Ah8h5c3s2h Ah8d8c6d2d 
Ts6h4s2h2c QhJd6h6c2h Kh9h7s7d2h QdQc8d3h2d 
Ah9h7c3h2s Kh8h7h6s3h Js8s5s4s3h 6c5h5d4s2s 
Ts7c4s2h2c KcQs9s4s3s 9s8c6s2s2h 8h6h5h5d3h 
KsQh7s4s2c Kd9d7s7h2d Ks9d7d4h3c 9s5c4c3c2s 
9s8s8h4s3d 6d5h3h3d2d AhTc7d4s2s 7h7c6d4h2h 
Tc9c5s4h2c QsJh8s2d2c Jc9s9d4s2h As9c7h7d2d 
KcTh4h3h3d 9c5d4c3h2d Ad9h6s2s2h 7d5c3s3d2c 
Jd8d4s3s2c Qd7c6d5d2s Qh9c7s7d3c Ah9h7h3c2s 
AdTh5s4c2c KdTd3s3h2c Ks8d7h3h3d Th8s6d3s3c 
Qc8d6h4h3s AhQs9h4h2h Jd8s8c7s2s Ts7d6s5c2h 
KdQc9d4s2d As7d4s4c2s QdTd4h3d2s Jd9h9c4h2s 
9h5d4c3d2c AsTh7d4h2h 7d7c5d3d2s KdQc7s6h2s 
TdTc6d2s2d KdJd4h4d2s Qs7d6d4h3d AsTc6h5c2c 
TdTc7c5s2c Jc9h8d4s3d Th9c6d3s2h Kd8d7h4d3s 
Ks7s4s4c2c KdQs8h4d3d Ad9s8c4h3s Qd9d8s2h2c 
Qd9s8s4c3h Qh4c3h3c2s Qd9h7h3d2d KcTc3s2h2d 
Kc8s8h6d3d Kh9c7h4s2d Ad9d7d6d3d Kd7h5d5c2d 
KdQs8c7c2h As9h6h6c3h Ac9h8h5h2h AsTc7c4h2c 
QhJh9h3s3h 7c6s5d3s2h KcQsQdQc2d Ks9s4d3d2d 
Kh9d5s4d3c Kh9d4c3d3c 8c6d3h3d2c Qs9c7s6s2h 
Jh7s5h4d2c Qs9d8s4h4c 8d7h7d5d2d AcJh5s4s2s 
Qh8d8c5c3c Qh7h5c3s3d As5s4s2h2d 7h6s5h5c2h 
9h6s6c4d3h Qc7s5h5c3c KcQh7d5d2d 9c7h7d5s2s 
Ah8s5h4h2h Qh9c6c5c2s Qc7c6s5c2h 8c7s6d2h2c 
Ks8h5d4d4c Js8s4h3d2h 8d6s3d3c2c Qs9s9d7h2s 
Ad9s8c4h3c Th9s5h4h2d Jd6s5d4d2c Qd9d8s8d4d 
Kh4h4d2h2c Jc8c5c4c3h Kc9d6s3h2c 8s7s7c4d2s 
KdJs7d4d2c 8s7h6c2s2d Ks9h6c3h2c KhJc8h4d2h 
KsJc8d6h2d Ts6h6d4h3c Kd8h6c5h2h Ah9h7h6s2h 
Jd8d6d4h4d QhTh7c4s2h Jc8d4s3s2c Jh9h6s3h2s 
Qs5c4d3c2d AhKh6h2h2c As8d4s2s2c QdJd9d7d2c 
ThTc3d3c2s Qd4h3h2s2d Ac9h7d4h3h 6d5c4h4d3d 
Td8c6s6h2c As8h8d6c3c Ad9h6h4s2s Ah9h7h6h2d 
Ts7s4d2d2c KcTd8d4s2d Ts8s3h3c2h Ac8d6s6h2h 
8s6s5s5c3s Jc9h4h3d2d Qd9c8h8c2c Kc9d7h4c2s 
Ac6s6c3h2c Th8d7h2s2c Jd8d4h3h2s Js9c6h4d3h 
6h5s4h4c3h Qc7h5s5c3c AdQs9d4d2d Jd7d6d4s4h 
Jc7s7c4d3c QhTs7h4d2h KhQs3c2s2d 7c6c5h5c2s 
Jh6h4d3d2s Td5d4h3h2c Qd8d5d4h4d 8d7s6h2d2c 
Jh9c5h4d2h Js8s7h3d2h Jc8d6c3s2s KhQh8h4c3d 
7d5c3h3d2c 9d6s6d4c3d QsJh4s3d2s 9c6s5c2d2c 
QcJc6c4s2c Jc9h7s5s2s Kh6s6c5s2d Jc9d7h6s2s 
Kc9d6d5d2h 6h4d4c3c2h 9s6h4h3s2s Kd9c6h5h2s 
Qh7d4s4d3s KhJh4s4c2h 9s8h6h2h2c QsTh3d3c2s 
Ac5c3s2d2c KhTs6s6c2d JsJdJc9d7s KhJh8h4c3h 
9c8s8c4c3h Qd9c8s8c2c Td9s7s2h2c 9s7s5d4h2c 
Kh9c8s6s2s Js9s8s4h3d 9h8d7c4c3s Ts9h6c3c2d 
As9s5c3h2s As9s6s4d2c 7c6h3d3c2d Ts8d4h3h2d 
QsJs6s6c2h QsTh8d2d2c 7d5c3d2h2c Jd9s8c4h3c 
Th7c6d5s2h KsQh6h3d2c 9s8h6d4h3h Jc9h5d4s2h 
Td7c6h5h2s Tc6c4h3h2h 5c4d3d3c2h 9h7h6s5h2h 
Qs7d5d4d3h 8h6c3s2s2h Jd7s6s4h4c Ts8h7s5s2s 
KdJc8s6s3s KcQs4c2d2c Ks8s6s5s2c Kd4d4c2s2d 
7s6c5d3h2c Jd9h8d4d3c Kc9h3h3c2h Qc8s8d5s2h 
AsQh5d3d2c KdTs8d3d2h Tc8h6d2s2h Jd8c6h4d2s 
Jd9d8d4h2s 9h8c7c2d2c QdTh3s3d2c Ad8s8d3h2d 
Ts8d6h3d3c Th6d4d3c2c 8c6h4d4c2s Js9s5h5c2s 
AhJh3h2s2d 9h8s7s2s2d 9h8h4d3s2s Kd3h3c2h2c 
Td6c5h5d3d QdJc9c3c2h Qs9h9d7s2s Tc6h6d3d2h 
9h7s4s3c2h 9s8c6c4c2d Js9h7s3s3d 8h6s6d4d2d 
Jd8d4c3c2h QcJc7d4s2h Ad9h7c4s3c Ad7d4h4d3d 
9s8d5c2h2d Ks6d5d5c2h 7h5d3s2h2d Jd8c5s5h3h 
7s7c5s3s2h Qc7s5h4d3s 7d6h6d5d2d Ks5d4s4c2s 
9c8d6h4d3d KdTc8s4s3s Qs7d5d4h3d 8h7h4c3s2s 
9h8h6h4d2s 9d8d3s3h2h As8c6d5d2d Jd9h7s6h2c 
Td8h7s4c2c Qs7h6d4c3h Ac9h6s2s2h KhQs8s4d2c 
Kd9d8d6c2d As9d6c2d2c 6d6c5c4c2c Ts8s7h7d3s 
Jc7d6h6c3c AhTs6c5d2d 9h9d8s3h2c Qc9h5s4d3d 
Kc9c8c6d2c Kc6h5s5h2d KsTc8c4h2c Td8h7h7c2h 
8s5d3s3d2c Qs9c8h2s2d Qh9c7h6d2h Kh7d5d5c3d 
Jd9c8h4d3d Kh5h4h4c2d Tc5h4c3d2h Js9c4c3h2h 
Qh8d6h5h2h Ks8h8c4s3d Qs7h5h5d3c KsJc7c6d2c 
Qc6d4c3c2d KcTh4s4h3h Kc9h6s5d2d Jc8c7s7h3c 
KcJh8d6d3d KdQc6d3d2h Jh6d5h4h2c 8c5d4c3d2d 
Tc8c7s3d3c Th6c5h3c2h KdQd9d2s2c Jc8h6d4s3s 
Jh8d4s3h2d Ah6c4d3h2h Th9c6s4s2d Jh9s7s3d3c 
Js7s5d2s2d Td5d4d3h2h Jd9h8s4d3d 7h7c6s4c2c 
Th8s8d4d2d Js7c5c3d2d Qd9h5d3c2s Ad9h6h4s4c 
7c5d4s4h3c 9s8h8d4c2d Kd8c6h5c2c Jh9s5d5c2h 
QhJh9h5h2h KdTc4c3s3c Ad8h7s4c3c 7h7d6s4h2h 
As9d6s4c2s Jh8s5s4s2c 6s5c4h4d2h 8h8d7c4h2h 
KhQh6s2d2c 9h8h4s3s2c Ks9s6h3c2d Jd9s5d4c2d 
KhQc8d7c2c Kh8c6d5d2d 9d7h7c2s2c As8h3c2s2d 
QsJs3c2s2d Th5s4s4h2s Qs8h7d6c3d Js8s4h3c2c 
Js8h8d6c3c Kd9s8d6d2d Td8h6s3h3c Qd7s6c4h3h 
Qs7h5h4d3h Js7c5c3c2s KsJd9h6h2h Ad9h5c4s3c 
Kc7c5d4h2c Tc9s6h3h2d AcTd6h3s3h AsJd9c4h2h 
8d5c4c3c2d As8d6s4s3s AhJc8s3c2d QdQc8d3s2d 
Ts6h5s5c3s Jd8d7s6h2d Th9s6c3d2h Kc6s6d3h3d 
Td9d7c5d2d Th7s4h2s2d Qd7h6d3h2h Qc9h5d4s3s 
9c6d6c5s2c Ks7h7d6d3d 7s7c4h4d2h Ts9h5c4h2d 
Qs9s4h3h2s Tc8c7s7h3c QhJs8d4c2d QdTh5s5c2c 
Tc8h7h4d2s KhTh7c2s2d Qc8d7s7h2c Qc4s4c3h2h 
Qh7s6d4d3c Js7s6s4h4c Kc8d7h3h3d Ks9h8h5h5d 
Kh9c6s5d2d 8s6d3c2s2c Ks4h4c3d3c Jh6s4d3h2s 
Qc9h6d5h2h JhJc5h3s2h AhQd7s7c2d Jc7s7d6h3h 
KcJs6d2h2c Jh6d5s3h3c Kh8h5s4h2c KdJs7c4s2h 
Tc7d5h5c3c Qh7s7c4d3h 9s9h7h6h2h Jd6d5s5d4d 
9h6d5h2h2c Jd7c4h4d2c Jd7c6h4h3s Jh8c5s4s2s 
Ac6s5s5h2d QhJs4h3c2h Qc6h6c5c2d QhJs4h2h2d 
9s7h7d6c2h 6d5h4d3d2c Qh9d8h7h3h Td8d4s4c3h 
Qh5s5d3d2s Th7d6h5h2s Ah6c4s2s2c Td8s8d4d2d 
Qd8s8h5h2c AhJd7s7c2d Ah9h5h3s3h Jc9h8s4h3h 
Qd6s4d3s2s AhKs8s3d2s Qd7h5s5d3d Kc8h6c4c2s 
As5s3h2s2c KsQs9h3s3d 9s8c5d4h2c Kd8h5c2h2c 
Kh9c7c4s3d Tc8h4d3d2h QhTs5d5c2s Jh9c5s4c2d 
6h5s4s4c3s Ad8h6s6c3s 9h7s6h4c2d Ah9h7h3d2c 
Qd8c7h4h2c Kh5s3h3c2d Th8s4s3s2h Ac9c5h4c3c 
Jd6d6c3s3d Jh9d8s4d3d Ac8d6c4c3c Ts6s6d4c3s 
QsJc3s2h2d 7s7h5h3h2c Jd8c6c3c2d Ad8d6d4c2d 
7c6c5s5c2h KhQc7h5h2h Qh8c7s2s2c Jc8h8d7h2h 
Qc9c7c5d2s 9c7h7d4c3c Qc5s4h3d2c Js9d5s4h2s 
Tc9c7d4h2s JhTh7s2d2c Kc8c6s3c2s Ac7c5d5c2c 
Jc9c8h3d3c Th8h4h3s2s As9h7c4d3c ThTd5s2s2c 
9d6d5d4h4d Qh9h6d5h2h 9d6s6h5d2d AcTh8d3s2d 
Jc6c5d4h2c Qc8d4s3d2c Ah8s7d4d3d As9h6c3s2s 
Qd7d5h3s3c Ks8c6s4s2h 8h6d4d3d2h Jd9d4h2h2d 
Kc6h6c4d2c Qs7d6h6c3d Jd6c5d4d2h Th6s6c4c3d 
Jd9d4s2s2d TsTd7s4s2c QdJs3d2h2c Jh9h5c3s2d 
KhQhJh8h3h KsQd6c3h2d Td9h6s4h2h 8c7s7h4c2d 
QdJh6d6c2d 7c6h4s4h3h AcJd6c2h2c Jc8c7s6h2c 
Ah9h8h2h2d KdQsQhQcTc AsJc6c4h2d Kc9s9h3s2h 
As9d7c4h3c AcQc7d4c2c Ah9d8c4s3d ThTc7d5s2d 
KcQh8s7s3d Ah6h4s3d2h Kd7d7c6s2d Ad8s4d2h2d 
AhJs6s4d2c 6c5s5d4h2h 5c4s3s3c2h Qd5h5c3h2c 
