AsKdQc9c3h 
AdJhTh9s2h Qc9s7h5s4c KsJsJh8s2h Jh9s8s6h4c 
AdJcTs9h2h Ac9d9c4s3s JhJdTd7s2s KhTc9d7s4h 
KdQsJd7d6d KhQh9c5c2s QhJdJc7h6h QdTd9c7d3c 
JhTs7d6h6c KsJh9d7s2d AdKc9s5c2s Ts8h6h6d4s 
AhKd9c7c5s As8c6s6h4d AhKc7s6s2c KsTh9h4s2h 
Ac7h5c4d2d AcKcTh7c2s 9s7c6h5h4s Jd8s6s6h5d 
KsQc7d7c6h QsQc9d8d5h QdQcJhTh2h JdJc8c7c5s 
Kd9h8h5c4d Ts8d7h5d4h KsQs8d6d3c As8h7h5s2s 
AcQcTc4s4h JhTs9d7h2d AsJd4d3s2c AcQc9c8d8c 
KsQc9d6c5h JdJcTd6d5h Kc7s6s4c3d QdJdTh9d5c 
As9s8h4h2c QdJcTh8s5s KsQd9s4d3d AsKcJh8s3s 
Kc9h8s6d5c Js8s6d5s4d AcKd9s7s6h AhQcJh5d2h 
AcQd6s6h4c 9h7c6d5d4h JdJc7s7d3s AcQsJd6h2c 
JsJh5s4h3s AcJh9s8c4c AhKh7d7c3s Jc8h6d5h4d 
AdTc6d5h3s AhJc7h6c2c Kh9s8d7d3h AcQd6h5h3d 
Qs9s7d6c4c AdTc6d4c3d QcTs7c5h3h KsQc9h5s5h 
Kh9h9d8d5h Qh9s9c7s5c 9d9c8h8d7d KhQs9h9d2d 
AhKsTs5s5d QhTc8s8h6h QdJhJc7h5s KdJd9d7s5h 
QsJsTh9s4d KhJc9c7d4d 9h9d8s8h7h KsKd9h7h3c 
Ac6s6c5s2s QhTs9s7h2d AdJcTc3s2s As4s4d2h2d 
KhKd7h3s3h AdKhTc5s4s AcKcJc9h6c KhQhTc7h7d 
AdTh6d4h2h KsJc9s4d3d AdThTc7c6c Kd9h9d6s3s 
Ac7c5s4h2s AcQh6d6c5c AcJhJd9d6s AcTd9c7c5c 
QdJdTs9d4h QcTc6h4h3d JhJc9h6d3d AhQsJd7h2c 
KhQc8c7s6d AhKcQd6d3s Qh8c7h5s4s QhQcJd2s2d 
KdThTc8d6d QdJcTh4d3s JdTs8d6s2h Ts9c7h5s4h 
AhQdTc7s3d QcTsTd9d6d KdQdJhJc4d Kc9s8c6s3d 
KhQh6h6c4c AcKd7d6d4s JhTs9c3h3c KsJd5s4d2d 
QsQh7d5s4c Tc9c6h5s3h JsTd9s7s6s AsKs9c4h2h 
KdKc7s6h3s KhQd8s5s3h Qs9h7d6s4d QhJhTc7h7d 
AhTd9d7d6s KdQh7h6c2d KhTd8h5c2d KdJsJd6h2h 
JcTh7s6d6c AhQd8s2s2h KsTc7c6h2s AcKs6d3c2d 
Kc9h9c6d3d AcQdJh8s4s QhTs7h5d3d 8s8c7d7c3s 
JdJcTd7d4h Jd7c6s5s4d Ah9c7d6s3h KdTc8h5h2d 
Jc9s8h7h4c QhQdJh9s4c Ks8d8c5s4c Ad6h6c5s4d 
QcJs9c7s4c AhQc9c8d6c QcJsJd7s5h QsTs6s5d3d 
AsQsJh7c3s JhTd9s3s3h AcJhJc8c4c KcJc9h7s2h 
Kh9d8h8c7s Qh9h8d5d4c Qh8c7s7h5c AcQcJc9c6d 
KsQc9d8h6c KcTsTc6h6c Kd8s8c5d4s JdTs9h8s5c 
Qh8d8c5d4h QdJcTh6h2c AdJsJd4h3d KcTd9s8d3s 
JhTd8s4s4h Td9s8c7s4c Ac9h7s6c5c QsTc8d6d3c 
KhTc5s3h3c Ah8h7s5d3c AhJd4s4h2s Jh8c6s6c5h 
QdJd9d6s4s KdKc7s6c2h AdKcQs7s4s AhTd8c7c6c 
JhJcTh6h5d KcQhTh9h6h AhQsJs9c2d AcJdTd9h2d 
QdTc9h7d2c Ac8h7s2s2c Th9c6c5h5d JhTd8d4h2c 
JdTh8h5s4c As9s8d4d2h AdTs6d5c3h KdQhJd7c5d 
KdJc9h7h3c AdQcJh6d2s Jd9s8d7c5h KcQs6h3s3c 
ThTc9c7d3d Qh9d9c7d5c KsTsTd8d3s KsJd8h8d5h 
Jc9c6d5d4s JsTc8h8c3s KdJc7s6h4d KcTc7h6c3h 
Ah7d6c5c4d TdTc8c6h2d AdQs7c4h4d AcTh9d5h5d 
KsJcTc4h2h AsQh4c2s2c JcTc7h6s4d QcJsJc7s3s 
AsJs8s8h3h QsJd9d6h2s QhTc9c7h2s JcTd5h5c3d 
AdTh9c5h5c Tc9s7d5c4d Kc7h6h4c3s KdQh9d8c4c 
AsQh9h8d6h KsQd9d7d6h KsKd9s3s3c KsKd3s3c2s 
AcJs9s8h2h KsKc7h3s2h QhQc8d6d5d AcJhTs9d2d 
JcTd8d7c2c Jc9s8s6c4d Ad6h4h3s3d As8c7h2s2h 
KcQcJc6d4h 9h9c8h5h5c QdQcJs5d2h AsKs8h5s5d 
Jc9c8h5s3s Qh9d7s6h4d AhKsJs9s6s AcKs6d5s3h 
QsQd9c6h4s QdQcJh4s3h QsJhJc7d6d JcTs9c3s2d 
QdJh6d5c4s QdTd9h7s5c KdQhTs4d3c QsJhTs9d5s 
QdTc6c5d3d KhTh7s7h6c KsQd5s4d2s AcQhTd9h3h 
QsJh9s7h4s Ks9s9h6d3d Js9d6c5s5d JdTs8s4d3c 
QsJsTd7s7c Qc8s6h5h5c QhQd5s5c4c Ah9d8s7c2h 
Kh7h5c4s3s KdQc7d6c2h AsTsTh3s3d KcQcTc8h6c 
JhJcTs8d5s AhTs5s5d2h Qh8h8d7d5d Kc8d6c5h5d 
KcTs9s8s8d KhQhJh8h7d As9h8c7d2s Qs9s7d6s6d 
AcKhTs5d4d QsQcTs7h3d KdQh7s5s5h As9s8s7h7d 
QdJh7c5d3c QdJs9d7h6d 9s9d8d8c7d Qs8s8c7c5c 
Qh9h9c6d5s AsTs9c6s2c QsQd9c6h4d AsJd8h7d4c 
Qc9s6c5h3h KcJd6c4h3h QhQdJs9c3d Kd9s8h7h3d 
AhJc4s3h2c QsTs5d4h3h Kd5d5c3s3c KhJsTc7d4c 
8s7h7d5d4s AdQcTs6h5h KsQh9h6c3c QhTh5d4d3s 
KdJh6d4s3s Ks9h8h6s3d KsQdJh6s4s AcQdJd5s5h 
AcQs7d4h4c Ah9s6s3h3d JcTh8h4s2c QsQhJs7s6s 
Tc9s9h7h3c 9s9c8s5s5c AdQc9s8s7s JcTs9h7c2h 
AdJs9s8h5s AdKdQh7d4d AhAdAc9h2s As7c5s4d2d 
Kh9h9d5d3c Ah8d6d4s2h KsQd9h8c6d 9h9c5s5h4c 
QcJdJc9s6c JcTs8h4s3c JsTc8c6s3c AcQh9h8s2s 
AcJhTh3s2s KcTc9s4d2d JhThTd6c4s JhTh7s4s3s 
8s7h7d5h4s AsJhJd9h6c AsQd9d9c2c AcQhTsTd2d 
KcJh8h5h3c 9c7d6s5s4c AdKh8h5s5c Tc9s9c7d7c 
Ac7c5s4d2s JdTs6d4s3h KdJhJc8s6h AsTc9s5s4h 
AsQd6h6d4h Jd8c6h6d5h KhQc6s5c4d AcQdTh7s4s 
KcJhJd9d6s AcKd8h7h6h JdTh8h6d3h QcJhJd4s4c 
KhKdKcQdTc KsQd9s9h2h As9s8h4d3d AcQh4s2s2c 
AcThTd7s6s JdJcTd8d6d KdKc9d3h3d KdJh9s7d5d 
KdQs9d7d3s TsTh9s9c2s AsQsJc5s2h KhKcQd8s4d 
KsTs7c6s3c Ac9h7d6s3c KhJs5h3s3c Qs8h7h7d5s 
KsTc5h3s3c 7h7c6d5c3d QdJh8h5d3d KsJsJd7s6s 
KdQsTc6h4c JsJh8h6d5h AsJh4d3s2h 8h6d6c4d4c 
QcTd6h4c3h AsTd8s4h3c Jh9s8s6h4d KdQdJs6d2s 
KdKcJs6h3h 9d8h7h5d4c AdKc8d6s2h Qh9h9d6s3d 
KcQs9h5h5c KsQdTc4s3h AdKc7h6h2c JcTc8s7d5c 
KcTd9h5c2h QsTh7s5d3d Th9s6s6d5d QcTh9d6c5c 
AdTh9h8s5c QhJsTc8d5d AcKhJs6s4d KhTsTc3c2h 
Js8h6s6d5d JsTd9c5s4h AhTh9h7h5s QsTd7d6d3s 
JhTd8d7h2h KsKhJh8d2h KdQs4c3d2s As6h6c5d4s 
KhJd8s5s3h AhTs9h8h5h QcJd9c7c4d AdQd6h4c3s 
Td9s9c7d4c QsJhJd9c5d Ad9c6c4h3d AsTs9s9h2c 
QhJs8s7d6c KhQhJh6s4d KcQsTs7h4d QhTd9d7h2c 
KsJh8s7c6s Jh9h6s5s4c AdKc5c4s3h AsKd8c7c6c 
JhTd8s4d3h AdJd8c4s4h KdKcJs8s3h QcTc9h7c3h 
Ad6s6d5h5d KcJsTh7d4h JdTs8c4d4c JsTsTd6d2d 
AhQs4h3d2d 7d7c6s5c3s Ac9h8d7c3s Jh8d6d5d4h 
JhJdTc8d5d Ts9d6s6d4h Td9h9d6h2c KhKdJh6h3h 
AhTs9d8d5c AcQh7c6c4s 8s7d7c5d4s AsQdJd5d3h 
JdJc9c6c5h AhKc7s7h4h KhJd9h4c3c Ts9h8h7s4s 
Qc8h7c6s4s AsJhJc6c5c Jc8h7h5c4h AdKc7c5s5c 
KdJdTd8d6h JsJdTh4c3s QhTh5d4d3c KcJc7c6s5d 
KsQc6h3s3c Th9d8h5c4c Td6h6c5d5c KsKcQd8h4d 
JsJd6s5c3c As6d5h4s2d AdTd8c3c2c AsKc7s7d4s 
AhQcTs7d4d Ks8h7h7c4s KsQhJs6c4s JcTd8c5h3h 
AsKh8d7d6d AsKs7d3d2h Ad7s5d4c2c JsTh8d5d2s 
Tc8s8h7c4s QcTs9d6c5c AhQh5h4c2c QsJdTh7h4c 
AcQhTd7d4d AhQc7h6h4s AhJh7d4c2d QhJs8c7h7d 
KdTs9s5c4c KsJs8s7d4d AdQd8h3h3c KcTc7d5d5c 
Kc9d8d5s4c JdTh7c6s6d JhJcTc6c5s KsJd6c4c3s 
JcTc9d6s2d QsJsTs9d4h AcQc6d5h4c KdQhQc9h5h 
KhTs9h4h3s QcJs6s4c3s KhQcJc5d3s AsKd6h5s3s 
AdQd5d4s2s QdJd9d6c4c AdJc9c8s5c AsJd8s4h4c 
Jd8s8c7c5s KdQc8c5d5c AsQc7d6c5h QhTc9s5c2h 
AcJh9h8d2d Td9c8s8c5s AhTsTh4h4d KcJc7d6d3d 
KsQd8c7s7h KcJh7d6s6c KcJdTsTh5h KsQh4d3s2h 
QhJcTs4h3d QdTs9c7d2s QsTc9h7s2c JcTd5s5c3d 
Ks7s6s6c5c KhTc9c5h5c 9s9h8s8d7s AhKh9h4d3d 
Ac5h4d4c2h AcTd6c4d3c Kh7h7d6d3c JhJc4h3s3c 
Ah9s6s4d3h JcTd8d7c3c KcTs7c6c4d KhQd9h7d2c 
JsJh9d6s5c AsQhTdTc2d KcTc7h6c5d AhQd9c8c7c 
AdQdJs7h3d Kd8s8h7d4h Qc8d7d7c5s As9h5s5h2c 
AsQd4c2s2c Qc9s9d8d5s AhQcJs9d3c Kd9c8h7c5h 
AdQs9s6c4c AhQsJs9d2c QcJd5d4c2h KsJc6c5c2s 
Js9s9d6d4c AdQd9s4s3d KcQhTh5h4d QhJh9s9d4d 
AhKhJh6s3d Kd9s8s7c5c AdJhJc6h5h QsTs5c4h3h 
AdQh9h6s4s Ah9h7d6h3d KhQh8c7d6h AhKh6s5h3d 
Jh9s7s5d3h KsQs7h7c4c KsQhTs4c3d AdKhJd6d6c 
AsQdTh7c4h AhAdAc9d2s KdJhTc7s4c Td9h9c8s7d 
AsJdJc7s2h QhJh9s6h4s AsJh8h7c4d QhQd9s8h5h 
Ah8s8d6h5h KhQhTh7s5d AhJh9c7d2s KcQsJc6c4h 
KdQc9s7c2d JsJh4s4d3d AhJh6d5s3c KdTh9h8s8h 
9d8s8h7d5s Kd9c8s7c5s QsTs8d7h5c AhKh9h7h5s 
KsJdTc7c4h AcQdTh8d2s JsTsTh9d5c QcJh9s5s5h 
Kd7h7d6d5h As9s7s7h6c AcTsTc3h3c QsQhJc4h3h 
KhJcTs7s4d JcTh9c7d3s KsJc6s4d3d QdTs5s4s3d 
KhTsTc9d6c KsQhTd4s3c QsTh9d6s5s AdTs5s5h2d 
Ad9d8d6s3s Ac9h9d7c6c 9h9d8h5h5d AhQh6s5c4h 
Ad9h5s4s3d KdQsQh9c2d KcTd9h7s4c Tc8s7h5s4h 
AcQhJd6s2c AhJh5s5c4d JcTdTc5d2c KdQd9h5h2c 
KsJh8d5d3s Qs9s9d7d4c KhQs9d9c6h KsQs8d5d3c 
AhJd5d3h2d Qs9h9c7c5h AhQh9d6d2h KdTh8d5c2h 
QcJh7s5c3s As8h7c5h4c KdTc6d4d3c JsTd8s6d2c 
QhJc9h7s3s QhQcJh7h6h KhJhJc7h6h QhJh9d7c3c 
KdJs7h7d5c 9h7c6h5c4h AcJc8h4c3h JhJc8c6d5c 
AcKs8s3c2c AcKcTd7c2h TsTc9c5s3s AhQcTc7d7c 
JhTs7h4c3c AsQsJs6c3d KdQs9c7s2d KsQs6s5c4d 
QcJcTh9c5d AhQh8c5s2d AsTh9s5h2s AhKcJs9c2c 
AhQhTsTh3h Qs9h6h5s4h QsTh9h4s3s AhQhJd8h2s 
AsAdAc4d3d Kc8s7h6d5c KsKh7c6h2d AhQs9s9d2d 
Ad9c5h4h3d Kd9s8h8d7c Jh9s9h6d4s Ts9c7d5d4s 
KdQs9s8s2d AdKcJc9c6c AhQdJc4s3d KsKcJd6h3h 
AhTsTd9s6c Ad9s9d4h3h AsKdJs6s6c Js9s6d5c4c 
AdQhTc7s4c QsTs8h7h3c Kh7s7h6s3d QcTd8c7h2d 
AhQdJs7c2h KhKc9d5s4d AsJs8d4h4c QsJh9c8h4c 
JhJd9h7s2d AdQd8d7h6d AdQs7d5h5d AdJh4s3d2h 
As8s7c5h3d As6d6c5h4s QdJh7s7d4s JhTsTh9d5c 
Ac9d8h7s2c QdJh6c5d4s KcQh9c7s5d QcJsTs6d2d 
KsTs8c5d3c KsJhTdTc3d QhQc8s7s5d Ah9c8h7s2d 
Js9s8d5d3h KcJdTsTc2c AcJhTc6c3s AhTc9s5c4s 
KdQh5c3h2d KhQsTc6c4d AcTs9s7d5h KhKdQc5c2c 
QdJc7d6s3c KcJs7d6h6c 8d8c7d7c2s JsTd8d7s3d 
Kc9h9d7c4d 8d7c6h5d3c KsQs7d7c4d KsKdKcQcTs 
QcJs9h7c6c Qs8c7s6h4h QdTc8h6h3c KcQc7s7h4h 
9h9d6c5c3h QsQc8d6d5h KdTd7c6d3c AhJsJd6d5d 
JcTc8d7c6c KcJs6c4h3h QcTh9s5h2c KsJs8h8c4c 
KsKcJc8c2h JdTsTc8h5s JhJd9c2d2c QsThTc9d6d 
KhJc8c7c3h Qc9s8c6h4h QhTd8c6c3d KsJd8h7s2d 
QdJs8c7h7d Qd9d9c7c4s Th9d8h6d3c AcKsKhKcTd 
Jh9c8h8c5c Ah5s4h4c2s JsTc9d5s4h AcQd9h8h6s 
8d6h6d4h4c Kd8s7c6d3c Th9h8d5s4s AsQsJh8s2c 
QdTd6h4h3c KdJh8c7h6s AdKdTc7s2d AsQc9d9c2d 
QsJhTs7s2h KcTc8d7h3d Ks8d7s7d5s Td6s6c5s5d 
AhQhJh6d3c AhJd9d8c6s Td9d8s6s3c AdTs9d7d5d 
Th8h7d5d4h AdKc7h2h2d Qh8s7c6h5d Td9h9d5c4c 
AsQc7s7c2c AhJs9c8s6d QhTc8s8c6d JcTd8c4d4c 
8h7d7c5c4h Jh9d7d5s3h QhTc9d7s5h AsJhTh6d5h 
AdQhTs9h3h JdThTc7s4c 9d8d7c5h4h JsTh9d7s4c 
KcQs7c6d5c QsJs9s5c3c Ah9d8h8c6h Jd7s7d5s5d 
AdJsTc9h2h 9h9d6s5s3h Ks9d8c6h5s Ts8c7h5c4h 
KdJhTs8h5c QdJcTs8h5s KhQd7d6s2h QsJd6h5s4c 
KsQcTc5h2h Ad9d8d6h3h QdTd9c5h2c KdQc9d8h4h 
Jd9d8h7h4s KhTd9c4h2c AsTsTc6d4s Th9s9h8s3c 
KdQdTh7c2c ThTd9d5c3c QsJdTc7c2s KcJsJc7c6c 
Ac8h5h4h2c Kh7d6h6d3s Kc6s5c4s4h KsJhJc8c6d 
AhTdTc7d6d Kh9d8s5s4h KhJc7d6s4h KcQs9h7s2c 
QsQhTc8h3d KhJsJc8d6c AcJc8s8d6c Tc9s6s6d5d 
Ks9c8d7d3s JsJc9h8h6d 7s7h6d4h4d AhQd9s8s6c 
9s8s7c5d4d JdJc6s5h5d Jc9h9c6h4d AhQsTd9s3s 
Ks9c8d5d4s KhKdKcQcTh AsTs9h6s2h JsTh8h5d4c 
AdQc7h4s4d AcJsJd6c4c KdQc9s8s2d KhJhJc8h2c 
AhKh9c7s2d AhJdTh8h3h KhTc6d5h4s Ah9d8h5h2d 
JhJd4s4h3s QdJdTc3d2c KhQd9h8s2s Ts9h7h6c3c 
JsJh9d2h2d Qh8d7h6c4c JhThTd3c2c AcKsJh8d4d 
Ah9s7c6h5h AcTc5s5d4h 9h9c6h5c3h JhTc7h4d3d 
Jd8h6s5h4s AsTc9s5h2d QdTd9c6h2h QdTd8c7s5h 
QcJc9s6c5h AsQs6d5c4s QsQcTd8h2c QsQcJd3h3d 
AcJhJd3d2h JdTh8h8d3h KsTh5c3s3h AdKd7s3s2h 
Ts8s7c6s6c AcQsTd7h4d JhTs8c4s3h Tc9h8c5d4d 
JsTd8s7s5c Ks9d9c7s4d QhJhJd7c3c Ah8d5d4d2h 
KcQd9c7d2s Ad8d7s6d3s AsKhJd6d4c KcJhJd8c4s 
AcKd7s6s5h Qs8h7s7h5d QsQh9d5c4h AcJh7s5h3s 
AhQcJd4s3c KdQsJc9h5s KdQcTc5h2h KsQcTh8d5c 
KcTd9h8d3h KdJd7d6s5h Ah9h8h6c3c QdTc9c6s5h 
KcTc7d6c3d KcQs6d3s3c AcJc5d4h3s KsQcTs4d3h 
AsQsTd4s4c Td9c8d5h4c AcTs8c4d3h AsQc9c8h6c 
Th9d7c5h4d 9d7d6s5s3s KdQc6s5c4h AsKd8h8d6d 
AcJsTc7d2c QsTc8h8c6d Qh9h9c6s5d JdTsTh8c5s 
QsQd8d7s2s QcTh7h6c3c KhTs8c5c4s AcQhTd9h2h 
AdQh6c5c3h QdQcJs9d3h AcTh9c5h2c JsJh9h7h5d 
Td9c8s7c4s JsJd7d6s3s AsQh6s6h2h JcTh8s4s4c 
QcTc6c5h3h JhTd8s6d5c KdTs9h7h7c Kc7c5s4h3h 
Ad7h7c5h4c QhTs7s6h3h Ah5d4h4c3d JsJd9s6h3h 
AdJs9d4d2s Tc9d8h8c5d AhKcTc6c5c QsQcJc9h4d 
AcKcQc3s3d TsTc9c7h3h AhKc7h7d4h KhQcJs9d5c 
AdKcJs8h4h QsTc6s4d3d QdJcTd9h5d JcTc9s6d2s 
Kc9s8d6s3c KhQdJs6h4h JcTs7d4d3c AcKdQc3s2c 
JsJcTh4d3c JhJc6d5s5h AdKd8d6h5d AdTc9s8s5h 
Qs9h8s6d4d Qd9d8s5s4h QcJcTd3c2d KdJdTh8d4s 
AsKd9d7d6d Jc9c6s5d4d AdQsJc9h6h AsKc7c5d5c 
AcTh6s6h5s 8c7h6h6c4s AdJh8h7s4c AhQcJh5s2h 
As8h7c2s2c JsTc8c4h2s QhJhTc9h4d JsJcTs8s6s 
AsAhAc9c2d KcJhTsTc2c Ks7d6d5d3s AsKc7c6c4h 
Kh9d8h6d3s QhJc9c7c4h KdKcJd9d3d QhJc9h9c4c 
KhQs9d8c5h JsTd7c5h4s Jd9s9d7c4s QdJc9s9d3s 
QsQcJc9d4h AsJh8d8c7c AdTc9d5s4d 9s9d6d6c5h 
Ah5c4d3h3d QcTc9h6d2d KdQhTh5h4c AhTh9d6h2d 
As6d4d3s3h QcJh8h6s5d Kh9c8s7s5c KsQh4c3s2h 
Ac8c7d6c3d QcJdTc4h3s 9s9d7d6s4s QhJc5c4h2s 
KhTh7c6h5s AcJs9c7c4h AsTd8c5s2h AhKcJc4d2s 
QsQh9c8c5d KcQs8s6c3s QsQdTc6s3s Qs7s6d5d4s 
JdJc6h5h3d As9s7s6c3c QcJcTs3c2s Ad9c8h7d3s 
JhJc9d6c5s Ad6d5s5h2h Qh9s9h6d5c Ah6h5d5c2d 
Ad8d7c5h3s Ts9s6d5h3d AsTs6s5h3h QsQh8h7s2h 
KcQh9s8s7d QcTs9h7d5c JdTs8s7d3d AcJd5d3d2c 
JsJhTh6h2s Ks8c7s7c4c Qh9c7s6h4s Ts9d6h6d5h 
AcTd6s6h4c KdQcJd7d6d AcJs8d7s4h AcJdTd6h4s 
AcJc9s5d3c KcJc8c6s4s KdTc7d4d4c QcJsTc7d5c 
Js9s6h5h5c Ac8h6c5s5d KcTs8h5h4s JhTh8d6c3c 
KdTd8c6s6h AcJh9d8s8d TsTd9s9h2s QcJd8h6c3d 
JdTd8h5c2c TsTh9h5s3s AdQs5s4c3c QcJd7h7c4h 
Qs8c7s7d5d QsTs7c5d3d AdTc8c7s3s Qs8c7s5h4h 
JdTd9c6h2c QdJc9c7c4d QsTd7h6s6c KhTd8d5d3h 
KsQs8h7d6s KcQc8h5h3s QcJdTh8s5h QdJc9d9c3d 
QdTh9d7d6d Ah9c8c3h2s AhQdJs8c4c 8h8c7d7c2h 
KcTd9h7c5c Qd9s9d6s4s Qd5d5c4h4c Th7h6c5h4c 
Tc7h7d6c5d AcQh9h6s4s AhTs8s7d3d QcTs8s6d5h 
KsQhTh9h6h AhJh7d4c2c AsKdTh5c4c AhKhTc7h2s 
QsJc9h8c4h QdJdTd7s3s As7h6h3s3h KhKd8s6h3h 
KhQs9d6s5c QhJhTh7s3s QcJsTd8h5d Qd8s7d6c4c 
JsJc6h5s5d AdTs9c5s4c QcJhTs6c3d AdJsTc8c3h 
KsJh9d7d3h Ks8h6c5h3s Kh8s7s7c4h QsTs9c5d2c 
Qd9s9c8c5s QdTd6d5s3s AsJs9s7d2d Jc7h7c5h5c 
Ah5d4s4d3h QhJs6c4h4c AcTd9c5s4c AdQh8c2d2c 
JhTh9h9d8h QsTc9c6h5d QhJs5s4h2d TsTd8s6h2d 
KsJd9s6d2h Qc8h7c6d4d TsTc9d9c2c QdTh6d6c3c 
AsKdTc7h2d QdTh8s8d6d AcQc9c8s8c 9s9h6s6h2d 
As9h7c6s5s Ad8h5c3d3c KcQc7s7d4d JsJh7h7c6h 
JhTh9s6d2s AsQc9h6d5c Ad8s6h6d4c Ah9h8s8d7h 
Tc9s9c8s3h Qd9s8d6h4h Ac8h6h4s2c AhKhJh6d3c 
AcQs8h7h5d KcQhTh5s2s AhQs9s8s5d Jc9h6h5d5c 
QcJhTc7d5c Kc8s8h7c4s QsQd9h6h5h KhQd6s5d4c 
AdJsJc7d2h KcQsTs5h2h AsTc9s5d4s AdJh4d2h2c 
Jh8c6s6h5s AhJh6d4d2c AsQc9h8h7h KhKc3c2d2c 
JdTc8h6h5s AdKs9h8s4c KsQdTd5h2h JdTh8d5c3c 
KcJs7h6c4d KcQd8h5h3c AdJs4d4c2c KcQd6h5d4s 
AdJcTc3h2h AcQc6d4s3h Jc9s6s5d5c QhTh6s4s3d 
JsJc9s5d2d JsTd8d4s3h Ac9h9d6d5h JcTd8h4h4c 
Ks8s6h5d3h Qh9d9c8d5c As7d6c4d2s JsJc9h2h2c 
KdQh9s8s7c Kc7d6d5d3c Tc9c6h5d4d AhTsTc7s6s 
QcTc9c7h6c KhKdQs8c4s KhJs9c7d6d QcJsTh4c3d 
KcJcTd8c4h QcJsJh4d4c Kc9d7d5c4c AcJh4c2h2d 
Ah7h5h5d3d JhTh9h6s3s Td9h7c5d4h JhJd8d6s3h 
AhKdJd4s2c Qs5s5h4h4c KcJh6s4c3s 9s8d6s6d5s 
AcJd4d3c2s QhJdJcTd4d AhJh9s5d3h Kh9s9c7h4s 
AdJc9c5s3s KdQs8s8h5h KsQh9c8c7d KdTh8h5d3h 
QdTs6d5h4c Qs8s8h7s5h QdTd8d8c4c AcTc5s5h4d 
AhTh9s9c3h KcTd8s5d2c Ad9d7s7d6c KdQs8c7h7d 
QdJdTh9d5s AhQc5c4d3d QdJsTh7h2d AhQhTh7c4h 
KsKcQs7h2d KhTd5c3h3d JdTh8d7s3s AcQs4c3h2h 
JdTc9h7s5c AhJdJc8s6s AsQd7s5s5h Kc9d8s8c7h 
Tc9d9c7s7c KsQhJh5c4h JdTsTh7h2d Td8c6d5d4c 
KsJdTc5h3d KdJs8h7s6c QdTsTc6c5h Ah8s8h7h2s 
AhJsTs9d2s JdJc8d7d5h AdJc7h6s3d 7s7d6h4h4d 
JhTh9d6c2d AcJd6s5h3c AsJdTc9h2h KcQh9d7h2c 
AsKsTh7s2d AsKdJh6h4c QsTs5c4d3c Tc9h7s5c4h 
AdKd7h7d4c Kc9c7s5s3s AhQc8d7d5s 9h7c6s5s5h 
Ks7s5d4h3h QdTd7h6d3h AsJs7h5s5c Qc5s5c4s4h 
KdJdJc3d2c JdJc7s7d6d AhKs9s7s6s AcQs7c6h4c 
AdTd5h5c4s AsQdJc8h4h KdTc9s6h6d Ac9d5h4h3c 
AsQh9h8c2c AsKc8h8c6c 8s8d7s7h3d Ac9c7s7c6d 
AhQh6d5s4h AcKs5s4h3d KcTd7c6c4s QhTsTd9d6d 
KsJs9c7h2c Jd9d6s5h4h AsTd9d8c5h AsTd9d7c5h 
QsJsTs5s4d QdJdTd9h4c AhQhTs4h4c AcJd9c4c2d 
KdKcJc9c3c Js8h6d5h4d As9d8d6s3s KhQsJh6d4h 
Ts8s8c5c4c KsTd6d5s2h As8s7h5c3d 7d7c6h4h4d 
