KsQh7s6h3s 
KhQh7d6d4h QhJd7h5s5d AdJc8h7d3s AhKh8h8c5d 
KcJh9h7s2c QcJh9s6s3c QsQc5d4d2s AcKd8c7c6c 
AdQc9d4d3c QcJsJcTh6c KdQcJc8h6s QsTh5c4h3s 
QdJh5d5c4c QcJsJcTd6c AcJc7d5h4c QcTc6s5s5d 
AhKs5c3h3d KdTd5h4s3s AsQcJd8c6c KcTc8d7s5h 
AsJsJd9c3s KdQs9s5d3d KsTh8h7d2s AhQd6s5c3h 
Jd8c6s5s4d AhTd9c8s8d AhKc9c6s5d AhKdQc8s8c 
QsQhTs9s4d AhQs4s3h2s QhJdJc8d2c Kd7s6c5d3c 
KsThTd5h5d KdTc8s6c4s QdQcJd6h2h 7s7h6s6h3d 
QhQdTd8d4s AhKh9s9h4s AcTc9c7s7d KsJd7h6c5s 
AcQd5c3d2d JsJdTs3s2d AdQhTc7s5s QdQc5h4d2h 
JdTs9s5c2d AsKd6h4c3s AcTc9h9c5d AsKhTc6d2s 
KsJsJh8h2h AdKc8c6s3s JcTd9c7d2s AdQd9s7h3c 
AcJh5c3d2h KdQdTc7c2s KdTsTh6d2h AcJc6d4s3s 
AsJs9c2h2c ThTd8s5s4d AsQh6d5c3s KhQhJd8s5c 
AhTd7c5h3s As8c5s5d3d KsQhTs9s7s KsJh6h5s2c 
Td9s8d6h4h AhJd8s7h3c AdJhTh9c4h KdQcTc3c2d 
Td9h7s7h5d KcTd7s7h6c AsKs8s8h5d KdTh9c7h6h 
KhKdQc8c5c KcTs8s8c4c Ks9c7h6c3s Ah5s5c2s2h 
JdTs8c5d3s KhJsTh3s2h AsQh5s5d3c Tc9s7s7c6s 
AhJs9d8s8c TsTd9h9c6h AdKsKdKcQh KsTd8s7h3h 
QhQcJd5c3c AdKhTd6c2s JhJc7h6d3c 9c7d6d5c4s 
AcKc8c7c6s AdJhTh6s3s JhTh8s8d4s KsTd8h6s5c 
QcTc6h5s5h KsQd9h8c7d 9s8h6d5d4s AcKhJh3s2s 
AsKhTdTc5d AcTs6c5h2s QsJsTd7c4h AcQhTh8h4h 
AhKsJd6d5c KdQsTc9c6c AcKd9h4h2c AdTc5h2d2c 
JhTh5s4s3d QsJhTd5s3c 9d7s7h6h5s QcTd9d7h6d 
TdTc9c5h3d KcQsTd7d6d KhQd8h6s2d AhKsTdTc5d 
AhKsQc6d3s AdQdQc4s2d KhQhQc8c3h KhQhQd7h2d 
QdJsTh9s6s Jh9d8h6h5d KhQhTd7d2s KhJcTh9s5h 
AhQcJs9d5d TdTc9c7c6h QdJs6d5c3c QhQcTh9h4s 
AdQhJh8s8h KcQh9c8c7d JdTd8s8c4c QsJh7s5h5c 
QhTh8d7s7c KcQs9s9c2d KhTc8d6d6c AcKd9d3d2c 
KdQc8c5s5d AdKc6c5s5h Ks9d7s6s6d KhJd9h6d3d 
KhTh9d7c2c Ts9d8h6h4s QdQc8s5h5d Td9c8s6s4d 
QsJcTh7c2s QdJc5h5d4h Tc8c7d6c4d As9d8h5s4c 
KhJd7h7c4c AdQh7d5s3c As8d5s3d3c KcJhThTd6s 
Th9h9d7c4d TdTc9h6s6d Ah9s9h4c3s AhQs7h5d3c 
KdQdQc9s3h Kh9h9c8s7d AhJh7c5h4d KcQhQd6d4d 
QsTc9s9c3s Qh8d8c7h5c AdJd7h5d4c Ac8h5s4s3c 
KhTs7d4h4d KhTc7s7d6h AdTh9d3h2h AdQdJh9d5d 
9c8d8c6s5s JsJdTh4s4c AcJd9h4h2c KhQs9c5s5h 
KsJs9c8c2h As8d7s4h3d QdJs5s4s4d AsQh7c5h3c 
Ac9c7s5d2d KsKc8h7d3c KhQh9s6c3c AcJs8d7c3h 
7s7h6h5s5d AsKcJd4h4c Ah8h7s4d3d AdKh8c5h4s 
KcJcTc7c6d Kd9c6c5h5d AdQd8d5c3c QcJhJd7s7h 
TsTd9c6s6h AhThTd9s4h Jc8c7s7d6s QsQc9c6h5c 
KsTh9s6s3h AsKcTs6h2d Ah9h9d4c3d QdTc9s5c4s 
KsTd8s7c3c KdQcJc5s2s KsTh8d6h4d QdJc9h5h5d 
KsKhTh5h3h JsJh8s5c3h 9s8s8c7s6c QsJs9d7c6h 
JcTd6d5h3c AsJsJh8s5s AcQc8c5s3s QhJdTh6s5h 
AsKcQd7h2s Ad8h7h7c5c AdKcQh9d4d KcQh8c5s5h 
Ad7s6d5c2c AsKd5c4h2s AsKh4h4c3c QcJd9d7h3c 
Kh9c7s6c5s KdJcTs8s6h AsJcTh6h3c KdJc9s9c3d 
AsKh8h6d3d Jc8c6h5h4d QsJc7c5h4h AdQhQc8h4h 
KcQh7s5s3c 8d8c6d6c3h Ah8s7d4h3s AsQhTd3s2c 
AhKhQd6h6c AhKh8s5c3d Qd8d7c6s4s AcTs5s5c4c 
KcJhTd5d2h Ah8h7c5h3c Jc9h9c6c5h Ah8s8c7c5s 
AhTc9c3c2h JcTd8h7c6c AdQsTs6s5h QdJsJh9c5d 
AcTsTd9s7s KhKd9s4d3c Ks7h6h5d3s KcQcTd5h2h 
AcKdQc7s2h QsJsTd7s3d KsQsTc9h3d KdQsTdTc4h 
Kc9d8s8d5c KhTc8s6h3c QsJcTc3h2h QsJsJc6h6d 
QhJs6s4h4c Js9s7d6d5d KhThTc5c3h AsJd7h6d2s 
KhKc8d7s3c Th9h8c6d4d KsTd7c4s4c KsTd9s8d2s 
QdTh9h6c3c QsQc8h5s4d Js8s7d5d4h Tc9h9c8d5d 
QsQhJs7s6c Ad7s6c5d2s KsQh5h4h2s JdTd8c5c3s 
KhTc9d6h2d AsJh8h6s3s JdJc8d5h3c KhTc8h7s3s 
QdTh9d4c3c KsQsJs9c3c As8s5c4h2c KcQcTs5h2h 
QdJdJc9s5h JsTs8h8d4h JcTc8s8c7d QcTc9d7h6c 
8s8h5h5c4s KhJhTs5h4c AcKdQs7h2c QhQd6d5d5c 
KdJc7s5c4s JsTc9h7h6h AdQs6c5d3h TsTh9d9c6d 
Kc9d7c6d6c KcQcTs5d3h As9s5h5d4h AcJc6d5h2d 
QhJdTh6h5c KsJcTc8h5d Th9c8c6s4h AdTc9h9d4d 
QhJh9s9c8h KcJsTs8h5d AcKsQd9c4c Ts8h7h6h4s 
KhQhJsJh4c KcThTd6c2d JdTd5c4c3h AsQd9h5h4d 
AcKc4d3d2d AdKhTsTc5s KsJc9c8d7c KsJsTd9s3c 
KhQh8s8c5s Qc7s6c5s4h QsQhTc5h3d QsQd4h3s2d 
Tc9h8h6d4c KdTd8c6c3s QdTs8d6c2s AcTc9s4d3h 
KsTsTc8c3c Kc7h6s5c3s KhQs6s5c3c Ac9d8h3h3c 
KdQhJhTc4h As8c5c4d2s QcTc9d8s5h KdQcTd9s2h 
AdKd6h5s5d Th8c6c5h4s KdQs7h5h3d QcTc9s7s4c 
TsTh9h8h7d QdQc9h7s5d QsQd9s8s6s JsTs7c6s4c 
AhTh7s6c3d QcJhJc9s5d AdJs9c4c2d AcJd9c7d2c 
AdKhQd7s2c KcTd9s7h6h AsQh4s3s3h Ad9s8c5h4d 
AhTh7d6c2c AdTd9d7h3s AdTs6d5c2s QdJsJc8c2s 
QsQhJh9c6h KcQhJsJc6c JhJd9d9c5d QdTsTh9s7s 
Td9h9d5h4c Qd9s7s6h5h AsKdTh4d4c JhTc5c4c3h 
Ad9d8s6s2s AcKdJh6h5s As9h8h4c3s AhTh9s4d3c 
ThTc9h8h7s KhQdJc7h6h TsTc8c7c4s Kh7c6c5s3h 
AdQsThTc4c KdJc9s9d2s QsTc9c7h6c TsTh5c4s4h 
AhQsQh8h3c KhQsJc8s8d KsQh8d6h6d AhTc8h5d3s 
KcQs6s5d3d 9h7s6s5c3h QcJcTs6c5d KsJc9s9d2d 
KcQdJsJh6d Ts9s8d7h6c QhJsJc7d7c JhTdTc9h6s 
KdTs9d6c2c QhJhTh9s7h AhKdQc8s4c QsTc5d4c3s 
AcQsQh8h4h Qh8d7d6h4s QdJc9s5s5d JsJcTh4d4c 
KsJdTh6d5c QsQh5d4d2s AhTh9h9c5s Js8c7c6c5s 
KcTd9c6s2s KdJd7h6c3c Kd9c6c5s5d Tc8s7c6s5s 
JsJdTs6h6c AdKcTh6h5s KcQhJsTs6s AsThTd6d4h 
9d9c8d8c4c KsQsQd3s3h QhQd7h5s3s KcJsTd5d2s 
Td8s7d6s5s Td9s9d8c5c AsQh7h3s3h KdQsJdJc7d 
Kh7s7c5h4s Kh6d5h4s3d Qc9s7d6d6c KdQsTs7h7c 
Ac9d5d5c3h JhTh8s5s5d AsJh9s6h2h AcTs5h2s2c 
KdQhJh6h2d 9s9d6s5c4d AdTsTc5d3h As8s8c6h2c 
KcTd5s4c3s QdQc7c5s3s KcQc9c8h5h AhJsJc8d6s 
KhQdJh7d2s JhTd9h8h6s QhQcJsTs4s AhTd9h9c5h 
Kc8s7s5c4s AsQsTsTh6s AsJc8h7s3d AhKh9d3d3c 
QdJd9h7c4c Jh8s7c5h4c KhTsTh9h8h JcTh8s5c3h 
KhThTc9h8h KcJs9c8s2s Kh7s7c5c4h AsQd5s5c3h 
AdQcTd5h5d QcJsTd5h4h KsTd8s7c2d AsQs9s9d8s 
Ad9s9c8h8c JdTh7h6c3d JhTs9s3h3c KcJdTs8h6d 
AdTh9s7d3d AcQhQc9s2c Ts9d8d6c4s Ah8c5h5c2d 
JcTs9s5c2h KsQsTd7d2h QhQdTs6c3d JsTh8c5s3h 
JcTs5c4s3d QhQc5d4h2d AdKsQc6h3s QsQd8h8d5d 
AsJs9s9d8s QdJh9c8c3d KhTc7h7c3s KcQsJh7c6c 
9s9c6c5d4d 9s9c6h5c4s AsQc6h5d3s Qc8s7h6s6c 
KcQsJh6s5s QhQcTd6s3h 9h9c8c5h5d KsTs5d4h3h 
AsTh7s4c2c Ad8s5s4c2d QsQhJd7s5s AcQhTs9s3d 
AhQsTc7c6c QcJc9s6h4h AhQd8h2s2d Ac8d5h4d2c 
KcTh9c5d2h KdQdTs4s2s KcQh7s4h4c QdTd8s5d4s 
Ad7d6s6d4s KsQc8s5h5c QsJs9c7d6h Jc8c6d5d4h 
JdTdTc6d3c Kd9h6h5d5c KdJs9h9d7d Js8h7c5s4c 
KcQh8c6h2d KsQcTd3s2d KdJc9h9c3d KsKh8d6h2c 
As9h7c4s3c AsTc9s9d5s AdJd7s4s2h KhJsTs8d5c 
KsJc9s6d5h KhTh6d5s4c Qh9s8c6s5c QhJc5s5h4s 
Td9s9d5s5c Ac9s8s4c3d Ad9c5d4c3h KsJh9h9d8c 
AsJsJc4h2d AcTc7h4c3h QhJdJc8c2d AhKs8d6s4c 
KsTs9h7d2h KcQhJs7d5h QsTd7s7d5d KsTsTh9s8s 
AdKdQc7d3s KhTh8d6d3s 9h8c6d5d4h Qs8d7h7d6s 
QcJc8s5s4c As8c6h6c2s KsJcTc7h5c QdQcJd7s5d 
KhJhTh7h6d Ac7s6s3h3c AdKs9d4s2s QhQc8d5s5h 
KsJs9c6d3d 8d8c7c5s4s JdTd9c5s2c QhJdTs5h3c 
AhJcTd3h2s AdJh6h3s3d AcTh9s7c3c 8h8d7s6s4h 
QdTs9s9c7h AhQcJc8d8c ThTd8d5h4h Ac5s5h2s2c 
QsQhJd8c4h Th9d8s6s4h KdQhJs7d6d JsJc9c4s3h 
AsJhTh6c3c AhQd7h6c5h Qs9s8c7c5c KdQsJsJh6s 
QhJh9s6d4d TsTd9h8d4s JdTh9s7d5c Jc8s6h5h4c 
KdQs7s6d3d QhQc9c8c6c AdJd6c5s2c Jh9s9h8h8d 
AhTh9s7d4h KhQc8h5d5c AdKc9h4h2d Ac9c7d4h3d 
AcJd6s4c3s AsQdJs8s6s AdQc5h5d3s KcQdJsTh3s 
AcKd8s6d4h AcJc9h2s2h KdQhTc7s4d 9h9c6h5c4c 
Tc8h8d6h5d AhQh6s5d5c AhQsJc6d5d As9c8c6d5d 
AhTh6c5s2c QsTd9h6s5c AhQs5h4d3c AhKh7s7d5h 
AhKd5s3h3c AcJs9c6s2s AhTc7s6s2h TsTh8d5d4s 
AdTs9c8s8h AcQc8d7h7c KdTh8d7c2h KhTsTc6h2c 
AcKcTd8c4c As9c5s4c3h As7d6h3s3h QdJh9c6c3d 
TsTh9h6c3c 9s9d6d5c3s AhKcQcTc3c AsThTc8h2c 
KcQs9d5s2c AcJdTsTh6d AsQd9s6h4c AhKsJd9c5c 
KdJsJd6d5c KdJsTd7s2d Qh9c8d6c5d Kd8h6h6c5d 
KcJh9c6c4h AdTh9c7d3d KcQcTh7h2s QsJc9h6h4c 
QhQc9s7d5c AcJs9d5d3s 9h7h6c5c4d KsQhTs9c2d 
QdJdTh6d5s KsQcTd7h7c AcKh5d3s3c QcTc9d7d4c 
QhQc6h5s5h AsTs9d7h4s AsKcJc9h6c KdQs9h8c7s 
KhJs7c6c4s Jd8d7h5h4s KsJh7d6c5s AsKc8s7s6s 
KdQh8d6h2c KcJcTs5c4h AdTs6d5h2s Kd7s6h5d3h 
AhKd7s7c6d QcJcThTd2s AsQs8h8d7s AdJd7c5s4d 
KcQh9h9c2d AdTsTh6h4s KdQsJh6h2s KsTdTc6s2c 
KcQhTc5h2c KdJdJcTd4s JhTc6h6d4d Qs8s7c6h4h 
Qd9d8c6h6c JhTh8c7h6s AcQc6d4d2h KsQdTh5h2d 
Ac7d6h3h3c KhTc9s6d5h AdTd8h8c5d AcTd9h7c4c 
KsJd9d8c7d Ad8h7d4c3c AhJc9s8d7d JhTs9d7h5c 
AcKdJh9s2d QhJh8s5s4h JcTd5d4d3c AdQcTs4c2s 
AdKhQd8d5d QsJdJc9d7d KcJs8h8d7c QsQh7h6c5h 
9c8d8c7d5h AhQh6c4c2s AcTc9h7d4c Ad9s9c8s8h 
AdKdJd9c2h JsTh9s4h4c KdQdTs8d2s JhTc8d7s7d 
AhQdJc8d6d KdQdJs8c5h Kd9c7c5d3h Ah9h5s5d4s 
QhJd6h5d3d QcTs9s8c2c Kh9s7s5s4h QdJd9c6h4h 
AdTc9c3c2d Kh9h9d8c7s Ah7s6c5s2h Td8d7c6d4c 
TsTc9h8c4s Kd9s8d6d5s JhThTd4c2d KhKd9c4d3s 
Jd8h7d7c6h Th7h6d5d4s Tc9c7c6s5s QdTd6c4h4c 
KcQdQc6c5c KdQcJsTh3s QdJc8d5c3h AhTd9s8d8c 
9h8d7c6h6c KsQsTh5d2d ThTc8s7h4s AcQh9s6c5c 
JcTs6s6h5h KsKcTh4h3d AsKh7d7c6h Ad6s6d5s4d 
AhTd7d6d2h Ad7s6c3d3c QcJs7s5d5c KdKcQs8s5s 
KdTd8c7c2h JhTc8c7h2s AsKcQd8h8d AhTs7h4d2d 
KdQhTc4c2h JsTd9c5s2d Kh9h9d8s5s QhQc8c4h2s 
KhJd6d5h2c QdTd9c4c3s Jd9d7s6s5s Ah9h7d5c2c 
QdTc8d6c2s Kc7c6d5h3h QhQcJd5h3h KcQd8d7c4c 
AhTdTc5h3s JsJh7s6c3h AhKs8h7h6h KsTc9s5d2c 
KcJs9s7c2h AsKd8h6d5d AdKsQh6c3s KsTc9s8s6d 
KhKc6c5s2c KsQdTh9s3c TdTc8h7s6c JhTs8c7d7c 
9s9d6d5h4s Jh9d8d5h4s KhTs9h5s4h AhKcTs9c2c 
AsTs9s7h3d AhTd8s3d2h KdJsJhTh4c 8h7h7d6s5d 
JhJd9d8h2d TsTc8h5h4c JdJc9h8h4d KsQcTh7h6h 
Jh8h6c5s4c QdQc4s3c2d Kh7d6s5h3s AhKcQs8d6d 
QsJhTc5h4h JhTh9c7c2d As7h6h3s3c QdJc7c5h4h 
QsQdTh6d3c KhKd6s5c3c AdKhTs8c4s 9s8c7d6s6d 
QdJd7h5h4h JsTc9h8c6d Kc6d5c4h3d AhKs8c5c2s 
AdQcTc5s2s AcTs8h3s2c JsTs8d5d3c KsTs9d8d4s 
AsQc8s3h2c KdJh9h7d2c QdJsJdTc6d JsJd9d9c5d 
TsTd9h7h4s TsTh9c8s7s Qd9s6s5h3d Ah9c6s6c3h 
Ac7s6d5c2s QsQc8h5d5c KdJd9h8c4h AdQh9c6d5d 
KhJh9s6d3d AhJh8d5d2h AhAdAcKd8d AsJc5s3d2c 
Qh8h7s6d4d AdKdQc7d3h AsQh6c5d3s QhJs9c6s4c 
Ts8h6h5s4c Jd9d7h5h4c AsTh7s4d2d JhTh7s5c3s 
JcTd9d2h2c AdQhJh8h6c KcTc8d6d3s Ah6h6c5c4h 
KhKcJd7c2s KsQc8c5s5d JdTs9d8d6c QhTd6h4c3d 
QhJhJc6s6d QcTh9h9c3c KcQcJd7d3d Ac9d7s6s5d 
AdKc9s8s7s Kh9d8h7d4s AhJs9d4d2h QcJs9h9d8h 
AcJc6s4d3d Ad9s9c7s5c Kd9h9d8c7s AhQhTs7d2c 
Ah9s9h2s2c QcJdTs8h4c QdJdTsTc3h KsKd8s7c2h 
JhTc8d5h3c Ac9s8s3d3c Ac9d8d4h3c QdQcJh8s6h 
AcKhTh9h2s QsQh8c5s5d JhTh7s6h4s Ad9h9c8s8h 
QsQdJs6c2c KhJc8s8d7h AcKcQs8d2h JsJdTs6c4h 
Jd9c8c5d4s KdQc9h8s7c QhJd6d4h4c Tc9h8c7s4s 
AdTc9s8h8c KhKd9s5c2h AhTd5s2h2d AhQd8h3c2d 
8s7s6s5c4c Js9s9h8h5h Ks9h7c6h5c Tc8h6h5c4d 
AhQsQc7d2h AhQd6s6c5h KcQhJhTd6h QsJhTd7d6d 
AhKhQh9h9c AhKhTs5h5d JdJc7s7c5h KsQs9d6c3c 
KsTd8s8d4s KhJd9c8c2h Js9h8s6s5h AdKdJc7d4d 
KsJcTh5h2c AsTsTh6c5s KsQh7d4s4h AhKh6c5s5h 
As8c5s3d3c AsKdQc7h3d QsQc9d2d2c KhQcThTd4s 
KdQd9s6h3h AcQc8h8c5d AdTs9h9d5d AcKd6s5d2s 
AsQd5s5h3c QsTd9s4c3c AhQh8c5h3c KdQd7c5h3c 
AdJsTc3d2h QhQc7h6d5h KsKcTh8h3d Td9c8d7s4s 
KsKcJd7c2h As9d7d7c6c AdKhQc7h4h KhTc8d7s6s 
KhTh9d7s2s Kd9d9c8h7s Ac9s7c4d3s Tc9s9c6s4c 
KdQd8s8h5h AhJs9d8c7c JhTh8s5s5c Ah9s7c4h3c 
QsTc8d7c4d 9h9c7d5c4h JhTsTh7s2c KsJhTh8d5c 
AdTd9s8h4d 9s9h8s8h4h KsTh9s5c2h AdKcQdTd2d 
QcJh6s6c4s AhQs4h4d2d AcKdJh8d6d KdTd6s4s4c 
AdQs9h6c4d AdTd8c5h4d AdJsTsTh4s Ah9s9h7c5h 
QhQdJd9d5s As9s9h8c7s TsTc9c6d3d AhKd6s5d2s 
AdKd8d7d6c KhQdJsJh7h QdQcTc7s2s Ah9h9d2s2d 
KsJsTc9s5d QdJs8d5c3s QdJcTs7d2c KhJdJc7h6h 
KsQd4s4c3d AhTh6s5c2c KdTc7s7h6d Ad9s8s3d3c 
Ad9h9c7c5h AcQh5s4d3c AdQsTsTh3s KcQd7h5h3c 
KcJh6h5c2s Qc7s6d5c4d Ks9d7h5h4s AsKdJh8d6d 
QhJh7s5s4s KhQhTs7s2d QcTh5d4h3c AcJdTd5s2s 
TsTc9d8h7h QsJdTc7d2s JhTh9d6h3d KhQdJsJc3c 
Qh9d9c7h5c Td9d8c7h6s AhQs6d3h3d Ah7s6h5c2c 
QsJs9h7h4c AsJsJh5c3s KhJsTc6h5h Th8d7d6d5h 
KhTd9c7d6d KsThTd6c5s AhQcTs7d5d Ks9s9c7c4h 
AsTsTd6c5s Tc8d7c6d5d AhJs7h4s3h AcKsQc8h2d 
QcJhTd8s4c AdTh8d6h2d QdTd9h6h2c Ad5s5c2s2d 
Ks6h5s4c3h AdKcTd6h2s JcTs8d7c6c QdJs7h5s3d 
AhQs9c6c4s KdQs6d4h3h QdTd9h6c5s QhJd6c4d3h 
JdTsTh9d6c QsJd9s9d4c AhKdQd9c3s KsQh9s8h4h 
QsTh9h9c7d Ac9c7h4s3h AcQdTd7d5h AdQh6s6c5d 
KcQsJh7d5s KsQh9c5h2s 8h8d6h4s4d KhJc9h7c2s 
QsQdTc5d3h Kh6s5h4d3d QdTh8c7h4c QhQc5d5c4c 
KcTc9h7d2h AsKd5h4c2s AhQs8d7c6s AsKsTh9s5s 
AdKdQs7d3h KsKc9h7s3s KhTdTc6h2c Ah8d5s4s3h 
KsJdJc7s6s QdJs9c6c4s Jc8c6s5d4s QhQcTs6d3h 
QhQc9c7d5s QhJsJh4c2c AhKdJc4s3d Qs8h7c6h4s 
AdKs8c7c5h KsTd8c6s3d Ad8d7s4c3c AcTd8s3d2c 
QsQc8s4c2d KcJd9d7c3c JdTh6d6c4h AdTs7h4h2d 
AhTc9d8s8c AdTc9s7h2d KsTs6h5d4c AhKcQd8s4d 
QhQc5s4h2s KsQh7h5s3s JhTsTd9c6d Ks9s8s8c6c 
QhQc8s6d5d KcJhTc7d4c As9h9d6s5c QcJd9d9c4s 
KsKdQs9s3h AdQs6d5h5c KhQhQd9c3s QsTsTh9c6s 
JdJc5h5d3h Jc7s7c6s6c JsJd9s4d3c AsQhTd4h2d 
KsQdTsTc4h AcKc8s8c5d AhKdTs9c5s AdTd7c6s3h 
KhJsJd5c4h QdTs9s5c4c 9c8h8c7h5s KdQsJsTc6s 
KdQhTd9d7d AsQd9c8h5d Td9s8s6c4d KdTh8d7c3c 
Ah9h9c2d2c AcJh9c5s5d QdQc7s6c2d AdQs4s3d2s 
JsTdTc5c4h KhQdTs9s6s JcTh6s6c4h QdJsTc7c6c 
Jd9h7c5c4d KdJc9s9d7d Ac9h9c5c4h Ts9s9d7d5d 
KsQcTsTh5d KdQh9d5h2s ThTc8h7s7h QdJc9s9c4d 
