QhQd7s6s5d 
AcJs8s6c4h AhKsThTc5d AhKdQcTh7h KcJs9s8h6c 
AsTc9c7s5s AhJhTs6d3d AdKhJc6h4c AhQhJdTs3h 
QcJs9s8d8c AcJd8d8c7c QsJhJd9d6s AhKd9c8h7s 
AdTdTc3s3c JcTd9d9c7s Ad9h8s8d6s AsJhTh8d4d 
AsQsTd8s7c QsQd7d5s5h KsQcJd6d4s AdKhTc8s8h 
KdTh8d7s7h AcKdTsTc7c KhJhTsTd6d QdQcTs9s5d 
QhTsTc9h7s KhQh9s7s6c ThTd8s7h7d QhQdTh9c5c 
KsKd8h2s2d JcTs9s9h7c AsQsTc9s2c AdKdJs6s6h 
QsJh9c8h7c KsQc9d7s6d KhJc9h8d6c KhTh9h8s7s 
KhKcQsJd6h KdQsQcJc9h TsTc9h7s7c QcTh9d8h7d 
AdKdTc8s4h AhKh6c5s3c TdTc9d8h7c KdTh7d6h5s 
KcQdTs8d4c AdQh5h4c3d AsQsTc5c2d AdJs9c7c4d 
AcJhJc6h3d AsJsJh7h4s AsJh9c8c3s Ac9h9d8h5c 
QsQhJs6h4h KsKd9s5h3h AcQsTd6c5h AhThTc8c4h 
KsQsTd5h4d AsTsTc7c5s AhKcQhJh4d Ad8d7c5h4c 
JhJcTd7d6h AsKdJh8s7s AdQd7s6h4h AdKh4h4d2c 
AdKd8c6s6c AhKhQc8d6s AdKdTd9s9h AsQs8h7s5h 
KsKdTs6s6h AhJcTc8s4s KsJsTd7h4d KcQhJsTs5h 
KcJs7c6s5h AhKs7h6c2s QsQh7s7h5s AhKc6c4h3c 
AcKhKd8s5s QcTs9h8s8h KdKc8h6s5d AsTs8c7c3h 
AcJhJc5d2h AdKdJhJd7s KhQs7s7h6c AsTh9c6s6c 
AhJsJh7h4s AhKhQc4s2s AdQsQhJh4c AdTs8d8c7h 
AcKcJc9d8h Ad9c8h8c6d AdJh9d5s4s KdKc6h4c3h 
AsKd9c5d2s QhTc9c7h6c AhTc9d5c4h AdTh8d7h3s 
QhJsThTd9c AdKhQs6d2s AsJsJd4c3c KsKdTc8s4h 
KcJdTc9s5s KhKdQsJc7d KsKcTh8c4d AcKhJh3h2c 
AcTh9c8c5h KhKc8d6s5h KdQdQc3c2s KdJcTc8s4d 
QdJhJdTs5s AdKsJd8d7c AhQhJc8d3d AcJdTs7s4d 
QsTc9c7s6s AhQs9c6s4h AhTd9h5d4c AsJs9d8c5h 
QsJsTc7s6c AsKsQcJs5h AcKhQhTs8h AhKcQc7s4s 
AsJh9h8s2d AhQsTc5d4h JhJdTh8c6c KdJdThTc3h 
QsQhJs7c6c AdKhJsTs7c KdQsQc6c3s QcTs9d8d7s 
QcJdTs9c8c AhKdTd9d8c QcJhTh9c3d AhQcJh8d2d 
AdQsTd5s2s AsQhQdJc5h AdTd7s6s6h Ac8d8c5h5d 
QhJsJh8s5d KsJsTc6c4d AdQhTd3h2c JdTsTc8s6d 
AhTsTh8c2s QcTh9s8s7h AcTh8c7h3d QhJsTh7s5d 
AdKd7d7c6c KhKc9h6c2c QhQdJh9h6d KsQsJdJc2c 
AdKhTd5h2h KdKcQsJh8s KhKdJh7s3s AhKc7h7d4d 
AcKhJdTd8d KsKd7s4d3s KdJsTh6d4h QsJhTsTc3h 
AsKsKc9s5s QsJd9h9d8s AsQsTd9h7s AsQc9c8s4c 
AsJcThTc9d QcJd9s8s7d KsQh8h7h6s KsQd6s5d4h 
KhQsTs9h2d QsQhJc8s5c AcTh8h7c4c KsKdTc7h6c 
AhKdQdJd9s KdQc9d9c6s AhKdQh5c2c KsKh6s6c2c 
KsTs9s9d8d QdJhTc9c3d QdJcTc9d3h KsKc7s6d3d 
KcQh8h6s5c QdJsTh8d4s Ad8h8d6c5h KhKd9c6s5h 
Ah7d7c5d4h QsQh8s5c4h KcQdTd6h5h KsKdJd7c3c 
KhKcQdJs6h KhKd6d3s2h QhJd9h8h8d KsKhQc9d6s 
AcJd9d8c2s KcJsTc8s4d QdQcJd9s8h AsKhTd5c4s 
JhTs8c7s6h AsKdQhTs7s QdQcTd8d5c QhJcTd9c6d 
AsTh8d7s5c AhKcTsTd9s AhJhTs8d3c KhJhTc9s2c 
QsTs9c8c6c AdKdQhTd5c AdJsTc4d2c AsQd5s4d3h 
JsJcTh8c5s QcJcTh7h6h KhJs7s6h5c KsTh9h9d6s 
AcJh8d6d4c Ah8d7h6d4c AdKcThTd5s AcKcJh3h2d 
KdJh7h6s5d KdQcTsTh9d AcKh7c6s2h AdKs7h6d2s 
ThTc9c8s7h KdJcTd7s4s QhJcTh6c5c AdKh9d5d4h 
KsJdJcTd2c KdQdQcTd3c KhQhQd9s2d AsJd9c8s8h 
AhKdQh6c3c KsKc7c6h3h AhKsTc6s4c KhJsTs6h5s 
AcQcJc8s4s QsTs8c7c6d AsJdTd8c7h KcTc8s8d7d 
KhJc7c6h5d AcTh9d6h4c AhQsJh6c3c QsQdTh2s2d 
AsQcTsTd8s KsQhTh6s3c AsJs9d6d5c AsKhJh3s2h 
AsKsJsJd8h KcJd9c7h6h KsQhJs8h6s KdKcTh5d2h 
KcJsJh9s5c KsKh9c8s4c AdQh8d5c3h AcQcTc5d4d 
AhKsJd9d3s AdKhQsTh4c KcTh7h7c6s AdQh9h6d5d 
QsQhTs8h3d AsAdAcJd9h JhJcTdTc7s AhKsQd6h2d 
AhQhJd3d2c AcTs9s6d4c AsKhQs4d2d KdQhTc6d3h 
KdQhTs5d3h AdQh5d4h4c AhKs9c7h4c AdQc5h4d3c 
KdQhTh6d4d KcQc9s7h6s QcJsTd8c4s KcQsQd9h9c 
AcTh9c8d2d QcJhTh9s3c KdQsTs5d3h AcQhQc7s6c 
AhJdTs9s5d Qc9s9c8s8c AdKs7h7d4h KsJsJcTc3c 
AcQsQdJh5d AcKsQcTh7c AcJhTc2s2h AhQs7h6c3s 
AcKh9h7c4c QsQcTh8s7d AhQs9c8h6d QsJhTh7s7d 
AsQcJh8s8d AcQs8h7c4h AcQsJh6c5d KhQhJsJhTc 
KsJhTs4h3d AhKhJh9s8d KsQhJsTs2h Ah9s9c7h5c 
AdQd8s5s4s KhKdTs7h4c AsKhJh4s2h KhQdTd6h3s 
AhKdJdJc9d AcQh8s7c3h QhJsJh5c4s AsJsJh4h2c 
AsJh7s5h3c KsKhQs9d3d AhKhQc8s6d QhJsTh7s4d 
KsKhQsTs7d AhQdTh3d2c KcQcTd5s4d AhKsTc6h5d 
KcQsQc8s4h AhKs9d7h4d KcJsJd9d5c JhJdTh8s6s 
KhKc6s5s2c KhKd9d5h2d KsKhTd5s2d AhTd8s5s5h 
KhJsThTd3d KhKcQdTs5h KcQcJdJcTs QhQcTs7s4h 
AsTh9h6d4s KhQd8h8d7c QcJsTh9c8c KsKcJh3s3d 
AhQdQcJc4s AsTc8s8d7h QsQhTc8d8c QhJsJcTh6s 
KhJd9h8s6d AdKhJhTs7h KdJc9d7s7c KhQsJsJd5d 
AdQsQcJh5c AhQd8s6s4h AdTsTd8s4d KhQcTh8s4c 
KsKd8s7d3s KsQdJdTs3s AhKcTc4h2c KhQdJdTd9c 
AhKcQd5d2c KhKcJs6s2c AdJdTh9d7c KcQsTc5h3s 
AhKd7c6c5d AsQsJd3d2h QdJdTs8s6d AsQsJhTc3s 
KdKc9d4c2s AdKs5c3d2s AdKdTd9h4h AcKsJd6c5h 
AsKs6h6d4h QcJc9d8d7h KsKcQhJs4d AcKd7h7d6h 
QdQcJd7s6s KhKdQcTh7h AhKdQsQc2d AsKdQdTd9d 
AcJhTs9c6d AsQd6s5d3h AdThTd7d5h QdQcJd8c4s 
AdJd9c7h3c AhKhQhQc9h KhJc7c6d5h KsQcTdTc3s 
AhKsKc8d5d QcJdTc5d4c QdJsJh6s5h QsJdTd7h5s 
AsQc9c6h3s KhQcJd7h5d AcKsQdTs7h Qh9h9d8h8d 
AsKc8s8c2d KcQdQc9d4h AdKcJhJc9c AhTs8d4s4h 
AdKcQsJc9c AcKhJdTs7d AhKhTc5c2s AdKcJc5d2d 
AsJc9h7h4s QhQdJd8h4c KdQhTc7d4h AsKh7d6d5h 
QhQc7s5c4h KsJsJd9s9c AcKsKh3s2d AhTh8s8d4s 
KhKdQs9c8s AsKhKc9c3d JdJcTh8c5d AhKsJc8h7h 
QcJd9s8d7s AcKhJd6c3d AsKsTs9c4c AcKsQs6d4d 
JsJhTc7c6s JsTd9s8d6h AsJs9h8d4d AsQc9c6s6d 
QsQc8s6h5h KcJs7s6d5c AcKcQd4s2s AsQdJc8s8h 
AsKc8s6c4s KdKc5d4h2h QcTs9s7c6s AhKd8h8d2s 
KcQsJsTh9s KhKdTd8s2s AhKhQd7c2d AcQs7s5s3c 
QhJcTs9h8h KhJhTdTc3c TsTh7s7h6d KsKh7h4s3h 
AdQhJs3s2d AcKcJh5h3c AsKs6h6c4h KhJs9h7s7c 
AcKhTs6h4s AhJhTc4c2s ThTc9d8c7h AsQsJdTs8s 
AsJhTs3h2c AsQd9d9c8c AsKdQsTh7s AdTsTd7d5s 
KhKdQhTh7s AcJsTc9h6d AdTs8h4s4d KsJdTd5c3s 
AsJs9d7d5s QdQc7c5h4d AdKsQh9s4h AdJs9s9h4d 
QdJsTs7d6d JdTsTd8h6s AdJdTc4c2s KsKc5h2h2c 
KsKdQdTd7h QdQcJs9d8h AdQd7c6h4h AhKsQs7c4c 
AdKhJd8s8c AsJcTs9d6h KsKhQc8d6h AcQs9c6s4d 
KsKh7d6h5h KsTd7s6d5h QhQcJc8h5c AsQsJd8d3d 
AdQhTdTc6s AhJdTsTd3s AhKd4h4d2s AhJs9d8d3h 
AsJd8d7s3c AdTd9c6s5s KsKc8c6c2s QsJdTc9d5s 
QsJsTh7h6h JsJcTd7c5s AcKdQh6h3d KcJsTs5d3c 
KcQsQhTd8s KsJh7h6s5d KsJh7s6h5d KdJhJdTd9c 
JsTs9h7c6h AdJd9h5h4s AdQhTh9c8h QhTdTc8d6c 
KhQs8s8h7d KsKdTh7c6h KhJhTsTc4s JcTh8d7c6h 
AsKhJhTc3d AsQcTh9h4c AhQs6s5h3c QhQcJs8c5s 
JsJd8d7c6s QhTc8s8c7h KdKcQh6s4d KdQsQh6s3h 
AcKdJs8c7c AhKh9c8c4d QdQc9s9c2d AhQsJcTh4h 
KdQcTh6h4d AcJd8d5s3c AcKhQd6h3d AdKh8h4d3c 
AdQhQdJc4d AsJc8c6s4h QsQd9s5d5c AcKsKd8h3s 
QcJdTdTc7c AhTh9h8c6c KdQhJs7d5s AhKsQdQc3d 
QsQh7s5h5d KsKd7d6h3h AhKcQh9s9d AsKs8d6d6c 
As8c7s6c5c AcQhTsTh2s AsQh8h6s6h AdQc7d6c3s 
AsKsQc8d6h AdTh9c5h4d AsQc9c5c4s AhAdTc3s2c 
KsKdQh9c6d AhJs8s7h3c AhJh9s8d3d KsTs9s9h8h 
KcQdTc8h4d QsQcJc4s4c KsKcQs9d4d QsQdTh9h5d 
JsTd8h7s6d AdQdJs3h2s AhKcJc5h2h KsKhQdTc5h 
QsTsTh8d6d KhJsTsTh4s KdJdTc8c6d AsQh5s4h3c 
AdKsTh9d3c QdQcTs8s4c QsQcJd4s3c AsQsJh9s3h 
QcJhTd9h6d AsKcTs9d3h TsTh9s8h7c AdJd9h7d5h 
KcJcTc9s6s AhQhQd4s3c QhQd8h5s4d KsKh8s8h3h 
QsTd9h9d7s AsQdJs4d3s AhTc9s7d6h JsTh9s9h8s 
KdQsTs7d5s QcJdTd7c6c JsJdTd5h4s KcJsTs7d6d 
QsQhTc8h7d KhKc8d2h2c KdJh9c7d5h AdJs9h7h4d 
QhQdTd9h2h AhQs8c6c4h AsJdTs6d4s QcJhTs8c4h 
JsJdTdTc7h QdJhJd5s4h AhQs9d6s4h AcKdKc3s2c 
KsKd9c7d3c KhKcJd8c6s AsQhTsTd6c AcKsQdTc7c 
QhJd9d8s8h AsTh9s8s5h AcQdJc4d3c QsQd7c6d5c 
AsJsTc3c2h AcTd8d6d6c AdTd9h6h5h AdJd9s8s4s 
AhKhJs3s2d AhKh7s5c3s KdQdTc5h4c Ad9c8s8d6s 
QhJdTsTh6s KhKc8h8c3h AdQd7s6c4s AdQsJd8c2c 
AdKdTd9s4s QdJhJd7c6h AhKd6d4h3d AdKsKhKdTs 
KhKcTs7h4d KdJdTs6s5s QdQc8c6s5s QdTh9h7d6d 
KhJc9c8s6h Ad8c7h7d6h AhJcTc8d4d AsQc8c7d3s 
AhKcJs8h7h KsJsJd7c5c KdJcTs9s6c AcKsKh5d3d 
AsKcThTd9d AcKd6d4c2s AcJs9d8h8c AcKsTd6c5h 
KdQc8c7c6d AhKcQhJd4h KhKdJd7s3s AsQd8d5h3s 
KcJs7d6c5s KsKh9h7h6c KsQsJh6d5d AsKcQhQd8h 
QsQhTd9s4d AcKhQc8h3h AhKhQcJh4s AsQhJd3s2d 
QsQcJc6s4s QhQdTc9h4c QcTs9s8d7d AdKhKc9c3s 
QcJcTs7c6s AhJhJc7c4h AcKcJh5c3h KsKc9s7d3d 
AhJsTc7s6c AhQd6h5d3c QsJcTc9s2h AdKh9h4s3d 
KhKcJd6d2c KsTsTd7h5d KhQd8h8d7s AsJsTd9h6c 
AsKc4s4c2h KsKhJc7c2h AsJcTs9h7s AhKsQh8c6d 
AsQsTh7d5c KhJdTc9c6d QdJsJh5s4d QhQdJh8s5s 
AhQs9s6h6d KhQhJhJcTs AcKsTdTc7c AdJhTs7d2s 
QhJhJc5d4c AsJd8h7s5c KsQs9h7d6h QdJd9s9h8s 
AsKc6s4h2c KcJd7s6d5c QsQcTd9d5c AdTd9c7h6s 
AhJdJcTh2s QsQhJh7c4s AsQh7d5s4d JhJdTh7s5d 
KdQsJsJh3h JcTd9d9c7h AdJdTd8h5c KsKdTh9d3c 
KdJcTd6s5s Ad9d8c7c4s AdThTd5h4h KsQsQc9c4h 
JcTdTc8s6d AhQsQdJc5d AcJc9s8s5c Ad7d7c6c5h 
KcTs7c6s5d QhJsTs5h4s QsJhTd9c8h QhJsTs9c4h 
AsKsJc3c2h KdQhTsTd9c AhJdJc7c5d AsKhQhThTd 
KdQdJs6h5h JdTs8c7d6s AdJdTc4c2h AcKcTh7c6d 
AdQs9s7d3h JsJd8s7c6d KdKcTh5s4c AdKsJs9c7h 
KdKcQh6d4s KsKcQdJc4h AcTc9h9d2h AsQc8d7s6h 
AcKc6s6d4s AsTs9c6c5c KsJcTs6d5d KsQdTsTc4d 
AhKcQc5s3s KsJhTs4h3c AsKhQcTh4d AsQhJdTs4s 
AcJhTh7d5d AhJh8d5s5d KsJsTd6c4d AsQc6c5s3d 
AdJsTc7d2c AhQc9c7h3d AdQh7d6c3h KdQhJsJh2s 
KsKcJdJc2c KdTs7s7d6h AsKd9h8s7c KhQsQh9c4s 
JcTdTc7d6c KsKcQhJd8h AdKsJdTc3d QdJsTd7s5c 
KdQdJs9c6c AhTs9s6d4h KdQh9d9c7h KcQsQc9h2s 
QhJdJc6d5c AhJc8c7h3d AdJcTd9h2s QdTs9c8c7s 
AhTd8d7h4h KcQdTd7d7c AcQsQh9h3s AsJh9s7d4d 
AhKd8h6d4h AdJcTh9h5c QsQhJhJd5c AhQd8d5h3s 
AsTd9s8h2h AsKcTh6s5d AsQdJs4s3d AhQdTd6h2c 
JsTd9h9d7s Ah9s8h8c5c KdTs9h6s5d KhKdQd6c4s 
AhQc8c5s3h AhQs5s4c3h AdKsKd9d6d AhKs6s4h2c 
AhKs8s4d3h QhQdJd4h4d QdJsJd9s5c KdJsJhTh2s 
QsJdJcTs3c AhJdTs7h2s QdQcJh4c3d KsQsJc9h6h 
AsQsTd4d3d AcJsTc5d2d AcKhQc6s3s KhQcTh6c3d 
AdQdJdTc8d KcTh8c7h7d TsTc8d8c7d AcJd9d8h7h 
AsKsJh6c5d AsKdJs7d2d AsKdJhTc7h AsKcTc9h9c 
KsKdQh6d4c AcJc9s5s4d KcQdTd9s2c KdQsTs8d4h 
AdJs8d5h3s QsTs8c7c6h KsKdJd7c6d AdJh9h9d3s 
AcQsJc6d3d AdQcJs7s6c QhJcTh7c4d QsQhJh8s4d 
KhQsQcJc9d JsTc9d9c7s AsQh8h5s3d KdJsTh9h5d 
AhQhJd7d4h AdTh8h7d4d QhQcTs8s4c AhKc6d5h3d 
JsJcTs5d4c QdJcTc8h6h KdQhThTc3d AcQh8c7d4d 
KhKd9h6d2d QdQcTh8s8h QsJhJd8d6h KsKdQsTs7c 
AhJs8d7h5c KcJhTc9s5s AhJs9c8c3h AsQdQcJh5c 
AcQd5s4c3d AcKsQh7c4d KcQsThTc4s KsTc9d9c6s 
QsQhTh9s2s AsKhTh9h8c AsKsQsJh5c QcJdJcTh5h 
KdTc9c8c6d AcKhJs6s4h QcJdTs8c4d AsQd9h8h7d 
AsKhQdQc3c JsJhTh8c6c AcKhJsJc8c KsKcTh8d5s 
KsKh9d8c7d KdKcTh5c4s AhThTc7h5c KhJd7d6s5h 
QsQh9s6d5d AhQd9d7h3s AdThTd6h5h KcJcTsTd2d 
AsTs8d7d5s AsJd9s9d3c AhKh8s6d4d KsQhJd9d5s 
AcQsQdJs5h QsQd7d6s5d KsJhTh6s5h AsJcTh7s2h 
KsKh6s3d2h QhQc7s6s5h AhQc8h7h7c AsJhThTc3c 
KhThTd7s5d AdJs9d8s2h AhKcTd7d3c AdKhTs5c4d 
AdKdQhJd4s AsKhQsTc7s AcQdJcTc3h AcKdQh6c2h 
KdTs9h8h7s KhKcJh3c2h QdJdTs8s6s AhJsJd5s5d 
AsQsQc4h3d AhTd8h8d3c Ah9s9d8s5h QdJsTh9c8s 
AcKh6c5c3h KsJsTd6h4h KdJhTh9d6d AcKsTsTd2d 
AcJsTd7c2d QcTs9d8s8d AcKcTs7c3s AhKsKc7d4d 
KcQsJsTd9s AcQs6c5s3h KhKdQd9s3s AdQdTc6d4c 
AhJcTc7c2h QsQcJh9s8d AcQd7s6c3d AhQsTh6c2s 
KdJdTsTh3h As9h8s8d6d AhTs9h9c7d AhKdQs6d3s 
AdJcTd3c2s AdQsJh3h2d KcQsTs6c3h AsKsTs7h6c 
AhTs8h8c7d KsKd9d7d6h AsQd6d5s5d AdKsQh6d2h 
AdKcThTc2h AsQcJh3s2h KhJhTs6c4c KdQh9c7d6c 
AsKcThTd9h AsQc8c6s4c KcQdTh5c3d KsKhTc8d5h 
QdJdJc9c5s AhKdJsTs8s AcJc9h8d4d AdQh7h7d5d 
AdTc7c6c4d KcQsQdTh8d KdQhTdTc4h KcJcTs6h4s 
JsJcTd9h8s KsKhJd3h3c AhQhJhThTd AsJs9h8d3d 
QcJcTs7s5d JdJcTs9h8c AsKd6d4s2c AhKhJsJh8c 
AdJcTc7h5h AsKsJh7h2d AhKdQhJh8c AcTd7h5d3c 
QdQcJd9d5c KhKdQc6s4h AhQdJh5s2s KdJhJd7s5s 
QsQhJh8c5c AsKsTc7s3c AsKc9c8s3s AhJsTs8c7d 
AsJh9d8s8c AcQd8d5h3c QdQc8d6h4c AhQcJc2h2c 
QdQcJhJd5s JsJhTd8s5h AdQd7c6s4s QhQc8c5s4h 
AsKh6h4s2c KhJhTsTd3s QhQcJd3d3c AhTs9c5c4h 
KsKh8s8c6s KhJcTh9s9d QdJcTh5h4d AsKdKc8h5h 
QhJcTh6s5s AdKs4s4d2c KdKcQd9s6h AhKsQs7d4d 
AhTh8s7s4h KsQsJsJdTc KhJsTsTh6h QhJsTs9h3c 
AsKh8s5h3h AcQcJdTc8c AsJhTc9c5h AdJcTd3c2h 
JdJc7d7c5h JcTd9d9c8c AdQdJc7c4d AcJsJc8s3s 
KhKcTc6d5c KhJsTs7s5h KhQdJh8c6c AdQsQhJs4c 
TsTd9s8c7d KsKc8h6d5c QsJcTh9s8s KcJh7h6c5s 
AdQhJc3c2d KdKcTs7h6s AcQhTs5d4c KsTs8h8c7h 
AsKdTd9h2h AsKsQh8d6c AdQdTd7c4c KhQhJc9d6c 
AcTh8h7c3d AsQd9c8c7d KsJc7d6s5c AsQc8c7h3s 
KsKdQc6h4d JhTh9c8s8c KdJhTc6c4d AdJh7s5d3h 
KsJsTd9h5h QsTc9d8c7d AhKcQsJc9c AhThTc3d3c 
AcTs9c8h2h AdQcJs3s2d KsKh7s4h3s AhKsJsTd7s 
AhTs8c7d6h Ah9h9d7d5d AdKhQc9d8d JdTc9h9c8h 
KsQcTh8s5c AdTd9s8c6h KdTd9h8h8d AdQcTd3c2s 
KcQdJdTs4s QhJsJcTh3s KhKcQsTh7h AdKsTs9c8s 
KsKhTh6c5h Ad8s8d6h5s AsTsTd6d5d KhJdTh9s5s 
QhQdJs3s3h QsQcJc6s4c KdTs8s8d6h AcKdQd5h3h 
Ah8h7c5d4c AsQh9c8s6d AdQs7h5d4h JhTd9h9d7s 
KsKd6h5d2h AdJh8s8d4s AsTsTh7d6c AdKcJh8d2h 
AsJhJcTs2d KcQdJhJc9s AhJd9h7s4s AdJsTs8c4c 
AhJcTd9h3s AcQdTs3d2c AsQhTh9c8h AsQd6s6h5h 
AdJc8s6s4d KhKdJc9c8c KdQsTd9c8h AcKcQc5s3s 
TsTd9d8c7s AsKdJc8s2c QsJd9d8s7d QsQh8c6h4s 
AdKdTh7d3h AhJh9s8s2d KdTd9s9h6h AdKsQh5d3c 
AhKhJsJh7c AsQc9c7s3d AhJhTd5d3h AdKs9s7h5h 
AhJd9s5h5d KdQhTh9d2c AhThTc8d5s JsJcTs8c5h 
AhQh7d6c4c Ad9s9d8c6s QsQdTs9d5d AcKs7c6d2s 
AhJs8c7d5h TsTh7s7h6c AhKsTc7s3c QsQhTd8d4s 
AdJdTd8c5s AdKcTc9c8s KcJd7d6h5c AcQd6c5d3h 
AcQd6h6c5h JsJhTh5c4s JsJcTs7h6h AcQcTd7h3h 
AdQhJs3d2s KhKcJs9s8s KdJcTd9d6c QsJhTh5s3d 
AcKdJc8h6s AdQsQc9d8d AdQd8c5h4h KhQdTsTd3h 
AhKhQdJh5s KcTs8s8c6h Ad7s7d6h5h KsKdTc7s4h 
AhKcQdJc9c AdQc6c5d3s KsKhTd9h4c KhJsTh9d5d 
