KdQc5s4s4c 
KcTh8s7c3s AhJhJc2s2h KdQd9d6s4s JhJc9s7s6d 
JcTdTc7c3d AcQh8s7h7d AdKdQd9s3c KhKc4h2s2h 
Kd9h7h7d5d KdJc9d8s8d AcTc9s8c3d KcJhTc9d4c 
KsQh9c7s4c KsQsJs9d6h AhKc9s9h4d KsKcQh3h2d 
AsKc7d7c4h KsJc5h3s3c Qs8d6s6h5d AhQd7c6h2c 
KhJsTh9c4h AsKcQd9h5h KdQdTs6d4h KsTd8h7c4s 
AcKd9d7s7h Js7s6h5h4d KhQhJsJh2d AdKhQc4s4c 
Ah6d5d4h3d Js9h8s5h4c 8h7h7d6d5s QhJsJd8s5c 
QsTh7h5s3c QsJd9s4h3d Ad9s6d4h3s KhJsJd7d5c 
As8d7s4d2c JhJd9s6s3h 9d8c6c5h4h KdQhTd7d5c 
Jh9h9c8h5c AcKs7h5c3c TsTc6s6h3c AsKcTh6h4d 
As9s5d5c3c KsQcTh7d5c QsJc6h5h3c KcJsTd8h6h 
AhKcJd9c4c JsTc7s4d4c QcJsJh5d4d AdTd8s3c2s 
KcTc9d5s5d 9s7h7c6h5s QhQd9d7d5c As6c5s4d2d 
JhThTd5s4h KhTd9h4c2d JhTsTd5h4c JdJc8h8d6d 
AsQcTc5h4c KsJcTd7d2c AsKhQc6c4c Ad8c7s7h4d 
Ac7h5s4s2c AcKdQd8d6d AsQc7d7c4d As9h6s5h2c 
QhQcTd4s3c KsTc9c8d6h Th8h7d5s4d KcJd5c4s3s 
AhKhQh7s3c KcTs8h6c4d Ac9d8c6s4h 8c6s6h5s5h 
AsQsQd3s2h TsTc8s8d2d QcTd8d5c2h JsTc9h4h4c 
9h8h6d5c4d 8s6h6c5s5h AdQhJh7h6s 9h9c7h5c4c 
QhJs8s7h4h KsQc5h4h2s KcTh8h8c5c KdQhJdJc3d 
AsThTc9s4s QsTd8c6s5s Qs9d6d5s3h Tc9h8h5c4d 
Qh9s7d6d4h Ah8d7s7d6s KcQh6s6h4s QsJs9c8d3c 
AsKh7s5c2d AhQdQc9d3s AdJdTs6h2c QdTd9d8c3c 
Jc9s7c6s4d 8s8c6h4h4c QhJd9c6h2d KsTh8c7d4s 
AdJd8d8c6h QdQcJdTd6d As9c8d6c5d JsJc9d8d2s 
JdJc9s6h5d AcKh9s9c4d AcJd8d4c2c KcJcTh9s3c 
JcTs6d5s5d As9d5d3s3h Ac9d7c6h2h QsTd7c5c4d 
QhTs7d5d4s Td9h9d7c4c JdTd6h6c4h QsTd9c7d3c 
AhKsTd9d2c AdKsJs9s3h As8d7s4c2d JdTsTc8s5h 
TsTd8d8c2c KsQsTs5h4c AcJdTd5h3s 8d7h6d6c5c 
KcTh9h7s3s As9d8c6d5c KsJsTh9c3s AsQh9s6c3d 
QsTd7s6c3c 8c7s7d5c4d AsJd9s8s5s AdTd8d4s3s 
QsTd8c6s2d JsJc9d7d6h AdKcJh9s6h KdThTc9h6s 
KhJh8d7h4d Qd9s7d6s4h JhJdTh7h6h KhKcQd7s4s 
AhTc8s8d7s QdJc8s7s4d Th7s7h5s5d KsJdTh9d3c 
AdJsJc6h5s Th9s8c7s6s Qs9d8h6s4h KhKcTs4c2c 
JdTdTc3h2c Jh9h8d8c5c Ts9s8c7h4c AhJd5c4s4h 
KsKcQc9c4d KdTd8h6s3h QhJs6c5s2h AcJs7c5s2c 
JsTh8s8d2h Td9d9c3h3c AsQh9d5c3s KdJs7s5d2h 
KsQcJh4s3d AdQh7s7h4s QhQd8d8c4s KsQcJs8s2c 
JhTd9d7d2h AcQsQh5d2s JsJdTd9h5c JdTs6d5h3h 
AhKhQh6d4h KsQd9s7h6s QcJh6s5h2c JdJc8s8c6c 
AcKd8s6c4c 8s7s7c6c5d AcKh9s7d6d KcQs4s4c2d 
AsKcTs6s6d KdJsJc6h4d AhKc9d7c2d AdTd7c6d4s 
KdJs6h5s2d KsQsTh5s4d Kc8s8d6c4d Jd8d8c5c4h 
KcQdTs7h5d AhKsJc9c6d QcJd8h8c7s KcQh5c3h2d 
JdTsTh8h5c JhTs9h5c2c Jd8d8c5c4c KdTc9h5d2c 
QdQcJh7h2d JsJhTh9d4c Qh8s6h6c5s KsKc9c8d4c 
JsJcTd9d6d KhQc8c5d2h QsJhJc8h5d KhQh9d8s4d 
KcJsTsTh5d Ah7h7c6c2s KhTc8s7c6c KcQc9s7s4s 
AhQs8d7h4h QcTc9d6h4s QsJhTd6c4d AcKsQc9c3d 
KcJd9s8s7s KhQhTsTd5c TsTc9s8d4d AcTc4s4h3s 
Kc8d6h5d5c QhJc6h5c2s KcQsQc5c4c AcJc9d8s3c 
KhQc7h6s6d AcQd9s5h3c QhTc8h5c3d 9d9c6d5c4d 
KdQhTh8s2s AsKs9s9c6h Ac8h5c4h2h AcTc7c6s4d 
QhJd8d7h4h KsJsTc8d5s KdQsQd4c2h Ah7s7h6c2c 
QsJd7s7h4d AcKc5d4s4c AcKcTc6d3s KsQc9h7s3h 
KhQc8s5c4s As9h6c5s2c AsKhJc8d3h QcTs8d7s6s 
QsQc6h3c2s AsKsQs7h3d KcJsTd4s2d QsJhJc9h6d 
9h8h7s6s4c Jc6s6d5d5c QcTsTh5s2c KcQdJhJc3c 
KcQd4d4c2h ThTd8s8d2s QsJsJc5d3h KdJs8d5s5d 
JhThTc7s2c QsThTc6d6c JcTs8s5c2h KsQsTc6s4d 
QcJs5h4c2s Tc9s7c5h4h QhTs8d6h2s AdKc9c8s6c 
JsTs9d8s2d KcTd8h6s4c KhTsTd8s6c AsJhTh9c3h 
KsJs9d4d3c KhKc7c6s2d AcKh8d6s4h AcKd7d6h6d 
AcJs5s3c2d QhTh8c6d3d QsJdTc3d2c JcTc8s7h5d 
Jd9d7d6s5s ThTd8h6s3d AsQs7s5d4c QhJd8d6c3h 
TsTh9s7c4c KcQhJd8h3d TdTc9s5c3d KsKcJc6d2c 
JsTd6h5s3h TsTc9s7s3c TsTc9d5c3s AcJc9s4s2s 
AcQcJd8c4c ThTd8s8h2s KhQhTh5s4c Ks9h9d6s3d 
AsTc9s5h5d AsQhTdTc2h As8h5d3s3h AdKc9d3h2h 
KcTh8d6s4c KcQd5h4h4d QdTc8d7c2h AsKsQd4h2s 
QdQc7c6h4s AhKcQs4c2d 7h7c6s6h3s 8c7h7c6h4s 
Js8d6c5s4d AcJhTh9d3h AdTd9d8d8c AcQc9d4s2d 
AhQs8h5c3d KcTh9s6c4d Qd8c7h6c5h QsTc8h6s6d 
KdTh9h8h7h AsKd9c7h6h KhTs9h5s2d Ts8h7h5s4h 
KcTd8c5s3d AdQsTh6s2h QhJsTh8h6h KsKhJd8d4d 
Ad8h6d4c3h Ah8h7h5d4s AhTh7d6h4s JsTs9d4s3d 
AsKh9s9d4c AdJc7d7c2c AhJcTs8d3c Jc9s9c8s5c 
JhJdTh9c4s AcTc8s3d2s Ac8s7s7h6h QdTs6s6h3d 
Qc9d8s6c4s AcTc6h4h2s AhKh6s3d2s QhQcTc8s3d 
JcTd8h6c5s KcJhTd9h3s Ad8c6c4c3d AdKd9c6s6h 
Kd8h8c6d4h KsJh9h6s3s Ad8d7s5s3d JhJcTh9d2s 
QsQhTs8d3c AhQcTs9s3s JsJhTs9d4c TsTh6h6c3s 
Kh9s8c7h4c KdTc8c7c3d Ts7c6h5c4h AcJs7d6s6d 
KhJc9d8d7d AcKs6d5s4s KsKh9h2d2c AhKs8d6c3h 
AhKc7c5s3d KhQd9h7c6h JcTc8h6d3h AsKs3h3c2c 
QsQh9h7h6h AcQh6c3h3c Ts9d8c6s4c KdJc8s5s5d 
KhQcJsJd2d AdQsQh6s4s JcTc7s6s3h QcTd7c6s3s 
Kd9d8h7h4c KsQhTs3s2h Qc8d8c5h5d KhJh8d5d4h 
QsJh9s4d3h AsKc8h7d6d QdQc9d7d5s AdQc9s8c2s 
Td9d8c6c4c AdJh6d4h4d AcKc8s6c3s Td8d7s5c4s 
QsTs8h6c3c Qd9c8s6c4d Kc9s6c5s5d KhTc9c8d6s 
JdTs6h5d3h QcTd9h7d4h KdQdJdJc2s AsQcTd6c2d 
As6d5s4d2h QdJd8s5c3s AdQhJs8h4h JdJcTc9c6h 
AcKdJs7c3c AsJhJd8s3s Ad9c8c5d3d AdJs7d4s2s 
AsJcTh6d2s QcTd7d5c3h KdTc8s6h4d AcTs9h7s5d 
Kc9s9h6h5s AdQhJc7c6c QsJs9c8s8d KsQhQd7d4c 
AhTs9s8d8c Ac6s6h5c2h JsJh8c5c3h JdTsTd3h2s 
JcTs9h7c2s KcQd5s3s3c QsTh8d6s3d QhJd7d6c3h 
QhTc5c4d3h Qh9s8c5c4h Ac8s7h7d4c KcTc9c6d3d 
ThTd9s4s4d Ad8h5d4h2h AdQsQd3d2c AhQh9h9c6s 
QsJc9s6c3s KsJdTc8h6h QdJs6c5s2d AdTh8c3d2c 
AdTh5d4s2s AsQs7h6c3d AcJdTh9h5h JsTs8c7d4h 
JsTs8h7c4d AdKh7s7h4c QhJs6c5c3s Td8s8d4s4c 
9c7s6c5s3h AcKsTh4d3s 9s9d8s8d2d As9d6c5s2c 
JdTd6s6h4s KcQc7h6s5c QcTs8c6c2s AhKh8c6s3d 
KdJhJd7s4c JcThTd5c4s AcQsQh9s3d ThTc6d4h4d 
AdQcJh9c3s Ac6h5s4c2s KsJs7h4h3d AhKsJd7h3h 
JsJc8c7d3s TdTc9c5d4c KsQhJh9d5c QsTh7h7c5c 
JdJcTd9s5h Ah8h7c5s4h JsJd8d8c6d AsQsTs9d4s 
Jc9h8s5h4c KdTs8d5h3s QsTh5h4s3c KdTc8h7c6c 
As9s6h4h4c Ac8h7d3d3c AhTh7d7c5h KsQd8h6d4h 
QsTc9h8h3c AdQsQc6d3d AhJdTd7s7d Ah9h5s5c3s 
AcQs8h3c2s AhQd6c4s4h KcJhTc2h2c QhThTd5d2s 
Jh8d6h5d4c 7s7c6h6c3h QsQhJs9c2d Tc8c6d5s4d 
QdTsTc6s2d AsTc6h5s5d KhJsTd4s2d KhTh9h9d6s 
QsThTc6h6d KcQcJc8h4h Th8h6s5d4s Ac9h8c5h3c 
QsQd8d5h4c AdKdQd7h3s KcJsJc7d4h QhQdJd7d5c 
AdJdTh6c2s KsQc5d4d4c AhQdJs9d3c AdQd7d5h4s 
Ah6s5d4h2d JsJc8d7h5c KdJs7s5d2c KcQhJc8c2h 
AsQd3c2s2c AhQsJs8s5s QcJh8h8d4c AhKh6s5h2s 
Ks7h6s6c4h AcJdTh9s6s AsKh9h7h5h JdTd5c4d4c 
QdJh9d6h3d AdJs9h6c4d Ah8c5h5d3c AsJh9c6d4s 
JhTdTc5h4s Jc8d8c7s7h AdKdQd9h3c QsTsTd5d2c 
QsTh8h7s3c JsJcTs7h5s KcTc8d6h2d KhQd8h5d2s 
KdTh5c4c3d QhTc7s5s4c KsTs8c6h3c KsQd8c5d4c 
AdKh9h8s6h QhTd7h6c3c KcQsTs9h5d Ad6s5d4h2h 
QcTsTd5c2d Ah6s6c5h2s KhTd9c8s6d AhKsQc4d4c 
As9h9c5s5d QsJdTh5d3c KdQs4s4d2h AdKh8h6s5h 
Kc9d7d7c5c Qh9c8d5d4h AsQdJd3h2h Th9d8s7h6h 
KdJd5c4h3c 9s7d6d5s3c AdJcTs8c3h KcTs7h7c3h 
Js8d6d5s4c AhQs6d4h4c KsKc9c2h2d KcQdTd9s5h 
AsQdJc6d4h KsQs9c8d4c Qd9h6d5c3h QsQcJs7h4d 
KdQhTh9c5s As8s5c4c2d AsKc8s5h2d AsJs9s8s8c 
AdQc9s7c5h Ah8h6c5c2c TsTd8d6h3s KhQhJh8d7h 
JhTd7h5s3s AdKhJs3h3c Kd8d7h6s5c QhJhJc9h6d 
QdTs5s4d3c 7h7d6h6c3c KsJh9s8d5c AhTs9h5d5c 
KcTd9h7h3d JhTs7h4s3d AdKc5h5c2h Ts9c8s7d4c 
AcQdJd7d6h Qd8h7s6s5h Kc9d6c5s5d AhJs7s6d4d 
KcQcJd8h3h KhKd9h8h3s AhKhQh6s4h AdKdTd6s3c 
AcQsThTd2s KhTh9h9d6c Qh9s9h5s4c 9s9h6s5h4s 
AsQcTh6c5c KdQs9h7d6d KsJsTh3s3h AcQd9s7d5h 
AsJd4h2s2d AdJsTh9c6c Td9s8d6s4s AdQsTc7c5c 
QdTc9d5s2c AdQh3s2s2d QsQd9s7s6s As8s8c7s6h 
AdJd8s5h5d Jc8h6d5c4h AcJhJc2d2c KdJsTc6h5s 
KcQd5h4h2c QhJsJc8s5d TdTc9h5h3d TsTd6h4s4h 
AhQd3s2s2h As9c8s8d5s AdKdQd7h3c KhQc9d7h3d 
Qd9h9d5c4h KcQc9h8s4h KcJhTs7s2h AdKs8h7c6c 
KdKc9c8h4c AcKcQc6c4h KhQh9c8c4s AsQsJs6d2d 
Ks9s9c6d4d AcKs9h7s2h Jc9h7s5c4h JdTs8s6h2d 
Ac7d4h4c3d Qs9s9d5c4d 9d9c8d8c2c Qh9d7h6d4c 
AsTd9d5h4h KhJsTc4s2c As7d5s5c2c QcJc8s8d4d 
ThTd9s7d3s KsQc5s3c2h KdQhJd7d6s Ac9d8c5d3c 
Tc7h6s5h4c QsJc9c8d8c AdKd9h9d5s Ah8d7c3h3c 
AdTd9h7s3d AhJsTsTc6s AcJs7s6d4d AcQd8s7c4c 
KcQh8c7s2h QhJs8s5d2h AsJc4h2s2c KhKcQs3s2d 
KhTc9d9c5d AcKdQh4d2s AcJc8d5s5c KcQcTs6d4c 
AsQhQd5c2h QsTc9d7d6d AdTd8c6s6d JhJdTh5s4h 
QhQdTh8s2c JdTc7d6s5h KcQcThTd5s Tc7s6h5s4c 
AhTh7s7h5d Kd8d7d6c4c KdQd9s8s4h Ah8s7h4c2s 
Kc8d8c6h4h AhKcJc8c5c KsTc8d7c6c TdTc8d8c3d 
KcQc9h8h4d JdTc8h6d3c QhJcTc6c2h KsKd8h6c4c 
AdTs9d6c5d AhKdTh6h3s AsKs7s5d3h KdQhJh9c5s 
KhTd9c5d2h AcKs9s8h6s KhKd4d2d2c KhQs7d5h4c 
QsTd9h8h3d JcTd6h5c3d AcJdTh8s3d QhJc6s5s3c 
KhQs9d7h6h AdKd3h3c2c KsTd8d7d3s Ts8s8h5h4c 
AdJs5h2s2d QcJhTd3h2d Kd8c7d6h5s Td7d7c5s5c 
TsTd8c6s6h 9h8h7d6d4c KdJhTs9h3c KdJs9s5h4h 
AdKd8h6c3s QsQdTs8h2c As9h7d6h2s Jc8s8c5d4d 
Ac9d8h4d3c AcQdQc4c3c KsJs8d5d4s AdKcJs8c4c 
Qd9h7d6h4s QdJh9h8s8h Jh8d7h6s6d JdTd8c7h5s 
AhKs9s7d7c Ah6d6c5h2c JsJc9c8d5h KcJd6h6d5h 
AsKd7s5h3s Kc9h6c5h5d QhQd8d5c4s Td9s8d7d6c 
QsJcTh5c3d JsTc9c7d7c KsTh9h2s2d AsKsQs5s3d 
KdThTd9c4s AdQs9c7h5s As7s6c5h3d KdQd9s8s4c 
ThTd9h8c4c Td8d6s5c4s QsTs7h5h3c JcTsTc7c3s 
KsQdQc8d5h Ac9s6c5s2h AsTd9h7c6h Jd9d8s6s6c 
As7d6s5h2d KsTd5c4c3s QsJh5h5c3s KsTs7c4d3c 
AsKdJd9d3h AcJs5d4h4c AhKcJd3s3c 9c8c7h6h4s 
AhTh7s7h5c Kd9h9d8h5h KhQsQc7c4d QdTh7d6h3h 
AhQcTs9d4s AsKc9d7d2c AcQsQh6h4h JsJh9d6d3h 
QhQd8h5c4s AsQcThTd2c KdJs9d8d4s 9c7c6s5s4s 
KcQsTc6h4c AsQdTh6s3s QcJs8s5h2c Ad9c7d6s2s 
JdTc7d4h4c QcTc8h6h3h QsJhTc3h2c JhJc7h7c3c 
QhQd8c5c2h AdKc7d5s2h KdQdJhJd2s QsJh9d6s3d 
QhTc7c5h3d Ac8s5h3s3c QsJd5h5d3s Kd8d8c6h4h 
Th9c8s7c6c KhTc8d6h4s KsTc9s5c2d JhTd9c7h2d 
KdJdTsTd2c QhJh5s4d3d KhQcJh8d6h Ad9s9d5s2s 
8d6h6c5h5c QsTd5d4c3s QdJc8c6h3d Kc9c8d7c6h 
Ah6s5h4d2s Ts9s6c5h4c JsJc6s6h3c KhQc8h7d6h 
JdTh7d6h3h Jh9d8s5d4h QhJsJh5c3d AcKh7h5s3d 
AsKs5d4s4c JdJc9h6s5c KcJc9h6h6c JhJc9d6s5h 
JsJd8s7c5h AhJsTdTc6c AdKdQd5d3h Td9d8h6h4h 
KcQcTd6h4c Kh9d6h5d5c 8s8h7s5h4s QsJsJd5c3h 
AcQd8s7d6d AsJcTh9h4h KdJsJh7d2s Th9d8d7d5h 
Ks9d8h7s4h KsJhTd9s5s QsQcTs2s2h Kc6d5d5c4s 
Qc7h6s5h4c ThTd9h6h3d KcQsJdJc3c AhJhTh9h2c 
KhQh6s5s3h Ac9s8d8c5c QhTs9d8s2d AdQc8s3c2d 
Jc8d8c5d4s Kh9d9c5h5d AcQc9h4h2d JdTs9c7h5d 
Ac8c7c5h4s Ac9d6d5c2s Kc9h8d7c4d KhJsTd8d6d 
JsTsTh5c4s QcJc6s6h4h JhTh8c4s3c AsTs9d7s3h 
AsTs8d6s6h QdJsTh6c4h Td7c6s5c4d QcJsJh9s6d 
AsTh9d7c6c Jh8s8h5c4c JsTs8h7d3h KcTc8d6s2d 
AsKdJh7h7c As6c5d4s2d KhTh8s6d3s AsJc9c8d3d 
AhJd9s9d4s Kd9d8h7d6c QhQdTd8s3c AdQsThTc2s 
AhKcTh6h3s QcJd6c5d3c JsTsTd7c2d Kd9s9c6c4d 
QcJc5h4s3s JsJc9s9h3d KdJc8d7s7h ThTc8d7c6c 
KcTd9s5c2d JcTs7h6s3c 9d9c7d5c4c KcQs6s6d4d 
AhJdTc8d2s Ah6d5h4d2d AsQc8d7c6c KcQs7d5c4h 
JsTd8h5s3h As8c7s4h2c QsJh7h6d4d QsJs8d5h3d 
AsQdTc9c3c KdQhJsJc2s QsQd8d8c4h AcQh8d3h2c 
KdJhJd6s6c AhJc9h8h5h Ac7s7c6s2d QhTc8c7h3s 
Ah7c5h5c2s Ad8h8d7d6c KsQsQh9d4c KsQsJh8d2d 
TsTh8c7h6h AhQhJh8s3c KsJh5c3s3h 9s7s6h5h4h 
KcTs8d6d2c 9s9c7d5s4d KdJhTs8h6h QsJs8d8c4d 
Qs8s8d7d6s Jc7c6d5d4s JhJc7h7c3h Jc9h7s7c5h 
KdTs8h6h2d KsKcTc4c2d Jc8s8c5s4h AhKh7h5d2d 
AhKc8h5d2s AhKsTs4d3c Ac9s7c6h2h 9s9h6h5s4h 
KhQh9h8c7d AcTc7c4h3h KhQsQdTc4c AcQsQh6c3c 
QsQc9c7c5h QcJc6h6d4d QsQc7d5h4s KsKh4s2s2c 
AdTs9s9h8s Th9d6h5d4c AhKsJh6c2d KhTc8s6s2h 
AcKd9s9d7d Ah9s7c6s2h KcTc9h8c4h JcTs8h5s2c 
AhQd9d5c3c AhTc7h6s4h ThTc9d5h5d JsTc9c6s2d 
KhJs9s9h3s AhJs9s7d3d AhJdJc6d5s TsTh9s7s3h 
9h9d7h5d4d QcJcTd6c4h QhJhTs6d3c AhQhTc6h6d 
QsThTd6d6c 8s8c6h4s4h QhTsTd7d6d Jd9h7c5h4d 
KsQhTh6d5h JdTh8h4s3d Jc9c8s8d5d TdTc9h9d4s 
Ac9h8s8c5c Ac9c6c5d4d AsJc9c7h3h AsQsJc7s6s 
AdJdTd7h7d KhJh5c4d3c QhTdTc5h2d KhTd7h4d4c 
KhJd5c3h3d QsQcJd7h6h QcJc9d8s3d AdQdTc4d3s 
KdQdTc6d4s Kh6s5d4s3h JsJhTs9s6d AhQdTc9s4c 
KsTd8s8d5s Jd8s7d6s6c AcJhJd6s5h AcTh5c4d2d 
KdQh9c7d6d KsQc5s3c2d QdTs8s8c2d QdJdJc5h3s 
QhQcJh7c2c AhKc6s6d5c Kh9s9d7h6c AhKs9s9c7s 
QhQdJd8d5c AhQdJs7h3h KhQc7d5h4s QcJd9s4s3c 
AsKc7s3c2c QsTd5d4h3s AdQhTh7h4s QsQh8s3s3h 
AsQhJd6c4h JhTs9s6h2c Ad9d8h3h3c 9h8d7s7h6d 
KhTs8c7s6s QsQcJs9d2h Kc8d8c7s7c AsKd8h8c5d 
AsQsJs8c3d KsTd8d7s3d AhTc6s5h5d KdQs5h4s3h 
KhQh9s9c8h Qd8h8d7c5c KdJdTh9s3d QsJh9h7s4h 
QcThTd7d6d KcTdTc9s4h JhJd8d7h3c AsQh9s9c4d 
JcTh7d4h3c As6d6c5s2d Ac7d7c6s2s QhTs8d7h2s 
AdKd7c5d3h QdJh8h6s3d Qs8c7d6c5d Qh8c7s6h4s 
AsKs5d4s4h AdTd9c7s3d KhJcTs7s2c QdJc5c4h2d 
QcTh9s5h3s QsJh7s7h4d KhQd5c4c2h KsJhTd4h2d 
Jc9c8s8h5s Qs9d7s6d4h KsJh7d5s4c AhJsJh8h6h 
9s9c8s7c5s KdJs6s6h5h As9c6s4d4c 7c6h6c5h4d 
AdTd4h4c3h AsKhTc4d3h 8d7h7c5d4c QdTc8s7c6c 
QcTd8h6c2d JdTsTd5d2s AhQdJc6d4s AcQh8c5s4c 
ThTd8h7c6h QsQc6d3s2c KcQsQh7h4d KdTd9s9d3s 
AcKs8h7d6d AdQhQc6h4h AsJsTh9s6s AhKs9d7c6c 
AcQdJs6d4h AsJc7c6h4h AcQcTs6h6c Qc8s8h7s5c 
QhJc5h4h4c Th9h9d3s3d AhThTd5s4h AdKsQs5s5c 
KhJh5d4s3s Jc9d8s8d6s JsJd9s9c3h KsQh8c6d5s 
Ad8h7h6h2d Qd9h8c6h4d KhQs8h5s2d QcTd8c6c2d 
QcTs5s4h3c KsQsTs5d4h Ah8s5h4s2s KdQcTs7h5c 
As9c7s6d2d 9c7d6c5s4d AcJs9h6d4c AcQdQc3c2h 
QsJs8h5h3c AsTc9c5d4d AsKcQs4s2d KdJdTsTd2h 
9s9c7c5s3h AcJh9h8s3s JsJh9h8c2c KsJsTc9h3s 
AdKdQc4s2d JdTh8s6d3h AdKdTsTd2d AsJhTh4d2d 
ThTc8s8c6c KsQcThTd4s Ad9s9h8d7d KdQsQc7c4h 
Ac6s6d5s5d QdJhTs4c3d KdJcTsTd3d JsTh8h5s2c 
