9c8c7d5c2d 
Ts8c6h3s3h QcJcTd6s2c Qh7c6h5c2d KdJs9h5s3s 
Ah9s7c5s5d 8h7s5c4s2c JhTh9c4s4h KsTh6c5h3d 
QsQhJs3s2s KdQs9h8c5c Kc9s8s3d3c AcKs9d3c2h 
JcTh8h6d3s 7c6d4s4d3c KsJcTc7c2d JcTd9s5h2s 
AdQhQdQc2h Jd7s6d5c4d AdJd5d4c2h JdTs8h4d2c 
AcJd4c2s2h Js9d6h5c3s KcQh8s6d4d 9d8d6c5s3h 
AsTc9c3h2h QsQc8d6s2s Kc9h7c6c3d Td9d8d6s3c 
Td9d9c7h4d AcJs6s6d3d Kc9c7s5c2s KhTs9d8c4d 
Ks9h8h3s3d KhTs7h4h4c Qs9c7s4d4c AhQd7d5s3d 
KhTs8c5s4s AdQd9d6d6c 8h7h7c4c3c 9s8h7d4d3s 
AsQd9c7h4h 7h7c5d4d3s Jh6c5d4d3c AcKs8h7h2d 
AhKc9s8d3s QsTc5h4d4c Qc9d8h3h3c QdTh8c3d2c 
Jd9c5s4c2d Qh6d5h4d2h AdKc4h4d2d Js9d7c6h4s 
Td8d7c4c3d KhJhTh6c2s JdJc7d6h3s KdJdTd8d2s 
7d6s5c4h3h Js6s5h4s4h KdTc9s8h3c AhKd6s6d2c 
KcJh9s8d4h Kd9h8h3s3d Jd9s5s2d2c 6h6d5d4h2d 
JcTd6d3c2s KcQh5d4s2h 6c5s4c3s2d KsQd8h6c4c 
AhQs9s6c3d KsJc9h6s3s Qd8s8h6c5c 8d7c6s5h3h 
QsJs5s5c2c KsQdJd8c2h AsQc7s5s2d QsTs8s6c2h 
KhQdTd5d5c QcTc8d4h3s AdJsJd6d3d Ah9d8d6s2s 
As7c6h4s2d TsTh3c2s2h Qs8h7d5s2d QcTh7s6d3h 
As7c6h5d4c KsQsTh2s2c KdQs7h2s2d 8d7s7c6d5d 
QdJc5h4d2s QdTs9c7h3h Jd9c7h4h3c AdTc8h5c3s 
AdTs9s6s6h As7d4s3h3c Ac8s8h5d4s AhTd8d7d2s 
8h7d6h5h5c Qd8c6h4h2d Jh9s9h3s2d AsQdTc6d2d 
Ac9d8d7d4h As8c7h7c2h AdTd8d6d4d Kc8s6s4c2s 
AsQd9h7c4c AcKc8c4s2d Kd8h7h7d2d Qd6s6d5c2c 
QcJs9c8h2c QdTc9c5h3c Jd8h5s5h3d Th8h5s5c3c 
KdJh6c3d2c Tc8s7s7c3c Kh7d5s4s4d AsQsQdQc2c 
JcTc6s4c2s KdQh8s6c4c 9s9d8s6c4s 8h7s7d5d4d 
AcQs9h5h3d Qd6d6c5h2h JdJc9h7s3h AsKd7c3h2s 
Js9s9c3d2c Ah8h6s5h2d Jh9d8s4h2d Ah8c7s7c2s 
As8d6h5s2s AhQh9h6h6c Kc9h6c5d3c KdJc8h4c3h 
Kc8c5c4s3s JcTd8s7h3h KcQd6h4c2s KdQs7s2d2c 
KsQcTh5h2d 8c7s6d5h3s KsTc6h5d3c 9d7c6h5s5d 
KdJs5c4d2h 9c7d6s6h5d JdTh7c4h3s Kc9s5s3h2c 
9c8d7c2s2d Jd9h6h5d2d Kc8h7s5c3d Tc8s7c4s2h 
KhTc6s6d4s KsKdKcQs8d Qc7h5h5c3h Ah9h7h5h4c 
KsTh5d4h2d QdJh5c4h3h JsTh3s3h2h AdQh7s7c4c 
JdTh4c3c2d As7c4s3c2c QhTd5h4s3h KcJc8d4d3c 
9d9c6c4c2d Qs9s9d4s3d 9h9c7d6c3c QhTh4d4c2c 
Qh7s5s5h3s KdJdTd6s2h Ac8c7c5h2s 9d7s7h2h2d 
Qc8d5h5c3d AcTs8d7s3s AcJd9d7d4d Jh8s7s7c6s 
AdJcTc3s2c KdJh5c4s4h Js8h7d7c5d QcTh6c4s4c 
JdTc7c4s4c QhTh8h7c4h 6s5c4s3d3c QsJc9s8d2s 
Td6h5s5h3d AhKc5c4c3c KdQsJs8h3c Jc9s6h5d5c 
Ac8c6s4d4c QsTh5h4d3c Ts8h7h5s2s KdQsTd4d3d 
AcJd9h5s3h JsTc5s5d3s Qc7d6s5d2c Qd9d5c4s2c 
Th9s6c5c4d 8s7h7c6s4d AhQdTc6c2s Tc9h7s5d4s 
JhJd5d5c3d AcQhTs6s2d JsTh7d3h2s AcTc9d6c3c 
Qs7s6s6c5h AcTsTd6h3d AdTd9h3d2s Kh8d7d5c3c 
KcQcJc8h2s KsTh5s4s3d QcJh4h3c2h 8h7c5s4c2s 
9s9h5c4h4d KdJhJd8d4d Ts8c5h4h2s KdJc8s8c3s 
AhQd9d5d3c AcTs8s5h3d JdTc9h6s2c Qd9h8h6s6c 
Ac8s6h5c2c 9h8d6h5h5c AdJc9c7c4c Jh8c6d5s4s 
QsQhJs7s3s KcTc7s3s2d KsJdJc8h4h JsTs5s4s4h 
Ah9s4s4h2s AhKd7d7c3d Jd8c6h6c3d AdQhTs6s2c 
Th6s6d5d3s AcTh9h6h5h 7d6h5s5h2s QcTs4h4c2h 
Jd8s7h7d3h 9c8c6s5h3d AdTs9s6c4s 8s8h4s4d2h 
AhKs4s3d2c Ad7s7h6c5h JcTs9s4s4h KcJd8h7s2c 
QdJs5h5c4h Ks9h7s4s4h Td8c6h4h2c AsKh8s4s2c 
KsJd7d3s2h Th9h6c4d2c QsTs6h4d3s KdJc6c3c2d 
Ad8d6c3s3h AdQh9s9h2c 7d6c5h4s3s Ac8s7d6h4h 
Kh8h7d5s3c As9s9d4s2d AcJhTs6h2d Jh9d8s2s2h 
Kd9s7s6h6c Jh8d7h6h5h KhJs9c7c3d Js9s9h3d2h 
Jh9c8d4h2d 7h6s4s4d3h JdTs7s4s4c Ks6c5s4d3s 
AcTd8d7h2d Ac8c6h5c2s Th9h6s6c2c 7h7d6h2s2d 
Jh9s7c6d4h AhQd4d3s2s Jh8c6s5d4d Ac9d8c4h4c 
Tc8s5h5c3h Jd6s6h5d5c QhQd8c6d2d ThTc3d2h2c 
AdQh9s5h3h QcTh9h5d3h Jh8c7s7h3s AhJc9d5s3d 
AsQsQdQc2d AcKc4c3s2d KsJd7h6h4h 6s6h5s3c2c 
KcTd9c8c4c QhTs7c6s2c Ks8s7s6c2c Ac6s6d5c3c 
Td8s8c7h5h Qs9d5s3s3d AsKd9c6h4c AcKd9c6s2c 
Td9s7s7h5s Kh9s8s4s3h Jc9c5d3d2s JhTs8s8c2d 
Ac9d5h5c4c Ts8h7c4c3h KcTc8d5h2s Js9h6s6h2c 
AsQs7s5h2d KsTh5c4d2s KhJd9c5d3d KhTs5d4s2d 
TsTd9s7h3s ThTc7d6d3s QsTh8d8c4c Jd9s6h6c5d 
7d7c6s5s3h KhJd5s4d4c Ks7h7c6h5d Qh8d6h4s2d 
KhTc7d6d3s As9h7d5h5c 8d7s7c4h4c Ac8h7d6s4h 
Th8c5d4d2h KdQcJd7s2h TsTh9h8c2h QcTh5d5c4c 
QcTd9s7h3h KcJs9d7s3h Kd7s5h4s4h AsQdTc7h2c 
Jc8s5d3d3c Kd7s6c4s3c Td9h4h3h3d AhKd9s6d2c 
9h8s6c3s3c 9s7h7c2s2c Ks7d5h4s3c AsTd8h7c2h 
Jc8c5s3s3h Tc8h8d7s5s As8s8c5s2d KdTs6h5s5c 
AdQc9s9c4c KcQc9d5s5h KdTsTc8s3h 9h8s7h6c4h 
AhQh4h3d3c KsJd8d5c4d AdTs9d3d2h KdTc6d4d3s 
9c8d6h3h3d JcTh7c3d2h Ad9h8h7h4c Qs9h9c7s2h 
TdTc7c5c4c Kc9h5h3d2c AhJc7s7d4d JdTs9c4s2h 
Kh9d7h5s4h Th9d8d3h2h AdTs7s5h2h JcTd8c7h3c 
AcKh8h5d2h KsJs9s8h3c Ac9s8h7s4d AdKs4s3s3h 
Qc9d7s7h6d Js7s7h4h3d Th7s6s6d5c AdKd8d4c2s 
QcJd5s5h4h As9d7h5d5c AdQc9h7s4s Js9d6s6d2c 
KcQs8h7c4c AhQs9d3s2d KcJs9s8d3h Ad8c4h3d2c 
Qd9c7d4h3h JcTc7s4d4c JcTh4d2h2d KcQc9c5d3s 
KcTc6c5s5c Kh9s9h8d5h Kc7c6s6h2h Kd9s9d8c5d 
Jd8c7h7d3h Qs7s7c5h4d Kc9c7c5h3d 7c5h5d4s4c 
KsJd6d5d5c AsTs5c3h2d Qs9h9d7d5d Ts8h7h4h3s 
AcJs5h5d4s Qs9c7s4d3d TsTc7h6d3c QsJc9h5s2d 
QcTc5s5d4c QcTd4c3h2d As8s7s7c2h KcJd5h4c2s 
9c7d7c4s3s QsQd4s2s2c AsKd9h8c3c Tc8s8d5h4c 
QsJd9h8c2d Kh9h8d6c2s AcJhJdJc8d QhQd6h5s2h 
JcTc8d3d2d 8s7d6s6h2d KhTh7s3c2s 8h7d6h4h2d 
Td5s5c3s3c KsJh9d6d6c AhJh8c3s3h Ad8d7d7c2h 
Qh9c7d4h3d QsQd9h7c4h KsKdKc8s6d QhJc9h8h3s 
KsQs9h5d5c Jh9h9c3s2c Ts9s8s6d3h 7s6d5c4c3c 
KdJc7c3d2s AcKc7c4d2s Jd8h7s7h6h 9h7d6s5h5c 
KdTc9h3s2d KhTc8c5s4c JdJc9d6s2h 9h8c6d4h3c 
As8s4c3s3c AhQdTc7d2d 8s7d7c5c4c AcKc6c4d3c 
Th9h6d6c2c QhJd9d3c2c TsTd8d3c2s AdTh8h5s3c 
Kd9d9c7d4s KhTsTd8s3c 7h7c6c2h2d 9h9c8h6d4h 
Qh9h6s5d5c KcTh9s8d3h QcTs5d5c4c Kd8c5s3s3d 
9d7s7h5h4c KhTsTc8s3d AdJc9s8h2s Ts8c6s6h2c 
QdQc7s5h3h TdTc9d8d4h JcTs7c3s2d KdTc5h4c2h 
6c5d4c3d2h KhQd8s3d2h 9c6s6d5c2d Jh9c6d5s3h 
Jh9s8c4h2c AdJhTs6h2c 8h8d4s4h2d AsQd9c4s3s 
Ac7h5c2h2c QsTc9c7c4c JsTh5d4s2c 8s8d7c4s2d 
AsJc8c5d2h KhTs7h6d2c Ad6d5h3s2c KsJc5h4s2d 
AhQh7h5c2s JsJc5s3s3d QsTh9d6c2h QcTsTh6d3d 
KcTs9h5d4d QhJcTd6s2d Jh8h8d7d3h AhKdJs6c2s 
Ks7s7d6h4s Qs6s6h5c2c Ts8h6s6d2h AsKc9h6h4d 
Js9h7c6d4h QhTs9s4d3s KhJs8d8c4h AdTh8h5h3s 
Ac8d7s7d2s JdTs8h4d3c 9s8d6s5s5h KhTh9s9h5h 
AsKd9c8h3h Jc8s7s7d5h QsTc8s8d2h QhQc4c2d2c 
QcJh9c8c2d AcTh8h7h2s JdTc7h3c2d AcKd9s4h4d 
JcTh9s4h2d QhQc6h5d2h KsTs5h4s4d KcJh3h3c2h 
KcJc5d4c3h AcTs9s6h4s Ac8s8h6d5d Ad7d4s3h3c 
Tc9d6h5s4h KhJd8d5c4d Js8h6d5c4h Qs8s7s5c4h 
KcQd5d4d3s JdTc8s4d3h Qd7h6d5h2c Kh9h7h5d3s 
AcKs4h3d2s 9h9c5s4d4c KsQdJs5s2s KcQs6s5s3s 
AcQsQdQc2s Ac9c7s4c2s AhQh7h5d2s JdTc7c4h4c 
Jc8c5h3s3h KdTd7h3h2s KdJc9s6d3d KsTc8h5d4d 
Qh8s6s5c2c Js9s8d4h2d KhQhJh3s3d 9h8c5h4c3d 
QcTc5c4d3s Ad9s8s7s4h KhJc9s5c3c JdJc6s4s2d 
Tc9d7h7d5d Qs8d5d4d2s Qh9h7s5c2c Th9d7s5h3c 
Ac7c4h4d3s AdTh7h5c2c Jd8s8d4s2c AcJs4c2h2d 
Tc9s9c3c2s Ac9h7d5s4h As8s6d5s2h JdJc8c5c3s 
JdTd8s3s2s Ts9c6d5s3h Ac8c7h7c2s 7d5c4h4d3c 
KcJc9c6h3d AsQd9h9d2c QhTc9s7s4s KcJd9h8s4d 
Th9h7h6s4h Kc8s7c6h3d Qc9c5d4h2d Kh8d6c5s3h 
Jh9h6c5s3d QhJs5d5c4d 9s8c7h5h4d QsJd6h5c3c 
QcTh9d6s2h KdTc7s6c3c Ad8s6c5d2d Js7d6h5c4d 
ThTc9h7d3h 9d9c7s6s4s KhJd6d5c3s Qd9c8s7c2s 
KsTd8d5h4d AhJs4h2d2c TdTc9h2s2h As8s7s7c2d 
Ts9h8d7h4h AcJs9s6h4d 9d8s6h4d3h Tc9s4c3s3d 
Js9c6c5s2s KcJd6d5h3s Tc7h7c4h3h QdTc6d4h4d 
Kh8d7d5c4s AdJs7h5h3c KsQhJs8s3c JsTh8h4c2d 
KdQhTh6c2h QdTh9s7h3h TsTc6d5d4d Kd8d5d4h3h 
Jh9h7h5s2s 9d8s7h4h3d TsTc5s4d2d KhJd9c4c2d 
KdTh6s2s2d AdTs7c6d2d KhTc6s6d4d Ad9d6d5h3s 
KdTs8h5s4s 9s9d6h6d2c Jc7h6d5s4h QhTs9d7c3c 
Qd9s7d4h3h Th9h6c4s2c 9c7d7c5d2c KhQcJc9c3c 
KhQsJh8h2d As5d3d2s2d JsJd5s5h3s Th9s6s6d5s 
JsJh9h6c2d 9c8s8c7c6c QhJs9h8h3d 8c5s5h4h4d 
JsTh8d6d3c QsTsTc3h2d KdQh8c6s4s KsKhKc8s6h 
TsTh5d4d2h 9s7d6s5h5c ThTd8s5s4s Kh9h8h6c4s 
KcTs9c8c4c Js9s9d8s6s KsQdTc4h3h QsTc8h8d4h 
Jh9h9d3d2s Jd8s7d5s2s 7c5d5c2d2c Qh8h7h5c4s 
9h6c5h4c2h QsTs9s9c3s AsQc7h5s2s KcJh6s3c2s 
QcTh8s8d4d KsTc7h6h3d AsJs4d2s2d QdJs9h9c4d 
Jd6d5d4c3c Jh9c6d4d4c KhQd5d4d3c Qs9h9c7s2c 
JdTc9h7s2h AsTh6d5h4c QcJd8d2d2c KhQs8d3s2h 
Th9s7s7d5s KhQd8c7d4s Ad8s7s7h4c QsTh7d6c3h 
Jc7s7c4s3d JsJd4h4c3s AdQc8c6s3h KsKdKcQc6s 
KcQh8d7h4s KhJc8c5s4c Qs9c7s4h3h QhJs5s5c4s 
AhJh5h5c4h AhJd9c6d4s Jc9s9c3h2s AdKs9d6c2d 
Th9h7c5s5d AhQs7d7c4d QsJd7s6d2s KcJs8d7h4d 
Ac6c5s3d2h Jh9c8s6s6d QcTd5c4s3c Kh7s7c6s3c 
KcQs8d7c4c KhJd8h7c3s KcJs9c7d2h 9c8h8c4s2h 
Kc8c5h4h2h Kc7d7c5c4s AsKc9s6s3s TsTc9s8h2s 
QcTh4c3s2h TdTc9h8s3s KhTs6c5s5d QdQc8c6c3c 
Jh7d6s5c4d JsTd8h8d3c QhJc8s5d2h AhTs6c2h2d 
Ac7d5c3s3c JdJc7c5c3s QcTdTc3s2h Ad5c4d3s3h 
Ts8c5s4s3c 9s7d6h6c5s Kc9s8s4s3c KhJdJc5s2c 
Tc9h8s4h2s QhJdTc6s2c Ts9d8c7d4d QcJc9s8d2c 
9s9c7h5h3d Tc8c7s7d5h As8d4h3s2d AhKc7s6s3d 
JhTd9s7c2s 9h8h5s5c2c QhJd5h4s2c 9d6h5h4d2s 
9s6h5h3s3h Jh8s8c6h2c Kh9h9d8c5h Th9h9c7s4h 
Ks7h6h4s2h Qh9s8c6h3d Th8h8c7h5d QdJhTs6d2d 
Ah8h7h5d2s KsQc7h4s2h KsQd8d7c2c AcQc9s7d2c 
AhKd8h2s2c KcTs6d5d4d QhJc9s8s2d Td8h5d4c2h 
KsJh8c4h3c KcQdJd2s2d Qs7s6s6d3d Tc9d8c5c4h 
Qs7s7c4h3c KsJs6h4h2s QdTs4d3s2d Qh8c6h6c3h 
Kh7d6h4c3s ThTd9s8c3c QcJc3h2h2d Ac8c6s4h4c 
QcJh9d8c2c Kc7h7c5c4d AdTs8s7h2s 9s8s7d5s2d 
KhTd9s8s4s QhJd9s8s2c Th9c8h5h4d TsTh5h4c2c 
KdJc7s6s4s KdTh9h9c5h 8d7s7c6c5c Jc8h7d6s4s 
Tc7h6h5c2s KhQsJs2d2c Tc8s7c4s2d Td9c8h4c2h 
KsQc7c2s2h 9s7h7d5s2d Qh9d8d6s6c Kh8s6h4s2s 
AdKc4c3h2s KhTs7s5s4s KsJs9s5s4c Ts9c8s5s4d 
QdTh4d2s2h 9h6s5h4s2h KhQh9h5s3d KsJc7s2d2c 
AhJd7c5c3s QcTs8h3c2h AhKd9s6c4s Th7h7c3h3c 
9d8h6s4d3h 7d5s4h4d3s Ah8h6d4s4h QhTs5s4c3d 
KsJd8d8c3c As7h7d6c2s Ts8s8h4h2s QhQc7d5s3s 
Kd9s5s3h2d QsJh5h5d4h Js8h8c7c2h Ad9s8s6h2h 
JcTs5s3d2d QhJd9c8h2h Qd9d6h4h4d QsTs5h5c4s 
TdTc9d8h2d AhTh8h6h4h KdTsTd8c3d KdJh7d4s4c 
Th7d6h5h4c QdJs9d8h2d AhKh7h4c2s 8s7h7c4h4d 
Qd8d7c5s2c AhKc9s6s4d KsTs8h7s3c KcTs6h5s3d 
Ks8s7h4s4h JcTc6s5d3c Qc8d5h4h4d AhTd9d5d4c 
JsJc7s5s3h 7s6s5d4s2d TsTh9d2d2c KsJsJc8s4s 
Kd9c8c7c5h Jc9s8s2s2c Kc8h8c4h2s KdQd6h4s3d 
9h6d5d4h2c AcKc6c4s4c Ad8s8h5c4s Ac9c8d6h2c 
Qd7s5s5c4c AsTc9c8c2c JcTd7h4d3s Kc9s9c7c4h 
Jh6s5h4h3s QdTd6s4h4d KcJs8d7c3h Ah8s7c6d4s 
QsTh9h7h4h AcJhTh6h3h Ts9s8s6d3c Jc8s8c2s2h 
JsTs9d5h2s JsTd6s5s3c KdJd5c4s4d AcJdTd6d3d 
KcQh6s6d3c AcKd8s3h2c KsQcJs8s2d Js9h7c6d4s 
AdQc9c6h3s Jh8s8d7s2d AsKh7h7c3h Qd9h9c7h5h 
QhTh8d6c3h QdQc8c5h2c Jd8c5h3h3d 9s9h7c6s3s 
JsTs9c4s3s Ad6s5d4h3d Qd9s7h7c6s QcJs7s5s4s 
KdJh7h3d2s Tc8c5s5d3s Td8d7s7h5c QsQd9c7h4c 
KsTh6s4s3c KcQhJc6s2c AcTd9d3h2h AsTc6s3s2c 
KcQdTd6h2d KcJs8h4s3h AhQcTs7d2s AhTd8d7s2d 
QhJhTh8h2d AhJh4c3h2c Kc6s5h5c3d JdTs7c4s3h 
JdTsTh3s2c KsTh8h5c4h KsQd9d5c4d KhJd9c7c3s 
TsTd8h5h4h JsTc8d5h3h Jc8d7h7d5s Tc9s7s5d4s 
Qd9s7d4s4h Jc8s6d5h4h QsJsTs3s3d Th8d5s5h3s 
9h8s5c4h3s QdTdTc5d3d QsJh6d5c3c AdQs4c2s2c 
KdQdJd8c2s AsJc9h6d4c KcJc9c5c4h Tc8h8d7d4s 
Js8c7h7c6c AhKs7c3d2h AdQh8c4d3d KdQc8h3c2d 
AcKc4c3d2h KdQh9c8s2d KsKdKcQd8s Tc9d6s6d4h 
QcJc5h5c2h QhJd6c5s2h AhJc9c6s4d KsTd8h5c4h 
AdKs8c4h2s AcKc7d7c2h Ac9h9c4c2h AhJsTc6s2d 
9c8h6c5s3d KhJd7c6h3h KhJh9s4c3h QsTs7s6d3c 
QhTs9s5c3s KsQsJs6h2c Ks9s8d6s6c Jc9c7c5h2h 
QcTd4s4c2s KdTc5s4c2s Qc9h8h7s5h KhQdJh8h3c 
Td9d6s6h2s Jc8c7c6s4d Ac6c5s3h2d Ks7s6h6d2h 
Js9d8c4s2d Jh8h5d4s2s 7s6c5s5d2d Qs8h5c4h4c 
KhTs8h4d3c KcTd9s9d5d AcQh6c5c3c KsQs6d4c3s 
QsQh6c4c3d AsJh8c7d2h Td9h4d3s3h Ts8c7c4s2d 
QcTs6s5s5d AdJc8h5c3c KcTd7c4h4c KsJhJd8d3c 
Th9d8h4d2d Qc8d7d6h3h KcQc5h5d4c 9h9d8d7d5d 
9s9d6s6h2c Jh9h9d7s3c KhJc8s5c3d QsQc9d4h2c 
Qs8c5s5c3c JhTh9d5h2c ThTd7s6c3d KdQc9s5h2d 
9d9c7s5s4s QdTh5s5d4d 8c5s5c4s2h KcQh9s8d2c 
QdTh9h6h2c Ah7s7h5h3h KhJc8c5d4c KsKdKcQd6c 
Tc9s4s3s3c AdJd6d5h5d Ah9h7s4h2s As8c4h3s2c 
Td9d8d7d5s Kh6c5h2d2c Kc6s5c2s2h AhJd4h2s2c 
QdJdTc6s2d Tc6h6d5d3h JsTc8h6h3d KsKhKd8h6d 
KdTc6s6h4s KcQh8h6h5h QhTh6s6h2s QhThTd3c2s 
JsTh7c3h2s JcTs8d5h3d 6c5c4d3d2h Jh6s5c4c3s 
KcTc7h3h2s Td9c7s7c5c Qc7s5s5d4d KsJd7s6s3c 
Tc9c5s4c3s QhTh9h8h5h KsJhTh7h2d AdKdTd4d3d 
KdTd5h3h2h QhTd9d7d4d AsJs6s5s5h Qs5h4s4c3c 
Ac7s7c5c3c JcTs7d6d3h Qh9s6d4s4d AcTh8d7d2s 
9d8c7d6h4d Ks9d8d7h2h KcQs7d4c3h Jc8s5h3h3c 
KsTs8c5h2d Qd6h5h4s3s JhTc7d6d3s 9c6s6c4s3h 
Tc7d6d5c2s JhJd9s7c3s Js8d7h6c4c Qh8h8d6d2d 
Jh9s8c2h2c Td8h6s6d2h AdQcTs7c2c QcTd7c6c3h 
As8c6h5s2s KhQd5c4s2d QsQc9d3h3d QsQc8c6c3c 
Ks9h8h7h5c QdQcJs7h2c 9h8h5s4s3c Ah8s8h6h3d 
AdQd6c3c2d AdJh7s7c4c KcTd5d5c2c KhJsJc4d2s 
Qh8s5s4h2s AsKcQc3c2c Ks8h7c6c3h KsJd6h4h2d 
AsKh8h4c2d QsJhTc3h2h Th9d6c4d2h 9d8s8h5s4c 
AdJd4s4d3h AsQhTs7s2s Td8s7s4d2c Td9c4d4c3c 
KsJd7c6s3s AcQh9h5h3s AsQd6d4c2c 7s5c4s4d3c 
KhJsJc5d2s Kc8c7h4h4c AcTs9c3c2h AcKcTc6s2c 
KhQs9d8c2h JhTc8s8c3d AcTh7h5s2s AsQh7h5c3h 
8h7c5d4c2d 9d8c7d6s4d KcTc7d4h3c AhTc8c5s3d 
KhJc7h3c2d JdTsTc3s2h QhQc8s6c2c As9c4s4c2c 
QdJd7d7c6d AcQc5s5c2d 8d7h5h2s2d As8h7h7d2d 
Qh7h5d4d3h AsQh4d2h2d AsJdTc6d2h KhQd5s5c4c 
QdTd5d4c3s 9s7h6d5s5c Ks7h6c5h4h Td9d8h2h2d 
AcTh6s5h4d Jh9d9c8c5c ThTd6h5c3s QhJhJd6h3h 
KdTd9d9c4d QdTc5h4s4c QhTh8s7c2d AcJc8h5c3c 
Ts9h7s5s4d QcTsTc3d2h JcTs7d5h3d AsQs9s4h3c 
Ks8d7h6h3d QsJc8h5d2s ThTc7s5s2c Ah8s8c5d4s 
AcTc9s3c2h AdTs6c2h2d AhKc6d6c2s Ts9s5c3s3c 
QsJh8d8c4s Kc9h8h4c2s KdQs5c4h2s Jh9h9d3c2d 
8h7d7c5d4d AcQd4h2h2d Kc8s7h4h2c KhTh9h9d4h 
Kd6s5d4c3d QcTs7d4h3c AhKs9d8c3c KcQd6s6h3c 
AsJd7h7c4c KhQc8s3c2h QcThTd7h3h QdTd9d9c5d 
JsTs6h5d3s KhQc7c2s2h Th8h5c4s2c KsJs8h4h3s 
Qd8h6h4d2c KcJsTh6d2h 8c7h6c3h3c KhJd8s7c4s 
Ks9d7d6h6c AdKd8d4s2h Kh9h8d4s3s Kh9c8c3h3d 
JdJc8d5d3h JsTh8d4s3c QsJc9h9d4s AdJd8d5d4d 
Kc8h5c2s2h KdQh9s5c2d As8s8h6s3c Ac8c7s7c2h 
KcQhTh5s5h JsTh8s4d2c KdTc8d6d3h Ad8h6s5d2d 
QhTd6d5s5d Qs9c8c6h6d Jc9h6s4s4h KdJs7c6c4c 
QhTd9s7d3d QdTs5d4h4d 9d8s7s7d3d JdTh5s4c3s 
Jc8c5d4h2h Qc8h6h4c2d 5s4h4c3h3c KdJs8c6h3d 
AcQc9c6d6c Jc9h6s3s3c AsQhTc6c2d Jd9h6s4s4h 
AsTd9d6d5d Kc7h7d6h3d Js8d6h5c4c JsTc8h5d3d 
KdQs9h5s4s 7c6d5h4s3s 7c6d5c4d2c JcTd4h3h2c 
KdJsTh4s2s QsJh6h2s2d Ac8d7s6h4d KcJs7c2s2d 
9s8d7d6d4c Jh9d8h5c4h QsQh7c5d3d QdQc8d5h2d 
8d7h5c4h2c AdQs9h3s2h TdTc9d7s3d AdThTc6s3h 
AhJd5s5c4d KcQsJc8c3h KhQhTh7h4h Js9h8s6c4d 
