Kh9s9d8s4c 
JsJhJd9d9c Ad8s6h3s3h Jh7s5h4h3c Th5s5h4s3s 
Qh7h6h4s3d Js9h8d6d3d As8d6c3d3c KhTs8s6c2s 
8d6d4s3h2h 8h7h7d3c2d Kh8c7h4h2c Ks8c6h5h3d 
Kd9d8d5h2c Qh5s4s4h2s 8h5s4h3s2d Jh9c8c7d3c 
Jh9s7d7c4d 7h6c5c3d3c Qs8c5c2s2c KdQc8h8d2s 
Td7s5d4c3d AdQs7h6c2s AcJs9h4h3h KhJc9c4c3s 
KsTd8h8c2d Tc8s8d2h2d Jh8h6h5s5h Qh9c8s4c2s 
Jh7h5s5h2s Ts8s5h4c3d Jh9d5c4s3s Td8h4d2h2c 
8s7s5s4h2c AhJc4h3s2h AdJd5s3d2c TsTd5c4s2h 
Ts9h7c5h2d KcJd7s6s3s Qh7c5h4h2c AcKh7d3h2s 
Ac9d8s6d3d AdQh7c3h2c Jd8d6c4s4h QsQc7d5h2d 
KcJc9c4h3c Qd9d5s4d4c QhJs9h4h4d AdTc6h5s3h 
QhJd7h5c2s As8d7h6h3c JdTh6h4s2c KcTc7c5d2s 
Ad7s4c3h2d Jc7d6s4c2s Td8s7h6c2h Js9d8d7c3d 
KhJd8h6c2h Kh9s7h5c2h KdTd5s3c2h KhJd6c4s4c 
6c5s5h4h3d Ac9d7s7h3d Kc8c5s3s2s 9h5s4h3s3c 
Ac9s8s6d3h AdTh4d4c2d 9d8d7s6d2c Kc7h7c2h2d 
KdQh8h6c3h QdTc8h4c2c Td8s6d3s2h AcTsTd4h2d 
Tc9c7c4c3d QhQd7c6c2s 9s9h7c5h2d KcQh5s5d2h 
Qh5d4d3h2h Qs8h4h3s3d KdJc9h4h3s QcJs9c7d2c 
Jd6d4h4c3h Qc3d3c2s2d AsQh6d4d3c QcTd8h5h2h 
KdTs8c6h2h Ah8c5s4s4d AsTd5h4d3d Kd8d6h2h2d 
Qs6h5d5c4d As7h6s4c2s Kc9s8c5c2h KhTh3h3c2c 
9d7s7c4d2c QdJs6h5c2h Qh9h5s4h4d Td5d5c4c2h 
Js9s4d2d2c KdJh9d5d2d AdQd7s5d2d Ts9s9c7s2s 
AcTh7c3c2d Jd8s7h5s3s Jh7s6s5s4s Jd9h8c5s2s 
Jh9s9c8d2d Tc8h5c4s3d Kc9s6s5s5h 8c7c5d4s2h 
TsTc4h4c3c KhJs7s5c2d Jc7s6h6c2s Kh9h7d4c3h 
KdJc9d5d2d Js9h7c4h2c Kd7s6c4h3h Td9s4h3h2s 
AhQd5c4s2c Kd9h6d6c2s KcJd9c4c3c KhJd7c6c3c 
Ts8c6h3s2h QhTh8h4s3h 5s5c4h4d3s Qd9h7c4h2d 
JcTc7s3d3c QsJd7s5h2c KcQd6s5h2s QsTdTc3d2d 
Qh8s7d4s3d QhTd8h2s2c AcKdTsThTc KdQhTh7h2h 
Ac7s7c2h2c Jc9c7d3s2s JsTd8h2h2c KdJc8s5h3s 
Qc7h5c4c2h 9d8h7c4s4h 8s7c5s3s2c TdTc8h4d3d 
Th8d5h3d2s KcQh9c4s2d AhKh8d4h2h Qc7c5h4c2h 
Qs8c5h5c4d AdQc6s4h3h Ts8h8d6s2c Ks9d9c7h4h 
9h7h7c4h2c AcTc4s4c2h Qc8h5d3c2d Th8d8c6h2s 
AdKh6c4c2c KcTd8h7h3h Ts9h9c4h2d Qs9h4s3s3h 
AhTs5c4c3d 8s5c4c2s2h Ac7c4h2s2d AsQc9d4c3c 
AsTh7s3s2d KdJs8c5s3s Ac5h4d3d2h KdJc8c5s2c 
QcJc8d4h3c Jd9c4s4d2s 9h8h6h5h2c Qd9h8h8c3s 
9s8h8d5d2d Qc6h4s4h3s QdJd8c4d3h Qc9s8c5d2c 
JsJd5d4c2d QcTs8d4s2h 9s9d8c6h2h Ts7h6s6d3s 
Tc9d8c2h2c Ts6h5d3d2s Tc9c6h3s3c QhJd9h2h2c 
8d7s4s4d2h Kh7h7c4c2h 9s9h8c7d3c ThTd8c4d3d 
JsJh8d6d2d Qc7c5s4c2s Jh9d7h4s3h Qs9s6s5d2h 
Kd9s8d5d2h AhJd6h4h3h Tc5d5c4d2h 8d7c4d4c2s 
QsJc9d3h2s Jh7h5h5d2d 9s5d5c4d2c Kd7c6h4s3s 
Jh7s7c6h3d AcQs8h5h2h Jh9s5c4d3d KcJs9h5d2h 
Kd7h7d4h2d Kd6d5c4h2d KdQc8c5h2c As9h9d6h3c 
8h7h5s4c2d 7h6h6c3s2c QcTs8d4h2d Jh7s5s5d4c 
QdTd8d7d2c 9h8h4s4c3s JhTc5d2s2h Jh7h5c4s4h 
KdQdTs3d2d KhJc6d4s4d QhTc5h3s2d TsTc4s4d3s 
Tc9h3s3c2h Kd8s8h6c4c Td5s4d3s3c Ks9s7c6s2h 
Jd7h5s5d3c Jc7d6d4c2d AhTc5d4d3s Qs9d8h8d3c 
7c5s5h4h3d Td9h8s5h2h Jh8h7d4d2h Jc5h4s4h3s 
KcTc7c5s2d 7s6s6d3c2d Jd9d4s2s2h Ts8c6s4s3d 
AhQd6d6c3d Kh9s9d5s5c Qc6s6d5h4h 9d8s8c3h3d 
QcJs8h7c2c 9s6s6h3d2d Qs8s7s4h3h KsTc8c5h2d 
Ad9h8d6d2d KcJd9s5s2s 8h7c5h3d2c Qh8s6c5c3d 
Kd6h5s4s4c KhJd4c3s3d Qs7d4s4d3d KcQs6s4s3s 
As8s5h2s2d 9h6h5h4d3s AhQd7d5s2d QcTs8h4s2d 
AdJh9s4s3s Ad4h3d2h2d KdJc8d6d2h Tc6d4h4d3h 
Kc6d6c4c3h Jc9h8h6s2d AcKh6d4d2d AdTc7s3s3h 
QsTd8h4h3h 8d6c5h3s3d AsKd9s3s2c Ah9h4s4h2s 
QdJd8h4c3d AcKc9d3c2h KhJd8s6c3d Jd9d4h2h2c 
6h5h5d3d2h KsJd9h5h2h JsJc6d4h3h Qs7s5d4s2d 
8d7d5s5h3d 8d8c7s5s2h Js7d5s4h3s Js9c8s7s3s 
Kd8h6c4h2c Qc9s9h7h4h Ad9s9d7d2d Kh6d3h3d2s 
Js7c5s4d3s Qh6s5d4s3c Th9d5d4d4c Kh8d6s4d2s 
9s9h8c5c2c Td8d7s4h3c Th9c8h3h3d AhKd6s4s2s 
9s9c7s4s3h Tc8d5d3c2h Jd6c5s4c3h AhTs5c3s3d 
Qd5d4c3c2c Qh5d4d3d2h Jh8d5c4s4d Th6s5h5c4d 
9c8s4c3s3d Ts6h6d5s4s Jd9d7d6d3c 9h5c4h4c3h 
AsTh5d4h3h AcKd7s3h2d Js8s5c4s3h KsTh5d4c2h 
AcTsTh4d2s QcJd9c2h2c AdQd9d4s4d KsTd9d2h2c 
6c5d3h3c2d QsTc8d4h2d 7h6h4c3d2d Qd6c5s4h2d 
Tc8d6c4c3s Ts7d5h4h4c KhQs9d5s2s Qc8c7h7c5c 
QsJd4h3c2s QsTd8h5h2h 9d7d5s4d3d Ts8s8c7s2h 
QhTh8h5c2h As7c5d4h3d AhJd7s5d2d KdJh7c4s4c 
KsTc8s3h3d KhJd4s4d3c KsTs8s5s5h KcJh4c3s2d 
AdQs6s6h3s AhKs9h3d2h KdTd8c4d2s Ts9c5h4c3c 
KhTs8h4c2h JdJc9s7s2s KdQc9s9c2c 8c7c6d5c2c 
Qd9d7h7d4c Qs9s8d4s2d Td8d5s3s2c JsJh6d2s2c 
9s5h4s3h3d 9h8s8c6h3h 9c8h7d7c2s KsTs9s8s4s 
Kd7d6d5s2c 8c7c5c4s2h 9h6c5d4c3c Kc5d4h3c2s 
KdJd9d9c2d Th8s4s2h2c KsTc7d4d3d 8d7c5s3h3d 
Jc7h5c4d3c 8c6c5d5c4c JhTd6d5d2c Ks6h3s3h2d 
KdTs7s6h2c Qh9s9d8c2s KhQs9c6c2d QhQd5s3c2c 
8s7h5c4h2d Qc7s7h5h4d Ts8c6h4d2s Tc8s6h5c2c 
Kh9h8c5h4h AdQc8h8c3c Td9s5c4s3s QsJh6d4h2c 
Ad8h7c5s2h KcJs8h7d3s Jh8h6s5h3d QhJd8s6s2c 
KdJs6h4c3h Td9h8d2s2d Tc9c6s3h3c Qs9h8s5c2s 
Td9s6d5d2c 9s7h7d3h3c Td8s6d3s2c AdJh9c6c3c 
QsJc4h4d2s Ts7d6s6c3s Ac7s6h3d2c Td8c5c3d2h 
KsJs9s5s4s Js8s8h7d2c JcTc9d3c2c KsQh9c6h2h 
JsJh7h5h2c AsKc9s3d2s 8s5h4s4h3s Qc8c7h6s2d 
Td8c6s3d2s Kd8c7s7c4c KsQc8c5h2c QcTs5c3h2d 
KdQs9d3c2h Jd8h5s4c2d JsTs9d3s2s QdTs5d3c2h 
TsTc8c4c3h 8c7d5h4s2d JcTc7d5c2s 9d8s7h5d2d 
Th7d5h4d2h QcJd6s4d2h KcQh6s4s3s Qh9d7s4d2h 
Jd5s4h4d2h KhJc7d5c2s Qc7s5c4c2s 9h6h5c3s3h 
Js7s5h5c4s Qs9s7s5d3s 7h6s5s3s3c As8h8c7d3h 
TsTd6d4d3c Ts7d5s5h2d Js9s6d6c4s KcTc7c5h2s 
AhQd8d4s3d KdJh8c5h3h Ks7s5s5c3d Td9h3d3c2h 
9d8s7s3d2c Kh9d8c7c3s Jd8c7s5c3c Jc9c4s4h2s 
7d6h4s4h3c Qs7d7c6c4c Kc9c5h3s3d 8c7s7d3d2s 
AcTc7c4c3c Jd7d5c4h3d KsJc6d4h3d KdQs8d8c2h 
QhJh8c7h2s Qh6s6c5d4d Td7s7d6d3h Kd5h4c3d2s 
Jd5s5c4d2s Jh6h4s4c3s 9s5d4s4c3d Th9h7s3h3c 
7d6h6c3h2c KhTc5s4d2c AsTd6h5c3h 8s5s4h3h2c 
Qh9s9d8h4h AcQd6s6d3d QhJd5s4c2c Jh8h7c3h3c 
8c7h5c4c2d KdJc9h7h2s Qc6s4h3h2c 6d5h3d3c2h 
QdQc9d3h2d 9s8d7c4h4d Kd9c4c3d2s Td5s4d3s3h 
Jh9h4s4d2s Qh9s5d5c3h KhTh6s6h2c As5h4d3d2h 
Qc9s4c3s2h AcTd6d5s2h Th7c6d4d2c Qh8s5h4d3c 
Th8s8d4s3c KsTc8s4d2s 7s4h4c2h2c Qc8h5s5d4s 
Tc8d5s3c2d Jh7c6c5c3d 9c7d7c4h2h QdTs8c4h2c 
KcQh6h4s2h Jd7c6c5h5c Js9c5s4d3s 8s7s5d4c2h 
Td9h8c4h3s Js9s9h2s2c AdQc7h7c3c 8d5c4d4c3c 
KcTh8d7d3d 8h7s7h5h3h Ad8d5s2h2d Th9d8d2s2c 
Th9d3h3d2d 9s7s6c3h2h KcJs6h4d3d 9d7c5c4s4h 
Ad9h9c8s2s KsJs8h3s2h As9s8s6s4s QhJc7d4c3s 
Kh9h8s4h2s As9d8c6d3d AsJc8h6c3c AdQd4d3h3d 
Th6c5d3c2h 8h7d5c3s3h Kd8d7s3c2s 9h9c7s6s2d 
Kh6h6c4h3s Ts8s8d7s2h QsJh5c4d2c Kd9c8d7h2d 
7c6h6c3s2h KhJh9h4d2s AsJc9h6h3h Th8h7d4s3c 
KcJs9c5c2c Js6d5h4d3c AcQh5s3h2d Js9d6s6h4s 
AdTh5c2h2c JsTd4h4c3h 9s9d7c6h2d Qh9h7h5d3h 
Js9s6s5s5d TdTc9s4h2s 9h9d8c6s2s QsJh9d6c2d 
KdJh9c5c2c Jc9h6s3c2s KhQs6s4s3s 6d5c3h3d2c 
Qc8c5h3d2d Th7d6h6c3h QhJd6s3d3c Qs8s7s4c3c 
Qh9d9c7d3s KdJh8c6s3h JdTd7c3h3d Jh8s7h4s2h 
Jc7s6s5s3h Qc9c5s4d4c Jd8h5s4c3d Tc9c5c4d3c 
Ah8c6h5h3h Ts6c4h3h3c AdQd9d5d3d AcTh5d4h3h 
KdJc8h7s3c AhQc6d4s2c Jc5h4h3d2c QhJd9h4h4c 
Jc9c7s3h2h KhTh8h4c2s TsTc5d4h3h Ks9d8h5c4h 
JdTs6c3h3c Kh8h7d7c2s KdQs8s6c3s Ah7c5s4d3s 
KhJc4h3d2s Ks9d8s5s2c 8d7c6s6h3c TsTd5h4c3c 
Th7s5s4c3d AcQd9s7h2s AcKd7h3s2d AsQh7c3h2c 
Tc8d6s5c2c AdQd5d4d3d KsJc9s5s2s JdTh7d4d2c 
AhTc8h8d8c Ks5c3c2s2c 8h6d5s5d3c Qh9d4s3s2h 
Js9d8h7h3h Qc5h5d2h2d Kc8h5d4s2c AdQc5s4s2h 
Ah6s4c3s3c QcJs7h7c3d AsQd5c4c2h Th8h8d7h2c 
Jh9c7h4s3d Ah8s6h3h3c KsJd7d4h3d 7h6h5c4d2h 
Qs9s5h5c3d 5s5d4h4c3d Jd6d4c3h3c KdJs9s4s3h 
Th9s9d4d2d Jc6s4c3s3d Jc9s9c4c3h Ks4h3h3d2s 
9h8d8c5c2c TsTc8d7d2d Jd9c7d4s3d Td9d8d5s3d 
Kc9d7d5s3d 7c5s4h4c2s QdJc5s5h2d Js7c6c5h5c 
AcTc9h3c2c QhQc5d3s2s KcJs7s5h2d KsQh8h5h5d 
KcJh8c4c3d AsQd8c5c2c Ks6c5c3h2h KdJh8h5s2h 
Jc6h5s3h2c Jd9h8s8d2d AsTd5h3d2h QsJh5d4c2d 
AdJs9s4c2h Th9s6c5d2s QcTh6s5s2s Jc9h8d8c2c 
Qh8d5s3h2s Th9s9d5h2h QdJh6s4h2c JdTc6h3s3h 
AsQc6c5c2h JcTh6d3s3d Th8d4d3h3d AhTs6s5c2d 
QcJs8d5d2d Jc9h8h7s3h 9h7c6s5h2d Tc9d6d3h3d 
Kd9d8h5s2d AcThTd4s2h 6s6c4c3c2s Ah9d7c4s4d 
Js8s6s5s5h AhJd8s4d2c AhJd9d4c2s AcQs7s7d3s 
8c6h6d5s3c Kh9d5h3d2h KdJs6c4c3h KdQh8d8c2s 
JdTc6c5c2s Jd8s8c5s3s Th6h4s4c2s Ac5d4h3c2c 
Qc6h5s5d4d KhQs8c6h2h QhTh8c5h2h Ts7d5s4d2s 
9d8d4h3h3c AcTc4d4c2h Qs6h4h4c2s AsJh8d6h3h 
Jh8h5s4h3c Jd5s5c4d2c 6d5s3d3c2s Kd9h9c5h4s 
Ad9h9c8h2h AdJc6h5c2s Kh6h4d3d2h Ac7h5d4s3d 
QhJs9h4d2h 7s6s5s4d2c Ad8c5s4s4h QcJd9h6s2h 
AcTd6s5s3s QsJh9s4d2s AcJs6d5d3d KdQc8h7c3s 
Ad6s6c5h3c Td9c6s6c2h Ks9d8s7c2s Kh9s9d8d4c 
QhJs7s3h2s AdKd7c4d2d Tc7h5c4s4d Qs8c5d3s2d 
Th9d7h6s2h KcQc5h4c2c AhKc9s5d2d Qd3d3c2h2c 
As8d5h5d4d 9d5h4h3d3c 6h5d3s2h2d KsTd6h4h3h 
9c8s8h5s2s Td8d7h6c2d Qs7d6d5d3h KcTc8h4c2d 
JhJc7h5h2d JhJd6s4d2c AhQs8s8d3s Qd8h4h4d3h 
7s5d4h2h2d Qh9c8s8c3d AsJd9h6h3h 8h5c4c2h2c 
8h5d4h2h2d AdQc8s8c3c 8d5h4h2d2c Qd9s7s4d2s 
9s8d5c3d2c 9s9d5h2s2c Jh8d7s5h2c KsQd5c4h2c 
9d7c6d4d3s AcTs5h3s3d As4d3s2s2d Jd9s8d8c2d 
Th5d4h3d3c Kc6c4h3h2c 8c7d7c6c3h Td6c5h3h2d 
Tc9d9c4c2s AdKd8d4d2h Ac6h6d5s3d Ad8c7s7c3h 
Ts8s8h4c3s 8h6s6c5d2d 6h5s3d2h2d Ad9c6c5c4s 
8s7d5s4s2c 9d9c5h2s2d AhQd9s4s3c 6d5c3h2h2c 
Th7d5d4s3c Qd9s6s3d2d AdKcTsThTd Kc7d4c3d2h 
QhTc8d4s2d QhTd8s4d2d Jh9h6h5h5d 9h9d7d5c2d 
AsQc7h3c2h TsTh8h4h2d Jd9s9d4d3h Ah9c6s5s4s 
KsJc4s3h2d Jd9s9c7c2h Tc6d6c4d2c JsJh5d4d2c 
4s4h3s3h2d As9s8s6d2s Tc8d4d2s2c 9c5s5d4d2s 
Kh8d4h4d3d QhTh8h8c3h 8c5h5c3d3c JsJc5c4h2c 
JsJd6h4s2c 9h6s5d4d4c Qs5d4d3d2s AcQh8s8h3h 
9h9d4d3h2c KsTd9d4c2d JcTd6d5d2h 9h5c4s4c3h 
AdQc7c3s2s Ad9d5h2s2c Td6s5d4d3c Qc9h8d6s2h 
Jd8s7c5d2h JsJd9h7h2h JsTs5d3h2s Ac9h8d6s3d 
8c7h4h4c2d Ts7s5d4s3h Ks9h6s5s2c AsTh8d4c2c 
Ts5s5h4h2c 9h7h5h5d3c KdTd9d8d4d AdKh6s4s2s 
Jh6d5s2h2d Qc9d7d6s3d Jc7c5h5c2h Js6d5d2s2h 
KsQd6h5c2h KdQh8c6d2d QdJs7s4h4c KdTd7d5h2s 
8s5c4h3s2c Jh9s6s6d3c 9c5s4h4c3s KcTd6c3h2s 
KhQh7d2s2d KhQs9d8s2s 6s5h5c4h3d 7s5h5d4d3c 
Qd9c6s4c2s 8d6d5h5c3d Qh9s9h7d2c TsTd7c4h3c 
Ac7c6s6h2c 9h7h6d4d2d KhQh7s3s2h Qs8d5h5c4h 
AhKc8c4c3c Jd9s4h4d2h KhQc6s5d2s Tc9s3h3c2s 
9d8d7h4h2h JsJd7s6h2c Qc8h5s5d4d Qh6h5c4d2s 
Kc8s7s3h2c AhQh4h2d2c JdJc6s5h2h Ac9h8h6h4h 
Jh7c6s6h2c 8d7d5d4s2c Qs8s4d4c3c 9s6s5d4h4c 
Kc7c5d5c3h 8h7d7c4d3s 8c5h5c2s2d As6s6c4s2h 
KsQc9s7s2d AhJh6h4c2s 7d5h4d3h2d AdJs6d4d3d 
Ad9s7c4s4h Jh9d6s6h4h KcJs9d5h2d Jd7c6h6d4d 
Jh5d4d3c2h Kh5c3c2h2c Ac8s8h7d3h Qs9h8c6d2h 
8s7h5d3d2h KcQs7s4s4h Qs7s6d4s3h 9s9c8h7d3h 
Td6h6c4h2c KcJs8c4c3h Ks9c5s5d4s Qs8s7s7c5s 
Jc9s8d5h2h Tc9s8h5h2h Kc9c6s6d4c JdTh5c2s2d 
QdTc7s5h2d KhTc8c6s2c KcQd8d6s3d 8d5s4s4d3s 
7h6d4d3h2c 8s7s7d6s3h Kh8d6s6c4c QcJdTc7c2c 
As9h9d8h2h Qh7d5h4s4c AdQc9c6s2c KsKdKcJhTh 
9c6d5h5d3d QhJc6d3s3c Jc7s5c4c3d Qs7h7d5h4h 
7s6d5h4c2d Ts7d5s4h3s 9c7c6d4c3h Kd9d8c4d2c 
Jc5h4s4c2s Kd5s4c3d2h KsQh8c7h3d As7c6s4h2s 
AdTh6s5s3s Kc9s8c5c2d JdJc5d4h2d Ad8h7c6c3s 
Kd4h3s3h2d Ts9h9c6s2s Ks9s5s5c4d Js7s5h3h2d 
Qd9s8s8c4h Ks8s7c3d2c Ah7s6s4d2d AhQc5d3c2s 
KdQc5h3d2d KdJh9s5c2s Ts7d5d4c3h Kc8c6c5s2d 
8d7d5s4c2h JcTs8d2h2d AdQs8s8h3s 9s9h7d3d2s 
AsTh8h6h2h QcJd7h4d3s Kc9c7d6c2s Ad9s7s6s4s 
Td7s5s4d2d Jd9d7d7c3s 7c6s6h3h2s Td7s7h4d2s 
Qs5s4c3c2c Qc7d6d4c2d QdJs6c5h2c 7c6c5s5h3c 
Qd8s5s5c4h KhQd6d4c2d Th7d5h4s3h AdQs4s4h2c 
9d8h5d3d2h KsJd6d4h3d Td9s8d2h2d Qh5h4h4d2d 
QsTs6s5h2s KsJh6d4d4c Qc7s5s5h4d 9s9d3s3c2c 
AcQs5h4h2d AsJh9h6h4h Ah9h9c7h2h AdKdJd3d2d 
Ts6s6d4d2s Qd3s3d2s2h Qc9h7h4h2c KhJh7s3d3c 
KdQh9s5h2h QdJs7h7d3c 8h8c6c4s2c 9s9c8d6c2c 
Jd7h6c4d2h Td7h6s6d3d KsQs5d3s2c Jh7c5h5d4h 
Qh9h9c7s2d Kh9s7c5s3s QhTs7c5d2h Ad7h7c6d2d 
Qc9s8h5h3h Kc6s5h3s2h Ts7h5s4d3s 9h6c5s4c3c 
AdJc6h5h3h AhTd7h3h2s 9s9c8h5h2h QsQd8h3c2s 
Qd9d7h4h2s Ks9h6s6d2c QcJh8s6s2d QhJdTd7d2d 
TsTd4h4d3d 9c6c5d4s4h 9s9d5h5c2h Tc7h7c3s3d 
Kh9h7d6h2s Js7d5d4h2h KhQs5d4c2d 9h7s6h2s2h 
Qh9h5d4s4h Jh9c8d6c2s Th7h5c4h3d ThTd7c5s2d 
Kc7c4s3s2h Ad9c8c6h3s Ks8s8c3c2d KcQd6h5s2s 
Jd8h5c4s2d Kh8h8d3s2d KcQs9h5s2s Ks8s7d6c2s 
7h6h5h4s2d Ts9d8c4d3h AdQd9d4h4d Js7d6c4s2d 
AdJh5h4s2c Kd9d6s5h2d QdJd8h4d3s Qs9h8d4d2h 
Ah6s6c4h2h Qh9d8h7h3s AsKs4s3s2h Jd8d7c5d2h 
Qs8s8c5s3h Qs7s5d5c2d Qs9s9d7c2h KcTs4d2s2d 
9d8d6h3s3c AcTd9c3c2c Kd9c6c5s5c KhJd9s4s3c 
8s6s4d3h2d Qh7c5c4h2h Tc8d6c3d2s KsQs7d2d2c 
Qh9c4h3c2s 8s5c4s2s2c Td9h8s4h3c Ac9h7c4d2c 
AhTs9d5s2s 9d6s5c4s3s Th9s8d4s3c Qs9c7d6d3d 
Qc6d4h3h2c Ts9s7d3s3h Ts6c5d3c2s As9d8h7h2h 
9h9c7d3d2h Jc9h7d3c2d Ah7d6h4c2h 8c6d5s3s3h 
8d6d4s3c2s AcQcTc7c2c TsTc8c4c2h Ah9d8d6s3c 
QcJc8d4c3h KhTh5h4c3h 9c7s7d4d2c ThTd5s5c2d 
Qs9h7h6c3h Ad9s8h6s3c Js9s4h4c2h TsTd8h4h3c 
Qh8d6h5h2c AsKs4s3s2c Jh9h8s8h3d AcTd9s5d2d 
KsJh6d4c3d Th9d8s5s2s QdJc7d4d3s Qd5d4d4c2c 
Jd9h9c7h2s AsTs7s3h2c Js9h7s4c3d Js7c6s6h4s 
Ts8s7c4d3h QsJc8d7s2s Qh8c4h4c2s KcQd9s3h3c 
9s7c5s2s2c KdQs6c4c3c Qd6h5s4c2d QdJd8s4h3d 
KcJc8c3h2h QhTc9h7h2h TsTh8s6s2s Ks7c5d5c4c 
Qd8h6h3c2d Td9c6h6c2s AcQh9s7d2s Tc8c7h6d2c 
Ac7s6c4c3c QhTh7c6h2s Kh9h8d6s2h Tc9h9c7c2c 
Qd4h4c2h2c As9d8c6d3h Ts7s5d4s2d Jh9s9c4c3d 
Kd9d7c4s3d Qd8d5s3h2h QcTd6d3s3h Jc9h8d5s2s 
AdQc7s3c2s 9h8h7h6s2c Jc7s6c3s3c TsTd8h4c3h 
