Jc9s8c5d3c 
AhJs9s8s3s KhTsTc6c3c KsQh7h6h3c AdTs9c5h3c 
Jd8h6d6c2h 9h9d7h5h3h Tc9c6s6h5c Tc9h6d5d4d 
Kd9s8h6d2c 6c5d4h3d2c Kh8h6c3s3c JdTd9d4h2s 
KhQhTc3s3h Js8c5h4c2h Kd6s5d4d3h Ac9h7c4d3c 
QcJd9h8d2d KsTc8s7h2s QdTh5h4h4c Qs9d6c4s2c 
Qs9h9c6s4s KcTh8d4c2s KsTh7c3s2c AcJd9s5s3s 
9h8c6c5d5c Kh8s8d6d5c Tc8h7h2d2c Ah9s5d4h2c 
AcTh6h6d5h KsQs7s7h4c Jh8d7h5h4h 9h7h6h5h4c 
Ts9c7s7h3d Kh9h7s7d4c 8s6s6h5s4d Td8d7s3s3c 
QdTs9s7h2c QdJh7h7c4s QcTc8c5h5d KsJcTc3c2d 
AhJsJc3c2d KdTh9c5s3c Ks8h6h5d2d Ad6s5h3d2c 
JcTc7c5h3c JhTd8h5h2c Js9s9d6h3c JhThTc3h2s 
KhTh9h8s2h Jd9d6d6c5s 9d8c5d3d3c As7s6s5s3d 
Qc9h8h6h6d Qd8d6c5s5h 9s8h6c5s3d Qh9c6h4s2s 
8d7h6s6h4h As7d7c4s2h Td8c5s5d2c KhTh5s4h3d 
JdTh9h6h3h KcQc4c3d2d KsQc7h5s2d Kc9s5c3d2d 
Kc9h5c4h2h Td8s6h4s2h QcJd8c6h3s Jh7d6h5d2c 
9s8s6s5s4c Kc8h8d2d2c Th8h7s6d3c Ah8s3s3h2c 
Jh9s6s5d4c AdKsTc4h2h JcTd9d4h2d Ks9h7s5d3s 
KdTd5s4d3c Jh9s8c7h4h QcJs6c3s2c Ks9d7h7d5c 
KdQc9h8c4s ThTd8c7d3s Tc8d8c4s4c AsQdTd3d2c 
JhTc8s4c2d ThTc8d7h3s KhTh9s8h2h KsTs9s5d2c 
QsJd9h9d4d Jh9d8d6s6d Qh7c6h5s5d Jc6h6c5h3c 
Ad9d7c4d3h Jd9h6c5s4c KhJd9h5h3h 7h6d5s5h2d 
QcTs6c5c3c Ts9h8d6c3c Qh6d6c5s4h Tc9h9d7d3d 
7h6d4s3s3d Tc9h7h5s3h KcJh9s3s2h Jc8h8d7h5h 
Ts9h8c7h2d Td8h6c4h2c KhQdQc8c3c KdJd9h7d4d 
6s5d4h3h2s Jd9s8h7c4s QcJc8d3s3d AsTh6h6d5h 
Kh8s5h4h2s AsJd8c6c4c KdQh8h7c4h 6h5d4s4h3d 
AhKd5s4s2c Jh9h9c8d4s Qs9c8h5c4d QhTh9s4h4c 
Tc9c7s6c3c Ts8h5h4s2h Ks9c8h6s2d Ac8h3h3c2s 
QcJc7s6d3h QsJs8s5d3h Kh9c6c4c2h Ks9d8s8c5s 
KcQsTc7c2d 9h6s6c4h3s Kh6s5h4h3d Kc9h8s6c2d 
Jd8h5h4d2d AcQc7s2s2c 8h7s6d4h4c JsTc9c5d2c 
Js9d6s5h3s QsTs7s5h3c KcQh8s5d2c Th7s6h6d5h 
Td9d8s3s2s KdQd4h2h2d 8h7s5h5d4h KsQc9h7s4s 
AdKd9c6d3d Ac6d6c5h2c KdQc9d5s5h JsJc6d3h3c 
Ac9d5s4c2h JsJd8c3h3d AhTc6d5d2c As9s9h4c2d 
7h6s6c5c4c AsQc8s4d2s KcQd7c3d2d KsTc9h8c3c 
KcQc7h7c4d As8d7c4d3c Kh6s4s3d2h 8h6h5c3c2d 
Kd8h8c7s5s 9d8c7d3d3c Qh8s6s4h2s QsJh9h8c3h 
AhQhJh6h2c KcJsTc5c2c Jh9h9c6s3d QsTs5s3d2d 
Qs6h5s4h2h 9s8h8c6h4h Jh9c8c3h2d QsTd6s4h3s 
Qc9s9h8d5d 6s6d5h5c3h QhQdTc7c2c QhTs7h5d3h 
JsTh8c4h2d JhTs6s4s4d Js9s7s6h4c 9h9d5s5d3d 
KcTh6d5d3s Qs9s6d4d2c JsTh8s5s2c JsJd6d3s2c 
9h9d8d5d4s As8h8c6h2c KsQcTs7d2s Ad8c7c6h6c 
Td7s7h6c4h Kd6d5s5d4c JcTsTd7h2d Jc8c7c5s2s 
Jc7d6d5h4d KdQd5h3s2c 9s8h7s6c3d JhJc8c6d3s 
QcJs9s8h3s AdJcTc7c2c AdQcTs7h2h Jc9c7c6d4h 
7h6s5h4s2s KdJd9c7d4d Qh9s5h3d2s Ac8c7s6c2d 
AhJd9d7d3d KcQsTh8d3d Ad9s7d6d4d JhTh7s2s2d 
Qs8s8c7s5h Jc8d7h7d5d QdTc7s3d2c Ts9h7s5d3s 
KhJc8c6c4s Qc8h8c7d5c Kh9c6h4c2c JdTh9h4s2h 
AcJh8c5c2c Qh7d6d6c3c JhTs9s5d2s KdJc8s6h4s 
9d9c7c5c3c KsQhTs7s2c JdTs7s4h4c QhTc8d6s3d 
Kc7d7c3d3c QsQd8h8c2c Qh8s6c3h3c Ad9s8c5h4c 
KdQh8d3c2c Qs9c7c4s3c 7s5d4d4c3s KhQs6s5s2d 
Qc7s6d6c2s 8h8d7h4s2s Qc9h6c4d2d AdKdQd3d2d 
Qs7h7d4d3s QcJc4d3d2c KcTd7s6h3s JsTh8h7d2h 
9s9h8d4d3h Qh9c8h4h3c JsJd9d5d2h 8s7s7h6s2h 
AsTs4c3s2c KcTh6s5s3d Js9d6d4h3h KdJd8d8c4s 
JhJc9h4d3h Th8d6h3d3c QsJsJd7s3h Kc8d7d6s6h 
Qc9d6c4s2d Qh9c6s5d4s As7s6s5s3c 7d5s5c3s3h 
Qc8d8c6c5c AcTh6h5h5d Qh5s5h4s2c ThTc7d6c3c 
JsTc8h4h4d Ts9h8d6c3h KcJsTh6h2d Th7s7d6s2h 
Tc8d5d4d2c Jd9c7s6h3d KcQhTh4h2d 8d8c5c3h2d 
Jh9c8d7s2h 9s9c6d3h3c Ac8h3h3c2d Qs9d6c5s3s 
KhQd6h4h4c Ah9c4c3s2h AhTd6d5d4s KcQs9s6s3d 
Td9d8s4d2s 9s7d6d5d5c Qh7d6h5c2d Qc9s9c8d4h 
KhQdTh7s2h KcQh9d7c4c KhTh6s6h4h Ad8d7s6d2h 
Jc6d6c4h3d Jd7h6h5s4h Th9s6c5c4c Jc9c8h4h2h 
Kc9d8d3c2s Ah9s5d4c2h Kh9d6h3c2d AcJh9c6d2c 
KhTc6s4d4c QhTd6c5s3c Js9s8c4c2c 7h6d5s5h4c 
6c5d4s3c2s KdQc8h4c3h KhTc6s5s3d KcQs7s6s3h 
Qs9c8h7s4d Jc7s6s5c2h Ts9c6s5h5d Ad8s4h4d3c 
AhTs8d3s2d Ks9c8d5s5h Qs8h6h5h4c QsTd5d4h4d 
JhJd6d3h2s Kh8h7s7d5h Qh8h7c4h4c Qc8d7c5c3d 
Ad8d7c6d2h 9d7d5c4c2h Tc9d6c5s5c Qh8s8c5h4h 
Ts9h8c5h4h AhTs6d6c5d Td9h7h5s3h KcQc4d2d2c 
AhKd8s7s3s JcTc8h4c3d Qs9d5s3h2d Td8h6d5d5c 
TsTh8c6h2d KcTd5s4h4d Qs9d6h4s2h KdJcTs6s2h 
AsJdJc3c2h Jd8h7d4h3s TsTc7d6c3c AdQd7s2s2d 
Qs9h7s7h2c Ad8h8c4d2s Qd6s5s5h3h Qh9s8d7h4c 
Kc8h5h5c3c QdJc4s4d3h KsKh8h3c2h Qs7s6s4h3h 
AsJh8h4d4c JdTs7h7d3d QhTs9s7c2d QdJhTh6h2s 
QcTh9d4s2h Th9h7c6h3h Qs9h6s6h2s As8d5s3s2d 
7h7c6d2h2d AhQd3s3d2s Jc8h7h7d3d QhTc8h5h3s 
Jh9s6s4d3d QsTd9d5h2c Qs9s6c4c2h AsTdTc5h3h 
KdJs7d6c3d JdTc8d5s2d 8d8c5s5h3d Qc8d7d5s4h 
KhTc8h7s2h KsTs9s5c2d 9d8h8d5d4s 9h9c5s3h3d 
KsQd6d5d2c Kc9c8s8c5h QsQh8d6c3d KsJc9c8d2h 
Th8c5s5h2c JhJc6d3s3c Qs7d6d6c3c Ac9s9c7c4c 
QsTh6s4d3s Qh9c8d5h3s AcKcJs3c2c QdTh5s4c2d 
Qd9h7d6c3s Th8h7d3s3d Kc8h7d5s4s Jd8s5h4h3s 
KhQc8d8c5c AdTs8c7s2s QsJs9s9d2h KcJd9d8h2s 
Js9h9d6d4c 7h7c5s4d3s Th9s5c4c2s TsTh7h4s2h 
Kd9d6c5s2h As8d8c4s2h Qc9s9c4d2d Qs9d6s4h2d 
9h8c6s2h2c QsQd4h4c2h AsTc5s3s3d Qs5s5d4d3d 
Jd9s8d5c3d AdQhJs3c2c ThTc5c2h2c Qh8d6s6d5c 
JsJh7d3h2s AdTh6h5h4s KhQsJd7h2c TsTc7h6s3s 
QdJh6d5d3d Qc8h6s5h4h JhJc8s3d3c KsKc8s3h2s 
7s7c4d4c2s 9c7s7d6c2d AsTc7d6h3h Jc9d4h4d3c 
Qd5h4c3d3c KhQc8c7s4c Td9s6c4c2s AhKd9h3s3h 
Qs9s8h4d3d AdJs9s7c2h AdJh8s8h3c Kh8c7c6s6d 
KhQsJs9s4s Jh9d8h7c4h As7s5c3d2h Ac8c7c5c3d 
Qd8h8c4c3d Qs9c8s6s4d KsJd9s9h4s KsKhKcQh4c 
KcTsTd6s3s QcTc7s4h4d AhTd6c5c2d 8s8c5s3h2c 
AsTh7d6c3c QhQc8c7d2c Kc8h7s6h4d KhQsTh8h2h 
Ad6d6c5s2d KhKdKcTd5h Qh8c7s6d4s Ts8s7c5c2c 
Qs9s9h8d4c JsJh7s6c3s KsJs7h4d4c KdTs7c5d2h 
AdJs5s5h4s JdTs6c5c3c JdTd7s7d4d Kd8c7c6h4c 
QhTd7s3h2d Ks9c8s4d2c Ks8s7h7c5s KsJs3d3c2d 
Kd9s6d2s2h As6s6h4s3d TsTd9c8h2h KdQh8c5s4c 
Js8c5s5c2c Kc9c8h8c5s Qd7h6d5s5c QhTd8h3d2h 
Kh8c7c6d4c Ks9d5s4d2d TdTc9h8s4s Ts7c6s3h3c 
Tc7h5h3s3c QhTh9h7d3h Kd6d4h4c2h Jc9d6s5h4s 
QdJc4h4d3s AhKd5c4c2s 9h6d5c4h2d QdJsTs7s3s 
QhJsJh7h3c QsJs8h3h3d QdTc5d3d2c 6c5s5d3s3h 
QcJh7h5s5d Qd9c8s3d3c KcTd9s8d3d Js8d5c4c3d 
As9d7s6s4s AdJc5h5c4c Th9d8s7d2c Td9d7d5s5h 
Kc9d4s3s3c KsJh8d4h2d 6s5h5c4c2h KcQh6d5c2c 
Kd9h8d6c2s 9h7s6s5s5d KdQd6d5d3s 6s5h5d4d2h 
Qh9s9h5c4h Ks7c4c3s3h Ad8s7s6s6c 9d8s6h2s2d 
Qc8c6s5d3h Jc8s7s4h2c 8s7d5c4h4d Jd6h6d4c3h 
AhKh6h6c2d 9c8c6s6h5c Js8h6c4h2s QcJd9s8h4h 
AsKs9c3s3h KcTs7h5c2d As7s5d3h2c Td9s8h6d3d 
KsJh7d5d3c AdJc6d4h3d Th9h8s5c3d Ac9d9c7s2c 
Qh9h8d4c2d KdQhQc8c2c AsJd4c3h2s Qs9d7s7c2c 
Jd7d6s5s2c QhJs9s7c4s Ts8h5s5c2h Tc9s9c5c3d 
Qd9c7d6d2c Ts9s8c3c2c 6d5h4s2h2d AcQs5s4s3h 
Kh9d5h4d2d As7s6s5h3s 9h8c5s2s2h Ac8h6s2d2c 
Jh9d8h5s3h 9s8h6d2s2h KdJh5c4h3s Kd9h9c8c6c 
AdJc6c3d2d QdQc7d5s2h 9s9d6h3s3c Jc8s6d5h5c 
7d6h5s5d2h Td8d7s4h2h TsTh7c4h2c Th6s5d4h2d 
KhJs9s6s4c 9s7s6s5d3s 9s6h5c4s2h JsTc7c4h4d 
Qh8d7h5h3d Jh7h6c5c2s QhTc8c5s3d AhTc9d5d3d 
Qs9s6c5d3s KcQsJd4d2d AdKd9h6d3d KhQd8s4d2s 
KcQh7h5d3h AcKd5s4s2h KsKhKdQs4h KsTd8s7c2s 
As9d5c4h2s Ks9c6d3s2c KdQc6s5d2d Qh8d7s5h4h 
Td9c7s2s2d 9h9c5c3s3d Ac8h8d4c2s KhQs6c5h2h 
9h8h5c4d2c QsJh6s6c3d 7h7d6d4d2h KsJc9s4d2h 
KcThTc7c2s Jd9d9c4c2d KdJs6h3h2d JdJc9c5c2s 
KdTs5d2s2d KhJh8d3d3c Qs9s9c5h3s Qd8d6s5h3c 
Tc9s9d8h2h 8c7h6c2s2h Ad9c7s4d3d KsQs8d5c2h 
Kd9s8d4h2s Kh6d5h5c4h AsJh4d3c2s Ah9c8c6d6c 
JdJc6c3d2s Qh8h6d5s3c Ks7s7h4h2h JcTh6d4h3s 
Th9d6h5c3h KhJc9s8c3d KdQsTs5s2h Tc8s7s2h2c 
KsTh9c5c4c Ts9d8h6c3c 9d8h6d5s2c Qd9c6h5s4c 
Qc9d8s6h3c Ks9d6c4s2c 6h5s5h4s3s Tc8d6c3s3d 
Jd8c5s5d4h As8h8c3h3c Th7s7c5d4h Jc8h7c4s3h 
QcJd3d2d2c KdJc9h6s2d Qs9s6d5h3s 9s9h6c4h2c 
Td6d5h4d3h KcJh9c4d2s Td9s8c6h3s As9s7s6s4h 
Js8c6s6h3c KsJs8c3d2d QhJd8s5h3h KsKd8h8d8c 
KsKhKcQc4h KcQhJh9h4h As9d7c5d2c Th7h6s5s2c 
KdQsQc8d2d 9h9d5d4s4d Kh9h7d7c4s 9s9d8d4s2c 
KcJd8h6d4d Qd9h9d5d5c 9h8d7s3s3d 9d9c7d4h2c 
AhTc9s7d2s JsTh9s5s2c Qc9s8d5c3h Th9d8s6c3c 
AdJh4c3s2d AhTh7s6h2d QsTd6h4h4c JsJhJcTs9c 
Ah7h5d3c2s QcJc9d5c2h Ah9d7h4s3h 8h8c7d4h2d 
Ts8s7h6d3c AdJh9c6s6h Js9h6h5d4c JcTd9c6s2c 
9d8d8c5d4s Ks9c8c6h2h Tc9d9c7s3c KcTs6s5s5h 
KdQs8h8d4c KhJs8d6s4s Kd6s5d4c2h Td8s7h3s3h 
KdJd5h3s3c QsTs7d5s2d Th9c8s6d3d Ac7s7h6h4d 
JsJh6c3s3d JsJh7c3h2s Ks9d6c5s3s KcJh6d3d2c 
9s8d7s3s3d 8c7h5s5d4s KsJc8d6c4c QhQd7d6d3d 
7s5h5d3h3c Js9s8d5h2c Js9s5h4h2s QsQd7s5h2c 
6h6c5d5c2s Qd9c6s4d2s Qc7d6d4s3s 9h7h7c5h2c 
JdTc9d6s2d AhTs7c4d4c QsTc7h5d5c KsTh9s6d2s 
QhJd9c8d2d AhJc6h3h2c Qd9s5d4c2c 8s8h5h3d2s 
AsTh6d5d2h KhJcTc3c2s KdJs7d5c2h Jh9s7d6h4h 
AdQh3s3h2s Kd8c7h6s3d AcKcJd3c2c KhTd9s8d2d 
Jc8s5s5h2h 9h6c5c4s2s Qh7h6h4c3c KdTs9h4c3s 
JdTd5d4c2s KhQs9h8d4h Qc8c7s7h5d AcQs6s6h4s 
KdQsTh8c3c JhJc4h4d3h JhJc6h3c2s Td9s6h4d2h 
Jd8s6s6h5c Kh9d8c6h2s Qh6c5s5h2c AdQs8h3d2c 
AdJc9h3c2h JsJh9s5s2d Kh8c7d6c4s Jh8s7s7c3c 
Ks9s7s5c2c QcTd6s4d3h Th9s8d6h3h Ah8d4d3d2h 
AhKcJd6d2s AcQc7d2d2c KsTsTc6s2h Kh7d4d3s3h 
AsTd7d4h2h JhTc9c3s3c Tc9d8d5s4d Jd8c7s5h5d 
8d6c5s5c4h Kd9h6h4h2d KcQs7s5s4s Qh8s6d5c3h 
9s9d8d5d4c KcJd6s3s2c Jc7d7c6c5h KsThTd8c2h 
KdJhJd6c2d 8s7d6h6c4s Tc8d8c4h4c QdJd9c5d2h 
JhTh8c4h3s 8h7h6s5h3c KdJd9d7s4d KcJh8h6h4s 
9d8h7c2h2c Qc9d9c8s4h Qs8d5s5h2h 8s7d5c2s2d 
KcQhJs8h3d 9h9d5d3h2d KhQd8d8c5d QsTd8d5c3h 
AcKh9h3s3d KcQhTc7d2c Ac6d3c2s2d Ks6s5s4d3c 
8s8d7h4d2h ThTd8h7s3c Kd9c6h5c4s AsTc5s3s3h 
As6s6h4s3c Td9s9d4c2h Jc9c8s5h2d KdJd3h2h2c 
Ks9d5s3h2h Ac9d7d5s2s Kc6c5h4s3c Td9s6d5h5c 
Qh9s8c2h2c Jd9h9d4h2d QcTh8h6h3s AsQsTs3s2h 
KhTc9s8c2c Th8c7s4c2h KcQsQh8c2c Jd8s5s4d2d 
9s8h5h4d3d QcTs7d5s2d Kd7h4h3d3c Jd9d9c8s4h 
Kd8c7s3d3c AsQd8h6c2d AsTs9d4s3s KcTc9h8c2c 
QsQd7h6h3h KhQs9c6d4c Jh8h7h5c2c KcJc8h8c4d 
Jh8d5s5d2s Th8d7h7c4h AsQsJs6s2h AcQh7d4h2d 
Jh9h6s4h3s Qc9d6h4c2h 9s8c7d6d3h Ad9h8c7h4h 
KcQh8c3s2s Kd9h7h7c5s JdTh6h4s4h AsTh6d6c5h 
KhJh6d3s2d Qs9c8h6d3s Qc9d9c4h2h 6d5s4h3s2d 
AcKd9s6s4s Jh8h8d6h5h KsJh9h6h4d Jh9h7h6d4c 
KdJhJc3c2s Tc9s6h5d3h Qd8s8h6s2h Qs7d7c4c3s 
Qd9s7s4s4d JdTs8s7c2s KhQh5c3s2d 6h5s5c4c2s 
AhTs5s4d2d KdQd5s5d4d 8d7c5h4s4c AhTd5d4c2c 
QhJd9d8c3d Ac9h8h6s6h 9h8s6d5h3h Kd8s7s3d3c 
AdQcJc4c2c Td9c7c6c4c KcThTd8h2s JhTh9h3d3c 
KcJh9d3h2d Tc8h6s5h5d KdJc8h4c2h Jd9s8c7d4d 
As8s7s4c3d ThTd7h4d2h KhTs7d3h2d AdKcJc6h2c 
KcJh6s3s2c 7h5d4s4d3h As7c5h5d4h TsTh7s6c3s 
AsKs9d3s3c Kh7d6d5d4s Jc6s5h4s2c 7h6s5h5d4c 
QcJd9h8s4s As9h7h5c2c QcTd7h4c3s JsTh7s4d3s 
KdTc9h4s3c QsJd6s5s3s AdKs8d6d3d Qh7s6h6d2s 
Ts8d7h7c4s Kc9d8c4s2d Js9c7s6s2c QdJhJd7d3s 
Kh8s8d2s2h Td9d7s7d3c 9c6s6d4d3s Ks8c7c6d4c 
KcQd9c8h4c Qd7s7c4d3s AdJsJhJdTc 9d8s6h4d2h 
KsJd8h4d2h AdQc5h5c3c Ah7s7d4h2c Qd9c5d3s2c 
JdTc9c6c3c Qc8d8c7s5c 6d5d4s3s3h AsQdTc7h2h 
9h8h6h5s5c Ts7c6s6h5s QsTh9s6d2s Td6s6d4c3s 
Jc8d5d4c2c QdTd9h9d4d Kd8h5d4d2h QsJd8s6h3c 
8c7s6h5h3h AcTh9d7s2d TsTc8c7d3h JcTd5s5h3s 
As9s7c5d2s QhJd9s6c2h Qh8d7d6h2h Jd9d7d6s4c 
JdTd7d5c3d As8h8d7h4h AcTc9c4s3c Jd9h6s5c4s 
AcJh9s3h2s AdTc5d3h3d Td8d5d4c2c As9h7s4c3s 
Qs9c7d3s3c KhTh9h5c2d QsTc5h4h4d 8h7c6s6d4h 
AhJc9c3s2s JcTc5c3d2d Jh9s9h6d3c 7d5c4h3h3d 
JdTd9d4c2s Qs9s7h6h2s KsJs8h3d2d TsTh7d4h2d 
As9c4c2s2c Ts9s6h3h2c KsTh9h8c2h Jh9s9d7c3h 
Qd9d8h4c2h JhTh5h4d2s QcTc9d4s4c Ah8h7s6h2d 
Qs8s7c5s3c AsQdTd5d2d Ah9c7s5c2s KcQd5h3c2s 
QsTd7h3s2d Kd9s9c8d5d Ah7d7c6c4s KcJc6h3s2h 
Jc9s7c6c4d Ac7c6d5h2c KdQh9s3s2h KcJh9s8d3h 
7s6h6c5c4c 7s7d4d4c2s Ts7s6d5d2h Th9c4h4c3h 
As9h7d4s3s Kh8h8c4s3s KhQc9h5s5d Ks9h9d8h5c 
QsQd8s7s2c KsTh9h9c2h QcJc9h6c4c Tc8s7s2d2c 
QhTd9c5s5c QdQc8c7h2c As8h4s4d3c Jd8h7d5s3c 
KdJh9h8c2s Kc9s4h3h3c Th8s7c3s3c QsTh9c7c3c 
QsJs9s9d2c AsQh7h6h3c Ks7h7d5d5c Qh9h9c5s3h 
Qh9h8h7c5h JsTd5s3s3c Th8c7d7c5c As8h7h6h6c 
Qc9c8s7d4h JdTs9c6c2h Ad8d7d4c3h JdTd9d7d4d 
AhTc8c4s3d AdJh9h7c2s Jh9s8c5s4s KhQsTh7h2c 
KdJd7d6d5d QcJs9h8s2s 9h9c8h4c2s JsTc9c7h2c 
ThTc9d6c2s Qd9c6c5h4s KcTs7d5h2c AcQc9c6c5c 
QcJc9c4h3d AcTd8h3d2h Ac7s7d5d3h QsQc8s3s3h 
QhTc6d4c3s Js8c5d4c2d Ts9s7d6s3s Qd9d6s4s2c 
KdQd5s3c2h QhTh9h5h3c JdTs8s4s4c Ks9d4h3s3h 
KcTh5d4s4h Ks9s5d3c2c 6s5h4d2s2h Ts9c7s5d3s 
JhJd9h7h4h Ts8d5d5c2s KcJs9s6s4h AsQd8c5c3h 
Kh6c5h4s2d Qs7d7c3s3c Jh8c5s4s2c AdTd9d4s3d 
Qh8d7d5s4c JdTs9s4c2s QcTc8h5c3d Ad8d7d5d3h 
JcTc5d5c3s QsQc8h7s3s Qc8c6d5s5c Js8d7d4h2s 
QsTs9h4s4d KdJs8c2d2c JhTd9s3h2c KhQd8s8h4c 
Qc9h9d6c3s KhTc7s5d2h AcQsJh6d2h Jd9s5s3d2h 
AhTc6s6d5s KdTs7c5h2d Ts8h6s5s5d 8d7c6s4h4d 
Th9d6h4d2d Jh9h8s4s2d AsQdTh7c2c KhTs6s5s5c 
KdJsJc3c2h KhQh8s8c4d AdKh9h3s3c Qs9s8d7c4h 
6c5d4s2d2c Qh8h8c7d5h AcTs8s4d3h Qd5d5c4c2h 
JsJh9h4d3h 6d5s4s3d2h Ks9h9c8s5s KdTdTc7d2s 
AdTs5d3d3c AcQcJc6c3c Kc9h8d6d2h Ad6s5h3s3h 
Qh7d6h6c2d Js8c6h4c2s KhKdKcJd5c Kc9s6s6d5s 
KsQs7s7d4c 9d8d6s6h5d Ad8d7s6d2c Ad9s8c7s4s 
Qs9c5s3d2c KhQcJd8c3s 7s6d5c4s4h KcQs7h5c2d 
QdTs9s7c2h AhQc7s4c2s Qd8d8c7s5d AsKc9d6d4d 
AcJd9d8d3d AdKd6h6d2s Qs8d8c4c3s AcQcJc7d2c 
7h7c6s2s2h QcJc9d9c2s KhTh7c2d2c KsJh9h9d2c 
Qs7h5c4h4c QcTc8s8c5c 9d7d7c5d4s KcTd8s4c2h 
Ah9s7s5d2d KsQhJc6s2s Ks8h6d5s2c Ts8h6s2h2d 
Tc7s6h6c5c KdJs5h4s3c JsTc5s3s3h QhJh9h9c2d 
As8h4s4c3d Kh8d7s6d4c KcJc7s6c3h QdJh9s9h4h 
JcTd6h3d2c Js8h5s5h2h AhQd3s3c2h QdJd8c3h3c 
KhTc9c6s2d Ac9d7s7d2s Js8s7h5d5c Jh9d8d3h3d 
Qc9d7s7c2s JsJc6s3c2h AdQh5h5c3h JdTc8d5d2h 
8h7c6d4s4c 9h9c7h4d2c Kc6s5h3d3c AhTd9s6d3d 
Kh9c4s3s3h 9h8s5s4d3d KsQs9h9d2c QhTc7d4h3s 
9c8s5d4d2c Kc8h6d5d2h Th9c5c3h2s KcQs8c3h2h 
Kh9s8s8c2c Kh6s4h3d2s Qc9h5c4d2d AhQs7c5c3d 
JsJd6s3d2c 9h8h6h5h4c QdTd5s4h2c AhKd9c6c4c 
AdQc7c6c3s QhTd8s6c3s 7h5d5c2d2c Ah8d7d6d6c 
Td9d6d5h3c Th9h8d5s3c QhTs7d3s2h As9s7h4d2c 
KdQc8h5s2d Tc9h6c5d5c AsQd8h2h2d 7s7h5c4d3c 
8s8c5h5d3s 8c7d7c4h2d KhQc9h8d4h Js8c7d7c5c 
KdQhJh6h3h KdThTc8s2c KdQd4d3h2h Qc8d7d6s6h 
Kd8s7c6s4h KhQh5h4h3d Kh9s6h2s2c Qd9c6h4d2h 
Ks8h7d5c4c KcTc9d9c2c JhJd8c3s3d Td9s8h7s3c 
KdQd8s8h5d 9c7h6h5h5d Kh8h6d3s3d KhQdTd4d2s 
KdTsTc8d2d TsTd9h8c2h AsTh7d6h3c KdJd9d6d6c 
Qd7s6c5h4s 8h6h5d3d2c Tc9c8d4c2d Ad6h5d2s2c 
KhJd8s6s6c Js8s8c7s2c KsJs9s5h3s Qd9s5d3h2s 
QhJh8s3c2s 9c8s8d6d4d 9s8d6d5d5c KsJd8h6h6c 
AsKdTc5c2c Jh9d5h4s2s JhTd9d4s2d 9s8c7s3s3c 
KcTs9c3h2d QsJs7h4d2d JcTs9h5h2h Th9s8d6s2c 
6d5s5h4d4c QdJd3s3c2c AsKhKdKc2s Ts9d9c7c3c 
9s6c5c4h2h Jd7s7c5h4s KhJh7c6h3d AdQs8s6c2h 
KdKc8h4h2s QcTh8c5c3s Qs8c7h5c3h Ks9c6d6c5c 
AcQc8c5d3c TsTc8s3c2c KcQcJs4c2c KsQc6s4h2d 
Qc9c8s4d3d QcJc9s9c2d Kc8s7h4c2h 7h6s5h5c4d 
JcTh4c3h2h AhQsQd6c2c Ah7c6c5c4d Th9c5h4d2d 
QcJc9s7c3h Qd8d6c5s5d Jc9s7d6h3c Kh8h8d4c3c 
AhJc6d5s5d 6s5h4c3s2h JsTh9d3s2c Qc8s8h6h2s 
