8h7h7d4c3s 
8h7d5h3h3c AcJs9h2h2d KhJd7s4c3s 7c6s6h4c2d 
JdJc3h3d2d QdJs9c3s2h AcJs5c4c2c AsTd7d6c2h 
Qh7d7c4c2h Jd7s5h4s3c AhJh4h4c3h ThTc4s3h2s 
Qd8d6c4s4d AhQd7s7c3s 7h6s4h3d2d Js5c4s3h2h 
Ks9c4c3d2s As6d5h5c3h Kd9s4d2s2h Ah7s6s5s3s 
AcTc7c6c2s KsJs7s4s4d AsJs6s6d2h 9c7s6s3s3h 
9c7c6c3s3h Th9s9h6h2h Qs7h7d4h2s Kh7s6h5h2c 
Jc8d6c4s3h QsJd7s4h3s JcTd6s4h2h 9c8c6c5c4c 
KsQsQhQd3d 8s7d6s6h3s AsTs7s6c2s KhQs9d2h2c 
QhQc6d4d2d QhJs5h2d2c AsJs6s6d2c QsJc7s4s4h 
Td8d6d4h3c Kh6s6d4c2h KdJc8h5h3h KsJh9s3s3d 
Td8h7d3c2h KcQh8d6d2s As8h7h5c2h JsTsThTc8h 
Jd8d8c4h3s Ts7h7d2h2d QdJd6s2s2d As8h8d6h3c 
Th8h6d3c2c AsKs4d3s2s Jh8s6c5s2d KsJc8s4s4h 
QcJc7s6c3c Ad7s6c4h3c QsJs8s5h2s Th9d9c4s2s 
Jc8h6c4s4d KcJh8s7s3d Kh8d7d6s3c Td9d6d5h2s 
Jh5s4h4d2s Jh6c5h3h2c Th9h8h5h2s Ac9h6s5d3d 
Js7h7d4h4c Ts5c4s4d2d AsQd9h7c2c AhJc6s6d3c 
Th9s8h3c2d Qd7s4s3s3d KcJs8d5d2h AsQh8h4h2c 
Th8c6s6d3s JsJh9h3h2d Qh9c8s8d4s Kh9s5c4s2c 
Qc9d8d5h3d Qc9s6c2s2c AcQc8c4s2c Qd9s7c3s2d 
8c7c5s5h3d KdJs9d3h3d 9c7h6c3h2c Ad9s6h5c3c 
TsTh8h4d2h 9c8s7s4h3d Kh9s9c7d3c Td9c8s4d2d 
9c8c5s3h3d Ad7h5s3d2d Tc7s7h5s3s Qs9d7d5h5d 
Kc5d5c4h3c AhTd8s2d2c As8h5c2h2c Kh9h6s6d2c 
KhTh7h7d2s Js5c4h3c2s Th8h6c4h2d 8h8c6s4c2c 
KhQs7h7d3h KsQc9h5d2d KhQhTh8h3h Th9s9d3c2s 
KcQc8s7c3h KsTc8s3h2d 9h7d7c3h2d AdJs9h6c2s 
KcTc8s5c3c TdTc9c7c2c 9h8s6h4d2c JcTs6c5c2c 
Js9c8s6d2s 7d7c5s2s2h QdTh9h3s2h JhJc3s3h2h 
Td9d5c4d3h 7h6s4d4c3d 9s6s5s3d3c Ad9d7s4c2d 
KsQc9h7h3h 8s7d5h5d3d Qc9c5c3s2s QhTc8d3s2h 
AhTd6c4s3c AdJs8s4s2c Kd9d4h3h3d Kh6d3s2s2h 
8s8c7s2s2d Kc6h6d4s2c QhJh8s4h4c TsTd6c5s2s 
AsJd5d4d3d 8d7d4s4h2s Ks9s6s3c2c 7h6c4h3s2c 
Ac7s5s4d3s Th8h6c4h2s Kc9s9d7h3d 9s9d8c7h2c 
AcQd7s7h3s Ks9d7c6s2s KcTd9d6d2d Tc8h6s4h3h 
7h7d3d3c2c Js9d8h4c3s Td9d8h4s3d Jh5h5c3c2s 
JdJc7s5c2c 8s5d4d3c2s Qd9c6h4d3d KsTh8c4d4c 
8h7d6s4s3s Qh9d7d5s5d Qd6s6d5d3h JdJc8h6s2s 
KsQs5s3s3h Kd9h5d4d3s Qd8c6h3c2d KhTd5s4d2c 
Qd7d6h6c3s Jc5c4d3s2d As6h5h4c3d Qc9c8c5c4s 
Ks7h6c4d3h 8s8h7c3s2h Qc9s8s7h2d Ad9h6h5h3c 
Js6s5h4c3s KdTd7s3h3d Jh9h8s8c3h Qh9d7h4c2c 
Qd9s9c5h2s KcQc7d7c3s Qs7s6s6c5s Td7s7h5c3c 
Th9c8s4h3h Qc8s8d7h4s KdJd4h2s2c JdTs6d4d2h 
KsQs7s7d3h Ks7s6c4d2h AdTc8s2h2c Ad8s6h4s4c 
7s4d4c3h3d AsJc8d6c2c 9d8c6s6h2s 8h8c4s4c3d 
KhTh5h5d3h Jc8d6c4h4c KsTh6c2s2d Ts8h7d4s3c 
AcQc6h3c2s JsJd8c4c3h Qd9h7s6c2d KhJh7h5h2c 
KdJh7h7c3h JsTh7d4s2s Td7d6d4d3h Qd8d5s4h3c 
Jc9d6h6d3d AdTh9s4c2c 9c8c6c4h3d KhQd8d6d2s 
Kh8h8c6h2s JhJc8h4h3h Jc7s5h4h3d JcTs5d3s2h 
Kd8s4d2s2h Td8d6s3c2c Jd9c6s5c2h Js9h5d4c3d 
Jh8h6c2d2c Kd9s5h4s2h 9s9c8c5c2c Qc9d4d2s2c 
KcQsQdQc3d Kc7s5d4h4d AhTc6d4s3d Ts8d5c4s3h 
Ah9c8s5d2c QdTc6h6d2d Ks8s8d5s3c Ad8s8h6s3c 
KdTd5d3s3h Ad5s4s3h2h AdJs6c4h3s Kh9h5s4d2c 
Ad9h5s4s2h KdQs9h8c3c KsTs5s3h3c KdJs5h5c3h 
7h7c6s5d2d 9c8s6d6c2h 7h6s6c3h2c Td6c5c3d2d 
Ts6d5h2s2h 7h7d5c2s2c AcJsJhJc5s QcJc5c4h2c 
KcJh7d4s3d 8s7s4d4c2c QdJs7d4c3d Js9d7c4h4d 
AcQc3s3d2c AdTs9h4s2s KhTd7c3h2s Qh8s5c4h3d 
Jd9h9d8d4d ThTd4h3h2d Jh7c5s4s3d Tc8c6s4h3c 
Qs7c5d3s2c QcJc8c4s2h 9c8d6s6c2h Qh6h5d4c2h 
Ah9s8d6c2c Ts7h7d5d3d QhJs9s4c2s Qd7d6h4c3d 
As8d7c5d2h Ts8s6c3d2d 9d6h5h4c3h Ks9h7c5s2s 
KcQc8h7c3s KdQh9s8s2s Qc9s9d5h2s Qs8h6h3h2s 
Qd9c8d4h3s Tc6h5s4d3d 9c8h6d6c2s AdTs5s3c2c 
KdJc8h4d3d Kc4s4d2h2c Jd9d7h2h2d 5s5c4d3h3d 
Jd8d6d5h3d Ks9d8h4h3d JsJd3h3d2d Ah9s7s4d4c 
Qd9s7d6d3d AcQc6d3c2s Qd8s6c4h2d KcQs8c7h2c 
9h6h6c3h2c AcTh5s3c2c KcJd8h5s2h Jh8c7d5d3d 
Th6d6c5s3h AdTc5c3h2h Qs9h7s7d4s Jd9h6h3h2d 
AhJd8d4d2s Ts8c5d4s2h Qh7d6d4h2h 8d7s5c3d2c 
Td8d6c4d2h Tc8d7d4s3h QsJh5d3d2c Js9c8d6c2c 
Qd8d7h5c3d AsKh6h4h2h Kc9s9h4c3d KhQh8s7h2c 
KsTh7c3s2d Jh9c5h3s3h AdJh9s2s2c KdJs7d4d3d 
Tc7h7c3h2d KcQc4h4c2s Th8c7d6s2s KcQs8c7c3d 
8c6h4c3h2s AcJh7h6h3h KhJh7h6c2d Kh7s5c4d4c 
Ks9s5d4c3s Jh9h5d4s2c Kd9c8h8d3d Tc6h6d5d4d 
Ks9h9c6d3d 8d6d5d4s2d 9h8h6h4s3d Kc9h8d7d4d 
Jh9c8c6c2s JhJc7d5c2c AcJd9s6d2h Qs6d4c3d2s 
Jc8c6s4d4c 8h7d5c4s2s Jc9c7s4d4c AcQh7s7d3d 
Td6c5h3d2h QhJh9s4c2h QcTh9h3d2h JdJc5s2s2h 
7s5s5c3d2c Qc6h4s3c2h AdQc7s7h3h Qh8d6s6c3h 
KcJd9h7d2d Qs9d7d5d5c JsTc8c3c2d 9h7s6c5s2s 
Ks9d6h6c4h QdTsTc7c2c Th8c7d5c3c Ts9h7d6h2h 
Kh8s5d5c4d As9d6d5d3h Kc7d6h4s3d KsQs7s7c3h 
Td6d6c5s3h 9d8d6d4s3h Ah7d6s4c3s Qs9s5h3s3c 
AdTs7h6c2s Qs9d7s3d2d 5s5c4d3h3c Kc9h6c4d3c 
Td8s7c6h2h 8c5h4d3c2d Ad9d7d4s2c Kh6c5c4c3d 
8h8c7h3c2c Jd8h8c5s2h 7h7d5s2s2c KsTd7h6c2c 
KsJs6s4s3h 7h6s4s3d2d AhJc5d3s3d Ts9c8s3h2d 
8s8d7d2h2d QhJd6d4c2d Qs6s6h4d3c Jc9c7s3c2s 
8h6h4s3s2d QcJh6h4s2h 8h8c7h2h2d AcTd5h4s3h 
KdJs6h2s2h Qs7h5c3s2h QhTc7h6s2h Ah8c7s5c2d 
Js8c4c2s2d Qh8s7s6d3c 7h7d4h3d2c KhQc4s3h2h 
KcJc7c5c2s Ks7d6s5s2c Tc8d7d6d3d KcQs8c7c3h 
8h6c5c3s3c Kc8d7c6c2s JhTsThTc8c Jc7c5s2s2d 
KcJd5s4s2h Qd9c7d4h2h Th8s7h3d2s Qh9h8h5h3d 
9s8h7h4c3d Qs8s6h6d3c AsTh7h4c2d Ts8s5s5h4s 
QdQc6c3c2s KcJs9d7s2s As9h7h4d4c Qs9c7d2s2d 
Qd9d9c6d3d Ks6h3c2s2c KhQc9s7s3s QsQh6d4d2c 
Ad8s6c5s3h 9s9d8c7s2s Qd9d7h3c2c 8c7s5h4h2d 
JsJh8s4s3s QcJs9d7d2h Qh5d5c3s3c AhQc8h3d2h 
QsTc7s3h3d JdTs6d3d3c As7s5d2s2c KcJd8d6h2s 
JsJc8s6s2s Qs6d4s3h2h Td9d4h2h2d Ks9d7s5s2h 
QhJh7h6c3h KcQcTc8c3c 8s8h7h5c2h Tc9c5s4c3h 
JsJc8h4s2s 7h7d3s3d2s Kh7h6d4c2s Jc9s9c7c2d 
KsQd7s7c3s 7h7c4h3c2s KhJs9s5s2s 8c6h6d4d3s 
Qs9d7s5s3s QsQd6s3s2c Tc9s9h3h2d Tc8d6s4d3d 
Jc5h5c4s2s KdTd7c3h3d 9s5h4s3h2c Tc9c7c3s3h 
KsQc8s8h3d Td9s8h4d3d Kd8d7s5d2h JcTh6c3s3c 
Ks4s3h3c2c As9s7s4h2c KcQh7s7c3c KdQs9h7s2c 
Qc9c5s4d2h Qc8s8d7d4d 7s6s4s4d2d AcKd6d4d2d 
Th9s5s4s3c Th8h5h4s3c Ts5c4d4c3d Ks9c8s8d2s 
Qd7h6h2d2c Kh8s5s5c2c Qc9d5d3s2s Th9h8h7h4h 
Tc6c5c4s4h Qd7d6h6d5d AcJs7h4h3h KcQh8s2s2h 
Jd8d7d6s3c KsQh9d8d2d Kh9s4h2s2c Ah8h6d5h2h 
Kc9d8s4d3s 4d4c3s3d2c As8d7h7c3c JhJc8s4d3d 
QhJh5h5d2s 7d4h4d2h2d Jh9c5d5c3c JcTc7d6h2c 
KcTs7h6d2d Td9d5h4d3c Ad8h7s5h2c 9d6c4h4d2h 
8s7s4h4c2c 8s7d6h3s3c Qs9h7s4d3c 8s8d3d2s2h 
Kh8d7s5d5c Tc8s8c5d2c Ts6d5c4h4d QhJh8s4h2d 
QsJs8s8c2d AhJc8c4c2s KhJc8h4h4d JdThTdTc8c 
Jh8h4d2s2d Ts9c7s4s3s JdTc6d4d2h Th8c5d4h2s 
Ad8h7h5c2h KhTs7s3c2c KsJc8h5h2d Qc9s7c6c3c 
Qc9s6c4d3c 9d7d5c3c2c Jc7h5s5d4h QsTh7c2h2c 
6c5h3h2d2c KdTs5d2h2c QcJh7c6c3c Js7c5d5c2d 
Ks7s6h4d2c KdTh7s2d2c AcQs9h4h4d As7d7c6d3d 
AdJc9s6s2h Jd9s8s6s2h Kh8c5s3h3d 7h7d4d3h2c 
9d8h7s4s4c AdJc5s3s3h 9h8d7c5c2c Qs9c8c6c2d 
Kh6d4h3s3c AhJs9d6s2c Ts9c8d3h2s Jd6s6c5h4s 
Td8h7h4s3c JsJd8s6s2s JdJc6d4h2s Ad7s7h5h2c 
9s8h4s4c2c KsJd6c2d2c Ks6c3d2s2c KhQc9s5d2d 
9h7s6h3s2s Jd9d8h4s3c KsQs6s6c2h Kh8s8h5h3d 
Qd9s6d4h3d 8h6c5s2d2c Kd9s6d4h3d Jd8c7h5s3h 
Qh8c4h4c2c KcQh9s8d3d AhQs8c4s2s JdTd7d6s2h 
Js7c5h3c2s Qh9c7h4s3d 9h6c5d3s3c Qd7h6c5c3c 
Th9h5d4h3s Jh7s5s5d2d KcJd4d3s3h Ac9d7c2h2c 
KcJc8d8c3s Tc9h7s7h2d KsJc7h4d3d Kd9s8h7h4h 
Qc9s7s3d2c Qd9d5h3s3d Qd9d8d6d3c AcJhJdJc5d 
Tc8h8d6c2c Qc9c6h4d3c KcQsQhQc8h Kh7c6h5h2s 
Qd8h8d5c3d JhTc5s5c2c QdTs5h4c2h Ad7c5c4s3c 
Td9d5c4d3s JsTs5s3h2d Tc9h6s6c2d KsTh7d2s2c 
Kc9h8h7h4d JhTc5h5d2h JsJd6c5c2h 8d8c7c5h2c 
Jc5h5c4c2h 8h7h6h5h3h Qd9s5c3c2s 5h4s4h3d3c 
TsTc4h2s2d Qs9s9h6s3s KcTd8d4h2s AdTh7s7c2s 
Th8h5h4d3c 6c4s4c3d3c KsTh9c5c2c Kd9c7d4h3d 
Ah6s5d5c3d Jh9c6c5s2d Th7s5d4h3h 9s9h4h4c3d 
8d8c6h4h2h 8c7d6s4s3s KdTs4d4c2h KsTd5d4c2h 
Jc9s8d4h3c AsQs9s3s3h 9d8h7s7c3c QsJc8s8h3s 
Ts9d9c7s2s 5h5d4s3h3c Kd9s8h4s3h Qd8h8d6d3s 
QcJd8c7h2c Js9d9c7s2h 8d7s5c4h2h AdQs9h4h4c 
Kh9c8s8h3h Td9d8c4s3d AcQc6c3d3c Tc9c8c7c4c 
KcTh8s4s4d Th9s5c4c3c Ts9h5h4h3c TsTd4d3h3d 
TsTd6h5d2d Jc6s5s3c2s KsJd8c5h2c Th9h7h4s3h 
Ah8s5c2s2c JcTs8s2s2h Ts8h7d5h3h 9d8h7h3c2c 
Kc4c3s2s2h Js7h6c4d3s QsJc8d6c2c ThTd5h4s2c 
8s7d5c3s2c 8s8c4s4d3h Qh6h6c4s3d 9c7d5s4s3s 
Qc6h5d3d2h Td9s8c4d3d Tc9c5h5c3s 8s7h6h3d3c 
Qs7s7d4h2d Qc7h6h4c2c 9h6d4s4h2d QhTd8d4c2d 
QdJc8h4c3c QcJc6h5c2c JhTc8h3h2d ThTc4s3s3d 
AhKs7d7c2c ThTc6s5c2c Th5d5c4h2c KhTs9d5d2d 
9c8s7h5h2h 8c7c6s3h2s Ac9c7h4s2c 8c5s5c3h2s 
AsQd8c4d2d Js5s4d3h2d Qd5s5h3s3c Qd9d7s4c2s 
7d7c6d5s2d 9h8d4h4c2c Qs6s5c4d2s Qd9h6c5h2s 
KdJc5c3s3c 8d7s6h4h3h AsJs9s2s2c Js8s7s5s5c 
Ks9s6c3h3d QdJc9c7s2c Th9c6d5c2c QcJc8c4h2d 
KdTs7c2h2d KcQs8d2s2d Kd9s9c7h3s QcJh7h3c2c 
9c8d8c7c4c 8s7s6c3d2c QdJs5c3c2h AdQs9h4c2s 
Kd7d4h2h2c QsQc3s3d3c AsQs8c3s2d 8d7h5s3h2s 
AcTh7s7d2d Qs8d7d6h3c KhJd4d3s3c 8s5s4h3d2d 
Kh7d4h3s2s 7h5h4c2h2c Th6s5c2h2c TdTc8d5d2d 
KdQc7s4h3h QdJh7h4h3c KhQsQhQd3s 7h7d6d3h2d 
Tc7c4h4d2d As6s5s3c2h JhJc7d3c2d AhTc9s4c2c 
Jh8s7s5s3d Td7c6s6h3s Jh7h4d3s3d AdTsTc3c2h 
JcTc7s6d2c Qs8d7h5s2c KhJc9d4s2c QcTd7h5c2c 
Js9d8h8c3d 5h5d4h3c2c QdJh6h4c2h Js9d7d7c3d 
Jh5c4s3c2h AhQd8s6c2s QdJd6d5h2d 8s7c6d3s3h 
Jh6h6c4d2d JsJh5d3c2h Jh5h5d4s2s Jd9h8h6h2s 
Tc8h5s4d2c Qd7s6s4d2d JhJc8c4d2c 8h7h7c4s3d 
Qs9s8s5s3h Qs7c6c2s2d 9d7c6c3s3c ThTc4s2h2d 
7d6c4c3c2d Jc6s5c4d3c KsTc5c4d2h AhKs6c4d2d 
KsJc8c7h2c Th9h8h5h2d KsJd8h7d2d Qh6s4c3h2s 
Qc9h9c6c3c KcJs6h2s2h AsJc7s2s2d Kh9s4h2s2d 
6d5h4s4h3c AhTsTd3d2c AdTc7c6h2s 8d7c6d3c2s 
9h8c4s4c3s 9s7s5s5h4s Kd9c8h8d2d Jd8s6c5c2h 
Kh9s4s4c2h Ks8d8c6s3s 9h6h5h4d2c KcJs8s7h2s 
Qs8d8c7h4d AhTd7d4s2c KhTd8d5d3d 8c7s5s5h3s 
KhKdKcTh8s KhJh9h7c2h As8h8d5c2d KsJc9h7d2d 
ThTd4d3s3d KcJh8s5s3s KdTc8h8c2c QhJc9s4c2c 
8s8h7h3s2s QsTh5d5c2s 8c7h5d4s2c KsQc9h9d4h 
8h7s7h4c3d Jc8c6c5h3c Th9c5s4s3s Qh9d9c4s4h 
KcQc7s7c3d Tc8h6s6d3c As7c4d3s2h Th8h6s4h2d 
Jc7c6s6h2s Jc8h7d4s4h 9h8s6h4d3c Jc9c7s7d3c 
JhTh7d4s2h JcTs5h5d2d AsQh8s4s2s Ac9d6h5s3d 
4s4h3h3d2d 8c7c6s3h2h KhQh8s7h3d KcTd6s2h2c 
Jc7d7c6c2d Qs9h4h2s2c AcTh9d3s2d 9d8c5s5d3h 
9d7h6s3h2d Qh6h5c4d2h Kc9d4c3h2h Td7s6h6c3c 
9c8s6s3h3d Js7c5h4h3d AsQd8h8c2c Jd9d8d7s3d 
Qc6d4d3h2c Ks7s6h4c2d KdQd4d4c2h QdJd7c3h2h 
8h8c7h5s2h 9h6d4d4c2h QcTs8s5s2s Kd7c4d3h2h 
Ac9d8s6h2h Ts9h8c3d2s KsKhKcTc8d QhJs9d7h2h 
Jd7d7c6s3d 8d5c4c3h2h Ah9d7d4s4c Js6h5s3s2h 
Jh7h6s4d4c Qc8h6d3h2c 9c7c6c3h3d Td7h6s6c3d 
KhJs8d5d2c Kd8d8c6d3s QsQh7d7c2d Kc7h5d4s3h 
Jh7d6c4s3h Jc6s6c4h2h 8d7h5h3d2h Kh9h9c7h2s 
Ad9s9c6h3c Jd8h8c6s3c Qs9h7h3d2s AdTc5c4s3c 
Jc8d4c2h2d AsJd7s2s2c Ad8h6c5h3s AsTd9h3d2c 
AcKcJhJdJc AdKd6d6c2d Ac7c5s2h2c KdJc9c4s4h 
Kh9h5s4c3h Jh8h7c4h4d 9d9c4c3s3h 7d4s4d2s2d 
Jh5h5d3h3c 8d8c7s2s2h KhJs7d4c3c Ks7d5h4c3d 
Th9h5s5d3h 7d6c5h4h2h Jh7h5c2s2c AhQc6d4d3d 
AsJd4h3d3c 7s6d4c3h3d Js9s9d4h2c Jh5s4d3s2h 
TsTh9d3d2c JhTh7d7c2s 9c6s5c3h3c QdJh9s4d2d 
Js9c7h7d3h KdQs4h4c3h QhJd9c7c2s Qs9s9c6s3s 
Kc9s5c4c3h Js7s6h6d2d KsQsTs8s3s Ts8c6h4c3d 
TsTd8s4c2s Th9h7c4h3h Ah9c8s4d4c KcJc6c5c2s 
Kh9s7d6h2h KdQh7c4s3s 9d8c6d4s2h Td7s6h6c3d 
Jd9h8c6h2h 9s6s5s4h2d AsTd5h4c3h 7c6d4d3s3h 
Kh9h6c4s4h 9s8s8c7h3s Qh8d6d3d2h 8h7c6s6h3h 
9d8h6d4c2s 8c6d5h5c2s 7s6c4s4h3d Jc8d6d5s3d 
Td8s7c5s3s KdTh6c2s2d Kh6d6c4s2h 8h5d4d3s2s 
Ad8h8c5s2h Qh5s4s2s2h KsJh8d5d3d Js9d5h4s2c 
Ac6d5s5h3s JcTd7s7d2h QdJd8d5s2d 8h7c6h3s3d 
Jh9s9h4d2c Kc8c7d3s2s KdJd6d4d3c Js8s6s5c2d 
Tc9c7c4s3c 8d6s6c4d3h Kc8s8d3s2c Th8s8c4d3c 
QdJc9s7d2d Qs9d8h8c4c Qc8s8c6c3h Jc9d5d4d3s 
JcTc8c6c3c KhKc8d3s2d AhTd5h3h2c 7d6c4c3s2s 
Tc9c8d8c2c Kc6h3s2s2c AhQc8s8d2s Js9h7d4h4c 
Qd9h7d7c4d KsQs7d6s2h Kd5d4s3c2h AcTd5s3c2c 
AcKc6d6c2c Td9d3h3c2c Js9c6h5c2d Ts7d5h4c3h 
8s7s6h3c2h AhJd7s3d2s KcQd9s8s2s Ad8d6h5d2d 
Ac8c4h3h2c Qh8c7d5s5c Js8s8d4c3h 8h6h5h5c3d 
Js7s6h6d2h Jh9s6h5d2h AdJh7h3c2c 8h7d5d3h2d 
7s6d5c4d2d Jc5h4c3s2s KcQs8d5h3d As9d9c4d2c 
KhJc6s2s2c Kc9s8h8c2c Tc8d4s3c2d 7h7d5c4s2c 
KsQc9c4h3c KhTs8h3c2d Jh9d8d6d2s AcTd7s6h2d 
Ts8c5c4c3d AsQs9s3s3d Qs6h4s3d2h Tc8s7s4h3d 
9h8s5s3d3c Ks9s6s4h4d 9h8d8c5s2s Tc9h7h7d2s 
KcQd8h8d4d Jd5h5c3s3d AcJc5c4c2s AhJh6h6d2s 
8d6h5c2s2h QsQd7h7c2h Kc6s5d4s3s Jd5s5c3h3d 
Qd8d5h4c3s Ts6d5d5c4h 8d8c7d3h3d Kd8d8c5d3h 
7s6h5d5c2c KdTc8s8c2c Jh7s5s2h2c 5s5h4s3c2c 
Ah9h4h3c2c Ah8c7s7d3c Js9h9d7c2d QsTd9c3d2d 
Ks9c6h6d4d 8s8c7s3h2c 8d8c4s4d3h QcJd7c3c2d 
Qh9d7h4c3s 9h5h4s4h3s KsQd9c5h2h QsJs5s3s3c 
AcJd5h4d2d JhJd9h3h2c KcQc4d4c2h 9d8s8d5d2d 
Th9s7h4h3h 9d6h4s4h2d Ts8d8c3s3h Tc9d7h6d2d 
AsJc5h3h3d Ks9h8h4c2c Jh9s4h3s2s AcJd7s3d2s 
KsQs6s3d3c Td8c7h5c3c KcJd9h4s4d 9c8d7s3s2d 
Jc8d5c4h3c Qc8h6d4s2c QcJc6d2d2c 9h9c8d4c3s 
AdJd3c2s2d KdJd8d8c3h Ts9c5c4d3c Td6s5s5h4c 
KhJd9d6d2c 9d7s7h3d2h Kh7s7h5h3h Ks4h4c2s2d 
Kd9d6d3s2s Qs7s5d3c2c QdJs5d3c2d KdQs8h5c3h 
Th8d6h6c3h KcTc7s3d3c Jc9s8d6h2s Qh8s8c7d4c 
Qc9d6c4s3c Kc7s7c4c3h Kh5h5d4s3h 9s7d7c3d2c 
Qc6d4c3d2h 8d6s5d5c2h Ad8s7c6h3h KcQs4d3c2c 
Jc8d4d2s2c 8c6c5c4s2c Th8h6c4d3h AdTd5h3d2c 
9c7h6d5c2c Jd9c7d5d2s Tc5h4h4d2c Kc8d5h3s3c 
As8d6d5d3c AcQs7h7d3d Qh8h7s5c3h Qh9h7d4c2d 
AdJs5d4d2d Kh9h5c4s3h AcKs6d4h2d TsTd4d3s2d 
AdKc6s4h2s Jc6h4h4c2d 8c5c4d3h2d JcTs8s3s2d 
Ts7c5d4h3d QhJs8d7d3c Qh9d8c4s3h Qc9s4c3d2s 
Kd9s8d8c2d JsTh6s3s3d QdTs5h5c2d JdJc7h3d2h 
AcJs5d4d3d QdJd4s3c2h Ad6s5d3d2h QdJd8s8d2c 
JsJh8c6d2d AcQh9d4s4d JsJd7s4s3s KhQs8s7d2c 
Qc9h8h5d3h QsTs6s6c2h Ts8h6c5h2h Ah8d8c4h2h 
JsJh5d2d2c Qh7h6s4c3h QdTc7d6s2d Jh9h5c3s3h 
KdQc9d3s3h Jd5s4d4c2s 9c8s7d4h4d KhJs7d4c3d 
Kh9c8d5d4d AdJc9s6c2h Qh8h8c7d2s 9d6d6c3d2c 
Qh9h7c4d2c AdQd6h3d2c KhJs9d7c2c Th8c5c4c3s 
Jd7h5s4h3c KsTd8s5s2s AhJh3d2h2c AhJc8c4s2c 
AdQd8c3d2s 8d7s7d4d3c Kh7h7c4h2c 9h6s4h4d2s 
Qs9s6h4s3c Ts8c6s6d3s Ac8h7s7d3s Qs9h4h2s2d 
KdJs8s7h2s KhQd9h8h4h JhTc6c5s2c 8s7s5d3d2d 
KsJs7d3s2d Qd7d7c5s3d Qh9s6d3s2d Ac6c5c3d2h 
Qc9c7h3s2s 8h8d7d3h2h 8h7s6h3d3c 7d6s6h3s2d 
Td7s5s5d2d 9s9h8s4c3d Qc9h4h2s2c Qd8s6h4c2d 
KsJh8c7c3d ThTc4d3s3d AdJd8d5d2d AcQh6s6d3s 
Jh8s7s5s3c AhJc9d6c2s KsTh7h3d2d Kd7h5s4c3h 
