Qs9h6s4s3s 
Qc8h7c6s2c KhQs8h8d2h 6c5c4c2h2d Jc8c7s6c2h 
Kd8c7d4d3s KdTc7c4c2h 9s8h8c3h2d Jc8c6h4d2c 
8d6s5c3s2h KsJh8s4s3s Jc8s8c2h2d 9h6s6h2h2c 
Kc9h5h4d3s Td6h6c4d3d Qh8h8c7h2d Js8c7c4h3d 
Qc7c5h5d3c Qs9s6d4s3s Kh9c5s2h2d 9h6h5h3h3d 
Js9s6d4h2c KhQc9d2s2c Ks6h5h4h2d AhJs6h3h2c 
Tc7s7h3s2h KhQc6c2s2d 6s4d3h2h2d Kc7c6c3s3d 
Kh7d6s6d3d Ad9c7h5h2h As6h6d5c2h Kh9d6s4s3c 
Tc9c5c4h2s Td8d7d4d3c Td9d7d5d2h Ts6h5c3h3d 
9c8d5d2h2d Qd6d6c4d3s 8c5s3s3h2h 9s8h3c2h2c 
KsQc9c4h4c Jd7d6h3c2c Ts8c7h4d2h AhJs7s4d2s 
Jh8s8c4d3c 9d8s5c4h2c Jc8h8d4s3d 7h5s3s2s2h 
Ac9s7s7h2s QsQdQcTh9s Kc9d7d4s4h Th9d8h4h2h 
KdQh8h4h3s Jc9c5h2s2d KhQs9c2s2d JsTs8s3c2s 
KsJh9d2d2c Js8h4c3s2c KsJs7s7h2c Kh8d4d3d2h 
6d4s3s3h2h KhJh8d3s3c Jd7h5c2h2c 9d7h7d6c2d 
AhQs7s7d2s Qc6h6c4s2d Js9h5c2s2d 8d6d3s2s2c 
Qh8h7d6h3h 7d6s3c2s2c Ks7h6c5h2d QhTd7s5d2d 
QcTs3c2h2d Qs9h6d3s2c KsQh8c4d2h Jh8c7s4s3d 
8d4h4c3s3d Jh8c7d6d2s KdTd4c2h2d Js8c6h6d2s 
Js9s7s7d2c Kd8d7d3s2s JcTc6c4d2c KdJh6s6d2d 
Kd9h7s6c2h Kc9h8h8d4h 9s7s4h3d2d 9c8s3s2h2c 
8d5s3s3h2h Jc6s5c4h2c Qc4d3s3c2d Kc9h7h3s2s 
KhQh8d7h2h Jc5s3s3c2d KcQh9s7d2s Qd8d6d4s4d 
9d7c4s4c2d Qc8c6d4h2c 9d5c4h2h2c 9h9d8d4d3s 
KdQc7s3h2d Th8s7c4s2s Ks9d8h5c2c KhQc9s7s2s 
Qh6s6h4d3h 7c6s5s3d2s Jh8s4c3h2c Kh9d6c4d3s 
KdJh5s3h2h QsJc6h4h2h Kc9d6h4d3s Qc8s4h3h2c 
AhTc6c3s3c KsQc9d2h2c Jc8s7c6c2d Th8d3s3d2h 
Tc5d4s2d2c KsJh8h7h3h As8h5h5c2d Kh8s7s6d2c 
As6d6c5h2d Qh6d6c5h2h 8h6h4s4h3c Th8c7d3s3d 
8h8d6s6h6d Ad9h7c3d2d Ah9c5s3c2s Qs6c5c4d2h 
Kd8d8c6d3d 6h4d3h3d2s KdQh6h2s2c Ah8c5h3h2s 
Ad8s8h3h2s QsJc5d3h2h 9h8s8h4c2h KcQc7h7d2s 
Ts6h6d4s3s Jc9d7s6s2h TsTh7d4s2s KdJs5c3s2s 
AhQs5c3d2d 8d6d5d3s2c Jc8s6h6c2c Qd6c5s4h2h 
Tc7d4s3d2c 9h6h4c3h2c KcJs4d3s2h 8h6h5h3d2c 
QdJs7c3h3d 9c6h5c4d2c 9s8s5h2s2c Kd8h3c2h2d 
QsTc7s7d2s 6d5s4d2d2c AcQc7c4c2s Ac6c4h3c2s 
JdTd8c3d2d Jd9d4s3h3d Ks9s5s5h4s 7h5c3d2d2c 
As9d6d5h2c Js8d7c4d3h Kd6s5h4s2s Qs7s7c5d2h 
Kd9c4d4c2d Kh9c6s4s3d Td7s7c6h2d AsQs4s3s2d 
9c8h7h3s3h Ks7d3s3h2h 8c5s3h2s2c 8c6c3h2h2d 
Kc8h5c3d3c Js8h7s6s2d Qd8d5c4s2d AcQs9h4d2h 
Kc6h5d3s3d 9d6s5d4c2d Ts9d7s2h2c Ah9s9d6d2c 
Jd8c7c4s3h Kh8s7c2h2d 9d7c4h3c2d QdJd5d3d2h 
Td8d7d5d3d Jc6s4d2d2c Td9h7s2h2c Tc8d5c4c2c 
Qs7s6d3c2c Ks7d5d4d3d QcTh7s7d2h 8c5s5h4s3d 
QdJs7s5c2s 8h5s5c4c3d Js8c4d3d2c 5s4d3s3h2d 
Th8h7h3c2c KdJc4h3c2s Tc7d4c3s2d 8d5c4h4c2s 
Jc8h5h5d3h Qh8s6s4s3d KsQd5h3h2h Kd7c5d4h2d 
Qd8h6h5h3h Td9d5s2h2c 8h5s5h4c3d KdJc6h6d2d 
Kd8s5h5d3d Ah7d6c3d2c Jh9c8c4d3c Jc9h7d6s2d 
Ts7s5h3s2h Kc7h3s3c2h 8c6h5c3s2d Qs8h4h3d2s 
Th8d5s5c2d KsQs8s4c2h KsJhTsTdTc KsJs7s7c2h 
Td6d5d4s2h Qs9s7c5s2d Ks8h8d7s3s Js8h7s3h2d 
AsJh7h4d2h QdTh8c3c2s Jd9c5h2s2d Tc8h4d4c3s 
Kc9s7d4s3h KdQd8d4h2s 9s8h5d4h3h As8h5c4h2d 
8c4h4d3s3h Jd5c3d3c2s Qc7c6h3s3d 8s8h5s3s2d 
8c6s5c3d2h 9h8d6d3s2c Qd4c3s3d2c Kc9d6h5s2h 
AdQs7s7h2s Jh6s6d5h2c 9s6h5d2s2c KdQh5c3c2c 
Jd8d7c4h3d 9d8s5h4c2h 9h9d8h4h2s Jh8h8c4h2s 
Kd8s8c6d2d Ad8c7s6h2s QdJd5h3d2d TsTd7d6d2d 
AcTh7h2s2d 7c6c5c2s2d Jc8d4d3h2c Jc8h8d7c3c 
9s6c5h4d2d 8d6d4d4c3s 6d4c3h2d2c QcTh4s4h2d 
Qs9s7s4d3c Kc6c5s2h2c Ks8h7d2s2c 7s6c5s3h2s 
9c8d3h3c2h Ad9s9c6c2h Kd9s5h4c3h AsQd7s3h2s 
Qh7h6s3d2d Kh5s4h3h2d As9s5h3s2d Ah5s4s4c3d 
Th9h8h2h2c AdJh8d3d2d Th7d4s3d2h 9s6d5s4c2s 
Qs8s7c5s3s Kc8s3d2s2c Jd8d6c3c2c QsJd5c3h2h 
Kd5c4d3d2h Jd8c6d3d2c QcTd5h5d2d Ts8s4d3s2d 
9d7c6s6h2c Qc7d6d4h4d Kd6d5s2h2d Qd8h5d3s3c 
Qs9s5s5d3s Jh6c5d4c2s Ks9h6c2s2d Ah6h5h2s2h 
Qd9h5d4d2s Ac6h6d5s2h Kc7s6s6h3s KsJd8s4s3s 
Kd8h3h3d2c Ac9h6h3s2s Tc9c7d3s2h 6s5d4s4c2h 
8d7s7c6d2d Jd9d8d3s2h 9d5d4d3c2c Kd9s6d4h2d 
Th7d7c6h2s Kd7h5c3s2d 7s6s3h3d2h Tc9c4s4h2d 
KsQs8c4d2s Jd9s8s3s3h QhJd7d4c2s Ks9d7d6h2c 
Th6d5c3s3d Ac9h5s5d3d QcTd6d3s2h Qd9c7h5d2d 
KdTc8c5c2c 6s4d3c2d2c Td7s5h3h2s Js9s7s7c2h 
Jh8h6c4d2h AdKc8s2s2h Tc7c5s4d2h 8s7h4s3c2c 
8h6c4d4c3s Kh7s5h3c2d KdJd5d3d2s Ad8s8h2h2c 
Jc8s7h7d3d KcQc7s5c2c Qc6s6d5c2c Ac9s9d5s2h 
QcTs5d3h2h Qd9d5d4h4d Qc6h5d4d2s KsTd4s3s2h 
QhJs6d6c2s 9s8s7s2h2d Jd6h4d2s2h Ks6d6c5h2d 
Js9h7s7c2s QhQd7s3h2c 9d8s7s3s3h Qd4d4c2s2h 
Kh9c7c6d2s Js9c7c3h3c 9s6d4h2h2d Kh8c7h3s3d 
9d5c4d3c2c 5h4s3c2s2c KsQc9d3h2c Ad9s7h6c2s 
8c6d5c3s2h 9c7c4s2s2h As9d9c4h3d QcJh7d3s3h 
9d6d6c2s2d Kc9s4d4c3h Ks7h3s3c2c KcQc8c4h2s 
Qh9d3s3h2d Jc8c6h6d2s Jd8s8d2h2c KhJs8d4c3d 
Th7s7h3s2h 9h8d4d3c2h 9h7d6s6c2d Jd9c3h2h2c 
Ks9h6h4d3h 9h7s5c4d2h QdTh7s3s3c Ah9c6s5c2d 
QdJc4s4h2s Ac7h3c2s2d Kc8h5d5c3c 8c6h6d4c2c 
Kc8s8d5h3d 9s8h8d3d2c 9s7d4h4d2s Ad9d5h3d2c 
Kd9s4s4c3c Qs6c4s2s2c 8h7d4d4c3s Ts9d6c3s2s 
Jh4s4d3d3c Ad8s8d3d2c Ac7s6h5d2s Ac8h7d3c2c 
KhTh8d3s2h Kh7d5s4h2h 9h8h7h4d3c Js5c3s3c2h 
9h7s7d6d2d Ad7s7c4s2h ThTd7s5s2s Qc8c4h3h2s 
Qd8s6s6c3h 5d4h4d3d3c AhQs6d2s2c KhQd6d6c2d 
Kd9c5c4s3h AdJsJhJd8c Kd6h6c5s2c As9s9d3s2c 
7h7d4s2d2c QdTc8s3s2h Ac8c6s3h2c Kc7d7c6c2s 
Td7s4d3h2s Qc8h7d5c2c Kh6d6c5s2c Ts8c4s3c2s 
8c4s4c3d3c Qd8c7h6d2d Jh9d8d2s2d 9s9h8d4c3c 
JhJc7d6s2d Qh8c7s4d2h Ad8h7c6s2c Kh9s8d5c2d 
AcQs6d4h2d Kc9h5s4s3d Qh7d5c4c3c Kh8s3s3h2d 
Qc9d4c3s3h QhJh5d3h2h 8h6h5h3s2d Jh8h7d4c3h 
Qs9d8h7h2h Qs7h4h2s2d Tc5s4h2s2c Qs7s7d4s2d 
Qc9d6h3c2s Js8s7s4d3c 8d6s4d3d3c KsQc8d6d2d 
Jd9h8c3s2d KcQc8d4c2h Qh8d5h3s3c QhTh4s4c2h 
Ad9h7s4s3s Ks7c6h5d2d KhJc5s2d2c Qh5h5d4c3h 
AdJh5h2s2c AdQs8c3h3c Kh8s7d6d2c Ah6s5d4d2c 
9s9d8d4d3c 9c6h6c4c3d 9d8d7d4c3h Qh9h6c3d2s 
Td8h7c4c2s Js8d8c4d3h Ad8c7h3d2d 6s5s4s4c2d 
Qs7s7d6c2h KhQc9c4d4c Qs9d5c3s2h AsJs4d3s2s 
AhTd6c5s2c Td7d6c4s2h Qc7c6h3s2h Kd5s4d3c2d 
9c8h3s2s2h Kc6h5d3s3h Jh8s8d7c2c Kh6h5d2s2h 
Ts6s5s4c2d 6d4c3h3c2h KcQc8s4c2d KdQc7d4h2d 
Ac8s8c3c2h Jh8s8c6h2h Tc7h6s5h2d Qc7d4d4c2d 
KsQc8c5c2c 9s8c5c2d2c Ks9d8c3d2c Ks7h6s6c2s 
QhQd8s8h8c KsJh5c3h2h 8s6s4s4h3d 7s7d4c2s2h 
KhQs7d5c2d KhJc7d5d2d Ah8c7d3h2h Ac6h5s4s2d 
KcQc8s4d2c QcTs6s3h2d QdJc7h3s3c Qs9s5s5h3s 
Kh9s6s5c2s KdJs7s5s2s 6c5s4c2h2c Ad8h5d3d2s 
QcJs6h3s2d Qs8h7c3c2s 9s8s5s2s2d Qh9h5s5d2c 
9h6s5s4s2c Qh8c4s3h2c Ks9c8h8d2h Kd9d8h8d2d 
Ks8d8c6h3c KhTh8c3d2h Kh7d5d3c2c 6h5d4s4d2d 
Jc5s5c4h3d Ts9s5s5h2d Kd6s6c3d2h Jd8d7d6c2s 
9d5s5c2h2d Qc6d6c4h3c 9s9h6h4c2h 8s5h4s4c2d 
8d6d3c2s2c 8s6s6c4d2s 9c8s6h4c2c Kh9s6c4s4d 
Jd9d7s6h2d Js9d7c3h3d Qd8d7d6c3d Kd7d5c3h2s 
Ad8h5c4s2c AsJh6c3s2s Th7h6s3h2s 9d5d4s3s2s 
8h7c4c3d2d 9d7s7h5d2d Jh9s6s3s3c JsJh7s4s2d 
AhJd7d4c2d Jd8h7d6d3d Ks8h7h5d2c Kh9d8d5d2c 
9d8d7s3h3d Kc9h8s5s2d Qs8d7s6h2s Jc8d7h6c2c 
Td9d6d5s2d Jd5s5d3s2s AhQs8d3c2s Ks7h5s4d2s 
Td8s5c3h3c Ad9c5h3c2h Kh9h5h4s2d Th8h6h6d2h 
Qh9h7h4s3c AdQh8s3s3c Th6s6c4h3h KsJh7d3h3c 
5s4s4d2s2h Js5s5c4d3h 6s4d3h3d2h Th9d5s5c2s 
KdQh9h4h2s JdJc7c6s2c 9s5s4c3c2s KhQc7c3s3d 
Qs7d5c4d3d Js9s6c4h2d 9d7h7c5d2d Ts8s7s4s3d 
9s6h5s4d2s 9d8s7h2s2c 9c6s6c2d2c Td7c6c3s3c 
Qs8s8h3s2h Jh7c5s2s2c QsJc7h3s3d Qs6h6c4h3d 
Ts9s4s4h3s TsTd7c5c2c Kd8s7s7c3h Jc6d6c4h3s 
Qh8h6s4d2h Kd7h5d4c2d KsKhKd3d3c Jh8d8c4c3s 
Jh9d7s3d3c QdTd4s4c2d Kc8c6h3s3c Js8s6d4h2s 
KcQd7d3s3h Tc8c7c5c2d Qs9s9h3c2d Tc7s4c3s2d 
9h8h7c3h3d Jd8s7c4c3h KcJs8h4d3h Ah8h7h4h2d 
Td6s6c5h2d Qh8h7s6h3h Tc9c6d3c2s Ts7h6d4s2c 
KhQc8c4c3d Qh9h7h6d2c Js8h8d7s3s KcTsTdTc7s 
9c6s5h5d2c Ts5h4c2s2h 5s5c3s3h2d As8s8d4s3s 
Ks7s5c3h2d 6d4d3s3h2s QcJc5c3d2c Qs8h7d6c2h 
KdQd7d6d2s QhTh7s7h2c 9h8c5d4d2d Js5d4d3h2h 
Ad9s7c6s2h Tc7h5c3h2c Ks9s4s4h2h QdJd8d6d3d 
Th9h6d3s2h 9c7h4d3c2d Tc9h8s3s2s Js6d5d4h4d 
QsTc7h5d2h Js9c7s7d2s Qs9c5d3s2h Jc8c6d5c2c 
QcTs4s4d2h Qd8c7c3d2s 8d6s4h4c3c 7c6c5c4d2c 
Ts7d4s3h2d Ah9c7d6s2c Kc8h7s7h3d Js8c7h7d3d 
6s4h3s3h2h Tc9s5h5d2s Kd9c5h2h2c Jh9s3c2s2c 
9s6h5c4d2d Kh8s7c2s2c 9c6d6c4c3s JsTd6h2s2c 
KdQs6s2h2c TsTd7c6h2h Jh7s4s3d2h Qc8h8c7d2c 
8d5s3s3c2d 9h6h4d2h2d AcKh9h3d2h Js8s7h6s2c 
AhJd8h3h2h 6h5h5d4c2h 8c7s7d4h2h AsQc6d4h2d 
KdQd3h3d2c QsJs5s2h2c Qc8c6s4h2c Jh8c4d2d2c 
Ts9s7s4s3s KhJd9c3c2s 5d4s3s3h2d Ks9h7h6d2c 
QsJh7s4s3s Ac7d4s4h3d Qs8c6d6c3h 6h4c3s3c2s 
9h8d7d4d3c 8d6c4h4c3s AcKh9h3s2h JsTs6s4d2s 
Jd8s7s4c3h Jc9s6s4d3s QsJh9d3h2h AsJd8c3h2d 
9c8c7h3d3c 9c8c5c2h2c 9d8d4c3s2c Jh9s8c3h2d 
QdJh7h5c2h 5s5d3s3h2c Kd9s7s5h2c AcTc4c2s2d 
Tc8c7h7c3c Kd8s7s5c2h Th9s6c3h2h Qc7s5d4d3d 
Qh8h7s4h4c 8c5h3s2h2c KcQs9h7h2h 9s8h6h3c2d 
8h7h4s3s2d Kc8d6d5h2d Ks7d5s4h2s Kd9d6d4h3d 
Td6d5h5d4d QsTc4d3c2h Ks9c8h8d3c QhTd8c3c2s 
9d8h5d2s2d AhTc9c3c2c Kc5s5h4d3h KhQs9s4s4c 
Ks7c4c3s2s 8s6d5h3c2s Ks7s7h2s2h Qs8c5s5d3s 
8d7c4s4c3h 8s5h3d2s2h JcTs7c3d2c Jh9h7h5c2h 
As6s4c3s2h KhQc8d4c3c Th9s5h4c2h QsJc8h4h2h 
Tc9s4h4c2d 9h6s5c2d2c Kc8s6s5d2s AcJs6c3c2d 
Qd9h8c7c2c Qd9d8c4s2h 9s8h5d3c2s AsQd5c2h2c 
QdTs4h3s2c 6s5d4d4c2d Qd7d6s3c2s Ah8h6c3s2h 
KsQh9c2h2d Ac8c7s3c2h AhKh8h4h3h 8d7h7c4s2h 
AcTs6s3s3h Qd9c7c4h3s KsJs8s6d2s Ts9s9c3s2s 
9s9c8h4d3d Qc9d5s3h3d AdKh8s2s2c As8c6c5c3c 
8h6h5h5c2h 9c6h4s2s2h Kh9d7h5h2h 7c6h3s2s2h 
KsTc8d4d2d TsTh7d4h2h Th7s5h3h3c Ks9s6s4s3c 
9h8h8c4d2h AhKs6c3d2d Kh8c4c3h2c Ts9d7c4c2h 
Qs9c6c4d3c Tc8d7h3s3h Qc9c7c4s3d Tc8d7s4c2c 
Th8c5h3h3d QcJh8s4s2s Ts8c7c4c3c KcJs9h2h2d 
AcJs5s5d2s Qh8s5h3d3c Jc8s7h4c2d Qc8h4c3s2s 
Kh9d7h3s3h AsTd5d4h2d 9h6d5s2h2c Qs7d4h2s2d 
QdTh8h3s2h Jh9c7s7c2d 9c8c7c2s2h Ts7d5s3s3h 
7s7c4h4d2c 9d7d4s3c2c QsJd8s4s2s Td9d5s3c2h 
Ks9c8d5h2d Tc9s6h4h2h Td9h5s4c2s 8c5s5d4s3h 
Qd9d5c4d3d KcQc8c4d2s KsQh7c6d2d Th9c8c3c2s 
Kc6d5s4h2h Kd9c4d3d2c AdJd8d3s2d Jc5s4s3h2h 
KsJh9c4h2h Qh8s6c4d3s KdQd7d5c2d Js8h7h5d2h 
Kd9c4s4d3h 8c6d3d3c2h Td9s7c2s2h Qc7h6d4d3d 
8s6c4s3s3h Jd9d6c3h3d Kc8d7s4s4h Kh8s8c7s2d 
Kd9s7c4s3h KcQh5h2h2d QdJd8d7d2h KsTs7h4s2s 
Js9d6h4d3d AhQc6s4d2s Js8s8c4s2h Ad7h5h4s2c 
Kh8h6h4s4h Ts7h7d6s2c Ah8c7s6s2s Qd9s5c3s3h 
Jc8s5s5d3s Kh9d8s3s2d 7d6h6d4d2s 9c8s4s3h2c 
Ks7c6s4d2s 9s8c4c3h2s 8s7h7d4c2c AcTh7h6h2h 
Th7s4s4d2d QcTh7h4s2d Kc9s6d4s4h Qc6s5s4d2h 
Qh8s8c6s2s 9c8s3h2s2h ThTd3c2s2h Kh9d6d4c3d 
Ks6d5d4h2d 8d7d7c4d3d AsTh5h4h2c Js8s6c3c2c 
Kh8s3c2s2h Qd9c5s3h3c Js8d7s3c2c KdQs8d5d2d 
8d7s4d3h2s KdQh7h4c2s Th8c3h2d2c Jd9c8c4h3c 
AdKd9d5d2d KsJc8h8c3c Jc6c4s4c2s Qc9h7c4d3c 
Qd8d7h4s4d Qs4h3h3d2s 8d5h5d4d2c KcQs6s6h2s 
AdJh6h5s2h 9h4s4d3h3c Qc9h4s3d3c Kh6c5c4c2d 
Qd7d5d4c3d 5s4h3s3d2d 6c5h4d3d2d KdQc8s7h3h 
JdJc4s3h2c AsKh9h3d2h Jc8s8d4d3h Ks9d6h5c2h 
Ts6d6c5h2s Jc6s6h4d3c 8s7d6d4d2d Ks9s8d3c2h 
Jd5c4c3s2s Jd9d6s3h3d 8d7c4d3h2c Jh9h8s4h2c 
KsQc5s3s2s KhJh7h6h2s 8h6d5c3s2h Th7c5s3d3c 
KsJh6s6c2s Js9c6c4d3c Qh9h7h7d4h KcQs6s2h2d 
Qc7s7c6h2d KsTs7s3d2c Kh8h6d5h2h As9c6h4d4c 
Qc6h4s4d3c 9c7s7d6s2s Qs8d7d6h3d JhTh8h3h2c 
KsJs8c3h3d KcJc7c3s3d Jd9h7s7d2d Th7h6d4s2c 
AdQs7h4s2s Kc9d8s5d2h Js9s7s5h2s QsJc7s5s2s 
AhTd6s4c2c Qc8h8c7c2d QsQhQd9h6s AcTh7s4s2s 
Td9d6c3d2h KcQc6c3h2s 8s8d4d2d2c QhJh7c6h2s 
QcJc8d7c2c 5d4d4c3c2d Jd4s4d3h3d Jc9h7s6d2h 
Ad8c7c5c2c KhQs9c7d2c Qh9c3h2s2c Jh9d7c3s3d 
Ad9s7h5h2h 9h5h4h3c2c AhQs8c3d2s 7h6d3s2s2d 
JhJc7h6s2h QhTs5s2d2c Qc8s5c3h3d Jc6h6c5d2s 
Kc9c6c4c3d KdTc7c4c2s Td7h5c3s3h Th8d7s4d2d 
KcJc7c6c2s Qh9h6d3s2c JcTd8d3d2d QhJs8c4c2c 
AcKs6c3c2c Qh8h7h7c3s Kc8d7c3s3h Jd8s7s5h2s 
7c6s6c4c2h Kh9c8s3d2h Qd8s7s5s3c Td9d7c3h2s 
8s6d4s2h2c Kh9c8d8c4c Ad6c5s4h2s KcJs8d4h3h 
KdJd9d3d3c Jc8s7h6h2d 9h8c5d4c3c 9c6d5d4h2d 
Js8s6d4c2s Js8d7h6d2c Ks9c4s3s2c Ks8h7h5c2d 
Qs8s6s3d2d 9c8h6s4s2s Kc8s7d6d2h Tc8s5s5h2d 
Td6d5d4h3d 9h6s3s2h2d AcKh6d3s2s 9c8s8h3s2d 
KsQh7d7c3c Jd7h5c3s3h 8s7h7d4c2s 9s8d5d4d2c 
Ts8d7s2s2c Ac9h7h7d2h 9h7s5d4c2h KsQh6h4h2h 
Qh9h7s5c2h QsTh7h4d2c 9h8h7h4h4c 8h7s6s6d2s 
Kh7h7c6h2d KsQh7d3c2s Th9s6s4c2s Kd9c8s5s2h 
Tc8h5c3s3c KcJs7h3d2c KsJh9c3c2d Jd6h4h4c2c 
Qs8s7s6s3h KcQc6c3d2s 9h7h4c2d2c Jd9s9c3d2h 
Tc5s5c3s2h KcTs8c3h2c Kc8c7c4h3d 8s5h5c4c3d 
Qc4s4c2h2d As6s5s2s2c KhQs4c3d2d KsQd6d4d2d 
QhJc8d4d2d Kd9c6s4h3h 8s6h3s3h2d Js7c4d2s2d 
9c8s7d2s2h Kc9s8d5h2h 9h6s6h2h2d Qh6s5c4d2d 
Qh4h3s3d2d Jc8h7s4s3d 9h7s7h6c2h Td6h6c5d2s 
KsJc8s2h2d Qc8s8h6s2s Kh8d7c2s2h 9h8c6h2s2d 
Ts6d5h4s2c Ks7s6h3s2h Kh7c6s6c3c KcJs7d5d2d 
KsTs7s3h2d KsTh4d3d3c KsJh8s2d2c Ac8d5h4d2s 
Qh5h3h3c2c KcJsThTdTc Kh9h6s6c2h 8s7h7d4c2h 
9d5s4d3s2s 8d6s6c4d2d Kd9c7h6h2s Ks9s5s4h2d 
Kc9s4c3h3d Ks7c3s3c2h Kc9d5d4h3s As7s7c3d2s 
Ts6s6c3c2s Kh8c7c6d2s KhQh8s4h2c 7s6d5c3h2h 
KhQd7h4c2h 9c8d8c7c2c 8d7c4c3s2s 7s6d5h3c2c 
9h6c5c4c2s 9c5h4s2h2c Qd7d5s5h3d As9d3h3c2s 
Qc6s5s4h2d 7s5s5d4h2c Kd9h6h4s3h QcJh4h2s2h 
Qh6c5s4d2d Qh8h7s7c2d 7c6c5s3c2d AhTc5d4s2d 
KhJh4h4c3h Js9s9c6s2s Jd7h5d4d3d Kd7h7d6d2s 
Jh9d8s2s2c 9s5h5d2h2c Qh8h7d2h2d Jh4h4c3s3h 
ThTc4h2h2d Qc8s7h4d2c KcTs7s4s2h QhTs8s3d2s 
Qc9s7h6s2d 8d6c4s4h3d Kh9h8c7h3h Qc8h4d3h3d 
8h5s5c4s3d Th5c4d2h2c Kd9h5s5c4s Td8h5s3d3c 
KsQc9c4c2h KhJs4d3s2c Js7h5s4s3s 8s4s4c3s3h 
7d6d5h3d2c 9c6h5s4d2d Ac8h5d4h2h Qd9d5d4d3s 
9c8h5c2d2c 8d6s5c3h2d JdTh8h3h2h Js6h5d4h2c 
Jd8d7d4h3c Jd9s5h5c2h Tc7d4c3h2h 8c6s4h4d3c 
Jc8d6d3c2d Tc5h5c3h2d AhJs8s2s2d KhQh3s2h2c 
KdJd7h3s2c Qc5c3d3c2d KcJs5h3s2s 9d9c8c3h2s 
Kd8s7h6c2s Qh7c6c4s4c KcQc8d8c2h Jd8s6h6c2d 
8h5h5d4c3s Jc9s7d6d2h Jc8s8d4h3d QsTd4s4h2s 
Jd5h4h3s2s Qh4s3h3c2s 8h7s7c6h2h KdQs8c7h3h 
Jd8s8d4d2h 8d7h7d4d3d AdJs5s5h2s 8c6s4c3d3c 
7d5h3h2h2d Jc9c4h3d3c Jc8s6c3c2s Tc7s5h4c2d 
AcJd7d4d2h Kd9s6c2h2d AdQs9c4h2c QsTc5c2h2d 
7h5s5c4h2d Qc6d4s4h3c Qd8s8d3d2s KdJs4c3s2h 
Qd8s7s6h2c KsQh9h4h2c JcTs3c2h2c KsQd8s8h2s 
5h4h3s2s2h Kc6s6d3c2h 7h6h4s4c2d Qs9s5d5c2h 
8d5h3h3c2c Qc9c7c4d3h Qs7d5h4d3d AsKh9d4d2c 
Kd9h6h5s2h 5c4s3s3h2c 8s8d5d3d2c KcQd9h7h2h 
Ah8s8h4h3h 4s3s3c2s2c Th8d5s3s3c 8s6s4s4d3h 
Jd9h3c2h2c Jd8c7d3c2s Td7s6s3c2c 9c8s5d4d3d 
Ks9h6d4h3c Qd9s5h5c2d Qc9s4c3h3d Ts6d5h3d3c 
Jc9d8h3c2s KsQh9d7c2c Jc8h5h5d2s QcJh7d3s3c 
