JsTh6s3h2s 
8c7s4d4c3d Kh8h7h5c4h 8h7c4h4d3d AcQsJh6d2d 
AcKd9s5d2d KdJd6d5d3h Jd9c7s7c2s Jh9d7h4c2d 
Th9c6h6d4h 9s7h5h5d3c KdQs9c8h2s JdTs9c3s2s 
ThTc7h3c2s Td9c8d5d3s As9h8c6d4c Qc8s8h6s4s 
QhJhTh3h2c Kd9h5d5c3s KcQs9s9d3h Qs6s5c3h2c 
Ah6d5d4s2s As8s5s4h2c AdQh6h4s3h Jh9d5c3c2h 
JsTh8h5h3h Jh9s8s3s2h AcJd9d7d2h 9c6c5d3s2s 
Qh5s5d4d2h Js7s7d5d2d 7d6c5h3s3h JhTc9h3h2s 
Td7h6s5s5c QdTd6s6d3h KcQh9d7s2c JhTd6c4c3s 
QdTd8h7d2s Ac6h5h4d2d KdQs8d7h3c Ts7d6c5d2c 
QhJs9d7s2c KhTd7c5s3c 9h9c7s3c2h AdQh8h5s2h 
QhTsTh4h3h Qs7s6h5d3s QcJh8c7d2s QcJhJc3c2c 
Kc9h8d7c4c KcJd4h2h2d Qc8c7h6c2h Qs9s8s5d4c 
Ts9h5c4h2c KdTs4d3d2s Jd6s6d5c4h KcQs8h7d4h 
Js9h7h6c3h KcJh9h8h2s Qh6s6h4h3s 9c7c6s4h3d 
AhJc7c6c3d QsJs7d4h3c Ah9c6h4h4d QcJh7s6d3h 
Tc9s8s8h4s Td6h5d5c2c Kh9d9c4c2h KdJc9c8c2h 
Ad9s9h7h3c JcTs7h7d3h AcTs7d6s3s AcJd6h3h3d 
QdTd6c5d2h Qc8h8c7c4s AsKd8h5c2h KsJd5s3h2c 
JsJh6h5c2d 8c4s4c3s3h Qc9h8c3s2s QsTs5h4d2s 
Jd5h5d4s3h Qc9h8c5d2s KhTd8d5d4d 9s9c8c4h4d 
AcTsTh7d2s Ah9s6h4h4d Qs8s8c4h2c Ah7d6s6c5d 
Jh7d7c5d4s 9h9c7s3h2c QsJd7c6d2c Qs9c5c2s2h 
9d8c7c5h5c Qc8d5d2s2c 8s8h6h4d3c AhQc8s5s3s 
KdTc6d5d2h KcJh7d2d2c KcTs6d5c2c Qh8s6c4h4d 
JhTh4h3c2c Ac9s8h6d4h 9c6d6c4d3d JhTs8d4d3d 
6c5h4h3c2c Kh8h8c4s2c KsKc9d3h2h Jd8h7s7c4s 
ThTc7s5h3h Js9d8d3d2s 7h6s5d5c4h QdTh9d4d2c 
Qc8s7s6s4d JsTd9c6h2h Qs6c5c3c2s Qd8s8d3s3h 
KsTh5d5c4h KcTd8h7d3s AhTdTc7s2c JcTh8c4c2s 
AdQs5d3d2c Qd9d6d5s4d KdJd8s8h4d AcJh9d6s4s 
KdQdJd7d3h ThTd6c4h3s Qh9d8c7s2h AsJdJc6h3h 
QsTd9c5c2c Kd9s9d3s2c JsJh7s4d3c 8s8h5h3d3c 
KcJd5c3s2h 9s6s5d3c2c Qc9d5d5c2d 9d8h7d5d3c 
Js9c7s7h4d Qc9d7d5h4s Th9s6d3d2h Td8c7h6s3h 
9c8c7d5c3s Jc7h7d5d4s Ts9h7d3d2s QdTc8h4d3d 
7h7d5d3c2h 9s6d5d4s2d Kc7s5c3d2d KdJsJh6c2h 
JhTd7c4c3c AhTc8s4d3d Qs6s6d4c2d Qh8d7d6d4c 
AsKh7d7c3c KcJh9h6h3d QsJd7h4s3c Td8s7h6c3h 
Ad9c6d4h4d Ts7d6s4d2c KhJc5s5c3d Ks9s7s7h4d 
Jh9s8c2s2c Qs9h9d5c4d 8s5h4s4c3c 8d4s4d3s3h 
AdQc6h4d2d 9d7d5h4s2h 9s7d5c4c2s Ah9d6d6c5d 
QhJh7s7h4d 9c8s5s4c2c 9h7d5s5d3c 9d8c5h3c2d 
Kc9h6d5h3s Jc9s8h7d3c Td9d5s5h4c KsJs9h9d3s 
Ah5s5d3c2h 7d7c5c3d2c Ts9c5c4c2s Qh9c5h2s2c 
Jh7h7d3h3d Ts7s7c5d2c 7h6h5d2h2d AdQh8h4s3c 
AcJc8h2d2c As9d6h6d5c As8d3d2s2d Qd9h9c4c2d 
Td9h8c7c2c As9s5d3s2d Kh9h5c2d2c Qh6s5s4c2c 
KdTs7c6d2d 9s9d6s5s2c 9s8h8d4s2d 7d6h5d5c3s 
Qs8s6s5h3d Qd9s8s3d2s Kh8d8c7c2d Th7h6d5d2d 
QdJh9c7c4c 6s5s5h3c2c 8d8c6c3h2h 9h7s6s6d2d 
Qd9d7c6h3d AdJd9d4d3s AhTc9s7c2c Qc9c8d7s2h 
7h7c4c2s2h 9s8d7d5d5c 9s7s7c6s2c Jh9s9h8c4h 
KdTsTd5d2h Kh9d8s8c3h Qh7h5s4s2c Jh5s5h4c3s 
Th8c7s7d4c QcJc6s5d2c QdTd8h4s4d KsJh6s5s2c 
AsJs9s4c3s 9h7h6s6c2c Kc9c8c5h4s QcJc6s5h2c 
AcQd8d5s2d Qd9c8h5h4s Kh9s8s3s2h QdThTc7c2s 
Th8s5s5h2s Kh8s8h4c2s Ts8s5c4c2s KcTc3s2s2h 
Qs7d5c4d2s Jd9h8c7h3s AhKd6d4d2c Jh5h5d4s3d 
TsTh8c6d2d AsTh9d4h3h Jd7h7c6c5c 8d4d4c3s3c 
Tc8s5c4s2s AhKh8d2s2h AcThTd7s2d JdTh9c3c2s 
QcJd9h4s2c AsJs9s6s3c QhJh8h7h5h 8d7s5h4h3c 
6s5s4d2s2d Ks7s6d4d2s Jh9s7s4c2h JhJc9s4d3s 
AhQd8d7c2d Tc9s6h6d3c 9s7s7h6s3c 9h8c7c5s5c 
Qs7d6s4c2d Ts9c8h8c4c Tc8s7d5h5d Tc7d6c4d2s 
Tc8c5s5d2s Qc9c5s3s3c Td8c5h3h3c 8s7d6h5s2c 
KdJh6s5h2c Ks9h7d4h3d JcTs8h6c2c Kh9h8c5s4h 
AhTc9d7d2d JcTd9h6d2d Td6s5c4d2s Ah9c3d2h2d 
Th7d7c6c2d Tc7d4s4d3c Kh8h8d5c3s QhJs9c7s2d 
Qd7d6s5h3d AcThTd7h2h 8h7d4s4d3s Td8s8d6c2h 
9h8s7h5h3d QdJd9c4s2h KsQc8d7s2h Js9c8s8d4h 
QhQd5s4s2s Td8h6h4s4c Kh7h6d4c3h Th7h6d6c5h 
Jd8h6s6h4c Jc9h7s6c3c QhJh9s4c2d ThTd9c4h2s 
KdQd6h6d4d QdQc9c4c2h QcJsJh6s2s KcQd9h7s2c 
8s7d7c5h3c AhKc9s9h9c AcJd7d6d3s Ac8d5s5d2s 
AcJc9c4d3c QhJs7c4h3d JcTh8h6s2h Jc8h6s6h5h 
Ts7d6s4d2h AhTc6d3h2s AsTdTc7h2d Jd9s7s6h4s 
Jh6d5c4s3h 6h6c5h3h2c 9h6s5h2s2c Qd8d7s7d6d 
Jc9c8h6s3d QsJs8s7s5s 8h8d6d4c3s AcQh9h8h3h 
Tc7c4s4h3s Qh7d6h4s2d AsThTc6d3d Ac7s7d5s3s 
Kd8d5s3c2c AcQhJsJdJc AhKs7s4s3s QdJc6c4h3c 
Th8c5h5c2c Qd9d7c5s5h Ac9h8s6d4s JhJc5h4s2d 
8s8c7d6d3h Ts9c5d4c2d KhTc9h5d2h Tc9s9c7c4c 
KcTs6h5c2c 9h6s5c3s2h Qc9h8s5d2c AcTs8h8d2s 
Jh8h6s6c4d Ts9c5d3c2s KcTsTd7c2c Jh7h7c3h3c 
QcTc6s3c2s AhQd7d5s2c QcJc7h7c4d AsJc9c4c3d 
9s8c7s5s3h KsQh9d7c2s AdJc9d3h2d Jc9h9d6h3s 
KhJd9h4s4c 9c7d5d4c2s QsQd9s6s2s Qd7d6s5s2d 
7c6s5h3h3d As9c3d2s2d Ks7h7d5d4c Qs9h6h3s2d 
Jh7h6h5d3c 9s7d5d5c2s 6s6h4s4d3c Qs9s7s5d2d 
Th9s8d7c3s Td7d6s6c5d AsJs9c4s3s Qd7c6d5d3s 
AhKd9h4c2h Js7s6s5h3d JsJc8h5h3d 9s7d4s4c3d 
Ks9d7c5h4h Ks9d5c4h3s Tc9d9c7h2s KdJsTs6h2s 
AdTd5c4d2s KdJh9c5s2h KcQd9s9d4h AdTs9c4s3s 
8h7h6c2h2c KdQh8h5s5c Jc9h7h4s2c Td9h5c3h2d 
QhJd6d3c2c QdJs7h6s2h QhTc8h8d2h AdJc8s8h3h 
KdJc6d2d2c QhTh8d7h2s KcJs9h7d3d KcQs4h4c2d 
KhJd7s2s2h TsTc7d6d3d KsTs3h2h2d Td8d7h6d3s 
QhTc8s5c2d JcTs7s3h2h QcTd9c4c2h QsQh7h4d3h 
9d6h5d2s2h Kh9c5s4d3h QhTc8s5h2h KsJh4d3s3c 
KhJh7c3c2s Td9c8d7h3d QdJhJc6c2c AdTsTc7s2s 
Ah6s5c4h2h Tc7d6d4h3s KhQs6h6c3h Tc7s7c6h3d 
KdTsTh6c2h QcTs5h5c3c AhJc6h5h3h 9d8s7d5d4d 
AcKd9h5d2d Js8d8c6c4c 9d4h4d3h3c 8s7h4s4c3c 
KdJs9c6c3h AsKd9s4h2s ThTc9d4c2s Td9c5s4c2s 
AsQh4s4d2s Ah8d7d6d4d Qc8h8c6s3d TsTd7c5s3s 
KhJh6h5h3d Ac8s3s2s2c 9h7c6h6c2c Kh8h6h4c2c 
KdJhJc6h2s 9c8s7h4h2c Qd5s5c4c2d Jh9h9c3s3d 
Ts7c5s3s3c 8h5h5d4c2d KdJd5c2d2c Ts7d7c6s2c 
AcQs8h4c2c QdTs7d6c2h QdTs7c6c3c KdTc6s4c3h 
Ad9s6s6c5h KcQd7s5h3h JsTs4s3c2c Qs9c5h2s2c 
Jd7h5h4d2c Kh8h8d4s2d Jh8c7c6c4d AdKh8c6s3c 
8h6c5s3s2h Tc7h7d5c4c AhKd9c6s3c Jh9d7h4s2d 
Ts8c6c4h4d AdKd8c2s2d Jc9c6h6d2h Ks9c8h8d3s 
Jd9h9d8c4d Ks9s6h3h2s ThTd7c6c3c Th8h8c7h5h 
QsQh8d4h3h 9c6s5h3h2s 9h8h8d5s3h QsTd7h6h3h 
Jc9h7h6h4s Td9s7d4c3h Th8c6c5c4c AdKh8h4h3c 
Qs8h6d4s4c As7c6s3s3h Jd9d8h6s2c Qc8c7s6c2s 
JdTh8h6h2c QdJd9d3s2s JhJc8s5c2c KhQs8c6c4c 
AdJd9d5d2c Jd8h7c4c2d Jc7s6h5h4h 8h7h6c5s2d 
JsTc8h4h3h KhTs6d5h2h Th9s8s8d3c Qd9d5h3c2c 
Kh6h5s5c4h TsTh7d5d3c Qh8h6d3d3c 9s7c5c4s2h 
KcTh8h5d3s Ad9d7d6s2c Ac6s5h4c2c Jc8s5s5d4h 
QhTd8c5h2h KcQh9d6d3s Ts9c7c3s2c KdTsTh6s2c 
KdTs8s5s4s Kc7s6c4s2c AcTh9d7h2h TdTc7c3d2h 
KsJd9s5s2c Jd8s6s3d3c KhJh7c3d2d Js9h9c3s2h 
Th9c8s8c4c JsJd8c5c3h AcKc8s2h2c Jh5h5d4c3d 
Ts8h5c3h3c Jh8d7h4h3d Ks7d6s4d2s Qc6s6c4d2s 
Jc8d7s6s4s 8h6d4s4h3d Ad7s6s3d2d Kc8h7d4s4c 
9d7h5d5c2c Th8d6s4d4c Kd8s7h7d4d 9c7c5d4h2h 
JsTd8h8c3c Kd5h5c4h3c Kc9s9c6d3c Kd6h6c5c2h 
9s7h5h4s2d JhTs8s4s2d 6s5s4c3s2c Ts7c6d5d2c 
9d8d6h5d2s KcQs9c7h2d QcTh7c2h2d 9h7d4s4h3d 
Tc9d4s4c2d Js9h5d3d2s Ks9h9d8s2c Js8s8d5c3h 
JhTh6h5d2s Tc9s9h6d2s AhKd9d4s2c QcJc4h4d3s 
Ac9d7s5h3s Ah9d6h4h4c Tc7h6d5s5d Ts9c8s5s3h 
Ks9c6h5c3d JcTs8c4c2d Jd9s5h5d3c Qc5h4h3h3c 
8h8c5c3s3d Kh9h9c3c2s 9s7s5c4d2d KdKc9s3h2h 
Ac9s9h7h3d AhJc7d6s3c AhTs9h5h2h QhTd9c4d2s 
8h5s5h4d2s KcQh8s6h3d TsTh7c5s3s 8h7d5d4s3c 
AcKh9h4d2s KhQcJc8c2d AsJs9s3c2h KcQd7s7c3h 
Jd9d8c6s4d KdJhJc3d2d 9c6d5h3c2h QsTh8d5s2s 
KdQs9h8c2s JdTs8d4h2d AhJc6s5d3c AdJd9d6d3c 
Jc7c6c5h3d 7c6c5s5h3d 7d7c5c3s2d Qc7s7h6c5c 
Kh9d7c6d3s Jh8d7c4d3c Jc9h9d8c3s 9h8c7s4s2h 
8c6d5h4s3d Qs9c6h6d4s JsTs6s5h2d JhTd8d6c2d 
Qc9s4h3h3c KcQh7s5d3d Td7h6s6c4d Th7s6c5h2c 
Ts9d8s7s3c AsTh8c5d2h Ah9c7s7d4d Qd7d6s5c3d 
AdJd9d5d2s KcJs9s8s2h KsJc7c4d2d Jh7s6h6c5h 
AsTc9h7h2h QcJs9c7c3h QsJc5s3s3d Kh9h8s5d4h 
Qh8c7h6h4h 9c4h4d3h3d Ks9h6d6c5h 7h6d5s3s2h 
TsTd7s3d2c Ts8s8c3c2h 9s8d7s5s3h Qh9c8c3h2c 
QhJs8d7c3h 8h6c5s5d4s JhTh8d7h2h Kh9c5c2h2c 
Tc9s8d7d2d 8d7d7c6h3s Jh8h7s4d2d Kd9s6h6c5c 
Js9h5s5d3c 9c8d7s5s3h QhTh8h5s2c Ad9d7d6h2c 
AsQc9c6d2h AhJs9d7c2s 9c8d7h6c3c 7s6c5s3d2d 
Th9d6c3c2h Ts8c5s5h4d Kc8s8d6d2s JsJc8s6d2h 
Td6d6c5c2s QhQd6d4d2c AhJh8d2s2h Ts9c8d7s3s 
QhJh6d5c2h Qh9h7c6d3h KsQd9d9c4h 9c7s5d4d2c 
JsTd5d3h3d KhTh6d5s2h Td9h7d3c2h QhQd9s3h2c 
KdQc7h7c4c Qs8s6c3h3c KdQs7h4h2s 7c6c5d2d2c 
Qs9h9c5d4c Ah8d6s4s3d Jd9c7h7c2h QdJc8d7d4d 
KsQc9d9c3h QhTd7h2s2d Ah4h4c3h2c Qd9d8h7s2c 
Th8c6c5s5d KhQh8h8d3d KhQh5h4s4h Qh7h6d5h3c 
Ad6c5s4d2d 9c5s5c4h4d Qh9d8c5h2s QdQc8h4d3d 
Jd9d8c6s3h JcTc6h5c3c 9h7h6s4d3c Jc8c6h4h3c 
7c5c4s3s3c Qc9h9d5s4h AhTs8s6s3d Kh7d5c2h2c 
AsTc7d6c3c Td8h7s6h3c Ad8s8d5d3d Ac8s6s6h4d 
KcJs8c3s3c 9c8s7d5d3h Kc6h6d5d2h KcJs6h5s2d 
KhJs9s8s2c 9h9c7s7d2d AcKcJc5c2c KsJd5h5c4h 
JdTh8c4c3c JsTs8s5s2d Qh8d5h4d2h KhTh6d6c3h 
Qd8s7d6d2s AsTs8h4s3s 9s7s7h5c3s 9s9h6d4s3c 
KcJh7s4h2s Ad8d7d6h2c TsTh6d4h3c AhTh8d4h3h 
Td9h7s7c4c Qh8d6c4d3c AhKd6h3c2h Jd9s7s6s4s 
KsTc7s5s3s Ts9h8c7d3h KhJdJc6s2d Js7c6d5d4d 
Kc8s7h4d4c KdTd6d6c3h AsQh6d5c2h Jh9s5d3d2h 
Ts9s9h7d2c 6h5d4d3h2h 9s8h7s5s4s Kd6s4d2s2c 
8h8c5c4s3d Kc9d7h4d3h Qc9s8c4s4c 9h8c5h4c2c 
6c5s5c3h3d Jh6d6c4h3d Ks6d4s2h2d QcTd5s5c3c 
Td7d6d5h4d JdJc6c5c3c Ad9s9c7c3h AdTs7h4h3c 
Ac8d6s6d4h JcTs8c7c3c QcTh7s5s5d 9c8h7c5d5c 
AcQc5c3d2s Td7c6s6c2d 8h5h5c4d2c Jd8c6h6c5c 
QhQd9d4d2c Ac7s6s5s3h 9s8s8d4d2d QhTc7d7c2d 
Ah9h9c6h2s Tc9d6c3h2h KcJsTh6d2d Th8s5h5d4c 
AhKh6h4h2d QcTc8s5c2d Th6d5s4h2d AsTd9h7h2h 
Th8s8h3s2d Ac8s8d6s4s JsTc5d5c3c Kc9h7h3d2c 
Jd9h5d5c3s JsJc6s3c2s QhTc7h4h3s KdTd5s2s2d 
Th8c5s3s3c AhQhJh6d2h Tc7h6s5s5d Tc7d6h5h2d 
Qh8s7s5d4s AcJh9s7d2h Qh8h8d3s3d Kh8s6h4h2s 
AsJs9s3h2c AhKd9s9c3c KhQc9d8s2c Kd9s5d5c3h 
Qd8c6s4h4d 9c6h5c3h2d AcQd9d5d3d AhJcTc6c2s 
JhTs8s5s2s Ts8d4h4d3s QhTs6c4d3c 9s6h5d3h2s 
KhQc8h3c2c QdTd8d6h2d Kd9s7h5c4c JsTd6c3c2d 
Jd9c7c6c4c Ks8s5c3h2h Kh9c7d2h2c Th8d5h4d2d 
Th8c4s4h3s Ks5d5c4c3d JcTh9s3d2s JdTs8d7d3d 
KhTd9h5c2h Ts8h7c6c3c Jc9d6c4d2h 9h6s6c2s2c 
Tc7d6s4c2d Ks9d8h7s4s Ks8s5h3d2d Td9s4d4c2s 
Ad8h5s5h2s Jd9d6h3h3d 9d7d6h4c3s QdJs7h6c3s 
AdTs8h8c2s Tc9h8d5s5d Qc6s5s5d2d KhTs6s5s3d 
AdQs9c4s3h Td8h8d6s3c KhJd6h5h2c KhTd8s8h3h 
Ts8h5s5h2h AhTc8d5s2c 9s7h6h6c2c Js8h6s6h2s 
KsTs8s5d5c AcJs6d6c3c QhTh8c4h4d KsKc8h4h2h 
Qd9s5c4d3h Jc9s8d7c2h 9c6h5c2s2h 6d5h4c2d2c 
Kc8c5h3s2s 9d9c6s5c2h QsTs8h5s2c Kd9c8d5d4h 
QhJh9s4d3h Jh9d7d7c2c Kd9c6c4s3s Js9d8h5c2s 
ThTc7s5s3d Ah8h7h5s3h Qd8d6d5h3c 9c8s7s5s4s 
Qd9s8h6h4h Kh9s9c4s4c AhKs8s4s3c QsJc8h7d3s 
KdQd6h6d3s Qh9s8d4d3s Td9c7d4s3h AdKh9c6s3s 
AsTs9s3s3c KdTc8s8d3d KdQd8c4d2c KdTsTh3d2c 
Qh7s5d4d2h Qc7d6c5c3s 9s8s6c5s2h AhKc9s9d3d 
Js9h8s8d4c Ks9h7d5c4d 9c7h5h3c2s KhTd8s7d3c 
KdTs7h4c2d AsTc6h3s2d 9h9c8h7d3s AcJs6h3s3h 
KdJc6d5d2s Kd9h7s6c3s QcTc6d3c2d AcKh8h4h3d 
Tc9s6h4s3d Kd8s5h4h3s 9c7s5h4h2c KcQc6h6c3d 
Qc7s6d4d2c AsJd6h3h3d KsJh9h5d5c Td8c7h5s5h 
KsQs6h2s2h KsTdTc3s2h AsKh6s3d2s Ac9d4c3d2d 
9h9c6h5h2d Kh7h5c3s2s 9c7h5d5c2d Jd9s8s5h2c 
KdTh6h5h3s Kh7s7h5h3c 9c8h7d5d3s KhTc8h5s3h 
Qc8c6h3s3h KsJh7d2s2d Qc8s7c4d3d KsQh9d9c4h 
9h7d5c4c2h KsTs7s5s5d As9s7s6c3s Kc9c8h5s4c 
JsTh8h4d2h 9c7s5s3c2h QdTh8s8d2d 9h7h5c4s2c 
KsTh7d5c3d Qs8s8d7s4h Qh9s8c5h2d QhTs8s8d3c 
KdQdJd4d2c 9s9h7h3s2d Jc7s7h5h4d KcQcJh3c2c 
Tc6d5h5c2h AdTsTc7h2c AhJh8d2h2c AdJd9d3c2s 
Ks9h9c4h2s KcJc8d3d2d Kh7d5h4s4h Qd9s8h5d2c 
QsJd7c5h5c 9s9h8h7d3c AcTh8s5d2h QsTc8d5s2s 
KcTc6s6c3d Jh7c6s5s4s KdTsTc6c2h KcTh6h5h3s 
KcTs6h4s3d Qh9h5c3h3c AdKs7s4s3s AhKs5c4d2d 
7h6c5s5h3d QsJd6d5d2h KhJsJc6s2d AcKs9s4d2h 
QcJs9h9d4d QsQh6s4s2d Qd8s8d4c2s 9s9d5s3s3h 
7c6h5s5d4c KsTs5d2s2d 8c6h6c5d3s Qs8h6c4s4d 
JsJc8h5c2c AsQs6s4s4d 8h7h5c4d3s As9s6h5s3s 
QhTd8c5d2s Qh9s8d5c2h Th9s6d6c3h Qs9d8h5s2c 
Tc9s4h4c2h KhJd9s8d2d KhJs5d4d4c Ks8h4s4h3c 
Qc8h6h4d3d Qc9h7h7d5h Qc6c5s3s2h 8s7s7d5s4s 
Qc9s8h6d4d Qs8s7s7c6s 6s5d4s4d3s Kd6h6c4d3s 
KhJs7d4s2d QsQd8c4d3d AhKd9s5d2d 9c7h5h5d2c 
AdTc9h7h2h Qd7s7c5d2c Qs6h5h5d2d QdTd8c6d2d 
Jc6d6c4d3d 9h6s5s4h2s AhQs6s4c3s 9c8s6c5c2h 
9h8d7d5d5c Qh9h5s3s3h AcKh9s6s3s QsTc9h5h2h 
QcTc9c5c4c Jh8s6h4s2s 8s7d6h5h2c Qd8s8d4h2s 
Ac9c7s7d2c QsJs5s4d2c AcKsQs7s2s QdJh5d3d3c 
Js9h8h7h4c AsKd9c6h3c Qs9s8d7h2c KcJc8s8h4c 
9c4h4c3s3h ThTc5h3s3d 8c4d4c3s3d 9c7h6c2h2d 
Kc7c6s4d3c 7c6d6c5c3h Qh9h5s3c2c AcKs8d5h2h 
8s7s6s5d3s AsKc8c4c3h QdJs6s3c2c 8s8c5c4d2h 
KhJc8h2h2c 8s7d7c5c3h KsQs9s5d4s KcJc7d5c3c 
KsJh6d5s2s KsJh7c4h2c QcJs9h9d2h Ks8h8c7c2h 
KcJh9s6d3s Tc8h4d4c2d Qc8s8c4h2s QsTs6c5s3s 
Ah9d7s7c4s 8s8h6s5s3s QdJc8s7h3d Qh9s8c6h3h 
QsQh6h4h2c AhQd8d4s3c 7s6h5c3c2s Jd9c8h2h2c 
Kh9s6s4c3c Ac8c7c4h2s KdJc7s4c2s TdTc9h6h2s 
AhKh8s2h2c Kc9s6d5s3h Jc9h7h6h4d Qd8c6d6c2d 
Ac9h6h5d2d Qd9c8s4d2s Ac9d6h6d5s Jd8c7s6s4s 
QhJc9s7s4s KhTsTh4c2h Qs9d6c5c3c Tc9s8h5h3d 
Td8d7d4h2h QcTs5s4s3d Jc7h7d6d5d Qs8h8c4h2s 
Qd8c7c6c4h Js9d8h7d2c Tc9h9d7h2s 8d7s6h5h2c 
KdJs9d5d2c QhJd8c6s2d 8h5d4s4h3s Qs7d5h4d2s 
Ks9h8s5d2c AsJd8h3h2d AcQd7d5s2h Ts9d5c4d2c 
Qh7d6d6c5s KcTh8d7h2s KhTh6s6c3h AsJh8d3d2h 
Qh9h7d4d3h Th9d5c4d2c Kh8h6s2s2c KhTc9d6s2c 
QsJh9s8s2s Qc9s9d6d4d 9c8c6h4h2c Tc8d8c3d2s 
Td8h5s5d4c KcQd9c8c4s Th7s7h5c2s Jh7d7c6c5c 
8s8d5c4h3d TsTc8d4h3c KdTd6c5h2d Kd9s6h4h3s 
Td9h6d6c4d KdQh8s7d2c Qs9c8d6d4d Qd6d5h3c2h 
Js9s8c6d3h AhQd5h3h2c 6h5c4h4c3h AdQcTh3h2h 
Jh9c5c4d2d Kd8c6d4d2c Tc7c6d4h2h Th8c5d3d3c 
9d8c5c4d2d 9c7c6d4s3h As9h6h5d2d QdTs8c4s4h 
Ad9d7d3s2s Qs8s5d5c4h JsJc5h4s3s KsJs4h3h2s 
6s5c4s4c3s Ts8s8h7s5s Jc9d7s5s3s Kc9c8c5s4h 
QcJc9d4h3c 8h5h5d4d3s Qc8s7c4h3h KdJsJc6h2c 
8c7s4h4c3h Th9d5s3d2h Jd9c7c6h3c 8h8d5s5c2c 
Ks9h7c6h3d QdJd8d7h4d Td7c6c5s3h 9s8s7c5s3d 
Ah8h7h5c3h 9s7d6s4d2c 9c7s5c4s2d AcTh9s4h3h 
7d6d5h5c3s KhTs7c6h2h Qh8h8c7h4s TsTh7c5c3d 
Td9h6s6d4d Kh9s5h2s2c AdQhTs3s2s QcTc9c4s4d 
6d5s4s3d2d Qs7s6c4d2d KsJdJc6c2h Ah9h8h5h3c 
QhTs7d6d3d JhJc8c6s2d AhJs9h3c2h TsTc8d6h2h 
QsQc5c3h2c KsJs7h6c2d Qc7c6d5h3c QsJd8d6c3h 
KsQc7h7c4c 9s8c7d5d3h KdJs4c3h3d 9s9h8c7d3h 
QsJc7d5h3d TsTc7d5h3h KsTd6d5d3c Ts9d8d8c3h 
KdJhJc6d2d Qd8s7s5h4s 7h6d5h5c3s 7d7c4s2d2c 
9c7s4d3d3c 9c8h6h5h2s Th9h5s5c4d QcJs7d4c3h 
Kh9s9d4s4d Js9h6s4h2c Kd8s4s4d3h Jd8c6h6c4s 
Qd8h8d6c3s KhTdTc7h2h Jh7s6d5d4d Js9d9c8s3h 
AsQh6c5d2h Ts7c6d5s2d Jh9s7s5s5c JsTs6h5s3s 
Jc9c8s6d2h 7c6d5s5c3h AdTd5s5d4d AcKc8s2d2c 
KsJh7s5s3s JhJdJc8h8d QdTh7d6c2s QhQc8s6d2s 
Qs8s7d4d3d Js9d4s3s3d KdTd6h6d3c Tc8h4d4c3d 
9d7s5d4c3h Qh9h7h5c2c Qd7s7h6c5h ThTc8h8d8c 
QhTh7h6h3s AcJh7c3d2s AhQc6s4h2h Qc8h6d4h3d 
Kd8h4h4d3c As9h5s3h2s KdTd7c4h2s QdJh5d3s3d 
JdJc9h7d2d Ts8c7d5h5d AdKh7h6s2h AcTd6h3c2s 
Js8h7d7c4d Ks5d5c4d3c 9s5s5h4h3c QcTs9s4h2d 
Ad8d7d5h3d Ah8h8d3h2d KcTd5s4h3d Kd7d7c5d3s 
