AhJdJc2s2c 
Jh8d6d5h5c JdTh8s3s3d KdJd7s5c3h Jh9d6d5c3c 
7c6c5h4h4c Qd9h8d6d4h Qd9d7s5s5c KhQcTd7s4d 
8h8d7d6c3h Ad8s4c3d3c AhQcJd6d3s QcJh7s5d4c 
JsJc4d4c2d KhJc9s8s6d Ah6d6c5h3s AsKsTh6s2c 
Qs8s8c5s4c KsQh9c8c2h KsJs6c5d4s AcQs5h4h2s 
Td8h7c6d3h AhTsTc7s4s JsJcTs4s3d KsQc9c3d2s 
KdQc8s7h6s QsJc8s7s5h QsJh7s7h3d KcQd9h6d2h 
Th9s9c7h2s Jh9s9c6c3s Js9d9c6d3c Tc7s6s5d5c 
Ac8h6d5h5d KsQd6d3h2s QdJc5d4c2d QdJh8s6s5c 
KsTd8c6d5h KcJc8h6s5c Jh7s6s5h5d Ac7s7d6s6h 
Jh7h6s6d5s Ts9d5d5c4s AcQh7h3h2c AhKd7s5d3d 
QhJs5h5c2s AcJh6d5s2c Ks8d7h5d4h QhJcTd4s4h 
QdTs8h4s4h AcQh8h8d3d KsJdTh6d6c AhKh6h5s4h 
AcTsTd7s4s Qs9d7d7c5c KcQcTs5d3c KsJsTd6h3s 
AcQc6c5s3d AcKh6d5h3h JcTd7s3d3c JcTsTd9s3s 
AhQd6s2s2h 9s9c6h4c3s QsQd6s5s3c QhTc6h3d3c 
TsTc8h5h3c KsQsJs6c3d KsTh7h5s2h JhJdTh7h3c 
QsTh8d8c5s JdJc8d6s4h AsJs8h7c3s As9c8h7h6h 
KhJh8s6c5h AcKs8s7s4s AsQh6c2s2c KcQh8c6d2d 
7s7d6c3d3c Jd7c6c5s5d Tc9s8h5c3s Ad8h7s7c3d 
JhTh9h5c4d JcTsTh9h3h QhTdTc9d3s Ac7c6d5h5c 
Qd9s7s7c5c JhJc9c3h2s KsTs8h6s4d ThTc9c6c5d 
KhTd7c5h4h 9s9h8h5s3d AdTd7c6h3d AhTh9d4h3s 
9c8d7d5s3s QhTs9c7d5s KsKcQs3s2s KsThTd6d2h 
KcTh6h6c2d Kh8s6s4h3c AdQh9h8h6h JdTd8s8c5h 
AhTs7d4h2c Js9c7s7d6h Kc8h5c4s4h AcQc9d2d2c 
7h7c6s6c4c Kh6s6c3s3h Ah9s8h7d4h QcTd6d5s4h 
AdKc9s5h5c Jd9s7d6s3s Ad8c7s7h3d AdJs8h6s5s 
AcKs9d5s5h JdTc6s5s2d Qs9c8h7d5s TsTh8c6c5d 
Jd9s9d8h2h 8s7d5s5c4d KcQhTd7s5s Jd9c6c5s3s 
AsQh6d4d3h Ac9s8d7d6d KsQh9c6h2c QhJs5s3d2h 
AhQhJh2s2d AsThTc9h5h Th8h6s4s4d AdKhTc3s2h 
Ah9c6c2s2h Ts9s7h6d6c QdTh8s4s4h JhJcTh5s2d 
AdTd7d5h3s AhTh7c4s4h Qh9h8c6h5d KsJh7h6d3d 
9h9c8d7s5h ThTc6s5c4d AhKh8s7c2h KdJhTsTh2h 
Jd9h8s6h4s Ks9s6d6c3d KdJh6h3d3c Ac9s4s3h3c 
AsKsQh6d2s JsJc7s2d2c JsTh9c8s5s AcJd8c6s2h 
AdKc9c7c4h AhQh9s2s2h Kd9h9d8s3s Ad9s8h5d4d 
AhJh5c4h4d KcQhJhTh2h Kc7s5s4s4c KdJhTh5h3c 
ThTd6s5d4c KcTc9d6c4h QcJs9h7c5c Tc9d7h6d5d 
AcQc9s5h5c Ac8h4d3h3c QcJs9c3s2h AsJd7h3s3c 
ThTc8h6c2c Qh8s8d7h4s QcTc9s5d3h KsQsJs8h3h 
KcTd4d3h3c KsQc8s8h3c Ac6s5s5c2c AcKcQd9c3c 
JdTsTd8h2c AdTh8h8c4s QsQhTc6c2d Ks9c5d4s4c 
AsKd5d4d3c Jh9d8c7d5d Ad9s9d8d4c KdQd8s7s3h 
KsQdTh4s4c Kh9s6s6h3s Js9s9c7d6s QcJcTc6h3s 
JhJc8c2h2c JhJc9h6h5h JhTh8s4s3h QdJh9h6c2c 
JhTs9h6c3d KsJs9d4c2d AdQc8s6h5s KdJsTs5c3s 
Ac8h7h6s5d KsQcJd8h5h AsQs8s8d6s KhJd8h5h2d 
AhTh6s6h4c Kd9c8h8c2d Ts9d7h6d6c QdJc9d7d5s 
QsQh9c8d2h JcTs9h5d4d QhQc6h5h3s Kc9s8s6c2s 
9h8c7h6d3d AhTh6h6c4d KdQdTs5c3d AsQhTd6s2s 
Ks8c7s6h4d QcJh8s5d4h Kd9d8c5c2s As9h6s5c3d 
JsTs8c6s5s QcJd8h5s4d QdTs6d4h2s KsQsJs9s6c 
AhTh9h8h3d AdKs5s4s3h Kd9d8s7h2h 7h7d6s6c5c 
QhJh7d6h5s AdQd4h3s3c QdTc9h6s6h KdQd5c4h3s 
9h9c8d7h4d AhJh8h7d3s JsTc8h5h4d QhJd7c5s4h 
JhTh8c6h5h AdQs8s5c2c 9s8c7c6c5h KsQs9h7h3s 
QhTc9d6c3s JhTh9h8s6h AdQc8s8c4h JdJcTh7c3c 
AcQdJh5h2s QhJdJc7c2d Ah6c5s3c2h Tc8d7h6c3d 
Td8d7s6c4h AdKdTd4h4d JsTsTd8c2h 9d8s6h5s2d 
Kd8d7h6c3c Kc9h8s8h2c Th9c8h7c3c 9s9h8s8d3c 
JhJc8s3s3h JhJc4h4d2d QdJc6c4h2d QdJhJd7c2c 
AsQhTh7h3c AcQs8c5h3c AdQsJh5h2c AsQh8h5d2d 
QsJdTd4c2h KdJdTs6h3d QsJdJc9d2h TsTh7d7c4h 
KcJdTs9d2d KsQdTc7h5h AdTsTh8c3s KsJd8h7c4s 
Ts9h8c7c2h QcJd6s4c2d Qs6c5s5h4h QdJh5d5c2h 
JdTd9d5c4s KcTh7d7c2h TsTd7s6h5s AsJc6d5d3c 
AcJd8s6d5d AdJh6c5s2d KcQdTd6s3d Ts7h6h5c3c 
Qh9h9d8s7h KcQcJd9c6c KcQd8c6h2h 8s7c5s4d3c 
AhTd6h4s4c KdJd8s4s4c JhTh8d8c5s Kc8c7h6d3d 
Ad6h5h5d2d KsTdTc7d5d AsQs9d8h3s JcTh8s3s3c 
AcJd8h7h4s Kc6d6c5s2d Qc6d5h4h3c 9h8s7s6s5c 
KdTd8c7s4d KdTd8c6d4s TsTc7s6d5s Jc8h7d6s5c 
AdJc4d3h2h KdTd8h6d4c JhTdTc9c3c QsTh6h6c3c 
AhKh9c5h3d Ac9s8c7d4c AdKhTc8s3s AhQc8h5s3h 
QsTh9d7c5h KdQs9s6s5c QhJd9s3s3h AdQcJc9c2s 
AsJdJc2h2c AdTsTc9h6h As9h6h2s2d Qd9h8c6d2h 
Kh8h7c6s3s AdQs8c7c5c KhKcQs8s2d JhJdTs8c4c 
Qs7s6s6c5c AdThTd4c3d 8d7d6h5s4d Jh9d7h5h3d 
Ts8s7d6h4c KhQhTh6c4h KsTc7h6c4d KsJh7c5h4d 
JsJc9s6s5s 9s8h8d6h6c Td8s7s5s5d AcTh9c6c3s 
Js9c8s7h3c AdQhJs7c3h KhQdTd9d2c Kh7s7c5c4s 
Qc7d6d5c3d JsTd6s5d2h 9h9c6d4h3c KsQcTd9c4c 
KhTs9h3c2c Ad9d6h4c2h AdQh4d3s3c 8s8h6d5s2d 
KcJhTh5s3h Qs8c7s7d4d KdQc9h8h2c Kc8d5h5d4c 
KhQc6c3s2h 8s7c6d4d4c JhTc9h6s3d AsQs6d5h3s 
AhKc8d7h2h KhTd8s7h4h KdTc7d5s2s Ts8d7c6s5h 
9s9c5c4s3d Qs9h8c6c2s 9s9d8h7c5s AhJs8h6c2d 
Kc9c7s7d3d AcTsTc4h3c KhJs9d8c6c KsQs9c6h6d 
KdQd8c6s4h KdTc8s7s3c Kh8c7h5d4s QdJd9c4h2c 
JcTh9s5d4d KdTs5s5h4h Kd9c6s5s3c Jd9s7c6s5h 
AdKdTh6d2s JhTc7d3h3c QcJcTd6c4c AdTc6s3c2d 
KdQd7h6s2h KhJhTh6c3d AdTd9d6h3c QcJs9c7c5h 
QdQcJs9h4h KcJs9d9c6c AhKh8d7h2c QcTh6h6d3d 
9h7h7d5h4d QsJhJc9s3d QcJsJd7d2s Jd9h9c8h4c 
JcTh9d7d4s AdKh8s4d3c Js9s8s8h7d KcTh7d6h4s 
Kd9s8h8d7d JsTs9c4d3h KcTd9s8c2h KdQcTh9c4c 
JsJh8s2s2h Jh9s6s5c3c Tc8h7s6c5d Qh9h9d7s3d 
QsJdJc7d2c KdTd8s7c4d Jd7h6h5s5d 9s8d7s6c3c 
AsKsJh3c2s KhQc8h6d4s Kh9d6h6d3d AcTc7d5c4c 
Jh8h7s5s3d AsJs7s6d5s KcJcTd3h2s Th7d6d5h3s 
TsTh9c6c5d 9c7s7c5c4s 9d8h6d5s2s KcJs9h7c4d 
QcTh8d3h3c KhJdTs9s4s 8s8d7c6c3d TsTd6s6c2d 
AhTsTc8d4d AhJh6h6d3d TdTc8c7h5c AcJd6s5h2c 
KsJs8s6h5c TsTh8c7s5s 8s7d6s5c4s Td7h7d5s4s 
JsTs8s5c2c QsTh6s5d3c Jc8d7h6s5c 9s9d8c6h5c 
KhQd9d6d5s QsJdTc5h2d JcTdTc9h5c Kh8s7h6c4d 
QhTsTh8d2c Ad7c5s3s2d Qs9c8h6d5c KsQsTc5s4s 
AcTc6s6c4h AsJcTh7d3d QhTc7h6h6d JdThTc6s4s 
QsJs8c6c2d Kc5d5c4s3s Qd6h5c4c3d AdKhQc7d2d 
AsKh9s6d2c Jc9s8h6s4h Ad9c8s7s5h KsJs7h5s4d 
KhJhTh9c4h JhTs8s8c5d KsTh6c4c3h QhQdJd9c2d 
Ad9h8s7s6s AdKdQs7c2d Ac9d8h7s5s Kd5d5c4c3h 
JhTc9d5h3s QcJs7s7c3d KcJs8s8d7s Ad9h7d2h2c 
KsTs7d5c2d KcTc9d8s5c 7h7d6s3s3d Qd9s7s6d4d 
As9s8d7s4h JhTd5h4d2h KsJc7c6h3h Kd9h8h6h3d 
AsKh7s6s4s JsJdTs7s3h AdKcQd7d2h AhQs8s6d2d 
Ac8s4s4c3h KcTd7h6d5d 7s7d6d3s3c Ts7h7d4h4d 
QsQdJc5d2d Td7h6h6d5d KdTh6c4c3h Jh9s9h7d6h 
AcKd5d4h2s QcTs7s5d3d AdKdQc7h2d JcTsTc9h2c 
Kh7d6h4s4d AcQs7h6d5d Td8s7h6h5c JsJh8c3h3c 
Qc9h8d6c2h JsJd4h4d2h AcQs5d4c3c KcQd9h5h2d 
KhTh5h5c4c KcQc9d7s2d AhQs7s3h2s Jc9h9d6d3h 
AdTd6h3c2c JsTc7s7h5d TsTh7d7c4s KsJh6h3s3d 
Qd8h5s4h4d KcQd9h5s4c AsJh7d3s3c KcTc8s7c4h 
Jc8s7s5h3c QdTs7h7c6h Jd8s7d5h3s Qs9h8c6d5h 
QhJd9s7h5h AsJh7s4s4c QsJd9d3s2c AdTs7h7c6c 
AsKd8h4s3c TsTh7d6h5h 9d8s8d6h3s Js9h9c8c3h 
Qh8d7h6c5s Kd9d6h6c3h 9c8h7s5c3h Jh9c8s5c3s 
9s9d8h7c5d Js7s7h5h4h KcTc7d7c3d QcTd9s6d3h 
KcJh6s6h4s KdQd9h8d4h KhTs7h7c2s AhQd5s4s2d 
KdJc8s5s5c KdQd7c6s2c TsTh6d5h4c AdQc7s6h5s 
JdTd9s7d4c TsTc9d5d2s KcQs8s4d2c AsKsQs6d2c 
Th9h8c5c2c KsQhTh7c3d KdQh9c8c2h JcTh9h7d4h 
JdThTd9d4s KdJc8h7s7h AdQc9c3d2d KhQc9d5d2c 
JhJd5s5h2s 8c7s6h5c4c AcTsTd9d5d AsKsQd7h2s 
As6s6h4c3d Js9c6c5d3d Jd7d6h6c5c KhQhTc6h3d 
Js9s9d7s6c AsJd8s4h2c Qs9s7h6h4s KdQhTc7s5s 
KsTs9h7d3s QhTd8c5d3c KsKdQc8s3s QhJsJhTh2h 
KhQs9d8d2s Ks9s8s8d7h QhJs5h4c2c AsTd8s5s4s 
QhJd7h5d2c AhKh8s4d2c KsQcTh9c4c QsJdJc9c4h 
KdQsJh4c3s Ks9c6h5d4s KhTd9h8h5c Jh9c8h6c4h 
QdTc7d6s6d AdKs7d7c2h Qd9h7h6d4d Jh9d8c7d6d 
Td9h7h7c6s 9d8h7s5d3h AcJs3d3c2d Qh8d7h6s5c 
QhTc9s8d5s Ac8d7d6s5h QdQcJc6c3s QsTs7c6d5s 
Ah8c6h6d5h ThTd6h3h3d 9c8s6c5d2d AcKd4h4c3c 
AsQc8c5h2h Td9h9c8d7d Ah7s5d3d2h QcJd8h7c3h 
Ts7s7d5d4d As9d8s4d2d QhTc7c5s3s KdJd7c5h3s 
QdJc9c7c5s Td9s5s5c4d QsTd8s5c4s AcTc9c6h6d 
Th9s7h6d6c KdJd7d5c4h 9d9c8c6d3c QsTd6s5c2c 
KcQcJs9c6c 8s8c6c5c2s Th8s7s5h5d Ac8h4d3d3c 
KhTs6c5h5d TdTc9c6s5c JsJh9d8d5d KdJcTh9h4h 
AsTh9c8c4d Qc9s7s6h4h KsJs9c7d3h AdJh6c2h2d 
QcTs4s4c3h KsJs7c5h3d Td7d6c5s3s KdQsQd8h4d 
Ac9c8h5s5c QhJc9c3h2s Ks8s7c6d3d AsKs8s5d2h 
Th7h7c5s4s KhJhTd3c2s Ts8d7h6s3d QdTc9h5s3d 
Qs9h7h7c5c Kh7c5c4h4c JsTh7d6h5h KsQcJc9h4d 
AcQsTc4h2c JcTs8s5h4s AhQs9d7s2d QcJd8c7c5h 
QsQhJd8c2s AcJh9h3c2c AhKc9h9d4h AdKc8c5s5c 
AsKh8s7s2c QsJs7c6s5d KsTd8d7d6d AdKdTc2s2d 
QhTs6s5c4d Kh9d6h6d4h KcQc7h6s2h ThTc8s8c3d 
AsKsQs6h2c AhTd7c4h2s 9s9d8c7d4c Ac9s4s3d3c 
QdQcTh8c3c QcJh5h4h2c KhKdQc8h3h QsJc9c6h2h 
AdTd7h6c3d QdJhTc4s4d KcQd9c6h3s JdTc8s6c4c 
QdTh9s7c5h QdTc9d6h4d TsTc9c7h2h Jh8h6s5s5h 
QhJdTs4h4c KdJs8h7c4d 7s7h6h6c4h Js9d8c7d5d 
QhTh8s5h2s TdTc9d6h4s QsQh8h5d3c AsKdQs7s2h 
AhKc7s6s4s KcQsTd9s4s KhKdQc8c2s QsQdJs6s3c 
AdQs8d3h2h JhTd9c8h4s Ac6s6h5c3d JsJcTc6h3d 
KcQd9c6s4h AhJcTs7d3d AcKcJc4c3s KcQc8d5d2s 
KhJd9c6s5c AsTc9h7s2s JcTh9s8h2d Ah8h7c6h5h 
Qh6h5s5d4s Ks9c8c6c3s KhTc8s8c6d Ts8s7c6d4h 
KhQhJh9h6c Kc9d8h8c7c AsQh8s3c2c AdKdTs4d2c 
KhQsJh7c3d Ks8h6s5c4d KhKcQs8c3c KhTh8s7h4c 
Tc9s9c6s2s AsJs9s9h5s AhJs3h3d2d AsKc9d5h5c 
JdTd9d8s6d AsJs5d4s4h AsQh6h4d3d Td9h9c7d2h 
QdJs9d7d5h KdJd7c5d4h AdKhTd4d2c KsJs9c8h5s 
ThTc9c6d4s QcTc7h5c3h QsJd9s3d2c KsJdTdTc2d 
AcTc7c6h3d Ks9d6s5c2d KcJsTc6c3d Qc9d8h6c2d 
QsQc7h6s2h Tc7c6h5d3h JdTs8s5c4s AsQdTs5s3s 
Ts9h8d7d2h JhTd8c7s4c Qc8h8c5c4h Qd9d6h5h3d 
KcQsJd8d5d Kh9h8d7d4h KhTs8d7d3s Th9d8d5h2c 
QsJsTs6d3c AhQd8c6d4s AdTs7h7d3d KdJs8h6h2d 
AsKdTs4s2c KcTc9d7h3c Qd6d5s5h4h JhJdTc9c5c 
Qc9h9c7s3h KcTc9h8s5c QhJd9d3h2s KdTd8d7h7d 
Ks9c6s6c4s KhQsJd8c5c KdQh8d6s2s Ac7h6d5h5d 
AcTd8s8h6h Jd8c7c5d5c JhTd8s3s3h AhJc8c6c5s 
Ac6s5d3s2c AdJh8d6s2c JdTh8d3s3h KcQd8c6s2s 
QdJd9c7d5s Ac8h7c4h3c Qc9c7d6d4c JcTh8d3d3c 
AhJh6h6d5c KsJsTd3h2c AhKh8c7h2s KsKhQd4c2c 
AdTs8h8c6c KdTc9h8d2s Kc9h8s8c3s KhJc9d8s6s 
AhJs8s6s5d As6s6c4d3h KhQcTs7d5d JhJd4h4c2c 
AhQd6c4c3d Qh9s9h6h6d KsJh9d8c6c JsJcTs7s3d 
KsTc5h5c4h JsTd7h5d4d JsTd9c4h3s AhJsJd9c2d 
KhJdTdTc2d JhThTd9h4c Th8s7c6c5d QcJcTc9d5c 
Kd9c8d6s2c Kh9h6d6c3c AsKc8s7s2d AcQh6s5s2h 
KdKcJs6s2h As8h8c6h4c KcJs8d7h4c AsQd9h7d2h 
QhJd8s7h3s KhQc9h7d5h Ac9c8d7c4s Jd8d7s7c4s 
KsJh9s9d6s Qc9h8s8d6c AcTc6d6c4s QhTs8c5s3c 
7s7d5s5d2h QhTs9c7s2c Jd9s9h6h3d AsJh8h6h5d 
AdJd8h7d3s KcJs9c5c4h Td9d8h5h2h JhTh9h5s4d 
Ad9d8d6s2s KdTd7h7d3h Ad8s7s6c5h AcQc9s8d3c 
As9c7h6h4c 9h8c7d5d3c AhTs5s3h2s Qd9d6c5c3d 
AsTs9s8s3h Kd5h5d4h3s AsQc8s3d2d QdJh9d3h3c 
QcTs9h6s3d 7h7c6s3s3c Kh9h7d5c2d AdJsJh9c6c 
QcTs5s5c3s AhJdJc7s4s QcJsJc5c3d QdJc6h4d2c 
KdQc9c8c7c AdQc9s4h4d 8h7c5h5d4c AhQc5h4d3h 
AcQsTd6c2c QsJs9h7h2d AdTh7d3s2s Jc9s9h6s3c 
8s7d5s4c3d QcJsTs7s5s KhQd9s5s2d KcTs7s5c2s 
Qs9d8s6d4s AsJd6s3h2d AdQh9c7h2c AcKc6h4d3c 
AdTh9d6d3s JcThTc9s2c AdJd8s8c2h KdQh6d3c2h 
KsQhJh5h3d Ad9s5s3h2d QcJs7s7c3h AdTc8d5d4d 
AhKsQh7h2d QsTs9d8h2c Jc9h8c7c5s AcJd9d3c2c 
Ad9d7s4h2s AsQs9h3s3h Kc7s6h5s2c AcTs7c6h3c 
QsJc8h6h5d AsQc7h6h5d Ac9s9d4c2d KdJc9h6s4d 
QsQcJh9c2c JdTs8c3d3c KhQcTh8d3s KcTd5c4s2s 
AsKdQc7s2s KhQhQc8s4h AcKd9h5s5d AsTh8h8c4d 
AdJc9s8h6h Kd9d8s8d7c AdQh8s8h5h QdJc9d3c2h 
9h8h6d5d3d AdTd9d7s2c Td9c8c5d2s QdTd7h6d6c 
KcQhQc8s4c QcTc7s6d5c KcQd8c5h4s KhQcTsTd2c 
Qd9h9d8c3c QhJs8d7d7c AhJd8c5s4d AhQh8h8d6h 
Kh7d7c5c4d ThTd8h6d2d AdTh8d5s3d KhQsJc8c5c 
KhJhTc3s2d QsTd9c3s2c 9s7s7h5s4h AcQd6s2s2c 
AdQsJs9s2c Qc9s6h5c2h AcKs5h3s3d KcQhTd9h4h 
AhKcTd2s2c Qh8c6d5c3h As9s7h4d2h QsTh6c5c2s 
QdJcTs4h4d KhTd7h7c2d AsQs6c3h2h AsQs9d5s5h 
AdTh9d6d3c Ks9c6d5d3c Jc9s8c7c5h KsTc7d6h5d 
QsTs8h7c5s KdQdTd7d5c Qh9s7s6d4d AsTs7s6c3d 
Jh7h6s5s3d Kh9s7s6h2d KcQsQh6h2d Tc8c6h4s4h 
8d7c6h5d4d QsQhJh6h3c JcTd9s7s3h KhTd8d8c6s 
KhTd6c4c3d JhJcTs8d4d AsQc7h6d5d Td7s7d6s4s 
AhJh6c4s3d KsQdTh6h6c AdQd9c8s3d QcJd9s7c5c 
QdJh6c4d2h Ad6d5s3c2c AcTc4s4d2d KsJc9d8h6h 
Qd9h7h7c5c TsTh7d6h4c KcJcTs7h2d Tc9d8c7s2s 
KdJd7h6d3h 8s8h6d5c4d KhTs9h8h5c AhQh6c3d2d 
TsTd9d6c5d JdTsTh9h3h Kh9h8d6d4h Ac7d5s3s2c 
QsTc7s6s6h Th8d7d6c5s 9h9d6c4h3d KhTh9c5h4d 
KsJh8c6d4s AcKd8d5s5d JsJh8h2s2h QsTd8c6h4c 
KsTc7s7d2c KcTc7h5c4s Ah8s7d7c3h Ad9h9d8d4s 
Ad9s9h8d2c Th8d7d5h5d QsTd9s8h4c AsTs9s6c3d 
QdQcJc7h3s KdJd7h5s3c KhJh8h6c5d TdTc7d6s4h 
KsTh7d6c5d Th9h8h7c6h AdKdJd6s6h QdTd5s4c2c 
JsJdTs4c3s QdTd8c7h5d Ad6d5c3h2h QdQcJh9d2d 
Ks7d7c5d4c QdJs9d3s2c QdTsTd9h4d Jh7s7h4s4c 
Jd9h9c6h3d KsQdJd5h3d QdQc7s7d4d AcJh9h7h5h 
AdTs9s9c4h AdTc7d5h3d QhTd9s6d3c KsJd9c7s4h 
Ts9h9c7s2h JhJc9d3h2c QhJh9h8c6h JdTs9c7c3h 
Ac6d5s3d2c AsQc9h5s3s Ac7s7h5s3h TsTc9s6s5d 
Td8h7h5d5c JcTd9h8s3c QdJc5d4h2h KsTs9s7s7h 
QcThTd5h4h KsTs7d4s3d KhJc9d7h4s KhQh9c6s4d 
AdTc8s8h6h TsTd7s6c5s JsTd9h8s4c KsTd7d6d5c 
AhKd8c7h2h Qc9d7h7d5h Js7s7d4h4d KcQd9s7s6s 
KhQd6d3c2h AdTsTh8c4c QdJc9s3s3d KdQsJs9c4h 
Jh9h7h5s3s AcQd8c5s3c KcQs9s3h2c JcTh9s4d3c 
QcJdJc8h4c As9d7c5s4s AsKs9d5s3c JsJd9s6s5s 
Qs8d7h5d4h QcTs8d7d2s JhTc9s3c2s QsJh9d7s5s 
QsJc8d7h7d Qc6h5d4d3c Jc9s8h7s5d JhJd7h2s2d 
QdJc9s6h5h AdJh9c4h3c AdKd8s4c2h Ts9c8c5d3d 
AhTh9h8h3c Ad8c4s4d3s AdTs7d6c3d JcTs9h3s2h 
AcKc6c5s5c AdQc7s6h5h QhJhJc8d4h Jh8c7c5h3s 
AsQsTd6s2c TsTh8h4c3s KhQsJs5c3s AcJd6h2d2c 
Qd9s8h8d6c QcTc7d5c3d AcKcJc3s2d JcTsTc9d2c 
Qs9c8s8h6d Td9s8h5d3s QhJd9d9c6s QsJd6d5d4h 
6d6c5h4c3h QsQcJc9d2c AhJh6h6d5s QdQcJc5c3c 
Ks9s8c7h2h Kh9h8s7s4h Th9s7s4h3d 7h7c6d6c4s 
KdJd9h9d6c As9s8h5s5c AcQh8s8h3s QcJhJd9d4s 
Tc9h7d6c4s KcTs9c3h2h AdJd8s7d3c JsTh7s5h2d 
AdKs9h5s5c ThTd6d6c2h AsKhTc2h2d QdTd8c7c2d 
AhKd4h4c3h Js9h8c6h4c Tc7c6s5d3d KsQsTd5s4s 
AcKhTs2h2d QhTs8h7h2s KsJc7s6s6d 8s8c7s5s3c 
7h7d6d6c4d KdQsJc7h3d 9h9c7s3s3c QhJd8c4h2d 
Kc9d9c5d4c Ad9h7d2s2h KcTh8d6h5s AsJs7s6s5d 
KsJc7d5c4h Js9d8s6d4s KsKd8d4h2c AdJsTs6s5s 
Td7h7d6h4h QhJsJd9c5c 9h9c6h5h2c Js9h9c4s4h 
QsJs9d4h2d QsTs8h5s2h Tc9c8c7s6c Qc6d5d4s3c 
AsTc9c4h3h JhJcTs9s5s QhTh5d4c2c AsQs9h8c3s 
Ad8c7h6c5s 9s9h8c6d5c QhTh7c6d5h QhJc9h3s3c 
TsTc8c6h5c Ah6h5s3c2c AsQh9c7h2c AhJd9d7d5d 
QdJh9c7d5d JhTc9s8s5s JcTc8c6h4d KdJh9c6s4d 
KdQs9h7h6h Qs6s5h5d4h Qh9d8s6d5c Kd9d7s7h3s 
AsJs8s6d5s KsJd8h6c4s JsJcTc7c3h KcQc9d6d2c 
KdJdTc6s3d JsTh9c8d4h QdJhJdTd2d AsKdJh7s2s 
QcTh8s7s2h QhJs9c3h3c Ac6c5h3s2s AhKcTh4h2s 
Qs8d7s7c4c KcJh7h6s3s QdTh6d5s3c AcQsJd8h3d 
AhKh6c4s3h Td8d6h4s4h QsTd6c5c2s QhTs4s3h3d 
KsJhTc7c3d Qh9h7d6d4h AhKhQd9h3h Tc7d6d5h3h 
8s6h5h5d4d 8d8c7h6h3c Qc9d8s5s3c JdTc9h7h4s 
QsJd6h4d3h QhTs8d6c4d Kc9c8s5s2d Ah9c7s6s4c 
KdJd7s5h3c 7s6s6d5d4d QhQdTs8s3c KdTs7s6s5c 
