Kd8s4h3h2s 
Jc8c4h3d2s KhTc7h7d7c Qs9d8d4d2d Qc6s5s2s2h 
Js5s5d3s2c 9d9c4h3c2c KhJc6d3d2d Ks9c8d4c2c 
Jh9d6c3s2s Ac9s5h4h2h Kh8d3s3d2s Th5h4d3c2s 
Th6s5s3s2c Jd6h4d2s2c Kd9h5h3h2c Qc6d4s3d2h 
Jd8c4d3d2h Ks7s4h3s2c Ad9c5s2h2c Qd7c6c4h2c 
ThTc4h3h2h Kd7h5c3h2s 9h8c3h2s2h 9h8d3h3c2s 
Ts7c5d3h2d 7d6h4d3d2d Kc9h6d3s2d 9d7s6d3d2d 
9d7d4s4c2h Kc9d8h8d8c Kd8s7d3h2d Ah9s9h9d8c 
Ks8s4s4c2h Ks9s6h3s2s As6c4d2h2c Kd8s4d2d2c 
Qh9h4h3s2d 9d5c4d3h2d As8c7h3c2d 9d8h4s2s2c 
7c6h3c2s2d Qd7d7c4s2d QdJd7s2d2c Jh8c4s2d2c 
8s8d7c3c2c Kd8d4d3h3c Qs5h4h3h2d Ad7c4c2s2c 
Qh6h5d3h2h Ks9s4h3d2s Ac7c4h3c2c Kd7c5h2s2h 
Jc6s6c2h2c Qs9d7s3h2s As9h7h3h2c Kh6s4h3h2h 
Qc9s4h4d2d Js5h4h4d2h Td7c5h3c2s Kd9h5h3h2s 
Qs8s4h3d2c 7h6h4h3h2d Kh9c4s3d3c Kh9c5d2s2d 
Ts6c4h2d2c KsJc8s3s2s 9d5d4d3s2c 9h8d4h3s2c 
Ks5s3s2d2c Qd7h6h4s2h Ac8s8h3s2d Td5s4h3c2d 
Qs9h7h4d2c 9s5h4d3h2h Jh5s4c3d2s Ah9c5c4c2c 
7c6s3h2s2d Jd7d4d3s3d Kh9c6d3s2s Ad8c7s3s2s 
Ah7h3h2s2c 9d4d3h2h2d 9s7s4c2h2d 9h7s4c2s2d 
9h5c4c3c2d Ts7c5h3c2d 9s9h4h3d2h KhTc4s3s2s 
Ah9s9d3c2d Tc8c7c3d2s Qh8c4h2s2d Kc9c4h4c2s 
Jd5c4c2s2c Jh6s6h3d2c Td5s4d4c2d 9d5h5c3h2h 
Th7c4d3h2s Qc5s5c3c2h 9s4h4d2h2c 9h5s4d3s2s 
Ad9h7c3s2c Th7s7c3h2h JhJdJc7s7c Jd6h6d2d2c 
QdJh8s8h8d KhJc6c2d2c Ks7d4s4c2s Qd8h4s4c3c 
Ts5h4d4c2d Kh9d7s3d2c Js7d4c2s2h Js6s5s3c2s 
Jc6d6c2h2c Ad7d4c3d2d Ks3d3c2h2d Ah9d6h3h2h 
Jc9s3h3d2d 9h8c4c2d2c 7c6c3h2s2c Ah7c6s3c2d 
5d4h3h2s2h As9h5h3h2c Jc7c6c5c2c Qs7s5s3c2h 
As9c6d4c2h Tc7s5d3c2c 9h6s3h2h2d Qd8h7s4h2h 
Kh8d4h3s2c Kc9c5c3h2c Qd8c5c3c2h Ts6d4s3s2c 
Jd6h6d3c2s Kh5s3d3c2c Th7h7d3s2h Kd6h6c3s2h 
Th6h4h4c2h Kd9s8c4h2h 9h8c3d2s2d KdJd9d3d2d 
Qc8d8c3c2s Ks5d5c3c2c Qh7s5h3c2h 8d5d3s3c2h 
Ks9d7c3h2d Qc5c3h2s2d As9d6c2h2d Ts7c5h3d2d 
Ts8c5c3c2c As6s6h6c4h Qh8d4s3c2h 6d4h3s3c2d 
5d4h3s3c2h Kh9c6c3c2s Js8d4h2d2c Jc7s7c6c2c 
9s6d4d4c2d JsJhJd8d5s 6h4s4c3d2h Qh9s6h3h2h 
Ad9h6c4s2c Jh5c4s3h2h KhQsQhQd9h QcTc7c2h2c 
Ts7d6c3s2s Ks9d4h4d3d Jh8h6h3d2s Kh9s6s3c2s 
QcTh9s9d9c Ah7s6s2s2c 9s4h3h2s2h Ah7s4d2s2c 
9s4h3d2h2d Qd7h5h2s2c Qc9h7s3c2c TdTc4h3h2h 
Kc9s8h3d2d Th5d4c3s2h 6s3s3c2s2d Th5h4h3c2d 
Js6h6c4d2c Ah9s7c3c2d As7h6h2h2c Ad6c4c3h2s 
Jc9h3h3d2s Qh5h5c3h2s 7h6h3h3c2d Kc8s5d2s2h 
9d8h4d3s2c 9d5d4h4c2d Jd9h7d3d2d TsTh7h7d7c 
8d6h4h3h2h 9s6d4d3d2h 9s4h4c2h2d 9c4h4d2s2d 
Kh6d4s3c2s Kh7s5s4s2s Tc8c4c3c2s Th6s5s3s2d 
Qs8h4s3c2d Td9d7d3d2d KsQd8d3d2c AhQsQdQc4c 
9d4h3s2s2h QdJs7c3s2h 9s6s4s3d2h Ac9d6h4s2d 
QcTc6c3c2c 8d6c3s3h2s Tc8s3d3c2h 5d4s4h3d2d 
Kh9h4h4d2c KsJd8h3h2h Ac8d5d3s2h Ad8c7h3s2c 
Td6c4h3s2h Ac9d4d3h3d Js5c4h3s2s Jh8d4d3s3d 
Ks9h5c3d2c Ts6s4c3h2s Qs7d4h3d3c Qd7h5s4h2h 
QsQhQc9c3h Qc8s7h3c2d Jc8h6s2s2d Qs8h5s3s2s 
Td5c4s3d2d Js5d4d3d2h Ts7h7d3c2h Ah8h4h2h2d 
Jh8h8c3s2h Kh9c8h3h2h Js5h5d3s2s Ks8h8d4c2h 
9h8h3s2h2c Jh5h4d2s2h Qh6s6h4h2h Qc8s8d3c2h 
7s6s3c2h2d Jd7s7h4h2h Th8h7s3h2c Jd5s4c2s2h 
JdJc6d3d2d Jc8c7c4c2c Kh8d7c2s2c Kc9s7d2h2d 
Ad9s7s3s2h Kc6c3h3d2c Qd8s4d2d2c Tc8h3c2s2c 
Qs9s3h3d2c KsJc8h2h2d Ah7d4c2s2d Js8h8d3s2s 
Ad9c6c3h2s Ks9c7d2h2d Kd9h6d3d2d 5c4c3h2s2c 
Qs7d4c2s2h Kh9h4h2d2c 9d7d6d3d2s 6c4d3h3c2s 
Qc9h8s3h2h 9d5c4h3c2c 9h5h3h3d2c Ks6h4h2h2d 
KcJd6s3s2s Jd7c4h2s2d Th7c6h3h2s Qd9d7c4s2d 
KsKhKdQh8h Ah5s3d3c2d Qd5s4h3s2s Qh9s7c4s2d 
AcJs6h3s2s 4s3s3c2s2d Kd7c5s3h2c KsJd7c3h2c 
Kd7h4d4c2d Qs9s4d3s2h Ac9s6d4d2d 6s4c3s3d2h 
AcKc7c3c2c Jh8d4s2s2c Ks9s4c2s2d 7h5h3s2h2d 
JsJhJd4h4d 7d5s3s3h2s Ac9s9h9c8d 7s5s3h2s2d 
7h7c6s6h6d AdJc6c3s2c Qh7d5h3c2h Kd7c5s3c2c 
Kd7d5d4d2d 9d4c3d3c2c 7s6s4s3c2s KhKdKc4s3d 
Ah9s8s3s2s Qc9c4d2h2c KhQs8c3s2s QsJc7s3s2d 
Td5d4s3h2c Td7s4d2h2d Qs7d4c3h3c Ad9h6h3s2c 
QdTh7d3d2d KdJc8h3h2s Qh8h7s2h2d Kh5c3d3c2s 
Qd6d4d3s2c Ks7d5c2h2d As7h4c2h2d Kd8c7c3s3h 
Qc8d4c3h2s 6h4c3h3d2s Th4s3s3h2h 6d4h4c3d2s 
Ks8h5h2h2c Jh7s5s2s2c Ts8d4h3c2c Ks8d8c4d2d 
Kh9d6s3d2d Qh7h6h4d2h Jc7c6d4c2c AcJsJhJd9s 
Js5d4d3c2d 9d8s4h3s2c As9c8s8h8d Qs8d3d3c2c 
JhJdJc9c8s KhQc8c3c2d 8d7h4c3h2s Ad9d3d2s2h 
Qc6d3h3c2s Ks9d6h3h2c AcQhQdQc2c Qc9d7c3c2s 
9c8h4c2s2d 9h6s3h2h2c Ts6s4h3s2c 8d5h3s3d2d 
Ks9d7c2h2d 7s3d3c2h2d Kh9d9c4c2c Qs9s8s3h2s 
Ts5s5h4s2s Kd8s7c3h3c 8h8d7c3c2s 9d6s3s3h2c 
8s5h3h3c2d Qs9s7h4d2s Ts7h5h3h2d Kd7d4h3d2c 
Qc8h4h4d3s AdTs6h3h2h Ks9s4h2s2d Qc6s6d3s2h 
Kh8c7h3s2h 9d4h3h2h2d Ks7d4d3h3c Js8d7h3c2s 
Jc7h6d4h2h Qd9d4s3c2d Jd8s7c3h2d Tc7d5h3c2c 
9s8s4h4d2s TsTh4c3c2c Jc7h7d4h2h Js9h7c3c2c 
Kc9s8d3d2d 9c5d4c3s2c Jd9s3h3c2c 6s4s3h2s2c 
Jh8c4c2s2c AdJc6c3h2c As8d5h3c2h Kh9s5c3c2c 
Jc5h4s3d2h As9d5c3h2h ThTdTc9s8d 6s4s4h3c2s 
Js9s3c2s2d Ac8s5s3h2d 9s6h4c3h2d Jd9d4d3h2c 
Tc6h4c2s2c 9c6h4d3s2h Tc5c4s4h2c Ah8c7s3s2s 
9h5c4s2d2c Js7s5s3c2h 8h7h6d3h2h Jc8h8d3c2c 
Ac9c6c3c2s Ad9h5c2s2h 9s8c7h3d2d Td7c4h4c2c 
KdTs9h9d9c Kh9d6h3h2h Qc8s5s3h2d Ts6c4h3d2c 
Kd9h4s3h3c 8c3h3d2s2h Ts8h7h3h2d Jh6c4s4c2d 
As6d6c3h2h Qd8c4s4h3s Tc7d4s4h2s KdJh6c2s2c 
9c6h4d3c2c 6s4h3c2h2d Qh5c4s4c2c Qh7h5c3h2s 
Ah6s6d3d2c 8s8c7h3h2h Tc8s3h2s2d Td6h4s2h2c 
Qs7d4h4c2s 9h5d4d4c2d KsJh8d3d2c Ac7c4c3c2s 
Jd5d5c3d2s Td4c3d2d2c Ah9c6d3s2s Qh4s4h3h2c 
Ac7c4c3h2c QsJs7s3h2s Jd9s6h3h2h Jc7h5s3s2d 
Jh7d5s3d2c Ad8h7s3c2s Jh5h4h2s2d Kh8c5c4c2c 
Kd9s8c3c2h Kd7d4s2d2c Qc7h5c4c2c Ks5d5c3h2d 
Qc6d5d2s2h Ks8c6c2d2c Ts8c3h2d2c JdJc6h3h2h 
9d6d3c2s2h Jc5c4c3d3c Tc8h5d3h2h QcJc7s3c2d 
AhJc6s2s2d Jh8h7h4h2h Kc8s5h3h2d 9d6d4c2h2d 
Th6h4c2s2h Tc8d7d3d2h Qd7d5h3c2d As8d5d3d2h 
Qs8c7d4c2h Th6h4d3h2s 9s4h3c2h2c Kc5s4s2s2h 
As9h5h4h2h Th7s6c3d2d Ts4h3d2h2d Kd9s9h4h2c 
6c4d3h3d2s Jh9s4c3h2h QsQhQcTd8d JsJhJd7d6h 
Kd8c4s3s2c Ts5d4d3h3d Ks5h5d3h2h Qh5s5c3h2h 
Ts4s3s3c2c Qd9d4c3s2d 7c6c4h3c2c 9s6d4d3d2c 
Tc5c4s3h2d Td6d4h2d2c Qs9c7s4h2s Qh9s4s3c2d 
KhJsJhJd9h Jh6s6c4d2s AsTc4d3h2d AhTs6c3d2d 
Kc8h7s4s2s Ts7d4h4d2d 9c6s3c2h2c 8d7d4c3d2h 
Js7c5c2h2c 8c7s7d3s2s Td6s4d3h2d Qh9h4c3h2s 
AhTd3d2s2d Jh8d4c3h2s Ks4h3s3d2s 9h5s4s3d2s 
9s5c4c2h2d Qc9h6h2s2h Qd8s8d3h2c 8h8d7c3c2c 
9c8s7d3c2c Qc9s3d2h2c Qs8s8h3s2d Ac9h8s8d8c 
Kd6h4h2s2h 9h6d4c2s2c As7c4c2d2c 9s7c4h4d2h 
Js8s5d3s2s Jh8h4c3s2d TsTc4s3s2s As9c7d3c2c 
7c6h3s3d2h Kc9h8s4h2h JdJc7s3s2s Qc8h5d3d2d 
Kc6d4h2s2d Td8c7h3c2s Qc7d7c4c2h Ah8h3h2d2c 
Td6c5h3h2h Th7c4d2s2d KcQs8d3d2h Jd5s4s3h2s 
QdTh7s3s2c JcTsThTc5h Qh9s8s4s2s Jh7d5c3h2h 
7d6d3s3h2c 9h8h7h3d2h Kd9c7h4s2s Ad8h6d3d2d 
9c5c4s3c2d AhJh6h3h2c AcTc9h9d9c Qc5d4s3h2s 
Ks5d3d3c2h Qc6c4s2h2c Kd9c8h3h2h 9c5d4d3d2h 
Jc8s5d3d2d KsJs8s3c2s JsJhJc8h6c Jd9c4h2s2h 
Qs5h5c3d2c Ks7h4h3h3c 6s4s3h2d2c 7d5c3s3h2c 
Qs9c4d4c2h QcJh7s3c2c Th7d4c2s2c Ad6c4c3s2h 
Qc9d6d2s2d Qd5d3d3c2h Kd9c4d3d2s Js7s4h2d2c 
Kc5s4d2h2d Qs8c7h4d2d Ts8c7d3d2d Qd7c4c3s3h 
Ks9c3h2s2d Tc7d5c3c2h Js5h4d4c2h Qc8h7c4c2c 
Qc7s5c2h2c Jc7d5h3s2d Jh7d5s3d2d Jc7d3s3d2s 
Ks9c5d3c2c 6h4d3s3c2h Qs7d6c4h2h Th8h3h3c2d 
Jh7h5h2h2d Th8d4c3c2c 9s6c4s2h2d Qc6s3h3c2d 
Jh9h3h3d2c 9h7s4d4c2c Ah9d5s4c2c Qs8d8c3s2h 
AhJs8h8d8c Tc8c5c3s2c Td8s7s3s2h Qc8d5s3h2s 
Qd6d4d3c2s Kc8s8c4c2c AsTc3d2h2d Ac9h7h3s2h 
Qs5s5c4s2s QhQdQc9h3d 9d9c4c3c2h Ac7s7h3s2d 
Js9h4h3h2c Th8c4s3d2d KsQd8d2d2c KcJh8s8h8c 
Jd6d4c3d2h Qc8s4c3h2d Qs4s3d3c2h Jd7d6c2h2d 
Jd5c4d3h2d Ks9s5s3c2s Kh8s4s4d3c Jh9h7h4h2h 
Td9s9h9d7s Ks9h4d4c3h Jd8c4s2s2h KhKdKc9s5c 
Kc6d3h3c2c KhQsQhQc9h JdJc2h2d2c Th5c4s3h2d 
Kd6h6c3s2c Th8h4d3h2s Tc7d6d2s2d Kc5s4h2h2d 
9d7d4s3c2h 8s7h7c3c2c Ts4h3s2s2h Qs7c6d3s2h 
Ts5h5c4h2h 8h7s7c3c2c Th3h3c2s2d Qh9s3c2h2d 
Kh9c8d3d2s 9s4c3c2s2c 7h3s3d2s2c 9c6s4h3h2h 
Ah8h8c3h2h Jh6c4h3d2s Js6s5s4s2s Qs7s5d4s2s 
AhTh9s9h9d 6h4c3s3d2c 9h8h4c3s2d Ac8s7h3h2h 
Jc8d8c3h2c Kc9h7s3d2h 9c5s4h3d2d Ad5c3s2h2c 
9s9c4s3s2d QsQdQc9s2d JhTsThTd5d Ac7s6h3s2d 
Js8s6s2s2c Kd9c7h4h2h Ac9h5d4d2d KsQs7s4s2s 
Kc7s5d3s2s Td3s3d2h2c KhJh9h3h2h Tc5d4s2h2d 
Qh8h5s3c2h Ks9h8c3d2h Td6d4h3s2d Jh7s5d3c2s 
Qc7h4s3h3d KcQs7d3s2s 9c4d3s2d2c Jc7h5h3d2s 
As7d4h4d2d Kh9s4c3d3c 9d6h4c2s2c KcJh7h3h2d 
Qh5d4d3s2d Qs9s8s4s3s Jc6h5s3h2h Ks9c8c3h2d 
6s4s3c2s2h QsTh7d3d2c 9h5c4s4d2c Jc7h3h3d2d 
8h6h4d3h2h Kd8s6s2s2h Ks8s6s2s2h KsQs8s2d2c 
Jc9s4s2s2d QsJd7c3d2h Ac8h6h3s2d Ks9s4d2s2h 
Js8c6c3d2h Td7s5s2s2c Kd8h5h2s2h Kd8c6c2h2c 
Qd8h5s3s2s AcQh7s3d2d QhJh7d3c2h Js5d4s3c2s 
Kc6c3s3h2c Js6h4s3d2c Qc5d4s2s2h Td7s5d3d2h 
Kc6h4s3h2d Kc9d6s3h2d 9s6c4h3h2h Jh9s4s3s2c 
Js9d6h3d2d AcTh4h3h2d Qd7s6h3d2c Jh6d3s2s2d 
Ad7d3d2h2c 9s8h3s2s2c Kh3d3c2s2c 5c4s3d3c2c 
Js9c6h3d2d Jd7h5h3c2s Td7d5d3h2c KdQh8s3h2h 
KcQsQdQc8h 8s7s6d3s2s Qd7c4s4h3h Td5s4s3s3c 
Jh7d5c3d2s 8s8h7h3h2h Kd4d3s3c2d 9s5s4c2s2h 
Ks9c7d4h2d Qh9c7s4c2d Tc6s6h3d2c Ks9c5c2h2d 
Jd9s3d2h2d 9d4c3s2d2c Ks6h6c3d2h 5s5c4d3c2c 
Jc6h4h3s3h Ah7h4s3h2h Qc7c5c4c2d Jd9c3h2s2c 
AsTd3d3c2d As6h5c3h2h Jh7s7h2h2c Js9c3h3c2d 
Qc5d4d3s2d Qs6c4h4d2h Ts6s6c3s2d Ks8c7s3h2s 
5d4h3s3d2d 9h9c4s3d2d Ks7s7h7d6d KhKdKc4h3s 
Qs6c4h3s2s As6h5d3h2h Jd6c5s3c2c Jd7s6s4s2h 
Jh7s5d3s2s Kd8s8d8c7c Tc6s4h3d2s Qh8c5d3d2d 
Kh8s7d3h2h Js7d3s3d2d Qs8c3h3c2h Ad9s9c3s2h 
Kd9s4d3d2c Ad6h6c3h2s Kc6d4c3c2c Qs6h4h3d2c 
As8h4d4c2c 8s6d3h3c2h 9s8s7c3s2s Qc7s7c2h2d 
Jh5c4s4d2c 5s4s3s3d2c Ac8h7s3s2d 9d8h4d3c2s 
Tc5s5d4d2d KhKdKc8s7s Ks8s7s3c2h Qc8h7h4h2s 
Qd6h5h2s2c 9c7d4h3c2s Js6c5h3h2h Td8h7s3s2c 
8s7h4s3d2c Ks7s6s2s2h 7s6c3d2h2c 9c7s4h4d2c 
AhTd6s3c2c KhKdKc5c4c Qc8d5d2s2d Kd7s7d7c6c 
Qc5s5h3d2h Td5d4s4c2d Jc9s4d3h2d 9s9h9d7s7c 
Td5h5c4c2c Th8h7d3h2c 9h5d4d2s2c Jd5h5d3d2c 
Jd8h6d3d2c KsQh8c3c2d Ts6s4s4c2s AcQsQdQc7c 
Kh8s3s3c2c Js8s6s3h2d As9d7h3d2d KcJhJdJc9c 
Kh8d5c2s2c Qc7d5d2s2h AsQsQdQc7s 6s4d3h3d2c 
KdJh7s3s2c 5s4d3h3c2s Ad9d5s3d2d 9c8s3h3c2d 
8h4c3d2h2d Ah5s3d2s2c 8s7s6s3s2h Jd7d6c2s2d 
KdJc8h2s2h Js8c4d2h2d AdQs7c3h2h Jd7s6s6h2s 
AsTc6d3d2d Ac9s6s3d2h Ac9h9d3h2s Qd8h7s4h2c 
Ts7s6d3c2s 9c6d3s2h2c Qc9s7h3d2s 8s6s6c3s2s 
Qs6s6h3c2s Qc6d5d2h2d Ts6d4c3s2s JhJdJc8h5d 
8d5h3s3c2s Qs8h5d3h2h Ah4d4c3d2s 5c4d3s3c2c 
Jd9h3s3c2s Qs9c4s4d2s Js8s7s3h2c Ks4s3c2s2h 
Jd6s4h2d2c Jh6d4s2h2c Th7d5s3c2c Kc9s8h3h2d 
Qd4d4c3d2h 9h6s4c3h2h 9s5d5c4c2c Kd9c6c3h2c 
Jd6h6d4d2d AdQs7h3c2c Ah9h6h3s2h 9s6h4h3h2c 
Qh7d5s3h2h 9s9h4c3d2c Ks8d5h2h2c JsJc7d3d2d 
8h5c3s2d2c 8c7d6c3c2h Jc7d5d2h2d Tc7h4s4d2s 
Th8c7s3c2d Js5h4d3h2c Ad9h6s3c2c Kc6s6d3s2h 
Jh7h5h2s2h Qc5s5h3d2s Jd9h9d9c7c 9h5h5d3s2h 
Kc9d4c3c2h 9c8d3c2s2c Ad7d4d3d2h Ks9c8d3d2d 
Qd7d5c3h2d 6d6c5s5h5d Td7c6h3c2s Ac9h7s3s2s 
KsTs3s3h2s Jh7d7c4d2d ThTd4s3s2s Jc8s7c3d2h 
Kc7s4s3h3d Kc8c4s2h2c Ad7c6h3c2s Kc5h3s3h2d 
9h5s5c4s2s Kh7d5d3s2c 9s6s4s3h2d Tc7s5d3s2h 
9h9c4c3d2c Qh6s6d3d2c Th8d7s3d2c KsJh7s3s2s 
Jc6d4s2h2c Kc9s8s3h2d 9c7h4d4c2c Ts5c4d3d2h 
7h6c3s3c2d QhJh7c2h2d 9d7d6d3d2h AcJc6c3c2h 
Kd7s5s3h2c Jd5d4d3h3d Kd9c4s3h3c Jh6s4s4c2d 
7d6h3s2h2c AcJs6s3s2d Kc9s7d2s2h 6d4c3h2s2d 
Kc6h4h3d2h QhQdQc9h2c Ah9h6h3c2h 9s8h4c2d2c 
Jd7d5d3d2s Kh9c7d4s2d Kc5h5d3s2h Ah7d5s3s2s 
QsJs7c2s2d 7d6d3s3d2c Kd9d4s2h2d Qh7s4h4d2c 
Kh9h4s3d2h Jh5h4h3h3c 6c4d3s2s2h Tc6c4c2s2c 
8s8h7c3s2s 7c5s3c2d2c 9c5d5c3s2c 8h8c4s3s2s 
Jd7h7d2s2d KsJsJdJc9s Qs5s3d3c2h Th7c5s3d2d 
9s6h4h2h2d Qh8h6s3c2h Js9c4c3h2c Js8s7s3h2d 
Ks8c7d3h3c Qc6c4s3c2d Qd8c7c3s3h QsQhQc9c4s 
Tc7c4h3d2s 8d5h5c3c2c Qd7s7d4h2d Kd9s8h3h2c 
Ts6d4d3h2c Th6c4c3s2d 8s5s4h3s2s Ac7d3s2s2d 
Qs4d3h3c2s Ah9c5s3d2d Ad9d3h3c2d KsKhKd4s3c 
9s6h4c2d2c Qh7h7c4d2h Kd8s8c4h2c Tc7h4d3c2s 
Kh9h6h3h2c Qh9d8h8d8c 8s6h4h3h2h 9h8s7c3c2c 
Qd8c4s3d2h JdThTdTc5h Kd8d7h3s2d QdTd7d3s2d 
Js5s5c3s2h Jh8s8h3c2h Jc6c4h3d2s Qd9h6h2h2c 
9s6c4d3s2s Qc7d4d3s3h KdQhQdQc9d 9d7h6d3d2d 
Qs7s5h2s2c Qd6d4c3d2h Jh7s4d2h2c 5c4s3h3d2h 
KdJc8d3d2d AcQs7h3d2d 9d5h4s4h2h Qh9d7c3h2h 
9d8s3c2h2c 9h5c3h3d2s AdTc5c3c2c Qd9s7h4s2c 
Ts6s4h4d2s Ah6d4s2d2c 7d6h3s3c2d Qs9d7s3s2h 
Qh6h4s4h2h Ah8c7s3c2d Ks9c4h4d3c 7d3h3c2s2d 
AhJc6s3c2c 7h5d3h2s2c Th7h5s3h2d Jc7c4s4c3c 
Qs7d5h5c2d QsQhQc8s4h Kd6c4s3c2h 7c5s4c3c2c 
Th6s4h3c2h 9s6h4s3c2s Qc9s7d4h2s Jd7h5s2h2c 
6s6c4s4h4c Qd9s4h4c2c Jd5s4h2s2c AsKh5s5d5c 
