AsJs9c5s2s 
Kd9s7d5d4d Kc8c4s4h3h Ac9d8s7h3s 9h9c8s5c3c 
Jd7h4s4d3h Jh9c5s5d4s TsTd9h5s2s Jc9h7d7c3s 
KhQdJs6s2s KcQc7c4h3d KcQsJh6h2h 9c8s8d7s4s 
Ah8h5h5d2s QdJd6d6c3h QhQd8s4s3c JhTd7s2s2d 
Js8c6h6d4h AcKd8d2s2h Ts7h4h4c3c Jh7c5h5c2d 
9h9d8d5c2d 9s9d8c5d3d KhJs7d6c3d Tc9c6c3s2s 
ThTc4c3h2d AsJs9s7s3s QhTd8s4c3d 8h5s4s4d3d 
KdQhTh5h2h KcQd7s7d2s Ks6h6d3d2s Ts7d5c4d2s 
Qd9d8s8h2c Qd9s8d8c3h Jc6s6h4s4d ThTc9d3s2c 
Ts8c7c6c3d KcTd8d6s3d TdTc9s7h2s AsQc9h6d2c 
Jh9h6h6d2d Qc9s7d6h3d 9h8s8h5c2d 8h8c7s5d3d 
9s8h7c4s2c 9d9c5d4h3d KcTd5s3d2s TsTc8h5h3d 
Td9s6d2s2d Kh9s6c5s4s AcTd9s6d2h Ah6d6c4h3h 
TdTc9c8c3c TsTd8h5c2s KdJh9s8c3c Qh7s4s4h3c 
KhJd7c4h2s AsKh9h4h4d 8c6h4c2h2d Jh8d5s3s3d 
JcTs6c4d2h Qd9c5s5d3h Qs9s7s6c4s Th6c4s4h3s 
Jc5s4h4c3s AsTc9h6c2d Qc8c7d4d2d QsTc4s3h3d 
9s8c7d6h2s Ts9d8h7d2d KhTd8h4h4c Ac9d8s7h2s 
As8s5s3h3c AhQd8s5s2c KdQh8d5d3c Qh9d8h6h3s 
AsJh8c4h3d AhKd9c4s2d Ts9d8c5c3c 7h5s5h3d3c 
Ad8d6d3h2h Jc7d6d5h3s Js9s7h4d2d KsJh8d7s3s 
Ks9d9c6h4d 8h7d6c5d2d 9d6h4d3s3h QdTh6c3h2c 
QhJd9d4s4c Qc9d6h2h2c Td7h4s4h3s Td9d8d7c3s 
Kh9h9d8h5h KhTh4s4d3c 9c7c4s4d3d Ah9d5c3h2s 
QdJc5s4s2h Ac8s8c4c2h Kd6s6h4s4c Kh8s4s4c2h 
Ac9d6c5h2c KhJh8d6s3h Th8d4d4c2h Tc7d7c4h2h 
KdQs9h5d2d Ac9h7h7d3s 8h7d5s4h3h Kc8h6h5h4h 
AsKd7c5h2c AdTh7s6s3s Qs8c7c5d2d Jd9c8h6d2s 
JsTs8s7s2d Qd8c7c6s2s AhKc9d2s2c Th8d5s5h4h 
KhJd9s9c4c KdJh9s8s4s KdQh9c7s4s KdQs6d4d2c 
QcTh8d5s2s KsJh4s4d2c Tc8d5s5h4s Jc9s7d6h3s 
Ks8d7h5c2s 9h5h5d4c3d QhJs5s4c2s Jd7s7c6c2d 
Jd9d8d6c3h JdTd9d4h2d Td8s4s4h2d QdTh3d2h2d 
Ks9c8d8c5c TsTh8h7d2h KhTs6h6d2c 9h9d4h4c2c 
Ks6c5c4d3h Jc9h5h3d2d AhTc8c6c2d KcJh7h3c2c 
Ad9d5s4d3c QsJh4h4d3c Kh8h7c6s2d Kd9c6h5h4s 
AhJs5d5c3s Tc9s5s5h3d 9s9c6h3c2h 9c8h5d5c4s 
Kc8s6d3d2c Qc5s4s4c3c Ah9d7s7c3s 6h6c4d3s3c 
Qc8h8d6s4s QsTd4h3s3c Qc8h6s5s5d Js9h7h7c4d 
Ad9c8h4d3d 9h8s7d4h2d 8d6h5c4s2c JdJc7s4d3d 
KcQd6d5s2d 9h8c7s6s3s As9c8c7c2h Js8c4s4d3c 
Jh9d7c6s3d Qd9h9d4h2h KsJh8c4s3d KdQcJs3h2h 
9s5h5d4s3h Ts9h8s5d3s Ac8s6d4s3d 6c5h5d3d2c 
Jh8s8h6h4h AsTc9d5h2c AsQd8h7d2d 8d8c6h4c3c 
KhQc7d2h2d Js6h5d4d2h Jd9h7d3h2c KhQd8d5c2s 
Kh8s5s2s2h Qh9c7d5d4d Qd6d5s5d4c Jh6d4h4d3c 
Qh9c7c4h2d AhQc8d6s3d Qc9h8h6h4d KsTd8s4s4h 
KdTd8c5d2s AdKs9s6s2h AcQd9s6h2d KdJh5c4d2d 
Td7s4s4h3h Qh5d5c3s3h QsTc8h5d3d Qc8h6c4s4d 
AcKh4h4d4c KhTs9c6s2s KdQsJc6h2h JhTc6s6c3c 
Ad9s8c4s2c Qd7s7d5c3h QsJs9s5s5h Jh8s8d7s4s 
8c7h6d4d3s Qc6c5d5c4h 8h6s4d3s3d Qs9d9c5s3s 
Kd7s5s2s2d QhJc5s3h2d KsTs7h6d2s Jd9h7d2h2c 
Jd7s4d4c3s Qc9d7d5s3h KcQhTd7d2d Ac8s6h6d4h 
Kc8c4h4d3h Jd6h4h4d3s 7d6s5s3d2s Tc7h6h6c2c 
Jc9c6s6c2s Ts7d6s6c2c QdTs8s7s2h KsQs8s8d5s 
Qc9h8h6h4s QhJs9c6c2d AsJd9h6h3c As9h8h8d4h 
KhJd9s4c3s Ah9s5h3c2d QhQd8s6s2s AhJh5h4h3c 
Ks8s5d3s3d Kh8d8c6h3s Qd9h7h5s3c Qs9c6h5s2d 
As8c7c4h2h AcKd7h5h2h KsQhTh6h2h Ad8h5s4h4c 
Qd9d7h5s3d Ad9h8h4s2s Js6h5d3h3d Js7s7d6s4c 
Td8s5d2s2c Ad9s7h7c3h Qh6h5s5d4c Tc9c6d5s2h 
Js9h8h7d3c Ah9s9c5d4d QhTd8d5d2c JdTd4s4c2h 
Th6s5c4s2c KsJc9h6d3d 9d9c7d4c2c Ts6c5s4c2c 
8s6h6c5c2d QhJs5c4c2d Td8d6s4c3h KhJd9c8c4c 
Qd9c8d5s3d Qh7s6h5c3h KdTs8s6h3s 8d6c4c3d3c 
Th8h7h5d5c KhJc9d8s3s 9d5s5c4d3c Ks7d6s5s3s 
ThTc8c3s3c KcQdJh7d2s JdJc8c7h3c Kd9c7c5c4h 
Kh6s5s4c3d AhQs6d3d2s KdQhJd7d2c Tc9d6d4d3s 
Ad9c8c5c4s KdTh8c7s3s Jh9c7s7c4d JdTc7s2s2c 
AsThTd4c3c KhQh8h8d5h 8s7d6h4h3c Td7c6c4d2c 
9s7h6d4h2s 9s6s6d4h2h KdQhTc3c2c JsTs6s3h2h 
Ts7h7c6d3h AdJd7d5d2c Qc8h5h4d2d KhTd6h5c2h 
KsQd9c8d3d Js8h7h3s3h Jd8s5h5c4c Qh7h5c3h3c 
Kh8s8h7d2c KcQc7c4h3s Th9s5c4s3d ThTc8d5s2c 
9s9c6d3s2d AcQs6d3d2s AdQd4c3d2h As8d6c4d3c 
Kh9c6c5s4c Ac8h8d7h3s JhJd7h3h3c KhJs5d4h2h 
9c7s5s5d4s Jc8h5s3s3h AcJc5c4c3s Qs9h7d6c3d 
As9c8h4c3h Jd9d8d7c2h 8c7s6d4s3h 9d7d5s2s2h 
KdQd9c5s2d Ts9s8s7c3d Jd6h4s4h3d 8c5s4s4h3c 
KhJd9d8s2d QcJd6s3s2d KcQs8d7d4d Kh7h5c4s3h 
Jc9s7d4c2s Th9d8h3s3c KsJc9h8d2d Jh8s5h5c4h 
9s9h4h4d2d Ad7d4d4c3h Jh7s6h5c3h QsJc7d4d2c 
7h6h5h5d3s AdJd6h6d4d AcTd8d5d2h KcQh5s4h2h 
Qd8c5h5c3h As7h7d6d4d QsJsTs5s2s Jh9h8s7c3h 
9d8c5s3d2c AcKd9h2s2d KsTs7h6c2s Th9h4d3s2s 
KdJd7d5c3d 6d6c3d3c2d 9c7c4d3s3d Td7d6h4d3s 
7d5d4c3h2c Ah8c6s4h3h KsTsTc4s2h AsQs4c3h2s 
Ks7s5c4s4h Ad6h6c4d3d Kc7c6d5c3c Kd6s5s5c2c 
8h7c4s3s3c Td9s9h7c2h Jh9h4h4d3d QdTs3d2s2d 
7c6h6d4d3s Kc9s9h6d4s KhQh9s6h2d Ks9h6c3h3c 
Kh9s7h5d2c Kd8d7d6c3s 9h6d4h4d3d KhTs8d6c2s 
QsJs9h6s2d 8h6s4s3s3h Ah8h6d4h3s Ks8d7c5h2s 
8h6s6h5h3c Ad8c7h5s3s Qd6d5s5d4h As9c8c5c4d 
QsTc7s6s3s 9s7c6d4d3h AhKc8s5s2s Js9c7s2d2c 
KhJc5c4d2s KsQs9s4h3c AdQs9c5c2h Js9d7h4s2d 
Jc6s6d5d2s KcTc6c4c3d 9h8h7s4c2c Ad9s8s8h4s 
KhQh7h5h3c AdKc7h3s3h Qs9c5s5h3d Kh7h5d4s3h 
Qh9s8d5c4c 6d5s5h3s2d JcTc8d3h2s TsTh4s3h2d 
Ac9h8h5s4h Jd9s7s6s3c 7c6h5d3h2c JsJc9d6d2h 
Kc6h6c3h2h Qh7h6d4s2d KdQs8h7h4h JhTh9h4c2h 
Ts8s7s6c3h KsJc6c4d3h KhQd9c4h2s 7c6d4s4d2c 
9s7c5d3c2d Qd8h6d4s4c Ks7c6h5d5c AhTh9s6h2h 
As7d5h4h2d KcJc8h4d3c Kh8c5s3s2h AcTd6d5d3h 
8s7s6s5s3c 9d8d7s4h4c Ks8d5c3c2s 8s8c7h5h3h 
Ks7s5h5d4s Ah9s6c4s3c Qc9s9c8h4c AdTs9s7s2s 
KdTsTh4h3h Qc9h7d6h3s JsJc8c7h3c QhTs3h2s2h 
Js9d8c7h3d QhTs7s6s3s 9h7h7d2h2d QhJh5d3s3h 
Ts9d9c8s3s AsQd8c6h3c KdJh9h8c2h Ad8s7c4h4c 
Th6s4h4d3d Td9d7s2s2d Ac5h4s4h2s 8s8d5h2h2c 
JdTs8h3c2d KsTd8d3h2h Ts7h7c6d3c QcJs8d3d2s 
Ac8c7h4c2s Qd9c7s6s3h KdQh4s2d2c Td9d5s4h4c 
Jd9h5s5d4d Kh9h7h7c3s Ac9h7d6c2c QcJd7h7d4d 
Kh7h5s4h4d KsQh9c5s2s Tc7c6h4c3d 9h7s5c4d3h 
QdTc5h3s3c Kc9h9c7d2s Kc8s7h5d2c KcJd5s4c2c 
QhQc5s5h5c Kc7h6s5h3h 9h9d8s5s3s Jc9d8s8d2h 
Jh9d8d7c3s Kh6h4h4c2c QdTs7c5c3c 9s8s6d5s3s 
Tc8h8c6c3d Qh6s6d2s2h Jd9s9c7h4h Qc5d4d3c2h 
Ad9d7c6d2s Ad7s7h6s4s 9d7h5s4s4c Ad9s8c7h3c 
Ah6h4d3s2c Qh8s7s7h2h Ad9s8h7c2h AhKc7s3s3d 
Th9d8s7d2d AsQs8s6s2d Ad9d4s3h3c 9d8h7s6c2d 
AhKs9d2s2c KdQc8s7s4s Js6d6c4h4c Td9h5d5c3s 
As9s9c3h2d QsTs8s4c2h QdTs7s3d2s ThTd9c3s2d 
QhJs7s7d4s Th7h6c4h3d QcTh7h3c2c As7d6d6c3h 
Th9h8h7c3s KcJc5c4d2s QsQd7h3d2h 9c8c7s5h2d 
QsJc7d6d3h KcTc8d4c3h Jd7c5h4d3s AcTs7s4d3s 
8d7c6h4c3s QhTd4c3s3h Qc9c5h3h2h Tc9h5h3c2h 
Qh9h8h8d5h QsQc6h4s2s Ks9h7h6h4d AsJd6d5c3d 
QhJs8s4d3c KdJs7d7c3d KdTh8d5d2c 9c8h6d3c2h 
KcTh8d5h3s JsTs8s4s3h Qs7h6s6d4s Ts9d8h5h3h 
Kh7d4h3h3d QhTh8h5h5c 8d5s4c3s3c QsJs6s6c3h 
9c7h6d4h2c QsTs8s7s4s QdJc8c6h3c 7d6d5d5c3h 
AdTc6h6c2h Kc8c6h5c3s QcTd4h3s3c AcJh6h5d3h 
Th7s6s6c5s 8d7d6d5d3s Jc7d6h5s5d QsJh5c4c2d 
KcTs8s3d2d Qc9s6c2s2d Js8s5s5d4c Th7d6s6h2s 
JhJd5s4d2c AdTh6h5h3s Td7s7c6h3c KsTh8d3s3c 
Qh9c6h3d2d Tc8c7c5d3h Kc7c6s5c3c AsJh7d6c3c 
9h7s5d4c3h Qd9h9c5d3d Ts8h7c6d3h QsTd9d6d2d 
QsTd8c5c3c KsJs8s7c3h KdQdJs7d3d KsQs8s5h5c 
KhTd5h3s3h Th8s6s5d2c Ac9s8d7h2d KcJc7d4c3s 
Kh9s6d3s3d AhQh6d4h3h AcKd6c2h2c Td9c7d4d3h 
Qs5s4d3d2c Td9d8h5c2d AsJh9d6c3d KdJh9c4s3h 
Ks9d6s3d2d KsQhJc6d2d Jd9s7d7c3h KhJh6c3s3d 
QhQc7s3s3d QhTs4d3h3c Jh6s6d5s2d AcKsKhKd2s 
ThTc8c7d3c Js7h7d6d4c 9s9h6c3h2c JdTc6d4s2h 
AdJhJd6d2d Kc8s8d6c3h Ks9s9d8s5s QdQc5s5d5c 
Ks9h7h5h4c KsQh9d8d4c Kc9c6h5c4c As7h5c4d3d 
KdTs7h7c3c KcJd9h3s2c QsJs9d6s2c 9d8s7h6h3h 
Qh9c8h5s3h 9s7c5d4h4d 9c6s5s5d4h KdJs8d5h2d 
QhJd5c3h2s As9h6s3d2c KdJh9s4c3h KdTd9s3h3d 
AhKs8c5c2c Ah9d8s8c3c QhTs8d5c3c Qh9c6d4h3s 
Js6d5s5c2d Ad9s8c7h2s Jd8h7h3h3d AhJs9c7d2d 
Kd7h6h6c4s Js9d9c5h2s Th8h8d6s3h AcTs8h4d3h 
9c8s7h6d2c Ad7h4s4c2d Qc9d5s5c3h AhTh8h4h2s 
KhJs9h7c2h Qh9c6d3h2d 9c7d6s6h3s Jd7h7c6h2d 
Tc9s9h6h2h 8s6s6h5s3c Jh7s7h6c2s KsTs8c5s2d 
Qs8d7d5c2c JsJc5c2h2c 8h7c5c3h2d QhJc4s3d3c 
QhTs6d2s2d QdJc9c6c2s Qh9d6c5s2h Td9h7d4d3s 
9h7s6c4c3d As9s8c2s2h Kh8h8c7s3d AcTd9s2h2d 
Tc9h8s5s3s Tc7c4s3s3h Kh8h6h5d3s AdKh9h6h2c 
AdQh6s3s2h Tc9d6d4h4d AhKs6c5c2c QcJd8s6s3h 
As9h8c4h2c KhQhJc7h3h KdTd7d6h2s 9h9c6d3h2d 
AdTs6h5c3s KdQd4h4d3c KdQc8s5h2c AsTc7d6d3d 
Ts9h9d5h2c KhJs9s9d4s 8d7h4c3d3c Kh8h7d6s2c 
Ac9h5c3s2d KcQd6s4h2d AcQc7s2h2d Kc9s7c2s2h 
9s9c6d3c2d JsJd5h4d2c Th8d5s5c4h AsQh6d3d2h 
ThTd8c5s2d QdJh8c6h2s JdTd4h4d3s QsJc4h4c3d 
Th9s5s5d3c Js9s7h4c2c 6s6d3s3d2d Jh7c6c5d3s 
Ts9h6s6d3s Jd8s6d4s3d 8c7s6d5h2c Jd9c8d7d3s 
AdQc6c4c3s Qs3h3c2s2c 9c8d6h3c2d KsTc7h7d3d 
KcQdTh3h2h AhTs9c6s2d Jh8d5s5c4c Jc6s6c5s2c 
KsQh4c2s2d Qd9c5h5d3s KsTc8s5s2d AdQs6s5s3s 
Js7d5h4c3s Qc9c7c5s3h Qc8s8c7c5c Qs9d8s7h3c 
Kh9d6d5c4d Ad7h6s3d2c KcQs9d7h4h KhJc6d6c2d 
AcQc4d3c2s 8s7h7c5d3s Tc9s5d5c3h Jd6h6c4s4h 
KhTs5d3s2d Qs9c6d2s2d Ts9s8s5c2h 8h6h6c5s2d 
9d7s6s4d2s Ks9h7s5c2d Kd9s9d7h2c 8h5h4s4c3c 
Ac9c5s4c3d Kh8h8d7c3s Td9d6c4d3s AdKh6c3s2h 
AcKd9d4s4d QcJs5h3c2d Ad8c6s4d3d Ah7d6c4s4c 
Qh8d7c4h2d 9h7d6s4c3h Ks8s6s5c3h QsJh5d4d2c 
QcJh5s4h2h 9d7d4s4c3c JhTd8h5h2h Tc7h7c5c4c 
Kd9h9d7c2s Tc9d5h4s4h Qd9s7c5h4s Qc8s7h5c3d 
AcKs7d3h3d AsQh5h5d2c Jd9s9h5c2d Kh9s7s6s4c 
KhQc8h5h3d JsTh5h5d2c Jh8c7d3h3c Ac9d5c3s2h 
9s9c8d5c3c Kd7h7c5c2h Kc9s9d6s4h AhKd8h2h2c 
KdQd4d4c3h 8c6h6c5c3s 8h7s5c4h3h Kh9s7h5h4h 
8s7d5c4s3s QdJd9s3h2c Ac9s8s6h4s 8d7s6h5d2d 
AhTc6s5s3d 8c6c5s3c2s JsTd8h3c2s 8h6c4c3h3c 
Tc9s6s5s3s Js6d5s5h2d QcJcTc5c2c Ts7h6h6c5h 
Jh9c5c3d2d Qs9c8d7s3h AhKsKdKc2c QdJd9d6h2c 
9s9c5c4d3c QhJs6s5d2s KdTh6c4s3c KsQh8h5d2c 
Ah9h6h5d3h Jc7h6c5d3c As8c7h4h4d Tc6h6c4s2s 
Qc9s5h5c3d QsJc8c5d2c Kd9h9c6c4s As7d5h4h4c 
JsJc6h6d3d KsQd9s5h2s Tc8d4h4d2c 8d7s7h5c2s 
Qd7s7d6d4h Qs9s9h8c3s Ts7h6s6h2s Ah9c6d4d3c 
Ac9s8d7h2h As7d6h3s2c Qs8d5c4s4h AcKc7c3s2h 
Ad4d4c3s2h JsTc8d6d2d QsJd4c3h3d Ks9s8h4s4h 
QsJd5h5c3c KsQs4s4h3d 9s9c4s4d2d Ad9c8c5s4c 
8d6c5d4s2d KsQs9h5d2s 8h5d4d4c3c Ad7h7c6c2h 
Jd9c5s5h4h 8s6s4d3s3d AhThTd6h2h QdJc5c4h2c 
QdTc8s7h3h Tc9s5s5d3h QsJs9h4d4c AdQh5s5h2c 
QcJc9c6h2s Ts7h5s4d2d Kh9d7d2h2d QsJs9h3d2c 
Jd6h5s4h2s KhTc5s3c2s As9h7c6c3c KsJh9d9c3d 
TsTd9h6h2h 9c8s8h7h4h Kc9h9c7s2d Kh9d9c7h3h 
AsQc8h5h2d KhJs6s6d2d QhTd8d7s3d KcQc8d8c5c 
Qd9c7h5s3s QhJcTs7d2d QsJdJc7h2d 9s8h8c6c2d 
8c7h6h5h3h As9d8d5h3c Ts9c7s4s3h Jh9h7d7c3s 
KhQs9c5h2h AcJs8d7s2s KhQdTs7s2s Qc9c8s8h2d 
Jh6h6d5d2h Kd9h7h6h4s KcJs9d4h3d Tc9h6h5h3h 
Js9c8c7d3h Kh8d6s3s2h KsTs7d6h2s 8h5s4s4d3h 
Ah9c8c6d4c ThTd8c5c3s Jd9s8c7s3s Ah9h8d2s2h 
Td7h4h4c3c Jh5s4h4d3s QsTh6d3h2d 9s9c6c3d2d 
JsTc9d3d2d JcTh7s5h2d Ts7d5s4c2c Ad9h8s7c2s 
Th8s4h4d2s Td9h6s6d3d JdTd4h4d3c Tc9s8d7s2s 
QcTc5c4h2s AsQs8s4s3h KsJs8s7d3c 6d6c5d4h3d 
KhJs4s3c2c Td9h9c5c2s Qh9h8s8d2c Kh9c8c6d4c 
Ah7h4s3s2h Jd6s6c4s4h JhTh9h4s2h QdTs8s6s3s 
Ts9c6h6d3c AcJd7h6h3s Qc8h7s6c3d JsTh5s3c2d 
JhJd7c4h3h Ts8h6s4s4c KcJd7d6s3d AdJs7d6d2c 
JcTh8s3d2c 9c7s5h3h2c 9s9d5h4d3c Tc9d6c4s3c 
9h7h6d5c2h Tc9s6s6d3s TsTc8s3s3d 9s7h5d3d2s 
9d8h5s3d2h Js7h7d6c5c JhJc7c3d3c Qs9d6s2h2d 
QcJs7s7h4s Tc7s6d6c2d Qs8d5d4c2c 9h6h5s4h3d 
QsJh7s5s3s Td9d4s2s2h AsKh9d2h2c KsTh5s3s3c 
AdThTd6d2d QdTh5d4s2d Qs8c7s7c2s Qd9d6d5h3d 
KhQd8c2h2c Jh9c5d4h3s KhQdTd5d2d Kc8c7s6d2h 
KcJs8c7c3d AsKs5s3s2c Kh8c7s5s2c KsQh7s6s2c 
Js9d5s2s2d Qh5h4c3c2s KcTh9s5d2h Jd8s6s5s5h 
KsJc4c3d2d ThTc9s3d2c QdJc6h6c3s Th9d9c6c2c 
Qc9h9c8c4d Jd6h6c5c2h Qd8h7h7d2d Ks8h5d3d2s 
9s9h6c3s2c QhJh9c3s2d Qs6s5s5h4c Tc9c4s3h2s 
Ts8c5h5d4s Js6h5d4h2d KcJh9d6c2c Jd9h9c3s3h 
KdTd7d6s2c 8s6d5h4h2h 9h8d6s3h2d QcJd8d5s2d 
Js6h5c3h3c JhTc5h3s2d QcTs9d2s2h ThTd9s7c2s 
Qd9d9c8s3d AcQs6h3h2s Ad9c8h4c3h Qd8h7s4d2h 
8s8c5d2h2d AcKsJs6s2s Tc7c5d3d3c 9d8s7d4s2s 
9h7h6c5s2h 9d5s5h4d3h 9c5s5h4c3h AdQs9h5s2s 
Qd9h7s5c4h QdQc7d5h2d Qd9s8d7c3h 9h8c5c3d2h 
Js9d8c6h2s 9c8d6d3c2s 8c5h4s4h3c 9c7h6h4c2h 
Qs9c6s2d2c KcJdTd3d2d Qc8d7h4c2d KsTs7s6h2d 
Jd9s5h5c4c Ks7d7c5d2c 7s5s4c3h2c KcTc4h3h2c 
9d8s6h3d2s Qs6d5h2s2h 9s9c8h4h4d QcTd8h7d3d 
KdTd8s8c3d Jh7c5d5c2h JcTc8c7c2h Ts9c5h4s3d 
Th9s9d6d2d Ts9d9c7h2c As9h8c7d2c Js8c5d4s3h 
TsTc9d5c2c KsTdTc7h2d AsQc8h6h2d 9s7s5h2h2d 
KdJs4c3s2c KsJc5c4h2d KhJc8h6s3h Ad9c4s4h3d 
AdJs7c6h3h KcTs6h4d3h KhJh5c4d2h Ks9h5s4d3c 
KdQs7c2d2c AsKd7c3h3c 6h5s4s4h2s Qc8c5h3h3c 
Qh9d8s7h3c Jd7s6s5s2d AdQd8d6d2h Qd8c7s4c2d 
JcTs7h5s2d TdTc5h4c3c KsTs8d5s2h 9s9c8c5d2c 
9h8d6c5c2c KsTd6c4h4c Jd9c8s3c2s Ts7s6c4s3h 
Jh9h7s7c3d Ks7s6s4d2d AcTs8s5d2s Jc5s4s4c3h 
Ks9s8c4s4c QcTc5h2h2c 7c5c4h3s2h Ts9c7c3h2h 
KdQsJh6c2c 8h7s6c5d2h Qh9h7h5s3d AhTh5h5c3h 
Js9c8h8c2d Td9s8d3h3c AsJc7h5c2d Ts9h7d3h2d 
AhJs9h3h2d Jd8s8d4s2d Kc9s9d4s3d Ah9d8s7c3d 
Kh9d8d6d4s AdTc9h6c2s KhQs9d4h2c AhKsJc6d2d 
QdTh7d6d3d QsQc5s5d5c Kh9c6s5s4d JsJh9h3c2d 
8d6h4d2h2c Td5h4h4d3s Td8d8c6h3d KdTc8s8c3h 
Ks7h7c5c2h 8d5c4s4c3d Qs5h4h3s2c 9s7h6c4d3s 
9c7d6s4h3c KhTc9c4c3d Qs9d8s8c3h Tc9d5d3h2h 
KhJd7c4s3d Qc9c6c5c3d KdQd6d4c3d Td8s8h6h3c 
Ah9s8s8d4s Qd5c4c3d2h Ts6d5h4d2h Ah9c8s8d3s 
Jc9h8h3d2d Ah8h6c4d2h AsJc6h3s2d 9d7d5h4s4c 
As9s9d3h2c KsJh4d3h2d 9s8h6d5d2d 9s7h7c6s3d 
Th9d8s5s3s QhQc6d4h2h Th7c6d5s3s Kh9d8s8c5c 
KcQs7s7h2h ThTd8h7s3h Td9c7h3c2h QhTh8h4d2s 
KdTd8h5d2s AdTh9c6h2s KcJd4d3s2s KhJd9s9c3s 
6s6h5h4d3h Qd7c6h5c2h Qs9d7c5s3s Jh9s7c4h2s 
Qc5c4s3s2h KhTs8s6s3c ThTc9s7d2s Qs8s5c3s3c 
JsTs8h3c2d Ad9d7c6d2h Kd7c4d4c3d Jd8c5h4d3s 
Js9d6d5h3d 8s6s5h4c2s Tc9h5d5c3s JsJd5d2h2d 
QcJc8s3c2s Ah9h8h4d3s AcTd8d6d2h Ah9h9d5h3h 
Th7s7d6c3s Qh9d6c4h3s 8h8c6d4c3c Tc8h7h5s3d 
Js8d5c2s2c JdTc6h6c3c KcTc4h4d3s Jh9s8c6d2h 
