8h5c3c2h2c 
KcJc9c4c2c As8h6c3d3c QcJs8h2h2d Th5s3d2h2d 
8h7c4h4d2s Ac7s6s4d2h Jh7h6h3s3d 9s9h3s3c2d 
QcJh7s3d2c 9h8h6c3h2d KsQh9h3h2d Kh5h3h3d2s 
Ac8s8d4d2d KhKdKcQd8s 9c4s4d3d2c Jc7c4h4c3s 
Js6c4d3d2c Jd4s4d3s2d Qd9s5h4c2c 8s5c4d3c2h 
Kc9c5d2s2c Th9d4d3c2s 9s8h6h3c2h Qs9h7h7d2c 
9s8c6c3c2h Qs7d6c2d2c KdQsQdQc9h AcQd3h2s2h 
9s9d5h3h2h Jd5c4d3s2h 8h7c3h2h2c Kd8h6h4h3s 
Kd6d4d3c2s Th8c5h2s2h Jc8h7c4d2c 7c6s4s4h2s 
Qs9h4s3s3d QsJh6h3d2h KsKdKc6s5h Ac6c3s2h2c 
Qh8d7h4h3c Qd9h9c4s2h KdQh6h2h2c Ad9s6s4c3s 
Jc8s6s4h2s Qd8d8c7d3d Th9d7c3h2h Qs6c4s4d3s 
Tc7h5h4d2h 7s6c3s2s2c Ac5d4s4h2d Qh8c7s2h2d 
Qc8s8c4c2h Js7s6c3s3d Jh7c4s2s2c KhTs5d3c2c 
9s7d6h4h2h Kc9h6s4h2d Qh7s4s3h2h Js6h3s3d2h 
Kd8d5s2d2c KhQd9s4s2s KhTc5s3d2d 9h7d6d3c2s 
Kc8d5s4d2d Jh7h5s5h2d Jc7c4d3s3h Ac9c7c4d2c 
KdJd7h3s2d AsQc6h6d2h QsJh8h3h2c Jd5d4c3s2h 
Tc7d7c4c2s TdTc6s3h2h KhQc9d3s2s 8d6c3c2d2c 
Tc7s6c4c2c Qc5s4s4d3h Js8s7s7d3s 7h6d4d2s2d 
Kc9h6d4s2h Kh9h5d2s2h Jd7s7d6d2c 8c5s4s3h2d 
Kh9c6h3d2h Kc4h4d3c2s KdQh8s8h3h 7s6h6d3s2c 
AcJs5s5d5c Ks9s7s3s3c Jc5c4d3h2s 8s7h3s2h2c 
Qc7d6d5s2d Js9s7h6s2s 9s8s6c3d2s 9d7c5c3c2h 
Kd9d7d3h3d As5h5d4h2h Td7s5s4h2s 8d6h4d3s2c 
Kd9d4c3s3d Ad7h5s5h5d Ad5s5c4c2c AdJh9h3h2h 
Kh8c6s6c2c Js6h6d4c3c Kd8h8c7h3h Ad8s8h4s2s 
Th5d3d3c2h JhJd6h3c2h Js7c5c4d2c Kc6h4s4d3d 
Kh9h6h4d2h QsQhQdTc8d KcQd9h3s2h Kd9h9d4c2d 
Kh5h4h2s2d Qc9s6s4s2h Jh8h7h4s3h 8d7h5s3c2c 
Jd7h7d6d2c 7s6c4s2s2d Jc7h4c3h2h AhQh8s3h2h 
Ks9c5c4d2h Qs7s5s4d2h 7d4s4h3s2h KdQc8c3h2s 
QcJh6h2s2h KhKdKc6c5s Th7d7c4s2d AcJd8h3s2s 
As8h8c4c2c Th6c5d5c2c 9d5s5c4h3s Ad5h5c4c2c 
Jh7s6d5c2c As5h4h3h3c Jd5h5c2s2c 9s8d5c3s2s 
AhTd4d4c2d Kd8d5c2s2d 8d7h6s3c2h Jd7d4h4d3s 
AsTd4h4c2h 9d8d6s3d2c 8s7c6h3d2c Qs8s8d7s3s 
As8d6c3h3c Jh8h7h7d3h Qh7s6s5s2d 9h8h7c4h2h 
AsQd6s3s2s Tc7d5s4h2d Kd6s4h4c3h 9c8h6h3d2h 
KcQs8h4d2h AcQs7d3h2s 9s7h5c3d2c Qd7c4d3c2d 
Ad7h5h4c2h JdJc4c3c2c Kc7h7d4h3h Ac9d4s2s2d 
Kd7c5s4h2h KcJh5d2s2d Qc7h7c6d2c Td6d4s4c3d 
Qc7h7d3s3h Jc6d6c4h2s AcQd7d4d2d Qd8d6d4c2d 
Kd8d7h3s2c Kh8c5d4s2d Ks8s7h3c2d Qh7h5h4d2s 
7s5h4c3h2d Qd9d5d3s2h Kh7h5d2h2c Js7h5d4h2c 
KcQh8d4d2s Ks9s4s4h3d Ac6h4h4d3h AdJh3s3h2h 
Qh9h5d2s2h As9d4h2h2d 8h7h4d4c2s AcQh6s6d2d 
As9d6h6c2h Tc6h4d3s3d Qs6s6h4s2c AhQh6h3h2d 
QcTs3s2s2d Kc8c7h4s2c Ah6h3s2h2c Jc7d6s2s2d 
9c8s8h3c2c Qc8c4s4d3h AdQh7s7h7d AhJs3d3c2s 
5s5h4d3s2c Qh6h5d3s2h JdTs6c3h2h 6s6d3s2s2c 
Jh8c6h3s3h AcJs7s6s2s Jh5d5c4h3h Jh7c6d4s2h 
Tc5s4d3h3c 8c6c4s3d2h Jh8h4s4h3d 7s5d4h3s2c 
Qh8d4s2s2d KdQd9d4s2d Tc8c5d2s2c KhKdKc8c3h 
JdTd6d4d2d As6d5s3s2s Kd9d7d3s3d Kh6c4d3h2h 
Ts9s3h2d2c 9d8s6h3d2d Qs9h8c4h3h Js9s4s4d3s 
Qs9s8h3s2c Qh9c7s7c2d Th7d3h2d2c Qd7s4d2s2d 
AdQs7s7d7c Th7h6d4c2h Ts9d6d3d2d Kd8h6d3c2s 
Qh7c4h3c2h Qh8d7h3s3c Qd5d5c3s2h Qs6s5d2s2h 
AhTd4s4c2s QdTd7c3s2d Ac5c4c2h2c 9d5c4h4d3s 
Ts9d5h3d2d 9h8h8d4h2h Tc9h5h3s2h Qd9c8c3s3h 
Qh8s7d3h3c 7h4s4d3d2s 9s9h6s3s2s 7c5d4s3h2c 
Jd9d8s3d2d Qs9h8c3d3c Tc5s5h2s2d 8d4d4c3h2c 
Ks8c5c4d2c Td6h6c5s2s Js6c3s3h2c AhThTdTc7s 
9h7d4h3d2h Js9h6c4d2h 6s6h3s2s2d 7c6s4s2s2h 
Js9s5s3s2h 8d5d5c4d2d Ks9c5d4d2h QsTd7c3s2s 
7d4h3h3d2c 9s7s4c3c2s Ks8c6s3h2d Ad9d7d4s2d 
8c5h4s4c2c Th7c6s6d2c Ah5s5d4c2c Qd5d5c4s2d 
QhJs7s4c2s Ac7d4d3s3h 7d4h3s3h2d KsQs7s7d2c 
Qc9s5s4s2d Kd5h5c4h2h KcQh6s3s2d Kc8h6c3d2s 
9d7d6d2h2d Jd4h4d3h2d KhTd8s3s3c KsKdKc9d7d 
Kd9s5c4c2h Jc8d3h3d2h KcTd6s2h2d KcTs7h3s2d 
JsTs7s3c2s Qs8c4s4h2d AcTs5d2h2d 9d6s6h3s2c 
Jc8s7s4s2h Qh6h6d4s2h Qs7s5c4s2d 8d7d4s4c2h 
Jh9s7d4d2c 7h6d4s3c2s 9s8c4c3d3c 9d7h6h2h2c 
AdJh5s3s2c 9c7c5c2s2d Ks9d6c3s2s 9s7h6h3c2d 
AsQc7c2d2c QsQhQdTd8c AhTh6h3s2h Kd4h3c2s2d 
9s5s4d4c3h AhTc4s4d2d Jd7s4s3s2d KhQc7s4s2d 
9s8d5h3d2d 7s6c4s2s2h 9h9c7d4s2s Td7h7d4c2d 
9d7h5c3h2s Qh5s4h3h2d KdJs3h3c2s JsJh8c3d2d 
7h5h4h3s2c Kc6s4h3s3d Qh9c4d3s3c Jd9d5d3c2d 
8s5h4s3s2d Js7h4s4d3s As5d5c4c2c Tc9h3d2s2h 
Qd3s3c2h2d Td7s6h4h2h Kd8d7h3c2s Jc8s7c2d2c 
Kc7c5s2d2c Qh6h5s2h2d Qh7d4h3d2d 8c5h4d3h2s 
Tc7h7d5h2h Qh7d7c3h2d As7d4d4c3d Tc9s4d3h2s 
QdJc7s4s2h 9c7h5s4s2s Jh5h3c2d2c Jd7d6d3c2c 
7s4h4d3h2d Jh8s7h3h3c 9s9c7s3s2d Ah8c6d4s2s 
Qc9s5h4s2s 7d7c5d3d2d 7h5c4s3h2d Qh9h5s3c2h 
Td8d5s3h2c Kh9h8h3s2c Tc7h5s4d2d QdJs6s3h2s 
AhJd3d2s2c Qh8d7s7c2d Ah8s4d3h2h Kc9c3h3c2h 
Qd8h8c4c3s Qd5s5h3c2d Qd7h7c3d2h Jh8s6d4c2c 
KsTc7h3c2d Kc6s3d3c2h Jc8c7d3s3c Qc7s4c3s2c 
As6h6c4h2h Jd6c3h3c2d Qh9s9c7d2d Kc8s8c4c2h 
JsTs7s3s2c AcJh7h2s2h 9h5s4s4c3s Qd9s8h3s3c 
KhQc7s3h2h Ts9c7s4s2s 9d8h6h3h2c 8d8c3h3c2s 
Qd9d5d3c2h Js7c6c3h3d AsTc5c2h2d Qd5d3c2d2c 
Ts7s4s3h3c Ac6d4d3s3d Jh9c4s3s3d QhJd8d3d2s 
Kc9c7c3d3c 7s5s4c3h2s Ah9d8s4s2s AdQd6d3d2s 
Qd9h7s5s2s QhJs7s3s3d Ks7h7c6c2c Kc9d9c3c2h 
Qc8s8c7c3c Ks9d4s4c3s Jc9d4s3s3h Th7s3s3d2h 
Ts6d4h3h3c 8d5d4h3s2c As7c4c3h3d Td7d5d4c2d 
AcQd8s3h2s KcQc6c2s2h Td7d6s2h2d Ac6s5d2s2h 
KcJh6d3h2s 9s7h6h2h2c Kc7c5h3c2s KcJc4h4c2c 
Ad9c7d4d2d Qc9c5s2h2c Js7s4s3c2c Tc7s6d4d2d 
Qh7d7c4d3s 9h9d3s3d2c Qc9s7d4c2h Qh8h8d2s2h 
Qs7c6s6h2s Jd8h4d3d3c KdJs5h2h2c KhJd8s3h2h 
Kd9s5c4c3c 9s7d5d3d2h KcJd7s7h2h Th5s3c2h2c 
ThTd5d3c2d 9c8c6d3h2c Qs9s5h2s2d Js8h3h2s2h 
Qs9d3h3d2h Kh7s7c6d2s Jc8d3d2d2c Kc7d5c2s2c 
Th7h5d4h2c Qs9d6h6c2d Tc9h7s3d2d Jd9c7s4h2s 
Qs8h7h7d3h Ad8h8c4c2c Qc7h6s3h3d Jh8d5s3h2h 
As9h5h4c2d Qh9s8c2s2d 8h7c4s4c2d 8c7h4h3h2c 
Jh8h7d3h3c AdJc9c3c2c 7d6c4s4h2d Jc8c6c4c3s 
Th7d7c5c2c Ks8c6s3d2h AsTh5h3c2d As9s5s4d2s 
Ah9d6c4c3c KcQs8h8d3d Js7d7c6h2s 9d8h5c3h2h 
Kh8d6d6c2d QdJd7d6c2d Qh9s7s4s4d Ts7d5h5d2c 
AhJs7d3s2c AhJd8c3s2s Jh9d7h4c2h JsJd8s3s2s 
Qd8c7s4s3h QhQd7h3c2h Qc9d5d4d2s Ks8h7d4c3c 
Qh7s6c3d3c 6s5h3h3d2c Qc7c5h4c2d Th7h7c4s2h 
JdJc6c3c2h 9s8c7s3s2h Js9c4s4h2d Jc8s4h4d3d 
QcTc3c2s2h 8d7d4s4c3d KcTs8h3h2d 8c7c3d2h2d 
Ks8s8c5s2s Kc7d5d3s3d JhTsThTc9d Kc8c7h3s2d 
AsQs7s2s2c Th7d6s2h2c 7s7c4h3d2s Qh9d8d3s3c 
Qc5d5c4s2c Qh9h5h2s2c 7s6s6c3h2s AhQd7d2d2c 
Tc8s7s4s2s 8h6c4s3s2d Qs9c7c4d4c KdTh6c3c2s 
Ts8s5c2s2h 8c5h4h2s2d Kc9c7h4s2c Ac8d6h2s2h 
AdJc4d3d2d Th8h4s4c3h 7c6c5s5c2c 8c5c4c3h3d 
Qc7s6h3s3d Qc7s5s5d3s Ts7d3c2s2d Tc7s5s4s2h 
Tc7c6d2s2c Tc8d6h3s2c QdJh8h3s2h Js7s5s5c2h 
Ah5d4c3d2s 9s9d3c2h2d Kd7s5c4c2h JhJd7c3h2h 
8s7d3d2s2c Jd8h5d3d2s Jc8h6s3s3d Js9h4s4c2d 
8c6c4c3d3c Qs9h7s3d2c QdTc7s3h2c KhKdKc6s5c 
Qc7s4c3s2s Jc8h6h4d2h Tc7s7c4d2c KdQd3d2d2c 
Th9h5d2s2h AdJc4c2s2c Kh9h8h3c2s Ts9c4h3d2c 
Ah5c4s4d2d Th4h4c3d2c Qc7h7d5h2s Ad9d5c4d2d 
QdTh3d3c2d Jd9d4c2s2h Jh7c5d4c2s Ah9d5d4s2c 
8s7h5s3d2c JhJd7s3h2h Js5s4c3s3h 9d8c5h3c2c 
Jc8c7c6c2d Js6s4h4c3d As6d3s2s2c Qs8d7h2s2c 
Td9d7d5d2d Ts4d4c3s2c QsQhQdTs8c Ac9h6d4d3d 
Ac7s7h6d2d 7h6h4d3s2c Ad5s5h4h2h KhTs7c3s2d 
KdJd8c3h3d Ks9c5c4c3c QdJs6h3s2s Ts5s5h2s2d 
9h7s7c4d2c 9s8c7h4c2c 7c6s4s4d2s Kd6d4d3s2c 
JhJc7d3c2c Qc8d5h3s3d Ks7c5c3d3c KcJc7c3s2h 
Qc9s8s4s4d Qc8d4h4c2s As7h7c4d2d 9s9h3c2h2d 
Jh9h4h3s3h Qd8d3s3c2c Qh8h5h4h2c 8c7d4h2s2d 
Tc6d4s4c2h Ac6s6h4d2h KcJc8h3d3c Ah9s5s4c2d 
As7h7c4c2c Ah5s4c3d2s Td6h5s3c2d Kh9s6d4s2c 
Ad6c4h4c3c KsKhKdQh8c QdTc4c3s2c Qd5s4h3s3c 
Jc9h8s3s2s KsTd5h3d2d Jh7h7d6c2h Th8d4c3s3c 
Jh9h6c4s2h Ts7c5s4h2s 9d8c4c3h3c Ac5s4s4h2s 
9d5s5c4h3d AdJc6h4s2s Th7s6h4h2h Kh4d3s3d2s 
9d7s5c3s2h Qh8h7d3s3c 9h8s8c3h2h Kh8h8c4s2h 
Td8d4c2s2h Jd8h6c3s3c KsTh6c2h2d Js6s4d3h3c 
Kc8h5h4d2h KcQd9c3c2c Ah5d4d3c2s AcQs7s4s2s 
7d6s4c3h2c 6h6c4h3h2d Kc4h3h3d2d AdQh6d3d2d 
6s6c4s3s2h Js5h5d4c3d Kd8c5d4d3d Ac8d7s4s2s 
As7d4c3d2c Ks8s6d4s2s Js7d6c4h2s Jd8s5s2s2h 
Td7d3s3c2c AdQs8s3c2s 8s7d4s2h2c Js9s6d4h2s 
Qd9c8s4h2c Jh8c4h4d2s AdTd6d3c2d AhJs6d4c2d 
QcJc7c6h2c KsJs7s3s3h KsKdKc8s3d Tc7d3h3c2d 
KsKhKc5d4c Qc9d8d3s3h KhQd9c2s2c 7s5c4d2s2h 
8c7d6s3h2d Kd7s7c4s3s Qh8c5s5c2c 7s5h4h3h2d 
Qd7c6c4c3c 8d5d4c3s2h Js8h6h6d2h Jd6h3s3d2s 
8c7c4h2s2d Jd9c6c3s2h Ks7d4h2h2d Jh8s7d4c2c 
Kh9d6d3s3c 8h8d6c3c2s KdTh8c3s3c KsKhKc7h2c 
Jc8h5d3c2s Ks8s8h5s2s Qc8h7h4d3s As8s4c3s2h 
Qs4c3s3c2s 9c6s6d4d2d Ks8h6h6c2h Qc5s4s4h3d 
Tc9h4c3s2c QsJd4d3d2d 9s5c4h4c3c Qd9s7c4c3c 
7h5s4s4d2s 9s7d6c3d2d Kh9s5d4s2c Kd9d4d4c3h 
Tc9s7h3h2h ThTc4h3s2d Jh9h7h2d2c Ts9h3d2s2c 
Kh6c4d3s3d Kd8h7h3s2s 5d5c4s3h2d 8h7h4s4c3h 
Ks8c6d4c3c Kh9h8c4h2d Td4s4c3s2d KcQc7h7c2d 
Qs9c8c3h3d Jd9d8c3d2d Td8h4d4c2d AsQd6h6c2h 
AsKd8c3c2h Ks6c4c3h3d KhTc8c2s2d Tc7d4h3s3h 
Kh9s9h4h3h AdQs6d3d2d 7h7d6h3s2h Qc7s7d3c2d 
AcQc7c6c2c JhTh6h3s2h Th6h4c3h3d Qh6h5s3h2d 
Ts7s7h4c2s 7s5h4c3s2s 9s8s6c3s2h 8c7s4h4c2d 
AdJc4c2h2c JhJc8h3h2h Kh8s6s4s3c Tc8s6h3c2d 
Jh7d6d5d2c Jc7d7c6s2c Kc7s7h6d2s Kh8s6s6c2s 
Th8d5d2d2c Ts7s3s3h2h Kh8d6h2h2c Tc6c4d3s3c 
9d8d6h3s2d QhJh7h6s2h Kc6h6c3c2d Kd7h5h4s2c 
Qs7s4d3h3c 9s7d5h3h2h Js7s4c3c2c Ks6d4h4c3c 
QsTc4h2h2d Ah5h4h2s2h Td8c4h3s3h Th7d3d2h2c 
7c5s4s3s2d Kd9h6s4h2c Qs8s3h2h2d Qs8c5d4d2d 
KhTc8s3s3d Tc7c6s2h2d Td9h7c3h2s KcQsQhQc9d 
QdTs3s2s2c 8h7h4s4h2d QsTs4s2s2h Qh6d4h3s3h 
8s5s4c3h2d 9h9c6c3c2c Qh7c4h3s3d 6s6c3h3d2c 
QdQc7c3s2c KcTs5s3s2h Jh8c7d4d2d 9c7h5s3s2s 
Ks6c4h3d3c JsJc6h3c2c Ks9s6s3s3h Qs8h5c3d3c 
Qs9s5s2h2c Kd6h6d3d2s 7h4c3d3c2h Qh5d4s3d3c 
Th5d4h3s3c Js7s4c3c2s 9h8d4h3s3c Jh8s7d3d3c 
JhTh7h3d2h Jh7s7c4h2d Kc7s7h4s3s 8s7d4c2h2c 
9d7c5d4d2d 8s8h3h3d2c 9d8c6c3h2c Kh9h7h7d2h 
9d8c4h3s3c 9h8c7h3h2d JsTs7s3h2s QhJd7s4d2d 
Qh7s7h6c2h Qh9h5h3s2c 8s5c4c2h2d Ts4s4h3h2c 
Qc8h7s4s3d Ad9d4h3c2d QdQc8h3h2h Kd8s8h7h3h 
Ts6h4d3d3c KcJd4c3c2c Jd8h7d3s3d Th6c5s5d2s 
Kc9h6d3c2c 8d7s4d2h2d Kd6h6d3c2d Jc6c4d3s3h 
JhJd7s3d2d Kh8h6c2h2d Ac6h6d4s2s 7c5s4h2d2c 
Td9d5d3h2d 9d5c4h4c3s KcQs9h3d2h 7h7c4d3s2h 
7d4c3s3c2s Td9c7h3c2c As6c3d3c2d QsJc7h3h3d 
TsTh5s3s2c Jh8s3s2h2c Qs8h3s2h2c Ts6h4d4c3h 
Jc7h7c6d2c 9s7c5h3c2d Kd5s4h3h2c 9s7d7c4c2c 
Qh8c6c4d2c 8d5s3d2s2d 7c6c5c3c2h 7s7d6h3s2s 
Ac9c7c3c2s Qs9h7c3d3c QsTs3s2h2c KsTc4d3h2c 
9c7c5c2h2d Qc9d6c3h2c Qh9d7h3c2s Qd9c6h3d2d 
QdTsThTd6s QhTh7d3s2h Qh7c5d4h2h Jh9d8s3s2s 
Ts7c6h6d2c Kh9h9c4h3h Ks7h5c4d2d KcTd8d3s3d 
9h7s6s3c2d Jc5s5d4c2h KhJc4c3d2c AhKd8c3c2s 
Ts7h6h6c2h 8h7h4s4c2d KsKdKc5h4s AdQs7c4c2c 
Kc8d6c2h2c KcTh6s3s2s 9s7h7d4h2h Qd6d5h3s2d 
Tc6s5h5d2s Kc5c3s3c2h ThTc7h4h2h Kc8d5s5h3d 
Jd9h7s3d2c Kd5s5h4c2c Jc7c4d4c3s KcQd7h7c2c 
KdJh8h2s2c KhTc6d3d2d Qc7s4c2s2c 8d7s3s2s2d 
Jc8d5h3c2c QhJs6d3s2s Qs6c5h3s2s Qh7h4d3s3c 
As9d7h2d2c Jc8d4s4h3s Tc5c4d4c3s Qs9h7d7c2h 
Ac9h6h3s3h Qc5c3h2h2c 9d8c6s3h2h 9c6d5d4d2d 
Js7d6c5c2c JcTc6c3c2s Tc8h5s3d2h KhTc8d3s3d 
9d8h4h3d2d Jh8h6c4h3h Ac6s4s3s3d AsQh4c3c2c 
QhJs8s3c2s Qd6s6c4s3s Ts5d3d3c2s QhTc5c3c2c 
Kd6h6c4s2c Kh6h5h2h2d KsJh6d6c2c KhTh4h3c2h 
Jd7h6s2s2h Qh7s7d4d3d QdJs6s2s2h KsQh8c4c3c 
Ts9c7d3d2d Ac8s6h3s3d QhJs8c3c2d Td9s7h3h2h 
Qc8d7d4h3s KsQs7s7h2d TsTc7d3c2h 7h5s4h4d2h 
Js8h4c2s2d Ac9c5c4d2c Ah6d5s2s2c Kh7s5s4s2c 
Kd4s4h3d2c 7h5d4c3s2h KhTd8c3s3c Qc7c5h4c2s 
Kd9d4c3s2h 9c7s5c2d2c 8s5h4h2h2d Jc8d4h3d2h 
Ts9h5d3h2h JcTc6c3c2d Th7h4c3s3h AhTs4s4d2s 
Js9s6s4h2c Kc8c7d3s2h Kc8c6h2s2c Jc7c5h5c2d 
Tc5d4s3h3c Qd6h4d4c2s 8d3h3d2h2d Kh9h7h3h3c 
9h7s5h3c2h Ks5h4c3d2d Qs9h9c3d2s Jh8d6d6c2d 
Ks9c5d4c2h Kh9h8s4h2d Ad9c6s4h3s KsJs4s3s2c 
7c5d4s3h2h Qc8c6c4c2d Td7s5s4s2h Ks9s4h3s3c 
6s6d4d3d2c Jd5s5h2s2c 6d6c4s3h2h JcTd7c3c2c 
Ac8s8d8c5s 7h7d5h3h2h Kc6s4h4d3s QdJs7s3s3c 
Kh7c4s2h2d 9h7s6s2s2d QsJh7d3d3c 6s6h4d3c2c 
8s3s3h2s2h 7h6c4d3c2s 8h4h4d2s2c QsQhQdTs9s 
Ac5d4h4d2d Jh8h4d3s3c As8s4s3d2c Qc7h7d3s3d 
As8s4d3c2s Kc5c3d3c2h Js5d5c4h3d JhTs7s3s2s 
KsJh6d2h2c 6s6h3d2d2c Qh7h6c4h2s 8s7c4h4c2d 
Jh9c7h4d2h Kd7h7c4c3c Jc8c5c2h2d Kc8h5c4c3c 
Js7c5h4c2d Qd8c4d3c2d Ks9h7c3d3c Ad7c4s4c3c 
Qs9s5s3h2d AdJh5c3s2s Ks7h4d2h2d 7d4d3s3c2s 
8d7d4s2d2c Jh5h4c3s2d Jd6s5s5c2h Js7c6s6h2d 
Qd9h5s4c2c KcJd8h2s2d 7s6h4h2h2c As5c4h4d2c 
Kh8d5s4d2c JsJd4c3c2c Kc6c5d3c2c 9h9d7h3s2h 
8h7c5s3s2d Ks8s5c2s2h Ts9c3h2d2c Jd7d4h3h2d 
Jh9s6d4c2s 9s7c5h3h2h Qd8h6s6c2h Qd7h6s5c2c 
AhQd6s6c2s Kh8d5c4s2c Jc9s5d2h2d Td7s6c4c2c 
Ah5s4s3d2c Qh9h4s4d3h 9d7d7c4d2s Qh8c5d4c2c 
Ad6h5c2s2h 9h8s5s3d2s AdQd8h3d2d Qs9c5c3d2h 
8d7c5s3d2h Qh8d7s2h2c Jh5h4d3s3h Ks7h7c4d3d 
KsTs6s3s2c Qh8h3s3d2d 9c7h7c4s2c 8h5s5h4h3h 
Td9c4h2s2h 9s9d7s3s2h Ts8s4d2h2c Tc5c4s4c3d 
Kh8h8c3s3h AsJh8c3d2d Ts8h6c3s2d KcQd6d2s2d 
Ts5d3c2s2c KsTc4h4d2c JsJc6c3h2c 5h5c4s3d2c 
Th6c5d3h2s 9d8h4s4h3c Ah5d5c4s2s Ad7h6s4c2c 
KcTc8d3c2c Jd6s6h5d2d Th7s7c4h2d Ad9s5s4h2c 
Kc9c6h3d2c Qh7d6d5c2d KcTs6s3s2h Jh5h4c3d2s 
QcJcTsTdTc QcJs7h4h2d Ac7d4h3d2h Jc9s6h4d2s 
Tc6s4h4c3c Kh9h6s3d2h KdQc6s3h2s 7s4s3h3d2d 
Td8h4h3s3h Td6s5h5c2h Ad9d7d4c2d 7s7h3h3c2d 
Kc6d4s4h3d 9d6d6c4d2h Jd8c4d3s3d Th9h5c3h2h 
