AdKhJs8h6c 
AsTd8h6h2s JsJcTd6c3s AsKdQs9h6s AcQdTh6c5c 
JhTc9s8d7d KhQdQc4s4h KhKcTd6s4s QdJc7c6h6d 
QsJd6s6h5d KhJc9c7d4h AdThTc9h5c KhTh9d9c7s 
QcJsTd4s4c AcKdTd8h4s JhJdTh5c2d AcQh8d7c3d 
AdKd5c4c3d KsThTc3s3c As9s9c8h6d KsKcJd6d4h 
AcKdTs6d4h KdQcTs9s7h AhTc9s7s7c KsQd6s6c4d 
KdQsJdJc3h QdJhTsTh9h AhKhQd6h4s JdTh9c8h5c 
QsTh9s9h2d KsKd6c5d3d KhTs6s6c5h KdTd9h7c4c 
AcKc6c5d3d AhQdTc8s5d QsJdTc9c7h QdTd9s8c7h 
AsQhQd5s3s QcTh8d7h7d AcQsJc9c6h AhJs9s7h2s 
AcKcTd5h4c AcJsJc9d2h QsQc7s4s4c KsKcJc3d3c 
QsQc9s4d3c 9h9d8h8d5d AsJhTs8s3c KdJhTdTc7d 
KcQsJc6c3s KdTd8c6c5d KsQc6c5c3s KdTd9h8c7d 
KsQcTc9d6h QcJhJc9d8c AsTd5c4d3s 8h8d6s6h5s 
QhJc6d5h4d KhKc9s7c3d KcQsJh6c5d AcQhJh4s3s 
AdTh7d7c4s AhKdTc6h3s QsJhJc7c4s KhTc7s7h5c 
AcQhQd6s4d AdQs9d7s2s AdQh8d5c4s AdKd9s7h6d 
AsKhJs7s4d AcQh9c6h6c KsKc9s6d4s Ac9d7d6d3c 
AdJc8c6h2d KsJcTs2h2c Kh9d8h6c5c QsJdTh9h7c 
KdJhTc4c2d KcJdTh7c4s AsTh6h4s3c QhJc6h5h4c 
KcQdQcTh2s As9s8c5c3h AsKsJs8h7s AsThTd7s4c 
KsQhTh4s3s JdTsTc9d8h AhJsJd4h3c KsJcTsTd7s 
AcTsTd9d8h KhQhQcTd2s QhQcJc5s4d QdJd9s7c5s 
AdTsTc7d4h AdKd7s7d4s Kc9c8s6h5s 8h8d7s7d6s 
AdQhQd8d7d TsTc9c7s5h Qc9s9c6h5s AsKhQs9c3d 
9d8d7s6c5c Ad9h9c5h4d AdQh8d5h3d AsKs8d6c2d 
AdKs9s3d2c KhQs6h5s5h KhQhTc4s3s Ah6s6d5d4h 
AsTh8h5h2s KcJsJcTh5d Tc9d7d7c6s Ad9h7c6d3h 
AdQh8h6h3d KhQsJc6h2s AcTs9d8d5s KdQhTc6h6c 
JsTsTh8s5h QcJcTd7h3d AcJcTsTd3c KdJhTs8d2s 
AsQh9h8s2s KsKdQcTd2d AsQhTc6c3h AcTs9s6c4c 
KcJhTs8c2s QdJsTsTh9s AdTdTc8s6d KdJdTc9d8d 
QcJs7s6c5s KsQd7s5h3d AhJsJd6s6d KdTc9h9d4c 
KcJs8c5s4d KsTs9s8c7d KsKd7s7h4s KhKdQh7s2s 
AdKs9s9h8c KcTsTd6c3s AsKsQs3d2d AhTh5s4s3d 
AhKd9h7h6c AcKh7h4h2c AhQd9c5c2h AdQdQc8h2s 
Qd9h8s6s5d AhTd9c4d2h KsQdJs9s4d AhAd7s3c2s 
Ah8c7c5c3h KhTs9c7c3h AcKh7c5s5d AhJsTc6s4c 
KdQc7s5d4s QhTs7h5s4c QhQd6h5d2s JsJhTc4c3s 
KdTh7h7c4d QsQc8s7s7h AcTd9d5c4c AhJh7d4c3d 
AcTc8s6h4d KcJs9s9c6s QhQc8d5h2c AcKsTd8s6s 
Ac6s6d5d4c JsJc8c6d4s AsQc8s7d4h QhQcTs7h2c 
AcQdTs4s4d KdJcTd6s2c AdQhJcTs2s JsTd9c5d4s 
AsTsTh8d6s KhKd9s7d3c QsTd9h5s4d AsKsTs9d3h 
QsQh9s4d3h AsThTc9c8d Qs9d8s6h5h QhJhTd9h7s 
KcTs6h5s5c KsQhJd9h9c AsJcTh4h4c KhKcQsTs3d 
AdKs9c7d4h KhQdTc6c3d Ts9c7s6c5d AsTs8d4h3h 
QcTh8s7s5c Qd9d8c6s5s AhJs8h8d6c QcTdTc5d4d 
KcQdJs4d3s AcKcQcTc5h KdJs8d5s4h AsQsTd4h3c 
QsQcTsTd2s KsQc9s5c3d KcJhTh3s2c QhQcJhTd7h 
Ad9s9d6s4h KdKcTs5c3c QsJh8h6s4c AsKhTd6s3c 
AsTd9s8s6h JsJhTh9d7h AdQd8h8c6s KdTd9s7c6d 
AsJc9s7c2c AdKhKc9s4s KhJs9d7d5s AcJs7h5c2s 
QsQh9c6c4h QsQhTc7h2s KhKdJd3s3d AcTs9d8h7s 
AsQdTc6c3d KhQcJs6h5d AcTd9h8h5d QdTs8c7s7c 
AsJs9c4c3d Ah6s6d5s4h QsQdTdTc3d QcJdTc7h6s 
Qh9d8h8c7c QsJd8s5c4d AsTd8s6c2c KcQhTc6s5d 
QdJdTd9d8s AdKdQd6c4s JcTh8c5c4h QsQc9s4h3c 
Jd9h8h7s5d AdJs7h5d2s QhTd8c7d7c QcJh9d7c5d 
AhJsTs7c5d JsJh8h6c4s AhTs7h6d4c AhJsJh4c3d 
Jd9s9c7c6d AcKh7c5s3d QsQc9c6h5d KsJs9c5h4h 
AhJh9d6h5d JdJcTd7h6s JhTdTc5d5c QhTs8s7c4h 
AhKhTc9h4d Qc8d8c7d7c KhQc9s7h4c AdKc9d3h2c 
AhTs6h6c3s QcTh9d6d5h KhQdQcJs5c AcKhKd7h2h 
Kh9h8d6d5s AhKdQh7c4h AhKhJd8h6s AdKsJsTs6h 
Kh9s9d8h6d QhTsTd8h4s QsJs9d7h5d QhTsTd9s4h 
QhQdJd9d3h Qs9h8s6c5h TsTc8s6h4c JcThTd5d3c 
AsJcThTd7h AcKhTd8h6h AcKc5s4s3c KhKc9d8d6d 
KdJhTc4d2c QhQcTc8d2d KsQsJh6h3h AdJdThTc3d 
KcQsJs2d2c KcJdTc2s2d QhJhTh8s7c KsKc6c5c3d 
AhJh5s4c3c AhQhTd4c3s KhJd7s6s4h AcKdQsTs2h 
KcQh9c6s3h QdJsTs4c2d JhTdTc9h5c AcTh9c8s2d 
AdQs4s4d2h QcJd7d7c6s JsTd8s6d5d KdQhJh8s5s 
AhQsJs4d3d QcTd7h6h4c AcQc5s5d3s JcTsTc9c8d 
Kd9h9c8d6h JhJcTc7s6d JhTh7d5c4d AdQsQc7c2s 
JdTh9h9d5s KdJhJdTc3s AdJd9h6s5c AhQdTc7d6s 
QhTs9h8s4d JsThTd9h3s KdTc9d8c3s Kd9s7d7c6s 
AdJhTc9d2d JcTd9c5d3s AhTd8c7h5h AsJd8d4s3h 
JhJcTs8c3s QcTc7h6h4d AsKd9h9d8c QsQcJh5d4s 
QdThTc5h4c KhQh8d6d5d AdJs9d8s2d QsQcJd6s5h 
AdQsJh8c3d AsQd9s9c8s QdTs8d5c4s AcKcTh9c4s 
Ac8s8c5s3h Qd9h9d6c5h 8s8d7s7c5d KcQhJdTs6h 
Ad7c6d6c4c JdTs7c5d4c KdJcTd7s7h KhTd7s7d4h 
AhKd7s5h3c KsQcJc8h5h AhKdQh9s6h AdKdJdTd3h 
JcTs9c7s4h Ks9h8s6c5c JsJcThTc2c As8c7c5d2s 
AcKhQc7d4c JdTh7h6h5d AsKsQs9h9c AcQsQhTd6d 
QcJc7d6d5s KdKcQs9s5h AhTd6h6c3d Jd9c8s8c7d 
KcQhQd8h3c JhJdTs6h3d QdTh8c6h6c QsJh7s6h6c 
QdJd9s6s5s KsQdQc9h8h 9s8s7d6c5c KhQsTc6c3s 
KsKhQhTh3c QsTc9h5c4s KhKdQh8h7h JcTh9h6c4d 
KhQh8d8c7c QcJs9h7c5h KsQs7d6h4h KhKd8d4h2h 
QdJh7d6s6h QsJc8s8d5c AcQhJhJd7s Ah9s9h8d6c 
AdJs7h7d6c KhKc6s5c3c AdKhKc7c2c AhQc6h6c3c 
AsKc7d6d3c Kc8d8c6s6d AdQdJdTs7d KhQhTd5s3s 
QhQd6h5s2d QdTsTc7s5c KcQcJc6h4h AhKsQh7d4h 
QsQc8c6h5d Ah9h7d6c3c QdJhTh4s2d JhJcTd8s6c 
KhQdJh3d2s AsQhQd7d2h AhKdJd9d8d KdQc9d6c4c 
KcQdQc8h4h AdQhTs4s4h AdTsTd8c6d JhTd8h8d5c 
KsKdTc9c3h JsTd9h8d4s AcKhTc6c5s AsJs9d4c3d 
Ad7h5c4h3d AhQs9d6s2h Kh8s8d7d6h KsQd9d6h3s 
AdQsTd9h4d KdKc6s5h2d AcKhTc9c3s As9s8c5h3c 
AdTc5c4h3d KhJsJc6s3h Ac8s7s7c3h AsKh9h9c8d 
AsQdJhJd7c KdKcQcTh2c KcJs6d5s5c AcJh5h5d3c 
JsJd6h6d5h AcQsTh7d6s AcKcQs9d2h AdKhTs4d4c 
AdKsTd6d5c KhQc6c5c3h KsKc9h9d3c KhQdTd9c2c 
JdTh8c6c4d 9s9h7h7d5d KdJsTh8s7s KdQsTc4c3d 
TsTc9s9h7d AdQs9d5s2s KhJd6c5d3h AhKh9d7c6h 
AhQsJcTd6d KhKcQs8d6d ThTd7h6d5s QdJsTc8h7h 
AcTd8c6h2h AdJdTh4s4c KsKd5d3h3d AsKsQs6d4c 
AhTsTd9d5s QsQc9s7c4c AsKsQh9s5d KsQhJc9d8c 
Kc9h8h7c5s QdQc9d5s2c AsTc8s7d5s AhKcTs7d6s 
AdThTc4d2h AcQsTc9d4c Ah8d7d5s2h AhJsJc8c7c 
AhTh8c4s3s AcTc9h9d6s QsQcJcTd3h Qs9d8s6c5c 
AhTc9c5h4h KsQsQc6h2h KcQhJsTd4c QdQc9s6s3d 
AcJsThTd7h AsJs9d7s3d KdQsJd3s2h Qs9s7c6c5d 
AhQs5h3c2s QdTsTc8d4c KcJs7s5h5c AsKdJh4d2h 
KcQhJd9s9h Td9c8d8c7h AsKsTd5s4c AdTc9s8h2d 
AcTsTc4s2d KcQsQdJh7s QsQhTh6d6c KsKcQs4d2h 
KhJs5h4s4d QcJs6h5c4h Ah8h7c6c3d AcKdQs6h4d 
KhTc9s7s3h AsQs9h9c2h KcQhTh6d3d AhTc8c4h3c 
KsJh8s5h4c Jc9h8h7s5c KhJdTc8h2c KdJdTh7h2c 
8s8h7h7d5s KdQcJh4h3c AsQc8s5d4h QsTh8c7s4h 
AsKdThTc5d QsJsJh4h2c KdQdTd7h6s 9s9d7h6h5s 
KcQcJhTs2d KdTc9s9d7h AhKcTd6h3s QhQd9s6s4h 
Ad6s5s5c4d AsKdTd7h7c QhTh9d8c7s KhKdQd5d3s 
AdTd8s6s3s KhQhQc6d2d KsQsQd8s8h AdQh8h5d3d 
KhJs8d7s4h AcQh8c7s7d AdKcQsTc3c KhTc8h6s6c 
KhQcTs6h2c QsTc9s9c2d KdKc6c5c3h KdQsQhTh6h 
QsTh8d6h6d KhKcQc5c3s Tc9s8h7s7c JhJcTh9s7h 
9h9d8c6d5h JhJd6h6d4s JdTsTd9s3d AsKhTs5d4s 
KsQhJcTd4s AdTd9s5s2c KdJc6s5c3d QcTsTh7s5h 
QdQcJhTs6d KhTd9s9d4h AhQc8s7h5h Ah8c5d4h4c 
AsQsTs9d3h QsQh7h7c6d QsTd9h8s4d QcJs6d5c4d 
QhJdTh9c7h AsTc8h8c6h KhJs8s5s4h QdJc9d7c5d 
KdTc9d7s6d AdJs7s7h3d AcQs8c6s3s KdJc8c7s6s 
JdTh9d7h4s AcKcQs7c2s KhQcJd9s8d KcJc9h5d4d 
AdQsQd8h2c KcQd8c7d5d As7h6s6h4h AcTh9s8d2c 
QdJs9d7s5d AsThTc7s4d AdQhTc6s6d AcQs5c3d2s 
AhJd9h8h8c AcQhTs9s7d AhJsJh7d6h AhTc5c4d3h 
AsQh7s7h4s AsQcJc6h5d AdJs9d5s5d AsJs7c6h3c 
QcJs8s7c5s KsJdJc5s2d AsJsJc9h2d KcQcTs6s6c 
AhKdQsTc2s KcQh6s6c4h QhTsTh9d4d QdTs9s5d4c 
AhJdTh9c3h JcTc8s5s4s KhJh8s5c4c AdJd7h4h3c 
Kd8s8c7c6d AsQsTd9s3h QhQd9d6h2d AhQhTs3s3h 
KsTd9s7h6s QsQh6s5c2h AdKsJd7d4c AsTh7s7d4c 
QhQdJh8c6s AhJcTd6c4d AhKsQc2h2d AdKdTh5c4d 
KcQhQd4s4c QsJd8c7s5c AcKhTd7s6d AhQcJdJc7s 
AsTc9h4c2s KdJdTh7h3d JhJdTs8c6d AsKs8s8d7h 
AsQsQh8d2c 9s9h7c6c5h KhKd5d2s2c AsKhTh9h7h 
AsTsTh9s7d KsQc5s5h4h AdKcTh4d3s Ac9s8c5h3s 
As9c6h5s4h KcTd7c6d6c QhJd8h7d6d AdQc8d7s4h 
Ac9c8s5s3h KsTd9s7d5s QhQc8h7h7d JsTsTh9s8d 
KhKcJs6d4s Td9c8s7d7c AhQcJh4s4d KhJd7s5h5d 
AhKh9s9h5s JhJd9h7s4d AsKdTh8c2s KdKcTh8s5h 
Ks7s6c5c4h KhQcJsTd6c JsTs7h5d4h QhQcJsTc7c 
KhQd8c7h5c KcJcTh7h3c Ac6h5h5d4c As9d8s5h3d 
AcQdTd9h6s AcJhTh8s5d KsQc9c6h5h JdJcTsTh4s 
QcTsTh9d8s AcJhJc5h2c QsJdTd6s3d Ah8s5d4s4h 
AsKd8d2s2h AhKdJsTs2c AcKdTh8d6d AsQc9c8s2s 
KcQsQdJh7d KcQhTc6d5s KdKc5d3s3d AcKsTs7h5s 
TsTh9h9c7d KhTh9c7d6h KhQs7h6c4c AdQhTs8c5h 
TsTd9c7d5s AdJc9s4s4d Qh9s8h6c5s Qh9c8h8d7d 
KhQdJsTc4h JsTd9s7c3d Kc9c8h6h5s QsTc8c6s4s 
AcKc9s5s2d QhJd7s6h5s JhJc6h6d5d QhJc8c6h4d 
JdTd9h8c7d Jc9h9d7h6c QdTs8c7d4s Kd8h8d6h6c 
JsJhTd4d3s QcTd9c5d4s KsQh5s5c4c 8h8d7s7h6s 
Kh9s8s7h5d KcTd7h7d4c KcTc9h6s3s AcTh5c4d3h 
AcKdJh7s7d AhKcQdTc3c KsJd9s5c3d ThTd9h7d5c 
TsTd9h7s5d AdKcJc8s8h KhJdTc5h2c KsJsJhTc5d 
KdKc6h4d3s QsQc8s6c3d AsKcJd4d2c AcJd9d6d3c 
AdKd8c7c2c AsJcTc7h5d Ks8h8d7h6s QdJh9s9d6h 
JcTh9d8h4c KhKdJc9c5s QcTc7h6h4s QsQd8d6s3c 
JhJdTh5s2d KhTd9c8h4d AcQhTs7d6h KsTh8c7h7c 
JhTd9d8c7d AcQdJsJh3h AdKhQs6c5s KsTs9d7h6s 
AcKcThTc2d QsQdTs7d2h KcJs6d5s3c KdQs9s6s6d 
As9h7s7h6s KdQdJh9c8d AdKdTc8s2h JhTc9h8c5c 
Ad7c6d5d4c AsQsTc4h3d AcQs9c8d7c AhKcQdTd4d 
AsKs7h6h2c KcTs9c5s4d AsTh9c8s3d QdQcJdTs3h 
KsKcQhTc3c 9s9h7s7d5d Ad9d7h6c3c QdQcJh8c2h 
AcQc9c8d7s KsQhQcJd7h AcQd9c6d4c QhJcTd7s6h 
AsTh5h4s4h KsKh9d7h3c KhJhJc8h8d AcQs6s5s2c 
AhTs9h8h6d QsQdJh7d7c QsTc9s7s7c KsTh6h6c5s 
As9c8c7c3s AhKhJhTh3s AdJs8c6c5s AdQcJhTs6s 
JdTh7s6h5s Qc9h9c6h6d KdQsQhJc7h KhJsThTd7h 
AsAhAdJs3c 9s8h8d7h7d KhQs8c7h5c As9c7s7c6s 
KcTd8c7d5c QhQdTdTc3d As8s7h5s4h Ks9d8s7d5h 
KsKcTh9h3d KhKcQsTs2d JhJc6s6h5s AhKhQd7h2d 
JsJhTs7d7c AhKsKd6d2d AcJs6c5s4c AcTd8s7c5c 
KsKdTh6c5c KcQsThTd6c AsKhTd7c6d Qc9s8d8c7d 
AdKs9s8c4c AdKdQcJd4d AhKsKd9c4c KdTc9s5c4d 
AcTd8h7h4d 9s9h7d6d5h JsTd9h8d5h KsTd9s9c5c 
KcTc9h8s7c KhQs8h7s5s QcJc9s7s5h As7c5d4s4c 
QhQdTh8c2c KdQcTs7h6c AcKc7s6s2h QhQcJh6d3d 
QcJcTd7s3d KcTc8c7s5s QsTd6c5c4s Jc9s9h7s6c 
QcTd9h5c4d KsKdQhTc3h Ts9c8h7s7c AhKhJh7c4s 
AhQdTh5s4h KsQh9s5h3c Ah6h5d5c4d KcQsJhTd6s 
QsQhJd4d2s KcTd9h8c4d KcQdJs4s3d AcKc8s8c7h 
JsTc8c5h4h KhJd8h5d4s KhKcTd6c2s QdQc9c6d2c 
QhQcTc6d4s 9h9c8d6c5h KcTh9d8c6s AsKcTsTh4s 
Ah9h9c6c4d Kc8s8h6s6c KdQdJcTs2h JdThTc9d8s 
KsJhTh2s2c JcTd9d8s7d QsJcTc9h9c QsQd8d6s3h 
KhKcQc7d2d KsQhJcTh6d KsTs9c7h4h Qd9d8h8c7c 
KcJd5c4s4d AcKdJs9h7h KcTs9c6d3d AdKsTd9d4c 
AdKsJh8s6c Qc9c8h8d7h AhKcTh6s3d KcTh9s8c4h 
KdJcTc3s2d AdJh8s8d6c AsJdTs9c3s AcKsTc9c4h 
AdKdQdJs3d Qh9h8d8c7c Ah8c7h7c3d AsJsJd8h3c 
QhJd7d6h6c QsJcTd8d3c AsJs5c4d3d AsKsQs6d4h 
QdQc7s7c6h AcKdTc5h4c QdQcJdTh3s 8s8h6h6c5c 
AcKdTs9c4c Jc9s9h7c6h AhKsQc8s7s KdQcTh9h7s 
AhJhTdTc3h QhQdTd6c4s As8h7h5c2s AcKdJdTs6d 
AdKcQh6s6d AhTs8s4h3s AhKh9c7s7d Qs9h8s8c7c 
Qs9s9c8d7d AhKsJc4c2s JsJc8c7h4s AhKdJs4d2s 
KhQhTc5s3s AcKhJc7c4d AdKhQsTc2s KhJsJdTc8c 
KcJsTs7c2h KhTh9d6c3d AdTd7d6c4c KcJsTs6d4d 
AhTc8d5h2d QsQdJc4c2s AdTs9c2d2c AhJsJd8s7s 
KdJs7d6s4s Ad9h8d5c3h KcTs9c5s4h QcJhTh4s2c 
AhKsTs5c4d AdTc9s8s5c JsJh8c7h7d QsQc8d5s2c 
AdQdTsTc5d KsKhQhTh3d QhJcTh3d3c KcQdTh6h6d 
QdJdTh9d7c AhQcJd8s3h QdTsTh5h4s AdTh5d4c3h 
KhQhQd3s2s KsQs8c6c5c KcTc9h7d6c AdJs8d8c6h 
Ac9d7c6h3h KsKc5c3h3c AcJs9d6d3c QsTsTc9h4h 
AhKsJc9d6s KsJd6h5d3s AcQd9c8c7h AdKd8d8c7h 
AhJs6h5s4h KdTc6h5h4d AdKcQd6s4d QcJcTd8h7c 
KhQdJc9s8c KcJhJc4d2h AsJsJd5s2d AcKsJh9d7d 
KsQdQcJd7h KhJdTs8h2s AhKhTd9h4c AcJd8d6h2c 
AsKsTc8d2h AhQsTd8c5s AhKcJd4c2d AhKc9h3d2c 
KcQsTd7c3d AsJhJd8d7d 9s9h7h6h5s AdJs8d7c5d 
KhJsTh4h3s Ad9s7s7d6d KcTdTc9d5d QdJcTd8d7s 
AhKs7d6d3s AdQhJh9s7c AhKh7c6c2s JdTh6s5h4d 
QdQcTd7c2h Ah9c8h7d2c KhKc9h8h5d KcTsTd3d3c 
AhKh7s6h5c QsJsTc9c2s JsJc8s8c4s AcQsQhJs7s 
KsKhQh5h3c JdTh8d7h5h KhQd7c5h4c AdTs9d8h2c 
Qc9h8h8d6c QdJd7s6c5c AhKsTd8s6s AsKdTc8d6d 
JsTh8s7h5h As9s9c6c4d AcKcQd6h4c KhThTc9c5c 
AcKhQd9c5c QsQhJd7s7c AhKdTh9h3s Th9s7s7h6d 
JhJdTh2h2d KsKdQs8s7s KhTc9h8c3d KdQdTc4h3h 
KhJd9h9d6d AcJc8h8d3h AhQs9d6d5s QsQc9s6c2d 
KsQdJcTh6d AhKhJh5c4s AhKhJh6s5d AsKhTd8c2s 
KsJsTh9s8s QcJh7c6h6d QhTd9h8d3c AcKs8c7h7c 
AcTd8h4c2h KsQhQcJc7d KdQsJc9c8h QhTc8c7s4h 
AsJs7c4c3h AhKsJs8d8c KcJhTh6s4s KhJsTs9d7s 
Ks8h7s6h5h Jd9h8s8h7d KsJh8h6c4s AcKcQc9c8s 
AsQc5s3d2c QdJc7c6s6d AcJc7d4d3s KcQcJs8s4s 
AcTsTc8h6c KhQhJcTs2d AsTc6s6c3d Kc9d9c6s6d 
KsKdQdTd3h AhQcTh7h2c KsKh9c7s3d KdTc9c7d5d 
AcKcQh6c4d QsJh6s6c5h Ac8c7s6s3h QsJd9d5s3h 
AhJd9c4h4c Ac9c7h6d3d QcJsTc8c7d JdTs9s6d4c 
JsTd8d6s5d AhJhTc3c2h AdQdJdTc7d AdKdQh6c4d 
