KdJcTc6c5h 
QdJc9s7h6s 9c7d6c5c3d KcJhJc8s5c JdJc7s5d4h 
Ac6d4s3s3c AdKdQd3c2h QhTh8c7h7d 9d8d7s7c5s 
JhTs8c7d5c 8d7h6h5s3s 8d5h5d4h4c QcJc9h4s3h 
KdJc9c4s2d AdQsQh7c4c JhTd8s7c5c AdKdQd8s3h 
AcKh7c6s3c AhJs9h5h4c AcTc9s9d4c QsQd8h7s2h 
Js9s9h8h4c Js8d8c5d4c KhJc9c7d3d AcJsTs5s3d 
QsQdJd8h3c KcQhJh6h4d AdKcTh9h3h KsTd8s5h4c 
Jd8c6h6d5c Qs8h7h5s4s KdTsTd6d5c JdTh9s3h2d 
Ac7h6d4d2c Ad6h5h4d2h AcJc5s3s2h AdQh8s8c5h 
Js9d8s5d4d KcTsTc7h2h AhKcJc9d2c KdQd5c3s3c 
9s9d7c6h6c QhJdTs8h3c Tc9c6c5s4s Th9d8h7c2d 
QhTsTd6c4d Ts9h8c7s2c KsQc8s8h6d ThTd9s4h3s 
QsQh8c7s2c AhJd6d6c2h Th9h8d6d2c QcJh9s8h2s 
Th9s7d5h3d KsKhJd8h3h JhTc9d4c2h QhJs8h7s3d 
KsJs9d8c6s Ac7c5h4h2h JcTs7s7d6h As9d9c4s3d 
KcTd9c6s3h AsKdJc8d2h AdQs6d5c4d Qd9d8c6h3c 
AcQhJs6c3c KdTs9h3d2h As6d5d3h2s AsQcJh9d4h 
KdQdTs9h3d KcQd8d5c3c KhKdQs9c2s AdJc7d6h3s 
AsTc8h7d4c AhTd9s6h4h AdQs6d5h4d AhKsTs5s4s 
Ts6s6d4h4d QcTs8d8c2s AdQd6s4s3d 9h8s7s6h4h 
KhQd8d7s4s AdJs8s8c7s KhKdJs8d3d JcTc7h4s3s 
Td9h6c5h5d As8d8c7h7c JhTd7s5d3s JsTd9h3d2s 
JsTh5c4h3c KcJh9s9c5d Qc9h9c7c5h Kc8d6h6c4h 
JsTd8h5h2d Ah9s8d7s4d KhQh5s3s3d QhTh9s5s5h 
QsJc9c6s2h JcTh9c5h2h QcTd9s9d7d JhJc9d9c4c 
KdJs6s5d2s KhJsJh8c5h QcJd5s5c3s Kd7h6d5h3d 
AsKs9s7d3h QsQh6d5c3s Jh9d8d6h6d AdKc8c4h3h 
KsTh9c3s2c Qs9c7d6s5h JcTh9s3c2h KdQhQc4c2s 
Js9s8d5h3d KhTh8s6d2d JhTc7h6d4s JsTs8d8c3c 
QcJd7s6c3s Td9s8s5h4h AhKdJd7d3c KsKcQd3s2s 
JsTd6d4s3h KcTh9d5d3h Th9c8s6h3s AcTh8s7s5s 
AdJdTh7c2d JcTc9h5d4s AsKhJd6c4d KhTc9h8h6h 
KsTsTd6c5s ThTc9s9h3h ThTc9d7d6d KsTd9s6h5s 
KsKcTd8h3h KdTc5c4d2s AcQhJd5h3h Ad9d8h5s3c 
AcQsJh9d4h Ts7s7d6d4h KhTs8s8d7s AsJc5s4h3d 
KcQdTc7s3h Ad6s6d5d3s QcJsJd4s4h AhJc6s6h2c 
Ac9c6h4d3d QdTsTh6h4c JdJc7h7d5d QsTd9h7h7c 
AsQsTs5d2h AsKhJh7h3c KhQh9c5s2c JdTc8c6h3h 
KcThTc7s2s KdTsTc4s2d AdQd9s3h2s AcKdTd9d3d 
QsQc8d4s3d KcQdTs9c4c AhQcJs8h2h KhQd9s8h6h 
AhKh7c6h3s AhJs7d5h3h AcKcQs3d2c Ac8c7d7c6s 
8c5s5c4s4h Kd9s8d5s3c AhQsJc4h2h KdQcJc7s7h 
AcKsJc8d2c JcTh6h6d3c 9c8h7h6h4c JcTd8d6h3h 
KdTs9s9h6c KcTs9c6h5c KhJdTd6d5c QhJc8h6c2d 
9d8d7s6h5c 9h8h8d7h5d KsQhTd6h3c KcQcJh8h2c 
KdTs5s4d2c AsKd9h3s2h QdTh7s7h6c KhQdJc5s4s 
AsTs9s9d6s Qc9s8s6d2c JsTc8h7c2h KsKd8s5s3c 
Ks9h9d7s3h KcJdTs8c4c KhTsTd8d3s AcTsTh4c3d 
JhJd7s6h5h 8c7d6s5s5c AhQsTs4c3d AdJd8s6d4c 
AsQc6s2d2c AsJhJd9h3c KdKc8c5s3c KsTc9s7s2c 
KhTs9h8h6h AsTh6c4s2c QcJdTc9h2c Jc9d9c8d4s 
JdJcTh5h3s KcTd8h4c3d KdTd6s4s4d Tc9s7s7c4d 
QdTs9d6s2d AsKh7c3c2s 9d9c8s8h6h KdKcQh3d2d 
JhTs9h8h6h QcJcTh5d3c KsJsTs5h4s Qc9c7s5s4d 
KdQhJc8h2c Kd9c8d7c3s Kh9c8s6h5d KhTd5h5c3c 
KcQsQd8d4h JsTd5s5c3c KcJdTd6d5s KsQs9d5s3d 
AsKhTd9d3d JcTs8h8c2h QhJd8h7d3s Jd9d9c7s6h 
KsKdJh8d3d ThTd8h5d3s AhKs9c3h2c QsJh8s6h2d 
QcJd9c4c3d Kh9s7h7c4s AdKd4c3s3h KdQcJh5s4s 
Qd9d7h5h3c Td8s8d6h6d Kh9d8d6s3h JcTh7h7c3h 
Ah9h8c4c3c AhJd9h4c3s JhTsTd9h2c Kh9d7s7h4d 
AdQcJc7c5c KsJh9h4s4c Js8h7s5h5d AhQsJc6s4s 
QcThTd6s4h QcTd9h7s7h JdTc8d5d2c Ks7h6c4s3c 
QdTs8h5s5h AdKc5s5c4c Qd7c6s6c5d KsThTd4d2s 
AsKh7d6h3c QhJs8c5c2h QsJc8s6d2c AsJsTs8d3s 
AsQc6c4s2s Ts8s8h7s7c 8h8d6h5d2s AdJs6h4d2h 
KsTd8h7h6h AhKd7s7d4d Tc7h6s6h5s KhQs8h4c2s 
KdQsQc8s4h KhJs9h4s3h KcQd8s8c6h KcQcJs9h3d 
KsJhJc2s2d QcTdTc8h5s KdJs9s4h2d AhQhJc7h3s 
QhTc7d4h4c KsQcTh7c4d Tc9h8d7c2d KcQd7d4d3c 
QdTh6c5d4s AdJd9h7d3c AsKdJd6c3h JdTsTh6h2s 
Th9c7h5d5c Qc9s8h6c5d KsKd9s6h2s KdJh7c6d5d 
9h8c6s5h4s Ks8c7c6h3s QcTh9c6s5c AcTh9h9d7h 
9s9c7h5h3c KcQs6d5h5c KhKc8h6h3d QsJdTc9h3c 
AsTd8h7c4d AcQc7d4c3d Js9s9d7c5h AcJcTd6h3c 
9s8d7h6h5c QdQc6d4s4h QhTh8c7d3d KhJc8h5s4d 
Td9h7d5h3h AhJs7d4c3h AcTs9c6d3c AcQhJs7h7d 
AdQd9s9h3c KdJc9s7h7c KdTd8s5h3h QdJdTd9d6s 
AdKc9h7c3s KsTh9h8d2d QcTc5d4d3c QcJdThTc6c 
QsTs9d5c2c KhJdJc7c5c KcTc9h4h3c QsQcJh6d4d 
JsTh6h4s3h QcTh8d4h3c Th6h6d4d4c KcJhJcTc6c 
ThTd9c7c6c AhQs6h5c4h Ah9h9d4h4d AhKd6c4c2d 
KdKcQh4h2h KsTs9d4s3d As9s8d8c4h QsJsJd4h3c 
AcJhJc8d2c KhQdJh6s6c 8c7d7c6s4s Qs8c6d6c4s 
JsTc8d7c2d Ah7d6s4s2h QdJc9h6s5c Ac9d9c4d3d 
QsTh8s8d2h KdTs9h7c3d AdKc7h3h2d 8c7c6s6d5d 
Tc8c7h5c4h Kc8s6d6c4d KcQdTs7h3c AcKd9h4h3d 
JdTd8s7d5h KcJs9s9c2c AcTh6d6c2d AdKc5h4s3c 
Td9c6c5d3c Qc9s9c7c5s Kd8s7c5d3s Jd9c7h6h4d 
Jh9d8h6d4c KhQsJd7h5h AsAhAc3c2d AcKsJc8h2c 
Jh9c6s5s5h Ac8s8c5c3s QhTs8h6d4h Td9s9h6d6c 
KdJhTc6s4c AdQc5d3c2d KcTc6h4h4c Ks7s5c4h3c 
Ts9c6d5d3c AcJdJc8s2c AhJsTs5s3c KdQh8d4s2h 
QhQdTd4d3s AsQsJd6s3c JhTh9h7h6d Jc9d9c5d4c 
Td9h7h7d4s AsJh7s6c3d AhKs6d4d2s AcJc9s5h4c 
AcQh8d7s2c As9s6d5s3d AdQc9c3d2c AsJh5s4c3d 
Ah8h8d7d2h JsTh8s5s2h KdQc6h5s5d AsKsQs3c2d 
QcJdTd7h5d AdKd7c6h2s AsJd7h5s3s KsTd8h5d4h 
JsJdTc5c3h AhJc9s4d3h QdQcTh8s4h QsJhTh8d2c 
KcQsQd7c4c AhQcJs3d3c KcQdTh6d3s Ah5s5h4h4d 
AdQdJd9c4d KcQhJsJh2h AdJdTh6c3d AcKcQs3h2c 
Td9d8c7c3h 9d9c8s8h5d JhTh8s6c4d JsJh9c5s2c 
Tc9d6c5s5d KsJcTd9c5c QhJs8c6s5d KhKcTd4s3s 
Ad9d6s5d3s TsTh8c6s2h KdJhJcTh3h Jd7h7d5s4h 
AdKc7s3s2d AdKc4s4h3d QdTd9s6h3c KhQh6s5c3d 
KsKd9d6h2d QsTs8c7d3c Jc8d6h6c5d JsJd8h6d2s 
QsQd6s4h4c KcJsJd3d2s As7s7d6c3h KcQd9d6c2d 
KsQdJs9h3c KhQs8c7s4c JsTd6h4s3d JdTs9h4s2h 
QcJsJd4h4d AcTd9h6c4c Kh7d5s4h3s KhJc8s7h3s 
TsTh9d9c5h ThTc6s6c3s Td9s7s6d3s QsQhTd7s3c 
QsQdJs5h2c QcTsTd6s4h Jc8h8d5d4h QdTh8h8c7h 
QhTc8s5h4d KcQs8h5h5c Ts9h9d8h3s AcTh7c5s5c 
KdQd9c4s3s KsTh8d4s3h QdJhJdTd6d JhJd7h7c5h 
AsTh8d7h2d KhQhTh6d2d Ac7d6h6c2h Ac6s6h4h2c 
QsJh9h5s2h KcQc9c8d6s KhTd9c7s3h Ts8s8c6s6h 
QdTs7s7h6c TsTh9s9c3s AdJd7c6d4h As7c6s6h2h 
KhQc6d5s5h QhTs8s7d2h QhQd8s7d3s QsQh3c2h2c 
KsQh8c5s5c 8s7d6s5c3d KdTh7h7c6s QhJhJd9h7h 
Tc9h9c6h3h KcTd9c5d2d AsKs7d6h2c JsTd8s4d3d 
KcJsTd8h5d KsKc7d6h3h QdJc8s7h7c QdJs9h7d5c 
AsKhQc4c3c KhQcJs5s4s Kh6s6h5d3s 7d7c6c5s3s 
JhJc8d6c5c 9d9c6c5c3d 8s7d6d5c4h AhTs5s3c2h 
QcTd5c4c3d KsTc9d6h3s Ad8s6d4s4d 8s8d6d4s4d 
KsJc7h6s5s Td9s7s5s4d QdJhTs9c3s Ac7d7c6s5c 
Jc7d7c5s4d AhQc9d8s6d AdQh9h3d2h TsTd9c6s2d 
Qc9s7d6c5h QdJc8s5s2d KsTs9h6c5s JhTd8c7s5s 
Qs9s7h5h3d AcKc8d4d3c TsTh8h5s3d Ts9h8h6c3c 
TsTd8d5s3h AhKh7d6s2c Kc9c8h5h4s KdJsTs7c4s 
Kh7h5s4d3s JsTc7s4s4c JdTsTc9d2h Qc9c7s5s4h 
QhQcTs7h3d AcKhJs6d4s KdQh6c5s4h Ts9h7c5c4h 
AhQsJc6d4c KcJdTd9h4d AsJsTh4s2d QdJsTs7h5s 
KcQsTs4h2h KhTh8d4c3d ThTd9s9c5h KsJdTd6d5h 
9c8d8c5h4d As8s6d4c2d 8s8c7h7d6s QdTs8s8c7s 
9h9d8d5h4c KdKc8c5c3s As5s5h4s4d 9d8s8d7d5s 
KsTdTc6s4h QdTd9c5s2s KcJc6s5s2d TsTd9s5d2c 
KhKd9c5s3c QhJd9s8s6c KsQs9h8s8c Tc8d8c7h4h 
JsJhTs6d2d Kd9d8h7s3h JcTd8s6h4d KsJcTc7d4c 
AcJd8s8c4c KhTd9h5d2d KcJcTsTd4c Jd9h7s6d4h 
KsQcJd7s5s Tc9d6h5c3d Jc9s8h6s6h JsTd7s7d3d 
QhTc7d7c6s KcTd6s5s5d AcKc9c7d3s AdJsJc9s3h 
AcKh9h6h5s AcJs9c6h3d JsTs7c5c3s AsKs9s8s5c 
AsQs9d3h2d QdJdTd9s3c JcTc9h9d6s Th9d9c8d4c 
AsKhQs3s2d AdJd8d4c3c JdTs6d4s4h KdQdJsTd5d 
QcTh5h5c3d QdJdJc5d4d AsKcJh4d2c KdQhQc5c2s 
Jd9d8c5h5c AdKc5h5c3s 9h9c8c6s4s KdQsQh8s4c 
JhTd9d6s2s KcJhTs8d5s Ac7s5s5c2s AsTs9c7s5s 
QdThTc3d2h AhQh5d4h2d QhTd7d4d3h AcQd7h4h4d 
JsJd9s9h4s JdTc6s6c3d AcKh5d3h2d Js9d8h6h6d 
JsTh6s4h4d QsJsTc9h3s KsQsTs6d2d QdTc9h4d2h 
Jc9s8h5s5c QcJd9d4c3d QdQc6s5h3c QsQd7d5d2s 
Ac9d6d4d3c Ah8s6h5s3h As8h8c7h7d JdTh5s5d3s 
JdTd8d7d6s KsJd8d6s2c 7d5h5c4h4c KdJh8h4s3d 
Td9h7h7d4c Kc9h8c5h3d QhJd8h6d2s AcJc9s5d4c 
9s9d7h5h3d Jd8s7s7h5h AdTs8c4d2h AdTs8c7h4c 
KdTh8h6d3d JcTh8c5c2h Jc9d8s5d5c JdTd9c5s4h 
KdTs8c7c6c Qs7d6d6c5s AsTs5h4d4c QdJsTd6d5d 
Ac9c8s5d3h AcQs9c8d4c Th6h6c4d4c Ah8s8d4h2d 
KcTh9c6s5c KdJc9s9h7h Kd7d7c6d4c KcQh9c8s8c 
Ad7s6s4h2d QhJsJc5h4h KsQsQc6s3h JsJd8h8d4c 
Jc7s7c5h4s AcQh8h5s3s As8h6s4c2c AcTc8d7c4c 
QhJhTc5d3h QcJh9d7h4d AhJcTd6d2c QsJhTs9s6s 
Jd9h9d7c5s KdKcQs5h2h KsKh6d4s2s JhJc8h5c3h 
AsKs9s7c3d TsTd8s7d2c KdQh8s5s5d Ts7d6d6c5c 
QcTh8c5s3s QdQc6s5h3d JcTd8c4d3d Ac9s9d6c2d 
AsJsTs8c3s Js7d7c6d5c KhTh8h8d6s Td9c6h5h3c 
Td9d7h6d3h JdJc7h6c5c QhTc6s5s3c Tc9c8c7s4s 
8d7h7d4h4c AhJhJc8s2h AsQh8c6d3s KhTh8d6c2c 
JsTs5c3d3c 8s8d7h7c6d AhKd9c7d3s KsKcJc6c2h 
Kc9s8d7s3c AhKd5d5c4d QcTh7h4h3c Qs9d7c6s5h 
KcTs8h7c2h AdKd7h6d3s QsJs6d5s3d TdTc8h6d5s 
Qh8c6d5h5c AsQcJd5c3c KdQdQcJd3d Ad8s5c4h4d 
QdJdTc5h3d 9h8c7c5c4h KhQsQh6h3c KcJsTs7d4s 
QcJc9c8d6h KcQcJs8s2c AhTd8c7s4c Th9d6c5h5d 
Th8s8h7d4d AcKdTh5d3d KdKcTh8s3s Ts9h6s5h5d 
KcQhQd5d2s KsJsTs6s5c Kc7h5h4d4c Td8s8h5h4s 
QdJsJd3d3c QhJh6s5s2d QdQcJh6h4h Jc9c8d8c5d 
Jc9d7h6c4d AhKdTs5d3d JcTh7c4h4c KhJd7h6h5s 
KhTs8s8c7s JhTc8h8d2d QdTh8h6h2d Ac5s5c4h4c 
KhQhQc6h3s As6c5h5d4s JsJh7h6h6d QhJh9c4d3d 
As6c5d2s2c AsTd9c6s4s KdJsTc5d3d QdJc9d7s5h 
Th9d9c8s7c Kd8c6s6d4s Tc9s7h5h4s Ks9s9d8h7s 
KhKcQs9c2c AsJsTs7c2h QhJs8c7s7d AhJsTd5c3d 
As7s7c6d3h AdKh9s8c4h Th8h8c7s4s QdJdTh5s3d 
KdTd6c5h2c KsTs8s6d5c JhTc6h4c3c AcKsJd4h2s 
Qh9h6s5c3c JcTs9s6h2h AcKc6d3d2d QsJhTsTc6s 
JsTd6d4s3c AcTs9h6c4c KhJcTc9c4s 9h9c8h7s6d 
KdJsTc8d3h TsTd6d6c3c QcTs9c6h6d AcQc6c5s4h 
Ah6s5d5c4h QcJc8s5d2s QdJcTh9s3h JdTc6d6c4d 
QhQcJs6d4d KdJcTs8c4h JcTc6d4s4d JcTh6h5c3h 
JsTs9h5c4d QhJc7s6h5d AcKcJc7d7c QdJcTs9h2h 
JdJc7h5c3h QcTc9h6d3s QdJh9h5d2h AcTc7d2h2d 
Ad8h7d5h2d 8c7s7d6d4c JsJc8h6c2s JhTc5s4c3s 
KhJd8d5h2d KdJhTh7c2c KhTh9c6d5h TdTc9c5s2d 
8c7h6h5d3d JsTdTc6c2d TsTd6h6d5c QcJd7d5c3d 
JsTsTc3c2s QcTc8s7d7c Jh8c7h5s5c AsTh9h7d6h 
KsJc9s8d6s AcKd7s6d3h QhTs9c6d5s JsJc7h7c5c 
KhQh9s8h6c AsKhQc3d2h AhJc7d6h3s AsQh6s5c4s 
KhJcTs8h4h QdJhJd8c5d QdJd9s8s3s 9s9h7s6d6c 
QdJs8c5c2d KcQsTs9h2d AdKs9h4h3s Js7h7d6h5d 
9d8c6d5d4c KdTc5s5d3s QhTh9s6d5h AdKdJd7s7d 
JcTs8h6d5s AcKsJc2h2c As7d6d4c2s Tc7s7c6s4h 
KsKd5h3d2d TdTc8h6c5s Kc9d9c8s4d JsTdTc5h4h 
AcTsTd8s5s KhJs5s5h3s AcQc9s9h3d QsJcTs9h2s 
Th8h8d7h7c QsTs9c5s5c Ks9s9h6h3h JhTc9h5c2c 
KcTh8d7c2d JdTd7s5s3d AdJs9d6c3h QhQcTs8s4s 
Ac7d7c6s3h KcJd8d8c4c KsKh9s6c2s QdQcJh5h3h 
9s9d8d5s4h QcJs6h6c3s KdThTd6s5d ThTd8s6d5c 
KsQs5h4h3s Td8h8d7d7c TsTh8h7s2c Kc9d8h7d3c 
AsKhQh2d2c QsJs6h5h2c JcTs8s6h3h ThTc9h8s6h 
KsTh9h7h6h Ks8d7d7c6c 7d7c6h6c5s KcTs9c7h5c 
AhQcTs9d2d JhJc7h6s6h QdTd8s7c3c JhJd6h4c3d 
KhTs8h4c3s Kc9d8c5d3s KdJh9d8s6d AsQhJh9h3c 
QcJdJc9c7c QcTsTc7d5h JdTc6c4d3c KsJs9d9c6h 
AcQh9s9d4c Tc9h9d8h3c Ac7s5d4h3c 7h7c6c5d3d 
Th9h9d6h3d AhJh7d6h3d QdQc8s7d2s QdTh8s8h7h 
AhKd9c8s4d Ah9d9c6h2d AsJd8s6h3c QhJhTc9d3h 
KsKc6d4c2c KcQs6h6c3h AsQd7c6c3d QhJhJd4c3s 
9h9d5c4h4d JhTc6s4s4c AcKcQd3s2c QhTh9h7h6s 
QhQc8s7c4d KcJsTs7h4s Ad9h9c8s3d AdKcQd3d2h 
QdQc9s9c3c Td9h9c8c3d Ac9h8c4h3h QcTs5c4s2d 
KcQsJh5h4h KsTd9c7h3s KdQc9s9d3s 8c7d6d5h4s 
AcKhQs5s2d AhKdJd6s3c Tc8s6d6c4d KcQc9h4s3s 
KsKh9s5s2c QcJdTsTc6c 9s9h8h8d5c Qh7d6d6c5h 
Tc8s8d5s4d KhQcTc9d2s QcJsTdTc6c KsJh9d7h7c 
Qh9s8c6h5d KsQs8h7d5c KcQcTs9h3c AhJd9s7c5c 
Jd9s6d5c3c AhJh7s5s2h KhJd5h5d3d Ah6c5s2h2c 
KsJd7h6s5s AsJh5s3c2c QhTs9h6d5h Js9h8c5s5h 
Th7h7d6d4s Jc8h7c5h5d JhJd6s6h3s Ks9c8h6c2s 
AcJcTs4c2h QdJd8c5h2c AsKc7d3d2s AcTs9d6c4c 
AdKd7h6d2h 9h7d6h5h3d 9d9c7s6h5s QcJd9d8h5s 
KsThTd4h2s Qh9s7d6s3h QcTs8d6s5h AhKd9c4c3d 
KcQd8h6s5d QdJs9c8c6h AhQcJs8d3c AdJd9s4h4c 
KsKhJc8c2d KhTd8c5d4c QcTh5c4h3c AdJd7c5c2d 
AdKcJd2h2d KhQhJc6h5h KcQc5s3s3h QhThTc8s5d 
KhJsTs6s5d JdJc8h7s6h AhKhJh3s3d QdQcTd4d3h 
AhQdTs9c2c QsTsTd8h5c Ks9s8h7c3h KsTd8c4s4c 
Kc7h6c4h3d QcJsTh9d3h KsQh7s7d3h KdQdJc8c3d 
KdJd7s7h6c 9s7c6h5h3c AsQs9s8s6h Th9h7s5s4s 
KcJsTsTd6s KcJhTh9s4h Kd7c5s4d3s QhJsTs8c2d 
KdQhJc5c4c JdTsTc7h4d QhJhJd3s3h Qc9h6s5c3s 
QsTs9c4c2h JdTs7c5s3c 8s7d7c6d4s Th9h9d8s4d 
Tc8s8h5h4s 9h9c8s8d6d QcJd7h6c5s KsJd9h7d7c 
QhTc9d7s7d As7c5h4d3s JhJd7d7c5d AsQh7d6d3h 
AhKsQd9d2c QhJsTd9c3d AcKcJd6c3s AcKc7h7c6c 
JdJc6s4d3c Ah8d6d5s4s QsQh8c4h3c Ad8d7h7d6c 
KdQdJd9c7d KhKd9s8s3c 8s8h6s5c3c AdJhJd8c2d 
QdTh9s4d2s KcJh8h8c4c Js9c8s6c4d AcQh6c4d3s 
AsThTc4s3d QdJs9d7s3s KhQhJc8c3h QdJd9d9c7s 
Jd9d7s6s4c JhJc6h4d3c Js9c8s5d4d JcThTd9c2s 
Kd6h5s5d3s AcKs9c7c3d 6h6c5s5h3s QhQc8s3s3c 
KdQdJc9h2s Ts7s7d6d5s 7s6d5s4d3c KcJh8c5s4d 
KdQsQc7d4d Ks8h6s5h3c Jh9c7h6d4c Ad9d8s5h3c 
AcJs7d4h3c AhTd7h3s2d AdJh8d3c2c Tc9d8s6s3c 
JcTs6s6h3c AdJs5c3c2d KcJhTd8s5d Ad5h4d3h3c 
AhJhTs6d3h AsKs6h3h2h QhJsTc7s5s Td9h7h6d3h 
AhKcTd5c3c KcTsTd8s3d QsTh9d4s2h KdQsJs8s6c 
KhJsTc6d4s KhJsTc8d4s Ks8d7h7d6h QhJs5h3s3d 
Jd9d7c6c4h KsJh9c8h6d KhQdJs7h5h JhJcTh8h5s 
JdTc8h7h4s Qh9d9c8h7s AhKsJs7s3d Jd9c6s5s5d 
Ac7d7c3d3c Js9h6c5s5c KdTc8d5h4s Qd9c6s5d3s 
KdTc8d4c3h Qh9h8d6c5s Ah8d6h4c2c KhQhJsTh5h 
KsKcQh3s2s AsTc6d4s2d AsKd9c8h4d Jh9h7h7c5c 
AdJcTs6h4c AdKh7s3s2d Tc9c7s6c3s Ac7c6h6c3h 
KdKcQh3c2c Qd8h8c5d4h QhJsThTd6h AhJc9d7s5s 
Jh9h7c6c4d 9s9h8s8c5d QdTh9d6h2d Ks6c5c4s4d 
Th9s7d5d4s AdJcTc8c3h 9c8d6h5c4h QsJsJc6s6h 
9c7d6h6c5h QsJsJd8c5s Qd7h6d5h4d KcTh9c6d3s 
Qs9s8c6d5h KdKc8d5h3d JsJd9h4s3h QhQcTs4c2d 
QsTc7s6c3s Kh6s5h5d3d 8h8d5s5d3s KhTsTd6h4c 
KcQd6s5h4d KsQcTd6c3h TdTc7s6s3c Jd9c8d6c4h 
KsJs7d4c3c AhKs7h6c3h AcQcJc4c3d QhTd8s5s5d 
AcQcJc4s2d AhTs8d7s2d KdJc7h7d3c AcQd8h6s3c 
QcTc8h7s3s KcJh8c7d7c JhJd9c7s6c 9s9d6d5d3s 
QhJc9d7s5h KhQs9d8h6h KcTd8h5d4h KcJs6d5d3s 
QhTh8c6s5h AsKcQc2h2d AdTsTc8h4c Qs9d7s5c4c 
KsTd9h6c3s KsTd9d8c2c QsQh8s7c3c KcQhQd6c3c 
JhTh8s7h2s AsJd6s6d2h AsJsJd8c2s KhJc8c6h2d 
KdQhJh6h4c AsQc8c5h3h QhJsThTd3h AdKcJs8c2h 
KhJcTs8d5c QsJsTd9c3s KhKd9d7d4d AhTd7h3c2d 
Kc8h6h5c2s Tc8d8c7s4s 8h7h6d6c5c AdQhJc9s4c 
