Qc9d8c6d3d 
JsTdTc8h4h AhQh8h7d4h KdQdJd8d8c AdKdJs6c2d 
QsQd9h6s2c KcQc9h5d3s 9d9c8h7c5s Jd7s7d6s4s 
Kc9d8h5c2h KcQs9h6h2s 9s7h5s5h4d AcJs9h9d5h 
QhJc9c5s4d QdJh9c6s4d QsJd9c5d4h KdQc7s3d3c 
KhQc8h7h5d KhQs9d9c7d Td9s9c8s6s 7h6s6d5s3h 
As8s7c6s2c Ac7c5h3h2s QcJdTc4s4h Td9h9c8c6c 
Qc8d6c5s4h KdQdJh7d5d Js8c5s5h4h QcJc6c5d4h 
Ts7s5h4d3h QcTsTh7h4d QhTs8h4s4h Kc9h5s4c3h 
QsJsTd9s4s QcJc9h6h2h KdJd6s6h5c 9d9c8c2h2d 
AcTd7s7h5h AhQd8c6d2c QhJsTc3h2d Th9h7d4c3d 
AhTh8h5h4c AsKc8h5s3s AcJhTs6h6d AhTs6h6d4h 
JcTd4s4c3s 6h5d5c3h3c KdJc8c7c5s KdTs6s6h2d 
AhTd7d7c6d KdJd9s3s3c Tc8h8c7d6c AdKdTh6s2d 
KdQc9s6s2c AhQs9c5s2c 9s9c8s7c2d Jh9c8h5h3c 
8d8c7s5c3s Kh9h9d7h3d KsJs8c6s5d AhTc8h5h3d 
QsJd8d6d2s Jc8h5c4s4h Ks9c6c5s2c Jh9s7h7c3c 
KcTd4c3h3d Ts9d7h6c4s AsKdJc9h2h 7d6s6h5s3d 
KcQsTd5s3s Ks9h7h4d3s Ts9d8s5s3d QsQcJh9h4h 
QdJd9s2s2h Td9c7d6h5d 9d6h6d5h4s Jh9d8d7h2h 
6h6c5c4h3s JcTs6s3h3c 9d8s6c5s2c KdQcJc4c3h 
9c8s8d5s3d Ad8s8h5d2c As9s9c5c2s Kh9c8h8d2d 
AdKhQs3h2h AdJhTc6s6h Kh9s8h7h7d Js9h8s6h2d 
Qd7s5s5d4c QcTsTh9d4h Ts8s8d7h6s KhJhJd9h6h 
Qh8s8c6c4s QsTsTd9h5s 9h9d6s6h4h KdQs7d6h4d 
Kd9d6h5c2c JsJd7d7c4d Qd9h8h6s5c KdTsTc9c5h 
KcTs5c4c2s AcJhJd5c2c Jd9s5s3h3d KcThTc3s3d 
KhQcTc8c4d 9s9c8h3s3c Js8d7h5h3s AhJsJh9h3h 
Td9s8d5d3s AcKd6c5c2s AcQh7s7d5h QhTc7s6s5d 
QsJcTs8s3h Th5s5c4s4c Ks9c8d7h6h Ks9d9c7d4c 
Kc9s6h6c3h 9h9c8d7h5s AsQs6c4s2c AcKcTc6h2s 
KcTsTh6c3d Kd7s7h6s6c AcQc8c5s4c AcQh6h6d3d 
AcKd8s5c3c Jc8s8h6h4s KsQs9d5c3h AcTh7s7d5s 
As7c5s3h2h JhJd5s5d3c KcTc9d4h3s KsQh6d6c5h 
Td8d6c5s3c JsJh7h7c4h AhJs6h2s2c KcQhJd4c3c 
QdJsTh5s5c KdQh9h8c2c QsTh8s8h2s AcJd8h5s4h 
QsJs9d6h4c KcQs7c5c4d KsJsTh8d3s AsTh9d3h3d 
Tc9h9c6c5d 8s8c6s4d2c KdQhQc6s2c AsTd8d4h3h 
KhTh8h7c4s Ad5s5h3h2d KcJh7h6h5d KdQh8d7d3h 
KhJc7c6d5c Kd9h6s5h4s AhKdTc8s2c AsQcTs4s3s 
Jh8s5d4h4d QsTc7h5d4s AcKd7c5c3c QdJd8h7h3c 
QsJs6s5h4d 8h8d7c5d3c JhTd5s4s2d KdTh8c6h3c 
AhQc9s4s4c QcJc8s4s4h QdTh9c6s3h QcJs9s4s4c 
Jd9d9c7c2s KdJc7c6s5c AsQs6c5s3h QcJs5h3c2s 
QdJh9c4d2c Ah9c5s3c2h Jc9h8h7c2c Td9h6h6d3d 
AcQs7h5d2c Jd8c5s5d4s Kd9c6s6d3s KsJd7s6s4c 
AcKdQs6d2h Jc7c6d5s3s KhTd8h6h6c QdJhJc4c3c 
KcQd8c7c2d Th9h9c6c2h 8s8d5d4c3s Ks9s8c7c2c 
KsJh9s6d4c Qd9c5s5d4c KhJs8s7s5d QhQd4s3d2s 
Ks9d8s5d5c AdQhTd4d3d 9d8h8c5c3h KcQd6s6h5d 
KhTsTd5s4c QcJd9h3d2c AhKc6h5h2s Qs7h5s5h4d 
QhJc9s5c4d KhQh6h6d3d QhTd7h7d2s AcKcTc4c3h 
JdTh9c7h4h Th9s8s5c2h QhJh7s6s3s 6s6d5d4s3h 
AsTc7d6h5d KdQc7d5d4h Th8s7s4h4c AdJc9h4h4c 
Kd8h7h7d3s AhKd9s6h2c AcTs7h7c2d Ac7d6h6d4h 
KhQhTd4h3c KsQsTc4d3s 8d8c7c5d3d Jh9s8c6c2h 
AcKsQd3d2h 9s9c8s8h2d Qh9s8h8d7h QhJs9c5s4d 
Jh9h5d5c4c Js8d8c6c4d QdTd8c4d3c QhQd4s3h2s 
Qh6d5h5d4s KdJsTh3d2c Ah8h6c2s2c Kd9h9c8h7s 
AsKhTc3h2d KcQc7h6d4c Ah5d5c3c2h AhKd6d4s3c 
Qh9c6h5c2s QsJc8h7s2h AcTd8h8c2c KhTs9h7d4h 
KsKhKcQh9s QsJh8d4s4d AcKd6h5s4s AcKsQh7s2d 
Ah7h5d3d2s 9s8s8d6c5h KcQsJc5h5d AdKsTc5h3h 
QhJd8d7d5s KsQhJc4s3s Kh9d8d6s4s AcKh9h7d2s 
QhTh8h7d5c AhJc5d5c3d Ac7c6h5c3s QcTh7s5d4c 
8s8c7h6c3h QsQcJs5h2s QdQc9d7s3h AhJc5s5c3s 
KhJsTs6d3c KdJhTs5h3h AdTh7h6c4s QdQcTd5h2d 
Ah9s6d4s2h KhThTc8h4s KsQsJs7c4h 8h7h6s5c2s 
JcTc6s5c4h QcTd4h3d3c Tc9h6s4s3c 8s8d7s5h3d 
Kh7h6s6c3s QsTs9d3c2c AsQd8s5s3h KcJcTh9c4c 
QsJc8s6s2c AdJd9d9c2h KhQd8s5h4c QhTh8s5s2h 
Jh9s9d8d7d 7c6d5d5c4d Jh9c7h7d3d QdQc9d7h3s 
AhKh3s2s2h KsJs4h3h3c KhTh9d7h3s Jh9h9c4c3s 
Td9s7d4s3c 9d8h8d6s5c QdJdTd5c2s ThTd8c7c3h 
Jc9s6c5s3c AdJc9s9h5h Js9s8h7d2h Td8c7h6c3h 
9h7s7h6s4h QsQc9s3d2d QsTc7d5c2s JdTd9h5s2c 
QdJc8h6h3c AhKd8s6h3h AsQd6s6h4s Ad7h4h4d2c 
As8s7h7d3c AcTh7c4c3s 9s9c5h4h3s KcQsJh6d3s 
Td8s6c5s2d 8h8d6h4d2c 9s9h8h6d3d QcJsJh9d2s 
QhJsTs6d3s Qc8h6h5h3c QsJdTs5s5c QcJcTc9c3d 
9s9d8d7c2s KhQdTs5d3d JdJc9s4s2d AhTs9h4h3d 
AcTsTh5d4s AsTh5h4s2s Ah9h8h5c4s Ts9d8d5s3s 
KcJdTc5c3c QhTc9d7s5d KhQs9s9d4d As8s7h3h2c 
JhJc9c6s2s KdJhJc9s4c KhKd8d2d2c Ad9d5h5c2c 
Ah9d8c6c4d KdJh7h5s4c QhJh9h5d4s Jh9h9d5c2c 
Jc9s8s8c3h AsJh9s4d2c JsJh6s6d4c Tc9d7c6h6c 
Kh9c7d4h3c 9d8s8c5c3s AdJc9c8s3h AdKhTs8c2s 
9s9h8s2h2c Tc8s7d4s4c Ts9s8d8c2c QdTc4d3s3c 
KsQs7h6d4s 7s7d6s4d3d QcTc8d8c5s Ac9s9d3h3c 
Td9h9c6h2c ThTc8h7s3s AhJd4s3h3c TsTc6d5h5c 
9c6s6c4s4c Qs9s8h7d7c As8d8c7s4s 9s8h7h7d6c 
QsQhJc6c3c Tc9c7d7c4d 9s9c8c6h3h QcTc8c7s5h 
JhJcTc8c2d Ac7c6h5c3d Qs7s7d6d4d Jd9c8h8d7d 
AsQdTs7c2s KcTs7c3s3h JsTdTc9d4d 8s6c5c4c3s 
Jc7c6s5d3d QcTc8h8c5s QsJhTc5h5d KhQc7h6s2s 
KsQc8h7h2s Td8s8d6h4c JcTh5s3c2h QhQd9h6c2s 
KcJd6c5h4c 9s8h6h5s3h 8s7d6d5h2s Qs9h9d5s2h 
AdJh6h2s2d AhQhTh6c2d 9s9d7s6d2c KdQhTs5d2c 
AcTd9c4c3h 9c7h5d4d3c AcTh7d7c2s QhJd7s5h2d 
KcTs9c4h3d Kc9c8d7d2d KdJsTd4d2h AsTs9c3h2d 
KcJdTs7h3s JsTc9d6c4c QdJc8c7c5s Jh9c8h5c2h 
Ks9c5d4s3c Js7s6d6c4c JsJh8d5h4h KsThTd6s3c 
TdTc7d7c2d KhQhJh7s4c QdJhTd5c2d KhQhJd9h5h 
KdTs8c6s3c KsKcJd7d2h Ah9d9c5c3d Tc8c6s5h3s 
KcTh8c4s2s Jh9h9c8c3h AcJsTd6s6h QhTs9h7c3d 
AdQc7c4s3s TsTh8s5h3s Th8d6c5d3h AhTs7h4h3d 
KcTh8d6d5s Kh9h7c4s3s Ad8h4d4c2h TsTd9d8c5h 
Ts9s6c4d3c AhQc9d8c3s JsTs7c4c2h JhJc8s5h4h 
KdJs7c5h4s KdJh8h7h5c JdTc8h7s4s KdQh8d7d2h 
Jd7c6d5h3h QhTc7d6h2c Jh7d6s5d3h JhTh9s5d2c 
As7h5c3s2c QsJh5c3s2h KdThTc7s3d KhQcJd6d3s 
KcQd6d5d4h KdQh7d5c4d KhQd7s5c3h Tc8s8d6s5h 
QcJh8s5c4c AdTs8d6c3d QdJsTd5h2d KsTd8s5d2s 
AcQcTc6d3c KsTc9c6h5c JsTc9d7h4c KcJdTc9c3c 
Ts9c6s6d3d AhTc7h4h3s AdQd8c5d4d 9c6h6c5s4s 
Kc9d8s5c2s JcTh8s7d4d Jd9s8s7h6s AcKhQd7d3d 
AhTd7h3s3c AsJdTc6h3d Js9s6c5c4s AcJd6h3c2d 
KcJd9s8h5d Jd8d7h5c3c Ks7s6h4h3h AhJd8s7c4s 
Th9h7c4d4c QsThTd7d4c AcQd9c6s2h AsQh5s4s3c 
Jc9s8c7h5c 9c8s6s6c3h KcQh7h4d3d 8s8h7h6s3h 
AhJh6d6c2d AhKh9h6s3d AdJcTh4c3c Jc8c7h5d3d 
KsQsJc6s3h Th8s8h7s3d Kd9c7s5h4d KhKc9c8c2c 
Ah9h8h5d4s KcJhJd5s4s Kc7s6c4s3s AhTs8s4d3d 
KcJcTd8c3h JcTh9d6d4s Qs7d5d4s3c QsJsTs5s3c 
QhJh9s7d5h KdJd8s4c3s AcKs8h4d2c KdJs9d6c4h 
QcJd7d4c3c AhQdJs2d2c Kd5h5d3h3d Td7c6s4d4c 
AhKh9h6s3c Ts7c5c4h3s AsQs7s5d4s 8s6d5s4d3c 
KdQd7d5h4s Kd9c7s7d6d KsTh9s8d5s As9c7h4s2h 
QsQh7d6s3c Kc5s5c3s3c Jc8d5s4s4c AhJh5d4s2c 
KsJs9s4d3d AhKcTd5s3s QsQc7h6c3d QdJd7h6h3h 
AcKh6s6h4h As5d5c3s2c Jc9h8c6s3s Jc9h7d6d5s 
JcTc7s3s3h KdTd9h4h4d AsKdJd6h3d 6s6d5d3s3d 
QcTd7c6d2s TdTc6h5s5c ThTd9h4d2h Td8h7h4s4d 
JhThTc9h6h QdTh6s5c4s QsTh9h9c5d AcJc5s4d2h 
KsQcJs7h4s Jc8d8c7c4d AdQs7c2d2c QhTd7c6s5c 
AdTd7d5s4d KdJcTh7s3h Ad9d5s5c2c QhTh9c7h2c 
AhKhJs6c2h QdTc6h5s5d KdQsJh6h3c Ah7s6s6d4d 
JcTd8s6s5s KcQcJd4c3h AhJh8d5c3h AcQhTc6d2c 
JdJc6s6d4h AcQd6h6d3h Js7c6d5s3c AcJs8s5s5d 
JdTc7c6s4c QhJc9c4h4c AcJc8s5c3h Ah6d5d3h2d 
ThTd6h6c5h Kh9c8c6s4s KsQhTc8d4c 9s8h8c7c4s 
JsJd9c4c2s AdJs9d3s2d AsTd8s6c3s JcTd5h4h2d 
QdJd9s7h7d AsJs7h3h2d JsJdTc8h2d AcTh8c5c3d 
AdKhTs6h2c Kc9h8c7s7c KdTs9d8c5d JsJd9h6h5h 
AhQc7s7d3h QsJc6d5c4c QhQcTs4d3d QhTd9h2h2d 
Ts9h9d6d2h As8s5d4c3h AdTd7d5c4d QhTd9c4d4c 
Tc9h7s7d6c AdJc7c6c5h Td7c6d4s3c AcKs9c6h3c 
Ac9s9c4s2s QsJh9d4s2d 9h6s6c3h3c KsTc8s5c2s 
AsTs8d8c3s QhQdJc5s2c KcJcTh8d3c AcThTc3s2d 
Th7s6c4s4h As9c7h5s3s Ts9s9c6d5s KdJhTd9d5d 
AdJh9d4s2c KhJdJc5d3s QcJd7d6h3h AcQhJh3d2s 
KsJcTs4s2d KdQs7h6c5h AdQs5c4s2c Kh9s7h5c2s 
KdThTc5h4s Ad5c4c3d2c AhKsJs5c2s JhTs9d9c2d 
JcTs4h4c3h KhTc9c6d2d AsQc6h6c3h QcTh7s6d5s 
Ac9c8c5h4s Jd9d5s4c3s 9s9d7s4d3c AcKd9d7s2h 
KhJd6h5c4h AsQd6d6c3c Jc9s8h6c3s TsTh8h7d3d 
AcQc7c5d4c 9d7c5s4s3d AcTc8d3c2d KsKc9h3h3d 
Kh8s7h7c5d KsQdTc7h3d ThTc6d6c5c TsTh9c4c2s 
Ad6c4h2d2c Qh9s7c6s4c KsTh9s4c3d Th9h9c6s2s 
7s6d6c5d3c 9d6d5c4c3s Ts9h8c6s5s 7h5d5c3h3d 
JcTc9h5s2d KdQdQc7h3d AdTc9h8s3s 9c8c7d5s3d 
8s8c7d6c3d QdTc9d3h2h KsQd8d7s3d AdKs4d3d3c 
QsQh9d6h2c QdTs7h5s2d KdQs8s7d3s KcJs7h5d4s 
AhKcQs3c2c AcKcJd6h2c 9c8s8d7c4s QhQdTc4s3s 
KdJhTd9d3d QhTh8s7h5d AcJh5h5d3d QsQc8s7h4s 
AcThTc6c3d 9h7d5c4c3h Ks9d7d4h3s QsJd6h5d4d 
KsQs9h4h2c AsTdTc4h4c QcJhTc8c3s 9h8d7s7h4d 
Js8d7c5d3s KdJc8c7c5h Ks9s9h6c5s TsTd7s6d2h 
Th9h8h7s2s Qd9s9d8d4s Kh9h6c5d4s AdQc9h6c5c 
8d8c6s6h4h Qh9d6c5c3d 9s9d7s6d2h 8h7d5d4h3c 
Js9s7d4h3d Kd9s8d6d5c AsKhTc4d3c KsQsJs8s8d 
AdQs9c4s4c Ah9d7d2h2d QsQhTh5c2h 7d6h6d3s3h 
KhQdTd8d4s KsJh8h4s4h KhQd5s5c4h KdQh7c6s5c 
9s9h8c6h2s Jh8s8c6c4s 9s9h5s5c2h TsTh9h8d5c 
Qs9h7c6h4c AdKc6d5d2s AcJh6h2d2c AsKsQs7h2d 
QcTd9d3c2c 8s7d6s4s4d KdJdTc6d3h JsTh8d7c4c 
QsTh5h4s2h Qh9c8c7h4c KcJd6c3s3d AsKcJc6d3c 
9h8s8c7c4h AsKhQc6h2d Ks9d7s7h5c JhTs9c6s4s 
8s7c6c5d2s KsKhQc7c2d KhJh8d5h3d Ts8s8c7c3d 
QsQc8h6d4h AhQc7d7c3d JsTsTc2s2d KdQsTs8h4s 
KdKc8d5d3d KsTs9h7s5s AsQc9s5d3s Ac7c6s5c2s 
KdQd8s7c2s KdQcTd6h2s JsJd6h4h3d AdQc9d7h3d 
Qc9s8s7c4s JdTd9s3d2s KdQs6s5s4h Tc9c8h8d2d 
Kd8s7d6h2h QsTd9s7h3c KsKdQh7h2c QcJd6c5s4c 
AsQsJs8s3d AsQd8h6d6c QsJs8c5c2s Jc9c7h7d4d 
9h6h6d5d4s AsQcTs6h2s AhQd8s6d2s AhKc8d5h3h 
AcQs7d5h2c AsKsTh6c2s 9s9d6s6c4s Kc9c8h6s2s 
Jh9d6h5d3h 8d8c5d4s3c Qd7s6s5s3d 8d7c6c5s2d 
7s7d6d4s3s Kc7d6s5d3s AdTd9s8d3d JhTs5d4d2s 
Ts9c8h5h5c KdQc9s6h5h QhTs6c5d4c AsJc6c2s2h 
KcQs9s8h2h Ks8s8c6s6d Ts8s8c7c3h AdJs8c5h4c 
ThTd8d6d4c QhTh7s6s2c KdQh7d6c2c JcTc7h4h2d 
AhQsJs5s3s Tc9c8d5d3d QsTc8d5c2d QhQd8d6c3s 
QhQd9d6s2c QdTd7s6s2h KsQd7d4c3c AhKs8d3h3c 
8d8c5c4h3d Th7d6d5h3h 8h8d5h4d3h QhTsTc7d4s 
QhTc8h7d5h KsTsTc8s4h Js9h7c6s5s KhJh9c3c2s 
Jc8h7s5s3c KhJc8s6h6d AsKs6h5d2s AhKhJh7h4h 
JhJdTh9h5h QsQd9d5c3d AsJc7c6c5d KdQdJd7h4s 
AsTs7d4h3s 9d8d7c5s3c QcTh8c7d5c Ah9d7s5h3h 
AdTc8s6h5s KsJs8c5c3s Kh9d8c5h2c AsQh9s7d3s 
Ad9h9d4h2h QhJdTd6c3d KhQhJs9h5h Th9d6s4s3h 
Th9h8s6s2h QhTs8s7c5s Th8d8c6d3h QhJhTc9h5h 
AhQs7d2h2d AsQsTs4s3h QcJd9h6h2d QdTc7s6s5h 
AhKc7d4h3h KcJc8d7c6c KdJhTs3d2c Kh9c7h7d5s 
Kc9d7d4s3c QdQc9d5s3d 8h8c5h4d3c KhJs9h6c4d 
JsTh9d7c4h JsTh9d9c2d KcQs9c6h6d 9h7c6h6c4c 
KdTh7d3h3c JcTs9h9d2h Jc8h8d5c3d KsKhKdQs9h 
Td9c6h6d3h QcJc7h6s5c KcTs8c6d6c AsKdTh3d2c 
8s6s5d4d2c KdJsTh5s3s 9s8c7s5s3c AdKsKhKcTh 
KhJhTs2d2c JdTc9s6c4c QhTd9d5c2c Qh9d9c5h2d 
Jh8h7d5s3s KsTd8s4c2c Th8c7c4s4h KdTh4h3h3d 
AcKd8s7h2d Tc9c8c7d2d Qs9c8c7c2s AsQcJc5c3c 
Ks9h6c5h4c KdTsTd8d4c Tc8s7s4h4c As7c5d3s2d 
JdJc5c4h4c JhTc8d6d5d QcTh9c5d3s Kc8h6h5h2c 
9d8s6h5s2h JhTs7s6s6d Qh9h8s8d2d 9s9d8s6h3h 
QsTs9c3h2h QsThTc9d5h KcQcJs6c3h AhKcQs3s2d 
AhThTd3c2s Th9d6s6h3s QhJhJc7h5h AcKc3d2d2c 
KsQcJc4c3d Th9h9d6h5c Kc9d8s7h6h AdJd4c3c2c 
AdKd6s5c2d Ts7s5d4c3d QcTs8d5s4h QdTh8s7s5c 
JsTdTc4h3s QcTd8d6d4h AdKc6h5s4s KsTh8s4d2d 
Qd9s5d5c4s KdTdTc3s3h Qs9d6h5h3d Ts8h6c5h2s 
Jh9c8h8c3s 8s8h5s4h2d KhQd9d6c2c QdTs8s7d2d 
AdKsTc6s2h 8h8c6c4h2d Kc9s9d6c2s Qd9h8d5s2h 
QhTc7d6s6c Jc9s7h6h5d AhQd9h6s2c KhQsTh5d5c 
Ac7h5c3s2s QhJsTd6d3c Ks8s8d7h6s Ks8s8d7d2c 
QsQh8s6c3d As8h7d6c5d AcTs8c5c3h KcTh9h7h5s 
AhQs9h7c3h Ad9h7s7d2c QdQc4h4c2s AcKcJh6s2c 
JsTs8s7s5h QdTsTh9c5h KcTh9s7s5s Kc9d7c5h2d 
QhTh7d7c6h Ac7h7d3s3c 9s8s6c5c2s KcJsTh5s3s 
Ac9c6s4s4c AhQd9s5d2s Th9d7d6h2d KcTs8h6s3h 
Jc7s6c5d3d QdJc6d5h4d AhJd9d8c3s Jh9d9c8h7h 
Ts9d7d6h5d QsJd6d4d2s Kh9h8s6c2c Ts9h8h7h3s 
KhQhTc4h3s AsKhJd9c2c JdThTc9h4h AcJd9h2s2c 
KhQc6d5c4c 6s5h5c3s3c 9h9d8s6s3d Td8d8c7c3h 
AcJs4h3d3c KdTh9d6d4s Qc6h5h5d4c 8h6h5s4s3c 
JcTs7c6c4d QdJd9s6c4h AhQc6h6d4h KdJsJh5s3c 
KdQd7s5c4d KhJhTc8h3s QcTd6s5h5c JcTc9d5h2s 
KhTs8h4s2s AsKhQd7c2h 9h7s7d6s3d QhJs8c7h5h 
Js9s5d4c3d Kc8d8c7d2h QdJc9h6s4d AsKc8d7h2c 
Kd9s9h6d2s JsJc6h6c4d AhTd8d4c3c QhJcTh5s2h 
Th8s8h7s3c AdTh8s8c4h Ah7h6c5h2c Ts7h6d4s4h 
8h8d6h4s2d Kh8d7s7h5c KdJc6d5s4d KcQhTc5s5d 
JsJc6c5c4d AsQs8s7c4s KcQd9c7d2c Qs9h8s5d2h 
KhJhTh8h5s AhJc6d3h2c Qd9s8s7h3d KcJsTd5s3s 
KdQd7s6h4d AhQsTc4d3c QdJd8h7h2s 8s8c7c5h3s 
Qd6d5s4c3s 8h8c7s6h3s Jd8h8c6s6h QsTs8d5d3s 
9d8h6h6d3c AsTc7h6d5h KsKh8s2s2c Ad9s5s3d2c 
QsQd9h5h4c QsTh7d6c5d KdJd9c4h4c QdJc8h5d4d 
QhJh9c4c2d KcTs8d6s3d AcTh8s8d4h JhTd7d6s6d 
QsTs6c4c2h AcTh8c5c3s AsKcTd5h3h AhTc5c4h2h 
QdJcTd8d4d Js8d6d5s3c AdTs9c8h4c QcJs8s8d2c 
Qh9s8s7c2h Jh9s9c7c3s AcJh9s2d2c Ac8d7h5s2c 
JhTc9s7d4c 8d6s5c4d3c KcTh8c4h3c KcQcJs7c5c 
Ts9d8s8d2d QhTh6s5h4d QdTs6c5d4d AhJh8s3s3h 
QdJsTs6c3s JcTh7c6h2s KcJs9d8h5s QhTs7d6s5s 
As9c8c6d4d QdTd6h5h2h QdJh9h4h4d KhQdTc8d4d 
KsTh9c7c5c 9s9h7s4h3d KhKd9c8c2s QsTc6s4d2d 
AdKdTd6s2h KsTsTd8s4c QcTh5h5c3c JhTsTc5h3h 
Td8h8d7h3s AsKc8h6s3s QhTsTd8c5c Ah9h6h6c3c 
JhTd9c6d4d KsJs8s7s6c QhTd6h5h2d KdQcJc8s4h 
QhTh7c6c2d Ts9s8h5h3h AhTh7h5h4s Th8h6s5d4c 
Qs8d7s7c4d 9s9d8s5c2d KsJc8s7s2c QhJc8d8c2h 
TsTh8c7c2h Td8h8d6c4s Ac9s9c4c3s Ac8c6h6c5d 
JhTh7s3s3c Ah8h8c7h5h Qd9s7c6s4c JsTh5d4d2h 
AhJh7d3d2s JhTc7h6h4s Ac9c4s4h3h Ah9h8h5s4d 
JhTs5c3h2s 9c8h6d4h4c JcTdTc2s2c QhJh9d6d2d 
Qc8s6c5d4h KdQs7h5c3d Qs9h8s6h2h 8c6h5h4c2d 
Jc9c7d4s3d JdTs7s6c4s KdTs9d4c3h As9h9d8h3d 
Ks9h8d7c6c Kd9s5h4d3s AhJs8c5d4c QhJh9d6s4c 
KhQsJd6d3c QcTc9d7c2d QsTd9d9c5h QdTc7h6d2c 
KdQhTh8h4c QcTh6c5h2c QsJs9s5c4d AsTdTc4h4d 
AdQhTd6s2d Th9c8s6h5h TsTd8d7c2c QdJs6c5s4s 
QdJd9c6c2c Tc9d7c4d3s 9h9d7c5s5d Th9h9d6h5s 
QhTdTc7c4s Jc9s8c6h3h KdJd9s3s2h 9h5d5c4d4c 
KsTd9d6c5d Th9d8d5h3h Qs9s9h7c5d Kd9d5s4s4c 
Qh9d8d7d2h AsQd6s5s3c Qd9s9c5s2d 8h6d5s4s3h 
KsQs7h5c4s Ah9s8d6d4s AhQs9d6s5s AsQdTs6s3s 
Td9s8d5h2s KhQd7c6d4s QsQc9c3d2d QdJsTd8d4d 
Kd8h6h5d2h QdTh9h5c2c Ts8s6c5h4d KhJhTs8h3c 
KcJd7d6s5d Jd9s9d8s2s 7s6h5d3h3d AsThTd5c4d 
AsTh9c8d3d AhQhJh9d2h KhJc6h5s4h 8d6c5s5c4d 
Ks9h9d7h4d QhJd8d7d2h QsTc5h4h2s Kd7d6s6h3s 
QhJc9c7c2h KdQd7h7c6d Qs9c8s6c3c AdTsTd6d3c 
AhKh5h5d4h 9c7d6c4h4d 8s8h7h6c5h Ks8d7s7h5c 
Ts9c7c6h5c Ts8h6c5h3s KcJcTd6c3s 9d6h6d5h4c 
Ts9s6d4h3h Js9d8h6h2s JhTd9s7c4d KhQd8s7s2h 
AhTsTc9s4s KdJsJd9d6d Jc9s7c6c5d QdQc9h6d2s 
QdQc8c4s2s Js9d9c6h6c Js9d7c6c5h KcJd9c6s4h 
Ts9s9d8s4d JdTd7c4c2h QdJd9h2h2c QhJd8h5h4c 
8d6s5s4d2c AhQdJc4c3c TsTh9c7s5s QsThTc9d4c 
ThTc5s3s3h 9c8c6h5h2c Kh8c6h4s4c 7c6s6h5s3h 
AhKc9d8s2c Qd7h5h5d4s As7s6c5s2c KhQdTsTc4s 
QsJd9c4s2c AsTc8s8h2s Qs9d8h6c5c Jd7d6s6c4s 
JdTsTh7h3c As9c7d5s3s KdJc6d3s3c Tc8h8c7s6c 
QhTs9d5s2d Ah9d6h4c2d Jh9h9c5d2d QdQc8c7h4c 
9h9d8c6h2d KcTs6s6h2c AdKdQd7s2c AcTc6h5d5c 
Th8s6d5s2h 6s6c4s4c2d QsQc8h8d3s 9s7c5s5c4d 
QcJd6d5c2c QhTc8c7s5c 6s5d5c3s3c KdJc7c5s4h 
QdQc7s6d3h QdJh8h8c2d Ah7d7c5s5d QsQc8h4h2s 
