QhQd4h3d2d 
Qc9d8h6d3c 8h7s6s5h5c Jh9s9h7d3s QdJd5s4s2h 
Qs9s8c6c4c As9s8h5d2c Qs9h9c5h3s Tc9s9c8d6h 
QcTh8c4h2s AsKs9s5h4d KhJsJc8s6s KdJs7s6c5h 
AcKdQd9d3s QcTh7h4c3d QsQh7s5s4d AsJc7s3h2c 
Th9s8h6d3s 9s9d8h6s3d KsJd9h3s3d QcJhTh6s3d 
Tc8h6s5s5c Td9s9h2s2h KcJhTc7c5c AcQhTs4h3d 
AdQc9d5d4h JhJcTs9h5h KcQhTs4d3c KsJdTd9d2h 
QhJh9s6d5h KhQcJd8d5s Ts9c6d5s5d QdTc8s6c3s 
JcTc9s6h2h QhJsTs5c3s QhJdTh7s4h Ah9h8d5c2s 
KhKd9s7s3s QhTc6d5c3d JsJh8s5c4d KdJh8h5d3d 
Ks8d7s6s5c KsJhTh9h5c KhTd8d8c4c Ad6c4h4c3d 
Jh9h9c8s4c Ah6s6d4h2s AcKdJd7s3d JsJh6s5d2h 
Ad8h8c5h4c KsQsTc6s6d JdTh8d6h2h AcKh7s6c2d 
AcQc6h6c5d KcQhJh9h7h QsQd6h6c4c AcTs6h5h4s 
Th9d7c6h5s KcJc9c7s7h AsQhTd8d2c KsQcTh6d4d 
KdTc7s6d4d AsJs9s7d6s AhQh4c2s2c KsQcJh5s2d 
Ac9s9d7h7d AsJs7h6d3c Ks8h5c4s4h Ac7c6h4d2d 
AsTs8s4c2c AhKh7h6c2c JhTd8c4d2h AhKc7c5c3s 
Qc8s6h6c4h KhTd8h7c5h Tc9c8h6s2h JhTh9s4s4h 
QsQd7c5d4d 9h8c7h5c4h QdThTd6s4d QcJd8c7s6c 
9d7s7c5c3s QsTc8d6c3d Ac7d4c3s3d KcJh8h5c3c 
QhJdTd9c4d KcTsTc5h3d Kd7h6h5c4c 8h8d6s5h3d 
QhJd9d8c6d KdQcJs9d2h QsTc8s7h3h As6h6d4s2d 
Ts9c8s5c4s KdJcTs9h4h AcQd8s8h7s 8c7h6h5d5c 
TdTc7c6h6c AcKh9d7s7d As9s8h5c2d KhJh9c5s3d 
JsTs9h8d3c QhJh9d7d3d KsTsTc5c2c JsTs9c3h2h 
JcTd5s4c2d KsJd9s5s2d Ks9d8d5s5h KsQcJh9h6h 
KhJs8h7c5h AcQh9d8s5d QsJcTc9d4c As5h5d4d2s 
KsJd6s4d3s QhTc8h7d3d AdJh4h4d3d Kc9d8d8c5c 
Ac9h9c6s4d AhJd9d7d5c Th9s9d3s3d KcTc7h6d2d 
Ac9s9d8c5c Jc9c7h6s4s QsQcJh6d3h Ks7s6c4h3c 
QhJhJc7s2c Kc9d9c8s3d Jc9s8h6d5c AdQsTh4s4c 
JhJd9h7c5h AdJh8h7h7c AdJh9h9c7h KdJh7s7h3d 
JhJd6c5h2d KsJc9c8c7c 9h9d8s7s4d KcJc9h8h2c 
KsQs6h4h2d AhJs8s7c6s AdTh9h7s7c AdQd6s6d5h 
KsJc7d5c3d Jh9c7s5s3c KcTd7s6c3h Th9c6c5h3s 
Tc9d7c5s3s 8s8d6s6d2s Ac9h9d7s7d QsTh8s4h2c 
KcTc7c6d5h As9s9h6d4c QsQd9d7h2h QsQd8d3h2s 
Ah8d6h4d2d KdQcTd7d4h KsQs9d8c5h Jh9d8c6h4d 
AcThTd7c3c JsJhTc8d3h Js9h7s5h3h Ts9h9d2h2d 
As6h6d4s2h AcKh9h8s3d KcTd8s8d4s Ks9s9h6d2h 
AcQcTc8c3d JdTd8s4s2h Ac9h9c6s5c Jc9h6h5c4c 
AdQc8h5h2c Ac6s6c3s3c AhKs7d5c4c KcTs9h7c3d 
Ac9d6c5h4s KhJc8s7h2s KsQhTs9s2d KhTh9s8d3c 
Kd8d6c5c2s QhTs5h4d2s Th7s6h6d4d AdQd6s5d5c 
JhTd8d7c2c QhJs6s4s3h As9s8h4s4h KcTs6d5d3s 
Ks8h7s5h5d Ac9s9h8d4c Ac6h4s4h3c KsKh6d5d2c 
KsQc8h8c7d KhJd7s7d3h QcTs5s5h4h AsJh9h7c5h 
Ks7d7c6d3s AhTsTc9d4s As8c7s5s5h JcTd8s4d2c 
AcKc8s2s2d AdKsJd3d2c AcTc7h3s2h QsJd9s4d3s 
Kh9h8c6s3c AhJs9d8h2h AsJhTh9h4h KsQsQc5s2d 
As6s6d5c3h KcTc7d6h2d Ks8d7d5h3s Th8d7d6h3s 
Ts9s9h2s2h KhQsQh5d2h KsQd9h8h8c 8s8h6s6h2s 
KdQh9d4h2s QdJh8d6d5s AdQdTd8d4d AdKh4d3s3c 
Tc9c6d5d3s KdTh8c5d2c Kh9h9c8s3c Kc8h8d7s7d 
QsJd8s6c3c QhJs9h6h5c AcKdJc4s2c Jh9s7h5s3s 
AsQcJh9c4c KdQcJd5s3d QcTc8c7c6s QsJcTc9h4c 
9h7s7c6c4s AdKc6s6h3d KsTc6h5h3c AhKcQc3d3c 
Tc9c8s6h2s Ks8c7c5h3s Jc9d7d6c4d Ad9h6h6c2d 
KcTh8h8d4d As8d7c5d5c AhQdJd5s5d KhQh8c6s3c 
KhJhJd6h2d QcJs9h9d7s Jd8s8c6d4c QsJhTh6h6d 
QdJd9s8s2d Ac9h7c5c4s Ad5s5c4c2d Kc7h7c6h4c 
JhJdTd9d3s QdJsTd6h6d QsQc6h6d4d Kh9d8h8d5h 
AsTd9s6c2h AcQd9s8c4c AdTd6s6h3c Kc9h8s6c3s 
KdQdTc9d3s QhJcTc9d4c KcJs8c7h5c As9s8s7h4d 
JdJc6d5s4h KcJcTd7c4c AcTh8s7h4h JdTh8d7h2d 
KcJdJc6s4c KdJs9s8h4h JhJd9s7s6s KhQcTs6d4d 
JhTc7s6s3c Ah7h6c4d2d AsQs9s5d2d AsKc8h4c3h 
QcJs9s9d4d QcTs8h5c2h JsJdTs9s4c JsJhTh9h4d 
JdJcTc7c5c AsQh9c8d6d QcJd8c6h3h AdQc8c6s4h 
AcKc8c6c5h 6s6c5h5c3s Kc7d6s4s3c AhTd7d5c3c 
8d7h6s5c4s AsKh5h4h4c JcTh8d6d2c KhJs8h7d5h 
KhQd4s4d2h QhTc6c5h2s KdJh8c7s7h 8h8d6c5d2h 
Tc7d6d6c5h JsTc9d2d2c AcKcTs5c2h 9s8d7s5d4s 
KcQs7h7d6s QsJc8c4s2h QdJcTc9h2c AdJcTc6c5s 
AdKd5d5c3s KdJdTd4c3s Qd9c8h6h3d 8s7h5s5h4d 
KsQc9d7c4d QdJh9h9c4c QhTs7c4h3s Th7c6s6c5h 
Td9h9d4h4d Ac8h8c5s3d Jh9d8h6c4c Kd8s7s5c3d 
KcJsJh6s2h QhTd9c3d2h KhJh9c5d3s Jc8h7h6h6c 
Tc9s9h8c3h JdTdTc6d4h KcJd9s7h5d KhQd4h3s2d 
AcJsTh4c2c KsTc8s7d5s Qs9s7c6h3c KhJh9c8c3h 
KsQhJs7s2h Ks7h5c4c3s KcQc9s8h5d QhJsTs9d2s 
AcKdJd7s2h KsTs9c3c2d KdJcTs6c2s KsJdTc7c4c 
AsQd8s7h2c QsJs9d6c5s KhJh9h8s6c KhQs8d6c4h 
KhQc4d2h2c AhKh8h4s2s 7d6s6h5h4s Kc8s6c5h3h 
Ad8s6d5s2d 8s7d6h4s4d AhQh9h5s2s 9h8s7s6s6h 
Ts9c7c5s5h Qd8h8d6h4d QhQcJh7d2d Qc9s9d6c3s 
AcQsTc7c2d KdJsJc8c6c Kh8c6d5h3d 8s8c6d5c2s 
KsJs9s8h6d Jc9s9c6h3s Kd9s9h8d4h Ac7s6d6c5c 
Ad7c6d4h2h Jd9s9h6s4h JhJc8d5d2h AhTsTc9d4c 
KcQsJh9s5s Ks9c8s5h3c AcTh8c7d3c JhTh9s3d2d 
QcJd8c6s3s 9s8d7d6s3h JsJd6d5s2h KdJh8d8c6s 
AsJh3h2s2c Jc9d9c8h4d Ad9s7h7d6d KcTc9d8s2h 
AcJs7c3d2s AdQhJc9h4h AdKd9d5h4c AhJs8c3c2h 
AhJcTs8d3d AhKh9s8d3h AhKsJh6h4h KsKh8s4d3c 
KhJhTs7h5h 8h8c5h5c3s Ts9s7h7d4h Ts9c6d5d3s 
8h8c6d5c2h AdTs8s7c2c AsKc6h6c5c Ts9s9h7s6c 
AsJc8c7h2h JdTh7s7d3s AcQd8c3d2d JsJd6s5h4c 
AcTc9d4h2s 9d8s7s5h3d QhTd7d4h3s QcJh6h4h3c 
QcJsTs8s4h 8d7h6h5s5d AhJd8c3c2h AsKcJs4h2s 
7d6s5s4d3d KhQhJd5s3h KcJdJc7c4h Ad8s8d7h2c 
AhQs9c8d6d QsQhTd9c2c JhTc6c4s3s Qs9h7h6s4h 
QsJs9s8c4c AdKs9s8c3h KhJc8d7d3h AhTd8d7c2c 
KhQd9d4h2s JcTh8c6h3c JhJdTc6c5c QhJc9c7d5s 
KhJh9d7d3h 8s7c5s5c4h JsJcTs5s3d QcJcTd5s5h 
AsQs9s9c7s 9s9h5h5d3d QdJd8h6d5c KsJd7d4d3s 
KsJcTc9c5h KsKd9c7c3c JcTh9s9h5d 9d9c7h7c6c 
Ac7c6s4h2h KcQs9c7h7d QhJh9s8h3s AdKsJs7c2h 
JcTsTc7s2c KcQc9s9d4s KsQsJc8s5d KdTsTd7d2s 
AdKsTs8s2h Th7d6h6c4c AcJc9c7d6c KsThTc2h2c 
AcQs7c4h3d AsKd9h9c4s Ah7h6s4s2d KdQc8h7d2c 
As8h8d5d4h KsTs9h5c4d AsTh5h3s2c QhQcTs4c3c 
QcJc8h7s5d Qs9h7d5h3s AsTs8s8d3c AsJh7s4d3c 
Jc7h7c6d5d AhQd8d3h2d QcJdTs8c2h QsJc8c5d3d 
QsJc8s6h3h KsQs9s8h8c Js8s8c7h4c Ts9s8c6h2h 
Ac7s6h4d3c QdTsTd6c4d Ac8d8c7h2s KsQc4h4c2s 
JsThTc9d5c AsKc9h8h6d KcQc8d6d2h AhJd9s8h3h 
Ts9s6c5c3h AdQd6h6d5s AhKh9h8s4d QdJdJc9d5s 
Ts9d6d5h4h Th9s8c6s2h AsQc9s8s3h KhQc9h5s2s 
Kc8c7h7d4d QsQd9s7c2c QcJh9s9d7h QdJhTsTh2h 
Qh9c8d6c3h KdQh9c8d2c QsTc8d7h5c AdKsJc7h3c 
QsTh6h5s2d JsJcTh9c4c QhTc9s6d6c AcKc8c4s3s 
JsTc7c4s3s Ah9s7c2s2h AcQc7d4d2d AcKsQs3s3d 
KdJs8c7s7h JhTdTc9h5s KhJc9h5c2h AsJh8h7d2d 
JhJdTc6h3s AdQhTs4h4c AdJh5h5d2d Ks8c7c5d3s 
QsJhTc9h2h JsTc6c5h2s KsQcJd9s2h AcKh9d4h3d 
JhJcTc9s2c JhTh9c6s2s Td8s8h6d6c KhJc7s7c3h 
AhTs8h7c3h QsQc7s5s4d Tc9h8c5h3d ThTc8c7s3h 
QcJh7d5h3d Qh9h8d7h6s 9s7d7c5d3c AdKd9c3c2s 
AhQcJh9h3h KcTh6s5s3h QsJcTd7h4d JcTd6d5s2c 
Ah5h4c3d2c Ad8h8c4s4d Ks7s6c4c3h JhJdTc7h3s 
QdTc9h6s5s AsJdTd5h5c AhTh9d4c2s Jd9d8s6h4h 
Jd9h7c5c3h KhJc8h8c2s Ad9d6h3s3h KdJd9h5c3s 
QhQc7h5h4d KhJcTh7h3d QcTh5h5d4d 9c8d6d5d5c 
Jh9d8h7d3c KhQd8s8d7c As6d4s3h3d KdQcTc7s5c 
Td8c6c4s4d Ts9h7c6s5d Tc7h6s6c4s JdTc7h6h3c 
QsJh8h5c3c AhJsTc8d3d Ad5s5h4s2d QcTh7s4h3c 
JsJcTc5c3h QhTs9h3c2s AdJd9d5h4c KhQhJc8h5s 
QsJh9d9c7h KdJhTd7d3s KsJh8c6h2s Ac5s5d4s2c 
KhJs7c4c3h JsTc6c5d2s AcJh7c4d3s Jc7d6h6c5h 
QcJcTs8d2h KsTd8h8d4h Ad9s9c8h4d QsQdJh6c3h 
AhQh7d4d2d 8d7c6c5h5d AsKh7d6s2c 8c7s6h6c4s 
JhJc6h5s2c JhJc6h5c2d Jc9d8c6h4h KcTc7h6d2h 
Ah8s6h5s2h JsJc9c4h2s Tc9s6h5s3h AcJh3s3h2c 
AsQhJc9d3c KsJc9h7c5d AsKd5c2s2h Jc7s6c5s3h 
AdQh8h6c4s AdQsJh9c3h KdTs5d4d3s KsQhQd9c5c 
AcTd8d7h2h AsKsJs9s4d Jc7d6s6c5s AsJs9h8c2s 
QsJc4s3d3c QdTh9s9c6h Ad9h7d7c6d AdTs9h6d2c 
AcKh8d3c2d AsTd6h5h4d Ah9h8d4d2d AsKcTc4d3c 
AdJd9d5h3s Tc8s7s7d5d AsQhJh5h5c QhJdTc9c5c 
KhQh9c6s2s 9s9h5s5c3c AhJh9d8c2h QcJhTs9s5s 
Kh8d7d5c3h KsQhQc4h3h KcQhJd9s6s JsTs8d4s4d 
JhTh8s6h5d AdQc7h5d3d Jh7s6h6c5c KdJsTh6c5c 
JdTd8s4s4d Jc6s6d5s5d KcTc9h6s6d Kc7h7c5h4c 
JhJcTd4s3d QcJhTh9d4h Qs8h7c6h4c QsTh6c5h3c 
KhTh9d8s2c AdQsQd5d2d KcQsTh7s2h QdJcTs7h4s 
Js9s9h8c3h 8c7d6d5c3s QsQcTd7h5h Jc7h6s6c5s 
Jh9h7s6d4d Td9d9c2d2c Jd9s7s5h3h Jh8c6c5h4h 
As7d6s6h5s JhTd9c8h3s 9c8s7c5s4c KdJh7s5s5h 
AhKsTc6d4d AhQh7d4s3c QsQhTc4h3h 6s6h5s5h4s 
JhTd9s8c5d ThTd9d6d2h Jd9d7h6s4s AsKcJh4c2d 
Qs7s6c5d3c AcQh9h9d5s AcKs7d4s3h KdJdTc7d4d 
QdTc9h6s3d QsJs8d6s5c KdQhJc9d3s TsTd7s7h5c 
ThTd8d7s3h Td9d9c5c2s 8s8h7s7h2h AhKs7c5d4d 
JdTs8h8c6h Ad8h7c6d3s AcKhJc3c2s Ts9s9h8h3s 
AsJc7d3s2c Qd8c6s6d4s AcQhJs9s4s As8s7c4h4d 
KhKc9h6h3h AsJs8c4s2c As8s8c6s5d AdKc9s5c4h 
Tc9d9c8h6s 9d8c6d5s3s KdJh9c4h2d Ks7h7c6h3s 
QhTd5s4d2h AsJs9s5d4c QdJh8h4d2c KcQdJs8s5h 
AdTh8s7h4h QhQd8c7s4d JsJcTs9h2s Th9s6c5c3h 
Kh8s6c5h3c KsJh9s5s2h AdQsTs4h4c 9d8s7c6h5s 
KsQhJc9s3d Ad7s4d3s3c ThTd7s7d5c JhJd7s6d3s 
JdThTc3s3h Kc9s8c7s4c Qd9h9c6h3d JhTc6h4h3c 
KcQd9c4d2s AcJh8h7s6h AdJs8h4c3d Jh9h7d6s4s 
As7c5d2s2d KdQc9s8s8h KsQdTc3d2c JhTc9d8s5c 
KhQd6s4s3d KcJc9h9c4h Ad6h6d4s2s QdQc7c4s3s 
AcKs5c3d2h QsJc9c5c2s AcKc8h8d3s 9h8s7c6d5d 
QdTh9c6s6h Ad8c7d6h6d Kh9s9h6c2s Th9s7c6h5d 
AcTsTd7d4h Jc9d9c7s3d AhJh9h8d2s Tc9h6s5h4s 
KhKc8h4s3d 9s9h8d7c6c JsTs9d6c2c QhJs9d5h4c 
AhKs7c6s2c ThTd8d7c3h JdTdTc3c2c QsQdTh7h5h 
QhQd8d3c2h KsQhJc9d6d AdJd9d8s2h Ah8d7s6s4d 
QdTs9d3c2s Kd6c5c4c3d AcQc6d6c5s AsKd9h4d3h 
QhTs7s4h4d KhJs7s4s4h QdJhTs8d2c QsTsTc5h2h 
KsTd9h7d5c AsJh7s4c3d Kc7d6d5h4h AsQd9d9c5h 
KcTd8c7h5c AcJc7s6h3d KcJcTc7s2s AhQsQh6h2c 
JdTs6s4s3d AsJd8c6s3h Ks8d6d5h3s KsQs8h6d3h 
Kh9h8s6c3s QcJhTd6d4d Qs8d6h5h4d Ad8h7c5h5c 
JhTc9c6h2h QdTd9h3c2h KsKh8d5s3s QdTs8h5d2h 
Ad6c4d3s3c 9c8s8c7h7d KdQcJs9h6h Ad9c7d5d4s 
JdTs7c5d2s AdKc6h6c5c QcTs8c4s2d QhJs8s4h2d 
AhTc5c3h2s 8d7h6h5d3c KcTs9d8h3c JsJc6d5h4c 
QhJsJh7d5h Ts9h6c5h3c AdQcTc4s4h AcJh8h7s2s 
Jh9h8s6d4d AsQhQc5c2c KhQh9s9d4s 9h7h6h5d3d 
Tc9s9h6h6d KsKd9c6s2s AdKdJd7c2h AdQs7c4d2c 
AhJc5s2s2h QsTd8d6c5d KhKcQh9h4h AsThTc9d4h 
AcJd9h8c2c KcJsTs9s5h QhTh8d8c3d KcJc6h5d2h 
AdQcJs9s4s JcTh7d6s6h AcQc4h2s2h Qc8h7d6h4d 
KdJd6c5h2c Jd9d7c6c3s Th9h9c4s3s KdQs6s3s3d 
Ad7h7c6d2h Jd9h8c6d4h KcTd7c6d2d JdTsTh9d3c 
Ks8c6d5s3d 6s6h5s5c3h KhJh9d8h4d Kd7h7c6c3d 
Tc9s9c8s4c JsJdTd9d4h AcKcJc7s2h AdKsTs8s2c 
AdKdTs5d2h AcKc9c5h4d Jd9s8d5c2s KcTdTc7s4c 
Js9s7h6h3d KhQd8s6h3s QsQc9s7h2h AcQs9c8c3h 
KdQh8s8d4s KdQc9h4d4c JhJcTd7c3s KdTs8h7h7c 
KcTd6s4c2s Jh9h8d6s5c JcTc7s7d3s AsKdQd5d2h 
Tc9c8s6h2h Ks9d8s6s6d QsJdTc6h3s Js9h5s5h4c 
As8c7s6s6d KhTh9s8c3d QsJsTd7c3h KhQhQc5d2h 
Jd9c8c7h6s Tc7s7h4s4c KdQsQd5d2h AhKdJs7c3s 
KsQhJh8c3c KsJsJc7d3h AcTc8s8c3d 8s8h7d4s4h 
AhJs9s7c5s AdTh9h7c5h KcQd5s4s2d KhJsTh7h3d 
JsTd5d4h2s QhJdTs5h5c JhJdTh9h4s As7h6s5c4s 
Td9s8h6s3h QcTd5s4d2c AhKcQc7c3d KdQc6c5h4s 
JsTs6s6d4d Qs7s7d5d4h QhJd8d4h2c QhTh8s8d3d 
QsTs8h8d3d JdTd6s4h3h Js9s7c6h4h Tc9d8h5d4h 
JsJh9s7c5s QcJhTh9s4h QsQdJd7c2c Tc9c8d6h2d 
AdQh7d4c3s KcTc9s3s2h Ac8s7c6s3c JsJh5d4s4c 
KsTs8c5h4d Kc9s8c6s2d KsKd8h5d3d Ah9d6h6d4h 
AhTd7s3h3c AcTc9s4h2d JsTd7h5s2d 9h8c6c5h5c 
AhQs9s9c5d KhQdJc8c5s AcJd9h9d7d Th9d6s5s5h 
KsQsQc5d2s Jc9s9d6s4d AhJs3s2h2c 9d8d7c5c4d 
Jh9h9d6c3d KsQhTh7c5h Ac9h8c3h2s KhQd9c7d4c 
QdTd8s8c3s Qh9c6h5h5c Td9s9d7d6h 9c8c7h5c4h 
KdQs5h4d3c KsJh5d4d2s AhKc9d8d6s TsTh7s6s6c 
AcKc7c6s6c AcKh8h5d4h KsQc8s8d4d 6s6h5s5d3h 
Ac7s6c5d4c Kh7h6c4d3c QdTh8h6c5h KhJcTd7d4d 
QdJc9h9c4h AhQs8d5d2s KsJhTd4s3s JsJc8s5c2c 
AhKh7d4s4h Kh9s8s5h5d KcTc9h3h2s KcJd8s8c6h 
AdKs8h3d2h QsTd9d7d6d AsQsQc7s2h Jd9s9d8c4s 
AhJh9h5s3d KdJh5s3s3d Ac7d5h5c3s KcTh5h5c3h 
QhTs9c8d3h AhQc9d8s6s KsJc9s5c2s JsTc8c7c3s 
9d8s7s6d3h AsQcJs5s3s AdQd9s9d7d Ts8h8d6h6c 
QdJc8d7h6d KsTd5s5d3d KcJsTs9s2d Tc9s9d5s3d 
QdQcTh4c3c Qh9c8h7s6h QhJd7d4c3h AsKcJs4d2s 
QhQc7c4h2s QcTs7h4s3c JsThTc8d4h JdTd9s4s4d 
AhTc9d7s5s KhQc7d4h2c Ac7h5d2d2c AcKdJh4d2s 
KdJc8h7d2h 6h6d5h5d4d AdKhTh8h2c Th9h9d7d3d 
JdJcTs4h3s JdThTc4s4h Th8d6s5h5d Jc9d8c5h3d 
9s8h6s6h5h AsQh8d5d2h AdJs9d8d2h 7s7c6s5c3c 
QhJh8h8c7d QsJhTd6d4d AdQsTs7s4s Ad6d5s2s2h 
Ts9h9d3h3d KsKh7d5d3d AcQsTd4s3h KhQh8s6s2d 
AdKs4d3h3c Th9c6d5c4d QcTh8h6s5h AcQdJc5c3c 
JdTdTc7c2d KdQd6h6c5s JhTd8h7d2h 9s7s7d5c3d 
AhJsTs5d5c 9s9c5s5h3h KhKc6c4c2d KdQd4s4c3s 
AsKsQd8s3h Qd7d7c6c4h AhTh7d3c2d AcQc7s4s2s 
Js9d8h7s7c AhQd9h8h3c Td9c8h6c3h QcJsTc6d6c 
Ad7d6d5h4c KsKc6c4c2d JhTc5h5c3h Ac8s7c6h6c 
KcTc9s8d3h AdKhQh3s3h AsQc4h3s3d AsQhTs7s2c 
Ac6d4s4d3c QdTh6d5c2h JhJcTc7c5c As7c4s3h3c 
Ac9c8d4d4c Ah6c4d4c3h QhJs4c3s3h KhQhQd5c2h 
As7s6c4c2d AsJs8c6h3d Jc9c7s6h4h KhJcTd6s5s 
JdTc8c4c3d QdJd9s7s3s KhQs8d6h3d AdKd9c8s3d 
Th8s8c6s6d AsKsQs2h2d KcTc9d3d2s KhQd5d3d2h 
9s8h7h6s3c KdQsJc8c5h Kc9d8c7d4c AcKs9d5h2c 
AdKs7h7c6c Th7s7c4s4h 8s8h6d5h2s AcKc9s5d4c 
QsQc9h7h5d Jd9d7h6c3h Kh7d5s4s4h AdKsJs7h2c 
QsTh9s3d2h AcKs9s8d3h As5h5d4h2s AdQdTc5d2h 
AsQc9h9d3s AcJc9d8s2c JsJh4s3s3h KcQcTc9d3s 
9c8d6c5h3h Kh8s5d4s4h KdJhTh9h2c KcQsTh6d4d 
AsKs7h4s4d Ad9h6d5s4c JhTd6d5c2h AsQcJh9d3h 
JcTc9s8d3h JhTdTc3s3h JdTs9s9c5h AcKh6h5s5h 
AcQc7s4h3d AsQdTh8c3h KsJs5h4h2d Ts9d8h8d3s 
QsJd6s4s4d Td9h6h5d3s JdTc8c6c5h JdTc7h4d3h 
QsQh6d6c4c 7d6d5h4h3d Ac8c7h5c2h 8s6s6h5h4c 
