KsQh9h4h3c 
9c8c7h3h2d KsQdTs7s2s QcTc8c6c2c 5s5c4h3h2c 
AhKh7h7d2h KcJd8s5h3h Ts8d8c7h3s KdTsTc5c2c 
KcTsTd5d2d KcJd7d4d3h 9s9h5s5c2s Tc7h5c2h2d 
KcJs8d7h2s JhTd8c3d2s Td8h5c3h2d TdTc8h5s2s 
Tc6h5s5c3d Ks9h6s3s2h QhTd9d3d2s TsTd8d5d3d 
Qh8c7h3s3c TdTc6h6c2c Kd9c6d4d3s AsJd9h4d2c 
Jh9c5s5h2d 7c5s4c3h2s JcTh6s4d2h Th6h4d3h3d 
Th9s4s3c2c KdJh7h6h3h Ad8s8h7s2c Ah9h6h6c2s 
Td6h5c4s4d 8d6s6d4c3h 9s8h6s6d3s KcTh7d3h2d 
Ks7h4c3s2h Tc7c5c4s3h Ks9s7c4s2c Tc9s8s4d2h 
9s8h4s4h3h Ts8d4h2s2h Jh9s5h5c2d Th6s5c2s2h 
Jd7h5c4d3d Jd9s9c5h2h QsTs6c3h2d QsJd5c3h2d 
Jd9c4d2h2c AhJc8c6c2s AhKd7d6d2d Th9c6s4s3s 
Qh6s4d2h2d Jd7h7c6h2c 8s6d5h5c3c QcThTd3s2s 
Ac7h5d2h2d JhTh7d6h2s Kc9c8c4s2s KsQs8s7d3c 
9h9d4s3h2d JhJd6c5s2c Jd8d6h5c2d Kd8h6c4s2d 
Ah9s6h6d2h 8s7s7h3s3d Ts8d7s6c2s Js8h7h2s2h 
KhJd7h6h2s Qc8s5h4d3c QsJs4h4d2c KsQs9d3c2h 
Qd7d5c4d3s 9s5s4c3d3c Ks7h5c4c2h 7d5s5d2h2c 
Js6d4c3s3d TdTc6c5c2s Ts8s8d2s2h AsTd9d5d2c 
KhJc9c4s2d Td9d4d3s2s 9d8h6s6h2c Tc9d8d4h2s 
KdTs9s3c2h Jd5c4d4c3d As9s9d6s3s Ac8s8d7h3h 
Th9h9c4d2h Kd7h7c5h3s Td7d5s5h2h AsQd7c4c3h 
KhJc7s7h2d JhTc6s4d2c 9h7h7c3d2d QcTd5d4s2d 
Th8d5s3s2h KdTd8d7h2d Kh9d8c5d4d Ks8h8d5h4h 
9h9d8h7c2h KhJc6d5d2s As7d4s3c2h AdTsTh6s2s 
JdTs6h4c2s Jd6s6c4d2s QsTh6d3s2c KhTh7h4c2d 
JsTc5d3d2h Ts7d5s5h3c Kh8s7d7c4c Kd9s4s2h2d 
Jc8s8c3d2s Ks7d4h3h2s KdJd8d6d4d 7s7c5c4d2h 
KsTc8h4d4c JdTc7s7h2d KdJs6c5s2s QhTh8s3c2d 
Jd6d5d4c3h JcTh5d3s2h Qc9s8h6d3d Td9s9h5h2h 
QsJc9c7c3c KdQs5h3h3c AsJc8h4h3h Kh6h4d3h2d 
Kc7c5h2h2c Td8s5d3c2s AdTd9d3s2d 8h7d7c6d2s 
5s5c4h4d2d KdQc8d5s2d Kd9d8s8d3c 8s6c5s3s3h 
Jd9h8d6d2s Qc9h5c4s3c Ad7c6h4c2h Kh9c5h2h2c 
Th9d6c5s2c Jd9h4d2h2c Td7s5h4h3c Jh9c8s8d2d 
Th8c6s4d3d Qc5h5c3h2h KsTh6h5c2h JcTd6h5s2s 
KdTs9s5h2s 9s5s5c4d2d AcTh6d2h2d QsTc7d4s2h 
Jd6d5s4d3c KcQh5d4d2d KcTs8s4h3d Qc9s9d4h3c 
KhJs9c5d2d KsQs8c5s3s Jd8h6d5s2d Th7c5s5c2s 
Jd7h6s5h3h 9s7c6h3s2h Ts8d6s3c2c Jh9d7d4c3s 
7d6d6c3h2h KhTd8c4s3d Qh9d4d3h2s QsJs9c7d2s 
JcTd6s4h2d Qc7h6c4h2c Qs9s8s8d3h Ad9d8d5d4d 
Ks6s4c2s2c Jd8c5c3d2c JdTs8c3s2h Tc7s5d4h3h 
Ks9d6d5d3d 6h6d4s3s2h AsQc9h4d3h 9d8d7d5h3d 
KcJsJh3d2d 7c6d4d4c2d KdKc3s3h3c AcQc8c3s2h 
KdQd7c3c2c KdJd9s5d2d KsQhJh8h2h 8s8h4c3s2h 
Ts9c7h5d2s Jh7h6s4d3c JdJc9c7c2c Jh6h5s2s2c 
Qc9c7s4d2d Qc8h8d7c4c Ah9d9c5c3c Ah9d8s3h2h 
Ts9s9h4d2s Ad6h5s3s2h KcTd9h5s2s AcJd8d5d2d 
Js7d5s4s4h 8d6s5s3h3c QhJh9d4s4h AcTh6s2s2h 
AdTc5h4s3s 8d8c4h3c2d Js8h8c5d2s AcKd5h3s2h 
Ad9h8c6s3h As7h6d4h2d 8d7d6h6d3c Tc6d5h4s4c 
AsKh4d4c2d JhTs4d2h2c Th9d8c3s3c 8s8d7c3h3c 
As9c8h4s2s Tc7c5h5d2d AsKd9c5c2c QcTh5s4h2h 
KsTh9d4d2c KdQh7s6d2d 8s6h6c5d2s Td8h7c4s3d 
8d6h4h3s2s Ks9c8d7c4c Td9d5d4h4d Qd9h6d4s4d 
Kd9h6s5d2d QhTc6s3h2d 9h8d8c7d2s Jd9c6s6d3d 
AcJh4c2s2c Jd8h8c5h2s JsTs7h6s2d Qh7h6s4s2s 
AsQd9h3s2s Qs6s6d3h3c Kc7d7c3d2h ThTd6s6h2h 
Qd9s4s3h2d QhTh6c3d2s KdKc8h3h2s Tc9s6d5h2d 
Jc7s7d6d4d Kh8h8c4h2c Ah8h7h4c3h KdQcJc8c2c 
Jc7s7d4c2d Qh9d4d3h2c AcJd5h3c2c 7h6d4h3d2c 
KsQc9h8h2d Ts8h5s3c2c 9d5h5d4s2s Qd9s8c6h3h 
AhTc6s6d3c KcTc6c3h3d Kc8d7s4s3d AhKd8c4s3s 
9h7s7h5d2c KcJs8d6h2s Th9d9c5d2d Jc6h5s4s3d 
Kc7s7c3s2d JhTd7s6s2c Th7h5d2s2d AsJd8h4h3h 
AdJd8h3c2d AcKh8h3h3d QcTc7c4s4c Ad9c8s6h3c 
Td7c5h5c2h Tc9d8s4s3h Qs7s5c4s3h Ah9s5d4s2d 
Qs8h7c4s4d 8d8c7c3d2s AhJc9c3d3c Ac9h9c6c3c 
KsJs5h2d2c KsQh6d3c2s Ts8d6h5c2d 7h5c4d2h2c 
QhTh7h4h4c KcQs7h6d2s Ts6d5s3d2h ThTc6s6h2h 
Jc9s8h7s2s Kh9s5c4h2d Qc7h4h3d3c Th6h5d3s2s 
AsQd5d3d2h KdQs7h3s2h Th9c6d4h2s 9c7d7c5s2h 
AhQd9s7d2d KsTc7h3c2h QdTd8c3s2h 8h6s6c5c2c 
KhQh8c4d2s Js7s6h3s3h QdJc9s4s4h Kc9s8c5d2c 
Ks7c5s4d2h Kc8d8c7c2h Ac8c6c5c2d Qs9h5d5c4c 
Ks7h4s4h2h Js8d6c3d3c Jh8s5h3d2d Tc9s4c3s2s 
Ks9h8h6d3c Qc7h6h6d4h QdJd7h4s3d Tc8s7s6d2s 
Js8d5s4c2h JcTs5c2h2d 8s5c4s3s3c Td6s6d3h3c 
AcKh8h3d2s QdJd7d4s4c Qs5d5c4d2c KhQd9h2s2c 
Jd9d6h6d3c Td8s7c6s2h AcJs8s6s3d Jc6s4d3s3c 
Kh9c8s5h2h KsQc6d5d2d Tc8c6d4s2h 7d5h4d2h2d 
8c5d4c3d3c Js9h5s4s3d 9h8h8c3h3d Jc8s7d6c3h 
KdQd9s8d2d Jh6d6c5d4s Qh9c6d3s3h QsTh5d4h2h 
Qd7d6c5d3d Th8h8c7h3s Ac9d5s5c2c 6c5h3c2h2d 
Tc9s5d5c3c QcJd8s6h2h QhTd5d4s2d KhTh7h4s2d 
Qc7h5h5c2h QcTh7c6c2s Jc6h6d5d4s Tc8d6d5h3d 
Kh5c4s4h2d QdJc8h7d3d KcJh6s5s2d Td6s4h4d2h 
KdJs8d4c3d AdTs5d2h2d Kh9d6h4h3s ThTd6d5d2s 
Ks8s7d3d2c Kh9h6c4s2d Ad8h7h7c3h Ts8h7h6c2h 
AcJc3d3c2s Qd4s4c3h3d Qc8c6d3h2d Kc7d4h3d2c 
Tc8s6c4d2h 9d5d5c4h2h Jd8s8h6d2c Kd9s9d2h2c 
Kh7h4s3s3h 9d5d4c3c2h Jc9d7h2h2d 8d7c6h4d2s 
9s8c7c5h2c Jd9d8d8c2h 8d7s6d3s2s Tc9s5c4h3c 
QhTd7s6s2c Qs7c5s4c2s 5c4h4c3d2d Tc9c5c4s4c 
Js8d7h6d3c AdTd5c3s2d Jh9s4c2h2c 9c7c5s3d3c 
Qs5s4c3c2s AdQd9h6d2d AsTc8d4d2d AhKs9d4d3c 
5s5h4s3d2h KsJc8s4h3s Ah4s4c3d2h Jc9d5d4h3d 
Qs8c7d7c4h Ks9s8s4h2h Th7h6s2s2d Ad9s8s5c2h 
QdJd7h4d3c JsTh4d3c2s AcJc8d3s2c Jh8d7h3h3d 
Ac8c4c3s2s 8c7s6h4d2s KsQd7c6h2d AhJs8d6c3c 
Kd7d4c3s2s KdQhTh3h2h 9s6h5s3d3c QdTd8h3c2s 
QsQdQc6s6d Qc8s5c4d4c KdJd7d4c3d Qh9h7d4s2s 
Ks7c6c4h2h 7s6s4d3s3c 8d6s5h2h2c Js7h5h5d4h 
Kd8h8c5c4c Jd9s5d4d3h 8h7c6h3s2c Ac9h8s3c2c 
AhKc9s4s4d Ah6s5s5c4s 8s5d4d3s3d Js7d5c4h3c 
AdTd7c5d2d Jh6d5d2h2d 9d5s5c4c2d AdJh6s4s4c 
Kh7h4d3s2s Tc7d5h4s4d QhTs9s5s2s 8d6s6h5h2h 
8d7c6h6c3c Th9h8h4c3s JcTs5c3c2h KcJs8s5s2h 
KcQc7h4d2s ThTc6s5h2d 9c8s8h7h2h KhJd8d7d3s 
Qh8c5s4d3h Ac6d5s5d4d Qc8s4d4c2s Qh7h6h4d2d 
Th9s6d5c2d Ah9s8s8c2s JdTc6s4c2h Kh8h8d4d2h 
Jh9s7d7c3s Qd9h7d3c2h Jd8h6c5c3s Qc9d6s6d4d 
KcQs9h5h2d 5d5c4d3h2c Jc9d8s8h2h 7h5s5d4c3s 
Qc9h9d7c3c QcJc7d6s2h 9c8c7h3d2h Ah9h7h6h4h 
JdTc5d3s2d 7d6h6c5h2s KsTc4h3h2c Ac7s6s4h4d 
AcTh9h5h2d Jc9d6h6c3c 9h6d5c4d2s Kc9h8d7s4d 
AdJs9h4c2s Qc7s4s3h3c Ac9c6d2s2h Td6c5s5d3h 
Jc9h7h3c2c KsQs7d5c2s Kh9c8d5c4c Th8c6c3s2s 
TsTh5d2s2c TdTc5h2s2d Qc9d8s6d2d KcJh8c4d3c 
KhJd5s4d2d Jh7h6d3h3d As6s4s4c2d 5d4h4c3s3c 
Td6d5c4d3h KhJh9h7h4h Td8c5c4s3h AdJh8h6h3s 
Qd8h7s5s5c Js7h7d5c3h Js6s5s5h4c JsJd9d3h2d 
8s7d6h3h3c Qc6h5d4d3s 9c7d6s5h2h QhJs6h3d3c 
4s4h3d2s2d Tc6s5d2s2c 8c4h4c2h2c 8s8d3s3d2h 
Td8s7d6h2d KdJs8s5s3s Jh7d6c4h3s Jd6s5d2s2h 
QhTd8c4c2s Jh8h4d4c2d Th9s4s3d2d 7s5d4c3d2c 
Tc9s7d7c2h AhTd9d6s2d 9h7d5d3h2h KcQc9s3h2d 
7h7c5c4c2d AcJd7s6h3s Tc8c7s3s2h KhTs9d4d4c 
Td9h8d4d3s Qs8h8d2h2d Ad7h5s2s2h 9h8d7h6h3h 
9c8s6s6d2h Jc9c7c6h3c AdJc9c2h2c Jh7c6d5c3c 
Kc8d7s7h3c Qh9d7c3h2d Th6c5h2d2c 9d7s7h5s2c 
Jd7h7c6c4c Kd9c8h5d2d KsQc9d4c3c Ac9h5s4h2s 
Kc7c4s3d2d KdQs5h4h2h 9d6h5s5d3d Jd8s7h6s3c 
Jh7d6c5d3d KcTc4s3h3c Jc8h7s7c2d Kh9c8s7c4c 
Qs9d5c4s3s QhTh7c6s2h 7c6s6d5d2h 9s8c4s4c2h 
Kd9h8s7d2d Js6d6c5d4h Kh9h7c3c2h KsTd4c3c2d 
Jc9d8s8h4d 9h5s5h4d2s AcQc9c7c2d Td6h5s4s3c 
KhJs6h4d2h Jc8s6d3s3d Ks9s8d4c3h Qh8d5d4d4c 
QsQh9s4s2s TsTc5d2h2c Qs9h5s3d3c Js6c5s2d2c 
Td8c6d4s2h Jh6h5s5h4c QdTh7c4d2s QhJs9s7s2c 
AdTh9h2s2h Kd5h4h4c2c QhTd5d3s3d 8h6d6c5h2h 
KcQs7h4s3s 9d8d6c4s4d Ad6d4d3s3c KsQc6h5h2h 
Qs9h8h6d3h AcQs9h4d3h JdTs8d3h2d KsTd8c5h3c 
QcJs9s7s3s 9d7h7c5c2s AcQh6s5d2d Qd9d9c6d2s 
Jc9h4c2s2h Qh9d6d6c4d Kh8h7h5s2d Td8c6c5s3c 
9h7s7d5s2c Kc9h8d8c4c AcKc8c3h2s Js9c6h6d4h 
Ks9d6c5s2s Kd9s9h5c4c Td9d8d4s3h QdTc5s3s3h 
8s8c7c3s2h AsKs9s6h2s Jc6d4s3s3c Ad9h5d4s2d 
KsQs9d3h2c KdTd4s3d3c Jd9c6h4d3s KdQd9s4h4c 
AdKsJsJhJc KcQc8d4s2h 8d7c6s4h2c Kc7s5h4h2s 
9s8d5h3h3c AsTc9c2h2c Jd9c7h2h2c 8d7s6h4c2s 
KcTd4s4c3c Th8c6d5s2d Kc9h7h7d4s Td8h5h4c3s 
Jd6d5d5c4s Qs9h8d6h2h KhTc9s4d2s Kc7h7d6s2c 
9h7s6s3s2h 9c7h7c4d3s 9c8c7h3s2s KsJh6d5d2c 
Qc9c5s5c4h TdTc7c4c3c 8c6s5s3h3d Kh9c8s8h4h 
JhTd6s4d2c Qd5s5h4s2h QcTc6h3d2s Qd6h4s2h2d 
QdTs7h4d2c 9s9c4d3s2c 8h7d6s4h2c QhJs9s4s2c 
6d5h3h3c2d KhJc8d5s3s AhQd8s3d3c 9s8h8c7d3c 
9d8h8c7h2h Td8h8d2s2c Qh7s5c2h2c Jc8s6h5d3d 
JdTh8c3h2s 9d5h4c3h3c Kh9h8s7h4h QhJh7s3c2s 
JdJc6s3s3h 7c5d4s3s2c KhTd5s4s3s AhTd9s4c2s 
KdJc7c4c3h Qh8c7h5h3s Ad6h5s3d2d KsQdTh7c2c 
AsJd9d2d2c TsTc7h7d2h Ks6s3h3d2h AsJc7h3h2c 
Jc6c5c4h3d Kd9h4s3d2h Qd9s7d3c2s Kc6c4s3c2s 
KhJd9s4h2h KcJc8h2h2c Js9s6s6d3c QsTd9d3d2h 
KhQh9h7c3h Tc6c5d4c3s Tc9c5h5d4c KcTd9s4h2s 
Jh9d8h6h2c AsJs8d3h2s 7s6d4h3d2h Js8d8c5d2h 
KdJh9c5s2s 9h7d6s5s2s QhJs5d5c2s Kh7h6c3s3d 
Jc9d5c4c3s Qc7d5h4h2d 8d7s5s3c2d KhTs6d3h2c 
Kd8s6h6c4s Jd8s6d5h2d 9c5h4h3h3c Ts9c6h4s2d 
KsTd9d4d4c QdJh9h2s2c KsQh5c4c2c 9s9c5s2h2d 
Qd9d7d6h3d QdJs7h7c3d Th9c5h4s3h Js8c5c3c2s 
QdTh6c3d2s Td9h8s4s3c 9s7s7d5h2c KhQs6d5d2d 
Qh8c5d4s2h Jd9h7s5d2d 8s8c7d4c3c AhJdJc6c2c 
Jd6h6c5s3d Ah8c7s7c3c KdTs9s4s4h QhTd5c3s2h 
AdJh7c6s3c Kh8s7d3h2s Qd8c4h4d2c Qh9d7s3h2d 
9h7d6d3s3c Tc9h4c2h2c 9s9c4h3c2s 6d6c4s3s2c 
Ks9c8h6d3c 7h5s5c4d3s 7h7d5h4s2c 7s6s6h4s3d 
Ts9h4s3h2h Qc9h8h7h4s Ad7h5d2d2c Tc6h5c3h2d 
KhKdKc5c2h Kd8s8c7c4c 9c8h5c4s4d As6h5d3d2h 
8s6c5h5d3d Qs9d9c4h3s Jh7h6h4d2d 7h6c4h4c2c 
QsJc9c2h2d Ah8s7s7d3s Jh9s6h6c3h AdKh7c6s2s 
Js9d8d7d2c Ts9h8h5h2h Ks6d6c5d3h Qh8d6h4s2c 
KcTs4h3h2s Kh8s7c4c3s AcJs9s2s2h Ts9c8d4d3h 
Jd9c8d4s3h Kc7h6s6h4h 9d8s8h7h2h 8s7s6d4h2c 
KdQdTd2h2d Ac9d5s4d2s Qc8c6h3d2h QsTc5c4d2c 
Ac7d6s4d2s 9c7c6c4c3s QcJh8c4d3c Ah7c6c4s4c 
Ad9h7s4s4c Jc9h7h4d3s QcTd7h6h2s KcJs5s4s3s 
8d7c5c3h2d 8s7d6s3c2d KcQd5h4h2h 9c8d6h4s3c 
KhTd9c5s2s Kc6c3s3d2s Td8c5d3s2c Qs8c6h3h3c 
QhJd7c5d2s Kd8d7h4c3s TdTc9c4c2c Th9h6d4h3h 
Ks9c8c7d4c KhKd8s3s2c Qd9c8c6h3c Jc9h4d3c2h 
8d6h6c5h2h KsKhKc8d8c AdJd4h3d2c Jh9c8c7c3d 
Jc8d8c5s2c Th7d6s2s2h Js6c4d3s3d Th8s6d5c2d 
Ah6s5h3c2h QsJs8d6s2s KsQh9d3s2c Qc8s6c4h2d 
Ac8s8h7d3d KsQh9c3s2d Qs7s5s5d4c Qd5s5c3s2d 
AdQh5s5h2h QhJc8s6d2d KcTs4d3s2d As8c7h6d3c 
8h5d4s3s2h Ah8c7h5h2h Td9c8s4s3h KdJs8h2s2h 
AhKd9c6c2s Qd8c7h2h2d QsQh7h4c2d Ts8c4c2s2c 
KcJc9h5c2c QsJs9c4s2d Kd7d4s3h2h 7h7c5c4d2s 
As4d3s2h2c Qd5h5c3d2c Tc8s5c3h2h KsJd8d5d2h 
Kd9h7d4d3s 8s8h7s3h2c Td8c7h5s2d 9s8c5c4h4d 
JdTh7c5s2c AhTh5d2h2c Jd8h6h5s2c 9c7h6d3c2d 
8h5s4c3c2h TsTc8s5s3s QhJd8h7h3c Qc9c8d8c3h 
Ts8c4h4c2h Ac9c6c5c3d Kh9d8d6d4d KcTc8h2s2d 
Qd8h6s3s3h Jc9h8h7s2h Ks7s5s3c2c 9h9d4s3d2h 
9d7d7c4h3s AdJh6c2h2c JhJc7d4d3d Th8d6s4c3s 
KcJd9c4c2s 8c7s7c6h2d Th9d5h5c3h Ad7h6h4s4c 
Jd7s7c6c4c Qc8d7s7d4h 8d8c3s2d2c AhQs6c5c2d 
Ac7s6d4s2d QdTs7h6h2c Kd9d8h8d3c 8c7d5s5c3c 
AsQc9h3s2s Tc8c6c4s2d KhTd6c5c2s QhJh8h4s4c 
8s7c5s4d2h Jd9s5s4c3h Ts8c7d5h2s Td9d5s3h3c 
KsJs7s3c2c AsQh6c3s2s Ts9c6d4s2h Kd8h6h5s5h 
Qs9h6s6d3s Ks9s9h4s2h KdQd5h5c2d AhJd8s3h2h 
Qd9d7h5c2s KhQh7s5h2c Qh9h6c5d2h Qd9c8s6s3s 
Tc8s7c4c3d Ts8c6s5d2s Qd9d8d7c3h KsTc8c5c3d 
Th8h8c2s2h 8s7c5c3h2h 8d7h5s5c3s AsThTc6h2h 
Jd9h4s2s2d KsJd8h2h2d KdJs8c3s2c 9s8d8c6h2s 
AdQs9c7s2s Qh9c6h3h2c 5h4d4c3s3c KdTc5h4h3h 
AhTs9s4c2s AdKs9h4h3c QcJs7d6d3d Kd7d6h6d4d 
9d8h8c7s2c Tc6c5h3h2d Qh8d8c6s2h 7d6s4h3h2s 
Jh9d5d4d4c Js6d5s2h2d KhJs8s5s3s Td8s7h5c2d 
Jc9s8s7s2d Td9s3s2d2c Ts8h5s3d2h AcTs9s2s2h 
Qh9d8s6c3c 9h6s4s4c2c Ks7d6s6h2c Td7c5h4s3s 
KsTs8s7c2s QsJd8c6c3c Ks8h7s3s3h Tc9h9c4d2c 
KhTs7s5c2s KcJc5s3d2c KcJh9d4c2c Ts9h6d4s2c 
Kd4h3d2s2h KdTc7s3c2s Jh9d9c5s2s Jh9s4h2s2d 
Td7d5h2s2h KhTh4d3s3h Td9s9h7c2c 7d6s6d5d3d 
8c6h6d5h2h Qc8c5h4d4c Jd7d6s4c3h 5h5d4s4c2s 
Kc7s6h6c2d 9h7h7d4d2h KhQc7d3c2d KhTs4d3s2d 
8s7c4h2h2c Kd8s7h7c4s Ac7s6d4d2s Ah6s5d3h2h 
Qc9h8s6s3s Qs6c5d4d3h Kd8h8d4h2d Kc7s7h5s3d 
Js8h7s7d2c AcTh9h6s2h Ac6d5d4s4h Jd9h7h4s2s 
KsJh4d3s2c Ts8s8c7s3h Qs8h7s3h3d KcTc7s4d2c 
QdTc7s6c2h Kh9h8c3h2c QsQhQcTc7s 9s7h6d5c2c 
Kh7c5h3h2c Kc9c8s8c2h Tc8s6h4d3d Ad9s3s3d2d 
Ts8s8c6s2s Jd8d7h5d3d Jc8s8c5c2d Td9d8d2s2h 
Kd9d8s7c3d 8s7c5c3d2d 9c8h4h4c2d Kc5s4d4c2h 
