AcQs7s6d3s 
QsJsJd4s2s KcQs8h8d5h JcTc9h2d2c Th9c5d5c2h 
9h9d6d3s2h Kd8h5h4d2d KhQhJd8h2s QcTd7h6h3s 
KdJsJc8h2s KdQd9s3s3d QsJd6h4c3d As7c6s5d2s 
Js6s5h4c2c AsQc8s7s3s AcJh9s6h3d Kc6s5h4s2h 
QhJc9s9c3c KdJs9h9c4s AcKh9d5d3s Jd9d8d6h4s 
AhKcJc7c2c Ad9d7h4s3d KdQdTd4h4d Kd9h8d3h3c 
KhQh9d7s4h Qd7h6d6c5d Jd8c7c6h4c Ac8s6s6h3h 
Jd9d8d7h4s AhQh6s3h2s KhQc3s2s2c Kh6d4c3h2d 
AhQd9d4s3c KsQdTd6d2c Qh9s7c6s4d QcJhJd8d2d 
Jc7h6s5c3d KdQdJd4c2d 9s9c3s3d2c AsJh7c4d4c 
Tc8h7d6s3c Qd9c6h4h2d Jc8c7c6s2s JcTd8s4h3s 
As7c6h2s2d QsTh6h3c2c KcJc9h5s5c Qh8h8c7c3h 
Th9d6s6h3c KcTs5s4h4d JhJc8d3c2d QsJh9d4s3s 
As8h7d7c4h Kc9s7s5h4d KcQc9s7c3h QsTc5d5c3h 
QhJc8c6c4c AcTs8h5h3d QdJc6d3s2s 9d8s6c5c3c 
QdTh7c3h3c QhJh7s3s3c Ac9d7h4d3h QcTs6s3d2d 
Kh9h8s4c2s KhQsTd8c2c 8d7h7d4h2d KcJh9d6s4s 
JdJc9s4d3d QsJh9d8h3h 9s9h7c5c3c AdQc6c4s3h 
AdJs9h6h4c Qc7h5h3h3c Jc9h5s3h2c Jc8h7s6h4h 
Kd8c6h5c4s QhTs4s3h2h JhTs4h4d3c Qc8c6s4c3s 
JsTd9h3d2c AhTc6d5d4s Jh9s7h5h4h Jc9s8c3d2s 
JsTh9h6h2c KsJh7h6d3c QcTs8c5d3c Th9c6d4s4h 
8s8c7d6s3h KsTh5c3s3d Jc9s9d7d3h 9s7h6s6c4d 
9h8s6h5h4h Kc9c7s6d3c 8h8d7s4s2d KcQh7s7c2s 
KsJs6c3d2d Jd8s7s6c2c JcTs9h5c2c Qd8c7s4d3s 
QcJd9h4s3d Ah7d6s5d5c Td9h8s8d3c QdJs8h5c2s 
Jc9d7d6h4s Jd8s8c7s4h 8h7d6d5c3d KdTd8s6d2c 
6h4d4c2h2c Kh9h6d5c3h Ks9d6d5h4c 7h6c5h2s2c 
Qd7d7c5c2h QsTd5h5c3s Kc9c7d4d2h Kd9h8s4h2d 
JsJd8h6d2c 9s8h8d6d3c Td9s8h8d3c TsTh7c4c2h 
As8c7h7d4c Ks8h6c5c4d Tc8h6s3h3c As8d3s3c2d 
KsQhJh7d3h AcTc6c5h2s Ad9d5s3s2d KcTh8c5c3s 
QsJd9c8d3d JsTd6s4s3h Qd9s9c6s4h Td8d7s7c5d 
Jh6d5d4s2h 9d9c8d5s4d JhJd4d3d2h JsJh4c3h2c 
Qd9s6h4h2d 9d8h5h4d3h Qh8s5s3h3c 9d9c5s4d2s 
QdJh9s8h3h KdQsJs6s2h Qh8c7d5s4c Jh9c7h5h4h 
KdQcTs8h2h Jc9s7s7c2s Jc9s7h6s3d Qd7s6h5s4s 
9c6h5h3c2s Tc7h7d6s4s KdQhTc5s2s Th9h8h5d4c 
KsQh5s4s3s JcTd5s4h2d KhJd8d5c3s JhJc6s6c3c 
8s6h6d4d2s Ks9d8s5c4s Ah8d6s6c5c AdJd9c6d2h 
9s8d7h5c3s QsJh9d9c3c Qd9s8s6h4c Js8h8c7d4h 
9d9c8s7h4c JhJc6s3c2h Ks6h6c3h3c KhJd5s5d4d 
KdJs9c5h3h KsTs9s7s4s Th7d6d4h2c JdTd6d4s3h 
Jc8h8c3h3d Ac7s7h2d2c Ah7s3c2s2h Jc7d5s4d2c 
Qc8h7h4d3c Ah9c6h4c2h As9c5s4s4h Th8s8d4s4c 
AsTs8s5d2s QdTc9s3d2h QsJd8d5d3h KhJs8s5c3d 
QdJs9h4c3s Th9h7d2s2d 9d8d7d6h6d AsQs5d3s2h 
QcTd9s6s2s KdJc6c2d2c 9d8s7c6d3h QdJd9d6s4d 
JhTd5h4h2c QdJd6s6c3h 9h8h8d7c4s Ac8d4s3h3c 
KdTc7s5s3h Ks9h8s7s4d Kh7s6c5c4c Jd9s9c7h4s 
Qc8d6h5h4h QdTh5c4s3c QhTd7c6s3c KdTc9d5s5d 
6c5s4d3s2d Td9d8d6h4d JhTs6s6d3c 8c7c6d6c4h 
KhJh5c3h2c Kc9c8h8d5c KsTc7d4d2c KhJdTd6d2c 
KcTs9d4c2c QdTs7d4c3h QsJs9c7h3s 9c7s6d6c4h 
KsQs5s5c3d Ac8s3s3h2c 9h8s7c2s2h AhQs6c3h2d 
AcKd8h3s3d Ts7c6c4s2d Td7s6h3s3h Th8s7d6c3h 
JhTd7s6s3s KhQdTs4c2s 6s5s5h4s3h 8s6h6d5c4c 
9h9d8h5c4h Ks6d4h3s2d KsQs5c4h2s Jd6h6d5h2h 
JcTh5d4s2h KsTh5h4d4c Js8d5h4s4c AhJd7s6d3c 
Jd7s6c5d3h KsQhTd4c2d QhJs8h6c2d QdTh9s4h4c 
Qd9h8c4d2h QcTc4d2h2d JsJc9h7d2c QcTsTh6d2s 
Qs8h7s5c4s Kh8h6c4c3h KcQh8s8h2s JhTs6d3s2d 
KhJh5h4s4c QdTc8s3c2s 6s5c4s2d2c Qh9s9d8s5s 
KcJs7s5s5h KcJh6h5h3s 9h9d6h3s2d JdTd6d5h5d 
KsQhJh7c3h AdTc9s5c3c JsJd6d6c3d KdTs9h8h3h 
AsJd6h4h2d Td9s6s5s4s Td9s6s5h3s KdQdJd8d5d 
Tc9c8d6h2c QdJc9h9c3c Qh9c6c5d4c QhJs9h9d4h 
Td9h9c4h3s AsQs8h3s3c Tc8s7h6d3c 9d8c5d5c2d 
AdQd7c6d3d AcJs7d6s2d AhTc7d6d3s KdTd9d4s2c 
Qs9c6s5s5d AhTd9d4s4d QcTd6c5s2h Qc9c6h4s2s 
QhQc5s2s2d KhTsTh7c2h QsJc8c5d2h KsKd9s4s2s 
KsTh8s5s3c Kd6d4c3h2c Tc9c8d5s5h Qc5c4h3s2h 
AcTc9s3d2c 9c8c6h4d2d KdQd6h5d3d KdTs8d7h3d 
Kd8d5h5d2h KcJdJc6c2h KsQhJh8c2h KhTs9h8h3h 
JcTh7s3d3c 7s7c5d3s2c As9d7c5c2d JcTd9h3d2s 
Qd9h8d4c2h Jh9d8d3c2h AsQh9c7h2d 9c8d7h6c3s 
KhTc4s4c3s JsTd4h3h2d KsJc7c6d3h 7d6s6h3h3c 
AsJs6s5c2h 9c8h7s6c3d Th9s6c5h3h Qd6h6c4s4d 
Ks7s5h3h2c Kc8h8c7c4d QsTc7s4d3h QhTh9c5d2h 
9h9d5d3h2h 9s8h8d4s3h KcJs9h7d3h Qs8c7h5c4d 
9c8h8d4h2d QdJc9h4s3c Ad7d7c5d2s As8d7h7c4d 
QdTh5s5c3d Tc9h8s8c2d Qh8h7s7c3c KcTs8c4h4d 
Jd7d5h4h2c Ts8s7h7d5s QhTh6h4s3c QcTd8c7c2s 
KsQd5d4h2c Qh8d8c5d2c JcTsTc6c2d KdJd6s3h2h 
JhTd3d2h2d Jc8s8c3s3d JhThTc6h2s KhTc9d4h2h 
KsQc9c7d3h 9h8d6s5d2c JcTc8h4c2s KcTd9h4c2c 
Kc9d6c3h2h As9h7d5c4c AdJh9s3s2h JsJh9c4s3s 
QhTc8d5c3s 9s6h5h3d2s As9s8h3s3c QsQh9d4c3d 
KcJh6d5h3h AsKh9c5c3d 9s8s6d4c2c Qc8h7s6h3s 
KhJh5s3h2s 9s9c7c6c4c Kc6h6d2d2c Js8d8c7h4c 
AsJd9s4h2s Ad8c4s3h3d Kd8c5c2h2d Th9c5s5h2c 
9s8s6c4d2d As9s9d3d2s Kh9h6c3s2c QdTc7c6c3h 
JsTh8d4c3d Js9d5s2h2d AsKcTs3s2s Jd9h6h5s4h 
Jh7c6d5s5h Th9h8h3d2d 9s8h6d5h2c Qh9h5s3d2s 
Ts9s8d5h5c Jc8s5c4c2s Kc9h5s3c2s Td8h7d2h2c 
KdTs7h4d3d Jh6s5s4d2h As9s7d4c3s Jh7s7c6c5d 
9d8s7d6h3d 7d6s6d5c3h JcTh4s4c3d AsJh5s4d2s 
QdQc7s5s3s Jc9d6s3s3d AcJc7c3h2h Td8h7c3h3d 
Js9d6s5s5h ThTd9h6h3h Ah9s8d6s4c 7d5s4h4d3h 
9s8h6d5c3d 9c6d5s4s2d KsTs9s4c2h QsThTc6c2d 
AdQcJc6c2s Qd7c6s5h4s AcKh8s3h3d Jh8h7c6s2c 
Ac9c6c5d2h KdTh8s6d2d KcJhJd8s2h Jh8h7c6d2c 
Tc6h5d3h3c Kd8c6c2h2d KcTc7s7c3d QsJs9s7h3c 
Kd9d6s3s2h Ts7h6s6h2d Js7h6s4h3s Kh6d4d4c2h 
QhTs5h4c2d 9d8h7c5s3c Td8s5s3d3c Tc7h7c6d2d 
Jd7h7c5s4d Jh9h8h7d4s 8d7d6h6c4d JsTs8c4s2d 
QcTs9d5h2s Jd6s6c3d3c KcTh4h4d3d Ac8d3h3c2d 
KdQhTd3c2d AcTd6h5h4s QhQc8c4d3c Tc9c8d3d2c 
KdJc7s6c3h Ah7s6s5c2c QdTc5s3h3d Jd8d6d5d4c 
Qs8s7h7d3h Jh9c6d5s5c KhTc5d3s3h Jc8h7h6d2d 
Kd6s6c3s3c TdTc9h7s2d 9s8h7d2s2h AdJs7c6s2c 
KdJhTh4h2h AdTh9h4h4c Kd6c5d2d2c JdJc8s7h2c 
KsTs8h7s2d Qd9d8h2h2c QsJd8s3s2d Ac9h8c5c4c 
KcQdJc8s2c Ts6d5s4d2h KhQsJs3d2s 6h6d5d4s4d 
Qd9h6d5d5c Kc8d6c5c4c Jc6h5h4s2c AhQs5d4c2s 
KhQs5c3d2h QcJd8s6c2h 9h6h5s5d2d Js9h5d2s2h 
9h8c6d5s3d Ah9h8h6c4h Qs6d5s4s2d QhTd5h3s3c 
JsJh4d3h2d Ad7s6s5h2h JsTs8c5s3s 9h9c5h3c2s 
Td9s9c4h3d QdJc9s8c3c Ah9h6h5s2c Qh9s8h6c4h 
8c6h6d4h2c QsTdTc5h2c Qs7d6h5c4h Qh9s8s2h2c 
Tc6d5s3d3c 9h8h6s5h3d AdTs8h8c2h AhJs8h7h2h 
AdQd6s3h3d KhJh5h3s2s JcTh8h4h3d QhJd6h4h3s 
6d6c5c4s4c JcTs3s2s2c JhJd4h3c2c JhJd4s3d2s 
KsQs7d5c2h QhTs4h3d2d Jd9d8c4c2d KcQsTs3s3h 
AcKh8s7d2s Ks9c8h4c2s JhTh8h4s4d Kh9s7h3s2d 
9s7h4s4d3d 9c7s6c5h5c QdTs8s5s5c Qh7s6h6c5h 
Ks6h5c4s2d JdTh9c5d2d AhJs9c3c2s 6c5h4c2h2d 
KhTc9s8s3s 9s9h8h5c4h KcTs9c4d4c Ts7d6c5d2s 
AdQs9s9c3s QcTh8s8d2c 9s9d5s3d2c AsKs3s3c2h 
Ac9d5s5c2h Ad9d4h3s2s KdJsJd6d2c 9s9d7d6d4d 
Ts9c4s4c2h KcQs9d8h3s 9h9c5d4s4d As9s5d4h2c 
KhTdTc8s3c AhKc6d5s2d Qs8d7d4h3s Ad8s8c4c3s 
KsQsJs4h2s KhTd9c8c3c Qc8s8h7d5s JhJd9s7c2h 
KhQh9h7d3s QsTc8s3s2c JsJd9h4d3d Kc5d5c4s3h 
Ah8s6s6d3d KhJc8c6d4c Ah9h8h8d3h 9c6c5h3h2s 
QsJc9h9d3h Jd7h6h5h4c Kh8h8d4d3d Ac9c7c4h4d 
KhJh9h9c2s AcTc6h3c2h KsJdTd6d2c Qd9c6c5s4c 
Td9h6s6d3c Ad5s4h2d2c Jh9h6s4s2d Qc9h7h6h6d 
QhTd7c6c3s JsJc6s6d3s Qd8c5c4d3d Kd9c7c6h4s 
KdJh9h5c2s QcJd6s6h4h Kh5s5h4c3d JcTs6h4h4d 
Kc5s5c4d3h Jd8d5h5d3h Qs8s6s6c3c As9d8c5d4h 
9h8c5c4s2h AdKs9h3s3c 8h6s5h3d2s Jh9s7s6h2h 
9s8c6s5h3s QcJc6d5c3c JhTc7c2h2c Qd9h8d4s2h 
Kc8h6d5d4s Ks6c5h4s2d JcTh9h2s2h 7h6s6c2h2c 
KcQhJh7h3d JsTs9c2s2d Ad7s6h5s5c 8h7d6d5s5d 
Qh9c7h5d4h JcTs6c2s2h KhQsJd8c3d KdJh9s6c4c 
Ah9h9c3c2h Jd9c7d6h4d Qh7s7h4d3d JsJh9c7d2h 
QsTs9h5d2s 9s8s6h5s4s Ad9h8s6h4c 9h7d4s4h3s 
Js9h5c2s2h Jd8s8h7c4s Td8h6c2d2c Jh9c6d5s4c 
Jh8s6h6c5h AdTd6s5d2c JcTs8h4d3h QsTh9c6c2c 
KcJs7s6d3h Ah8c3s3h2c AdJc9s6s4h TsTh8h5c3d 
Ac9d8h5d4s Tc9c7s5h3c Th7h7d6c2c Th9d6c4s4h 
KdQh9c8s3h As6h6c4h3c AsJdTc6h2c AhJd7c4s3d 
JsJc9d4c3c Td9d8d3h2h JcTs8h5c2c Tc9h8h7s2d 
8c7c6h6c4s AcQh9d7h2s KdQh7s7d2s AcQh9d6h3h 
ThTc9s7d2c Ts8s7s6s5s Qs8h7s7c2c KsTc7s5h2d 
Tc8d4d4c3h 9d9c8d6h2s Qd9s7d4s4d 8s6h6c4s2c 
Jh7h7d5s2d JdTc9c3s2h Tc9c7c5s2s As9s7c2h2d 
Jd9d9c8d5d QcTs9h5d2s AdKh8s7c2s Kh8c6c2s2h 
KsQc5s4s3s KdQd9d7h3c JdTc6d4d3s As7s5s5h4s 
As8h6d5h4h KhQhJc8h2s KcJd9s7h3s QhQd5s2s2c 
Qh9h7c3s3c KsJhTh7d2h Js8s7d6c2d 9h9d5h3d2s 
Kd9d8c4s2c JhJd9s6s3s Kd8s7h5s4c Kd9h8c6s6c 
7s6d4s3s3d Kh8c7s5c4d KdTd5s5d4d QhQd9s6c2s 
Jh9d8h7h4c Kc7c4d3h3d ThTd9h5c2s KcTsTh8d3s 
KhJc9d5s3s Qs8c6h5h4h QhQc4s2s2d AhKs9d9c4d 
Jh7c6c5c4s QcJs6d4c3c KsTd8s6s2h QhJh6s4h4c 
Ts9h8h6c2d QhTsTc4d3d JdJc9h8h2h 8s8d7h6s3c 
Jd9h9d7s4d AsJc9c6c4h ThTc8c5d3s AhQc9d7c2s 
QsTh9c4h4d Kc9h9c8s3d Ad8s7h6d2d KsQh9c8d3h 
9d8c6h5h3h 8h8c7s7d2s KdTh7s5s3c Qh8d5d3s3h 
KcTd9c4s4c Ah7s7d2h2c QhTs3c2h2c JhTc9c2s2c 
KsTsTd7h2s Ts8d4s4d3c 9d8c6s5c2h KdJh5s3s2h 
Kc9c8s7h2d QhTc6d4h2s Ts7s5h3h3d Ad9d5c4s2h 
TsTc8d6s3s AcKd8s6d2d Jd9h9d4d2h Kd8c7d4c3d 
Qh9h7c5h4s 9d8h6s5h2c QdTs9d5c2d Jd7c6c5c4s 
KsQs5c4d2s KdTdTc7s2d KdTd9d4h2c Js7s6c4c3s 
Qc8d8c4d2h Ah9d8s8c4c Th9h6c4c2h KhJhJd6h2c 
9d7s6h6d2h Qs9s8h5d4s Kc8h5h2d2c Jd7h6d4h3d 
AdKh6c5s2c JhTh9c2h2d Js9s7c6h4s Ad8c6s5c4c 
9d7c6d5h5d 7s7d5d3h3d Ks9h7h6d4c Qh9h6s4c2c 
QhJs7h5h3c Td9s7d4c2c Js6c5s4d2d KdTc7d5s2h 
AhQhJh7h3h KdQhTs5c2c KdQh8s8c5s QsTh9c3s2d 
AsQs8h4s2c 9d6c5c3s2d JhJd9h4s2c AsKh9h8h2h 
8h7h6h6c5h 9c8h6c3h3c KcQhJs8c3c Th9h8d5s5c 
Jh9d9c7s4d AhKc8h6h2h QcJs9d4c3c QcJd8c5h3c 
KcQd9s7c3c AhKd8h6h2h Ad9d8h3s3d JdTh9c3s2h 
9d9c5d3h2c Qc8h7s7c2h AsJcTd6h2d 8s7s6h6d5s 
Qd8s8c5s2c Qs9h9d4h3d 8d6s6h5d4d 8d7h5d2s2h 
KsTc9d8d2d Jh9d8h7c3s KcTc8s7c2h TdTc9s7h2c 
AhKd8s6d2d Js8d6c4c2s AsKhTd3d2c KhQh6c5d2h 
Ac9d3h3c2d AdJd3s2h2c 9s8s7d5s4s AsKd9h5h3c 
AsTc7d5c3c KsJc9d8c3c KdJh9c8c2s 7h6s6h5s2h 
KcJc7d3d3c KsQsJh8s2d AdQc8c7c2s AdJh9h5s2c 
TsTh7d3h3c 8h8d7h6h4h Ts9h4s4h2d 9d8c7d6s3d 
KdJd8d5s4d KhQh9h6h6d AcQh9d4s3h 9h8d8c4d2c 
Jh8d8c6d4s Qc7s7c3s3d Qc9h7c4h3h 8d6d5c4s4h 
AsKh8c6h2h KsQs9s7h3d 9s9c5c3d2s Qc9c5h4h2h 
KcJd8h3c2h Jd8h8c7c4s KcTh9d7h2s QsTs8d4s3c 
KsJd7d5h3d QhTc9h5d2h Qc8c7h4s3s QdJd8c5s3d 
KdTd6c4s2h AhQh9s9h4h QdTd9d4c3d JdTs5d4d2c 
JsJh6c5d3d KsTd8s6s2c JdJc9d8d3d QhTd8h3h2d 
Ah9c5d5c3d JcTh9s7h2h JcTs9d4h2d AhQs3h2d2c 
Qc9h8c6s2d 9c8s8h6s3d AhKh7h5d2h AdQhJh6h2s 
Ts9s7d2d2c QhJs9d8c2d JsTc8c4c3d Qc7h6d5s4d 
Ts8s5d3h3d QcJc7c6c5c KsJc8s3c2c KcJh9c5d5c 
QdTh7s7c4s Td9c8s5d3h 9s6h5h3s2d Ah7c5h3s2d 
8s7s6h4d4c ThTd9s7c2h Jc7s6d5s4s Tc6s5s5d3d 
KdJhJc8h2s 7s6s5h3h2d Js7c6c5c4d 9c8h5h5c2c 
Td8s4s4d3h 9c8s6c3s3c Js9h5s5h2h KcJs9h9d4s 
Ad8c6c5c4s KhJs7s5s5d AsTh9h7c2h Ad9s4c3c2d 
Ah7s6s5d2d Ac9c4d3h2h AsJh8c5d3d QsThTd6c2d 
Ac9s8h5s4d QcTs7s3c2h JdTd9h2d2c QcJs6h4c3c 
Ah9d5s5h2c 9h8h7d2h2d AhQc7c6s3c 9c8d5d4c3d 
Td9s6d3s2s QdTd8c4d3h KcJd6d5d3s QsJs6h6c3d 
KsQs7d6h2c Kd9h6c5c2h Td7c6c4d2h Qd8s7d5h4d 
QcTc7s3s3c AdQd8c4d2h AdQsJd6d2d KcQhTh6h2d 
AdTh7c6c3s KcQd9d8s4h 7c6d6c5h3s 9s9c8s6h2d 
9s9d5s3d2h Jd8d7h5h2d Kc9h8s6s6d KsJc6h6d4c 
Js8s7c6d2c Qh8c7d4h3d Td8d6s2s2h QhThTc5s2h 
KcQsJs8d2s QsTd5s4c2h 9d8c7s2d2c KdQcJc3c2h 
Ad8s7h7c4s Th7s7h6h4c KcJd9d3h2h Kc9s9d5h3c 
AdQd8h4d2c JhJd9s4d3d 6h6d5h3d2c 8d7h6h5s3h 
JsTh9d3h2c Qd9c7d6d4h Ts7h6c5h2s Kc8d6h2d2c 
QsQc5d2h2d AsQhJh6d2h Ts6h5s4h2d AcTh7d6d3s 
Qd9d5h4h2h JdJcTh7h2h Jc6d6c4d3h AhJd9h4c2h 
9s7d7c6h4h 8s7s6s6c5s QcJs8c5h3c TsTc9s5d2h 
KcQc9d7c3h Kd9h6d3h3d Jh9s5c3s2h 9h7c5c4s2h 
Kd9s8h4h2d Kd9d8s6h4d 9d6d5h3h2s 6s5d4s2d2c 
QcJd8c5c2s AsKd8h6d2d AdTd6c5d2s KhTh7c4s4h 
Ah9h9c4h3d Qs6c4s4c3h Ts9s8d6h2s 5s5d4d2s2c 
Qd9c8h6d4d Qd8h7s4d3s Ad8c7d4s3d 6h5c4h2s2c 
Th9d5d5c2h Kc9d8c3h3d KdTdTc7h2d Kh9d8c6s6d 
AhTh9h6h5h Kh5c4c3c2h Ad9d8d4h4c KdQsTc5h2h 
QdQc9c7c2s Ts8s7h7c5s JsTh6c4d3h AsJc6s5s2d 
KsTh8s7c3s Qc7c5h5c3h Qc9s6c5h5c KsQc3h3c2h 
Ad7h3s3d2h Ac8s6h5s4s Td9c7d4s2s Td9s5s5h2d 
QsTh8d8c2s JdJc9c8c3c 9s8s8h6s4d AhJh6h5c2s 
Jh8h8c3s3c AsTh8s5s3s Kh6c5d4c2d JsJdTc6h2c 
Kd8s8d7d4h Ks8d7h5h4c AhKd9s9c4c QhJs8h5h3d 
KhQs7h7c2c 9h7d7c6s4s QsQc6d4h3d Qc8h7s5h4d 
QhQc9c3d2s Qd9s8d6c2h Ah9c5c3h2h 9d9c8d6h3s 
KhJdTs7d2d QsQh4d2d2c KdTs9h7s2c Kc9c6d3h2d 
Jh9s8d3s2h Kc6h4d3c2h QdTd5s5h3c Kc8h8d7s5d 
As9s7c4d3s QhQc8c4s3c JdJc4h3d2h ThTc9c7c4c 
Ac6c4h2h2c QsThTd4c3c ThTd7s4s2d Kh9h5c4c2c 
Ts9c7s4h2h QsTc5d3s3h Ts9d6h4s3c KhJs8d3h2d 
QsTc7s4h4d KsTh9d7h2c KdQc8s8c3s 8d7d6s6h4d 
JhTh7c3d2d AdJs9c7s2h KdQd5d4h2s Ks9s6h5c3s 
KsJs9h5s5d JhJd9c6h2s KdTh9c7h2s Qh9d9c4d3c 
As9s9h7s2c QcJh9d4s3h AcTd6s5s4h KhQd8s8c5c 
JdTc4h4d3s AhTd8h5h3h KcQh9h7s3d AsJh7d4c3h 
Ks6d5c4s2h QdJh5s4s3c AcTd8s8h2s KsQsJh8s4s 
Kh7d5s5c3h Th9d8h7h4h AcQsQd7h2h Ad9d7d5s3d 
Js9c8h3h2s Jc9h7s5d3d AdQc6c4h3s AsJd8d7d2c 
JdTd9d7d3d KcQsTs6s2h Td7s7h6c5c KsJc5h3h2c 
AsJc9h9d2c Kc8h6h6c2c JsTs6s4c3d Td7h7d6d4s 
7d6s6h2s2d Jd8s8c7h4s Th9d8d7s2c Jh8c6s6h5h 
Ks8s8c5s2c AhKh4h3h3c QhJh6c5h3h ThTd8h7s2c 
7s7h5s3s3d KcQd9s8c4c QsThTd6d2c JhTd8s4c3s 
KhJh5h4h4c AdKc8h7s2h QhTc8c5s5c AdKhQsQhQc 
AdJd4c2s2h KsQc9c8d4h Jc6d5d4h2c Kh8s5c4s4c 
Qd8c7s5c4h 8d8c7s6c3h Qc5h5c4h3c QcTd9h4s4d 
QdTc8c7s3h Ac9c8h8c3c AcJs9h6s3d Jd9d7s6c4d 
As9s9h3h2s Ks8h8c6d5d 6h6c5c4d4c Tc7h6s3s3h 
Ac9h5c4d4c Ks9d8d8c6d Qh6s6c4h4d QhJc7h3h3c 
KdQd9s9h3c Ac8s8c6c4c Jd9h8s3s3h 9c8d8c4d3c 
AdJh9s6h3c Ks8c6s5s4s KdJh9c7h3h Td9s9d7d3d 
Jh9s8c6c4d 9c6d6c4s4h 9d7h4d4c3c 9d8d8c4c3d 
AcKd9s9h4s 8h7c5s5d4c QhJh9h6s6h AdJh8h7h2c 
JcTs9d7s2s TsTd6h5c3h Kh7d7c6s5s JhTc9c6c2d 
9h9d8h6s3c 7c6s6c4h2s Ah5h4h4c3d Tc7d6d6c2h 
9s8s6c5d3s 7s7c5h3c2s KhQc4h3s3d JsJh4s3s3c 
QhJcTd7s2d Qd9h9c4d2c QcTc7h7c5c 9d8h7s4h3s 
Tc8d6s3d3c Qc9c8d3s2s 9s8s6h2h2d Kh9d6d2h2c 
QhJc9s8d2s 9h9c5d4c2d 9s7d6s5s5c Ac9d7d4s3s 
JsTh8h4h3d AhTh8h4h3s Jc6s6c4s3h Jd9c7c5s5h 
JsJc4s3d2d AdQs5c4h2s AcQsJs6h2s QhJc8c5c3d 
QdQc7h5h3h Ah6c5c4s3s 9c8d5d5c2d Th8d5h4d2h 
TsTh7d4d2s Jh8h5s5c2c 8d7s5h5c4s Js7h6d3s3d 
JsTs6s4h3d KdTs3s3d2s Jc9s7d5h3h Qc7s6h5s4s 
JsJc4h3c2h Ks9s8c6h4s AcKdTh3h2s Tc9h6h5s5d 
AhJh9d6h4h Jh9d8c7s4c 7h6h6d5s3c Ah8d3s3h2d 
KdQd5d4h2c Jh9s7s6c4d AcTh8d5s3s KdQs6d5c2d 
Ts9d5s5c2d QdTs7d4h3c Jh9d8s3s2h AsTd5h5d4c 
9c7d6s6c4h KcQc5c4d2s Ts8s6h2h2d As9c3s3h2c 
Qs9s8c7s5s 9c8s6h5h3h QcTdTc4c2s AsTc9c4h4c 
9s8s5h4h2s 8d6d5s3h2h 7d6s5c2s2d AcTh9d5h3h 
7d6c5s5h4h 9c8c6s5c3d Ah9h7d4s3h 8d6s6h4s2d 
Js9c8h5s2d Qs6h6d4s4c Jc9s7c6d4c KdJh8s7s4s 
KhQsJs7s3c KcJh5d2h2d AcKd8h7s2h KsQcTc3h3c 
JhTd3h2h2d QcJs9h4d3s AsTh9c4d3d AcTc6d5c2h 
9c7s7h6d4c AdJh6c4d3d Qs9h7s6s4d Ts9c8s3c2s 
QsJsJh4s2s 8s8h4c2s2c Qc9c7d6c2d Qc9h8c2h2d 
QsJc9h6h4h QsTd4s3h2h Qd9s9h4d2s 8c7d6d5s3d 
Ad9h5s5d2c Ks6c4h3s2c JcTd3d2d2c JsTd6h3d2h 
KsQd9c8s4s 9c8h7c4d3h Js9s4h4c3c Qd9h5h3d2c 
