AhQh9d8s3c 
AcKcTc8s3d KdKc8h5c4c QdTc8d6h3c QhJdTc5d2c 
AsQhJs7d4s As9s8d4d4c AcTd8s7c2h KsKh9s9d3s 
JhTc7h6c4h AdJsTh6d4d KhTh9d7h3d AdQcJs8h7h 
JhJc9h6d3c AsQs9s7h6c Td9s7h6d5h Jd9c8s6s5c 
KdJc8s7h6d KhKdJh9s4h KsQcTc7c6d QhJh9s8s5h 
QsTd9s8s6h KcQhJh4c2h KhThTc8h4c KdJc8d5c4d 
AcQsTh9s6s JhTc9h6d3c AhJc9c3h3c JsJc9s5c3c 
AsQhTd8d5c JhTh9c8s4s QhQcJs7c2h KdQhJcTh2s 
KsJhTs9d5c AsTh8s4h2h QcJh9d8h3c AsKdQs8s8c 
KdQdJs8c7d KsTc7c5s3d QdQc5s4h4d JhTdTc9h8h 
KdJdTh9s2c KdJc9c8s2d JhJd8h7h7c KhQdTc8s6c 
AdTs6s4d3s Kd8h7h5c4d KhTd9s4d3h KsJdTh3h2s 
AcJcTs8c6c JdJcTc8d3d Qc9h7h7c6d JdJc9c7s7h 
AhKs7h5h4c QsQh8s7c3h KhQcTd7c2h QhTc9h7s4s 
QhJdTc6s5h Ts9s9c7d5d QsQcJs6h4d Kc9s9c6s6c 
AhQdTd8d5c Ah6h5s4s3d Ad8s7d5s2s KcJhTc5c4s 
AcKdTh7s5s QdJh9h9d3c KcTh7h5d5c AhTd5d3h3c 
TsTd9s7c6h QsQhJcTc7c AcQc7d4d3d Ks9s9d8s6d 
KhKc9s3c2s AdQd9d8c5h QhQc9s8h2s AdTc7s6d2c 
AhQsQh9h3c QcTc9s7s3d KdQdTs5d3s AsQc9h8s4d 
KhQs6s6h4h AhJsJdTd3d Kh8s7s5c4h Kc8h7d6c4h 
KcQsQhTd5h Jd9d9c8h6h QsTd9d7c5c AsQs7h5h2d 
AsQhJh8d8c JhTs9c8h2c JcTh9s6c4s AdKsTc9s5s 
AcQhQd4s3d 9s8h8c7h6c QsTs9d9c4d AcKc9d8s4h 
QcJcTc9d6s KdQdTh4h2c AdQc3d2s2c TsTd9c7h7d 
JdTs7s7d5s AhKc9s5s5c As8c6s5d3c JhTd9s8h2s 
KsJdTc3s2c Ks8s8c6h5h AdQhTd8d3c QhTd9d5h4d 
Kc9c8d7d5d AhQs3h2s2d AsKhTc8d6d AhKsJh6d4h 
KhThTc7s6h JcTs9h9c7d AcJhTd8d5d QcJh7c5s4s 
KhKdTc7d2d QdTc9h8h5c KdQcTc5h3h AdQsJh7d4d 
AhQd9s8d7c AhKs8h6d6c QsJcTs4s2c KcJdTs9h6s 
JcTh8d8c7s KcJh5h4c3d QcJsJc8d2s AhKd9c3h2d 
AdKc8d7s3h KdTd7h7c6s JhTc9h8d2c AsKdTc8d4d 
Ah7d7c6d3h KdKc8c5s3h AsJhTd8s2s KhKc8d4c2d 
KsThTc7h6d AsKs8c6h5s KcTsTh7h6d AsQd9d4h2s 
KsTd9c6c5d KhQc9c8h3d AcJd5h5c2d AdTsTc9c8c 
AdQd7c5h2h QdJdTs5s5d JdJc9c7s3d KcQd6d6c4c 
KdQs9c7s3d Ts9d8c6s6d QsJd7c6d4s AcTh5d5c3d 
AcKhTs7d5d AsQdQc6c4h Tc9c8d7d5s KdJd8h7s6c 
KhQsTs8s2h AsTdTc6c5d JdJc9c8d2h QsTh9c8s7s 
AcJsTh8d5d KsQsQdJs2h QcJsTc5s5c KsQcTc6c2s 
JsJh7s5s4h QhQd7c6c3h Ts9h8c6s5h AcKhQdJd2d 
AdQh9d2h2c ThTc9h6d5d KcQs5d4d4c AhQhJsJh3h 
Ah8h6c5d3c AsKsQc8s7s JhJcTc8h2h Th9d7s6h5s 
JsJd9d7h7c KhKcQc8d4s QdJdJc5h2h AsKcQd3s2h 
AdTs7s6d3d AdJhJcTs2h KsKc9c7c4d AhQsTh5c2d 
AdKd9d8h6s AsKhTc8h4h Th9s7s6h5s Td9s8c6d6c 
AdKdTs4c2h Ts8d7d6s4c KdQc9s7c3d Jd8d7h6s5s 
KhKdQs8c4d As6s5h4h3d KcQhJc9d5s AhKs9h8c6h 
AsKhJs3d3c AdKcTh9c5c Js9h7h6s5h JsTc8s6s6c 
Kd7h7d6s5h QhTs9h7d4d As9c8d5s2c QhQd5d3h2c 
KcJs9h8c4s KcTh9h9d8s AsQhTh9h6c KcJcTd9s4h 
JcTd9s8c3s JdTc8d6c4d AdTc6d5c2h QcJsJdTd5h 
AhQs9d8s7c AsKc8s7h3d KcQdJdTd8d JhTd9c6h3c 
JcTs9h8s4h As8s6c5h3c JsJd8h4s4d AsKsJs9d3h 
AdJs4s3h3d TsTh9h6d5d Kc8s8h7h5c JdJc9d8s4c 
AcKdTs9d5d QhQdTd6s4d KcJd8s6s6c QdTd7d6s5s 
QsJhJcTh5d KcQh5c4s3s AsTs6s6h5h AcJsThTd4h 
JsTh9s8c3c KcJcTs9d2h TsTh9s7d6c As9s8c4h4c 
Kc8s8d6d5c AcQcTc7h6c AhKs9h7d3c KsJh9d6s4d 
As8c7s7d3c JcTh9h4c3s JdTh9s9d7c JsTc9d8d4s 
AdJdTd7s6d AcTc8s7h3d KdJc9d8c3h KhJdTsTd7d 
QdJhTs9h7h KsKh6c4s3s KsJc9c6d5d QdTsTc8h7s 
KcJh9s8c4h KhQdTc6d5s KcJd7c6d3s TsTh9c7s7d 
QdTh5h5d4c KcQsJdTs3h AcQd9d4h2c KhKcQs9h2d 
Th8h7d6s5d AsQcJd9s4s AcTsTc4s2s JhJc7h6h4c 
KsKh7s3d3c KcJdTd5s4h AsQsQh9s3c Ts9d8d6h5h 
AhTc9d6s6h AcKcJc5s3d QsQhTd9c4h AhKsTc9d6c 
KhQdTc5h2c AhTs9s4s2h AdJhTd8d4d AdJs8h6d2h 
KsQc9s8c4d KdQdJh9s6c AsQs9c4d4c KcJh9h6d5d 
AsQcJs9d6s JsJcTs3c2d QhQcJs6c4d AhJdTh6h2d 
9h9d7h7d4s AhQc9s5d4h KhTd8d6h4h KdJh9c5h5d 
TdTc8c6d4d KcQsTd6s5h KdQsJs3s3d QdJsTh4s4h 
KhThTd8c3d AhKcQh8s8h QdTc7c5c4d QdJd9c6c4h 
AdJd8c4c3c KhTh7s7c6d QhQdTd6s3c Td9h8h6c5c 
KsTd9s6d2h KhQs8s5d3h AcKcQc7c5d 8s7c6h5s4c 
QhJdTsTc7h JcTh9c8s3s Ah9c8s6h3c KsJdJc9d4c 
Ah8s7h7c3c Tc8h7h6s4c AcQcTd8c5c AcQs7h6d4c 
AsKs9d4h3h TsTh9d7h6c KcQdTd8d2c Jh9c8d6d5c 
AhJd7s7c6h QsTd9h9d5h AdKcQc8s8h AdKsJcTc6c 
AdQh5d4h2d JhJd5s5d4s KcJdTc4s2s KcQdTc7h2d 
KhQs9h8s4d QdQcTh4s4d Ah9s8h5s4h KhKcQc7s3d 
Ah9c8d4h4d KsKdTc4s3s AhQs9s4h2d Jh8d7d6h5c 
AhKc5d4c2d AhThTc9d5h QcJsJh8d7h QcJhJdTh3s 
Th9d8c6h6d QsTh8s7c4c Ac8c7s7d3s KhQc9h6h4c 
AcKcTd8c3h QhQdJd6c4s KdTh6h5d3s AdKcQh8s4c 
KhTh8c7h6s AcQs5s5d4d AcKc6c5s4d QcJsJdTd3h 
QhTdTc8s7d KhJsTh4d2d AcKdQs8d6d AdKd6h4s2h 
9s9c7s5h5c AhKc9h8d6h KhKd9c3h2c KdKcQc7s3h 
AcQcTc8d3s AsTc7d3s3d QsTh9d8d3s AsKc8d7s4s 
KhQc9c6c3h 8s8h6s6c4c AcJhTc6c2h KhQh9d6d3c 
KhQs9d8h8c AsQs9c4h3h Jc9s9h7h5s KcQc9d6s6d 
KhJdTc8h4s AcTc9d5h4s QsTc8s8h4c JhJd7d7c4c 
KsKc7c4h2h Qh9c8s7c6s KcJcTs5s5c AhJsTs6h2h 
8s8h7c6c5h AsQdJd7h6c KhQc6d5c2h JdJc6h4d4c 
QhTc8h8d4c KsQc9s8d4c KcQsJcTd4c JcTd7d7c5d 
JcTd9s9c3s AsKhQd5d4d KcJsTd9h4c AcTs6s6c5c 
JcTs7h6h5s AdKsJhTh6h KsQd6h5d2s KcQhTc7h2s 
QcJd9s5s3c KcJd9h8c4d KdJc9h9d8d KdTc9s9c8h 
KsTh9s6h2c AcQcTc8s6c AhQdJh9c6h QsQh6h5s2s 
Th8c7s6s5h KsJhTh5c4d AdTh7d6s2h KhQdJs5s5d 
KdJs5h4d3s JdTd9s8d7d QhJhJd9h8h Js9s9d6c5c 
AdTsTc5h5d AhJh9s7h6c QcJsJd8h7d KsQh6d5h2s 
AsKcJc8d6c Tc9h7h6s6c JsJd9s8d2h JsTd9h5h3s 
KdJsJc8s4c Qd8s7h6d5h Tc8h7s6c4s AcQhJd5s4h 
Td8h7h6d4c AsQsQhQcJc QhQcTd9s4h Kc8s8c6d5d 
KcQsQh8s2h AdQdTd8s5d 9d8d8c7s6c JsJc5s5h4h 
Jc9c8s7c6s KsTc7s6d5h KdQcTc6s5h AhQsTd9h2h 
QcTh9d8h6s As9c6d5s3d KsTh9c4h3s QhTh7h6d4d 
KhJh6c5d3d KhJhTc9d6h AdQsQdTd2d AcKh9d5h5d 
KsQhQdTc3s QdJcTh3c2d KcQd9c5c4d QsTh9c7s4c 
AsKsQs7s5h QhQdTc5d4s AsQhJdJc7h AsQs9d7d4s 
KcJsTdTc2h AdKd6d5h4c KdQsQcJh2c KsJcTs5s4h 
QsJh7s7h6s QhJc5h4d4c QcJhTc4h2h KhQhJdTs6h 
JhTc9h6c4c KdJdJc5s2s KhTs9s9d8c Ah7d6h4d3c 
KhJhJd4d3h AhJdTh8h6h AsKd9s7h3c KhKc3d2s2h 
JsTs9h8s5h AdKh8c7h5h AsKsTs8c3h KsTc9c7h6d 
KhJhTd4s2s AcJhJdTh3h QhJhTc3s3c JhTc9d9c4d 
KhQdTc8d7d JcTh9d5d3c Js9s9c8h8d KsJsTs8d6c 
KdTh7h5d3s KhKdTd9d3d KdQsQc7s2c AcQcTc8s8c 
KsQdTs7h2d QdTh9c7d3h QdTh8c6c4h KhJdJc9d4c 
QhQdTh6s3c As8s7h7c3c QsJhTd4h4d Jh8h8d7s6d 
QcJsThTc7c JhTs9d7h6c KdJdTs9h4c QhJsJh8d2s 
QdQc8s8h6h QcTc9s9h4s Ah8c7h5c2c TsTc9c8s4h 
QsJcTh8s4d Ah8h7d7c3d AhTc7d3h3d Tc8s7s6d5d 
AcJdJc9c4s KhTs7s5h3c QdJs6s5d3h KsKdQs7c3h 
QdTsTc3s3d 8s8h6h6c4c KhJsTh9c2d AcKc6c5d4s 
AcTs9s4c3c KhJsJcTd2h AcQs6h6c3h Kh8h7c6c4s 
AsJs9s5c3c KcJhTs3s2c KcQdJc5h2h KhQs7s7h5h 
KsKd5s5h5d Th9d8c7c5h AsKd7s7h6s AhQsQd5h2h 
KhQdTsTd6c Ks8h6h5s4d KsKdTc9h4h Kd8s8d7s6d 
AsJsJh6d5s Kh8s7c6h4s AhJhTh6s4c KhQhQcJh2s 
JcTd9d5h3h AcJh6h4h4c AsKs6c4h2c As8s6h5c3h 
AhJh8s8h5c Ac9h9d4h4c KdQsQh7h2s QhTc9h8s3s 
JsJc8c7d4d QsJsTs8h6c KsQdQcTc3h QcJhTs4s4h 
AdJsTd7d3h QsQh7d6d3h KcTs9s9h8d AhJh8s6c4d 
8d7c6d5c4d AcJdTc7c3h As9s8s7h5d KsJd8s5d4s 
AhTsTd6d5s JsJhTc5h2c QsJdTsTc6h QdJd8c6h4h 
KcJcTd9s2h KhJdTs8h4c JcTh9h8s4s JdTs9h5h3d 
QsJhTh8h8c Kh8c7h6c5h AsQcJc9h7c KcQc9d7c5d 
Ts9c8d7s5d Jd9s8s7d5s KdJhTh5c4s KdTd8h8c7s 
KhQcJh9s5d AcQhQcTc2c KdQcTs6c5h QhJdTh4h2d 
KcJcTc8h6s AcQcJd7h4c AsTs8s7c2c AcKc8c5h4s 
KcQd9h7c3d KdJh8d6s4s AdQh3d2h2c QdJs7h6s4d 
Kc8c7d5h4d QdTdTc6c3c JsJhTh3s2c KdQc9d5s4s 
KsQd7s7c5c AsKcJc8h6c QsTsTd8d2c AhKsJc5s5d 
KhKd7h3s3c QcJs5s5h4c KsKhQs6c2d AhKs7s7h2s 
AdKs7d7c5d Qs9s8h7c5c QhJh9d8d5h JcTc9h8s4s 
KsTs9c7s3c QdQcJh9s6c QdTs9s8c6h Kh8c6c5h4s 
KhQh8c7s6d QhTc7h5c4c QdJh9s5d4s AdKhJd6s4d 
Kh8c7d6h4c QdJcTh5c2h Kh8s8c7c5h QsTc9h7s3c 
AhTs8h5h3s Ac8h8c6d5s TsTc7c5s4d QcJdTc5d5c 
Jd8s7s6d5h KhTc8s7h7d QhJsTh5c4h KdJd7h6h4h 
AdKhTs5c2d AdJhTc7s4h KdTd7c6d4c AdJd9c8d6s 
AhTs9h5d3c KdQs9s7c3d KsKd8s6h4s Th9c7c6h6d 
QsJhTs7c3c QhQc6h4c3h KcJhTc8c6d Ac8h6c5d3h 
JcTs9h8c3h KhQdJsTd2c Ah9c8c5h2c JhJd6h4h4d 
Ts8h7d6s4d QsJd9h6h4s QhTc6c5h4h QsTh8h6c3s 
KsJh9h8c2s JsTd9d4h3s QcTs9c5h4h KdJdTh9s6d 
Qh9s8d7s6d AdKs7h7d5d AdJc8s6d3s AcTh9h2h2c 
Ad8d7s7h3h QsJh9c6h4s QsTd9c8d6h TsTc7d6d5c 
AsKcJc9d3h Kc9s9h8h7s KdJh7d6h3s QcJcTc8s6d 
AcKdQhJh6h KdJsJc9d7d QcThTc8h2d AdQhJs7d4d 
QdTs9s7c5c KcQd6c5d3c JcTsTd9c8c KsJhTs8c5d 
KdQhQdJs2d 9s9d7d5s5c QhQd9s8h3s QdTh8s8d4h 
AdKdQdJd2h Ah9c8s4s4h Qc8d7h6d5c QsJsJd7s4d 
QsQc9d8s2d KcJhTc8d5s QdQc7d6c3c KhJs7s6h4h 
QcJs9s9c3d KcThTd7d6s KdTh9d6h2s AhQhJc6s6d 
AsKhTc9h5h AdJdJc9d4h QhTc9s9h4c KsKdQdJd5d 
AsJs9d5h3c AsQd4s3d2h JsTc9s9d7h QcTc8d7d5c 
AsKs7d4s4d KdQhTh7c6h QcJsTd8d6d KhKcQc6c3s 
AsQsJs9h6c QdQc9c7d2h AdQhTd5c2s QhJd9c8d2h 
AhJc7d6h4s AhJs8h5s2h 8s7d6h5s4d Ad9d8d7c5h 
KhKcTc9c3c KcQhJdTh2s JhTc7s6s5c KsJsTc5s5c 
KhKd9h7h4s KcJsTh9d4c KdTh8s7d7c As7h7c6s3c 
QcJsJc8c7d QhQcTd9s4c AdTs9h6c4d QcTsTd9h7s 
JdTc9d6s3c QhJc5h4c3d QsQhTc9d4h QcJc8s6d4d 
KsJc9c5s3c QsJd7d6c4s JcTh8s8h4c QdTc9s9d7h 
KhQd7d5h3d KsKhQc4c3d KsJh7s6d3h JcTs9s8h4h 
KsKhQd8c4s Tc9h9d6c5h KdJsTc7c6h Ah9h8s7d7c 
JsTd9c8s3c AsJh9s6h2c AsKdQd9d6h AhTsTc6s5c 
KsTs7d5h3d AdQs5c4h4d AsKsQsJs2c KdKcTs7c2h 
QsQd6s6c4h AcKh9d3c2h KcQs8s5h3c QcTsTd9d8d 
Kh7h7d6d5s AhJhJc5s4h KhTh8h7d6s AsTd9s4c2c 
AcKh8c4d2d QhJs9h8s2c QsQcJhTd6d KcQsThTd7s 
QhTh9s9c5c JhTc8h5c4h JsTd9c6s4c 8s8h6h6d4s 
QcTh9d9c3d Jc8d8c7s6d KdKcQs7h3c 9s8s8c7h6c 
AdQc9h4h4d AsQsQdTs2s QsJd5s4d3c AsTc9c4s3s 
AcKhQd3c2s JsTd9s6d4d AsKs9s8h3h QcJsTh8c5d 
Ah8d6d4h4d KhTc9d6d5c AhQh7s5c2c JdTc9d7s3s 
Ad7h7c6h3d AdKd9s8h4c AhQc7h5s5d KhJd8h5d4h 
AdQd9h7d6c QhQdJc9s7c Ad8h6h5c2d JsTd8d8c4s 
AhQdJd9s7d AcQsJhJd7s KhQsQc9c7c JdTh8c7h6s 
AhJsJcTc6d AhQhTc7h7d KdQh7h5d3h QhTh9c7c3s 
KsQc8s6c4s Jh9h8d7h6d KsKhJs4s3c QsJhTsTc6d 
AsTd9h6s6c JsThTd8s2d Js9d9c7d5c AcQcTs8c5c 
AhKs8h5c3d JhTs9d7d4s JhTd9h8c2d KdQdJs9h6c 
AsTs9s8d7s AcKcTc7s5c AhKhTs4d2c Ac6d5d4d4c 
KdQs6d4s4h KhTh9s4d3d Jd9d9c7c6c KdTc9d5c3c 
KsTs9d6d2h AdKd9d8h8c Ah7d7c5s4h AdJdJc6h5d 
KhJc9s6h4s AcKc9c8s2s JhTsTc7h3s QcJh9c8s8d 
KcJc9d7d4d Jc9s8d6c5d QcTs7h6s4h AsJc9h5s5d 
Th9c8d6h6c AhJcTsTd4s Kd7d7c5c4s JhTd9h8c3c 
AhQc9h8s3d QdQcJs6c4h Kd9d7s6d5s KhQhJs9d6c 
AhTd6s6d3h AcQd9c2s2d KcQsTs5h3h QsQcTs9h4d 
AsKc8s6h6d QcTsTd8h7d QsQc9s7d4d KsKd7c4c2s 
AdKs9c8h7c QcTh9c8s8d JhJd8h6d4d AcQhJh9d7h 
AdTc7c6s2d QhJsJd8c6h Kd9h9d8h5s AhQhQcTh2h 
KdTd9s9c2c ThTc8h5c4d AsJh9s6h4s TsTd9s8d4h 
AhTs9c6d4h KcTsTh8h3c KdQdTd9s8d AdJh8s6d2s 
Ac6c5d4s3d AhKc7d7c5s AhTs7s6d2h AcQc7s5h5d 
QsQdTd3d2s Jc9h9d6d5c Qd9h8c7h5d AcKh8c4s2s 
KsQd9s8d4h KsQs9c6h4h AhKhJc8d2s KdJs8c6d6c 
AsQs9d4d4c Th9s8h6d5d As9s7d5d2c AhTd7d6h3h 
JsJd7h4s4d AdQdJs5d3h KdJdTs9c6d QcJhTs8d6h 
KcQh9c5d4d QdQc8c6h6c AsQcTsTh2s JsJh8c7c4s 
QsTc9c7d5d AcKc9s8c2s AsTc9c4s2c QsJhJc8d6s 
QsQd9c8s3c QhQcTc6d3s Ac9h8s5c2h KcTc7s5d3s 
AhKcJh3s3d AcKd9c8h6c AdTd9c8d7d QhQd9h8s4s 
Ad8s7d5c2s JsJh8s7s7c AhQhJh9h9c QcTs7h6h5s 
Td9s8d6c5c KhQh9s6s6d KhQs9c8h8d AhTd8s7c3h 
KsJd8h7c6s JsTh9c5c3s KhQc8d7h4d Jc7d7c6s6d 
AsJd8c4c2s JdJc7d6d4c Th9h9c6c5d KsKd6s3s3c 
QdJs7d5h4h AcTh9c4h3c QsTd9h8c7d KdJh9h5d3h 
AhJh9d3d3c QsJhTs6c4d AcJsJd8c4c QhJdTc8s6d 
Js8s8d6d5c Ah6h5c4c3d Th9c8s7h5c AcQs6d6c3d 
AhQs4h3c2s 8c7s7h6s6c QsJsTs9h6c QhJdJcTd3s 
AsJs8d6c4h ThTd9c7d6s KdJdTh4c2c AcKhJc5c3d 
AdQdTd8s8d Js8c7c6s5h AhTsTd7h3c AhJd9h6d2c 
AsQsJd7h3c QsQc8s3d3c QcJcTc9h6d KhQdJh8s3d 
AsKs9h5s5h Ad6d5h4s3h AcKdTs8h6h Js9s9c7c6c 
AdKs9d4h3h AcTc9s9d7c AhJd8s8d6s JsTc9d6s4d 
Ts9c8s7h5c Kh8h8d7d6h AdKhTs8h4h QhJdThTc6s 
QsQh7h5c2s KsThTc9d7h QcJsTh7d6s KsQhTh7d6h 
QdQcTd9h4s Ad9c8h7c5h AcQsTc5h2d QdJd7s5s4h 
AsJd7d5s2d JsTc9s8h2h Qd9h8s7h6s AsJd7d6h5h 
KsJh9c6h5c QdQcJs9h7h AcKhJsJh2h AcKc8h7c4d 
AdTd9h6s4c AcJh8d6c2d KsQd6s5s3d Qd9h8s8d6s 
9c8s8c6h5s KsKh8c6s3d KhJdTc7c6s AhKd9s8h4c 
QsQd9d8c4c AhJc8s4s2h QsJc5h5c4s KhJc8s6s6h 
AsJd4h4d3s JsTh7d6d5h QhJhJc5s2s KsKh8s5c3d 
QcTsTh8h6d AhKc9s8h4d AsQsJs9h6d Kd9h7h7d5c 
AhKd9h8s6h KcJh7c6h3d AsJd8d8c6c Ac7s7h6s3c 
AsKh9s8c6s JdThTd7h3d QdJd9h7d5h KsQhQcJd2c 
JcTd9c7s3s QdJs9h5h3d KsQc7c6h4h KsQh9h6h3s 
KcQdTs9c2h AcJd7h6d5h KdQsJc6h5c QsJhJd9s7s 
AsTs8c7d3h As8s7h7d3d AhQsJh8h5h KhJc9d6h3c 
AdQd9h5h4d KdQdJsTc6d AcQd3c2s2d AdQd9h4h4c 
KcQh9h6h3c Ts9s9d7h5h KcQsTc7h2s AhQh9s4s4c 
JdTd9c8s4s AhKh7d4h4d AsQhQd4c3h Kc9c7c6s5s 
QhQcJdTc6c QcJs9c8s2d KcTd9d7h2c QsTd9d7h5h 
