Qd9h7d4s2h 
KsJh9d5d2c KsJh8c5c3d 7d6s4s4c2c KsJs7s6d3s 
Kc8c7d2s2d 7s6s5d5c4s KhTs9d3h2h Td9s7h3s3c 
Qc8d7h4h2c AcKh9s5s2d 7s6d4c2s2c Ts9c8h4s2d 
Jc9h7s7d3c 9d7s7h4s2h 9s7c6h5d2c 6c5c3h2s2h 
Qd7c5s5c2d AdKc7d3d2h 6s6h3s2h2c Qs9h8c7c4d 
Jc9h7s7c4c QdJh7c6s3s AhTh9h6h3h 9c6s4d3s3c 
Ts9c3d3c2s Qd9s7d4c2s Th8h7s6h3h Jd9h5h3d2d 
Qh9s7s4d2h Js9c5d4h4d Jh8h6s5d3h KhJs5s5c3s 
KhTh7d2h2d 8s8c5s2s2h 7s7d4c3h3d KdTs6h3h2s 
KsQs5s5h2d Ts9d5s4s4c Tc8s8d6h3d TsTc7s3c2c 
KdQh9c4s3h KsJs6s6c3h KhJs9h6c2h Jd6s5d3h2h 
Ac9c6s4c3d 6h6c5d4h3h Jc9s9h8s2s JcTc8c4h2c 
QdTh9h7h2c Ah6s6d3c2h Tc8d7d6s2h Jd9c6h4s4d 
QcTs9d3s2h Kh8d6h3d2c AhQh7h4s2d Kd8c5d2d2c 
Qc6h6d5h4s Th7s5c4s3d Ah8c6d3h2s QdJh7s4c3h 
9s8s6s5h3s JhTd6s5c2s KdQc9h7s3h 9d7s6s4d2d 
Js9c6h5d2s KcTc5d4s2c Jc7h6s6h5h JsJh9c3d2s 
9s6s5c4d3s QhJd9h3h3c KhJs3s3c2c 7s7h6h4h3h 
Qh8h7d4h3d KcJh6d6c3c QdJd7c3d3c Qd8d6h5d2s 
8s8h7d6d2d Th7h7c4c2h JsTc7d6c2h TsTc4d3c2s 
AdTh6d4c2d 9h7s6c4s3s JcTc5s3h2d Ah9s6s5c4d 
9d8d6c3h2h 8s8h5s4c2s Kh8s6c3h2s Qs6s6h2h2d 
Th9s7d3s3c 9c7d5s4h4c KcQc9h9d2c Ts8h6s5s3c 
AdJd7d5s2d JdTd6d4d3h Jc8h6s6c4c Tc9s9d6h2h 
Th7c4c3h3c Kd5h3d2h2c Qc8c7s6d3h QhJc8c4s4c 
QhJh8h5h3d QhTs6c4s2d Jc9c5d4h3c 7d6s4h2h2d 
Kh4d3h3d2d KhJd7h2h2d As9d8s4s2h 7s7h6s3d2d 
Kh8h5s5h4c Kh9h8s7h3d AcKd8s3d2h Kd7c5h4c2h 
Jh9h8h8c4d Kd6c5s2h2d QhTd8c7s2c KcJhJd8s3s 
JsTc5h5d2s Td9c6s4h3s 7h5d4d4c2c 7h6h5d5c4h 
Ts7c5h4c3d Qh9s9h8h3d Qh9h6d6c4h 7h7d6c4c3c 
Kc9s8d6h4h 7d6d5h4c2s JdTs7s4h2c Ts9s7h3h2s 
Qs9s7c6s4s 8d7s6c4h3h 9c6h4s3s3h AsQc7s7h2s 
AhQc6s4c3c Qc9d8h5h3s Js7d5c4c2d Th7s7d5c3s 
JdTc7c3s3c AsJsJhJc7h Jd6c5d3c2h KdQs4s4h2c 
QhTc6c5c2d 8s8d6h2h2c Ad8d7s7d3d KcQd4s4d2h 
Ac8s7h3c2d 9h7s6s4d3s AsKh4c3h2h Qh8c7h5s3d 
Qs9d9c5s2h QhJs8s4c2d Jd9s7d7c4d AhJh8h4d3h 
TsTd8c4d3h Jd9d6c3c2s Jc7c4h4d3h JdTd7d4c2s 
8h7s7c6d3d Jd8s6h5d3d QsTc5d4c2h AdTc8h4h2s 
Js7s6c4h2c KdTc6d3s3d Ts9s8s8h4d Jd8s6d5h2c 
Th7s6s4s4c KcQc6s4c2h Qc8d6c5c3s QcTd8h7h3h 
Kc8c7s5c3h 8h5c4s4h3c KdJd8s8c3h 6s6d4s3c2c 
9s7d5d2s2d AcJs3h2s2h Ts9c7d6h2h Ts5h4h3s3c 
Th9s7d4c3c Qs9d8s6c3s Kd9h7c5s3c Qc9c8d5c3h 
Jc9c6c5d4c QsJd7c6h3h Th9s5c4d3s Kh8d5d3d2h 
Js9h9d5s2c QhTh7c5d2s QdTh5s3d2c 9d8d6s3h2h 
Qh9d5s5d2s Kc8h5h3h2c 8d7c4s4d2s QcJd7h6s3s 
8d7c6h4d3d KhTc7h5h2s QsQdQcJc8d QcJs8h7d2s 
Kd5h4d3h2d As9d9c7c3c KsTc8d7h2h 8h8d6h3h2d 
JhJd3h3c2s Qs9d9c5h3h QsJc8d4c3h JcTd4d3s3h 
Td9d8s8d4h 9d8h5c4s4d Ks9s8s5d3c QcJc3s3c2s 
KhTc7c4s3c Qh7c5s4h4d Jh7h6h6d4s 9s7d6s4d2s 
Jd8d4s4c3s Qd9c8d7h4d Kc6h5d4s3h KsQc9d9c3c 
Ts7s5s5c4h Jd8h6d2s2h Ad7c5c4h4c Kc7c6h4s4c 
Jh8s7s4c2c Jh8c7s5h3h Jh8h5c4s3d JhTd6c5s2c 
AcTd8h4d2s Ah4d4c2d2c Js9s5s4h4c QsJh7d6c3c 
KdJh4s4c2d Ad9h6s5h4h Kd5s5h3s3c QdTd6s4c2d 
KcQs8d4c3h Jc7h6d5h2d Jh9s7h7d4h QcTs5d5c2h 
AhQh7h7d2s Ts7d6s6d2d KhTs8c7s2s 9d7d5c3h2h 
6s6c5d4h3d Ts9h8h6h2h KdJh8s8h4h QdQc8h4d2d 
Jc9h8c5c3c 9c7s6h4s3s Td9s9h5d2c AcQc8s6c2c 
Qd6d4s4d3s QsJs8h6c2s JhTh7c5s2h AsQs8s4d3s 
Qd9h6c4c2h Qc6c5s4c3h 6s6h5c4h3h AsKh9d9c2c 
AdJh8s4h3h QhJh3d2h2d AdQh8s7c2s Tc8c5h2h2c 
Kc9c8c5h3d Jd9c8d7h2d 9c8h7h4c2h JhTs7d5c2c 
Ad6d3d3c2c KcJd9d7d2s 9d7h5d4d4c Ad7c6d4d2h 
Ks7d6d5h5d Ks8s8d3s3d KsQs9c4s3d 7s6c4h4c2h 
Kh5s4c3h3d Tc9c7s3s2c 9h5s4s4d3d Jd9d6h4h2d 
Qs7d6s3s3d Qs9s9h5s4s TdTc9h5h2s Js9d6d2s2c 
KsQd9h8h3c Jd7c6c5h3c KhTc6d4d3s Ad8d6c4d2h 
Js9h8s5s3s Jd8h5h3s2d 9s9d4c2d2c Th8d6h5h3s 
Ks7s6s4h4c Kh8h6c4s2d Ad9d6c3d2c AhKh9h4s3h 
Ad9h8h6h4c Qd7s7h5c4s ThTd8s4c3c Tc7d7c4d2c 
Th7h5h5c4s Kc7d6h3c2d Qh9c7s4h2c Ac9s9d7s3s 
Tc9d3s3d2c Kd9d8h5s3d AcQh9h7d2h KcJc9c5h5c 
QhJh7d5h3h KcTd8s7h2h JsTs6s4s3d KdQs9s9c3s 
Qh9s7d5c3d AsJs6c3s3h QdJs6s4c2h Qh9h9d6h4h 
9s7d6d4h3d 9s6c4c3s3h QsJd8d4d4c AcKs9d7d2d 
QdTs8c7h2c As8s6h4s2d AsJs5h3c2s 8h6s6c3s3d 
As9d9c6h4d 9s7c6s4s2c 8h7h4c2s2c AsTs5h4s3s 
7d6c5h4s2h KsQh9s9c3s KhQc8d3d3c Tc9h5c4d4c 
Qh8h7d4s2s QcTh6h5h2d Jh8d5d3c2h Jh9s9c5s2d 
Qh7h6d4s3c Ts9d7d6c2h As8s6s5h3s Ks8h5d4c3s 
QhQc6h3s2d ThTc6s3s2h Qc8s7d5s2d Ks9s9c3c2c 
Kd9d8d5h3c Jc7c5h5c4d AhJs5d3s3c QcJs8h4d3s 
Kd7c5s5d3d 8d6s6c5s3s Th8h8c7d2s Kh9h8d7h3c 
9h7h5s3d2d JsTs7h5c2s Ac7h7d4d3s QhJd6c4c3c 
Jh8s8h6d3c AcQc7h4c2d QcJh7s5c2d QsJs5s5d3s 
JsTs5h3d2c Ad9s6c5h4h Jh9d8s7c3s JhTh5s3d2c 
9c6s5h5d3d KdTh9d2s2d Ts7h4s4h3s TsTd8h7h3h 
Js7h5d4d4c Td9c8d4s3h Jh8h6c4h2c Th7h6h4c3d 
Td9c8h3s3c AcJd7h3s3d AhQs7s5s2d JdTh7h3h3c 
Jd9s9d6h2c QsJh9h5h2h Js8d7s4s2d Th8d6s5h3h 
AhQc8s8d2c Th8c6c3d2h Jd8c5d2d2c 7h5s5h3c2c 
Js9d6s5s2c Td9s9h6c2c QcTh8d2s2c Jc9s7d2s2c 
AdJh6s6c4h Jc9s7d7c3c Jc9d5d3c2c QdTh8h4s4h 
Qs8s7d4s3d QhTc8c5d2c Qd7s6h5h5c KcTs8d3s2d 
Qc7s4d3s3c Td9c5s4d3d 9h7d6s5c2d 8d7h6d5s2d 
AsJd8h4d3d TsTh8s4c2d Ts8h6h3d2s Th7c5d4c2d 
QcTh8s7s3s Qh8h6s2s2d 9d6h6d3h2s QsJc6s4s3s 
Qs8c6h6d4d Td8d6c5h2d 6s5s5h2s2d TsTh6s3h2s 
Qh9d8h6c3h 8h6s5c4s2s AdJd4h3s2d KhTc8s7c2c 
AcJd5s3h3d Jd9s6s3c2d Th9c6d4s3d Jd9d5d4h4c 
Ac9h7s6h3h QdJd9c4d3d Jd8d6d5s3c 9s9h5c4c3d 
Kd7c6c2d2c Jd8s6c4s2c AhQs7d7c3s 8c7h6h5h2d 
KhQh9h8h4d Ks9s9h8d3s Ks9h7c3c2s AdQh5h4h3h 
9c6h5s5d3s Kc6h6d4h2d Tc8h8d3h2d AhJc3s2s2c 
Js8d7d4c2c Kh7d5h3d2d 9c8s6h3s3d Qd7c6h6d3s 
Td9h9d5s2d Kh5h5d3h2d Kd4h4c3d2c Jc9c7d4h3s 
Js7c5d4h4d Js9h8s8c4s KdJs8c7s2h Kh5h4d3h2d 
Ks5d3s2d2c Qs9d8d7c4h Kd7d5c3s3h 8s5s5h4s2h 
KhTs6h3h3d QcJh9c3d3c Qc9s7d5s5h JcTh6s3h3d 
TsTc8d4c3h Th8s6s3h2c Jc8s5c4h4c QsTd8d5c2d 
KsQh7d5s2s AdTh7c3h2c JcTh4d3s3d 8h8c6c2d2c 
AhJd6c5s3c Jd9h9c8h2h Qc6s5d4c3c 9h9c4s2s2c 
Th9d8h2s2c 9c8d7c6s2h KhJh9s8h4h KdJs8s8h4s 
QsQc7d4c2h Kd8c6h3d2c Ks6c5d2s2h KhQh4s4d3h 
Kd9h8s7c4h JhTc4c3s3d QsQhQdJd8h Kc9h7c4s4d 
8s7h4s4c2c Tc5s4s3h3c AsKh6h6c2h Ks9h9d5c4h 
Ad8d7s2d2c 9h7h7d3s3c AdJd5s3h2d Ac8h6d4h2d 
