Jd9c8d3h2s 
Ad8c7s5h2s 8h6h5d2s2c 9h8s6c4d3c KhTh7h3s3d 
QhTh5h4d2h Jd8s7d5d2h 8h6h4s3s2s Js9c7c3d2d 
KcQs9h6d2d AdKc9h6s2s Th9h7s5c2h KsQs9s9h3s 
7s5s4d3s2d Jc9h5s3h3d Tc7s7c3h2s Qd9d9c4h4d 
Js8d7s5s2h Kd7h6c4d2s AcKs7d4d2h Jh9d7s4s4c 
KcTd9s2s2h KcJd5s5c2c KdTd4s3h2c 7s7h3h3c2s 
Qc7c6d4d2c KcTs9h4h2h Jh8d7s2s2d 8s6h4s3h2s 
8h5c4d3d2c Qh9c8s5d2d KcTc4d3h2s Jd8h8c7d2s 
9c8s6h4s2d QcTh9c3c2c Ks8s7c6s2h QsQhQd7s7d 
QsQc7s5s2s 9s8h7h7c3d QsTs9s3h2s QsQdQc9h9c 
QsJs9s2d2c 7h5h4d3h2d QdJs4h4c3c ThTc4c3s2s 
KcTh9d2s2d KhJc8h4h2s 8h7s7h4c3h AsTc6c3h2h 
Tc8s8h3s3d 9h8c6c4d3s Qs6h4h3s2h AdKc7h7d7c 
Ks6s5c2h2d Qc9s9d8s4s Qs9h5c4h4d Kc8c6h4s3c 
JsJc9d4h2h Kd7s5s4c3s Qd9c5s4h2d Jc8s7c4d3h 
AsQc9h6h2d Ts6c5d4c3h Ac5s4c2h2c Qs7h5d4s3s 
Jd9c6d4s4d Kh7d4c3h2c KdQc8c7c3h Tc7c5d5c3h 
AdQc6d3h2d 8d7c5d3c2c AsTd9d4d2c Ad9s7s4h3s 
6s5h4c3d3c Kd8c7d3h2h AcQs6s6d2h Qc9s5c4c3d 
JhJd8s4c2c Qd8s6c4d3h Kd8h7s5d2d AcTs7h6s2d 
Jh8h7s4d3c Qd9c7h4d3s KsQd7d6d2c KhJc7s3s2c 
KhJc5s4d2s Qc9c7h4d3s Ah9h8d3h2s Tc8s8d7s3s 
KcJs8d7h2d Tc9h3h3d2d As8d8c7c3c Qs9c7c3s2h 
Th5d4c3d3c Qs8c6h5d2h KcTs9d4d2d AcJc9h6c2c 
Td8d6h6d2s AcQh9s6d2s QdTs7d5c2d Jd8h7d4s3c 
Th9c8h4s3h Jh9s8c4s4d JhTs8d3h2h Qs9d7s6c2h 
Th8d7s5c2d AhTs6c3c2s Qd9c8s7s4s KdTh6s4h2c 
QdJs4h3d2c AdJc8s4h2h Ts7d7c4c3h QhJh6s6d2c 
Kc8h6d6c3c Th8s8d2h2c JhTd8c3s2c KdQs8s3h2h 
Ts6h5d4h3h AsTh7d4h2c AsQd9d2h2c KsJs4s3h3c 
Kc6s3h3c2h Tc9s3c2s2c Jc8d6d5s2d 9h8c6s4d3s 
Ah8c7d6c3c Jd7h4s3s3h Qh9c8d8c4c Jh8h6s5h2d 
Qd9d8h7d2c Qs7c5h5c2h Qh7d5d4s2s KsTs9s4s4d 
Jh5d4s3h2s Qd9s7d6h2c Td8h5d3h2h Qc9h8s4d4c 
KdQd9s4c2d Kd9s6h4c2d QhJd5h5c2h Td8c5h4s3s 
Jd8c4h2h2d Qs7h6h5h5d KsQs8h6s3s Ac7c3d2d2c 
As9c8d5h2h 9h9d9c7h7c 9s8s7s7h2d Qs9h8d7d3c 
JhTh7c5h2h KcTc7d4c2s Kc9c7s7d2h Jc7h7d6s3c 
Qc9s5c4h4c QsJc7h4c3c Jd7s5s3c2d Kd9s9c2h2d 
Qs8h7d7c4d KsQs9s6s3s Qh9c7d4h3s Jc9c7h6d2s 
Ad9d8c3d2h KcTs8h4h2d Qs8d7h7c4c Jd9c7h5h2s 
Qc8s6h3c2h Qs8h6c4d4c JhJc7c5d2c AdTd8d2s2d 
Qc9c7c6c3h KsJh7h3c2c Qd9h4s3h2d Jc6h5d4c3c 
KhJs8c6s2d AsQd9c6h2c Ad7c5h4h3h Qh8s4s4c2h 
9h7h6h6c3h 8h8c4d4c3c QsTc5h2s2d QsTh5c2s2d 
AcTs9s4s2h QsJc7s6h2d Qc9d6d3s2s AcQs7h5h2d 
AcJs9c6c2c AdKh7s7h7d Th8c7d4c3s 8s6s6c4s2d 
8h7s5c3s2h Jh8h7d6h3s Qd9d5h4c3d Ac7c3s2s2c 
Td8c4s3s2d AdKc5s3s2s Jc9c5d5c3c TsThTd9s8d 
QhJsJd7c2c Qc8d7s4s3d 8d7c6c3h2d AdQc8c7c2c 
6c5h4s3d2c Ks8s7d6s2h Qd9s9d4d4c KcJs8d7h3h 
Jh9c8c6d2c Th9c6h5d2h Qc9h8d6s2s Ac8d8c6c2c 
Qs9c5s4s4h Kd9d6d4c3h Qh9s5h4h4c Js9h4d3d2s 
AcJd4d3s3h KhTs8d3c2h Kd9c6s6c3h As7s6s5s3s 
AcTs9s4s2d AhQc9s6s2d JsTh8d3c2d Js7c6h6c2h 
AdTs6s3h2h Tc8d7c4s3c Js9c8s3h2d Kh8c6d5s3d 
KdQd9h4s2d JcTc4s2h2d 9h7h6d3h2d Ts5c4c3s2d 
AcTd6h3h2d Jc7s6c4h2s Js8s7c4h3d Qs9c7s6d2h 
Tc9s6s4h2d Td7h5c4c3c Qh8s8h6c2h Kd8h6s5h3c 
QhTh7c4s2d Jc7s7c5c3c AsTc3d3c2d Tc8s7c4d3c 
Ad8s7c5h2c Ks6c3s3d2d 6c5s5h4d3s KcQs6s6d2h 
Js7s6h6c3d 9h9c6h5h2h QsJd4h4c3h Tc8d7d6d2h 
Ac7c5s3c2d Js9d5h4c2s KsJh7c3c2h KsJh4s2d2c 
Qd9d8c7s3d Ks6h3s3c2h 9h8c4h4c2c 9s7h7c3h2s 
Td8d4c2d2c Qd7s5h3d3c Tc6c5s4d4c JsJd5s3h2c 
Jh6s6h5h3c AcKs8s2s2h Kc9s6d4d2s Qs8c7s6d3s 
Jd9s7h6d2c 8c7c5c3h3d Jc8d7c4s3h KsJc8h7h2d 
QdJs5d3d2h Td9d6c4s2d Ks8h7h5c3d AcTd4s3c2c 
QhJc8c7c2d 8h7c5h3c2c Qs9s6d4s4h Qh6h6c5s2d 
Td8s7c5s2h 7s7d4s3c2d AcJh6d5s2d Tc9c5h3s3c 
KsQh4c3d2h 6s5s4h3d3c KhJd8c7s3s Kc8h7s6d3s 
AdJd7d3s2c 8s5c4h3h2c Qs9s8h7d3s KdQd9s9d3d 
Qc9h8d5s2s 8h6h6c5h2h KsQc8h3c2h Th7c5s4d3c 
Js9s7d4s3c AdQd9d7d3d KcTh8d4d2s AhKs8c4c2c 
Jd5s4c3d2c KsQc6d2s2h Qc9h8h7s4h Jh9h7h4c3d 
Qc8d7h4h3d Qc8d6h5d2s QsJs6h6c2d AcJh5h4h2s 
Jh9h8h6h3s Jc8s6h6c3d Kd8s6d6c3d Th9c7s5d2c 
QcTd7h3h2d QhTs6d2h2c AcQh8s4s3d Qd6s6h5h3c 
Td7h6s4s3s Th9h3s2s2h KcTc7d3s2h Ac8h7s7d2s 
AsTd7d5h2d Kc8s7d5c2c 9d8s7c3s2d 6h6c5d4s2d 
8s6s5c2s2d Th9d6d4c2s QsQd9h4h2h Th8s6s3h2s 
Tc9c7h5d2c Ts6s6c3s3d Kd9c5s4s2c 8d7s5c3s2d 
AsAhAdAc4h KsJs9s3d3c KhQsJd7s2s TdTc6s2h2d 
Ad9d5s4d2h AdTsTh6c2c Ts9d5d3h3c Kd7h7c5s3h 
As9c8h5d2d KdQcJc7h2c Qd9s8s3h2h QcTh7s3h2s 
Tc7d7c3s2d AhQs9c4d3d Ad8d7d4d3c 9h9c7c2d2c 
5h5c4s3c2h Td7h5c2h2d Ts9h4d3h3c QdTh7s3h2s 
KsQh9d6c2c JsTh5c3d2c QhQd7d6d2d 9c8h7c4d3s 
7h7d5s4c2d Td5s5d4c2c 8d7s6c4s2h KdQc6s2h2d 
KcJd5h5c2c KcQc9s4h2c Qc7s7c4h2h Qs9c8d6h2h 
KdJd9d6d2s Js7c5c4d3c KsJd5c4h2h Qd8h6s4s4c 
AhTd4c3h2h QsTs8s4s2c Qh8d7d3h3d Qh7c5d3s3h 
Jd8d7s4c3h 6c5c4s3d2h 8d5d5c3c2h Ts9d4h3d3c 
Ac4c3h3d2s AhJs5s4s2c KhTd8s4c3s 9h7s7d5h2c 
8s7h6d4d2c JdTd6d4s2c Ts8h8c2s2d JdTs7h5h2h 
AhJc3h2h2d Jd7c4h4c3h KhQd8c6c3s QhQdQc9s9c 
7s7h4d3d2s Ac9c5s5d2c QhTc4h3d2s Qs8s7c5s3h 
Td6c4h4d2c KdTh7c6h2h KcQc8s7d3c Ah8c4d3s2h 
Ad6d3h2h2d 9c6c4h4d2h 9c7c5c3s3h Ts9h8s4c3s 
7d7c5h4s2d 9d8c3s3d2c 8d7s5s3d2d Qs8h5c4d4c 
KsJc8d7d3d Qc8d6h4s4h JsJd6c4h2s QcJc8h4d2c 
Qh9s7c5h2d As9h8d6c2h Qh8d8c6c3s Qc9h8s5h3h 
Qc9s6d5h2h AdTd6h2s2d Ts9d6h6c2c KhJs6h3h3d 
Jh7h5h4s4c Jh8d7c6c3s Kd8d7c2d2c Qs9c7h4s3d 
KsQd4c3h2d Ah9d5h4h2c KdJd9c3h3d AcJd3c2s2c 
9h8c7s3h2c Qs9s8c7s2d AsKh9h5h2h 7d5s4s2s2d 
AsQd7h5c2c 7h5h5c4h3s AdKc8c2s2c KhJd7h3s3c 
Ks9d9c6c3c Td8d5d4h4d QsQh7h4c2h Ks7c4s3h2c 
Qs8d7c5h2s Ts8d6s3d2d Jd7s5s4s3c TdTc6h2s2c 
AdTd6h2d2c 7s7c4c3d2s Jc8s6s5h2s QcTh4h3s3d 
Qc9s9h3h3d Qs8s8c6h2s Qh9c8s3c2s Ac7d5c3c2h 
KcTs8s4d3s Qc9d6d4d3h QdJd9d6s2d Tc9s7s5s2d 
KcTs8d4h3d Jh9s3s3h2c Qd9h7d5c2s Kc9c6c4s3h 
Qh9s6s3d2d Ah8c7d6s3d QhTs6s4s2d 6h5s4c3s3d 
KsKhKc4s2h Kd7c5s5d2h Ks7h7c3s2h AdKc4s3h2s 
KdJh7d3s3c Kd9s9c6d2d KdTd7d6h2d As8s8c6s2s 
QhQd7h6h2h KhTc8d4d2s 8c6s4c3h2s 6c5s4d3h3d 
Ad8d7d2h2c Ad8s8c7s3s QdJs9c7s2s KcTh6d4s2h 
Ks8d6d5d3c KsQs9h4c2s Js8h8d3d2s AdJs4s3h3c 
Kh8s7d3h2d Kh9d8c4d4c Tc6s5d3c2s 7s7c4s3h2c 
Js8s5s4h2c Qc9c4h4c3h AhJd4s4c3d Kd6s6c5h3s 
Kh9d8d5s3c Js8c7d6d3h Ks6d3s3c2d QdJh7d6c2s 
AdKc9c4s2c Ks9c6c4d2d AcJsJdJc3s Kc7d7c3d2d 
QcJh7s5d2h 9c8s5s4s3h KcJh4c2s2d Kd8s7d5d2h 
AcKs9d4h3h Jh8c7h5h2d Qs9s4h3c2h TsTd8c4h2c 
9d7s6s5c2s QsJh3s3c2d 8h7h7c3h2c Td7s5s3c2d 
Ts8h8c7d3c Jh5h5d4d2h Th8d6s4s3c AhJs3h2h2c 
Qd8h5d3h2h Tc6d5h3c2d AhJh7h3d2c Qc9c6h6d2s 
Tc8s8h5c3c Ad6h6c3s3c KsQh7c3c2h KsTh8c4h2d 
QdJs3d3c2h As9d4d3s2s Kc9c4s3h2s Td7s5c2s2d 
AhJh9s4h2h Kc9s9d8d2h Ac9d7h4s3d 9c8h7c4d4c 
KcQs6h2d2c Ad9c5d4d2s Kc9h6h4s2s 9c6h6c3h2c 
Th8h5s4c2d Qd9s9c4d3h Jh7d6s4s4c TsTd9s9h9c 
Td8h8c4s2c Th8s7d7c3h Jd9h8d7d2d Qd7c5d3s2s 
Jc8s8d6h3c Qc7s5d3h3c Kc9c5h4s4c Qd6s6h3s2d 
AhKd8s8c2c 8d7s5c4s2s Ts9h8c4d2d Jh5s5h4s2h 
Kd6h3d2h2c KdTc8s8h3h Qs9h8d7s2s Js7d5d4d4c 
9c6s4s4c2s KcQd9c8c2c Qh7h6h5h3s Kh8c7h4s4h 
JhTc7s6c2c Qh8s7d6s3c JcTh6h4h2s Th8d7s4d3c 
Qs8h5d5c3s Th7c5d2h2d 6c5s4d3d2h Kc7s5s4h4d 
Ks9h4c3c2s Tc7d7c3h2d Qc9d8s7s3h Jc9s6h6d3d 
Ks9h9d6h3h 9s9d6s4s3s KcQd4h3s3h 9d8h8c7s2s 
Qc7c5c4h4d 9c6d5d3s3d TsTh7h5d2c QcTs8d4d2d 
Ah6s5d4c3s QdJs7d6h2c KdJc9d7d2d Ah8c7d5d2s 
Jh9s4c3c2h AhJs6d5c2s Jc9c8s5c2c Tc8s6s6h2d 
9h9c7s6d2d QsJc4d3s2h AcJs7s4s3s Jc9h7h5h2d 
KdQc9s8s4s Ks9c8h7c3d AsQd6s3c2s AcQs8c3c2d 
Qs8h6c5d2h Ah8s6s4s4c Kd5h5c4d3d KdQc8s7h2c 
Th9d8s4s2c 9s8s7c4s4d QdJh7c5s2h Td8s7d4h3d 
Qs7h6d2s2h As9d7h4c3d Qc7d5c4s3c QdTs7h5c2s 
Qs8s8h6d2s KdTc8c4s4c Kh9h7h5c2d Kd8d6d6c3h 
Ts5c4h3h3c AhJh7h4h3h AcTh5s5d3d Kh8c7d5c3s 
TsTc6h5d2d Qs9h9c5c2d 8h8c4c3d2d KsTc8d4d2h 
Kh9c6c4s2s Qh7c5c2s2h Td5h5d4s2s As7h7d5c2h 
Tc8d5c4s3c Jh9s8h3d2c Ks7s5s4s4h KdQh5h3s2h 
Qd7c6h2h2d 7s7d5c4c2h Ad7s6h4s3c 8d6h4h3d2s 
Ac9h9d6s4s QhTh8h4h2d QhJs3h3c2d 9c7s7d5h2s 
Th8s4s3h2c AdJs6c5h2c KcQhJh7d2h 8c6d5c4c2c 
Kd9s8c6s3s Kd8h7s6c3s AhTs3s3c2c Kh8d5h3h2d 
Ts9d8h4d3d Kh8s7h4h4d Ts9h7c5c2d 8d7c6h4h2s 
Ah8s8c7d2c 6c5h4s3s2d 9d8h5s4h3c Kh7d5s5h2c 
8c7s7h6d2s 6c5c4s3h2d Ks7c4d4c3d Qc8h6h5d3h 
Jh9s7c4d4c KdTsTh4s2s 9c5h4h4c3h Qs7c5s2d2c 
9h8h6h6c4h Kc9s4d2d2c Qh6h6d3c2d Qd9d8s7h3d 
Qd9c6c5s2h Qc9s5h4d2c Qs9h8h5h5d Td6h6d4c3s 
Ad8h6c2h2c AdJdTsThTd KhJh9s3h3c Qh8d8c7s4s 
Qs9s7c4d3h 8s7d6d3c2s 9s9d7c6h2c Ad9d5c4d2h 
Qc6d5h4s3d Kh9d9c4s3h KhJc5h5d2h 8d6s5d4d3d 
9s9h7c5c2d KcQh7h6h2s 9c8c5s3d3c 9d6c4c3d2s 
Js8d7d6c3h AhTc3d3c2d Qs8s8h6c2s Qc7h5c2s2h 
Jh8h6h6d4h Qd7s6c5s3s Qd9d6d4s3c Ad9h9c7c2s 
JsTd5h3c2h Td8c7h5c2s AcTc8c6c3c Th9s8h4d3h 
AhKs9c6d2d AdTd6d5d2s Qc6s6h5s3d Ac9s8s7s2s 
8s8h4s3c2c Qd7d6d6c3h KdQc6s6c2h QdTd7s7d3d 
Kc6h4s4h2s 9h9d7c5c2s QsJs6s4c2h AcQc8h3d2c 
Kd8s7d4h2c KsThTd3c2d 8s8h7s4s3c 9d7s6d5h2d 
6s6d5c3h2s Ts6d5c4d3d 7d7c3s2d2c Qh8d6h5c2h 
Jh8c6d5c3c QcJc4c3s3c KdTs8s4c3s AcJd8s6s3s 
6s5c4d3h3d Ks8h6d5h3c 8c6h6d2s2h Qd7c6s6h4c 
8c7h6s3c2h AcTc6s2d2c QdTh6c4s2s Jd9s9d7h2d 
Qs7c5h3s3d AhJd3h2s2h Tc8h4s3s2c Jh9s8d4s4c 
Ks8s7s6h2c Qc7s5c4h4c Tc8d7d5s2h Ah7c5h3d2h 
Js6h5s4s3c Td8h7h5s2c Td8c5c4h2s Qd9h8h7s4h 
Ac6h5h4h4d Jd9s5c4s3s 5s5c4h3s2c KcJc9c6c2h 
Ac8s7h6d3h Jh8h5d5c3s 8s7d6d3c2c JdTs3d3c2h 
As7s3c2s2c Qs9c7h6s2d 7d5d4c3c2d 8d5s4d3h2h 
AcQs7h5d2d Ts5h5c4h2s Jd8s7h5d2d 9h7s7h3s2h 
Kc7s7h3s2c Qd7c5h3s3d 9c8d6h3s3c Ks6h3s3d2d 
Tc9d8c4h3c Qs7s6s5c3s Ks9d9c5h3d KcTd8h5h2s 
Jc8d8c7s3c Jd8s8h3s2d Th8s5c4d3d Qh7s5c4h3h 
KsTh8h8c3h Qd9d4h3s2h Ts7h5c2s2c QdTc7d5h2d 
Kd8s7h6h3c Ts9c8s4h3s Kc7d6s6h2c Jh8s8d7h2c 
Kh8h7s6h2c QdJd9d3c2h Jh9d4c3c2h 5h5c4s4d3d 
6d5d4h3c2s QsQh7h5h2h Qs9s8h7s2c Qh7s7h5h4h 
Tc8h5c3h2c 9h9d7h2h2c Kd9h9d5d3d Th9s8s4d2s 
Ad9h5h5c4s KsKhKd4h2s 8s5s5c3c2h Ks8h7s5s3s 
Js8s6s5s2h AdJsJdJc3c Td9c6c5c2s 9s9h7c5d2d 
Qd8h8c6c3s AdQc7s5h2h Jc8d7s6s3h JcTh7s6d2s 
KdQs5s3s2h Qc8d4s4d2c QsTs5s5d3s KcQh4d3s2h 
As9h8h6h2d Ks9s4d3d2c Th9d5c3s3c AdTs4d3c2d 
JdTh7c6s2s Qh8c7h6s3h QsQhQd9d9c Qs9h8d4s4c 
9c7h7d5c2s QdTd4d3s3h QsTd8h4h2h AcTh7s5s2d 
9c7c6s3c2s Qh9s6s5d2c Kd7d5d4h4d AsJsTsTdTc 
9d7s7h3h2d Jd8d5d3c2c 9s8c4s3s3c JsJc3s2s2d 
TsTc7c5d2h AdTd6d2s2h QhJd9s7c2s Qh7s6d5s3s 
Qd6h6c4s3d KdQd8c7s2d Qd8h8d7c3s 8s6d4h3h2s 
KcQh4c3d2c KdQh7s5h2h JcTs6d4c2c 8s6s5d3s3h 
Jc8h5h3c2c Tc9s8s4h2s Qc8s4h4c2h Qd9h8h5s5h 
KhQd8c4s2h Jd8s8h7d2c KsJh7h3d2d KsQd4s4h2s 
Td9h8d4s3d 9s8s6h6c3s Td7h4s4d2s Ac7h5c3s2c 
Jd8h6h5s2h Kh9c6s4s2c 6d5h5c4h2s Qh7s5c3h3d 
AcKh9d6s2s Ad9d4h3d2h As6s5s3s3h Kd8h6c5s3h 
KsJc8s4s2h 9s7d7c5h2c TsTd6h5c2c KdTc8s8c3c 
KsJc5s5h2s Jd8s6h6d3c Kh9s9c6c3c AdJh4s4c3h 
KdQc5c3s2c 8h7d7c6s2d TdTc4c3h2h Tc9d4h3s3c 
Qs9h8c3h2c AsKd7h4h2c Ts9d7h5h2c QdJh7s5c2h 
9h5d4h4d3d Th6h5h5c4d Qc9h8d8c2c KdTs7c4d2d 
9c6h4h3c2s TsThTd9d8h QcJh3s3c2d 8d7s5d4d3d 
7d7c5c4h2c Ac9c4h3c2h Tc9d5h3s3h Qd7h6h6c2c 
Jh7d6h6c3s Js9d5c3h3d Kh8s5h3h2s QsTh4d3s2c 
JcTc6c4d2s Th8h7d3s2s Qs6d5h5c2s QcTs6d2h2c 
Kd9h6h6c3s QhJh5d3s2h Qs8c5h4s2s KhQs5s2d2c 
Qc7h5c4d3c AcTsTd5h2h Qs8s5c4h3s Kc8c7d6c2h 
AhJh8h3h3c 9c8c7d7c3s Qd6s6d5c3d AcQh9s4d3d 
Kc9d7c6h2c 9h6s4s3h2c Ks6d5s5c2s KdJh8d4d2c 
Qc5s4c2s2c Ah9d9c7d2s Ks7d7c3d2s Td6d5s5d4c 
Jc8c7d6h2s 8h7c4c2h2c 9d8h6d3s3d KsQd5d2h2c 
Tc9h8c4d3c QsJs6h4c2s QsTs8s4s2d 6d5h4c3s3c 
JsJc3c2d2c Ad7c6s4h3c Kd8d7h7d4d AcKs8h4d2h 
KcTh8s8d3s AdJs7h5c2c Ks9h9d8h3c QsJs9s6s3s 
Qh9c6d6c3c 8h8c7d5d2d As9h8c5d2d AcJs8d4s2s 
Qc6d6c3s2d Tc7s5d4d3d 7h7c5c4d2c Qc7h6d5h3h 
Js7d5c2s2d 7c6h5h4d2h QsJc6s4s2d 9d8c6h6c3c 
7s7h5s4c2s 7s6h5h4c2h KhQh8s8c4h 7s6h5h4d2h 
Jh7s4d3s3d QdJh4s4c3c AsJh3s2s2d Qh8h7d6h3s 
Kc6s3c2s2d JsTc7d6h2h KsTd5c4c2h Kc9s6s4h2h 
Kh9s8c6s3s KsJh8c7c3c Jh9h7s6d2c As9s7c2s2h 
Kh9c7s7c4c Ad8s8c7h2c KdQhJc7h2h Kd9d5h3h2d 
Qd9s8s8c4s Td8d5c4s2h 7d6h6c5c2c Ah5c4h2s2h 
9h6h4s4c2c 8s7s6d3h3c Kh9h4s4c2s AsKd9d4h2d 
QcTc7d7c3c QsTs4h4c3s Ah8d6s5c3c 6h6c4c2s2d 
AdQd8d7d3d AdKc9c5c2c Qh9d7c5h2s KdQs9c8c4c 
KsJh6d4h2c AhTd7d6d2c Kc8h6s5d3h Qd9h5d4d3s 
Td7s5s2h2d Jh8s8h3s2s QcJc6s4h2c 9s9h6h5h2h 
Jh6d5h4h3c Ks9d4h3s2h 9h8h7h7c3d Jd8s7h7d3c 
Td8d7s3h2s 8s8h3s3c2c Kc7c5c4s3c KhQh3d3c2s 
QhJd9s4c2s Ah8h5h2s2c QdTs7d5h2d Qc7s6d5s3s 
AcKd9d5d2d 9h7h7d3d2h Jd7c6h6c2h Ks6h6d2h2d 
7h7d4s3s2d AhTd3s3d2s Qd9s9c3h3c Ts8h7s4c3s 
KcTs8d5d3d KdJs8h7c2h Jc9c7h4c3s 8d5s4h3h2s 
Kd9s7h7c3c KsQs9d3c2s 9h8c7h4h4d JsTc8h3d2h 
Ks8d6c3d3c Ks8h6d5c3d KsJd5c3s2s 5c3h3d2d2c 
7c5s4d3s3h Jc9d8c7c2c 8h8d6h4h3h 9h8h7h7c3s 
8c6c5s4c2c Qh7c5c4d2d Kc9c7c3s2s AdKh8c4c2c 
Tc8c7d4h3c Jc9c7c3s2s 6s4h4c3s3d JhTd5c3s2c 
KdJh6d3s3d 8d7h4s4h2s Qd9h8s8h4h Qd9c4h3h3c 
Jd9d7d4h3c 8h7h5d3d2h As6d4d4c2c Qd8h6c4d3s 
8h7h6h5d2h Td8d6h4d3c Jd5s4s3d2h Js8d5d3s2s 
Qh7s5s2h2d Kc8d5s5h3c KhJd6s4d2c 9d8c7s3c2d 
As9c7d4h3c JcTh8d3c2c 9d6d4s2s2c Js9s7d4s3h 
KcTs8d3c2h Jh7s7d5h3h As9h8c3h2c KhTd8s5s3s 
9h8d6s3h3c Qd7d7c6d4d Qd7c5d2s2c Qd9d6s6c2h 
Td8d6d6c2h Tc8h7h5d2s 8d7s7d4c3d As9d9c6h4h 
Kc7c5h5d3c 8c7h7d6s2h JcTh8h3d2h Kc7d4h4d3h 
JdTd6d4s2h As7h7d3h3c Jd8h8d3c2c KdQs7c4c3c 
Jh6d5s5d4c AsKd8d2d2c KdQh7c2h2c AcJd6s5h2s 
Js8h7c6c3d Js7s6d6c3h Kc8s7c4d4c AdTs5h5c3c 
QcTd8h4h2h 8h8c3s3c2h Th8h5s4d2c Qs7s7c4d2d 
Qs9h7d3d2s 9c8d5d4d3s Qs9s6h3d3c Th5h4s3s3c 
9s8s7s7d2h 9c8c7s7c2h As8d4s4h3s KsQc4s3s2d 
9d8h6s6h3h Qs9s9h5s2c 9d6s4s4d2d 9s8d7h7d3c 
Qh9s8s7c4s 9d7c6d5h2d Qd6d5c2d2c Jc9c8c7c2d 
Kc6h6d5s3d Js7h6h6c2c Kd9c8c5h3s Th8d7c4s3d 
Qh7d6c5d3d 7s7c3c2s2h 8h7h5h3s3d AcQh7s4d2h 
QsJc6s6d2h As8s4s4h3d Qc9d6s5h2h KdQd6s6d3d 
AdJh6c5s2c QcJs7d4s3s Tc8c7s3d2s Js8s5s3c2c 
Jd9c6d4h4d 9s9c5c4h2d KcJs7d3d2s Td5d4s4h2s 
KcQs5s3h2s Jh8d8c7s3h AsTd3d3c2c Jc9h7h3s2s 
Td9c5h3s3h Js8s7h6c2d QsTc4h3s2d Kd9h7h6h3h 
AcTsTd4d2d 8h7c5d3c2h Qs9s5h4c3s Th6s6c5h3h 
QhJh5c3h2s Qd5s5d4h3c Qs9s6s4c3d 6s6d5c3h2d 
KhTs7d4h2h Ad9h5s4d2d Qh9h7c4s3d TdTc8d3s2h 
8h7h6d3s3c KcQd8d4h3s Td8s6s5h2s Kd7s6c5d2d 
Qc9s4d3s3d Qd7d7c4h4d Jd9c7h6d2s Jd8c7s5d2d 
