Ac8h8d6s6d 
JhTs4s4d2h QcJcTc5s5h JcThTc6s3c Tc9d7s6d2s 
Kd8c7c4d4c Jh8c7h5c2s Kc8s7d6h5d 8h7d6d6c3c 
KdKc7s5h2s KhTh6s6d2d Td8c7h5d3c AcJsJh9h2h 
8s8d7d6s3s Ts9c5h4h3s AdJc8h7h4h Th8s8h4d3d 
Jd9c6h6c4h AhTd7h4c3h QdTh9s9c4d Kd9s8h8c7c 
KcJs7d6h4s JhTc9s8s3s KcJs4d4c2d KhQc7c5c4d 
Jh9s6s6h4h KhJs4h4d2d QhTs8s7d4s Ac9c8s6h4c 
AhKs8c6h2h TsTc9d5h5c AhQh7d4h2d Jd7s7d6s3h 
AcJh8d5d4d AhKsJs6c2d TsTd7h7c4h QcJhJd8c4c 
8s8h7c5h2c 9h7s6h4s3c JsJcTd3c2h 9d7d5c4s4c 
QsJd9h9d6d JsTs6s6d5c AhQsTs7c2d KdTc8h5h3c 
8d7c5d4c3h AhJh7d4c3h AhTh6s5d2c Jc7d7c6d3s 
KsQh9d6s4s Ad9s9c6s4c Qs8h6h6c3s KsTs8h3h3c 
As9h6c3c2s Ad9d5s5h4c JhTc6d5c2d AsQh8c5c4d 
Kh6d5s5h2d Kd7h6s5d5c Kc7s7d5c4h QsJs6c5s4s 
As9s5d4d3s KdJd9s6h3c Jc8h8d7d6s Ad9h9d8d2c 
QcJsJd4d2h AdKc8c7s3c QcTh9s6d3s 9h6d5d4s3h 
Ts9d7s5h4c KdJc9s7c2s KhTh5s4c3d JhTc6d5h2d 
ThTc6h5h4d Jc8s6h5s2c JsTd7d3s3d 9s8s8h7c3h 
QsTd8d5h4d Jh8c7h5d2d AhTd8h6h2s Ad9s9c7s6s 
KhTs8s5c3c QsJs8d7c2d Jd8s7s6d3s KsTs5d4h4c 
AhQsTd4c2s KhQsJs7d2d Qs7d7c4s4d KhQh9c8d5h 
Th7d5h4d3h 9s9d8d7d6d JcTh8d8c4c Kc8d7d4c3s 
KhQdJd7c2c 8c7h7c5s2h KsTc9d8d5h AdQc7d6s2h 
KsKd7d4d2c QhJs7d6c5d KcQdJd7s2s Kd9d8s5d3s 
Td9h8h4h4d AhQc8d5s4s AcQdTd7h2s TdTc9d4h4d 
Kh9h7c6s2s AcTh9s5s2h KsJc9d8h3s QdJs8h7c5h 
QhTd6s3s3d QcTc9d6s2h Jc8s7c5d2d 9c6s5s5d3d 
KdTs9h4s4h KhTc9h8h4d Jc9d8d7h2h Ks8s5s5d4d 
KcTh8d7h5h Jc9s6c5d2s QsJs9s6s5c 7h7d5h5d2d 
KdQdJc8s3h Ts9c6d6c2s KdKc8h5s3s JsJh8s7d4s 
Qs9c5d4s3d 8d6c5c4h2h KhThTc7h3s AsKc8d6s2s 
KdTs8c5d4d KhJcTh4s4h KhKd8h4c3h QhJs8d6s2d 
9d9c7h7d3s AsJsTs2s2h Ah9h5s5d4c AhQh5d3s2c 
QdJh8h5h4c Jd9s6c5s2d QhQd9c5c3c Jd9s6d5h2s 
Jd9d8d6h3h QhJd9d9c6d 8h7d5s4s3h Td9c7h4c3h 
QsJh8s4s4h AdTd8c5s2d AdKhJc4h2h JcTdTc6s3c 
KhQd9s6h4h Jd9d9c7s2c Kc9h9d6h3d Qs9d5s4c3d 
Ad9d8d8c2h KsJh9d3s2d AcJs7h7c2d Qd8h8c5c3d 
Ts9h9d6c4d KsQd8d8c6d KdQh5h5c2c QcJs7d4c3d 
Ad9h8s8h2s KcJs7c6d3h 8h6s6h5d2s KsTs6s5s4h 
9c5s5h3h3c KhJd6h3h3d JsJc7s4h2c KhTd8h6c3s 
QdJh7c6s5c 8s6s6d5c3c JsTs6c4c2d Jd9h6d5c2h 
JdTs6c5s2c AdJd9s4d3c KsTc9d7h2s Ks9d6h6c5s 
Jh9s7c5d4h Ad9c8h5c3h QsJd6h6d5d AhKdTd8d2d 
AdJc6s2s2d 9c8d8c7s3d KdTh5s5d2s JcTh7s7h4h 
AcQdTd7s2h TsTh7c6s2h Qs6c5d4c2s Qs9c7d6h5h 
JhTh9h6d5h Tc9h6d5c2h Ah4h4d3d2d KsQc9d7h4s 
AsJc9c8h2d Js8d7s5h2h AdQs8c5c4h Ah7h5s4h2s 
KsJs9s6h4d Kd9h7h5d2h KsJd4d3s2c Qc9h9c8h4c 
Ts8d8c6h5s KsTd9c8c5h QsQd4c2s2h Ac9h7c3h2h 
AhTc9s4s2c AhQc7c6s4c 7s7h6c5d5c KsQc9h5d4c 
AcTc7c5s5c Kd8s7d5h2h 9c7c5h4s4h KcQd7s7c5c 
Qd8c6d5c2c 9d7h6c4h3c Qh8c7s6c5d Kh7c5h3d3c 
KhTd8d5c3c 9h9d6d2s2h TsTd6h6c4h TsTc9h6c3d 
9c8c7s6h6d Qh7c6c4h3d JhTs9d8c3c Ac4h4c3h2h 
Qh9c7h7d4c KcJsTc5d2c AcTd3d2d2c Ac9h5c4h2h 
Ah8h5d5c3s Th8d6c5d3c QhTh4s3s3c Th8d7d6s4d 
JcTs5h5d4c Qc9c7h6s6d AdQsTs7h2c Jc9h9d3h3d 
Ad6s6h3s2d Qs7d6h4s4h Ts9s7h6d3c Ts9s8s8c6d 
KhKc7h4h2d 8s8d5h4h3d AdKsQd3d2d QhJc7h5h4d 
Qs8s8h6d2h KhKc6h3d2h Kd8c6c4d2s AsQh8d5d4c 
AdTs5h4c2d KcTs9d7s3h Ts9d5s4d3h KdTs8h5h3s 
8c7c5h4c3h AsTc3c2s2c KsJh9d7s4s 9s8d8c5c2s 
Ac9h6h4c3c 9d8s8h6s5s KcJh6c3h3c 8c6s6h3s3h 
Th9s8d4s4d KdJs9d6h6d KdJsJh4h3c QhTd8c3h3c 
Kc8s7s7d4d As7s6h3c2c 9s7c5d4s3d Jc8s8c5h2s 
QhJs8s8d5c KdTd8h6c3s AsQd6s2s2d As9h6c4s4d 
QhTd6d5s2s 9c8h7h6h3c KdTd5s4h3c Ac8s7c3d2d 
QsTsTc6s3h As6h4s2h2c Js9c8c4s4d QhTc9s7d4c 
AdQcTs4s3s KsJd8d4d2s AcQh9h9d5h Js8c7c6d3s 
KhQh6s6c2s Kh8d6h4s3d QsQd9d8d2c 8s8c7s4h3c 
Tc9s6d5s2c Qd8h6s6h3d AcJd8h6d4s KhTd5s5h2s 
KdTh8h5c3c 8c7c5d4c3d Js9d5h3s3h Qs8d8c5c3s 
Jd9c5h3h3d KcJd8c6c2d 8h7s6s4d3d AdQdJd4s2d 
Kc8c5s4s3d AsQcJh8h3h AcTs8s6s4h Ah6d4d3h2s 
QsTs9c7h4s 9s9h6c5d4h Jc9d6h5c2d AsQh7s6s4s 
KcQsJs9h3s KsTc7h4s4d AcQcJs8c3c Qc9h8s6d5s 
Ah9d8h7h2c Th8c7h7c3s Th9c8s5s2c AcKdTh4d2d 
TsTc7h4h3s KsTh9s6d2c 9c6s5s4h3c Jh9h8d8c6s 
Th9d5h4d3s AcTc8d5c2s AdQcJh4s2h AcQdJh6d3d 
TdTc9s5h4d AcJcTc2s2c AcQsQd6h3h QsTs9s6s6h 
Js9c6h6c4h KsTc6d3c2s KcTc5s4h4d 9s8c7h5c2s 
AsQdTd7c2h Kh9d8d5h3h 8c5h5d3h3d KhQd6h2s2d 
QsQdTs3s2c KsJd8h5c4d JhTc7c3h3c Qd9c5s5c3d 
Ah7s6c5h2d KdJc8h5c3h Td8d7s6h6d Qc9d7d5h3h 
Tc8h6c5h2s AcTd9s8s2h AdJc8h6h5h QhJs5s5h2s 
KhQh7s7h6h Ks9s9c8s4c 9c6s6d3s3d AdTh8c6d2d 
Ac8c6s3s2d AsKd8h2h2d Td7s7h6d3h 8s8c7h5s2c 
Kd9h9c5h4c 9h8d7c6d2c Ad7c6s3d2c JcTc6h6c5s 
AhJd8s7s4s TsTc9h6s3d QsJd8s4h2h 7h7d6h5h4s 
As8s8d3h3c AdKd9c7d2s KsTs7h7d2d AhQsTs6d2c 
AhQcJs8s3s 9s8h7s7h2d Qd9h5d4h4c QcJdTs6h3h 
Qs9d8h6h5h KdJc8h6c5c Kd9d7h6c3s 9h7h6c4s3s 
QdTd5h4c3s KhKd8c5s3s AdQh6d2h2d Tc9s9c3d2s 
KcQhJh5h2s JsJdTd8c2d JdJc7d4c2h Qc9s7s5h3h 
KdTs7d6c3d KdQc8c6h4s QcTc7c4d3d AdTd4c3s2s 
Ks8d5s4c3c KhTh9h9c3s JdTc9c5c3h Qd7s6s4d3h 
JsTc9c5c3d Ks9c7c5s2c Tc8c6s5d2d Qc8d7h5d3c 
9d8h8c6d2h Qc7d7c6d3s QsJd6h5c3d Js9c7h4c3s 
Td9d6s5c4h 9c8h6c5c2h AsJd9h8c3d Qs9h6s4d3d 
Kh8s5h4c3s Th7h5c4c3d AdKs5c4h3c Qc8d6s5d3s 
AsJd9c6h5c KdJh8d6d2h KsKdJh7h2h KsKd7c5c2h 
Ac8c5s5h3d QcTh9d8s3d KcQd7h7c5c Qh7d5c4c3h 
Jd8c5s4s3d QcJs7s6c2d Jd7s6s6d4s Ac6h4c2s2h 
KhTc6h6d5h AdJc9d7d2s JcTc5s4s2c Ah5h4s3s3h 
KcQh8d5d2h AcQcJh7c3c Ad7h7c5d2s Ks8d6h4h3s 
Tc8d6c4h3h KcQh8s8h6h Kh9s9d5s3d TsTh7s4h3h 
AcTd9s5d4h QsQh9c6d2s JhTd9d5d3s 8d5s5c3s3d 
Ac9h6d4s4c KcTs8s6h6d Tc9s8c7d5c QdTs8s5c4s 
QhTd9h8c4h KsQc8c4s3c QcTd8c3d2h AsKh9s9c3s 
AcJh8s6s5s Td9d7h6s3c Qd9c8c7h5s QcTc7c6c5s 
Ad7s5s4d2d KsTc8s6d3h Ac8s8h6c3d 9c6c5s4h3h 
Qd9h8h5d3d QhJd9h8h5h Qh8c7d6s4h KcQc7d5s5h 
KhJh8d7d2h Ac9s9d7s6s Ac8h5h3c2h Td8s7s6s5c 
KcTc8s6h3d Td8c7c6c5s Td9h7c4h3c KhTc6s6h5h 
KhJh8s4d2d QcTsTd2h2c Kd8s8h6d2h KcQd7s6h4s 
9c8d7h5c4s KcJc9c6d4s AhKh6h6c4h KsTsTh9s5s 
AcQc6h4s4c Jc9h5d3d3c QdTd9d6h6d 9s8c7h7d6h 
As9c8s7s2h 6d6c4h4d3c Qc9d8d7s4s KhJh9d8s3c 
TsTd7h6d2s QdJd6d6c3c 8h6s6c5h3s QdJh6c5h3s 
Ad9d8s8d2c JsTd7h7d4d Kd8h7c4h3d Qh9s6h5d4c 
Jh9s6h6d3s AhQh5c3s2d JdTh4d4c2h Jd9d9c8d6h 
TdTc9c4s4c AcJh9h8d2s Qs6c5s4s4c KsJsJc4h3s 
As9d6s4d2d AdJh9c8h4h Jd8d7d6s5h AsQc8h6s3s 
8s8c6h5h4h Qs8c7h5c3s KhTd6s4h3c KhQhJh9c2d 
Jh8c6s5h3c Kh9s5h4s2d QcJhTh5d2h AdQsTd5d2d 
Ah9c7h7d4h 8s7d7c6h5d KsKdTh3c2c QcTh9d9c3c 
9h8c7s7c4h QdJd6s6d5h AsTdTc8h2d KdTh9c7s2d 
AdKcTs5c2c Qc9h7s6d5d Kd9h9c5c4h Ac5s3d2d2c 
KdTh8s6d3c Qd9d7c5c3d Ah8d7h3s2s KsKcJh7h2h 
KhJs9s5d4c AcJs7d5d4d As9h6d4s2d JsJc7c5s2s 
Jd8d6d5s3s Kd6d5s5h2h Qc9d8d8c4d Qd8h6h6c3d 
KdQd4h3h3d AcQsTh7d2s AcTc8h5c2s 9c7h6d3d3c 
9s8s7d6h6c JhJc5h4d2d Th9c7h5d4s QcJs7d5c4c 
KdKc6h4s2s Ad7c6d3c2s Ah4h4c3c2c Kd8s8h7d6d 
Qc9h8c5h3c 8c7s7c5h5d Ts9c8c4s4c QhQd7d3c2h 
QsQd9c5h3h Ts7h7c6s3c Qc9s9c8c2s KcTd9c5c4s 
JhJdTh3s2c Js9h8h6h5d QdJs9h8d2c Kh6c5h5c3h 
Ac7d5d4c2c AsTs8d6h2s KhTh9h5c4d KdTs8c5c3s 
AdKcJc6s2h Jh9c5d3h3d Td9c7c4d3d KhKc9s9d9c 
AhQcTc5s2c AdQs9s6c4h QhQd9c5s3s Ac8h5c3s2s 
Kc7h7d4h3c Qh8d6s5d3s Jd9c8c7s2s JhTs7h5h3d 
Ah9s9d3h2d KcQc7s7c6c AcJh5s4c3c KhTh7d7c2c 
KhJd4d3h2c KhJcTh5d2h QdTc9h7s4c AhQh7h6s4h 
ThTd6s6c5c KdQd6s6h2h Js8d8c4d4c Td8h7c6d4d 
KsQhTs8s4s 9d9c7s6d4h QcTd9s6h2c Qc9s8h7s2c 
JsTd8h3d2s KcJh9c4h4c KsTh9s6c2d AsJh9d8c4c 
Kd8h6h4c2d 7h6d5d3s3h QsJd8h8d2h Ks8h6c4c3s 
AdTd8c5d2s QsQcTs3s2d KcJd9c4d4c 9s9h8s7s6s 
QsTd7h4h3d QcJcTs7h3c Jd9d8s8d3s Ts9s6d5d2h 
Js8c7c6s3c 9s7d6h4h4d AsJs9s6h5s Kc9s8c7s3c 
KcQhJh5s5d TsTc6h4s4d Tc9d7c5s4h Qh7s7d4h4d 
TsTd9s3c2c QsQc8c6h3c ThTc9s6h3d KsJd7s6s5s 
KhQs6c5c4c TsTh9d5s5c 9s9d7s7c3h Ad5s5c3s3c 
QhQd9s5c4c 8s8d7h6c4h 7c6d5s4d3h Kc8s7c4s3h 
JdTs9c8d2d AdKh8h7c3h Js9s8s7d7c KhTh6s5s2h 
AhKcQh3h2h QcTs9c8d3c Ac9h8s8h2s Qd8h8d6s2h 
Jh9c8c6c5d Td8s6h5d2s Kh9s7h6h6d AdQd8c6d4d 
Js8h5c4c3s Jh9d7s5h4c KdTc9h7d2s ThTc5c4h3c 
AsQd9c5d3h KhJs8c5s4d KsTd8c6h4d Jc8h7c5h3c 
Qd9c7c6d2s QsJc4d3c2s QcJc6h5c4c Qs8d6s5d2d 
Ks8s5h4h3c QdJh8c4h4c 7s6s4d3d3c Td8h7h6h5s 
QcTsTd9d4d 8s8d7s3d3c Jd9s8h8c6d QdTd7c6h3s 
AsQc7d6s2h 8d6s6c3s3c KcJd9s8h3c QdJh7d5d4s 
AcKh9s9c3c AdQd7d6s4d KsTc7s5h5d Tc9c6d5d2h 
Kd7s7c4d3s AsQcTh7c2d AcJs7h5h4h JsJdTs4s3s 
KsQd9c6s4s KhQdTh7h3c AhTsTc3d3c 9s9c8s7h2h 
KsTd6h4s3c KdJh7h6s6c QdTd9h7c4d AcKsKdKc5h 
As6c5s4s2c KhQc7h7d5h JcTd9s8s3s Qd7c6h4h4d 
7d7c6c5h2d Kc8c7d6h2d QsJh7s4c3c KsQs9h8c5s 
KsJs7d7c4h KsJdJc8h3s QhJh9h6h5c As9s8c6d4s 
KdQh9h4h2d Qs7c6c4s3h AhQh6c5h4h QsTc6s4s2c 
AsQs7d6h2c KhQd9c4h4c KcTc7d6c4c KcQsQh9d4d 
8s8c7s6c2h AdJs9h5s5c TdTc9h3h2c Kh6s5d4c3h 
KdQh8c5h4s KcJd9d3c2d Ah7d4d2s2h AsKc8s5d2s 
JsTh9s7c3s Jc8s8c5s3s 9s9d8s7s6s QdQc4s2h2c 
Qd9d8d7d6c 7s7c6s5h2c KhJdTc6d3s Th8h7d6d2s 
AcJs9c7c2h KsKc4s3s2s KcJcTd7c2h AhJh7d4s3h 
8h8d6s5s4s Ks7d6s5h3c Jc9c8c7s7c Ks5d4s4h3d 
KsJh7s6d3c AhKh9h5c3h AcTh7c4d3c Ac5h3s2s2c 
Kh9h9d6s4c Kh7s6h6d4c Kd5d5c2h2c Jc9h9d4h3d 
QcTs9d7h4s Js8s8c7c2h KdQd7h5s5c Tc9d8c4s3s 
AcTc8s6d2c Ks7h7d4d3s 9c8d7s5c4h 8d8c5d4d3c 
AdJs5h4d3d Kd7s7h4s3d Ah9s9d4h4c Kc7d6c5h3s 
Js7s7h6h3c JsJd6c4s2d Qh9c8c7s5d KcQh4d4c2d 
AsTs8c4s3h Ts9s5h4c3h Kh8c5h4s3c Qh9d8h5h5d 
JdTc4s4d2c KcTs8d6h4d QhTd5h3d2s QcTc7h6d3s 
JdJcTd4h2d QsQc9h6d2c Qd9h8d7d4h AsJs7s6s4d 
Js9s9h8s6c AhJd7s7d6d AsKd5c4h3c Kc8s5c4h3h 
QhQd9s5s3s 7s7d4h3s3d QdQc4s4h2d Ks5h4s4d3h 
Jd9c6d5s2c Td7d5h4s3s 8s8h7h4c3c QdTd9s7d4h 
Tc6h5s5c4s Qs9c5d4d3s As6s5s5c2c Js9h6s5c2h 
Th8d6c5h2d AhQd6s6d5d Ah7h5d4s3h JsTc9s7d3s 
KcQh8d7c4s KsTh9s5d4s 8c5d5c3s3d KhQd4s4h2s 
KhQc9s5d4c KdQs6d4c3h Td8s7s7d3h 8s8c7d5c2d 
Jc9s5d4c3d Ac9h7s7h5d KsTh9d7s2c AhJs9s6d5s 
Tc9c5d4d3c Ks9d5h3s3h 8s8d7c5s2c AcKcJc5c2d 
Jh9d8d4s4h Kd8d7c6s2c TsTc9c4d4c Qd6s5c4s2d 
AcKdQd4d2d Td7d7c6d3c KhJc9s8d3h QhJh8d5h2d 
AdJhTc7s2c Qd8d7h5c3c KhTs7h5d5c AsTs8s4h2c 
AhTd8d6d4s Qs7c5h4h3s Ks8c7h4c3s Ah9d6s4h2s 
AsTs6h5d2c Kd6s5h3d2h AsTd9h7c3h Kh9d8h7d3h 
KsKh8h4d3h Ts8c7s7c3d QsTc7h4c3h Kd9h5d4h2c 
Ad5s5d3d3c Jh8s8d7s6c Js9h7c5d4h 8h7s6s6c3c 
Qh8h8c6s2c Kh8d6s4s3h Qd8h8c7h4c AdQh8c7d3d 
Qh8c7s5c3h AdTc4h4d3s KsQh4s4d2d QsTdTc9d4d 
JsJd7s4d2h KdTh9d8d4c QdJc7s4d3s Kh9s6s3h3c 
AsQsJh7d2s KhJc8h6h2c KsTd9s9c4s As7s5d4s2d 
Qh9d9c7c6c Ts9h8h6h6d Tc8h7d6c2d 8s8d6h5h4h 
QcJs8s5s4h Ks8h8c6s2c KhQh5h4c3s 9c8s5s4h4c 
JhTc9c8c3s 9c7c5d4h4d Jh9c6d5c2h Ac8c7d4h4c 
QhJs6d5h3h Tc8d7d6d5s Td8s6c5c2d Td9s7d5c4h 
KcTc9c4h2h Kc7c5h4h3c KdQh8s8h6h AhKhJh5h2d 
QcTd6d5h2h AdTd7d5s5d Qh9d8c6c5c KdQc4h4d2h 
JdTd7s7d5c AhTd9c5d4s QdJdTh4d2c 9d8c7s6c2s 
Jh9c6s5c2h Ad6s4c3s2d JhTh5h5d4c Qs7s7h6h3c 
Tc7s7h6c3h 8c6s5c4s2c Ac9s6h3h2c 8c6d5c4d2c 
7h7c6s6h3d Qd8s6s6h3d AdKsJd6h2d QsQcJs8d3s 
KsTd7s5h5c Jc8h8c6d5s AcTh8c4s3c AdKsTh5s2s 
KdTh9s9d2d AhJc4s4d3h JsTsTd9s4s KhTd8s6h3c 
AdTs7d4c3d Kh8h6d4d3s KcQh5h5d4s Qd9s8h7s4h 
KsJc5s3c2c QsQc8h5c2d KcQd8h5d4s Ts9c7h3s3c 
Ac7s6d3c2s QcJd9c8s2h KdTc9d6h2s TsTd4s4d3s 
AhTdTc3s3d 9d9c7s6c4h 9h9d6d5d3c QcJs7c5c4h 
Tc9s7c5h4d KhJh9d2s2d JcTh9h8h3d 9s8h8d6s2h 
Ks8d6s5h4s KdQs8s5c2c AsTs8h5c2s Jd9s7d5c2s 
