QsJc8s5c3c 
Qc7d6c5d4d KcTs8h7c5d Qs8s8h7h5c JhJc9h8c4h 
QhQc7h4h3c AhKs7c5c2s QsTs6c5s4c Ah9h7d5s4c 
QcTh8h7s4s Th8h8d7d5s AdJsTh9h3c AcKd9d7d5s 
AsKsTd8c2s Td9s9d7c3s Ah9s5s4s4h Ah8c5h4s2c 
Ad9d9c7d6s Ts8h8c6s4c AsAhAc9d4c QdJsTsTh6c 
KhQsJd7s3d AdQs4s3s2d AsQh6s6d4c JhJd9c8d4c 
KcQc7h6s3s JsJh9s4d3h Ks9c8s8d5d KhQc9c7h4h 
As9d9c8c6d Kd8h6d5h4d AdKh5c4s4h AcJs9d8d2s 
AsKdJh8c4h AhJs5h4s3h KhTd6h6d4h Ad9h5h4d3c 
KsJsTs7d4h AcKsTs8h2d KhQc6s5s2h QsJs9c6c4c 
KsTd9h9c7d KhTh9h7h6s QhJs8s8d7c KsTh9h7c6h 
AhTs4h3s3c KsQs9h8s7d JhTc6d5c3h AsKsJh4d3s 
AdJcThTc3c KdQc6h5c3h AcJc7h7c5s AsQc5s4h4d 
KsJd7d4h3s JhJd9h4s3d 8s8d7d6h4h AsKdQc6h6d 
AsQh4h3h2s Ac5c4s4d3s QcTd9s6h5c Ts9c8d7h6h 
QhQcJh4s3d Tc8d6s5s4c AsJcTc9c6d AdJs6c5h5d 
Qc8d6d6c5s QhTd5h4c3d AsKd8c7s2h KhTs7s5d4d 
AhKh9h7c4s QhTdTc9s6d QdJs9d8h8d Ts8s8d7c5c 
KhJh8s8d7c 9d8s7s7c6c AcQh3h2s2c KhJsJh8c3c 
KcQcTc9c7s Qc8h8c7h6h KcThTc5d4s QsQhTs9c3s 
Td6d6c5h5c Ad6h5h4d2s KhJs8s7h3d 9s9h7s6d3h 
KsJdJc4c2d AsQcJc6c5h QhQd5s2s2d Kc8d6c5d4c 
Kd9c7h5d5c 9s8d6c5c4d JcTsTc4s2h AcQhTs9d2h 
KdJcTsTd6d QdJc9d6s2c Ks7c6s6h5c QcJd9d8d4c 
QsJcTh6h5d AsQs7h6h3s Th9h7s6s5h Kh9s8s7h4c 
AsKhTs4c2d As8s7c6s5h KcTc8d8c7s AdKdQh9s3d 
Qh9h9d8d5d QhJsTc9d2h QhJdTc8s4d QcJs8c7s4c 
As8h6s6c2c AhQdTs6c4d Th9h8c7h6s KsKdQh8c5c 
AdQsTs5s4h AdKdJc4s3d JhTc8h7s5d JsJc7h6s3c 
QsQc9d6h5h QdThTd7s7d Ks8c6s6d5c KcQsJd7s2c 
AhTs8d6h4h As9h5h4s4h AsTs8d3d2c AsQdJc7h5h 
KcTh9d8s8d Ac9h7s5c3d KsTc9s8c3s KhQsQc6d3h 
KsQdTd7s2d Kh9s8s7h5h QcJd8c5d3d AhQc8c6s5d 
Ah9s9h7c4d KcQhJd7d6s AcJhJc9d4c AhQdTd5d4s 
KsJd9s7s6c QsTh8s7h3c JdTs6c4s4d Qs9h9d6h5d 
AsJc9d8d2c QhJsJd6s2h Ad8s8d7d5h KdQd9s8s2c 
TdTc6h5d4h QhTsTh8d3d AdQdTh6c3d KsJs9d9c3d 
AcJc8c7h7d QhQdJs2h2c AsJs9h3d2h KcJhTd7h4s 
QdJhTc7s7h AdKcTc8c3h KdQhTc6c5s KsQsJd3s3d 
JsJc8h7c5d QdJh9s5h3s KcQcTc6s4h KdJcTh4d3s 
QhJdTc5s3h KdTh9h7c6h QdTh9h8c3c QdQcTh8h5s 
AsKsQs6h3d QcJc9d8s4d AcKcTd8s2c QcJh8h7c4h 
ThTd9d7h4h AhKc5h3s3d KcQhJd9d7d JdJc6h4h4d 
Qs9h9c5s5c Tc9h8h7d6h AcJh9h5s4s AhKcTc6s6d 
AcKhQc7s3c JdTsTd6c3c KsQh9s9d3h Qs8s8c7c6c 
QhTs7h5s3d AhKh9h6c3c 9s7d7c5s5d AdKh3s3d2s 
AhKdTd8d3s KsJs9h9d3h Jh9h9d7d4s KhTd7s4h3d 
Ah9d8s2s2h KsQdTs5s4c JhTc8h5d2c JhJc9h4h4c 
AsKd3c2s2c QdJcTs6s5h JhJcTh5s5d KsJs9c8h5d 
QsQd9s9c3h QsQhTd9s3s JhTh8s7d2s AcQc9d6s4h 
Ah8s5h4d3d As8d8c6s2c JsJh9h8s3h Tc9s7c6s3h 
KdJc9s5s5d QsQc8s4d3c AhJh4s3s3c Th8s8c6h5s 
KdQs5h5d3h Kh9c8c7h4d AcJdTh9d4d 8d8c7h6d4h 
Kc9h7s6c3h AdKc7h5h2c QhTc8h6c3c AcJsTs8h3d 
AcKc3d2s2d AcTh4s4c3s As9d7s6c5s Ad9d9c7d6h 
AsKsJs3h2h JcTs8c7h7d KcTh9h4c2d AhKdQd6s4d 
AcKh8s5d4h KdQh9d7c4c 9s8c6d5d4c KsQhQd6c3s 
KdJh9h6s2d Ad7d6h5c2h Kh9s7c6h3s AhKcQc8s8c 
Tc8h8d6c4h KhQsJdTs4s QsTd6d4s4h QdTd9d9c7s 
KsKc4h4d3d KhTd9d4d3h Td8h7h6d5h Ac8c7h4h3h 
ThTc9d3h3c QsJh9s8s4h AsKs7h5c3s KdJc9d8s4s 
AhTh5d4d2c Jh8d7c6c5d QhTsTc5s3c TsTc9d3s3c 
KdJs7s4h3d AhQdJc7s5s KdQc6d5s4h KhTd7d4h4d 
AcQc6h5s3d QsQh8h4c2s KsKc8h7s3d KsTd8d7h6c 
Ad8s6s4h3d AdJs7s7h2d KsTh9s6h2h 7h7c5h5c4s 
Kh9s9h7d6c Ts9s8h7s5h AcKhQh7d3s AdJd9c3h2c 
ThTd9c8s6d KdQsQhJc2c KcTh9d8h7h QsQd8s4h3d 
JhTs9h7c5d QsJh9c8d7c QdJd8h6h4h As8s7s6h5c 
AsKdQd5h2c QcTh9c6s2s KsKdTc6h3h Kd8d8c6c4h 
Ah9s7c6d4h ThTc8h8d3d Ts8c7s6s4c Ks9h8s7c4c 
AdQc9s7d3h AsQs8c4c3c KsTsTh8d6s Kc9s9d6c4s 
KhJdJc6s5c Ts8h8d6s5d KsKcQd5s2s KhJs9c4h3s 
AsKsTs7s7c AcQs9d7s4d KsKc9s8s5s KdQdTc5h4d 
AcQh9h6c2c KdQs7h5d2s KhTh8d7s7h AdTd8h3h2c 
QsJs6s6c5c KcTsTc6c3s KhQh7d5s5d Jh8s6h5d4d 
QdTd6c5s3c Kd9c6h5d3c KdQhJc7h2d AcQdJs7d6d 
JhTs8h7h7d Js9h8d6s6d As9s9h7s6c TsTc7c4s4d 
As8d7c4s3c KdJd5s4s3c 9h8h8d5d5c AcQc5d3s2d 
KdQsJdJc2d AsJh9s9c5s QsJhTd7c4s KsThTc4s3c 
AcKsQh5s2d Ah9s9h8h3s Kd9h9d7d5h Ac9d8h8c7c 
Jc9h9d5h5c QhJhJc7s7h KcJhJc9c7c KcJc8h8d7s 
QsQhJd8s4c As8d5c4c2s As8c6s6c2h AcQs7s5c2c 
QdTd9c5c3c AdQdTd3c2c KdQsJhJd5d 8d8c7c6s4s 
Kd9h9d7h3c Qc9d9c6s4d Kc9s9c6s3h Kh9h9c7s6d 
8s8c7s6c4s Ac8c7h6c5s Ad5c4d4c3h JsTh8s5c2h 
AcTh8c6s3d Th9h9c7d3c KsKdJs7c2h AcKsQh9s3d 
KdQc6s5d4h JsJhTc7c2h QsJsTh3d2d QsQdTc9c3h 
QcThTc7s3s Ts9s7d5d4h Ad7d6h5s2h AsJs5h4d4c 
Tc8s7s6c5s KhQdTsTh3c AhKdTc9s4s TsTd9h7s4h 
Ah9s8h8d3c KsJsTd4d2s AdQcTs4d3d AcQs7h5c4c 
AsQs5h5c2c 8d8c7s6c4s QdTh8c7s6s KsKcQh5c2c 
KdJc6c5d3d QcThTd5d3h AhKd8s8c4h AdKdJd8d6h 
QdJs9d8d4s KsQcJh7h6d KcTh6d5d4h AcQdTs6c2h 
KhQd9d7h4h KsQh9s7d4d Th9d8c7h4d JhJd9c7d6d 
AhTh8d6d3h QdJc8d7c4d TsTh5h4s4d 7h7c5d4d4c 
AdQs9d8d7d AdKd9c6d3c KsJsJhTd2s KcQh9c7s4s 
AcTd7c6s2s AsTsTc9s7s KdTd9d7d6h Qh8h7s7c6s 
Kc8h8d6h4c KdKc9s6c2h KcJh6d4h3c KdKcQh4s2h 
QsJh8d6d4h QhJd8s7h6c AdQs5d4h4c AcKcTh8c2d 
QcJhTs8d4h AcQhJd7h6h AcTh9d8d6s AdQd9h6d5c 
Ah8s5c4c2h KdQhTc9s4d AsQcTc5c4h AdKc9c7c5h 
Tc9s7h6s4h KdQdTc6s3h As9d7c5s3h AsKhTc6h4h 
QhJcTsTc3d Ac7d7c5s5c QsJc9d7d4s JdJc4d4c3h 
AhJsJdTd6d Qd8h7s6s6d JsJd8d7h6d AsJhJc6c3h 
KhQsQd5h3h KsQhJs6h2s KcJhTc9c5d Ks7c6s6c4h 
JcThTc9d6c TsTh9c8d6s AhKc5s4d4c AsQd8s8c5s 
AdQhQd8s3d AhQdQc9h2h KsKd9d5d3c KsTs8d7s7h 
QsJs8h6s6h KhTc9h8c3h ThTc5h4s4c KsJsTc7s4d 
AcTs7d7c5c KdTsTh7c5d KsKdJh4d2d AcJd9s9h3c 
Ac9s9c7h4d JdJc9c4s3d KdQc8s6c2d Ad8h7d6c2c 
KcQdTd7h5s QhJc8h5d5c KdTs9c8h8c KdKcTh5s3s 
Kh9d7h6d4d Qh9s9d5s5h As8c5d4d2s QdJh9d8d4h 
AhKcQd8d5d AcQs6c4h2h KsKcJc7h3c Kd6s6h5h4d 
Kd9c8c6h5h Jc9h7h7c6c TsTh9s8d4h Ad9c5c4d3s 
KcQcTc6h4d KdQs9d7s4d QhTs9h7s3s JsJh7s6h3d 
Ts8s8c6s4c KsKdQh5d2d AsJh5d3h2s KdJc9h4d3c 
AsQh8h8c4c Ad9d5s4h3h As5s4h4c3h AhJs9c8c2s 
AhKdTh5h5c QsQd7d5h4c AsKcQh6d6c Ah7s4h4d3d 
Ad9c6s6d3c KhJs9c8s7s KdQcJh7h6s QdJdTc3c2c 
AcQh9d9c5c QsQcJh9d6h KhTdTc6s4h AhKsTh5h5c 
QcJsTd8h4s KsJc9h8d5s AdJc9c8c7h AcTc5d4d2s 
AdJd8h5d4s QcTsTc7h3h QcJc9h6h4h Qs8c7c6d5d 
KhJc9h8c3h Qs8d7d6s6c Ad9h7s6c4d AdKs3h3d2h 
AcJd9s7d4s QsQh7s7d3d KcTsTh8c2h QsTh9s9h4s 
AsKd8d6d5h KsQc9h4s3c KcQsJdJc5c KhThTd5c2d 
AdQs6d4h2h JsJd9d8s3d KsQd6d4h2s Tc8s8c7h5h 
Ks9d6s5c3d KdQdTs5c4d AhKh9s6h5c Ac9h5h4c3s 
AsKc8h5d4c JsJd5s4h3d Ah9s8h4s3d QcTsTd9h6s 
AdKsJc5h4h AcJc6s6c4s Qh7s6c5c4h 9s9d8h5s5h 
QcJhTs9h5d KsTd8s8h7s KdKc9h6h3s AsQsTs3c2c 
AdJh7h7c2d KhQsJhJc4h QhJc9h6d2c Ad8s8d6h4c 
AsJsTs9h6s ThTd9h7d4d KhJc9h4c3s ThTc7h5s4s 
KdJh9h5h5d KsJs9d9c3c AhQd9d8c5s JhJdTs7s2h 
AsTs7h7d2d JhTd9s7s2h Th9h8s7s5s KdJsJd8c3c 
AhTd9h7h4s AhJd5h5c4s AhTh5s4d2s Ad9h9d8d5c 
AsJs7s7h5d KhJsTd7s4c JdTs8s5s5d Qc8s7s6d6c 
QhJsTc7d5h QsTc6s4c3h QsTs8c7c4s KcJsJc8d3d 
AcTs8h8c4c Ah9s9c8s6c Ac9s9c6h2s Qd9d6c5h4c 
As9h9d8h6d JcTsTd7s5h AcTs8s7h6s QhTdTc9s6c 
QcTsTc7d3d AsTd9s7s4h AsJc7h6s2c QcJsTs7d5h 
AcKc3h2s2h QdJs9s8s2d QsTh7s7h5s Kd7h6s5s5d 
KsQs9d5d3d KcTh9h7s6h KcQcJc5d4h KdQh9s9d3h 
QsQd7c6h6c KsTs8d6h3h KsTc8s5c4s QcTd8c6d3d 
AcKdQd5s2h QdTs8h6s2d AhQdTsTc5s AcKcJc9c7c 
AdQdJd6h5d AsKs7c5h2d AsQcJd7c6c AsKh8h6h5c 
AdJhTs9h4h QdJc8c6s4s KsJcTc9d3h 9d8s8d6d5s 
KsKd4h4c3h Kd9c7s6s3d Ad7d7c4s4h QdJsTh6d5d 
Ad7d6c5h2c QdJc9h7h4d Jc9c7h7d5h AcKdQh5d2s 
QsTh9h8d3d JhTh9h9c5c KdJd7s7d5s AcTh8c6d3s 
QhJdTc9d5s KhTsTh8c2c QdQcTd9s3d JsJh5h4d3s 
AsKhQh6c4h QhJsJcTd2s KhQh9c5d3d 9d8d7s6s6c 
KhJdTd5c2c AsQc9s9d7s AcQsJd7h5h QhTdTc8c2d 
AdKcQc4c3s Jd9s8d6s6c QhJsTc9s5d KsTh9s8h3s 
AdTc7s6d4d Ac9c6d5d5c AcKdJd8d4s 9h9d6h6c4c 
AhKhTc6h3d AcTs8s7d6s KsTs9d6h2h ThTc9c3h3c 
AhQdJs5d3c QhQd8c5c3d QsJs9c6c3d KcJh9c5d2d 
KhTc7c5s4s KcQd7s7c6h KhKcJd4c2c QdJcTh7s6s 
QsTh8h5d3s KhQhTs6c3d KsQhTd8d6d KsJd6d5c2s 
Jd9s9d7s4h QcTc9d9c7s QhQc6s4d4c KsTs6d4d3h 
KdQhJsJd5d QsQdTh8h5c KcTh9h4h3c AhJs5d3h2s 
KsTs9s8d8c KsJsJd5h3c QsQd9s8s5h QcJcTh4c2h 
AcQhJd5h3s As7s5s5h4h AdQhQd8c3d AhKd8d6d5s 
QsQd8c5c3s AsQd7c5s4s KdTd8s6h3h Qc7d6h5h4c 
AcQhTd6s4h Tc9h8s7c4h Qs8h7d6s6d AdQdTd9d4s 
AsQc6c5s2s Js8s8d6c5d AdJc8h5d4d KcQdJsTh4h 
TsTd9s3s3d KdJh7h7d4h KhTs8s7c6d AdJh9h8h7c 
KhKc4c3s2d KcJhTd8d2h AdQhQc9d2d AsQc9c8c7d 
Tc9h8c7h5c KsJd9d8s4d KhKdQc5d2d KhJh9d7d4h 
QcThTd8h2d Td9d7c5c4h JsTs9c7h2c AhTs8h6c3d 
QsQd9h6c5c Jc8s8h7s5c AhJc9s9d8s AsKs7s6h6c 
Ac8d6d5d2c QcJd8c5h5d KhTd9d3s3h AdKcTd4h2s 
JsTs7c5d5c KsTs6s6d5d AsKd6d6c3c KhQd6d4c2h 
Ah9d5d5c4h Th9c7c6s3h Ts8s7h5h4d KdTd6h4h3c 
KhQhTs8d4c Th9c7c6h3d 9h9d8s5h5d AhQhTh6s3d 
JcTs9s4c2d KdQc9d6h5s KsJsTc7d4s QcJc9s6s3s 
Ac9d5d4c3s KdKcJh9s2s KcTh7s4c3h KsQs9d8d2h 
AhJcTc9c6d AhQc8d7c5s KsKhTd7c3d AsKh8d5c4h 
QdJd7s5s3h KcQcTd6h3s QcThTc8s3s KhJh9d6d3d 
QhQdTd9d5s Ts9c8c7d6c Qh8d7d6s6h QsJhJd6h2s 
Ad7s6d5s2c QdTd5c4h4c Ks8c7c6d5d KsTsTh7c4d 
AhKsTd6s4s QsJsTc3d2d QhJsJc6d6c KdQhJc5d3s 
QhTc9c4h3c JcTc9d7s7h JsJhTs9c6s JsJd4s4d3c 
Ah8h7h6c5s Jd8d7s5h4h AhKh6d3d2s AdQd5d4c3c 
Th9c8s7d6d QhJh8s7s4c 9s9d6h5h4d AdQd9s6d5h 
ThTc5c4h4d AhJdTh9h4h QhTs9c7h7d KdJs9h5h5d 
AsKsTd8s2h Ac9s8s6c4c AhJhJc9d2h AhTs6h4s4h 
AdTd5c3h3c AcKhJs4c3c Th9d8d7h5h Qh7d6c5c4h 
KsJcTd7c4h QsQh7s5c4d JcThTd9d6s AcQh9s7d6h 
AhJcTs9s3d AsJc7h6h4c Qs9h9c6c5h JsJc8d6h6c 
Th6h6d5s5d KdTsTc4d3c KdKc8s8h2c JdThTc7c5s 
8h8d7h6s4s JdTd8c4c3h QcJs9d8h7d JhTc5d5c4d 
AcKcQh7d2s KdQdTh6s3c AsQh9h8c5d Qd8d7c5h4c 
AdKc8d6h6d KsKc9h4d3c KsQsTd6h3c Qs9h7s7d5d 
Qd8d8c7c5h KcThTd4c3d AcKcQs9d3c JsTc8s6h5d 
KhJhTh9d6h AcTc8h6h3c KsQdJh7h6c KsTs7h5h5d 
Kh9s7c6c3h AsTh7h7c4c AhJsTs6c5d Ts9s7c6c5s 
QsQcTs9h3s AsAhAcQc7c QcJh8s6h4s Js9s9h7h4d 
KhKdTh7h2c KsJc7c4d3s AdJs6h5d5c AdQc4c3c2d 
AhTd9c7s6d KsQd7s5h2d KdQcJs7c2d Ah9h9c8h5d 
KsTsTd5s3d AcJs7s5c2c KhQcJsTc4c Tc8s7s7c6c 
KsQs6h4c3c QcThTd7s6d KsTh9c8d8c AdKd7c5h2s 
JhJc9d4c3h QdQc6s4h4c JhJc7s6d6c QcTd6d4c3h 
AdTc8h8d4d QsJdTc7h7d QdTd9s5s3s AdTc7d6h2h 
AdTh8d5s4d QdJh8s8h7c KdTh8h5d5c KdQsJs8s3d 
KsQhJh6s2s AdQd8h5h2d KhQdJs5h3c Jd8s6c5s4d 
AsTs9c6s5d KcTh9s5s5c KcQcTs8h4d As8s8h6h3h 
KhTs8s5h5d KhTd8d5h5c KcTdTc7h4s QsTd9s6c2c 
AdQsQh9c6c JsThTd9s7s QdJsJd7d7c AdQdTh6s3d 
AhJdTd6c5s QsTs7h6h3c Jh9s9h5d3s AdQsJc6s5s 
KcQcJsTh2c Qh8d7c6h6c KcTd9s8s8h AsJs9c3d2c 
AcKd6s6d3s AdJcTc6s5h Kh9s7h6s4s Td9h8c7s6s 
AsJsTsTd3s JsJcTd9c4h KcQh9c7h4c KcTsTc8d6c 
AsTs9c7d2h QhQc8c4d3h KsJsJh9c6s KcQd9s9d2c 
KcQdTs5c3h AdQsTd6c3d Jc9h8s6h6c Ad6d5s4h2s 
KcThTd6h3d Kc7h6s5h5c AdJd9s5d2s KhTs8c7s4c 
AsTc8c7d6c 9h7s7c5s5h AcKhTd5s3h JhTh7h7d5d 
KcQsTd8d6d AsTh7d5s4s KcJdJc5s3h 9s9d6h5d3s 
AhKsTs6d6c QhJdTs9d5c QsQd9d9c3h QhTc6h6c4h 
Kh9h9d7d3c KsKcQh8d5d Ac6c5h4s2h Ac7c6d5s2d 
JcThTc6d3d Ts9c8s8c6s JhJc5h4s3c KdJh9d6s3s 
KsQs7c6s4c KsTh7h4s4h KdJsTc4d3h QsQh7s7c3c 
AsQdJc5d3h AsTsTh9s7s KcTh9s8s8d As8s7c6d5s 
QhJd9d6h4d QcTh9s7d7c AcKc9h6c5d Jc8s8h7h5c 
Qc8c7h5s4h JhJc8c6s6d AsKh3c2s2c JhTsTh4s2d 
AdKc8s7d2h KsTc7s6s5h KcQhJh8h3c Qs6d6c5s5c 
AdQsJh5c4c AhTh7d7c2d AsKsJc7s3d KdQh5d4h2h 
Jc8h8d7h5c AcTd7s7c5c JsJd8d5c2s KdQhTdTc2s 
KdQc6s5s2d KhQs7h4s4d KsTh8d7s5c AcQhTh9h3d 
KsKdJc8h4c JhTdTc9c6s KcJc9s8d8c KsQdJsJh4s 
AsQdQc9h6h AcKcJs9d2c KdJhJd8s3s AcQd7c4d2d 
AdKsQs6s5s KhTc8s7h5d Ks9h7d6s3h QsJcTh9d2s 
KcQh6d5d2c QhTd8s6c5h KsQc8h6s3c KsQdTc9h4s 
QsQc9h9c3d Qh8s6h5d4s Ac6c5h4h3h Ah9d6s6h3d 
Qc9d9c8d5d KhJcTd7s4c JdTd9h7d3h KdTs9d6s2s 
AdQsQd8h3d TsTh7s5c4c QhTc9c8s3s QsJd9h6c5s 
Jh8s8c6s5h Ah7d6h5d2s Kc7h6h6c4d KhJd9h8d3h 
KcJs8s5c2h Jd8s7c6c5s QdTs9s9d2d AcTd8c6h4c 
Kc9c7s6s6c JdJc7h6s6c KhQsTs8s7s QsQdJh9s6s 
KcQhJdTh2h QcJhTsTd6c JdJc7s6h6d AdQs8s3d2h 
JhJc9h4d3c QhJd9h7s6c AcJhJdTd6d QcJsTh7d5c 
AhKsQs4s3d KsQcTsTh3d As8s8d7s5c 9d9c7d6c3h 
AhTd7h6c2c AdJd8c4c2c 7s7h5s5h4c JdTc8d7s2c 
AhKh6c3c2s JhThTc6s5d AsKs7d5c3s Qd8d7s5c4s 
KsJd8s7d3h AcQh8h3c2s KdJs9s9h5h KdTc7d6d5h 
KhKc5s4s3d AhQh8s4s3s AcJd7s6c2d QhQd5c2d2c 
9h7h7c6s5c KcQdJs8c5h KsQs9d8s7c AcKsQs8s8h 
Ah8c5s4s2h AcQs8d5c3h Kd6s6h5s4d JcTs6c5s5h 
AsKdQs7c3s AhJdTc9c2s KcJcTd7s3h KdQcJs7c5h 
Kd9h6d5c3h Qs8d6s5c4d JhJd8h7c6h Kh6s6c5c4h 
AdQd5h3c2h KhQsJs6s5c Td9c7c6d3h JdTd8c7s2c 
8h8c7s6c4s KdQcJs8d5h QdJsTh8c4s JhTc6h5s5c 
Qc8h6c5d4h AcKc7d5s3c AsQd8d6c5h Ad5d4h4c3h 
JsJd9h9c6h JcTh6d4h4c QsTc9c7s4s AcJc7d7c6h 
AcQh6s3h2c Ac9s8c6c5d KhQs8s8c4h Ad9d9c7s2s 
JsJh7c6h3s JsTc8s7d2c AhQdTh6c3h AsKc9c8h5c 
AdKhQc9s6s AdQcJh6c5c JsTs9h7s3h 9s9d8h8d4h 
KhQc6d5c3d QhTdTc7s6c KhKd4d3s2c AdKdQc7s2h 
AcJhTs7s4s KsJhTd7h4c 9h9c8s5s5h Kh9h9d7d3s 
AhKc9s9c2s QsJc9s8s4c AhKhTh8c2d QdJd9h6c3h 
Ah9s6c4s4h QsTs5h4h4c AsTd7s7c5s Tc8s8h6c4s 
Ac7c5d5c4d KcJhJdTc6c As7d5d3s3d KcJc9s9d3d 
Ac6d5d4c2s Ad8s6s5s2d AdJs9h8s2h JcTh6c5h5d 
Ah7h5s4c2c AdJh9s8h2s QdTd9h8h2d KhTh7s5s3s 
AdQdTh5d5c 9c7s7h6c5s Kd8h7h6c5c AhKdQc8c5c 
KcJsTc9c5h AhQcTh6d3h Qd9d6s5c4s Ks9s9c7s5c 
Qc8d6s6d5c QsQcTh5h4d Ad9h6s4h4d QsJc9h8d7h 
KcTsTd8c2d JcTc9s5s2h QsQd9s9h4c AcKs5d4s4h 
AcQh9c3h2s 9d8c6s5s4c AsKc7c5c4d AsKd9s3d2d 
QcTc9h5h3h AsQdJd8h6d KdQs7h7d6c Kh9d7h6s3s 
