QhJh4c3h3c 
ThTd9c7s3d AhJh9d7h2c JdTs8d7c2h Qd7h5h4d4c 
AsJd7d6c4h KdJd8h5s3c Ac8d6c4d3c QsQc9d5h3d 
Jd6h5c4h4d Kc6c5h4h2h Qh8h7s6s3d AsJs9d7s2c 
As7d6h3s3c Kd8s8d5h2s 8s7c5c4h3h QhJsJc9d3d 
QcTh9c6c3c Jc8h8d5d3h KhTc9d5c2d As9s6d3c2d 
AcKhJs8s3s AcKs9s6s6h AcKs8h2d2c AdKcJc3h2c 
KdTc9s9d3d QcJhTh8h2d KsTh6d3s2h Jd6h6c5c4h 
AcQc6d3s3h Td9d9c7h4s Ts9h7c6d4c AcQh7s3s2c 
QcJdTc4c3c 8d7s7d6c5h Ts8s8c6c3s KdTc5s4h3d 
KdTd8h7d5d 9h9c8d7h3d KsQs9h9d5c JhJd8h8c3s 
Jd9s7s4c3d 7s6s5c4c2d AcJh7c6s3c Kd8h5c4d3h 
Th7s5h4s3c AsJhJc4c3c Jd6d5c4h3c QdJc5h3h2d 
KhJd7s6c4c QcJc8s4h2h TdTc5d4h2c Td9c8s4s3d 
QhJc6c5s5d Qd8s7d5s3s KsQdTc5c3c KhJsTd3h2h 
AcJs9c4h3c Ts9h8h5s2h QsJs4d3s3d KdJs8s8d2d 
Kd6d5s3c2s Th7d6h5s4c Js9d7s4d3h AsJhJc4s2s 
Ks9h8d5h4d 8c7h7d5s5h QcTd9c6c3c KhKd5c3s2s 
JsJh8c6h4h AcTd9s7s3s Js8s8h5h3s As8c5h4s2d 
Kd8h5d4c2c Js9h9d6d2s AsQs8s5s5h Jh9h8d7h2d 
KhJh7c5c2h Ks6h5d4s3c KcQh7d5d2h Ks9c6s6c3s 
Qs7s7d5s4d JhTh5d3c2d KdTs7d4c3h QdJcTh8c2c 
Qh9d8c7h2c QsTc7d5c4h Qd7s6s5h3h 8h7s7d5c4s 
KsQh9h7d5h Ah6h5s4d2c QcJc9c6h5c KdQs9c7h5c 
Kc7h6s3s3c 7d6d5s4s2c AhJd8c5s5c KdQs4d3c2c 
AcKd6s3s2d Jd6d6c5s4s 9c7c6d3s3d Ts7d6h4d3h 
Ks9s7h4h4c Ts9c7h6d4h Ts7s6h4s3h 9h7s6c5h2s 
8d7h6s6d3s KsJs4h4c2c AcQs9h2d2c 9s6s6d5s3d 
Kd8h6d5d4c Qc8d7d6h5s AhKsQd7c2d 8d8c6d4c3c 
Kc8h7c6h3c Jh9d7d5c2h Jc8h8d5c2h 9d9c5s5c2s 
Qh9s6s4s3h KcTs9d5s2d AdJhTs6c3c 9h8s8h7h4s 
QhJs7d7c6s KhJc8h7h4d Kd9h7d5c3s Ts7s6c4d3d 
Tc8c7c6s4d 7s7c6h5c3d Qc9d8s8h7d Ts7h7c5h3c 
Jc8d7h6s5d AhJsJd6s4s Kh9h6s5c3d Js8h7d6c5h 
9s9c8s7s5h AhQsJh8h2h KcQs5s4d3h JdTs6h5c4h 
QdJc7d7c3d QsTd7d6s2s JdTc7h6h2c Qs8d7c6s4h 
AcQh9d8s3h JdTh6h4h2d QhJh6s4d2s Kc8s8c5s3s 
QsTs7c5c2d QhJh9c7d4s Kd9d8h6d3h Kh9d8h6h2d 
KcTd9c7c4c KcTd8h3d2c QdJd9d5c3h Qd8c6s6d5h 
AsQh8c6d6c Th9s9d8d5c AsTd9d5c2c Ah9c5h4c3h 
Jc9h8c7c2h JhTh7s4c2c Kd9d6s5c3h AhTh9h8h2c 
Jc6s5h4c3h AdJh8c2s2d QsTs6s6h5c Qs8d7s6c4h 
KhQsJc4d2s KcTd9d6s3h 9h9c7c4h3h As6h6d5d5c 
Js9h7s4d3h QcJc9c5s3d 9s7c5s4h3h AcQs7d3s3d 
KdQd6s5h2c JdTd7s6s2h JsJh9h8d4h AcJd7c6c3h 
KhQh9d7c4s Jc9h8h5d2d AcQsJh8s2s QdTc5c4d2d 
9s9d7h7d4d 9c8s7d7c3d 8c7s7h5d4s Qh8h8c6c3c 
9s9d8s3s3d QdJs9c8h3d TsTh6d5h2s KdTc9d7d4d 
Kh8d5h4s2s 9h9c7h4c3c Tc9s9d4c2s AdKh9h6s6h 
Qd9h5d5c3c Jd8c7d4h4c Kc6h6c3h3c AsTc9c5h2h 
Qs9c8h5h5c KcJsTd4s2h Jc9s5d4d3s 9s9c8d7c3d 
AsJh9s4c3s QhJd9s5c4s AdKs6h2s2h Jc6h5d4c3d 
KhTh8h6h4s AsQh9c5d3h Qd8c7d6h4s 9h9c5d5c2d 
Ks9s8h6d4c QsTc7s4c2d Td9s5d4s4d JdTc9s8c2c 
AhQh9d3s3c ThTd8h4d2h AcJc7s7c6c Qh9c8s7h3c 
QcTh8s5d4s Ah9h7h7d3c AhKs7d2s2d KsQs6s5d5c 
Kh9d7c6s5s Th8h8c6h4d KcQsJh5d2h KcThTd8c4c 
QdJh9d6c4d As9s7s7c3d 9d9c8h2h2c KdKc7c5c2c 
KhQs8c7c3s JsTc9c4h3c AhKs6c2s2c TsTd9s7s4h 
AhQh7d3s3c Td7s6d5c4h AdJs9c7s3h As7h6c3s3d 
JsJd9d6h3c Ah9d5h4d3h KdQh6c5d2s JdTd9c7s2h 
ThTc7s6c2s KhTd8h3s2d Jh6c5d4h3d Jh9c8s5c2s 
QcJd7d5d2c 8d7c6d4c2h JsTd9d8d2h KdQd9c7c2d 
AcQcTc3h3c Jd8s7c6h5h Jc8d6h5c2h QsTd7s6s4s 
Td9h5d4c3h Ks8s5h4d3h Ad8s7h7c6h 7c6h6d5s5h 
QdQcJc8c3s 9h9d8d7d5s KdQhJh9h2c Ts7s6d4s3d 
JhTc8c7c4c As9d7c6s2h Ad6h5s5h4s TdTc9h8d3s 
KdTs7d6d3h QsQd5h5d2d Ts9s5h5c3c KsTd9h7c4d 
Th9s5h4d3s QsJsTh4d2s QsJdTs4h2s Ts8s6h4c3h 
QsJc7s7c3s KdQc5d4s3d 9h9c7s4s3h KhTh9h5c3d 
6h6d4c3h3c Qh8d8c6h3c AdKh6h4h4c Jh9s5c4c3s 
8c7d6s6c3d AcJs9c3d2h KcQc9h7h2c 9h6c5s5h4c 
QdJs5h3h2d AhJh9d6h3s QdJs7d6s2h KcTs9s6h3d 
Jc8s7h6d5s 8s7s7c5d2d Jc9s5h4h3s JhTs5s5h2s 
Jc8h8d5c2d Js9c8d8c7c KcJh9c5c3s KsTh9s9c3s 
KhJc8d7c3d Js9h7s4h3c Kc8c7s6c4d Js8h6c4s4h 
Ac9s8d5d3s Ks5s5h4d2h Ts9d5s5c3c Qh6s5s4h3h 
Ah8c7h4h2c KcQs8h4h3c Qd9s9d8s3d KhQc8c5d4s 
Ac8c5h3h3c KsJd9s7s4c As8c6h3c2s Kd9s9d5c2c 
KdJd6d5s3h 9c8d6h5h4s AsTc7c5h5c Kc8d6d3s3c 
AcTd9s7h3h 9d8s7d7c3c AhQsTs3c2d JcTc9s4d3c 
AhQs7h3d2d QdTc7d4c2s Ks8s8h5d2d KsQh5c4d3h 
9h8s8d7c5d ThTd6s6c4h Qh8d7s6h4c AcJc9s3d2h 
QdQc9s6h3h KdJc9d7d4h Td6s6c5c4s Jc9d9c2d2c 
AhJc7h6s3h Ah8s7d5c4d Jh9c7c4d3h Tc9s9h7h4d 
AdJdTd6d4d KcJsJc7c3d JdTc9c8c2s As9h5s4h3s 
KdQhJs4c3c KhQd5d4s3c AsQdTc4h3h Jc7c6d5s4h 
Kd8s6s3h3d Ad9h6d5s5d QdTs5h3d2s Tc9s8d2d2c 
Ah7s5d4c2h KcQh9d7d2h 7d6d6c5c2h QdJcTh2s2h 
Th7s6d4s4d Kd8s5d4s3c AcKhJs6d2h Jh8h7s4s4d 
Ac7c6d3d2s Th9d5s5d3s 8h8c5s5d4s QhTs6h5h5d 
Kd5h4s3s3d 9s9c4h3s3c As8d7h5h3d Ad7c6h3s3d 
Js9h9d7s5s KdTd7s7c4d KsJd7c6h4h KhQc8c7c5s 
KsTc6d3s2c QhJs9d8h4c Kc9h8h7s7d KcJc9h9d5c 
Kh9h7d5d2d KhQd8s6c4d Kc7s7d6d2c Qc8c7h6h3d 
Ad8h5s4d3c Js8d7c5d3c QdTc9s8s3h Qh6s6h5h4s 
Kd5d4h3s3h Ad9d7d6c2c AsJs6d3d2h 9c6h5s5c4h 
KcTc8s7d2h JsJh9s3s2h QdJd8s4h2h AdJh8h8c4h 
Jc6h5d4h4c Jd8c7d4s4c QhJd8h7d2h AsJh8c4c3h 
TsTd5h4d4c Jc9d6s5c2s AdQs7c3c2d JhJd9s3h2s 
QdTh5h5c2d 8s8c7h5c4c Qd9c7s7d6d AsTh7d7c4h 
Ad8h6h3s2d Ad8s7c5c4h AsJs7s6c3h Th8s8h6h4c 
Ts8c7h5s2c Jh9s5d4d3s 9h8d7s7h3s JsJc8d6s4s 
Kc9h8c7c3h Ac9c6d5h3c Ts8c6d4s3c Kh9d9c4c3h 
KhQsJs9d2s QhQdJd3d2c KhQd8c6d4s QsJh9d5d3c 
QdJd6c5d2c QhTs6h5h5c Th9d8c4d3h Kc6h4h4c3s 
AhQc7s5d4d Jh9d7h7d3d Ts8h6d5d3h JhTdTc8h2s 
Kc6h4h4c3d KdQc6s5d2h Td7s6h4s4h AcJc7c6h3d 
KhTs8c7d5d KsTh7s5s2h QsTd7s4d2h AdQsJs5c2s 
AcQsJd3h2d KcJd8h6d3h AsQhJc8d3d 9c8d7s6c2d 
KcQs9s7h5s Jd8c7s6d3c KdQd9s7s2d QhTd7h6c2c 
Qc9c8h5h5c AhJc6h3c2c As6h5c4h4c AcTd8s5c2c 
KhQd4h3c2c Jc9c8d5c2d KsQh7h7c2s KsKh8c4h2h 
JhTc7c6h2h Ks8c6d4s2c AdKhJs8c2s AcKhTs4s3s 
KdQs8h4h3d KsQhTc5h5d AhKcTs6s3s Qc9h6h6d4d 
ThTd8d4s2s KsKh5d3c2c AhQh8h5s2c As9d9c8s4s 
Kc7c6h5s5d KhQs8d6s4c 9d8d7h6s4c AcQd4h3c2s 
Td9s8s7h5s KcTh6h2s2c QsJh9c6d3s KdJhTs8c3h 
7c6d5d5c3d Ac5s3h3c2s Ks6c5h4s3d AcTd9d5s2s 
Tc9d5d4c3s JsTd8h5d5c KhQc9s9c5d Jd6s6c5s4c 
AdKsJd5d2d KdTd8c5s4d KsKc9d6d2d Qs9c8d7s2d 
KsTh7h3d2s AhKd9d6s6d ThTd8s4s3d AdTs8h5d2d 
KsQd5d4c3h AdJs9c8h4c Kh9s7c6d5d JdTh9c7s2d 
7c6h5d4d2c Ad9d7h7d5d 9s7c6s4s4c Qd7h7d5d4h 
9s9d5h5d2h Ts9h7h6h4d AhQdJc8d2d QsQd8h5c2d 
Th7s7c5s3c KhQc7s5s2c Ah6h6d3c2c Ad8c7d5d3s 
7c6s5d4d2c Qd7c5c4h4d As8c6c3h2s Ks8c5s4h2c 
KdQsJh8c4h JdJcTs4h3h Kd9d7d6s6h QsTd9c7d3h 
QsQd9c6h3h AdQs7h7c5h Js8h7d6c5c KdQcJh4s3s 
TdTc9d7d4h QdJc9c6s6h Js8s8c7h2c KsQs6c5s5h 
QsJh7s7h3s Kd8s8d5h2h KsKd8d4d2c AdKhQc6h2h 
TsTh8s4d2d Tc8c7c6d4h Td8h6d6c3c Ts9s9h5d3c 
QdJh9s5c4s 8s7h7c5d4c Tc7s6c5d4h Tc9d7h6c3s 
Kh8c5h4s2s 9d7s5c4s4c Qh9d5s5h3s Qc7s5h4c3h 
Qh9s8s8d4d QhTs9d9c3s KhKc8d4h2h AsJdTc4h2c 
Jh8c6h5d4s Td8c7h5c3h 8c6s5c4s3s AcQs8h6h6d 
Jd7s6d4s4h 7h6s5c4c2h 8h7s6h6c3c KdQc9h9c5s 
Td8h8d7s2s Tc7s7h6s3h JcTs9c7h2d Ts9d8c6h4h 
Ah9s8d6c5c QdJh9s3s3h JcTc8d6s3h JhJd6c5s4s 
Td9c5c4d3s JhTd8h6c3s Ts8s6h4d3h Jh6d5h5c3d 
JdTs8d6h3c QdTs6s6d2s Ts8s7c4s4c QcJc8d4s2s 
AsQhTd6d3d Ah7d6d3h2c 9c7s6c4s4c Ah8s8c7s3c 
8d7h7c5s5c Ks9h7c6d5d 9c7h6d4d4c As9h9d7s4s 
Ac6h6d5s5d AdKsJc8c3c Ad7h4s3s2d KdQs5d4h3d 
KsTs9s5c3h KsQcTc4d3c QdTs9h8h3c KsTh8c7s3d 
Js7d5s4d3d Kh6d5c4h3s Tc8s7d5s3d Qs9c8h7s2h 
Th8h7h6c4d AsKc9c5c3h QhTc8s5d4s KhThTc5h3d 
AcKhQh6d2h AsKc6h2h2c AdQh7s7c5s Ks6h4s4h3c 
Ts8d6c5s3c KcQcTh3d2s Ad6d5s4h2c Td9s9h6c5c 
Jh8c7h4d4c Ah9h7h6d2d Td8d8c7h2c KhJdTh4c2h 
KhJd9s8c2h JdTs8h5s5c KcTs8h7c3d QhQc6s6d3d 
AdJd9h3c2s JcTd8d7s3h Ac8c7c4d2d Kh8c6c3h3d 
Kc8d6c4s3s QsQd7h4s2h KhJs8h7h4d KsJs7s5c2c 
Kc8c7s4s4h AcKdTh6h3h KsKd9s4h2s Jc8c5h4h4c 
KhJhTh7h3d Ks7h7d6c4s AcJc9d5c2h KcJc8h8c5d 
9c8s8h5c2s KcQdTh6h3h AhKc8h6h2s KsJs8d7c3h 
KsQd8c7c3d 8s6h6c5h2s AhQc6s5d4s QhJh7h7d6s 
Js9d7h4s3h Td8h7c6h4h Kd8s5h4d3s QhJh8c4h4c 
KsQc8c7h3h Ts9d6h5d2h QcJs9c8h4d KsJc7s7d2c 
Jc9d8h5d2h Ad8s6c3s2d JhJd9c3h2c JhTc9h6d3h 
ThTd9d7d4s AdJcTc4c3c JhJd9h6s3c AdTs7h6s4s 
KcQc9s9c2s KsJc8s8c2s Ac8h7s5s3h KhJdTs4d2c 
AsKc9h7c2d QhTc7s4c2h JdJcTd5h2d Kc8c5s4d3s 
Qh8d7h5d3d QcJc7d6c3d AcJdTh6s3s JsTs9c4s3h 
JhTh7s5s2s 7d6d5c4c2h KdQsJh4d2d Ah9s6h3d2s 
AcQh7d3h3d 9h9c8s7c3s KcQc6c5s5d KcQs6h4h2s 
QdJs7d5h3c JhTs7h4c2c QsTs6s5s4d Th9s7s6d3c 
KdJcTh5s5h Th8s8h7c2s Jh8s8h7d2s Ah9h8h6s6c 
Kh8c6d4h2c QsJd9d3s2d AdQc9s5h3c Kc9h9d6c5c 
Th8h8d4d3d KsTd6c3s2d Tc8d6s5c3s 7h6s5s5h3s 
AdKh8d6s2d 9d7s5s4h4d Jd8s7s5d3s Th7c6s4s3c 
AcTs5c4h2d 9d6s5c4d4c QsJd8d7s3s Td8s7h6s4s 
QsTh8c7d4c Kd9d6h5c3s Ks7s6d5h5c Jc7d5h4d3c 
Kh8s8h5c2c JdTc9h8h2h Td9c7h6s4h 9s9c4d3s3c 
Jc7s6d5s5d KdTd7s7c5d AsQd9d8d4h JsTh9c7d2s 
8h7s7c5s2c QsJcTc8c2d QdQcJs3d2d QsQh9d5c3d 
KsTc6c3s2h Qh8d7s5h3s Ad7s7d6h2c Ah9d6h5s5h 
9d7h6h5h4s Ac8h7c5c3s QcJs7h5h2c Qd9h8c7d2c 
KdJc9d7d4s JsJc8s8h3d AdQcTs6s3s AsQc7c5d3h 
JcTh6s6d5h Qh8s6d5h4h Td9s9h7s4c QcTs9d7c4c 
KhQcTh9h2h Ks9d6s6d3s QsTd7h5d4c QcJhJc6c3d 
Ac8d5c3s3h QhQc8d5s2h Jd9s5s5d4d Js9d8d7h5d 
Kd6s4s4d3h 9h7s6d4h4d AsKd8h6d2c KdJh7d4h2h 
9s8h8d5s2d 8h6d6c5s5d Kc5c4h4d3d Tc8d7c6s2s 
Td7d7c4h3h Jd8c6h5d2h Kd5d4c3h3c AhJsTd5c2d 
QsQh5s4d2c Qd9h7c6c5s AhKsJc6d2s Qc9d6s6d4s 
KcJc9c7s4d AdKh6s6c2d Kc9d9c2s2d Ac9h9d7s6s 
QdTh8d8c5d QhQc9s6d3d KsKd9d4c2d AhKhJh6c3h 
KcQs8s5h4d Jd8s7h5h4c JsTh8s2s2h QdJhTc8h2h 
Qs9s9c6d4h Ad9h6s5d2c AcKdJd3s2d Ts8d7d4s4d 
Qc8d7c6d3d JsTh7c5c2h KsThTd8c4h QsJs7d4d3d 
ThTd9h6h4s KhTh7s7d5h 8s6h6c5c2s AhKsQd6s2s 
Kc8c7h6c4d Jd8h5h4c3d KcQc9h7d4s Ah9h8h4s2s 
KdQh9d4d2h AhQdJd5c2d Jh9s7s4c3h AhJh5h4d4c 
Kh9d5h4d3d AhQh5h5c4h 8s6h6d5s5c AhJs7h6h3d 
KcJh7s4c2s Ah8d5h4c2s Ac8h5c3s3d AsQhTh2d2c 
KhJsTh4d2h QsQd6d5h2c Jd8h7h5c3c Kh8d6c4d2h 
KhQhJd8s2c AcTh9h5d2d Ac8c7d4c2d Qc9s8c5c3s 
Jd8s8d5s3d Kh7d5c4c2h JsTs8d7h3c AhKsQs6s3s 
Ac9s7d6c2h 6h6d4c3h3d KdQcJh6h3h KhJhJd5h2c 
KsJdTd8c2h AhKs6d6c2h 8c6d5c4c2d Js9s9h6s5d 
AdJh8h4c3c Ac7s5c4h4c TdTc7s6c2s 9c7c6d5d2s 
As9d9c3d2s Ks9c7c3s3d Ah5s3h3d2s JsJd7c5h4h 
AsQd7h6c3d JsThTd4c3c AsJdTh4c2h Qc9h9d7c5s 
QdTd6d6c5h KdThTc9h4h Jd9h9c7h5h KhQhJc8s2d 
Jh7d5d4h4c KdTh9h4c2c Qh7d6h4s3s Th9c7s6d4s 
JsTd9d9c4d Tc8d7c5c3d AhKhQh3d2h 8h7h5d4d3d 
QcTh9s9d3h Ac9c7d6s2h AdJdTc6d2s QdJd6s4h2s 
AhKs8h6h2d Tc8h7d5h3d QcTc9h9c4d JdJc7d6h4d 
Tc9h8d6s4s 9c8s7h6c2s QsJhTc8d2d Kc9d8h5d4h 
AcTs6h5d2c 7s6c5h4c2s QsJs8h4c2c Jh7c5c4s4h 
QsJc7s4s4c KdQh8h7c3c AhQsJc3d2c Js8d6c4s4c 
AdTh7h6s4h AsQs7c3h3d KhTs6h4d4c KdTc9c6h3s 
