8d8c6s4s2c 
QsJc7h7d5c Js7h6c4c3s Ts9d4s4d3c AsTd9d8d4d 
AhKh8h7h4h Jc9h7s3h3c 9s7d6h5d2h AhTsTc2s2d 
AhQd8c3d3c QsJh6c4c2h Qs8s6d5h4s JsJdTd3h2d 
KcJh9h8h5h KsTc8c6h6c 8d7h6h6d2c Ts8h6d6c5d 
7h6h5h4s3d QdJc5s5d4d QhJc8h5s5d AsTc4s3h3d 
Qh9s9d4s4d QsJd9c7s3h Qh7s6d5d2h QdJh4d3h2h 
AdQd7s4d3h AsQc6h4s3s QhTc9c7c5c AcTh9c6d2c 
Qd8s5s4d2h Jd8c7s5h4h Js8h8c6h5d AsQdJc7h3h 
JsTd8d3h2h QdJh9h8s3c 8h7s7h2s2d Qs9s8d7d2s 
Jd6d5h4h3h Ad7h6s6h3s JsTh9s8s3s AcTc9d5c3c 
Ts8c7h4h3s AsKs9c4s3d AdJd8s6c3d Kd9h8h4d3c 
Ac9s7s4c2c AcQd8h8d4d QcTc8s7h3d 9s9d8h6h4c 
Ad6c5h5d3d JdTc4d2s2c Kc7s7c5d3h AsTs4s4c2c 
AsQs7s7h3c KsJc7c5d3h 9s9h8c4h3s AsQdJd6c2h 
KcJc5h4s2d Qc8c6s6h3s Ad9s6h3d3c Qc9c7s6h6c 
Qs9s7d6s6c KdTc6d3c2c Jh9h9d4s2d JcTs5s4s4h 
AhQcJc3d2c Tc6s5h4h4c Qc8d7c5d3c Ks9s8h6d3c 
As6s6h5d3s KhTd9c4h3h Td6s5s4d3d QdJsTh4s2s 
Tc7c6c4h3h Jd9h8c3d3c Qc6h6c5d2h Qs9h9c4h4c 
Tc9h7d6d4d AdKd8d8c4d KsQhJc9c3c Kh8c6d5d3c 
AhTc9d5d3s AcTc4s4d3h QhJsTd3h2h QhTh7c5d3s 
QhQdTs5c2c QhQc8d3h2d 9s9c7c5d4c AdKc5d2s2d 
TsTh6d5s2d 8d7c6d6c2s KcJh8s6d4h Th8c7c4h3c 
Ks9s8s7s7c Th8s7h7d5c As7s7d6s3h As8c7d5d2c 
KsQcJh9h3h KdQh5s3h2s Qd6h5s4h3s KsQd6s3d2s 
KsJs9d8s5s QsTc6d6c2d Ah6c5s4h3h JsTd3s3d2h 
Tc9s6c5h3d KhQd7d3s2h KhQsJh6h3h KhQhTs5c2h 
Qd9h9c3h3c QdQc6d4h2s KhJcTc8s2c 8c6s6h4s3h 
Tc9d6c5s3h Kd7d7c5h3s TsTc6c5d2d AsTdTc2h2d 
9d9c6h5d3d Ad8c7d6d4d Jd9s9h5h4c QsJd6c4h3s 
QcTd8c7h3s Tc9s8h4c2h AcKh9s5d4s QcTd8h6d3s 
Js8s7h4h3c Ah6s5h5d3h Jd9c8h7d4s QdJs9s8h3c 
Jh7d6s4h3s 7h7c6h5s4h Tc6h6c4h3s Kc9s6d4c2s 
KdTd9c7d4d QdTs8h6s3c AdQd8h8d2c KhTc8d5s2h 
9c8d7d5c2c 9d6h5h4h3d Qs9s8s5h2h Ah8h7h6h6d 
AsQcJc6d2h QsTs9s5d4s KhTc9s4h3h Ac8c7s6c3d 
7d6s6d5c2s QcJd6s4s2d 9s9c8s8d2s KsJd6d5h5c 
AdKd6c4h2d 8c7d6c4s2s Jh9h7s7c6h 8s8c6d4d2c 
5d5c4h3h3d Qc6s6c5h2s Ah7h7d6s3h QhJsJd7d3c 
Kh9s7c6s6d Kh6h6d5h2d 8s7h6s6h3h KsQdTc4d2h 
Qs8d7s6s6h Tc9h8s6s4s QdTc9c7c4s QdJc8h8d4s 
KsTd7h5h2d AhJd9s4s2d QsTh7h5c4h AcJh9h8s2h 
Jc7c5s5d3s KdJd9d8c4h Ah7d7c5s4s AsKs6c4d2s 
Kd9s9h7s5s JcTd8s7s2h JdTh3h3d2s Jc9h6s5d4c 
KdTd8h3c2c Qc9c5s3s3d KsQhJd7s3s KcQh9c5s3c 
TdTc6c5h2h QhTc9c7d4c Qc8h6h6c3h 8s6d6c4s3c 
QhQc9d7d4s Jd9h8h2d2c Qc9s8d5s2d Qc9s7h6c2s 
QsTs8c7h3d AcJh6s5h4d KcTc8s7c4c KcQcJc4h4d 
KhQs9h9d5h AcKc8h8c4c QhQc8s3s2c QsTs9h9d3s 
Td9h7d7c4s KhTc9s5c4d QcJh9c8s4c KdJdTd2s2h 
Ac9s6s3s2c Kd7s7h6d2s QhTd4h4d2d Jc8h7d5s4s 
Kd9d8h4c3h Tc8d7h7d6d Qc9c5d3s3d AsJd6c4c3d 
Js9c6h4c3s JsTs6h6c4s Td8d7s5s2d 9d8s8h7h2d 
KsJc9h3h3c Ac8d6c5c3h Jh9s9d5s4c Tc9h9c6c3d 
7h6h6c5s2c Qd8h5d4h3c KcJc7d7c4h AcTs6s4d3d 
AcJc7h6d2s Ad5h4s4d2c As7d6d6c3c KcQd8h8d5s 
JcTs5s4h4d KcTc7s3s3c Ks9h8h8c4c KcJs9h7h4d 
QcJs7s5h2h AcTd9c4s2c AcKc8c7c3s KhQs4c3s2c 
9h9c8c5s4d 9s7h7c5c2h KcQdJh8s3d 7c6d5s4h3s 
AdKd6s4c2d JsJd9c6s3s AsQd9s7s4s 9d7s7d5h4c 
Ts9d7h5c3d QcJh9d8s3h JhJd7s6s2d Js8s8d5s4h 
QsQd9h8c2h Jh7h6d5c4h KcJh9d5s3h AdKd5c3d2h 
8h7d6d3s3h Kd6c4s3d3c Js8c5s5c2h Qs9h7d6s2d 
QdJs7s4d2c AdQcJh7s3s 8c7d5h3h3c KcQcTc5h5d 
Js8c7h7c3s 9h9c5c4h2d Ah5s4h3d2c QsJd5h4c3d 
Ah9d7c6c5c KcJd3d2d2c Kc9s8c4d3s 7s7c5h5d3s 
Th8c6c4d3d KdTsTc4h4c QhJc9d6c3s Kh9h7c3d3c 
QhJd7s5s4c JcTs3s3c2d Qh8s8h7s2c KdTd7c5d3s 
7s6c4s4c3h Td9h7c6d3d 9c8d6h6c3d ThTc6s4s4d 
AcKc5d3c2s 8s6h6d5h4c KcTd7c5s3c Kc8s7d4s2c 
Jd7c6s4s3d QdJd9s3s2s Js9h8d8c5c 8d7s6s3h3d 
Ts8s7h5c2h QhTd6d3c2h KsQh5c3h2c Kd9s8s4d3h 
AdTd6d4s4c KsTc8d7d4d QdJh7h5c2c Th9d7s7d2h 
AcQc7c5c3h JhTs4h2s2d 9s9h8d4h3s 8d7d6s3s3h 
9d8s7s5d2d Ts7h6d5s4s QsTdTc7h3c 7c6d5s4h3d 
QdJhJc8s3h Ac9c8s4h2d AcTc5h4c3s AsKs8h4s3d 
AhKsKdKc3h Kd7h6h3h3d Td7s7c4h4d Qh8d7h6s6h 
AdKs9h5h4c QcJs7c4h2s Js9h7d3s3h KhTh4c3h3c 
Ts6s5h4s4h QdJc9h4s3d KsTc9s7s2h 9c6h5h4h3c 
KdTh8h6h6c 9s9h8d5d5c Jc9c7c5s4h AdJh8s7h3c 
8c7d6d6c2h KsTd9h9d3d AcKs9h5s3s Ts8d6c4s2c 
JcTs5h4c3c 9h8h7d6s6h Qs9d5d3s3d KcJc9c8s4h 
KsQd5h3d2h KsQs4d3d2d AhTd8d4s4c Qc8c5s4h2s 
Kh9h9d5s3c AcKhQd7h2h Td9h7c5s3h Th8s6s4h2h 
AsKs4c2s2h Kh9c5h5c2s KsTs7d5s3h Kd9s8h4h4d 
AhJh8d6s3h Js8h6h5c3c 8s8h7d3s3h AdJh9c5c4c 
Jd9s9d5d5c Kd6h6d5h2d QdJs9h3h2s JdTh7d6c3d 
AhKs9d5c4d Qd8h5h4d2s TsTh6d5h3c KhQh9d6s2c 
QdJcTs5s2s Qh9d8c7s5d 9s8s8d5s5h 8c7d6d6c2s 
Qs8c5c4s2h KcQs5h3s2h Jc9s9c7c2s KcQh8d3h3c 
KdQdJh7c3d QsQc8d3c2d KcQcJc9h3c QcJh9c3h2c 
KcTc8d3d2s KdQd9c5d3s AhJc6c5s2s Js8d5h4d2s 
JhJdTd3s2d JhTs9s5s5d 9c6h5c4c3h Tc7h7d4s4c 
JhTd9s4c2d Kh6s6c4s2h QcJsTd3c2c 9d8h8d4c3h 
Kd9c8c4d3h Jc8h6h5d3d 7c6d6c5s2s Ts9d7c5h5d 
AsThTd5c3d KhJh8d4d2d 9c7s6s5d3s QcTc9h9d4c 
9h8d8c7s5h Jd9c6h5d4s Qh9d9c5c2d Td9h9d6d3s 
Qh9s9c5c2s Kc8h7s5h3s AhJc8h6h3s Qd6h6d5d5c 
Qh9c7d4h3c Td9d6d5h2h 9h9c5d5c4s JcTd7d3s2c 
KdTh8c5s2d KcJd9h5s3d AhQh8h8d2c QdTc8c6h2s 
Ac7d7c6c3s 7d6h6d5c2c 9h9c8s6s4d Qd8d6s4c2s 
KhTh8s8d5h JcTd8h7s3c Qh8d6d4c2h QdTd7s5c3h 
QsJd5h3h2d KsQs8c7s5s KhQd8c6h3s QdQc7s4c3h 
KcQd9s8s5h KdTc7d5h3d KcJs4s4h3h KdJh4s4h3s 
Kd8c6c5h3h Qc9d8h7s5d Qc9s9d6c4h AhTh6h6c3d 
KhQs9h9c5h KhTs6h5c2d Th7h7c4c3h Ks8h7d4s3d 
Kc8s7c4d3d AhKh8d7h3h KhTs9d6c3c 9h7s7c5s2c 
QsQd6h6d2d 9d7h6h5c3h KcQsJc2h2c AdJd8d6s6d 
AhKhJh7h2d QsQcJh4d2d Qs7s5c4c3c Qs8s7d6s3d 
9d8h7d4h4d Kh9s9h6h2s Js9h6c4c3s As7d6h6d3h 
Ad7s6h4d3d KcJc9c8c5s Ks9h8s7d4c JcTd8s8c3h 
QcJs6h5s3s QhJc9s3c2s KdJd8c6d2c Ad7d4c3s2c 
Ad5h4d3c2s 8d7h7d6d3h 9c8d6d4s2s JsJh9d4h3c 
TsTc6d5s2d Js9c6h4s3h Ac9h7s7h5h Qs8d6s4c3d 
JsTh9h5c2d TsTd6s5c2c AhKc9d6h2h Ts9d8h4s2h 
KsTd4h2s2h QhTc6s2h2c 9h8d6h6c3d AdJh6s5h4c 
Qc9d9c6c5c 9s9h5h5d4c Ad6h6d5c3d KhTh7c3h3c 
AhQsJc4c2c 9h8d7d5h2d Ad9h7c6c5c Ts9d8d2s2d 
ThTc6h5s2s Kh7h6s4d2d Js8c7s6c3s Ad8h6s4d2c 
AhTs9s5d3c Td9c8h4d2h Td9h7s5h5c AhJh9c8h2h 
Ts8s7c5c2s KdJd7s5h3d 9s7s7c5d4h QsJd7d5s2d 
AdJh8d6d3s Kh9c8d4h4d Qd8s5s5d3h As7s7h4s3d 
Tc9s7d5d4h Ac8h6h5s3s KhJh8h6s4c QsJd8h6d4d 
QhJd5d4c3s Td8c7s7d3c AsJh9s3s3d AcTd5s5d3s 
Jc9c8h8d6c JsTs9h7s4s Jh8s8h6c3c AdQsJc7c3c 
Td9c7h7d2h QhTh9c4s3h KcJd9h7h4s Qh8h8c5s4d 
AcJd8d5h3s AsTs9d4h2s AcJh8h5s3d Tc9d7d7c2d 
KdTs7c5c2s AsQh3s3d2c TsTd9d4c3h QsTd6s3c2d 
AdJd7h6s2c Qc9h9c5h2c KhTh5c2d2c QdTh9c5d2s 
Ts6s5s5c4c QhJc9d8s3c Ah8s7d5d4d 9c8s6s5d4s 
AcJc5c3h2h AhTc9c7c4c JdJc9h4s3d Ts9c7s7d2d 
Jc8h8c5c4s KhTs7h5c3h Ks9c8c6c5d KsQdJs2s2h 
Kd7h7d5s3c QhTs8h2s2h AhKd9d6d3c Ah6h5s5d2c 
AcKc9h4s3c KsJh6d5h3c Qd8h8c7c2d QhTd9c7c3s 
Ks6d4h3s3d Kd9h9c6s4d KhJs7d5d4d Js8c7c6d2s 
Kh7s7c6h2c AdJs9h7h3c JdTd4s4c2s 7s7d6d5s2d 
KhKd9d3s2d Kh8s6s5c3c Qd8d5h4s2h KsQc9h8s2d 
Th9s8c5d4c KdJd6s4h3c AdQs5h3s2h AhQd9c8s4c 
8s8h7h6h5h 9s7s7c5c2d 9c8h7h6h2c KdJs6h5s3c 
Jc9d6h4h3c KhQd9s7s5s AsQh8c3h3c Qc8h5h4c2s 
AhQd6s5s5c Ts9d7h5d5c AcQh9h8d3h Qc7s7h4s4h 
Jd8s5c4s2d 8s7d6h6c4c KcTs9h4d2c Qh8d6c4h3c 
QdTh8s4d4c 7c6s4s4c3d KcJhTh3d2s QhTh9s9d3h 
AhKd7s4d2c QhJh6d3h3d Td8h8c4h2c Jh8c7c6d2h 
Ah9d8d7c4s AhKc9s5d4s QsJcTd3h2d QsQc7c5c3h 
As8s7s6s6d Ks9d9c7d5d KsTc8s3h2h KcQcJs7d3c 
TdTc6h5s3c AsKh7d4h2c Kd9d5c4c2h 9h6s6d4s3h 
Qc7h6d5d2c Kc8h8d7s6s Jc8d8c6s2d 9h9c8d4h3c 
KcJd6s5d3h QsQh7s5s3c AcQc7h4c3d JdTs8h6c3d 
9h7c6c5s3c Jh8d7c5s4s 8d7h5c3d3c QsQh6c5c3c 
AsKdTd3h2d Qh8h8d7d2s KdJc9d5s5h JdJc9s8h4s 
AdJc8d6d3h AhJs9c4c2s AdQcJs7h3h Tc9s7h5d3s 
KhTc8h3s2s Kd9s9d6d2s 9d8c7c5d2d 9h8h8c7s5h 
Ad7d7c4d3h QdTh9d5s5c QsTs9h9d4s Qc8c6s5h4c 
KsQs4c3c2c Jc8d6d5h3h KdTs9h4d3d Jd9h6h6d3d 
Qh9d7s6d2h Qc8h8d7h2c JsJdTc3c2h AdKd5h3d2c 
KsQsQc8d2s Qs9d6s4s4d KhQc9d8d5s 6d6c4s4c2d 
Kc9h9c5d3s QhJs5c3h2c QhQd8h8d8c 8h7h6d3s3d 
Js8s7h6h2d 8h7s5c4h2c Jc9d9c4h2d Qh9d9c7s5c 
Qs9s9c5h5d QdQcTs6s2s JdTh7h3s2d AhJdJc4c2s 
QhJh7h4s3s KsJdTh8d2d 9h8h7s7d3d QsTc8d6c3h 
AcTh9c6s2c QhJsTh6h2c JcTs7s3d2c JsJdTc6h2s 
KcJh4s3c2s KcQh7h3c2d KhJh7s6h4h 8d6c5d5c3d 
Qh9s8s7s7d Qh9c7h5d2c AsJd9h4h2d 9h8h6c4c2s 
KcJd9h3h3d AcKs6s5d2s KcTd7s6d2s QsTd7d5h4d 
AcJd8s6h4h Kd9h7d7c2h JsTh4s2h2c Ah5d5c4s4c 
AhKd6d4s3d AsQhJh6d2c QdQc5c4c3c AsQd7s3h3c 
Kc7h6d4c3s QsQh8d3s2d 8c7h6s5c3c Jh9s6d5c4h 
KdTd5h2h2c AdKd9c6s2d KsQdJd6c2h Tc6c5s5c4s 
Qh8h8c5h3c Kc9d5c4d4c KsTd6h6d5c KsTh9s5d5c 
Ac6d6c5h3c AhKc6d5d3d KhQsJd3d3c AcQc9h5c2s 
KhJd8h7c2s QdJcTc3s2c Jd9c7c6h6c Qd8h7d6d6c 
Jh9h5s4s3s KhJh7h7d4s AsKhQd8d3d Ts8s7c5h2c 
Jc9h8c4s3s AsQd9d7c4d Tc9d6c5c2d JhTh8h7d3c 
9s9h6c4s4d Js9h8h2s2d AcTs9c3h2c AhQsJs3s2c 
JcTc9d7c4c QdJs7s5c2c AsQh6c5s2s Kc5c4s4h2h 
8s8d6h4h2s Td9s7h5h3c QhJh9d3d2d Qh9h7s6h6c 
JhTd6s6c4d Ac7s7c4c3d Js9h8d8c5d Qh9h8c7c2h 
KcTh7s6h2s KsJd8h5s3c KhJs9s6c3d KdTc7h7c4s 
KsJd7d5h2h Ks7d6s6h5s Js8h7h5h4c KdQsJh9h3h 
Jc9h8d7c4s QcJcTd8c2c Jc9d7h3d3c JhJd9c8s4c 
Tc8d7s7c3d Ts8s7s6h6d Th9h8c7h5h Qd8d5s4c3c 
ThTd9c8s3h 7h6h6c5d2d Ks9s9h7d3c JcTd8d5d3h 
Qh8h6d6c3c JsTh7h3d2s AcTsTd5d3h JhJd3s2s2d 
AdJc5c4h2h AsTd8d4h4c AcQs9h8h4h Th9s7d6d4d 
QcJsTs3d2s Ad7d5d5c3h KcQsJs4s2h QdJcTs3h2s 
KhTd9c7s3c QcJd9d8s3h AsTh6h4c3c Ks8s6h4d2d 
Ts8h8d3s3h KhJd7h3c2d Ah9d6s4h3c QdJs9d8c4d 
KdTh9c7c3s AdKsKhKd6c Kc8s6d6c5c AdTh9d6c2d 
AhQh6h4s4c JdJc3h2h2d KsTc8c6d6c Jh9c6h6c3h 
KhTc9s4d2h 8h7d5c4d2h KdTc9d7d2s Qc6h5h3s3c 
KdTh9c6s3c Ks9d8c7c2d QcJs8h7s4d QhJd8s8h4c 
Td8h8c3d3c TsTc6h5h4d KdTs8c5d3h AdQd7h4s2c 
KcTd8s5h2c Kd8d6h4h3h KhTc5s5h4h Th8s8d4d2s 
KdQhJd3d2s Qh8h6h5s4c Qh9c7s4h3c Jc9s8d3d3c 
AhJd6d5c2c QhQd5d4d3d KdJsTh4h4c AsQhJc4c2c 
Jd9s6h4d3h Qh9d7c6d2h KcTc4h3h3c KcJd7c3d3c 
Ts9h8d5c4d Qc6d6c5s2d Ah9d7d4h2h 7s6h6d5d4c 
Qs8h5s4c2c AhJc5h5d3h 7h6h5h4c3d Tc9h7c6c5c 
QhTd9h7s2c AdKcQs8s3s Kh8h6h6c5d KdQdJd4h4c 
Th9s9h6h3c Td8d5s4h3s 8s7s7h5h2h Ts9d7d7c2s 
Ah8d7s6h3h AdJd8d4h2s 7s7d5c2s2c Qh9s6h4s3s 
QcThTc7d3c 9s7h7c4s3c AcQs6h4s4d KdQhJc3s3c 
9s8d6d6c5h AcKs7s5s2h AsThTc5d3c Ts9d8h7h4c 
9h9d8h5c4s KdTd8h7d4d KcTs9h5s4d KdJs6s5h5c 
QhJs8h3s3c Ac7d7c4c3s KcTs6s6h5d AdKd8h7d3d 
JdThTc6d3d KhJs9c4s2c JdTc4d4c2c Kc7s7d6c2s 
QsJc8s8h4d Kh9h6c4h3c Jc8h5h4h3c 9s8h8d7h2s 
QcJs7s4c2h KsQh8c4s2c Kh9c8c6c5d Jh8h6s5h4c 
AhTc9s6s6d 8h6d5h5d3h QcJd4h4c2h KdQh9c8c5s 
AcTd6s5h4d QhJh5d4h4c Jc6s5s4d4c Kc9s9d7d5d 
KcJd9s7h3d Tc9h7h7c2h AdKc7s4c2h JdTh4d2h2c 
Js7h5h5c3s KdJs6c5h3s Ac5d4c3s2h Ad8c6d5d3h 
KhJc9c8c5c AcQc6s6c5c QhTd9d8d2s KdJh6d2h2c 
KsJc6s2d2c Qc6s6c5h5c AcKs8s5s2h KsJsTc6s2d 
QsTs9d4h3s As7h6h4d3d AdKsTs7s2s Ts7h5s5h3d 
QcTd9s4d3h Jh9d9c5d4s KhJdTd4c2d Kc9d6h6d2c 
TsTh6c5d3s KdTh9s4c2d Kh5c4h3c2s JdTh9s4c2h 
KhQs9h5d3h Ad5s4d3c2h Ad8s6s5h3h Ks9d8s4c3d 
Jd9d9c4h2c QcTh7d4d2c JsJd9d5d4d QhQd9c7c4s 
6h6d5h4c2c Kd8s7h4s2d Jd9h7d5h2h QsTd9d7d4h 
Kc6h5s4d4c QhJc7c4h2d AhJc8s6s6d AsQd9c7d3h 
8s7d5h3s3h KdTs7s7h4c Kd9s8c7c2s AcTc5h4c3d 
9d9c6s5d3d Td8s5s4d2c Kc6h4d3h3c JsJc9h8h2d 
JhTh8s4c3d JhJd7d6d2h 9s8s8d4h3d 9h8s6d5h4h 
QdThTd8c3d As9d6s5c3s JhTd9s4c2h KhQd7c5s4c 
AcQd8h8c3c KdQs9h7c4s As8c6h6d3s Qs7c6h5h2s 
Jh9c7c6d6c KcTsTd8h4h QdJh7h4d2c JdTc6s6h4c 
KhJs8s6d4c QdTs9s9h2s JdTc5c4s4h AsKc7h6s2s 
Kc8h8c7c5s KhJcTc3d2s AcJs6d5s4h QhTd8d2h2d 
AcQs6h4c3c 9h8h8d5s5h 8h6d6c4h3d AsQc8h3h3c 
Kc9d7h7d3h KhJd6c5s5d 9d8c6s6c5h Qd6h6d5d3h 
