QdJh5d4s3s 
JdTs8c5d2s ThTd7d6c3h KsKhJd4c3c KsJs9s8d7s 
KsQsQh8s6s Th9h9c8d7s AsJdJc7h5h QsQc6c3d2s 
Js9h9d5h4s QdQcTh9d4d KcQcTs5s2c QcJs5d4c3d 
AhJh9d6s5h QsQd7h6c5c AsJd9d7h6c AhJh8h5d2d 
KsJd9c4c3s AcJd8s7s5h QsQdTd4h4d QcJdTc8s4c 
Jh8d7d6s4h Kc9h6d5c3d Jh9s7c6s4h JsTs8h6c5s 
KdTd8h8c7d QsJdTsTc2s KsTs7d4h3h KhJh6s4d3s 
KhKcQh7h4h Ks8h7d6d5h Jd9c6s6c5d TdTc9c7d3c 
AcQh9s8s2h KdKcQc8c4s JdTc8h7d2h Th9d7c6h3d 
Ad6d5h4h2s KcTs9s8d4d Ah8s8h6h6c KdQsJh5s4s 
AdKdTs3c2h QhTc9h4c3c AhJs8c7c5d KcJcTs9h4c 
QsJc8c6s3h Qd9h8d5h4c QhJs9h6s3s KhKd9c8d2d 
JcTh8h8c2s Qc9d7d6c4h KcJhTs6d5s QcJh4h4c3d 
Kd9s7c6h5d Ac8c6s6d5h Qs9h8h6c4s Ad9d6c5d4c 
AsJcTd9h3h QdJs9s9h8s Tc8h6s6h5c KsQhTh6c2c 
Tc9d8c7s6c AhQsJc9d4s QcJd9c8d3c KdJcTd9d3h 
QsJdTc7d5h JsThTd6s6c KcQdJs8s2d QhJh8c7c4c 
Ad9h8d4h2s 9h9d7h5s4s KhTh6d4c3d AsKh6h5d4h 
As8c6h4s3h AhJsTc9d3d AcTh6d6c2h JhJc9c5h2c 
QsQc9d7d2s KdJsJh7h6h QcJdJc5c4s QsJc9s6c3c 
Th8d6c5c4d AcKcQc9s2h KdJdJc3h2h QsJs9c6d3d 
Js9d7h5s5d QcJcTs8c5d AhJd9d8d5c 9d9c8d8c3d 
KdJsTh7c3d JhJd5h4d3s KhKd9h4h4c JhTh7c5d3d 
Td9s9h6d3s KsJcTs5d3s Ad9h9d8c3s Qd9s7c6s4d 
KdTc8h5d3c KhTdTc5h2c QhJcTc8c6c QsJcTd9h4c 
9d8s6d6c5c Th9c6d5h4d AsKs8h5c2d Td9s9d5s5d 
AsQs7d6c4s AhJs5s5h2s AdKdTc3s2h KhQd9s8d8c 
KcTc9h3h3d AhKsQc7d4d JhJcTs6c2s QcTs9h5c2s 
AsTsTc4s2c QhJs8h5s2c QdTh9s8s6s AsKc8h5d5c 
AdJc6d4h2c QhTd8d6d3h KsQcJcTh3c TsTc7s6d3c 
JsJhTd5s3c QsTd9d5h2s QsJcTh8c5c JdJc9d6c3d 
Td9h9d8c7s AcTh6c4d2h KsThTd7c4s Tc9s9h6c3s 
TdTc7c5s3d AhTsTd7d5c AdJs9s3s2d 9c7d6c5d4d 
KdQd6h5h2s QcJhJc5c4d AsJs8s5c2c Ac9d5d4h3c 
QdJhJc5s5c Td8h6s6h5d QhJsTc6c5c Jc8h7c6s4s 
JdTs9h8c5d QdTs9s5h3h QsJsJd8s6h AsQc8c7h5c 
QcJs7h5h5c KcJd7d4s4c AdTsTc7c5h QsJhTc9c6c 
AsKdTc8c4c As8s7s7d5c AsJh8h3s2d AhKsJh5c2h 
JsJd5c3d3c KhTc6s6h3c QhQcTh3h3d Qs7s7h6c5h 
Ad8s7c5h3d KcJd8h6s5c QhJd4h4d3c KhKcQd8c4c 
Kh9h8c6d5s TsTh9h7s3h AcKh5c4c3s KsThTc5c3h 
KdJsTc7c5c AsJcTc8h2d 9h9d7s5s4h KsKd9c6h4c 
AdJh8s2s2d AhTh7d5h5c AhJcTd9c3c AsTd6s5c2c 
QdJhJd5d4s KsQh6s3h3c QdTs8s4d3h QhQc9h6d2d 
AsJs9s6c5h QcJsTs9d2h Ad9s8d4s2h Ah9d5s3h3d 
Jd9d6s6c5s KsTs8d5d5c QsJhTsTc5s KsKcQc8c4h 
9c7d6h5d4c KsJs9c5h2h Qd9h6c5d3h AsJsTd6s6c 
KhJh8h8c7d QdJd9h5h2s QhTs8s4c3h KhQs7d6h6c 
Jh9h7c5c4c AsTd8c4h3s QsJh9h9d8h AhTd8s4c3h 
9c8h6d6c5d AsQs7s6d4h AcJs9h5c2d QdJc9h8d6d 
KhQc5c3d2h Th9c8s6s4c AdJh8d5d5c KhQsJcTd2d 
AdKdTc3h2s 9d9c8h7s7d JhTc8c7d5s KhQdJs8s2d 
8d7h7d5c4h KcJd9s4s3c KdJhTsTh3c Td8h6h5d4h 
KdKcQh6h2s QhJsThTc2h QhQcTc9d2c QdQcTd9s4d 
JhJc9c8h2h AhKd5c3c2d JhTs8d7s5c QdJsJd5h5c 
KhQs9s8h3s QdJs5d4d3s Ac8c6s6d3d KhQs4s4h3s 
9s9h8c7h7d AsKc5s4h3s Qc8h7d5d4c 7s7h6s4h4c 
9d8c6h5c4d KsJh7s7h4s AsJc9h5s2d AhKd6d5d4c 
QdJc5d4d3c 7s7c6c4s4h AsQc9d8c6c AdQsTc6h4c 
As9h6c4c3s QhJsTd9c4s AhKdQc6s4s AdKcJh6c4c 
KhTh7s5d4c AcTh8c5s5c AhJh7d7c5h Ac8s7c4s3s 
QdQc6s5s2c KhQc6h5d2d AhQd8h6s4h Ad9c5s3s3d 
JcTd8s7c2s JhTd7s6h3s KsQsTc7h5s JcTc7d5s3s 
KsQc7h6c2s KdTc9s3s3d 7h6c5s4s3c Th8h8d7d4s 
Ad7c6d5d3c AdTs9d7h3d AdQcJh7h4s AsQd9c8h7c 
Ts8s8c5d4c AdKc8d4s4h 9c8d7h5c4h KcQsTc7s2c 
QdJsTd6c2c KcJhTc5s3c AcQd7s3d2c AcQh8d5d3h 
QsJcTd6c5c KcQh5h4c2c JsTd8s7d3s Td8s6h5h4s 
JsJhTd6h4c KcQd9d8c3d Ac9c7d6s4h KhKdQc9s4c 
KcJhTs7d3c AhKs8s6c2c AdTs7d4c3h Kd8c7c5d4d 
9s8d8c5d5c JsTh8s5d2d Qc8c7c6h5h KdQd9c7d6s 
AsKsTsTd3s KhQd9h8d2d 9s8s7c5c4d KdQd6c5c2s 
KhJsJc7s6s KcQh9d7h6h Td9s9d7s3h QsJh9h9c7d 
KcQsTc7d2d KcJcTd5c3h Qs8c7h5s4c Tc9s6d5c4s 
Ts8d7c5s4c Qh8h6d6c5c Qs8s7s6h5h Qd9h8s5d4h 
AdJc8s7s5h KsQdJh9c6h AdTc9d7d3s KcThTc4h2s 
KhQcTd5s4c Ac8c6h6d5s AhJhTh9c2h AsTs7s5c4d 
KhJdTc7c5c Ks8h7h5s4s Jc9d9c7d3s QcTd8s5c2d 
KdTs8d7d7c Kd9c6h5h3d KdQh7h6d2s AcQcJs3d3c 
Kh8d6h6d4c JsJd7c6d5h AsAhAc4d2h AcTs9s4c2c 
AhTd9h6h5c Ad7s7c6h4d AdQcTh7s7h AsJd6c5c4d 
QcJc9s9h7d JsTc9c5s5c AcKc8h8c7c 9c8s7d5c4d 
AcJsTh6s5d Kc6s5s4c3d QsJh9h8s3h Jh8s7s7d6d 
AdTh8s5c3d Ac6s6c4s3s QhJh8s8d7c JdTd9s7c2c 
AhKd8h6s4h Qh8h8d7s5d JhTs8s8c7s AdKs9d4s2d 
Qs8h7s6h6d KsKd4h3c2d AdQsTc9c2h Js8s7h5h4s 
AcKh5s3s2h QhQc6s5s2c KsTh8s8c3c As8s8h6s6c 
9d9c8c6d4h QdQc8s5h4c AdTc9d8d6d Jd9c7d5d4c 
KdJs5c4d2s KdTs8d6c4h KdTd9h6c4s JdTh8c7h5s 
AcQd9s7s3d AhTd9h6h5s QsJd8d5s2c QhQdTh6h5h 
JdTd7s5c3c QcJsTd7h5s Kh9h6s5c3s 9s7h6s5c3c 
Kd9s7h6c5d AsTd9s6s5c Js9s9d7d3h KdQh8d8c7s 
Kd8s8c5d5c AsTs8h6s2h AsKcTs4h3s AhThTd7s2c 
Td8s8h7d5s AsQsJc5h2s AdTh8s7h6h QcJc9s5s2h 
KhTh9h7s7c JcTh9s7s5d KsKhQd8h4h AcKhJh9h2s 
QsJh7d5s5d QcJcTc5d2d KcQc9d7c6h QsTc9d8s5h 
KdQc7c6s5h KhTc8c7h2c Ah9h8h8d2d AcKc5s4c3h 
AhTd8c4s3h AcQdJs5h3s Ac8h7d5s3c QdQc9s7s2d 
Js9h9c5h4s KcQhTh6d2d AdKd8c6h4d Tc9s9d6s3d 
AdTd7h7c3s AsJhTh8c2d KcJsJhTc3c AhKs9c7d6c 
KdJhTd9d3s Kc9h8s6c3h KcJcTh9d5c QhJh9s5s5c 
KhJs8d7s2h AdTs7h2s2d AhJd8h7s2c AdJc8d5h2s 
AsQh8h7d5h Kd8d8c7c4h KcJcTd5c3s KdJs7s6d3d 
Qh9h9c5d5c JcTs7c4h3s Ac8c7h4h2s QcJsJhTs6s 
AsKd9c4s2c Jd8c7d6h4h KdQcJhJc7c 9h9d7c6d3c 
AhTc9h2h2c QhTd9c8h5s KsTc9h7c4h AdJh7c6c2d 
AhQs9d8c7c QhQcJc4d3c QcJd9s9d8d QcJc9d8h4h 
KcQcJh3c2h KcTc9d5h2d 9s9c8s8h6d Qh7s6s6h5d 
KcJd8s7s4d QsQhTs9c2s KsJsTs7s5h KhQd8h8c7s 
QcTs5s5c4s AhQdJc6d2c QsQcTh5d2s AsTs7s5c4h 
AdJsJh6c3d AhKs9c7s4d KsKhQc8s2d Tc9d6d6c5s 
9h8s7c6h4c Js9s9h7h3d KsKdQs7c3s JsTc9d7d5h 
ThTd5d5c4c Js9h8s7h4d 9d8s6h6d5h 8s7h7c5h4c 
AdKs8c6c2s KsKd8c7h4c KhTd9s4d2h As8h6h6c3s 
KdQs9h8s8c JsTsTh9c4d KdJsTc6h5c KhTdTc7c3d 
Qh9s7s5d4h KsJcTd9c4h KsJd8s7s6h KdJsJhTs5s 
Qs9h7c6h4s AsQdJd4h3c KhKcQd9s4d JdJcTh5c3s 
AhKc6c5c4s Td9d9c7c3s AdKsJs6c4s JhJc5s3s3h 
AcQs3s3c2s AhQsQd8s3c AdKdQd9h2s KsKhJc6c3c 
KcJcTc8d5s AhQcTd9d2s KhJcTs7d3h AcJhJd7h4s 
KsQd5d3h2s QdJdTc8d5h TsTh7s5c3h As8c7s5s4d 
Kh8d7h6d4h AhQh8s7d4h AcTh7c4s3d TsTh9d7d3h 
KcTc9s6h4d JsJd5s4d3h JcTh9d8s5c QsQc7h6d4s 
9d9c8h8d6s Qc9h9c5s5h JdTh7d5d3h QdTc9s9d7d 
JdTh7s6d3s Ah9s9h5h3s AdTc8d5h5d Ad5c4d4c3c 
Ah9h8c4d3c AsTs9s9d4c Kh8s7h6s6h AcKh9c4h2c 
AhQsTd9d2c Qc8h8c7s5h AsQdTd7c3h Ah9h6d4d3s 
QdJd8s6d4s JsJc5d4c3s AdQd4s3s2c QsTd5s5d4d 
As7d5d4s2h KhKdKcQsQc AcKsJh5s3s JcTd8c5d3c 
QhQc8d7c5c KsKdJh4c3c As9s9d8h6s KhTc9d6s4h 
KsKhQd8s4s AcJcTs6d6c AhQhJc5s2h AsQd9c8h8c 
KsJc7s5c2h Qd9c8c6h4d Th9h9d5d4d QhQdTd6d5d 
JsTc8h4s2c KsTc9h2s2c AdTc6s6h5d AcQd7s7c6c 
AdTd7d5h4c QhTd8d4s3h QdTd9s5s5h KhQc7h5c2s 
Jd9s7d5s5c Th7c6s5h4c Ks8d8c5s5c KsQsJd7h7c 
JdJcTs5d3h KdKcJs6s3s KsJdJcTc5c JsJd9s6h6c 
KcQh9c8h2h KdKc9s8c2c AcKdTs4d3h AdKh6s6h4c 
AhJdTd7c3s KcJc8h5d3h AdKhQh4h4c AsKsQc4s2d 
QhJhTh8d4s AhJdTs9c3c KdQh8h5s4s TdTc9h7h3c 
AcTd9d8s6d KdQc5c4d2d JhJc8d7h2c As8c7h5h4c 
AhKc8h5s5h 9h9d8s8h6c JhTd7d6d3h KdQd6h5d3h 
JhTs9d6h2s AdQh6h2s2d JdTd6s5c3s AcKd6d5s4d 
AhKd9c7d4s QdQc7c5s5h Kc9c6s5h3s AcQh7d6c3s 
Ts8s8d5h4d QdQc8c7c5s QhQcTd5s2h AcKhJs6d3h 
Qc9h8d5c4h AsAhAcKc2c AhJd9s3h2s KsTs7h4h3h 
As7d5d4c2s Qs8d7c6s4d Ah9s8h8d2c KsQh6s3h3d 
Td9s9d8h7c QdJhTs8s4c KcJdTc5s3c AdQd8h7c4d 
AhKhQh7c4h Ah5h5c4c3c AsTs8c6d2h 7d7c6s5s5d 
QhJc8h5c2s Td9c6s5d4c Qs8h8d6d5h KdJc8s7s4c 
As7h5h4s2d AcQd6c3d2h AsJs7s4h3h KdJsJh7s6s 
KhQsTc7s5d JcTc9s4h2h Kh8c7c5h4h Ah9h7c5s3d 
Ah8d7c6d6c AdTh5s3d2h AhTc9h8d2h AsKd7c5h2s 
AhTh8h5s2s Qh8h8c5c4d AdTd9h6s5d QcJd9c8h5s 
KdJh7c5s4d As8s7s7h5c JsTd7s4h3d AcQdTc4h4c 
QhJd9h8d3d AcKc5s5h4c Ad9d8s7h7d 9h8c6c5h4s 
7s7h6h5h4s QcJdThTc2c KhQsTc4s2c QsTs9h5s3h 
KhTsTc7c3s QsTh9h4s4d Qc8d7h6c4d Ac9s9c5c3s 
Qd7h7d6s5h AcKc9c7h7d JhTdTc3h2c KcQsQd5s3s 
AcKs6s6h4d KcQhQc9c6c AcTs9s8h6s KsQdJhTc2c 
QsQc6d5d2s AhThTd7c3h KhQhJc2h2c Th8d6h6d4c 
9d9c7h6d3h JsJd9c8s6s JhTd9d6s2h AdTc9d6d5s 
KdQsQh5h3h AhKc6h3d2d JdJc8h6s5d KdTs8s5d2h 
KcJs7s6c3c KhJcTh5s3h KdTh8h6d2h AhKs5h4d3h 
JhJd8h8d3h KsJhTs9s3d AdQd9s6h6c Ks9h9d7d3s 
KdJsTd5c3d AhTh9s6d5h KsKhQc6c2d AsThTd7d5c 
KsJs6c4h3c KsQhQd7c4h QcTs8h7h3c AhKcQs6d4d 
QcJhTh7d4s KsTs8c5d5c Tc9s9c5s5c QhQcJd6h3s 
AdQhJd8s3d KdTc9c3d2h QdJhJc5s5h Kc6c5s4h3h 
AdQsJh5h3c KhTc9d7h4s AdKhTd4c3d QhJdTc7s7c 
QdJsTh8s5s Ts9s9c5c4c QsJs8h8c7d Ad8s8h6h5s 
JcTc9s6d5h Ah9s5s4d3h Kd6d5c4h3h AhTsTh7c3h 
AdKh9c6h5h As9s7d6h4c Ac8s7c5c4d QdJcThTd5d 
Qs9c6h5s3c Kd9d8c6s5h AsTh8s5s5d QsQd8s5h3h 
AsQd8s6c4s AdQs6d3s2h JcTd7c5d3d AhQd8d7s5d 
TsTd5s5c4c QhJdTsTh5h QdTh8c5d2h Js8c7s6h4c 
QhTh9c5d5c AsKhJs3s3d KdJc5h4d2c QsJhTc7s5s 
AhQc8s4h4d QcJc9d9c5d QdJsJd8s3d KhTdTc7c2h 
AcQcJs6h6c QhJc9s9c7d KsJhJd7c4s Qs9s9h7d7c 
QcTc5s5h4h Kd9d8s5h4h AcKdTc4s4c KhJsJdTs5s 
AdTd7h6s6d Ah9c8s6h4d KdJdTd9h3s Kc8s8h5h5c 
AsQd9c7c3d AdKhJd5c2d KsTc9d5d4c AsTs5c4d2d 
JdTh9d4s2s Jh9c6s6c5h KsKhQh8h4d AdQc9s8h7h 
KcJhJd7s4c JcTdTc9h4s KhQsTdTc6d QhQdJh4s4h 
QsQh3s3h2h AhQh6s4d2s KhKcQh3s2h Qs7c6s6c5h 
Ks6h5s5c4c KdQhJd8c2c JdJcTh9s2c Js8s7c5s4c 
AcQc8d7s4c QdJsTs9c2h QhQd5d4d4c KhJs8c6d5h 
KdQsTs7s2d QsTs9d5s3d KhJcTc5d3s QdTd8s8d7c 
JsJh5d3s3d AdJcTs8h2c AcJh8d3c2d Jh9c7h5d4d 
KhQhTs5s5h QhJhJc5h4d KdKcJh6h3h KhQs7d6h2s 
Jc9s7c5s4s JcTd7d6d3c Td8d7s5c4c KcJc8d6h5s 
QhTc9s5h2c JcTh8h6c2d AcKhJc5d2c AhQc9s8s2c 
QcTh8c4s2h JsTh9s4c2c QdTs8d5s2c Jh9s8h8c5c 
QcJs9s9c3s KdQs5s3h2d QcTd9d4s4c KsTc8s8c2h 
KcJdTs6d4h KdJdTd9s2c KsJs8h5c3h KsTsTc4c2h 
QsQh8c5d4h Ts9d9c5d5c 9c7d6h5h4d AhQh9s9c7h 
QhThTc7h3c KsQsQd8s6s KcTh8h8c2d Ah9d5s3s3h 
AcQsTd9h4h AsTh7s7c4s Jd7d6h5s4s 9h9c7c5d4d 
JhTd7d4h3s KsQcJd7c6c ThTd9d6c2h KsTc6s5c3s 
AdTsTd6d5c AdQh7d7c6d KsThTd7d2s JcTd8c6h3d 
KcJdTc5h3c KhKd9d4d4c Js9d8h7s4h AdJh7d5d5c 
KdJhTc9s5h AhKhQs7c3h Ad8d7h6h2h KsJcTc5d3h 
AdKh7s5c3h KcQd8s7d3c AdQhTc9s3c QsJcTh7h7d 
Qh9c8c6d4h JsJhTh6c5h KdTs7c6s3c KsJdJc7h4s 
KsJh8h5s5h 8h6h6c5h5c AsTc7s4d3h KcQcJs8h6c 
KcTh9s3s3c KdTh9c7d4s AsQdTs4s4c QdTh9d8d6d 
AhKd5s3s2d QhJs7s6h3d KhJhJc8s2s Kd8s8h5h4d 
AdTdTc8h3d QsJsJcTs3h 9c8h7h6s5d AhKc7d5s2h 
AsJsTs6c2c AdKd9d7s7c Jh9h7c6h6c Kd8c7d6c4d 
JsTsTh6h2c Qd9s6h5d4s JhTc8s4h2c 7h7d6s5s5d 
Td9d9c6c3d AsQhTh9d3h KdQh7c6d2h JhTsTd6h6c 
KcTd9d4h4c AsTc4s4c2d KsJs9h5d2d AdTs7h7d4d 
Ad8c5h5d2h AsTc7s4c2c QcTh8h6h3c QhJhTs6d2d 
QhTc9d6d5s AdQd7c4c2h JsJh5d3h3d KhTsTd5h2s 
KsKhQc8d2s KcTs9h6h3s Kc9c8d6h5s As8h7s4s4h 
Tc8s7s7c5d AcQhJd5d3s KcJsJd6c5c KdTd6h5h5d 
KhThTd4d2c JdTs8h7c5d JdTsTd9c4h KhJcTd9s5c 
9d9c6h5c3h AcKsJh6s4s KcJdTs9h4d AcJs8c7d2h 
Ah9h9c8d6h AhQd9c8s7c AhKc9c8c5s QhJcTs6s5s 
ThTd9s8s3h QcTc5s5h4s Ks8c6c5s5h Ah8s5s5d2h 
KcJhTc9c3s AsTs7s5h4c KdKcQh8c2s Js8c7h5h4c 
Ac9c6h4h3s KhJc9h9c4c Qs8d7s6h6d As7d5d4h2s 
AsTsTd7h3s Qd9h7h6c4d KhJs9d7d2h Td8d8c5s4c 
Ah7s5s4h2d QcTh8s7s6s QsQh7h5d5c AsKs5d4s3h 
KdQc7s6d2c AdKs9c8s5s 9d7c6s5c3d QsJh5d4h2s 
Jd8h7h6h4d QhQd7c6s5s QcJs9d7d4s QcJs7h5h3c 
QdTd5s5h4h KcQc7d6h4s Ks6s5d4h3h QdJc8h7h4c 
Ts8d8c6d4c AhKsJh5d2h QcTs5c4d3d Qc8d7c6s6d 
AsKdJc6h2s KsTd7c5h4s KcQcJd9s6c AdTsTd9d2c 
AdQs7d7c5d AsKdTc4s3s Ac9c6h5c4h KhQs9c8s8d 
KcQcJsJd5c AsQsTsTh5s AcQsQd8h3s AsQs7s6c4h 
Qh9c8h6h6c JsTh7s5s3h AsJsTs5d2c KcJsJh6c5c 
JhJd5h4d3c AdQsJd8c3d AsKhTs4d3s JdJc7c6s5h 
KdTc8h8d3h AhQh7s6d4h AhKsTs8s4s Ad9d8d7c2c 
AhQsQc7s3d Jh9c7c5h4h KdQh6d3s3h AcKsJd6h2c 
AsTh9s5s2h QdTs8d5s2h KhQhJd8s6h KcQd7s6d2c 
AcQdTh6s4h AhKh7c5h2c 9s7s6h5d3d JsJc7c6h5d 
QsQdTs9c4s Kc9s9h7d6c AdTs5d4d3s AhQdQc8s4s 
QdJc6c5h2d JcTh8h7d5s JdTd6s5c3c AcTs5h3c2s 
KdQdQc7d5d Ad8s8h4h2d AsTd7h2s2d AhKh8c6s6h 
JsJd8s7h5s Th9s6c5s4h Th9s6h6c5s Ac8h8c6d6c 
9s7c6s6c5h KhJdTs9c4d AsKsQd4s2c Kc9d9c6s3d 
Ad9c6d4s3s AsQc8d6s4s 9h9c7s6c3s Qc8d7s6c4d 
QdJsJh6s4c AcKc9h7c6c Jh9h7d6h6d KcTs9d4s4c 
QhJsTc9c6c QsQd9s6h2h AdJs8d3s2h 9d7c6d5c3c 
AcTsTc4c2s Ad8d7h4h2s AdKsJh5s3s AcJh9h8h5d 
QdJsTs7s2d AhJd6h4s2d As9s7h6c2c KsJc9c8s2c 
Ac8h8d6h5d QhJs8c7d6h AdQd6h4s2h Td9h6d5s4s 
QsQhTh9h3c QdJcTs8s4h Td8d8c6c4c KdTs9c3s3d 
KhTd9s3s3h Ts9c6s6c5d KcQhTd6d5d AcJd6s5s4d 
KhQdJsJc3d KdKc7s7h2c 9c8s6d5s4c KhQs7h6d4c 
QsJc5h4s3h AhQh4d4c2d AsKcJd6h2s AdKs6s6h4c 
JsJh8s7d2h QdTs9d7h5c AhQdTs7s7c AsKsJh5d2s 
KdJdTd9s2h AcTh6h3h3c KdJdTd9h2c AhJs9d7s6c 
Ad9d8d8c2c Td7s6c5d4s Ks9c6d5s3d AhTs6h4c2s 
KcJc6d4d3h AhTs7d2s2h AsJhTd9h6h AcKdJs8s6s 
KcTsTc4h3h AhKdJd9d2s AdTh9h8c6h JhTh8s6c5h 
JcTsTd3c2d JhTc8s7h2s Td9s8d7c6d AsKh8s5s5d 
AhJsTc6s5d QsQhTd4d4c AhKc9d4h2d AsTsTd4d2s 
KdTh9c7h4c JsTs9h6c5d Ad8h5h3s3d 9h8s6h6c5c 
KhJdTh9h3c Js9h8h7s4d QhTs8c5s3h AdKd8s6c4d 
AhQcJs9d4c 9c8s8d5s5d AcQdJs6d2s 9c8s7s7c6c 
Ad9h9d5c2c QcJc9s5s2d JdThTc6s6d AcJh6d5d4h 
KcJs7s7c4c KcQsJh8h3s AsTsTc4h3d QcTd9d5h3h 
9s9c6s6c3s KcQc6s5d2d KcQsTs8d3d KsQh7h6c5d 
JcTsTh4h2s Kd9s8c6d3s QcJc9s7s3h AhKh7s6s2h 
AsTs8s7h5s QsJhTh6d5h QcTd5c4s3s KcQcJs7h4d 
QhQdJc9s6s QcJd8c5d2h KhJhTd9s4h QsTs8s6d5h 
AhQc8s6h4h QcTs9c8c7c JdTd9h6c5s KcQdTh6h5h 
KsJc5s4h2c KdJd8h6c5s AdJsJh7c5c KsQd7s6c4h 
KcTc9c5d4d Qc9s8s5c4h QcJcTh6d2d KsJd5s4h2d 
JsJc8h6d5c QcJh9s8s3h KhQhQc8h5d KsTc8s8h3h 
AdJhTs9c2s AcTs9d9c3c KsTs7d4d3d Jc9c7h5h4h 
AdJhTc9s2c AsKh9d7h4c JsJh7c6h5d JsJc8d6h5s 
QcJs9c8h5d QsQdTc6c4c Kd9h8d7s4h QdTh9d9c7d 
AdQd7d6s4c AsQc7s7h6s JcThTc5h2h QdQc8h5s4c 
QhJs9c7c4s KdJd9d7s4s AsQcTd9h3h KdQdJh8s6d 
AcKhTd4h3s QcTs8s8h4h QsJhJcTd6d QhJhJd5h4s 
JsJd5h3h3d AsQd7d4s2d QcJhTd9d6d JhTs9c7c5d 
KsQh5h3c2s AhJh8h7h5s JhTh8c6s5h KhQh6s5s2d 
Kd7c6d6c4c KhJhTh7h5s Js8h7c5c4h QhJhJc8d3d 
AcKsJs6h4s JcTdTc8s4h AdJs6c5c4s KcJc8d5s3d 
QsJdTh8h4c AsTh5c3s2h AsJhTh7c3d AdQcJs5h5c 
KhJdTs7d2s Qd9d9c5h5c AdQh8c5s3d JsJc8s7c2d 
QcTs8s8d4d AhTc9c4h2h AsKsQc7h3s QdTh8h8d2c 
JsJd7h6d5c 9s9h8h6s4d AcQs6d2s2c QdQcTd9h4d 
9h7d6h6d5c AhKdTs5s4c Jd7h6d5h4c Ts8h7d5s4h 
AhTs8h5h5c KhQh9d6d4h Ah8c7c5s4s AdTs9d8h2d 
QdJsTs6h5s AdJc6d6c3c TdTc9c6h2d QhJcTc9s2d 
JdJc8h6c5s Td9s8h6h4s AhTs7h6s2h KcTc9d8c3d 
AdJhTs9h3h AcKs6s5s4h Ad9h9d8s3c AhKh9c5h2c 
AdTh9c6c4h AhQhTs6h5h Ah8d8c4d2h Kh9s9c7d6h 
KsTh9h4s4c KhJdTd6h2h AcJd6d4c2s Tc9s9c7s3d 
QdJd9s9d5s Qs9d8d5s4h AdJs6h5h4s QhQc6c3d2h 
