Kd8s3s3d3c 
9d5c4s4d4c Ac7s7h7d3s TsThTd6h2s Qd7d3h3d3c 
9s8s8d8c4c 9h9d9c4s2s Jh8c3h3d3c Ac4s4h4d2d 
Qd5s4s4h4c JdTh3s3d3c TsThTc8h2h 9d7s7h7c3d 
Qh4s4h4c2d Qh9s9d9c5c Qd9s9h9d2d TsThTd4s2c 
8d5s5h5d3c 8h7h6h6d6c Jh5s2h2d2c Ts6s3h3d3c 
8d3s3h3d2c Js6s6d6c3h Qh9s9h9c7h Qh8c7s7d7c 
8h7h7d7c5s 9s9h9d5c4h Qd6s6h6c3d Ts6c3s3h3d 
9h5s2s2h2d 8h5h4s4h4c 8c5d2h2d2c 8h4s4h4c3h 
7s7h7c3h2s 9s9h9c7s4s QsQhQc6d2c ThTdTc6h3s 
Th7c4s4h4d 4c3s3h3c2c 8s8h8d5c2c Qs8s8h8d2d 
KsJs4s4d4c TsThTd7d4c Qs8h7h7d7c 9s9d9c6s2h 
Ad9d6s6h6d 8h7d2s2h2d Qs7s4s4h4d 7s4s4d4c2d 
8s7h3s3h3d Qh6s6h6c2d 8c4h3s3d3c 9d7c6s6h6d 
KcQh5s5d5c Ah5s3s3d3c Qc9s9h9d5s Jd6c4h4d4c 
7c4s4d4c2c Js8s8d8c3s Qc9h4s4h4c Qh9c3h3d3c 
Qc7d3s3h3c TsThTc6c5c Qh4s4h4d2d 7s7h7d5c3d 
Tc7d4s4h4d 8s8h8c4s3h Qd7h4h4d4c Jh3s3d3c2h 
Ks3h3d3c2d 7d4h4d4c3d AsJs2s2h2d As6h6d6c2s 
6d4h4d4c2s 8d6s6h6c2c 8c6c2h2d2c Kd6s6h6d2d 
9h9d9c6c4s Qd7s3h3d3c 9h8s8h8c3s Ts9s7h7d7c 
8d4s2s2h2c Td9c3s3d3c Ad6s6h6c3s 5s4h2s2d2c 
TsThTd8c3h Ks8d3s3h3c 8s8h8c6c3d Ks4c3h3d3c 
Jh9s9d9c2c 7c3h3d3c2s 8s6d3h3d3c 9h5c2s2h2c 
9s9d2h2d2c TsThTc5s3s Ac7s7h7d3d JsJhJd4h2h 
9s8s6h6d6c Ad8d6s6d6c Kd8s8h8c5s Jh5s5h5d2s 
8d4h2s2h2c QhTsThTd4h Qc8s8d8c3s Kd9d6s6h6c 
TsThTd8c5h 6s4s4h4d2h 7d6h3s3h3d TsThTc7s4d 
Ad3d2s2h2d Tc3d2s2h2d 8h4s4h4d2s Js5s5h5c3c 
5h3c2s2h2c Qc4s2h2d2c Qs6s6d6c3s Qs9s5s5d5c 
9h8c2s2d2c Js9d2s2h2d Qh5s5d5c4h 9d5s5h5c3c 
8d5d3h3d3c 5c3h2h2d2c 7h6s6h6c2s Kh3h3d3c2s 
Ts7h7d7c5c Kc3h3d3c2d 8c6s6h6d4h Kd4s2s2d2c 
JhJdJc7c2s 7s6s6h6c5s JsJhJd3c2s JhJdJc7h5h 
Jh7d5s5h5c Js6s6h6d4s KhJh2s2h2d 9s9d9c6c3h 
9s3s3d3c2c Jc4h4d4c2c Qc7s7d7c5c 8d7d4s4h4d 
Ad6s6h6c2h Js7s7h7d5s 8c7s7h7d4c Ah8c2s2h2d 
Qc4s4h4c2d Td6d5s5d5c QsQdQc4d2h Qs9d7s7h7c 
Td8c4s4h4c Kc9c2h2d2c Ks4s4d4c2h 5s5h5c4s3d 
Th6h5s5d5c Qd8d4h4d4c Kh3s3h3d2d 8d7s4s4h4c 
Qs9h9d9c4s 7c5s5h5c4c Ts8s5h5d5c 7h4s4h4d3d 
8s5s5h5c2d 9d5h2h2d2c 7c6c2s2d2c Ts3h3d3c2s 
Ts6s6h6c3h Tc7s6h6d6c Td8d2h2d2c Td7h7d7c5s 
Tc8h3s3h3c Jd9s9h9c6s Td7s7d7c5h Qh7s7h7c5h 
KsJc7h7d7c Js7s7d7c5h Js6c4h4d4c 6c5s5h5d2h 
Tc8s8d8c5h JsJhJc6d2c Th6s6d6c4h Kh3h2s2h2c 
Jh9d5s5h5d 9s8s8h8d5c 4d3s3d3c2c JsJhJdJc4c 
Qc6s3s3h3c Qd6s6d6c3c AcTc4h4d4c Jc8c2s2h2d 
QhJh8s8h8d 7s3h2h2d2c Jd7s7h7c2d 8h5s5d5c4s 
Jd9h9d9c5s 8d6c4s4h4c Td6s2s2h2c Td8d3s3h3d 
9h8s8d8c3s Jd5s5h5d3h 6s6h6c3d2s 9s8h3h3d3c 
Kh5c4s4h4d 8s8h8d4h2d 4c3s2s2h2c AsTs4s4h4c 
9h4h3s3d3c 7s7h7c4s2s 9d6s6h6d4d Th8s8h8c4h 
Jc3s3h3d2c 9s6s6h6d4s Qd7h7d7c4s Ac5s2s2h2d 
9d5s3s3h3d Kh3s2s2d2c TsThTc6d2d JsJhJdJcTh 
Kc9c3s3d3c Kd6s6h6d3d TsTdTc5h4d 7s4s4d4c2c 
8d4s4d4c3c KsTs2s2d2c 7h3s3h3d2d Qc8d2h2d2c 
Jc4h3h3d3c Ah9s9d9c2c Kd6s6h6c2s JhJdJc8c3s 
Kh9h3s3h3d 9c3s3h3d2d Ks9s6s6d6c As5h5d5c3c 
Jh7s4s4h4d Qd9h9d9c6d Qs3h3d3c2h Ts8s8d8c2c 
Qh6h6d6c4h 8s8d8c5c2c Js7s2s2d2c Kc9s9h9d7h 
Tc5s4s4h4c Qh9h3s3h3d Th6s6h6c3h 7s7h7c6d2c 
JhTc5s5d5c Ks5h2h2d2c 9s9h9d7h2s QdTs4s4h4c 
6d5c2h2d2c Qc8h5s5h5c TsTdTc4c3s 9c8d6s6h6c 
Kc9s9h9d2c 9h7s2s2h2c 7c3h2s2d2c 7c5d2s2d2c 
Tc8c4s4d4c 9h9d9c3h2c Qh9c2s2d2c Jh9s9d9c6h 
Kd9h9d9c4d JsJdJc6d4d Kd9s9d9c3h Ts9s7s7d7c 
Jc9s9d9c2c Ts9h4s4h4d Ah5d2s2d2c 7s7h7d2s2c 
7c6c3h3d3c Qd7s7h7c3h 8h6h4s4h4c 9c7s6h6d6c 
JsJhJc9h4h 9h8s5s5h5c 8s7h3s3h3c JsJdJc6d4h 
Ah6c2s2d2c TsThTc5h2d 9h5s5h5d4d 7s5s5h5d3c 
Ah9s9d9c2d 8h3h3d3c2d 8s8d8c7d2s 8d7s7d7c4h 
Qh7s7h7c3d 7s7d7c4c3h JcTh4s4h4d Jc6s6h6d6c 
As5c3h3d3c 9c4s4d4c3s Kd8s8h8d8c 9c6s6h6d4d 
Td6s6h6d3h 5d4d2h2d2c TsTdTc8c5c Kc4s2s2d2c 
JsJhJc8c4c QhQdQc4c2s 9h7s4s4h4d Tc7h7d7c2d 
ThTdTc8s4d Ad8h8d8c2s Jh9s9h9c6h Kd9s9d9c2c 
KsKhKc7s2s AsJs4s4h4d Tc3s3h3d2d QsTh3s3d3c 
7s7d7c6d4d 6h4s4h4c3c JsJhJd8c3c TsThTd3s3c 
As3d2s2h2c 9h8h3s3h3d 9s9h9d7s2s KcTh4s4h4d 
9s9h9d4h2d 6s3h3d3c2c 9d8h2s2d2c JsJhJc6d3h 
Ks9s9d9c4c KdJd5h5d5c 5s4s4h4c3s Jc6s6h6c2d 
Kc7h7d7c3c Jc9s9h9c3c 9h8h8d8c3s 5d4s4h4d2c 
8h8d8c3h3c 5d4c2h2d2c 5d4s2h2d2c Ts8h2s2d2c 
9h9d9c3h2d Th6c5s5h5d Jd8h8d8c3c JhJdJc5d3d 
KhJc5s5d5c 9c8s8d8c3d 5s3s2s2d2c 6d4s4d4c2h 
5h5d5c4s3c Jd6s6h6c4c 6h6d6c5s3s 7s7h7d6h2s 
Ac6d2h2d2c Kd8s8h8c5d TsThTc6h2h Jh7s2s2h2d 
6s6d6c5h4h 6h6d6c5h3h Kc9h4s4h4d 7h6h6d6c4s 
QhTh2s2h2c 5s5h5c4d3d Kh6s4h4d4c TsTdTc5d3d 
Jh6s6d6c3d 4s3s3h3c2h 6h6d6c3d2d 8c6c3h3d3c 
Tc8s4s4h4d 9s9h9d5d3d 9h9d9c4d2d As5h5d5c4d 
Kh8h3s3h3c 9h9d9c5s2h TsThTc2h2d Kd4d2s2h2d 
TsThTd6c3d Qc6d2h2d2c 8s8h8c5d2d TsThTc4h2c 
7d6d4s4h4c 6h3h3d3c2d Kd8h8d8c3h Qd4h2s2h2d 
Jd7s4s4h4c JsTh6s6d6c Js6s6d6c4h Jd8s4h4d4c 
Jd9s9h9c4c KcTs2s2h2d JsJhJd8c2c 9c4s2s2h2d 
Jh9h9d9c4h QsQhQd7c2d Kh8s6h6d6c 7h7d7c6s3d 
8s5s5h5c2c Ac9s9h9c3d 7h5c4s4h4d Qh6h4s4d4c 
KcQs6h6d6c Ks8d4s4d4c 7s7h7c5d2h 7c5d4s4h4c 
Qc8c2s2h2d Jd7s7h7c6h 5h3s3h3d2s 9s9d9c3h3c 
Qd9h9d9c5s 8h6s6d6c4s Qd5c3s3h3d TsTdTc8h5d 
Ah5s5h5c2h 9d6s6d6c2h 9d8c2s2h2c Js7s7h7c6d 
9s9d9c4s2c Qs3c2s2h2d Th5s5h5d2c ThTdTc3c2s 
Qs9h3h3d3c 6s5s5d5c2h Kh4h2s2h2c 8d5d2h2d2c 
Qc5c2s2h2d AcQc7h7d7c Td8s8d8c2s 8c5c3s3h3d 
AdTsThTc3c Qc5h2s2d2c 9d3s3h3c2c 7h5s5d5c4s 
9s5s3s3h3c Kh9s9h9c3s Jh8h3s3d3c QsQhQd7s2s 
Jd7s7h7d3s 7s7h7c2h2d 9s9h9d9c7c 8s8d8c4h3d 
QdTh2s2h2d 9d9c2s2h2c Kc6s6d6c5c QhJs7s7d7c 
Jd7s7d7c3d 5d3h3d3c2s Tc9h9d9c5c Ac6h2s2h2c 
Ks7h7d7c2s ThTdTc3s2d 9h9d9c4d3c Jc4h3s3d3c 
Kh5s5h5c4d Kh8s8h8c5h QsTs3s3d3c Qs5s3h3d3c 
Ah7d6s6d6c 7d6c3s3h3d Tc9s9d9c2h 8h8d8c6h2s 
9h8s8h8c4h Td6s6h6d3c 9h7s3s3h3c 9s9h9d7h2h 
QhTc6s6d6c Qd8c2s2h2d 8h5s2h2d2c Kc8s8d8c5h 
Ts7h3s3h3d 5h4s4h4d4c Kc8c7s7h7c Kd8s8h8c3h 
4s4h2s2d2c Jd5s5h5d2h KdTd6s6d6c 8s8h8d5s4s 
TsThTd7s2s Ks7s7d7c3d Qs7c6s6h6d Qs9h9d9c4d 
8s8h8c5d2c Jc9h4h4d4c 6h6d6c5c2c 7c3s3h3d2s 
9d7c5s5h5d AcTc3s3h3c KdJd8s8h8d AsQh2h2d2c 
Jh4d2s2h2c 8s8d8c7h2c ThTdTc5c2s Qh5h5d5c2d 
8s7h7d7c2c Ks3s3d3c2c 9s8s8h8d4s 5s3s3h3c2s 
Qd6c3s3h3d Ac7s7h7d6h 7s7d7c5d2c 7s7h7d6h2c 
7c5d2s2h2d 7h6h3s3h3d Kh9s3h3d3c 9c6s6h6d5c 
TsTdTc8d2d Th7h7d7c5s QsQdQc3c2c 9s9d9c4d3c 
Jc7h7d7c2h 8d6h6d6c2c Td9h4s4h4c Ts5s5h5c2d 
JsJhJdJc3c Qd9s9h9c4h Js5c2s2h2c Jh5s5h5c4h 
7d4s4d4c2s 8d5s5h5d3s 7c3s2s2h2d Ts4s4h4d3h 
QsQhQdQc7d QhQdQc6s2d 8s8h8d7s3c 7s7h7c3d2c 
TsThTdTc3c Ks9c2s2h2c 8d7s7h7d3c KhTsTdTc2h 
QsTh4s4d4c Kh5s5d5c2d Ts6h6d6c3c QhTc4s4h4d 
Qd5s5h5d2d Qd6c4s4d4c Js5s3s3h3c TsThTd6h4h 
Kc6h6d6c2c 8d7s6h6d6c JhJdJc7c2c Tc5d3s3h3d 
8h8d8c7s2s 7s7h7d7c4c 9s9d9c6h4d AhQd4s4d4c 
7c3s3h3d2h Ks9c2s2h2d 8h6s3h3d3c AcJc6h6d6c 
Td3s3h3d2c 7s3c2s2h2d 8d6c2s2d2c Qh6s4s4h4c 
Js7s7h7d4c Qs7s5h5d5c 9s9d9c7s3h Kd9s9h9c6s 
8s7h2h2d2c Ac8h8d8c2c Qs8d4s4h4d 9s9d9c6c2h 
Kc9c3h3d3c 8c6s6h6c2s Js9s9h9d2c Jd9s9h9d2d 
Qh8s8h8c3s Ks8s6s6h6c TsThTc6c3c Ad3s3h3d2d 
Ad9s9h9c3h 8h5h3s3d3c Qs7s3s3h3d QdJc2s2h2c 
Qc5s5d5c3h 6s3s3h3d3c Ks9c7h7d7c 6s6d6c4c2c 
9h9d9c8h5s TsThTc4h3c Qh5s3s3h3d Tc9s4s4h4c 
Qc5s5h5d2h Qh4s3s3h3d Qd8h7s7d7c Ad7s3s3h3c 
5s5h5d3h2d 8h8d8c7s4h Qh5s5d5c2d Ad8s8h8c2h 
Ad8d3s3h3d Kd4h2s2d2c 8h3s3h3c2s Td9h5h5d5c 
Ac4h2s2h2d Jd7d3h3d3c KcQc5h5d5c 6h4s3s3h3d 
9h4s4h4c3h Ks6c2h2d2c Jh7s7d7c4d 8h7s7h7d4c 
Kc9s9h9d5s 6d5s5h5d5c Tc8s8d8c3h Qs4h3s3h3d 
Js9s9h9d6c Ts8s8h8c6s TsThTc4d4c Ad7c2s2d2c 
Td5s5h5d2d Kc8c6s6d6c 6d4s4d4c3d QsQdQc4s3s 
Kd7s7h7c6s 6s6h6d3d2d Kh8d2h2d2c Th6d2h2d2c 
7d5s5h5c4s Kd9d4s4h4c Ah8c3s3d3c Jc5s5h5c4c 
5h5d5c3c2s Kh5s5h5c2d Ac7h4s4h4d ThTdTc4d2s 
QhQdQc6c3c Ks4s4h4c2d Qs5s5h5d3c 7d5s5h5d2d 
6s5s5h5d2s As9s9h9d3c Ac6s3h3d3c Ts8s3h3d3c 
Kh7d4s4d4c 9s9h9d4d3s 6h5s5h5d2h KhTh4s4d4c 
QhQdQc7h4h Qd5s5h5c3c QsQhQd6c4c QsQdQc5c3c 
9h9d9c5c4s 8h7s7h7c4d Js9s4s4h4d Jh5c2s2d2c 
Ad9s9d9c2h Ad8s8h8c5s Qh8s8d8c7d Jh4s4h4c3c 
QcJd2s2h2d TsThTc4h2s Kd3s3h3d2c Tc6s6h6c3s 
9h9d9c8h2s Th9h9d9c2s Jd8s8h8c5c Ks3s3d3c2h 
Th9d4s4h4d 8s8d8c3h2c 9h5s5h5d3c 7h7d7c3s3d 
6h4s4h4d2d 8s5h5d5c3d Th8h8d8c5s Jd9s4s4d4c 
TsThTc4d2h Qs8h8d8c6s Js8c4s4d4c 8s8h8c4h3h 
AdTs2h2d2c Ts6s6d6c5h 7h6c3s3d3c 8h5s5h5c3d 
Qd8d5s5h5c KdQc6s6h6c Ah3s2s2d2c 6h6d6c5s2h 
9s8c3h3d3c Jc9c6h6d6c Tc8d4s4h4d Th8s8d8c2c 
Jc6h2s2d2c QcJh7s7h7d 9s8h2s2h2c 8s7s7h7d5s 
Tc9h2h2d2c QhQdQc3s2h Ts6c4s4h4d 8s4h4d4c2d 
Ts5s5h5c3c Ah9c7s7d7c 9h9d9c4s2h TsThTc7c2h 
Kh8h4s4h4c 9s9h9d3h2h Tc6s6h6d3s 8h8d8c4s3s 
TsThTdTc8d TsThTd6c2d 5h4d3s3h3c 9h6h5s5h5d 
9d7s2s2d2c Ts9s3h3d3c Qs6h6d6c4h Kd7s7h7d3s 
8c7s2s2d2c 8s8h8c4s2s Kd5h5d5c3d Ah5d3s3d3c 
Ah4s4h4d4c 8h7d4s4h4d 6d5s5h5d2d AsQs2s2d2c 
Qs6s6h6c4d 7c3d2s2h2c AsJh5h5d5c 9h6d4s4h4c 
Jd7h4s4d4c ThTdTc3c2h 9s9h9d7d4c Qc3s3d3c2h 
AdQs2s2h2c Qh3d2s2h2d 7c5s5h5c4d 8h3s3h3c2c 
Js7s7h7c5s 7s4s4h4c3d 7h5d2s2d2c JsJdJc8s3s 
Qh9h8s8h8d QsQhQdQc2d Qd8s8h8d7d Tc6c5h5d5c 
Jd4c2s2d2c Qc3h3d3c2h Kc8s8h8c3s ThTdTc6c2h 
Ac4c3h3d3c 7s7h7d7c6c Ts5s5h5d3d 8c7s7h7d4s 
JsJhJdJc2d Qs8h5s5d5c Qh9s9d9c3s Ts6c5h5d5c 
QdTd4s4h4c 8s8h8d8c5c Js6h6d6c2s 9c8s4s4h4c 
Kd6s6d6c5d 6s6h6d3d2s Tc6d3s3h3c 9h9d9c4s2c 
7d6s6d6c2s JsJhJd4c2h Td8s3s3h3c 9s8d4s4h4d 
Kd6s6h6d6c TsThTd5c3d Qh8h5s5h5d 9h6s6h6d2d 
9s9h9d4h4c Jc7s7h7c4c Qd9h3s3h3d KsKhKc7d3d 
6c5h5d5c3c Kd8s8d8c3d QcJh4s4h4d Kc8s2s2h2d 
Tc9c3s3h3c Qh6h5s5d5c Ts5h5d5c3h Ah4h2s2h2c 
7s7d7c3s2h Js6s6d6c2s 4s3s2s2h2d AhTsTdTc3s 
8h7s7h7d2s 7h3d2h2d2c Ts7s7d7c3d Js6s5s5d5c 
Ts7s3h3d3c QcTsThTd3s 6s6h6c4h2h KhTsThTd2h 
Kd8s2s2h2d KsKhKdKc8c Qh4d3s3d3c 7h3s2h2d2c 
Jc7h7d7c3d 8h7h7d7c2d Qc5s3h3d3c 7s7h7d4s2s 
Qc8h2s2h2d Ks8s8h8d2s 9s5c4s4h4d Qc9h6s6h6d 
KsJs5s5h5d As5h4h4d4c Kc8s8h8d7d KdQc3s3h3d 
QcJc6h6d6c Kd9s9h9d9c KcTsThTc3c Jd8d7s7h7c 
TsThTc6h3d 9s8h8d8c5c QhJh6s6h6c As8h8d8c6d 
Qh8c3h3d3c Kh7s2h2d2c 5s5h5c3d2s Ts8d5s5h5c 
Kh8h8d8c2d Ac9s9h9c4d 8d7s3s3h3d Ad5s5h5c3s 
