8h7s6h6d5s 
JdTh6h6c4c Ts9d8d6s3c As8s5c3d3c Ah7d4s3h3d 
AcKsJd6c2h AcTc7s7d4c Qh8h7c5c4d JdTsTd4s2s 
AsJsJd6s4c Js8d8c5s4c QhJh8s5d3d 8s8d6s6h3h 
Ah8h6c4c3d JsJdTc9h3d AcQcJc8d2h QcJhTc6s3d 
AhKhJs8d3h JdTh8d4h3s AsJdTd9d2c AhQs3h3d2d 
KhQh6s5c2s Qs9d6c5c4s KhTh6c5c3h QhJd8s5s5h 
KcQsTd5s4s AcKdTc7c2s Td8d7c5c4c Qd8s8h5s5d 
KdQcJd7s4h AhTs6s5h3h Th9c8h7c4h AdQcJd5d2s 
KdQsTd6h6c Ks7s7c5c4c AsQh6h3s2c AsQc3c2s2c 
Kc9h8s7h4c AhQd8c5d3c KcTd9s7d3s QsJh8h5h3s 
Kc9s9h5c4h QhTh6s4d3s QsTh9s8d5c AdJc3d3c2s 
JhThTd4c2c QdQc8d5s2s AsKhJh6h4d 6d6c5h5d4c 
AdQdJd7s7c QhJc8h7d5s AsJh8d7c6h QhTh9d4d3h 
AsQd4c3s2c JcTd8s6c2d KcTd9d6s3s KdTd9s5s2c 
Jc8c7h6s6h Qd9d6c5s5c As7d6s6h4c AhQs8d5s3d 
QcJd5c4d2h Ac8s7h7c6c KsQc9c8h6d Jh9d6s5h4d 
AdQs9c5s3c QcTd8s6c2s Ks9c7d6s5h KcJd6d4c3d 
Qs9h9c5h4s KcJh8s8c7c QdJhJd7d6c JhJc9c8c6s 
Tc9s8c7s2d QdJc9h8c6s Jc9h9d5h4d AsQhQc4c2d 
Jh8c6h6c5s JsJh8h6d2s 9h9c5d4h4d Td9d8c7h4h 
QhThTd6s5h Js9d7d5s4d KsJs9h8h2h JsJh8c6s3h 
Td7s6c5c4d AcTc8h5d2s JhJc9s7d5c Kh8h6c5c4h 
QhJc8s5c3s AdQs9h7s6s 8s8h6h6c2s QcJc6s5d4h 
AsKcQs9s2h Ac9s9h4h3c JhJcTd5s3c KdQc9c5d5c 
JdJc9d8d6h Jc9s9d5d4s Ac7d5c4h2d AhJc9d9c3d 
KdQh7c5c3h AhKhQd9s2h AhKsJs8s6s AcKdTs6h4s 
Kd9s8s8c6c KhJd8s8h4s QdJcTd6s3h Ac9h9d4d3c 
As8s8d4d2c KhJd8h6d3c KcTs5d4s2c KsJcTc9d2h 
Qc8c7d7c6d QhTc8d7d2h 9c8h7s6c4h QdTh8h5s2d 
AdKs6s3d2d Qc5h5d4d4c Qs9s6c5d5c KcJcTd3c2d 
QsTs8h6h2h AcQh9c7d7c KhKcTd3h2h AcQhJs9s4d 
KsKdJd9d4d Js9h7h6s3c AsQs7c4d2c AcKs7c5c4c 
QdJc8d7h5s AhQd8s6c2h KsKdJc5h2c AcQd9c4h2h 
KsQh5h4c3c Kc9s9d7s4c Jd8s8d7d7c JsJdTh7h5h 
KcTd8h4d4c KsQsJh8h2h KdQh9c8c4d Js8s8h7h5s 
QhQd9d6c3s AsTd7h4c3s KcQsJs7h3h KdQd7s7d5s 
KcQdTc6s6h Jh8s8c6c5s ThTd9h8h3d KsQs5h5c3c 
9h9c7h6d5s KhTh6h6c4c Qh8h7s7h6s QsJh9s8s6d 
Kh9h9d7s7h KcJhJc8h3c QdTc8d6d5h AcKc7s3s3c 
KhTs6s6h3s QsTc5d4s3d QsQd6s5s4c JhTdTc3c2d 
Qc5h5d4h4c AcJh8d7s6h AsJc8d5d3c AcQhTs6s5s 
JdJc9s8h5c AhQdTc6c5c ThTc9s5c3s AsQd9c5d3c 
AcJcTd9c2c QdJs8c5s3c KcQs9h8c4h Qh9d7h6s4d 
ThTc9d8h4d KhJhJd9h6c KhJsJc7h5h 8c7s6c5s3d 
9s8c7h5s4c AcJdTs9d2d KcQc5d4d2s Js9h8s7d6c 
9s9d7d4s4h AhJsJd7s6s AhKsTh4h3c KhJc9d6d6c 
Qs9h7s6d4d AhJd8s7d7c JsTh8d6h2s AhQh9c8h7h 
AdTd7h7d4c KdKcQs6c2c Qc9h9c8c5h QsJd9s8s6h 
AdQd7h4s2h QhJc9c8h2h Th8d6h6d5s QcJs6s6c3h 
Kd9s8c7c4d Qd9d6h5s5h KsKdJh7c3h QdTs9s7h7c 
AcTsTd9s5h KcQh9h7c3c Ks7h6s5h5d KcTs6c5s2d 
KsQdQc8s5s 8s7s6h5d3d AcQc9d8c7c Qd8h6h6d5h 
9s9h7s4h4c AcQh9h8h6d AdJh8s7c6h KcJd9s9d8d 
QcTc9h8c3h Qh8h8d6d5h QcTd5s4c3s QhQcTd9c2c 
Ah8d7d4d3h KcTc8h5h4c AhKdQd9s2c Qh9s7h6s3c 
AdTd6s4c2c AhTh8c5d2s QhQc9d3h2c AhThTd8h3c 
JsTs8c7c3c JhTs8h4s3c KdTc9s8c2s QcTc8c7s7d 
JhJcTd6s6d AhJhTd6h3s QhJhTd5h4h Tc9h8c6h4c 
JcThTd6h5s JsJd9d8d6c KhJdTd9c2s KsJd8s6d3c 
9s7d6d5s4d QhJsJd9d5c KcQs9s9c4s AsKhQs9s2d 
AdJsTd6h2c AsQhJd9h2c AsJsTc5h2s QsJcTh7h5d 
QcJsTc7h3d Jc9d6d5s4c Qs8c6c5s4c KhTs7h5h3s 
Kh8h6c5s5c TsTh9s8s6c QsTs8h6c2h Qs9s7d6d4c 
Qs8h8d7s7c JhTh8c5d3d Kd9s8c7s4d AdKc9d7d5d 
AhTsTc7c6d JsThTd7s4c TsTh9h6s2d Ah8c7h6h3c 
AhTh6s5d3c KhQcJh8s3s KcTh9d8d6s QdJhTd7d6d 
AdTd7s7d4c 9d9c6c4h4d JdJc7c3h3d ThTc8d8c4s 
JcTd8h7h3d Kh9h7c5d5c Qc7s6s5s4c QdJs9c8c4s 
QsJhTs7c3d AhJh9h8d5h KsJcTs9s2d Th9c7h7c5c 
KcJh8c7s3h AdQsTc9h2c QcJcTh6h2c Qd7s6s5h3d 
Td9s8d7s4d QsTsTh4c2h AcJc9d7h4c Td7c6h5h4d 
QhTd5c4h3c QsQdTc7c4h Js7s6d5c4d Ks9h8d5h4s 
Ad8d5s5h3s AcJhJd7s4h KsTc5d4c2s QcJh8s7h6d 
AdQs6s5h3h JhThTc9d2s AsQcTh7h4d Qh9d6h5d5c 
Ac9d6s3d3c QsQcTh9d5d KdQc9h9c8c QcJcTs7c5d 
KsJhTh8c4d Ts9d7s6c3c Ah8d5d4h3d QcJcThTc5s 
QsTd6s6h3d KhQd7s7d3h KsTh6s5c4d QcJsTh9d3s 
AsQs9d9c4h As9c8s4d3d AhQhJc7d2s 9h8c6d5h4c 
7s6d6c4d4c JsThTd6c5s Ac6s5c4s4c KdTs7d4c3c 
9h7c6c5h4c Ad7c5s5d4h AcQcTd6c4c QhJc9s7d6c 
Ks7s7h5s5h AcKc9c7d6c Th9s7h6c3c KsKcQh6s2s 
AcKhJd6c2s AsJdTc7h3d KdJdTsTc5d KcTh6s6c3s 
Qh9d7c6d6c QsTc9h7h2s QsTh7s5h5c AdJs7c4c2d 
As9s6h5c2c QcTd9c7d2h AhJc7d4d2h JsTh9h4s4h 
KhKdQd9d2s 9d7s6h5h3d AhJc5h3h3c Td9s7s6d3d 
AsJs9d9c5s QhQc8h5s2s AdJsTh9h6h Jd9h8h8c5c 
Tc9h9c8h2s JdTs5d4s3d JdJc8c4d4c QdJs5s3d3c 
QcTd9s7d2c Th7s7h6s5c QhTc8h6d5h AhKhJc8h3d 
KdJhTsTd5d Ad6h5c4h2d Jd9c7c6d3h JsJd8h6d3s 
Qc9d8h6h4c QcTd8s5s3c QsTs8h5h3d Ks8c7h6c5h 
KcJsTs8h4d KsJc6s4c3c QdQcTh9c2c KdJcTd5s2h 
KcTh8h7d6h 9s8h7s7h5c KhQhJd7d2c Jd9d8s5h4s 
Ah9d7s7h3c 9h9d7d6d4h Qh7s7c6c5h JhTs9h7d2d 
AdJc9s3s2d AsQc8d7s2h QcJc8s5h3h QdTs9c5d2c 
KhTs8s7d6s Ts7s7c6c5d KsJdTd8c4h AsTc7h4d3s 
Jh9h8d5c4d QhQc6c5c4d KhTs9d5d2h AsQc7s5d4s 
Ac9h8c7c2h JdTs8c6c3s KsTs9h4h4c 9h9c6c4s4h 
KcQd9d8s7d Kh9s6h5d3d KhQhJsTh6h KsJc9s9d6h 
KdJcTc7s7c AhJd7d4d2h ThTd9d5d4h AcJd8s5h2c 
Ac8s6c4s2h KhQs5s4c3c Ad9s7s7d3d KdJhTd6d5d 
AhJdJc9h2h AsKdTh9h4h Ac5d4d3s3c KsTc7s5s3c 
Ah9h6s5c2s KhQd5d4c3c QcJsJdTc4c AdQd8c7d3c 
Ts9s7s6d4d KsJs9c7c2d AcTc9d5c2d Tc9d8c7d2s 
AsQd9d8d6c JdTc8h6s5d AdJd9s7d2s AcTs8d7h5d 
KcJhTs9h5d QcJsTc6h6d Ts8c6s6c5h KdTd9c4c2s 
AhKh8d3s3d JhTc6d6c4d KsJd9h6d2s AhKs8s7s5s 
AsKcJh7d4d JdJc4d4c3d KsKc8h8d4h QdTc7c6d3c 
Ad9d9c7d5s As7h5s5c4d AcQc8c6h4d Ad8c6d4c2h 
AhJs9d7c5s AhKc9h7s2d AdKc8h7c4c KdQcJh7h6h 
9d7s7d5s5d TdTc9d5d4c QhQc9h6d3s QsQdJc9c5h 
QsJh9h8s2s KhJs8d6h5c Kd7h5h5d4s QhJs8c7s4c 
QhQc8s7s3h JhTh5s4s3s KdTh6d5s4c Qs9s7h6h4c 
Ad9c6s3d3c JcTh6c5h5c Th9d8s7h4s Qd8c7d5c4h 
KhQc7d5d3c QdJs7d5s3s As8s8d3h3d QhJdTd9d5c 
AcJs3s3c2d QsTsTc6d5s Kc9s9d7d4c Js9c8c5h4h 
KhTs9c6h3d Qd8d7h6c4h Qs9c8h6h4s AhTs7h2s2d 
AcKs9s9d5h AhTh6d3s3d Td9d9c6s3s AcQc8s8h5c 
Ah5d4s3h3d 6s6h5h5c4c QsQdTc9h5h KhJs8d6h3s 
JsTh9s7d2d Kc8d8c7h4d QsTs9s7c4c AsJh7d4s2d 
As9d8s6c5s KhKcJd7s3d JdTd8c6c2h Ac9s6s6c2d 
AhTh9h9d7h Kc7h5h5c4d AhQhTh9s2h KdTd9s9c6d 
AcKsTc7c2d AsTs6h5c3d KhJh8d5d3s AhKsQh2h2d 
AsQs7h6s6c Ac9c7d6c5s KhQsJs7c3c TdTc9d6c2s 
KcQd9h9d8d Ad8h8d4c2h JsTs9d4h2d QhJh6s5c4d 
Kh9s9c6c3h 9s9h7d6s5s JdTs8h6c5d AdQcTs9s4s 
AhTc8h4h2c AcKc7d3d3c AcJhTd7s3d Ac9c7s6c5h 
AdKsTd7d2h AdKd9d7s6d AhJd9h8s3h JdJcTd3h2h 
AcQd7h4h2c JhTsTh4c2c QhJhJc6d2d AhJc9s9c3s 
Ad9d7s6d5c KhJd8h8c4c AdKd5d4s3h JdJc9h7s5d 
KdQdJs6h2h Ah9s9c4s3h AsKs8h6s2h Jh9c7h5s3c 
TdTc9s5d3s AcQs4c3s2s QdTsTd8d6d AhQsJd9s2c 
QcTd9h7h2c AcQh8c5d5c AdKh8s8h3s QdJc9d9c2c 
KsKd9d8d2c JdJc8c6s5h As8d7s4c2c KsKdTh3s2s 
AcKs8h7s4s QcJcTsTc5d KdJsTs6c4h AhQdQc6c3s 
QhTh9s7h7d AdTc8s8h2d Qs9d7s5d4c Js9d8d5s4s 
Ac9h9c7d3s AdQdJd8h2s AdJcTs7h3c JhTh9c3d3c 
Ad7h6d5h2h Th9h8d6h4d Qc8d7s5c4s KsTh7s4d3d 
Qh8d8c5h5c AhTd5s4h4c AdKd8h6d4s QcTs8s8c3h 
Qd9c6c5d3c KcTd7h6c2d JcTh5s5h3c QhTc9h8s5d 
AhJc9s3s2h AcTd8s7h5s Qd9d9c6c3h Kh6s5s5c4h 
QsTd8s4d3h Qh9d7h6s4s Ad7c5d4h2c QhJc6c5h2d 
KdQsQd3h2c Jd8c6d6c5s JdTs9h7h2s QsJcTs7d3h 
Ah8h8c5h5d QhQdTh7c4h Th9c7s5h5c KsKdQd9c2d 
Td9d8h7s4s AhQhJh8d4h AcJs6c3s3d Jd8s8c7h7d 
AhQh8c5s4h 8h7h7d5h5d JcTc9s9h7c Kh8c7s5h5c 
