Qh9s7d5s2s 
AsTc5s3s2s AsTs4s4c2s 8d5c4d3s3h Qh7c5s3s3d 
Ah8d7s4c2s KhQd7c4d2d JsTh6s2s2d As7c6d6c2h 
JdTc6s3c2c Ac4s3h3c2c Qd8s7d3c2c JcTd7h3s2s 
Ac8s8h4d2h KhJs7c3d3c KsTc5h5c2c AcQd9s3h2s 
JhTd7s3s2s 9d7s4h3h2s 9h5s5h4h3c JsTh6c3s2s 
Jd6s6d3s2d Jd8d7d4d3c Qd7h6s5h2h KsQd8d4d3d 
9s7c5s4s2h 9c8c7c4h2d Kh8h8d6h2h Jd9s6s6h2s 
Ts7h7c2s2d Jh7s6c3s3d KcTc5c4c2c AhKd6c2s2c 
Tc7c6s6c2h Th7d5c4c2s Qs8s7s4d3h Kh9s8s6s2s 
9d7h6s4s2c QhQc7s3h2h 9c7d6d4s2d Ts6h6c5d2h 
Ac8h7h2s2d 9c8s5s4s2s Td7c6h4d2d Ks9d7c4c3c 
TsTc7h3d2c Js9c4c3h3c 9s7s6h4s2c As9d8h4h2c 
KdTsThTc9d KhJd4d3d2s Kd6s6h4d2d Tc8c7s2d2c 
Qh7d4c3h2d Ts7s6c5s2s Qc9h7h6s2h Ah7s5c4c2c 
9d7h5s3d2c Qs9h8d4c3d 9d8c4s3h3d KdJd8d4c2d 
Qc6h5s4d2h Kc7s6h5h2h Jc8s5s4s3s 8s7c4h3h2c 
9d7h3d2s2h Ad4s4h3d2d QsQhQcTh2s Jd7s7d4h2c 
QhJd7d4d2c Jd8h3d3c2c Kc9h4d4c2s Jc9c7c4h2d 
Qs8d8c4s3s JhTs6s3d2s 8c7h5c3s2c Jd8h5d2d2c 
Ac7h4h3h3d Qs9h9c7c2c Ac6h4d3h2d 9s9d6d3h2d 
Qs7d4s3c2c Js8s4h4c3d Td6s5s5c2h Qs8h7h5h2c 
Ac9c8c4c3c Qc8s7s5s2h Kd7c5h3d2d Ts6h6d4h2c 
Td9d4d4c2s Td7s7c6c2c Ah8d6s6d2d QhTd7c4s2c 
Kd4s4h3s2h QsJs8d2s2h Th7c6d5s2d Ad8h7s4h2h 
Jc9s5c4c2c Td7h6s5c2s Jh9c8c3c2d AsQd3h3c2c 
Jc7s6c3h2h Ad6s6h6d5h 7d5c4c2s2h KcQh8h4h3h 
Qh9h8h4h3c Kh7d6s5c2s Qh9d6s4s2c Js8d7h2s2c 
9d9c4c2h2c Ah8c6s4d2c Jd8d6h3s3d Tc8h5h5d2h 
Jd8s3c2d2c Qd9s9c3d2h As8h6h5h2h KhJc4s3d2s 
8d5d4s3h3c Kc7d6s5s2s KdQd8s4d3d Th6s6d4s2c 
Td6c5h5d2d Qd9h6s4c2h Ts9s4s3h2c 7s5c4h3h2d 
Qh9s9d7d2d Ad7s7h4c2s 9h7d4h4c3h Qh8s7d6c2d 
Ks8d5h4c3c 8h5c4s4c2c Jd7s6c5s2s AcJd5s3h2s 
Td8d3c2d2c As5s4c3s2s Jc7s7c5h2c KdJc7h4s2s 
5h5d3d3c2d 9c8d6c3s2c 8c5h4s2d2c Kh8s8d5d2d 
Qd6s5s3s3h Qc8c7d5c2c 9s8d7h4c2d Kc7d5h4d2s 
9d6d4h3s3d Ts9c7c3c2d Td8d5h5d3d Jd9d5c4d2d 
Js7d7c4h3h Qc8h7c3d2d 7c5d4h3h2s 8s5c4h4c3c 
7c5s4h3d2s Kd8s5h4c3c Td9h5h2h2c KhJc4d3s2s 
Qh9s6c4c2d Ks8h5c4d2h Kc6d5d3h2s Qh9s9h4h2d 
Td8d7s2d2c Jh6d6c4d3s Jc9d8h3s2h AhQc8d2s2d 
Kd8s6c3h2d Jh8s3c2h2c Ts6c5d4h2d KdTs4c3d2d 
7s4d3c2s2d ThTd7s3c2h JsTh6c3d2c 6s6h4d3c2d 
QsTc6c3c2h Qh9d7c5d2d Ts6s6h5d2s Qh6c3c2h2d 
9h8h5d3h2s AhKd6s2s2c Qh8s7c5d2d Qd7h5d4d2c 
Th8h7c2h2d Qc7c6h4s2d Kc9s9c4c2h AhQc9s3d2s 
8s7d3s3d2c Jc8c5d2s2c Qc9d7h7c2c Tc8s4h4d3h 
Kc7d6d3s3d 9c7d5s3c2c TdTc7s4s2s Kh7h6d2s2c 
Qd9c6d4s2d 7c5d4c3c2s As9s4s4c2d Qd7d7c4h3d 
KsTs3d3c2s Jd8h7d3s3c KcJs4h3d2d KdJh4s3h2h 
Js9d5s4s2s Qc8h3h3d2c 8h5h4s4h2c As8s6s3s3h 
9c6c4h3d3c AdKh6c3c2c Ts7s4h3h2h 7d4s3c2s2d 
QsTd3s2s2c Jc6d4h4c3s QdTh3h2s2c 9s7d5h3c2c 
Ts7h6h5c2h Ac8h7h2h2d Qd8c7s6h2s KhTs8c3s2d 
Jc9d6s3c2h 9c8s8h3h2h 9c7s5s2s2h 9s7d6h4s2s 
Th7h5s5d2c Ts8s5s5d2s KhTh5h3h2s Js4d3s3c2d 
QhTc7d4s2d 9s7c4c3s2s QsQhQdTs2h Jd8c4s4h2d 
Jd9s6s6c2s Tc6d5d4d2s 8d7h4h3d2h AcTc4d4c2c 
9s8s7s4c2h 7s5c4s3s2d Qs9h9d7h2h QdTs8s3s2s 
Qh9s5d4c2s Js4d3h2s2d Jd9s6s4h2c Js5h4s4c3s 
Jc5s4h4d3c Kc9s6h3h3d 8s6c4c2h2c Th6c5s4d2s 
8d7d4d4c3h Tc7s4s3d2d AhQd6d4d2d Td8d5s5d2d 
Qc7c5d5c3c Ac9c8d3c2c As8c4d2d2c Ah8c5c4c2s 
Jh7s7h4d2c 9d7s5c3d2d 9h6c4c3d3c Qc6h6d4s3s 
Qs8h5s2s2c Qs4d3d2s2d Jd4s3d3c2s Jh6h4s2s2h 
Tc8h4s3h3d Qh8d5c3s2h Th6h3d3c2d Js9d4d4c3d 
Ks9d4s4h2c Kh8c7c4s3d Js9s6h3d2c Qc9d9c4c2h 
QcTd6d3d2s QsTd4d3d2h Ac8s6h4d2h JhJc5s3s2s 
AcTs6h6d2s Qh9d4h4c3h 7s6d4c2h2c KsQs4d3s2s 
Jh8h3s3d2d AsKd9d3d2d Kh9c7s7c2d Ac5s5c3c2c 
Jc9c7c4s2h Kh5s3c2s2c Qs8c3d2s2d Ac8h7h4h3h 
KcQs8s4s2h Qh8s5h3d2c 9h8d7d4s2d AsTd5s3s2s 
Td7h6h4h2s Qs7h5d3d3c 6s5s5c3h2s Tc7h5s4d2s 
KsTs7d2s2h Ts6c5c4c2d AdQs6s3s2h KcJd7d4s2d 
Ts6h5d3d3c Js7c4s3c2h Kd8c7s7h2s Ad9c6s4c3c 
Tc6c3d2h2d 9h7d4d3h2d QsJh8h3h3c Td5s3d3c2s 
Th9h5h3c2d Jd6d5d5c2h JdTd4d3d2c Js8s6s4c2h 
Qh9h7h4d3h 7d6s4d4c2d Qd5d4s4h3d Tc9d4h2s2d 
Ks9d7h5h2h Jd9h8s4h2h Ts9c7s3d2s Qd9d7c5d2d 
Kh9h8d2h2c KdJd8h3d2c 8d5c4h3s3h Qd8h4d3h2h 
Qh7s6c5d2s 8h6d4h2s2h Kh9h5s3c2h Kc7h6s5d2s 
8d7d4d4c3s Qs4h3h2s2h Ad7h6s4c2s Qd8s6d3d3c 
KdTs3d2h2d Qh8h5d3s2c Ks9s8s5s3s Ts7s5s3s3c 
Ac7d5s4h2d 7c4s4h2s2d Js9h6s4s2d 7d5h4c3c2c 
9h5d3h3d2d Js6c4c3d2d Th5s5c4h3d Ts7c4s3s3d 
QcJh8h3h3d Ad8h7h4h2c Qc9c8d3s3c Qd8h3s3d2s 
Tc9s4d2s2h 9h9d9c8s8d 9c8s4h3d3c Qs7d6c5c2h 
Jd8d6s6h2d 9s9h7d3h2c Qd8s6c4c3c Ah8d7d4s2d 
Kd8c4h3h3c Qs9c5h3s2s 6h6d4c3s2c 9d6s6c4s2h 
Jh4h4c3c2c Js6h5c3s2d Qh7h7d3h3c Jc8h3d2d2c 
Jc9h9d3d2d Ks7s5s3s3c Td9d5d3s2h AhQd6d3d2s 
Qc7c6s4h2d Th9s5d3c2d 7s5c4h4d2c Kh9d6h2s2c 
KhQc8d4c2c Ts9d5d2h2d KhJd7c4s2c KdJh8d3s2d 
Js7h5d4s2s Qh8d7d6d3d 9h7h6s6d2h Jc9s5h3d2h 
AsTc5h3d2c Kc8h6h4s2d Th8s4s4d3s 9s7d6s2s2h 
Qh8c5c4c2d Ts7s5h4d2s Jd9c7c4h2s Jh8c6s6d2c 
Qh7h6h3d3c 7d4s4h2d2c Jc6c4s2s2c 8h7h5c3s2h 
Qs8c3h3c2s Ts7c4h4d3c 8c7h4d3s3h 6s5c3d2s2h 
Th9c7s3s2d KdJh7s7c2h Js7d5h4s2s Ts8d8c3c2h 
KdJh7c4s2s 9h7h6c3s2d Qs6s6c5s2s Ac9c4h4c2d 
9h8c7h4h3h 7s6s5d3s2s 8h8d6s3h2h AdThTdTc5c 
9s7c6s3s2d Ah9s7s6c2s 9h8h6h3d2c KsJh4d3h2h 
Jd8d3s3h2s Jh8c6h4h3h AhTs6s6c2s 9s8s8h3c2s 
Jc4d3s2d2c Jd8c4d3d2c 9d8c7h3s2d Kh8s7d7c2c 
9s5s3d3c2c TsTd8c3c2c AsTs4s2s2d Ts6d6c2s2h 
8s7h4s3d3c 7d6s4s2h2c Jd7h6d3c2c Qd9h6h4c2s 
8d6d4s2h2d Th5c4s4d3h Tc5s5h4d3c Qs9c5h4d2h 
Ad7c6h3h2c 9h7d5s3h2h Jc7s5h5d2c Kc9h9d7s2s 
Jd8h5h4h2h Qs9s7s6d2s 6c5h3s2d2c As7s4s3c2d 
9d8d6d4h2d AcQd8d3d2s QdJd8s3c2d 9h7h6c3d2s 
Qh8d7d5s2d Jd6s6h4s3c Th9h4d3h2c Td6d6c5h2d 
8d7c4h3s3c Qs9s9h4s2c Jc8d4s4h3c 9h8c5h3h2s 
KsJc4h4d2d Ac9h6h4h3d 8d5h4s3s3c 9d7h4c3c2h 
9c7h5h2h2d Jd9h4s4h3c 6h5s3d2s2c Qs7h5s4s2d 
Kc7c6s3h2d QhJc6h3h2s Qs9h6s2d2c Kd7h4s4h2s 
Ks5d5c4h2c JsTc7d3h2h Ah7s4d3s3c KdJh4h3h2s 
Qc8d3h3c2h 9d7c4s4h3c Ks8d6c4h2d 7d5s4d3d2c 
Jc8h4s4c3d Qh6s3s2h2d KdJd9d3c2d Ts6h4d4c3c 
Ac7h5s4d2h 9c7h4s3h3d Jd7s7d4d3d Qc9c8c3d2s 
9h7d5h3h2s KcQs8s8d2s Jh8c7h4h2d Ks9c7h7c2d 
8s5h3s2h2c QhJd6d3d2c 7h6h5h3c2h Ts9c7s3h2s 
Qs7s7d4c3s Tc7h4h3s2s Jh7c5d4s2s Ad9s7s5s2s 
9c8c5c4d2c Qd8h6c4c3c Jc8d5h2s2d Ah8d7d2s2c 
KcJc3c2h2d Ah9c6c3s3d Jc9d5d2s2d QhQd7h3h2s 
Kc7d5s4d2h Kd8d4s4c3h Ad7s6h3d2d AsQc5c3c2c 
Jd7s6s5c2s QhTsThTd9c AcQsQdQc9c QhQdQcJc3h 
Kd6s6h5c2c 9d7h7c4h2s AhQc9s4s2s QcJc8c2s2h 
Ks6s4h3s2c Jh9d6s3c2h 7c6c3d3c2d Qs8s6s6d3s 
Td8h4s4c3s AsKc7d2h2d Kc7s7d5h2s Qh8d6s4c2s 
Ts9d7h3h2c Ah6s6d4s2c Js9d7s4s2h AhTc7d2s2d 
Kh8d4s3s3d Kc9h7h5s2h Ks6h5d3d2c JdTs6c3d2d 
Jh8s6c4s2s Jh9d5s3s2c Qh9c6s4s2d Jd8s8h4h2h 
Qh9s9d4d2c KhJd7d7c2s Jd9h8c3s2s Ks9d7d5h2d 
QdTh7c4h2h Kd9c7c4c3s AcJs6s6h2d 8d7c4s3h3c 
KsQh8c4h2h 7d5d4s2h2c 9c7c6s6d2c Js9s5s4h2s 
As7c4h3s2s KhTd4c2s2d Jc8h7s4s2d Qc6h6d5d2d 
Td8s4c3s3h Kh8d6d4s3d 9d8c5d3d2s KcQh8s4d3d 
Qh9s5h3d2h 9s7h5d5c2h Qh8d4c3s3h ThTc5s3d2c 
Kh5d4s4c3d Qh8d7s5c2d Js5s3h3c2c AcQc8c3c2d 
Ks9d5s3s2c 9d9c7h3d2s Qc8h7c3c2h As9d6d3h3c 
Ac7c4d3c2s Jd8c6h4c2c Ad8c6h4s2c Jc9h8d4s2s 
9c7s6h4d2d 7d4h3s3d2s Td7c6c5s2c KsQdJhJdJc 
Ad9h5h4h3s Td9h5s3c2s QdJc8c3s3c Kd6h5s3c2c 
Kh8s8h4c3h KhQd8c4d2d 9d8s5d3d2c KdJd8s3d2c 
8s7c4s3s2c Ts9s7d3s2h 9c7h5c3c2s Qh7d4h3s2s 
QhTh7s2d2c Ah7s6d4c2d KhJd4s4c2s AsJh4d4c2d 
Jc9s5s2s2h Td6s6d2h2c Kh9h7s2d2c 7h4d4c2s2d 
AsQc7h3c2d Ks7d6h3d3c 8s7d5d3h2c Qs9d7s4c2h 
Jh9s7c4d2h Jc8c7c6s2c KcQs9s2s2d AhTc5d3s2c 
Qd9s7h5c2c As7h5h4h2c 9c8h7c4s2c Ah4h3s3c2h 
Jh8d6s6c2c Jc7c5h4d2c Th6s6h2d2c Qs7h5c3d3c 
Td5s5h4c3h Jd6h6c4c3s KcQd8h2s2c Ah4d4c2s2c 
As7d4s3h2s Qh9h9c4h2d 9c6c5c2d2c Kd9s7s7h2c 
9d6s4s3s3c AsQsQhQd8s KcTd6s3h2d Ts7c4h3c2h 
Kc8h5d4s2h 9d7c6c4h2c Th9d4h4c2h Ac5c3c2s2d 
8c5c3d3c2d Ac8h8d4s2d 9c7h4h3c2c KsQc8h8c2c 
Td7s5h5c2d JsJhJdTh9c Kc7s6s4h2d Kd9d5h3d2s 
9d9c5s3h2s Jh8h6s6d2h Qd9d8d4d3c KsJd4h4c2c 
9d7s6h4c2c Jh9s7c4h2h Th8d4s3d3c Qh8h5c2s2d 
Kc9c5s3c2d Ks8s5h5c2s Qd9c4s4d3d Ts9h5h2h2d 
Ad4s3h3d2d Tc7c6d4c2h AcTd7s2s2h Ac9s6d4d3h 
9h6s6c4d2h Jh8h6h4s2c KdTh4s4c2s Ah8h8d8c6d 
Td6h6c5c2c Jh6d5s4d2d Th9d7c3c2s Kc9s8h4c2c 
Jd9s6h4h2c Jc9d5d2s2h Qs9h7s4d2c Kc7h6c3s2d 
Qh9c7h7d2h Qh9s4c2s2c 9d5c4d3h3d Kd5h5c3d2d 
Kh8d4s4c3h 7d6c4c2s2h AsJd6d4d2h As9s8h3s2s 
Qd8s8c7h2h Th9c7c3c2d Jh9d8c3d2d Th7s4h3h2s 
As7h6c4d2c 9h8d7d4d3d KsJs8s8c3s Td7h4h3c2c 
Td9h7s4h2h 8s8d7s3c2h 9h7h6c4h2s Kc8s6d4h2s 
Th5d4s4h3c 7h4c3d2h2c KdTs4h4c2h Jd9d6s4d2h 
Qh6h6c5h2h Js8s6s6h3s Kh9h8s4c2h Kd8h6c4s3s 
8h7h3s3d2d KcJd4s4h2h Qd8h6c3c2h AcTs7s7d7c 
Ac6h6d4h2s Jd7c6s3h3c 8s7d4d2h2c Jd8d7h6d2d 
KcTs4d2s2h Ts7d4h3d2h Qc9d4h4c3c Qc9c8h2s2c 
KdTh6h3s2c Ad7c6h6c2s Th9d7c3s2c AhTc7h7d7c 
7h6d4s2s2c AcKh8s3d2d Js7c4h4d3s Qc9c3h3c2h 
6d5c3h3d2s Td7c4h4d3d KdQs8h4c3c Js6s4d3s2d 
6c5s3s2h2d KsTh5h5d2h Qs7h4h3d2s Ts7s6s5s2d 
9h8s5h3h2d KhQh5h2h2c KdJd8d3s2c QhJc6h2h2d 
Qd8c7d3d2c Qd9d4c3s3h QsJh7s6s2s Qd9c7s5c2c 
As9d6d4d3h Th9d5c2s2c 8h7h4h4d3c Kh7d6d4c2s 
Jc4s4h3c2s Kd7d4s4c2h Qc8h7c4d3c Ks8d6s4s3s 
Qh9c7s5d2s Js9d7h4c2s Jc7h6s4c2d As7c6s6h6c 
KdTc6s3h2c Qs8c7s7d2s KdTd5d3d2s Jh7s5d5c2h 
Th7h5c4d2h Tc8d4s4h2c Jh7c6s3d3c Tc6s5d4h2d 
Kc8h6s6h2d 9d8d6d3c2s Js8c7d4c3c Qh8d4h3d2d 
9h8s7s4d2s Qd8d5d3s3c Qs4h4c3h2c Th7c6s5d2s 
Jc8s3d3c2d Ad4d3s3h2d QcTs4s3s2h 9h8s6c3d2c 
Ts5h5c4d3s Kh6d5d3s2c Kc8s8c3c2s Jh8h7d4h2s 
Js8h3s3d2d Td7s6s4c2s Ts7s5s4s3s Qc9c8d4h2c 
KcJs9s4s2s 9c5s4c3h3d Js7c5h5d2s AsQh8h3h2d 
Tc7h5s4s2d Qc6h5h5d2s KhTd6c3s2d Ac8d6d4d3h 
JsJd6d3h2c 7s5h4d3d2d As8h7c2d2c Qc8d7s5s2s 
JcTs7d3s2s Ks7c6h3d2s As7h7d6h2h Jc6d4c3d2d 
Qc8s8h7d2s 7c5h5d4h2h Jd9d5h4d2d Ts7c5d4h2d 
Jd8h8d3s3d KdQs4c2h2c KcTs7h3d2s Ks9s8c3s3h 
9d9c7s4c2c Kh9h8d4c2h Kd8h7s4s3c Qc8h7h4s4h 
KdTh4s3d2d Js8s8d3s3c Kc8s8h5d3d AhKs6c2d2c 
7c6c3s2s2c Jd5d4s4c3h Qs8c6d4d3d KcJh7h6h2h 
AcQh6h3h2s Kd9h7h4h3s Qs9c5s3s2d Qd8s3s2h2d 
Js7h5d4c2c Jd9h4h3h3c Kd7s6h3s2h 9d7d5h2s2d 
Js4d3s3d2h AhJc6s4s2d Ts6s3d2h2d Kd8d7s7d2d 
9s8h6s3c2s Jd9d7s3h2c Qs6d5d5c2h Jh6s6d3d2s 
JdTs6h3s2s Ac6s4h3s2h Td7s7c6s2s Ac8s8d8c6s 
Jc7d4c3s2d Kc8d5s4s3s KdQc9h3h2s Jd7h4c3s3d 
Ts7h7d6s2s AsTs5s3s2d QhTs4d3d2c Js7h6s3s3d 
6h6d3s3c2c Qc7s5h3h3d KhJc4s4d2d Jh5d4s3h3c 
Th6d6c5s2c AcQh9s3s2d KdJs7h4c2h Jh7d4c3s3h 
ThTd3h2s2h Ts6s6c4s3s Kd7h5c3d2d KhJc3s2d2c 
Qs6s5s3d2c Tc7d4h4c3c Jd8s3d3c2c Jc9s6h4d2d 
KhQs8s7s2s Td6d5s5d2h 9s8c6h3d2h Tc7d5h4d2s 
Qs8h6h4h3h 9c6c5c3c2d TsTc8h8d8c Qh8h6h6c3h 
Th9d5d4d2d Th7h6h6c2s AsTh5d3c2h TsTh6d3s2c 
9h8d7c3s2h Jd7h5s4c2s Jc7d5s4h2h Jh7c5d4s2c 
QhQdQcJsTs Js7d4c3s3h 9s8c5c4c2c KdJh4s4c2s 
As7d5c4h2d AdJd4d2h2d 9h7d5s3c2c Qs6c5d4h2c 
Qd7s7h3h2d AcJd8d3h2d 7s5d5c4d2d 8s5h4h4c3h 
Qd6h6c5c2c Qh6d6c4s3c Kc9s8s6s2s Jd5h4s4d2c 
Ac5h3h3d2d Td6s6c5h2s Qh8h5s3d2c Ts5h5d4c3d 
Ah9s8s3c2d Jh7d6c3d2h Jd6s5c3d2h JdTh6h3c2h 
KsKhKdTh7h KhTc4d3h2h 8h5h4s4d3c Qd7d6c4h2s 
QdTh6h3h2s Ks9s5h4s3s 7s4s4c3s2c Th8s5c2d2c 
KdTc4h3d2d 9c8d5h3d2s KsQs8d8c2s Qh8d7h3s2s 
As9s8c3s2s Kh8c5d4s3s AdKc8h3s2s Jc7s7c4h2d 
9s5h4d4c3c KdTs4s3h2c Ah4d3s3h2h Jc7s5h4d2h 
Jh7s4c3h3d 9d6s6c3h2c Qd5c4d3s2d Js9h6c3s2d 
Ts6c5d4d2d 9s9h4d4c2c As8c6h4d2h QdTh4h3h2s 
Qs9s9d4c2s 6s5s5d3s2c 9d7h6d3d2s As4h3d2h2d 
9d7h4s4c3h Ad4d3s3c2d 9c7h5d2s2h JhTs7c3c2d 
Ts8d5c2h2c 8c7s4c3h3d Kh8c4h3h2c Qc9d5s3c2c 
KsQc9d3c2c Jh6h6c4d3h AsKc6d3d2d Jd8c3h3c2d 
Js7d6c4s2h Kc8s6h6d2h Js9c6d4h2h Jc7d7c4s2h 
Ah5h3h2d2c QdTh6h3s2h QsJc8h3d2c Td7h6h4s2h 
Jc7s7d5c2c AcKh9d3d2s Qh9h8c4s2h AdJc8h3c2c 
Jd9c8s3c2h 9s8d5h3c2h 6d5h4h3h2h Ad5h4s3s2c 
AdJh6c4c2s Jd8s7d4d2c Qh5s5d4d3c 9s8c7d3h2s 
Qd8h7d3d2h Ts7h4s3s2h QsTh6c3d2c AhJd6c4c2s 
Tc6d3s3d2c QcTs4s4d2s Ah9d8s4d2d As8h6c4d2h 
AcTh5s3d2h Ks8c5h3c2h Ac9s6d4h3h Jd7h7c3h2c 
Qs9s8h4s2d Jd8s6s4s3h QsTs7s3s3h Qd6d6c5d2d 
6s6c4s3h2s 9d7c4s3c2s Qh9s7s6d2s Tc8h4d2s2d 
QdTc3s3c2h Ad7h4c3s3h Qd8c7d4h3d Js8h5s2s2d 
KcQd9h4s2h 9s7h4h3s2s Jh7d5s5c2h Kd9d8s3h3d 
Jh8h6h4d2c Jh7d5c4s2s AcQh3s3d2d 9h5d4s4c3s 
9s7s6h2s2c AdJc4c3h2c Js8c7h4d3d Td8h4h4c2s 
Qd7h7d3c2c Ad7c4c3h3c Jh6c4d3c2d Ad9s8c4h2s 
Tc9d6h3s2h Qs8c7d6h2d 9h9c8s3d2s Qh7h4s3d2d 
JsJd5c3c2c Qh8h7d7c2h AdJs6s4s2h Th6c5d3s3d 
KsJd6s3s2c Kd7h6c3s2d KsJd9h3c2c Jh9d9c3c2c 
Th7h6s4h2c Qs9c6s4h2s 8h5d4c2s2d Js9c4h4c3d 
Qh9s7c6c2c Kc9h5c3d2c Js9h7d4c2s AsTd5c3h2d 
Qh8d6s4s3s Kd7s6s3h3c QdTs3s3h2c Ac7h4c3d2c 
Td9d5d3c2s 8c5s4h3h3d Jh9s4s4c3s 8d5h4s4h2h 
Tc9h5s3c2c AdJd3d3c2d 9d8s7h4d2d AdTc7s7d7c 
JdJc8s8h8d 9d8h8c4s2s 9h9d5c3s2c 7h5d4c3c2c 
7d4s4c2h2d Qc9h6h4s2d 9d7h5c3d2d KdJc6d3d2h 
Td9c5s2s2h Kh5s5d4c2s 7c6h4s4c2c 9c7h7c6c2c 
JcTs6d3s2s AhJd6s4d2d AcTs7h2h2d 7d4s4c2h2c 
6h5h5d3h2s Kh9c8c6c2c 8c5h5d4d2d Qh7s7h3d2d 
KdJh8d3d3c 9d7s4d3s2s 9h9d6c3c2c Kc9c7h2s2d 
Tc7c4d3d2d Td9s7h4s2s Qd9c7d6d2d Kd5c4s4h3c 
KdTd3h2d2c 8s4h4d2h2c Qc9h5c3c2s Ts9h4c3d2d 
Qs7s7d3h2h Qs8s5s3d3c Ts6h5c4h2h AcThTdTc3d 
Jd7s6c4d2h 8s7c5d3h2s Ad9h7s7h7d Jd9c5c3c2s 
Kc8d6h4s3s 9c8d6s3d2h Td7d4c3d2c Kd6c5c3s2h 
Kd9s7s5h2s 7h5s4c3c2d AhKs9d4d2d Kc8d6h6d3d 
Jh4c3s3h2s Qh8c5c4c2s 9s8d7h3c2s As6h6c2d2c 
Qd6c5h4h2h Ts9d4c3h2h 8c7d4h3h2d Jh9d6d6c2d 
Td9d4c3d2s Td7s4h4c3s Js7s5c4d2s Ks9h7h7d2c 
Qc9h8c4c2s AdQd6h3d2d As9c6h4d3d 9c5c3h3d2h 
KhQc3c2d2c KhTc4s4d2d Ac8d6s6d2d Ac7s7h4d2h 
9d5h5d4d3c 7h7d6s3c2c 9c8h6c3s2c Jd4c3d3c2s 
Qc8h7d5s2s Qh9s7s4d3s Qd7d6h3h2d 8h5h4s4c3d 
Kd8s4d3d2s QsJd6s3s2h 5s5h5d4s4d Ac9h8d4d2s 
Qs9s7s7c2d Ts8d5h5d2d As5d3h3d2h Qd9c8d4d2s 
Qc8c6c3s3h Qh9d6c4c2s Ks9s5c4s3s AcKd9s4s2s 
AcQs9d3h2d As9s8s4s3s 9c8h5d3s2h Jh9s6d6c2c 
Kh8s5d4c3c Qc9c8c3d2h Kd8h8d4c3d QcTd3c2h2c 
Ah5c3s3c2s Th7s5d4c2d AcTs7d2h2d Qs9s7s7h2d 
Jd5c4s4d3d Kh8h5s5d2h 7s4h3s3d2d Js9c7h7d2c 
QhTd8s3s2s As8h6h4h3c 7d6s4h3d2c Ks7d7c5d2h 
7s4c3s3h2h QhJd6d2s2c Qs8c6h4c2c QhTc4s3s2s 
Ks8c5c4c2d 9s6c4c3h3c 8h6h4s4h2h Kc8d6h3s2c 
9s9d7h3c2d 9c5s5c4h3c As9c4s2s2d 9s7s6h3d2c 
Qs8h7d6h2h Kc9c5d4c3c KcJh6h4h2h Jc9d8d4h2d 
Kh9s7s4s3d Jd9h9c3h2h 6h6c3s3d2s 8h8d6h3h2s 
As9h6h4h3d Jh7s4d3h3c Jd6c5s4h2h 9h5s5c4h3d 
