AdKh8d8c3d 
Js8h7c6s3c KhQsJs7c3d 9s9c6h6d3c QsTc6d5s3s 
AdTh7s5s2h JdTd8h8c4d Tc9h5h4h3c AcKc8h8c3d 
QdJcTc7c3s QcJs6c3s2h QsTd4c3d3c Th8d7h4s3s 
AdJsTc7c2c KdJh8s6d4d Kc8d7c6c4h Th9h8s3c2s 
JcTd9c5c3c QsTs9s6c2h AhJs8d4s4c AsKs7h3c2d 
Th9h6d5s5c AdKc7c6s2h Ah8d7s6d5d Th9c8s6h3d 
JhJd7s6d3c KhQdJd3c2s JcTs9d5h5d AcThTd7h3h 
JsJh8c5s3d 5s5d4s4d3s Js9c8d4s3d 7d7c6d5h3s 
Jc9c7h5c4s Js8s8c5s5h AcQs8d7s3h Kc8h6c5c2h 
9d9c7d2s2c Ts9h9c6c3d KdQhJs7c3h As9d6h5d3h 
TsTd8s8c3s Ts7d6s6h5c KdJc8d3c2s Qs9c6c4d3d 
JdTc8d5d3h KsTc9s4h3s QhJcTd7d3d Tc8s7c4d3d 
AsKsQh8s3s Qh8c6s6d5h Tc8h5d4h3c Qs9d7h6d6c 
JsTs8s5d2h JhJc7c2h2c AcKs5h3s2d KdJd9d6s6c 
Qh6s5c4c3s 9h8c6h6d5s Th7h7d6d3h Ts8h6h4s3h 
KhJs8c6h4h AsQs9s5d2h TdTc4s4c2d Ah9s7d7c6d 
QhJc7s3h3c JdJc9d5h2s Jh9c7c5s4d QdTd6d5s3c 
KhTh6h5c4h KsQdTh6s2s AhTsTh5h2d KdJd9h9c3s 
Jd8d7h7d6c QcJs6h4s4d 8c7d6d4c3d JsJc7d6c3h 
QcTh8h8d5h 9d9c7d6h4d AhQh9s5d2h Th9h7d6h3s 
KsQh7s5c3s QdJsTh4c2c Jc7s5s4d3d JsJh7c6h3d 
AhQdTh4h2h Jh9s7c6d6c QdJh8d7d5d AdKh7h3s2s 
Qh8s7h6h3s QhJdTd2s2d Tc9s8c3s2h AhKd7d3s2s 
Th8s8c7d5s AhQhQdQc3d KsJh5d4c2s Jc9s8c4s4h 
8s7s6c4d2d KcQcJh3d3c Ac8c5d4s4c Kh9s8c5h4d 
Th8c7d4h3c KsQh8d7h2d Jd7h6h4d3s KhJh9c7s4h 
Th8d6h4d2d Qc8h7c6c3h 9d8c7h4h4d 8s8h7c4h3s 
QhJsTd4d2d KcJdTh6d2s Qs8s5d4d2h KdJc9s4s4c 
JhTs7s5s3d AsTh6s6c2d KcQdJs7h4h 9d9c8d5h5d 
Qs8h6d4d3s QsTd7s7h2d JdTh4h2h2d Js8s7s7d6h 
7h6c5c4c3d Ks7s6s5d3h KcQdJc4c3c JdTd5h3h2h 
JsJd9d5c2h KsTc4s3h2c Ks7h6d6c4s JcTc7c5h5d 
JcTsTc4c3c Jh8s7c5h2s AcJh8d5h3s KsTs9d9c2s 
KsTs6s5h4s Tc9d7s5h4d Ad8s7c6s3c QcTs6c3s2h 
Ts6h5h4d3d Qh8s7d5c4h Qs8h7d5c4s 8d8c4s4d3s 
AdQh8h7c3s JsJd9s5c2h Ks6c5s4s2c KdJdTd3s3h 
KsJd8d7d5d Kh5s4c3c2h KcTs8d5d4h AhTc9s7s2d 
Tc6s5d4s4c KcTd9h8d4d Ad8h7c4d2s AsQs7s4c3d 
Ac6h6d5d3h QcTd6h3c2d AhJdTd5s2d Ts9c7c5h2h 
Ts8d5h4d3s QcTs4s4h2c Ad7d6h3s2h AdTs7s6c3h 
AhJc9s8d3s AhTsTh4h2c Tc8d8c4c3d KhQsJs8s5s 
Ah9h8d4h2d QsJh7s5s2h KhTh7c4s4d KsQdQc4h2h 
KhQsTc7h2d KsJs6s6d5s Kd8s6d4s2h AhTs9d6s6c 
9s8s8d7d3s Jd8c7h5c4c Ts9h8s6d3c Ks9s8h4h3c 
AdJs9s5s4h Qh6d5h4d3d Js9s6h4h3c QcJs6s5s5d 
9h7d6s6c5c KdTh6s5c2d Qs9h9d6d2h Kc6s6c4s3c 
QsTd4d2s2h AhKd7d4d3c 8s7h5h4c2c QdThTd8c2d 
KhQd8h5h4s 9c8d6s6d3c Th7c6h4h3c JhJd8s5c3d 
Qs8s5c4h3c 8s7h5s4h2c AdJhJc5s2c QcJd5d2d2c 
9h8h8c5s4d Ah9d8d6c3c 8c6d6c4d3s AcQd6h5h4s 
Ad8c7s6c5c Jc9c7s7c5h QsJh7d3s3h Jc9c7c6c5s 
QsQh6h5h2d Td8h6d4h2h Th9d6c5s3h JsJdTh5h2h 
Ks6h4s4h3h Tc7d7c3s3d Jh7c5h4c3h AdQh6s5s4c 
Js7s7h6c5d QsTs6s5c3d AdKd9c3s2h Ks7h7d4h4d 
AsJc6s4s4d Qs8c7c6d2s 7s6s5d4c2c QdTh7s7d2h 
Th9c6d5s3h KhQh9h5d4s KcQhJd7s3h KhTs7c6d2h 
QsQc9d6s2s KsTs6s5h3c 6s6c5s4s3c 7h7c6c5c3s 
QsQh9h7c2d KhJsTc6s2d Qc8d6h5s4s AcKh7d2s2c 
Tc7h6h3d3c Jc9d9c5c4s KcJc6d5h3c QhJs9s5d3s 
AsQs7s4d3h KsQcJc8c5c KhJc8d7s4c JcThTd4s2h 
KdJs9h4s4h KdJhJc8d2s KcQd7h5s3d Kh8h6s5h4d 
QhTc9d5s5h Jc7d7c6h5s QdJs7h5s2h KdJc6h3c2d 
KcQsJd3d2h 7s7d5c4d2s Td8h7s4h3d Ts9h9d7s5s 
AdTc5d4d3h Kc9d8s8d7d AcQh7s7c2d QcTh6c3h2s 
Td8d6s6c3c QcTc8h3d2h 8s8d6s4d2d 9d8c7s7c5h 
QhTh7s7h4d 8c7d6c4d3c AhJc8d5c3s Jd8s7d5d4c 
KhQdTc6h2h AsQd9d8d3c Td8s8h7h5c KcJh7c4s3d 
KhQh8s8c2c 9h8d7c5s4h Jd8h5h4d3h Td9h7s6c3h 
Jc9s8d4c3s AhQsTs2s2c QdTd8c3h2c Kd9d5s4s4d 
Kd8s5h3s3d AdJcTs7s2s KcQc9c5s4h AhQs9s7s4d 
Jh8d8c4c3h KsTh7s5s3c QsJd9c5h2s AdKs8s5h3s 
JdTd8c5s3d 8h7d5h4d2s As6s5c2s2c AsKh9d5c4c 
9c7h5h5c3h TdTc5s4s4h Jh9d5d5c3c Th9s8c2s2c 
AsQh9h9c4d Js9s8s7s5d KdJdTd3s3c Tc9s8s8d5h 
QsQd9h8c2c AsKdTd4d3d Ah7h6d4s3h 9s9h7h7d3h 
Kd9s5c4d2s 8s7c6d5d3h Ks8s6c5h5d Jc7h6h4c3d 
QsTdTc5d3d KdTh6d2s2h 9s9d8s8c3s JhTc9c5s5d 
9d8h7s6s4c AcKs6s3h3d KcJdTh4h2s QhTd7s7h2s 
JcTd7h5h3s Jd9s6d4c3c AdJs8d4d3h QcJh7s3h3c 
Jh8c7c6s3s JcTh9d4d3d Jd8s7h7d2s JcTd8h7s2c 
JhTd8c6d3s KhQdJd5d5c QhQcTc7c2d QhJdTd2d2c 
9h9c6s6d3c AhJs9s7d3s As6s5d4s4c Qs8h8d6d5c 
AsTh7h6d3c AsJd5s3s3c KdTd6d4s2s Ac7s4d3s2c 
9d8c6s6d5h Jh9h8c6h5h KdQs8h6s4s AsJcTd6c3c 
Ac9c6c5h5d QsTc7h5d3s KsQcJh3d3c Qc9h9c7d5c 
QdTh4h4c2d Qs9d9c7c2s As9h9d6d5c AhKhQh8d2h 
Qh8d6c4c3h Ac9s6c3s2s QcTc8d3h2d Ts7s7d6h5c 
Th8c7h5s2s JsTd6h6d2s Ac9d8c5s2c Ad7d6h4d2h 
KsTc5c2s2h As9h9c5d5c 7c6s5d4s2d KdQs5h3d3c 
AdJs9c8h3h JdTh8d5d3c QhQd9d7s2c Td8s7s6h6c 
Kh8h7h6d4c AcJsJd7h3h AhKh6c3h3d KdQcJs3h3c 
AhQd9c4d2c Jh8h7h7c6d 9s7h6s5d4s AdJs7s6c4s 
QdJsTs6s3s AhJsTs5d2s Qs8s8c6d4h QsQh9d6h2h 
Qd8s5d4c3s 9s7h5s4h3h Qc6h5s5h4s 9s7d6s5h4s 
Tc9s7s5d2d KhTs4h3c2s KdTc8h4c3h Kd8h6d4c2c 
QcJhJd3d2s QsTh7d6s3s KcTc6d5c3s KsTd7d6d4d 
JdTh7d4s3c Ac9d4d4c2h 7s6s5c4d2d Ts9c7h6d3c 
8s8h7d2h2d QsTs7s7d5h QdJh7h6h6c 7s6h5s4c2h 
QsQc6d5s2s KcJsTh6h3h Tc9c7d7c6c Qd8d5c4h3c 
AcKc6c4c3h Kh8c5s5h3c Th9h7d7c2d KdQh9s5h3c 
8s8d7c4s4h 6d6c5s5c3h Ac6c5h4d3c KsKd4h3c2c 
Th9s7h6c3h QcTc8h5s3d 8c7d5s5c3s KdQhJh3s2c 
JsJh5d3h3c Ah9d4h4d2s Jh7d5h4d3h QdJs8h6h4h 
Kd9d7h7d5c KcJc9c6h6d KdQd8d5s4h Jd8c5s5d2s 
6d6c5s5h4c AcQc9h4d3c KcJhTc6c2d Qh9d7s7d6c 
JsTd7d7c2c AdKs9h3s2h 8d8c7s4d3c KsQhQd9c2c 
Ah9d4h4d2c AsTd6h4s2c 8s6s5h2h2d 9h8d7s4s4d 
Ts8c7s5d2c As6s5d4c3s KdQdJd3h2s Tc9h7d7c2h 
AsJs7s6s6c Kc9s8d6s5s 8s8h7c4s3h Ad7h7c5s4c 
8c7h5c4h2s QhJs9d5c3c Jd8s7h5d2s TdTc5c4h4c 
As9h6s5d4s Qd9d9c7h2h 9s7h6d6c5c AcJh8h6d4h 
QdJh9c6s3h QcTh6h6c2c AdTh9h5c4h Ad9h6h5c3c 
Kd9c8h6s5h Jc9s6h5h2s AhKdJc4c2c KsJdTd6h2c 
KdQcTd5h5d AcQhQdQc3d Qs9s9h8d5s QcTs8c5h2d 
AhQd8d7c3s AcQs9s8s3d Ts8c6c4s3c AdJsTs4h2s 
Td9h8d3h2c Ks9d6s4d2c AcQs9s8s2d KsTh9s8s5s 
Qh8c7h5c2s QsTd9s5h2c Qc9s7s7h6d 8c6h6c5s5c 
Ks6s5c4c2s KsQs6h3c2c AsKc7c4c3d 8s8d6d4h4d 
8s8h4s4h3d QdQc6d5d2s Tc9h9d7s4c Ac8h8c7d3c 
Jc9c8s4s4d Jh9h7h6h5d Kc8d5h5d3c KdTs8h4s3h 
AsKs9s6d4s KhJc6d5s4s AdTs8c5h5c QsTs8d5h5c 
Jh7h7d6c3d KsTs6h6d5s AhJc6h4s4h Jc9d8s6d2s 
9h9d8h5h5c Kc9d5h4c2d Ad9h9c6s6h Ad9h6d5s4d 
Ks8h6s5d5c KdJhTh3s3c 8h7s6s4h2c Qs9h7s6d4c 
Tc7h6s5h4d Ts9h8s3h2d Qc9h9c7s5c KhQh8h6d6c 
9s8s6d4c3c KdTs9h7c3c AdKs8s4s4h 8h6s6c5h2c 
Kh7d6s5c4s QsQd5c4s2s Kh6d5h4h2d Qc6d5h3h3c 
Td9d7h5d4c Js7d7c6c3s JsJd9h5c3h AdKs8c5s2s 
Jc9d8h4c3h QcJd6c3h2d AcKs9h7d3d AhKs6s3d3c 
Td7c6h5s4c Ts9s9h4c3d Kh9s8c5d4h KsJs9d6h2c 
Qh9c6s5d3h AdKs9h7c3h 9d7s7h6c5d KsJhTc6c3c 
Ks9c5c4s2h Kd8c6c5d2d JhTd4c3h2d Tc9d4d3s3c 
9d7s6d5h4d Qc8c7d6s6h Tc8h6s6h5d AcTs7s6h3d 
Ac8h5s5c4c As6h6d5d3h KdJd4s3h2h KsJhTd2h2c 
KcJhJdJcTd KhJh9s7c3h As7d6s6h3s 9c8s7h4s4c 
Ah8c7d6c3d KcJh8d7s4h QsQhTh5h2h 9h8s6s6d3h 
AhTs9c5s4s Th8d7d6s6c Td9s8s6s4h Jh9d8c4h4c 
KsQhJh5h3h KdJd5d5c4s KcQdTc5s2c 9c6h6c5s5c 
KhTd9d7d5d KsKc8h5h2h Jh9h5d4c2c KhTd7h5h3c 
Ah8h7h6s4h Th8c7h5d2c Ts8h8c6c4c Qh7h7d5d3d 
Qh8s6d5h5c AhKs7c6d2s 7s7c6c5h3d AdKs7s6h2c 
AdJh9h5h4c Ah6h5c2h2c Th8d8c7d5s JsTc9h4h3d 
Kd7h5h4c3c KsTc4s3d2c AsJh9h7c4h Qd8d7c6s6h 
Kc9c6s6c3s Th8s6h4s2s Th6s5s4d3d 8c7d6s6d4h 
Ks7s6s5h3c 9c7h7d6s5c Ac8s8h6c2d QhJd7c3h3d 
Qs9c7s7d5h Qs9s5d4d3d KsQs7h6s4s 9d8h7d6d4s 
QsJc6s3d2c QhQc5s4h2h QsQh5h4d2h AdJd8d8c4d 
JsTd8c5s2h Ks7d6h6d2s 8s6s6c4c3d Kd6s5d5c4h 
9c8h6h6d2d AcTs9d6h3s 8h8c7h5c2c Ks9s7c5s4d 
Kh8s7h7d4c Kc9d8s6d5h Ad8d5c4h4d Tc9d8d4c3d 
JsJd7d6s2s Ah7s7d5c4s QhJh7s5d5c QcJd9c5s5h 
Jh7h7c6s5d Th9d4d3h3c QhJsTs6s3s Tc8s6s5c2s 
Jd9h6s5s2h Ah7d4d3h2s JsTs8d5c3s QdJd7d6s6c 
QcJhTs7s3s AdKhTs5c2s Qh9h8s8h4s KcJs9s6d4h 
Ad8s6d4c3h KdTd6d5h3c Qc9d8s6s2d Qs9h6s5d3c 
QhJd9c8s4d Kd9d8c4c3s Qs9h9c7h2s KcQd7h5s5d 
As8s4h2h2c Th9d8c5s4h KsQh8s5s4d KcTh7d6s2c 
Js8s8c7s6h 8h8c7c4h3h 9h6h6c5s5h 9d8c7h7c5s 
KcQd4h4c3s QcTs4d3s2c Kh7h5d4c2c Th9d8d4h3h 
KsQd5h5d4d Ah9s9d4s4d KdQdJd3s2h As9d9c5h5d 
Tc8s6s4c3s Td9d7d7c6d 9h8c5h5c3d AdJcTc5s2c 
KhQc4s4h3d Qc8d6s5h4h Th9c7d5s4c AsQdQc7d2d 
Ad9c6d3h2h AhJs7s6c4s 9s7c6d3d3c Jh9h6c4d3c 
Qh9d7c6s6d KsTc7h7d5c Ks9h8d6c5d 8d7c6d4c3d 
QhTd8h5s5c QdJs9c8s3h QdTc4d3c2s QdTsTh8s3s 
KcQhTd7c2s Kh7c6c4s2h Qd9s7c4d4c QsQc6c5c2h 
QhTc6s4c2s Kd8c7d6d4h Qc9d6c5s3h 8h8c5s5h3d 
AcQdJd8d3d 7c6s5c4c3h Js8s7s7h5d As8s4h2h2d 
8h6s6h4s3c QhJs7h7d4c Jd9d9c7d5d 9d7h7d5c2h 
QcJc8c6h6d 9c7s5s5c3s AhKsTc2d2c Ks9c7h5s4s 
KhQhJd7h4h KdTc8s5s2c Td9d7s6d3c Tc9d8h7d4s 
8c7d6h5h3s Th9d6h5c4s Ad9d5h5d2h Ac7d6c4h3c 
Kd9d8h4h3s Kd8d8c7h5d QsTh7s7c2c KsJh5s5d4s 
Jd9d6h4h3s KhQd8s6d4d QcJs7c5c2s QsJh9s9c2d 
KhJdJc6h3h KcJc5h4s4d KdTc7s7h5s AsQs9c4h3s 
KhTh8d4h2d JsTd5s4s3c Jc8d6c5s4c Tc7d6s5d4h 
QcTh9s4d3s Ah8h5d4s4h ThTd8h8c3h QdJhJc6s3s 
QsQc9d8h2h 7d6h5c4h2c Jd8d5s4s2c Ah8s5h5d4h 
KdQh8h8d2d 8s8d7h4s3d Th9c8d6h3s AsQc9d5d4h 
7c6s5c4d2s 8c7d6s5s3h 6c5h5d4c3d QsQc9c6c2h 
QcTc7h7c5d AhQc9s8c3c KdJcTs4h2s JcTc6h4h2c 
Qs8d7s6d2h Tc8c5d4d2h Kc9h8s6d5s AsQs9h4c3s 
Ac9s6s5h3h JhJc9h8h2d As7s5h5c2d JhTc7c5d3c 
JcTd9c5h5c Qd9c6h5s3d QhJc3h2s2c Kh6d6c5h3s 
AdTsTc7c3c JsJc8d5h3s JcTs9d7s2h QcJs7d7c4h 
9d8c7s4s4c Kc8d5s5c3d AsJh5s3c2d Ts9c8s3c2d 
Qc9d9c7h5c KsJs7h5s3c KsTc4h3s2c Ac6c5d2d2c 
AsJh6d3s3c JsJcTd5d2d JhTh6c4s4d KsJh9d4h4d 
Ts9h8h6h4d KsTc8h5c4d Js9c7c5h4d KhTd9s9c2c 
Jc9s8d3s3c KdJc8d5s3h Qd6c5s5c4s Ac7c6s3h2s 
QsJd6c5h5c Td8h7h6s6c QcTd6h5d3s Th8s8c6d4d 
8h8c7c5h2c KhJc9h7d3h QsTc6c5c4c QhJs5s2s2h 
Jh9h7s5h4d KhTs8c5d3h Tc8d7c5h2d Td9d7h7c2c 
Jh9c8d5h4s QsJh6c4s3d Ac9c6s5c3h KcJh5s2s2c 
Td8h6s6d2s AdTs9c6s3h 9h7c5h4c3c QdQc9s7h3s 
Th9c8c3h2s Td8d6h4h3h 9c7s6d5s3s AsJs8d6s3c 
Th9s7h6h2s Kh9h6h5d2d KdQs9s5h3c 9s9d7d6c4d 
QhTc8h5s5d KsQhJc3c2d AhKh8s4d3h KcJc6d6c5c 
KsKhKd6h5d JdTs8c3c2s Jc7s7d6d3c Qd8s7s7c6h 
AsKc3s2h2d KdThTd3s3d QsJhJd3c2s Kh8d7h6h4c 
KhTh9h8s5h AsQh9s5d2s AsJdTc6d3d 9c8s6h6c5d 
Qs9s9d5h4c Qs9s6h3h3d QsTsTc8h2s AhJs8c6h3h 
As9s6h5s3d QsQh4c3d3c 7d6c5d4h2c AsQc5h5c4c 
KcThTc8d2c 9s9c6h2h2c KdJh7s5s2h KsTs9d8c3s 
Qd7d5s5d4s KcQc7h6c4c KcJd7c4s3h Ks6c5s5h4d 
Jc9s7s5h4d JhTs9h5h3h QcTd5d3d2c Jh7s5h4s4h 
As8c7h4s2d AdJd6h4s4d 9s8h7h7c2s Ad9d8c5s2d 
QsJs7s7h5d Qs9h8c6h2c KsQs8s5d4c KcJs8s7s5s 
Js8h5s4h2c 6h6c5d4h2c QhJdTs4c2c Qc9c8c6c5s 
Th8d7h5s2d Jd9c7s6s6h Jd9s5d4s2h Ts6c5c4h3h 
AcJc6s3s2s Tc9d9c6s3c Ad8d7s5d2h KcJsTs6d2h 
AdTh9c7c2s KsQs6d3c2d Kh8d7d6c5d AcJdTh3d2s 
JhTh6s4d4c Td8h6h5h2d Ts9h5h4s3s Qs8h6d5c4c 
Jd8h7h6s3s Th7c6c3s3h QcJh8s5h5d Qc8s5s5c2h 
Js9h8h4s3d AdTh5s4d3d Th7d6h6c5s AdTsTc9h2h 
7h6c5h4d2c AhKs8s7c2s Ad9s9h8h6h Jc8h7s5d4h 
AsKdTh5c2h Jc9d7s6s6h JsTc7d5d3h KhTh6h4s2s 
Td9s8s8c5h KdTd9d8s5d AcQc9c8c4s AsKc8c5h3c 
JcTs8h3h2s 9s8s8h5c4d AhJh6d4h4c 8h8d6h4d2d 
Ad9h4h4d2c AdKsQs7h2s Jd8s8d5h4d KdJd7c5d2c 
Kd9d7s5d4c AsJcTd5c2c KdTd9d6d6c Qc9c8h7c3h 
Kh9d5c4d2h QhJc6s5s5d Jd9d8h4h4c AdQc5s5c4c 
Kd5s4c3s3d QsJhJd6c3c Ad8h5d5c4d QcTh8s8h4h 
Qh9h9d7s2s AdTc9h3c2h Ks9s8c4c3h Th9h8c4c2s 
KcJs6c3s2h KhJc6s3c2h JcTd7c4s3h Kc7s5s4h3h 
Qh6d5s5d4s Ah8s5d5c2h Th9d5d4h3h Kc4h4c2h2d 
9d9c8c5h5c AdTh9c6h3s 9s8h7d3s3d Jc9d8c4h3d 
Th7h7c3s3c Ah7s6h6d3h QsTh6s3h2h KcTs4s3c2s 
KsJh7d4c3s KcJsTd5h2d QdJc6s5s5h JhTs9d5d5c 
QdJd4d4c3c KdJc5s2s2d AdQd9d5s2h AhJcTs7d2d 
AdTs6d4h2c Qs9h9d7d2s KsJc5c3s2s KcQh3c2h2c 
AdTc9c5s4c AcJh6c4s4c QhJs7c6s4d Th8s7d4h3s 
QdTh9h8c3h KsTh8d4h3d 9s8d7s6s6h As8d7h6d3h 
Td9h8s5d4c Js8s8c5h4s QdTd7d7c4s 8s6h6c5s2h 
AdKc7s3c2s Tc8c6s6h3h KhJs7h5c3h 8d8c4d4c3h 
Td8c6c4d3c 9c7c6c4s3s ThTc9s5d4s AsQh9h9d4c 
KcQc7c5c4d QhTc6d4c2d QcJc7s6c5c AcQd6c4s3c 
9d9c8h8c3c Jh8s8h7h6c JhTd7h6d2h AcKh8h4s4h 
Qh9c6h5s3d JsTh8d7c3h Js9h7h3s3d AcQhTh2s2h 
Ks6h6d5s3c KsTd5d2s2c Qc9d9c5h4s KsJcTh4h2d 
AsQs7s4c3h JcTs5s3s2c Ac8c7h3s3d JsTc5c2s2c 
JsJc9s4s4h AcJc8d4c3h KsQdJc3h3d AsQd8h7d3c 
QhTc9d4s3d JsJh9d7d4c AcQc8c4h3d As7d4h3d2s 
7d7c6h5s3c Jh9h7s7h5c AdTs9h6c3s KcJd8h8c5c 
Ts8s5d4d2c Tc9s9d8c5h KsTd6s2d2c Kc5h4c3s2h 
ThTd6s6h3c KdTd6c5d3s Ac3s3c2s2c Kc8s8c5s2s 
Kh8h8c5c2c QdTs9c7h3c Kh9d7h3s3d JhTh8h8d5h 
AsKs8s8h3c Ac9c8s5h2c KhQc8d7c2d QsTs9d9c2s 
9c8h7c6c4d Tc7d6s6c5h Qc9s9c7d2d Ah7h7d4s2c 
QdJsTc7c3c QdTd9d6h3d 9c7h6d5s3h Jh8c6h5c3h 
KhQdJs7c4c AcKcQc8c3d 8d8c6d4s4d AsQc9c8c3h 
KhJdTs2d2c Td7c6d4d3c AhKcQc7d2c 8c7s6d6c5h 
Ac9d7s4s4d KsQc9c5h3d AhJd9c8s3s JcTh5h4s3h 
8s6h6d5s2d 9d8h7c6d4s Ts9h9d5d4c QcJd3c2s2d 
JhTs4s3c2h QhJs8c5s5d QcTc9s9d5c KcQh7s5d3h 
Qc8d7c6d2h AhQsTh4h2h Td9s7h7d2s AhQd9s6d3c 
JsTc8h7d2s Qh8d7d7c6s KsTs4s4h3h Tc9c8s4h2h 
Kc9s9d6d5h KdTc7s6d2h QdTc8d5s2h QdJc9s8d4d 
Td8d5s4s2h KdJs6d3s2h KcTc9c7c4h QcJh7s7c4d 
AcKs8s7h2s 8h8d5d5c3s JhTh4c2d2c Js9d8h4s4h 
QhJd7s7h4c KdQs9h5s3c Kd8d7c5c2d KsJhTh8h2c 
JcTc8h4d2s QdJd7h7d5s QsJcTd7h2s KcQsQc6c2c 
Jc7s5s4c3c AdJc7c6s4c Jc8d5c4d2h AdKs7s3c2c 
AdQd7h5s2d JcTs9h4h3h JdTd7d5s2s Jd8s8h7c6c 
Ac7h7d5s4h Th9s9h6d3h AhKc7d3c2d Kd8d6h5s5c 
JsJc8h3s2c Ts9h8c7h4d JhTc7c4s2s QcJs8h3s2c 
JhTc7c5s3c AhQc5s4s4d Ts8c6s6c2h JhTd8h5h3s 
AcJc8h4c3s QcJc7d6c5c KdJd7s5d3h AsKh8d7h2h 
Kc9h8d6h5h AhKh8d4c3h QhQc9d7s3d Th8d6d5s4c 
AdTh6c4d2s QsTc8h8c5c KsJd8s8h5s QcJd8d4s2s 
KhQcJs3s2d KdJc8h7s4c QcJh7s6h4d KsJd6c3d2s 
AdQd8d4c3h Ts8c6h6d5s Jc9c5s4h2h 9d6d5s4s4d 
JhTc9d5s5d AhKc6c3s3d KdQs7d5c3d QdTh4c3h2d 
AdTs9c6h3s AcQh9s4s2h JdJcTd3d2s AdQh5h5c4h 
KhJd8h5c3s 9d6d5h4d3h AsKsQs8c2s Jh9c7h4h4c 
