Kc9s9d4c3d 
QhJd8h7s2s KcTh5d4h3d Ad8d4s4c3s AhTd8h6s2h 
Ac7c6d2s2d QhQd9d7c3d AcKdQd8d3s Ah9h5s3c2c 
Ah9c8s3h3d AcTd9d8d3h JcTc9d8c3h 7s6c5d3s3d 
AsJs8d5s2c KdJs5c4d3h Ks9h5s5h3h AsKs6h5s3s 
KhQc8s6d6c AdQh7h5s2s Ad8d7s5d3h Th9s8s5h2h 
9h9c7s7d3h AhTs9c6s2c 9d7s5s5h3d AhTd9s6s5c 
Jd8c6d4s4c Kc9d7h5c2h QsTd9c4s3h QdJh4h3c2d 
As9d7c6c3d AdTc5h5d4d KhQdTh9h3h Qh7c6h4c3s 
As4h4d3d2s Js9h8s6d6c Kh6h6d5h5c JsJh7s5s2h 
Qh9s6c4s3h KdQh7d6s3c AdJh8c6s6h TsTh8c7d5d 
AcJdTs7s2h QcTs7d6c2d AsQd8d6d6c KhKc9c6c2c 
QcTh8c7s4c QsQh9c6d3c Kc8c7h6s2s Ac9c5s3h2h 
QcJsJd8d4d JsTd7d7c5d Td8h7s7d6d Td7s6d5s5d 
QhQd8h6c2s Jc7s7c6h6c Ah8d4d4c2h Ah7h4d4c2d 
KsTh5d3s2h QcTd8h5s4s QdTsTh8d3c Qd9d8c7s7d 
Td7d6h4h4d AcTs8h5h4h Ac9s7d6s3d AcQd6h4c2s 
Jd9h9d6s2h 9c7s5s5h3c As8s6c4c3s KhJh9h7d2d 
AdKd7s5d2h AsKc6h6d3c QcJh4h3s2c JhTd9c7d3d 
Kc9h6d5c4s 6d5d5c4h3c Td8h7c5c3h Ts7c6h6c3h 
JsJd9d5d3h KdQc8c7h7c 9d7c5h5d3h Ts7h5d4d3s 
AdJc9d6h6d QsJs5h3h2c AcKd6c5c3c AcKd8h6h4s 
KhTd8h4d2h AcTs9h7d4d Ad9h8d8c3d QcJc8s4h3s 
AsKhQh8h3c QsJd8d4h3h QdThTd4c3s QsQh9c4d3s 
KhQhJd8c4h QhTc9c6c3s AcQd5s3h2c QdQc8s5s4s 
JsJd8h8d2c AhJc9s7d3c Ks9c5s4h3h AcKc7h6c2s 
Kc9d9c8s6c AhTd9h8h2h Kh9s9c3h3c Kc8s8d7s3c 
Qs8h7d5d3s JsJc8s6s4h Qs9s8s5h3h JsJhTh5h2c 
AdQh5c3s2d KcJh8c4c2h Kd8d6s5s3d QsJd7s4d3d 
Js9c5c4c3s Ts9s8c4h3c KsJc6c5d4c JcTs9d6h3s 
AsQd7c3s3h Kc9d7s5d3s Jd9h9c5h2c KsJd7h4h3d 
KsJcTh6d2s Qh9h6s5c2c AcJc9c5c4h AhJs8d6d2s 
Js7h7c6c4h Kc9h5d4h3c QcJs9c4d2d AdJd7h4c2s 
Td8d8c7s3s QsTs9h8s3d KcTs5d4h4c Js9h7h4s3c 
Jd7s5h4s4d QsJc8c7s3c AcKsQh6h2d 9h8h5s5c4c 
Qh7s6h5s3h AhQdJd6s6d 9h9c8d3d3c QdTs4h4d3h 
Js7h7c5c3s KdTs7s6s5s 9h8c5h5c4d Ac7c4h4d2h 
KhQsTd7s3c Ah8c6s6h3d 9h9d7s7c3d AhQh5d2h2d 
AhTc9d8d3d Ks8d5d4h2s Ad7s7d5h3d AcTc4h3h3c 
Kd9h8s7s6s 9h9c7s5c2h AcJsTc6c3c JdTc6d5s5h 
Ks9c6s4c3c 8d7h5s4d3h JhTd4h4d2s 9d7d6s6h3h 
KhTd5s3d2h Ad6d4c2s2c AsQsJc6s3s AsKdJs8s3s 
8h8d5s4h3s QdJs7c6s6h KdQs8h6s2h KcJc7s6h2h 
KsJdTs3s3c Tc9c7h5d4s KcTc6c5h2h KsTs9d8h4s 
AcJs7s5d2d Ah8s7d7c5d AsKc8c6h3d KsKh5c3c2d 
7h7c5d4s4c Ac9c8d7h3c QcTd7s3d3c Ts8h6h4d3s 
9c8c5h5d4h QsTh7d3s3h KdQd9d9c7d 9h7h6d6c3c 
AdQs9s7s7c 9d9c7s7h3d Qc8h7s5s3c 9c6c5h4d3h 
QcTs9h9d2c KdJh6h4d2d AcJd9d5h3s 8h7h5d4c3c 
KsJdTs8h2s KcQh8s6s5d AsQs9s6h3d KcTc7c6d3s 
QcJc8c6d3d Jh9s5s4h3h Tc8s7c6h4c KdThTd7d4d 
QsTh9s4c3d As8h7h3s2c KcJsTd5s2h ThTc8d7c4c 
KdQhJs6c3s JsTs7s5s4c KcJh8h6h5s As9s6h5s5d 
Ad7s4s4c2d Tc9s7c6d3h Th9s7s7d5c QcJh9c7s2s 
KcJcTh4d2c KsQs9h5s2h Tc9d9c7s5c Qs8s7h5c3h 
Th8h6d4c2c QhJs9c6s6d QcThTd8c3s AhTd8c6c4s 
QhTc7h6h2c Th8s7h6h4c As8h6s3h2c Ks8s7h5d2d 
Td7h6d5h3d QhTs7h5s2c QcTc9s8c3d Ac8c4s4h3h 
QcJhTs8h3h Th9c8d7s5s QcTs9c5h4c AdQs6c3h3d 
JcTh6d3d3c Tc9d6s4s3d KdQd9s4s3d KdQh8c6s5s 
AhJd9d7s3c AdQh8d5c2d Qh7s5s5h4s KhQd9d4h4d 
JsTc9h7c3c Jc9d8c6s2s ThTc9h8h5s KhJcTd6s2h 
Ac9c8d7s3c AsKc8d6h4h KdJc8c6c5h KdJc8d7h4d 
JdTc9s8h3s KcJsJh5s3s AcJc9c8s4c 7h7d4s4d3s 
Ac8s8c4h4c QcJd8c4h3h KhQc9s4s3c Ks9h6c5s4d 
AsTh9h9d4h Kh9s8s7h3h KhQs6s5d5c KcJd7d7c2s 
KdQc8h6s6c AcQd5h5c3c AdTc7h5c4c AdTc9c8c3h 
Qh9h8c7d2d JsJh8h6h4d KsQd8c6d2c Th8d7h6s4h 
Kd7d6d6c3c 6d5h5d4s3h AhJdTd5d2s Qs8d8c7h6s 
AsKcTh3h3d JsJd6s6c2c 8s8c7h5h5d AhTc9d7s4s 
JhTs7s7c4d QhTh9h8s2c Th9s9d7c5c AhJs9c8s2d 
Jd9d9c6s2c Ks9s5h4h3h AdQc7s3h3d QdJsTc8h3h 
Qd7h5d4c3h AcQs7s5d2d JdTh9c5s5h AhJsTs5s2c 
KdQdJd5c2h As9s5c4c2c AdTs8d2h2c Th9s8c6d6c 
QhQcTd7c2s KcQd8s7h4c QdTd8d5h2h AdKh9h9c3s 
Ks9d8s7d2s AcTd8h4c3c Ks8c6s6d2d AhQc4d3d3c 
AsJs7s7c2c Qh9c7d5d4c AcTs8c6d2c Tc9h9c7d5c 
AhQd9d7d5d AcTc6s2s2d Ts9s8d4d3c KsQcTs7d3s 
Kh8s8c7s3h 9s9d7c5d4h KsQsJs4s3d Ac9h9c7c3s 
Ac9c7d6d2c Ah9h5s3s2c Ts9d7d6h4c KdTc6s6d2s 
6s5s5c4h3c QsQd9d7c3d Kc8s6s5c3c AdQc7c5s2s 
8d7c5c4s3d QdQc9h4s3d KdQs8c7h4d KsTh7d4s3c 
QhJdTc4s4c Qd9c8c6h3h Ac6h4h2h2c 8d7h6c5d2h 
Ac8h8c3h2d Ts9c5d5c3s 9d7c5s5c3d AdQs9h9c5c 
QsTh7c6s3d JhJd8d6d4s 9c8h8c7h3d AcTs7d3s3d 
JsJc6d5d4h Qs7h6s4h3d QdQcTs4h2s AsKs7c5s2d 
KcQc8h7s2s Ad7d6d5s2s Tc9s5c4s4d Js9h5h4h3s 
QdJc8c6s6h AhKs8c6d4d AsTh8d8c4c Tc9s7s4h3h 
Qs7s6d5h4c KcQdJh3s2c Td9s9c6s4h Ad6h5s4d2c 
QsTc6d6c5h KsKd9h4c3h Th8c6s5h4d AsJc8c6h3h 
KcQhJd8s2c QdJc9d7h2h AcQsJs8s2h Ad8c7d5h3d 
Tc9s5s5d3c Jh9d5h4s3s AsKd7c5h3c KdJs6h6d4c 
Ks9h8s8h4s KcTs8s6s5h KhQh9h8h8d KhTh6d4d2d 
Ac9h5c2s2h Qc8c6s4s4h KcTc8c6c5s AsJd9d7d4h 
KsQdTs3h3c Kh8s7s6c5d Ks9h7d6h5c QhTc8s7c4d 
KcTc7c6d3h AcTsTh6h5h Td7d6c4d4c KcQd5h4d3s 
Ad9d5c3c2s Ah9h9d8s3h Ac8d7d3c2h Ah9h9c7h3s 
Qs9d8d6c5d AdTc8c5c4h KcQcJd9s2c KcJd9h5c2s 
Th9s8s4d3h 9s9h6h5s2s Qd9d6c4h3c 8s8h5c4s2c 
Qc9s8h6h3s KdJs8s4d2s JcTc9s8c4d Qd9s8s6s5h 
ThTc8h4d3d JsTh7c6c2s KcJs7s7c2h QhQc9d4s3c 
KhKc8d7d2s 9h8h5s5c4s JhJc8s4d4c Ad9c5d4h3s 
QsJs9h4h2h AsTh9d6h5h KsQs4s4c3c JcTs9h9d3h 
QhJdTh4h4c Ks6h5s4d3c Js8s7d6c5s Kd8s6s5d3d 
AcJh9s6d2c JhJd8d6d4c KhJh6d6c5h Ah9d5s5c4h 
JcTh8c5s3d Ac9s9c8h3c 9d9c6c5d2d AhTs7d3s3d 
Qd9s9d4h3s AcQhJd7h3h KhKdJd6d2d JhJd7s5s4c 
JhTs7s7c5s QcJhTd3s3h AsKs7c6s2h KdQs8h7c4d 
QsQd8d6c2h KdTs4s4d2c KcQhJs8d2c Qs9h6s6c5d 
Qd9d8s7c2c KcQc7s6s2s Kh9d7c6d5s AhQc8h7h3d 
9c7d5h4c3d JdJc8s8h3c AhQh8h6s6h Ac8s8c4s3c 
AsTs6c4s2c Tc7h6s4h3c AcKhJh4h2d QcTd9c4s3h 
AdJh7c5s4s Jh9c5c4c3h AsKd8h5c2d 8d6h5h4d3d 
Qh7h7c4s4c KcJsTd4s3s AsKdQd8c3d QsJhJc8c4c 
KhQdQc8h3s Jd9h7c6c5c QcJhTc4s4c KdJc7s4c3s 
Ac8h4h4d2c Ac8h7h5d3d KdQd8s7c2c 7s7c6h5c2s 
TdTc8h5d4d Kc7d5d3h3c KdTs5h4s3h KhTd8d7s2s 
QdJd8d8c7d KcJs7h4h3s QhQd8h5s2c 9c7c6s6h3h 
Js9c5h5c3s JdTc8d5s3h KhJc7s5c4c KsKc9s7s2s 
7h6h6c4s3s QdQcJh5h2h Jd7d5h4h3c TdTc8s8c2h 
Ks5c4s4c3d KdQdJd6s6c Td9c7c6s4h KcQdJs8h3c 
AdQh9c6s6h JsTh6d3s3d JdTh9c8s3c As9s8d8c4s 
AhTs7c5d4d 9s9h4s4d3h Ah8c7s7d5d KdJc7d7c2s 
KsQd8d5h3h Ah8c5c3h2s KcJs7c6d2d AcQh6s4d2c 
Ad6d4s2s2c Ts9d8d8c6d As9s8d7h3s 9d7s6h5c3d 
Ad6h5d3s3c QhTc9h4d3s Ad8c5c3d2h AhQhTh6h3c 
ThTd8c5h4h QcJc5d3d2h 9c8s7d6s2c Kh9s5c4s3h 
AcTs7d5h4h Qh9c7h7d3c JsTs7s6s5c QhThTd7c4h 
As8h5h3s2c Js9h9c7c2s KsQd8d4d3s KsTs8h7c3d 
AsKs9s7s4d Qh8h7c6s3s Qs7s7d6s4d QsQc9c8h4c 
AhQh7h7d5h Ah9h8c7s3h Td7c5c4h4d Js9s9d8d2s 
JdJcTc5c2h KhJc5c2s2h Kc9d5c4h3h AcQs8h6s4s 
QdJd8s7d6d KsQsJh8c4s 9c6s6c5h3h KhQc8d7h5h 
AsTc9c8d3c KcQc7d6h2h KhQd6s4h3c 9d9c7s7h3c 
Jc9h9c6d5c JsTh9h8h5h QcJc9h4h2h Jh7s7d5s3h 
Qc9h7h5s4s KdTd7d6s3c 9d8s8h6d3s Ah8d7s7c5s 
QcJh8d2h2c AcKdTd2s2d AsKs9s9d4h Kc8h7c5s4c 
KcJh9d5c2s KcQd5s4h2c AsTd7c5d4d Jd9h9d6c5d 
Qs7c6h5d4s KcQh8d6s6h QdTs9d7d4c 9s8s8h5s3h 
AcKc7h5c2d JcTh9c5s5d Ts9h7s6d3c Ac6s4d2d2c 
QcThTd6d3s Ac8s6c3s2h Tc8h6h5s2c Ad6h4c2d2c 
Qd8d7s5c3s QhJdJc8d4d AhTd7s7c2h JdTc5d3c2h 
8h8d7s5h5c 8s8c5h4c2h KdQdJs9c2d Tc6s6d5c4d 
AsQcJs7d2s Tc9d5c4h4d 7h7d4h4c3c AhTsTc6s5s 
QhTh6c3d3c Ad9c7s6s3c JdTs9h8c3h KdTh5s4d4c 
JhTd8c3d3c KdQs5h4c2d Ts9s8d4d3h QhJsTc5d2c 
QhTs7h4s3h Jd9s7s4d3h Kd9h5c4h3d Tc8c6h4h3d 
Td9h9c7s5s AhJh9h5d4h KcJsTs7h3s Ah9s5s4h3h 
KsQd7h6h6c 7h7c6d5s4d KdJsTsThTd KsQh8h4h3s 
Qd9s8d7h2s KsQs8d7d3d Jd9s6s5h2d KsTd6s4d2s 
Ac9c6h3h3c AsKd9d7c3d Td7c5h4h3d QcJs6c4d2d 
AcKcQc9c6c Qd9h5d4h3s AdKd9h9d5d KsJc8s7h4s 
Ah8d5d3h2c QsQh9s7s4d QsThTd6d3c AcJd7d5s2s 
AsTd8h8c4h AcQs5d2h2c AsKhTc8d2d AdJs6s2s2d 
KcQs8d6s2d Ks7d6d5s2d KcJh7d6c3s AsQd7d5c2c 
QdJc9d7s2s QsJs8s8h7s QhTh9h8d3c TdTc7s6s4h 
KdQsTh7s3c Qd9h7d6s6c AcJd8c7s2c QdJd8d6s4h 
AsTc9d8d3d QhQc8d5d4d QhJs7h4s3s Qh7d6h6d4h 
Ac9d5d4c3c AsQd7h5h4c AdQs9s7s5s JdTc7c5h2h 
Ad9s7h6s3h 7d6d5s5d4s KcThTd9h5h KcQcJc9c5d 
QhJc5d4s3h Jc7c6d5c3d Js9h9c5h2c QsQh8s6c2d 
9h9c5h4c3h Ac9d6c5h2s Kh5s4h4d3d QhTs4h4c3c 
Kc6d6c5s5c 9s9c8c5c3s JhTc6d4d2c KhQh8d6d3h 
KhTdTc8c5s 8s7d5h4s3d KcQhTc9c3c Ad8h7h5s4c 
QhTc4h4d3d TsTd6d5c2s 8s8h5s4h3h AsTs6d2d2c 
KdJh5s4c3d 9s9c8h7d5d 9s7d6d4h3h Ad7s6d2s2c 
AhTc9d9c3c QcJhJc9d2c 8d6c5s4d2s JsJd8s8c2h 
AdJh9c6c5s AcKh9s7c2c AdKs8h5c2s KdQdJd4d3s 
Ks6s5h3h3c 9d8d7s6h2h KdQc9c4d2c QcTc8h8c3h 
Jd9h9c8c6s AhJc8s6s2c Jh9c6h6c3s KcTsTh9h5h 
QdTh4d4c3c AsTh8d5h4h KdJs7c4s3c KhQh6h5h4c 
QcJh8d8c2d QsJdTh8h3h 9h8s8c6h3s QdJdTc5h2d 
Jd7h5h4s3d AhJs9d8d3c 9s8c7c5h2s KcTh8h6d2d 
AdQs7h5c3s Jd8s8d4s4d Ac9d9c7c3h TdTc8c5h4s 
AsTd8c6c4h KhJc7s4s3c Jh7d5c4h4d Jc8d6c5s3d 
As9s8s7h3d KsJsJc8h2d AsJh8h6c3c QhJcTs5d2s 
AcQd8d6h6d 9s6s6c5d3d As7d6s5c3s KhQcTc8s2d 
Qd9h9c6s5h QcJdTs8s3s KhTs8s6d2d KsJh7s6c2c 
Ac9h8c4s3d JhJc8c3s2h Th7s7h5d3d QdJd5s3s2h 
Ad7h6d5s2c Qh8h8d5c3d QhJs7h6d4c 8d7c6s5c2s 
Jc9s5c4h3h Ts7h5d4s4d KcTd5h5d2c 9d9c7s5d4h 
KsTh9d5s4s KsQhTs9s3s AdTc8d6s2d Ah9c7c3c2h 
JsJdTc8s2s AsTd5s5c4s Ac9s5d3c2d AsKdTh8c2c 
Qs9h8s7d3d Kd8h7d7c3c Qc9h7d6h5s Qd5h5d3s3h 
JsTd9c8h4c Qh8h7c5d3c AcTc8s4h3c AsQsJs9s6s 
Jd9d9c6h2c KsTh4s4h2d Kd9s9h4d3s AsQd7h5c3d 
QhTh9c8h3d Ks9h7d6d3h Kc9h5h4h4c 8d6h6c5h3c 
8d8c5s4d3s Qd9c7h6c5s AsTc8h8d4h 9c8s8d6c3d 
Qh9s8h6h3s Ts8s6h4c2c QcTs9d5s4h Tc9d8d5d2c 
Qh8c7s7h6d Ks8d8c7d3s QhTs7c3s3h Tc9d5s5d3c 
QsQh8h5c2d AsKs8d6h2s AcTsTd4s2d KhQs8c6s6d 
AhKh7d6h2c Qh8h8c5d3d 7s7d6d4d3s QsJcTd8d3d 
AdKd9d7c2h 7s6c5c4d2s QsJd9s4s2d JhJc9s3d3c 
KcJhTs4h3h KsQd6c5h3d TsTh7d5c4s Jd7c5s4d4c 
Kd8c7h7d6d Qs9c6h4c3s JdTs9h9c3h Kc7c6s5d2d 
KsKdTd3d2d QhJh8h6s4c Kc8s7s7c3s Qc9c8s7h7c 
JhTh7h6h5c Qc9h8c7c5s AcKs9s8s3d QcTh9h5s3d 
KdJsTh8h3c KsQs8d6c4s QhJsJc4h3h As9h7c6h3c 
Ah9s8d6s5c KdQsQc8h2d Tc8s7d5d3s JhJd9s3d3c 
AsJd8d6h3h AhKh8s6d2h 8c7c5h4d3d QcTc8c5h2h 
KcQd9c8c5h As9d6h3d2s KsKh9s4s2c Ts9d9c7h5h 
Ac8s8c4d3h JhTh9d8h4c JcTc7c5d4c Qs9d7d7c3s 
AhQd9s9c5c AhQd9c6s6d As7d5s3d2d JdJc8d6d5d 
As5h4s3s3h AsKc7s5h2s TsTd8s5c4h 9s7c6c4h3h 
Td7h5c4c3d Th9c6c5d2h Ah9c5s5d4h As9d8s7c3s 
KdKc8h7h2s JhTs4s4h2d Kd9h8d6d3h AsKs7d6s2h 
AhJdTh6h3h AdJh8s8h4c Th8h8d6s2s ThTd6d5s2h 
JhTs8h5d3c JdTc7h7c5c KcQh5d4h3s KcJs8s6s5h 
KsQs6d5h3s 7d6c5h3h3d Kh8h8d6c2d Kd7c5h3d3c 
KdQd9d8d8c Kh9s7c6d3h Ks7d5c3s3d AhQs7c5s3d 
JhJcTsTdTc AsJs7c4d2h 8d7c6d4h3h Js8d8c7s6h 
AdKh9h8h3c KhQhJc5s2h QhJd9h4c2c KdTc8c3h3d 
9s9d7d5h2s Ac8h8d6c4c Ad9d8d7s3c QdJhTh5h2s 
Jh7h5s4s3d Ad8d4s4h3h QcJc8h4d2h Kc7s6s6c3c 
Qc9c6d4h3d AcQh5d3s2c JsTh6s5d5c Ac9c5d4d2d 
KhQs7c6c5c Th9s8c7d5s KhTsTc7c4c 7d6d5d5c4c 
Jd9c6d5h2h Jd9s9d7h5d KdJh9s6d3c ThTd9d8d5s 
Tc8d6c5s3d Kd8c7d5h4d Qc9c8d7h7c AhKd7s4d3d 
Jh9h8d7d3d KdQs8s7s7c KhJh5s3c2s Ks7s6h5c2c 
QdJdTd5s3d AsKs9s7h2c JsJh6s4c2h AhQs7s5c2c 
Qd7c6s5h4d Th9c7h4d3d TsTd9h8s5s Kc6s6h5s4h 
9h9c7h4d3d Ts8d7d6h5d JdTh7s7h5h 9h9d7c5h4s 
KdJs7c6h6c JhJcTc9c2c AhJc7s6d6c Ad4s4d2s2d 
Ts7s7c5h3h QdJs8s4h3h AsKdJh6c3h 9c7d7c6c5s 
7d6d5s5c3s AcKd7h5h3s Ts9c7s4d3d Th9h5s4d3d 
Kd8c6s5s5c Qc9s9h8d6s KcJc9s5c4h KsQc6h4s3d 
QhJhTc5h2d Ks9h7s5c2c JsJd6d6c2c AhQs6d4c2h 
KcQcJd5c3c JdJc8s4h4d Ac7c4s4d2d Jh9c8c6c3h 
AsQc9c5d3h Ad7d6d5c2c AcTd9s8h2d Qc9s7c5c3s 
JdTc5c3d2s KcJsTsTdTc AcJc9c7c5c KdTh8h3s3d 
Ad8s8d4c3h Tc8c6d4d3s Th8s7h6s2d AcKc8d6h2c 
9c8s8c7s3h QdJdTs6c2h 9d7h6h6d3h JhTh7h6h5d 
Ah9h8s5h3d AhKs9c7h2h KsJdTd9d2d KcTd9s5c4c 
Qh9c7d7c3h QcJsTd2s2h QcJc5s3s2d KdTd6s4s2s 
KdQcJh8s2d QcJd4h4d3h Jd9h8d6s6c AsKs5s5d2h 
QhQd8c5c4c QsJcTs4s4h KhJh6h6d5c AhTc7d3d3c 
Ad9h8c3s3d AcQd6h3s3c QhJd9h3h3d Jd7h7c5d3c 
8h6d5s4h2d Kh8h7c5d2c QhTs9h4c3d Qs8c7h6d5h 
KsJh9s9d5s AcKc9d9c5c As8h7s5c3s 9c7d5h5c3h 
9h9c5c4d3d Tc8h7s7c6c AhQd5s4d4c QcTsTc4h3d 
AcJdTh5h2s JsJh8d4h4c TsTc8s8h2d Qh9d8d6s3s 
KdQh7s6s5s KdQhJs8c3d AcTc6s4h4c QdJdTc5d2h 
AdQdJd5h2d QsJd9s9c3h KsTc5d4s4h KcTc9s2s2c 
KsQh7d6d5d JdJc9c5c3s ThTd5h5d2c KhQsJc9c4d 
KdQh5s4c2d Ah9c5h2s2c Js9s9d6h2d KcTd5h4s4c 
KdQhQc3d2d JsTd9c8d4d As8h6h2s2h KcJh9d9c5c 
QdQc9s4c3h AhJs7c5d4d As8d6s6c3h Th8h6h5c3c 
AsKcJc4c2d Ah7h7d5c3h AdJd9d7d5d QhJhTc6d2s 
JhJc6c4h2d AcJd9d7s3h 9s8s8c6s6h KhJh7s4s2c 
Qc8s6d5s5d Td9s8s6c4h KdQcTc8h2s QsJh9s3s3h 
Js9c5s4d3d QcJh8s2h2c As9c8d7d2c QsJh9s4c2c 
Ts9s9d7c5s AcTs7h6h5h AdTc9d8d2d QhTh9c3h2c 
Qs9h8s6h2s As7s6d2h2d 9s7s7c6s3c AsQhJh6h6d 
Jd7s7c5s3d Tc9h9d7s5s KsTh9c7s3s KsTs7s6h3d 
KhJh7h4d3d 9h8d8c2h2d Js9d8s6h2h QhJdTc8s3s 
KsJhTd4h3h JdTs9c7s3s Ts7s7d5h3h Ks9h5s4c3c 
Kd7h6s6h4s AcTc6d4h4c KsQhTh8d2c KsJd7s6h2h 
Ts8h7d6c4c 9c6d5h4h3d JhTd9s9c4d QhQc9d6d3s 
JsJc7s5s2c AhKcQs6s2d KdJd8h7h3d JdTsTh9d2d 
Ah8s4s4c2h Th9h9c8h2c AdTh8h5h4s Ts9c8d8c6c 
AsQd8h4h2d AdTh9c6h2c QdJh9s9c6s KsJhJd5h3h 
Qc9c8s7d7c QdJh8c7h2c KhJdTc6s2h KdJc5c3d2c 
KsQd8s6s4c KcTsTd8d5h AhKd9s9d3c QdQc9d8s4d 
Jh9s8h6s3s JhJc8d8c2s QdTs9s5h3c Qd9s9d3s3h 
QdTs9d4h3c KhJs8d4d2h AsTh9h8h3d Ts9c8c4d3s 
AcJc7c4h2h QcJc5h4s3d 8s8h7h5s2c Ah9s7s3s2h 
Ad8h7d6c2s AdJd9h3h2d Ac7h6c5d3c KdQsTh8s3c 
Th9c8s7d5c QhTh7s7d5c JsJc6h5h4d AcJh8s5c2c 
AsKs7h6s2c AdJc7c5s2s AsQsJs8s2h AsQc7d3s3h 
KcTh6c4s3d KcQc9d7d2d Js9d7c6c5c Qc8d6h5h5d 
8d6s5s4d3s KcJc7s6d3h AsJc9d8c2h Js9s8h6h3h 
KdJd7c4c2s Tc9s8d6s4h AdJcTh5h2s 9h6c5d5c4h 
Kd7h5h4d2s 9d8s5s5h4h KhQd7h6c3s QcTsTd6s3h 
QcTd7s7d3s TdTc7h6h4s KsQhQc3s2s KdQc9c6c5c 
Td9d5s4c3c KhJs7c4c3s AcJs7h5h2s Ts9s8h4c3h 
Th8c6c5h2d Ac8s6c3s2d QdTsTh7h4h 9d8d6c5d2c 
JhJd6c5d2c As8s8c4h3d Js9c7s7h5d JcTs5s5h4d 
QcJd5s4h3c AhJdTc7c2s AdKh9s7c4s Th8d6c5h4s 
QsTh9c6d4d As7d6s5c2h Qs9h8h6c3c Qd9c6h6d5s 
AsKs9s7d2c AdKd9h9d4c AcQs9s7s7d 9s7c5h4s4h 
9d9c7h5d4s AhQdTc4d2s KcQh8s6d5d Ks8c7s7c3c 
TsTc6c5d2s QsJc8h2s2c AcQdTh7s3s ThTd9s8d5d 
9c8c7h6s2s QsTs7h4s3h KdQd8s6c4d KdTh7s7d4d 
Kd9h7c6s5h KdTh4h4d2s Qd9c7s7d3c QdJsJh9s4s 
Th9d7s6s3c Qd9d6s5h2h KhTc4h4c2d KsTc9c6h6d 
9h7h7c6h3c Qh8s6d5s5d Ts9h8c7d5h KdJhTs6c2d 
JcTc9s8c4h Ad8s7d5c3d KdTd6d5h2h Qh9d9c8s6d 
Js7s7c5s3c 7c6s5s4h2c AsKh7d4h3h KsJs9c5s4d 
QsJh9s7d2d AcTh7s5h4h Th8s7c6s6d Qc9s9c7c4s 
TdTc9c8c5h KdQd9h9c6d 9h7s5s5d3h Kc8s8d7d3c 
JsJd9d7d4h Td7h6s4h3d Kc9h8s7s6s KdQs8s6h2h 
9s8d5s5d4h AhTs8d5d4d TsTc9c8c5d QsJc9s9h3d 
Qc8c7d5h3d QcTs5s5h3h AsJd8h6h2d AsKc8d5h2c 
Ks9h6d5s4c Qh9s9h4s3c As8h7h5c4d Ah6c5s4h2d 
ThTc8d8c2s KcJc8c7s2s AhTsTc4h3h KcTh8h6s4h 
Jh8s7c6s5d KcTs7h4c3d QsTsTh7c4s JhJc6d5h2d 
Ad4c3h3d2h QsJd7c6h6d Ks8s7c6h2h QsTc9s5d4s 
KcQd5h4s2c Ah9s7d5c2h AcKs9s9h3d QsJd9s7c2c 
Ts7c5d4s4d AcTd8s8h4s KcJd5d2h2c AcTsTd6d5d 
9s8d8c2s2c AcKcTc7c2h AdJd7h4h2d Ks7c6d5d3c 
KsQhQc8s3d KcTd5s3d2c 7c6c5s5c4s As8s8h4s4d 
