Ts9c8c6h2c 
Jd8d7s7d3s KhJc9c4d3s Qh5h5c4d2c AcTc8h6c3c 
Kh6s5s4c2c Td8d6d6c2c 6d6c5s4s3h QsJc6c4h4d 
Ts9h8h7h2d Tc9s8h4d3c 9d6s5c4s2c AhTd8h5h2h 
AsJs9s6d3s 9c8s6s4c2s Qh9c6d2h2c AcQh5s3c2c 
Qd9d6s5d5c AdTs9h6h3h KcQh8c5c4c AcQd9s7h2d 
Kd8s8h4s2d AsTs8d6s3s KdTs7h7d2c QhJc9h6h3h 
QdJs9s8s4s AhTd9s6s3s Td7d6h6c4s Jc7h5c4h2s 
Kc8c7s6c4c 7s7h6d4d3c Jd8s6c4d2c KcQsTd3s2s 
KhQs6s4s3c KsJc6d4h3c JcTd8s8c2c QcJs5h4d2s 
Ts9h9d6h2c Kd8d5h5c4s JsTs8s4s4c 8s7s6s4d2d 
Tc6h5c4s2s QdTsThTd9h AsQcTd6d2d Kd8c7c5c4s 
Kh6h5d5c2s KdJc6c3d2d KdTs9d5d2c 9c8s8c6h3c 
Kh9s9h5d2c Td8d4h4c3c Kd7d6s6c3h 9s8h5h4c2c 
AhKh9d7h2h Jh6s6h4d3d KcJc9h4s2d Js7s7c5s4h 
Jh9c6s6h4d QdJh5c4s2h Jh8c6s6d5c 9c8s8d7h4h 
8s6d5d4d3c Ts7s6s6c5d Js9d8h5c3h AdJc6d3c2d 
Jc6d6c5h2d Qc6d6c4d2h Qh8s6h5h5d ThTd9h7h2s 
QsJs7c6s4s 9s8h5d4d2h KhQd9h7s3h 7h6s6c5d3c 
QcJs5d4h2s KhJs6d5c3d 9d6d5c4s3h KcJc4s2s2c 
Jc8h6s4s3h Ad9c6s5d2d KcJc9h7c2s AdQh9c7s2h 
Ks9d8d6c4h KdJcTh6c2c KsThTd5s2s Jh8s8d6c4d 
QsTc4h4c2h Kh8h7d6h4h AsJc7c4h4c QdJh9h5c2h 
ThTd9h3c2s JhJd9h6h4h 8s7c6s6c2s AhTd9c4s3c 
AhJs7s4s4d Js6s6d5c2d Kh9d7c6d2c Th9c7s4h3d 
8h6c5d3c2h Jc6c5h4c2h Kh9h8s7c4h Jh6s5c3h3c 
9s7c5d4s2d Jd8h7s4d2h 8h7d5c2d2c KhJcTs3s2s 
JcTh7h4h3s AdTc8s5c2h KhTh9s5d2h KhTc6s5d3s 
QdJsTs7s2c Jc9h7c6c3d Ts6h5h4s2h Kh7d5h4c3h 
Ad7h6s5h3c AdJs6h5d2d KdQd6d5c2s Qs7c6c5c2s 
KcJs7d6h2c KcJc4d2d2c Qd6s6h5d4c KsQd9s8s2c 
Kc7s7h6d3c Js7s6d5h3c Ts9d9c6h2s Js6d5s3h3d 
Ks7d5s5h3c AdJs9h4c3s Kd8c7c6h6c AhJh7h4s2d 
9c8d7d4s2s Js8c7s4h2c QcJh9d7s3d Th8c7d5s5c 
8h7s7c4s2c Kc9c8d7c4h Jh8s5d2s2h Jh8s6d4d3s 
Jd7d7c5d4h Jd9s8h5c3h Kc8s7h3h3c Qs9s7c6s3d 
JhJd7s7h2c KsQs9c6s3s TdTc8d3d2c Td9s6h6c4h 
Td8s7s4c2c KhQc7c6d3c Qd8s7h7c5c Qd8c6d5s2h 
8h7d6h6d2h KsTs9d5s2c Ks9s4d4c3d Jh6d5c3h3c 
Kh9h7c5h5d JdTs6s4s3c AhQd8s5c3c Jh8h6c4c2s 
Th7c6c4s2h Qs9d5c3s2c Ks9h7d4s2d Jc8h6d4h3d 
KhJs9d4h3h As8s8h6s2d Jd8s7d7c4h Qc9d8h6s4h 
Kd8d7s3s3c Ah8s8c6h3h 8d6h5c4s4h AdJd6s6c2h 
Ah9h6s5c2h TsTh8c7s2d KhQdJd8c3d Ac3d3c2s2h 
Jd9c6h5s3c Jd8d6h4h2c KsTc9h6h2d Js8s8c6h4s 
Td9d6c3h2c QcTsTh4d2h Td9h6s6c3s Ks7s5h5d3c 
AhKcQc8c2c Ks9h5c4h3c 8d7d6d5h5c Td9c7h7c4c 
9s8s5s4d3d Jd9c8s4s2c Qh8h6h4s3s Qd9c6s6c2s 
KhTsTd5h2h 8d7h6h4s4h JhTh5h4s3h QdJd4h3d2h 
AdQc8s5h3h Kh7s7h6s2h AcJd9h4s3d Ad9s6c5d2d 
Ks6c4c3s2d JdTs8h7h2h 9d9c8s6c2h AhQs5d3h2h 
Ad8s6c5c4c 9c6s6d2s2c KsJh9s4s3d KdTh7d4c2s 
KcQdTh4d2d Ad8d6c2s2h Ah9s9c8d4c JcTh5d4h2h 
Qs9c6h2s2c Ah9s9h8h4h QcJs5h3s3d QsJh7d7c4h 
Js9c8c5h5d AdTc7c6s3c Qh5s5c4s4d 7s6d6c5h3c 
QcTc8c7h2d KsJc7h7c2h Js7c6h4c3h Js9s8h5c3s 
Td9d6d6c5d QsTc6s3c2s ThTd5s4h3c Ks8h8d4h2s 
JdTh9s3d2d Td7c6s6h5h Ah8d3h3d2d QdJd9s9c4d 
Ts7h6d6c4c AsJc9h6s2s 9s8c7c4h2s KdJh5h3c2c 
Qh9d7h5h5c QdTs8c7d3d AcTh6s4s2h Ad8d5c4h3d 
Td9h9c8s4s KdQc6c3h2h Qs9h6d5h4h Ts9d6h2s2d 
Jc9c7s4s2d KhTc7d5s3s AcJh7h6d3s QhJd8s5d2d 
QsJd9d9c2d AdJc8c4s4c Th9s6d6c4d AsJc6s3c2s 
Qs9d9c5h5d Jh9h7h6s6h Ad8h7h6c2c Qd8s8c5s5h 
TsTc9h5d2c AdQs7c2h2d Js9s8h5s5c Kc7h7c6h2c 
KdTd8d6c2h Ks8s8h2h2c QsTs9s5h5c JdTs8c6c2h 
Ts9d7c3d2s Ts8c6h3h3c Ad9s7s6c4h Qh9s5c3s2h 
AdQd5s3h2d Qd7s6s5s2d AcKc3h3d2c AsJs6s6c3h 
TsTh8c6d2s Th9d6s6c3c KhQd8s5h2c JdJc8s6h2d 
9h8s8h3d2d 7s6h6c5s4s KsTd8s3s2d QdTdTc8d3d 
Qd9s7h7c5c Ah9s8c7s3d Jc6s6c4h3h QsQd9d7h2d 
9c6s5c4s2s KhQh7s7d2d Kc9d7h6s3d 8d8c7d4c2c 
KdJd8s4c3h Js9s8s5c3d KhTd9h4h2s Th7h6s6c4d 
JsJc6s3h3d 9c8c6d5s2c QsQh8c4d2s Jh9h8s3s2d 
Qh9h8d4d2d 6d5d5c3h3d Tc7d6s6h4h AsTh8d4c3h 
9h6s6c2h2c AsQs9s6s3h Qc7h5s4c3d Js8h7d4s2h 
Qd8c6d5s3h Qc9c8d5s5h 8d8c7c4d2d As9s9h8s3s 
Ks8d7h3s3h JhJc7h7d2s Th9d9c8s4h Td9c8h6s2h 
8s6d5c4h4d KhTc5s5c4d KhTc9s5c3c Qc9s7h7c2s 
JdTh6c4d3d 9c8c7s5d5c Kc6d6c3s2d KsJdTh3h2h 
Qs9c6s5h3s 9s8c7d4s3d AhTs8s3c2c AsQd5d3d3c 
KhQdJc6s2c AcJd6c3d2c KcJs8d6c2h Kc8c7s5h5c 
KhKd9c4c2c 9h8s8h6c2d JsJc7s7d2h Jh7h6h6c5s 
KsJs9s6s4c Js7d6h4d3h 9s6d5c3s2d QhTs6s4d3s 
AhJs7s4s4c KhJs5s3c2c KcJc7c4h2h Ts9d8s7h2s 
Jd9c8s5c3h KsTc7h4h3d KsJc7s3c2c AsJc7c4d4c 
AcQc9c6c3h Kh8d8c4h2d Ks8s7h5s5c Ad8s3s3d2s 
ThTc3h3c2c 7s7h5h3s2d Jd8c7d7c2d QdTc7c5s5h 
QcTh8s8d3c Td9c5s2d2c KdTs9c6c2h QsJs9h4s3c 
Qh9c7d6s4d AsTh8h3d2d AsKhJd3c2c Tc9h8s8h5h 
AsQcTh6d2d Qc9c7s7d5c Qs9h7c6d4c KhTc4c3h2h 
AdKhJs3c2c QsJsJh7d2c 9d8d8c6s3d AsQc9d7h2c 
Qd9h8d4s2s KsQd7c3c2s KdTs8h4c2d QhJc7c3h2d 
Td9s7d5d5c AdQhTc6s2s Qs8d6s5c2h Tc9d9c8s2c 
KhQc6c4c3d KcQhTs3h2h KcTsTh8h2h 9d8c7c4h2h 
Tc7s5d4d2c KcQc7h4s4d Kc9h9c4d2d 6h6d5s5c2s 
KdJh8s6d2c AhTh8h3d2c KcQh6c5c2s Ks9c6h4c3h 
QcTc4d4c2d QdJc8s3s2d Ah8h7d3h3c QhTh7h7d2d 
Jh5d5c4s4h Tc9s7h7d4c KdQcJh6s2h KcThTd4s3d 
AdTh7c3s3h JcTd5h4d2d Qd9h5s3d2s Tc7h6s6d5c 
Ts8s7s7h4c 9d7s5c4d2c KdTc8s8h3d Kd8d6h5s5d 
Th7s7d5d2h Qc9s7c5c3d AhQc9c7d2s QsJd7d3s2c 
8h6s5s4s4d AcQs7h2d2c Ah8s7s7c4s KdTd7d5h3d 
Jh7c6s4c3s Kc9c7d4h2h 8c5h5d4d3h QdTh8s4d2c 
Ad9d7d5c2h As7h6c5s2s KsKh8c4d2c QcThTd6s2s 
KhJc6h4s3h KdJs6h4c3s Td7c6s5d3h QsQh3s2s2d 
AsJd9c6h4c KdQc8s5d2h QcJh9h5s2h 9h8c5d4c2d 
KhJc9d6c3c QdQc9s6h2h Ks9d7c4s2c 9s9d7s7c2s 
Qd9h8d5s5c QsQd9c5c2c Qd9d7h7c2h Qh7d7c5s5d 
9d6d5h4c3s Ah7s5d4s4c 7c6s6h4c2s Kc8c5h4s4d 
QcTd8d4h3s QhTsTc4d2s Js8h7c4s2h Jd8c6h4d2h 
Td9s8s8h5s Jh7s6c5h2s Ks8h7d4h4d Jc8s8d6h4h 
KcQc6d5c2s QdJh9d4c2s JhJd9d6d4d KsTd7c5h5c 
8h6c5d4c2s KsKhKdQd2h KsQh9h8h5h Kh9h8h6d3c 
QsJs9d4s3h AsQc6d3h2s Js9c8h4c3h 8s6s4d3h3d 
6h6d5s4s3c 9c8h6d5h3h JhJc7h5h3h AsTc7d3h3c 
Th8d7s7c4c KcTd7h4c2s Ts9c7h7d4s JsTh8d4d2c 
JdTd4h2h2d Jh4s4h3s3h AcTc5c3s3d Kh9d7h6c2s 
Jc9c7h4h2d 8c5h5c4s3s 9h7s6d6c4d KhQh9s8c4h 
KhJc8d8c4s Jc9h9d7c4c Qc9c6s6d4h AsQh5c3s2s 
9c5d5c2h2d Ah8h5c2s2d KcQh6s5s3s 6d5h4h4c3d 
ThTd9d7d2c Js9d7h5c3h Td9s8d7d2c Kc7s7h6c4c 
6s6d5d3h3d QdJc9s7h3s Qc5s4c3s3d Qs9h8h5d4c 
9h8c7h4c2s Th9d8s8d2c AcQs5s3s3d Js6h5s5h2c 
QhQc9d6d2d QsJs5h3d3c 9h8h6c5s2h Qc9c7h7d2d 
6d5h4h3h3d JhJc6c3s3d 9d8h5c4h2c Kc8h6h2h2c 
Jd7c6c3s3d Kc9s6h4s3h Kh9s8c7d2h Ac9c6d4h4c 
KsQc6h3c2h Kh6s6c3h3d Kh9s9h5c2d Ts8c6c3s3c 
QsTc9s3s3h Jh9d6s5d4d QdTc9c4s4h Qc9s7h6d4s 
Ks9d7d4d2s AcTh7h6s3h 9d8h7h4c2d 9s8c5s4s2c 
Jc8h7d5s3c KhQh9d6h3h Kc9c7h6c4c AcKc3s3h2c 
Ac8d7h7d4d Th7d6d4s2h Jc7c6s3s3d QhJs6h5h2c 
QdJs7c4c2d Jh8d6s4d3s QhTs9d4d3d Tc8h7d5s5h 
JsTs8s4s4d AhJc9c6s3d Ah9s9h5h2d AhKc8s6s3d 
QcJh9c7d3c QdJc9s9c2c QcTh7c3d2h JhTc9c3s2c 
Tc4h4c3s3h 9c8c7s4s2d QhQd5s4c2s Td9s9c8h4d 
Jc9d7d6h2h QcJh7s7d4h QhTs7c2s2h 9h8d5s4d2s 
AcQd3s2s2d Td9d6s6d4h Js9c8h5s3s JhJdTc6s2s 
Tc9h7h5s5h Qc9d8d5h4s Qs9d5c3d3c Ts6c5s3d3c 
Qd9s5h3s2d 8d8c7d6s3h KcTc9c4s3c Qh9d7h6h3c 
KdJd4s2s2d QdTc7c2h2d AcTs9h3s3d KdTsTh8s3s 
JcTd6h4c3c Td6s6d5c2s QsJh7d4d2s Ks8s5s5d3d 
Kh9s7s4s2h Jd9h4h3s3d AhJc6s5h2h KcJh5c3s3d 
Td7h6s4s2d Ah9d8s6s4c 8d8c5h3s3c JhTh4c3c2h 
9d9c8c5h2s Jd6d5h5d3h Kh9s7c4h2c 8s7s7d5h3c 
QdTs6d3s2d 8c7c6d6c2d 9s8d5d4d3s Jh9s6h6c4d 
KdQs6h4s3s Kd9s8s4d2s 8c5s5c4d3d AsKh8c7c2c 
KhJh7h4c2c 9s9h7c4h2s QcJh9c4d3c Kh9d5s4h4c 
AhJc7s7c3d AhJs9s3d3c KcQc9c6c4s Qd7h7d6s2h 
Td9s9d8d3h Td6h6c5h2d TdTc7c5c3h Qd6h5d3c2h 
Kd9c6d4d2c QdTs8h5h3c AdJh8h5h2c JsTh8d8c2c 
Qd8d6d5s5c JcTs7h7d3s 9s9h8h7h4d Kd7h5d3h2s 
QhJs7s3h2c Kh7h5c3s2c Ah6d4c3h2s Qd8s6s5s4s 
KhTd9d8s3d 9h8c6s5s2d AcQh6c4c2s Qs9s8d4h2h 
Qh9h8c5h4s JhJc8s4c3d Tc8c4s4d3s Tc8d7s5h5d 
AdTs6d3h2c Kh9s8h8d4c QsTd6h4c2s KdQh6h4h3c 
Jd9h6s6d4c Ah7d6s5s5c Tc6d5h3h3c Ad7c4h4d2s 
TdTc9c3s2h AhJh7h4d2s Kc6s6c3d2d Ks8d7h4h4d 
Td8s5h4s2h Ad9h9d8d3d Tc9h5c4h2h 9h8c7c4d2h 
AdQh6d4d2c AdQd8s8h2d 8h6d5h4s2c JdTd6d4s4c 
AcJs7d4s3h Ts7h6s6d4s Jc9s9d6s4s Jd7d7c5d4s 
Js8h7s7h2s 8s7s7h4h2h Jc9c4d3h3d Kd9c7h5c4s 
Qh7c6h6c2s AsQh7s6c2s Jc8h7c4s2h As7c3h3c2s 
KsJh6d5c3d QcTh7s2h2c 8s5s5h4c3h Jd9h8s7h4h 
QhQcJc6c2c Ah9s7c5s3s Kd7h5d4s3d KdTh9d4d2c 
KcTs7h4h3d 6s6c5h3h3d KdTs4h4d3c JsJdTc6h2h 
Kc7h7d4d2c JsTd8h4d2d 8c6c5d4s4c QdTc7h5c3s 
Qh9s7h7d2s Td9s8d6c3d Ts9d5s4d2s 9c8d8c6h2s 
Qd9s9c7h3d As8h7h6c2c AdQs5s3s3c 8c7c6s6c2s 
AsKd8s3s3h AcQc7c6h2s Qh8d7d4h2s Kd9c7d6h2s 
KhTs7h4d2c Ac9d7h6s4d JhJd8s6c2h 8c5s5c4d3s 
9d6h5c3c2d Kc9s7c5d5c AhTd9d4s3d Ad7s6c5h5c 
QhTs5d3s2d Ad8d7c3s3d Kh8h7h7c4d QhTd6s6c3d 
Td9d6c3s2s Js7h5c4s2h QdTs6d5h2d JhTd7d4d3s 
QcJd7h5d3d TsTh8d7d3c KhQh9h4s2s KcTs8s7d2h 
Jh8h8d4h2d 6h5s4h4d2d AsTd8d3c2c Qh8d5s2h2d 
QcJh9h5h5d Jd9d4c3h3c 9h8h6d5c2h As7c6d5c3h 
Jc8d8c4c2d Jc9h8d7h4h Qh7s5s4h2c QsJh9d7c3d 
KcTd8s6d3h TsTd8c6h2s Ts7c6h4h2s KdQc6s4c3c 
Jh9d6s5c3d Ks8s7s7h4c Qd9d8h3s2h Td7d6d6c5h 
AsJs6s6d3c 7s7d6d3h3d Ks7s7d6d2s Qc9s7h6d4h 
KsQh6d4h3h 8h8c5h3h2c Ts9c8c6d2c AcQhTs6d2d 
AcJh8d7s2d 9s8d5d4c2c Qd5s5d4h2s AhJs8s5s2d 
Js8h7s4c2h 8s8d7d6h3c Ad8d3s3h2h Qd9h5s3d2h 
Ts7c6h5d3s Kd9s5c4s3c Jh9s7s4h2c AhTc8d5d2s 
JhTd9d3s2d Kd9h8c7s2d Jc6d5c3s3d Ac9h7s5s3d 
JhTc8s6s2d As4s4c3c2s Th8h6h6c2c 9c6c5d4s3h 
QcTs5d3s2d 9d8s8h5d4d KsJd8h6h4h KdKc6s3h2h 
Ks7s7d4h2d QhQd9s7h2h AhKsJc3d2d Jc9c4d3s3d 
JhJd7d5d3d AcJh5h4h4d JdTd6s6h3c JdJc6s4c3c 
Kc9s5h4d4c KhTh9s4d2h Jh7s5c4h2s JsTs4d2s2d 
8s8h7s5s3d 9h8h8d5s3c KdQh6c4h3h ThTd9d7d2s 
QhTs7h3c2s QcJd7s5d3d AsQh9s4s2d Kc9s9d8c3h 
8d7d5h5d4s Th9d9c6d2s Qd4h4c3h3c JsTs9s5s3s 
QsTd5c4d3d Th7c5d4d2h Jd8d8c6s4d 8d7s6s4s4c 
Ac9d7s5d3d 6h5c4c3h3c Qc7c6h5h2h JdTh6s4d3d 
Js9h7s6s3c KsQc6s5s2h Td8d6h6d2h KcTh6s5d3s 
QdJc7c4d2c KcJh7s5h3h JdTs3s3h2h KcJd8c5s3c 
Qd5d5c4s2c Qc8c6c4d3d 9s8d6s6h4c Jc9s8s4s2c 
Kh8s6h2s2d Tc9c7s4s2s AhTd8c5s3c KhJc9h4h3d 
8s7s5c4s4d KhQd6s4d3d Kc8s8d4c2d QdJc8d7s3h 
8s5s5d4c3d Kd6s6d3c2c Tc9h8d7s3d 8s6c4s4c2d 
QcTc7h4c2h AcJs5d2s2d QsQd8h7c3h Kc9h7d4c2d 
Qd9c6h5s3s QdQcJh7d2d Kd9s7h6c3s 8h8d6s5h2h 
QhQd9h7s2h As7s6c5s2d JsJc8h4c3d Th8s7s6c3d 
JdTh9d3s2d As9d7c6d2c Jh8c6s4c3s Ts9s6s4c2c 
ThTc6c3h2d Tc6s5s5c2d 9d5d5c2s2c JhTdTc7h2h 
Th7c6s6h4h KdKc9s4s2s KhTc9d7s2d 9s8h7s4h2d 
KhJd8c6s2h KcJh8d8c4c KdQd9s5d2c Kh7h5s3d2s 
QcTh7h2d2c QdJd8c4s4h JsTs4h2s2h AdJc8c4h4c 
Ks9s8s7d4c QdTs8c5h3c KcTc9s5h2c Jd8s8h6c4c 
Kh9h6d4d2d AcTs8s3h2h 9c8h7h4c3c Jd8d7h7d3h 
8d8c6h5d2d AhKsJd3c2c Qh5s5c4d4c KsJc6d5h3d 
Th9h8d7s3h JhTc6c4c3d 9d9c8d6d4d AhJd9c4s3d 
As8d5s2h2c Ad7s6c5s3h Qd9s9h6c4s KcJh9d7d3d 
AcKh8c5c2c QcTh6s4s3d KsJs6h4c3s AhTs8d5d2c 
KdJs7c5s3s Jh8d7h4s2d Th7s6d4d2h Ac8c7h3s3c 
8d6s5s4s3h Ac7c6h3d3c Ts9c8c6c2h QcTh8c6c3c 
Qd9s7h7d2s QsTh4s4c3d 7c6s6d5h3d Qc9s9c8c5c 
AhJc8d7s2d Td6s5s5d2h Qd8d5s4s2d AcQh9d7s2h 
QhJd7h6h4h Qd9s8s5c4h Qh8d8c5s5c KhQd6c5c3c 
AdQs6d4d2c Td9s8c7h2s 9c8s6d5s3s Th7c4h4d3d 
Ah6h5h4s2c AsJh8h5h2d Kh9h8c7s4h Kd7h5h3h2d 
QhTh8h6c3h Ac8d6s5s4s KhTd6c3s3h Ac8c3s3h2h 
KdTh9c7s2c Kd8d7h6d4d ThTc8h3h2c Ah8h5d4h3s 
Qd7c6c5s4c AhJs8c5c2d Ah9c7h4h3s AdQhTs6s2s 
JsJh8c4s3d Jc6h6d5c2h 8s8c5h5d2s Ts7h6h5s2s 
Tc9s8h6d2h 7d5d4d4c3c AcTs9s4d3s AsTh9h4d3h 
Tc9c7d4h3s Js9d8d4d2s AdQc8c6c3s KdKc7s3c2c 
QdTh8s7c3h Qd8h7h4d2c Kd5h4h3d2d KdJc6s4d3d 
Td9c6h2d2c JsTs7d5c2h QsQc5h4d2h AsTc8c5d3c 
JdTs7s4s3c Ad8d3s3c2c KdJs7s7c2c JsJh6d5h2c 
Jh9c6d5s5d AcTh8h6s2d TsTh9h3d2c KsTc9c8d3c 
Js4s4d3s3d 8c6h4h4c2d Ks9s7d4h2h Qh9c5d3c2h 
Th6s5c3h3c AdKsKhKc4h Ad9d6c4h4d 9s8h7s4h2c 
Kc7c5d3s2d QsQh8h4h3d Qc6h6c4h2h Kd8d7h7d4c 
Jh9h5h5d2d KhKd6s3s2s QsJc7c5c3h Kc9s5h4s3h 
Qs9h6h6d2d KcJs9d7d3d Kh9h8h6s3c 9h6h5d4d2h 
KcJc8d4h3s KcQh6h4h3s Js6d5c3s3c QdQc5s4h2s 
AhQs8s6s3c Td6c4h3d3c AdTs7c2s2c QhThTdTc9d 
QhQd9c4c3c JhTd8c4c2s Jc8c7s4c3s AcTs8c3h2c 
As9h9d7d4c JdTc8s4c2c Js9d6s3s3d Qs9s7d5c4s 
QsJc9s6s3s KhTc8d4s2h AhQc6h2s2d QhTd6d4s3d 
Jc9c8c5h3s JhJd8s4d3c 9d6s5h4s2h KcQhJh8s3h 
9s9c6c5h2d 9c8d8c6h3c JcTd8s6s2h AsQd6h5d2c 
AhQs6h4h2c Qh8s7s7h3h Ac9s8s4h3h 6c5s5c4s2s 
Js6h6d5s2d QdTs8s8h2c JsTh7d3s2d 9s8c7c4c3s 
