KsJs8d8c2d 
AdTh9c6s5s KsTd9s7s3h Jh9s7s6c5s QdTc9c8h2s 
AhKsQc6d3d KcJh9h2h2c KhTc8s6d6c 9s8s8d6h2h 
9h9c7h5c2s Qd9c7s7d4s QsTs8d6s5s Jh9h8c6d3d 
AcTd7h7d5d QhJd6h4d2d KcQs5d5c3h AdKcQs7h3h 
QsJs5s4d2d Ac8c7c6h2h AdQs7h6c2d QcTc8h5d4c 
Ts7s7h5h3c 8h8c6d4h3c AcQh7d5h2d 9d6d6c3d3c 
9s7h7d3h3d JhJc5d2h2d KsKdKcJs8d 8s8c5c4h3h 
KhJd9h5s2c JcTd8s3c2d 9d7d7c3s3c Qs9s7s6c5d 
QcJs8c7d4h QcTc8c6c4d AhKd9d6d5d 8s7d6d5c2c 
QcJsTh4c2c JhTc6c5h2c Td9h8c5d2h Tc9d7h6c4c 
JdTc9c7h3c KsTh9s8c3s AsKh6c5d5c QhQc9c4s4c 
Qs9c6s4d4c Ad8c7s5c4h KsKc8c4c3d AsQs7s6s6h 
KhTs8c6d5d 6d5d5c2h2c 8d8c7h5c4s As9h6s4d2d 
KdJd5h3h3d Kh9s7c4h3c QsQc5h2d2c QcTd9s8d5d 
Ts9s9c4d2c KhQc8d6s5d QhTc9h3h2c AcJdTh2s2d 
Tc8s6c5h4d AcQh8s4h3s QhTd6c5s3h KsTs8s6h6d 
9h9d8h8c4s Js9h5h4s3h Tc9c8s5c3s QsTh9d8h3c 
AhTs7c4h3h QsJd9s5s4h QsJd8h6h2d TdTc9s3h3d 
KcJh8s5c4c QdTd9h6s3d QsQh6h3h2s Ac8c7h5s3c 
QsJd6c4s2c JcTh9s9c5c Jh7c5d4h4d Ts7d5s4h3h 
6s6h5c4c3h Kh9h9c6s2s KsJd9s8c2h Jd9s5s4d3s 
AsQd9c7h4d AdTs9s7h4s ThTd9s5s4c QhJd8s6c4d 
Jh9h8c6d2d KsJs7c6d2c JsJdTh7h3c Qh9h6d4d3s 
KhTs7s6d4s KhQd8h7c4s KhTs9h5d3h AhTd7c6s5s 
KsTs8h5s4d Kc8s6c4s3h QhQd6c5s2d AcJd4c3c2d 
KcTh6c5s5d Kh9h9c8h3c AdKd7s7h2c JdTs9s8s4c 
KcQs9d4s3d AdJsJh8c2h JhJcTs4s3s Jd9h7c6c3h 
AsKsJh6s2c QdQc6h5s2c KsQh8c7c6c QcTc8c6c5d 
KcJsTc5h5c KcJd6d4s3s Th8s6h5c4d 9d8s7s5h2h 
JcTh8c3h2s Qd9d9c7c3d Td8c5s4s4c JsTc9h5h4h 
JsTc7c5c2s AsKsJc8s3s As7c6s5s3d JcTs5s5h2c 
Th9d8s5h2d KdJd8c6c2c Jc9d7d6s5d AdQc7s6h2d 
AcKsQd6h3h Th8d6d5c3c Th7d6h4c3c KcQsQh7c3c 
JsJd8c4s2c KdTd7s5h5c JdTc9c6c4h Ad7c6c5h3h 
Qs7h5h5c4s 9h8s8h5d2d ThTc8c5s2s As7c4h2s2c 
JdJcTs6c3c KhJc4h4c3h Qh8d7d5h3s JdTh9d6d6c 
Jd9c7c6s5c QcJcTh4s4c AsKh6d5d4d Qc8h7s6c3h 
AhQh8h6c4h KdTd8d5h4s KhTsTc4h3d KdTd8s4s4d 
JsJd5c4d2c QhJh9c3c2s QhQdJh4s2h KcTc8s4s4c 
AsKcQh9h2h Ts9h7s7d6s JsThTd6d3c QcJh8s7s2c 
Ts9s9h5d2d KcQdJh9s4h Ah7s4d2s2h AcQhJh4h3h 
Kc8h8c5d3d Ac9h7s6s5d ThTc9d6d5d JhTh8h5s4h 
Ks7c6s5h2h AcKc8h6c3s KdTs9c8h5c 6s6c5d4d3s 
KcJd7s6d4h QsJs6c5s5d Qh9s8c7h3c QdJsTs8h3s 
8s7c6c5s2h QsTs9s8s5d KdQc9h5s3d Qs9c7c6h5c 
JsTd7c5s3h Jc9s8d7s2d Ts9s8h5c2c KcQdJs4s3s 
QsJc5c2s2d As9s7c4c2c AdJd9c6d4s KsTd6c5h4d 
QhJh9c8d3s AhTs9d9c3d QdJdTs4d4c KdJc9s3s2d 
KcTsTc6c3h Ts9c8h5s2c AhKh9d6h3c QsJc7h5c4d 
QsTd9d6c3d TsTc4c3s3c Ah9h7c3d2c Jc9s7s7d4d 
JcTd4s4d3s 9s7s6s6h3h KhQh9s9h3s Jh9s8s6h3s 
AhQcJc7s3c QsJd9h7h2d Ac8c7c6s2s 8d7c6d4c3s 
Ah8s5s5h2h AsKs9h6s3c KdQhQd7d3c Ac5s4d4c3h 
Ks6s6h5d2d QsJd7c4c3s JdTc8c7c5c TdTc6d4c3d 
KhKc8s7s3d KdTh9c7c4s Ac9s9d8d2s AsJcTh2d2c 
6h5h5c2s2c Qd8s8d6h3s Qc9c7s7h4s JdTd8h3s2s 
AdTd8d6d6c QhQc7h6h4h AsKh8d4h4c ThTd7c5d4d 
Kc9s8s8h7d AsJhJc8d2c JhJc8s5d4s Kc9h5d4c3d 
QhTd8h2d2c Jd9s7h6c5h Ks7h6s6d5c KsJsTs8s6s 
KsQsQc7s3h KcQcJd8c5c KsJsTh5s2d AdJc9h6d2s 
Td7s6h4h4d Ah8s4d2s2h As9c6s6d5s Jc9h9c4d3d 
QcTd9d8h2s KhTh7c4s2c AcKdJh6h3s AhTd9s8c3s 
Ad8d5h3c2c 9h7h7d3s3d AhJc7c4s3s Ah9s6h6d3c 
QhTh8c6d3s 9d9c6h4h3d AhKs8d4s4c 9h7c5s4s3c 
QhJh6c5s5h KhJd9s6c5c AcQsJh3s2d AcQdTh6h3s 
Jc9s9h7s5d KcQd9c6h4c QhTh9d8h2c Jh9d6h6c4c 
KcJcTh4c2s As8d5s5d2s Th9d7s6h4h AdTc9c7h4c 
AhQsJd8c2d KdQsQd6d2c Kd7h5c3d3c QcTd9d6s6d 
AsKsTs6s4s QsJd7h6c4s KdQs7h7d2s KhQhJc8h4d 
QdTs8s8h5c KdQdJs8d4h QsTd9d8h2c Qh7h7c5s3c 
TsTc8d6d5d JhTs7h5h2s 8h8c6s3s3h KhQhJs8h5h 
As9c7h6h5d KcJcTs4c2h JsTs9s6s5c 9s8s6c4h4c 
JdTc9h5h4h Ts9d7h6s4s AhKc9d8c4c 8h7c5s4c3h 
Td9c6h4c3h AhKs7d5h2h Td8h8c5c3h Td7c5h5c4h 
QsJs8s8h5d AdJd9h6d4c QhQcTsTdTc Th9c7d6d5d 
KsKh8d7c2d KhTd9s6h2c Tc8s7c4s4d AdKs8s7s3c 
AsJcTh7c2d KsJc5h3h2s KcQdTs5h2d Td9h6h4h3d 
Js9d9c8s6h Td8h7d6d6c Ah9c6s6h5h JcTd9d8d4s 
Jc8s7c6h5c As7s7h3h2c JsJh5s3h2d Ad7c4h4d2c 
As9h9c8h5d KhJcTs8d2c KsQsQd6s2c AdQsQc7h2c 
Ts8h5h4s4c Qd7h6s4h4d AsKhQd6c3c AcQd9h9c2c 
AcQs5d3c2h AdKcJs4s2h Tc9d8c4d3s AdKd7s7c2h 
Js9c7d6d3c Kh7c5d3h3d QcTs7s6h4s Kc6s6c5h2h 
9c8d8c5h2h Ah6h4c3c2d AcKsJd4d2h KsJd9h8s2c 
AcKsTh7h2d Qh9h7d7c4d 9c7d6d4c3h JhTc8s5h5d 
JdTs7d5c2c JhTh9c7h5h 8s7s7h6d3h JsJh9c8h4d 
Tc8d7s7h6s KdQsJd9h2d AdTs9s8s5s Kh8h6s6c3s 
As9c7s6s4h KhQsQh7h3c AdKdJd6d3s AhTc9c7d4c 
QcJs8s6d4h 9s9d7s4c3d Td9s7d6h2h AsJh9c6s4s 
KcQhJc8d4c Ac7h7d3d2c KsJd9s5h2c Kh8h7h7c6d 
KsQhJs8c4s QdTsTd5d3h AhKs6h3d2c QcTs8h5h4d 
JsTh6d6c5s Ah8d5s5h2c As9d8d8c7d AhTsTh8h3h 
Kd9d7h6c2h AcTh9h9d5h KcQdTs7s4s QcJcTh8c3d 
KcQh8s8h3c AdTd8s6d2c AcTc9d9c4c JdTs9d8d3h 
Ac8c4s4d2s KsJs5h4d3c AsJhJd9c3c JhTs7h5d2d 
KdKc8d4d3s 7s7c4h4c3s Ks9c6s5h4d KsQdQc9c3c 
QdJdTs3d3c KsQd7c5s3h KhJdTs4c3s KsTh8s7c2d 
Td9c8h7d5d QhTc8c3h2d KsQsJs9h3d 8s7h6s4h3d 
8d7c6c5h2h QcTd9c6h2s AhTd8s6h3h Qd7s5h5d4s 
AdKc9h5c4c JhTh5c4s3d QcTc8d4c2d AhJc7d7c4s 
Kd9h7c6h2d QhJcTd5d2s Th9h6d4d3d Ah8s6s3h2c 
QhQdJc7s3h JhTs4s4c3c AsJc4s3s2c QsQc7d3c2s 
Th9h8c5h3c 9s7h6s5h2c JsTh6h6c5d Qh9h8c7s3c 
KhQsJd9s2c AsTd6h3s3c QsJcTd5d2h Qh9d8d8c7s 
AsKs8s6c3h QsQh7c3s2h Qd9d5s4h3s Ah7s6h5h3d 
Ah8d6d3h2c 7s7h5d5c4s AcKc9h4c2h QsJsJd5s3s 
KdTsTd8c2h AcKc6s6d2h Kh9d6h4s4d QcTh9h6s6h 
Qc7d6d4h3c AhKcJd5s2d KhQc4s3s3c Ts9d7s7h6s 
Qd9h9d7c3c KsJhTc4d3c KdTs7s6h4s Ac9s7c6c4d 
AdTc7s4d3d TsTd7c6s4s QdTh8s7h5h KsQhJc5h2d 
Th9h7h6d6c AhQhJh7c2d JsJh8s4d2d QsTc8s2d2c 
KcTs6s4h3h AhTd9c6c2d AdKdJc8d3d Jh9s8s7h3s 
9c8d7d5s2s AdQd9s9d3h Qh9s5h5d3s AdQs8d4h2c 
KdQc7h5c4c Qd8d5c4h4c Jd9d6c5c2s QsTc6h5d3s 
Jd9s8s7s7h AcKh9s6d5d AsQsJs7h2d QhJcTs4d2c 
AcTc5s4h4c KhJs5s5c3c Ad8s7h5d3d AdJc9d7d4d 
Qs8s8d5d3d As9h5s3h2d KsKh7h2h2c JdTsTd4h3d 
AsJdTc4h2d KdJd7c6d4h Th9h9c4d2c Jd8s6s5h2d 
QcTs7d4s4d KdQcJh5s2c Ah9d7h6h3c Qs7h6d4s4h 
JsTc9h9d2c Td7s6h5s5h TdTc9d6h3s QdQcJs4h2s 
JsJd8s4d2d KdTsTc6c4c Ts7h6d4s3d Kh9d7h4d4c 
Ah9s9h8h5h AsTc9d2d2c QsJs7h7d6c AhJdJc8s2d 
Kd9s5h4d3h Ts8d5h4h4d Jh9s8s6c2h Jd9c7s7c4s 
KcTd9d6s6d Ts9s8d7s5h Td8h8c6h3c Jh9s8c7c2s 
JhTd4d4c3c Kd6h5h5c2d QdTh7h6c4h Kh6s5s5c2h 
8c7h5h5c4c JdTh9h5c3h KdQcTh3d2s JcTs8s8d4h 
QhTh8d4h2d Ad9s9c8s6h Jd8d8c6h6d QdTd7c6h2h 
Tc9s6h3h3c Kd9d9c6s6d Qh6h6c5s3c 8s7d6d5h2h 
KhJd9s7s2d JsJhTh6h3d AsTc3s2h2c JsJd6d5s2s 
AhTc6s3h3d Th9s6c4s3c AdTs8h6h6c AhQh6h4d2d 
KhJcTd8c3s AdQh9s5h5c KcQsQd9s3s Kc8d6h4c3d 
KdQhJc8d4d Ts9d7s6s4c AhKd7d6d3s KhJs8c4h3c 
QdJs5d2s2c AsTd7d7c5d KsTc8d7h4c 9h9d8c7d2c 
QcTh7s4s4h QsJhTh8d3h Qs9c8h5c4h KsTd8c7h4d 
Kh9h9d5h3d AhTh5s4c2d JsTc7s6s5s AcJc7c4d3s 
KcJdTh7d3d 9c8d8c7s2d QsJd6h4s2h KhQcTd3h2s 
AsTd8s6s4s 9s9h8h8d4c Kc9c8d7d3c KcTs7s6s6h 
QhJh8s8h5c JcTc8d7h2s QsTd8c7d5d QsJs9h4c2c 
QsJh7c4c3s Ad7h7d3h2s KsQc7s7d2c QdJs5c4d3h 
9s8c7h5h2s Td7h5d4c3c As9h6h3s2c KhJs9h5c2d 
Kc8h5h5c4h KdJd5c4s3h Ac6h5d3s3c QsQdTs4s3s 
Qs8c6d4s4d Ts9s5c4c3d As7h4d2s2h KdQdJd9s3c 
QhTh9h6c3s QdJsJd9d2c QcTd6c3d3c AdQh8c7h4h 
QdJs6d6c2s AdKc7h5d2d JsTh9h6h4c QsTc8d8c5h 
Ks8s6d6c3c KcQhJc9d2c KsJc8s6c2s QhJd8d7c5d 
KcQs8d6h5d Tc8s8h6h3s Jd9d8c6s3s AsKd8s4s4h 
9h5h5c3d3c Ah9s9d8s6c QsJh6h4s2h Th9s9h5c2c 
QdTs8h5h4h AcTs9s6d5s QcTd5h5c4s Ac8s8d7h5s 
Jd9d8h6c3c AhKh8s6h3d Qc9s9c6d2d 9s8h7d5d2s 
KhQhJd9c3h Jc9s9d7c2s QsJc6s6d5s Js9d8h7h3d 
AsJd9s7s4s QsQc7c6d3c AcQdJh5d2d Qd9s6d4h3s 
Td9d6c4c3c As9d9c7h2s KcQh6c5s5c KdQd4h3s2h 
Qc8d7h6c3d AdKh6d3c2s JdTh9c5c4c KhQh8d7h5c 
QcJc9s6c5c AhQd9h9c2h TsTc9h4d4c QsJh9h6c4d 
Ad9c7h3h2d KsQsQd7s3h KsQs6d5s3h KhJh7s7h5d 
Tc8s6c5d2d Ac9h6s6d4c KhTh8s5h4c AdKdQd4s2d 
Kc8c5s4s4d QhQc7s3h2c Ah6d4h3c2d QdJdTs9d2d 
QcJc9d8h2s JdTd8c7h2s Qd8h6s4s4d KhQd8d8c3h 
ThTc6h4c3h KcQh8d7c2d Qd7h5s5d4h AdKd9h9d3c 
AsQs8s6d4s Th9h5c4c3s KsTc9s9d5s Kc9s5d3s3c 
Ts9s9c5h2h Kh8h6d6c3d Td9s9d4c2s Ts8s7c6c3c 
JsJd9c8d3h QsJs7d7c6h Ad9s7d3c2c Jc9d7h6h3d 
AcQc7c6s3h AcTc5d3s3h QdTs9h8s3c As9s8h2s2h 
JdTh9d8d3s KdQcTh9h2h KhJs8c5h4h KdJsJh9c3h 
AdTd8h6d2s QcJhTs5c2c Qd9d7d6h5s KcQsQd7c3c 
Ah9s8d6h4h AdQh9c5s5h KhJc7c5c4d KcJsTh8d2s 
Ac8c7h7d2s QhJh9d9c6h Qd9s7s6c3c Ts6s6h5h4c 
JsTd7h5s3c AcKhTs4s4d QcJs9c2s2h Td9h8d5s2s 
8h6d5d4s2h QdJs8s8d3s QcTdTc9c5c Jc6h5c4h3s 
Jh9d5h4d3d KhKc6c4c2c JhJc5d2d2c Kh6s6d4s4d 
KhQcTs8c2d QdJh4d3h2s AsKhJd5c2d Qh9h8s6h3s 
KhTd7d6d6c QsTd8c5c4h AhQhJd7h2c Qh9c8h8d6h 
JsJc8d4c2d 8s7s6d4s4d Ah9c7c4c2h 8s6s6c5c3c 
Kc9h7h4h4c KcJc9s3d2s KcQsTd5h2s QcJh9d6c4s 
JhTd9d6d4c AsTd8c5h4h AcKs9d8s3s QsQdTsThTc 
Jc9h9d6h5s QcJs4h3c2s Qc8h7h5c3d AhTd9d7c4d 
Kc9d8d8c3d QhTsTc3s3d QsJs7d7c5h AhJh7d6d2h 
Jc6s5c4s3h KdTh9c6c5c QsTc9h9c4d QsTd5s5d2c 
Ac9c6h4h2s Ad9h7d5c3d Td7h5d4s3s Ah9h9d6h2d 
AsKd6c5h5c AdTs7c5s5h KdJh5h5c3c AdJh7h5h4c 
AhQd7c5d2c JsTd6h5c4c KhKc7s3h2d KcJhTd7h3h 
AhKs7s5d2c JsJc9s4h4d ThTd9h5s5c AsTs8s7s5s 
KdQs8c6h5c 9s8c7c5h2h KcTh5h3s2c Ah9c7h5s3h 
Qc9h8s5h4s As8h7d5c4c JsJd4h2h2d Td8d7c6c3c 
QcTc9h6d3c QhTc6d5d2c JsTh4d3h3d ThTc8c5d2d 
QsTh9c6c4c AsKc8h4d4c 9s8d6d5d2s JdTc6h6c5s 
AdJdTc6s2d JcTd9c8h3c AdKdJh8d3d QsJs4h4d3d 
KcJd9c8h3s JcTh9h5d3h JsTd9s8s3c KcJd9c8h2s 
Qd9d8s7c3s AhJhJd3s2h Tc7s7d5s3c 8s8c6h4s3c 
TdTc7s5c4c AcTd9c3s3c Qd8s6s5d3s JhJc5h4c2c 
QcJd8c7s4h 9d7s7d4s4d Jd9s9c6h5d KcJd9s6s5s 
KhQsQc7h3h Qh7s5s5c4h JsJd9h8s4c KhJsTh2d2c 
JcTd7c6h4c AsTs8d6s2h Ac9h9d8d2h QhQcTd8d3d 
AcTd7h4c3c KcJh8c5s4c KsQdJs8c4s AdKs4s3h3c 
KhTs7d4s3d JsTh9s8d3s 9s9c7c4h3s QcJs9s7h5s 
As7s5s5d4h Jc8c6d6c4d QhJh8c7s3c Jh8s6c5h3c 
Kc8c7h7c6d AdJd7d4s3c Tc9c7s6d2s Ah9h6c4c2d 
AdKh9d6d3s QhJh9d3d2c QhJh7s4d3s JhThTd7h4h 
Kh9d7s6s2h KsTh7d4h3d KdJc8h6h5s KsQdTd5h3d 
Ah8h4d3s3d Ad8d4s4c2c AdQd8d7d4s AhKc6d5d4d 
9h9d5h5d2d Jd9d6h5h2c Ah9d5h3c2d Ts9s8c7s5h 
QcJdJc9c2h QhJh6c4d2d KdTc5c3h2d KhKdKcJc8d 
9h9c7c5h2s 9c8d7h5h2c JcTd6c4d2s AdQhJh8s2h 
KcTs8h6s6d Ks9c7d4s3d Td9d7c6h2h QcJd8c6h6c 
Kh9h9c6d2d Th7c5h4s3s QdJc9d2s2c KcQhTs8h2d 
AdJs7c6s5s KhJd8h6d2h KhQh6s4c3d 8c7d6h4h3c 
Qh9s9h2s2d KsKd7c3s2h Qh9s9c8c7c Jd8s7d5c4h 
QhJsTd4h2h JsTs4s4h3h AdTs9s9c2h AcTh9h9d3s 
Ts9d8c6h4s JsTs8h3d2d QdJc7s4s3d KdQhTc5s2h 
Ad9c8s8c7c QcJd9d7s5d Js8h6h5s2c AcTsTd8d2h 
Kd7c5d4d3c Qh9d7d6s5d Ks8d6c4d3s QsQd9s5s4s 
AhKsJs4d2s QhTh9d6c3h Td9d7d6s6h KdQh7s5h4h 
QhJd9d7h2h Th9s7d6s4c 8h7s6d4d3h KcJd9s3s2c 
AsQc9d6s3s KsQcJs9h2s 9s9c7c5s2h AsJhJd8c2d 
KsTd5d3c2s KsJs8d6d2d Js9h8c6d5c KcTh7h6s6h 
AcKdTh3c2c KhJdJc9s2d JhTd7h5s2s Td9h7s6h4c 
Qc8c6h6c4h QsJs9d6d2s QhJc8d7c5c KhQdJh8c4h 
AdTs8c5h4c JcTh7s6s4s AhJd7d5d4s AcJsJd6c3c 
As9s5h4s4h KsQsTs8c5s Tc9d7c6h2h AsTh9c7c4d 
Tc9h6s3s3c Kd9h7s6d3c QdTc8s6d3h 9h8h6h6d4d 
Kc9h7c4h4d 9d7h7d3h3c Jh7d5c4h4c Qh8h5s4s4d 
AcKd7d5s2h JhJc9h8s4d QdThTc5s5h AsQc7c5h5d 
KdQsTh9c2c KcJh8s7s3h KhQh6d5h3c KhQhTd4c2s 
Qc8d7d6c3h Th8s7h4s4d QdTc9c8s3h QcTd9d6h6d 
Th7s5s5d4d Ah7s6h6c4h Jd9d8c6d5s Ts9c8d7s5s 
QhJs8d7d2h 9d8h6h6d4d Qs9h7c6c3h KdTs8d7c2h 
QhQcTh4h3h Kd8s6d4s3h KhQd6d2h2c AcQc8s5c2d 
QsJs9d3d2c 9d7h7c3h3c KhQhJs8h4d AcTc8s5c3h 
KhJh8d8c2d Ts9d5d5c4c KsQh6d5s3s Qh7s7h5c3s 
KcQhQd9d3d Ad9h7s7h3s Ac9s7c3d2d Tc8d7c4h4d 
JsJhTd5d2c 8c6c5h5d3d Jh9h5c4s3s As8d6d3s2h 
9h8c7h6h5h Qd9c8s7s2d Tc6h6c5h4d AhTs7c5s5d 
QsTd8s3h3d As9d7s5h3s KcJd7d3d3c AcTd8h5s4h 
QdJc9h2h2d Qc9s7h6h3s Ad9h6d6c5d AcQhJh7d3h 
QhTh8c5d4h QhJc5s4c2s KdJh4h4d3d TdTc7d6d4h 
Tc6d6c5d4h QcTc9s6d3c QcTh6d5s3c KsTdTc5c2d 
AdQs9h6d3d JsTc9c6d3h QcTh9h7h5s QcTs9s7s5d 
QhQd9h4h4c KcQsQd9d3d AdJs9d6d5d KsQd8s7c4h 
Qd9h7d7c4c KhQsTc9c2c 9s7d6d4s3h Kh9d6h4d4c 
KdTc6c4s3s Ah9s7s4s2h QdTc5d5c2h QdJd8c7h3c 
KdTh5s4d3c 9s9c7c6c5c QcJc7d4s3d Ad9s7s4s2d 
AsKdTh3s2s Th8d5s4s4d Ac7s6h6c4c KsTh9s7s3d 
KhJc8s5h4h KsTs8d5d2s KcTd7s6s5s TsTh6c5d4h 
AcJs5d4d3s 9s9c6h4h3c KsTh7h6h6d TsTd9c3h3d 
Td9h8s7s5c AcTh9s9h5h Tc8h8d5h3d QsQdJd4h2d 
AhKsJs4c2s KhQh8c4d3c AhTd9h3s3h QdQcTc4c3c 
KcJh7h3h3c QcTc9d6s3c Ts8h7s4h4d Ad9h9c8c5s 
9c8c7d6d2h Ac9s9d8h5d KhQs7c5h3d Qd9d5h4s3h 
Qc9d7s7c4s Td9s7h6h5h KdTs8d6d5d AcKc9d9c3s 
KcJd5s3s2c KhJcTs7c3c 9s8d8c5d2c AdJh7h4c3c 
KdJh9c3c2d AcJc7d6d2c AsTsTh8s3s KhQhJs9h2d 
Tc9s7h4s4h JsTh7c6c4c AhJhTh5h2c KhTdTc6d4d 
