Jc8c6c5c3c 
Td9d6c2h2d KsQc8d7d3d Jh9c7s7d2s Jc6h6c3s2s 
Ah5c4h3h2h 9c7c6c4s2d Kc9s6d3s3h AhTs4d2s2c 
AcQh4d3d2s 6d5s5h3c2d Th8d7s2s2c Kh9d6h4h3h 
Qh8s8h4h3c JcTd6s3s2h Kd8h3s3d2h Tc9h5h3h2d 
Ad8d3h3c2s TsTc3h3c2c Kc8s6d3d2s AhKd9s3c2s 
9s7c5h4d2c KhTc4s4c2d Js8h6c3c2h 6d5s4h4d2d 
9c7h3h3d2d Qs8d8c4s2h Kd9s5s5c3s Kh9h4h3d2d 
7h5d5c4h2h Kd7h7c5c2c Qc6c3h2h2d Jd8d5d3d3c 
Ts6s6d4c2h Ac7h4s3s2h Jd9d8s3d2h Ah7d4s3s2d 
AcJd3h3d2s 9h7d4h2h2d Th7s7h5h2c 9s8c4s3c2d 
Ah8s6s4c2d Tc5h4h3c2h Ks9c5d3s2s Ad9s5s3s3c 
6s5h4d4c2h Qh8s6d4s2c Qc9h7h6h2s Td9c7d3d2s 
9d7s3s3c2c Qc7s5h2s2h QhTd7s7c2s JsJc4c3h2c 
Qc9d4s3d2s 9s8c5d4c2c Ts9h5s3s2c Jc7s5d5c2h 
Jd8c7h3c2h 9s5d3d2s2c Kd9h7c6s2s 7c6d3c2s2d 
Js9s5c3h2s Ks7d7c5c2c Jh5h5c4h3s Jc7d6c3d2h 
KsQs9s7s3s TsTd7c4h2h QhTc6c3c2c Jh7s5h4h2d 
Jc8c5h4c2c 7h4h4d3s2d Ac7d5s4h2h Jc7d6d3c2d 
9c5s5d4h3h Td7s6h5d2d Kh8s8c5c2d AcJs3s3h2d 
8c5s4h4d3c Td6h5h4h3h Ks5h5c4d3d Qc6s3h2h2c 
8h5c4s4d2s 9s9c5s4s2s Js9d4h4c3d Ah4d3h2s2h 
Th5h4c3h2c 8s5s4d4c2h KsQh9h7h2h Kh8h7c4h2s 
Kc8s3s3h2c Jh6s6d5d2c Th7c6d5s2s 9h8d4d3s2s 
Tc8s5d2h2c 9d9c8s4h2s Jh9s5h3h2c Th8d4h3h3c 
Jh8s8d4h3h Kc9d5s3c2c 9d7c4c3s2s QcTc5s3c2c 
Qd8s8c7d3d Kc7s3s3c2s QhTc7s3d2h KhTh4s4d2h 
Ts7d4h4c3c Kh6h4h4d2c Kc5h5d2s2d Jd6c5c4c2s 
9h7h5s4h2d Kc9s6c4c3c 8h6h4h3d3c Kd9d7d4s2c 
Jd8s6c4h2c AhKh8h3h2c Js8s8h6s2s Js8s8h4c2s 
TsTc3s3h2s 9c7d6s4h2c QhTs7d7c2c Jd8s7s3d2s 
QdJh7d4c2d Ts7c6s4h2d Kc5s5h2h2d Kc9c7c4d2s 
Qc7d7c5c2h 8h6c4d2s2c Tc9h7c2d2c JcTh3h3d2h 
9s9d6d4d2d Ts9h4c2s2d Qs6d5s5c2s Ad8s5s4c2s 
QsJd6s3c2s Jd9s6h2d2c Qd5d4h4c2s Qh5s4c3h2d 
QdTc6h2s2h KcQd8h4s3h QsQc8h3d2d Qc8s7h4c2d 
6d6c5h5d5c Js6s5c3s3h Tc7c6h5d2c 9c8s7d4d2h 
Qh8s8d7c3d 8c6c4d4c2s QcJc4d3c2c QcTc3s3c2h 
Kd9s7c6s2s Kc7c3d2s2d Td7c6s4h2h Ks8c4h3s3d 
Jc9d8s4s3s AhTh7h3s2h Td7h6s5c2h KsJs6s3d2h 
JcTd6h3h2s JdTh7h2h2c QsTh7d3s2c Jd8c6h3c2h 
AdKh6s3c2s Jh7c6s5h2h Jh9c5s4s2s Th6c3h3c2s 
KhTs7s7d2s QsTh6c3h2h Js8h7s3s2h Ad4h4c3h2c 
8s5s4s4d3c TsTc7c3h2d Kc5s5d4c2c Th6s6d5d2c 
8h6c4c3s3c Ac7s7d6s2h Ah8s6c4c3d Ac8c3s2h2d 
Th6h4d4c3s Qc9d6s6h2s AsQc9d3c2c Ks9c7h3d2s 
Td6d5c4h2d Qd9h5s2d2c Qd7d7c4d3h Qd9d5s4c2d 
JhTs4h3h2h 9d7d5s4c2d Kh9c8h4d3h Jh8c6c4d2s 
6s5s4h4d2s As9d6d5d2c Qh6s4c2s2c Js8s7s4d2c 
Ah8s6d4d2c Ks8d4h3s3c Jh6c5h5d2h KdJc7h4h2s 
Qc8d6h2s2c As5c4h4c2d 9c8h6s3c2d Jh9h6s6h2c 
JhTs6s3s2c Qc9s6c3h2d 8h5s4h4d3h 7h6h5s5d2h 
Ts6s6c4d2h Kh9s7h6h2h JhJd4h3s2h Jd8d7h3h2d 
Qh8c5d4c3c Qh9h5s4c2h Ah8h4c2h2d Td8h7h2s2c 
Ac7c6c4h2c Jd4d3s3c2s Qs8c6d2s2h QdJd6s3h2d 
TsTc6c3c2h Jd6s6c4h3s Kd7s6s3c2c 9d7c5h3h2s 
AdTsThTd4h Qh7h4d2s2d JhJc7s3h2d Th8c4h3s3h 
QdTc4s3h2c Jh6c4c3h2h Ts9d5s2h2c Jh9c8d3s2c 
Ad9d6d2s2c 9s8d6h3s2c Kc9h5h4s4h Th5d3h3d2s 
Jh8h7h7d2h Js7c6s3c2d Qc9c7d4h4c Kd9s9h6s2s 
Kd8c6s6h3s As9d8d4d3h Ac7s7h6d2s Ac4d3c2s2c 
7c4d4c3s2d AcTc5c2d2c ThTd6h3h2s Qc4h4d2s2c 
KcQd7d3s3d AsQd7h4c2h 9h5c3h3c2h 9h9c5c4c2c 
6h5h5d4h2h QsTs8s3c2s Th6h5c4s2h Ts7h7c4c2d 
Qd6c3s2d2c 9s6s6h4c2d KdJs8c4s2s 7c6d5h3c2c 
Td5h5d3d2h KcQs9s7s2s Qh7s7d6d3d Jd9c4s4h3h 
Jh8d6c3s3h QcJd8c2h2c AdTd6d6c2d QdTd5d5c2d 
JcTd6d3d2s Js8s8d4h2s 7c5d3d3c2c QsQdQcTs3c 
As7h7d6c2h QhJd8s3d2c 9h7s4s3d2d Ts3s3c2s2c 
Qd9h4s4c3d AdKh9c3s2c QsQhQcJcTc TsTh3h3c2h 
Kd7d3s3h2h AhQs7s3d2c Ks9s7s3h3c Tc7h6d6c2c 
Qs6d3s2h2d Td8c7c2s2h Jc7s7c5c2h TsTc8d3h2h 
AsTh7d3h2c QsTs5h3s2s Jh8c7s6s2s Qc6h3d2d2c 
Jh7h6s6h3h 9c7h6c3d2s 9s6d3s3d2d 9d6d5c3d2s 
Kd8c5s5c3h Ac9s7h6d2h 9d7c4h3d2c 9c7s3h2s2c 
KhJs8d8c3c 9c7c5h4c2s Kh5d3s3d2s KdJc7c3s3c 
Kh6s4h4c2h AdJc7s6s2s Qd8s8c7h3c AhJd7s6s2s 
Ad9c6s5h2s Td7s6d4c2h 9c8s5s4s3s KdTc5s5h2h 
KsKdKcTh6d Qc9h5s2d2c Jh6s5s5d3s Ah9h6d3h2s 
9s7c4h4c3c Ts8s5d5c2s KsJd6c4h2c Js7h7d3d2s 
Ts6h6c5c2d Jd8s8c4d3d Ah9s7d6c2c KdQh9c4h2h 
8d7d4c3s3h 9d8d5d3c2h Ad8s5s3h3c Ts7c6h5s2s 
KhQd8h3c2s JhJc7s4d2d Kd8d7c2s2h KdJd3s2d2c 
7d6s4d2h2c Th6c4s4d3h QsJd7s3s3c Ks5d4h4d2c 
Qh7c4s3h2s 6s5s4s4c3s Js8h7d4h2c 6s6h4c3d2h 
Qs8d6h6c2h KhQd7s7d2c Js9c8h3s2s Kc9s7c6c2c 
Ks9h9d6c2c 9c6s4h3h3d Kh8s7c5s2s Kh5s4s4c2d 
JsTs6s6d2s Qc8h5h5d2s Qh8d6s4d3d Qs6s4s4c3h 
KhJh3d2s2h 9d6h5h3s2h 9s7h6d2h2c JhTd3s2s2c 
Ks7c6c5c2h AcTd6s4d2d QsJh7h6c2h 8s5s4h2s2c 
KhTh5h2s2c TsTd6s4s2s Js6d6c5d2h 8d6h4h2s2c 
6s5d4s4h2s Kc9h6c4c2d AdKs9h3c2h JhTs7s3c2s 
AhQd7s2d2c 9d6c5h3d2d AdQc3c2s2h Ah5h3s3d2h 
Ah8d7s4c2d AsJh4d2h2c 8s6d5h3s2s Ts8d4h4c3s 
Ts9c6s3s2h As9h6d4h3c Ks6c4s2s2h Qh7d6h4s2c 
Qs6s5c3d2h Tc6s5h5d2c KcQs9h4h4d AsTh6h4d2h 
Ac6d4h3s3d 9h8c5c4c3c Ad9h5c4h3h Kd8c7h6s2s 
KhJc5d3s2s Jc9s4h4d3d Qc9d7d5d2h 9s8s3s3c2c 
Ac9h6d5s2d Kd7s6d5d2d Qc9d3d2d2c Kc8d3c2s2d 
9c7h3d3c2d Td8h5c2s2d AsQc3d3c2c 8s8c6s3d2s 
Qs9d7c3d2c Ks8s6h2d2c Ac8s6h4h2h Ks8s7s4s4h 
KsTh5c3d2h Jc4h4c3h2d QdTc6c3c2c Jh8c7s3s2c 
Ah7h6h4c2h Qd6c5c4c2s QsTs5c3s2s Jd7h6c5c2s 
Th9c6s3c2c AdQc7s4h2h JcTd3h2s2h Qs5h4d3s2c 
Qc9s7d6h2h Jd8c6h3h2c KhJh3s3c2h Ks9h5d4c3c 
Tc5h3h3c2s Ac8c3h2s2d Js9h6s4d2c 8h6c5s3h2h 
Qc9c6h4c2d Jc8h7d6h2h 9h6h6d4s2c Kc7c3s2s2h 
Td7d5d3s3h Ac9d7h6s2h Qd8s8h3s2h Jc7d5s3s3h 
Jc8s4h3d3c Kc6d5d3s3d Th9d7d3c2d Ks6c4d4c3h 
QsQhQdJs4d Ts5d4c2d2c Ad8s8h4s2c Tc6s6d4c2h 
Qc7d4c3h2d JhTs7h2h2c Td7h6c4h2s 8s8d7d4d2d 
As9c3s2h2d Qh7h7c5d2h Kh9h4c2h2c 9s7d3s3d2d 
Qd6d5h2s2c Td8d5d3s3h Kd9h5c4d2d AcQs7h4d2d 
Td9s7s2s2h QdTc8d3d2d Ks5d5c4c3c Kc8h5s5h3d 
Ah9c6d5s2s Qh7c6d5s2d As9c8d4d3h KcTh3s3c2c 
Jc9s5c2h2c As8h6c4c2c Js6h6c4s3s 9c6c4h4c3s 
Kd9s8s7s3s AdQc8c2h2c Ad9h7s6c2s Jh8s6c4s3s 
Kh5d4d4c3s KhJd8s8c3c ThTc7h3d2s Qs7h4d2s2d 
QcTs7h3c2d Jc6h6d4s3d Qc9s7h4d3s QdJd8d3c2h 
Kd6d5d3h3d 8d5d4d4c3s Kh5s5c4d3d Ah8s5s4s3c 
QsJs4s3d2s Kh7h6s4c2h QhQd8c3s2s Qc8c6h2s2d 
9h9d6d3d2s QsQd7h4h2h 9s6h5h5c2h Jh8s7s4c3s 
Ac9s9h5s2s JhJd6s3c2d Jc6s6c4c3d 9h7s6c4s2d 
Jc4d4c3h2h Th9s4s4c2d As6c4d3h3c 8d7d5d4d2d 
Kc9c4h3c2h QhQdQcTh3c Kd5d5c3d2h Ac5d3h2h2d 
Js7h4h4c2c Js9c5d3c2c QdJh8d2s2d 8h6c5c3c2s 
9d5s3s3c2c 9d6c5s3c2c Qs9c4h4c2h 9d7c4h3s3h 
KcTd5h3d2s Qc9d7h4h3s Qh9s4c3s2c KsKhKd8h7c 
Jh9d7h4s2c Qd8h6h4s3h Kd7h7c6d2d Qh9s7d4s4c 
AcQs7d4d2h Jh8c6h4s2h Js6s5c3s3d Ts8d6d2d2c 
Ks9h7c3c2h As8c7d4h2c Qs8d7h7d2c Qd8d5c3s3d 
Jd9s7d4c2h KhTc8c4c2c Ah9d9c5c2c KdTd5d2s2h 
KsKhKd9c6s Kh8h4s3h2s Qh6s6d5c2s QsQhQdJs2h 
7h6d3h3d2h As6d5d4d2h Qd5s4h3d2c 8d6h4s4d2d 
9c7c4s3h3d Js8d7h3s3c Kc9h9d3s3h Qd9h8s4h3c 
AcTh7h4h2h Ah7s5s5c2d Js8c7c4h3c Tc7s7h4s2d 
AdTc6h4s2h Qd9s5s5c2h 8h6h4h4c2s QsQdQc8h8c 
Jc8h6s3s2h Tc9h6c4c2c Qd7s7d4d3h Ts9c4h4d2c 
Ts7c5s4d2h KcQd9s4s2h KhTc7d7c2c 8c7s4s4h3s 
8c6c4h4c2d Ts7h6s6c2d Tc9c5d3h2c AsTs5s2s2h 
Qd9d6d3c2h QdTd5d3d2s JhJc7d4s2s Js8c3s3c2h 
Qh7c4s4h3d AdTc6s6h2s 8h6h4d4c3h Qd7d4c3h2c 
JsJh7h4h2h Qd9c7s4h3h Td5s5h4s3c 9s7h5h5d2h 
QsTs7s4d2s 9d7s5h3c2d Th9h7h5s2h Ks8h5h5c3d 
Ks8h4h3s2s Ad8h6h3c2c 9h5s3d2s2h 8s6c4d4c2c 
Kh8c5s4d3c Th9d6s3c2c Ts6s5s5c3s Qs9s8c4s3d 
Ks7h3d2s2d Qh7h4s3c2s Qh9c8c4s2d 9c5s5c4d3h 
Tc9s7c2d2c Ks9h9d7d2d QcTh7h7d2h 8h5s4d3s3c 
Qc8s8d3s2d Kh8c6c3d2d Kc8s7c4h2c Js5h5d4s3c 
Tc9d5h4h2h 7h6c5s3c2c Jd9s4h4c3h Ah7s7d3d2s 
Qh7s4d2h2d Jh7d4d4c2c Ts9s8d3s2s Jh6h6d3d2d 
Jd7c6s3d2c KsJc3s3h2s Kd5h5d3d2s Ts8h6h2h2c 
Ah9d5d3d3c QcJs7h6s2s 8h5s4h4c3h QhJs6d2s2c 
9c7c6s2h2d QhTc3s2d2c Tc6c5h4d2c Th9c6h2s2d 
Jc9d5h4h2h Js8h5s3c2d Qs8h7h5h3h Jc9c5h3d2c 
Qc9d7h6s2s Js9s8s4c3s 7c4h4d3d2c 8d5s5d4d3h 
9c7c6s4d2c Jh7s6s5d2c Th3h3d2h2d KdQd6h2d2c 
QhJc7h4s2h 9h7d5s5c2s JdTd7c3s2d Qd9h7h5h2c 
Qh9d4d4c2c 9d7h5c4s2h Tc6c4s4c3h Js9d5d5c2d 
Ah8d7s4s2c AcQh7d4d2s 5c4s4d2h2c Kh8h6s3d2c 
Kd9h7h6s2h 7s7d6h3s2c QhJh4h4d2h 8h6h4h4d2s 
Td9c7d2s2d Tc7h7d5s2c Jd8h7h4c3h 9c8c4s3s2s 
Qh8d5s5h2h Ks8c7c6c3c Js6h5d4d2c QdJd7d6d3d 
KhQd9c4c2s 9c7h6s4d2c Kc8d7h6s2s Qc6c5s5d2c 
KcJs8h8d3h QsJs7s7c2h Kh9h7h4c2d Qh7c5h4d2h 
QhJc6s2d2c Qd6s4h2s2h Qs9h5d4h2c 9s7h4c3d3c 
Kh8h6c3s2d Js8d7h6h2h Qs7d4h3d2s Qs8s8c4s3d 
AcQd9d3h2d JsJd7c4h2c KhJs5c3d2d AdJc7s4s2h 
AsQc8c2h2c AhJc7s6s2d Ah9c8s2s2d Tc6d6c5c2s 
QdTh6d2d2c 9d8c4s3c2d Kh8s7s5d2s Ks5c4d3h3d 
AcQd9s4s2h Qh8d8c7c2s QsQhQdJh2d QhJh6h4h2d 
AcQc3c2d2c Th7h5h4d2s JhTd4h3h2h Ks9c8h8c3c 
Kh7s7c6h2h Jh9c7d7c2c Jd6d6c4d3h Jd5h5c4s3d 
QcTd5d2h2d KsKhKd9c6h 9h6c3h2h2c Tc9s7d4h2h 
AcTs7s3h2d AsJc5c2d2c Qd9c7s5s2h Jc5s5d2h2c 
Qc6h5d3s3d 5h4d3h3d2d KcTs6d3s2h Ks9d8s4h3s 
Qc9s7d3d2s JdJc7s6s2s AhJs5s3s2d Jh8s3s3h2d 
KhQd3s3d2d Ks8d7s4s2c Jh7c6h3s3d 8c6h4s4d2c 
Ts8c5h2d2c As8d6h4h2c Ks8c5h4c3d Td5s3s3d2h 
Jd8h3h3d2s Jh7s7c3h2s Jd9s5d3d2h Ks6s4s4h2d 
Kd8s6s3c2c Qd7h7c5d2s AdTd7d5d2d Ks9c7h6d2d 
9s6c3s2s2c Ah8h4s4d2h 8d8c7s4s2s Qs5s4d3s3h 
8c5d3d2h2c Ks8s7c2h2d Ts7c4h4d3h AhTs6d6c2c 
9h7c3h3c2h 8s7s5s2s2c Qh7h4c3s2c Kd7d6s4c2d 
Ts7s7h5s2d AsJd5s3s2s 7s7c4c2d2c Kd9c7h3h2c 
Kd8c7s6h2h 9h7c5h4s2h Qd4d3h2s2h 9h6s6h3c2d 
Jd7c6s5c2h Qh7h7d3d2c 7h5h4s4c2d Jc5s5c4c3h 
TdTc5d4d2d 7h6s4c2h2d Ah9c8s4c3d Tc7d4c3d2d 
Qc5s5h4d3h Kh9d7d5d2c KcJh3c2s2c Qc8h5h4d2h 
As7d7c6c2h Qs8c6d6c3c Tc9s5d3h2s KcTs5s4s2s 
9d7c5s3s2h Kh8d7c6c2c Kd9h5h3h3c QdJd6d4d2s 
AsQh7d2h2c Ts9s7s4s2c KhTd5s5c2c Ac6h5h4h2d 
Ac8s7d4h2s Jc9s5d4d2d KhJc4c2s2d Qh9s6d6c2c 
Kd8d7s3s2d Ts7h5h4c2d Jh9s5c4c2c AsJc4h2d2c 
QsJc7d6c2c 9s8s5c3h2s AhTc6s6d2d As9h6h5d2h 
KcQh8s7s3s QsJd9s3s2s Qd9s7s5s2h Qh8s5c4c2d 
6h6c5s5h5c AcQh9h3s2h 9s7c6d4h2s Ad9s9c5s2s 
Th9s7d3c2s Jd9s9c4d2d 9c6d5d2s2h Ks9c8s4h2s 
8h5h4h4d3s Jd6s5s4c2s JcTd6c3c2s 8h5d3c2d2c 
Js9s6s6h2c Ts7c6h5h2h AdTh5c2s2h Qd8c7s4s4h 
As8c6d4d2h Qd6c5c3s3h Jh7c5s3s3d Qs6s5h2d2c 
Kc8c7s5c2c AhKh7h3c2h 8c5h3s3c2h Ah9s6d3s3c 
Kc7c3s3h2h 9s9c7c4c2d Jd8c7c4s3c 8d5c4h4d3d 
QhJsJhJdTc 9s7c6d4c2h 9d6c4h3s3c Th6h6c4s2d 
Ts6d5c4s2s Ks7h4s3s3d Qd8d5s5c2d 9d7c6s2h2c 
QcJc7c4s2h Ah8h3s2d2c 9c6h5s3s2s Ad9s9h6s2s 
Ks8s5s4c2s Qc7s7c5c2d Js7c5c3d3c KdJc7h4h2h 
AcJh6d3s3d Th9h6h3s2c KcJd3h3c2c 9s8h8d3s2c 
JhJc7c4c2c Ah8c7d4d2s QhJc7d6c2c As8h5c4c3c 
Ks9s7s4h2c AsTd4h2d2c KcQc6d2h2c AcTs5s5h2s 
8s5d4h4c3d Kh9s9c5d2c Qc8h7h6s2h As8h6d4d2d 
7c6d3s2s2c Ad8h5c4c3c Qh5d4s3h2c Jh9d7s7d2d 
As9h8d4d3d Jh9h8h7h2h Jc7h7c6c3c Jc9s5c3c2h 
Kh8h7s2d2c Kd9d7d6h2d Kh9h4d3d2h Td9d7d4d2h 
Ac8h5d4d3d Qc6s6c5h2c Ac8c3s3d2h KdJh7s6c2c 
Qd7s5d5c2h 8d6s6d4d3d Th8h4h4d3s Ks9h5c4d3d 
KcQh8s4d3s Kc9d8c4h2c Ks9c7h6h2h Kc9c7c6c2s 
Jd9c5d3h2d AdQh3s3h2h Jh9h9c3s2h Jh9d8s3c2d 
Kc8d3h3c2d Kh7s4h3s2h 8s6h4s4c2s Jd9s5d3c2d 
Th8h5h4s2h Ts8d3c2d2c 9h8h6d4h2h Ah8h4d4c2h 
Tc9d5c3c2h Ac6s5h4h2h 9d6h5h3c2h Qc7c6h6d2s 
Js7c4d3d2s KdQd8c3s2h 9d7s5h3h2c Qc7s4d2d2c 
Ks5c4h4c3d Qh8h4d3h2d 9s6s6c3d2h JhJc7s4d2s 
AdJs6c3h3c Ts4h4d3h3c Qd5s5c4d3d QdJd7d4s2c 
9s6c5d3c2c Ah9s8c4c3d QsQhQcJs6c KdQdJsJhJc 
Td9h6s3c2c Jh4h4d3d2s Th8c5c3s3c 9d6s5s5h2s 
QsTc7h7d2d Jc9d4s4h3h Kh9d7s6d2d 7s6s5h5d2s 
8d5d3h2h2d 8s7s5d3c2h QhJh4s4h2h 7h7d6s3c2d 
Ac8d5d4h3d Qc8h8d7s3d AcQh3h3d2h 8d5d4s2d2c 
Ah5c4s4c2d Kh5s3d3c2h Ks7d3d3c2s 8d5s5h4c3d 
8h6h6c4h3h 8d6h4s4c3h Jd8d5d3s3c Qh9d3d2h2d 
JsTd3d2h2d QdTh6d2s2d KhQd4c3s2c 7s7h4h2h2d 
AdTs6h6c2h QdTh3s2h2c Tc6s5d4s2h Jd4d4c3h2c 
Jc8s6d4s3s KdJd7s7c2d 8h7s4d3d3c 9s7h4h3d2d 
Kh6c5c3s3c 8c5h5d4s2d Ad7s7c6c2h Qd5h5c4s3c 
Ts7h6d5d2d Js8h6d3s3c Ad5h5c4s2h Js9s5s3c2d 
QcTd7s7d2d 8h8d7d4d2d Ks7h7c3h3d Kc9d7c6c2c 
Ac6s6d4d3d Jc7d5d3h3d KcQd6h3d2d 9d8d5d4d2c 
Qh6d6c5s2c As9c6h5c2c Jc8d5c2s2h Tc9s5c2h2d 
AcQh3h2s2d Jh9h8s3h2d Kh8d8c7s2c As7d4s3s2c 
Jh9d5s3c2c Js9c4h4d3c 9c6c5c4c2h As9h5c4d3d 
9d7c4c3h2h QhJc9h3h2h 9c6s5h3d2h Jc9h5s4s2s 
Kd7h6s5h2h Jd9s9h4d2d AsTh6h4c2h Ah7s7d3h2h 
Kd7c3s3c2d 8s8c6c3h2c Tc7d6c4h2s Qd6h4s2s2h 
Ad6s6c3d2d Qd8c6h6c2c Tc8s8c3c2d Kd8s7d4h2d 
Jd9h6s2d2c QdJd6h3d2s Td7c6s5h2h KcQd9h4h2s 
Ks9d5s5c2s 9h7c4s3s2h Jd7h4d3s3c Ah8h6h3c2d 
9h8c5s4c2c Jc8d7h3h2d AsJh7d4d2d Qc7h5d2h2d 
8d5s4d3d3c Th7h5h4s2c JdTs6s3s2c Ts7h6d5c2h 
KhTd5c3d2s 8c5s5d4h3c Kc9c6h4c2d 9d6s5h3s2s 
Kh8h7c5h2h Qs8c6c5c2c Kc9s9d6s2s Qd7d4h3h2s 
AhTsThTc4s 9h8c7s4c2d 8h8d6h3s2h Ac9c8c4d2c 
QdJsThTdTc Ah5d5c4s2d KhTh8h5h3h Jh8s6c4d2c 
Qh7c5h3h3d 9c6d6c3s2h Qs7c4s3c2h KsTd7h3s2s 
9c6h5h3s2h 7c6d4h2s2c Th7c6s4c2d Kc9d7h2s2c 
Ts9d5h4h2h Qd6h5c3s3c Th7s5h4d2c AhQs7c4d2d 
Jh7s4s4c2c Jc6h5d4s2d As9d8c4d3h Ks9h8h7h3h 
Ac9s5s3s3d Tc8c7c2h2d Tc3h3c2h2c Qh6h5s3c2d 
AhJs5s3d2s Jd5c3h2d2c Qc8h8d7s3h Js8s3h2h2d 
Jd9d7h7c2d Jd8s7s4c2h Ac9c3d2s2h Qh9c7s4d3d 
AsQd7h4c2c Jc9s4h4c3c Jd8h6h5h2h Qh5c4s2h2d 
Js7s7h3h2h Qd6s5h3h3c Kd8s6c3c2s JcTc7s3h2c 
Tc5h5c3d2d Kh8c3c2s2h 9h8h5s3d2h Qh9c8c7c2c 
QcJs7h6d2d Kh5s5d2d2c 9h8h3h3c2c Jh6s5d3d3c 
9h6s3s3d2d Kc9h5h4h4d Kc8c6c4c3s Kc9c4s3s2c 
8h5c3s3h2c KdJd5d2s2h KhQc8s7s2s Tc8h7h5h2h 
9s7h4s2s2h KcTd6h3d2s As7s6s4h2s Jd8s4d3s2s 
QsQdQcTd3s Qh8c7s6s2s Kd8h7h5c2h Kh8h7s4h2d 
5d5c3h2s2d 9s7s5d4c2s Kc9s9h5s2s 8d7d5h3s2c 
