8s6c4d3s2c 
Qd8h7c5d3d Qs9s9h4d3s Jd8c4s4c3s QdJh6c4c2s 
JdTc7d3s2h 8s8h7d4s2c Kd9h8h6c3h Jc8h5d4c2c 
Jh8s7d6c3d Th9s4s4d3c 8c5d4h3d2h Th8d8c7s2s 
Qc8h7h5s3d Jd9h7d5s2d As8h5c3s2s QdJc8s4d2d 
QhJd7s4s3c QcJs4d2s2h KsJh7c3h2c AcTs6h4d3d 
Kc9s3h2s2c Th7c5c4s4c Td8h5s5h3c Qc8c6d4s3c 
Td8s7s7c2h Js9c4s3s2c 9h8s6d4c3c Jh5h4d3c2c 
QdJc6d3h3d 9h8h6h3d3c KdTd8d5h2d JhTc4d3h2s 
Jd7h6s4c3s Td8c6c4h3c QhJh7s4h3h KhQs8h4h2c 
Jh9c6c5c2s Qc6d5h5c3c Jd7h5d3s2s Ts9d5d4d3d 
As5s5c4s3s JsJc6c2d2c Qd8h5d4s3d Ah8h6h3s3d 
KcTh6s3h3d 7s6s5h3c2d Jd7c5d3h2h 8s8h4d3s2d 
9h8s8h7h3h Jc6s5h5d4h Ks8h6h5c3h KsJs8s4h2c 
Qs9d8h8c2d Jd9d5d5c4d QsJc5h5c2c Td7h5h5d2h 
Kh8c7s6c3d 8h7h5h4c3h Jh5h4s3s2h KcQh9s4h4d 
Qc9c7d3s2d 7h7c6c2d2c Ad8d5c4d3d QcJh8s4h2h 
Td6d4h3h2s Kh8s8d3h2d JsTc3h2s2d JhTd7s4d2d 
JsTh4d3s2c As8s4h3c2d 9c6c4h3h2s JsTs5c2s2h 
Jd8h7c6d2s KdQd8s4c3d Jd5c4s2s2d Kc9s6s6d4s 
Kd8d6s4d3h Js8h4c3h3c KhJh9s3d2h Jh8d6d4d4c 
KcTd7s5d2h Ts8h8d4h2c Qc9h7h4c2c AsKd4h3c2c 
Qd8h4h2s2d AcQs9h7h2h QhJc5s3h2h 9d8s8d7d3d 
KdJc9s4c2h QdJc6h4h2s KhQh5s2h2d Jh6s6h4h2s 
Ts9h5h3h3d Qc7s6c4c2s 8s8h3s3h2s Js5h4d2s2d 
Qs9h7d7c4d Jc7h7d5d3d 9s9d5c2h2c Td8c5h5c3s 
KhJh9d2s2h Js6s6d4s2d Jc9h3c2h2d 7h5h3d3c2d 
Kd8h8d5s3d Td8h8c4c2s Qs7s5h3h2c 8h8c4d3s3c 
QsTc4d4c3c KdQs6s3s3h Jh6d5s4c3s Js9h6d3h2d 
Td9s8d4d2c JsJd8c4h3c Td9s5d3h3d Qs8h7h5c3d 
Ts8c4s3c2d KsQd8d7d2c AdTc7s5h2s Jh9s7d5s2c 
Qs8c6c3s2c Jd5s4h3h2d 7h7d6h2s2h Jh4s4c2s2c 
9s8h7s7d3s Kd8c6c5s3c AsTd7c5h2h 7d5d3s3h2h 
KdQs8c4s4h 8d7c6s6c2h Tc9d9c5c2c Ah8d7c5s2s 
Js8d7s6s3c KhTh6h5c2h Th7h6s3d3c Qs8d6h5d3d 
Jh9h7c3c2c 9h8d5s5c3s As9d6c5c3c Kc9h9d4d2h 
KcTd7s7c2c Tc9h8c4d2c Ad9d5s4h2d Jd8d7c6h3d 
KcJc9s2h2c 9d8h4h4d3d 8h6h5h5c2s Js8s6d3c2d 
Jd9d5d4d3c QhJs8d7c3c QsQh7h2h2d 8c7s5d4d2d 
Jc7c5h5c4c Kd7h5s4h3h AcQd7s4d2h KdQd9d5d3d 
Jh9c7s7h2d AsQc4c3h2d Qd7d5h2s2h Th8h4d3d2s 
8s7h7c6s2d AdJs6s5s2h Qs9h4s2h2c 7d6h4d3h2d 
Jd9c8s6d2d KcQh6h3h3d KsTs5d2h2c AsQs6d3h2s 
Ah8c6h2s2h Jh5s5h3d2s Ah9c8d5d2d Qd9s8c5c2c 
8c6c5c2s2h QhJc5s5d2s JhJd7h4s2c Th8h7s7h2d 
AhTc7c6s2c Jc7s6s4d2d Jc9d6s5h2d 9h5s4s4c2h 
AsTs6s3h2c 9h8s5d5c3h KsJdJc7h2h Qh9s8d8c2d 
Tc8d6s3s2d Ts8d4c3s2c Qh8s8d3h2d 9s6s4d3h2h 
Ac8h3h3c2c QdJc9c6c2c AcQc7s6c2c 5s3s3h2h2c 
8d8c7d6s2d 9d8d5h5c3d 9d6h4d3h2c JsJc9h3d2d 
Tc6s6d3s3h JsTc4d2h2c KcJc5c3s3c Ks9h3d2s2h 
7c5h4s3d3c 8c7h5d4c2c 9s5h5c4s2c Ks8s5s4h3c 
Ts8d6c4c2c Th9c6c5d2c Jd8d8c6d3s Qh9s6d4s4c 
Kc9s8h7s2d Tc8d5h5d3s Jd9h8c6s2s Ks8d5c4s3s 
Tc8h5d4s3h 9h7h6h3d2d QsJh6h3d3c KdQhQdQc7c 
KsJs5s3s3c 9c8s4h4c2s KdQs7d3h3c Td8c6h3h2c 
Kc9h7c4s4c 9c7s6h6c2d As9c8c5d2c Ac9h8s6s2s 
Ac9h8d6h2h TsTh6s5c2s 9h9d8s7s2s Kh9h5h4s3d 
JhJd6h6c2h Ts8d5h4d3c Tc5h4c3h3c 7d6d6c5s2d 
Ah6s5c4s3d 8h8c7h4s3h Jc7d5d3c2s Kc5s4d3d2s 
Qs9h4s2h2d Qd7h7c6h2c Jh9d6d5d2s Qs5c3s3c2h 
8d7s6s3d2h 9d8d5h5d3c KsTh7d3h3c KhQh9h8h3d 
AsKs3s3h2s 9c8h7d3h2d Ah8c5s3h2h KcTd5d3s3h 
Ks6s3c2h2c Ah9d8s6d2d Ad8d6d3h3c Td9d8h4c2d 
Qc9s9d7d3d Th9d5s5c3d Jd6d6c4d2c Qd8c6d3s2s 
KhTd7h3s2c Ac7d5d3h2h KcJd8s7h3s Kh8s5s5d4c 
Ad8d6s2h2d 8c6s6d4d2h Jh9c6d4d3s Td9h8h2h2c 
Qc7s6c5h2d As8h6s2s2d Kd9d8d6h3d Jd9c8h6d2d 
Qs9s4h4d2d Ks8d4c3s2d QcJs9d7d2d As7d3s2s2d 
KdJc7s7h3s Jh7c6c4d2d Ts7h7d4c3s Jh7c5c2h2c 
QdJc7s6d2h JcTc5d2s2c QdJc6c3s3c 9c8c6c5c3c 
Qd9d8d3c2c Qh8c7d5h3h Js9h8s4d2c ThTd6s6c2s 
7h7c6d2s2d AcTd8d2s2h AcJd5d3s2h 8c6d6c3c2d 
Jc7h5c2s2h Ts6s4h3h2c 9h8s6d4c2h KsJd8h7d3d 
Qc9s7c3d2d KdQd9s4d2c Kc7s7h5h3h 7h6d5h2s2c 
Qh7h5d3d2s Kc8h6h5d3h QcJh6c3d3c Jd7d5h3c2c 
Ks8c7h6c3d Kd8d6c4d3s QhJh9c3h2s Kd8s7h3h2d 
Qh8c6h3d2d JcTs4s3h2d Qh9c8d7c3s QdJc4s2h2d 
KhTs8c5d2d Qh8s5h4c3h 9s9h4h3c2c Td9h4d3s3d 
Kd8h7c3c2d 9c6s6h5c2d JsJh6h5h2h 9c6d4c3d2h 
AcJc7c2h2d Ks8d7c6h3d KsTd9h3h2c Qc7h5s4s4d 
7s6c4c3s2s 7h5c4h3c2c AsJs5s4h2s KdQd8h4c3d 
8d7s6c3d2c Jd8s6s4s4h Td7h7d6s2c QhTs4d4c3c 
Jc9h6s6c2d QcJh8s4s4d ThTc6h2s2d Ac9h5d4s4d 
KsQs4h4d2s QdTd6d4d3d 9d8h5s5c3s Qd9s9h8c4c 
As8d7h5c2c Ah8s7c5d2d 8s6h6d4c3h Jd9d5d4c3d 
Jh8s7c3c2h KdTc7c4s2h 7c6s6c4d2h Tc7s7d3s3h 
KhTs8c4d2s Jd8d7s6c3d Jc8h6s4d2c Jh5c4c2s2h 
QcJd7h6c2s Jc7h6d4s3d Jc8c4s4c3s JdTh7s7c2s 
KdQs7c4h3c Jd9s6c3s2c Tc5c4d4c2d 9d8h7s4c3s 
8d7c5s4d2d Jh7c6d4s3d 5h4s4h3s2c Ts6c5d3c2d 
AcQs9h4s2d KsQs9h4s2d AhJs8s6c2s Kd9c8d4h3s 
JhTc4s3s2d QdJd6c4d2s KcJc8s5c2c 9c6c5s4c3c 
Kd6c5s5h3s Jc9d6s6c2h AhJs9s3d2c Js5s4c3d2d 
Qc8s6s3c2s Jh7s5d3h2s Jd8s5s3c2c Ks9h8c7d3c 
6d4d4c3c2s Qh9d7s7c4s Qs8h8d3s2d 8s7h7c4d3s 
AdQs7d6d2d Ah9s7s4d2d 9h9c8d4s2c Th7h5s3d2d 
KsJs7c3c2s QhJs9d6d2d KsQc9c7c3c Jc9d6c4s3c 
9h7d6s6h2c 5h4h4c3d2c Ks9h5s4s4d Qs9h9d7d3d 
Ah9d6s6c4s KhQh4h3c2d 7d5s5h2d2c 7h6s5s4s2d 
KhQh9h9c2h KdJs8c7s3s Qc8c7s4c2s Td5d4h4d2h 
Tc9h6d4s2c 8d6h6c4h2s TsTd6h4h3h 9d8h7d5d2d 
Qd6c5d3s3h Qd7h5d3h2s JhJd9s3c2c Js7c6h4s3s 
Ks7h5d4h4c JhJd9c3s2s 6c4h4d2s2h Kh8h6d4h3s 
Js9s6s5c2h 7s6h6c5d2s Qs8h7c5s3s KcQh7s4d3s 
Qc9s4h3c2h Td9d6s6c2d Td7c5s3s2d JcTd4d3s2h 
QhJs8h4d2h Kh9c8c6s2d Td9c5c4c3c QdTd5h2s2c 
Qh3s3h2s2h Js9d7s5h2s Qh8h6s4c3h KcJc9c4s4h 
AsTh6d5d2c As8d6h5h2c 9s9h8d4c2h Ah8s5c3h2h 
Qc4d4c3h3c Ah9s8c5c2c Td8s8h7d2d QhQd7d2d2c 
4s4d3c2s2d AhTs4d3d2s JdTc5c3c2h 8c7s7c3h2h 
Ts6s4c3c2d Jh9c3d3c2h Jd9d6d4h3s Jh8c6d4s4d 
7d5d3h3c2c Qc7s5d4d3h 6d5d5c4d3s Ad8s4c3d2h 
Js7c6d6c4c Jc8c7h7d3s AhQc9s4c2d Qs9h5d4h3c 
QhTh8h5h3h 9d8c4d4c3d Kc7h6d4s4d 7s7h4d3s2d 
8d7h6s6d2c Kd9d7c5s2d Ts7h7c4d3s KdQd9d6h2d 
7s6d4d3s2s 8c7h6s6h2d 9d5d4s4h2h Kc9h8c4s2d 
9d5s5d3c2s Ts8h5c4s3s Qd9c6s4h3h Ks8d7s5h2s 
QdQc7c2s2c Ad8c6d2s2d QcJs8d7s2s Ad8d4s3c2h 
Js8s6h4c3d KdTs8s7s3s Jd7d6s5d3d KcTsTc5c2c 
As9d9c6d3d Tc7d7c6c3c 9c7c6c4d3c Qd9s4c3d2c 
Ts9h7s5d2s 8d8c4s3h3c 9s8s6c3s3h KdQd7d5d3d 
8c6c5h5c2s JcTh7c4s2c KhTs7d6c2d Tc9s7c5c2d 
Kc9h9d8c3c QcJs5c2h2c QsJc7d6s2h 7s7c6h2h2d 
Kd7h6c4c3s Jh9s9h8h3h JhTh4c2s2h Jh9c6s3c2s 
AsJh3s3d2s QsJs9h3s2d Kc9s8s6d3s Qd9c8s5s2s 
AhTh5s4h2h TsTc7s6s2h Jc9c5h4c3c Ah9d7s7d2c 
QdTh7h6h2c Ah9s4d4c2h QdTc6s4c2c 9d6s4s3h2d 
Kd9h3h2s2d Th8c7d4h3h Ac9s8d5s2s Ah8s7s7c2s 
KcQc8c6c3d Qd7c5s4s3h Qs9h6d4c3c Qd8s6d3c2c 
8d6s4c3d2c QcJc6d4c2h Qs9c5s5d2h Td9s7h5c2c 
KsQsQdQc5d KcTs8c2h2d QhJs7d4d3c Jc8s5d4c3c 
8s8c7c4h3c Kc9s9h5d3d Qh8c7d6s2h KdTh7c5h2s 
AsTs8s3s2d KcJc6d3s3c AdQsQhQcTs KsQsQhQc5h 
Jd8d7s7h3c 7s6d5d4d2h Ad5s5d3c2d JsTd4h2d2c 
Kh9h7c5h2s KdJd7h7c2s 7h7c4d4c2c KcQc9c6s2c 
Th7c5s5d3h Jd8c4d4c2c Kc9d9c5c2s 8c6s4d3c2d 
8c5h4s3h2s Kh8s6d5d3d KdJh6s3c2d Ts7h5c3h2s 
Ah9c6d5d3d 9d7c5c4c3c Jd8h5s4d3d JhJd7d4c2s 
Jh8c4s4c3s KcTd8h4d3d 9s8s5h4c2d KsQc8h4d4c 
Jd9h7d4d3c 8c7s5d4c2c Tc6h4c3h2s 9d8c5s4s3h 
JhTc4s3h2d Ts9c8d4h2c 7c6s5s4s2d Tc9h6s5s2s 
Jd6h6c5c3s Qs7d5h4d2h AsKh9d4d3d 9s8s6c4h2d 
5h5d4h4c2h QdJh7c3h2c KhTd4s4c2h Ah8h6c2h2d 
6d3s3c2s2d Tc8s6s4h3s 9s8d6c3h3c KsTc7h3d3c 
JcTh6s4s2d Qc9c7s7c3d Kh7h6s5d2h Ks9s9d3s2d 
AdTh6s4c3c KhTh8h5c2h Ad9c6h5h3h QsJh8d4h2h 
Ks7s6c5d2s QdJh8s7c3c Kh9h7d6s2h Tc9d9c3c2h 
Tc9c7d5c2h 7s7c3d2s2d Th7c5h3d2c Jc8s5s5h3d 
Qc8c7c6c4c KcTs7h6d2h Qh9d7s7c4c Jc9c5d4c3c 
Qd8s8h3d2h Jh8c7s6h2d AcJh8h6d2h 8d7c6h4d2d 
Qd8c6s5h3s Js8s8h6s3c 8s7c6s3c2s KhQh9h8c2h 
AsQh3h3c2d 9s8d8c7d3d Th7d5h3c2c QsJh4h4d2c 
QdJc5s3d2d 7d4s4c3h3d 8s7s5c4s2d Js9s9c6s2d 
Kd7d5h4d3d AcQs5s2h2d QhJs7d3s2d KhTs4d4c2h 
Ac8s7s7h2s 9h9d8d4c2s QcJh8h7s2h AsJs7s6s3s 
Tc8h5c3c2h JsTd4d3h2c Tc6d5c4s4c Ad6h5c4h3s 
AcQd9d4d3d 9h8d7d4d4c Ad7s5h3s3c QsJs7s5s3s 
Ks6s6h3s2h QhJd9c7c2c Jh8d7c6h3h 7h7d6s2d2c 
Th9h5c4d2s Td7c6c3d2h 6h3h3c2s2c 8h7c6h4h3h 
QcJs6h6d2c KcTd7s3h3d Jh7h7d2s2d 6h5d4s4c3h 
Jh6d5c4s2h Tc7s5c3h2s As8c4d4c3d 7h6h6d4c2s 
Qh7d7c3d3c Ks5d4c3d2c Jh5s4c2s2h AsJh8c4d2c 
AcTs6d5d2h KhJh9c3d2h 9h8h7h6h2c KdQd4d3h2c 
JhTs7d4s2s Tc6c4h3d2h Kc8d7h6s3d Kc8c5c4h3s 
AdQc8s6s2s Qc6s5d5c3c JdJc8h4h3h Qd8d7c6s3d 
QhJc5d5c2c Jd6d5c2d2c Ts6s4c3d2c AhKs6s3s2d 
Td7s5s4s4h AdTc4d2h2d Th8s6h4c2h 9h6s6h5h3h 
KcQh4h2s2d 9s9d8h4c3h KsTh8d5c2c QdTh7h3s2s 
8d7s7h4c3d Qd8d4s4d3s Ad7c6s6c3c Jh9c3s3c2h 
Jc8h7c6s3c 8h8d7d4s2c Js8h5h5d3c Jh9c6h4s3h 
Qd3s3d2s2d KhJd7c5d2d 9c7d6s6c2h Js7h6s4c3s 
Td8c7d3s2s Kc9s6h4c2d Qs6s5s5h3d Ad9c8s5s2s 
9h9d4d3c2c 8h7h7c6h2d Jc6d5s3s2d 9d7h7c6d2s 
QhTs6h5h2h Jd5d4s3s2h Jc9s7c4c3d Qc4s4c3d3c 
Jc9d9c6h2c 9h8d5c4s3s Ks8d6h5h2c Qd9s6h4c3h 
Th9c5c3s3c Jc7h6h4h2c Kd9s9d5d2h Kc5c4s4c3h 
Kh9c6h4s2d 8h8d7h4c3h Qc9d7s7h4s Jd9c6h6d2s 
Jh7h5h4s3h Kh9h5d5c4h QsTc8d2h2c JcTh6s6d2h 
Kc8h6d3s3c QcTs7s6s2h Ts5d4s4c2d TsTc6s5h2s 
Ts9s9h3c2s Kc9d7c4h4c Th8s8d5c2s 9c8d5h4h3s 
Kh8d5h4h2c Tc8d5c4s2h Tc8c6c5c2h Ks9h9d8s3s 
Jc9s6h6c2d 4s4h3c2s2h JsJdJcTc7d Qs7h5c4h2c 
AhTd6s5d2c Th8c5s4d3c Jd8d5s3d2s Td9d5h4s2c 
JcTc7s7d2c AcQh9s4h2d 7h7d6c4d2s Tc6s5s3s2c 
8s8d7h3s2h KdTs3h2s2h Tc8s6h4h2h Jd6c5h5d3s 
Jh8d5c3s3h Qs6d5d3c2c Kc7s6h4d2c Ks7d5c4d3d 
Qs8d5h3s3c QsJs4s4c2d KdJh8c6s3c AhQh7d6h2h 
Kh8c5h4h2s QsTd8h2d2c Jd8s6h4h4c AcJs8d2s2h 
KsTh3c2h2c AhKd6d2d2c Jh5c4d2h2c 8s7c5c4c3c 
JsTh4c3s2d JhTh6d3c2s KdTs7s5s2h Jh8h4h4c2c 
Th5h4s3s3h KcJd7d5h2d Ks8h6h5c2d Jd8d5h4c3d 
Jc7s5s5h3d KsQs9s6s2c Ts8c6s6h2s Js6c5c4d3h 
JhTd7h6c2h As8d7h7d2d Jd8h5s5d2c Qc9s8h7c3c 
Ad9s9c7h2c Qs8s6d3d2c Jc8c6s3h2s 9s8s5d4c2h 
7h7c3s2s2c 6h5h4h3s3d 7d7c4s4d2h Kh9h7s2s2h 
Tc6c5s5d4c Js9s7s4h4c KsJc8d5h2h KdJh7h5c2h 
Qc9d4h3c2h KdTh5h5c3h KcJs5c3d2c Jc8c5c4h3d 
Js5d4d2s2h 8d8c3c2d2c Qd9c8h7c2s 8d6d4d3h2h 
Jh9d6s4c3d QhTs7s6s2c Ts8c6c4d2h Ks7c6c4h4d 
QdJh9c6c2c Ac8s6c2d2c Jc8d5h5c3s 6s5s4s3h3d 
AdTd6d3s2h Qd5c3d3c2s KhTs5s5c3s JsTh4h3c2d 
Td8d5d3h2h Ks7s6h5c2s Jh9s6d4d3c QdJd9h3d2c 
9c8c5s5h3c 8h7s5h5d2c 6s6d4h2d2c Ad9s8c6s2s 
Qd9h7h4d2d Kc8d8c4h4c QcJc4d3s2c Jc6c5d5c3h 
Js5s5h3d2h Jd7h7c4d3s 9h5h5c3s2c Qs9c8d5d2d 
Jh6s6h4s2h 6h4s4c2d2c QcTh8c3d3c Jc6h6c4h2c 
Qc9h9c3d3c 7h5s4s3h2s Ac9s8h6h3h Js8h7d7c3s 
Js9s5d5c2h Kh9h7c5h2d JcTd5d3d2h Th8s6h3s2h 
TsTc5d4h2s 6d5h4s3c2c AdJc3h3d2d AhJh5h4d2h 
Jd9c6s4h4c Kc9h8d4d2h Ts8h6c3s3d QdJc8h7s2s 
AhQs7d4s2c Tc9c7s5c2d QcJs5c2d2c KcJd7s7h3s 
Ks8h7c6d3h 9d8h5c4s3s JsTh4c3c2d 9d8d5s5h3d 
8h8d4s4c3h KcTs8s7s3s Jh8c6d5d3d QsQc7c4c2d 
Th8c5d4s3d 9c8d6h4s2c QhTs7h4h3h Jd9s6h4h3c 
Tc8h5c4c3d 8d7h6s6c2d QsJc8h7d3h 8s7s7d3d2d 
Jc7h5d4h3h Kh9s9c4s2c Qc8d7d5h3s Kd8h4c3d2h 
Qd9d4h4c2c Qc5s3s3c2d Jc6s6h5h4h Jh6s6c5c4c 
Qc6h5s5c3c QsTc6d3h3d Ad9d6h5d2d 9s8h6c4d3d 
Js7s6c5s3s Jc8h7h6h3s 8d7c6c2s2h Jc7s4h4c2h 
Ts9s9c5s2s Ks8s8d4s4c Qd8d6d4s3h Qc8d5s5c3h 
8d7s7c6d2h Js6s5c4s4d QsJd7h3d2h JdJc7h5s2s 
Th5h4h4d2d QhJd8s7c3c 8s7h6d3d2h Ac6d5s4h3h 
Tc8s5c4c3d 9s9h8c4d2s Js9d6c3d2c Ts8d6c3c2d 
Jh9h5d4h3h QcTh8c3s3c 9h6h6c5h3h Ah8h7d6h2h 
Qc9s8h5h2d KdJd6s3d3c Th9s5d5c3s QcTc8c2h2d 
Jc7d6h4s3h KdJs9d2d2c Ac8h5s3c2c 9h8c7c4s4c 
Jh6d6c5c4c JcTh3s2d2c 9s7s7h5s2c Ad9s8c5s2s 
Qs8s7s5h3c AdTh6c3h2c Ac7s5s5d3s 6c3s3d2s2c 
Jh7d6s6d4d KhQd6d3d3c Qs4s4d3s3c Ah6s3d2h2c 
Qd9d7s7d3h Jh8s5h5c2d Qs7h5c4c3d Qh4h4d3h3c 
Jh9d4c2d2c JhTs4s4d2s Kc8c6h4c3d 8h7h7c3d2d 
AhTs8s2d2c As8h7d5c2c Jh6c5s5h4h Jh6d5h5c4h 
AcTd5h4d2s Ts9s9d3h2s Ks7c6h4h4d KcQh8d4s3h 
8c5s5d2h2c Kc8s4h3c2s 9s9c4s3h2c Jh8d5s3h3c 
KsQc8h6d3h Ks9d9c8h4c 8s5h4c3h2c Qh4h4c3s3h 
9h8d7d3d2h AsJh9c4c2d Qh8c6c4s4d 8h7h6h6d2c 
Td8c6c4s2h 9s6c4s3c2h Jd9h7c4h3s Qs9d9c7c3c 
9s8s6s6c3d Qs7d5s3d2h 9h9c8c4s2d 9s8c6d3h3d 
Th8h7h5s3h Tc9d8c4c3c QsTd4d4c3d KcTsThTc8h 
Kc9s7c6c2h Qh9d8c5c2s Qc9s9h8h2h 9c5s5d4c2s 
Js9d7h6c2s Jd9h7d5c2d Qc9h8d6d2d Qh6d5s4c3s 
Jd7d6d5s5d KhJh7s2s2h QdJc9s6s2s 9d7h7d6s2c 
ThTd7h4s2c 8d6d4d3s2s Ts8s8c5s3s Ad9s6h6c4h 
Js8h5h3d2d 8s8d7s4h3s AdTs6h4c3c Kh8s8h5c3h 
Qh9c5s5c3d Kh7h6c5d2h Js4h4c2h2c Ts9d7h7c2h 
Qc8s5c4h2c Th8d8c4s2h KsQh7s3d3c Js9s5s4h3s 
AcKs6s3s2d Ks9s5s4h3d Ad9c8s6s2s 9h7h7c4d3h 
Kh9d9c7d3d Qd9h7d4h2h 8s8d7c6h2h 9c8c5s4h2d 
Jc9h6d4s3h AsQh7s6s2s Jd8d6s4h3c Kd9s5d4h4d 
AcJs9d4s2s Qh8s7h7c3d KcQc9d4c2h Ks5s4s4c3h 
Ad8d5d3d3c 9h8h8c4d3s JhJc8s4d3s 6s4s4c3c2d 
Ts9h3c2h2c Qc8s5d4s4h Kh8c5s5c4d Kd9h5s5d2c 
JsTc3d2s2h KdQd4h4d3d TdTc5s4h2c QsTd7s5s2c 
8h7s5s4d2s AsQd7d6h2d Jh6c5c3h2h Jc9h7d3h2d 
Jd7d5h5d4d AdJd9d6d4d JdTh6s6c2h Kh8s5h3s2h 
AsTs7c4s2s Jd9s4h2s2h 6d6c4h2s2d Qh9c8d7c2s 
QcTd4h4d3d 9h7c5h4h3h AsTh9d3c2h Th8c5s5d3c 
As6d4s4h2s Ac8d5h3c2c TsTc5h4h3h KcTh4c2s2d 
Jd9c6d3d2c Js6c5s5d4s Tc9h6d5s2s Tc6s4c3s2d 
Td7h5d3s2s Qc8s7d6h2c 9c6s5c4d2h KhTc4h2s2d 
Js6c5c3s2s ThTd7s6h2h 4d4c3c2h2d AdKh9s4s3s 
8s8h7h6d2h AcTd4h3h2d 8c7s7c3s2c KhJh6d4c2h 
Jc7h6c4c2h 9h8c5h3s3h 9d8d7c5d2d KdQd8c4s3d 
Qd9h8s7h3c AhJc5c3s2d Tc8s8d7c2c Qd8s7d6d3c 
Qd9h6c4s4h AcTh6s3h2s Kd8s8d4h4d Kc7d6s4s4h 
QcJc7h7c3s Qs8h5c4h4d Tc8s5d4c3c 9h8h4s4h3s 
KsQd9c4h3c Th8s5s5d3c QsTs7h5c2s Qd6s6c2s2c 
Ks9c5s5d2h 8h7h6h6d2s 9d8d7h7c2s Tc8c4s3h2s 
Jd8c7d6d3s 9s5c4s4c2h QsJd8c7d2d JhTs4d3h2c 
Qs8c5s4h2s Ks6s3d2h2d Qh6h5h4h3s QdJh6s4s2c 
Td9s8h4c2h As9h8c6h2h QcJc9h3c2d KdQd8d6d3s 
Ks9s4c2d2c JcTh9s9h9c KcQd7h4s3h QsJd7c4c3h 
8h7s6s6d2c AhQc4c3d2s 8h7s7d5h2h Jd8h7d6d3c 
AdTh8s2s2c Jc8d7s6c3c AsTd7h5c2h QhJh7d4h3h 
Jd5d4s3s2d Jc9h8s6h3h Qc9c4h4d2d Js7c5s5h3s 
Qh8c5h4s2h 7c6h6d5s2s Ts7d5h5c3s 9s8c6d4s3h 
5h5c4h4d2h Qh6s6h2s2h KcQh9h7h3h Kc7h6d4s2c 
Kc8c7c5c3d Kc7s6d4h4d 9s5s5c3c2d QsJd9c6c2c 
