Jh9d7h6s5s 
Ad9s9h7d6c AdQh9c8d6d KsJh8s8c5h AcJdTs8d5d 
AhJh9c5d2d AcQcJh3c2h KcQs8s8d6d Ad9s6h5s4d 
KcTh9d8d3c AcTh8c3h3d JcTh9h8h7d AcQc8c7h6s 
Ah8h5d5c4c AsJs9h7d3c KhJhTc6d2c KcJc9s5s4h 
AhQcTd9c5s AdKc9s7d6d KdTh9d9c2h KsKh8h5h4c 
AsTc9c8h7d AhKdQd9c7d QhTs9h5c4s AcQcTsTh4c 
As9d6s5c4c QdTh9s8d8c QhJc8s7c5s 7h7d6h6d5c 
AdJsJd6h4c KsQsJc7h3c QhTs8h5c4c JhJcTs7h3s 
AcKh9c7s5c AdJsTc8s4h QhTc9h9c4d KsQhJh8s3d 
Jh9c8s7s5h JcTd9c8s4s KsJd7c6c5d KsKh5c4s3s 
AdTh7d6s6c Kc9h8s8h6c Jh9h8s7s6s KhJc6h6c5c 
AsQs8c7c2c AhJs9c8h4d AcKs9h6s6h AsJcTh6d3s 
KsTd7h6h5d Ad8d5h5c4c AhJh8s6c3s KdQhTh9h7s 
AcKh6c3h3c KhQs8d7h4s KdJh6h5s3d AdKhQc6d4d 
QhThTc8d2c QcJcTc9s7d KdQhTh8s4s AdKd5s5d3s 
AsKc9h5c4h Qh9h8d7d7c As9s9d8c5h JdTc9d8c2s 
AhQsJd8c2h KdQhTs8s3d Ac7h7c4h3d QsQh9s5d3d 
QdJd9s9c6s AhTs8c6c5s KsTs7d7c5d AsKcTc8c5h 
KsQd8h7s4d AhQdTs9d5c JcTsTc8c7d KhTs9h6h4s 
QhQdJs6s2d Ac9h9d8h7d KdJdTs6h2s AcQhTh8s4d 
KhJc9d6h4c KsTh6d5s3h JcTd7h7d5c AdQhTh8s6h 
KdKcQs9h4d AsQhQd4c2s AhJh8s6d3s Ad7h7d6h5d 
AhQcJs8s7d QsQcJd7h6s KdQsTh4d3h AsQc7s7c3c 
JsJhTdTc3c QcTh8h7h5c KsJsJh8h4s Kh9s8c6h5s 
KdJh6h6d5h AdTsTh5s2d AhKcTc8s5c KhJh9s5s4c 
JhJdTs7d3s KsJsJh9s3h AcKc8d4h3h QsTc9s9c4d 
QsTd9h8s8c KcQc8h5h4d JsTh9c6h6c AhJdTc8s8c 
AdKh5s4s3h AcKdTc7c3h Js9h7s6h5c AdQd8d6s4s 
AdKs8s4d3d AhKs8s4h3h Qs9c7h7c6s KhJs6h6d5d 
AhKdTd7d4s Qc9d9c8h6h AhQc5s3c2h KdQh5d4h2c 
Ad9s8c5c2d AhQsQdJs6s QsJhTh8s2h KsKdQhJc4c 
JhTd9h6s4s AhJcTsTc4d AdKhJd8s4d QsQh9h7h4s 
KcJh5h4d4c QhTsTc7s4h QdQc8s8d5h 9d7h7c6h6d 
KcQc6d5d3s AcQdJd7s5h QsJh9d5s3h 8h7h7d6s6d 
JcTd9s8s7s AdTc9d6s4h AsQd7s3h3d AsQcJc5d4h 
AdQs7s5c4c QdThTc9c3h JhTs8d6d4s QsThTc6h4c 
KdQc5c4d4c AsKd6s4s2d AdTd8c7c2d KdJsTh3s2d 
QsJsTh5c4d KhJs8d7s7d Ac8d7s6d3c JcTc8s6c5s 
AsQsJs7h3h QsQd6h5d2s QdQcJh6h2d AdJs9s2h2d 
AdKc7h7d4s KsJc9s7c3d KdTs7c6d3c KdJc5s4d4c 
QsJsTh4h2d QsQd9h6c5s JcTd8s5c4s KdTc7h6h5c 
AdKsTh9s2c AsQcJd8h2s QdQc9s9c5h QdJhTh9s6c 
KdJhJcTd5s KhTs7d6d5s KdQc6c5h4h QhJdTd9s6c 
Qc9d8d8c7d KdQs8s8h6h QhJcTc8s7c KhQdJd8s7c 
QdJc6s5c3d AdJs9h5c4d AcTs8c4s4c Qc9c8d7d6c 
AsTc5h3s3h AcKhJh9s6d AcTs9d4c2s JhJdTs7c6d 
AhTd9c5h2c KdJc9s9h7d QhQd9s9c6c AdKcJcTc4c 
QhTdTc9c3d KcQd9h6h6c AhKhJhJd7h AsJc8d6s2c 
AsJs9c8h4d AcQh9c4d2h QhJcTh7c3c JhThTd8d2s 
KdTh7s6d3s KdJc7d6d6c KsJd9d7c3s Ad7h6h4d3s 
Kd7c6s5d4s AsKs9d5c2d QhTs7h5d4s KhKc7d2h2d 
KdJh8s7s7h 8h8d7c6d6c AdQcJsJh6h KdQd9c8s5c 
QdJdJc9h2h QcJhTsTh7d AhKs9c7h6h QhTh9d8d4s 
QsJhTc2s2h AdQsTc8h6c AhQcJd3s3h QhThTd8c6s 
KcJdTc7c6s AhKh8c6h5s JhTsTh7s4h QsQh9c6d5s 
QsTc6d6c5s KcQc9h7d6s KsJc8h7h7c AhJh8s8d6c 
AdTs9d7d5c 9s9d6h5h5d KcTs9s8d4c AsQs7s6c4c 
AhJc8d5d4c KsQdTc3s2d Ad9s9c6c4d JsTc9h6s4c 
AcKd9h6h6d JhTh8h6d5d AcKdTd8d5h AdQdTsTc6d 
AhJd8c5c4d QsJc8h5s4h AhJh9c5s2s AcKd9d4c3c 
AcQhJh8d6s KhTdTc6c3h AsQd4c3s3c KhQhJd7c3d 
KsQhJh8s3c KsQdJs6d3s Kd9s9c7d5s KsJcTh9d5s 
KdKc5d4d3s AcKc9d5d4c QhQdJc3c2d 9s9h7h6s5h 
AhKdQs5d4d Ad9d8s7s3s Ad9s8s5d3s KsQcTd4s3d 
AsKcJc7c6h AsTd8s7s2d AdKc9d4d4c KsKcQd8d5h 
As9d6h5d4s AdTs7c6h6d AcQdJd8s7d KhKd6d3s3c 
KsTs9d8d3h QhTsTd5h5d AcTh8c4s2s KhQdJd9d3h 
TsTd9s7h5d KcJdJc8d4c KsTsTc5h3c Jd9d8c7s5c 
KdJd9s8h7d KhKcTh2h2d AcJdJc7h3s AhKhJc8s4h 
KhQcTd8c6s Qh8d7h6s5s QsTc8d5s4d KhTc7s7h5s 
KdJdJc8d7h AsJc9s7h7d KdJsTdTc5h QhTc7d6h4d 
AdJc9d5s2s Ac9h9d6h4c AsKsJh8d3c 9s9h6d5h5d 
Qc8d7c6h5h JdTd7h6h4s QhJsTs3h2d AhTh6s4s4d 
JsTc7h7c5s Ah8d6d5h3s As6c5s5c3h Js9s8d8c7d 
AhQsTs7d3d As9d9c5s3c KcTd9h5c3h KsKdQc7s3h 
KhJc7h6d4d Qs7s7h6h6c KcTc9h9d4d KdQs6s5c4c 
AsKhTc9h2d JhTc9h8c4s QcTh9h6c4h KhQc9d5h3c 
AdQs7d4h2s AcQcTsTd6c AsJc5s5c3c AcQhJh7d5s 
JcThTd7s7d KdThTc8s8h KsQhQdJd8d AhQdTh6h4s 
QsJdTc4s2c Jd9d8s8h7h Kh9d6h6d5c Ks9c8s6c5c 
JhTs7s7h6s KdQd6h5h3c KsKdTh6s3s KcQdJd4c2c 
KhJsJh6d3d KhTd7h7d5d AcQcJc7s3s AcQd9d4c3d 
Ad9s9h8d5c JcTd8c6h4h KcJs8c6s4s AhKd7c5s4d 
Kd7d6c5s4c AsQd9h7s7c Qc9c8s6s5s AhQsTc9h3h 
As9d9c7s5h KdQcTc7s4s AdQhQd8d5d KdTsTc6s3d 
QcTs9c5d4s AsQs8c6c3c KdTh9s9d4s KhJs9c8s4h 
AdTc8s8h4d KhQcJhJd8h AhJc6c5c3h JsTd7d5d4s 
KhQs6s5d4d JsJh9d5s3h KcQd5s4c2d AsQh6h4d2s 
Ah9s9h7s3s AsJc7s4d3d KcTh7d7c4h KdTs7c6c4s 
Kh7c6h5s4s KsJh9s5h3h KhJhJc8d4d AhKcQcTc7c 
AhKc8h8c2h KdTh9d9c4c AhJsJc6h6d AhQdJd8c6s 
KsJd8c7d7c Kh8h7d5s4s AdKdTs9d2h AdJhTc8h4s 
AhKc8h6s5h Kc8c7h5d4d QhTsTc8s5c KdJs7d5c3s 
KdQcJh3h2d AhKd7d3s2h AdTsTd6s2c QsQdJc9d6h 
KsJc8c5s4c JsTs9d7h4h JcTs9s6h3c KsKcTs7s4s 
KhQsTsTd8s Kh9s8d6h5s QsQhTd8c4s QdJsTs8h6c 
Ac9c6s5s3d Ad9c6d5s5c TsTd6s5h5d AsTd9d9c6c 
AcKsJs9d6h KhJdJc5c2h AsTs8d7d3s QhQc9h5d3d 
QhJcTd8c3d QdQcJh6h2c KcTc7c6d4d KsQs9c6c4d 
Ad8d8c5s2s KdQh8s8h5d QdTd8c5c4c KdJsTc7s6h 
QcTh8s5c4s Ac7s6s4h3c AsQs9c8s7h AsKc8d6s5s 
AhQh8d7d2d KsQdTdTc8d JdJcTs7h6c KsKd6c5s2h 
TsTh9h7d5s QsQdJc6c2s AhJhTs6c3d JdJc9s6c4d 
AdQc8h7s4d QcTc6s5h4s AhKsTs5c2c Qc9c7h6d5h 
KcQsJhJd8h KcQhJd5s4c AhKcQsJd7d KhQsQdJc4d 
AdKhQc8s7s QsQhJd3d2h AdTc9c3d2h KcJhJdTc5s 
AhJdTs7c6d AhTsTc6s2h AhJh7d4c3c QhQcJs8c7c 
AdJs8s4d2h QhJd8c5h4c KcQc9d6c5d KcJs6s5h3c 
As9h8h7c6c AdJsTh8c5h AcTh9s9d4c AhKd7c6c2h 
KhKd8s7s5c KcQhTc3d2h KdTs9s8c4d JhTs8h7d6c 
KcQhJsTc2d AdQsJc5d2h 8s8c7d6s6d AhTd7h4h4d 
8h8d7h7d6d JsTh9s6c4c AdQsQd9d4c AsKd7d3c2s 
AdTh9h7d2d AsJhJcTh2d KsQs8d6d4c Ac8c7h5s2h 
QhQd8d7c6d KcQhJs3s3c QhQc4s4c3s KhTd9s5h3s 
KdQdJd8s5s Qd8h7d6c5c JdTh7s5s4d AsQh9s3h3d 
QsQc8s7s6d JhTs7c5s4c AhKsQh5h4h As8d8c5c3s 
AhKh9s9d2s AsKsTsTc3d KhKc7s2s2h AdKcQsJh7h 
AhQhTd7c4h As8s8d5c4h KcJs9d6s4c AhKh9d9c2c 
KsKd5h4s3s Ad9c6s5c3d Ah6c5h5d3d As5d5c3s3c 
AdQhTc9c7c AsQs8s7c6d QhTh9d7d5d JsTc9c6h3s 
AhQcTd9s5c AhTs9s3h2c JhJc9c7h3s Ac9h9c6h5c 
QcThTc8s2h QdJcTd8c2d QsQd8d8c5h TsTd8c7s5d 
AsKh9s9c5d AcTs9c7d5c As9h9c6h4s AhKsTs8s5d 
AdJsJc9s7h JhTc7h6c5c QcJs9d9c8h AcJhTc3c2h 
JsTsTd5d3d As8d7h6d3s KdQd6s5h3h AdTs7d6h6c 
AdKd9h5c2c AhKs7s3d2h AdQsThTc7s AhTc9h7d5h 
KhQc7s6d5h AsQsTc4s2c AdJd9s5c2c KcQcJh5s2s 
KsKcQc2h2c QdTsTh6h4s QdTs9s9d4h Kd9d9c8h6h 
QhTh9c6c4c AdKsQhJh3h AdKh9c5h4c AsKhTs7s3c 
AcTs9c6d4h ThTd7h7d5h KdKcJh5c2s KsJcTh5c3h 
AdKh7h3s2d JhJd9d7h4s KhJsTsTd8s Jc9d7c6h5h 
AcJd9h5s4c KdQsJsTh5c Kh8h8c6d5c KhJsTdTc7d 
KhJd8s8h5d Ts9s7d6h5d KcQsTc4d3d KsJc7s5d3c 
9c8c7h6c5h AhQsTs9s7d AhJs8s4h2c Ac9h6d5d3c 
AsKdJd9c6h KcTh6s5c3h AsTc9s6h4d AdKdJdTd6c 
KhJsJcTd7d QhJsJd5s2h QhJd9s7s5d AsQdQcJh7h 
As7s5h4h4d JsTd8c5s4c AsKsTd8s6s AcKcQs7c4d 
QdQc9h6s5c AsQsJd8c4s KhTs7d6s3h KcTsTd8h8d 
KhJh9d8s7h KsQhJsJd8s KsTs9d8d3c Kc8c7s5d4d 
QdTsTd9d5s KsJhJd5d2s KcQs8d6d5s KdQh9c6d6c 
JsJh5s5h4h JcTd9s9c5d AcQhJs4s2h AcQcJh4s2d 
Ah7d6d4c3h KsKh5d4h2c KcQs8s7c4d AcJd9s6d2c 
KcJhJc8h3s QsTsTd8h2d KcQhTc4s3s KcQsJc5h4d 
AsJsTc6h5s KsKh6d5h2c JhJdTc7c3d JdTs7s5d4s 
Qc9h8s6c5s AsQdTc8h6c KsJdTh7c6d As9s9c8d5h 
AcKsQs9s7h KhJh9d5d4s KdTc7d6s3c AhTs9h7h5c 
AhKs7h7d4c KcTh7d6h3c AhKdQh7h4c Ad9h6s5h4d 
KdTh9s5h3d QdTh6h6d4s JsTc9c8s4h Ks9d8s8d6c 
KhQsQdJd4c AdQc5s3c2d AdKsTc8c5h AhJc7h4d3d 
AhTd7d5h3h AdQd8c6h4s QsTc6s6c4h KhJs9s7d3h 
AhTh8d6d2d KcQcJs4s3c Tc9h9c7h5d AhJhTc6s5h 
AcJsTsTh4d AcQsQd4c3c AhKcTs6d4c KsTh7s6d3h 
AsJs9s7d5c AcTs9s5c2s Ks9s8h8c6c AsKc9s4s4c 
QcJdTc8d2c AsTs9h9d4c TsTh8h6s5s QdJsTh6s3h 
AdKh8d6c5d Ac7c5s4s4d AhKdJh8c4h AhKhJd8s4h 
QdThTd5d4h AdTs9s5d3d KdJdJc8h7d KhQsTc8s8d 
KdJd9s5c4s AsJs9s7h5d Td8c7d6c5h AdKdJh9d7d 
AcTh7h5d2c AsQh9h9c5c AcQdTh4h3d AhKc8c4h3h 
QsQc8s7d6s Jh9s8d7h5s KcJh8h8c6h AdJh7s6d6c 
AcQc8c7s6d KdQhTh8h7c AdQc9s7h7d KsQc8d7c5d 
AsJc8s7c2s AdJsJd2h2c KcQhTh9s7h AsJdTd4c3c 
KdKc9d7s3h JsJcTd7h7d AcQdJd9s5h KdKcQhTh4h 
QhTd6s6d5h QcTh8s8c5s KsQcJd3d2s QdJsTs8c6h 
AcKd9h8h4d KcTc9s8s3h Ks8s8h6c5h AsTc7h6s6d 
AcKc7h5s4c AcQdJh4d2h AhQh9d5d2s AhTdTc9s8c 
KhJc9s9c2h KcQhTh8h7d AsKc5d4d3c QdTc9s7d4c 
QdJh9d6h4c QcTdTc5d4c KhJc9s6c4h KhJsJh4h3s 
Js9c8h7s5c AdQsQh4d3d AcJh8s6h2c AcQdJs7d3s 
AhTc7h4h4c QdJs9d6c4s KdTs9h5s3d As6h5c4s3h 
JhTs8h6d4d AhKcJd8h6h AdJc9c6d2h Ad9d6s5c4s 
KdQsQd6h5d QcJh8c6d4h AhKc8h8c2c JdJc6c5c4d 
QhJd8c7d5c AsTh9s6c4d AhKc6h5s3d QsTc7s5h4c 
KhJs7h6c4c KsJd9d9c2s Ac9d8h5c3h KhQs8d6d4h 
Ah9s8s5s3h AhQc6h3s3c AhKcTs7s5d QhTc9s8h8d 
KdJd7c5c4c Jc9d7c6d5h Ad9h8c7s7d KhQcJh8c3s 
JsJh8h7s4s KhJs9d9c7h JhTh9s7s3c Kc8c7d5h4h 
AsQs9d4d3h KhTc9c8d4h AsKh9h8c6d QdJh9s9d8c 
AsQsTd7s4c Ts9c8h8c7h AdJhJd7c3s KdJd9d8s6s 
AhQsJh8d4h AhQhJd3d2h QcJsTc7d3s AsQcJd3s3h 
KhQs6d4s3h AhKh9c8c4h KsQsTd6c4h AsQhQd4s3s 
KhJcTh7d4s AcKhJc8d4c AsQc8h7h4c KsKcQh9s5s 
AdTs8c6s5c KdJh8d6c4h QdJcTd4c3d 8h7h7c6s6c 
AcKhQhJd6h KsQh8s8d5h KsJc9h8c2s AsKsTc4h3d 
AdTh7h3s3d AsQdJh7d3h JsJd8c5d4c Kc9s9h7c5h 
AsKh9s4s4h KcTs8s7c5c KhQsQdJc6s AhQcJs3h3d 
AcKc7d5s4c AcJhTs8d5s KsTc8s6c4s KdQdJsJh4c 
AdQd9s5c2c AsKs9h5d2d KsTc7s6h3c KhQhJc3s3c 
QhTc9h5s4c JdTc9s9d2s QhJhTs4s3h KcQd9s5c3d 
QcTdTc8s6h KdQhTd4s3s AhJd6h5c2d AdKdQs5d3h 
As9s8c6d5h AhKh8h8c4c Ks7c6d5d4s AdKdQsJd3d 
KhQsQd8d6c AcJsJd6h6c QcTsTh9h3s AhQsJd8h4h 
KcJd9h6d4c AcQs9d5c2d JcThTd9d4h KsKhJd5s2c 
AdKdQc5d3h TdTc9c6s4d AcTc9h7d5c Qd9d8c7c6d 
QsTc8h7h4s AdQsTc9h5s JdTd7s6s6h KsJc9h5s3h 
KdQd9h6h4s QhJhTc9d6s KhJs9d6h4s Ad9s7s5d4d 
JcTd7c6d5d AcQcTh7c2h Qs9c7c6s5h KhJdTh9h7h 
KsQcTh5s5h KdTsTc8s8h KhQhQcJh4s AhQcJc8d7c 
JhTh8s6h5s Qc9s7s7d6c KhQcJsJd7h KhJsJh8c4c 
KhKd7s5s5c AhQhJd3h2d KdQsJs4d2d KsQhQc9d6c 
QhTh9s5s4d KdQsQcJs4h QsQd9c5c3d Jc9c8d7h5d 
Qh9c8d6h5d KdTs8d5h4s KhQsTs7c4c AhTc9c8s7d 
8c7s6d5d4s KsJc6s5c3d JdTdTc3d3c Js9d8c7s5d 
KcTd9d5s3c AcQd5d3c2s KdQcTs8h6c AcJhTs8h5h 
AdJs8c5h5d AcKsTs7s4d QdTh8d5c4c AsKhQc8d7d 
QdTh8d7h4h KdTh7c5d5c As8s5h5d4h KdJhJcTs7s 
AsJd9d6c2s QsQd8d7d6c KhQh9d6d4s JhTs9h8d4d 
AhKc9s7c3s QhTd6d6c5h AhKs6c4s4c AhJh8h8c7s 
QsJs8d7c5d AsJh7c5s5d QcJhTc8h2c QsQh9s8c6s 
AdTc9h4d2c AsQhJs8s4d Jh9s9h8s6d AsQd8c6h4s 
AdKd9s8h8d AcJsJc2h2d KdQcJc8d4c AcKdTd6h4s 
Ah9h8s7s4h KhJc5c4s4h As7s5d4h4d AhKsJs7s6c 
AcTs7h6d6c JsJc8s7c4c QhJdTs2h2d AhTs8h5s2s 
AcQs9d7s7d AhKs8s8c7d AcQh6c4d3d KdQhQd8d7c 
KsJcTs7d4h QdJhTd7c3h AsQdTd8h6d JhTs9h5c4s 
JhTs9h9c2c AcQcJcTh2c QsTs9d8c3d AcJh9d6c5s 
AsKsQh7s5s QcThTc8d6s KhQd7c6s5h AcQc9h8c7s 
Ac7d6d4s3c Ad6c5d4s4c KdQcTs5s5d AhJd8d7h2h 
QdTc7h5d4c AhKd5h2h2d KsQc6s5c2h KsQsJh7c3h 
QcJd6h5d3c JdTsTd8d7h AsJc8c4c3s ThTc9c8h5d 
AcKcQsTc5c KcQdJh8d3c KdJh9c8h2d KdQhJc4c2d 
QdTd8h7h4c JdTh9d9c8s KcQhTs3c2h AsKhTd7d5c 
QsTd8d7s4c AhKdQd9d7c QdTs8d8c5c KdQs7s6c3d 
JsTd7c6d4s AdKs9c7d6d Ac9d8d7s6s AsJh5d4s2h 
KdJh8s8d5h AcKd9h5d4h AhTh9c7d3s AcKhTd9h2s 
QsQd4h4d3h AsKdJd8h2h AsQsJd3d2s AhJs5d4h2s 
Qd9h9c6d5c AhKd8d3h2c JsTd9s8d2h AcQcJh8s4c 
KcQsQcJc4d KcQcTh6d4s AcKcJs8h4c KdQsQhJh8h 
QsJhJc5h2s JdTc9h9d5c KhJsTdTc7c JdJcTsTh3s 
JhJc8s5h4s KdQc9d7c4s AdKsTc6h4s KsJh9c8s7s 
Ac9s8h6h3c AsTs8c7c3s AdQdTsTh4d KsQh6h5d4d 
KcJsTc9c7c QcTc8d6d6c AcTh9h9d6d QcJs9s6h6c 
8s8c6s6c4d AdJh7c4d3c JsJhTc8c2h QsJsJc7c4c 
QdTd9s8s4c AhTsTd6d2h AcQcTh7c4d KsKh9d8c4h 
KhQsJc8h6d KhJd9s8d2h JhJcTs4c2h AdTc6h6d3h 
KhQdJsJc7h KdJhJd6c5s TsTh9d6h5d JsTsTh7h4s 
AcKcTh7d2s AdQsJh2d2c AsJsTd9s2c AdKd9h8h3d 
AsKdQdJc2d AcJhTs8h6d QhJsTs8c7s AsJhTh4d3d 
AcKh7d5s4h QcTsTc8h2s JdTd8s6h4h AhJd9s6d2h 
Kh9c8c6h5c KhQd8s7d4h QhThTd5d4h Jd9c8h7h5d 
AhKhJc5s2d QdJsJc9c8c Qc8h7c6d5d AdQdJs8h4d 
AdKhTh8s5h KhQs6s4h4c Ac8d6s6d4c AsTh9d4s2h 
KsQc8h6h5c AcTs9c5s2d QdJhTd8d8c KhQh9c7d6s 
QdQcTh8s5c JsTsTh8h2d KsThTd7s3d AdJs7d4h3h 
QsQdJh6h2d AcKc9h9d2h QdJs8d6h4s AdKh8s6d5d 
QsJh9s5h3c KsQdTd7h4h KdKcQd9d7d As8h8c5c3s 
AcKh9d8h7h AhQsQcJc6c KcQhTd8d3c TsTc9s8c5d 
JhTdTc7s7d QsTh9s6s3h AdJhTs8s8c AhKdQs6h4h 
KsKcTc2d2c KsKhQc4d2h JcTd9s8d3c QsQd8d5c2s 
AsKdTd6h4c QdTh6h5h4d KcQhTh7d4d KcTd9d8h4c 
AcQs7s7c3s KdJsTh5s3h Ad9d8c6s5h 8h7d6d5c4c 
Ac9s6d5s3c AhTd9s8s7c KcQdTs7s6h KdTc7d5c3s 
AcKcQh5s3c AhQd8s6c4h KsKdTh6d3d JdTd9h8h3s 
AcJsTh7d2c JdTs9d8s4c AcTsTd6h5c AsKs8d4c3c 
AdJs9c5h4d JsTh9c8s4c As6d5c4s3d AsKs8d6s5c 
AdKc6s4s4c AhJd5c4d2h Ad9s8c7h7d AcQd5s3d2c 
KcJh9d8d6h QcThTc9s6d KdJdJc8h4h KcJhTc7s4d 
JcTc9h7d3d Ah6d5h4d4c AdKd8h6d5s 8s8d7h6s6h 
Kh9d6h6d5s KcQdJc5h4s KhQh9c8d5c JsJhTd8d2h 
KhJsTc3s2h QsTh6h5h4s KhJc9c5h4c AhKd7c5h4h 
AcKdQdJh6d JhJdTc7s6d Ac8h7s7h3c QsQd6h5s2d 
KsQsTsTd5d QhQcTs9d6s AcTc9d7h3s AhTsTd9h7h 
KsJsTh6d2h AsKs9d8s8h Ad9s6h5h3d QsQdTsTdTc 
KsJh9h9d2s Kd7h6c5d4h QdTsTd5s3c AsTs8d7d2s 
JsTs8c6s5c AdQd8c7s2s KcQhQd8d6s Qd8c7d6s5s 
