KdQsJs8s3s 
Ac9d6s5d3h Tc6h4h4c3h 9h7c4d3d3c Kd9h7s7h2s 
QdJd9h7d2c As8d4s3d2s Qs6d4s4h2d 9h7d6d4d3s 
KsJh6h4h4c Kc9h8s7h4d 9d8c7d5d2h Kd9d7d4s2s 
Ts8s6c5s3s TsTh8d6d3d JcTh6d5d2s 9c8h5s5h4h 
Qd8h8c6d3s AhTs6h6d2h TdTc7s4h3h Jd9h8h7h4h 
Qc9s9h6d2c 8s8c6h2s2d Tc9c6c4c3d As7d5d5c3h 
Jh8d4d4c3h Tc8d6h4c3c 7h6d4s4h2s Qc9h7d5d3s 
Ks9c8h6c4c Kc8d7c4s3h Kd6s6c4d2h QhQc7d4s3d 
QdJs8d7c3d KhJh4d3s2c QhJs7c4s4d TsTh4s3h2h 
Th7d6h4s3h QhTd7d2h2d Jc8s8d4h4d Qh9s8s6s3d 
Tc8s8c7h3c JsJc6h6d2s 9h7s6h3s2d Ks9s9c6s4s 
Jc4s4d2d2c AsJh8d6d3c Kd8s5s5h3h Js9d8d6d4d 
KsJs6s4s4c JsJh4s2s2c Qd9d5d5c2c Tc9s9c3h2d 
9h7d6s3s2h TsTh7c6s2d Jc9c5h3c2h 9c5d4d4c3s 
Js9h9d6c2s Js7d4h3s3h KdTs9h3h3c Kh9h9c4s4d 
AdQh8d4d3d Th9h7h6c2d Jh9h6c3d2d Th8h7s5d3h 
KcJd6d4s4d Kc7d6s6h4h 8h6h6d3d2s 9d7h5h4h4c 
KsJc9h8h3h KhTd8s5d3d Th9c7h3c2c KdJh5s3h3c 
9h7c4h4c3c AcTs5h4s3d Kh4d3s2h2d Ts9c7h6d2h 
QcTh5s4d2h Jd8c4d3s3c QcTc5s3d2h AhJh4c2h2d 
JdTs6h5h2c QdJh5s5h2c QsQd7h5h2c 9h5c4h4c3s 
JcTc8c3h3d Qs9s9c4h3d QsJd9h4d2c QsTc5d4d2h 
KsQd9d7c2h AdJs8h8c2h AsTd7c4c3c Ac7h6s4c2c 
9h8s5s5d4s Th9s5s5d4s QdJh4d3d3c KcJc8h6c2s 
Th6s4s4h3h Kc6d5h5d4s AdTd5s5h2d Qd9s6d3s2d 
Qc9s9d7h3s KcJd8s8h4s KdQd8d5h2c Qc8h4d4c3d 
As7s6h4s2c Td8c4d4c2c 9d8h7c6s2s Jh9c8h6h3s 
Ts9h8c3s3d KcQd9d7h3d AsTd8c5c2c Jh7c4d4c3h 
Ac7h7d6s3h QhJd6h4c2h Kd8s6d4h4d Kd8s8h5s4c 
AdTd7s3d2c Th9d7h6h2s Ac9h8s8h2d QdJs8s7c2h 
9s5s4h4d3h Js8d5c3d2s 9s7c5d4h3d Ts8h7s5c3s 
Ts7h5s5d4s AsTh5c3c2h Kc8s8d5d4h JsTh4s4c2d 
QsJc8d8c3h QhTc6h4d2h Ac9s8d5d3h AhJc8d3s3c 
6d5h5d3d2h Td8s5s3c2d Jh8c5s5d4c Qc9s9d7h3d 
Qh8s5d3s3d QcJc7c5c3d Qs9s9c4c2s QcTh6d5d2s 
KcQh9d3s2c Js8h7d5c2s Qs7h7d5d2h Qc6s6h4s4d 
Qc8d8c5s3h Ks5s4d3h3c Qh9d7s5s3c JhTc7h7d2s 
Tc6d5s4c3h As9d6h5d3c AcTd6h5d3d AcQd8c4c3c 
9h9c8h7h2d Qs9s9h7c3s Jh7h5d4h2d 8d7c5h4d2s 
Th7d5h5c4h Qh6d6c4s4d KdQhJh8h3h Jh8s5s5c4s 
QhJc9d4d3d Td5h4s3s3d TsTh5s5c2d KdJh7d4s2c 
7s6c4s4h2h Qs8h5s3h2d Jh8s5s5d4s Ts9d3h2s2h 
AhJd9s5c2c 9c8s5c4h4c JcTd8h3c2s AsQs3d2s2h 
Qc6s6d4h4d Ad9h5d2s2c AdTc9s6h2s Jd6d5h4s4c 
Qc9h9c7d3c KsQd8d6d3h Td9d8h2s2c Kh9c6s5s3s 
7s7h5c2s2d KsTh8s4s2c Th7d5s5h4h JdTh5d2s2d 
KcJdJc6c2c Qh9c8d5s3c QdTc8h3s3d Qs8c5h3h2s 
9d7s6h6c3s Jd4s4d2s2h 9h8s5h4h4c Jd8c5s5c4c 
Qc9c8h8c2d AhJc9s5d2d Qs9h8c6d3c Qc9s9d5s3s 
Kc8s8d6c2h KcQd7c6h2c KcQc5d3s2c KcTs8h2d2c 
KhQd8s7d2c JcTc6s5h2c Kh9h7h5d3h JsJc5d4c2c 
Jh8d7s6c3h Qd9d7s7h4c 7s7h6d3h2d Js6s6c4d2c 
QcTs6c3d3c Qd5c4c2s2d AhJc8s6s3d TsTc9h5h2h 
Kc8s4s2h2c KsJc8d5h5d Jc7c6h6d5c JsTd7s7c2h 
QhJd5s3s3c ThTd8d6d3d Ah7s5c4s3d 7s7d4s3s3h 
QhTc8s4d3s KsTc6c5d2h 9h6c5h5d3s Ah7h6s6h2c 
As6c5s2s2d Ts8h6h4d3c 7c5d4s3c2s Td8h7d5s3d 
Tc9d9c3s2h As5c4s4h2s QsQdJd7d2d KdQs9s7h2c 
Ah9s9d8c3c QhTc6h4h2s TsTc7d6s2h 9d7d6h2h2d 
Ts9s7s6h2c Th8h7c5d3h Ks9s8s8d4h Tc9d9c3h2s 
Kh8d8c7s4c 8h8c7d6h2s Jh9d8c6h3h Ks9d7d3s2s 
KcQc8d5c2h Ad8c7h5c3c Qh9s9d6c3c QcTh6c4c2s 
Ts6h4s4h3h QsTs7s5h3s Tc8d5s2s2d KcTc4s3h3d 
TdTc9h7s2s AdQc9d3s2d QhThTc6h2h 6c5d3d3c2s 
AcKd3s3d2d KdJs8h8c2d AhQd9c7c2s Qs8c4s3d3c 
QcJd8c7s3c Tc8h6s5d3s 9d9c3d3c2d Qc9h8s6d3s 
Ah9h8c4s2h 9c8c7s4s2c KcQs8d7s2h Qh9h6s6h3c 
QsTc7s5h2d Td9d3c2h2c Ks9d8s4d2s Ks9s9d8s3h 
AsQd6s3s2c Qd8c7d5s5d AdQd9d8d2d AhJd8d6s3d 
Kh4s3s3h2c Qd8d5s3c2s 9d8d8c2s2d JsTd5s2s2c 
Qh8h5d3c2d Qd9c8s5h5c Qs9s6s6h3d AcKh3h3d3c 
7d5s4s3c2d 9c8c7s6h2c Ks9c6s6h3s AhQs5d3d3c 
Kc8s6c4h4c Kh8s6d4d2s 7s7d4d3h3d 9c8c7s5c3c 
JcTh7s5s2d Ts6s5d4h3c Ac5s4h4c2c Th7s6c4d4c 
Qd7c5h5d4d 8d7s4d2s2c Th7c5d4d2c Jd8s4c2s2d 
Ts6c4s4c3s KsJh6h5d2h AhJs8s6d3s AdKd8d4s3d 
QsJd9c6d2d Kd8d7s4h4c Ac8c4h2s2d KhTh6h4c2s 
Qh9h9d4s3c 9d8s7s5s2c Js6s5d3d2c KsTd6d5h2c 
Qs8s7s7c4h Js8h6d5h3c Js7s7d4s4c KhKc7d3s2s 
KcTs5d2h2c QsTs8s6s3s Jh9c5d4d3s QcJs8h8d3c 
KdTh9s5c2s 9h8c5d4s4c Js9c5s5h3s KhJc5c4c2s 
Ts7s6c4h3s 9s7d5d4d3c AcQc9c8c2c 9c7s6s5s2d 
KhJc8s5s5d JsJh9c4h2h Ks8h6s5c2s Ks6h5s3s3c 
Ks9d8h7d4c KhJs3d2s2d Tc9c8h5c3c Kh9d8h3h3d 
Ts7s6s6c3h Ts8s6d5s3s AhQc8h4h3h Th8s8c7s3d 
AhJs9c5c2c Td9d3h2h2c Ks7c5c4d3h AdJs9h7h2h 
Qs9s8h5c2s AcTh8s4h2h Qd9d5s5d2s Js9h7d4s4c 
KhQd3h3c2s Kd9s9h5d3d Ks6c5s4d2s AdJd8d6d2c 
Kh7s6d6c4d Td8s5d4d4c Js7s5d4s2d AhQd8c4s2d 
Kd8h6s4s2h Td8h6d4c3s JsTc4s4h2d AhJh8c3h2d 
As6d6c5c3h AdThTc6s2h Jh9s9c2s2d Tc9d6s5h2c 
9c8h7s5d2s Ad8s6h5h3c Td7c5h5c4s Qs9s7s5h5c 
Ac9s7s7d3s JcTh6s6c2d 7h6d5s4c2h Td7s5d4d2s 
9h6s5c4h3h JcTd7c3s3c Jc9h8s6c3c AcJh9d5d2d 
Qd4h4d2h2d 9h8d7h6h2s AdJd8c3d2s Jd9d6c3s2s 
8s7c6s4h3s Qc9c8d5c2h AdTsTh6c2h Qc5h4h2s2c 
AhTc8s4c2c QcJd4s4h3d QhQc8s7s2s As7s7h4s2c 
AcJs8h4d2s KhQc7h4s2d Qc8s5c4h4d 7s7d5c4d2h 
Ah8c7d5d3d KsQd9h3c2s Qc6h4s4c2h Kc7h7d5d4d 
QhTs6h3h3c Tc9d5h4s3h KsQc7s4s4d Ks4d3h2s2d 
Ad7h7d4d2s QdQc9c3c2h Qh6h5s3h2s AcJd5c2s2c 
9s9c8d2h2d Js8s6d3s3d 9s8c5h5c4c Qs8c7d2s2c 
Qd8s4h4d3s TsTc7h6c2d Jh9s9d2d2c Kh7h4h4c3c 
Td8s6h5h2c ThTc7d6h2s Ac8h7c3s2d Td7s7c2d2c 
KhQh8c5h2d 9s9c5h4d3d Ad8h6s6h4h Jh8h5d2h2d 
Ts7h5h4d2d ThTd7s4s3s 9c7s6h4c3c 9h7s5d3d3c 
AdTd6d4c3d 9h9c7c5c2d QsJd9d4h4d Ks8d4d2s2c 
AcQh8s7s2s QhTs6s4c2d 7d6d6c5h2s Jd8h4s3s3d 
KdJh5h4h2s JsTc7s3s3d Th8c6c4s3d Ts6c5s3s3c 
8h6s6h3s2d Td8h6d4s3c KdJd8d5h5d Qh8d8c7d4s 
Td9h4d3c2c Th9d8s5c2c Qs9s5s4c3d 8c7d6h5h2h 
Jh9d8s5c2s Jd7h4h3s3d TdTc6s3c2s KdQd8c5d2h 
Jh9h6c2d2c KhJh6h4s4h Th7c6c4c3s Js9c8s6s3d 
Jh9s9d6c3c Jd9c8h5s2h QcTs6s4d2h KcTd7s7h3d 
9c7h5s5c3c AcTh8d4s2h 9c7d5s5d3d KsQh6c4h2h 
Kc6c4h4d3s KcJd8s8h4h AsKc3d3c2c 6s6c5c4h2d 
Th8c7c3d2h Jh7h5d4d2d QcJc8s7h3c AhJc9s9h9c 
8c7c6s6d3h Jc8h7h5s5h Td9h3d2s2h ThTc9s3c2c 
9h7h6d4c3h AsJc8h8d2h QdJc5s3c2h Ts9d7h4h3c 
Js8c5s3c2h 7s7c4s4d3s Qs7d6d6c4h ThTd8c5c2c 
AcKd7s6s2h KhQd4s4d3d QhJh4h4d3s AdJc5s4h3h 
Td8s8c5h3c Qs9h6s4d4c Td8c5s4h4c Kh9s8c7h3h 
JsTh8s2s2d AsQd5h3h3c Jd9c8h6s3h KdTd6d4h2c 
AdKh7s6s2c 7s6d5h4s2c QsTc8d4h2c QsQh9c7d2d 
Jd8c4s4c3d Jh8c4h4d2d QcJcTh7c2c Js8s5d3c2c 
QcTd9s4s2s Qc8h4s4c3s Kd9s9c7s3h 8c5s4h2s2h 
Td8d7s5c3d Ad9s6c3d2h KcQc8s6c2h KsJd8c5d2h 
Jh9h7d3d2s 9c8c7c5s5c 9d7d7c3h3d Ts8s8c4h3d 
Th8h6s5c3h KcTc8c7d3c Jc9d8d5h2d 9d7d6d5h2c 
Tc7c6h6c3s Jh8s4h4c2c QdJd4h4d3s Td7s6s4s3c 
KhJd3s2s2d Jc9h4d4c2h Js7c6h4c2s Kh8s6h6c2d 
Qs5s5d3s3c QcTc5d3h2s 9h8h7h5s5h Js8d7c5d3h 
AcQs9s4d3s AcJh6c4d2c 9s8d7h7c4d QdJd4c3h3d 
QcTs7c3c2s Ac9c8c2s2h KhQc8d5h2h QcTs7s6d2h 
QdJc4d3h3d Jh7d7c6h4h 9d9c5s4h3s Tc8s5c4h4c 
9h8s7c5d2c Js9d5h5d3c AdQc7d2s2h 8c6h6d5s3s 
Ts7c6c4d3c Qd9c8h5s3c AcTh5d3d2h QdTc6d3h3d 
Kd4h3h2s2d Ks6s6d3s3c Jc7h7d6c2d Th9c5d5c4c 
9c7c5s4c3d KhTd8s8d2c AhJd5s4c2d Qd9s9h5s3s 
Kc8s6c4d4c Ad9c8s6s3h 7h5c4s3h2s Ac9d8h6h3s 
Jd9s9h5h2h Td7h5h4h2d Kc7s7c6c4c JdTh6d4d3d 
Jc9c5d4h4c KcQs9d7h2s AsKs9s3h2c QhJc6h4d2h 
Ks9s8s6s4d 9c7s7c3h3c AdJh8s8h2h KdTh6h5h2c 
Ad6s6c4c2s Jd9s9h8d2d Jc9c6s4h3d AsTh8h4d2h 
KhQc6s6c3c Kd8c6d4h4d Js9s6h3c2c KdJd8h6d2c 
AdTs8s5s3s AdJh6d4c2d 7s6d6c4h3h Jh9d6d4h2d 
AcTd6h6c2c 8c7s6s4d3s 9c7h5s3s3d Jc8s6c3s3h 
Qs9d8d6d4d Jc8s4c3s3h Jh7d6s5c3c Th8s8h4d3c 
TsTh7h4c3h Js8h4h3s3h KdTs8s8h2c Jd9s9c5c2c 
Tc9c8h2s2d 9s7d5h4s3s Qd9h7h5c4h Qh8s8h6d3h 
KhJd9s4s3s Jd7d6h6c4d QsJc8h4d2c Kh7d7c3d3c 
Qs9c8c5d4c Js8c6s3s3c Td9d7d6s2h KcQc7c6s2h 
Ts9s7c6s2d Th6h4s4h3s Tc8c7h5s2d Tc9s5c3s2c 
7c6d5h4h2s Kd7s6d3c2s 9h9d7h5h2c Qc8s7h2s2c 
8h5s4d2s2d Ks8c5d5c3d Ks6s6d4c2h Jd7d7c4s4d 
TsTd9h4c2c KdJs8s6h3c KcQs9c7c3c KhJh8h6c2s 
AdTsTc3h2c KdJd7h4s2c 7d5c4s3d2s Kc8d7s4h3c 
9d5d5c4d3c Qs8s8h5c2d TsTc6h6d2c 8s7h5c4d2c 
Qs7s7c5s2c Jc7h7d6c4c Kd9d8c6h3d Qh9c8d6c2s 
Ah9d9c8s3s AsQh7h6h3h Qs8d7s4d3s Qh9c7s5s3d 
Qd8d8c5s2h Kd9d8c5h5d 8c7s6c4c3h AdJd6d3h3c 
Qh9d7d5d3c 8d7c6d4d3h Jc8c5s4d2h Jh8c5h4d3s 
Qd8s8d5h2c QsJd4s3h2c Td7s6s5s5c Ts9h8c5d2d 
KhTsTh3h2d As7s4h4c3s 9s7h6d4d3d KhJc6c4s4c 
Qs9s7c3s3c AhQh9s3d2h 8c4s4c2s2d AsQh8c4d2h 
JsJc6c3s2s TsTd9c3d2d KsQd9c8h4h Th9c7d4c3c 
Ks6d5h3s2c AhTs6s4c3d Jd9h6d3s2h Jh9h7s4d4c 
As9h9c4d4c QsQc9h7h2h Kd9s9h5c2d KsQc9d3h2s 
Qs8h7s5s5c KhQhJc8h3h Ah9c6d6c2d KdTc8h2s2d 
Ad9c6s4d3d AhKs5d3c2c KhTs9c5d2c AhJc3d3c2d 
Jh8s7d5c2h 9d7h5c4d3d Js9s6d2h2d 9s7h6h4h4d 
Ks7s6s5s5h Js8h5d5c4h Jd9d7s3s2c Tc7s5s4s2c 
KdQs5h5d2d Qh7d7c6h3s AsQs9s4d3s Qs7d4s3d3c 
8s8h7d6c2h AcQc9c3s2d Ad7h5c4h3s AdJh9c4s3s 
Jc9c8h7s2c JhJc8d7s3s Qh9c7d5s5d Js7d6c4d2s 
Tc8d6h4c2s QhJh8d7c3h Th8d7c6h2s Kh9h9c8d4h 
Qc8d8c6h3c Th8s8h4c3d AhTc9s5s2s Ks9h7c6c3c 
Jh7c6d4c2h KdQd9d7h4d 9d7d7c3s3d 7d6d5d4d4c 
JdTh7s7d2c 9h7d4h4d3d QsJc6h4s2s Jh8s7d5s3c 
Ac8h4c3h2c Kc9s8h5s4d 9d6s5s5c4s As7h6s2d2c 
AsJc5s2s2d KdQh6s4h2h Qc9c5s5c2s KhQh8s3s2s 
Td8s6c4d2h KhTc8d5c3c AdTd9d7d2d Jh9c5s5d3d 
AsTc8d6d2d Th7s7h6c3h Ts8c6c4d3h QsJh8c4d2h 
Ks9c8s3s3c Qh8s5c3s3c 9h7s5s5h2s 8s5s4s4d2d 
Jd9h5s5d3d Qs9s5h2s2h JcTs8c3h3c Qc5c4s2s2h 
Qh5s5h3h3c Kc6d5s3h2c Ks9h8c7s3s Qd9s8h2s2h 
8s8c7s3h3d KhJh8h4d3s AcJh8d4s3d KhTh5c3h3d 
KsJc9c4h3c Kc4h3h2d2c Jd6h5h5c2c 8s7c4s2d2c 
Kc7s6h6d4s KsQs6c4d2s KsTc7h7d3c 9d8s7d4d2s 
KsQs6c4h2s Jc8h5c3h2d Kc9s6h6c3c TsTc6h3s2h 
9d7s6s4h4c KsQdTh3c2c QsQc7h4d2s KsTd6h5c2d 
Qs9h8h6h3c Ks8h6s4c2d Qc9h8c5c2d Ts8d5h4d4c 
Qh7c6c5s3d Kd7s6h6c4s AsKc5d3h2h Tc9c7c5d5c 
KcJc8d6h2c Ks9s8d5s5c Js9h7c3s2h Td9h8d4s4d 
QsJs9s5h2s KhQd9c7s2d QhTc7d4s3d KsJh8d5d5c 
QcTc9c5c2h Ts8s6c3h2c 8s8d6c2s2h KdQs9c4h2d 
AhTd8s4c2d Jh9h8d7s2h AhTd9s5s2c Td8h8d7c3d 
Qd9h8c5h3s 7h6d5s4s2c Ks9d7s7h3s Js8h5d4s2c 
JsTd5c3h2s KsQd4s2h2c Kd8c7s5s5h KsJc8h5h5d 
Js7c6d6c2s KdThTc7c2c KsTc8h5c3c Kh7h6d3s2d 
Kh6h6c4d2s AsQd9c5h2h Qc9h8s5h5d AdKd7h3d2s 
Ac7c6c5c4c Kh8d8c7s3h Ah4h3s3h2s QsJh8h6d2h 
Ac7c6d6c2h QhJh9c3h3d KcQs9s7d2h Kh8h6d3h3d 
QsQd9c3d2d QdJs8d7d2c Qh7d4h3s3d As9c8c3h2h 
Th9d5s4s3c 8s7c6c4d3c QdTc6c4s2h Ad7d6s6d2c 
KdTsTc7h2h 9d7d5h5d2h JcTs5d3h2c Js8c4s3h3c 
Ad6d6c2s2d Jh6h6c4c2c 9c6s6c5h3c AdQs9c2s2h 
Th9h8h7h3s 8s6s6d3d2h KsTs8s4h4d 9h8d7h3c2d 
JsTh5d3s2c 9d6s5h4d4c Jc6d6c4d2s 9d7h6h2h2d 
AhQd7d6d3d 9h7c6c4c3d Ac6s6d4d2s Tc9h5s4s3d 
6s6c5s2h2d KhTh4d3s3c Th9s9d4c2h JcTd7s5s2h 
Js9d5d5c3h TsTc8d6d3d KsJs8h6d2s Js9s8d7h2s 
Qc7s4c3s3h 9d8d6c4s4h Qs8s7s7h4c 9s7h5d4c3d 
As6c4s3d2h 8d7s5c4d2h Ts7h7d6h3h Ad7h6c4d2d 
Js7c4h4c3s Qd9c7h5h3s JcTs7h6c2d KsJs8s5d3s 
Ad8h8c5c3s Kh7s7d5d4d AdQd9d3h2s 6h6c4s4d2d 
Ah9s7d6c3c Td8d5c3s2c Ts9c7c6c2d 8h7s6h4h3d 
JdTc4h4c2s KhJh7d5h2c Jd9c8c6c4c Jh9d5s3h3c 
8d8c6h2s2c Jh7s6s6c2h Qs9c6c5c3c Tc8h8c5d3c 
Kh6h5d3s2c Qd8c7d4c3d Qd8s7d4s2s Kd8h6d4s2c 
Ks7d7c3d3c KhJh7c5s2h As7h7d4h2d Jc9c8d3c2d 
KdTs6h6c3c 8h7s7c6c3c KsQh9d8c4d AdJc6d4s2d 
9s7s7c3s3h KdTd5s3h3d 8c5s5d3h3c Jd7d6s4c2c 
KsQs8d2d2c Th5d4h4c3d AdJh8d3c2d Kh8d8c7s4d 
Kd8s6h6c3d JsJc8d7h3h Qc9s7s5s3h Qc9d7h5h3s 
Jd8s5h4d2c Jd8c6s5c3h Qh9s9d8s3c 9c8h7c6c2s 
Tc8s6s4h3d Jh9c5c4s4d Kd6d5h3c2s 9c8c7c6c3d 
KsQs5s3d2c QhJs8h5h3h 9d7c5d3c2d Qc8s8c4s2c 
Jc9h5h4s4d Tc7s6s4s3h 9c8d8c6h2c QcJc8c5c2h 
JsJc6s3c2c AhJd8d6c3d Qc7s5h5c4c KcTc7c4c3s 
Jc7c5d4d2d KsJs8h6c2s JsJd8c5c2c Ks9d7c3s3h 
Tc9h8s5d2d KcJh8h5s5h 7s7d5h2d2c KhTd6s3c2h 
Kh6c5h4s2h KdQs8d7d4d Qc9d8h7c4c 9c8h7h5h2d 
Jd8d5h2h2d Qd8s8d6c3d AsTs7s2d2c Jd9d6h3c2c 
Qc9d8h5s3d KhQh9h8s4h KcTc9c5d2c KhTd9s5d2d 
QcJh6d5s2s QdTc8c7s2c Qh9h5h4c3d Tc8h6d5s3d 
6s6h5s4c2d QhTh7h5s3h AcTd9h6s2h 9s6h5c4s4d 
Js6d5s5h4c 8s7h6d4h3h QcJcTs7c2c Qs9s8s8h2c 
Qc9c5d5c2d Jd9s8s6s4s JsJdJcTs8c Jc7s7c6s2s 
AdJh3h3c2c As9h7c6d3d Js9s6c3d2d Ks9h8c5h4d 
QcJs6h4c2c 7d6s5h4s2c QhJh9d3h3c AsJh4h3c2c 
AsQc6d3h3c 9s6d5s5c3h JsTs6h5c2s AsKs8h3s2c 
Jc6h6c4h2h Ad6s6c4s2c 8s8h7c2h2d Tc7s6s4h4d 
AcJd9s7s2s Ac7s7h6d3s KhThTd3h2c 9h5s5h4h3s 
Ks9s6h5s3s QsTh7c5s2d 8h7c5s4h2d QcTh8d4s3d 
QhJd5s3c2h Ah7s7c4c2s Td9s3d2s2c Ts8h6d5c3d 
Jh7h7c4s4h Jh8h5c2h2c Qh9s9d8d3c Th7s7c2h2c 
AcQs5d3h3d Td9s6s4c3s 9c6s5s5h4s QsTc6c4d2h 
AcQs3c2h2c Kh7s6s3s2h Ks7d7c5c4c Qs8d5s4h4c 
Qs8d8c4s4h 9c8s6d3d2s Ks9s8s8c4d AhTd6s5d3d 
KsTd5d4d3c Qs8s8c5d2h Ts7d7c6c3c Kh9c7c4h2h 
Jc9c7s4s2s Tc9h7d6d2s KdTd7d4s4d QsTd9c7h2h 
QhJh9c3s3h Js9s6h4c3d QhTc7h5d2s AhQc8d6s3s 
Ah7s6d4h2h KhTd9c4s2d KsQs8d5s2c 7d5c4h3c2d 
Kd9s6h6d3d 8d6d6c3c2h Ah9c7s7c3c Th9d6d4s3d 
Tc9s8s5d2s Td8h8d5s2c QsTc8h4d3d QhJs9s4s4c 
KcJh8s8d4s QdTd9d4h4d Qs9c8h5s2s KhQd7h6c2h 
Qs8d5d5c2c TdTc9s3c2c KhTs6s5c2d Kh9d6d3h2h 
JhTc7d5h2h Qc9d7s5s3h Kh9h8c6d3h AsJd7c4h3h 
9c8c7c5h5c KcQc8d2h2d Jh7d5h4d2d Ac8c6h6d2c 
9s9h7c5d2h QdTh5s4c2h Qc9d5h5d4s QcJh8s8h3d 
Ks9d7d5d3c Qc9s9d6h3h Ah9d8s5c2s AcJs6s5d2h 
JhTc5h2h2d 7s7d5c4s2h KhQs9c3d2h Th9h7s7d3h 
Qh4h4c2h2c Ts7c5s4s3h AdJs8c4h3c KdTs9c5s2s 
Js7s7d6d2d Kc6h4s4c3d Ts6s5c4h3d Kd9s8d5d5c 
Kh6h6c5h2d Ad8d8c6d3d Td9h6h4c3h 9s7c6d4s3s 
AhJh8h6h2c AhJh8c6h2h 9h7c6s3s2h Tc8s8c5d3c 
Ad8h7d3c2s 8s7h6s4s3c Td9h8d7d3d 8s8c6d2s2h 
Ah6s6d5d3c Ah8s4h3s2h AcTd6s4h3d Th6c5h3h3c 
Ts7d6s4c3s Ts8d8c7d2h 9d7s6s2s2d Ts9c7s3c2c 
Jh7h6d4s2s ThTc6s3h2s 9s6h5d3d3c JdTd6s5h2d 
Qd8d6h3c2c KdJd8c6s2d KsQhJh8h3h AsQs9s6s2c 
Td9d7s3d2s KsKhKd6d3h Td9c6s3s3h JhTh6d6c2s 
QhTs8c3h3d 7h5d4s3s2d QcJc9d3s3c KsQc9c8d3c 
Kd6h3h2d2c Qs8d5s3d2h KdQh9h8c3h QsTc5h5c3c 
9s8s7h6d2s Kd9s9c6h4h Kc8s7d5h5d 9d8c6c3d2d 
9s7d5s4s3c Ad7s7d4d2c QdTs6d4c2d Kd9s9d8c4d 
7d5s4c3s2d Ts7c5h5c4d Ks4d3d2s2h Jd9d5s5c4d 
9s8h8d6c2d AcQs8c4c3c KdJd7s5d2h Ah8c6s6c4c 
Ad7s7c6h3c Ks9c7h7c2h ThTd6h5s2c Ah7h4s3h2s 
9d6d5h5d4c Tc8h8c5s3c Kh6s5h3h3c QsJd9c3h2d 
KcJc7d2s2d 7c5s4h3s2c Jd9d6c4h3s Kc9h7d7c3c 
Jc7d6s4d2c TsTh9d7c2c Th7s7c5h3d 6d5d5c4s3h 
AcQc9c4s3c Th9h7c3h2c Ad8h8d7d2d TsTd8c5d2d 
KsJd8h8c2s Th9h9c3s2d Jh7h5h4s2s Qs9s7s5d5c 
